Orthogroup	Habropoda_laboriosa	Osmia_lignaria
OG0001808	XP_017799022.1	XP_034179018.1
OG0001808	XP_017799034.1	XP_034179160.1
OG0001810	XP_017798319.1	XP_034190899.1
OG0001811	XP_017788288.1	XP_034173446.1, XP_034173445.1
OG0001812	XP_017791004.1	XP_034175325.1
OG0001813	XP_017791650.1, XP_017792062.1	XP_034189958.1
OG0001814	XP_017797838.1	XP_034183207.1
OG0001815	XP_017787605.1	XP_034191010.1
OG0001816	XP_017795289.1, XP_017795290.1	XP_034184003.1
OG0001817	XP_017796528.1	XP_034188689.1, XP_034188692.1, XP_034188691.1, XP_034188690.1
OG0001818	XP_017788104.1, XP_017788105.1	XP_034194401.1
OG0001819	XP_017799356.1	XP_034178906.1, XP_034178907.1, XP_034178908.1, XP_034178909.1
OG0001820	XP_017787782.1	XP_034179965.1, XP_034179964.1, XP_034179963.1
OG0001821	XP_017796938.1	XP_034189018.1, XP_034189020.1, XP_034189019.1
OG0001822	XP_017790835.1	XP_034185711.1
OG0001823	XP_017793818.1	XP_034182516.1
OG0001824	XP_017798167.1, XP_017798168.1	XP_034173675.1
OG0001825	XP_017796059.1	XP_034177514.1
OG0001826	XP_017790653.1	XP_034192743.1
OG0001827	XP_017789061.1	XP_034196125.1
OG0001828	XP_017795522.1	XP_034184206.1, XP_034184205.1
OG0001829	XP_017789340.1	XP_034194298.1
OG0001830	XP_017798718.1	XP_034191488.1, XP_034191489.1
OG0001831	XP_017793560.1	XP_034193517.1
OG0001832	XP_017797639.1	XP_034195452.1
OG0001833	XP_017790103.1	XP_034186956.1
OG0001834	XP_017788148.1	XP_034194403.1
OG0001835	XP_017798434.1	XP_034186991.1, XP_034186990.1
OG0001836	XP_017792828.1	XP_034176287.1
OG0001837	XP_017791635.1	XP_034177297.1, XP_034177305.1, XP_034177312.1
OG0001838	XP_017791815.1	XP_034189701.1
OG0001839	XP_017793069.1	XP_034175509.1, XP_034175510.1, XP_034175511.1
OG0001840	XP_017792804.1	XP_034191214.1
OG0001841	XP_017788251.1	XP_034192914.1
OG0001842	XP_017790993.1	XP_034196477.1, XP_034196476.1, XP_034196478.1
OG0001843	XP_017787708.1, XP_017787707.1	XP_034187730.1
OG0001844	XP_017790127.1	XP_034186961.1, XP_034186957.1
OG0001845	XP_017793582.1	XP_034176740.1
OG0001846	XP_017790398.1	XP_034188024.1, XP_034188025.1
OG0001847	XP_017790229.1	XP_034196138.1
OG0001848	XP_017794846.1	XP_034190915.1, XP_034190916.1
OG0001849	XP_017795212.1	XP_034195528.1
OG0001850	XP_017789792.1	XP_034177829.1
OG0001851	XP_017798501.1	XP_034191483.1, XP_034191487.1, XP_034191484.1, XP_034191486.1
OG0001852	XP_017795779.1, XP_017795777.1, XP_017795778.1	XP_034178369.1
OG0001853	XP_017788346.1	XP_034172353.1, XP_034172354.1, XP_034172355.1
OG0001854	XP_017790515.1	XP_034181362.1, XP_034181363.1, XP_034181361.1, XP_034181360.1
OG0001855	XP_017799253.1	XP_034172572.1
OG0001856	XP_017798747.1	XP_034184656.1
OG0001857	XP_017798029.1	XP_034190487.1
OG0001858	XP_017799264.1	XP_034173461.1
OG0001859	XP_017791722.1	XP_034188512.1
OG0001860	XP_017794488.1	XP_034184826.1
OG0001861	XP_017791182.1	XP_034184782.1, XP_034184783.1, XP_034184781.1
OG0001862	XP_017795832.1	XP_034193060.1, XP_034193066.1
OG0001863	XP_017797295.1	XP_034196055.1, XP_034196054.1, XP_034196056.1
OG0001864	XP_017790279.1, XP_017790297.1, XP_017790288.1	XP_034186148.1
OG0001865	XP_017796899.1	XP_034189038.1, XP_034189037.1, XP_034189036.1, XP_034189039.1
OG0001866	XP_017798394.1	XP_034187032.1, XP_034187033.1
OG0001867	XP_017795865.1, XP_017797110.1	XP_034186840.1
OG0001868	XP_017787601.1	XP_034186551.1
OG0001869	XP_017791558.1	XP_034186046.1
OG0001870	XP_017791093.1	XP_034184381.1, XP_034184380.1
OG0001871	XP_017798033.1	XP_034185775.1
OG0001872	XP_017787964.1, XP_017787967.1	XP_034173528.1, XP_034173529.1, XP_034173527.1
OG0001873	XP_017788916.1	XP_034181970.1, XP_034181973.1
OG0001874	XP_017787863.1	XP_034184917.1, XP_034184926.1, XP_034184906.1
OG0001875	XP_017789918.1	XP_034188154.1
OG0001876	XP_017792661.1	XP_034181756.1, XP_034181755.1, XP_034181754.1
OG0001878	XP_017792498.1	XP_034179421.1
OG0001879	XP_017795125.1	XP_034184608.1
OG0001880	XP_017789610.1	XP_034189999.1, XP_034189997.1
OG0001881	XP_017792758.1	XP_034181839.1, XP_034181838.1, XP_034181840.1
OG0001882	XP_017792908.1	XP_034179278.1
OG0001883	XP_017793813.1	XP_034171181.1
OG0001884	XP_017791460.1	XP_034195352.1
OG0001887	XP_017794736.1	XP_034180593.1
OG0001887	XP_017794733.1	XP_034180587.1
OG0001888	XP_017793954.1	XP_034189416.1, XP_034189414.1
OG0001890	XP_017795871.1	XP_034194535.1, XP_034195125.1
OG0001893	XP_017791156.1	XP_034184130.1, XP_034175542.1
OG0001894	XP_017787722.1	XP_034196109.1, XP_034196108.1
OG0001895	XP_017794633.1	XP_034180092.1, XP_034180090.1
OG0001896	XP_017789235.1	XP_034175143.1
OG0001897	XP_017788970.1	XP_034178729.1
OG0001898	XP_017793652.1, XP_017793653.1	XP_034176724.1
OG0001899	XP_017789944.1	XP_034187101.1
OG0001900	XP_017787974.1	XP_034191781.1
OG0001901	XP_017796432.1, XP_017797084.1	XP_034189236.1
OG0001902	XP_017798646.1	XP_034191584.1
OG0001903	XP_017794499.1	XP_034185005.1
OG0001904	XP_017788387.1	XP_034171540.1
OG0001905	XP_017798436.1	XP_034187040.1
OG0001906	XP_017793894.1	XP_034189984.1
OG0001907	XP_017795090.1	XP_034184436.1
OG0001908	XP_017796501.1	XP_034189218.1
OG0001909	XP_017793306.1	XP_034174942.1, XP_034174944.1
OG0001910	XP_017790932.1	XP_034189812.1, XP_034189813.1
OG0001911	XP_017789286.1	XP_034175927.1
OG0001912	XP_017794419.1, XP_017798902.1	XP_034181597.1, XP_034181596.1
OG0001913	XP_017788249.1	XP_034172240.1
OG0001914	XP_017792308.1	XP_034183877.1
OG0001915	XP_017794565.1	XP_034173340.1
OG0001916	XP_017791906.1	XP_034183492.1, XP_034183490.1
OG0001917	XP_017787979.1	XP_034191921.1
OG0001918	XP_017799550.1	XP_034190514.1, XP_034190515.1, XP_034190513.1
OG0001919	XP_017797752.1	XP_034195253.1, XP_034195252.1
OG0001920	XP_017795373.1	XP_034172309.1, XP_034172308.1
OG0001921	XP_017797878.1	XP_034181565.1, XP_034181566.1, XP_034181567.1
OG0001922	XP_017795875.1	XP_034179667.1, XP_034179666.1
OG0001923	XP_017794861.1	XP_034190949.1, XP_034190948.1
OG0001924	XP_017788252.1	XP_034172099.1
OG0001925	XP_017787430.1	XP_034185417.1, XP_034185418.1
OG0001926	XP_017794622.1	XP_034194037.1
OG0001927	XP_017790560.1	XP_034171690.1
OG0001928	XP_017790642.1	XP_034176914.1, XP_034176917.1, XP_034176915.1, XP_034176918.1
OG0001929	XP_017794446.1	XP_034189316.1, XP_034189317.1, XP_034189319.1
OG0001930	XP_017795990.1	XP_034177226.1
OG0001931	XP_017798340.1	XP_034191111.1, XP_034191112.1
OG0001932	XP_017799030.1	XP_034173423.1
OG0001933	XP_017790744.1, XP_017790743.1	XP_034192641.1
OG0001934	XP_017798036.1	XP_034190455.1
OG0001935	XP_017791026.1	XP_034175866.1
OG0001936	XP_017789724.1, XP_017789731.1	XP_034185995.1
OG0001937	XP_017796512.1	XP_034188688.1
OG0001939	XP_017794898.1	XP_034191302.1
OG0001940	XP_017798181.1	XP_034174201.1
OG0001941	XP_017792555.1	XP_034175018.1, XP_034175024.1
OG0001942	XP_017789346.1	XP_034194326.1, XP_034194330.1
OG0001944	XP_017797701.1	XP_034180321.1
OG0001945	XP_017789819.1	XP_034189879.1, XP_034189877.1
OG0001946	XP_017795984.1	XP_034173983.1
OG0001948	XP_017796716.1	XP_034179915.1
OG0001949	XP_017796607.1	XP_034193769.1
OG0001950	XP_017795974.1	XP_034171010.1
OG0001951	XP_017789000.1	XP_034178295.1, XP_034178296.1
OG0001952	XP_017789873.1	XP_034178519.1, XP_034178518.1
OG0001953	XP_017795946.1	XP_034171716.1, XP_034171714.1, XP_034171717.1, XP_034171715.1
OG0001954	XP_017797373.1	XP_034186283.1, XP_034186265.1, XP_034186274.1
OG0001955	XP_017798538.1	XP_034180049.1
OG0001956	XP_017792038.1	XP_034185019.1
OG0001957	XP_017790438.1	XP_034187848.1
OG0001958	XP_017797223.1	XP_034174536.1
OG0001959	XP_017796284.1	XP_034179081.1
OG0001960	XP_017787909.1	XP_034171509.1, XP_034171510.1
OG0001961	XP_017788778.1	XP_034178650.1, XP_034178649.1
OG0001962	XP_017799510.1, XP_017799508.1	XP_034190684.1
OG0001963	XP_017787591.1	XP_034193954.1, XP_034193952.1, XP_034193955.1
OG0001964	XP_017790177.1	XP_034189429.1
OG0001965	XP_017789920.1	XP_034195781.1
OG0001966	XP_017789044.1	XP_034196309.1
OG0001967	XP_017796638.1	XP_034179710.1
OG0001968	XP_017795023.1	XP_034176163.1
OG0001969	XP_017794073.1	XP_034190321.1, XP_034190324.1, XP_034190323.1, XP_034190322.1
OG0001970	XP_017795926.1	XP_034171929.1
OG0001971	XP_017797692.1, XP_017789558.1	XP_034191887.1
OG0001972	XP_017792953.1	XP_034174954.1
OG0001973	XP_017790804.1	XP_034177542.1
OG0001974	XP_017792247.1	XP_034175656.1, XP_034175641.1
OG0001975	XP_017789047.1	XP_034196143.1, XP_034196144.1, XP_034196142.1, XP_034196145.1
OG0001976	XP_017799280.1	XP_034173056.1
OG0001977	XP_017789308.1	XP_034194397.1
OG0001978	XP_017797187.1	XP_034174078.1
OG0001979	XP_017792068.1	XP_034196465.1
OG0001980	XP_017792032.1	XP_034172340.1, XP_034172386.1
OG0001981	XP_017787836.1	XP_034191406.1
OG0001982	XP_017797821.1	XP_034191905.1, XP_034191903.1
OG0001983	XP_017795097.1	XP_034178929.1
OG0001984	XP_017792637.1	XP_034189360.1, XP_034189359.1, XP_034189362.1
OG0001985	XP_017798469.1	XP_034186785.1
OG0001986	XP_017798333.1	XP_034186756.1, XP_034186759.1
OG0001987	XP_017798437.1	XP_034191167.1
OG0001988	XP_017798439.1	XP_034191177.1
OG0001989	XP_017798403.1	XP_034191183.1
OG0001990	XP_017788763.1	XP_034178554.1, XP_034178555.1
OG0001991	XP_017788816.1	XP_034177993.1, XP_034177992.1
OG0001992	XP_017788754.1	XP_034177994.1
OG0001993	XP_017788858.1	XP_034177989.1, XP_034177991.1
OG0001994	XP_017795281.1	XP_034174303.1, XP_034174304.1
OG0001995	XP_017792547.1	XP_034175856.1
OG0001996	XP_017794207.1	XP_034181112.1
OG0001997	XP_017793687.1	XP_034181538.1
OG0001998	XP_017789477.1, XP_017789476.1	XP_034194414.1, XP_034194416.1
OG0001999	XP_017788805.1	XP_034177949.1
OG0002000	XP_017788714.1	XP_034177957.1
OG0002001	XP_017791070.1	XP_034175124.1, XP_034175206.1
OG0002002	XP_017797869.1	XP_034176571.1
OG0002003	XP_017797234.1	XP_034174717.1
OG0002004	XP_017790222.1	XP_034181872.1
OG0002005	XP_017791185.1	XP_034190247.1, XP_034190246.1
OG0002006	XP_017791181.1	XP_034184967.1
OG0002008	XP_017787915.1	XP_034196509.1
OG0002009	XP_017793551.1	XP_034193515.1
OG0002010	XP_017793547.1	XP_034193918.1, XP_034193917.1
OG0002011	XP_017790511.1	XP_034192402.1
OG0002012	XP_017788155.1	XP_034188268.1
OG0002013	XP_017794723.1	XP_034180615.1
OG0002014	XP_017788789.1	XP_034178085.1, XP_034178081.1
OG0002016	XP_017796939.1	XP_034195585.1
OG0002017	XP_017787419.1	XP_034179845.1, XP_034179846.1
OG0002018	XP_017788131.1	XP_034182451.1
OG0002019	XP_017793300.1	XP_034181259.1
OG0002020	XP_017791180.1	XP_034184327.1
OG0002021	XP_017795376.1	XP_034183988.1, XP_034183989.1
OG0002022	XP_017787359.1	XP_034186469.1, XP_034186561.1
OG0002023	XP_017790152.1	XP_034195800.1
OG0002024	XP_017796009.1	XP_034176857.1, XP_034176852.1, XP_034176851.1
OG0002025	XP_017789787.1	XP_034192925.1
OG0002026	XP_017789096.1	XP_034195470.1, XP_034195468.1
OG0002027	XP_017797902.1	XP_034192377.1
OG0002028	XP_017793225.1	XP_034183584.1, XP_034183585.1
OG0002029	XP_017787954.1	XP_034174135.1
OG0002030	XP_017793238.1	XP_034183362.1, XP_034183358.1
OG0002031	XP_017792154.1	XP_034189663.1
OG0002032	XP_017792271.1	XP_034190024.1
OG0002033	XP_017795434.1, XP_017795435.1	XP_034183804.1
OG0002034	XP_017795479.1	XP_034183752.1, XP_034183751.1, XP_034183750.1
OG0002035	XP_017795438.1	XP_034189539.1
OG0002036	XP_017797782.1	XP_034180382.1
OG0002037	XP_017787659.1	XP_034190764.1
OG0002038	XP_017787636.1	XP_034190757.1
OG0002039	XP_017790915.1	XP_034189073.1, XP_034189072.1
OG0002040	XP_017791859.1	XP_034193899.1, XP_034193900.1
OG0002041	XP_017791787.1	XP_034179532.1
OG0002042	XP_017796603.1	XP_034179719.1
OG0002043	XP_017792956.1	XP_034173800.1
OG0002044	XP_017791121.1	XP_034185158.1, XP_034185169.1
OG0002045	XP_017791244.1	XP_034185189.1
OG0002046	XP_017798899.1	XP_034181505.1
OG0002047	XP_017789446.1	XP_034188192.1, XP_034188193.1, XP_034188194.1
OG0002048	XP_017796163.1	XP_034188652.1
OG0002049	XP_017797476.1	XP_034195413.1
OG0002050	XP_017796090.1	XP_034177022.1
OG0002051	XP_017796022.1, XP_017796021.1	XP_034176894.1, XP_034176893.1
OG0002052	XP_017787806.1	XP_034183369.1, XP_034183359.1
OG0002053	XP_017790267.1	XP_034175115.1
OG0002054	XP_017789535.1	XP_034190000.1
OG0002055	XP_017794071.1, XP_017794072.1	XP_034184641.1
OG0002056	XP_017793964.1	XP_034185448.1
OG0002057	XP_017787436.1, XP_017787437.1	XP_034185470.1
OG0002058	XP_017787415.1	XP_034184831.1
OG0002059	XP_017794005.1, XP_017794010.1, XP_017794008.1, XP_017794009.1, XP_017794007.1	XP_034190559.1
OG0002060	XP_017793658.1	XP_034176936.1
OG0002061	XP_017798715.1	XP_034180367.1
OG0002062	XP_017798610.1	XP_034180103.1, XP_034180102.1
OG0002063	XP_017795759.1	XP_034178817.1
OG0002064	XP_017792470.1	XP_034186449.1, XP_034186448.1
OG0002065	XP_017789009.1	XP_034195048.1, XP_034195044.1, XP_034195053.1, XP_034195040.1
OG0002066	XP_017789161.1	XP_034194571.1
OG0002067	XP_017797601.1	XP_034194492.1
OG0002068	XP_017791658.1	XP_034183281.1, XP_034183368.1
OG0002069	XP_017791615.1	XP_034189806.1
OG0002070	XP_017798776.1	XP_034191793.1
OG0002072	XP_017789480.1	XP_034189487.1
OG0002073	XP_017792104.1	XP_034186233.1
OG0002074	XP_017793319.1	XP_034175830.1
OG0002075	XP_017793445.1	XP_034175464.1
OG0002076	XP_017793353.1	XP_034193374.1, XP_034193373.1
OG0002077	XP_017798139.1, XP_017798140.1	XP_034187509.1
OG0002078	XP_017796992.1	XP_034174459.1
OG0002079	XP_017791191.1	XP_034184437.1
OG0002080	XP_017799519.1	XP_034184368.1
OG0002081	XP_017788522.1	XP_034174655.1
OG0002082	XP_017790783.1	XP_034177125.1
OG0002083	XP_017790648.1	XP_034192646.1
OG0002084	XP_017790735.1	XP_034177564.1
OG0002085	XP_017790488.1	XP_034171202.1
OG0002087	XP_017795617.1	XP_034180070.1
OG0002088	XP_017787870.1	XP_034184491.1, XP_034184141.1
OG0002089	XP_017798030.1	XP_034185627.1, XP_034185630.1
OG0002090	XP_017794147.1	XP_034174785.1
OG0002091	XP_017794281.1	XP_034174960.1
OG0002092	XP_017794145.1	XP_034181268.1
OG0002093	XP_017794240.1	XP_034175192.1
OG0002094	XP_017796421.1	XP_034189406.1, XP_034189403.1
OG0002095	XP_017788701.1	XP_034170968.1
OG0002096	XP_017798557.1	XP_034171360.1
OG0002097	XP_017788267.1	XP_034189320.1
OG0002098	XP_017790165.1	XP_034186728.1
OG0002099	XP_017798179.1	XP_034187392.1
OG0002100	XP_017798282.1	XP_034187428.1
OG0002101	XP_017798284.1	XP_034187732.1
OG0002102	XP_017794894.1	XP_034191311.1, XP_034191310.1
OG0002103	XP_017792341.1	XP_034178896.1
OG0002104	XP_017797998.1	XP_034185686.1, XP_034185685.1
OG0002105	XP_017792369.1	XP_034177656.1
OG0002106	XP_017793002.1	XP_034193089.1
OG0002107	XP_017793088.1	XP_034176271.1
OG0002108	XP_017795191.1	XP_034176220.1, XP_034176221.1
OG0002109	XP_017799181.1	XP_034172118.1
OG0002110	XP_017799255.1	XP_034173410.1
OG0002111	XP_017788523.1, XP_017792107.1	XP_034195768.1
OG0002112	XP_017797526.1	XP_034195659.1
OG0002113	XP_017789181.1	XP_034194001.1
OG0002114	XP_017787647.1, XP_017787648.1	XP_034173225.1
OG0002115	XP_017796975.1	XP_034191969.1, XP_034191960.1
OG0002116	XP_017792658.1	XP_034181337.1, XP_034181336.1
OG0002117	XP_017788514.1	XP_034185441.1
OG0002118	XP_017797436.1	XP_034176317.1
OG0002119	XP_017797384.1	XP_034175230.1, XP_034175228.1
OG0002120	XP_017797417.1	XP_034176246.1
OG0002122	XP_017796154.1	XP_034188426.1
OG0002123	XP_017797843.1	XP_034181599.1
OG0002124	XP_017788236.1	XP_034182023.1, XP_034182025.1
OG0002126	XP_017789365.1	XP_034182302.1, XP_034182301.1
OG0002127	XP_017787949.1	XP_034173934.1, XP_034173932.1
OG0002128	XP_017798153.1	XP_034173783.1, XP_034173782.1
OG0002129	XP_017793790.1	XP_034174591.1, XP_034174586.1
OG0002130	XP_017798147.1	XP_034173718.1
OG0002131	XP_017794646.1, XP_017794645.1	XP_034191563.1
OG0002132	XP_017797201.1	XP_034187335.1
OG0002133	XP_017796243.1	XP_034173896.1
OG0002134	XP_017788672.1	XP_034192660.1
OG0002135	XP_017793593.1	XP_034177744.1
OG0002136	XP_017796000.1	XP_034177503.1
OG0002137	XP_017789066.1	XP_034195828.1
OG0002138	XP_017797507.1	XP_034194751.1, XP_034194743.1
OG0002139	XP_017793379.1	XP_034181217.1
OG0002140	XP_017792089.1	XP_034176060.1, XP_034176067.1
OG0002141	XP_017790545.1	XP_034187921.1, XP_034187922.1
OG0002142	XP_017797216.1, XP_017799499.1, XP_017799501.1	XP_034185608.1
OG0002143	XP_017788202.1	XP_034173569.1
OG0002145	XP_017787483.1	XP_034185225.1, XP_034185224.1
OG0002146	XP_017790448.1	XP_034181426.1, XP_034181423.1
OG0002147	XP_017794391.1	XP_034196424.1
OG0002148	XP_017795711.1	XP_034171194.1
OG0002149	XP_017797365.1	XP_034184505.1
OG0002150	XP_017790012.1	XP_034185952.1, XP_034185953.1
OG0002151	XP_017789834.1	XP_034185772.1
OG0002152	XP_017788195.1	XP_034181421.1
OG0002152	XP_017788194.1	XP_034181499.1
OG0002153	XP_017793106.1	XP_034175496.1
OG0002154	XP_017792855.1	XP_034174912.1
OG0002155	XP_017787524.1	XP_034186537.1, XP_034186538.1, XP_034186536.1, XP_034186535.1
OG0002156	XP_017795757.1, XP_017796106.1	XP_034178120.1
OG0002157	XP_017798595.1	XP_034192107.1
OG0002158	XP_017794661.1	XP_034179978.1, XP_034179977.1
OG0002159	XP_017788000.1	XP_034191714.1
OG0002160	XP_017797747.1	XP_034180902.1
OG0002162	XP_017797563.1	XP_034172177.1, XP_034172176.1, XP_034172174.1, XP_034172173.1, XP_034172175.1
OG0002163	XP_017793561.1	XP_034179579.1
OG0002164	XP_017796621.1	XP_034179714.1
OG0002165	XP_017795880.1	XP_034193839.1
OG0002166	XP_017791538.1	XP_034187062.1
OG0002167	XP_017792611.1	XP_034194172.1
OG0002168	XP_017795702.1	XP_034175979.1
OG0002169	XP_017798939.1	XP_034172551.1, XP_034172552.1
OG0002170	XP_017794224.1, XP_017794223.1	XP_034177825.1
OG0002171	XP_017794225.1	XP_034174511.1
OG0002172	XP_017797907.1	XP_034175242.1, XP_034175241.1, XP_034175240.1, XP_034175239.1
OG0002173	XP_017794227.1	XP_034174993.1
OG0002174	XP_017796545.1	XP_034189189.1
OG0002175	XP_017792647.1	XP_034188250.1
OG0002176	XP_017796481.1	XP_034196499.1
OG0002177	XP_017792631.1, XP_017792632.1	XP_034188695.1
OG0002178	XP_017796474.1	XP_034189329.1
OG0002179	XP_017795254.1	XP_034194760.1, XP_034194759.1
OG0002180	XP_017791732.1	XP_034182762.1, XP_034182763.1, XP_034182760.1
OG0002181	XP_017788467.1	XP_034194707.1
OG0002182	XP_017796172.1	XP_034182657.1
OG0002183	XP_017795247.1	XP_034182675.1
OG0002184	XP_017793233.1	XP_034183756.1
OG0002185	XP_017798079.1	XP_034174264.1
OG0002186	XP_017796234.1	XP_034187662.1
OG0002187	XP_017795531.1	XP_034174964.1
OG0002188	XP_017791978.1	XP_034173821.1
OG0002189	XP_017796942.1	XP_034174791.1, XP_034174790.1
OG0002190	XP_017797968.1	XP_034184684.1
OG0002191	XP_017795996.1	XP_034177886.1, XP_034177887.1, XP_034177888.1
OG0002192	XP_017796094.1	XP_034177210.1, XP_034177209.1
OG0002193	XP_017794152.1	XP_034172715.1
OG0002194	XP_017795462.1	XP_034177782.1
OG0002195	XP_017790800.1	XP_034192794.1
OG0002196	XP_017795673.1	XP_034177774.1
OG0002197	XP_017793640.1	XP_034177074.1
OG0002198	XP_017793713.1	XP_034177389.1
OG0002199	XP_017793709.1	XP_034176779.1
OG0002200	XP_017790829.1, XP_017790830.1	XP_034177413.1
OG0002202	XP_017792123.1	XP_034177484.1
OG0002203	XP_017792170.1	XP_034192879.1
OG0002204	XP_017791446.1	XP_034184184.1, XP_034184180.1
OG0002205	XP_017789032.1	XP_034196204.1
OG0002206	XP_017789082.1	XP_034192915.1
OG0002208	XP_017799283.1	XP_034173207.1, XP_034173206.1
OG0002209	XP_017798302.1	XP_034171474.1
OG0002210	XP_017789124.1	XP_034195807.1
OG0002211	XP_017793741.1	XP_034181589.1, XP_034181590.1, XP_034181591.1
OG0002212	XP_017788205.1	XP_034176694.1, XP_034176660.1
OG0002215	XP_017790134.1, XP_017790133.1	XP_034181449.1, XP_034181450.1
OG0002216	XP_017792048.1	XP_034187532.1
OG0002218	XP_017798004.1	XP_034190387.1, XP_034190388.1
OG0002219	XP_017793415.1	XP_034185200.1
OG0002220	XP_017798830.1	XP_034192497.1
OG0002222	XP_017793189.1	XP_034183420.1
OG0002223	XP_017791095.1	XP_034190607.1
OG0002224	XP_017795084.1	XP_034184394.1, XP_034184393.1
OG0002225	XP_017794383.1	XP_034184560.1
OG0002226	XP_017794136.1	XP_034174269.1
OG0002227	XP_017797370.1	XP_034185997.1, XP_034186007.1
OG0002228	XP_017795192.1	XP_034175198.1
OG0002229	XP_017788608.1	XP_034191778.1
OG0002230	XP_017791550.1	XP_034190190.1, XP_034190187.1, XP_034190188.1
OG0002231	XP_017792399.1	XP_034190011.1
OG0002232	XP_017792441.1	XP_034190005.1
OG0002233	XP_017793480.1, XP_017793479.1	XP_034176128.1
OG0002234	XP_017797402.1	XP_034175438.1, XP_034175435.1
OG0002235	XP_017794268.1	XP_034181909.1
OG0002237	XP_017790340.1	XP_034193428.1
OG0002238	XP_017793028.1	XP_034193399.1, XP_034193397.1
OG0002239	XP_017795556.1	XP_034175960.1, XP_034175961.1
OG0002240	XP_017799114.1	XP_034173001.1
OG0002241	XP_017791393.1	XP_034182919.1
OG0002242	XP_017791488.1	XP_034186614.1
OG0002243	XP_017788756.1	XP_034178356.1
OG0002244	XP_017788812.1	XP_034178233.1
OG0002245	XP_017795764.1	XP_034178170.1, XP_034178169.1, XP_034178171.1
OG0002246	XP_017796203.1, XP_017796202.1	XP_034177939.1
OG0002247	XP_017787988.1, XP_017796762.1	XP_034180336.1
OG0002248	XP_017787972.1	XP_034191678.1
OG0002249	XP_017798511.1	XP_034191470.1, XP_034195284.1, XP_034195275.1
OG0002250	XP_017788002.1	XP_034192089.1
OG0002251	XP_017798995.1	XP_034172581.1, XP_034172582.1
OG0002252	XP_017798500.1	XP_034191427.1
OG0002253	XP_017791893.1, XP_017791894.1	XP_034179738.1, XP_034179744.1
OG0002254	XP_017789684.1, XP_017797108.1	XP_034179014.1
OG0002255	XP_017795107.1	XP_034179348.1, XP_034179347.1, XP_034179346.1, XP_034179344.1, XP_034179343.1
OG0002256	XP_017797903.1	XP_034175977.1
OG0002257	XP_017795907.1	XP_034179668.1
OG0002258	XP_017795854.1	XP_034185331.1, XP_034185338.1
OG0002259	XP_017787390.1	XP_034178997.1
OG0002260	XP_017791210.1	XP_034186833.1
OG0002261	XP_017792313.1	XP_034177469.1
OG0002262	XP_017795503.1	XP_034187489.1
OG0002263	XP_017792494.1	XP_034179688.1
OG0002264	XP_017794154.1	XP_034179413.1
OG0002265	XP_017787815.1	XP_034170812.1
OG0002266	XP_017789723.1	XP_034176362.1
OG0002267	XP_017794780.1	XP_034189133.1, XP_034189134.1, XP_034189131.1, XP_034189130.1, XP_034189132.1
OG0002268	XP_017791364.1	XP_034190730.1, XP_034190729.1
OG0002269	XP_017798586.1	XP_034180835.1, XP_034180836.1
OG0002270	XP_017791619.1	XP_034194012.1
OG0002272	XP_017799213.1	XP_034173415.1
OG0002273	XP_017795789.1	XP_034192251.1
OG0002274	XP_017789135.1	XP_034195819.1
OG0002275	XP_017797615.1	XP_034195855.1
OG0002276	XP_017790104.1	XP_034187930.1, XP_034187932.1, XP_034187931.1
OG0002277	XP_017791227.1	XP_034185187.1
OG0002278	XP_017794440.1	XP_034171667.1, XP_034171666.1, XP_034171668.1
OG0002279	XP_017794923.1	XP_034186933.1, XP_034186934.1
OG0002280	XP_017794439.1	XP_034196592.1, XP_034196598.1
OG0002281	XP_017788606.1	XP_034191961.1
OG0002282	XP_017798346.1	XP_034186724.1
OG0002283	XP_017788746.1	XP_034194717.1
OG0002284	XP_017798261.1, XP_017798262.1	XP_034187464.1, XP_034187463.1, XP_034187465.1
OG0002285	XP_017799222.1	XP_034173490.1, XP_034173491.1
OG0002286	XP_017798017.1	XP_034190422.1
OG0002287	XP_017798129.1	XP_034185946.1
OG0002288	XP_017793096.1	XP_034193098.1, XP_034193099.1
OG0002289	XP_017794045.1	XP_034190208.1
OG0002290	XP_017792082.1	XP_034186005.1, XP_034186006.1, XP_034186003.1, XP_034186004.1
OG0002291	XP_017791838.1	XP_034185835.1
OG0002292	XP_017793861.1	XP_034183749.1
OG0002293	XP_017797813.1	XP_034180618.1
OG0002294	XP_017796634.1	XP_034179218.1, XP_034179215.1
OG0002295	XP_017787903.1	XP_034171463.1
OG0002296	XP_017788450.1	XP_034182531.1
OG0002297	XP_017798120.1, XP_017798119.1, XP_017798118.1	XP_034173693.1
OG0002298	XP_017790760.1	XP_034177132.1, XP_034177131.1
OG0002299	XP_017790764.1	XP_034176863.1
OG0002300	XP_017793981.1	XP_034181816.1
OG0002301	XP_017794076.1	XP_034190356.1
OG0002302	XP_017793399.1	XP_034193286.1, XP_034193284.1, XP_034193287.1
OG0002303	XP_017789605.1	XP_034189444.1, XP_034189445.1
OG0002305	XP_017791772.1	XP_034184181.1
OG0002306	XP_017797309.1	XP_034184311.1
OG0002307	XP_017796143.1	XP_034188480.1, XP_034188479.1
OG0002308	XP_017797027.1	XP_034174734.1, XP_034174733.1
OG0002309	XP_017797831.1, XP_017797832.1	XP_034181193.1, XP_034185442.1
OG0002310	XP_017798021.1	XP_034190454.1
