Orthogroup	Habropoda_laboriosa	Dufourea_novaeangliae
OG0001617	XP_017797331.1	XP_015436102.1
OG0001619	XP_017794135.1	XP_015436271.1
OG0001620	XP_017799587.1	XP_015439552.1
OG0001621	XP_017797532.1	XP_015436308.1
OG0001622	XP_017790954.1	XP_015435370.1
OG0001623	XP_017787952.1, XP_017787951.1	XP_015431672.1
OG0001624	XP_017789965.1	XP_015438512.1
OG0001625	XP_017798955.1	XP_015440304.1
OG0001626	XP_017787958.1	XP_015431760.1
OG0001627	XP_017792564.1	XP_015431395.1
OG0001628	XP_017795431.1	XP_015438365.1
OG0001629	XP_017798647.1	XP_015429415.1
OG0001630	XP_017796658.1	XP_015437939.1
OG0001631	XP_017796675.1	XP_015439420.1
OG0001632	XP_017796166.1	XP_015431546.1
OG0001633	XP_017787744.1	XP_015428980.1
OG0001634	XP_017794033.1	XP_015430921.1
OG0001635	XP_017793674.1	XP_015440041.1
OG0001636	XP_017793659.1	XP_015440134.1
OG0001638	XP_017798141.1, XP_017798164.1	XP_015438019.1
OG0001639	XP_017787614.1	XP_015434670.1
OG0001640	XP_017787607.1	XP_015438669.1
OG0001641	XP_017797571.1	XP_015436715.1, XP_015436716.1
OG0001642	XP_017790792.1, XP_017790626.1	XP_015439645.1
OG0001643	XP_017794482.1	XP_015437276.1
OG0001644	XP_017790078.1	XP_015428917.1, XP_015428918.1
OG0001645	XP_017798833.1	XP_015440424.1
OG0001646	XP_017792845.1	XP_015440543.1
OG0001647	XP_017792881.1, XP_017792880.1	XP_015440464.1, XP_015440465.1
OG0001648	XP_017795400.1	XP_015436258.1
OG0001649	XP_017797118.1, XP_017797115.1, XP_017795753.1	XP_015436389.1
OG0001650	XP_017789926.1	XP_015433810.1
OG0001651	XP_017788663.1	XP_015439882.1
OG0001652	XP_017788516.1	XP_015439633.1
OG0001653	XP_017793600.1	XP_015431908.1
OG0001654	XP_017793637.1	XP_015431928.1
OG0001655	XP_017799540.1	XP_015428825.1
OG0001656	XP_017799513.1	XP_015437268.1
OG0001657	XP_017794247.1	XP_015438195.1
OG0001658	XP_017796444.1	XP_015434984.1
OG0001659	XP_017796490.1	XP_015435012.1
OG0001660	XP_017796462.1	XP_015433969.1
OG0001661	XP_017796417.1	XP_015434992.1
OG0001662	XP_017788271.1, XP_017788275.1, XP_017788274.1, XP_017788273.1, XP_017788272.1, XP_017788276.1	XP_015432534.1
OG0001663	XP_017790561.1	XP_015429071.1
OG0001664	XP_017796374.1	XP_015428533.1, XP_015428586.1
OG0001665	XP_017792372.1	XP_015429864.1
OG0001666	XP_017788540.1	XP_015431149.1
OG0001667	XP_017794951.1, XP_017794949.1	XP_015432737.1
OG0001668	XP_017796901.1	XP_015437005.1
OG0001669	XP_017792196.1	XP_015440078.1
OG0001670	XP_017793087.1, XP_017793086.1	XP_015440480.1, XP_015440478.1
OG0001671	XP_017793104.1	XP_015437762.1
OG0001672	XP_017795796.1	XP_015437156.1, XP_015437157.1
OG0001673	XP_017795822.1	XP_015438543.1
OG0001674	XP_017790239.1	XP_015431443.1
OG0001675	XP_017787670.1, XP_017787673.1	XP_015429490.1
OG0001676	XP_017787962.1	XP_015429042.1
OG0001677	XP_017797171.1	XP_015430313.1
OG0001678	XP_017789352.1	XP_015429372.1
OG0001679	XP_017788602.1	XP_015431077.1, XP_015431078.1
OG0001680	XP_017788580.1	XP_015439635.1
OG0001681	XP_017790063.1	XP_015429540.1, XP_015429541.1, XP_015429538.1, XP_015429539.1
OG0001682	XP_017790619.1, XP_017790617.1, XP_017790618.1	XP_015432244.1
OG0001683	XP_017787889.1	XP_015429458.1
OG0001684	XP_017797828.1	XP_015428983.1
OG0001685	XP_017790551.1	XP_015429162.1
OG0001686	XP_017798113.1	XP_015430731.1
OG0001687	XP_017798207.1	XP_015436950.1
OG0001688	XP_017796041.1	XP_015431644.1
OG0001689	XP_017798212.1	XP_015436934.1
OG0001690	XP_017790786.1	XP_015433265.1
OG0001691	XP_017796002.1	XP_015439867.1
OG0001692	XP_017793776.1, XP_017793768.1	XP_015429557.1
OG0001693	XP_017790529.1	XP_015434463.1
OG0001694	XP_017792227.1	XP_015436425.1
OG0001695	XP_017795679.1	XP_015433870.1
OG0001696	XP_017794068.1	XP_015430914.1, XP_015430915.1, XP_015430916.1, XP_015430917.1
OG0001697	XP_017799607.1	XP_015428967.1
OG0001698	XP_017791241.1	XP_015430544.1
OG0001699	XP_017795030.1	XP_015431050.1
OG0001700	XP_017789989.1	XP_015431299.1
OG0001701	XP_017791955.1	XP_015428958.1
OG0001703	XP_017795451.1, XP_017795452.1, XP_017795453.1	XP_015438608.1
OG0001704	XP_017792955.1	XP_015437290.1
OG0001705	XP_017797539.1	XP_015436546.1
OG0001706	XP_017793374.1	XP_015437021.1
OG0001707	XP_017792420.1	XP_015432136.1
OG0001708	XP_017788905.1	XP_015432403.1
OG0001709	XP_017789861.1	XP_015428541.1
OG0001710	XP_017791301.1	XP_015438123.1
OG0001711	XP_017789844.1	XP_015437609.1
OG0001712	XP_017789859.1	XP_015437612.1
OG0001713	XP_017794692.1	XP_015438727.1
OG0001714	XP_017797737.1	XP_015439042.1
OG0001715	XP_017797712.1	XP_015436471.1
OG0001716	XP_017794696.1	XP_015435225.1
OG0001717	XP_017798494.1	XP_015439167.1
OG0001718	XP_017787691.1, XP_017787693.1	XP_015430074.1
OG0001719	XP_017796630.1, XP_017796629.1	XP_015437972.1
OG0001720	XP_017799439.1, XP_017799445.1	XP_015438377.1
OG0001721	XP_017798441.1	XP_015430391.1
OG0001722	XP_017789433.1	XP_015429325.1
OG0001723	XP_017792305.1	XP_015437160.1
OG0001725	XP_017793187.1	XP_015432022.1
OG0001726	XP_017796445.1	XP_015435014.1
OG0001727	XP_017796436.1	XP_015435027.1
OG0001728	XP_017792702.1	XP_015433096.1
OG0001729	XP_017796440.1	XP_015434987.1
OG0001730	XP_017797916.1	XP_015431922.1
OG0001731	XP_017796452.1	XP_015434989.1
OG0001732	XP_017789391.1	XP_015437108.1, XP_015437105.1
OG0001733	XP_017789306.1	XP_015429316.1
OG0001734	XP_017796159.1	XP_015435775.1
OG0001735	XP_017798991.1	XP_015432829.1
OG0001736	XP_017788269.1	XP_015435926.1
OG0001737	XP_017796052.1	XP_015431751.1, XP_015431750.1
OG0001738	XP_017798072.1	XP_015437598.1
OG0001739	XP_017796891.1	XP_015433121.1
OG0001740	XP_017787938.1	XP_015431675.1
OG0001741	XP_017796312.1	XP_015436879.1
OG0001742	XP_017790367.1	XP_015436805.1
OG0001743	XP_017797284.1	XP_015431691.1
OG0001744	XP_017796906.1, XP_017796904.1, XP_017796905.1	XP_015440319.1
OG0001745	XP_017794883.1	XP_015433278.1, XP_015433279.1
OG0001746	XP_017795504.1	XP_015433284.1
OG0001747	XP_017794875.1	XP_015432675.1
OG0001748	XP_017792208.1	XP_015439782.1
OG0001749	XP_017795591.1	XP_015440008.1
OG0001750	XP_017793580.1	XP_015439283.1
OG0001751	XP_017793701.1, XP_017793700.1	XP_015440252.1
OG0001752	XP_017788551.1, XP_017788552.1	XP_015439802.1
OG0001753	XP_017796008.1	XP_015439958.1
OG0001754	XP_017789010.1	XP_015431999.1
OG0001756	XP_017797441.1	XP_015432527.1
OG0001757	XP_017797577.1	XP_015432062.1
OG0001758	XP_017792075.1	XP_015437137.1
OG0001759	XP_017787791.1, XP_017787789.1	XP_015434435.1, XP_015434437.1
OG0001760	XP_017788539.1	XP_015431144.1
OG0001761	XP_017795498.1	XP_015437600.1
OG0001762	XP_017791249.1, XP_017791251.1	XP_015433532.1
OG0001763	XP_017790500.1	XP_015429595.1
OG0001764	XP_017790020.1	XP_015435950.1
OG0001765	XP_017797846.1	XP_015428534.1
OG0001766	XP_017799592.1	XP_015430441.1
OG0001767	XP_017788574.1	XP_015431117.1
OG0001768	XP_017797670.1	XP_015431047.1
OG0001769	XP_017795220.1, XP_017788555.1	XP_015431039.1
OG0001770	XP_017790226.1	XP_015438580.1
OG0001771	XP_017790141.1	XP_015434742.1
OG0001772	XP_017795430.1	XP_015438521.1
OG0001773	XP_017789814.1	XP_015438399.1
OG0001774	XP_017790145.1	XP_015436643.1
OG0001775	XP_017790046.1	XP_015438450.1
OG0001776	XP_017793885.1	XP_015431430.1
OG0001777	XP_017790315.1	XP_015438319.1
OG0001778	XP_017798967.1	XP_015435251.1
OG0001779	XP_017792519.1	XP_015434026.1
OG0001781	XP_017793312.1	XP_015436598.1, XP_015438156.1
OG0001782	XP_017794317.1	XP_015430011.1
OG0001783	XP_017795568.1	XP_015435561.1
OG0001784	XP_017789587.1	XP_015428699.1
OG0001785	XP_017791491.1	XP_015438690.1
OG0001787	XP_017788709.1	XP_015432322.1
OG0001788	XP_017788830.1	XP_015428571.1
OG0001789	XP_017788704.1	XP_015432378.1
OG0001790	XP_017795765.1	XP_015437701.1
OG0001791	XP_017788884.1	XP_015432288.1
OG0001792	XP_017789851.1, XP_017789850.1	XP_015436864.1, XP_015436865.1
OG0001793	XP_017799304.1	XP_015433019.1
OG0001794	XP_017797709.1	XP_015434077.1
OG0001795	XP_017794707.1	XP_015435235.1
OG0001796	XP_017798775.1	XP_015438944.1
OG0001797	XP_017794627.1	XP_015429311.1
OG0001798	XP_017788038.1	XP_015439230.1
OG0001799	XP_017798655.1	XP_015430239.1
OG0001800	XP_017788007.1	XP_015434050.1
OG0001802	XP_017797534.1	XP_015429567.1
OG0001803	XP_017795889.1, XP_017795888.1	XP_015434839.1
OG0001804	XP_017795885.1	XP_015434792.1
OG0001805	XP_017795882.1	XP_015434884.1
OG0001807	XP_017793103.1	XP_015428703.1
OG0001808	XP_017799022.1	XP_015433128.1
OG0001808	XP_017799034.1	XP_015433129.1
OG0001809	XP_017796299.1, XP_017796300.1	XP_015437951.1
OG0001810	XP_017798319.1	XP_015428430.1
OG0001811	XP_017788288.1	XP_015432800.1
OG0001812	XP_017791004.1	XP_015434330.1
OG0001813	XP_017791650.1	XP_015429888.1
OG0001813	XP_017792062.1	XP_015429833.1
OG0001814	XP_017797838.1	XP_015438136.1, XP_015439757.1
OG0001815	XP_017787605.1	XP_015432253.1
OG0001816	XP_017795289.1, XP_017795290.1	XP_015436315.1
OG0001817	XP_017796528.1	XP_015435029.1
OG0001818	XP_017788104.1, XP_017788105.1	XP_015434314.1
OG0001819	XP_017799356.1	XP_015434928.1
OG0001820	XP_017787782.1	XP_015439400.1
OG0001821	XP_017796938.1	XP_015435107.1
OG0001822	XP_017790835.1	XP_015438597.1, XP_015438596.1
OG0001823	XP_017793818.1	XP_015429665.1
OG0001824	XP_017798167.1, XP_017798168.1	XP_015430754.1
OG0001825	XP_017796059.1	XP_015439936.1
OG0001826	XP_017790653.1	XP_015440037.1
OG0001827	XP_017789061.1	XP_015437162.1
OG0001828	XP_017795522.1	XP_015436332.1
OG0001829	XP_017789340.1	XP_015433682.1
OG0001830	XP_017798718.1	XP_015434128.1
OG0001831	XP_017793560.1	XP_015432434.1
OG0001832	XP_017797639.1	XP_015432034.1
OG0001833	XP_017790103.1	XP_015433725.1
OG0001834	XP_017788148.1	XP_015435807.1
OG0001835	XP_017798434.1	XP_015430297.1
OG0001836	XP_017792828.1	XP_015440539.1, XP_015440538.1
OG0001837	XP_017791635.1	XP_015429964.1
OG0001838	XP_017791815.1	XP_015439576.1
OG0001839	XP_017793069.1	XP_015437733.1
OG0001840	XP_017792804.1	XP_015428467.1
OG0001841	XP_017788251.1	XP_015438159.1
OG0001842	XP_017790993.1	XP_015435220.1
OG0001843	XP_017787708.1, XP_017787707.1	XP_015429725.1
OG0001844	XP_017790127.1	XP_015433814.1, XP_015433817.1
OG0001846	XP_017790398.1	XP_015434472.1, XP_015434473.1
OG0001847	XP_017790229.1	XP_015429721.1
OG0001848	XP_017794846.1	XP_015428480.1
OG0001849	XP_017795212.1	XP_015432037.1
OG0001850	XP_017789792.1	XP_015440083.1
OG0001851	XP_017798501.1	XP_015434140.1
OG0001852	XP_017795779.1, XP_017795777.1, XP_017795778.1	XP_015437699.1, XP_015437700.1
OG0001853	XP_017788346.1	XP_015432888.1
OG0001854	XP_017790515.1	XP_015429605.1
OG0001855	XP_017799253.1	XP_015435283.1
OG0001856	XP_017798747.1	XP_015440299.1
OG0001857	XP_017798029.1	XP_015428693.1
OG0001858	XP_017799264.1	XP_015435392.1
OG0001859	XP_017791722.1	XP_015434312.1
OG0001860	XP_017794488.1	XP_015434727.1, XP_015434729.1
OG0001861	XP_017791182.1	XP_015430573.1
OG0001862	XP_017795832.1	XP_015440384.1
OG0001863	XP_017797295.1	XP_015430211.1
OG0001864	XP_017790279.1, XP_017790297.1, XP_017790288.1	XP_015438493.1
OG0001865	XP_017796899.1	XP_015437003.1
OG0001866	XP_017798394.1	XP_015430358.1
OG0001867	XP_017795865.1, XP_017797110.1	XP_015434445.1, XP_015434446.1
OG0001868	XP_017787601.1	XP_015432140.1
OG0001869	XP_017791558.1	XP_015428868.1
OG0001870	XP_017791093.1	XP_015436274.1
OG0001871	XP_017798033.1	XP_015433472.1
OG0001872	XP_017787964.1, XP_017787967.1	XP_015429076.1
OG0001873	XP_017788916.1	XP_015431563.1
OG0001874	XP_017787863.1	XP_015429416.1
OG0001876	XP_017792661.1	XP_015428785.1
OG0001878	XP_017792498.1	XP_015438317.1
OG0001879	XP_017795125.1	XP_015436059.1
OG0001880	XP_017789610.1	XP_015428886.1
OG0001881	XP_017792758.1	XP_015428824.1
OG0001882	XP_017792908.1	XP_015433218.1, XP_015433217.1, XP_015433219.1
OG0001883	XP_017793813.1	XP_015429660.1
OG0001884	XP_017791460.1	XP_015437136.1, XP_015439623.1
OG0001887	XP_017794736.1	XP_015439208.1
OG0001888	XP_017793954.1	XP_015431411.1
OG0001890	XP_017795871.1	XP_015438117.1, XP_015434022.1, XP_015435159.1, XP_015437901.1
OG0001893	XP_017791156.1	XP_015436198.1
OG0001894	XP_017787722.1	XP_015431229.1, XP_015431230.1
OG0001895	XP_017794633.1	XP_015438983.1
OG0001896	XP_017789235.1	XP_015438800.1
OG0001898	XP_017793652.1, XP_017793653.1	XP_015440162.1
OG0001899	XP_017789944.1	XP_015434755.1, XP_015434748.1
OG0001900	XP_017787974.1	XP_015434147.1
OG0001901	XP_017796432.1, XP_017797084.1	XP_015434965.1
OG0001902	XP_017798646.1	XP_015439110.1
OG0001903	XP_017794499.1	XP_015434711.1, XP_015434712.1
OG0001904	XP_017788387.1	XP_015431438.1
OG0001905	XP_017798436.1	XP_015430246.1
OG0001906	XP_017793894.1	XP_015438522.1
OG0001907	XP_017795090.1	XP_015431175.1
OG0001908	XP_017796501.1	XP_015435005.1
OG0001909	XP_017793306.1	XP_015436590.1
OG0001910	XP_017790932.1	XP_015438507.1
OG0001911	XP_017789286.1	XP_015428395.1, XP_015428394.1
OG0001912	XP_017794419.1, XP_017798902.1	XP_015429194.1
OG0001913	XP_017788249.1	XP_015429970.1
OG0001914	XP_017792308.1	XP_015438209.1
OG0001915	XP_017794565.1	XP_015430084.1
OG0001916	XP_017791906.1	XP_015428877.1
OG0001917	XP_017787979.1	XP_015439118.1
OG0001918	XP_017799550.1	XP_015430408.1
OG0001919	XP_017797752.1	XP_015439232.1
OG0001920	XP_017795373.1	XP_015430050.1, XP_015430059.1
OG0001921	XP_017797878.1	XP_015435223.1
OG0001922	XP_017795875.1	XP_015434905.1
OG0001923	XP_017794861.1	XP_015432682.1
OG0001924	XP_017788252.1	XP_015429979.1
OG0001925	XP_017787430.1	XP_015430974.1, XP_015430975.1
OG0001926	XP_017794622.1	XP_015438747.1
OG0001927	XP_017790560.1	XP_015429017.1
OG0001928	XP_017790642.1	XP_015440096.1
OG0001929	XP_017794446.1	XP_015429023.1
OG0001930	XP_017795990.1	XP_015433375.1, XP_015433274.1
OG0001931	XP_017798340.1	XP_015430289.1
OG0001932	XP_017799030.1	XP_015435381.1
OG0001933	XP_017790744.1, XP_017790743.1	XP_015440131.1
OG0001934	XP_017798036.1	XP_015428796.1
OG0001935	XP_017791026.1	XP_015435751.1
OG0001936	XP_017789724.1, XP_017789731.1	XP_015428964.1, XP_015428963.1
OG0001937	XP_017796512.1	XP_015434952.1
OG0001939	XP_017794898.1	XP_015432242.1
OG0001940	XP_017798181.1	XP_015436888.1, XP_015436887.1
OG0001941	XP_017792555.1	XP_015438334.1
OG0001942	XP_017789346.1	XP_015431548.1
OG0001943	XP_017794219.1	XP_015429286.1
OG0001944	XP_017797701.1	XP_015439097.1
OG0001945	XP_017789819.1	XP_015430601.1
OG0001946	XP_017795984.1	XP_015431733.1
OG0001947	XP_017794193.1	XP_015438166.1
OG0001948	XP_017796716.1	XP_015439356.1
OG0001949	XP_017796607.1	XP_015439430.1, XP_015439429.1
OG0001950	XP_017795974.1	XP_015432347.1
OG0001951	XP_017789000.1	XP_015432405.1
OG0001952	XP_017789873.1	XP_015433623.1
OG0001953	XP_017795946.1	XP_015439618.1
OG0001954	XP_017797373.1	XP_015436042.1
OG0001955	XP_017798538.1	XP_015434058.1
OG0001956	XP_017792038.1	XP_015429922.1
OG0001958	XP_017797223.1	XP_015430790.1
OG0001959	XP_017796284.1	XP_015437989.1
OG0001960	XP_017787909.1	XP_015431843.1
OG0001961	XP_017788778.1	XP_015428575.1
OG0001962	XP_017799510.1, XP_017799508.1	XP_015430430.1
OG0001963	XP_017787591.1	XP_015439383.1
OG0001964	XP_017790177.1	XP_015431390.1
OG0001965	XP_017789920.1	XP_015437140.1
OG0001966	XP_017789044.1	XP_015437177.1
OG0001967	XP_017796638.1	XP_015439348.1
OG0001968	XP_017795023.1	XP_015436563.1
OG0001969	XP_017794073.1	XP_015430896.1
OG0001970	XP_017795926.1	XP_015431069.1, XP_015431056.1
OG0001971	XP_017797692.1, XP_017789558.1	XP_015439271.1, XP_015429309.1
OG0001972	XP_017792953.1	XP_015437329.1
OG0001973	XP_017790804.1	XP_015433355.1
OG0001974	XP_017792247.1	XP_015438185.1
OG0001975	XP_017789047.1	XP_015437205.1
OG0001976	XP_017799280.1	XP_015435395.1
OG0001977	XP_017789308.1	XP_015429374.1
OG0001978	XP_017797187.1	XP_015431745.1
OG0001979	XP_017792068.1	XP_015429898.1
OG0001980	XP_017792032.1	XP_015430043.1, XP_015430039.1
OG0001981	XP_017787836.1	XP_015435206.1
OG0001982	XP_017797821.1	XP_015439244.1
OG0001983	XP_017795097.1	XP_015434916.1, XP_015434915.1
OG0001984	XP_017792637.1	XP_015429701.1
OG0001985	XP_017798469.1	XP_015430284.1
OG0001986	XP_017798333.1	XP_015430279.1
OG0001987	XP_017798437.1	XP_015430350.1
OG0001988	XP_017798439.1	XP_015430269.1, XP_015430270.1
OG0001989	XP_017798403.1	XP_015430259.1
OG0001990	XP_017788763.1	XP_015432316.1
OG0001991	XP_017788816.1	XP_015432344.1
OG0001992	XP_017788754.1	XP_015432323.1
OG0001993	XP_017788858.1	XP_015432394.1
OG0001994	XP_017795281.1	XP_015431694.1
OG0001995	XP_017792547.1	XP_015438067.1
OG0001996	XP_017794207.1	XP_015429249.1
OG0001997	XP_017793687.1	XP_015434438.1
OG0001998	XP_017789477.1, XP_017789476.1	XP_015433688.1
OG0001999	XP_017788805.1	XP_015432404.1
OG0002000	XP_017788714.1	XP_015438023.1
OG0002001	XP_017791070.1	XP_015435871.1
OG0002002	XP_017797869.1	XP_015429694.1
OG0002003	XP_017797234.1	XP_015436908.1
OG0002004	XP_017790222.1	XP_015429552.1
OG0002005	XP_017791185.1	XP_015430417.1
OG0002006	XP_017791181.1	XP_015433539.1
OG0002007	XP_017793860.1	XP_015431312.1, XP_015431316.1
OG0002008	XP_017787915.1	XP_015431844.1, XP_015431845.1
OG0002009	XP_017793551.1	XP_015432433.1
OG0002010	XP_017793547.1	XP_015435633.1
OG0002011	XP_017790511.1	XP_015429255.1
OG0002012	XP_017788155.1	XP_015431484.1
OG0002013	XP_017794723.1	XP_015435210.1
OG0002014	XP_017788789.1	XP_015432350.1
OG0002016	XP_017796939.1	XP_015436663.1
OG0002017	XP_017787419.1	XP_015437532.1
OG0002018	XP_017788131.1	XP_015435906.1
OG0002019	XP_017793300.1	XP_015429192.1
OG0002020	XP_017791180.1	XP_015436190.1
OG0002021	XP_017795376.1	XP_015433932.1
OG0002022	XP_017787359.1	XP_015439538.1
OG0002023	XP_017790152.1	XP_015435070.1
OG0002024	XP_017796009.1	XP_015440025.1
OG0002025	XP_017789787.1	XP_015433235.1
OG0002026	XP_017789096.1	XP_015436767.1
OG0002027	XP_017797902.1	XP_015436755.1
OG0002028	XP_017793225.1	XP_015435799.1
OG0002029	XP_017787954.1	XP_015431744.1
OG0002030	XP_017793238.1	XP_015435920.1
OG0002031	XP_017792154.1	XP_015431301.1
OG0002032	XP_017792271.1	XP_015431364.1
OG0002033	XP_017795434.1, XP_017795435.1	XP_015438364.1
OG0002034	XP_017795479.1	XP_015433433.1
OG0002035	XP_017795438.1	XP_015438587.1, XP_015438584.1
OG0002036	XP_017797782.1	XP_015436497.1
OG0002037	XP_017787659.1	XP_015438680.1
OG0002038	XP_017787636.1	XP_015438684.1
OG0002039	XP_017790915.1	XP_015435705.1
OG0002040	XP_017791859.1	XP_015439396.1
OG0002041	XP_017791787.1	XP_015434864.1
OG0002042	XP_017796603.1	XP_015432445.1
OG0002043	XP_017792956.1	XP_015428712.1
OG0002044	XP_017791121.1	XP_015433528.1
OG0002045	XP_017791244.1	XP_015433530.1
OG0002046	XP_017798899.1	XP_015429617.1
OG0002047	XP_017789446.1	XP_015429344.1
OG0002048	XP_017796163.1	XP_015434267.1
OG0002049	XP_017797476.1	XP_015431962.1
OG0002050	XP_017796090.1	XP_015440163.1
OG0002051	XP_017796022.1, XP_017796021.1	XP_015433311.1
OG0002052	XP_017787806.1	XP_015434467.1
OG0002053	XP_017790267.1	XP_015435504.1
OG0002054	XP_017789535.1	XP_015428885.1
OG0002055	XP_017794071.1, XP_017794072.1	XP_015430933.1
OG0002057	XP_017787436.1, XP_017787437.1	XP_015433515.1, XP_015433514.1
OG0002058	XP_017787415.1	XP_015430425.1
OG0002059	XP_017794005.1, XP_017794010.1, XP_017794008.1, XP_017794009.1, XP_017794007.1	XP_015430479.1
OG0002060	XP_017793658.1	XP_015440062.1
OG0002061	XP_017798715.1	XP_015439093.1
OG0002062	XP_017798610.1	XP_015439036.1
OG0002063	XP_017795759.1	XP_015435161.1
OG0002064	XP_017792470.1	XP_015432091.1
OG0002065	XP_017789009.1	XP_015432017.1
OG0002066	XP_017789161.1	XP_015432025.1
OG0002067	XP_017797601.1	XP_015431973.1
OG0002068	XP_017791658.1	XP_015429842.1
OG0002069	XP_017791615.1	XP_015439563.1
OG0002070	XP_017798776.1	XP_015436493.1
OG0002071	XP_017798520.1	XP_015439249.1
OG0002072	XP_017789480.1	XP_015438483.1
OG0002073	XP_017792104.1	XP_015432629.1
OG0002074	XP_017793319.1	XP_015437044.1
OG0002075	XP_017793445.1	XP_015440514.1
OG0002076	XP_017793353.1	XP_015437712.1
OG0002077	XP_017798139.1, XP_017798140.1	XP_015430662.1
OG0002078	XP_017796992.1	XP_015430715.1, XP_015430716.1, XP_015430714.1
OG0002079	XP_017791191.1	XP_015436231.1
OG0002080	XP_017799519.1	XP_015436412.1
OG0002081	XP_017788522.1	XP_015436808.1
OG0002082	XP_017790783.1	XP_015440043.1
OG0002083	XP_017790648.1	XP_015439821.1
OG0002084	XP_017790735.1	XP_015433399.1
OG0002085	XP_017790488.1	XP_015429047.1, XP_015429046.1
OG0002087	XP_017795617.1	XP_015433739.1, XP_015433861.1
OG0002088	XP_017787870.1	XP_015429438.1
OG0002089	XP_017798030.1	XP_015428682.1
OG0002090	XP_017794147.1	XP_015436791.1
OG0002091	XP_017794281.1	XP_015437528.1
OG0002092	XP_017794145.1	XP_015438078.1
OG0002093	XP_017794240.1	XP_015437845.1
OG0002094	XP_017796421.1	XP_015434957.1
OG0002095	XP_017788701.1	XP_015432466.1
OG0002096	XP_017798557.1	XP_015431267.1
OG0002097	XP_017788267.1	XP_015431471.1
OG0002098	XP_017790165.1	XP_015431921.1
OG0002099	XP_017798179.1	XP_015436938.1
OG0002100	XP_017798282.1	XP_015430757.1
OG0002101	XP_017798284.1	XP_015430836.1
OG0002102	XP_017794894.1	XP_015432686.1
OG0002103	XP_017792341.1	XP_015438294.1, XP_015438293.1
OG0002104	XP_017797998.1	XP_015428744.1
OG0002105	XP_017792369.1	XP_015436909.1
OG0002106	XP_017793002.1	XP_015440456.1
OG0002107	XP_017793088.1	XP_015438131.1
OG0002108	XP_017795191.1	XP_015437280.1
OG0002109	XP_017799181.1	XP_015432916.1
OG0002110	XP_017799255.1	XP_015435391.1
OG0002111	XP_017788523.1, XP_017792107.1	XP_015429724.1
OG0002112	XP_017797526.1	XP_015438980.1
OG0002113	XP_017789181.1	XP_015436792.1
OG0002114	XP_017787647.1, XP_017787648.1	XP_015429465.1
OG0002115	XP_017796975.1	XP_015429706.1
OG0002116	XP_017792658.1	XP_015428765.1
OG0002117	XP_017788514.1	XP_015431150.1
OG0002118	XP_017797436.1	XP_015439630.1
OG0002119	XP_017797384.1	XP_015433734.1
OG0002120	XP_017797417.1	XP_015438752.1, XP_015438753.1
OG0002122	XP_017796154.1	XP_015432569.1
OG0002124	XP_017788236.1	XP_015434216.1
OG0002126	XP_017789365.1	XP_015429333.1, XP_015429330.1, XP_015429332.1
OG0002127	XP_017787949.1	XP_015431701.1
OG0002128	XP_017798153.1	XP_015430739.1
OG0002129	XP_017793790.1	XP_015437128.1
OG0002130	XP_017798147.1	XP_015430781.1, XP_015430644.1
OG0002131	XP_017794646.1, XP_017794645.1	XP_015428746.1
OG0002132	XP_017797201.1	XP_015431736.1
OG0002133	XP_017796243.1	XP_015439520.1
OG0002134	XP_017788672.1	XP_015440217.1
OG0002135	XP_017793593.1	XP_015440042.1
OG0002136	XP_017796000.1	XP_015439971.1, XP_015439970.1
OG0002137	XP_017789066.1	XP_015437165.1
OG0002138	XP_017797507.1	XP_015438610.1
OG0002139	XP_017793379.1	XP_015429212.1
OG0002140	XP_017792089.1	XP_015437284.1
OG0002141	XP_017790545.1	XP_015429619.1
OG0002142	XP_017797216.1, XP_017799499.1, XP_017799501.1	XP_015430447.1
OG0002143	XP_017788202.1	XP_015436505.1
OG0002145	XP_017787483.1	XP_015430483.1
OG0002146	XP_017790448.1	XP_015429581.1
OG0002147	XP_017794391.1	XP_015436077.1
OG0002148	XP_017795711.1	XP_015436050.1
OG0002150	XP_017790012.1	XP_015438385.1
OG0002151	XP_017789834.1	XP_015438502.1
OG0002152	XP_017788195.1, XP_017788194.1	XP_015436573.1
OG0002153	XP_017793106.1	XP_015440526.1
OG0002154	XP_017792855.1	XP_015440528.1
OG0002156	XP_017795757.1	XP_015434779.1
OG0002157	XP_017798595.1	XP_015439123.1
OG0002158	XP_017794661.1	XP_015439132.1
OG0002159	XP_017788000.1	XP_015434196.1, XP_015434197.1
OG0002160	XP_017797747.1	XP_015438930.1
OG0002161	XP_017787990.1, XP_017787991.1	XP_015439130.1
OG0002162	XP_017797563.1	XP_015429331.1
OG0002164	XP_017796621.1	XP_015432455.1
OG0002165	XP_017795880.1	XP_015434861.1
OG0002167	XP_017792611.1	XP_015431479.1
OG0002168	XP_017795702.1	XP_015431819.1
OG0002169	XP_017798939.1	XP_015435279.1
OG0002170	XP_017794224.1, XP_017794223.1	XP_015436168.1
OG0002171	XP_017794225.1	XP_015437724.1
OG0002172	XP_017797907.1	XP_015429738.1
OG0002173	XP_017794227.1	XP_015436120.1
OG0002174	XP_017796545.1	XP_015434994.1
OG0002175	XP_017792647.1	XP_015436023.1
OG0002176	XP_017796481.1	XP_015433988.1
OG0002178	XP_017796474.1	XP_015434949.1
OG0002179	XP_017795254.1	XP_015432564.1
