Orthogroup	Habropoda_laboriosa	Ceratina_calcarata
OG0000803	XP_017792195.1	XP_017879558.1
OG0000804	XP_017790151.1	XP_017892748.1
OG0000805	XP_017787829.1	XP_017892410.1, XP_017892409.1
OG0000806	XP_017791646.1, XP_017791647.1, XP_017791648.1, XP_017791649.1	XP_017881537.1
OG0000807	XP_017792320.1	XP_017882984.1
OG0000808	XP_017794117.1, XP_017794116.1	XP_017888347.1, XP_017888344.1
OG0000809	XP_017793169.1	XP_017892009.1
OG0000810	XP_017792511.1	XP_017882389.1
OG0000811	XP_017793900.1	XP_017876658.1
OG0000812	XP_017799108.1	XP_026673840.1, XP_026673839.1, XP_026673841.1, XP_017889013.1
OG0000813	XP_017796557.1	XP_017886294.2
OG0000814	XP_017796672.1	XP_017890394.1, XP_017889230.1, XP_017886295.1
OG0000815	XP_017796328.1	XP_017882910.1, XP_026670747.1
OG0000816	XP_017792899.1	XP_017889691.1
OG0000816	XP_017792900.1	XP_017889339.1
OG0000817	XP_017791793.1	XP_017889636.1, XP_017889633.1
OG0000818	XP_017791990.1	XP_017886749.1
OG0000819	XP_017791174.1	XP_017886917.1
OG0000820	XP_017794285.1	XP_017884371.2
OG0000821	XP_017792588.1, XP_017792586.1	XP_017891395.1, XP_017891387.1
OG0000822	XP_017791498.1	XP_017888495.1, XP_026673516.1, XP_026673517.1, XP_017888494.1, XP_017888497.1, XP_017888496.1
OG0000823	XP_017788827.1, XP_017788828.1	XP_017877547.1, XP_026668088.1
OG0000824	XP_017791167.1	XP_017883464.1
OG0000825	XP_017796687.1, XP_017796693.1, XP_017796677.1	XP_017878717.1, XP_017878720.1
OG0000826	XP_017797600.1	XP_017893062.1, XP_026666512.1
OG0000827	XP_017789002.1	XP_026674584.1, XP_026674583.1, XP_017890624.2
OG0000828	XP_017794333.1	XP_017891423.1, XP_017884968.1
OG0000829	XP_017791038.1	XP_017892057.1
OG0000830	XP_017797160.1	XP_017880799.1, XP_026669592.1, XP_026669587.1, XP_026669588.1, XP_017880791.1, XP_017880754.1, XP_017880808.1
OG0000831	XP_017794612.1	XP_026672906.1, XP_017887157.1
OG0000832	XP_017798015.1	XP_017883406.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883413.1, XP_017883405.1, XP_017883401.1
OG0000833	XP_017788182.1	XP_017887753.1, XP_026673088.1
OG0000834	XP_017798240.1	XP_017893581.2
OG0000835	XP_017792815.1	XP_017883704.1
OG0000836	XP_017790143.1	XP_017890737.1
OG0000837	XP_017796492.1	XP_017879262.1, XP_017879261.1
OG0000838	XP_017789179.1	XP_026673746.1
OG0000839	XP_017797647.1	XP_017875166.1, XP_026666983.1, XP_017875164.1, XP_017875167.1
OG0000840	XP_017799153.1	XP_017890725.1
OG0000841	XP_017787639.1	XP_017885425.2, XP_017889332.1
OG0000842	XP_017791324.1	XP_017882776.1
OG0000843	XP_017799533.1	XP_026670741.1, XP_026669288.1
OG0000845	XP_017795526.1	XP_026666958.1, XP_026666957.1, XP_017885622.2
OG0000847	XP_017789593.1	XP_017882048.1
OG0000848	XP_017795314.1	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1
OG0000849	XP_017788511.1	XP_026670573.1
OG0000849	XP_017793774.1	XP_026668161.1
OG0000850	XP_017790587.1, XP_017790586.1	XP_017876369.1
OG0000851	XP_017792986.1	XP_026669260.1, XP_017880007.1, XP_017880008.1
OG0000852	XP_017787968.1	XP_017883252.1, XP_026671014.1
OG0000853	XP_017797591.1	XP_017889198.1, XP_017890720.1, XP_026674581.1
OG0000854	XP_017794526.1	XP_017883750.1, XP_017889879.1
OG0000855	XP_017790506.1, XP_017790507.1	XP_017890893.1, XP_026675103.1
OG0000856	XP_017790923.1	XP_017879638.1
OG0000857	XP_017794948.1	XP_026669346.1, XP_017880254.1
OG0000858	XP_017796027.1	XP_017891378.1
OG0000859	XP_017789218.1	XP_017876237.1
OG0000860	XP_017795815.1	XP_017884453.1, XP_017884452.1
OG0000861	XP_017790960.1	XP_017883649.1, XP_017883650.1
OG0000862	XP_017795369.1	XP_017892806.2
OG0000863	XP_017790946.1	XP_017891121.1
OG0000864	XP_017787705.1	XP_017890385.1
OG0000865	XP_017793076.1	XP_026668583.1, XP_017878512.1
OG0000866	XP_017795887.1	XP_026668505.1, XP_026668506.1, XP_017878282.1, XP_017878283.1
OG0000867	XP_017792683.1	XP_017879050.1
OG0000868	XP_017797696.1	XP_017884474.1
OG0000869	XP_017790431.1, XP_017790430.1	XP_017883260.1
OG0000870	XP_017797062.1	XP_017893630.1
OG0000871	XP_017788026.1	XP_026667149.1
OG0000872	XP_017789580.1	XP_017885251.1
OG0000873	XP_017789064.1	XP_017875636.1
OG0000874	XP_017791742.1	XP_017882439.1, XP_017882435.1
OG0000875	XP_017797572.1	XP_017887335.1
OG0000876	XP_017799585.1	XP_017878287.1
OG0000878	XP_017791259.1	XP_017876926.2
OG0000879	XP_017794937.1	XP_017886731.1, XP_017886732.1, XP_026672730.1
OG0000880	XP_017794056.1, XP_017794065.1	XP_017885571.1
OG0000881	XP_017795909.1	XP_026672481.1
OG0000882	XP_017789565.1	XP_017891598.1
OG0000883	XP_017793535.1, XP_017793536.1	XP_017889507.1
OG0000884	XP_017793961.1	XP_017882302.1, XP_026670265.1, XP_026670266.1, XP_026670267.1, XP_026670268.1
OG0000885	XP_017797900.1	XP_017884544.1
OG0000886	XP_017788147.1	XP_017886063.1, XP_026672383.1, XP_026672382.1, XP_026672381.1, XP_017886065.1
OG0000887	XP_017795095.1	XP_017892669.1
OG0000888	XP_017794871.1, XP_017794845.1	XP_026671455.1, XP_017884355.1
OG0000889	XP_017795000.1	XP_017888433.1, XP_026673527.1
OG0000890	XP_017790860.1	XP_017892129.1, XP_017892200.1, XP_026671008.1
OG0000891	XP_017796826.1	XP_017893287.1
OG0000892	XP_017791358.1, XP_017791357.1	XP_017881148.1
OG0000894	XP_017789689.1	XP_017889568.1
OG0000895	XP_017798864.1	XP_017892209.1
OG0000896	XP_017797650.1	XP_017892765.1
OG0000897	XP_017796031.1	XP_026674894.1, XP_017891328.1
OG0000898	XP_017790280.1	XP_017892936.1, XP_026675640.1, XP_026675641.1, XP_026675642.1
OG0000899	XP_017789626.1	XP_017882122.1
OG0000900	XP_017793667.1	XP_026670847.1
OG0000901	XP_017798527.1	XP_017875431.1
OG0000902	XP_017798652.1	XP_026671781.1, XP_017884666.1
OG0000903	XP_017793795.1	XP_017886582.1
OG0000904	XP_017792103.1, XP_017792109.1	XP_017883838.1
OG0000905	XP_017793461.1	XP_017890610.1
OG0000906	XP_017791733.1	XP_017881339.1, XP_017881344.1
OG0000907	XP_017798086.1	XP_017882735.2, XP_017878774.1, XP_026668735.1, XP_026668736.1, XP_026668737.1
OG0000908	XP_017798065.1	XP_017893606.1
OG0000909	XP_017788666.1	XP_026669048.1, XP_026669047.1, XP_017879542.2
OG0000910	XP_017790795.1	XP_017876234.1
OG0000911	XP_017795647.1	XP_017887562.1
OG0000912	XP_017787817.1	XP_017892422.1
OG0000913	XP_017794236.1	XP_017892397.1
OG0000914	XP_017789942.1	XP_017882765.1, XP_026670187.1
OG0000915	XP_017795242.1	XP_017886030.1
OG0000916	XP_017798942.1	XP_026669156.1
OG0000917	XP_017788329.1	XP_017881018.1
OG0000919	XP_017791555.1	XP_017875736.1, XP_017875735.1
OG0000920	XP_017795320.1	XP_026672814.1, XP_026672812.1
OG0000922	XP_017799081.1	XP_017888184.1
OG0000923	XP_017798235.1, XP_017798234.1	XP_026666863.1
OG0000924	XP_017789003.1	XP_017879700.1
OG0000925	XP_017795788.1	XP_017884094.1, XP_026671362.1
OG0000926	XP_017797395.1	XP_017890874.1
OG0000927	XP_017798028.1	XP_017888894.1
OG0000928	XP_017790527.1	XP_017877351.1, XP_026668016.1, XP_017877352.1
OG0000929	XP_017797866.1	XP_017875797.1
OG0000930	XP_017791150.1, XP_017791148.1, XP_017791149.1	XP_026672554.1
OG0000931	XP_017794343.1	XP_017885488.1, XP_017885482.1, XP_026672348.1
OG0000932	XP_017789413.1	XP_026667209.1, XP_026667210.1
OG0000933	XP_017795562.1	XP_017881662.1
OG0000934	XP_017795574.1	XP_026673460.1, XP_017888302.1, XP_017888301.1
OG0000935	XP_017790271.1	XP_026666474.1, XP_017892912.1, XP_026666475.1
OG0000936	XP_017797250.1	XP_017875901.1
OG0000937	XP_017792400.1	XP_017885882.1
OG0000938	XP_017794766.1	XP_026673955.1
OG0000939	XP_017796637.1	XP_017892582.1, XP_017892587.1
OG0000940	XP_017799090.1	XP_017890732.1, XP_026674620.1
OG0000941	XP_017792044.1	XP_017885951.1
OG0000942	XP_017798993.1	XP_017890636.2
OG0000943	XP_017794254.1	XP_017887877.1, XP_026673247.1, XP_026673248.1
OG0000944	XP_017794732.1	XP_026670468.1
OG0000945	XP_017798954.1	XP_017880151.1
OG0000946	XP_017796529.1	XP_017878210.1, XP_026668448.1, XP_026668449.1, XP_026668450.1
OG0000947	XP_017790612.1	XP_026667803.1
OG0000948	XP_017796519.1	XP_017879270.1
OG0000950	XP_017790502.1	XP_017875674.1
OG0000951	XP_017796937.1	XP_017882029.1
OG0000952	XP_017791935.1	XP_017879808.1
OG0000953	XP_017796048.1	XP_017883134.1, XP_026670853.1
OG0000954	XP_017790754.1	XP_017888998.1
OG0000955	XP_017787643.1	XP_017885399.2, XP_017876441.1
OG0000956	XP_017790739.1, XP_017790740.1, XP_017790710.1	XP_026671068.1
OG0000957	XP_017795204.1	XP_017889208.1
OG0000958	XP_017792310.1	XP_026671998.1
OG0000959	XP_017794102.1	XP_017877251.1, XP_017877253.1
OG0000960	XP_017787470.1	XP_017876032.1
OG0000960	XP_017787453.1	XP_017892939.1, XP_017892942.1, XP_017892941.1
OG0000961	XP_017793952.1	XP_017875753.2
OG0000961	XP_017793181.1	XP_026669715.1
OG0000962	XP_017794042.1	XP_017881155.1
OG0000963	XP_017791118.1	XP_017881550.1
OG0000964	XP_017798891.1	XP_017892408.1
OG0000965	XP_017798863.1	XP_017893217.1, XP_017893218.1
OG0000966	XP_017791137.1	XP_017893061.1, XP_017893051.1
OG0000967	XP_017791221.1	XP_017886627.1, XP_026672574.1, XP_017886658.1, XP_017886643.1, XP_017886650.1, XP_026672571.1
OG0000970	XP_017791552.1	XP_017882001.1
OG0000971	XP_017792985.1	XP_026672461.1
OG0000972	XP_017795537.1	XP_017876939.1, XP_017876938.1, XP_026667842.1
OG0000973	XP_017791388.1	XP_017881151.1
OG0000974	XP_017789562.1, XP_017789563.1	XP_026675013.1
OG0000975	XP_017788896.1	XP_017890279.1
OG0000976	XP_017798641.1	XP_017884640.1, XP_017884639.1
OG0000977	XP_017794691.1	XP_017882215.1
OG0000978	XP_017792694.1	XP_026670440.1, XP_026670439.1, XP_026670441.1, XP_017882221.1
OG0000979	XP_017796315.1, XP_017796314.1	XP_026670777.1, XP_017882917.1
OG0000980	XP_017787771.1	XP_026666956.1, XP_017889737.1, XP_017889735.1
OG0000981	XP_017788308.1	XP_026674661.1
OG0000982	XP_017792701.1	XP_017892866.1
OG0000983	XP_017795840.1	XP_017875408.1, XP_026673201.1
OG0000984	XP_017790268.1	XP_026667240.1
OG0000985	XP_017792893.1, XP_017792894.1	XP_017878954.1, XP_017878943.1
OG0000986	XP_017798040.1	XP_017875899.1
OG0000987	XP_017794876.1, XP_017794877.1	XP_017880171.1, XP_017880169.1
OG0000988	XP_017797620.1	XP_017893041.1
OG0000989	XP_017798901.1	XP_017881316.1, XP_017881317.1, XP_017881314.1, XP_017881315.1
OG0000990	XP_017787451.1, XP_017787452.1, XP_017787450.1	XP_017888873.1, XP_026673739.1
OG0000991	XP_017795837.1	XP_017890910.1
OG0000992	XP_017799281.1	XP_017886511.2
OG0000993	XP_017789765.1, XP_017789772.1	XP_017875660.1, XP_017875659.1
OG0000994	XP_017792580.1, XP_017792579.1	XP_026675119.1
OG0000995	XP_017797660.1	XP_017888643.1
OG0000996	XP_017787890.1	XP_017892888.1
OG0000997	XP_017793497.1	XP_017893182.1
OG0000998	XP_017795655.1	XP_017892522.1
OG0001000	XP_017790689.1	XP_017890150.1
OG0001001	XP_017791025.1	XP_017887717.1, XP_026673045.1
OG0001002	XP_017791998.1	XP_017887748.1, XP_017887747.1
OG0001003	XP_017791161.1	XP_017875624.1
OG0001004	XP_017787537.1	XP_017886825.1
OG0001005	XP_017793477.1	XP_017878403.1
OG0001006	XP_017791437.1	XP_017880034.1
OG0001007	XP_017789897.1	XP_017885489.2, XP_026672126.1, XP_017878082.2, XP_017876336.1, XP_017893147.2, XP_026672146.1, XP_026671946.1, XP_026672145.1, XP_017888250.2
OG0001008	XP_017797854.1	XP_017884417.1
OG0001009	XP_017795083.1	XP_017891497.1
OG0001010	XP_017795140.1	XP_017887555.1, XP_026673052.1
OG0001011	XP_017795797.1, XP_017795798.1	XP_026671202.1
OG0001012	XP_017798877.1	XP_017891083.1
OG0001013	XP_017795066.1	XP_017890164.1, XP_017890162.1, XP_017890163.1, XP_026674321.1
OG0001014	XP_017792806.1	XP_017890676.1
OG0001015	XP_017794695.1	XP_017876752.1, XP_026667755.1, XP_026667754.1, XP_026667753.1, XP_017876341.1
OG0001016	XP_017795664.1	XP_026675468.1, XP_026675469.1
OG0001017	XP_017797873.1	XP_017875801.1
OG0001018	XP_017792576.1	XP_017876594.1
OG0001019	XP_017790509.1	XP_017886719.1
OG0001020	XP_017791405.1	XP_017879902.1
OG0001021	XP_017788278.1	XP_017892800.1
OG0001023	XP_017797053.1	XP_017882371.1, XP_017892292.1
OG0001024	XP_017797833.1, XP_017795847.1	XP_026670214.1, XP_017881575.1, XP_017880999.1, XP_017887183.2
OG0001026	XP_017792249.1	XP_017887715.1, XP_026673144.1, XP_026673143.1
OG0001027	XP_017794535.1, XP_017795067.1, XP_017794322.1	XP_026667264.1
OG0001029	XP_017790439.1, XP_017790440.1	XP_026674940.1, XP_017891258.1
OG0001030	XP_017788575.1	XP_017891965.1, XP_017891962.1, XP_017891963.1
OG0001031	XP_017791067.1	XP_026669092.1, XP_026669091.1
OG0001032	XP_017796506.1	XP_017883617.2, XP_026671280.1
OG0001033	XP_017788926.1, XP_017788929.1, XP_017788927.1	XP_017884931.1, XP_017884941.1
OG0001034	XP_017794341.1, XP_017794340.1	XP_017877433.1, XP_017885659.1, XP_017877434.1, XP_017877431.1, XP_017877430.1
OG0001035	XP_017790887.1, XP_017790888.1	XP_017883236.2, XP_017883240.1
OG0001036	XP_017791994.1	XP_026670773.1, XP_017882988.1, XP_026670781.1, XP_017882986.1
OG0001037	XP_017798599.1	XP_026671763.1, XP_017884604.1
OG0001038	XP_017797120.1	XP_017881699.1
OG0001038	XP_017797114.1	XP_017881700.1
OG0001039	XP_017797844.1	XP_017890947.1, XP_017890949.1
OG0001040	XP_017795559.1, XP_017795560.1	XP_026672454.1, XP_026672451.1
OG0001041	XP_017792736.1	XP_026666465.1, XP_026666463.1, XP_026666462.1, XP_017892894.1
OG0001042	XP_017789223.1	XP_026673450.1
OG0001043	XP_017788571.1	XP_017879640.1
OG0001044	XP_017790259.1	XP_017879066.1
OG0001045	XP_017792743.1	XP_017879047.1
OG0001046	XP_017796851.1	XP_017891820.1, XP_026675191.1
OG0001047	XP_017790265.1	XP_017878705.1, XP_017878704.1
OG0001049	XP_017793011.1, XP_017793010.1	XP_017880011.1
OG0001050	XP_017791916.1	XP_017891911.1
OG0001051	XP_017797874.1, XP_017797139.1, XP_017797889.1	XP_026667306.1
OG0001052	XP_017797356.1	XP_017892823.1, XP_017892824.1
OG0001053	XP_017788870.1	XP_017891851.1, XP_026675172.1
OG0001054	XP_017787857.1	XP_017885186.1, XP_017885187.1
OG0001055	XP_017792015.1	XP_017892301.1, XP_017879157.1, XP_017888730.2, XP_017885269.1
OG0001056	XP_017790534.1	XP_017893360.1
OG0001057	XP_017793516.1	XP_017888633.1
OG0001058	XP_017794728.1	XP_017882141.1, XP_017882142.1
OG0001059	XP_017797636.1	XP_017890411.1
OG0001060	XP_017795052.1	XP_017880108.2
OG0001061	XP_017788589.1	XP_017885787.1, XP_017885788.1, XP_026672226.1, XP_017885790.1, XP_026672225.1, XP_017885786.1
OG0001062	XP_017788658.1	XP_017890226.1
OG0001063	XP_017799110.1	XP_017883973.1
OG0001064	XP_017798970.1	XP_026667351.1, XP_026667352.1, XP_017875945.1, XP_026667350.1, XP_017875946.1
OG0001065	XP_017799054.1	XP_026673198.1, XP_026673199.1, XP_026673200.1, XP_017887788.1
OG0001066	XP_017790338.1	XP_017879502.1, XP_017879503.1
OG0001067	XP_017798387.1	XP_017877182.1
OG0001068	XP_017792812.1	XP_026671161.1
OG0001069	XP_017788965.1	XP_017891834.1
OG0001070	XP_017789058.1, XP_017789059.1	XP_026669127.1, XP_017879703.1
OG0001072	XP_017791578.1	XP_026670299.1
OG0001073	XP_017791072.1, XP_017791071.1	XP_017879404.2, XP_026675514.1, XP_017888046.2, XP_026673303.1
OG0001074	XP_017797851.1	XP_017883349.1, XP_017883348.1
OG0001075	XP_017797035.1, XP_017797030.1	XP_017885525.1
OG0001076	XP_017792623.1	XP_026666455.1
OG0001077	XP_017797669.1	XP_017881299.1
OG0001078	XP_017794660.1	XP_017886614.1
OG0001079	XP_017798426.1	XP_017875360.1
OG0001079	XP_017798312.1	XP_026671953.1
OG0001080	XP_017790446.1	XP_017877358.1
OG0001081	XP_017788099.1	XP_017880740.1
OG0001082	XP_017790637.1	XP_017883034.1
OG0001083	XP_017793602.1	XP_026675374.1
OG0001083	XP_017793587.1	XP_017892220.1
OG0001084	XP_017787998.1	XP_017888072.1
OG0001084	XP_017788003.1	XP_017888071.1
OG0001085	XP_017788968.1	XP_017891928.1
OG0001086	XP_017797256.1	XP_017880350.1
OG0001087	XP_017793728.1	XP_017891039.1
OG0001088	XP_017797405.1	XP_017877090.1, XP_017877089.1
OG0001089	XP_017790406.1	XP_026669042.1, XP_026669012.1
OG0001090	XP_017797332.1	XP_017881591.1
OG0001091	XP_017796020.1	XP_017891803.1, XP_026675136.1
OG0001093	XP_017794688.1	XP_026672911.1, XP_017887152.1
OG0001094	XP_017791534.1	XP_017888492.1, XP_017888491.1
OG0001095	XP_017789634.1	XP_026669849.1
OG0001096	XP_017793805.1	XP_026669917.1, XP_017881348.1
OG0001097	XP_017793215.1, XP_017793214.1	XP_026670981.1, XP_017883340.1
OG0001098	XP_017793264.1	XP_017877082.1
OG0001099	XP_017788139.1	XP_017880606.1
OG0001100	XP_017791683.1	XP_017882444.1
OG0001101	XP_017797549.1, XP_017797550.1	XP_017886223.1, XP_017883955.1, XP_017883953.1, XP_017883954.1
OG0001102	XP_017795201.1	XP_026669273.1, XP_026669275.1, XP_026669277.1
OG0001103	XP_017789600.1	XP_026667634.1, XP_026667626.1, XP_026667629.1
OG0001104	XP_017794088.1	XP_017876029.1
OG0001105	XP_017793690.1	XP_017883121.1
OG0001106	XP_017795646.1	XP_017887918.1
OG0001107	XP_017792527.1, XP_017792526.1	XP_026675544.1
OG0001108	XP_017798587.1	XP_026671747.1
OG0001109	XP_017792825.1	XP_017878408.1, XP_017878409.1, XP_017878407.1, XP_017878406.1
OG0001110	XP_017789234.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001111	XP_017793389.1	XP_017878432.1
OG0001112	XP_017793421.1	XP_026668656.1
OG0001113	XP_017791353.1, XP_017791352.1	XP_026670613.1
OG0001114	XP_017791159.1	XP_026668091.1, XP_017877511.1
OG0001115	XP_017790732.1	XP_026671175.1
OG0001116	XP_017791672.1	XP_017875282.1
OG0001117	XP_017792076.1	XP_017887979.1
OG0001118	XP_017796469.1	XP_017878216.1
OG0001119	XP_017796507.1	XP_017879362.1
OG0001120	XP_017788815.1, XP_017788891.1	XP_017884005.1
OG0001121	XP_017791598.1	XP_017876719.1, XP_017876718.1
OG0001122	XP_017798108.1	XP_017878842.1
OG0001124	XP_017789176.1	XP_017880270.1
OG0001125	XP_017792368.1	XP_017875134.1, XP_017875126.1
OG0001126	XP_017792346.1	XP_026672346.1, XP_017885838.1
OG0001127	XP_017792216.1	XP_017879604.1
OG0001128	XP_017794915.1	XP_017886867.1
OG0001129	XP_017793128.1	XP_017886238.1
OG0001130	XP_017799383.1	XP_017889163.1
OG0001131	XP_017796950.1, XP_017796373.1	XP_026673904.1, XP_026670639.1, XP_026673902.1
OG0001132	XP_017797932.1	XP_026675278.1, XP_017892087.1
OG0001133	XP_017792745.1	XP_026668840.1, XP_017878934.1, XP_017878936.1, XP_017878935.1
OG0001134	XP_017795255.1	XP_017883513.1, XP_026671069.1, XP_026671070.1, XP_026671071.1
OG0001135	XP_017792652.1	XP_026670822.1
OG0001136	XP_017792740.1	XP_017886624.1
OG0001137	XP_017798073.1	XP_026675072.1, XP_026675076.1
OG0001138	XP_017792212.1	XP_026670874.1, XP_017883156.1
OG0001139	XP_017788624.1	XP_017879619.1
OG0001140	XP_017789069.1	XP_017880274.1
OG0001141	XP_017793554.1	XP_017888519.1
OG0001142	XP_017795634.1	XP_017892464.1
OG0001142	XP_017795635.1	XP_017892467.1
OG0001143	XP_017787472.1	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_026673687.1, XP_017888895.1
OG0001144	XP_017796814.1, XP_017796815.1	XP_017881313.1
OG0001145	XP_017791643.1	XP_017883857.1, XP_017883856.1
OG0001146	XP_017789823.1	XP_017886568.1
OG0001147	XP_017795565.1	XP_017876290.1
OG0001148	XP_017788035.1	XP_017888068.1
OG0001149	XP_017796671.1	XP_017886333.1, XP_017886334.1, XP_026672516.1
OG0001150	XP_017798444.1	XP_017890670.1, XP_017890668.1, XP_017890669.1
OG0001151	XP_017799146.1	XP_026673420.1
OG0001152	XP_017788257.1, XP_017788207.1	XP_017891829.1
OG0001153	XP_017796517.1	XP_026668983.1, XP_017879315.1
OG0001154	XP_017787874.1	XP_017884127.1, XP_017884118.1
OG0001155	XP_017792691.1, XP_017792689.1, XP_017792690.1	XP_017892370.1
OG0001156	XP_017798264.1	XP_026668532.1
OG0001157	XP_017798961.1	XP_017888208.1
OG0001158	XP_017796886.1	XP_026672188.1, XP_017885718.1
OG0001159	XP_017788521.1	XP_017892031.1
OG0001160	XP_017795024.1	XP_017883520.1, XP_017883519.1
OG0001161	XP_017795831.1	XP_017881615.1, XP_017881614.1, XP_017881613.1
OG0001162	XP_017796932.1	XP_026671892.1, XP_026671891.1, XP_026671890.1, XP_026671895.1, XP_026671893.1, XP_026671894.1
OG0001163	XP_017792014.1	XP_017885855.1
OG0001164	XP_017795640.1	XP_017887707.1, XP_026673057.1, XP_026673056.1, XP_026673055.1
OG0001165	XP_017791638.1	XP_017887871.1
OG0001166	XP_017790030.1	XP_017889444.1
OG0001167	XP_017787839.1	XP_017885155.1, XP_026671985.1
OG0001168	XP_017787797.1	XP_017874995.1
OG0001169	XP_017799476.1	XP_026675580.1
OG0001169	XP_017799605.1	XP_026675574.1
OG0001170	XP_017790952.1	XP_026666630.1
OG0001171	XP_017789980.1	XP_017878550.1
OG0001172	XP_017791135.1	XP_026670220.1
OG0001173	XP_017791080.1	XP_017882367.1, XP_017882368.1
OG0001174	XP_017791269.1	XP_026674413.1
OG0001175	XP_017799478.1	XP_017885371.1
OG0001176	XP_017791625.1	XP_026670242.1
OG0001176	XP_017791569.1	XP_026670241.1, XP_017891434.1
OG0001178	XP_017797195.1	XP_026673531.1, XP_026673533.1, XP_026673532.1, XP_017888510.1
OG0001179	XP_017788577.1	XP_026675245.1
OG0001180	XP_017795714.1	XP_017878360.1
OG0001181	XP_017795471.1	XP_017882130.1
OG0001182	XP_017793395.1	XP_017880391.1
OG0001183	XP_017793487.1	XP_017890544.1
OG0001184	XP_017794201.1	XP_017881391.1
OG0001185	XP_017794257.1	XP_026671514.1
OG0001186	XP_017793359.1	XP_026675650.1, XP_026675649.1
OG0001187	XP_017793158.1, XP_017793157.1	XP_017877619.1
OG0001188	XP_017792960.1	XP_017879030.1
OG0001189	XP_017792070.1	XP_026669485.1, XP_026669486.1, XP_026669487.1, XP_017880443.1
OG0001190	XP_017793019.1	XP_026669253.1, XP_017879996.1, XP_026669256.1, XP_026669254.1, XP_026669255.1
OG0001191	XP_017788751.1	XP_026666804.1, XP_026666810.1
OG0001192	XP_017798799.1	XP_026671655.1, XP_026671650.1
OG0001193	XP_017797814.1, XP_017797815.1	XP_017888127.1
OG0001194	XP_017798608.1	XP_026671861.1, XP_026671863.1, XP_026671862.1, XP_017884638.1
OG0001195	XP_017793524.1	XP_017889504.1
OG0001196	XP_017789757.1	XP_017882882.1
OG0001197	XP_017791396.1, XP_017791323.1	XP_017882789.1, XP_017882787.1
OG0001198	XP_017787412.1	XP_017888741.1, XP_026673698.1
OG0001199	XP_017797491.1	XP_017890964.1, XP_017890962.1, XP_017890966.1, XP_017890965.1, XP_017890967.1, XP_017890969.1, XP_026674685.1, XP_017890961.1
OG0001200	XP_017793707.1	XP_017883155.1
OG0001201	XP_017793416.1	XP_017890647.1, XP_017883228.1, XP_017883229.1, XP_026670908.1, XP_017883230.1
OG0001202	XP_017793734.1	XP_017891267.2
OG0001203	XP_017793955.1, XP_017793956.1	XP_017876530.2
OG0001204	XP_017793453.1	XP_017878619.1
OG0001205	XP_017798757.1	XP_017884815.1
OG0001206	XP_017792291.1	XP_017885842.1
OG0001206	XP_017792290.1	XP_017885841.1
OG0001207	XP_017788402.1	XP_017879182.1
OG0001208	XP_017789264.1	XP_017886567.1, XP_017886558.1
OG0001209	XP_017788824.1	XP_017882487.1
OG0001210	XP_017788660.1, XP_017788661.1	XP_017890089.1
OG0001211	XP_017796132.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0001212	XP_017799228.1	XP_017888226.1, XP_026673403.1
OG0001213	XP_017790005.1	XP_017889286.1
OG0001214	XP_017790283.1	XP_017879068.1
OG0001215	XP_017794970.1, XP_017794969.1, XP_017794971.1	XP_017880146.1
OG0001216	XP_017796715.1, XP_017796714.1, XP_017796713.1	XP_017889583.1
OG0001217	XP_017793400.1	XP_026675653.1, XP_017892921.1, XP_017892924.1, XP_026675652.1, XP_026675654.1, XP_017892925.1, XP_026675655.1
OG0001218	XP_017789690.1	XP_017882124.1
OG0001219	XP_017790871.1	XP_017876353.1
OG0001219	XP_017790994.1	XP_017876352.1, XP_026667536.1
OG0001220	XP_017788157.1	XP_017880975.1
OG0001221	XP_017798431.1, XP_017798432.1	XP_017889996.1
OG0001222	XP_017791168.1	XP_017881412.1, XP_026669973.1
OG0001223	XP_017790396.1	XP_026673331.1, XP_026673282.1
OG0001224	XP_017794711.1	XP_017882283.1
OG0001225	XP_017789753.1	XP_017890803.1, XP_017890802.1, XP_017890801.1, XP_026674660.1
OG0001226	XP_017793450.1	XP_017878487.1, XP_017878486.1
OG0001227	XP_017791835.1	XP_026674120.1, XP_017889532.1
OG0001228	XP_017791866.1	XP_017889956.1, XP_026674122.1, XP_017889955.1
OG0001229	XP_017799288.1	XP_017889131.1
OG0001230	XP_017797298.1, XP_017797296.1	XP_026674450.1
OG0001231	XP_017796001.1, XP_017796079.1, XP_017796077.1	XP_026674508.1, XP_017890510.1
OG0001232	XP_017789975.1	XP_017887663.1, XP_017887655.1, XP_026674840.1, XP_026667909.1, XP_026673848.1
OG0001233	XP_017797703.1, XP_017797702.1	XP_026671692.1
OG0001235	XP_017799491.1	XP_017882805.2
OG0001236	XP_017794261.1	XP_026673231.1, XP_026667519.1
OG0001238	XP_017793474.1	XP_017885361.1
OG0001240	XP_017796130.1	XP_017885185.1
OG0001241	XP_017794032.1	XP_017893259.1
OG0001242	XP_017799157.1	XP_017881024.1
OG0001243	XP_017799536.1	XP_017887355.1
