Orthogroup	Vespa_mandarinia	Tribolium_castaneum
OG0000617	XP_035726446.1	XP_015832965.1
OG0000619	XP_035744132.1, XP_035744129.1, XP_035744128.1, XP_035744131.1, XP_035744130.1	XP_971446.1
OG0000620	XP_035727153.1, XP_035727154.1	XP_969072.1
OG0000621	XP_035718106.1, XP_035718105.1, XP_035718103.1, XP_035718104.1	XP_972828.3
OG0000622	XP_035721433.1, XP_035721435.1	XP_971566.1
OG0000623	XP_035740554.1, XP_035740553.1, XP_035740555.1, XP_035740556.1, XP_035740552.1	XP_975186.1
OG0000624	XP_035719491.1, XP_035720809.1, XP_035720811.1	XP_015840994.1
OG0000625	XP_035730353.1, XP_035730373.1	XP_008200318.1
OG0000626	XP_035741603.1	XP_008198026.1, XP_008198025.1, XP_972447.1
OG0000627	XP_035718764.1	XP_970936.1
OG0000628	XP_035740182.1	XP_008193174.2
OG0000629	XP_035721961.1	XP_008200486.1
OG0000630	XP_035733006.1	XP_008196010.1, XP_008196008.1, XP_975658.1
OG0000631	XP_035722350.1	XP_008195987.1
OG0000632	XP_035728398.1, XP_035728397.1	XP_008196207.1
OG0000633	XP_035727308.1	XP_966960.1
OG0000633	XP_035726468.1	XP_008200235.1
OG0000634	XP_035725453.1	XP_974945.1
OG0000634	XP_035725404.1	XP_974922.1
OG0000635	XP_035725559.1, XP_035729181.1, XP_035729184.1	XP_015834856.1, XP_008192027.1
OG0000636	XP_035721959.1, XP_035721960.1	XP_008193403.1
OG0000637	XP_035720034.1	XP_008192039.1, XP_008192036.1
OG0000638	XP_035743307.1, XP_035743308.1, XP_035743304.1, XP_035743303.1, XP_035743306.1, XP_035743305.1	XP_015837751.1
OG0000639	XP_035722928.1, XP_035722930.1, XP_035722932.1, XP_035722931.1, XP_035722933.1	XP_975304.1
OG0000640	XP_035730978.1	XP_001812776.1, XP_015833501.1
OG0000641	XP_035734413.1	XP_008195213.1
OG0000642	XP_035737636.1, XP_035737637.1, XP_035737640.1, XP_035737639.1	XP_974643.1
OG0000643	XP_035724625.1	XP_966681.1
OG0000643	XP_035724602.1	XP_966772.1
OG0000644	XP_035720837.1	XP_001808377.1, XP_015840390.1
OG0000645	XP_035720622.1	XP_971289.1
OG0000645	XP_035734438.1	XP_008200906.1
OG0000646	XP_035735899.1	XP_971567.1
OG0000647	XP_035717123.1, XP_035717133.1	XP_966445.1
OG0000648	XP_035741356.1	XP_967827.1
OG0000649	XP_035730151.1	XP_015833839.1
OG0000650	XP_035735473.1	XP_015839912.1, XP_001810019.1, XP_008200991.1, XP_015838552.1, XP_001807833.1, XP_008191504.1
OG0000651	XP_035726277.1, XP_035726276.1	XP_008193303.1, XP_008193301.2
OG0000653	XP_035719801.1	XP_008195435.1, XP_008195436.1
OG0000654	XP_035730336.1, XP_035727145.1, XP_035727144.1	XP_008191078.2
OG0000655	XP_035719884.1	XP_008191828.1, XP_008191154.1
OG0000656	XP_035725962.1, XP_035725959.1, XP_035725965.1, XP_035725960.1, XP_035725961.1, XP_035725964.1	XP_015833801.1, XP_008191255.1
OG0000657	XP_035739122.1, XP_035739115.1	XP_008199069.1
OG0000659	XP_035722680.1	XP_969783.1
OG0000660	XP_035717653.1	XP_975437.1
OG0000661	XP_035739622.1	XP_008194016.1
OG0000662	XP_035733998.1	XP_972414.2, XP_972368.1, XP_972317.1
OG0000663	XP_035727663.1, XP_035727661.1, XP_035727665.1	XP_008194393.1, XP_015835934.1, XP_008194392.1
OG0000664	XP_035742470.1, XP_035742469.1, XP_035742471.1, XP_035738822.1	XP_015837295.1
OG0000666	XP_035733023.1, XP_035733224.1	NP_001103424.1
OG0000667	XP_035743664.1, XP_035743670.1	XP_008196706.1
OG0000668	XP_035743929.1, XP_035743925.1, XP_035743926.1, XP_035743927.1	XP_001810958.1
OG0000669	XP_035737438.1	XP_008193678.1
OG0000670	XP_035736657.1	XP_974575.1, XP_015835460.1, XP_015835459.1, XP_974590.1
OG0000671	XP_035717974.1	XP_008201396.1
OG0000672	XP_035717545.1, XP_035717583.1	XP_015837637.1
OG0000674	XP_035737376.1, XP_035737750.1	XP_015833191.1
OG0000677	XP_035734822.1, XP_035734830.1	XP_008197279.1
OG0000680	XP_035732688.1, XP_035732689.1	XP_974326.1, XP_008192630.1
OG0000681	XP_035736589.1	XP_015835846.1, XP_015835847.1, XP_015835848.1
OG0000682	XP_035730509.1	NP_001139380.1, XP_008191999.1
OG0000683	XP_035742980.1	XP_971998.2, XP_974664.3
OG0000684	XP_035720461.1, XP_035720465.1, XP_035720464.1, XP_035720463.1, XP_035720462.1	XP_008196215.1, NP_001128425.1
OG0000685	XP_035726310.1	NP_001164310.1
OG0000685	XP_035718319.1	XP_967958.1
OG0000686	XP_035725592.1, XP_035725589.1, XP_035725590.1, XP_035725587.1, XP_035725591.1	XP_973797.1
OG0000687	XP_035744190.1	XP_974045.1
OG0000688	XP_035725093.1	XP_966509.2
OG0000689	XP_035734480.1	XP_972670.3
OG0000689	XP_035734527.1	XP_008193697.1
OG0000690	XP_035736006.1, XP_035736005.1, XP_035736004.1, XP_035736003.1	XP_968644.1
OG0000691	XP_035733422.1, XP_035733421.1	XP_008200143.1, XP_968571.3
OG0000692	XP_035738696.1	XP_008190993.1
OG0000694	XP_035737510.1, XP_035737512.1	XP_974023.2
OG0000695	XP_035725164.1, XP_035725165.1	XP_008197896.1
OG0000696	XP_035717864.1, XP_035717862.1, XP_035717863.1	XP_969360.1
OG0000698	XP_035719080.1	XP_970616.1
OG0000699	XP_035739620.1	XP_015834804.1
OG0000701	XP_035725746.1	NP_001164313.1
OG0000703	XP_035741856.1	XP_975854.1
OG0000704	XP_035735915.1	XP_015836587.1
OG0000705	XP_035720546.1, XP_035720545.1	XP_970101.1
OG0000706	XP_035740539.1	XP_973961.1, XP_015833281.1, XP_008190930.1
OG0000707	XP_035727759.1, XP_035739261.1	XP_015837057.1
OG0000708	XP_035739714.1	NP_001280503.1, XP_008201093.1
OG0000709	XP_035737454.1, XP_035737447.1, XP_035737449.1, XP_035737452.1	XP_008193755.1
OG0000710	XP_035717116.1	XP_008193458.1
OG0000711	XP_035731898.1	XP_973009.1, XP_008196779.1
OG0000712	XP_035724913.1, XP_035724921.1	XP_976237.1, XP_008201464.1
OG0000713	XP_035721344.1, XP_035721340.1, XP_035721339.1, XP_035721342.1, XP_035721341.1, XP_035721343.1	XP_008201731.1, XP_008201730.1
OG0000714	XP_035743266.1, XP_035743265.1	XP_008199070.1, XP_008199072.1, XP_008199073.1
OG0000715	XP_035736099.1	XP_008198126.1
OG0000716	XP_035735998.1	XP_968570.1
OG0000717	XP_035743738.1, XP_035743739.1	XP_008197605.1, XP_008197604.1, XP_974005.1, XP_015838661.1
OG0000718	XP_035720559.1, XP_035720555.1, XP_035720560.1	XP_015836378.1, XP_015836365.1, XP_015836377.1
OG0000719	XP_035740882.1, XP_035740883.1, XP_035740885.1	XP_974150.1, XP_015835808.1
OG0000720	XP_035720460.1	XP_015833541.1
OG0000720	XP_035725777.1	XP_015833849.1
OG0000722	XP_035719943.1	XP_008193836.1
OG0000723	XP_035731157.1, XP_035731164.1	XP_015833943.1, XP_015833937.1
OG0000724	XP_035739785.1, XP_035739784.1	XP_971700.2
OG0000726	XP_035732106.1	XP_008190579.1, XP_973932.1
OG0000727	XP_035742962.1, XP_035742970.1	XP_008200527.1, XP_969378.2
OG0000728	XP_035731130.1, XP_035731097.1	XP_015835600.1, XP_001814267.1, XP_008193682.1, XP_976334.1
OG0000729	XP_035731108.1, XP_035731109.1, XP_035731111.1	XP_975583.1
OG0000730	XP_035717232.1, XP_035717231.1	XP_976161.1
OG0000731	XP_035736168.1	XP_008193063.1, XP_008193062.1, XP_972014.1, XP_015835321.1
OG0000736	XP_035720367.1	XP_015838309.1, XP_008196796.1, XP_015838214.1
OG0000737	XP_035721091.1, XP_035721090.1, XP_035721089.1	XP_015837747.1, NP_001284604.1
OG0000738	XP_035723897.1	XP_008192970.1
OG0000739	XP_035722617.1, XP_035722616.1	XP_968962.1, XP_015835129.1, XP_008192442.1
OG0000740	XP_035730120.1, XP_035730122.1, XP_035730121.1, XP_035730123.1	XP_970675.1
OG0000741	XP_035719143.1	XP_015839069.1, XP_015839855.1, XP_972524.1
OG0000742	XP_035731976.1, XP_035731975.1, XP_035731974.1	NP_001076794.1, XP_008200421.1
OG0000743	XP_035719571.1	XP_975869.2
OG0000744	XP_035729804.1	XP_008198084.1, XP_008198085.1
OG0000745	XP_035730031.1, XP_035730030.1	XP_967842.2
OG0000746	XP_035735782.1	XP_015840197.1, XP_015840196.1
OG0000747	XP_035743788.1, XP_035743787.1, XP_035743786.1	XP_008200433.1
OG0000748	XP_035727015.1, XP_035727008.1	NP_001034490.1, XP_008191152.1
OG0000749	XP_035736123.1	XP_015837495.1
OG0000750	XP_035725142.1	XP_972562.2
OG0000751	XP_035742080.1	XP_015837414.1
OG0000752	XP_035735901.1, XP_035735936.1	XP_015836381.1, XP_972176.1
OG0000753	XP_035732089.1, XP_035732090.1	XP_008198451.1
OG0000754	XP_035731076.1, XP_035731065.1, XP_035731101.1, XP_035731110.1, XP_035731085.1, XP_035731094.1, XP_035722716.1	XP_973097.1
OG0000755	XP_035733249.1	XP_008193975.1
OG0000756	XP_035727440.1, XP_035727474.1	XP_001811932.1, XP_001810980.1
OG0000757	XP_035739702.1	XP_972879.1
OG0000758	XP_035724560.1, XP_035719725.1, XP_035719718.1	XP_969808.1
OG0000759	XP_035731755.1	XP_008200324.1, XP_971832.1
OG0000760	XP_035724653.1, XP_035724652.1, XP_035724646.1	XP_008195593.1
OG0000761	XP_035729581.1	XP_008191796.1
OG0000762	XP_035728257.1, XP_035728255.1, XP_035728252.1, XP_035728256.1, XP_035728254.1	XP_972221.1
OG0000764	XP_035737178.1	XP_970673.1
OG0000765	XP_035720500.1, XP_035720511.1, XP_035720489.1, XP_035720522.1	XP_008194704.1, XP_015836347.1
OG0000766	XP_035728683.1, XP_035728682.1, XP_035728681.1	XP_008196256.1, XP_015837262.1
OG0000767	XP_035717902.1, XP_035717901.1	XP_008195674.1, XP_008195675.1, XP_015837248.1, XP_008195676.1
OG0000768	XP_035717969.1, XP_035717970.1, XP_035717971.1, XP_035717968.1, XP_035717967.1	XP_969961.1, XP_008198938.1
OG0000769	XP_035729826.1, XP_035729825.1, XP_035729827.1	XP_972749.1, XP_008192575.1, XP_015834680.1
OG0000770	XP_035735825.1, XP_035735824.1	XP_015838418.1, XP_015838417.1
OG0000771	XP_035726924.1	XP_015835948.1, XP_015835947.1
OG0000772	XP_035721559.1	XP_015833311.1
OG0000773	XP_035721393.1	XP_970410.1
OG0000774	XP_035734491.1, XP_035734483.1	XP_971579.2
OG0000775	XP_035723089.1, XP_035723086.1	XP_008196848.1
OG0000776	XP_035721945.1	XP_966630.3
OG0000777	XP_035741119.1	XP_972936.1
OG0000778	XP_035736345.1, XP_035736344.1, XP_035736343.1	XP_015833391.1, XP_973455.1
OG0000779	XP_035723001.1	NP_001280535.1, XP_008198427.1
OG0000780	XP_035719579.1	XP_967848.2
OG0000781	XP_035722336.1	NP_001280540.1, XP_008190406.1
OG0000782	XP_035742043.1, XP_035742042.1, XP_035742037.1, XP_035742041.1, XP_035742040.1, XP_035742039.1, XP_035742038.1, XP_035742044.1, XP_035742045.1	XP_015833194.1
OG0000783	XP_035737556.1	XP_008191892.1, XP_015834431.1, XP_015834432.1
OG0000784	XP_035726576.1	XP_969377.1, XP_967531.2, XP_015840226.1, XP_015840227.1, XP_008200409.1
OG0000786	XP_035719275.1, XP_035719250.1, XP_035719259.1, XP_035719268.1	XP_968026.1
OG0000787	XP_035726858.1, XP_035726860.1	XP_001809587.2, XP_008194582.2, XP_008193885.1, XP_970014.1
OG0000788	XP_035725562.1	XP_015834488.1, XP_015834477.1, XP_008199408.1, XP_015834491.1, XP_015834492.1
OG0000789	XP_035726923.1	XP_973485.2
OG0000790	XP_035736162.1, XP_035736157.1, XP_035736156.1, XP_035736155.1, XP_035736161.1, XP_035736163.1, XP_035736160.1, XP_035736159.1, XP_035736158.1	XP_966929.1
OG0000791	XP_035724382.1, XP_035724383.1, XP_035724385.1, XP_035724386.1, XP_035724387.1, XP_035724384.1, XP_035724381.1	XP_973299.1
OG0000795	XP_035722568.1	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1
OG0000796	XP_035725099.1, XP_035721438.1	XP_971000.1
OG0000797	XP_035741632.1, XP_035741637.1, XP_035741638.1, XP_035741635.1, XP_035741634.1, XP_035741636.1, XP_035741633.1	XP_976408.1
OG0000798	XP_035741552.1	XP_970910.1
OG0000799	XP_035718747.1	XP_008192753.1, XP_967166.2
OG0000800	XP_035719055.1, XP_035719053.1	XP_975766.1, XP_966312.1
OG0000801	XP_035734010.1	XP_015840663.1
OG0000802	XP_035743442.1	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1
OG0000803	XP_035735360.1, XP_035735361.1	XP_015838602.1, XP_968717.1, XP_975356.1
OG0000804	XP_035737952.1	XP_008199784.1, XP_008199783.1, XP_969293.1
OG0000806	XP_035717179.1	XP_975252.1
OG0000807	XP_035724467.1	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2
OG0000808	XP_035738450.1, XP_035738448.1	XP_966647.3
OG0000809	XP_035733176.1, XP_035733168.1	XP_015839883.1
OG0000810	XP_035723927.1, XP_035723925.1, XP_035723926.1	XP_967137.1
OG0000811	XP_035739302.1	XP_015835466.1
OG0000812	XP_035737174.1, XP_035741003.1	XP_015838959.1
OG0000813	XP_035737583.1	XP_008191104.1, XP_008197373.1
OG0000815	XP_035726011.1, XP_035726013.1	XP_015833081.1
OG0000816	XP_035717990.1	XP_974466.2
OG0000817	XP_035734155.1, XP_035734157.1	NP_001280521.1, XP_015838938.1
OG0000818	XP_035727225.1	XP_008190837.2
OG0000819	XP_035736129.1, XP_035736127.1	XP_008190357.1
OG0000820	XP_035727120.1	XP_008199356.1
OG0000821	XP_035730075.1	XP_973706.1
OG0000822	XP_035736969.1	XP_008200699.1
OG0000823	XP_035732382.1, XP_035732383.1, XP_035732384.1	XP_015838185.1, XP_008196921.1
OG0000824	XP_035729598.1, XP_035718672.1	XP_970563.1
OG0000825	XP_035730924.1, XP_035730923.1	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1
OG0000826	XP_035721104.1	XP_968324.1
OG0000827	XP_035729075.1, XP_035729082.1	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1
OG0000828	XP_035733882.1, XP_035733881.1, XP_035733880.1	XP_015839867.1, XP_966527.1
OG0000829	XP_035738725.1	XP_015836394.1
OG0000830	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1	XP_969246.1
OG0000831	XP_035720383.1	XP_966629.2
OG0000832	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1	XP_015834318.1
OG0000833	XP_035739568.1, XP_035739556.1	XP_008193629.1, XP_008193622.1
OG0000834	XP_035737030.1	XP_008196985.1, XP_001813599.1
OG0000835	XP_035731442.1	NP_001161778.1
OG0000837	XP_035742051.1, XP_035742050.1	XP_966340.1
OG0000838	XP_035720912.1, XP_035720908.1	XP_015837141.1, XP_015837139.1
OG0000839	XP_035722759.1	XP_015837749.1, XP_008194206.1, XP_001814500.1
OG0000840	XP_035732134.1, XP_035732126.1	XP_972558.1
OG0000841	XP_035743574.1	XP_008191611.2, XP_973223.1, XP_015834454.1
OG0000842	XP_035732858.1	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1
OG0000844	XP_035726706.1, XP_035726705.1, XP_035726704.1	XP_008194355.1, XP_008194354.1, XP_976102.1
OG0000849	XP_035740856.1	XP_974694.1, XP_008191702.1
OG0000850	XP_035734698.1, XP_035734700.1, XP_035734699.1	XP_968953.1
OG0000851	XP_035739417.1, XP_035739418.1	XP_970378.1
OG0000852	XP_035722545.1	XP_970723.1
OG0000853	XP_035739346.1, XP_035739347.1	XP_972319.1
OG0000854	XP_035742303.1, XP_035742304.1	XP_008192670.1, XP_008192671.1, XP_974904.1
OG0000856	XP_035723721.1, XP_035723725.1	XP_969485.1
OG0000856	XP_035723746.1	XP_008191821.1
OG0000857	XP_035717218.1, XP_035717217.1	XP_015838130.1
OG0000858	XP_035742118.1	XP_975095.1
OG0000859	XP_035717151.1	XP_008194278.1
OG0000860	XP_035742707.1, XP_035742708.1	XP_968421.2
OG0000862	XP_035720777.1, XP_035720780.1	XP_015839850.1, XP_015839851.1
OG0000863	XP_035723848.1	XP_008191661.1
OG0000864	XP_035742216.1	XP_001810857.1
OG0000865	XP_035717940.1	XP_966867.1, XP_975287.1
OG0000867	XP_035743017.1, XP_035743016.1, XP_035743015.1	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1
OG0000868	XP_035736876.1	XP_008199462.1, XP_008199456.1
OG0000869	XP_035725570.1, XP_035725572.1, XP_035725569.1, XP_035725571.1	XP_008191933.1, XP_975387.1
OG0000870	XP_035726342.1, XP_035726343.1, XP_035726345.1, XP_035726344.1, XP_035726341.1, XP_035726339.1, XP_035726346.1	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1
OG0000871	XP_035734847.1, XP_035734848.1, XP_035734846.1	XP_972974.1
OG0000872	XP_035731796.1	XP_975496.1
OG0000873	XP_035724593.1	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1
OG0000874	XP_035719736.1, XP_035719737.1, XP_035719735.1	XP_008199106.1, XP_974993.1
OG0000875	XP_035719948.1, XP_035719950.1	NP_001280510.1
OG0000876	XP_035727816.1, XP_035727817.1	XP_966990.1
OG0000877	XP_035731826.1	XP_008196449.1, XP_008196452.1
OG0000878	XP_035718132.1	XP_008199398.1
OG0000879	XP_035731414.1, XP_035731397.1	XP_968223.1
OG0000880	XP_035726998.1	XP_973332.1
OG0000881	XP_035744143.1	XP_975088.1
OG0000882	XP_035728833.1	XP_973361.2, XP_008193581.1
OG0000883	XP_035736276.1, XP_035736278.1, XP_035736277.1	XP_008194497.1
OG0000884	XP_035738105.1	XP_008196302.1
OG0000886	XP_035726934.1, XP_035725399.1, XP_035725400.1	XP_008197067.1
OG0000887	XP_035732962.1, XP_035732968.1	XP_974918.1
OG0000888	XP_035736263.1, XP_035736262.1	XP_976484.1
OG0000890	XP_035744053.1	XP_015839379.1
OG0000892	XP_035725498.1, XP_035725490.1, XP_035725512.1, XP_035735992.1	XP_971720.1
OG0000893	XP_035742969.1	XP_015840762.1
OG0000894	XP_035735298.1	XP_008196971.1
OG0000895	XP_035741878.1, XP_035741880.1, XP_035741883.1	XP_015838580.1, XP_015838577.1
OG0000896	XP_035723356.1	XP_008199894.2, XP_008194610.1
OG0000897	XP_035722018.1	XP_972954.1
OG0000898	XP_035717149.1, XP_035743764.1	XP_973433.1
OG0000899	XP_035742086.1	XP_008197394.1, XP_008197388.1
OG0000901	XP_035736679.1	XP_972742.1
OG0000902	XP_035721592.1	XP_015836082.1
OG0000903	XP_035722703.1	NP_001280545.1
OG0000904	XP_035734474.1	XP_974704.1
OG0000904	XP_035736739.1	XP_008193109.1
OG0000905	XP_035726207.1, XP_035726206.1	XP_015834466.1, XP_974925.1
OG0000906	XP_035725564.1	XP_015834567.1, XP_008195291.2
OG0000907	XP_035726426.1, XP_035726435.1, XP_035726454.1, XP_035726445.1, XP_035726464.1	XP_001807041.2, XP_015837331.1, XP_015836997.1
OG0000909	XP_035718276.1, XP_035718279.1	XP_008193249.1
OG0000910	XP_035717751.1	XP_008195539.1
OG0000911	XP_035734733.1	XP_008199253.1
OG0000912	XP_035728913.1, XP_035728912.1, XP_035728914.1, XP_035728910.1, XP_035728911.1, XP_035728908.1, XP_035728909.1	XP_008200507.1
OG0000913	XP_035737127.1, XP_035737122.1, XP_035737125.1, XP_035737124.1, XP_035737126.1	XP_015834654.1, XP_008192488.1, XP_008196951.1
OG0000914	XP_035744281.1, XP_035744280.1	XP_008198899.1, XP_967645.1
OG0000916	XP_035734907.1	XP_972862.1
OG0000917	XP_035732616.1	XP_974228.1
OG0000918	XP_035726969.1	XP_008198658.1, XP_966808.3
OG0000919	XP_035731675.1, XP_035731674.1	XP_973176.1
OG0000920	XP_035730710.1, XP_035730709.1, XP_035730711.1	XP_972603.1
OG0000921	XP_035728984.1, XP_035728986.1, XP_035728987.1, XP_035728988.1	XP_975525.1
OG0000922	XP_035722257.1	XP_975585.1, XP_015837975.1
OG0000923	XP_035731183.1, XP_035731180.1, XP_035731193.1	XP_008200555.2, NP_001107795.1
OG0000924	XP_035741017.1	XP_015840070.1
OG0000925	XP_035736660.1, XP_035736661.1, XP_035736658.1, XP_035736659.1, XP_035736662.1, XP_035742092.1, XP_035742093.1	XP_970135.2
OG0000926	XP_035737405.1, XP_035737404.1, XP_035737403.1, XP_035737406.1	XP_969641.1
OG0000927	XP_035743166.1	XP_970926.1
OG0000928	XP_035719794.1	XP_970970.3
OG0000929	XP_035721437.1	XP_008201261.2
OG0000930	XP_035740434.1	XP_974670.1
OG0000931	XP_035727865.1	NP_001306946.1
OG0000932	XP_035728300.1, XP_035728299.1	XP_967792.1
OG0000933	XP_035742089.1	NP_001300806.1
OG0000934	XP_035732202.1, XP_035732199.1, XP_035732197.1, XP_035732201.1, XP_035732200.1	NP_001164081.1, XP_008200118.1
OG0000935	XP_035729878.1	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1
OG0000936	XP_035720179.1, XP_035720183.1, XP_035720185.1, XP_035720181.1, XP_035720182.1, XP_035720186.1, XP_035720187.1, XP_035720180.1	XP_008190860.2
OG0000937	XP_035717338.1	XP_008200071.1
OG0000938	XP_035722535.1	XP_968610.1
OG0000939	XP_035735601.1	XP_001811241.1
OG0000939	XP_035735930.1	XP_008191643.1
OG0000940	XP_035731227.1, XP_035742933.1	XP_015837585.1
OG0000941	XP_035724313.1, XP_035724314.1	XP_008197366.1, XP_969423.1
OG0000942	XP_035722346.1	XP_008199941.1
OG0000943	XP_035718109.1	XP_970739.1
OG0000944	XP_035723267.1	XP_966560.1
OG0000945	XP_035719915.1, XP_035719909.1	XP_967690.1
OG0000946	XP_035719465.1, XP_035720946.1, XP_035720947.1	XP_971878.2
OG0000947	XP_035734133.1	XP_015838046.1
OG0000948	XP_035737505.1, XP_035737506.1	XP_967077.2
OG0000949	XP_035734313.1, XP_035734312.1	NP_001164308.1, XP_008191735.1
OG0000950	XP_035730236.1, XP_035730238.1, XP_035730237.1	XP_015834523.1, XP_015834522.1
OG0000951	XP_035723109.1, XP_035723110.1, XP_035723111.1, XP_035723108.1	XP_970664.1
OG0000952	XP_035731220.1, XP_035731221.1	XP_015834328.1, XP_975405.2
OG0000954	XP_035729183.1	XP_015834707.1
OG0000955	XP_035737790.1	XP_008194042.1, XP_015833870.1
OG0000957	XP_035723149.1	XP_969616.2
OG0000958	XP_035732816.1, XP_035732811.1	XP_008199736.1, XP_973738.2
OG0000959	XP_035729883.1	XP_015835943.1
OG0000960	XP_035724669.1	XP_972385.1
OG0000960	XP_035742136.1	XP_001813556.2
OG0000961	XP_035717256.1	XP_015833743.1
OG0000962	XP_035727271.1, XP_035727294.1	XP_008194653.1
OG0000963	XP_035720893.1	XP_976188.1
OG0000964	XP_035722121.1, XP_035722125.1	XP_975467.2, XP_015834681.1
OG0000965	XP_035718659.1, XP_035718668.1	XP_015835969.1, XP_015835957.1
OG0000966	XP_035734437.1, XP_035734436.1, XP_035734435.1	XP_969046.1
OG0000967	XP_035731612.1	XP_008195382.1
OG0000968	XP_035742069.1, XP_035742068.1	XP_008195614.1, XP_971104.2, XP_008195611.1
OG0000969	XP_035720993.1	XP_015840918.1, XP_008201276.1
OG0000970	XP_035739818.1, XP_035739819.1	XP_968305.1
OG0000972	XP_035738757.1, XP_035738748.1, XP_035738768.1	XP_967420.1
OG0000974	XP_035732401.1, XP_035732396.1	XP_971298.2
OG0000975	XP_035727718.1, XP_035727749.1	XP_015837167.1, XP_015837165.1, XP_015837173.1
OG0000976	XP_035723671.1, XP_035723679.1, XP_035723685.1, XP_035723662.1	XP_008198905.1
OG0000977	XP_035719284.1, XP_035719283.1	XP_015837319.1, XP_970802.1
OG0000978	XP_035724394.1, XP_035743561.1	XP_008199102.1
OG0000979	XP_035734273.1, XP_035729461.1	XP_969078.1
OG0000980	XP_035719471.1	XP_015840382.1, XP_015838797.1, XP_015840939.1
OG0000981	XP_035729647.1, XP_035729648.1	XP_008199943.1
OG0000982	XP_035730163.1	XP_015835195.1, NP_001280502.1
OG0000983	XP_035733695.1, XP_035733694.1, XP_035733693.1, XP_035733692.1, XP_035733696.1	XP_967514.2, XP_008193998.2
OG0000984	XP_035720738.1	XP_008197144.1
OG0000984	XP_035720737.1	XP_008197146.1
OG0000985	XP_035722289.1, XP_035722290.1, XP_035722291.1, XP_035722294.1, XP_035722295.1, XP_035722293.1, XP_035722292.1	XP_008195583.1
OG0000987	XP_035739476.1, XP_035741142.1	XP_015836128.1
OG0000988	XP_035733739.1, XP_035733732.1	XP_015838738.1
OG0000989	XP_035732262.1, XP_035732263.1, XP_035732243.1	XP_008194375.1
OG0000992	XP_035732019.1, XP_035732018.1, XP_035732016.1	XP_974606.1
OG0000993	XP_035737417.1	NP_001164130.1, NP_001164132.1
OG0000994	XP_035720197.1	XP_968930.1
OG0000995	XP_035738707.1, XP_035722832.1	XP_008198979.1
OG0000996	XP_035732862.1	XP_972738.1, XP_008200903.1
OG0000997	XP_035724864.1	XP_001812951.1
OG0000997	XP_035724863.1	XP_971180.1
OG0000998	XP_035742102.1	XP_015837903.1, XP_008196475.1
OG0000999	XP_035722769.1	NP_001038092.1, NP_001038091.1, XP_015835197.1
OG0001000	XP_035723338.1, XP_035723337.1, XP_035723336.1, XP_035723335.1	XP_971954.1
OG0001001	XP_035741907.1, XP_035741904.1, XP_035717221.1	XP_015837955.1, XP_008196172.1
OG0001003	XP_035729018.1, XP_035729021.1	XP_008193884.1
OG0001004	XP_035741234.1	XP_972250.1
OG0001004	XP_035733627.1	XP_968039.1
OG0001005	XP_035723658.1	NP_001164000.1
OG0001006	XP_035740141.1, XP_035740139.1	XP_015835270.1, XP_015835267.1
OG0001007	XP_035743845.1	XP_008198971.1
OG0001008	XP_035738052.1	NP_001306193.1, NP_001034521.1
OG0001009	XP_035738303.1	XP_015837854.1
OG0001010	XP_035724541.1	XP_008192053.1
OG0001011	XP_035722498.1, XP_035722517.1, XP_035722507.1, XP_035722528.1, XP_035722532.1, XP_035722461.1, XP_035722472.1, XP_035722482.1, XP_035722489.1	XP_974410.1
OG0001012	XP_035725259.1	XP_008195285.1
OG0001013	XP_035722228.1, XP_035722222.1	XP_015836976.1
OG0001014	XP_035720767.1, XP_035720768.1	XP_974871.1
OG0001015	XP_035731994.1	XP_008201597.1
OG0001016	XP_035726600.1	XP_969349.1
OG0001016	XP_035730531.1	XP_967560.1
OG0001017	XP_035722072.1	XP_969629.1, XP_008194028.1
OG0001018	XP_035723331.1	NP_001107779.1
OG0001018	XP_035727220.1	NP_001107780.1
OG0001019	XP_035722052.1	XP_015839056.1, XP_974292.2, XP_008198287.1
OG0001020	XP_035719947.1	XP_970433.1
OG0001021	XP_035735706.1	XP_969653.1
OG0001022	XP_035729459.1	XP_015835414.1, XP_015835415.1
OG0001023	XP_035718321.1	XP_001811805.1
OG0001024	XP_035718102.1, XP_035718100.1, XP_035718101.1, XP_035720108.1, XP_035720106.1, XP_035720107.1, XP_035720104.1, XP_035720105.1	XP_971735.1
