Orthogroup	Vespa_mandarinia	Anopheles_gambiae
OG0000758	XP_035724560.1, XP_035719725.1, XP_035719718.1	XP_317050.4
OG0000759	XP_035731755.1	XP_312018.5
OG0000760	XP_035724653.1, XP_035724652.1, XP_035724646.1	XP_001688456.2
OG0000761	XP_035729581.1	XP_553256.3
OG0000762	XP_035728257.1, XP_035728255.1, XP_035728252.1, XP_035728256.1, XP_035728254.1	XP_001237444.3
OG0000765	XP_035720500.1, XP_035720511.1, XP_035720489.1, XP_035720522.1	XP_312371.1, XP_003436159.1
OG0000766	XP_035728683.1, XP_035728682.1, XP_035728681.1	XP_321355.5
OG0000767	XP_035717902.1, XP_035717901.1	XP_315509.3, XP_001688672.1, XP_001688673.1
OG0000768	XP_035717969.1, XP_035717970.1, XP_035717971.1, XP_035717968.1, XP_035717967.1	XP_309489.4
OG0000769	XP_035729826.1, XP_035729825.1, XP_035729827.1	XP_311161.4, XP_315324.4
OG0000770	XP_035735825.1, XP_035735824.1	XP_001688195.1
OG0000771	XP_035726924.1	XP_308361.4, XP_001687775.2
OG0000772	XP_035721559.1	XP_001689245.1, XP_320299.4
OG0000773	XP_035721393.1	XP_317844.3
OG0000774	XP_035734491.1, XP_035734483.1	XP_312552.5
OG0000776	XP_035721945.1	XP_001688474.1, XP_313915.3
OG0000777	XP_035741119.1	XP_321280.5
OG0000778	XP_035736345.1, XP_035736344.1, XP_035736343.1	XP_315543.3
OG0000779	XP_035723001.1	XP_313129.1, XP_313127.2, XP_003436743.1
OG0000780	XP_035719579.1	XP_316669.4
OG0000781	XP_035722336.1	XP_321207.2
OG0000782	XP_035742043.1, XP_035742042.1, XP_035742037.1, XP_035742041.1, XP_035742040.1, XP_035742039.1, XP_035742038.1, XP_035742044.1, XP_035742045.1	XP_320180.1
OG0000783	XP_035737556.1	XP_551936.2
OG0000786	XP_035719275.1, XP_035719250.1, XP_035719259.1, XP_035719268.1	XP_321356.5
OG0000788	XP_035725562.1	XP_311255.5, XP_308271.4
OG0000789	XP_035726923.1	XP_307037.4
OG0000790	XP_035736162.1, XP_035736157.1, XP_035736156.1, XP_035736155.1, XP_035736161.1, XP_035736163.1, XP_035736160.1, XP_035736159.1, XP_035736158.1	XP_316813.5
OG0000795	XP_035722568.1	XP_316941.3
OG0000796	XP_035721438.1	XP_311696.2
OG0000797	XP_035741632.1, XP_035741637.1, XP_035741638.1, XP_035741635.1, XP_035741634.1, XP_035741636.1, XP_035741633.1	XP_001688174.2
OG0000798	XP_035741552.1	XP_559058.3
OG0000799	XP_035718747.1	XP_317538.3
OG0000800	XP_035719055.1, XP_035719053.1	XP_001237468.3
OG0000801	XP_035734010.1	XP_310573.4
OG0000802	XP_035743442.1	XP_308510.4, XP_308511.4
OG0000803	XP_035735360.1, XP_035735361.1	XP_308462.4, XP_310113.4
OG0000804	XP_035737952.1	XP_308552.4, XP_001687983.1
OG0000806	XP_035717179.1	XP_308596.4
OG0000807	XP_035724467.1	XP_321929.3
OG0000808	XP_035738450.1, XP_035738448.1	XP_313990.4, XP_003435719.1
OG0000809	XP_035733176.1, XP_035733168.1	XP_003436050.1, XP_307995.5
OG0000810	XP_035723927.1, XP_035723925.1, XP_035723926.1	XP_322067.4
OG0000811	XP_035739302.1	XP_001688164.1, XP_309085.4
OG0000812	XP_035737174.1, XP_035741003.1	XP_308496.4
OG0000813	XP_035737583.1	XP_309726.4, XP_309724.3, XP_554155.3, XP_320312.4
OG0000814	XP_035736228.1	XP_316915.4
OG0000815	XP_035726011.1, XP_035726013.1	XP_315593.4, XP_001688684.1
OG0000816	XP_035717990.1	XP_555284.3
OG0000817	XP_035734155.1, XP_035734157.1	XP_320274.2
OG0000819	XP_035736129.1, XP_035736127.1	XP_557579.3
OG0000820	XP_035727120.1	XP_003436676.1, XP_318436.5
OG0000821	XP_035730075.1	XP_001689219.1
OG0000822	XP_035736969.1	XP_309064.5, XP_003435721.1
OG0000824	XP_035729598.1, XP_035718672.1	XP_003435788.1, XP_003435789.1, XP_321893.4
OG0000825	XP_035730924.1, XP_035730923.1	XP_314783.2, XP_557830.2
OG0000826	XP_035721104.1	XP_313758.4, XP_003436825.1
OG0000827	XP_035729075.1, XP_035729082.1	XP_001688260.1, XP_316485.4
OG0000828	XP_035733882.1, XP_035733881.1, XP_035733880.1	XP_311410.4
OG0000829	XP_035738725.1	XP_312898.3
OG0000830	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1	XP_309393.2
OG0000831	XP_035720383.1	XP_310750.5, XP_319460.3
OG0000832	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1
OG0000833	XP_035739568.1, XP_035739556.1	XP_001689140.1
OG0000835	XP_035731442.1	XP_319473.4
OG0000838	XP_035720912.1, XP_035720908.1	XP_001237627.2
OG0000840	XP_035732134.1, XP_035732126.1	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4
OG0000841	XP_035743574.1	XP_316016.3, XP_001688766.1, XP_319122.4, XP_319146.4, XP_311058.5
OG0000842	XP_035732858.1	XP_318601.4, XP_001689137.1, XP_001689136.1
OG0000844	XP_035726706.1, XP_035726705.1, XP_035726704.1	XP_553771.3
OG0000849	XP_035740856.1	XP_563989.1
OG0000850	XP_035734698.1, XP_035734700.1, XP_035734699.1	XP_317465.2
OG0000851	XP_035739417.1, XP_035739418.1	XP_309827.4
OG0000852	XP_035722545.1	XP_552427.2
OG0000853	XP_035739346.1, XP_035739347.1	XP_001237881.1
OG0000854	XP_035742303.1, XP_035742304.1	XP_566387.4, XP_316496.3
OG0000856	XP_035723746.1	XP_001689087.1, XP_318047.4
OG0000857	XP_035717218.1, XP_035717217.1	XP_562320.4
OG0000859	XP_035717151.1	XP_001230995.1, XP_309522.4
OG0000860	XP_035742707.1, XP_035742708.1	XP_321195.5
OG0000861	XP_035722985.1	XP_315658.3
OG0000862	XP_035720777.1, XP_035720780.1	XP_001238522.2, XP_001238523.2, XP_003435843.1
OG0000863	XP_035723848.1	XP_312621.4
OG0000864	XP_035742216.1	XP_312223.5, XP_319733.4
OG0000865	XP_035717940.1	XP_315231.5
OG0000866	XP_035725128.1, XP_035725127.1, XP_035725126.1, XP_035725125.1, XP_035725132.1, XP_035725131.1, XP_035725129.1	XP_319528.4
OG0000867	XP_035743017.1, XP_035743016.1, XP_035743015.1	XP_315403.4
OG0000870	XP_035726342.1, XP_035726343.1, XP_035726345.1, XP_035726344.1, XP_035726341.1, XP_035726339.1, XP_035726346.1	XP_320737.4
OG0000871	XP_035734847.1, XP_035734848.1, XP_035734846.1	XP_311516.4
OG0000872	XP_035731796.1	XP_316840.3
OG0000873	XP_035724593.1	XP_557731.3
OG0000875	XP_035719948.1, XP_035719950.1	XP_308629.2
OG0000876	XP_035727816.1, XP_035727817.1	XP_312228.5
OG0000877	XP_035731826.1	XP_315841.3
OG0000878	XP_035718132.1	XP_308419.4
OG0000879	XP_035731414.1, XP_035731397.1	XP_001689090.1, XP_001689089.1, XP_318058.4
OG0000880	XP_035726998.1	XP_315613.4, XP_314829.4, XP_001237606.1
OG0000881	XP_035744143.1	XP_311105.2
OG0000883	XP_035736276.1, XP_035736278.1, XP_035736277.1	XP_313339.4, XP_003436531.1
OG0000884	XP_035738105.1, XP_035738178.1	XP_307777.3
OG0000886	XP_035726934.1, XP_035725399.1, XP_035725400.1	XP_003436122.1, XP_312518.5
OG0000887	XP_035732962.1, XP_035732968.1	XP_321479.1
OG0000888	XP_035736263.1, XP_035736262.1	XP_321033.5
OG0000890	XP_035744053.1	XP_001237490.3, XP_003436386.1
OG0000892	XP_035725498.1, XP_035725490.1, XP_035725512.1, XP_035735992.1	XP_003436835.1, XP_313833.5
OG0000894	XP_035735298.1	XP_316113.4
OG0000895	XP_035741878.1, XP_035741880.1, XP_035741883.1	XP_308934.4
OG0000896	XP_035723356.1	XP_320173.4, XP_318850.4
OG0000897	XP_035722018.1	XP_001237068.2, XP_001687904.1
OG0000899	XP_035742086.1	XP_003436759.1, XP_313176.5
OG0000901	XP_035736679.1	XP_317516.4
OG0000903	XP_035722703.1	XP_312952.4, XP_312953.4
OG0000904	XP_035734474.1	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4
OG0000905	XP_035726207.1, XP_035726206.1	XP_312929.3, XP_003436421.1
OG0000906	XP_035725564.1	XP_309041.4, XP_309040.4
OG0000907	XP_035726426.1, XP_035726435.1, XP_035726454.1, XP_035726445.1, XP_035726464.1	XP_003435870.1, XP_321568.5, XP_003435871.1, XP_003435872.1, XP_003435873.1, XP_003435874.1
OG0000908	XP_035719412.1	XP_316672.4
OG0000909	XP_035718276.1, XP_035718279.1	XP_318981.4
OG0000910	XP_035717751.1	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3
OG0000911	XP_035734733.1	XP_001688047.1, XP_308622.4
OG0000912	XP_035728913.1, XP_035728912.1, XP_035728914.1, XP_035728910.1, XP_035728911.1, XP_035728908.1, XP_035728909.1	XP_552325.3
OG0000914	XP_035744281.1, XP_035744280.1	XP_001688294.1
OG0000916	XP_035734907.1	XP_319584.4
OG0000917	XP_035732616.1	XP_003436170.1
OG0000918	XP_035726969.1	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1
OG0000919	XP_035731675.1, XP_035731674.1	XP_308247.4
OG0000920	XP_035730710.1, XP_035730709.1, XP_035730711.1	XP_318629.2
OG0000921	XP_035728984.1, XP_035728986.1, XP_035728987.1, XP_035728988.1	XP_003435754.1
OG0000922	XP_035722257.1	XP_311884.5
OG0000923	XP_035731183.1, XP_035731180.1, XP_035731193.1	XP_556301.3
OG0000924	XP_035741017.1	XP_315708.4
OG0000925	XP_035736660.1, XP_035736661.1, XP_035736658.1, XP_035736659.1, XP_035736662.1, XP_035742092.1, XP_035742093.1	XP_003436686.1
OG0000927	XP_035743166.1	XP_310706.3
OG0000928	XP_035719794.1	XP_563117.1, XP_003436339.1, XP_003436340.1
OG0000929	XP_035721437.1	XP_565460.2
OG0000930	XP_035740434.1	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1
OG0000931	XP_035727865.1	XP_308215.4
OG0000931	XP_035727884.1	XP_321812.4
OG0000932	XP_035728300.1, XP_035728299.1	XP_321361.5
OG0000933	XP_035740977.1, XP_035742089.1	XP_308800.3
OG0000934	XP_035732202.1, XP_035732199.1, XP_035732197.1, XP_035732201.1, XP_035732200.1	XP_308788.3
OG0000935	XP_035729878.1	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5
OG0000936	XP_035720179.1, XP_035720183.1, XP_035720185.1, XP_035720181.1, XP_035720182.1, XP_035720186.1, XP_035720187.1, XP_035720180.1	XP_314147.4
OG0000937	XP_035717338.1	XP_314129.4
OG0000938	XP_035722535.1	XP_318102.2
OG0000941	XP_035724313.1, XP_035724314.1	XP_320660.4
OG0000942	XP_035722346.1	XP_317850.4
OG0000943	XP_035718109.1	XP_321357.4
OG0000944	XP_035723267.1	XP_313297.3
OG0000945	XP_035719915.1, XP_035719909.1	XP_320578.4
OG0000946	XP_035719465.1, XP_035720946.1, XP_035720947.1	XP_316421.3
OG0000947	XP_035734133.1	XP_313650.5
OG0000948	XP_035737505.1, XP_035737506.1	XP_309921.3
OG0000950	XP_035730236.1, XP_035730238.1, XP_035730237.1	XP_319893.3
OG0000951	XP_035723109.1, XP_035723110.1, XP_035723111.1, XP_035723108.1	XP_310711.2
OG0000952	XP_035731220.1, XP_035731221.1	XP_313752.4, XP_003436823.1, XP_003436822.1
OG0000953	XP_035738982.1	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3
OG0000955	XP_035737790.1	XP_001238322.2, XP_561526.1, XP_320459.4
OG0000957	XP_035723149.1	XP_316912.4
OG0000958	XP_035732816.1, XP_035732811.1	XP_318029.4
OG0000959	XP_035729883.1	XP_319812.4
OG0000960	XP_035724669.1	XP_313575.5
OG0000960	XP_035742136.1	XP_316346.4
OG0000961	XP_035717256.1	XP_312657.5, XP_003436086.1
OG0000962	XP_035727271.1, XP_035727294.1	XP_308166.4
OG0000963	XP_035720893.1	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1
OG0000964	XP_035722121.1, XP_035722125.1	XP_320746.4
OG0000965	XP_035718659.1, XP_035718668.1	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4
OG0000966	XP_035734437.1, XP_035734436.1, XP_035734435.1	XP_314043.4
OG0000967	XP_035731612.1	XP_308187.4, XP_001687862.1
OG0000968	XP_035742069.1, XP_035742068.1	XP_313931.4
OG0000970	XP_035739818.1, XP_035739819.1	XP_320569.3
OG0000972	XP_035738757.1, XP_035738748.1, XP_035738768.1	XP_317352.3
OG0000974	XP_035732401.1, XP_035732396.1	XP_001689389.2
OG0000975	XP_035727718.1, XP_035727749.1	XP_317924.4
OG0000976	XP_035723671.1, XP_035723679.1, XP_035723685.1, XP_035723662.1	XP_320253.2
OG0000977	XP_035719284.1, XP_035719283.1	XP_312558.5
OG0000978	XP_035743561.1	XP_310715.5, XP_314327.3
OG0000979	XP_035734273.1, XP_035729461.1	XP_319777.4, XP_309185.5
OG0000980	XP_035719471.1	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3
OG0000981	XP_035729647.1, XP_035729648.1	XP_318419.5
OG0000982	XP_035730163.1	XP_001687830.2
OG0000983	XP_035733695.1, XP_035733694.1, XP_035733693.1, XP_035733692.1, XP_035733696.1	XP_311964.4
OG0000984	XP_035720738.1	XP_319605.4
OG0000984	XP_035720737.1	XP_552730.3
OG0000985	XP_035722289.1, XP_035722290.1, XP_035722291.1, XP_035722294.1, XP_035722295.1, XP_035722293.1, XP_035722292.1	XP_315127.2
OG0000987	XP_035739476.1, XP_035741142.1	XP_320264.4
OG0000988	XP_035733739.1, XP_035733732.1	XP_024667085.1, XP_309588.5, XP_003436692.1
OG0000989	XP_035732262.1, XP_035732263.1, XP_035732243.1	XP_321415.5, XP_003435899.1
OG0000990	XP_035733018.1	XP_321555.1
OG0000992	XP_035732019.1, XP_035732018.1, XP_035732016.1	XP_309992.2
OG0000993	XP_035737417.1	XP_003436444.1, XP_003436445.1
OG0000994	XP_035720197.1	XP_309631.5
OG0000995	XP_035738707.1, XP_035722832.1	XP_308821.4, XP_001688099.1
OG0000996	XP_035732862.1	XP_314487.3
OG0000997	XP_035724864.1	XP_315616.4
OG0000997	XP_035724863.1	XP_311426.1
OG0000998	XP_035742102.1	XP_311299.1, XP_316865.2, XP_003437127.1
OG0000999	XP_035722769.1	XP_317398.3, XP_001237925.1
OG0001000	XP_035723338.1, XP_035723337.1, XP_035723336.1, XP_035723335.1	XP_003436472.1, XP_311698.5
OG0001001	XP_035741907.1, XP_035741904.1, XP_035717221.1	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1
OG0001003	XP_035729018.1, XP_035729021.1	XP_314318.4
OG0001004	XP_035741234.1	XP_308942.4
OG0001004	XP_035733627.1	XP_320325.1
OG0001005	XP_035723658.1	XP_321274.5
OG0001006	XP_035740141.1, XP_035740139.1	XP_003436707.1, XP_309629.5
OG0001007	XP_035743845.1	XP_001688444.2
OG0001008	XP_035738052.1	XP_310585.4, XP_310530.3
OG0001009	XP_035718670.1	XP_310493.5
OG0001009	XP_035738303.1	XP_317322.4
OG0001010	XP_035724541.1	XP_310232.4
OG0001011	XP_035722498.1, XP_035722517.1, XP_035722507.1, XP_035722528.1, XP_035722532.1, XP_035722461.1, XP_035722472.1, XP_035722482.1, XP_035722489.1	XP_314123.4
OG0001013	XP_035722228.1, XP_035722222.1	XP_314060.4
OG0001014	XP_035720767.1, XP_035720768.1	XP_312817.4
OG0001015	XP_035731994.1	XP_308884.2
OG0001016	XP_035726600.1, XP_035730531.1	XP_563695.1
OG0001017	XP_035722072.1	XP_311055.5
OG0001018	XP_035723331.1	XP_001688381.1
OG0001018	XP_035727220.1	XP_313804.3
OG0001019	XP_035722052.1	XP_316696.4
OG0001020	XP_035719947.1	XP_314731.4
OG0001021	XP_035735706.1	XP_309024.3
OG0001022	XP_035729459.1	XP_003436590.1, XP_310271.7
OG0001023	XP_035718321.1	XP_313173.5
OG0001024	XP_035718102.1, XP_035718100.1, XP_035718101.1, XP_035720108.1, XP_035720106.1, XP_035720107.1, XP_035720104.1, XP_035720105.1	XP_319635.4
OG0001025	XP_035717529.1	XP_314283.5
OG0001026	XP_035717489.1	XP_003436567.1, XP_313472.4
OG0001027	XP_035724948.1	XP_309944.3
OG0001028	XP_035720221.1	XP_311527.2
OG0001030	XP_035725397.1	XP_309545.3
OG0001031	XP_035743774.1	XP_315208.4
OG0001032	XP_035719411.1, XP_035723439.1	XP_310000.4
OG0001033	XP_035734763.1, XP_035734772.1, XP_035734782.1	XP_310453.2
OG0001034	XP_035732600.1	XP_310276.4
OG0001035	XP_035720110.1, XP_035720109.1	XP_321735.4
OG0001036	XP_035722778.1, XP_035726486.1	XP_319657.4
OG0001037	XP_035725203.1	XP_315158.3
OG0001038	XP_035739216.1, XP_035739213.1, XP_035739214.1, XP_035739212.1, XP_035739215.1	XP_319690.4
OG0001039	XP_035723095.1, XP_035723097.1, XP_035723098.1, XP_035723096.1	XP_310813.5
OG0001040	XP_035721906.1	XP_311818.2
OG0001041	XP_035742799.1	XP_310153.4
OG0001042	XP_035722312.1	XP_308531.3
OG0001043	XP_035738054.1	XP_308245.4
OG0001044	XP_035728322.1	XP_315822.5
OG0001045	XP_035743312.1	XP_310646.5
OG0001046	XP_035741327.1	XP_312227.5
OG0001048	XP_035720068.1	XP_308398.3
OG0001049	XP_035740799.1, XP_035740795.1	XP_001687845.1, XP_001687846.1, XP_308153.4
OG0001050	XP_035737216.1, XP_035737211.1	XP_320316.4
OG0001052	XP_035731117.1	XP_310662.5
OG0001053	XP_035734067.1, XP_035734070.1	XP_001687881.1, XP_308279.2
OG0001054	XP_035722717.1	XP_314840.4
OG0001055	XP_035744174.1	XP_311983.4
OG0001056	XP_035735856.1, XP_035735855.1	XP_308553.4, XP_001687984.1, XP_001687985.1
OG0001057	XP_035724945.1, XP_035724943.1, XP_035724946.1, XP_035724947.1	XP_309938.3
OG0001058	XP_035728810.1	XP_311505.1
OG0001059	XP_035720585.1, XP_035728404.1	XP_003435972.1, XP_321126.5
OG0001061	XP_035742981.1	XP_315958.4, XP_001688754.1
OG0001063	XP_035740703.1, XP_035733014.1	XP_312857.5
OG0001064	XP_035726905.1, XP_035726902.1	XP_564324.1, XP_310275.7
OG0001065	XP_035734976.1, XP_035735146.1	XP_313928.3
OG0001066	XP_035732534.1	XP_001238515.3, XP_308515.4
OG0001067	XP_035728422.1, XP_035728416.1, XP_035728417.1	XP_001688943.1, XP_557321.3
OG0001068	XP_035740926.1, XP_035740930.1	XP_001237855.2, XP_316699.4, XP_001688951.1
OG0001069	XP_035727125.1	XP_312834.5
OG0001070	XP_035718298.1	XP_317977.5, XP_318025.4, XP_318028.4
OG0001071	XP_035729209.1, XP_035729210.1, XP_035729208.1, XP_035729211.1	XP_312799.5
OG0001072	XP_035719453.1, XP_035719456.1, XP_035719454.1, XP_035717705.1	XP_550917.4
OG0001073	XP_035740245.1, XP_035740249.1	XP_311915.3
OG0001074	XP_035737700.1, XP_035737701.1, XP_035737699.1, XP_035737702.1	XP_307839.4
OG0001076	XP_035732620.1, XP_035732621.1	XP_313348.4
OG0001077	XP_035742941.1	XP_319424.2, XP_319425.2
OG0001078	XP_035722866.1	XP_320176.3, XP_320177.4
OG0001079	XP_035730856.1	XP_320339.4
OG0001081	XP_035723041.1	XP_308790.4
OG0001082	XP_035718490.1	XP_315574.3, XP_001237683.2
OG0001083	XP_035723022.1, XP_035723021.1	XP_314359.3, XP_001688566.1
OG0001084	XP_035717556.1	XP_556553.2
OG0001085	XP_035741383.1	XP_317314.3
OG0001086	XP_035725344.1	XP_001689067.1, XP_001238005.1, XP_317929.3
OG0001090	XP_035731633.1	XP_315009.3
OG0001091	XP_035737105.1	XP_003436096.1, XP_312603.5, XP_319738.2
OG0001092	XP_035728916.1, XP_035728917.1	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1
OG0001093	XP_035737569.1	XP_319293.4
OG0001094	XP_035721561.1	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5
OG0001095	XP_035733586.1	XP_314827.2
OG0001097	XP_035731592.1	XP_317307.4
OG0001098	XP_035718998.1	XP_321240.5
OG0001099	XP_035735209.1	XP_310965.5
OG0001100	XP_035723774.1	XP_314568.3
OG0001101	XP_035727559.1	XP_001688400.2, XP_312658.5
OG0001102	XP_035744259.1, XP_035744260.1	XP_311181.2, XP_312618.2
OG0001103	XP_035718889.1, XP_035718879.1, XP_035718859.1, XP_035718870.1, XP_035718851.1	XP_553744.3
OG0001104	XP_035740852.1	XP_308660.3
OG0001105	XP_035717778.1	XP_310975.1, XP_566239.1, XP_319078.2
OG0001106	XP_035737972.1, XP_035737963.1	XP_320183.2
OG0001107	XP_035734651.1	XP_314706.4
OG0001108	XP_035740396.1	XP_311208.4
OG0001109	XP_035743539.1, XP_035743540.1, XP_035743542.1, XP_035743543.1	XP_321850.3
OG0001110	XP_035730071.1	XP_560496.3, XP_320439.4
OG0001111	XP_035729758.1	XP_321349.4
OG0001112	XP_035730698.1, XP_035730700.1	XP_318149.4
OG0001113	XP_035737179.1	XP_307774.3
OG0001114	XP_035721968.1	XP_318236.4
OG0001115	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1	XP_320996.5
OG0001116	XP_035724249.1, XP_035724250.1	XP_310850.4
OG0001117	XP_035719019.1	XP_312919.4
OG0001118	XP_035726408.1, XP_035726409.1	XP_322006.1
OG0001119	XP_035717623.1, XP_035717612.1	XP_003437115.1, XP_316802.5
OG0001120	XP_035717233.1	XP_318732.4
OG0001120	XP_035741137.1	XP_315358.4
OG0001121	XP_035730111.1	XP_320248.4
OG0001122	XP_035725779.1	XP_320362.4
OG0001123	XP_035736049.1	XP_313330.5
OG0001124	XP_035718191.1	XP_312370.5
OG0001126	XP_035724958.1	XP_312385.5
OG0001128	XP_035738056.1	XP_315365.3, XP_001688644.1
OG0001129	XP_035724905.1, XP_035724906.1, XP_035724908.1	XP_308038.5, XP_003436041.1, XP_308996.3
OG0001130	XP_035736404.1	XP_318345.4
OG0001131	XP_035729170.1	XP_003435809.1, XP_321814.4, XP_551513.3
OG0001132	XP_035728741.1, XP_035728742.1, XP_035728743.1	XP_320484.2
OG0001133	XP_035725198.1, XP_035725197.1	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4
OG0001134	XP_035732142.1, XP_035732141.1, XP_035732137.1	XP_319097.3
OG0001135	XP_035738680.1	XP_308076.3, XP_311350.2
OG0001137	XP_035721153.1	XP_024667094.1, XP_306688.4, XP_319223.4
OG0001138	XP_035718404.1, XP_035718403.1, XP_035718405.1	XP_320011.4
OG0001139	XP_035743683.1	XP_307945.5
OG0001140	XP_035723718.1, XP_035723719.1, XP_035723150.1	XP_317273.3
OG0001141	XP_035721589.1	XP_318646.4
OG0001142	XP_035739334.1, XP_035739333.1, XP_035739332.1	XP_311392.4
OG0001143	XP_035722580.1, XP_035722579.1	XP_557018.3
OG0001144	XP_035723368.1, XP_035728699.1, XP_035728244.1	XP_307534.2, XP_313797.5
OG0001145	XP_035732592.1, XP_035732591.1, XP_035732594.1	XP_308148.3
OG0001146	XP_035719270.1, XP_035719086.1	XP_308872.2
OG0001147	XP_035729583.1	XP_310582.2
OG0001148	XP_035732530.1, XP_035732531.1, XP_035732529.1	XP_314234.2
OG0001149	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1	XP_308972.4
OG0001150	XP_035720889.1, XP_035720888.1, XP_035720887.1	XP_315411.4
OG0001151	XP_035739335.1	XP_312460.5
OG0001152	XP_035738354.1	XP_310362.7
OG0001153	XP_035729654.1, XP_035729655.1	XP_553211.3
OG0001154	XP_035743121.1, XP_035743113.1	XP_311713.5, XP_003436477.1
OG0001155	XP_035726229.1	XP_310967.5
OG0001156	XP_035718475.1	XP_003436005.1, XP_321037.5
OG0001157	XP_035717435.1	XP_311092.3
OG0001158	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1	XP_315369.4
OG0001159	XP_035723877.1	XP_552266.3
OG0001160	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1	XP_553588.1
OG0001161	XP_035717196.1	XP_312237.4
OG0001161	XP_035722667.1	XP_321654.3
OG0001165	XP_035717866.1	XP_321402.5, XP_003435904.1
OG0001166	XP_035735494.1	XP_003437030.1, XP_310514.3, XP_001237264.1
OG0001167	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1	XP_316568.4
OG0001168	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1	XP_318706.4
OG0001169	XP_035720934.1	XP_317457.4
OG0001171	XP_035729576.1, XP_035729572.1	XP_310580.4, XP_003437016.1
OG0001172	XP_035719625.1, XP_035719632.1	XP_321331.5, XP_003435918.1
OG0001173	XP_035736818.1	XP_003436462.1
OG0001174	XP_035723706.1	XP_313500.1
OG0001175	XP_035721083.1	XP_316052.4
OG0001176	XP_035720195.1, XP_035720196.1, XP_035720191.1	XP_309066.4
OG0001179	XP_035733749.1	XP_318508.4
OG0001180	XP_035733356.1, XP_035733411.1	XP_312107.4, XP_003436250.1
OG0001181	XP_035742099.1	XP_310584.5
OG0001182	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1	XP_320209.4
OG0001183	XP_035734638.1, XP_035734647.1	XP_001237762.2
OG0001184	XP_035723556.1, XP_035723559.1	XP_003436481.1, XP_558879.4, XP_003436480.1
OG0001185	XP_035735384.1	XP_317794.3, XP_557418.3, XP_309856.4, XP_554727.1
OG0001186	XP_035740406.1, XP_035740405.1	XP_001237242.1
OG0001187	XP_035723203.1	XP_001230352.1, XP_321322.5
OG0001189	XP_035726769.1, XP_035726770.1	XP_556172.2
OG0001190	XP_035742460.1, XP_035742461.1, XP_035742464.1, XP_035742463.1	XP_314805.4
OG0001191	XP_035737087.1	XP_559733.2, XP_309365.2
OG0001193	XP_035742520.1	XP_320433.1
OG0001195	XP_035742307.1	XP_319946.4
OG0001197	XP_035729063.1, XP_035729061.1	XP_311347.4
OG0001198	XP_035727541.1	XP_317373.3
OG0001199	XP_035730038.1	XP_315370.3, XP_001688648.1
OG0001202	XP_035737501.1, XP_035737654.1	XP_320320.4, XP_320321.3
OG0001203	XP_035732539.1	XP_308917.3, XP_313576.4
OG0001204	XP_035736751.1	XP_556259.3
OG0001205	XP_035735201.1, XP_035728105.1	XP_310915.3
OG0001207	XP_035726296.1, XP_035726297.1, XP_035726293.1, XP_035726292.1, XP_035726291.1, XP_035726294.1, XP_035726295.1	XP_320895.4, XP_320898.4
OG0001208	XP_035717137.1, XP_035717138.1, XP_035717139.1, XP_035717134.1, XP_035717135.1, XP_035717136.1	XP_563571.4
OG0001214	XP_035734780.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	XP_035724049.1, XP_035724048.1	XP_315584.3
OG0001216	XP_035738838.1, XP_035738833.1	XP_319631.4
OG0001217	XP_035721739.1	XP_001237272.3
OG0001218	XP_035726474.1, XP_035726511.1	XP_311542.4
OG0001219	XP_035731471.1, XP_035731469.1	XP_321594.5
OG0001220	XP_035729813.1	XP_317914.3, XP_320417.3
OG0001221	XP_035719054.1, XP_035719063.1, XP_035719072.1	XP_313849.2
