Orthogroup	Vespa_mandarinia	Polistes_dominula
OG0000500	XP_035732148.1	XP_015191578.1
OG0000500	XP_035732174.1	XP_015191564.1
OG0000501	XP_035738238.1	XP_015181954.1
OG0000502	XP_035730532.1	XP_015177168.1
OG0000502	XP_035730547.1	XP_015177169.1
OG0000503	XP_035741446.1, XP_035741429.1, XP_035741420.1, XP_035741455.1, XP_035741436.1, XP_035741410.1	XP_015191090.1, XP_015191088.1, XP_015191087.1
OG0000504	XP_035734634.1, XP_035734633.1	XP_015172635.1
OG0000505	XP_035735709.1	XP_015191833.1
OG0000505	XP_035735657.1, XP_035735659.1, XP_035735658.1	XP_015191857.1
OG0000507	XP_035720858.1	XP_015171471.1
OG0000508	XP_035729979.1	XP_015183031.1
OG0000509	XP_035735617.1	XP_015187013.1
OG0000510	XP_035735029.1, XP_035735030.1, XP_035735031.1, XP_035735033.1	XP_015179474.1
OG0000511	XP_035735451.1	XP_015177522.1
OG0000512	XP_035742351.1	XP_015175595.1
OG0000513	XP_035733054.1	XP_015175840.1
OG0000514	XP_035735459.1, XP_035735458.1, XP_035735457.1	XP_015177519.1
OG0000514	XP_035735455.1	XP_015177520.1
OG0000516	XP_035717475.1, XP_035717476.1, XP_035717481.1, XP_035717479.1, XP_035717478.1, XP_035717477.1	XP_015190498.1
OG0000517	XP_035736870.1	XP_015189099.1
OG0000517	XP_035737658.1	XP_015181380.1
OG0000518	XP_035735694.1, XP_035735695.1, XP_035735697.1, XP_035735693.1	XP_015179647.1, XP_015179648.1, XP_015179649.1
OG0000519	XP_035727636.1	XP_015185214.1
OG0000520	XP_035739352.1	XP_015175185.1
OG0000520	XP_035739298.1	XP_015175037.1, XP_015175038.1
OG0000522	XP_035727954.1	XP_015178697.1
OG0000523	XP_035729921.1, XP_035729923.1	XP_015182265.1, XP_015182279.1, XP_015182347.1
OG0000525	XP_035727500.1, XP_035727501.1	XP_015184198.1, XP_015184199.1, XP_015184200.1, XP_015184201.1, XP_015184202.1
OG0000526	XP_035726113.1	XP_015190607.1
OG0000526	XP_035743575.1	XP_015191120.1
OG0000527	XP_035719402.1	XP_015171347.1
OG0000527	XP_035719404.1	XP_015171348.1
OG0000528	XP_035721376.1, XP_035721377.1	XP_015173596.1
OG0000529	XP_035738926.1, XP_035738927.1, XP_035738928.1	XP_015180779.1
OG0000529	XP_035741199.1	XP_015174000.1
OG0000530	XP_035720714.1	XP_015172268.1
OG0000530	XP_035720729.1	XP_015172277.1
OG0000531	XP_035743490.1	XP_015171584.1
OG0000533	XP_035740461.1, XP_035740459.1, XP_035740460.1, XP_035740458.1, XP_035740457.1, XP_035740456.1	XP_015187513.1, XP_015187512.1
OG0000536	XP_035725863.1	XP_015190937.1
OG0000538	XP_035742291.1	XP_015191382.1
OG0000540	XP_035728187.1	XP_015188027.1
OG0000541	XP_035721807.1, XP_035721808.1	XP_015184399.1, XP_015184400.1, XP_015184401.1, XP_015184397.1
OG0000542	XP_035721407.1, XP_035721406.1, XP_035721408.1, XP_035721405.1, XP_035721402.1, XP_035721404.1, XP_035721403.1, XP_035721410.1, XP_035721409.1	XP_015173526.1, XP_015173523.1, XP_015173522.1, XP_015173525.1, XP_015173524.1, XP_015173519.1, XP_015173521.1, XP_015173520.1, XP_015173529.1, XP_015173527.1
OG0000544	XP_035728188.1	XP_015184916.1
OG0000545	XP_035717765.1, XP_035717764.1	XP_015190238.1
OG0000546	XP_035740271.1	XP_015182760.1, XP_015182761.1, XP_015182762.1
OG0000547	XP_035733458.1	XP_015181073.1
OG0000548	XP_035734894.1	XP_015179381.1
OG0000549	XP_035722929.1	XP_015189695.1
OG0000549	XP_035723017.1	XP_015189694.1
OG0000549	XP_035722965.1, XP_035722951.1, XP_035722978.1, XP_035723045.1, XP_035723031.1, XP_035723056.1, XP_035722937.1, XP_035723019.1, XP_035723145.1, XP_035723188.1, XP_035723200.1, XP_035723070.1	XP_015185177.1
OG0000549	XP_035723179.1	XP_015182055.1
OG0000550	XP_035735760.1, XP_035735754.1	XP_015171822.1
OG0000551	XP_035741193.1	XP_015183166.1
OG0000552	XP_035730654.1	XP_015187785.1
OG0000552	XP_035731123.1	XP_015180360.1
OG0000553	XP_035718906.1, XP_035718905.1	XP_015171078.1, XP_015171077.1
OG0000554	XP_035717322.1	XP_015177001.1
OG0000554	XP_035735174.1	XP_015175654.1, XP_015175655.1
OG0000555	XP_035718009.1	XP_015178311.1
OG0000555	XP_035718008.1	XP_015178478.1
OG0000556	XP_035730705.1, XP_035730704.1	XP_015186802.1
OG0000557	XP_035740309.1	XP_015175082.1, XP_015175084.1
OG0000558	XP_035717359.1	XP_015179999.1
OG0000558	XP_035720628.1	XP_015188663.1
OG0000559	XP_035741421.1, XP_035741424.1, XP_035741422.1, XP_035741423.1	XP_015179651.1, XP_015179617.1, XP_015179643.1, XP_015179626.1, XP_015179633.1
OG0000560	XP_035742656.1, XP_035742659.1, XP_035742657.1, XP_035742658.1	XP_015179179.1, XP_015179183.1, XP_015179178.1, XP_015179180.1, XP_015179181.1, XP_015179184.1
OG0000561	XP_035717328.1	XP_015174740.1
OG0000562	XP_035730714.1	XP_015186798.1
OG0000562	XP_035730672.1	XP_015186797.1
OG0000563	XP_035736517.1, XP_035736516.1, XP_035736515.1, XP_035736518.1	XP_015181608.1, XP_015181602.1
OG0000565	XP_035738984.1	XP_015183282.1
OG0000565	XP_035727335.1	XP_015172078.1
OG0000566	XP_035744118.1, XP_035717259.1	XP_015184609.1, XP_015184612.1, XP_015184608.1
OG0000567	XP_035737745.1	XP_015191148.1
OG0000567	XP_035718057.1	XP_015190709.1
OG0000568	XP_035743545.1	XP_015171473.1, XP_015171472.1, XP_015171474.1
OG0000569	XP_035732293.1	XP_015191638.1
OG0000571	XP_035720312.1	XP_015172394.1, XP_015172391.1
OG0000573	XP_035736511.1	XP_015181562.1
OG0000574	XP_035723182.1	XP_015180242.1, XP_015180241.1
OG0000574	XP_035728632.1	XP_015182202.1
OG0000575	XP_035740223.1	XP_015182669.1
OG0000575	XP_035740252.1	XP_015182785.1
OG0000575	XP_035740244.1	XP_015182670.1
OG0000576	XP_035721333.1, XP_035721335.1, XP_035721332.1, XP_035721330.1, XP_035721331.1	XP_015177938.1, XP_015177939.1, XP_015177937.1
OG0000577	XP_035733148.1, XP_035733150.1, XP_035733149.1, XP_035733152.1, XP_035733151.1	XP_015178332.1, XP_015178330.1, XP_015178331.1, XP_015178333.1
OG0000578	XP_035734925.1	XP_015187313.1, XP_015187307.1, XP_015187306.1, XP_015187309.1, XP_015187308.1, XP_015187310.1
OG0000579	XP_035735885.1	XP_015172231.1, XP_015172238.1, XP_015172236.1, XP_015172237.1, XP_015172234.1, XP_015172233.1, XP_015172235.1
OG0000582	XP_035730900.1	XP_015188411.1, XP_015188412.1
OG0000583	XP_035721366.1, XP_035721362.1, XP_035721363.1, XP_035721364.1	XP_015173429.1
OG0000584	XP_035736549.1	XP_015181615.1
OG0000584	XP_035739113.1	XP_015183361.1
OG0000585	XP_035739903.1	XP_015174406.1
OG0000585	XP_035731996.1	XP_015191542.1
OG0000586	XP_035725595.1	XP_015186252.1
OG0000586	XP_035730034.1, XP_035730033.1	XP_015179858.1
OG0000587	XP_035720087.1	XP_015186935.1, XP_015186936.1, XP_015186934.1, XP_015186938.1
OG0000588	XP_035735245.1	XP_015183027.1, XP_015183026.1
OG0000589	XP_035733584.1, XP_035733583.1	XP_015184062.1
OG0000591	XP_035740440.1	XP_015188885.1
OG0000591	XP_035731178.1	XP_015180278.1
OG0000592	XP_035728270.1	XP_015184903.1
OG0000593	XP_035728346.1	XP_015178586.1
OG0000594	XP_035732995.1	XP_015174738.1
OG0000595	XP_035728571.1	XP_015174684.1
OG0000595	XP_035743183.1	XP_015183505.1
OG0000596	XP_035720228.1	XP_015182406.1
OG0000598	XP_035740512.1, XP_035740510.1, XP_035740511.1	XP_015186100.1
OG0000599	XP_035726536.1, XP_035726562.1, XP_035726543.1	XP_015188527.1, XP_015188534.1
OG0000600	XP_035732814.1, XP_035732805.1	XP_015183407.1
OG0000601	XP_035723471.1	XP_015173235.1
OG0000602	XP_035731746.1	XP_015179779.1
OG0000602	XP_035720576.1	XP_015171451.1
OG0000603	XP_035736138.1	XP_015181038.1, XP_015181037.1
OG0000604	XP_035719416.1	XP_015184462.1
OG0000604	XP_035719750.1	XP_015184463.1
OG0000607	XP_035731524.1	XP_015191727.1, XP_015191728.1, XP_015191729.1, XP_015191726.1
OG0000609	XP_035719616.1	XP_015189358.1
OG0000611	XP_035740690.1, XP_035740688.1, XP_035740689.1, XP_035740683.1, XP_035740684.1, XP_035740685.1, XP_035740691.1, XP_035740686.1	XP_015181298.1, XP_015181297.1, XP_015181296.1
OG0000612	XP_035734547.1, XP_035734548.1, XP_035734542.1, XP_035734543.1, XP_035734544.1	XP_015179263.1
OG0000613	XP_035726603.1	XP_015188507.1
OG0000613	XP_035735368.1	XP_015183019.1
OG0000614	XP_035719111.1	XP_015187538.1
OG0000614	XP_035728185.1	XP_015174915.1
OG0000615	XP_035736501.1	XP_015181651.1, XP_015181650.1, XP_015181654.1, XP_015181653.1, XP_015181652.1, XP_015181649.1
OG0000616	XP_035733555.1, XP_035733551.1	XP_015184088.1, XP_015184091.1
OG0000617	XP_035726460.1, XP_035726461.1	XP_015186988.1, XP_015186989.1, XP_015186987.1
OG0000617	XP_035726446.1	XP_015186977.1
OG0000619	XP_035744132.1, XP_035744129.1, XP_035744128.1, XP_035744131.1, XP_035744130.1	XP_015190413.1, XP_015190412.1, XP_015190415.1, XP_015190414.1
OG0000620	XP_035727153.1, XP_035727154.1	XP_015172097.1
OG0000621	XP_035718106.1, XP_035718105.1, XP_035718103.1, XP_035718104.1	XP_015189145.1, XP_015189144.1, XP_015189143.1, XP_015189142.1
OG0000622	XP_035721433.1, XP_035721435.1	XP_015184720.1
OG0000623	XP_035740554.1, XP_035740553.1, XP_035740555.1, XP_035740556.1, XP_035740552.1	XP_015186678.1, XP_015186677.1, XP_015186679.1
OG0000624	XP_035720809.1	XP_015183343.1
OG0000624	XP_035720811.1	XP_015183349.1
OG0000625	XP_035730353.1, XP_035730373.1	XP_015186903.1, XP_015186904.1, XP_015186905.1
OG0000626	XP_035741603.1	XP_015183650.1, XP_015183649.1, XP_015183645.1, XP_015183646.1, XP_015183647.1, XP_015183648.1
OG0000627	XP_035718764.1	XP_015180643.1, XP_015180644.1
OG0000628	XP_035740182.1	XP_015173970.1
OG0000629	XP_035721961.1	XP_015177997.1
OG0000630	XP_035733006.1	XP_015190549.1
OG0000631	XP_035722350.1	XP_015177364.1
OG0000632	XP_035728398.1, XP_035728397.1	XP_015172160.1, XP_015172161.1, XP_015172162.1
OG0000633	XP_035727308.1	XP_015183047.1, XP_015183046.1
OG0000633	XP_035726468.1	XP_015186974.1
OG0000634	XP_035725453.1	XP_015185676.1
OG0000634	XP_035725404.1	XP_015185639.1
OG0000635	XP_035725559.1	XP_015184631.1
OG0000635	XP_035729181.1	XP_015181540.1
OG0000635	XP_035729184.1	XP_015181564.1
OG0000636	XP_035721959.1, XP_035721960.1	XP_015178010.1
OG0000637	XP_035720034.1	XP_015173254.1
OG0000638	XP_035743307.1, XP_035743308.1, XP_035743304.1, XP_035743303.1, XP_035743306.1, XP_035743305.1	XP_015191322.1, XP_015191317.1
OG0000639	XP_035722928.1, XP_035722930.1, XP_035722932.1, XP_035722931.1, XP_035722933.1	XP_015187910.1, XP_015187909.1, XP_015187911.1
OG0000640	XP_035730978.1	XP_015186374.1
OG0000641	XP_035734413.1	XP_015180654.1
OG0000642	XP_035737636.1, XP_035737637.1, XP_035737640.1, XP_035737639.1	XP_015181404.1, XP_015181405.1
OG0000643	XP_035724625.1	XP_015173274.1
OG0000643	XP_035724602.1	XP_015173275.1
OG0000644	XP_035720837.1	XP_015188700.1, XP_015188699.1
OG0000645	XP_035720622.1	XP_015188661.1
OG0000645	XP_035734438.1	XP_015175009.1
OG0000646	XP_035735899.1	XP_015172229.1
OG0000647	XP_035717123.1, XP_035717133.1	XP_015187418.1, XP_015187419.1
OG0000648	XP_035741356.1	XP_015173778.1
OG0000649	XP_035730151.1	XP_015182725.1, XP_015182709.1, XP_015182700.1, XP_015182718.1, XP_015182691.1
OG0000650	XP_035735473.1	XP_015177656.1
OG0000651	XP_035726277.1, XP_035726276.1	XP_015186623.1
OG0000651	XP_035720754.1	XP_015187789.1
OG0000653	XP_035719801.1	XP_015184478.1
OG0000654	XP_035730336.1	XP_015185844.1
OG0000654	XP_035727145.1, XP_035727144.1	XP_015183230.1
OG0000655	XP_035719884.1	XP_015189604.1, XP_015189586.1, XP_015189599.1
OG0000656	XP_035725962.1, XP_035725959.1, XP_035725965.1, XP_035725960.1, XP_035725961.1, XP_035725964.1	XP_015175864.1
OG0000657	XP_035739115.1	XP_015183362.1
OG0000659	XP_035722680.1	XP_015182064.1, XP_015182065.1
OG0000660	XP_035717653.1	XP_015180142.1
OG0000661	XP_035739622.1	XP_015179223.1
OG0000662	XP_035733998.1	XP_015181970.1
OG0000663	XP_035727663.1, XP_035727661.1, XP_035727665.1	XP_015177064.1, XP_015177062.1, XP_015177068.1
OG0000664	XP_035738822.1	XP_015174258.1
OG0000665	XP_035725478.1	XP_015184641.1
OG0000666	XP_035733023.1	XP_015190545.1
OG0000666	XP_035733224.1	XP_015190567.1
OG0000667	XP_035743664.1, XP_035743670.1	XP_015188831.1
OG0000668	XP_035743929.1, XP_035743925.1, XP_035743926.1, XP_035743927.1	XP_015189393.1
OG0000669	XP_035737438.1	XP_015186031.1
OG0000670	XP_035736657.1	XP_015179260.1
OG0000671	XP_035717974.1	XP_015185728.1
OG0000672	XP_035717545.1	XP_015176566.1, XP_015176565.1
OG0000672	XP_035717583.1	XP_015176600.1
OG0000673	XP_035723062.1, XP_035723060.1, XP_035723061.1	XP_015189488.1, XP_015189486.1, XP_015189489.1
OG0000674	XP_035737376.1	XP_015175773.1
OG0000674	XP_035737750.1	XP_015187094.1
OG0000677	XP_035734822.1, XP_035734830.1	XP_015172889.1, XP_015172888.1, XP_015172884.1
OG0000678	XP_035739546.1	XP_015181338.1, XP_015182296.1
OG0000680	XP_035732688.1, XP_035732689.1	XP_015181835.1
OG0000681	XP_035730416.1	XP_015177157.1
OG0000681	XP_035736589.1	XP_015179283.1
OG0000682	XP_035730509.1	XP_015176964.1
OG0000683	XP_035742980.1	XP_015178545.1
OG0000684	XP_035720461.1, XP_035720465.1, XP_035720464.1, XP_035720463.1, XP_035720462.1	XP_015183369.1, XP_015183372.1
OG0000685	XP_035726310.1	XP_015186626.1
OG0000685	XP_035718319.1	XP_015178476.1
OG0000686	XP_035725592.1, XP_035725589.1, XP_035725590.1, XP_035725587.1, XP_035725591.1	XP_015186259.1
OG0000687	XP_035744190.1	XP_015180013.1
OG0000688	XP_035725093.1	XP_015172768.1, XP_015172770.1, XP_015172769.1, XP_015172771.1
OG0000689	XP_035734480.1	XP_015173020.1
OG0000689	XP_035734527.1	XP_015173015.1
OG0000690	XP_035736006.1, XP_035736005.1, XP_035736004.1, XP_035736003.1	XP_015185113.1
OG0000691	XP_035733422.1, XP_035733421.1	XP_015184030.1
OG0000692	XP_035738696.1	XP_015175100.1, XP_015175099.1, XP_015175101.1, XP_015175098.1
OG0000694	XP_035737510.1, XP_035737512.1	XP_015181364.1
OG0000695	XP_035725164.1, XP_035725165.1	XP_015186274.1, XP_015186273.1
OG0000696	XP_035717864.1, XP_035717862.1, XP_035717863.1	XP_015188314.1, XP_015188340.1, XP_015188347.1, XP_015188365.1, XP_015188355.1, XP_015188323.1, XP_015188332.1
OG0000698	XP_035719080.1	XP_015184506.1
OG0000699	XP_035739620.1	XP_015179117.1
OG0000700	XP_035738864.1	XP_015171713.1
OG0000700	XP_035738985.1	XP_015171452.1
OG0000701	XP_035725746.1	XP_015184656.1
OG0000703	XP_035741856.1	XP_015180074.1, XP_015180072.1, XP_015180071.1, XP_015180075.1
OG0000704	XP_035735915.1	XP_015179716.1
OG0000705	XP_035720546.1, XP_035720545.1	XP_015183007.1
OG0000706	XP_035740539.1	XP_015186669.1
OG0000707	XP_035727759.1, XP_035739261.1	XP_015184241.1, XP_015184240.1
OG0000708	XP_035739714.1	XP_015179149.1
OG0000709	XP_035737454.1, XP_035737447.1, XP_035737449.1, XP_035737452.1	XP_015185512.1, XP_015185514.1
OG0000710	XP_035717116.1	XP_015190493.1
OG0000711	XP_035731898.1	XP_015175488.1
OG0000712	XP_035724913.1, XP_035724921.1	XP_015184996.1, XP_015184992.1
OG0000713	XP_035721344.1, XP_035721340.1, XP_035721339.1, XP_035721342.1, XP_035721341.1, XP_035721343.1	XP_015173455.1
OG0000714	XP_035743266.1	XP_015191354.1
OG0000714	XP_035743265.1	XP_015191358.1
OG0000715	XP_035736099.1	XP_015180971.1
OG0000716	XP_035735998.1	XP_015185112.1
OG0000717	XP_035743738.1, XP_035743739.1	XP_015190318.1
OG0000718	XP_035720559.1, XP_035720555.1, XP_035720560.1	XP_015172333.1
OG0000719	XP_035740882.1, XP_035740883.1, XP_035740885.1	XP_015184347.1, XP_015184348.1, XP_015184349.1, XP_015184351.1, XP_015184352.1, XP_015184350.1
OG0000720	XP_035720460.1	XP_015183286.1
OG0000720	XP_035725777.1	XP_015190628.1
OG0000721	XP_035738601.1, XP_035738597.1, XP_035738598.1, XP_035738599.1	XP_015174375.1
OG0000722	XP_035719943.1	XP_015171285.1
OG0000723	XP_035731157.1, XP_035731164.1	XP_015180385.1, XP_015180374.1
OG0000724	XP_035739785.1, XP_035739784.1	XP_015179218.1, XP_015179211.1, XP_015179216.1
OG0000726	XP_035732106.1	XP_015176244.1
OG0000727	XP_035742962.1, XP_035742970.1	XP_015188819.1, XP_015188820.1
OG0000728	XP_035731130.1	XP_015181373.1
OG0000728	XP_035731097.1	XP_015183596.1, XP_015181385.1
OG0000729	XP_035731108.1, XP_035731109.1, XP_035731111.1	XP_015184372.1
OG0000730	XP_035717232.1, XP_035717231.1	XP_015188769.1, XP_015188775.1
OG0000731	XP_035736168.1	XP_015177761.1
OG0000733	XP_035735542.1, XP_035735543.1	XP_015177532.1, XP_015177534.1, XP_015177533.1, XP_015177536.1, XP_015177535.1, XP_015177538.1
OG0000734	XP_035738188.1	XP_015181061.1, XP_015181064.1, XP_015181063.1, XP_015181066.1, XP_015181065.1, XP_015181068.1, XP_015181067.1, XP_015181062.1, XP_015181059.1, XP_015181060.1
OG0000736	XP_035720367.1	XP_015172347.1
OG0000737	XP_035721090.1	XP_015176143.1
OG0000737	XP_035721089.1	XP_015176141.1
OG0000738	XP_035723897.1	XP_015185037.1
OG0000739	XP_035722617.1, XP_035722616.1	XP_015174351.1
OG0000740	XP_035730120.1, XP_035730122.1, XP_035730121.1, XP_035730123.1	XP_015186238.1, XP_015186254.1, XP_015186246.1
OG0000741	XP_035719143.1	XP_015187999.1
OG0000742	XP_035731976.1, XP_035731975.1, XP_035731974.1	XP_015178589.1
OG0000743	XP_035719571.1	XP_015185275.1, XP_015185274.1, XP_015185273.1
OG0000744	XP_035729804.1	XP_015179932.1
OG0000745	XP_035730031.1, XP_035730030.1	XP_015179849.1, XP_015179852.1, XP_015179850.1
OG0000746	XP_035735782.1	XP_015177864.1
OG0000747	XP_035743788.1, XP_035743787.1, XP_035743786.1	XP_015189222.1, XP_015189230.1
OG0000748	XP_035727008.1	XP_015183127.1
OG0000749	XP_035736123.1	XP_015180980.1
OG0000750	XP_035725142.1	XP_015185680.1
OG0000751	XP_035742080.1	XP_015176176.1
OG0000752	XP_035735901.1	XP_015179722.1
OG0000752	XP_035735936.1	XP_015179724.1, XP_015179727.1, XP_015179726.1, XP_015179723.1, XP_015179728.1, XP_015179725.1
OG0000753	XP_035732089.1, XP_035732090.1	XP_015176325.1
OG0000754	XP_035731076.1, XP_035731065.1, XP_035731101.1, XP_035731110.1, XP_035731085.1, XP_035731094.1	XP_015181776.1
OG0000754	XP_035722716.1	XP_015177253.1
OG0000755	XP_035733249.1	XP_015191582.1
OG0000756	XP_035727440.1	XP_015182790.1
OG0000756	XP_035727474.1	XP_015182788.1
OG0000757	XP_035739702.1	XP_015181657.1
OG0000758	XP_035724560.1	XP_015178144.1
OG0000758	XP_035719725.1, XP_035719718.1	XP_015174833.1
OG0000759	XP_035731755.1	XP_015177931.1
OG0000760	XP_035724653.1, XP_035724652.1, XP_035724646.1	XP_015178058.1
OG0000761	XP_035729581.1	XP_015191843.1
OG0000762	XP_035728257.1, XP_035728255.1, XP_035728252.1, XP_035728256.1, XP_035728254.1	XP_015183904.1, XP_015183902.1, XP_015183903.1, XP_015183901.1
OG0000764	XP_035737178.1	XP_015175586.1
OG0000765	XP_035720500.1, XP_035720511.1, XP_035720489.1, XP_035720522.1	XP_015176727.1
OG0000766	XP_035728683.1, XP_035728682.1, XP_035728681.1	XP_015173730.1, XP_015173731.1
OG0000767	XP_035717902.1, XP_035717901.1	XP_015190178.1, XP_015190180.1
OG0000768	XP_035717969.1, XP_035717970.1, XP_035717971.1, XP_035717968.1, XP_035717967.1	XP_015186865.1, XP_015186866.1
OG0000769	XP_035729826.1, XP_035729825.1, XP_035729827.1	XP_015179961.1, XP_015179960.1
OG0000770	XP_035735825.1, XP_035735824.1	XP_015191816.1
OG0000771	XP_035726924.1	XP_015175532.1
OG0000772	XP_035721559.1	XP_015176089.1, XP_015176092.1
OG0000773	XP_035721393.1	XP_015177905.1
OG0000774	XP_035734491.1, XP_035734483.1	XP_015191157.1
OG0000775	XP_035723089.1	XP_015189462.1
OG0000775	XP_035723086.1	XP_015189456.1
OG0000776	XP_035721945.1	XP_015184371.1, XP_015184370.1
OG0000777	XP_035741119.1	XP_015191081.1, XP_015191082.1, XP_015191083.1, XP_015191075.1, XP_015191076.1, XP_015191077.1, XP_015191078.1, XP_015191084.1, XP_015191085.1, XP_015191080.1
OG0000778	XP_035736345.1, XP_035736344.1, XP_035736343.1	XP_015181118.1, XP_015181119.1
OG0000779	XP_035723001.1	XP_015188486.1
OG0000780	XP_035719579.1	XP_015188571.1
OG0000781	XP_035722336.1	XP_015177398.1
OG0000782	XP_035742043.1, XP_035742042.1, XP_035742037.1, XP_035742041.1, XP_035742040.1, XP_035742039.1, XP_035742038.1, XP_035742044.1, XP_035742045.1	XP_015189387.1
OG0000783	XP_035737556.1	XP_015171665.1
OG0000784	XP_035726576.1	XP_015188545.1
OG0000786	XP_035719275.1, XP_035719250.1, XP_035719259.1, XP_035719268.1	XP_015174812.1, XP_015174813.1, XP_015174814.1, XP_015174815.1, XP_015174816.1, XP_015174817.1
OG0000787	XP_035726858.1, XP_035726860.1	XP_015183229.1, XP_015183228.1
OG0000788	XP_035725562.1	XP_015183575.1, XP_015183574.1, XP_015183573.1, XP_015183572.1
OG0000789	XP_035726923.1	XP_015175543.1, XP_015175544.1, XP_015175545.1, XP_015175546.1
OG0000790	XP_035736162.1, XP_035736157.1, XP_035736156.1, XP_035736155.1, XP_035736161.1, XP_035736163.1, XP_035736160.1, XP_035736159.1, XP_035736158.1	XP_015180977.1
OG0000791	XP_035724382.1, XP_035724383.1, XP_035724385.1, XP_035724386.1, XP_035724387.1, XP_035724384.1, XP_035724381.1	XP_015175347.1, XP_015175344.1, XP_015175345.1
OG0000795	XP_035722568.1	XP_015182090.1
OG0000796	XP_035725099.1	XP_015172763.1
OG0000796	XP_035721438.1	XP_015184689.1
OG0000797	XP_035741632.1, XP_035741637.1, XP_035741638.1, XP_035741635.1, XP_035741634.1, XP_035741636.1, XP_035741633.1	XP_015183656.1
OG0000798	XP_035741552.1	XP_015191261.1
OG0000799	XP_035718747.1	XP_015180676.1
OG0000800	XP_035719055.1, XP_035719053.1	XP_015171144.1, XP_015171145.1
OG0000801	XP_035734010.1	XP_015174497.1
OG0000802	XP_035743442.1	XP_015174781.1
OG0000803	XP_035735360.1, XP_035735361.1	XP_015177675.1, XP_015177672.1, XP_015177673.1, XP_015177674.1
OG0000804	XP_035737952.1	XP_015177827.1
OG0000806	XP_035717179.1	XP_015180020.1, XP_015180026.1, XP_015180025.1, XP_015180024.1, XP_015180023.1, XP_015180022.1
OG0000807	XP_035724467.1	XP_015185915.1
OG0000808	XP_035738450.1	XP_015174339.1
OG0000808	XP_035738448.1	XP_015174340.1
OG0000809	XP_035733176.1, XP_035733168.1	XP_015190648.1, XP_015190653.1
OG0000810	XP_035723927.1, XP_035723925.1, XP_035723926.1	XP_015175370.1
OG0000811	XP_035739302.1	XP_015175059.1, XP_015175058.1
OG0000812	XP_035737174.1	XP_015177868.1, XP_015177866.1
OG0000812	XP_035741003.1	XP_015191437.1
OG0000813	XP_035737583.1	XP_015185493.1
OG0000814	XP_035736228.1	XP_015177459.1
OG0000815	XP_035726011.1	XP_015190690.1
OG0000815	XP_035726013.1	XP_015190692.1
OG0000816	XP_035717990.1	XP_015178477.1
OG0000817	XP_035734155.1, XP_035734157.1	XP_015172113.1
OG0000818	XP_035727225.1	XP_015171841.1
OG0000819	XP_035736129.1	XP_015177455.1
OG0000819	XP_035736127.1	XP_015177452.1
OG0000820	XP_035727120.1	XP_015173350.1
OG0000821	XP_035730075.1	XP_015187205.1
OG0000822	XP_035736969.1	XP_015189041.1, XP_015189039.1, XP_015189042.1
OG0000823	XP_035732382.1, XP_035732383.1, XP_035732384.1	XP_015184871.1, XP_015184870.1, XP_015184873.1, XP_015184872.1
OG0000824	XP_035729598.1	XP_015191755.1, XP_015191754.1
OG0000824	XP_035718672.1	XP_015180593.1
OG0000825	XP_035730924.1, XP_035730923.1	XP_015187740.1
OG0000826	XP_035721104.1	XP_015187846.1, XP_015187847.1
OG0000827	XP_035729075.1, XP_035729082.1	XP_015190880.1
OG0000829	XP_035738725.1	XP_015174247.1
OG0000830	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1	XP_015176486.1
OG0000831	XP_035720383.1	XP_015187648.1, XP_015187641.1
OG0000832	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1	XP_015182201.1
OG0000833	XP_035739568.1, XP_035739556.1	XP_015179083.1, XP_015179069.1
OG0000834	XP_035737030.1	XP_015188791.1, XP_015188793.1
OG0000835	XP_035731442.1	XP_015172107.1
OG0000836	XP_035731936.1	XP_015187179.1
OG0000836	XP_035735176.1	XP_015175593.1
OG0000837	XP_035742051.1, XP_035742050.1	XP_015189396.1, XP_015189394.1, XP_015189395.1
OG0000838	XP_035720912.1, XP_035720908.1	XP_015172378.1, XP_015172379.1, XP_015172381.1
OG0000839	XP_035722759.1	XP_015176907.1, XP_015176906.1, XP_015176905.1
OG0000840	XP_035732134.1, XP_035732126.1	XP_015171609.1, XP_015171610.1
OG0000841	XP_035743574.1	XP_015185470.1
OG0000842	XP_035732858.1	XP_015188377.1
OG0000844	XP_035726706.1, XP_035726705.1, XP_035726704.1	XP_015189208.1, XP_015189210.1
OG0000846	XP_035739853.1	XP_015180905.1, XP_015188409.1, XP_015188578.1, XP_015184250.1, XP_015189712.1
OG0000849	XP_035740856.1	XP_015184255.1, XP_015184256.1
OG0000850	XP_035734698.1, XP_035734700.1, XP_035734699.1	XP_015172914.1, XP_015172913.1
OG0000851	XP_035739417.1, XP_035739418.1	XP_015174236.1
OG0000852	XP_035722545.1	XP_015177376.1, XP_015177375.1
OG0000853	XP_035739346.1, XP_035739347.1	XP_015174954.1, XP_015174955.1
OG0000854	XP_035742303.1, XP_035742304.1	XP_015178802.1
OG0000856	XP_035723721.1, XP_035723725.1	XP_015173180.1
OG0000856	XP_035723746.1	XP_015173076.1
OG0000857	XP_035717218.1, XP_035717217.1	XP_015176568.1, XP_015176569.1
OG0000858	XP_035742118.1	XP_015172512.1
OG0000859	XP_035717151.1	XP_015190125.1
