Orthogroup	Vespa_mandarinia	Osmia_bicornis
OG0001549	XP_035732687.1	XP_029036007.1, XP_029036008.1, XP_029036009.1
OG0001552	XP_035720372.1	XP_029032099.1, XP_029032096.1
OG0001553	XP_035720814.1	XP_029055962.1, XP_029055964.1
OG0001554	XP_035721118.1	XP_029050063.1, XP_029050028.1
OG0001555	XP_035719215.1, XP_035719214.1, XP_035719213.1	XP_029036488.1
OG0001556	XP_035730674.1	XP_029044980.1
OG0001557	XP_035737148.1, XP_035737142.1	XP_029035431.1
OG0001558	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1	XP_029050297.1
OG0001559	XP_035735222.1, XP_035735223.1	XP_029041271.1, XP_029041274.1, XP_029041275.1, XP_029041272.1, XP_029041273.1
OG0001560	XP_035733162.1, XP_035733154.1	XP_029041351.1
OG0001561	XP_035729434.1, XP_035729435.1	XP_029045928.1, XP_029045929.1
OG0001562	XP_035727763.1, XP_035727765.1	XP_029035187.1
OG0001563	XP_035738177.1	XP_029036922.1
OG0001565	XP_035740221.1	XP_029052456.1
OG0001567	XP_035733419.1, XP_035733417.1	XP_029036870.1, XP_029036871.1, XP_029036873.1
OG0001568	XP_035719663.1	XP_029036603.1
OG0001569	XP_035735846.1	XP_029039068.1
OG0001570	XP_035736968.1	XP_029042704.1
OG0001571	XP_035720700.1	XP_029049963.1
OG0001572	XP_035727941.1	XP_029056363.1
OG0001573	XP_035744094.1	XP_029037844.1, XP_029037845.1, XP_029037847.1, XP_029037846.1, XP_029037848.1
OG0001574	XP_035734280.1, XP_035734289.1	XP_029052089.1, XP_029052093.1
OG0001575	XP_035740609.1, XP_035740610.1	XP_029047969.1
OG0001576	XP_035718048.1	XP_029040570.1
OG0001577	XP_035719108.1, XP_035719116.1	XP_029046400.1
OG0001578	XP_035725745.1	XP_029048033.1, XP_029048044.1, XP_029048023.1
OG0001579	XP_035729962.1, XP_035729961.1, XP_035729963.1	XP_029040562.1, XP_029040558.1
OG0001581	XP_035727859.1	XP_029040501.1
OG0001582	XP_035735263.1	XP_029047173.1, XP_029047172.1, XP_029047171.1
OG0001583	XP_035736291.1	XP_029036943.1
OG0001584	XP_035739266.1	XP_029034029.1, XP_029034034.1
OG0001585	XP_035732290.1	XP_029055399.1, XP_029055037.1
OG0001586	XP_035741954.1	XP_029034228.1
OG0001587	XP_035737786.1, XP_035741104.1, XP_035741103.1, XP_035741105.1	XP_029032253.1
OG0001588	XP_035732715.1	XP_029048881.1
OG0001589	XP_035742281.1, XP_035742282.1	XP_029036502.1, XP_029036500.1
OG0001590	XP_035742142.1	XP_029051587.1
OG0001591	XP_035733982.1, XP_035733981.1	XP_029038358.1, XP_029038356.1
OG0001592	XP_035726707.1	XP_029037953.1
OG0001593	XP_035740704.1	XP_029052765.1
OG0001594	XP_035724403.1, XP_035724402.1	XP_029055518.1, XP_029055519.1
OG0001595	XP_035727774.1	XP_029047246.1
OG0001596	XP_035733254.1	XP_029051870.1, XP_029051869.1
OG0001597	XP_035733002.1	XP_029041598.1
OG0001598	XP_035723486.1	XP_029035514.1
OG0001600	XP_035734659.1, XP_035734656.1, XP_035734657.1	XP_029041422.1
OG0001601	XP_035741630.1	XP_029051974.1, XP_029051976.1, XP_029051958.1
OG0001602	XP_035737830.1	XP_029036644.1
OG0001603	XP_035739186.1, XP_035739187.1	XP_029047403.1, XP_029047402.1
OG0001604	XP_035737909.1, XP_035737914.1	XP_029044763.1
OG0001605	XP_035743515.1, XP_035743631.1	XP_029039316.1
OG0001606	XP_035741397.1	XP_029048641.1
OG0001607	XP_035721439.1	XP_029042931.1
OG0001608	XP_035735061.1, XP_035735060.1	XP_029035490.1
OG0001612	XP_035725764.1	XP_029051728.1, XP_029051727.1, XP_029051726.1, XP_029051729.1
OG0001614	XP_035729693.1, XP_035729699.1	XP_029035009.1, XP_029034998.1
OG0001615	XP_035724682.1	XP_029041015.1, XP_029041014.1
OG0001616	XP_035725033.1, XP_035725034.1	XP_029048974.1
OG0001617	XP_035742339.1	XP_029052247.1
OG0001619	XP_035723068.1, XP_035723071.1	XP_029048423.1
OG0001620	XP_035723185.1	XP_029049615.1, XP_029049616.1
OG0001621	XP_035733218.1, XP_035733219.1	XP_029053378.1
OG0001622	XP_035740437.1	XP_029041834.1
OG0001623	XP_035723670.1	XP_029045853.1
OG0001624	XP_035742940.1	XP_029033140.1
OG0001625	XP_035727825.1	XP_029046814.1
OG0001626	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1	XP_029039632.1, XP_029039631.1
OG0001627	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1	XP_029052083.1
OG0001628	XP_035734380.1	XP_029035837.1
OG0001629	XP_035732347.1	XP_029038883.1
OG0001630	XP_035736770.1, XP_035736774.1	XP_029045678.1
OG0001631	XP_035722044.1	XP_029042683.1, XP_029042681.1
OG0001632	XP_035740780.1	XP_029045335.1
OG0001633	XP_035734051.1	XP_029050350.1
OG0001635	XP_035731776.1	XP_029049661.1
OG0001636	XP_035733127.1	XP_029041561.1, XP_029041550.1, XP_029041560.1
OG0001637	XP_035719918.1	XP_029049035.1, XP_029049034.1, XP_029049033.1, XP_029049032.1, XP_029049031.1
OG0001638	XP_035731767.1	XP_029046644.1
OG0001639	XP_035721241.1	XP_029041904.1
OG0001640	XP_035718059.1, XP_035721841.1, XP_035721840.1	XP_029043527.1, XP_029044243.1
OG0001641	XP_035719662.1	XP_029043918.1
OG0001642	XP_035733123.1	XP_029041523.1, XP_029041521.1, XP_029041520.1, XP_029041522.1
OG0001643	XP_035720944.1	XP_029043348.1, XP_029043347.1, XP_029043346.1
OG0001645	XP_035717414.1, XP_035717415.1, XP_035717412.1, XP_035717413.1, XP_035717411.1	XP_029044315.1, XP_029044314.1
OG0001646	XP_035725754.1	XP_029033719.1
OG0001647	XP_035727074.1	XP_029045431.1
OG0001648	XP_035726598.1	XP_029050942.1, XP_029050943.1, XP_029050944.1
OG0001649	XP_035718504.1	XP_029041370.1, XP_029041369.1, XP_029041368.1
OG0001650	XP_035741136.1	XP_029037514.1, XP_029037512.1, XP_029037513.1
OG0001651	XP_035724993.1	XP_029048948.1
OG0001652	XP_035734304.1, XP_035734303.1	XP_029041293.1
OG0001653	XP_035724315.1	XP_029044672.1, XP_029044670.1, XP_029044669.1, XP_029044671.1
OG0001654	XP_035725123.1	XP_029041762.1, XP_029041760.1, XP_029041761.1, XP_029041758.1, XP_029041759.1, XP_029041763.1
OG0001655	XP_035734720.1	XP_029055475.1
OG0001656	XP_035726949.1, XP_035726948.1, XP_035726947.1	XP_029031948.1, XP_029031949.1
OG0001657	XP_035725974.1	XP_029035294.1, XP_029035293.1
OG0001658	XP_035731335.1, XP_035731338.1, XP_035731334.1, XP_035731337.1, XP_035731333.1	XP_029033443.1
OG0001659	XP_035724064.1	XP_029036804.1
OG0001661	XP_035738618.1	XP_029047707.1
OG0001662	XP_035734917.1, XP_035734912.1	XP_029045835.1, XP_029045838.1
OG0001663	XP_035719506.1	XP_029039881.1, XP_029039882.1, XP_029039883.1
OG0001664	XP_035720672.1, XP_035720670.1	XP_029045726.1, XP_029045718.1
OG0001665	XP_035740169.1	XP_029038507.1
OG0001666	XP_035728853.1	XP_029035783.1
OG0001668	XP_035733407.1, XP_035733405.1, XP_035733406.1, XP_035733404.1, XP_035733403.1, XP_035733402.1	XP_029036775.1
OG0001669	XP_035743908.1	XP_029035840.1
OG0001670	XP_035720954.1, XP_035720953.1	XP_029032431.1, XP_029032438.1
OG0001671	XP_035729073.1, XP_035729072.1	XP_029051433.1, XP_029051434.1
OG0001672	XP_035732415.1, XP_035732416.1, XP_035732414.1	XP_029038878.1
OG0001673	XP_035738967.1	XP_029038017.1, XP_029038016.1, XP_029038015.1, XP_029038018.1
OG0001674	XP_035721929.1	XP_029050257.1
OG0001675	XP_035723042.1	XP_029043446.1
OG0001676	XP_035720013.1, XP_035720011.1, XP_035720012.1, XP_035720009.1, XP_035720010.1, XP_035720016.1, XP_035720017.1	XP_029055465.1
OG0001677	XP_035728893.1	XP_029041707.1, XP_029041799.1
OG0001678	XP_035739191.1	XP_029047469.1, XP_029047470.1
OG0001679	XP_035739958.1	XP_029048832.1, XP_029048831.1, XP_029048833.1
OG0001680	XP_035731563.1, XP_035731564.1	XP_029033268.1, XP_029033269.1
OG0001681	XP_035718864.1, XP_035718865.1	XP_029036098.1
OG0001682	XP_035722878.1, XP_035722875.1	XP_029052026.1
OG0001683	XP_035737098.1	XP_029041067.1, XP_029041068.1, XP_029041064.1, XP_029041066.1
OG0001684	XP_035723459.1	XP_029049999.1
OG0001685	XP_035731566.1	XP_029037041.1
OG0001686	XP_035736720.1	XP_029049380.1
OG0001687	XP_035732075.1	XP_029044510.1
OG0001688	XP_035735704.1, XP_035735701.1, XP_035735700.1, XP_035735699.1, XP_035735703.1, XP_035735702.1	XP_029039157.1
OG0001689	XP_035727653.1	XP_029043772.1, XP_029043780.1
OG0001690	XP_035741845.1	XP_029043541.1
OG0001691	XP_035734626.1	XP_029041172.1, XP_029041171.1
OG0001692	XP_035722728.1	XP_029042328.1
OG0001693	XP_035723232.1	XP_029041290.1
OG0001694	XP_035736590.1	XP_029047193.1, XP_029047192.1
OG0001695	XP_035724037.1	XP_029036779.1
OG0001696	XP_035737044.1, XP_035737037.1	XP_029040418.1, XP_029040409.1
OG0001697	XP_035728174.1	XP_029045797.1
OG0001699	XP_035743135.1	XP_029041247.1
OG0001700	XP_035727996.1	XP_029056367.1
OG0001701	XP_035733887.1	XP_029047529.1, XP_029047525.1
OG0001702	XP_035735037.1, XP_035735039.1, XP_035735038.1	XP_029048394.1, XP_029048396.1, XP_029048395.1, XP_029048397.1
OG0001703	XP_035719566.1	XP_029053026.1
OG0001704	XP_035725085.1	XP_029056076.1, XP_029056079.1, XP_029056077.1
OG0001706	XP_035730623.1	XP_029043578.1, XP_029043574.1, XP_029043575.1, XP_029043573.1, XP_029043577.1
OG0001707	XP_035732573.1, XP_035732574.1, XP_035732575.1, XP_035732572.1	XP_029040459.1
OG0001709	XP_035727211.1	XP_029050200.1, XP_029050209.1
OG0001710	XP_035718484.1	XP_029041574.1
OG0001711	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1	XP_029042921.1
OG0001712	XP_035717949.1, XP_035717946.1	XP_029035719.1, XP_029035720.1
OG0001713	XP_035727580.1	XP_029048048.1, XP_029048047.1, XP_029048046.1
OG0001714	XP_035733669.1	XP_029050791.1
OG0001715	XP_035730023.1	XP_029033877.1
OG0001716	XP_035739670.1, XP_035739663.1	XP_029040492.1
OG0001717	XP_035725525.1	XP_029033708.1, XP_029033699.1, XP_029033691.1
OG0001718	XP_035740550.1	XP_029051687.1
OG0001720	XP_035730232.1, XP_035730231.1	XP_029046381.1, XP_029046380.1, XP_029046379.1
OG0001721	XP_035722174.1	XP_029039289.1, XP_029039323.1
OG0001722	XP_035717959.1	XP_029048706.1, XP_029048702.1, XP_029048703.1, XP_029048704.1, XP_029048705.1, XP_029048707.1
OG0001723	XP_035739522.1	XP_029039495.1
OG0001724	XP_035724251.1	XP_029036442.1, XP_029036443.1
OG0001725	XP_035727405.1, XP_035727406.1, XP_035727407.1	XP_029045224.1
OG0001726	XP_035725641.1	XP_029041968.1
OG0001727	XP_035738581.1	XP_029044570.1
OG0001728	XP_035723533.1, XP_035723531.1	XP_029046665.1, XP_029046657.1
OG0001729	XP_035720408.1	XP_029050566.1
OG0001730	XP_035718931.1, XP_035718936.1, XP_035718938.1	XP_029035550.1
OG0001731	XP_035730629.1, XP_035730630.1	XP_029048092.1
OG0001732	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1	XP_029043901.1
OG0001733	XP_035739692.1	XP_029040692.1
OG0001734	XP_035724184.1, XP_035724191.1	XP_029041078.1, XP_029041085.1, XP_029041093.1, XP_029041102.1
OG0001735	XP_035740869.1	XP_029034196.1, XP_029034197.1
OG0001736	XP_035736510.1	XP_029049568.1
OG0001737	XP_035723339.1, XP_035723341.1, XP_035723340.1	XP_029047424.1, XP_029047422.1, XP_029047423.1
OG0001738	XP_035728779.1	XP_029034270.1
OG0001739	XP_035742975.1	XP_029047535.1
OG0001740	XP_035723606.1, XP_035723601.1	XP_029045700.1, XP_029045692.1
OG0001741	XP_035728835.1, XP_035728834.1	XP_029034269.1, XP_029034268.1
OG0001742	XP_035727937.1, XP_035727936.1	XP_029056342.1
OG0001743	XP_035734201.1, XP_035734202.1	XP_029049959.1, XP_029049960.1, XP_029049958.1
OG0001744	XP_035725897.1, XP_035725889.1	XP_029034818.1, XP_029034819.1
OG0001745	XP_035736546.1	XP_029049388.1, XP_029049386.1
OG0001746	XP_035737436.1	XP_029045290.1
OG0001747	XP_035720424.1	XP_029044869.1, XP_029044868.1, XP_029044870.1
OG0001748	XP_035733691.1, XP_035733815.1	XP_029032073.1, XP_029032064.1
OG0001749	XP_035721521.1, XP_035721527.1	XP_029040788.1, XP_029040793.1
OG0001750	XP_035729052.1, XP_035729053.1	XP_029044823.1, XP_029044825.1
OG0001751	XP_035736886.1, XP_035736887.1, XP_035736884.1, XP_035736882.1, XP_035736885.1, XP_035736888.1	XP_029056586.1, XP_029056587.1
OG0001752	XP_035743789.1	XP_029039201.1
OG0001753	XP_035729016.1, XP_035729014.1, XP_035729015.1, XP_035729017.1	XP_029050541.1
OG0001754	XP_035736905.1	XP_029040725.1
OG0001755	XP_035736336.1	XP_029052414.1, XP_029052415.1
OG0001756	XP_035724490.1	XP_029035240.1
OG0001757	XP_035718466.1	XP_029036070.1
OG0001758	XP_035724233.1	XP_029042180.1, XP_029042177.1, XP_029042178.1, XP_029042179.1
OG0001759	XP_035726260.1, XP_035726259.1	XP_029032105.1
OG0001760	XP_035719167.1, XP_035719165.1, XP_035719166.1, XP_035719168.1	XP_029048484.1
OG0001762	XP_035729964.1, XP_035729965.1, XP_035729966.1	XP_029040564.1
OG0001763	XP_035730909.1, XP_035730910.1	XP_029053396.1
OG0001764	XP_035734372.1, XP_035734151.1	XP_029046456.1
OG0001765	XP_035726400.1	XP_029039005.1, XP_029039004.1, XP_029039003.1
OG0001767	XP_035739192.1	XP_029048720.1
OG0001768	XP_035739764.1	XP_029039800.1
OG0001769	XP_035725245.1	XP_029034136.1
OG0001772	XP_035728672.1	XP_029052279.1
OG0001773	XP_035723714.1	XP_029048634.1
OG0001774	XP_035734709.1	XP_029045460.1
OG0001775	XP_035722727.1	XP_029042334.1, XP_029042333.1
OG0001776	XP_035727441.1	XP_029052622.1
OG0001777	XP_035743010.1, XP_035723112.1	XP_029033694.1, XP_029033498.1
OG0001778	XP_035719209.1, XP_035719207.1, XP_035719208.1	XP_029036678.1
OG0001779	XP_035723057.1, XP_035723059.1, XP_035723058.1	XP_029040462.1
OG0001780	XP_035720164.1	XP_029050706.1
OG0001781	XP_035739689.1	XP_029053291.1
OG0001782	XP_035720277.1	XP_029048493.1
OG0001783	XP_035735275.1	XP_029047303.1
OG0001784	XP_035742842.1	XP_029050306.1
OG0001785	XP_035727090.1	XP_029045993.1, XP_029046001.1
OG0001786	XP_035739679.1	XP_029037857.1, XP_029037856.1
OG0001787	XP_035737845.1, XP_035737844.1, XP_035737847.1, XP_035737846.1, XP_035737848.1	XP_029050564.1, XP_029050565.1, XP_029050563.1
OG0001788	XP_035720898.1	XP_029048755.1
OG0001789	XP_035734071.1, XP_035734072.1	XP_029036577.1, XP_029036575.1
OG0001790	XP_035729403.1, XP_035729395.1	XP_029050003.1, XP_029050002.1
OG0001791	XP_035718692.1, XP_035718691.1	XP_029041575.1, XP_029041576.1
OG0001792	XP_035723572.1, XP_035723571.1	XP_029033135.1, XP_029033137.1
OG0001793	XP_035738047.1	XP_029050447.1
OG0001794	XP_035741806.1	XP_029041647.1
OG0001794	XP_035741807.1	XP_029041595.1
OG0001795	XP_035720860.1	XP_029036342.1
OG0001796	XP_035736721.1	XP_029045166.1
OG0001797	XP_035738575.1	XP_029042045.1
OG0001799	XP_035732908.1	XP_029046350.1
OG0001800	XP_035724318.1	XP_029047399.1
OG0001801	XP_035736900.1	XP_029042699.1
OG0001802	XP_035733457.1, XP_035733455.1, XP_035733456.1	XP_029043170.1
OG0001803	XP_035741393.1	XP_029042974.1, XP_029042973.1, XP_029042972.1, XP_029042971.1
OG0001804	XP_035742224.1	XP_029036643.1
OG0001805	XP_035735349.1	XP_029043315.1
OG0001806	XP_035735734.1	XP_029054142.1, XP_029054141.1
OG0001807	XP_035734427.1, XP_035734428.1, XP_035734426.1, XP_035734429.1, XP_035734430.1, XP_035734425.1	XP_029040769.1
OG0001808	XP_035722381.1	XP_029032074.1
OG0001809	XP_035743450.1	XP_029055565.1
OG0001810	XP_035730273.1	XP_029041184.1, XP_029041181.1
OG0001811	XP_035742695.1, XP_035742697.1, XP_035742699.1, XP_035742698.1	XP_029046125.1
OG0001812	XP_035730716.1, XP_035730717.1	XP_029039791.1
OG0001813	XP_035721231.1	XP_029044198.1
OG0001814	XP_035737109.1	XP_029042421.1, XP_029045552.1
OG0001815	XP_035727864.1	XP_029040479.1
OG0001816	XP_035724657.1	XP_029044832.1, XP_029044831.1, XP_029044829.1
OG0001817	XP_035731560.1	XP_029033248.1, XP_029033247.1
OG0001818	XP_035732407.1	XP_029038479.1, XP_029038480.1, XP_029038477.1
OG0001819	XP_035731373.1	XP_029033511.1
OG0001820	XP_035733253.1	XP_029051864.1
OG0001821	XP_035737059.1, XP_035737060.1	XP_029040388.1
OG0001822	XP_035718893.1	XP_029046426.1, XP_029046425.1
OG0001823	XP_035727906.1	XP_029036949.1
OG0001824	XP_035720255.1, XP_035720254.1	XP_029031980.1, XP_029031977.1
OG0001825	XP_035741953.1, XP_035741952.1, XP_035741951.1	XP_029032081.1
OG0001826	XP_035722834.1	XP_029053086.1
OG0001827	XP_035723798.1, XP_035723796.1	XP_029036559.1
OG0001828	XP_035738445.1	XP_029048531.1
OG0001829	XP_035731878.1, XP_035731877.1	XP_029047842.1, XP_029047841.1
OG0001830	XP_035724192.1	XP_029042153.1
OG0001831	XP_035743790.1	XP_029045342.1
OG0001832	XP_035740718.1	XP_029052768.1, XP_029052767.1, XP_029052766.1, XP_029052769.1
OG0001833	XP_035720137.1	XP_029045272.1
OG0001834	XP_035739846.1	XP_029042694.1, XP_029042695.1
OG0001835	XP_035726862.1	XP_029047233.1
OG0001836	XP_035718737.1, XP_035718713.1	XP_029037552.1, XP_029037559.1
OG0001837	XP_035743754.1	XP_029037380.1, XP_029037381.1
OG0001838	XP_035718209.1	XP_029051146.1, XP_029051147.1
OG0001839	XP_035739361.1	XP_029050310.1
OG0001840	XP_035724224.1, XP_035724225.1, XP_035724219.1, XP_035724223.1, XP_035724221.1, XP_035724220.1	XP_029042173.1
OG0001841	XP_035730129.1, XP_035730125.1, XP_035730124.1, XP_035730130.1, XP_035730126.1, XP_035730127.1	XP_029036470.1
OG0001842	XP_035728617.1	XP_029031995.1, XP_029031994.1
OG0001843	XP_035729710.1	XP_029047793.1
OG0001844	XP_035741777.1	XP_029043545.1
OG0001845	XP_035737471.1	XP_029046828.1
OG0001846	XP_035732652.1, XP_035732653.1	XP_029055818.1, XP_029055810.1
OG0001847	XP_035735462.1	XP_029040367.1
OG0001848	XP_035743093.1, XP_035743092.1	XP_029055489.1, XP_029055490.1
OG0001849	XP_035725066.1	XP_029053171.1
OG0001850	XP_035731386.1	XP_029037643.1
OG0001851	XP_035731465.1, XP_035731466.1	XP_029045173.1, XP_029045174.1, XP_029045172.1
OG0001852	XP_035727695.1	XP_029049682.1
OG0001853	XP_035734442.1	XP_029043094.1
OG0001854	XP_035731814.1	XP_029045247.1
OG0001855	XP_035723472.1	XP_029041716.1
OG0001856	XP_035734477.1	XP_029039272.1
OG0001857	XP_035717416.1	XP_029041402.1
OG0001858	XP_035736318.1, XP_035736320.1, XP_035736317.1	XP_029044979.1, XP_029044977.1
OG0001859	XP_035743154.1	XP_029043804.1, XP_029043803.1
OG0001860	XP_035738656.1	XP_029050093.1, XP_029050098.1
OG0001861	XP_035728169.1	XP_029048687.1
OG0001862	XP_035729587.1	XP_029048904.1, XP_029048903.1
OG0001863	XP_035723484.1	XP_029035027.1, XP_029035029.1, XP_029035026.1
OG0001864	XP_035742416.1, XP_035742413.1, XP_035742411.1, XP_035742415.1, XP_035742392.1, XP_035742400.1, XP_035742414.1, XP_035742409.1	XP_029048578.1
OG0001865	XP_035731925.1	XP_029053119.1, XP_029053120.1, XP_029053121.1
OG0001866	XP_035735805.1	XP_029043436.1, XP_029043437.1
OG0001867	XP_035741376.1, XP_035741377.1, XP_035741378.1, XP_035741374.1, XP_035741375.1	XP_029048154.1
OG0001868	XP_035729430.1	XP_029048430.1
OG0001869	XP_035728194.1	XP_029045809.1
OG0001870	XP_035724411.1, XP_035724410.1	XP_029055542.1
OG0001871	XP_035724909.1	XP_029048416.1
OG0001872	XP_035737536.1	XP_029041112.1, XP_029041932.1
OG0001873	XP_035734797.1, XP_035734798.1	XP_029038144.1
OG0001874	XP_035742159.1	XP_029050759.1, XP_029050674.1, XP_029048285.1, XP_029048199.1
OG0001875	XP_035728046.1	XP_029036827.1
OG0001876	XP_035726498.1	XP_029037790.1, XP_029037792.1, XP_029037791.1
OG0001878	XP_035719276.1, XP_035719280.1	XP_029042381.1, XP_029042382.1
OG0001879	XP_035719312.1, XP_035719311.1, XP_035719310.1	XP_029040642.1, XP_029040643.1
OG0001880	XP_035734673.1	XP_029047497.1
OG0001882	XP_035733311.1, XP_035733305.1	XP_029043070.1
OG0001883	XP_035735348.1	XP_029041441.1, XP_029041478.1, XP_029041459.1, XP_029041468.1, XP_029041450.1
OG0001884	XP_035744000.1	XP_029048604.1, XP_029048600.1
OG0001885	XP_035729348.1	XP_029050007.1
OG0001886	XP_035735965.1	XP_029035856.1, XP_029035853.1
OG0001887	XP_035724359.1	XP_029034869.1
OG0001888	XP_035720564.1	XP_029052172.1
OG0001889	XP_035738527.1	XP_029032338.1
OG0001890	XP_035721367.1	XP_029041889.1
OG0001891	XP_035723898.1	XP_029048182.1, XP_029048179.1
OG0001892	XP_035743999.1	XP_029054568.1, XP_029054569.1
OG0001893	XP_035717988.1	XP_029051123.1
OG0001894	XP_035733527.1	XP_029035313.1
OG0001895	XP_035720116.1	XP_029050588.1
OG0001896	XP_035719576.1, XP_035719577.1, XP_035719575.1	XP_029048990.1, XP_029048991.1, XP_029048993.1, XP_029048994.1, XP_029048992.1
OG0001897	XP_035738097.1, XP_035738098.1, XP_035738099.1	XP_029040323.1
OG0001898	XP_035726006.1	XP_029039449.1
OG0001899	XP_035718024.1, XP_035718023.1, XP_035718020.1, XP_035718021.1	XP_029049778.1
OG0001900	XP_035731396.1	XP_029043142.1, XP_029043141.1
OG0001901	XP_035731136.1, XP_035731137.1	XP_029049689.1, XP_029049690.1, XP_029049688.1
OG0001902	XP_035743519.1, XP_035743521.1	XP_029056464.1
OG0001903	XP_035737662.1	XP_029040083.1, XP_029040086.1, XP_029040084.1, XP_029040082.1
OG0001905	XP_035724466.1	XP_029052559.1, XP_029052558.1, XP_029052557.1, XP_029052555.1
OG0001906	XP_035718233.1	XP_029051442.1
OG0001907	XP_035730581.1	XP_029044692.1, XP_029044691.1
OG0001908	XP_035742812.1	XP_029040274.1, XP_029040149.1
OG0001909	XP_035736047.1, XP_035736046.1	XP_029036476.1, XP_029036483.1
OG0001910	XP_035743101.1, XP_035743100.1, XP_035743099.1, XP_035743098.1, XP_035743097.1	XP_029034352.1
OG0001911	XP_035720394.1	XP_029052589.1
OG0001912	XP_035739936.1	XP_029046216.1, XP_029046214.1
OG0001913	XP_035738544.1	XP_029032843.1
OG0001914	XP_035720609.1	XP_029056593.1
OG0001915	XP_035732211.1	XP_029046058.1
OG0001916	XP_035721860.1, XP_035721857.1, XP_035721861.1, XP_035721858.1, XP_035721859.1	XP_029033073.1
OG0001917	XP_035737814.1	XP_029036315.1
OG0001918	XP_035723934.1, XP_035723937.1, XP_035723936.1, XP_035723935.1	XP_029034580.1
OG0001918	XP_035723938.1	XP_029034579.1
OG0001919	XP_035722709.1	XP_029032893.1
OG0001920	XP_035729863.1, XP_035729861.1	XP_029045605.1, XP_029045604.1
OG0001921	XP_035739206.1	XP_029056502.1, XP_029056500.1, XP_029056501.1
OG0001922	XP_035736712.1, XP_035736714.1	XP_029044040.1, XP_029044039.1
OG0001923	XP_035740035.1	XP_029056253.1, XP_029056252.1, XP_029056250.1, XP_029056254.1, XP_029056251.1, XP_029056248.1
OG0001924	XP_035720977.1, XP_035720981.1	XP_029042432.1, XP_029042434.1
OG0001925	XP_035719164.1	XP_029036296.1, XP_029036297.1
OG0001926	XP_035722640.1	XP_029050772.1
OG0001927	XP_035741116.1, XP_035741118.1, XP_035741117.1	XP_029045258.1
OG0001928	XP_035738468.1	XP_029047699.1
OG0001929	XP_035719272.1, XP_035719271.1	XP_029049000.1, XP_029048999.1, XP_029049001.1
OG0001930	XP_035730074.1	XP_029039778.1, XP_029039779.1, XP_029039777.1
OG0001931	XP_035717865.1	XP_029032988.1, XP_029032989.1
OG0001933	XP_035740463.1	XP_029055575.1
OG0001934	XP_035731948.1, XP_035731953.1	XP_029037263.1
OG0001935	XP_035744258.1	XP_029040732.1, XP_029040731.1
OG0001937	XP_035738250.1	XP_029047849.1
OG0001938	XP_035730147.1, XP_035736009.1	XP_029052503.1, XP_029052504.1, XP_029052502.1
OG0001939	XP_035726925.1	XP_029043390.1
OG0001941	XP_035739439.1, XP_035739446.1	XP_029037157.1
OG0001942	XP_035723233.1	XP_029056072.1, XP_029056062.1
OG0001943	XP_035719742.1	XP_029053347.1
OG0001944	XP_035726697.1	XP_029051699.1
OG0001945	XP_035740100.1	XP_029037377.1
OG0001946	XP_035718360.1	XP_029049171.1, XP_029049167.1
OG0001947	XP_035724027.1, XP_035724024.1	XP_029037722.1, XP_029037720.1
OG0001948	XP_035720239.1	XP_029034402.1, XP_029034401.1, XP_029034403.1
OG0001950	XP_035737014.1, XP_035737015.1	XP_029050057.1
OG0001951	XP_035719331.1	XP_029033344.1
OG0001952	XP_035723358.1	XP_029049580.1
OG0001953	XP_035743922.1	XP_029050129.1, XP_029042236.1
OG0001954	XP_035736960.1	XP_029041675.1, XP_029041673.1, XP_029041676.1
OG0001955	XP_035726680.1, XP_035726679.1	XP_029037833.1
OG0001956	XP_035742090.1, XP_035742098.1, XP_035742082.1	XP_029039339.1, XP_029039338.1
OG0001957	XP_035741892.1	XP_029038629.1
OG0001959	XP_035727175.1	XP_029036580.1
OG0001960	XP_035742253.1, XP_035742263.1, XP_035742271.1	XP_029048599.1
OG0001961	XP_035734760.1	XP_029052705.1
OG0001963	XP_035728364.1	XP_029051642.1, XP_029051641.1, XP_029051640.1
OG0001964	XP_035737585.1	XP_029046096.1
OG0001965	XP_035720178.1	XP_029055381.1
OG0001966	XP_035735625.1, XP_035735624.1	XP_029043427.1
OG0001967	XP_035726078.1	XP_029055833.1, XP_029055832.1
OG0001968	XP_035727988.1	XP_029045999.1
OG0001969	XP_035734385.1, XP_035734383.1, XP_035734384.1	XP_029049419.1
OG0001970	XP_035735840.1, XP_035735834.1, XP_035735837.1, XP_035735838.1, XP_035735835.1, XP_035735836.1, XP_035735841.1, XP_035735843.1, XP_035735839.1	XP_029039053.1
OG0001971	XP_035722776.1, XP_035721922.1, XP_035720192.1, XP_035721060.1	XP_029050456.1, XP_029050455.1
OG0001973	XP_035719261.1	XP_029052925.1, XP_029052923.1
OG0001975	XP_035725903.1, XP_035725905.1	XP_029036247.1, XP_029036246.1
OG0001976	XP_035730315.1	XP_029044624.1
