Orthogroup	Vespa_mandarinia	Bombyx_mori
OG0000765	XP_035720500.1, XP_035720511.1, XP_035720489.1, XP_035720522.1	XP_037872221.1
OG0000766	XP_035728683.1, XP_035728682.1, XP_035728681.1	XP_004924574.1
OG0000767	XP_035717902.1, XP_035717901.1	XP_037877077.1, XP_037877075.1, XP_037877073.1
OG0000768	XP_035717969.1, XP_035717970.1, XP_035717971.1, XP_035717968.1, XP_035717967.1	XP_004925051.1
OG0000769	XP_035729826.1, XP_035729825.1, XP_035729827.1	XP_004922632.1
OG0000770	XP_035735825.1, XP_035735824.1	XP_012550680.1
OG0000771	XP_035726924.1	XP_037866557.1, XP_012550069.3
OG0000772	XP_035721559.1	XP_004931548.1
OG0000773	XP_035721393.1	XP_004932442.1
OG0000774	XP_035734491.1, XP_035734483.1	XP_037876249.1
OG0000775	XP_035723089.1, XP_035723086.1	XP_004931734.1
OG0000776	XP_035721945.1	XP_021202064.1
OG0000777	XP_035741119.1	XP_037872977.1, XP_004926416.1
OG0000778	XP_035736345.1, XP_035736344.1, XP_035736343.1	XP_004929803.1
OG0000779	XP_035723001.1	XP_012547038.1, XP_037876468.1
OG0000781	XP_035722336.1	NP_001037007.1, XP_021205141.1
OG0000782	XP_035742043.1, XP_035742042.1, XP_035742037.1, XP_035742041.1, XP_035742040.1, XP_035742039.1, XP_035742038.1, XP_035742044.1, XP_035742045.1	NP_001127742.1, NP_001127707.1, XP_037869522.1, NP_001127708.1
OG0000783	XP_035737556.1	XP_021204084.1, XP_004926839.1, XP_012546380.1, XP_037873292.1, XP_021204085.1
OG0000786	XP_035719275.1, XP_035719250.1, XP_035719259.1, XP_035719268.1	XP_012547680.1, XP_004922232.1
OG0000788	XP_035725562.1	XP_012547408.1, XP_004930242.1
OG0000789	XP_035726923.1	XP_004927596.1
OG0000790	XP_035736162.1, XP_035736157.1, XP_035736156.1, XP_035736155.1, XP_035736161.1, XP_035736163.1, XP_035736160.1, XP_035736159.1, XP_035736158.1	XP_021206530.1
OG0000795	XP_035722568.1	NP_001040432.1, XP_004925887.1
OG0000796	XP_035725099.1, XP_035721438.1	NP_001037680.1
OG0000797	XP_035741632.1, XP_035741637.1, XP_035741638.1, XP_035741635.1, XP_035741634.1, XP_035741636.1, XP_035741633.1	XP_037868469.1
OG0000798	XP_035741552.1	XP_004929300.1, XP_004932113.2
OG0000799	XP_035718747.1	XP_037870309.1, XP_037870306.1
OG0000800	XP_035719055.1, XP_035719053.1	NP_001037584.1
OG0000801	XP_035734010.1	XP_004928112.3
OG0000802	XP_035743442.1	XP_004921957.1
OG0000803	XP_035735360.1, XP_035735361.1	NP_001037362.2, NP_001037436.1, XP_037874083.1
OG0000804	XP_035737952.1	NP_001130045.1, XP_012548882.1
OG0000806	XP_035717179.1	XP_037874829.1
OG0000807	XP_035724467.1	NP_001093289.1
OG0000808	XP_035738450.1, XP_035738448.1	XP_037874837.1, XP_037874835.1, XP_037874836.1
OG0000809	XP_035733176.1, XP_035733168.1	NP_001104808.1, XP_012551063.1
OG0000810	XP_035723927.1, XP_035723925.1, XP_035723926.1	NP_001124351.1
OG0000811	XP_035739302.1	XP_037870082.1
OG0000812	XP_035737174.1, XP_035741003.1	XP_037869034.1, NP_001124378.1
OG0000813	XP_035737583.1	XP_012547376.2, XP_037867425.1, XP_012549697.1
OG0000814	XP_035736228.1	NP_001040319.1
OG0000815	XP_035726011.1, XP_035726013.1	XP_021205706.1, NP_001121193.1
OG0000816	XP_035717990.1	XP_012545929.1
OG0000817	XP_035734155.1, XP_035734157.1	NP_001127736.1
OG0000818	XP_035727225.1	XP_004926256.1
OG0000819	XP_035736129.1, XP_035736127.1	XP_021202238.1
OG0000820	XP_035727120.1	XP_012548803.1
OG0000821	XP_035730075.1	XP_004923956.1
OG0000822	XP_035736969.1	XP_037867860.1
OG0000823	XP_035732382.1, XP_035732383.1, XP_035732384.1	XP_021203877.1, XP_004922052.1
OG0000824	XP_035729598.1, XP_035718672.1	XP_037875009.1
OG0000825	XP_035730924.1, XP_035730923.1	NP_001159617.1, NP_001171331.1, NP_001037201.2, NP_001159619.1
OG0000826	XP_035721104.1	XP_004927216.1
OG0000827	XP_035729075.1, XP_035729082.1	XP_004923725.1
OG0000828	XP_035733882.1, XP_035733881.1, XP_035733880.1	XP_037871072.1, XP_037871073.1
OG0000829	XP_035738725.1	XP_012552175.1, XP_004922732.1
OG0000830	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1	XP_004928810.3
OG0000831	XP_035720383.1	NP_001296502.1, NP_001296536.1
OG0000832	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1	XP_037873226.1
OG0000835	XP_035731442.1	NP_001037426.1
OG0000837	XP_035742051.1, XP_035742050.1	XP_037868528.1
OG0000838	XP_035720912.1, XP_035720908.1	XP_037872648.1, XP_037872699.1, XP_037872685.1
OG0000839	XP_035722759.1	NP_001121191.1, NP_001108339.1, XP_021202428.1
OG0000840	XP_035732134.1, XP_035732126.1	XP_012549066.1
OG0000841	XP_035743574.1	XP_004927568.1, XP_037875239.1, NP_001040333.1
OG0000842	XP_035732858.1	XP_004930273.1, XP_004930272.1, XP_021206240.1, XP_004930058.1, XP_012549336.1, XP_012549335.1
OG0000844	XP_035726706.1, XP_035726705.1, XP_035726704.1	NP_001037544.1, XP_012549900.1
OG0000849	XP_035740856.1	NP_001037271.1
OG0000850	XP_035734698.1, XP_035734700.1, XP_035734699.1	XP_012549718.1, NP_001037438.1
OG0000851	XP_035739417.1, XP_035739418.1	XP_012546396.1, XP_037867570.1
OG0000852	XP_035722545.1	XP_037869580.1, XP_012551596.1, XP_012551598.1, XP_004932899.1, XP_012551597.1, XP_037869581.1
OG0000853	XP_035739346.1, XP_035739347.1	XP_004921970.1, XP_037877273.1
OG0000854	XP_035742303.1, XP_035742304.1	XP_004927904.1
OG0000856	XP_035723721.1, XP_035723725.1	XP_037875396.1
OG0000856	XP_035723746.1	XP_012552833.1, XP_004923038.1
OG0000857	XP_035717218.1, XP_035717217.1	XP_004930683.2, XP_037874887.1, XP_004924743.1
OG0000859	XP_035717151.1	XP_037868777.1
OG0000860	XP_035742707.1, XP_035742708.1	XP_004928613.1
OG0000861	XP_035722985.1	XP_037871434.1, XP_021208843.2
OG0000862	XP_035720777.1, XP_035720780.1	XP_037874542.1, XP_037874543.1, XP_037874541.1
OG0000863	XP_035723848.1	XP_012547296.2, XP_037870680.1
OG0000864	XP_035742216.1	XP_012551032.1, XP_012551031.1, XP_012551030.1, XP_012551028.1
OG0000865	XP_035717940.1	XP_012546894.1
OG0000867	XP_035743017.1, XP_035743016.1, XP_035743015.1	XP_012544946.1, XP_012544941.1, XP_012544943.1, XP_012546240.3, XP_004926683.2
OG0000868	XP_035736876.1	XP_004921940.1, XP_012546467.2
OG0000870	XP_035726342.1, XP_035726343.1, XP_035726345.1, XP_035726344.1, XP_035726341.1, XP_035726339.1, XP_035726346.1	XP_004930430.1
OG0000872	XP_035731796.1	NP_001243979.1, XP_037870657.1
OG0000873	XP_035724593.1	XP_037875475.1
OG0000874	XP_035719736.1, XP_035719737.1, XP_035719735.1	XP_021203419.1
OG0000875	XP_035719948.1, XP_035719950.1	XP_037868347.1, XP_037868348.1
OG0000876	XP_035727816.1, XP_035727817.1	NP_001040334.1
OG0000877	XP_035731826.1	NP_001162052.1
OG0000878	XP_035718132.1	XP_021206190.1
OG0000879	XP_035731414.1, XP_035731397.1	XP_037866911.1
OG0000880	XP_035726998.1	XP_021201849.1
OG0000881	XP_035744143.1	XP_004930563.1
OG0000883	XP_035736276.1, XP_035736278.1, XP_035736277.1	NP_001040482.1, XP_037875584.1, NP_001040419.1
OG0000884	XP_035738105.1	XP_004930701.1
OG0000887	XP_035732962.1, XP_035732968.1	XP_004924370.1
OG0000888	XP_035736263.1, XP_035736262.1	XP_037873151.1, XP_037873150.1
OG0000890	XP_035744053.1	XP_004925284.2, XP_021203053.2
OG0000892	XP_035725498.1, XP_035725490.1, XP_035725512.1, XP_035735992.1	XP_037872295.1
OG0000893	XP_035742969.1	XP_021206965.1
OG0000894	XP_035735298.1	XP_021207181.2
OG0000895	XP_035741878.1, XP_035741880.1, XP_035741883.1	XP_037869197.1, XP_037869199.1, XP_037869202.1
OG0000896	XP_035723356.1	NP_001036879.1, XP_037868882.1
OG0000897	XP_035722018.1	XP_004931523.2
OG0000898	XP_035717149.1, XP_035743764.1	XP_012543985.1
OG0000899	XP_035742086.1	XP_004930536.1
OG0000901	XP_035736679.1	XP_012550223.1
OG0000903	XP_035722703.1	NP_001127725.1, NP_001127723.1, XP_037871108.1, XP_037871467.1
OG0000904	XP_035734474.1	XP_037874726.1
OG0000905	XP_035726207.1, XP_035726206.1	XP_021208506.1
OG0000906	XP_035725564.1	XP_021203497.2
OG0000907	XP_035726426.1, XP_035726435.1, XP_035726454.1, XP_035726445.1, XP_035726464.1	XP_012550911.1, XP_021207106.1, NP_001038956.1, XP_037873555.1, XP_004924154.1, XP_012544119.2, XP_004925428.1
OG0000908	XP_035719412.1	XP_037867243.1, XP_004932353.1, XP_012551163.1, XP_012551165.1
OG0000909	XP_035718276.1, XP_035718279.1	XP_004930983.1
OG0000910	XP_035717751.1	NP_001037448.1, XP_012552141.1, NP_001093293.1, XP_037876985.1
OG0000911	XP_035734733.1	XP_012551019.1
OG0000912	XP_035728913.1, XP_035728912.1, XP_035728914.1, XP_035728910.1, XP_035728911.1, XP_035728908.1, XP_035728909.1	XP_037877785.1, XP_037877790.1
OG0000914	XP_035744281.1, XP_035744280.1	XP_037867418.1, XP_037867416.1, XP_037867415.1, XP_037867414.1, XP_037867412.1, XP_037867413.1
OG0000916	XP_035734907.1	NP_001036919.1
OG0000917	XP_035732616.1	NP_001040140.1
OG0000918	XP_035726969.1	XP_004931164.1, XP_021207019.1, XP_004931165.1
OG0000919	XP_035731675.1, XP_035731674.1	XP_012550870.1
OG0000920	XP_035730710.1, XP_035730709.1, XP_035730711.1	NP_001091805.1
OG0000921	XP_035728984.1, XP_035728986.1, XP_035728987.1, XP_035728988.1	NP_001296561.1
OG0000922	XP_035722257.1	XP_004933384.1, XP_004933383.1, XP_004924748.1
OG0000923	XP_035731183.1, XP_035731180.1, XP_035731193.1	NP_001036982.1, XP_021202800.1
OG0000924	XP_035741017.1	XP_004930377.1
OG0000925	XP_035736660.1, XP_035736661.1, XP_035736658.1, XP_035736659.1, XP_035736662.1, XP_035742092.1, XP_035742093.1	XP_004928502.1, XP_021202497.2
OG0000926	XP_035737405.1, XP_035737404.1, XP_035737403.1, XP_035737406.1	XP_021208548.2, NP_001040142.1
OG0000927	XP_035743166.1	XP_004928837.2
OG0000928	XP_035719794.1	XP_004922999.1
OG0000929	XP_035721437.1	NP_001040294.1
OG0000930	XP_035740434.1	XP_037872623.1
OG0000931	XP_035727865.1	NP_001296549.1
OG0000931	XP_035727884.1	XP_004932395.2
OG0000932	XP_035728300.1, XP_035728299.1	XP_037868696.1, XP_037868697.1, XP_037868695.1, XP_037868693.1
OG0000933	XP_035740977.1, XP_035742089.1	NP_001036876.1
OG0000934	XP_035732202.1, XP_035732199.1, XP_035732197.1, XP_035732201.1, XP_035732200.1	XP_004922485.2
OG0000935	XP_035729878.1	XP_004932223.1, NP_001091765.1, XP_037872945.1, XP_037872946.1, XP_004932225.1
OG0000936	XP_035720179.1, XP_035720183.1, XP_035720185.1, XP_035720181.1, XP_035720182.1, XP_035720186.1, XP_035720187.1, XP_035720180.1	XP_012550455.1
OG0000937	XP_035717338.1	XP_004927554.3, XP_021204568.1
OG0000938	XP_035722535.1	XP_012552500.1
OG0000939	XP_035735601.1	XP_004922398.2
OG0000941	XP_035724313.1, XP_035724314.1	XP_037868215.1
OG0000942	XP_035722346.1	XP_004927448.1
OG0000943	XP_035718109.1	XP_012544451.1
OG0000944	XP_035723267.1	XP_021208208.1, XP_037867074.1
OG0000945	XP_035719915.1, XP_035719909.1	NP_001040531.1
OG0000946	XP_035719465.1, XP_035720946.1, XP_035720947.1	XP_004929214.1
OG0000947	XP_035734133.1	XP_037872693.1, XP_037872707.1
OG0000948	XP_035737505.1, XP_035737506.1	XP_004929142.1, XP_004929141.1
OG0000949	XP_035734313.1, XP_035734312.1	NP_001296553.1
OG0000950	XP_035730236.1, XP_035730238.1, XP_035730237.1	XP_037870486.1, XP_037870487.1
OG0000951	XP_035723109.1, XP_035723110.1, XP_035723111.1, XP_035723108.1	XP_004928270.1
OG0000952	XP_035731220.1, XP_035731221.1	XP_004928289.1
OG0000953	XP_035738982.1	XP_037877732.1
OG0000954	XP_035729183.1	XP_004927115.1, XP_037877524.1
OG0000955	XP_035737790.1	XP_037876067.1, XP_021209092.1
OG0000957	XP_035723149.1	XP_037870134.1, XP_037877293.1
OG0000958	XP_035732816.1, XP_035732811.1	NP_001127714.1, NP_001127740.1, XP_037873765.1
OG0000959	XP_035729883.1	XP_037874880.1, XP_012544647.1
OG0000960	XP_035724669.1	NP_001040502.1
OG0000960	XP_035742136.1	XP_037873523.1
OG0000961	XP_035717256.1	XP_037867675.1, XP_037867674.1
OG0000962	XP_035727271.1, XP_035727294.1	XP_021205129.1, NP_001299580.1
OG0000963	XP_035720893.1	NP_001091829.1
OG0000964	XP_035722121.1, XP_035722125.1	XP_037870832.1, XP_037870835.1
OG0000965	XP_035718659.1, XP_035718668.1	XP_037874770.1, XP_037874755.1
OG0000966	XP_035734437.1, XP_035734436.1, XP_035734435.1	XP_037872227.1
OG0000967	XP_035731612.1	NP_001116812.1
OG0000968	XP_035742069.1, XP_035742068.1	XP_037873409.1, XP_037873416.1
OG0000970	XP_035739818.1, XP_035739819.1	XP_004924882.2
OG0000972	XP_035738757.1, XP_035738748.1, XP_035738768.1	XP_037866506.1
OG0000973	XP_035730507.1, XP_035730504.1, XP_035730506.1, XP_035730508.1, XP_035730505.1, XP_035730510.1	XP_004930164.1
OG0000974	XP_035732401.1, XP_035732396.1	XP_037872739.1
OG0000975	XP_035727718.1, XP_035727749.1	XP_037873866.1, XP_037873895.1, XP_037873893.1
OG0000976	XP_035723671.1, XP_035723679.1, XP_035723685.1, XP_035723662.1	XP_004927917.2
OG0000977	XP_035719284.1, XP_035719283.1	XP_004923422.2, XP_004928914.1
OG0000978	XP_035724394.1, XP_035743561.1	XP_021208192.1
OG0000979	XP_035734273.1, XP_035729461.1	XP_021206860.2
OG0000980	XP_035719471.1	XP_037868898.1, XP_037875915.1, XP_037875916.1
OG0000982	XP_035730163.1	NP_001296483.1, XP_021208983.1
OG0000983	XP_035733695.1, XP_035733694.1, XP_035733693.1, XP_035733692.1, XP_035733696.1	XP_004924077.1, XP_004924076.1
OG0000984	XP_035720737.1	NP_001037051.1
OG0000985	XP_035722289.1, XP_035722290.1, XP_035722291.1, XP_035722294.1, XP_035722295.1, XP_035722293.1, XP_035722292.1	XP_021206754.2, XP_012549882.2, XP_004922470.2
OG0000987	XP_035739476.1, XP_035741142.1	XP_012548339.1
OG0000988	XP_035733739.1, XP_035733732.1	NP_001164649.1
OG0000989	XP_035732262.1, XP_035732263.1, XP_035732243.1	XP_012546534.2, XP_012546538.2
OG0000990	XP_035733018.1	NP_001127719.1
OG0000992	XP_035732019.1, XP_035732018.1, XP_035732016.1	NP_001040289.1, XP_012548308.1
OG0000993	XP_035737417.1	NP_001037364.1, XP_037872127.1
OG0000994	XP_035720197.1	NP_001040167.1
OG0000995	XP_035738707.1, XP_035722832.1	NP_001106230.1
OG0000996	XP_035732862.1	NP_001036909.1
OG0000997	XP_035724864.1	XP_004933539.1
OG0000997	XP_035724863.1	XP_004930162.1
OG0000998	XP_035742102.1	NP_001108463.1, XP_021204265.2
OG0000999	XP_035722769.1	XP_037871889.1, NP_001036847.1
OG0001000	XP_035723338.1, XP_035723337.1, XP_035723336.1, XP_035723335.1	XP_004927100.1
OG0001001	XP_035741907.1, XP_035741904.1, XP_035717221.1	NP_001091815.1
OG0001003	XP_035729018.1, XP_035729021.1	XP_004930115.1, XP_004930116.1
OG0001004	XP_035741234.1	XP_021207158.1
OG0001004	XP_035733627.1	XP_004931500.1
OG0001005	XP_035723658.1	XP_004930344.1
OG0001006	XP_035740141.1, XP_035740139.1	XP_037877686.1, XP_037877687.1
OG0001007	XP_035743845.1	XP_012551579.1
OG0001008	XP_035738052.1	NP_001243922.1, XP_037869044.1, NP_001037034.1
OG0001009	XP_035718670.1, XP_035738303.1	XP_037876105.1
OG0001011	XP_035722498.1, XP_035722517.1, XP_035722507.1, XP_035722528.1, XP_035722532.1, XP_035722461.1, XP_035722472.1, XP_035722482.1, XP_035722489.1	XP_004930447.2
OG0001012	XP_035725259.1	XP_012551938.1, XP_037873592.1
OG0001013	XP_035722228.1, XP_035722222.1	XP_004933411.1, XP_004933410.1
OG0001014	XP_035720767.1, XP_035720768.1	XP_004926225.3
OG0001015	XP_035731994.1	XP_004931226.2
OG0001016	XP_035726600.1, XP_035730531.1	XP_004932217.1
OG0001017	XP_035722072.1	XP_012548326.1, XP_012548337.1, XP_004922144.1, XP_021204671.1
OG0001018	XP_035723331.1	XP_037875036.1, NP_001091845.1
OG0001018	XP_035727220.1	NP_001037289.1
OG0001019	XP_035722052.1	XP_037869186.1
OG0001020	XP_035719947.1	XP_004925875.1
OG0001021	XP_035735706.1	XP_004925524.1
OG0001022	XP_035729459.1	XP_012548973.1
OG0001023	XP_035718321.1	XP_021202636.2
OG0001024	XP_035718102.1, XP_035718100.1, XP_035718101.1, XP_035720108.1, XP_035720106.1, XP_035720107.1, XP_035720104.1, XP_035720105.1	XP_012546162.1
OG0001025	XP_035717529.1	XP_012544535.2
OG0001026	XP_035717489.1	XP_004922009.1
OG0001027	XP_035724948.1	XP_004925186.1
OG0001028	XP_035720221.1	NP_001040546.1, XP_012546310.1
OG0001030	XP_035725397.1	XP_004932570.1
OG0001031	XP_035743774.1	XP_037877146.1
OG0001032	XP_035719411.1	XP_004923640.1
OG0001033	XP_035734763.1, XP_035734772.1, XP_035734782.1	XP_012545394.1, NP_001161188.1
OG0001034	XP_035732600.1	XP_037875314.1, XP_037875312.1
OG0001035	XP_035720110.1, XP_035720109.1	XP_037870647.1
OG0001036	XP_035722778.1, XP_035726486.1	XP_004931447.2
OG0001037	XP_035725203.1	NP_001037080.1, XP_004926655.1, XP_004926654.1, XP_037867715.1, XP_037867716.1
OG0001038	XP_035739216.1, XP_035739213.1, XP_035739214.1, XP_035739212.1, XP_035739215.1	XP_012549948.1
OG0001039	XP_035723095.1, XP_035723097.1, XP_035723098.1, XP_035723096.1	XP_004921977.2, XP_037877272.1
OG0001040	XP_035721906.1	XP_021204516.2
OG0001041	XP_035742799.1	XP_004932148.1
OG0001042	XP_035722312.1	XP_037876973.1, XP_037876972.1, XP_037876971.1
OG0001044	XP_035728322.1	XP_037868906.1, XP_021208939.1
OG0001045	XP_035743312.1	XP_004923807.1, XP_004923839.3, XP_037871303.1
OG0001046	XP_035741327.1	XP_004929883.1, XP_004929882.1
OG0001048	XP_035720068.1	XP_037876905.1, XP_037876906.1
OG0001049	XP_035740799.1, XP_035740795.1	XP_037866893.1, XP_037866897.1, XP_021207763.2
OG0001050	XP_035737216.1, XP_035737211.1	NP_001037042.1
OG0001052	XP_035731117.1	XP_004926923.1
OG0001053	XP_035734067.1, XP_035734070.1	NP_001036970.1, XP_021203004.2
OG0001054	XP_035722717.1	XP_037877208.1, XP_037872743.1
OG0001055	XP_035744174.1	XP_037874322.1
OG0001056	XP_035735856.1, XP_035735855.1	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1
OG0001057	XP_035724945.1, XP_035724943.1, XP_035724946.1, XP_035724947.1	XP_012546102.1
OG0001058	XP_035728810.1	XP_037869696.1
OG0001059	XP_035720585.1, XP_035728404.1	NP_001165393.1, XP_037873012.1
OG0001060	XP_035721321.1	XP_037874163.1, XP_037874164.1, XP_037874165.1
OG0001061	XP_035742981.1	XP_012544018.2
OG0001062	XP_035731429.1	XP_004927760.2, XP_037875315.1
OG0001063	XP_035740703.1, XP_035733014.1	XP_012545541.3
OG0001064	XP_035726905.1, XP_035726902.1	XP_012548764.2
OG0001065	XP_035734976.1, XP_035735146.1	NP_001106139.1, XP_012544167.1
OG0001066	XP_035732534.1	XP_004929225.1
OG0001067	XP_035728422.1, XP_035728416.1, XP_035728417.1	XP_012549214.1
OG0001068	XP_035740926.1, XP_035740930.1	XP_037876252.1, XP_021208008.2, XP_012551482.1
OG0001069	XP_035727125.1	XP_004932579.1
OG0001070	XP_035718298.1	XP_004930760.1, XP_004930761.1
OG0001071	XP_035729209.1, XP_035729210.1, XP_035729208.1, XP_035729211.1	XP_012544371.1, XP_012544374.1
OG0001072	XP_035719453.1, XP_035719456.1, XP_035719454.1	XP_037874093.1, XP_037874090.1
OG0001073	XP_035740245.1, XP_035740249.1	XP_021203320.2, XP_021203319.1
OG0001074	XP_035737700.1, XP_035737701.1, XP_035737699.1, XP_035737702.1	XP_004930337.1
OG0001075	XP_035726975.1	XP_037872729.1
OG0001076	XP_035732620.1, XP_035732621.1	XP_037874441.1, XP_004929657.1
OG0001077	XP_035742941.1	NP_001040222.1
OG0001078	XP_035722866.1	XP_012546938.2
OG0001079	XP_035730856.1	XP_012545888.2
OG0001081	XP_035723041.1	XP_004925864.1, XP_012545586.2
OG0001083	XP_035723022.1, XP_035723021.1	XP_004925857.1
OG0001084	XP_035717556.1	XP_004931981.2
OG0001085	XP_035741383.1	XP_004924088.1, XP_004924087.1
OG0001086	XP_035725344.1	XP_004926056.1, XP_012545716.1
OG0001090	XP_035731633.1	NP_001037162.1, XP_012549564.1
OG0001091	XP_035737105.1	XP_004929855.2
OG0001092	XP_035728916.1, XP_035728917.1	XP_012548309.1, NP_001037470.1
OG0001093	XP_035737569.1	XP_004931699.1
OG0001094	XP_035721561.1	XP_012547124.1, NP_001040452.1
OG0001095	XP_035733586.1	NP_001040518.1
OG0001096	XP_035719539.1, XP_035719538.1	XP_021203548.1, XP_004925978.1
OG0001097	XP_035731592.1	NP_001040313.1
OG0001098	XP_035718998.1	XP_004926527.1
OG0001099	XP_035735209.1	NP_001093089.1
OG0001100	XP_035723774.1	NP_001040216.1
OG0001101	XP_035727559.1	XP_004922168.1, XP_037873380.1
OG0001102	XP_035744259.1, XP_035744260.1	NP_001037114.1
OG0001103	XP_035718889.1, XP_035718879.1, XP_035718859.1, XP_035718870.1, XP_035718851.1	NP_001037108.1
OG0001104	XP_035740852.1	XP_004934317.1
OG0001105	XP_035717778.1	XP_037871716.1, XP_037871717.1
OG0001106	XP_035737972.1, XP_035737963.1	XP_004927328.1, XP_004927327.1, XP_004927329.1
OG0001107	XP_035734651.1	XP_004926469.1
OG0001108	XP_035740396.1	XP_021203928.2
OG0001109	XP_035743539.1, XP_035743540.1, XP_035743542.1, XP_035743543.1	XP_012545410.1
OG0001110	XP_035730071.1	XP_004930468.1
OG0001111	XP_035729758.1	XP_004924201.1
OG0001112	XP_035730698.1, XP_035730700.1	NP_001266326.1, XP_012547737.1
OG0001113	XP_035737179.1	XP_004931327.2
OG0001114	XP_035721968.1	XP_004932918.1, XP_012551624.1
OG0001115	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1	XP_004931997.1
OG0001116	XP_035724249.1, XP_035724250.1	XP_037868483.1
OG0001117	XP_035719019.1	XP_012549213.2
OG0001118	XP_035726408.1, XP_035726409.1	XP_004922745.1
OG0001119	XP_035717623.1, XP_035717612.1	XP_004929815.1, XP_012549045.1
OG0001120	XP_035717233.1	XP_004922742.2
OG0001120	XP_035741137.1	XP_004933542.1
OG0001121	XP_035730111.1	XP_021207858.2, NP_001180543.1
OG0001122	XP_035725779.1	XP_037869135.1
OG0001123	XP_035736049.1	XP_004931101.1, XP_004931100.1
OG0001124	XP_035718191.1	XP_037873124.1
OG0001125	XP_035719604.1, XP_035719593.1, XP_035719583.1	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1
OG0001126	XP_035724958.1	XP_037872173.1
OG0001128	XP_035738056.1	XP_012551412.2, NP_001232932.1
OG0001129	XP_035724905.1, XP_035724906.1, XP_035724908.1	XP_021203161.1
OG0001130	XP_035736404.1	NP_001106222.1
OG0001131	XP_035729170.1	NP_001036904.1, XP_021205859.1
OG0001132	XP_035728741.1, XP_035728742.1, XP_035728743.1	XP_037870554.1
OG0001133	XP_035725198.1, XP_035725197.1	XP_004930615.1
OG0001134	XP_035732142.1, XP_035732141.1, XP_035732137.1	XP_037877752.1
OG0001135	XP_035738680.1	XP_037877715.1, XP_037877714.1
OG0001137	XP_035721153.1	XP_004933072.1
OG0001138	XP_035718404.1, XP_035718403.1, XP_035718405.1	XP_037877664.1, NP_001040359.1
OG0001139	XP_035743683.1	XP_012544364.1, XP_012544366.1
OG0001140	XP_035723718.1, XP_035723719.1, XP_035723150.1	XP_021205705.1, NP_001103403.1
OG0001141	XP_035721589.1	XP_037872989.1, XP_012546552.1
OG0001142	XP_035739334.1, XP_035739333.1, XP_035739332.1	XP_037868754.1
OG0001143	XP_035722580.1, XP_035722579.1	XP_004931875.1
OG0001144	XP_035723368.1, XP_035728699.1, XP_035728244.1	XP_012548247.2, XP_037876489.1, XP_037876488.1
OG0001145	XP_035732592.1, XP_035732591.1, XP_035732594.1	XP_012543901.1
OG0001146	XP_035719270.1, XP_035719086.1	XP_004921594.1
OG0001147	XP_035729583.1	XP_012547142.2
OG0001148	XP_035732530.1, XP_035732531.1, XP_035732529.1	XP_004928140.1, XP_012547674.1, XP_037873134.1
OG0001149	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1	XP_037867251.1
OG0001150	XP_035720889.1, XP_035720888.1, XP_035720887.1	XP_004925200.1, XP_021203010.1
OG0001151	XP_035739335.1	XP_012545538.1, NP_001103478.1
OG0001152	XP_035738354.1	XP_012547811.1, XP_012547814.1
OG0001153	XP_035729654.1, XP_035729655.1	XP_004924521.2
OG0001154	XP_035743121.1, XP_035743113.1	XP_037868706.1, XP_004924023.1
OG0001155	XP_035726229.1	XP_037871158.1
OG0001156	XP_035718475.1	XP_004928302.1
OG0001157	XP_035717435.1	XP_004926833.1
OG0001158	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1	XP_012551780.2
OG0001159	XP_035723877.1	XP_037876270.1
OG0001160	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1	XP_004921968.1, XP_037877276.1
OG0001161	XP_035717196.1	NP_001093315.1
OG0001162	XP_035730787.1	XP_037873093.1
OG0001163	XP_035717486.1, XP_035717485.1, XP_035717484.1	XP_037877307.1, NP_001243921.1
OG0001164	XP_035737579.1, XP_035737578.1	XP_012544977.1
OG0001165	XP_035717866.1	XP_037871563.1, XP_037871559.1
OG0001166	XP_035735494.1	XP_037869122.1
OG0001167	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1	XP_004925143.1
OG0001169	XP_035720934.1	XP_004933290.1, XP_004933289.1
OG0001170	XP_035729413.1	NP_001040307.1, XP_037873399.1
OG0001171	XP_035729576.1, XP_035729572.1	XP_037871074.1, XP_037871077.1
OG0001172	XP_035719625.1, XP_035719632.1	XP_037871481.1, NP_001139127.1
OG0001173	XP_035736818.1	XP_004923145.2, XP_037875779.1
OG0001174	XP_035723706.1	XP_004931972.1
OG0001175	XP_035721083.1	XP_037875209.1
OG0001176	XP_035720195.1, XP_035720196.1, XP_035720191.1	XP_004931359.1
OG0001179	XP_035733749.1	XP_012550481.2
OG0001180	XP_035733356.1, XP_035733411.1	XP_037872073.1
OG0001181	XP_035742099.1	XP_004927791.1
