Orthogroup	Vespa_mandarinia	Acyrthosiphon_pisum
OG0001168	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_035720934.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_035729413.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_035729576.1, XP_035729572.1	XP_008183856.1
OG0001172	XP_035719625.1, XP_035719632.1	XP_008184424.1
OG0001173	XP_035736818.1	XP_008184447.1
OG0001174	XP_035723706.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_035721083.1	XP_008185682.1
OG0001176	XP_035720195.1, XP_035720196.1, XP_035720191.1	XP_008188774.1
OG0001179	XP_035733749.1	XP_008190154.1
OG0001180	XP_035733356.1, XP_035733411.1	XP_016657120.1
OG0001181	XP_035742099.1	XP_016657278.1
OG0001182	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1	XP_016657683.1
OG0001183	XP_035734638.1, XP_035734647.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_035723556.1, XP_035723559.1	XP_016659463.1
OG0001185	XP_035735384.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_035740406.1, XP_035740405.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_035723203.1	XP_016661530.1, XP_029346066.1
OG0001188	XP_035724460.1	XP_016664405.1, XP_016662933.1
OG0001189	XP_035726769.1, XP_035726770.1	XP_029343923.1
OG0001190	XP_035742460.1, XP_035742461.1, XP_035742464.1, XP_035742463.1	XP_029344471.1
OG0001191	XP_035737087.1	XP_029346223.1
OG0001193	XP_035742520.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_035734780.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_035724049.1, XP_035724048.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_035738838.1, XP_035738833.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_035721739.1	NP_001155454.1
OG0001218	XP_035726474.1, XP_035726511.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_035731471.1, XP_035731469.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_035729813.1	NP_001155533.1
OG0001221	XP_035719054.1, XP_035719063.1, XP_035719072.1	XP_001951050.1
OG0001222	XP_035729641.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_035719573.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_035731261.1, XP_035731263.1	NP_001156103.1
OG0001225	XP_035723474.1	NP_001156193.1
OG0001226	XP_035733702.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001228	XP_035739581.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_035729505.1, XP_035742768.1, XP_035739248.1	NP_001280441.1
OG0001230	XP_035719854.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_035727566.1	XP_001943183.2, XP_008186393.1
OG0001232	XP_035719153.1, XP_035719155.1, XP_035719154.1, XP_035719156.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_035728274.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_035724023.1, XP_035724016.1, XP_035724007.1, XP_035724035.1, XP_035724032.1	XP_001943476.2
OG0001236	XP_035724404.1	XP_001944534.1
OG0001237	XP_035722087.1, XP_035722090.1, XP_035722088.1, XP_035722089.1, XP_035722084.1, XP_035722086.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_035728512.1, XP_035728521.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_035740535.1, XP_035740534.1, XP_035740533.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_035725027.1	XP_001945375.1
OG0001241	XP_035723547.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_035726177.1, XP_035726176.1, XP_035726178.1	XP_001946147.2
OG0001243	XP_035718370.1, XP_035718371.1, XP_035718372.1	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1
OG0001244	XP_035738850.1	XP_001946280.2
OG0001245	XP_035737673.1, XP_035737672.1, XP_035737671.1, XP_035737674.1, XP_035737675.1	XP_001946431.1
OG0001246	XP_035737565.1, XP_035737563.1, XP_035737561.1, XP_035737564.1, XP_035737562.1	XP_001947027.2
OG0001247	XP_035725765.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_035735325.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_035735407.1, XP_035735406.1, XP_035735405.1	XP_008179609.1, XP_001947420.1
OG0001250	XP_035743373.1, XP_035743374.1, XP_035743370.1, XP_035743372.1	XP_001947917.2
OG0001252	XP_035728678.1	XP_001948261.1
OG0001253	XP_035735474.1	XP_001948411.2, XP_008187442.1
OG0001254	XP_035739927.1	XP_001948594.2
OG0001255	XP_035722007.1	XP_001948774.2
OG0001256	XP_035742831.1	XP_001949446.1
OG0001257	XP_035728567.1, XP_035728568.1, XP_035728570.1, XP_035728569.1	XP_001949480.1
OG0001258	XP_035725337.1, XP_035725333.1	XP_001949498.2
OG0001259	XP_035724075.1, XP_035724070.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	XP_035727987.1, XP_035727983.1	XP_001950152.1
OG0001261	XP_035728087.1	XP_001950183.1
OG0001262	XP_035724983.1, XP_035724982.1	XP_001950417.1
OG0001263	XP_035731867.1, XP_035731862.1, XP_035731863.1, XP_035731864.1, XP_035731866.1	XP_001950431.1
OG0001264	XP_035729267.1, XP_035729266.1, XP_035729268.1	XP_001950522.1, XP_016657964.1
OG0001265	XP_035743256.1	XP_029347050.1, XP_001950878.2
OG0001267	XP_035718937.1	XP_001951732.1
OG0001268	XP_035725305.1, XP_035725304.1	XP_001952629.1, XP_008187935.1
OG0001269	XP_035730718.1, XP_035730720.1	XP_003240957.1
OG0001270	XP_035732803.1, XP_035732802.1, XP_035732801.1, XP_035732800.1	XP_003241121.1
OG0001271	XP_035732504.1	XP_029342269.1, XP_029342268.1
OG0001272	XP_035724189.1	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	XP_035719773.1, XP_035719772.1, XP_035719770.1	XP_029341105.1, XP_003243017.1
OG0001274	XP_035720662.1, XP_035720661.1	XP_003243163.1, XP_029347052.1
OG0001275	XP_035735154.1, XP_035735153.1	XP_003243501.1
OG0001277	XP_035739371.1, XP_035739372.1, XP_035739369.1, XP_035739370.1, XP_035739367.1, XP_035739368.1, XP_035739365.1, XP_035739366.1, XP_035739364.1, XP_035739373.1	XP_003243733.1
OG0001278	XP_035718527.1, XP_035718526.1, XP_035718525.1, XP_035718528.1	XP_003244422.1
OG0001279	XP_035727026.1, XP_035727025.1, XP_035727031.1, XP_035727032.1	XP_008183368.1, XP_003244722.1
OG0001280	XP_035744237.1, XP_035744236.1, XP_035744235.1	XP_003245599.2
OG0001281	XP_035737905.1, XP_035737904.1	XP_003246179.1
OG0001282	XP_035720417.1, XP_035720418.1, XP_035720420.1, XP_035720419.1, XP_035720421.1	XP_003248149.1
OG0001283	XP_035739286.1, XP_035739285.1, XP_035739284.1	XP_003248478.1
OG0001284	XP_035734609.1, XP_035734611.1	XP_008182531.1, XP_003248714.1
OG0001285	XP_035742571.1, XP_035742579.1, XP_035740326.1	XP_029343600.1
OG0001285	XP_035740325.1, XP_035742598.1, XP_035722529.1, XP_035742631.1	XP_029343544.1, XP_029342364.1, XP_029342371.1, XP_029342373.1, XP_029342374.1, XP_029342363.1, XP_029343515.1, XP_029343532.1, XP_029343545.1, XP_016664607.1, XP_029342372.1, XP_029342370.1, XP_029343566.1, XP_003248732.1, XP_029343546.1, XP_029343554.1
OG0001286	XP_035743126.1	XP_008178165.1
OG0001287	XP_035729932.1, XP_035729930.1, XP_035729935.1, XP_035729939.1	XP_008178607.1
OG0001288	XP_035744139.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	XP_035718903.1, XP_035718904.1, XP_035718901.1, XP_035718899.1, XP_035718900.1, XP_035718898.1	XP_008181498.1
OG0001290	XP_035732080.1	XP_016657448.1, XP_008181527.1
OG0001291	XP_035739775.1, XP_035739774.1, XP_035739777.1, XP_035739776.1, XP_035739773.1, XP_035739781.1, XP_035739779.1, XP_035739778.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	XP_035740631.1, XP_035740630.1, XP_035740629.1, XP_035740628.1	XP_029343143.1, XP_008185152.1
OG0001293	XP_035719793.1	XP_008185156.1
OG0001294	XP_035736216.1	XP_008186956.1
OG0001295	XP_035732764.1	XP_008187592.1
OG0001298	XP_035732584.1, XP_035732585.1, XP_035732582.1, XP_035732583.1	XP_016657557.1
OG0001299	XP_035727772.1	XP_016659670.1, XP_016659669.1
OG0001300	XP_035719088.1, XP_035719087.1	XP_016660087.1
OG0001301	XP_035721452.1, XP_035721453.1, XP_035721454.1, XP_035721456.1, XP_035721455.1, XP_035721457.1	XP_016660634.1, XP_016660633.1
OG0001302	XP_035717663.1	XP_029347290.1, XP_016662733.1
OG0001303	XP_035737788.1, XP_035737782.1	XP_029341792.1
OG0001304	XP_035731088.1, XP_035731087.1	XP_029342867.1
OG0001305	XP_035741182.1	XP_029348564.1, XP_029342894.1
OG0001306	XP_035725748.1	XP_029344330.1
OG0001307	XP_035739052.1, XP_035739051.1, XP_035739043.1	XP_029345473.1
OG0001308	XP_035719094.1, XP_035719093.1, XP_035719092.1, XP_035719091.1, XP_035719096.1	XP_029346361.1, XP_029346360.1
OG0001328	XP_035731698.1, XP_035731696.1, XP_035731697.1, XP_035731700.1, XP_035731701.1, XP_035731699.1	NP_001127773.1, XP_029341919.1
OG0001329	XP_035721000.1, XP_035720999.1	NP_001155492.1, XP_029344755.1
OG0001330	XP_035731423.1	NP_001155497.1, XP_008186537.1
OG0001331	XP_035742340.1	NP_001155755.1
OG0001332	XP_035741316.1	XP_001952298.1, NP_001155769.1
OG0001333	XP_035728809.1, XP_035728808.1	NP_001155777.1
OG0001334	XP_035744111.1	NP_001191927.1, NP_001156237.1
OG0001335	XP_035728151.1, XP_035728152.1, XP_035728155.1	XP_016663531.1, NP_001156244.1
OG0001337	XP_035729631.1	NP_001191891.1
OG0001338	XP_035736800.1	NP_001191907.1, XP_008181953.1
OG0001339	XP_035717770.1, XP_035717329.1, XP_035717330.1, XP_035717331.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	XP_035733304.1	NP_001280445.1
OG0001341	XP_035719766.1, XP_035719768.1, XP_035719767.1	NP_001313591.2
OG0001342	XP_035730554.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	XP_035735794.1, XP_035735796.1	XP_001942773.2
OG0001344	XP_035743053.1	XP_016660225.1, XP_001943014.1
OG0001345	XP_035724254.1	XP_001943716.2
OG0001346	XP_035743533.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	XP_035721417.1	XP_001944211.2, XP_016658906.1
OG0001348	XP_035739297.1, XP_035739295.1, XP_035739294.1, XP_035739292.1, XP_035739291.1, XP_035739293.1, XP_035739289.1, XP_035739296.1	XP_001944238.2
OG0001349	XP_035737275.1	XP_001944356.1
OG0001350	XP_035728041.1	XP_001944460.2
OG0001351	XP_035736225.1	XP_001945250.1
OG0001352	XP_035726719.1	XP_001945276.1
OG0001353	XP_035733802.1, XP_035733803.1, XP_035733801.1	XP_001945743.2, XP_008186641.1
OG0001354	XP_035719802.1	XP_001945744.2
OG0001355	XP_035742236.1, XP_035742247.1	XP_008189594.1, XP_001946293.2
OG0001356	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001357	XP_035725865.1	XP_001947400.1
OG0001358	XP_035729894.1, XP_035729906.1, XP_035729897.1, XP_035729889.1	XP_003246991.1, XP_001947503.2
OG0001359	XP_035724375.1	XP_001947632.1
OG0001360	XP_035739277.1, XP_035739279.1, XP_035739278.1	XP_001947656.2
OG0001361	XP_035731418.1	XP_001947660.2
OG0001362	XP_035719686.1	XP_001947761.1
OG0001363	XP_035734648.1	XP_001947957.1
OG0001364	XP_035732915.1, XP_035732913.1, XP_035732914.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	XP_035743429.1	XP_001948118.2
OG0001366	XP_035728562.1	XP_001950714.1
OG0001368	XP_035717255.1	XP_001948360.1
OG0001369	XP_035733443.1	XP_001948582.1
OG0001370	XP_035721187.1	XP_001948788.2, XP_008187828.1
OG0001371	XP_035738382.1	XP_001948959.2
OG0001373	XP_035723967.1, XP_035723978.1	XP_001949375.2, XP_029342280.1
OG0001374	XP_035723692.1, XP_035723693.1	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	XP_035737885.1, XP_035737859.1	XP_001949712.2
OG0001376	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1	XP_001949866.1, XP_029343706.1
OG0001377	XP_035735132.1	XP_016657316.1, XP_001951160.1
OG0001378	XP_035725634.1	XP_001951169.1
OG0001379	XP_035737881.1, XP_035737880.1	XP_001951442.2, XP_003248624.2
OG0001380	XP_035740772.1, XP_035740773.1, XP_035740774.1	XP_001951739.1
OG0001381	XP_035724080.1	XP_001952158.1, XP_003244080.1
OG0001382	XP_035730370.1	XP_001952349.1, XP_029347207.1
OG0001383	XP_035724036.1	XP_001952705.1
OG0001384	XP_035726968.1	XP_003241026.1
OG0001385	XP_035732208.1, XP_035732210.1, XP_035732206.1, XP_035732207.1, XP_035732205.1, XP_035732209.1	XP_003242732.1
OG0001386	XP_035740449.1	XP_003242991.1, XP_029342070.1
OG0001387	XP_035732545.1	XP_003243016.1
OG0001388	XP_035734878.1	XP_003243736.1
OG0001389	XP_035733912.1, XP_035733919.1	XP_003243952.1
OG0001390	XP_035742117.1	XP_003245614.1
OG0001391	XP_035730076.1	XP_003246597.1
OG0001392	XP_035737019.1, XP_035737028.1	XP_003246638.2
OG0001393	XP_035740933.1, XP_035740931.1	XP_003246906.1
OG0001394	XP_035736165.1	XP_029345028.1
OG0001394	XP_035721237.1	XP_003247560.1
OG0001395	XP_035719472.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	XP_035725824.1, XP_035725825.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	XP_035744070.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	XP_035742426.1	XP_008179523.1
OG0001399	XP_035717850.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	XP_035741628.1	XP_008180537.1
OG0001401	XP_035737949.1	XP_008182079.1
OG0001402	XP_035742995.1	XP_008183444.1, XP_008183443.1
OG0001403	XP_035731217.1, XP_035731212.1	XP_008183955.3
OG0001404	XP_035730874.1, XP_035730875.1, XP_035730873.1, XP_035730876.1	XP_008184962.1
OG0001405	XP_035729574.1	XP_008185959.1
OG0001406	XP_035731719.1	XP_008186629.1
OG0001407	XP_035733314.1	XP_008186697.1
OG0001408	XP_035719033.1	XP_008186789.1
OG0001409	XP_035719541.1, XP_035719544.1	XP_008187143.1
OG0001410	XP_035732860.1	XP_008187332.1
OG0001412	XP_035742548.1	XP_016662318.1
OG0001413	XP_035740982.1	XP_016659809.1, XP_016659807.1, XP_016659808.1
OG0001414	XP_035724862.1, XP_035724860.1	XP_016659986.1
OG0001415	XP_035728554.1, XP_035728552.1	XP_029344125.1, XP_029342285.1, XP_016662874.1
OG0001416	XP_035736479.1	XP_029341813.1
OG0001417	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1	XP_029342475.1
OG0001418	XP_035733747.1	XP_029342978.1
OG0001419	XP_035724786.1, XP_035724778.1	XP_029343365.1
OG0001420	XP_035733386.1	XP_029343491.1
OG0001421	XP_035720527.1	XP_029344222.1, XP_029348214.1
OG0001422	XP_035743214.1	XP_029344365.1
OG0001423	XP_035722660.1	XP_029345673.1
OG0001424	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1	XP_029346038.1, XP_029346037.1
OG0001425	XP_035726568.1, XP_035726572.1	XP_029346380.1
OG0001426	XP_035732107.1	XP_029346658.1
OG0001427	XP_035725975.1	XP_029347149.1
OG0001453	XP_035723822.1	NP_001155561.1, XP_008185637.1
OG0001455	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1	NP_001155669.1
OG0001456	XP_035728539.1	XP_008180851.1, NP_001155699.1
OG0001457	XP_035744061.1	NP_001155732.1
OG0001458	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1	NP_001155827.1
OG0001459	XP_035743512.1	NP_001156046.1
OG0001460	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1	NP_001156079.1
OG0001461	XP_035732071.1, XP_035732072.1	NP_001156162.1
OG0001462	XP_035732320.1, XP_035732321.1	NP_001156167.1
OG0001463	XP_035722487.1	XP_029341941.1, NP_001156195.1
OG0001464	XP_035734328.1, XP_035734326.1	NP_001156433.1, XP_008186733.1
OG0001465	XP_035728604.1	NP_001156833.1
OG0001466	XP_035743143.1	XP_008180032.1, NP_001161683.1
OG0001467	XP_035743437.1	NP_001191928.1
OG0001468	XP_035725733.1, XP_035726768.1	NP_001191993.1, XP_008189445.3
OG0001469	XP_035740153.1	XP_008181788.1, NP_001233056.1
OG0001470	XP_035732679.1	XP_008187948.1, NP_001280297.1
OG0001471	XP_035741273.1	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1
OG0001472	XP_035737419.1	NP_001280353.1
OG0001473	XP_035734940.1	NP_001280376.1, XP_008185857.1
OG0001474	XP_035739077.1	XP_029342002.1, NP_001280448.1
OG0001475	XP_035717856.1	XP_001942854.1
OG0001476	XP_035731880.1	XP_001942905.3
OG0001477	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1	XP_001942920.4
OG0001478	XP_035743449.1	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1
OG0001479	XP_035732480.1	XP_001942962.2
OG0001480	XP_035743666.1, XP_035743665.1	XP_001943003.1
OG0001481	XP_035720959.1	XP_001943151.1
OG0001482	XP_035728409.1	XP_001943496.2
OG0001483	XP_035724368.1	XP_001943861.2
OG0001485	XP_035730779.1, XP_035728266.1	XP_001944507.2
OG0001486	XP_035737270.1	XP_029341194.1, XP_001944825.2
OG0001487	XP_035730037.1	XP_016661816.1, XP_001945106.1
OG0001488	XP_035738120.1, XP_035738110.1	XP_001945549.2
OG0001489	XP_035726010.1	XP_001945732.1
OG0001490	XP_035724088.1	XP_001945791.2
OG0001491	XP_035727119.1	XP_001946011.2, XP_029342551.1
OG0001492	XP_035739387.1	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1
OG0001493	XP_035738712.1, XP_035738727.1, XP_035738733.1	XP_029343846.1, XP_001946376.2, XP_008183135.1
OG0001494	XP_035731260.1, XP_035731259.1, XP_035731258.1	XP_001946881.2
OG0001495	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1	XP_001946939.2, XP_029344154.1
OG0001496	XP_035733812.1	XP_008185249.2, XP_001946961.1
OG0001497	XP_035729500.1	XP_001947222.2
OG0001498	XP_035719605.1	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2
OG0001499	XP_035735460.1, XP_035726067.1	XP_001947444.2
OG0001500	XP_035729281.1, XP_035729277.1	XP_001947553.2
OG0001501	XP_035736059.1, XP_035736056.1	XP_001947628.2
OG0001502	XP_035736178.1	XP_001947678.4
OG0001503	XP_035731138.1	XP_001947953.1
OG0001504	XP_035724977.1, XP_035724976.1	XP_001948087.2, XP_016662592.1
OG0001505	XP_035740281.1	XP_001948092.2
OG0001506	XP_035724115.1, XP_035724116.1	XP_001949016.2
OG0001507	XP_035722516.1, XP_035722512.1	XP_001949195.2, XP_003243935.1
OG0001508	XP_035735828.1, XP_035735819.1	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1
OG0001509	XP_035725114.1	XP_001949731.2
OG0001510	XP_035736193.1, XP_035738093.1	XP_003246129.1, XP_001950257.2
OG0001511	XP_035727478.1	XP_001950295.2
OG0001512	XP_035743937.1	XP_001950347.2, XP_003249003.2
OG0001513	XP_035740488.1	XP_029343494.1, XP_001950605.2
OG0001514	XP_035720547.1	XP_001950614.2, XP_008179295.1, XP_016656840.1
OG0001515	XP_035743549.1	XP_001951016.1, XP_008188305.1, XP_008188306.1
OG0001516	XP_035724326.1, XP_035724325.1	XP_001951239.1, XP_008186532.1
OG0001517	XP_035741612.1	XP_001951328.2, XP_029346096.1
OG0001518	XP_035724751.1, XP_035724750.1	XP_001951365.1
OG0001519	XP_035737253.1	XP_008183986.1, XP_001951874.2
OG0001520	XP_035743161.1, XP_035743159.1	XP_001951964.1
OG0001521	XP_035731179.1	XP_008181173.1
OG0001522	XP_035739848.1	XP_001952293.1
OG0001523	XP_035728167.1	XP_001952833.2
OG0001524	XP_035730671.1, XP_035730669.1, XP_035730670.1	XP_003240924.1, XP_016664234.1
OG0001525	XP_035728186.1, XP_035728182.1, XP_035728183.1, XP_035728184.1	XP_003241160.1
OG0001526	XP_035728083.1	XP_003241167.1, XP_029345134.1, XP_008190230.1
OG0001527	XP_035728445.1, XP_035728444.1	XP_003241208.1
OG0001529	XP_035739478.1	XP_003242875.1
OG0001530	XP_035742074.1, XP_035742073.1	XP_003243307.1
OG0001531	XP_035721679.1, XP_035721676.1, XP_035721680.1, XP_035721678.1	XP_003243327.1
OG0001532	XP_035728061.1, XP_035728062.1	XP_003243596.1
OG0001533	XP_035743685.1	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1
OG0001534	XP_035731294.1	XP_003244802.1
OG0001535	XP_035726470.1	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1
OG0001536	XP_035730724.1, XP_035730723.1	XP_003245170.1
OG0001537	XP_035717336.1	XP_003245502.1, XP_008181113.1, XP_016661056.2
OG0001539	XP_035736370.1, XP_035736369.1	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1
OG0001540	XP_035742193.1	XP_003247868.1
OG0001541	XP_035740966.1	XP_003248759.2, XP_008188096.1
OG0001542	XP_035725107.1, XP_035725106.1, XP_035725108.1	XP_029345676.1, XP_029345670.1, XP_003248868.3
OG0001543	XP_035734388.1	XP_008178488.1
OG0001545	XP_035743288.1	XP_008180179.1
OG0001546	XP_035724101.1	XP_008180322.1
OG0001547	XP_035738371.1	XP_008181007.1
OG0001548	XP_035733159.1	XP_008181324.1
OG0001549	XP_035732687.1	XP_008181350.1, XP_008181345.1
OG0001550	XP_035735400.1, XP_035735403.1	XP_008181349.1, XP_016660125.1
OG0001552	XP_035720372.1	XP_029341108.1, XP_008182735.1
OG0001553	XP_035720814.1	XP_008183385.1
OG0001554	XP_035721118.1	XP_008183450.2
OG0001555	XP_035719215.1, XP_035719214.1, XP_035719213.1	XP_029341218.1, XP_008184180.1, XP_029341220.1
OG0001556	XP_035730674.1	XP_008184251.1
OG0001557	XP_035737148.1, XP_035737142.1	XP_016661057.2
OG0001558	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1	XP_008184940.1
OG0001559	XP_035735222.1, XP_035735223.1	XP_008185039.1
OG0001560	XP_035733162.1, XP_035733154.1	XP_008186404.1, XP_016662679.1
OG0001561	XP_035729434.1, XP_035729435.1	XP_029341351.1, XP_008186937.1, XP_029341646.1
OG0001562	XP_035727763.1, XP_035727765.1	XP_016663542.1, XP_008187530.2, XP_016660440.1
OG0001563	XP_035738177.1, XP_035738176.1	XP_008187964.3
OG0001565	XP_035740221.1	XP_008189936.1
OG0001567	XP_035733419.1, XP_035733417.1	XP_016658137.2
OG0001568	XP_035719663.1	XP_016658644.1
OG0001569	XP_035735846.1	XP_016659072.1
OG0001570	XP_035736968.1	XP_016659399.1
OG0001571	XP_035720700.1	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1
OG0001572	XP_035727941.1	XP_016661226.1, XP_029342072.1
OG0001573	XP_035744094.1	XP_016661281.1
OG0001574	XP_035734280.1, XP_035734289.1	XP_016661800.1, XP_029343877.1, XP_029343880.1, XP_029343879.1, XP_029343878.1, XP_016661798.1, XP_029343876.1
OG0001575	XP_035740609.1, XP_035740610.1	XP_016665048.1
OG0001576	XP_035718048.1	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1
OG0001577	XP_035719108.1, XP_035719116.1	XP_029341940.1
OG0001578	XP_035725745.1	XP_029342030.1
OG0001579	XP_035729962.1, XP_035729961.1, XP_035729963.1	XP_029343105.1, XP_029343104.1
OG0001581	XP_035727859.1	XP_029347791.1, XP_029344497.1
OG0001582	XP_035735263.1	XP_029345144.1
OG0001583	XP_035736291.1	XP_029345306.1
OG0001584	XP_035739266.1	XP_029346124.1
OG0001585	XP_035732290.1, XP_035732292.1	XP_029346669.1, XP_029348133.1
OG0001586	XP_035741954.1	XP_029346801.1
OG0001587	XP_035737786.1, XP_035741104.1, XP_035741103.1, XP_035741105.1	XP_029347036.1
OG0001588	XP_035732715.1	XP_029347321.1, XP_029348055.1
OG0001589	XP_035742281.1, XP_035742282.1	XP_029348255.1
OG0001614	XP_035729693.1, XP_035729699.1	NP_001119609.1
OG0001615	XP_035724682.1	NP_001165434.1, NP_001119664.1
OG0001616	XP_035725033.1, XP_035725034.1	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1
OG0001617	XP_035742339.1	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1
OG0001619	XP_035723068.1, XP_035723071.1	XP_008189793.1, XP_008180212.1, NP_001155629.1
OG0001620	XP_035723185.1	NP_001155671.1
OG0001621	XP_035733218.1, XP_035733219.1	XP_029344967.1, NP_001155770.1, XP_008187262.1
OG0001622	XP_035740437.1	XP_008180830.1, NP_001155791.1
OG0001623	XP_035723670.1	NP_001155857.1
OG0001624	XP_035742940.1	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1
OG0001625	XP_035727825.1	NP_001156134.1
OG0001626	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1	NP_001156141.1
OG0001627	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1	NP_001156148.1, XP_008185366.1
OG0001628	XP_035734380.1	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2
OG0001629	XP_035732347.1	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1
OG0001630	XP_035736770.1, XP_035736774.1	NP_001156347.1, XP_016659252.1
OG0001631	XP_035722044.1	NP_001156438.1, XP_001948292.4, XP_016660627.1
OG0001632	XP_035740780.1	XP_008183084.1, NP_001156712.1
