Orthogroup	Vespa_mandarinia	Drosophila_melanogaster
OG0001076	XP_035732620.1, XP_035732621.1	NP_001260355.1
OG0001077	XP_035742941.1	NP_001162966.2
OG0001078	XP_035722866.1	NP_001261508.1
OG0001081	XP_035723041.1	NP_001259757.1, NP_001097171.2, NP_001034004.1
OG0001082	XP_035718490.1	NP_001261395.1
OG0001083	XP_035723022.1, XP_035723021.1	NP_001163182.1
OG0001084	XP_035717556.1	NP_001261977.1
OG0001085	XP_035741383.1	NP_651472.2, NP_651701.1
OG0001090	XP_035731633.1	NP_001015155.1
OG0001091	XP_035737105.1	NP_001285121.1, NP_001162839.1
OG0001092	XP_035728916.1, XP_035728917.1	NP_001259168.1
OG0001093	XP_035737569.1	NP_610035.4
OG0001094	XP_035721561.1	NP_001259316.1
OG0001095	XP_035733586.1	NP_610729.1, NP_001033818.1
OG0001096	XP_035719539.1, XP_035719538.1	NP_001097086.1
OG0001097	XP_035731592.1	NP_524451.1
OG0001098	XP_035718998.1	NP_573359.1
OG0001099	XP_035735209.1	NP_001137973.1
OG0001100	XP_035723774.1	NP_001285120.1
OG0001101	XP_035727559.1	NP_650449.1
OG0001102	XP_035744259.1, XP_035744260.1	NP_001284995.1, NP_524884.1
OG0001103	XP_035718889.1, XP_035718879.1, XP_035718859.1, XP_035718870.1, XP_035718851.1	NP_001245905.1
OG0001104	XP_035740852.1	NP_610475.1
OG0001105	XP_035717778.1	NP_001285263.1, NP_524696.2, NP_788903.1
OG0001106	XP_035737972.1, XP_035737963.1	NP_001097399.1
OG0001107	XP_035734651.1	NP_477463.1, NP_477418.1
OG0001108	XP_035740396.1	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1
OG0001109	XP_035743539.1, XP_035743540.1, XP_035743542.1, XP_035743543.1	NP_608327.2, NP_001287212.1, NP_001027071.1
OG0001110	XP_035730071.1	NP_001287185.1, NP_001260724.1
OG0001111	XP_035729758.1	NP_001260255.1
OG0001112	XP_035730698.1, XP_035730700.1	NP_001245731.1
OG0001113	XP_035737179.1	NP_649587.1
OG0001114	XP_035721968.1	NP_788382.1
OG0001115	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1	NP_651307.2
OG0001116	XP_035724249.1, XP_035724250.1	NP_001284912.1
OG0001117	XP_035719019.1	NP_647890.2
OG0001118	XP_035726408.1, XP_035726409.1	NP_730935.1
OG0001119	XP_035717623.1, XP_035717612.1	NP_573179.1
OG0001120	XP_035717233.1	NP_001303491.1
OG0001120	XP_035741137.1	NP_001286419.1
OG0001121	XP_035730111.1	NP_523778.2
OG0001124	XP_035718191.1	NP_611463.1
OG0001125	XP_035719604.1, XP_035719593.1, XP_035719583.1	NP_996437.1
OG0001126	XP_035724958.1	NP_001263150.1
OG0001128	XP_035738056.1	NP_476687.1
OG0001129	XP_035724905.1, XP_035724906.1, XP_035724908.1	NP_001260832.1
OG0001130	XP_035736404.1	NP_001285414.1
OG0001131	XP_035729170.1	NP_001262954.1
OG0001132	XP_035728741.1, XP_035728742.1, XP_035728743.1	NP_477136.1
OG0001133	XP_035725198.1, XP_035725197.1	NP_001163633.1, NP_001262655.1
OG0001134	XP_035732142.1, XP_035732141.1, XP_035732137.1	NP_650596.1
OG0001135	XP_035738680.1	NP_001261958.1
OG0001137	XP_035721153.1	NP_001162634.1, NP_569918.1
OG0001138	XP_035718404.1, XP_035718403.1, XP_035718405.1	NP_609847.1
OG0001139	XP_035743683.1	NP_650430.1
OG0001140	XP_035723718.1, XP_035723719.1, XP_035723150.1	NP_610460.1
OG0001141	XP_035721589.1	NP_001261986.1, NP_001303470.1, NP_572194.1, NP_996208.1
OG0001142	XP_035739334.1, XP_035739333.1, XP_035739332.1	NP_001285029.1
OG0001143	XP_035722580.1, XP_035722579.1	NP_524026.1
OG0001144	XP_035723368.1, XP_035728699.1, XP_035728244.1	NP_649981.1
OG0001145	XP_035732592.1, XP_035732591.1, XP_035732594.1	NP_610183.1
OG0001146	XP_035719270.1, XP_035719086.1	NP_001163124.1
OG0001147	XP_035729583.1	NP_573361.1
OG0001148	XP_035732530.1, XP_035732531.1, XP_035732529.1	NP_651990.1
OG0001149	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1	NP_001246233.1
OG0001150	XP_035720889.1, XP_035720888.1, XP_035720887.1	NP_524167.1
OG0001151	XP_035739335.1	NP_001262934.1
OG0001152	XP_035738354.1	NP_608533.1
OG0001153	XP_035729654.1, XP_035729655.1	NP_609012.2
OG0001154	XP_035743121.1, XP_035743113.1	NP_650326.3
OG0001155	XP_035726229.1	NP_001245723.1
OG0001156	XP_035718475.1	NP_727144.1
OG0001157	XP_035717435.1	NP_524637.2
OG0001158	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1	NP_523922.1
OG0001159	XP_035723877.1	NP_001246974.1, NP_524850.2
OG0001160	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1	NP_001285873.1
OG0001161	XP_035717196.1	NP_477313.1
OG0001162	XP_035730787.1	NP_001246331.1
OG0001165	XP_035717866.1	NP_001247163.1
OG0001166	XP_035735494.1	NP_524216.1, NP_727251.1
OG0001167	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1	NP_476980.1
OG0001168	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1	NP_477466.1
OG0001169	XP_035720934.1	NP_648620.1, NP_523655.1
OG0001170	XP_035729413.1	NP_524664.1
OG0001171	XP_035729576.1, XP_035729572.1	NP_001368984.1
OG0001172	XP_035719625.1, XP_035719632.1	NP_001246928.1
OG0001173	XP_035736818.1	NP_001261097.1
OG0001174	XP_035723706.1	NP_001104426.1
OG0001175	XP_035721083.1	NP_001261470.1
OG0001176	XP_035720195.1, XP_035720196.1, XP_035720191.1	NP_649439.1
OG0001179	XP_035733749.1	NP_001284976.1
OG0001180	XP_035733356.1, XP_035733411.1	NP_001259321.1
OG0001181	XP_035742099.1	NP_573161.1
OG0001182	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1	NP_001246890.1
OG0001183	XP_035734638.1, XP_035734647.1	NP_001246707.1
OG0001184	XP_035723556.1, XP_035723559.1	NP_001287560.1
OG0001185	XP_035735384.1	NP_001137887.1
OG0001186	XP_035740406.1, XP_035740405.1	NP_648908.1
OG0001187	XP_035723203.1	NP_001261023.1
OG0001188	XP_035724460.1	NP_001163482.1
OG0001189	XP_035726769.1, XP_035726770.1	NP_001097192.2
OG0001190	XP_035742460.1, XP_035742461.1, XP_035742464.1, XP_035742463.1	NP_001097387.1
OG0001191	XP_035737087.1	NP_996290.1, NP_001262929.1
OG0001193	XP_035742520.1	NP_001163283.1
OG0001195	XP_035742307.1	NP_608725.1
OG0001197	XP_035729063.1, XP_035729061.1	NP_569979.1
OG0001198	XP_035727541.1	NP_476939.1
OG0001199	XP_035730038.1	NP_647878.1
OG0001201	XP_035720695.1	NP_611863.1
OG0001202	XP_035737501.1, XP_035737654.1	NP_731269.2
OG0001203	XP_035732539.1	NP_611025.2, NP_523750.2, NP_611808.2
OG0001204	XP_035736751.1	NP_001163181.1
OG0001205	XP_035735201.1, XP_035728105.1	NP_728441.1, NP_728444.1, NP_728438.2
OG0001206	XP_035721058.1, XP_035721056.1	NP_001245695.1
OG0001207	XP_035726296.1, XP_035726297.1, XP_035726293.1, XP_035726292.1, XP_035726291.1, XP_035726294.1, XP_035726295.1	NP_001262204.1
OG0001208	XP_035717137.1, XP_035717138.1, XP_035717139.1, XP_035717134.1, XP_035717135.1, XP_035717136.1	NP_001262609.1
OG0001211	XP_035729324.1	NP_788360.2, NP_001097455.1, NP_648203.1
OG0001214	XP_035734780.1	NP_572278.1
OG0001215	XP_035724049.1, XP_035724048.1	NP_001260930.1
OG0001216	XP_035738838.1, XP_035738833.1	NP_609382.1
OG0001217	XP_035721739.1	NP_523379.2
OG0001218	XP_035726474.1, XP_035726511.1	NP_001285628.1
OG0001219	XP_035731471.1, XP_035731469.1	NP_477043.1
OG0001220	XP_035729813.1	NP_476594.1
OG0001221	XP_035719054.1, XP_035719063.1, XP_035719072.1	NP_650287.3
OG0001222	XP_035729641.1	NP_001262515.1
OG0001223	XP_035719573.1	NP_573055.1
OG0001224	XP_035731261.1, XP_035731263.1	NP_650632.1
OG0001225	XP_035723474.1	NP_611211.3, NP_573315.1
OG0001226	XP_035733702.1	NP_001259731.1
OG0001228	XP_035739581.1	NP_001260246.1
OG0001229	XP_035729505.1, XP_035742768.1, XP_035739248.1	NP_651876.1
OG0001230	XP_035719854.1	NP_001285360.1, NP_650407.1
OG0001231	XP_035727566.1	NP_001036283.1
OG0001232	XP_035719153.1, XP_035719155.1, XP_035719154.1, XP_035719156.1	NP_001285827.1
OG0001233	XP_035728274.1	NP_001162628.1
OG0001234	XP_035724023.1, XP_035724016.1, XP_035724007.1, XP_035724035.1, XP_035724032.1	NP_001036706.2
OG0001236	XP_035724404.1	NP_001246793.1, NP_001261942.1
OG0001237	XP_035722087.1, XP_035722090.1, XP_035722088.1, XP_035722089.1, XP_035722084.1, XP_035722086.1	NP_001246667.1
OG0001238	XP_035728512.1, XP_035728521.1	NP_001014689.3
OG0001239	XP_035740535.1, XP_035740534.1, XP_035740533.1	NP_001015221.1
OG0001240	XP_035725027.1	NP_001097042.1, NP_649903.1
OG0001241	XP_035723547.1	NP_733336.1
OG0001242	XP_035726177.1, XP_035726176.1, XP_035726178.1	NP_001260760.1, NP_724538.1
OG0001244	XP_035738850.1	NP_001189177.2
OG0001245	XP_035737673.1, XP_035737672.1, XP_035737671.1, XP_035737674.1, XP_035737675.1	NP_001245557.1
OG0001246	XP_035737565.1, XP_035737563.1, XP_035737561.1, XP_035737564.1, XP_035737562.1	NP_476932.1
OG0001247	XP_035725765.1	NP_572740.1
OG0001248	XP_035735325.1	NP_001259908.1
OG0001249	XP_035735407.1, XP_035735406.1, XP_035735405.1	NP_572452.1
OG0001250	XP_035743373.1, XP_035743374.1, XP_035743370.1, XP_035743372.1	NP_001259742.1
OG0001254	XP_035739927.1	NP_001285084.1
OG0001255	XP_035722007.1	NP_001261169.1
OG0001256	XP_035742831.1	NP_728275.1
OG0001257	XP_035728567.1, XP_035728568.1, XP_035728570.1, XP_035728569.1	NP_649873.1, NP_001287313.1, NP_732513.1
OG0001259	XP_035724070.1	NP_724582.1
OG0001260	XP_035727987.1, XP_035727983.1	NP_525109.1
OG0001261	XP_035728087.1	NP_001097659.1
OG0001262	XP_035724983.1, XP_035724982.1	NP_001188672.1
OG0001263	XP_035731867.1, XP_035731862.1, XP_035731863.1, XP_035731864.1, XP_035731866.1	NP_523511.2
OG0001264	XP_035729267.1, XP_035729266.1, XP_035729268.1	NP_610425.1
OG0001265	XP_035743256.1	NP_001162912.1
OG0001267	XP_035718937.1	NP_001261146.1
OG0001269	XP_035730718.1, XP_035730720.1	NP_612019.2
OG0001270	XP_035732803.1, XP_035732802.1, XP_035732801.1, XP_035732800.1	NP_730968.1
OG0001271	XP_035732504.1	NP_651398.1
OG0001272	XP_035724189.1	NP_476658.1
OG0001273	XP_035719773.1, XP_035719772.1, XP_035719770.1	NP_611759.1, NP_611762.1, NP_001285109.1
OG0001274	XP_035720662.1, XP_035720661.1	NP_476741.1
OG0001275	XP_035735154.1, XP_035735153.1	NP_001286478.1
OG0001277	XP_035739371.1, XP_035739372.1, XP_035739369.1, XP_035739370.1, XP_035739367.1, XP_035739368.1, XP_035739365.1, XP_035739366.1, XP_035739364.1, XP_035739373.1	NP_611899.1
OG0001278	XP_035718527.1, XP_035718526.1, XP_035718525.1, XP_035718528.1	NP_524327.1
OG0001279	XP_035727026.1, XP_035727025.1, XP_035727031.1, XP_035727032.1	NP_524633.3
OG0001280	XP_035744237.1, XP_035744236.1, XP_035744235.1	NP_001036627.2
OG0001281	XP_035737905.1, XP_035737904.1	NP_001246506.1
OG0001282	XP_035720417.1, XP_035720418.1, XP_035720420.1, XP_035720419.1, XP_035720421.1	NP_649261.1
OG0001283	XP_035739286.1, XP_035739285.1, XP_035739284.1	NP_476902.1
OG0001284	XP_035734609.1, XP_035734611.1	NP_001163032.1
OG0001286	XP_035743126.1	NP_610431.1
OG0001287	XP_035729932.1, XP_035729930.1, XP_035729935.1, XP_035729939.1	NP_732006.2
OG0001288	XP_035744139.1	NP_001285508.1
OG0001289	XP_035718903.1, XP_035718904.1, XP_035718901.1, XP_035718899.1, XP_035718900.1, XP_035718898.1	NP_001261265.1
OG0001290	XP_035732080.1	NP_649797.2, NP_650324.1, NP_651092.1
OG0001291	XP_035739775.1, XP_035739774.1, XP_035739777.1, XP_035739776.1, XP_035739773.1, XP_035739781.1, XP_035739779.1, XP_035739778.1	NP_001163636.1
OG0001292	XP_035740631.1, XP_035740630.1, XP_035740629.1, XP_035740628.1	NP_611945.3
OG0001293	XP_035719793.1	NP_649850.1
OG0001294	XP_035736216.1	NP_611855.1
OG0001295	XP_035732764.1	NP_724562.2
OG0001298	XP_035732584.1, XP_035732585.1, XP_035732582.1, XP_035732583.1	NP_001163084.1
OG0001299	XP_035727772.1	NP_609088.1
OG0001300	XP_035719088.1, XP_035719087.1	NP_001259918.1
OG0001301	XP_035721452.1, XP_035721453.1, XP_035721454.1, XP_035721456.1, XP_035721455.1, XP_035721457.1	NP_001188545.1
OG0001303	XP_035737788.1, XP_035737782.1	NP_001261027.1
OG0001304	XP_035731088.1, XP_035731087.1	NP_001246121.1
OG0001305	XP_035741182.1	NP_001261304.1
OG0001306	XP_035725748.1	NP_001262403.1
OG0001307	XP_035739052.1, XP_035739051.1, XP_035739043.1	NP_001356969.1
OG0001308	XP_035719094.1, XP_035719093.1, XP_035719092.1, XP_035719091.1, XP_035719096.1	NP_001245739.1, NP_727344.1
OG0001310	XP_035743105.1	NP_650685.1
OG0001312	XP_035725122.1	NP_001285588.1
OG0001314	XP_035725375.1	NP_001246531.1
OG0001315	XP_035728566.1	NP_001285099.1, NP_728935.1
OG0001316	XP_035743974.1	NP_001246495.1
OG0001317	XP_035735882.1	NP_648019.2
OG0001318	XP_035742971.1	NP_001188775.1
OG0001320	XP_035726547.1, XP_035726469.1, XP_035726632.1	NP_651060.1
OG0001322	XP_035724644.1	NP_651570.1
OG0001328	XP_035731698.1, XP_035731696.1, XP_035731697.1, XP_035731700.1, XP_035731701.1, XP_035731699.1	NP_001097695.1
OG0001329	XP_035721000.1, XP_035720999.1	NP_647948.1
OG0001330	XP_035731423.1	NP_001246537.1
OG0001331	XP_035742340.1	NP_001260303.1
OG0001332	XP_035741316.1	NP_650887.1, NP_570011.1
OG0001333	XP_035728809.1, XP_035728808.1	NP_649539.1
OG0001334	XP_035744111.1	NP_001287343.1
OG0001335	XP_035728151.1, XP_035728152.1, XP_035728155.1	NP_609362.1
OG0001337	XP_035729631.1	NP_612097.1
OG0001338	XP_035736800.1	NP_572855.1
OG0001339	XP_035717770.1, XP_035717329.1, XP_035717330.1, XP_035717331.1	NP_001260727.1
OG0001340	XP_035733304.1	NP_001284961.1
OG0001341	XP_035719768.1, XP_035719767.1	NP_001259867.1
OG0001342	XP_035730554.1	NP_001138093.1
OG0001343	XP_035735794.1, XP_035735796.1	NP_477025.1
OG0001344	XP_035743053.1	NP_652315.2
OG0001345	XP_035724254.1	NP_648955.1
OG0001346	XP_035743533.1	NP_001097946.1
OG0001347	XP_035721417.1	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2
OG0001348	XP_035739297.1, XP_035739295.1, XP_035739294.1, XP_035739292.1, XP_035739291.1, XP_035739293.1, XP_035739289.1, XP_035739296.1	NP_608350.2
OG0001349	XP_035737275.1	NP_477480.1
OG0001350	XP_035728041.1	NP_788708.2
OG0001351	XP_035736225.1	NP_001246931.1
OG0001352	XP_035726719.1	NP_731459.2
OG0001353	XP_035733802.1, XP_035733803.1, XP_035733801.1	NP_001261357.1
OG0001354	XP_035719802.1	NP_611792.1
OG0001355	XP_035742236.1, XP_035742247.1	NP_572529.2
OG0001356	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1	NP_001014559.1
OG0001358	XP_035729894.1, XP_035729906.1, XP_035729897.1, XP_035729889.1	NP_001014703.1
OG0001359	XP_035724375.1	NP_001259064.1, NP_651392.2
OG0001361	XP_035731418.1	NP_650778.2
OG0001362	XP_035719686.1	NP_001287357.1
OG0001363	XP_035734648.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_035732915.1, XP_035732913.1, XP_035732914.1	NP_001188754.1
OG0001365	XP_035743429.1	NP_001260427.1
OG0001366	XP_035728562.1	NP_648508.1
OG0001368	XP_035717255.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_035733443.1	NP_001303363.1
OG0001370	XP_035721187.1	NP_001162973.2
OG0001371	XP_035738382.1	NP_610796.1
OG0001373	XP_035723967.1, XP_035723978.1	NP_731872.1
OG0001374	XP_035723692.1, XP_035723693.1	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_035737885.1, XP_035737859.1	NP_001261379.1
OG0001376	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1	NP_001162697.1
OG0001377	XP_035735132.1	NP_572840.1
OG0001378	XP_035725634.1	NP_572402.1
OG0001379	XP_035737881.1, XP_035737880.1	NP_723501.2
OG0001380	XP_035740772.1, XP_035740773.1, XP_035740774.1	NP_001036421.1
OG0001381	XP_035724080.1	NP_650889.1
OG0001382	XP_035730370.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_035724036.1	NP_001036470.1
OG0001384	XP_035726968.1	NP_001285453.1
OG0001385	XP_035732208.1, XP_035732210.1, XP_035732206.1, XP_035732207.1, XP_035732205.1, XP_035732209.1	NP_001260880.1
OG0001386	XP_035740449.1	NP_001286474.1
OG0001387	XP_035732545.1	NP_609412.1
OG0001388	XP_035734878.1	NP_572320.2, NP_732840.1
OG0001389	XP_035733912.1, XP_035733919.1	NP_788300.3
OG0001390	XP_035742117.1	NP_001286120.1
OG0001391	XP_035730076.1	NP_001163354.1
OG0001392	XP_035737019.1, XP_035737028.1	NP_001246912.1
OG0001393	XP_035740933.1, XP_035740931.1	NP_001285132.1, NP_001188593.1
OG0001394	XP_035736165.1	NP_573197.2
OG0001394	XP_035721237.1	NP_729025.1
OG0001395	XP_035719472.1	NP_001137624.1
OG0001396	XP_035725824.1, XP_035725825.1	NP_001245761.1, NP_523412.1
OG0001397	XP_035744070.1	NP_649764.1
OG0001398	XP_035742426.1	NP_001246972.1, NP_523949.2
OG0001399	XP_035717850.1	NP_569982.1
OG0001400	XP_035741628.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_035737949.1	NP_524675.1
OG0001402	XP_035742995.1	NP_612065.1
OG0001403	XP_035731217.1, XP_035731212.1	NP_001259193.1, NP_733426.1
OG0001404	XP_035730874.1, XP_035730875.1, XP_035730873.1, XP_035730876.1	NP_609110.1
OG0001405	XP_035729574.1	NP_731223.1
OG0001406	XP_035731719.1	NP_001015132.1
OG0001407	XP_035733314.1	NP_001262226.1
OG0001408	XP_035719033.1	NP_001163646.1
OG0001409	XP_035719541.1, XP_035719544.1	NP_001162657.1
OG0001410	XP_035732860.1	NP_523844.2
OG0001412	XP_035742548.1	NP_651941.2
OG0001413	XP_035740982.1	NP_001303415.1
OG0001414	XP_035724862.1, XP_035724860.1	NP_608864.1
OG0001415	XP_035728554.1, XP_035728552.1	NP_996016.2
OG0001416	XP_035736479.1	NP_723870.1
OG0001417	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1	NP_611932.2
OG0001418	XP_035733747.1	NP_001162911.1
OG0001419	XP_035724786.1, XP_035724778.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_035733386.1	NP_650569.1, NP_651139.1
OG0001421	XP_035720527.1	NP_649899.1
OG0001422	XP_035743214.1	NP_001189074.1
OG0001423	XP_035722660.1	NP_729234.2
OG0001424	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1	NP_001262495.1
OG0001425	XP_035726568.1, XP_035726572.1	NP_788574.3
OG0001426	XP_035732107.1	NP_001163056.1
OG0001427	XP_035725975.1	NP_648499.1
OG0001428	XP_035734486.1	NP_608929.1
OG0001429	XP_035728983.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_035729828.1	NP_001287466.1
OG0001432	XP_035723803.1	NP_001188923.1, NP_611185.3
OG0001434	XP_035726809.1, XP_035727180.1, XP_035726835.1, XP_035726805.1, XP_035726807.1, XP_035727336.1, XP_035726800.1, XP_035726801.1, XP_035726803.1, XP_035726828.1	NP_788618.1, NP_649928.1
OG0001436	XP_035735687.1	NP_650868.1, NP_649289.2
OG0001437	XP_035723764.1, XP_035723763.1	NP_001286742.1
OG0001438	XP_035741297.1	NP_727644.3
OG0001440	XP_035718674.1, XP_035718673.1	NP_611647.1
OG0001441	XP_035719956.1	NP_001027574.2
OG0001442	XP_035733993.1	NP_001287592.1
OG0001443	XP_035739105.1	NP_001096850.2
OG0001444	XP_035720647.1, XP_035720649.1, XP_035720648.1	NP_001034052.2
OG0001445	XP_035724530.1, XP_035724531.1, XP_035724532.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_035722938.1	NP_648358.2
OG0001453	XP_035723822.1	NP_001285826.1
OG0001455	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1	NP_610092.2
OG0001456	XP_035728539.1	NP_001286295.1
OG0001457	XP_035744061.1	NP_001163688.1
OG0001458	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1	NP_476858.1
OG0001459	XP_035743512.1	NP_001263148.1
OG0001460	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1	NP_476848.1
OG0001461	XP_035732071.1, XP_035732072.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_035732320.1, XP_035732321.1	NP_001262421.1
OG0001463	XP_035722487.1	NP_649574.1
OG0001464	XP_035734328.1, XP_035734326.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_035728604.1	NP_001189124.1
OG0001466	XP_035743143.1	NP_569951.1, NP_611911.1
OG0001467	XP_035743437.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_035725733.1, XP_035726768.1	NP_001260652.1
OG0001469	XP_035740153.1	NP_523568.2
OG0001470	XP_035732679.1	NP_648768.1
OG0001471	XP_035741273.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_035737419.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_035734940.1	NP_001287361.1
OG0001474	XP_035739077.1	NP_609560.2, NP_569850.1
OG0001475	XP_035717856.1	NP_001368987.1
OG0001477	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1	NP_001014453.1
OG0001478	XP_035743449.1	NP_001285042.1
OG0001479	XP_035732480.1	NP_001036624.1
OG0001480	XP_035743666.1, XP_035743665.1	NP_524533.1
OG0001481	XP_035720959.1	NP_001286181.1
OG0001482	XP_035728409.1	NP_651924.2
OG0001483	XP_035724368.1	NP_001262996.1
OG0001485	XP_035730779.1	NP_569913.1
OG0001485	XP_035728266.1	NP_523596.2
OG0001486	XP_035737270.1	NP_476764.1
OG0001487	XP_035730037.1	NP_001188904.1
OG0001488	XP_035738120.1, XP_035738110.1	NP_001189108.1
OG0001489	XP_035726010.1	NP_648555.1
OG0001491	XP_035727119.1	NP_609228.2
OG0001492	XP_035739387.1	NP_001263168.1
OG0001493	XP_035738712.1, XP_035738727.1, XP_035738733.1	NP_001262195.1
OG0001494	XP_035731260.1, XP_035731259.1, XP_035731258.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1	NP_612063.2
OG0001496	XP_035733812.1	NP_609203.1
OG0001497	XP_035729500.1	NP_001260853.1
OG0001498	XP_035719605.1	NP_729823.2
OG0001499	XP_035735460.1, XP_035726067.1	NP_572167.3
OG0001500	XP_035729281.1, XP_035729277.1	NP_730859.1
OG0001501	XP_035736059.1, XP_035736056.1	NP_001303373.1
OG0001502	XP_035736178.1	NP_001261464.1
OG0001503	XP_035731138.1	NP_665880.2
OG0001504	XP_035724977.1, XP_035724976.1	NP_001261440.1
OG0001505	XP_035740281.1	NP_001097527.1
OG0001507	XP_035722516.1, XP_035722512.1	NP_001287269.1
OG0001508	XP_035735828.1, XP_035735819.1	NP_001138130.2
OG0001509	XP_035725114.1	NP_001261116.1
OG0001510	XP_035736193.1, XP_035738093.1	NP_001284936.1
OG0001511	XP_035727478.1	NP_649151.1
OG0001514	XP_035720547.1	NP_001188550.1
OG0001515	XP_035743549.1	NP_001259809.1
OG0001516	XP_035724326.1, XP_035724325.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_035741612.1	NP_731242.1
OG0001518	XP_035724751.1, XP_035724750.1	NP_001036462.1
OG0001519	XP_035737253.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_035743159.1	NP_001368953.1
OG0001522	XP_035739848.1	NP_001096867.3
OG0001524	XP_035730671.1, XP_035730669.1, XP_035730670.1	NP_001261067.1
OG0001525	XP_035728186.1, XP_035728182.1, XP_035728183.1, XP_035728184.1	NP_477026.1
OG0001526	XP_035728083.1	NP_001369078.1
OG0001527	XP_035728445.1, XP_035728444.1	NP_001259089.1
OG0001529	XP_035739478.1	NP_001162930.1
OG0001530	XP_035742074.1, XP_035742073.1	NP_611501.1
OG0001531	XP_035721679.1, XP_035721676.1, XP_035721680.1, XP_035721678.1	NP_651595.1
OG0001532	XP_035728061.1, XP_035728062.1	NP_001162665.1
OG0001533	XP_035743685.1	NP_728534.2
OG0001534	XP_035731294.1	NP_731923.2
OG0001535	XP_035726470.1	NP_001261999.1
OG0001536	XP_035730724.1, XP_035730723.1	NP_648357.1
OG0001537	XP_035717336.1	NP_001245892.1, NP_001260974.1
OG0001539	XP_035736370.1, XP_035736369.1	NP_524017.1
OG0001540	XP_035742193.1	NP_610693.1, NP_610694.1
OG0001541	XP_035740966.1	NP_001261940.1
OG0001542	XP_035725107.1, XP_035725106.1, XP_035725108.1	NP_609207.1
OG0001543	XP_035734388.1	NP_650901.2
OG0001545	XP_035743288.1	NP_523451.2
OG0001546	XP_035724101.1	NP_001247104.1
OG0001548	XP_035733159.1	NP_001285388.1
OG0001550	XP_035735400.1, XP_035735403.1	NP_647968.3
OG0001552	XP_035720372.1	NP_477317.1
OG0001553	XP_035720814.1	NP_651623.1
OG0001554	XP_035721118.1	NP_001261344.1
OG0001555	XP_035719215.1, XP_035719214.1, XP_035719213.1	NP_001246451.1
OG0001556	XP_035730674.1	NP_726771.1
OG0001557	XP_035737148.1, XP_035737142.1	NP_001260951.1
OG0001558	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1	NP_001245722.1
OG0001559	XP_035735222.1, XP_035735223.1	NP_650472.2
OG0001560	XP_035733162.1, XP_035733154.1	NP_001246228.1
OG0001561	XP_035729434.1, XP_035729435.1	NP_001260963.1
OG0001562	XP_035727763.1, XP_035727765.1	NP_001137943.2
OG0001563	XP_035738177.1, XP_035738176.1	NP_001246300.1
OG0001565	XP_035740221.1	NP_001286976.1
OG0001567	XP_035733419.1, XP_035733417.1	NP_001137746.1
OG0001568	XP_035719663.1	NP_001263152.1
OG0001569	XP_035735846.1	NP_477320.1
OG0001570	XP_035736968.1	NP_648176.1
OG0001571	XP_035720700.1	NP_610075.2
OG0001575	XP_035740609.1, XP_035740610.1	NP_524337.1
