Orthogroup	Vespa_mandarinia	Osmia_lignaria
OG0001111	XP_035729758.1	XP_034172906.1
OG0001112	XP_035730698.1, XP_035730700.1	XP_034182139.1
OG0001113	XP_035737179.1	XP_034177084.1, XP_034177085.1, XP_034177086.1
OG0001114	XP_035721968.1	XP_034185828.1
OG0001115	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1	XP_034185352.1
OG0001117	XP_035719019.1	XP_034183606.1, XP_034183605.1, XP_034183604.1, XP_034183602.1
OG0001118	XP_035726408.1, XP_035726409.1	XP_034188923.1, XP_034188924.1
OG0001119	XP_035717623.1, XP_035717612.1	XP_034176009.1, XP_034176006.1, XP_034176007.1, XP_034176008.1
OG0001120	XP_035741137.1	XP_034175203.1
OG0001121	XP_035730111.1	XP_034173241.1
OG0001122	XP_035725779.1	XP_034188975.1
OG0001123	XP_035736049.1	XP_034179080.1
OG0001124	XP_035718191.1	XP_034189565.1, XP_034189566.1
OG0001125	XP_035719604.1, XP_035719593.1, XP_035719583.1	XP_034190130.1
OG0001126	XP_035724958.1	XP_034192402.1
OG0001128	XP_035738056.1	XP_034181255.1
OG0001129	XP_035724905.1, XP_035724906.1, XP_035724908.1	XP_034195384.1
OG0001130	XP_035736404.1	XP_034178604.1, XP_034178603.1, XP_034178602.1, XP_034178601.1
OG0001131	XP_035729170.1	XP_034180587.1
OG0001132	XP_035728741.1, XP_035728742.1, XP_035728743.1	XP_034187455.1, XP_034187457.1, XP_034187456.1, XP_034187459.1, XP_034187458.1, XP_034187454.1
OG0001133	XP_035725198.1, XP_035725197.1	XP_034181239.1
OG0001134	XP_035732142.1, XP_035732141.1, XP_035732137.1	XP_034178023.1
OG0001135	XP_035738680.1	XP_034172088.1
OG0001136	XP_035738165.1, XP_035738175.1, XP_035738139.1, XP_035738129.1, XP_035738184.1, XP_035738146.1, XP_035738153.1, XP_035738200.1, XP_035738190.1	XP_034180274.1, XP_034180276.1, XP_034180277.1, XP_034180275.1
OG0001137	XP_035721153.1	XP_034188644.1
OG0001138	XP_035718404.1, XP_035718403.1, XP_035718405.1	XP_034174988.1
OG0001139	XP_035743683.1	XP_034179896.1
OG0001140	XP_035723718.1, XP_035723719.1, XP_035723150.1	XP_034187615.1, XP_034187617.1, XP_034187616.1, XP_034187618.1
OG0001142	XP_035739334.1, XP_035739333.1, XP_035739332.1	XP_034186751.1
OG0001143	XP_035722580.1, XP_035722579.1	XP_034186083.1, XP_034186084.1
OG0001144	XP_035728244.1	XP_034178875.1
OG0001145	XP_035732592.1, XP_035732591.1, XP_035732594.1	XP_034183918.1
OG0001146	XP_035719270.1	XP_034177091.1
OG0001146	XP_035719086.1	XP_034193007.1
OG0001147	XP_035729583.1	XP_034181639.1, XP_034181638.1, XP_034181637.1, XP_034181636.1, XP_034181634.1, XP_034181635.1
OG0001148	XP_035732530.1, XP_035732531.1, XP_035732529.1	XP_034176415.1
OG0001149	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1	XP_034193355.1, XP_034193359.1, XP_034193357.1, XP_034193358.1, XP_034193360.1, XP_034193364.1, XP_034193363.1, XP_034193361.1, XP_034193362.1
OG0001150	XP_035720889.1, XP_035720888.1, XP_035720887.1	XP_034174258.1, XP_034174256.1, XP_034174259.1
OG0001151	XP_035739335.1	XP_034175216.1
OG0001152	XP_035738354.1	XP_034185850.1
OG0001153	XP_035729654.1	XP_034174560.1
OG0001153	XP_035729655.1	XP_034174564.1
OG0001154	XP_035743121.1, XP_035743113.1	XP_034193938.1
OG0001155	XP_035726229.1	XP_034188751.1, XP_034188750.1, XP_034188749.1
OG0001156	XP_035718475.1	XP_034183424.1, XP_034183423.1
OG0001157	XP_035717435.1	XP_034172285.1
OG0001158	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1	XP_034195518.1, XP_034195533.1, XP_034195526.1
OG0001159	XP_035723877.1	XP_034176206.1, XP_034176207.1
OG0001160	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1	XP_034174113.1, XP_034174109.1, XP_034174110.1, XP_034174111.1, XP_034174112.1
OG0001161	XP_035717196.1, XP_035722667.1	XP_034191779.1
OG0001162	XP_035730787.1	XP_034176842.1, XP_034176850.1
OG0001163	XP_035717486.1, XP_035717485.1, XP_035717484.1	XP_034171296.1
OG0001164	XP_035737579.1, XP_035737578.1	XP_034194903.1, XP_034194888.1
OG0001165	XP_035717866.1	XP_034183564.1, XP_034183563.1
OG0001166	XP_035735494.1	XP_034188785.1, XP_034188784.1
OG0001167	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1	XP_034195581.1
OG0001168	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1	XP_034184018.1, XP_034184017.1
OG0001169	XP_035720934.1	XP_034180023.1
OG0001170	XP_035729413.1	XP_034176948.1
OG0001171	XP_035729576.1, XP_035729572.1	XP_034181621.1, XP_034181619.1
OG0001172	XP_035719625.1, XP_035719632.1	XP_034176822.1, XP_034176827.1
OG0001173	XP_035736818.1	XP_034172429.1
OG0001174	XP_035723706.1	XP_034183182.1
OG0001175	XP_035721083.1	XP_034196369.1
OG0001176	XP_035720195.1, XP_035720196.1, XP_035720191.1	XP_034170973.1
OG0001179	XP_035733749.1	XP_034183642.1
OG0001180	XP_035733356.1, XP_035733411.1	XP_034181925.1, XP_034181930.1
OG0001181	XP_035742099.1	XP_034196230.1, XP_034196231.1
OG0001182	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1	XP_034174871.1, XP_034174877.1
OG0001183	XP_035734638.1, XP_035734647.1	XP_034188546.1, XP_034188540.1
OG0001185	XP_035735384.1	XP_034186925.1, XP_034186928.1
OG0001186	XP_035740406.1, XP_035740405.1	XP_034185239.1, XP_034185238.1, XP_034185237.1, XP_034185235.1, XP_034185240.1
OG0001187	XP_035723203.1	XP_034184862.1
OG0001188	XP_035724460.1	XP_034173804.1, XP_034174687.1
OG0001189	XP_035726769.1, XP_035726770.1	XP_034180630.1
OG0001190	XP_035742460.1, XP_035742461.1, XP_035742464.1, XP_035742463.1	XP_034188565.1, XP_034188563.1
OG0001193	XP_035742520.1	XP_034173693.1
OG0001195	XP_035742307.1	XP_034189890.1, XP_034189889.1, XP_034189891.1
OG0001197	XP_035729063.1	XP_034172980.1, XP_034172979.1
OG0001197	XP_035729061.1	XP_034172981.1
OG0001198	XP_035727541.1	XP_034183506.1, XP_034183505.1, XP_034183503.1, XP_034183504.1
OG0001201	XP_035720695.1	XP_034186935.1
OG0001202	XP_035737501.1, XP_035737654.1	XP_034176718.1
OG0001204	XP_035736751.1	XP_034189459.1
OG0001205	XP_035735201.1	XP_034193901.1
OG0001205	XP_035728105.1	XP_034184389.1
OG0001206	XP_035721058.1, XP_035721056.1	XP_034190768.1, XP_034190762.1
OG0001207	XP_035726296.1, XP_035726297.1, XP_035726293.1, XP_035726292.1, XP_035726291.1, XP_035726294.1, XP_035726295.1	XP_034183242.1, XP_034183241.1
OG0001208	XP_035717137.1, XP_035717138.1, XP_035717139.1, XP_035717134.1, XP_035717135.1, XP_035717136.1	XP_034176726.1
OG0001209	XP_035717107.1, XP_035743441.1, XP_035718003.1, XP_035718868.1	XP_034195486.1, XP_034195487.1
OG0001210	XP_035740654.1	XP_034188037.1, XP_034187881.1
OG0001211	XP_035729324.1	XP_034191383.1
OG0001212	XP_035720173.1, XP_035720172.1, XP_035720171.1, XP_035720177.1, XP_035720176.1, XP_035720175.1	XP_034173656.1, XP_034173657.1, XP_034173654.1, XP_034173655.1, XP_034173658.1, XP_034173653.1
OG0001213	XP_035739580.1	XP_034194935.1, XP_034194849.1, XP_034194964.1, XP_034194934.1, XP_034195061.1
OG0001214	XP_035734780.1	XP_034192231.1
OG0001215	XP_035724049.1, XP_035724048.1	XP_034180167.1
OG0001216	XP_035738838.1, XP_035738833.1	XP_034175165.1
OG0001217	XP_035721739.1	XP_034191212.1
OG0001218	XP_035726474.1, XP_035726511.1	XP_034195620.1, XP_034195619.1
OG0001219	XP_035731471.1, XP_035731469.1	XP_034191000.1
OG0001220	XP_035729813.1	XP_034191390.1, XP_034191391.1, XP_034191388.1, XP_034191389.1
OG0001221	XP_035719054.1, XP_035719063.1, XP_035719072.1	XP_034187966.1
OG0001222	XP_035729641.1	XP_034193972.1, XP_034193974.1
OG0001223	XP_035719573.1	XP_034183725.1, XP_034183724.1
OG0001224	XP_035731261.1, XP_035731263.1	XP_034191325.1, XP_034191326.1
OG0001225	XP_035723474.1	XP_034185182.1, XP_034185183.1, XP_034185184.1, XP_034185186.1
OG0001226	XP_035733702.1	XP_034180809.1
OG0001228	XP_035739581.1	XP_034179195.1
OG0001229	XP_035729505.1, XP_035742768.1, XP_035739248.1	XP_034175638.1
OG0001230	XP_035719854.1	XP_034176994.1
OG0001231	XP_035727566.1	XP_034178706.1
OG0001232	XP_035719153.1, XP_035719155.1, XP_035719154.1, XP_035719156.1	XP_034177425.1
OG0001233	XP_035728274.1	XP_034195005.1
OG0001234	XP_035724023.1, XP_035724016.1, XP_035724007.1, XP_035724035.1, XP_035724032.1	XP_034178317.1
OG0001236	XP_035724404.1	XP_034177780.1, XP_034177781.1
OG0001237	XP_035722087.1, XP_035722090.1, XP_035722088.1, XP_035722089.1, XP_035722084.1, XP_035722086.1	XP_034175664.1
OG0001238	XP_035728512.1, XP_035728521.1	XP_034184948.1
OG0001239	XP_035740535.1, XP_035740534.1, XP_035740533.1	XP_034176391.1, XP_034176392.1
OG0001240	XP_035725027.1	XP_034175167.1
OG0001241	XP_035723547.1	XP_034176190.1, XP_034176194.1
OG0001242	XP_035726177.1, XP_035726176.1, XP_035726178.1	XP_034178872.1, XP_034178846.1
OG0001243	XP_035718370.1, XP_035718371.1, XP_035718372.1	XP_034175728.1
OG0001244	XP_035738850.1	XP_034193118.1, XP_034193119.1, XP_034193117.1
OG0001245	XP_035737673.1, XP_035737672.1, XP_035737671.1, XP_035737674.1, XP_035737675.1	XP_034195874.1
OG0001246	XP_035737565.1, XP_035737563.1, XP_035737561.1, XP_035737564.1, XP_035737562.1	XP_034188155.1
OG0001247	XP_035725765.1	XP_034189745.1, XP_034189744.1
OG0001248	XP_035735325.1	XP_034191744.1, XP_034191743.1, XP_034191742.1
OG0001249	XP_035735407.1, XP_035735406.1, XP_035735405.1	XP_034179871.1
OG0001250	XP_035743373.1, XP_035743374.1, XP_035743370.1, XP_035743372.1	XP_034184971.1
OG0001252	XP_035728678.1	XP_034193498.1
OG0001253	XP_035735474.1	XP_034175880.1
OG0001254	XP_035739927.1	XP_034182229.1
OG0001257	XP_035728567.1, XP_035728568.1, XP_035728570.1, XP_035728569.1	XP_034173799.1
OG0001258	XP_035725337.1	XP_034174253.1
OG0001258	XP_035725333.1	XP_034174249.1
OG0001259	XP_035724070.1	XP_034176645.1
OG0001260	XP_035727987.1	XP_034179841.1
OG0001260	XP_035727983.1	XP_034179842.1
OG0001261	XP_035728087.1	XP_034184351.1
OG0001262	XP_035724983.1, XP_035724982.1	XP_034176208.1
OG0001263	XP_035731867.1, XP_035731862.1, XP_035731863.1, XP_035731864.1, XP_035731866.1	XP_034184311.1
OG0001264	XP_035729267.1, XP_035729266.1, XP_035729268.1	XP_034184003.1
OG0001265	XP_035743256.1	XP_034171032.1, XP_034171031.1
OG0001267	XP_035718937.1	XP_034184817.1
OG0001268	XP_035725305.1, XP_035725304.1	XP_034194058.1
OG0001269	XP_035730718.1, XP_035730720.1	XP_034170855.1, XP_034170890.1
OG0001270	XP_035732803.1, XP_035732802.1, XP_035732801.1, XP_035732800.1	XP_034189953.1
OG0001271	XP_035732504.1	XP_034191685.1
OG0001272	XP_035724189.1	XP_034181526.1
OG0001273	XP_035719773.1, XP_035719772.1, XP_035719770.1	XP_034176964.1, XP_034176963.1
OG0001274	XP_035720662.1, XP_035720661.1	XP_034176746.1, XP_034176745.1, XP_034176747.1
OG0001277	XP_035739371.1, XP_035739372.1, XP_035739369.1, XP_035739370.1, XP_035739367.1, XP_035739368.1, XP_035739365.1, XP_035739366.1, XP_035739364.1, XP_035739373.1	XP_034194473.1
OG0001278	XP_035718527.1, XP_035718526.1, XP_035718525.1, XP_035718528.1	XP_034193961.1, XP_034193960.1
OG0001280	XP_035744237.1, XP_035744236.1, XP_035744235.1	XP_034178827.1
OG0001281	XP_035737905.1	XP_034186832.1, XP_034186841.1
OG0001282	XP_035720417.1, XP_035720418.1, XP_035720420.1, XP_035720419.1, XP_035720421.1	XP_034185916.1, XP_034185917.1, XP_034185914.1, XP_034185915.1
OG0001283	XP_035739286.1, XP_035739285.1, XP_035739284.1	XP_034181744.1, XP_034181837.1
OG0001284	XP_035734609.1, XP_035734611.1	XP_034182364.1, XP_034182370.1
OG0001286	XP_035743126.1	XP_034180255.1
OG0001287	XP_035729932.1, XP_035729930.1, XP_035729935.1, XP_035729939.1	XP_034172493.1
OG0001288	XP_035744139.1	XP_034180431.1, XP_034180430.1, XP_034180429.1
OG0001289	XP_035718903.1, XP_035718904.1, XP_035718901.1, XP_035718899.1, XP_035718900.1, XP_035718898.1	XP_034181900.1
OG0001290	XP_035732080.1	XP_034178847.1, XP_034178848.1, XP_034178845.1
OG0001291	XP_035739775.1, XP_035739774.1, XP_035739777.1, XP_035739776.1, XP_035739773.1, XP_035739781.1, XP_035739779.1, XP_035739778.1	XP_034186514.1
OG0001292	XP_035740631.1, XP_035740630.1, XP_035740629.1, XP_035740628.1	XP_034180332.1
OG0001293	XP_035719793.1	XP_034189845.1
OG0001294	XP_035736216.1	XP_034179747.1, XP_034179749.1, XP_034179750.1
OG0001295	XP_035732764.1	XP_034173343.1
OG0001296	XP_035719460.1	XP_034187062.1
OG0001298	XP_035732584.1, XP_035732585.1, XP_035732582.1, XP_035732583.1	XP_034183917.1
OG0001299	XP_035727772.1	XP_034195475.1
OG0001300	XP_035719088.1, XP_035719087.1	XP_034183262.1
OG0001301	XP_035721452.1, XP_035721453.1, XP_035721454.1, XP_035721456.1, XP_035721455.1, XP_035721457.1	XP_034171853.1
OG0001303	XP_035737788.1, XP_035737782.1	XP_034171879.1
OG0001304	XP_035731088.1, XP_035731087.1	XP_034193633.1, XP_034193632.1
OG0001305	XP_035741182.1	XP_034182781.1
OG0001306	XP_035725748.1	XP_034189742.1, XP_034189740.1
OG0001307	XP_035739052.1, XP_035739051.1, XP_035739043.1	XP_034177683.1
OG0001308	XP_035719094.1, XP_035719093.1, XP_035719092.1, XP_035719091.1, XP_035719096.1	XP_034186825.1
OG0001310	XP_035743105.1	XP_034192862.1
OG0001312	XP_035725122.1	XP_034185694.1, XP_034185693.1, XP_034185695.1, XP_034185696.1, XP_034185692.1
OG0001313	XP_035742168.1	XP_034183543.1
OG0001314	XP_035725375.1	XP_034191270.1, XP_034191265.1
OG0001315	XP_035728566.1	XP_034179981.1
OG0001316	XP_035743974.1	XP_034172834.1, XP_034172832.1, XP_034172833.1
OG0001317	XP_035735882.1	XP_034173980.1
OG0001318	XP_035742971.1	XP_034184023.1, XP_034184024.1
OG0001319	XP_035723870.1	XP_034195309.1, XP_034195314.1, XP_034195304.1, XP_034195317.1
OG0001320	XP_035726547.1, XP_035726469.1, XP_035726632.1	XP_034191089.1
OG0001321	XP_035722318.1, XP_035722316.1	XP_034190530.1
OG0001322	XP_035724644.1	XP_034177182.1, XP_034177181.1
OG0001323	XP_035742444.1	XP_034185211.1
OG0001324	XP_035742674.1, XP_035736364.1, XP_035736360.1, XP_035739239.1, XP_035738050.1, XP_035723738.1, XP_035742284.1, XP_035742473.1, XP_035742249.1, XP_035725540.1, XP_035742785.1, XP_035731253.1, XP_035737494.1, XP_035742477.1, XP_035740332.1, XP_035742646.1, XP_035739237.1, XP_035742248.1, XP_035739227.1, XP_035724081.1, XP_035741852.1, XP_035742777.1, XP_035737497.1, XP_035742673.1, XP_035737496.1	XP_034194958.1
OG0001328	XP_035731698.1, XP_035731696.1, XP_035731697.1, XP_035731700.1, XP_035731701.1, XP_035731699.1	XP_034189487.1
OG0001329	XP_035721000.1, XP_035720999.1	XP_034181173.1
OG0001330	XP_035731423.1	XP_034187420.1
OG0001331	XP_035742340.1	XP_034184785.1, XP_034194104.1, XP_034194105.1
OG0001332	XP_035741316.1	XP_034190845.1
OG0001333	XP_035728809.1, XP_035728808.1	XP_034172655.1, XP_034172647.1
OG0001334	XP_035744111.1	XP_034178816.1
OG0001335	XP_035728155.1	XP_034183702.1
OG0001337	XP_035729631.1	XP_034175610.1, XP_034175608.1, XP_034175609.1, XP_034175607.1, XP_034175606.1
OG0001338	XP_035736800.1	XP_034174959.1
OG0001339	XP_035717770.1, XP_035717329.1, XP_035717330.1, XP_035717331.1	XP_034182822.1
OG0001340	XP_035733304.1	XP_034187730.1
OG0001341	XP_035719766.1, XP_035719768.1, XP_035719767.1	XP_034183403.1
OG0001342	XP_035730554.1	XP_034171540.1
OG0001343	XP_035735794.1	XP_034192116.1
OG0001343	XP_035735796.1	XP_034191468.1
OG0001344	XP_035743053.1	XP_034184437.1
OG0001345	XP_035724254.1	XP_034192767.1
OG0001346	XP_035743533.1	XP_034188753.1, XP_034188757.1
OG0001347	XP_035721417.1	XP_034188460.1, XP_034188458.1, XP_034188459.1
OG0001348	XP_035739297.1, XP_035739295.1, XP_035739294.1, XP_035739292.1, XP_035739291.1, XP_035739293.1, XP_035739289.1, XP_035739296.1	XP_034190246.1, XP_034190247.1
OG0001349	XP_035737275.1	XP_034193848.1
OG0001350	XP_035728041.1	XP_034178870.1
OG0001351	XP_035736225.1	XP_034179763.1, XP_034179762.1
OG0001352	XP_035726719.1	XP_034183228.1, XP_034183229.1
OG0001353	XP_035733802.1, XP_035733803.1, XP_035733801.1	XP_034187833.1
OG0001354	XP_035719802.1	XP_034177470.1, XP_034177472.1, XP_034177467.1, XP_034177468.1, XP_034177471.1
OG0001355	XP_035742236.1, XP_035742247.1	XP_034177943.1, XP_034177936.1
OG0001356	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1	XP_034191655.1
OG0001357	XP_035725865.1	XP_034179148.1
OG0001358	XP_035729894.1, XP_035729906.1, XP_035729897.1, XP_035729889.1	XP_034193857.1, XP_034193859.1
OG0001359	XP_035724375.1	XP_034186799.1
OG0001360	XP_035739277.1, XP_035739279.1, XP_035739278.1	XP_034180534.1
OG0001362	XP_035719686.1	XP_034176998.1, XP_034176999.1
OG0001363	XP_035734648.1	XP_034195749.1
OG0001364	XP_035732915.1, XP_035732913.1, XP_035732914.1	XP_034187398.1
OG0001365	XP_035743429.1	XP_034175952.1, XP_034175953.1
OG0001368	XP_035717255.1	XP_034184059.1, XP_034184060.1, XP_034184061.1
OG0001369	XP_035733443.1	XP_034175588.1
OG0001370	XP_035721187.1	XP_034193190.1, XP_034193188.1
OG0001371	XP_035738382.1	XP_034196311.1
OG0001373	XP_035723967.1, XP_035723978.1	XP_034176481.1, XP_034176482.1, XP_034176479.1, XP_034176480.1
OG0001374	XP_035723692.1, XP_035723693.1	XP_034191781.1
OG0001375	XP_035737885.1	XP_034187770.1
OG0001376	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1	XP_034191950.1
OG0001377	XP_035735132.1	XP_034192394.1, XP_034192393.1, XP_034192395.1, XP_034192396.1
OG0001378	XP_035725634.1	XP_034177076.1
OG0001379	XP_035737881.1, XP_035737880.1	XP_034178600.1
OG0001380	XP_035740772.1, XP_035740773.1, XP_035740774.1	XP_034182516.1
OG0001381	XP_035724080.1	XP_034196052.1, XP_034196051.1
OG0001382	XP_035730370.1	XP_034171029.1
OG0001383	XP_035724036.1	XP_034192238.1, XP_034192239.1
OG0001384	XP_035726968.1	XP_034175535.1, XP_034175533.1, XP_034175534.1
OG0001385	XP_035732208.1, XP_035732210.1, XP_035732206.1, XP_035732207.1, XP_035732205.1, XP_035732209.1	XP_034192956.1, XP_034192957.1
OG0001386	XP_035740449.1	XP_034177837.1, XP_034177838.1
OG0001387	XP_035732545.1	XP_034192913.1
OG0001388	XP_035734878.1	XP_034176109.1
OG0001390	XP_035742117.1	XP_034178304.1, XP_034178305.1
OG0001391	XP_035730076.1	XP_034183735.1, XP_034183733.1, XP_034183734.1
OG0001392	XP_035737019.1, XP_035737028.1	XP_034172425.1, XP_034172422.1
OG0001393	XP_035740933.1, XP_035740931.1	XP_034184917.1, XP_034184906.1, XP_034184926.1
OG0001394	XP_035736165.1	XP_034179067.1
OG0001394	XP_035721237.1	XP_034181001.1
OG0001395	XP_035719472.1	XP_034178066.1
OG0001396	XP_035725824.1, XP_035725825.1	XP_034172693.1, XP_034172692.1
OG0001397	XP_035744070.1	XP_034184057.1
OG0001398	XP_035742426.1	XP_034194363.1
OG0001399	XP_035717850.1	XP_034173358.1, XP_034173359.1
OG0001400	XP_035741628.1	XP_034195109.1
OG0001401	XP_035737949.1	XP_034193789.1, XP_034193786.1, XP_034193787.1, XP_034193790.1, XP_034193788.1
OG0001402	XP_035742995.1	XP_034186095.1
OG0001403	XP_035731217.1, XP_035731212.1	XP_034184198.1, XP_034184197.1
OG0001404	XP_035730874.1, XP_035730875.1, XP_035730873.1, XP_035730876.1	XP_034174940.1
OG0001405	XP_035729574.1	XP_034179115.1, XP_034179121.1, XP_034179117.1, XP_034179120.1, XP_034179119.1, XP_034179116.1, XP_034179122.1, XP_034179125.1, XP_034179124.1, XP_034179123.1, XP_034179114.1
OG0001406	XP_035731719.1	XP_034173721.1, XP_034173720.1, XP_034173719.1
OG0001407	XP_035733314.1	XP_034182134.1, XP_034182095.1
OG0001408	XP_035719033.1	XP_034193248.1, XP_034193252.1, XP_034193247.1, XP_034193246.1, XP_034193253.1, XP_034193254.1, XP_034193242.1, XP_034193251.1, XP_034193250.1, XP_034193240.1, XP_034193241.1, XP_034193245.1, XP_034193244.1, XP_034193239.1, XP_034193249.1
OG0001409	XP_035719541.1, XP_035719544.1	XP_034183709.1, XP_034183705.1, XP_034183712.1
OG0001410	XP_035732860.1	XP_034195090.1
OG0001412	XP_035742548.1	XP_034174059.1
OG0001413	XP_035740982.1	XP_034192455.1
OG0001414	XP_035724862.1, XP_035724860.1	XP_034193134.1, XP_034193143.1, XP_034193150.1, XP_034193124.1, XP_034193156.1
OG0001415	XP_035728554.1, XP_035728552.1	XP_034173569.1
OG0001416	XP_035736479.1	XP_034195684.1
OG0001417	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1	XP_034176053.1, XP_034176054.1
OG0001418	XP_035733747.1	XP_034181640.1
OG0001419	XP_035724786.1, XP_035724778.1	XP_034195621.1, XP_034195631.1
OG0001420	XP_035733386.1	XP_034171601.1, XP_034171602.1, XP_034171603.1
OG0001421	XP_035720527.1	XP_034195446.1, XP_034195447.1
OG0001422	XP_035743214.1	XP_034184246.1
OG0001423	XP_035722660.1	XP_034173544.1, XP_034173543.1, XP_034173541.1, XP_034173542.1
OG0001424	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1	XP_034176626.1
OG0001425	XP_035726568.1, XP_035726572.1	XP_034172250.1
OG0001426	XP_035732107.1	XP_034178010.1
OG0001427	XP_035725975.1	XP_034194215.1
OG0001428	XP_035734486.1	XP_034177324.1
OG0001429	XP_035728983.1	XP_034186333.1
OG0001430	XP_035729828.1	XP_034193880.1
OG0001432	XP_035723803.1	XP_034187182.1
OG0001433	XP_035738907.1	XP_034190285.1, XP_034190283.1, XP_034190281.1, XP_034190280.1, XP_034190284.1
OG0001434	XP_035726809.1, XP_035727180.1, XP_035726835.1, XP_035726805.1, XP_035726807.1, XP_035727336.1, XP_035726800.1, XP_035726801.1, XP_035726803.1, XP_035726828.1	XP_034196636.1
OG0001436	XP_035735687.1	XP_034192020.1, XP_034192021.1, XP_034192022.1
OG0001437	XP_035723764.1, XP_035723763.1	XP_034183216.1, XP_034183215.1, XP_034183214.1, XP_034183219.1, XP_034183218.1
OG0001438	XP_035741297.1	XP_034190820.1, XP_034190825.1
OG0001439	XP_035724865.1	XP_034193189.1, XP_034193169.1, XP_034193179.1
OG0001440	XP_035718674.1, XP_035718673.1	XP_034188593.1, XP_034188594.1, XP_034188591.1
OG0001441	XP_035719956.1	XP_034190303.1, XP_034190307.1
OG0001442	XP_035733993.1	XP_034176116.1
OG0001443	XP_035739105.1	XP_034188686.1, XP_034188687.1
OG0001445	XP_035724530.1, XP_035724531.1, XP_035724532.1	XP_034177897.1
OG0001446	XP_035722938.1	XP_034186058.1
OG0001448	XP_035719527.1, XP_035719526.1, XP_035719525.1, XP_035719524.1	XP_034187113.1, XP_034187115.1
OG0001449	XP_035734028.1, XP_035734027.1, XP_035734026.1	XP_034187309.1
OG0001450	XP_035728036.1, XP_035728035.1, XP_035728034.1, XP_035728037.1	XP_034178867.1, XP_034178866.1, XP_034178865.1
OG0001451	XP_035743610.1	XP_034175962.1
OG0001453	XP_035723822.1	XP_034180206.1
OG0001455	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1	XP_034185177.1
OG0001456	XP_035728539.1	XP_034172056.1
OG0001457	XP_035744061.1	XP_034184077.1, XP_034184078.1, XP_034184079.1
OG0001458	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1	XP_034191558.1
OG0001459	XP_035743512.1	XP_034175342.1
OG0001460	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1	XP_034170884.1
OG0001461	XP_035732071.1, XP_035732072.1	XP_034192616.1, XP_034192617.1
OG0001462	XP_035732320.1	XP_034196153.1
OG0001462	XP_035732321.1	XP_034196154.1
OG0001463	XP_035722487.1	XP_034190681.1
OG0001464	XP_035734328.1, XP_035734326.1	XP_034196022.1
OG0001465	XP_035728604.1	XP_034171010.1
OG0001466	XP_035743143.1	XP_034191925.1, XP_034196338.1
OG0001467	XP_035743437.1	XP_034175936.1, XP_034179294.1, XP_034176791.1, XP_034177633.1, XP_034178483.1
OG0001468	XP_035726768.1	XP_034189050.1, XP_034188926.1
OG0001469	XP_035740153.1	XP_034176302.1
OG0001470	XP_035732679.1	XP_034183067.1
OG0001471	XP_035741273.1	XP_034182426.1
OG0001473	XP_035734940.1	XP_034189107.1, XP_034189106.1, XP_034189108.1, XP_034189110.1, XP_034189109.1
OG0001474	XP_035739077.1	XP_034189816.1
OG0001475	XP_035717856.1	XP_034173362.1, XP_034173363.1
OG0001476	XP_035731880.1	XP_034183134.1
OG0001477	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1	XP_034189643.1
OG0001478	XP_035743449.1	XP_034175202.1, XP_034175211.1
OG0001479	XP_035732480.1	XP_034175520.1
OG0001480	XP_035743666.1, XP_035743665.1	XP_034173889.1
OG0001481	XP_035720959.1	XP_034185440.1
OG0001482	XP_035728409.1	XP_034186998.1
OG0001483	XP_035724368.1	XP_034187252.1
OG0001485	XP_035728266.1	XP_034186519.1
OG0001486	XP_035737270.1	XP_034176682.1, XP_034176680.1
OG0001487	XP_035730037.1	XP_034183431.1
OG0001488	XP_035738110.1	XP_034195946.1
OG0001489	XP_035726010.1	XP_034179074.1
OG0001490	XP_035724088.1	XP_034176960.1
OG0001491	XP_035727119.1	XP_034191694.1
OG0001492	XP_035739387.1	XP_034186910.1
OG0001493	XP_035738712.1, XP_035738727.1, XP_035738733.1	XP_034185995.1
OG0001494	XP_035731260.1, XP_035731259.1, XP_035731258.1	XP_034191318.1
OG0001495	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1	XP_034174793.1
OG0001496	XP_035733812.1	XP_034192377.1
OG0001497	XP_035729500.1	XP_034193387.1, XP_034193385.1, XP_034193386.1
