Orthogroup	Vespa_mandarinia	Aedes_aegypti
OG0001349	XP_035737275.1	XP_001654544.1
OG0001350	XP_035728041.1	XP_001655317.2
OG0001351	XP_035736225.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_035726719.1	XP_021705226.1
OG0001353	XP_035733802.1, XP_035733803.1, XP_035733801.1	XP_001656906.2
OG0001354	XP_035719802.1	XP_001663103.2
OG0001355	XP_035742236.1, XP_035742247.1	XP_021710337.1
OG0001356	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1	XP_021696915.1
OG0001357	XP_035725865.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_035724375.1	XP_001655316.1
OG0001361	XP_035731418.1	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	XP_035719686.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	XP_035734648.1	XP_001659788.1
OG0001364	XP_035732915.1, XP_035732913.1, XP_035732914.1	XP_021704232.1
OG0001365	XP_035743429.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001366	XP_035728562.1	XP_001659892.2
OG0001368	XP_035717255.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_035733443.1	XP_001661015.2
OG0001370	XP_035721187.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_035738382.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001373	XP_035723967.1, XP_035723978.1	XP_021694453.1
OG0001374	XP_035723692.1, XP_035723693.1	XP_001657485.1
OG0001375	XP_035737885.1, XP_035737859.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1	XP_021704527.1
OG0001377	XP_035735132.1	XP_001664237.1
OG0001378	XP_035725634.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_035737881.1, XP_035737880.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_035740772.1, XP_035740773.1, XP_035740774.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_035724080.1	XP_001648807.1
OG0001382	XP_035730370.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_035724036.1	XP_001662373.2
OG0001384	XP_035726968.1	XP_001660023.2
OG0001385	XP_035732208.1, XP_035732210.1, XP_035732206.1, XP_035732207.1, XP_035732205.1, XP_035732209.1	XP_021698595.1
OG0001386	XP_035740449.1	XP_021698247.1
OG0001387	XP_035732545.1	XP_001656936.1
OG0001388	XP_035734878.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_035733912.1, XP_035733919.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_035742117.1	XP_021700843.1
OG0001391	XP_035730076.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_035737019.1, XP_035737028.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	XP_035740933.1, XP_035740931.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_035721237.1	XP_001650424.1
OG0001395	XP_035719472.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_035725824.1, XP_035725825.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_035744070.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_035742426.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_035717850.1	XP_001651707.1
OG0001400	XP_035741628.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_035737949.1	XP_001660577.1
OG0001402	XP_035742995.1	XP_001664062.1
OG0001403	XP_035731217.1, XP_035731212.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_035730874.1, XP_035730875.1, XP_035730873.1, XP_035730876.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_035729574.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_035731719.1	XP_021712670.1
OG0001407	XP_035733314.1	XP_021704231.1, XP_021704230.1
OG0001408	XP_035719033.1	XP_021713401.1
OG0001409	XP_035719541.1, XP_035719544.1	XP_021711099.1
OG0001410	XP_035732860.1	XP_021708563.1
OG0001413	XP_035740982.1	XP_021694446.1
OG0001414	XP_035724862.1, XP_035724860.1	XP_021702146.1
OG0001415	XP_035728554.1, XP_035728552.1	XP_021699093.1
OG0001416	XP_035736479.1	XP_021712252.1, XP_021700673.1
OG0001417	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1	XP_021695666.1
OG0001418	XP_035733747.1	XP_021702027.1
OG0001419	XP_035724786.1, XP_035724778.1	XP_021703807.1
OG0001420	XP_035733386.1	XP_001655783.1, XP_001652599.2
OG0001421	XP_035720527.1	XP_001657115.1
OG0001422	XP_035743214.1	XP_001650075.2
OG0001423	XP_035722660.1	XP_001659271.2
OG0001424	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1	XP_001648513.1
OG0001425	XP_035726568.1, XP_035726572.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_035732107.1	XP_021701495.1
OG0001427	XP_035725975.1	XP_001660203.1
OG0001428	XP_035734486.1	XP_001647790.2
OG0001429	XP_035728983.1	XP_001650121.1
OG0001430	XP_035729828.1	XP_001654175.2, XP_021708114.1
OG0001432	XP_035723803.1	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2
OG0001433	XP_035738907.1	XP_001662331.2
OG0001434	XP_035726809.1, XP_035727180.1, XP_035726835.1, XP_035726805.1, XP_035726807.1, XP_035727336.1, XP_035726800.1, XP_035726801.1, XP_035726803.1, XP_035726828.1	XP_001663415.1
OG0001436	XP_035735687.1	XP_021697897.1
OG0001437	XP_035723764.1, XP_035723763.1	XP_021700178.1
OG0001438	XP_035741297.1	XP_021708714.1, XP_021704285.1
OG0001439	XP_035724865.1	XP_021705419.1, XP_021711772.1
OG0001440	XP_035718674.1, XP_035718673.1	XP_021706240.1
OG0001441	XP_035719956.1	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1
OG0001442	XP_035733993.1	XP_021706881.1
OG0001443	XP_035739105.1	XP_021706948.1, XP_021711425.1
OG0001444	XP_035720647.1, XP_035720649.1, XP_035720648.1	XP_021708725.1
OG0001445	XP_035724530.1, XP_035724531.1, XP_035724532.1	XP_021712815.1
OG0001446	XP_035722938.1	XP_021713062.1, XP_021713058.1
OG0001453	XP_035723822.1	XP_001652827.1, XP_001652828.1, XP_001652829.1
OG0001455	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1	XP_001659135.1, XP_001649843.1
OG0001456	XP_035728539.1	XP_021706989.1
OG0001457	XP_035744061.1	XP_001656531.1
OG0001458	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1	XP_021709031.1
OG0001459	XP_035743512.1	XP_001658793.2
OG0001460	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1	XP_001663584.2
OG0001461	XP_035732071.1, XP_035732072.1	XP_001649395.2
OG0001462	XP_035732320.1, XP_035732321.1	XP_021710250.1, XP_021710252.1
OG0001463	XP_035722487.1	XP_021706165.1, XP_021706164.1
OG0001464	XP_035734328.1, XP_035734326.1	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1
OG0001465	XP_035728604.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	XP_035743143.1	XP_001652327.1
OG0001467	XP_035743437.1	XP_001649724.2
OG0001468	XP_035725733.1, XP_035726768.1	XP_001648269.1
OG0001469	XP_035740153.1	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	XP_035732679.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	XP_035741273.1	XP_001657926.1
OG0001472	XP_035737419.1	XP_001656628.1
OG0001473	XP_035734940.1	XP_021699212.1
OG0001474	XP_035739077.1	XP_001662447.1
OG0001475	XP_035717856.1	XP_001664045.2
OG0001476	XP_035731880.1	XP_021705887.1
OG0001477	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1	XP_001654194.2
OG0001478	XP_035743449.1	XP_021711922.1, XP_021699182.1
OG0001479	XP_035732480.1	XP_001655863.1
OG0001480	XP_035743666.1, XP_035743665.1	XP_021708351.1
OG0001481	XP_035720959.1	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1
OG0001482	XP_035728409.1	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2
OG0001483	XP_035724368.1	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1
OG0001485	XP_035730779.1	XP_001657384.1, XP_021712680.1
OG0001485	XP_035728266.1	XP_021700466.1
OG0001486	XP_035737270.1	XP_001648831.2, XP_021701667.1, XP_001659833.2
OG0001487	XP_035730037.1	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1
OG0001488	XP_035738120.1, XP_035738110.1	XP_021710667.1
OG0001489	XP_035726010.1	XP_021696755.1, XP_021696757.1, XP_021696756.1, XP_021696759.1, XP_021696758.1, XP_021696752.1, XP_021696753.1, XP_021696750.1, XP_021696751.1, XP_021696749.1, XP_021696754.1
OG0001490	XP_035724088.1	XP_021701945.1, XP_021701935.1
OG0001492	XP_035739387.1	XP_001662155.1, XP_001654105.1, XP_021713033.1
OG0001493	XP_035738712.1, XP_035738727.1, XP_035738733.1	XP_021698974.1
OG0001494	XP_035731260.1, XP_035731259.1, XP_035731258.1	XP_021697267.1, XP_021697268.1, XP_021697269.1
OG0001495	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1	XP_021707805.1
OG0001496	XP_035733812.1	XP_021695727.1, XP_011493651.1, XP_001655836.1
OG0001497	XP_035729500.1	XP_021707615.1
OG0001498	XP_035719605.1	XP_021697831.1
OG0001499	XP_035735460.1, XP_035726067.1	XP_001651889.2
OG0001500	XP_035729281.1, XP_035729277.1	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1
OG0001501	XP_035736059.1, XP_035736056.1	XP_021712753.1, XP_021699608.1
OG0001502	XP_035736178.1	XP_021699619.1
OG0001503	XP_035731138.1	XP_021702842.1, XP_021702843.1, XP_021702844.1
OG0001504	XP_035724977.1, XP_035724976.1	XP_001658122.1, XP_021698045.1, XP_021698047.1, XP_021698046.1, XP_021698048.1
OG0001505	XP_035740281.1	XP_001660600.2, XP_021704345.1
OG0001506	XP_035724115.1, XP_035724116.1	XP_021702222.1, XP_021702224.1, XP_021702223.1, XP_001663031.1
OG0001507	XP_035722516.1, XP_035722512.1	XP_021713312.1
OG0001508	XP_035735828.1, XP_035735819.1	XP_001658818.2
OG0001509	XP_035725114.1	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1
OG0001510	XP_035736193.1, XP_035738093.1	XP_021707687.1
OG0001511	XP_035727478.1	XP_001654598.1, XP_021697822.1
OG0001512	XP_035743937.1	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1
OG0001513	XP_035740488.1	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1
OG0001514	XP_035720547.1	XP_001655385.1, XP_021705456.1
OG0001515	XP_035743549.1	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1
OG0001516	XP_035724326.1, XP_035724325.1	XP_001657534.2
OG0001517	XP_035741612.1	XP_021712247.1
OG0001518	XP_035724751.1, XP_035724750.1	XP_021702663.1
OG0001519	XP_035737253.1	XP_021695723.1, XP_021695724.1
OG0001520	XP_035743161.1, XP_035743159.1	XP_001659529.1
OG0001522	XP_035739848.1	XP_021710700.1
OG0001523	XP_035728167.1	XP_021693518.1
OG0001524	XP_035730671.1, XP_035730669.1, XP_035730670.1	XP_021693893.1, XP_021693937.1
OG0001525	XP_035728186.1, XP_035728182.1, XP_035728183.1, XP_035728184.1	XP_021706611.1, XP_021706609.1, XP_021706610.1
OG0001526	XP_035728083.1	XP_021699965.1, XP_021699966.1, XP_021699961.1
OG0001527	XP_035728445.1, XP_035728444.1	XP_021705511.1, XP_001659060.1
OG0001529	XP_035739478.1	XP_001653365.2, XP_001653366.2
OG0001530	XP_035742074.1, XP_035742073.1	XP_001659200.1
OG0001531	XP_035721679.1, XP_035721676.1, XP_035721680.1, XP_035721678.1	XP_001654172.1, XP_021711999.1
OG0001532	XP_035728061.1, XP_035728062.1	XP_021705174.1
OG0001533	XP_035743685.1	XP_021697618.1
OG0001534	XP_035731294.1	XP_021707804.1
OG0001535	XP_035726470.1	XP_001654088.2
OG0001536	XP_035730724.1, XP_035730723.1	XP_021698558.1, XP_021698552.1
OG0001537	XP_035717336.1	XP_021710074.1, XP_001655561.2
OG0001539	XP_035736370.1, XP_035736369.1	XP_001655433.2
OG0001540	XP_035742193.1	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1
OG0001541	XP_035740966.1	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1
OG0001542	XP_035725107.1, XP_035725106.1, XP_035725108.1	XP_021703912.1
OG0001543	XP_035734388.1	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2
OG0001545	XP_035743288.1	XP_021703178.1
OG0001546	XP_035724101.1	XP_021694031.1
OG0001547	XP_035738371.1	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1
OG0001548	XP_035733159.1	XP_021709810.1
OG0001550	XP_035735400.1, XP_035735403.1	XP_021707016.1, XP_021707017.1
OG0001552	XP_035720372.1	XP_021709518.1, XP_021709510.1
OG0001553	XP_035720814.1	XP_001649155.2
OG0001554	XP_035721118.1	XP_021699256.1
OG0001555	XP_035719215.1, XP_035719214.1, XP_035719213.1	XP_021708369.1
OG0001556	XP_035730674.1	XP_021698930.1
OG0001557	XP_035737148.1, XP_035737142.1	XP_021703099.1
OG0001558	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1	XP_001650847.2, XP_021712862.1, XP_021698214.1, XP_021698215.1
OG0001559	XP_035735222.1, XP_035735223.1	XP_021709809.1
OG0001560	XP_035733162.1, XP_035733154.1	XP_021700177.1
OG0001561	XP_035729434.1, XP_035729435.1	XP_001659517.1
OG0001562	XP_035727763.1, XP_035727765.1	XP_021699829.1, XP_021699830.1
OG0001563	XP_035738177.1, XP_035738176.1	XP_021707780.1
OG0001565	XP_035740221.1	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1
OG0001567	XP_035733419.1, XP_035733417.1	XP_021705207.1
OG0001568	XP_035719663.1	XP_021707976.1, XP_001649607.2, XP_021707970.1
OG0001569	XP_035735846.1	XP_001653986.2
OG0001570	XP_035736968.1	XP_021697701.1
OG0001571	XP_035720700.1	XP_021701795.1, XP_021711966.1
OG0001572	XP_035727941.1	XP_001661833.2, XP_001661834.1
OG0001575	XP_035740609.1, XP_035740610.1	XP_001662131.2, XP_001648863.2
OG0001576	XP_035718048.1	XP_021700231.1
OG0001577	XP_035719108.1, XP_035719116.1	XP_021694857.1
OG0001579	XP_035729962.1, XP_035729961.1, XP_035729963.1	XP_021697228.1
OG0001581	XP_035727859.1	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1
OG0001582	XP_035735263.1	XP_021693418.1
OG0001583	XP_035736291.1	XP_001653136.2
OG0001584	XP_035739266.1	XP_021697527.1
OG0001585	XP_035732290.1, XP_035732292.1	XP_021699005.1
OG0001586	XP_035741954.1	XP_021704945.1, XP_001654729.2
OG0001587	XP_035737786.1, XP_035741104.1, XP_035741103.1, XP_035741105.1	XP_001659266.1
OG0001588	XP_035732715.1	XP_021708908.1
OG0001589	XP_035742281.1, XP_035742282.1	XP_021705121.1, XP_001657326.1
OG0001590	XP_035742142.1	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2
OG0001591	XP_035733982.1, XP_035733981.1	XP_001649539.2
OG0001592	XP_035726707.1	XP_001652031.2, XP_001652030.2
OG0001593	XP_035740704.1	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1
OG0001594	XP_035724403.1, XP_035724402.1	XP_001652589.2
OG0001595	XP_035727774.1	XP_001654339.2
OG0001596	XP_035733254.1	XP_001655002.2
OG0001597	XP_035733002.1	XP_001655545.1
OG0001598	XP_035723486.1	XP_001657509.1, XP_001660818.2, XP_001657506.2
OG0001600	XP_035734659.1, XP_035734656.1, XP_035734657.1	XP_001662110.1, XP_021699697.1, XP_021699698.1
OG0001601	XP_035741630.1	XP_021693003.1, XP_021693005.1, XP_021712673.1
OG0001602	XP_035737823.1, XP_035737830.1	XP_021711854.1, XP_021693787.1
OG0001603	XP_035739186.1, XP_035739187.1	XP_021694636.1
OG0001604	XP_035737909.1, XP_035737914.1	XP_021698607.1, XP_021698608.1
OG0001605	XP_035743515.1, XP_035743631.1	XP_021698633.1
OG0001606	XP_035741397.1	XP_021698821.1, XP_021698822.1
OG0001607	XP_035721439.1	XP_021701306.1
OG0001608	XP_035735061.1, XP_035735060.1	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1
OG0001614	XP_035729693.1, XP_035729699.1	XP_001661445.1
OG0001615	XP_035724682.1	XP_001649059.1, XP_001649058.1
OG0001616	XP_035725033.1, XP_035725034.1	XP_021712922.1, XP_001654033.1
OG0001617	XP_035742339.1	XP_021712041.1, XP_001651134.1
OG0001619	XP_035723068.1, XP_035723071.1	XP_001659711.1
OG0001620	XP_035723185.1	XP_001650713.1
OG0001621	XP_035733218.1, XP_035733219.1	XP_001653624.2
OG0001622	XP_035740437.1	XP_001660625.1
OG0001623	XP_035723670.1	XP_001653270.2
OG0001624	XP_035742940.1	XP_001656550.2
OG0001625	XP_035727825.1	XP_001661087.1
OG0001626	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1	XP_001649135.1
OG0001627	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1	XP_021707044.1, XP_011493541.1, XP_001654478.1
OG0001628	XP_035734380.1	XP_021693961.1
OG0001629	XP_035732347.1	XP_001660169.1
OG0001630	XP_035736770.1, XP_035736774.1	XP_021699215.1, XP_021699214.1
OG0001631	XP_035722044.1	XP_021704306.1
OG0001633	XP_035734051.1	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1
OG0001634	XP_035731640.1	XP_021707434.1, XP_021707433.1, XP_001649577.2
OG0001635	XP_035731776.1	XP_001660621.2
OG0001636	XP_035733127.1	XP_001661101.1
OG0001637	XP_035719918.1	XP_001658256.1
OG0001638	XP_035731767.1	XP_001662068.2
OG0001639	XP_035721241.1	XP_021706741.1
OG0001640	XP_035718059.1, XP_035721841.1, XP_035721840.1	XP_021711928.1, XP_001660977.2
OG0001641	XP_035719662.1	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1
OG0001642	XP_035733123.1	XP_021704630.1, XP_021704631.1, XP_001648127.2
OG0001645	XP_035717414.1, XP_035717415.1, XP_035717412.1, XP_035717413.1, XP_035717411.1	XP_021713239.1
OG0001646	XP_035725754.1	XP_001651173.2
OG0001647	XP_035727074.1	XP_021710653.1, XP_021710277.1
OG0001648	XP_035726598.1	XP_001651963.2
OG0001649	XP_035718504.1	XP_021699402.1
OG0001650	XP_035741136.1	XP_001660443.2
OG0001651	XP_035724993.1	XP_021712338.1
OG0001652	XP_035734304.1, XP_035734303.1	XP_021709162.1
OG0001653	XP_035724315.1	XP_021704764.1, XP_021704765.1
OG0001655	XP_035734720.1	XP_021712934.1, XP_021695115.1
OG0001656	XP_035726949.1, XP_035726948.1, XP_035726947.1	XP_001660613.1
OG0001657	XP_035725974.1	XP_001650988.2
OG0001658	XP_035731335.1, XP_035731338.1, XP_035731334.1, XP_035731337.1, XP_035731333.1	XP_021701909.1
OG0001659	XP_035724064.1	XP_001649004.2, XP_021712038.1
OG0001662	XP_035734917.1, XP_035734912.1	XP_001661416.2, XP_021712562.1
OG0001663	XP_035719506.1	XP_021708803.1
OG0001664	XP_035720672.1, XP_035720670.1	XP_021712961.1
OG0001665	XP_035740169.1	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1
OG0001666	XP_035728853.1	XP_021695946.1
OG0001667	XP_035717186.1	XP_021699681.1
OG0001668	XP_035733407.1, XP_035733405.1, XP_035733406.1, XP_035733404.1, XP_035733403.1, XP_035733402.1	XP_021705214.1
OG0001669	XP_035743908.1	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1
OG0001670	XP_035720954.1, XP_035720953.1	XP_001663817.1
OG0001671	XP_035729073.1, XP_035729072.1	XP_021708990.1
OG0001672	XP_035732415.1, XP_035732416.1, XP_035732414.1	XP_021709521.1, XP_021709522.1, XP_021709520.1
OG0001673	XP_035738967.1	XP_001660487.1
OG0001674	XP_035721929.1	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1
OG0001675	XP_035723042.1	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1
OG0001676	XP_035720013.1, XP_035720011.1, XP_035720012.1, XP_035720009.1, XP_035720010.1, XP_035720016.1, XP_035720017.1	XP_001652395.2
OG0001677	XP_035728893.1	XP_001652096.1
OG0001678	XP_035739191.1	XP_001652786.2
OG0001679	XP_035739958.1	XP_021712412.1, XP_001660326.1
OG0001680	XP_035731563.1, XP_035731564.1	XP_021700806.1, XP_021712519.1
OG0001681	XP_035718864.1, XP_035718865.1	XP_001658183.2
OG0001682	XP_035722878.1, XP_035722875.1	XP_021710725.1, XP_021710723.1, XP_021710727.1
OG0001683	XP_035737098.1	XP_001657224.1
OG0001684	XP_035723459.1	XP_021694318.1
OG0001685	XP_035731566.1	XP_021696569.1
OG0001686	XP_035736720.1	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1
OG0001687	XP_035732075.1	XP_001648656.2
OG0001688	XP_035735704.1, XP_035735701.1, XP_035735700.1, XP_035735699.1, XP_035735703.1, XP_035735702.1	XP_001655654.1
OG0001689	XP_035727569.1, XP_035727653.1	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1
OG0001690	XP_035741845.1	XP_001652822.2
OG0001691	XP_035734626.1	XP_021697807.1, XP_021711737.1
OG0001692	XP_035722728.1	XP_021706079.1, XP_021706080.1
OG0001693	XP_035723232.1	XP_021699846.1, XP_021699847.1, XP_021699845.1
OG0001694	XP_035736590.1	XP_001657811.1
OG0001695	XP_035724037.1	XP_021695027.1
OG0001696	XP_035737044.1, XP_035737037.1	XP_021707171.1
OG0001697	XP_035728174.1	XP_001655183.2
OG0001699	XP_035743135.1	XP_021706338.1, XP_001652000.1
OG0001700	XP_035727996.1	XP_021709327.1, XP_021709333.1, XP_021709340.1
OG0001701	XP_035733887.1	XP_021709749.1
OG0001702	XP_035735037.1, XP_035735039.1, XP_035735038.1	XP_001657404.2
OG0001703	XP_035719566.1	XP_021694077.1, XP_021694076.1
OG0001704	XP_035725085.1	XP_021695754.1, XP_021695753.1
OG0001706	XP_035730623.1	XP_021703194.1
OG0001707	XP_035732573.1, XP_035732574.1, XP_035732575.1, XP_035732572.1	XP_021710585.1, XP_021710586.1
OG0001709	XP_035727211.1	XP_021692980.1
OG0001710	XP_035718484.1	XP_021694338.1, XP_021712737.1
OG0001711	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1	XP_001650198.2
OG0001712	XP_035717949.1, XP_035717946.1	XP_021711134.1
OG0001713	XP_035727580.1	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1
OG0001714	XP_035733669.1	XP_001661880.1
OG0001715	XP_035730023.1	XP_001660978.1
OG0001716	XP_035739670.1, XP_035739663.1	XP_021708325.1
OG0001717	XP_035725525.1	XP_001648674.1
OG0001718	XP_035740550.1	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1
OG0001719	XP_035729786.1	XP_001653610.1
OG0001720	XP_035730232.1, XP_035730231.1	XP_021707046.1
OG0001721	XP_035722174.1	XP_001659894.2
OG0001722	XP_035717959.1	XP_021700019.1
OG0001723	XP_035739522.1	XP_001658810.2, XP_021708657.1, XP_021708698.1, XP_001658813.1, XP_021708687.1, XP_001660077.1, XP_001663216.2
OG0001724	XP_035724251.1	XP_001658110.2
OG0001725	XP_035727405.1, XP_035727406.1, XP_035727407.1	XP_021709391.1
OG0001726	XP_035725641.1	XP_021706047.1
OG0001727	XP_035738581.1	XP_021701407.1, XP_021701408.1, XP_021701410.1, XP_021701411.1, XP_021701412.1, XP_021701413.1, XP_021701406.1
OG0001728	XP_035723533.1, XP_035723531.1	XP_021700273.1
OG0001729	XP_035720408.1	XP_021696384.1, XP_021696372.1, XP_021696389.1
OG0001730	XP_035718931.1, XP_035718936.1, XP_035718938.1	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1
OG0001731	XP_035730629.1, XP_035730630.1	XP_021708554.1, XP_021708557.1
OG0001732	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1	XP_021694992.1
OG0001733	XP_035739692.1	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1
OG0001734	XP_035724184.1, XP_035724191.1	XP_021703177.1, XP_001658259.2
OG0001735	XP_035740869.1	XP_021703341.1, XP_021706414.1
OG0001736	XP_035736510.1	XP_001657611.1
OG0001737	XP_035723339.1, XP_035723341.1, XP_035723340.1	XP_001659930.2
OG0001738	XP_035728779.1	XP_001660400.1, XP_021697734.1
OG0001739	XP_035742975.1	XP_021695605.1, XP_021695606.1
OG0001740	XP_035723606.1, XP_035723601.1	XP_021704328.1
