Orthogroup	Nomia_melanderi	Drosophila_melanogaster
OG0001468	XP_031835032.1, XP_031843462.1	NP_001260652.1
OG0001469	XP_031838554.1	NP_523568.2
OG0001470	XP_031828482.1	NP_648768.1
OG0001471	XP_031844584.1, XP_031844591.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_031840708.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_031839580.1	NP_001287361.1
OG0001474	XP_031843810.1, XP_031843806.1, XP_031843807.1, XP_031843811.1, XP_031843805.1, XP_031843808.1	NP_609560.2, NP_569850.1
OG0001475	XP_031839222.1	NP_001368987.1
OG0001477	XP_031843862.1	NP_001014453.1
OG0001478	XP_031828088.1	NP_001285042.1
OG0001479	XP_031835419.1, XP_031835424.1, XP_031835420.1, XP_031835421.1, XP_031835418.1, XP_031835425.1, XP_031835422.1, XP_031835423.1, XP_031835427.1, XP_031835426.1	NP_001036624.1
OG0001480	XP_031846063.1, XP_031846064.1, XP_031846065.1	NP_524533.1
OG0001481	XP_031834003.1, XP_031834002.1, XP_031834005.1	NP_001286181.1
OG0001482	XP_031827181.1, XP_031827183.1	NP_651924.2
OG0001483	XP_031848611.1	NP_001262996.1
OG0001484	XP_031848946.1	NP_001188579.1
OG0001485	XP_031829186.1	NP_569913.1
OG0001485	XP_031850040.1	NP_523596.2
OG0001486	XP_031829031.1	NP_476764.1
OG0001487	XP_031843821.1	NP_001188904.1
OG0001488	XP_031838744.1, XP_031838742.1	NP_001189108.1
OG0001489	XP_031829423.1	NP_648555.1
OG0001491	XP_031845887.1	NP_609228.2
OG0001492	XP_031827035.1, XP_031827036.1	NP_001263168.1
OG0001493	XP_031845501.1	NP_001262195.1
OG0001494	XP_031827290.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_031833273.1	NP_612063.2
OG0001496	XP_031837039.1, XP_031837027.1	NP_609203.1
OG0001497	XP_031850166.1, XP_031850167.1	NP_001260853.1
OG0001498	XP_031835154.1, XP_031835155.1	NP_729823.2
OG0001499	XP_031841392.1	NP_572167.3
OG0001500	XP_031837942.1	NP_730859.1
OG0001501	XP_031826102.1, XP_031826101.1	NP_001303373.1
OG0001502	XP_031826090.1	NP_001261464.1
OG0001503	XP_031849347.1	NP_665880.2
OG0001504	XP_031844294.1	NP_001261440.1
OG0001505	XP_031825302.1	NP_001097527.1
OG0001507	XP_031847411.1, XP_031847410.1	NP_001287269.1
OG0001508	XP_031833325.1	NP_001138130.2
OG0001509	XP_031829828.1, XP_031829826.1	NP_001261116.1
OG0001510	XP_031850226.1, XP_031835725.1	NP_001284936.1
OG0001511	XP_031840627.1	NP_649151.1
OG0001514	XP_031832788.1, XP_031832777.1	NP_001188550.1
OG0001515	XP_031828025.1, XP_031828026.1	NP_001259809.1
OG0001516	XP_031843657.1, XP_031843656.1, XP_031843658.1, XP_031843655.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_031846961.1	NP_731242.1
OG0001518	XP_031834301.1	NP_001036462.1
OG0001519	XP_031829022.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_031839815.1	NP_001368953.1
OG0001522	XP_031849471.1	NP_001096867.3
OG0001524	XP_031836831.1, XP_031836830.1, XP_031836829.1, XP_031836828.1	NP_001261067.1
OG0001525	XP_031842872.1	NP_477026.1
OG0001526	XP_031848620.1, XP_031840071.1, XP_031840070.1	NP_001369078.1
OG0001527	XP_031843505.1	NP_001259089.1
OG0001529	XP_031849561.1	NP_001162930.1
OG0001530	XP_031847195.1, XP_031847196.1	NP_611501.1
OG0001531	XP_031831278.1	NP_651595.1
OG0001532	XP_031831909.1, XP_031831912.1	NP_001162665.1
OG0001533	XP_031837631.1	NP_728534.2
OG0001534	XP_031841566.1, XP_031841565.1	NP_731923.2
OG0001535	XP_031846345.1	NP_001261999.1
OG0001536	XP_031828307.1, XP_031828294.1	NP_648357.1
OG0001537	XP_031827557.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_031828630.1	NP_995639.1
OG0001539	XP_031847605.1	NP_524017.1
OG0001540	XP_031847112.1	NP_610693.1, NP_610694.1
OG0001541	XP_031825960.1	NP_001261940.1
OG0001542	XP_031842282.1, XP_031842281.1	NP_609207.1
OG0001543	XP_031846982.1, XP_031846983.1, XP_031846984.1, XP_031846981.1	NP_650901.2
OG0001545	XP_031836862.1	NP_523451.2
OG0001546	XP_031833599.1, XP_031833598.1, XP_031833597.1, XP_031833596.1, XP_031833595.1	NP_001247104.1
OG0001548	XP_031836897.1	NP_001285388.1
OG0001550	XP_031841469.1	NP_647968.3
OG0001551	XP_031828278.1, XP_031828279.1	NP_001246815.1
OG0001552	XP_031847706.1, XP_031847704.1	NP_477317.1
OG0001553	XP_031834372.1, XP_031834382.1, XP_031834391.1, XP_031834409.1, XP_031834416.1, XP_031834400.1	NP_651623.1
OG0001554	XP_031841338.1, XP_031848676.1, XP_031841360.1	NP_001261344.1
OG0001555	XP_031831728.1	NP_001246451.1
OG0001556	XP_031844436.1, XP_031844428.1, XP_031844434.1, XP_031844435.1, XP_031844432.1, XP_031844433.1, XP_031844430.1, XP_031844431.1, XP_031844429.1, XP_031844437.1	NP_726771.1
OG0001557	XP_031829095.1, XP_031829123.1	NP_001260951.1
OG0001558	XP_031846366.1, XP_031846367.1, XP_031846365.1	NP_001245722.1
OG0001559	XP_031846388.1	NP_650472.2
OG0001560	XP_031838087.1	NP_001246228.1
OG0001561	XP_031842899.1	NP_001260963.1
OG0001562	XP_031827967.1	NP_001137943.2
OG0001563	XP_031825794.1	NP_001246300.1
OG0001565	XP_031830523.1	NP_001286976.1
OG0001567	XP_031846190.1	NP_001137746.1
OG0001568	XP_031833732.1, XP_031833729.1, XP_031833730.1, XP_031833733.1	NP_001263152.1
OG0001569	XP_031832840.1	NP_477320.1
OG0001570	XP_031847232.1	NP_648176.1
OG0001571	XP_031836088.1	NP_610075.2
OG0001575	XP_031845824.1	NP_524337.1
OG0001576	XP_031850534.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_031838344.1, XP_031838343.1	NP_001285493.1
OG0001579	XP_031843797.1, XP_031843800.1	NP_001097592.1
OG0001580	XP_031830012.1, XP_031830010.1, XP_031830004.1	NP_001285528.1
OG0001581	XP_031831029.1	NP_608983.2
OG0001582	XP_031844673.1, XP_031844674.1	NP_001287593.1
OG0001583	XP_031842700.1, XP_031842704.1, XP_031842703.1, XP_031842701.1	NP_001189157.1
OG0001584	XP_031847584.1, XP_031847583.1	NP_648993.1
OG0001585	XP_031839011.1, XP_031839014.1	NP_001262143.1
OG0001586	XP_031839575.1, XP_031839576.1, XP_031839577.1, XP_031839574.1	NP_647865.2
OG0001587	XP_031826521.1	NP_648090.1
OG0001588	XP_031829015.1, XP_031829012.1, XP_031829014.1	NP_001188558.1
OG0001589	XP_031833628.1	NP_726318.1
OG0001590	XP_031848865.1	NP_572910.1, NP_001285210.1
OG0001591	XP_031850159.1	NP_001286018.1
OG0001592	XP_031842084.1	NP_647896.1
OG0001593	XP_031842739.1, XP_031842737.1, XP_031842736.1	NP_001287342.1
OG0001594	XP_031848405.1, XP_031848413.1	NP_001259723.1
OG0001595	XP_031828163.1, XP_031828162.1, XP_031828161.1, XP_031828164.1	NP_611252.1
OG0001596	XP_031843681.1, XP_031843682.1	NP_730651.1
OG0001597	XP_031834741.1	NP_572854.1
OG0001600	XP_031841942.1	NP_001286151.1
OG0001601	XP_031839452.1	NP_001097706.1
OG0001602	XP_031833421.1, XP_031833423.1	NP_001033958.1
OG0001603	XP_031840356.1, XP_031840357.1	NP_001027070.1
OG0001604	XP_031841293.1	NP_001163129.1
OG0001606	XP_031848730.1, XP_031827256.1	NP_523902.2
OG0001607	XP_031848500.1, XP_031829359.1, XP_031829361.1, XP_031829364.1, XP_031829358.1, XP_031829362.1, XP_031829363.1	NP_001285753.1
OG0001608	XP_031849876.1, XP_031849877.1	NP_001260655.1
OG0001614	XP_031828648.1	NP_001259303.1, NP_569908.1
OG0001615	XP_031834291.1	NP_523764.1
OG0001616	XP_031835330.1	NP_001259833.1
OG0001617	XP_031836379.1	NP_524011.1
OG0001619	XP_031844979.1	NP_652526.1
OG0001620	XP_031830106.1	NP_609496.1
OG0001621	XP_031834010.1	NP_573362.1, NP_729837.1
OG0001622	XP_031837740.1, XP_031837744.1, XP_031837746.1, XP_031837745.1, XP_031837748.1, XP_031837747.1, XP_031837750.1, XP_031837749.1, XP_031837751.1, XP_031837742.1, XP_031837741.1	NP_572536.1
OG0001623	XP_031834432.1, XP_031834433.1	NP_524400.2
OG0001624	XP_031826338.1	NP_788056.1
OG0001625	XP_031830045.1, XP_031830043.1	NP_001262669.1
OG0001626	XP_031843775.1	NP_001259186.1
OG0001627	XP_031841048.1, XP_031841046.1, XP_031841049.1	NP_001303417.1
OG0001628	XP_031845338.1	NP_651052.1
OG0001629	XP_031842132.1	NP_651782.1
OG0001630	XP_031841245.1, XP_031841258.1	NP_729395.2
OG0001631	XP_031835641.1	NP_001261267.1
OG0001632	XP_031832990.1	NP_001245408.1
OG0001633	XP_031832359.1	NP_001246351.1
OG0001634	XP_031826904.1, XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1	NP_651054.1
OG0001635	XP_031826900.1, XP_031826903.1, XP_031826901.1	NP_001303479.1
OG0001636	XP_031834825.1	NP_728142.1
OG0001637	XP_031830621.1	NP_612046.1
OG0001638	XP_031839939.1, XP_031846856.1, XP_031846946.1	NP_648826.2
OG0001639	XP_031845921.1	NP_572360.1
OG0001640	XP_031838771.1	NP_477027.1
OG0001641	XP_031825601.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_031834583.1, XP_031834581.1, XP_031834580.1, XP_031834582.1	NP_725207.1
OG0001644	XP_031829905.1	NP_001262395.1
OG0001645	XP_031830812.1	NP_733058.1
OG0001646	XP_031842370.1, XP_031842369.1, XP_031842371.1, XP_031842372.1, XP_031842373.1	NP_001285211.1
OG0001647	XP_031833002.1, XP_031833003.1	NP_570025.1
OG0001648	XP_031839384.1	NP_001287187.1
OG0001649	XP_031838162.1	NP_609720.1, NP_524152.2
OG0001650	XP_031838027.1, XP_031838028.1, XP_031838026.1	NP_648222.3
OG0001651	XP_031835645.1	NP_001259585.1
OG0001652	XP_031845777.1, XP_031845776.1	NP_788858.1
OG0001653	XP_031835011.1	NP_995788.1
OG0001654	XP_031841346.1, XP_031841345.1, XP_031841347.1	NP_001246814.1
OG0001655	XP_031840400.1, XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840395.1, XP_031840401.1, XP_031840397.1, XP_031840396.1, XP_031840398.1	NP_001245567.1
OG0001656	XP_031843460.1, XP_031843461.1	NP_569872.1
OG0001657	XP_031828070.1	NP_001286489.1
OG0001658	XP_031845086.1	NP_001259992.1
OG0001659	XP_031842781.1	NP_730944.2
OG0001660	XP_031838745.1	NP_648750.1
OG0001662	XP_031842975.1, XP_031842972.1	NP_001097377.2
OG0001663	XP_031830949.1	NP_649918.1
OG0001664	XP_031846630.1, XP_031846633.1	NP_648183.3
OG0001665	XP_031835404.1	NP_001014619.2
OG0001666	XP_031827309.1, XP_031827310.1	NP_001163472.1, NP_649145.1
OG0001667	XP_031825276.1, XP_031825275.1, XP_031825278.1, XP_031825277.1	NP_001261574.1
OG0001669	XP_031846532.1	NP_001287417.1
OG0001670	XP_031839004.1	NP_001138149.1
OG0001671	XP_031825890.1	NP_732316.2
OG0001672	XP_031842152.1	NP_001246400.1
OG0001673	XP_031839115.1	NP_649883.1
OG0001674	XP_031839364.1	NP_001260539.1
OG0001675	XP_031829591.1	NP_001261382.1
OG0001676	XP_031840461.1	NP_001163073.2
OG0001677	XP_031840261.1	NP_001260561.1
OG0001679	XP_031849451.1	NP_611460.1
OG0001680	XP_031841525.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_031827727.1	NP_001163282.1
OG0001682	XP_031849461.1, XP_031849467.1	NP_001285158.1
OG0001684	XP_031847317.1	NP_001368993.1
OG0001685	XP_031848351.1, XP_031848353.1, XP_031848349.1, XP_031848350.1, XP_031848352.1	NP_001097520.2
OG0001686	XP_031842039.1	NP_731649.2
OG0001687	XP_031840036.1	NP_609069.1
OG0001688	XP_031832826.1	NP_001104382.3
OG0001690	XP_031845963.1, XP_031845962.1	NP_652015.1
OG0001693	XP_031832264.1	NP_001245400.1
OG0001694	XP_031840957.1, XP_031840960.1, XP_031840959.1	NP_610256.1
OG0001695	XP_031842741.1	NP_001262760.1
OG0001696	XP_031837569.1, XP_031837580.1	NP_001247156.1
OG0001697	XP_031842789.1, XP_031842788.1, XP_031842790.1	NP_001245797.1
OG0001699	XP_031832070.1, XP_031832069.1	NP_733303.2
OG0001700	XP_031829500.1	NP_001189311.1
OG0001701	XP_031843576.1	NP_995862.1
OG0001702	XP_031831737.1	NP_651170.1
OG0001703	XP_031838862.1	NP_001262871.1, NP_651242.1
OG0001704	XP_031841304.1	NP_001356971.1
OG0001706	XP_031829174.1	NP_001247116.1
OG0001707	XP_031844027.1, XP_031844028.1, XP_031844029.1, XP_031844030.1	NP_001262589.2
OG0001708	XP_031832209.1	NP_001287390.1
OG0001709	XP_031844192.1, XP_031844195.1	NP_001303494.1
OG0001710	XP_031839878.1, XP_031834269.1	NP_573217.1, NP_730784.1
OG0001711	XP_031829368.1	NP_608741.1
OG0001712	XP_031844403.1	NP_001188885.2
OG0001713	XP_031847260.1	NP_001033943.2
OG0001714	XP_031847682.1	NP_649156.1
OG0001715	XP_031834273.1, XP_031834271.1, XP_031834272.1, XP_031834275.1, XP_031834276.1, XP_031834274.1	NP_001285698.1
OG0001716	XP_031848502.1	NP_001163671.1
OG0001717	XP_031842230.1	NP_611675.2
OG0001718	XP_031828053.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_031832466.1, XP_031832465.1	NP_001245568.1
OG0001720	XP_031841824.1, XP_031841825.1	NP_610938.1
OG0001722	XP_031825414.1	NP_723401.1
OG0001723	XP_031825742.1	NP_001188979.1, NP_524242.2, NP_001287190.1
OG0001724	XP_031833908.1, XP_031833907.1, XP_031833909.1	NP_001261391.1
OG0001725	XP_031827004.1, XP_031826998.1, XP_031827001.1, XP_031827000.1, XP_031827003.1, XP_031827002.1, XP_031827005.1	NP_524401.2
OG0001726	XP_031837698.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_031830994.1	NP_001036351.2
OG0001728	XP_031841599.1	NP_001286002.1
OG0001729	XP_031843847.1	NP_001286919.1
OG0001730	XP_031845461.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_031840225.1, XP_031840224.1	NP_572995.1, NP_001163445.1
OG0001732	XP_031825632.1	NP_651725.1
OG0001733	XP_031828990.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_031843970.1, XP_031843964.1	NP_608563.1
OG0001735	XP_031839632.1	NP_609387.1
OG0001736	XP_031836891.1	NP_001097937.1
OG0001737	XP_031840375.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_031832271.1	NP_001014543.1
OG0001739	XP_031830403.1, XP_031830404.1, XP_031830405.1	NP_001246653.1
OG0001740	XP_031847749.1	NP_001036555.1
OG0001742	XP_031838273.1	NP_733224.2
OG0001743	XP_031835988.1, XP_031835987.1, XP_031835989.1	NP_001285126.1
OG0001744	XP_031844786.1, XP_031844787.1	NP_651315.2
OG0001745	XP_031845646.1, XP_031845736.1	NP_650743.1
OG0001746	XP_031847008.1	NP_524852.2
OG0001747	XP_031834812.1, XP_031834813.1, XP_031834815.1	NP_001261633.1
OG0001748	XP_031839883.1	NP_001189227.1
OG0001749	XP_031832543.1, XP_031832552.1	NP_001036722.1
OG0001750	XP_031838674.1	NP_001261148.1
OG0001751	XP_031840011.1	NP_001286159.1
OG0001752	XP_031848043.1	NP_651792.1, NP_651791.2
OG0001753	XP_031830444.1	NP_523391.3
OG0001754	XP_031842518.1, XP_031842519.1, XP_031839242.1	NP_651671.1
OG0001755	XP_031847626.1	NP_573318.1, NP_609759.1
OG0001756	XP_031828217.1, XP_031828219.1, XP_031828218.1	NP_649646.3
OG0001757	XP_031836013.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_031833565.1	NP_001163069.1
OG0001759	XP_031834927.1, XP_031834922.1, XP_031834926.1, XP_031834932.1, XP_031834929.1, XP_031834930.1, XP_031834925.1, XP_031834924.1, XP_031834923.1, XP_031834921.1, XP_031834928.1	NP_001287202.1
OG0001760	XP_031826574.1, XP_031826572.1, XP_031826573.1, XP_031826577.1, XP_031826578.1, XP_031826576.1	NP_732069.3
OG0001761	XP_031830715.1, XP_031830718.1, XP_031830719.1, XP_031830716.1, XP_031830717.1	NP_001188832.1
OG0001762	XP_031843907.1, XP_031843906.1	NP_001261764.1
OG0001763	XP_031849416.1	NP_650223.1
OG0001764	XP_031845677.1	NP_001287421.2, NP_650876.1
OG0001765	XP_031841393.1, XP_031841394.1	NP_731461.1
OG0001766	XP_031849723.1	NP_001261659.1
OG0001767	XP_031825332.1, XP_031825333.1	NP_723294.1
OG0001768	XP_031831083.1	NP_572805.1
OG0001771	XP_031833495.1, XP_031833497.1	NP_727732.1, NP_001097831.1
OG0001774	XP_031846267.1	NP_476778.1
OG0001775	XP_031827233.1, XP_031827232.1	NP_523735.2
OG0001776	XP_031843430.1	NP_620470.1
OG0001777	XP_031835952.1	NP_001245758.1
OG0001778	XP_031831287.1, XP_031831286.1	NP_001262233.1
OG0001779	XP_031825865.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_031832634.1	NP_610617.1
OG0001781	XP_031838612.1	NP_650423.1
OG0001782	XP_031826370.1	NP_649000.1
OG0001783	XP_031840584.1, XP_031840586.1, XP_031840585.1	NP_647892.1
OG0001784	XP_031846360.1, XP_031846361.1, XP_031846362.1	NP_001163585.1
OG0001785	XP_031846146.1, XP_031846147.1	NP_524416.1
OG0001786	XP_031842036.1, XP_031842034.1	NP_001260689.1
OG0001787	XP_031825926.1	NP_648786.1
OG0001788	XP_031839266.1, XP_031839267.1	NP_724103.1
OG0001789	XP_031843335.1, XP_031843336.1	NP_651728.1
OG0001790	XP_031847472.1	NP_649460.3
OG0001791	XP_031839669.1	NP_572504.1
OG0001792	XP_031827617.1, XP_031827615.1, XP_031827616.1, XP_031827614.1	NP_611734.1
OG0001793	XP_031848318.1, XP_031848292.1, XP_031848300.1, XP_031848309.1	NP_608828.2
OG0001794	XP_031846341.1, XP_031846344.1	NP_001259442.1
OG0001796	XP_031826710.1	NP_477212.1
OG0001797	XP_031831441.1	NP_523830.2
OG0001799	XP_031845574.1, XP_031845573.1, XP_031845575.1	NP_001260496.1
OG0001800	XP_031837609.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_031847175.1	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001803	XP_031845154.1	NP_001015387.1
OG0001804	XP_031833405.1, XP_031833404.1	NP_728575.2, NP_612081.1
OG0001805	XP_031829576.1	NP_649038.1, NP_730334.2
OG0001806	XP_031844730.1, XP_031844737.1	NP_610087.2
OG0001807	XP_031846848.1	NP_001286460.1
OG0001808	XP_031839822.1	NP_650163.2, NP_650840.1
OG0001809	XP_031828089.1, XP_031828090.1	NP_609837.1
OG0001810	XP_031841874.1	NP_001246271.1
OG0001811	XP_031849509.1	NP_001262677.1
OG0001812	XP_031841038.1	NP_001259970.1
OG0001813	XP_031846496.1, XP_031846487.1	NP_611350.1
OG0001814	XP_031828671.1	NP_524758.1
OG0001815	XP_031830940.1	NP_476667.1, NP_001246493.1
OG0001816	XP_031835110.1	NP_648106.1
OG0001818	XP_031848179.1	NP_001285489.1
OG0001820	XP_031843675.1	NP_649757.1
OG0001821	XP_031837582.1	NP_001287100.1
OG0001822	XP_031832110.1	NP_995873.2
OG0001823	XP_031843246.1	NP_609767.2, NP_001260489.1
OG0001824	XP_031834808.1, XP_031834805.1	NP_001356918.1
OG0001825	XP_031839932.1, XP_031839933.1	NP_001285277.1
OG0001826	XP_031828237.1	NP_610191.2
OG0001827	XP_031843330.1	NP_001261341.1
OG0001828	XP_031846759.1	NP_477184.1
OG0001829	XP_031844626.1	NP_511153.1
OG0001830	XP_031833585.1, XP_031833587.1, XP_031833588.1, XP_031833589.1, XP_031833582.1, XP_031833584.1, XP_031833586.1	NP_001189170.1
OG0001831	XP_031833024.1	NP_648895.1
OG0001832	XP_031847523.1	NP_611293.3
OG0001833	XP_031848951.1	NP_001262071.1
OG0001834	XP_031849798.1, XP_031849797.1	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_031844534.1	NP_648567.2, NP_729801.1
OG0001836	XP_031832946.1	NP_001097041.2
OG0001838	XP_031830797.1	NP_649809.1
OG0001839	XP_031829772.1	NP_001287516.1, NP_524496.1
OG0001840	XP_031833557.1, XP_031833559.1	NP_001287291.1
OG0001841	XP_031831727.1	NP_649554.1
OG0001843	XP_031838053.1	NP_001163392.1
OG0001844	XP_031845966.1	NP_733332.1
OG0001845	XP_031829717.1	NP_649732.1
OG0001846	XP_031833525.1, XP_031833523.1	NP_788721.1
OG0001847	XP_031841389.1	NP_001163705.1
OG0001848	XP_031828019.1, XP_031828018.1	NP_610735.1
OG0001849	XP_031831929.1	NP_001303451.1, NP_524581.1
OG0001850	XP_031829651.1	NP_001097569.1
OG0001851	XP_031827273.1	NP_524795.2
OG0001852	XP_031849323.1, XP_031849319.1, XP_031849318.1, XP_031849321.1, XP_031849320.1, XP_031849322.1	NP_611258.2
OG0001853	XP_031835005.1	NP_001285407.1
OG0001854	XP_031826805.1	NP_610231.2, NP_525107.1, NP_536747.2
OG0001855	XP_031841759.1	NP_001097922.1
OG0001856	XP_031846377.1	NP_650446.2
OG0001858	XP_031844372.1, XP_031844373.1, XP_031844374.1	NP_651605.1
OG0001859	XP_031827700.1	NP_001261279.1, NP_608679.1
OG0001861	XP_031833478.1, XP_031833475.1, XP_031833476.1, XP_031833473.1, XP_031833471.1, XP_031833472.1, XP_031833477.1	NP_524274.1
OG0001862	XP_031847189.1	NP_001096954.1
OG0001863	XP_031830376.1	NP_001303452.1
OG0001864	XP_031836319.1	NP_001259978.1
OG0001865	XP_031828286.1	NP_001036440.1
OG0001866	XP_031829566.1	NP_610462.3
OG0001867	XP_031831307.1	NP_651658.1
OG0001868	XP_031850261.1, XP_031850259.1	NP_732113.3
OG0001869	XP_031842798.1	NP_477402.1
OG0001870	XP_031848449.1	NP_001285457.1
OG0001871	XP_031838912.1, XP_031838910.1, XP_031838915.1, XP_031838914.1, XP_031838909.1, XP_031838913.1, XP_031838916.1	NP_572522.2
OG0001872	XP_031829790.1, XP_031829786.1, XP_031829791.1, XP_031829792.1, XP_031829789.1, XP_031829788.1	NP_536773.1
OG0001873	XP_031838294.1	NP_730982.1
OG0001874	XP_031838908.1, XP_031838907.1	NP_477024.1
OG0001875	XP_031829438.1, XP_031829436.1	NP_511130.2
OG0001876	XP_031836303.1, XP_031836304.1	NP_001368952.1
OG0001877	XP_031843094.1, XP_031843095.1	NP_001014498.1
OG0001878	XP_031826950.1, XP_031826953.1	NP_001259740.1, NP_001260348.1
OG0001879	XP_031836882.1	NP_652101.2
OG0001880	XP_031834265.1, XP_031834266.1	NP_001033948.1
OG0001881	XP_031838677.1	NP_722959.1
OG0001882	XP_031839876.1	NP_001188575.1
OG0001883	XP_031840636.1, XP_031840635.1	NP_650805.1
OG0001884	XP_031836360.1, XP_031836371.1	NP_001188772.1
OG0001885	XP_031847320.1	NP_001262303.1
OG0001886	XP_031845352.1	NP_001261166.1
OG0001887	XP_031833205.1	NP_723772.2
OG0001888	XP_031848113.1, XP_031848135.1	NP_001286416.1
OG0001889	XP_031826081.1	NP_651593.1
OG0001890	XP_031832616.1	NP_609530.1
OG0001891	XP_031833450.1	NP_476733.1
OG0001892	XP_031825402.1, XP_031825404.1, XP_031825403.1	NP_001245925.1, NP_611294.1
OG0001893	XP_031830545.1, XP_031830544.1	NP_477049.2
OG0001894	XP_031828094.1	NP_001137875.1
OG0001895	XP_031832784.1	NP_524651.2
OG0001896	XP_031830619.1	NP_609570.1
OG0001897	XP_031827530.1	NP_611140.3
OG0001898	XP_031825713.1	NP_001263035.1
OG0001899	XP_031835797.1	NP_724878.2
OG0001900	XP_031829217.1	NP_001259735.1
OG0001901	XP_031849270.1	NP_651080.2
OG0001902	XP_031843070.1, XP_031843068.1	NP_001286818.1
OG0001903	XP_031828958.1	NP_001285675.1
OG0001905	XP_031833625.1	NP_001287263.1
OG0001906	XP_031830466.1	NP_001245625.1
OG0001908	XP_031846807.1, XP_031846815.1	NP_650314.1
OG0001909	XP_031845650.1, XP_031845653.1	NP_001033913.1
OG0001910	XP_031832395.1	NP_648745.1
OG0001912	XP_031840777.1, XP_031840774.1	NP_001286124.1
OG0001913	XP_031840928.1, XP_031840927.1, XP_031840924.1, XP_031840926.1, XP_031840925.1	NP_524909.1
OG0001914	XP_031847712.1	NP_608998.2, NP_001188704.1
OG0001915	XP_031825627.1, XP_031825626.1, XP_031825625.1, XP_031825628.1	NP_001014612.1
OG0001916	XP_031841017.1, XP_031841016.1	NP_648272.1
OG0001917	XP_031840313.1	NP_611237.2
OG0001919	XP_031844310.1	NP_610950.2
OG0001920	XP_031835841.1, XP_031835838.1, XP_031835844.1, XP_031835845.1, XP_031835840.1, XP_031835843.1, XP_031835839.1	NP_608361.3
OG0001921	XP_031843891.1	NP_001036438.1
OG0001922	XP_031841054.1	NP_001246140.1
OG0001923	XP_031827830.1	NP_726381.1
OG0001924	XP_031834843.1, XP_031834840.1	NP_609384.1
OG0001925	XP_031828758.1	NP_476618.1
OG0001926	XP_031830021.1	NP_609736.1
OG0001927	XP_031826835.1	NP_524688.1
OG0001928	XP_031830850.1	NP_001261246.1
OG0001929	XP_031830745.1	NP_001260566.1, NP_001260567.1
OG0001930	XP_031847914.1	NP_650547.1
OG0001931	XP_031844874.1, XP_031844875.1, XP_031844872.1, XP_031844873.1	NP_001097135.1
OG0001933	XP_031828207.1, XP_031828208.1, XP_031828206.1	NP_524431.2
OG0001935	XP_031846808.1, XP_031846809.1, XP_031846806.1	NP_001015254.1
OG0001936	XP_031830271.1	NP_001286158.1
OG0001937	XP_031844813.1	NP_001259619.1
OG0001938	XP_031843141.1, XP_031843140.1	NP_001286427.1
OG0001939	XP_031837972.1, XP_031837971.1, XP_031837974.1, XP_031837973.1	NP_649157.1
OG0001940	XP_031828224.1, XP_031828225.1, XP_031828226.1	NP_001287364.1
OG0001941	XP_031844452.1, XP_031844451.1	NP_001368962.1
OG0001942	XP_031826078.1, XP_031826114.1, XP_031826069.1, XP_031826087.1, XP_031826096.1, XP_031826104.1, XP_031826063.1	NP_001260565.1, NP_476804.1
OG0001943	XP_031835230.1	NP_001188918.1, NP_651214.2
OG0001944	XP_031839148.1, XP_031839149.1, XP_031839150.1	NP_001163494.1
OG0001945	XP_031850205.1, XP_031850206.1	NP_572873.2
OG0001946	XP_031835563.1	NP_001303420.1
OG0001947	XP_031848044.1	NP_649796.1
OG0001949	XP_031835765.1	NP_001285813.1
OG0001950	XP_031844308.1	NP_001261595.1
OG0001951	XP_031828253.1	NP_726846.1
OG0001952	XP_031830157.1, XP_031830206.1	NP_001245466.1
OG0001953	XP_031828731.1	NP_788450.1
OG0001954	XP_031841353.1, XP_031841352.1, XP_031841356.1, XP_031841355.1, XP_031841351.1	NP_001263037.1
OG0001959	XP_031843339.1	NP_649972.1
