Orthogroup	Nomia_melanderi	Polistes_dominula
OG0000914	XP_031829731.1	XP_015176440.1
OG0000916	XP_031850432.1	XP_015187295.1
OG0000917	XP_031837793.1, XP_031837792.1, XP_031837791.1, XP_031837790.1	XP_015188187.1
OG0000918	XP_031849896.1	XP_015182251.1
OG0000919	XP_031846090.1	XP_015175896.1
OG0000920	XP_031843972.1, XP_031843975.1, XP_031843974.1, XP_031843973.1	XP_015186775.1
OG0000921	XP_031830417.1, XP_031830420.1, XP_031830419.1, XP_031830418.1	XP_015171942.1, XP_015171935.1
OG0000922	XP_031830327.1	XP_015188485.1, XP_015188484.1, XP_015188483.1, XP_015188482.1
OG0000923	XP_031833875.1, XP_031833871.1	XP_015189867.1
OG0000924	XP_031836909.1, XP_031836915.1, XP_031836911.1, XP_031836910.1, XP_031836913.1, XP_031836912.1, XP_031836914.1	XP_015191506.1
OG0000925	XP_031847158.1	XP_015176121.1, XP_015176120.1
OG0000926	XP_031840751.1	XP_015175681.1, XP_015175680.1
OG0000927	XP_031839836.1	XP_015187147.1, XP_015187146.1
OG0000928	XP_031830819.1	XP_015188321.1
OG0000929	XP_031847350.1	XP_015184722.1
OG0000930	XP_031838030.1	XP_015188871.1, XP_015188869.1, XP_015188868.1
OG0000931	XP_031842654.1	XP_015184923.1
OG0000932	XP_031829394.1, XP_031829395.1, XP_031829396.1	XP_015178736.1
OG0000933	XP_031826029.1	XP_015178985.1
OG0000933	XP_031847184.1	XP_015184783.1
OG0000934	XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825492.1, XP_031825494.1	XP_015191661.1, XP_015191660.1
OG0000935	XP_031841678.1	XP_015179974.1
OG0000936	XP_031836984.1	XP_015188683.1
OG0000937	XP_031834127.1	XP_015188421.1
OG0000938	XP_031830083.1	XP_015177378.1
OG0000939	XP_031828134.1	XP_015171764.1
OG0000941	XP_031835056.1, XP_031835053.1, XP_031835054.1, XP_031835055.1	XP_015182643.1, XP_015182644.1, XP_015182645.1
OG0000942	XP_031843108.1	XP_015175750.1
OG0000943	XP_031842773.1, XP_031842772.1	XP_015181727.1, XP_015181728.1
OG0000944	XP_031848559.1, XP_031848553.1, XP_031848552.1, XP_031848551.1, XP_031848558.1, XP_031848556.1, XP_031848554.1, XP_031848555.1, XP_031848560.1	XP_015172595.1, XP_015172596.1
OG0000946	XP_031844012.1	XP_015179090.1
OG0000946	XP_031835959.1	XP_015187698.1
OG0000947	XP_031848499.1, XP_031832926.1	XP_015181411.1
OG0000948	XP_031837900.1	XP_015181362.1, XP_015181363.1
OG0000949	XP_031848725.1	XP_015188750.1, XP_015188751.1
OG0000950	XP_031843586.1, XP_031843585.1, XP_031843584.1	XP_015186768.1
OG0000951	XP_031829740.1, XP_031829741.1	XP_015189476.1, XP_015189477.1
OG0000952	XP_031841161.1	XP_015187741.1
OG0000953	XP_031839534.1	XP_015180772.1
OG0000954	XP_031836782.1	XP_015182023.1
OG0000954	XP_031836781.1	XP_015181551.1
OG0000955	XP_031840301.1	XP_015187096.1, XP_015187099.1
OG0000957	XP_031829798.1	XP_015190064.1
OG0000958	XP_031845528.1, XP_031845525.1, XP_031845526.1, XP_031845527.1, XP_031845530.1, XP_031845524.1	XP_015181014.1, XP_015181015.1, XP_015181013.1
OG0000959	XP_031843845.1	XP_015182535.1
OG0000959	XP_031843795.1	XP_015186927.1
OG0000960	XP_031831337.1	XP_015172046.1
OG0000962	XP_031829542.1, XP_031829543.1	XP_015185526.1, XP_015185519.1
OG0000963	XP_031841332.1, XP_031841325.1	XP_015176676.1, XP_015176675.1
OG0000964	XP_031839871.1	XP_015171839.1
OG0000965	XP_031838041.1	XP_015180575.1
OG0000965	XP_031838046.1	XP_015180584.1
OG0000966	XP_031840590.1, XP_031840615.1, XP_031840606.1, XP_031840597.1	XP_015178543.1, XP_015178535.1
OG0000967	XP_031845246.1, XP_031845248.1, XP_031845247.1	XP_015178106.1, XP_015178134.1, XP_015178125.1, XP_015178116.1
OG0000968	XP_031847191.1	XP_015176144.1
OG0000969	XP_031826522.1	XP_015188638.1
OG0000970	XP_031835789.1, XP_031835790.1, XP_031835791.1	XP_015175044.1
OG0000971	XP_031842853.1	XP_015175695.1
OG0000972	XP_031835597.1	XP_015171553.1, XP_015171554.1
OG0000973	XP_031829185.1	XP_015186443.1
OG0000974	XP_031829593.1, XP_031829600.1, XP_031829595.1	XP_015189633.1, XP_015189632.1
OG0000975	XP_031845071.1	XP_015177036.1
OG0000975	XP_031845069.1, XP_031845033.1	XP_015177027.1
OG0000976	XP_031840163.1, XP_031840165.1, XP_031840164.1	XP_015186917.1
OG0000977	XP_031831267.1	XP_015171419.1
OG0000978	XP_031847608.1	XP_015175367.1
OG0000978	XP_031849987.1	XP_015190980.1
OG0000979	XP_031835974.1	XP_015171776.1
OG0000979	XP_031832259.1	XP_015191604.1
OG0000981	XP_031842427.1	XP_015191624.1
OG0000983	XP_031848747.1	XP_015184122.1, XP_015184123.1
OG0000984	XP_031836326.1	XP_015172434.1
OG0000984	XP_031836325.1	XP_015172433.1
OG0000985	XP_031825882.1	XP_015179027.1, XP_015179026.1, XP_015179029.1
OG0000986	XP_031831865.1	XP_015181002.1
OG0000986	XP_031831618.1	XP_015172997.1, XP_015173003.1, XP_015173002.1
OG0000987	XP_031844672.1	XP_015174917.1
OG0000987	XP_031829207.1	XP_015172232.1
OG0000988	XP_031842060.1, XP_031842061.1, XP_031842062.1, XP_031842063.1, XP_031842064.1, XP_031842065.1	XP_015174119.1, XP_015174118.1, XP_015174120.1
OG0000989	XP_031827785.1	XP_015176292.1
OG0000990	XP_031848117.1	XP_015175953.1
OG0000992	XP_031835958.1	XP_015176311.1
OG0000993	XP_031839722.1, XP_031839721.1	XP_015179484.1
OG0000994	XP_031834946.1	XP_015182304.1
OG0000994	XP_031834954.1	XP_015182305.1
OG0000995	XP_031830724.1, XP_031830725.1	XP_015174088.1
OG0000996	XP_031842133.1	XP_015185752.1
OG0000997	XP_031833364.1	XP_015188106.1
OG0000997	XP_031833363.1	XP_015188102.1
OG0000998	XP_031829003.1, XP_031829004.1, XP_031829005.1	XP_015179630.1
OG0000999	XP_031830220.1	XP_015177401.1
OG0001000	XP_031828338.1, XP_031828339.1, XP_031828340.1, XP_031828341.1	XP_015172622.1, XP_015187087.1, XP_015187088.1
OG0001001	XP_031840300.1, XP_031840299.1	XP_015185344.1
OG0001001	XP_031845112.1	XP_015179997.1
OG0001002	XP_031842658.1	XP_015184907.1
OG0001003	XP_031830560.1	XP_015171955.1
OG0001004	XP_031847911.1	XP_015173692.1
OG0001004	XP_031847925.1, XP_031847926.1	XP_015181012.1
OG0001005	XP_031837283.1	XP_015190463.1
OG0001006	XP_031838535.1, XP_031838534.1	XP_015173951.1, XP_015173950.1
OG0001007	XP_031833032.1, XP_031833031.1, XP_031833030.1, XP_031833029.1, XP_031833028.1, XP_031833027.1, XP_031833026.1	XP_015174648.1
OG0001008	XP_031835367.1	XP_015181878.1
OG0001008	XP_031835364.1, XP_031835365.1, XP_031835366.1	XP_015181872.1
OG0001009	XP_031838051.1	XP_015180568.1
OG0001009	XP_031835649.1	XP_015181885.1
OG0001010	XP_031826530.1, XP_031826529.1	XP_015178164.1
OG0001011	XP_031846370.1	XP_015173222.1
OG0001012	XP_031831465.1	XP_015185266.1
OG0001013	XP_031837179.1	XP_015177366.1, XP_015177365.1
OG0001014	XP_031832622.1, XP_031832633.1	XP_015187836.1, XP_015187835.1
OG0001015	XP_031849460.1	XP_015177456.1
OG0001015	XP_031841047.1	XP_015179864.1
OG0001016	XP_031839438.1	XP_015188536.1
OG0001016	XP_031849170.1	XP_015177132.1
OG0001017	XP_031843977.1	XP_015177391.1
OG0001018	XP_031840129.1	XP_015173309.1
OG0001019	XP_031835710.1, XP_031835709.1, XP_031835716.1, XP_031835715.1, XP_031835714.1, XP_031835712.1, XP_031835718.1, XP_031835717.1, XP_031835719.1, XP_031835720.1, XP_031835711.1	XP_015177206.1
OG0001020	XP_031848395.1, XP_031848396.1, XP_031848391.1, XP_031848390.1, XP_031848388.1, XP_031848393.1, XP_031848392.1, XP_031848394.1	XP_015187551.1
OG0001022	XP_031841172.1	XP_015191555.1, XP_015191556.1
OG0001023	XP_031850182.1	XP_015186868.1
OG0001025	XP_031830711.1	XP_015173183.1, XP_015173182.1
OG0001026	XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1, XP_031826562.1	XP_015180087.1
OG0001027	XP_031833919.1	XP_015175288.1
OG0001028	XP_031839668.1	XP_015188132.1
OG0001028	XP_031836604.1	XP_015182313.1
OG0001029	XP_031828254.1, XP_031828243.1	XP_015177580.1, XP_015177573.1, XP_015177567.1
OG0001030	XP_031837571.1	XP_015178239.1
OG0001031	XP_031832463.1, XP_031832464.1	XP_015189664.1
OG0001032	XP_031840027.1	XP_015171354.1
OG0001032	XP_031835643.1	XP_015172562.1
OG0001033	XP_031840404.1	XP_015177748.1, XP_015177749.1, XP_015177752.1, XP_015177751.1, XP_015177750.1, XP_015177747.1
OG0001034	XP_031825483.1	XP_015179826.1, XP_015179827.1, XP_015179830.1, XP_015179831.1, XP_015179832.1
OG0001035	XP_031838336.1, XP_031838331.1, XP_031838335.1, XP_031838333.1, XP_031838332.1	XP_015171590.1, XP_015171589.1
OG0001036	XP_031826430.1	XP_015189522.1
OG0001036	XP_031826588.1	XP_015186622.1
OG0001037	XP_031834169.1, XP_031834168.1	XP_015178992.1
OG0001038	XP_031825338.1, XP_031825336.1, XP_031825337.1	XP_015184808.1, XP_015184811.1, XP_015184810.1, XP_015184807.1
OG0001039	XP_031835057.1	XP_015189450.1, XP_015189451.1
OG0001040	XP_031839503.1, XP_031839502.1, XP_031839504.1	XP_015184842.1
OG0001041	XP_031846760.1	XP_015186655.1, XP_015186654.1
OG0001042	XP_031839798.1	XP_015172705.1
OG0001043	XP_031826540.1, XP_031826539.1	XP_015185068.1, XP_015185072.1
OG0001044	XP_031829470.1	XP_015180939.1, XP_015180940.1, XP_015180941.1
OG0001045	XP_031845746.1	XP_015185458.1, XP_015185459.1, XP_015185456.1, XP_015185457.1, XP_015185462.1, XP_015185463.1, XP_015185461.1
OG0001046	XP_031841691.1, XP_031841690.1, XP_031841692.1	XP_015173825.1, XP_015173826.1
OG0001048	XP_031836053.1	XP_015186928.1
OG0001051	XP_031838556.1	XP_015191452.1
OG0001052	XP_031831642.1	XP_015180357.1, XP_015180358.1
OG0001054	XP_031827096.1, XP_031827097.1	XP_015173173.1
OG0001055	XP_031825448.1, XP_031825449.1, XP_031825446.1, XP_031825447.1	XP_015190402.1
OG0001056	XP_031850484.1, XP_031850485.1	XP_015179749.1, XP_015179748.1
OG0001057	XP_031833783.1	XP_015175264.1
OG0001058	XP_031848868.1	XP_015173539.1
OG0001059	XP_031839544.1	XP_015187659.1
OG0001059	XP_031837759.1	XP_015173846.1
OG0001060	XP_031845533.1, XP_031845535.1, XP_031845534.1	XP_015173589.1
OG0001061	XP_031845486.1, XP_031845485.1, XP_031845487.1	XP_015191193.1
OG0001063	XP_031847353.1	XP_015171771.1
OG0001063	XP_031849142.1	XP_015175807.1
OG0001064	XP_031833788.1, XP_031833785.1	XP_015175528.1, XP_015175527.1
OG0001065	XP_031843757.1	XP_015174858.1, XP_015174857.1
OG0001066	XP_031835635.1	XP_015180531.1, XP_015180532.1, XP_015180530.1
OG0001067	XP_031850277.1	XP_015182289.1
OG0001068	XP_031828065.1	XP_015184896.1
OG0001069	XP_031837032.1, XP_031837042.1, XP_031837054.1, XP_031837049.1	XP_015183176.1
OG0001070	XP_031839480.1	XP_015178305.1
OG0001071	XP_031837891.1	XP_015188159.1, XP_015188158.1, XP_015188153.1, XP_015188152.1, XP_015188154.1, XP_015188155.1, XP_015188156.1
OG0001072	XP_031825452.1	XP_015187375.1
OG0001073	XP_031844011.1	XP_015182675.1
OG0001073	XP_031843997.1	XP_015182688.1
OG0001074	XP_031844622.1	XP_015181351.1
OG0001074	XP_031844625.1	XP_015181344.1
OG0001075	XP_031828907.1	XP_015182276.1
OG0001076	XP_031847023.1	XP_015187043.1, XP_015187060.1
OG0001077	XP_031850143.1, XP_031850169.1, XP_031850178.1, XP_031850161.1, XP_031850152.1, XP_031850187.1	XP_015176545.1, XP_015176546.1
OG0001078	XP_031841266.1, XP_031841265.1	XP_015174323.1
OG0001079	XP_031831793.1, XP_031831794.1, XP_031831795.1, XP_031831792.1	XP_015180274.1, XP_015180275.1
OG0001081	XP_031837883.1	XP_015180222.1, XP_015180218.1
OG0001082	XP_031846912.1, XP_031846913.1	XP_015178374.1, XP_015178373.1
OG0001083	XP_031837197.1, XP_031837199.1, XP_031837198.1	XP_015180124.1, XP_015180122.1
OG0001084	XP_031836282.1	XP_015179989.1
OG0001085	XP_031831314.1	XP_015173687.1
OG0001086	XP_031845012.1	XP_015172964.1
OG0001087	XP_031832795.1	XP_015188495.1
OG0001090	XP_031845250.1, XP_031845252.1, XP_031845251.1	XP_015175110.1
OG0001091	XP_031829234.1	XP_015189101.1, XP_015189103.1
OG0001092	XP_031843453.1, XP_031843338.1	XP_015191425.1, XP_015191467.1
OG0001093	XP_031830830.1	XP_015187165.1, XP_015187166.1
OG0001094	XP_031827321.1	XP_015176080.1
OG0001095	XP_031839865.1, XP_031839868.1, XP_031839866.1, XP_031839867.1	XP_015184068.1
OG0001096	XP_031827068.1, XP_031827067.1	XP_015171385.1
OG0001097	XP_031847813.1, XP_031847814.1, XP_031847815.1	XP_015179419.1, XP_015179409.1
OG0001098	XP_031841773.1	XP_015184515.1
OG0001099	XP_031828604.1	XP_015191447.1
OG0001100	XP_031836436.1	XP_015174604.1
OG0001101	XP_031849211.1	XP_015177055.1
OG0001102	XP_031845478.1	XP_015176575.1, XP_015176574.1, XP_015176576.1
OG0001103	XP_031829966.1	XP_015176930.1
OG0001104	XP_031825419.1	XP_015188143.1, XP_015188146.1
OG0001105	XP_031831857.1	XP_015180113.1
OG0001106	XP_031847014.1	XP_015177824.1, XP_015177823.1
OG0001107	XP_031830156.1	XP_015188221.1, XP_015188220.1, XP_015188224.1, XP_015188222.1, XP_015188219.1, XP_015188218.1, XP_015172943.1
OG0001108	XP_031829899.1, XP_031829900.1	XP_015186207.1
OG0001109	XP_031829725.1	XP_015171708.1
OG0001110	XP_031849760.1	XP_015174699.1
OG0001111	XP_031832456.1, XP_031832457.1, XP_031832459.1	XP_015189229.1, XP_015189231.1
OG0001112	XP_031850475.1	XP_015186816.1, XP_015186814.1
OG0001113	XP_031831416.1, XP_031831417.1, XP_031831418.1	XP_015175661.1, XP_015175660.1
OG0001114	XP_031831044.1, XP_031831046.1, XP_031831045.1	XP_015177983.1
OG0001115	XP_031830931.1	XP_015180257.1
OG0001116	XP_031846067.1, XP_031846038.1, XP_031846058.1, XP_031846048.1	XP_015182647.1
OG0001117	XP_031830687.1	XP_015186405.1
OG0001118	XP_031834629.1, XP_031834628.1	XP_015184284.1, XP_015184283.1
OG0001119	XP_031838472.1	XP_015174575.1, XP_015174576.1, XP_015174573.1, XP_015174574.1, XP_015174577.1
OG0001120	XP_031831331.1	XP_015190181.1
OG0001121	XP_031839433.1	XP_015183325.1
OG0001122	XP_031847284.1, XP_031847283.1, XP_031847279.1, XP_031847281.1, XP_031847282.1	XP_015190629.1
OG0001123	XP_031844785.1, XP_031844784.1	XP_015177504.1, XP_015177505.1
OG0001124	XP_031830551.1, XP_031830549.1, XP_031830548.1, XP_031830550.1, XP_031830553.1, XP_031830552.1, XP_031830555.1, XP_031830554.1, XP_031830556.1, XP_031830547.1	XP_015180596.1
OG0001125	XP_031840553.1	XP_015182013.1
OG0001126	XP_031841826.1	XP_015182667.1
OG0001128	XP_031826517.1	XP_015185085.1, XP_015185078.1
OG0001129	XP_031838917.1	XP_015184969.1
OG0001130	XP_031847625.1, XP_031847624.1, XP_031847623.1, XP_031847622.1	XP_015181166.1
OG0001131	XP_031837293.1	XP_015183955.1
OG0001132	XP_031845080.1, XP_031845081.1	XP_015191585.1
OG0001134	XP_031840038.1, XP_031840041.1	XP_015179664.1
OG0001135	XP_031837433.1	XP_015174347.1, XP_015174346.1, XP_015174345.1, XP_015174344.1
OG0001136	XP_031837193.1, XP_031837194.1	XP_015171439.1
OG0001137	XP_031848945.1	XP_015176189.1
OG0001138	XP_031838555.1	XP_015178519.1, XP_015178520.1, XP_015178521.1, XP_015178522.1
OG0001139	XP_031842876.1	XP_015187655.1
OG0001140	XP_031845600.1	XP_015190502.1
OG0001141	XP_031841202.1, XP_031841200.1	XP_015175991.1
OG0001142	XP_031827112.1, XP_031827109.1	XP_015174958.1
OG0001143	XP_031835896.1, XP_031835895.1, XP_031835894.1	XP_015178784.1
OG0001144	XP_031843271.1	XP_015173283.1, XP_015173284.1, XP_015173282.1
OG0001145	XP_031839132.1	XP_015188195.1
OG0001146	XP_031831248.1	XP_015184501.1
OG0001147	XP_031828878.1	XP_015191828.1, XP_015191829.1
OG0001148	XP_031848863.1, XP_031849785.1, XP_031849782.1, XP_031849783.1, XP_031849787.1, XP_031849786.1, XP_031849784.1	XP_015179879.1, XP_015179878.1
OG0001149	XP_031849266.1	XP_015189152.1, XP_015189151.1
OG0001150	XP_031842218.1	XP_015182986.1
OG0001151	XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849992.1, XP_031849990.1	XP_015191401.1, XP_015191400.1, XP_015191399.1
OG0001152	XP_031847827.1, XP_031847828.1, XP_031847824.1, XP_031847825.1	XP_015183414.1, XP_015183413.1
OG0001153	XP_031846023.1	XP_015191605.1
OG0001154	XP_031842837.1, XP_031842832.1	XP_015183455.1
OG0001155	XP_031834568.1, XP_031834567.1	XP_015188999.1
OG0001156	XP_031830479.1	XP_015176838.1
OG0001157	XP_031837473.1	XP_015190398.1, XP_015190397.1
OG0001158	XP_031840384.1, XP_031840385.1, XP_031840382.1, XP_031840383.1, XP_031840386.1	XP_015187148.1
OG0001159	XP_031835542.1	XP_015175311.1
OG0001160	XP_031833230.1, XP_031833229.1, XP_031833231.1	XP_015177704.1
OG0001161	XP_031832965.1, XP_031832966.1	XP_015190331.1
OG0001161	XP_031832964.1	XP_015178959.1
OG0001162	XP_031831866.1, XP_031831870.1, XP_031831868.1, XP_031831877.1	XP_015180991.1, XP_015180988.1
OG0001163	XP_031848227.1, XP_031848226.1	XP_015180082.1, XP_015180085.1
OG0001164	XP_031848108.1, XP_031848107.1, XP_031848106.1, XP_031848112.1, XP_031848111.1, XP_031848105.1, XP_031848109.1	XP_015186011.1
OG0001165	XP_031831004.1	XP_015173072.1, XP_015173071.1
OG0001166	XP_031843554.1	XP_015177607.1, XP_015177606.1
OG0001167	XP_031839058.1	XP_015185361.1, XP_015185360.1
OG0001168	XP_031829250.1, XP_031829251.1, XP_031829252.1	XP_015172453.1, XP_015172452.1, XP_015172451.1, XP_015172449.1, XP_015172448.1
OG0001169	XP_031833074.1, XP_031833075.1, XP_031833076.1	XP_015171515.1
OG0001170	XP_031831612.1, XP_031831613.1, XP_031831614.1, XP_031831615.1, XP_031831616.1, XP_031831617.1, XP_031831610.1, XP_031831611.1	XP_015185911.1
OG0001171	XP_031828829.1	XP_015191603.1
OG0001171	XP_031828826.1	XP_015191598.1
OG0001172	XP_031825538.1	XP_015171202.1, XP_015171200.1
OG0001173	XP_031841957.1	XP_015189669.1
OG0001174	XP_031827409.1	XP_015173128.1
OG0001175	XP_031828128.1	XP_015176134.1
OG0001176	XP_031834937.1	XP_015182301.1, XP_015182300.1
OG0001178	XP_031839757.1	XP_015171826.1
OG0001179	XP_031831151.1	XP_015186516.1
OG0001180	XP_031836832.1	XP_015187233.1, XP_015187221.1
OG0001181	XP_031836645.1, XP_031836646.1	XP_015172124.1, XP_015172126.1
OG0001183	XP_031840853.1, XP_031840854.1, XP_031840856.1	XP_015172681.1, XP_015172673.1
OG0001184	XP_031838856.1, XP_031838836.1	XP_015172607.1, XP_015172608.1
OG0001185	XP_031841411.1	XP_015177630.1, XP_015177626.1, XP_015177624.1
OG0001186	XP_031829896.1, XP_031829894.1	XP_015186151.1
OG0001187	XP_031830169.1	XP_015188783.1
OG0001188	XP_031833789.1	XP_015185921.1, XP_015185920.1, XP_015185922.1
OG0001189	XP_031837106.1	XP_015185561.1
OG0001190	XP_031834554.1	XP_015174310.1, XP_015174309.1, XP_015174312.1
OG0001191	XP_031843053.1	XP_015177203.1, XP_015177266.1
OG0001193	XP_031845506.1	XP_015179540.1
OG0001195	XP_031847247.1	XP_015187704.1
OG0001197	XP_031827328.1	XP_015171203.1
OG0001197	XP_031827325.1, XP_031827322.1	XP_015171190.1
OG0001198	XP_031846224.1	XP_015182891.1, XP_015182890.1
OG0001199	XP_031828008.1, XP_031828010.1, XP_031828009.1	XP_015176915.1, XP_015176914.1, XP_015176913.1, XP_015176912.1
OG0001201	XP_031841542.1, XP_031841541.1	XP_015183363.1
OG0001202	XP_031828823.1	XP_015181375.1
OG0001203	XP_031833769.1	XP_015183768.1, XP_015183767.1
OG0001204	XP_031841233.1, XP_031841236.1, XP_031841235.1, XP_031841231.1, XP_031841229.1, XP_031841230.1, XP_031841227.1, XP_031841228.1, XP_031841234.1	XP_015178874.1, XP_015178876.1, XP_015178875.1, XP_015178877.1
OG0001205	XP_031842950.1	XP_015179313.1
OG0001205	XP_031835196.1	XP_015184912.1
OG0001206	XP_031825983.1, XP_031825985.1	XP_015178002.1
OG0001207	XP_031841330.1, XP_031841333.1	XP_015186400.1
OG0001208	XP_031825285.1	XP_015176539.1
OG0001209	XP_031848110.1, XP_031848101.1, XP_031848116.1	XP_015187398.1
OG0001210	XP_031834155.1	XP_015181180.1
OG0001211	XP_031826484.1	XP_015183488.1
OG0001212	XP_031839309.1, XP_031839308.1	XP_015171700.1
OG0001214	XP_031846977.1	XP_015176674.1
OG0001215	XP_031832928.1	XP_015178220.1, XP_015178221.1, XP_015178219.1
OG0001216	XP_031828028.1, XP_031828030.1, XP_031828029.1	XP_015171674.1
OG0001217	XP_031826724.1	XP_015176078.1
OG0001218	XP_031849120.1, XP_031849119.1, XP_031849122.1, XP_031849121.1	XP_015173300.1, XP_015173299.1
OG0001219	XP_031827401.1	XP_015184876.1
OG0001220	XP_031827100.1	XP_015182517.1
OG0001221	XP_031834094.1	XP_015176774.1
OG0001222	XP_031842497.1	XP_015191741.1, XP_015191739.1
OG0001223	XP_031838610.1, XP_031838616.1, XP_031838615.1, XP_031838617.1, XP_031838611.1, XP_031838614.1, XP_031838613.1, XP_031838609.1	XP_015188320.1
OG0001224	XP_031827291.1	XP_015188607.1, XP_015188608.1, XP_015188605.1
OG0001225	XP_031830495.1, XP_031830486.1, XP_031830477.1, XP_031830504.1	XP_015188945.1
OG0001226	XP_031843526.1, XP_031843549.1, XP_031843535.1	XP_015186603.1
OG0001228	XP_031842589.1, XP_031842580.1	XP_015179126.1
OG0001229	XP_031828490.1, XP_031828489.1	XP_015176745.1, XP_015176746.1, XP_015176718.1
OG0001230	XP_031825407.1, XP_031825406.1, XP_031825408.1, XP_031825409.1	XP_015184518.1, XP_015184491.1
OG0001231	XP_031827719.1	XP_015177060.1
OG0001232	XP_031826003.1	XP_015171372.1
OG0001233	XP_031850380.1, XP_031850381.1	XP_015178688.1, XP_015178686.1
OG0001234	XP_031836380.1	XP_015174623.1, XP_015174621.1, XP_015174622.1
OG0001236	XP_031831459.1, XP_031831458.1	XP_015185251.1, XP_015185250.1
OG0001237	XP_031835562.1	XP_015185478.1
OG0001238	XP_031829656.1	XP_015173641.1, XP_015173650.1
OG0001239	XP_031847045.1, XP_031847044.1, XP_031847043.1	XP_015186664.1, XP_015186665.1, XP_015186666.1
OG0001240	XP_031835644.1	XP_015178294.1
OG0001241	XP_031838566.1, XP_031838572.1	XP_015190087.1, XP_015190089.1
OG0001242	XP_031828137.1	XP_015191735.1, XP_015191763.1, XP_015191743.1
OG0001243	XP_031835758.1	XP_015178458.1, XP_015178456.1, XP_015178457.1
OG0001244	XP_031835620.1, XP_031835617.1, XP_031835622.1, XP_031835621.1, XP_031835618.1, XP_031835616.1	XP_015171549.1, XP_015171550.1
OG0001245	XP_031828886.1	XP_015181465.1, XP_015181466.1
OG0001246	XP_031829204.1	XP_015181421.1
OG0001247	XP_031835908.1	XP_015176779.1, XP_015176782.1, XP_015176783.1, XP_015176780.1
OG0001248	XP_031837941.1, XP_031837940.1	XP_015183140.1
OG0001249	XP_031828276.1, XP_031828272.1, XP_031828274.1, XP_031828271.1, XP_031828275.1	XP_015177561.1, XP_015177565.1, XP_015177562.1, XP_015177566.1
OG0001250	XP_031830099.1	XP_015191522.1, XP_015191523.1
OG0001251	XP_031846025.1	XP_015174771.1, XP_015174772.1
OG0001252	XP_031842610.1	XP_015174681.1
OG0001253	XP_031849889.1, XP_031849887.1, XP_031849890.1, XP_031849891.1, XP_031849888.1, XP_031849893.1	XP_015177639.1
OG0001254	XP_031836877.1	XP_015182745.1
OG0001255	XP_031836220.1, XP_031836222.1	XP_015173425.1
OG0001256	XP_031847031.1	XP_015186656.1
OG0001257	XP_031841207.1	XP_015173761.1, XP_015173760.1
OG0001258	XP_031829337.1	XP_015172818.1
OG0001259	XP_031843405.1	XP_015175371.1
OG0001261	XP_031835191.1, XP_031835190.1	XP_015184901.1
OG0001262	XP_031836705.1, XP_031836706.1, XP_031836704.1, XP_031836707.1	XP_015182580.1, XP_015182583.1, XP_015182582.1, XP_015182581.1
OG0001263	XP_031844282.1, XP_031844255.1, XP_031844290.1, XP_031844273.1, XP_031844265.1	XP_015178787.1, XP_015178793.1
OG0001264	XP_031837645.1	XP_015185167.1, XP_015185168.1
OG0001265	XP_031850564.1	XP_015185428.1
OG0001267	XP_031829944.1	XP_015176612.1
OG0001268	XP_031848041.1	XP_015186249.1
OG0001268	XP_031837915.1	XP_015173573.1
OG0001269	XP_031828356.1	XP_015182444.1, XP_015182447.1
OG0001270	XP_031847869.1, XP_031847871.1, XP_031847870.1	XP_015180459.1, XP_015180458.1, XP_015180461.1
OG0001271	XP_031833039.1	XP_015180489.1, XP_015180487.1
OG0001272	XP_031848005.1, XP_031848004.1	XP_015184964.1
OG0001273	XP_031825300.1	XP_015184512.1
OG0001274	XP_031831250.1, XP_031831253.1, XP_031831252.1	XP_015177902.1, XP_015171720.1
OG0001275	XP_031843127.1, XP_031843122.1, XP_031843120.1, XP_031843126.1, XP_031843125.1, XP_031843123.1, XP_031843124.1, XP_031843121.1, XP_031843118.1, XP_031843129.1, XP_031843128.1	XP_015175751.1
OG0001277	XP_031849594.1	XP_015175198.1
OG0001278	XP_031842631.1, XP_031842630.1	XP_015178499.1
OG0001280	XP_031836378.1, XP_031836376.1, XP_031836377.1	XP_015176453.1
OG0001281	XP_031841211.1	XP_015188051.1
OG0001281	XP_031841213.1	XP_015188053.1
OG0001282	XP_031843834.1	XP_015187689.1, XP_015187690.1, XP_015187692.1, XP_015187691.1
OG0001283	XP_031826033.1, XP_031826039.1	XP_015175231.1
OG0001284	XP_031840888.1, XP_031840892.1	XP_015172687.1
OG0001286	XP_031837251.1, XP_031837249.1, XP_031837250.1	XP_015171745.1
OG0001287	XP_031832468.1	XP_015182461.1, XP_015182509.1
OG0001288	XP_031846235.1	XP_015180066.1, XP_015180067.1, XP_015180068.1
OG0001289	XP_031832117.1, XP_031832116.1, XP_031832118.1	XP_015171075.1
OG0001290	XP_031847509.1	XP_015176240.1
OG0001291	XP_031827458.1	XP_015179207.1, XP_015179208.1
OG0001292	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1	XP_015187484.1, XP_015187483.1, XP_015187486.1, XP_015187485.1, XP_015187481.1, XP_015187482.1
OG0001293	XP_031830818.1, XP_031830817.1, XP_031830816.1	XP_015188324.1
