Orthogroup	Nomia_melanderi	Acyrthosiphon_pisum
OG0001091	XP_031829234.1	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2
OG0001092	XP_031843453.1, XP_031843338.1	NP_001155140.1, XP_008187000.1
OG0001093	XP_031830830.1	XP_008179870.1, NP_001155505.1
OG0001094	XP_031827321.1	NP_001155508.1, XP_001949834.1
OG0001095	XP_031839865.1, XP_031839868.1, XP_031839866.1, XP_031839867.1	NP_001156278.1, NP_001155646.1
OG0001096	XP_031827068.1, XP_031827067.1	NP_001155662.1
OG0001097	XP_031847813.1, XP_031847814.1, XP_031847815.1	NP_001155680.1
OG0001098	XP_031841773.1	XP_016661622.1, NP_001155733.1
OG0001099	XP_031828604.1	XP_029348134.1, NP_001155764.1
OG0001100	XP_031836157.1, XP_031836158.1, XP_031836436.1	NP_001155768.1
OG0001101	XP_031849211.1	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1
OG0001102	XP_031845478.1	NP_001156053.1
OG0001103	XP_031829966.1	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1
OG0001104	XP_031825419.1	NP_001156133.1, XP_008181357.1
OG0001105	XP_031831857.1	NP_001156173.1, NP_001233027.1
OG0001106	XP_031847014.1	XP_029341550.1, NP_001156267.1
OG0001107	XP_031830156.1	NP_001233091.1, XP_001946336.2
OG0001108	XP_031829899.1, XP_031829900.1	XP_008181413.1, XP_008181414.1, NP_001280378.1
OG0001109	XP_031829725.1	XP_008188103.1, NP_001280404.1, XP_029343710.1
OG0001110	XP_031849760.1	XP_001942870.1, XP_029341142.1
OG0001111	XP_031832456.1, XP_031832457.1, XP_031832459.1	XP_001943176.2
OG0001112	XP_031850475.1	XP_001943561.1
OG0001113	XP_031831416.1, XP_031831417.1, XP_031831418.1	XP_001943767.1
OG0001114	XP_031831044.1, XP_031831046.1, XP_031831045.1	XP_001943824.1
OG0001115	XP_031830931.1	XP_001944095.2
OG0001116	XP_031846067.1, XP_031846038.1, XP_031846058.1, XP_031846048.1	XP_001944235.1
OG0001117	XP_031830687.1	XP_001944518.2
OG0001118	XP_031834629.1, XP_031834628.1	XP_001944745.2, XP_003242948.1
OG0001119	XP_031838472.1	XP_001945455.1
OG0001120	XP_031831331.1	XP_001945509.2
OG0001121	XP_031839433.1	XP_003240109.1, XP_001945890.2
OG0001122	XP_031847284.1, XP_031847283.1, XP_031847279.1, XP_031847281.1, XP_031847282.1	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1
OG0001123	XP_031844785.1, XP_031844784.1	XP_001946462.2
OG0001124	XP_031830551.1, XP_031830549.1, XP_031830548.1, XP_031830550.1, XP_031830553.1, XP_031830552.1, XP_031830555.1, XP_031830554.1, XP_031830556.1, XP_031830547.1	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1
OG0001125	XP_031840553.1	XP_003242835.1, XP_001947132.2
OG0001126	XP_031841826.1	XP_016657415.1, XP_001947403.1
OG0001127	XP_031840334.1, XP_031840329.1	XP_001947574.2
OG0001128	XP_031826517.1	XP_001947778.1, XP_008186751.2
OG0001129	XP_031838917.1	XP_003243491.1, XP_001947806.2
OG0001130	XP_031847625.1, XP_031847624.1, XP_031847623.1, XP_031847622.1	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1
OG0001131	XP_031837293.1, XP_031837292.1	XP_008187678.1, XP_001947895.2
OG0001132	XP_031845080.1, XP_031845081.1	XP_001948183.1
OG0001134	XP_031840038.1, XP_031840041.1	XP_001948516.2
OG0001135	XP_031837433.1	XP_029341736.1, XP_001949162.2, XP_016662877.1
OG0001136	XP_031837193.1, XP_031837194.1	XP_001949200.2
OG0001137	XP_031848945.1	XP_001949566.1
OG0001138	XP_031838555.1	XP_016659058.1, XP_001949598.1
OG0001139	XP_031842876.1	XP_001949754.1
OG0001140	XP_031845600.1	XP_001950299.1
OG0001141	XP_031841202.1, XP_031841200.1	XP_016663836.1, XP_001950325.2
OG0001142	XP_031827112.1, XP_031827109.1	XP_001950807.2, XP_029346999.1
OG0001143	XP_031835896.1, XP_031835895.1, XP_031835894.1	XP_001950810.1
OG0001144	XP_031843271.1	XP_001950825.2
OG0001145	XP_031839132.1	XP_001950913.1
OG0001146	XP_031831248.1	XP_001950937.1
OG0001147	XP_031828878.1	XP_001950988.1
OG0001148	XP_031848863.1, XP_031849785.1, XP_031849782.1, XP_031849783.1, XP_031849787.1, XP_031849786.1, XP_031849784.1	XP_001951126.1
OG0001149	XP_031849266.1	XP_001951630.1
OG0001150	XP_031842218.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849992.1, XP_031849990.1	XP_016658645.1, XP_001952434.2
OG0001152	XP_031847827.1, XP_031847828.1, XP_031847824.1, XP_031847825.1	XP_001952516.2
OG0001153	XP_031846023.1	XP_029345485.1, XP_001952587.2
OG0001154	XP_031842837.1, XP_031842832.1	XP_016662028.1, XP_001952667.2
OG0001155	XP_031834568.1, XP_031834567.1	XP_001952747.1
OG0001156	XP_031830479.1	XP_016664861.1, XP_003241429.1
OG0001157	XP_031837473.1	XP_003243823.1
OG0001158	XP_031840384.1, XP_031840385.1, XP_031840382.1, XP_031840383.1, XP_031840386.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	XP_031835542.1	XP_003245082.1
OG0001160	XP_031833230.1, XP_031833229.1, XP_031833231.1	XP_003245361.2
OG0001161	XP_031832965.1, XP_031832966.1	XP_008183803.1
OG0001161	XP_031832964.1	XP_003246305.2
OG0001162	XP_031831866.1, XP_031831870.1, XP_031831868.1, XP_031831877.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001163	XP_031848227.1, XP_031848226.1	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1
OG0001164	XP_031848108.1, XP_031848107.1, XP_031848106.1, XP_031848112.1, XP_031848111.1, XP_031848105.1, XP_031848109.1	XP_003247679.1
OG0001165	XP_031831004.1	XP_008179184.1, XP_008179192.1
OG0001166	XP_031843554.1	XP_008179444.1
OG0001167	XP_031839058.1	XP_008181511.1, XP_008181512.1
OG0001168	XP_031829250.1, XP_031829251.1, XP_031829252.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_031833074.1, XP_031833075.1, XP_031833076.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_031831612.1, XP_031831613.1, XP_031831614.1, XP_031831615.1, XP_031831616.1, XP_031831617.1, XP_031831610.1, XP_031831611.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_031828829.1, XP_031828826.1	XP_008183856.1
OG0001172	XP_031825538.1	XP_008184424.1
OG0001173	XP_031841957.1	XP_008184447.1
OG0001174	XP_031831463.1, XP_031827409.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_031828128.1	XP_008185682.1
OG0001176	XP_031834937.1	XP_008188774.1
OG0001178	XP_031839757.1	XP_008189853.1
OG0001179	XP_031831151.1	XP_008190154.1
OG0001180	XP_031836832.1	XP_016657120.1
OG0001181	XP_031836645.1, XP_031836646.1	XP_016657278.1
OG0001182	XP_031828845.1	XP_016657683.1
OG0001183	XP_031840853.1, XP_031840854.1, XP_031840856.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_031838856.1, XP_031838836.1	XP_016659463.1
OG0001185	XP_031841411.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_031829896.1, XP_031829894.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_031830169.1	XP_016661530.1, XP_029346066.1
OG0001188	XP_031833789.1	XP_016664405.1, XP_016662933.1
OG0001189	XP_031837106.1	XP_029343923.1
OG0001190	XP_031834554.1	XP_029344471.1
OG0001191	XP_031843053.1	XP_029346223.1
OG0001193	XP_031845506.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_031846977.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_031832928.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_031828028.1, XP_031828030.1, XP_031828029.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_031826724.1	NP_001155454.1
OG0001218	XP_031849120.1, XP_031849119.1, XP_031849122.1, XP_031849121.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_031827401.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_031827100.1	NP_001155533.1
OG0001221	XP_031834094.1	XP_001951050.1
OG0001222	XP_031842497.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_031838610.1, XP_031838616.1, XP_031838615.1, XP_031838617.1, XP_031838611.1, XP_031838614.1, XP_031838613.1, XP_031838609.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_031827291.1	NP_001156103.1
OG0001225	XP_031830495.1, XP_031830486.1, XP_031830477.1, XP_031830504.1	NP_001156193.1
OG0001226	XP_031843526.1, XP_031843549.1, XP_031843535.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001228	XP_031842589.1, XP_031842580.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_031828490.1, XP_031828489.1	NP_001280441.1
OG0001230	XP_031825407.1, XP_031825406.1, XP_031825408.1, XP_031825409.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_031827719.1	XP_001943183.2, XP_008186393.1
OG0001232	XP_031826003.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_031850380.1, XP_031850381.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_031836380.1	XP_001943476.2
OG0001236	XP_031831459.1, XP_031831458.1	XP_001944534.1
OG0001237	XP_031835562.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_031829656.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_031847045.1, XP_031847044.1, XP_031847043.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_031835644.1	XP_001945375.1
OG0001241	XP_031838566.1, XP_031838572.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_031828137.1	XP_001946147.2
OG0001243	XP_031835758.1	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1
OG0001244	XP_031835620.1, XP_031835617.1, XP_031835622.1, XP_031835621.1, XP_031835618.1, XP_031835616.1	XP_001946280.2
OG0001245	XP_031828886.1	XP_001946431.1
OG0001246	XP_031829204.1	XP_001947027.2
OG0001247	XP_031835908.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_031837941.1, XP_031837940.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_031828276.1, XP_031828272.1, XP_031828274.1, XP_031828271.1, XP_031828275.1	XP_008179609.1, XP_001947420.1
OG0001250	XP_031830099.1	XP_001947917.2
OG0001251	XP_031845850.1, XP_031846025.1	XP_029344523.1, XP_029344522.1, XP_001948243.2
OG0001252	XP_031842610.1	XP_001948261.1
OG0001253	XP_031849889.1, XP_031849887.1, XP_031849890.1, XP_031849891.1, XP_031849888.1, XP_031849893.1	XP_001948411.2, XP_008187442.1
OG0001254	XP_031836877.1	XP_001948594.2
OG0001255	XP_031836220.1, XP_031836222.1	XP_001948774.2
OG0001256	XP_031847031.1, XP_031847017.1	XP_001949446.1
OG0001257	XP_031841207.1	XP_001949480.1
OG0001258	XP_031829338.1, XP_031829337.1	XP_001949498.2
OG0001259	XP_031843405.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	XP_031842792.1	XP_001950152.1
OG0001261	XP_031835191.1, XP_031835190.1	XP_001950183.1
OG0001262	XP_031836705.1, XP_031836706.1, XP_031836704.1, XP_031836707.1	XP_001950417.1
OG0001263	XP_031844282.1, XP_031844255.1, XP_031844290.1, XP_031844273.1, XP_031844265.1	XP_001950431.1
OG0001264	XP_031837645.1	XP_001950522.1, XP_016657964.1
OG0001265	XP_031850564.1	XP_029347050.1, XP_001950878.2
OG0001267	XP_031829944.1	XP_001951732.1
OG0001268	XP_031848041.1, XP_031837915.1	XP_001952629.1, XP_008187935.1
OG0001269	XP_031828356.1	XP_003240957.1
OG0001270	XP_031847869.1, XP_031847871.1, XP_031847870.1	XP_003241121.1
OG0001271	XP_031833039.1	XP_029342269.1, XP_029342268.1
OG0001272	XP_031848005.1, XP_031848004.1	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	XP_031825300.1	XP_029341105.1, XP_003243017.1
OG0001274	XP_031831250.1, XP_031831253.1, XP_031831252.1	XP_003243163.1, XP_029347052.1
OG0001275	XP_031843127.1, XP_031843122.1, XP_031843120.1, XP_031843126.1, XP_031843125.1, XP_031843123.1, XP_031843124.1, XP_031843121.1, XP_031843118.1, XP_031843129.1, XP_031843128.1	XP_003243501.1
OG0001277	XP_031849594.1	XP_003243733.1
OG0001278	XP_031842631.1, XP_031842630.1	XP_003244422.1
OG0001279	XP_031834340.1, XP_031834334.1	XP_008183368.1, XP_003244722.1
OG0001280	XP_031836378.1, XP_031836376.1, XP_031836377.1	XP_003245599.2
OG0001281	XP_031841211.1, XP_031841217.1, XP_031841213.1	XP_003246179.1
OG0001282	XP_031843834.1	XP_003248149.1
OG0001283	XP_031826033.1, XP_031826039.1	XP_003248478.1
OG0001284	XP_031840888.1, XP_031840892.1	XP_008182531.1, XP_003248714.1
OG0001286	XP_031837251.1, XP_031837249.1, XP_031837250.1	XP_008178165.1
OG0001287	XP_031832468.1	XP_008178607.1
OG0001288	XP_031846235.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	XP_031832117.1, XP_031832116.1, XP_031832118.1	XP_008181498.1
OG0001290	XP_031847509.1	XP_016657448.1, XP_008181527.1
OG0001291	XP_031827458.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1	XP_029343143.1, XP_008185152.1
OG0001293	XP_031830818.1, XP_031830817.1, XP_031830816.1	XP_008185156.1
OG0001294	XP_031843176.1	XP_008186956.1
OG0001295	XP_031838158.1, XP_031838161.1	XP_008187592.1
OG0001298	XP_031840360.1, XP_031840352.1	XP_016657557.1
OG0001299	XP_031828141.1, XP_031828142.1, XP_031828143.1, XP_031828144.1, XP_031828150.1, XP_031828149.1, XP_031828148.1, XP_031828147.1, XP_031828151.1, XP_031828146.1, XP_031828145.1	XP_016659670.1, XP_016659669.1
OG0001300	XP_031826697.1, XP_031826698.1, XP_031826700.1, XP_031826701.1	XP_016660087.1
OG0001301	XP_031837166.1	XP_016660634.1, XP_016660633.1
OG0001302	XP_031839445.1	XP_029347290.1, XP_016662733.1, XP_029347289.1
OG0001303	XP_031836036.1, XP_031836031.1	XP_029341792.1
OG0001304	XP_031842733.1, XP_031842732.1	XP_029342867.1
OG0001305	XP_031826008.1, XP_031826009.1	XP_029348564.1, XP_029342894.1
OG0001306	XP_031835907.1, XP_031835905.1	XP_029344330.1
OG0001307	XP_031831249.1	XP_029345473.1
OG0001308	XP_031849959.1, XP_031849958.1, XP_031849961.1, XP_031849960.1	XP_029346361.1, XP_029346360.1
OG0001328	XP_031848264.1	NP_001127773.1, XP_029341919.1
OG0001329	XP_031826433.1	NP_001155492.1, XP_029344755.1
OG0001330	XP_031829309.1	NP_001155497.1, XP_008186537.1
OG0001331	XP_031830314.1, XP_031830315.1	NP_001155755.1
OG0001332	XP_031827123.1	XP_001952298.1, NP_001155769.1
OG0001333	XP_031839036.1, XP_031839044.1, XP_031839064.1, XP_031839054.1, XP_031839026.1	NP_001155777.1
OG0001334	XP_031848710.1, XP_031848768.1	NP_001191927.1, NP_001156237.1
OG0001335	XP_031831030.1, XP_031831035.1	XP_016663531.1, NP_001156244.1
OG0001337	XP_031831567.1	NP_001191891.1
OG0001338	XP_031835378.1	NP_001191907.1, XP_008181953.1
OG0001339	XP_031844660.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	XP_031828602.1, XP_031828603.1	NP_001280445.1
OG0001341	XP_031831053.1	NP_001313591.2
OG0001342	XP_031833558.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	XP_031832640.1, XP_031829559.1	XP_001942773.2
OG0001344	XP_031835052.1, XP_031835051.1	XP_016660225.1, XP_001943014.1
OG0001345	XP_031833915.1, XP_031833916.1, XP_031833917.1	XP_001943716.2
OG0001346	XP_031831357.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	XP_031850371.1	XP_001944211.2, XP_016658906.1
OG0001348	XP_031830189.1, XP_031830188.1	XP_001944238.2
OG0001349	XP_031843257.1	XP_001944356.1
OG0001350	XP_031829515.1, XP_031829516.1, XP_031829514.1	XP_001944460.2
OG0001351	XP_031843190.1, XP_031843189.1	XP_001945250.1
OG0001352	XP_031841391.1, XP_031841390.1	XP_001945276.1
OG0001353	XP_031843230.1, XP_031843222.1, XP_031843212.1, XP_031843250.1, XP_031843269.1, XP_031843260.1, XP_031843241.1	XP_001945743.2, XP_008186641.1
OG0001354	XP_031825423.1	XP_001945744.2
OG0001355	XP_031836234.1	XP_008189594.1, XP_001946293.2
OG0001356	XP_031838885.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001357	XP_031828079.1	XP_001947400.1
OG0001358	XP_031848843.1, XP_031843014.1, XP_031843010.1	XP_003246991.1, XP_001947503.2
OG0001359	XP_031826878.1	XP_001947632.1
OG0001360	XP_031826318.1, XP_031826319.1, XP_031826317.1, XP_031826315.1, XP_031826314.1, XP_031826320.1	XP_001947656.2
OG0001361	XP_031841638.1, XP_031841637.1	XP_001947660.2
OG0001362	XP_031825612.1, XP_031825616.1	XP_001947761.1
OG0001363	XP_031848442.1, XP_031844040.1	XP_001947957.1
OG0001364	XP_031845393.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	XP_031849162.1, XP_031849163.1, XP_031849159.1, XP_031849161.1, XP_031849158.1	XP_001948118.2
OG0001366	XP_031831702.1	XP_001948171.2, XP_001950714.1
OG0001368	XP_031837902.1	XP_001948360.1
OG0001369	XP_031826221.1, XP_031826222.1	XP_001948582.1
OG0001370	XP_031831562.1, XP_031831564.1	XP_001948788.2, XP_008187828.1
OG0001371	XP_031846829.1	XP_001948959.2
OG0001372	XP_031831438.1	XP_001949037.2
OG0001373	XP_031829064.1	XP_001949375.2, XP_029342280.1
OG0001374	XP_031833052.1	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	XP_031836086.1	XP_001949712.2
OG0001376	XP_031838127.1	XP_001949866.1, XP_029343706.1
OG0001377	XP_031836272.1, XP_031836271.1	XP_016657316.1, XP_001951160.1
OG0001378	XP_031826385.1	XP_001951169.1
OG0001379	XP_031841510.1, XP_031841519.1	XP_001951442.2, XP_003248624.2
OG0001380	XP_031850548.1, XP_031850546.1, XP_031850543.1, XP_031850544.1, XP_031850547.1, XP_031850545.1	XP_001951739.1
OG0001381	XP_031843951.1, XP_031843957.1	XP_001952158.1, XP_003244080.1
OG0001382	XP_031843723.1	XP_001952349.1, XP_029347207.1
OG0001383	XP_031845608.1, XP_031845607.1, XP_031845606.1, XP_031845609.1	XP_001952705.1
OG0001384	XP_031838470.1, XP_031838471.1	XP_003241026.1
OG0001385	XP_031825524.1	XP_003242732.1
OG0001386	XP_031831495.1	XP_003242991.1, XP_029342070.1
OG0001387	XP_031831431.1, XP_031831428.1, XP_031831425.1, XP_031831426.1, XP_031831433.1, XP_031831423.1, XP_031831424.1, XP_031831430.1, XP_031831429.1, XP_031831427.1, XP_031831432.1	XP_003243016.1
OG0001388	XP_031849768.1, XP_031849767.1, XP_031849769.1	XP_003243736.1
OG0001389	XP_031837756.1	XP_003243952.1
OG0001390	XP_031832391.1, XP_031832390.1, XP_031832392.1	XP_003245614.1
OG0001391	XP_031843905.1	XP_003246597.1
OG0001392	XP_031842053.1	XP_003246638.2
OG0001393	XP_031826449.1, XP_031826448.1	XP_003246906.1
OG0001394	XP_031849011.1	XP_003247560.1
OG0001395	XP_031848889.1, XP_031827709.1, XP_031827726.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	XP_031844734.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	XP_031846201.1, XP_031846203.1, XP_031846202.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	XP_031844140.1	XP_008179523.1
OG0001399	XP_031839412.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	XP_031829339.1	XP_008180537.1
OG0001401	XP_031842683.1	XP_008182079.1
OG0001402	XP_031835822.1	XP_008183444.1, XP_008183443.1
OG0001403	XP_031842747.1, XP_031842652.1	XP_008183955.3
OG0001404	XP_031849366.1, XP_031849367.1, XP_031849364.1, XP_031849365.1, XP_031849363.1	XP_008184962.1
OG0001405	XP_031836639.1	XP_008185959.1
OG0001406	XP_031845978.1	XP_008186629.1
OG0001407	XP_031840571.1	XP_008186697.1
OG0001408	XP_031845838.1	XP_008186789.1
OG0001409	XP_031838861.1	XP_008187143.1
OG0001410	XP_031842215.1	XP_008187332.1
OG0001412	XP_031842256.1	XP_016658040.1, XP_016658039.1, XP_029346343.1
OG0001412	XP_031842465.1	XP_016662318.1
OG0001413	XP_031832076.1, XP_031832078.1, XP_031832079.1, XP_031832075.1, XP_031832074.1, XP_031832073.1, XP_031832072.1, XP_031832077.1	XP_016659809.1, XP_016659807.1, XP_016659808.1
OG0001414	XP_031828996.1	XP_016659986.1
OG0001415	XP_031828398.1	XP_029344125.1, XP_029342285.1, XP_016662874.1
OG0001416	XP_031844043.1, XP_031843941.1	XP_029341813.1
OG0001417	XP_031828788.1	XP_029342475.1
OG0001418	XP_031828555.1	XP_029342978.1
OG0001419	XP_031829129.1	XP_029343365.1
OG0001420	XP_031834856.1	XP_029343491.1
OG0001421	XP_031836420.1	XP_029344222.1, XP_029348214.1
OG0001422	XP_031827885.1	XP_029344365.1
OG0001423	XP_031839233.1	XP_029345673.1
OG0001424	XP_031838252.1	XP_029346038.1, XP_029346037.1
OG0001425	XP_031839299.1	XP_029346380.1
OG0001426	XP_031840044.1	XP_029346658.1
OG0001427	XP_031841959.1	XP_029347149.1
OG0001453	XP_031826053.1	NP_001155561.1, XP_008185637.1
OG0001455	XP_031846547.1	NP_001155669.1
OG0001456	XP_031835688.1	XP_008180851.1, NP_001155699.1
OG0001457	XP_031837818.1	NP_001155732.1
OG0001458	XP_031837239.1	NP_001155827.1
OG0001459	XP_031840415.1	NP_001156046.1
OG0001460	XP_031836190.1, XP_031836189.1	NP_001156079.1
OG0001461	XP_031833447.1	NP_001156162.1
OG0001462	XP_031836615.1, XP_031836617.1	NP_001156167.1
OG0001463	XP_031828280.1	XP_029341941.1, NP_001156195.1
OG0001464	XP_031848791.1, XP_031848818.1	NP_001156433.1, XP_008186733.1
OG0001465	XP_031835477.1	NP_001156833.1
OG0001466	XP_031840296.1	XP_008180032.1, NP_001161683.1
OG0001467	XP_031826432.1	NP_001191928.1
OG0001468	XP_031835032.1, XP_031843462.1	NP_001191993.1, XP_008189445.3
OG0001469	XP_031838554.1	XP_008181788.1, NP_001233056.1
OG0001470	XP_031828482.1	XP_008187948.1, NP_001280297.1
OG0001471	XP_031844584.1, XP_031844591.1	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1
OG0001472	XP_031840708.1	NP_001280353.1
OG0001473	XP_031839580.1	NP_001280376.1, XP_008185857.1
OG0001474	XP_031843810.1, XP_031843806.1, XP_031843807.1, XP_031843811.1, XP_031843805.1, XP_031843808.1	XP_029342002.1, NP_001280448.1
OG0001475	XP_031839222.1	XP_001942854.1
OG0001476	XP_031841493.1	XP_001942905.3
OG0001477	XP_031843862.1	XP_001942920.4
OG0001478	XP_031828088.1	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1
OG0001479	XP_031835419.1, XP_031835424.1, XP_031835420.1, XP_031835421.1, XP_031835418.1, XP_031835425.1, XP_031835422.1, XP_031835423.1, XP_031835427.1, XP_031835426.1	XP_001942962.2
OG0001480	XP_031846063.1, XP_031846064.1, XP_031846065.1	XP_001943003.1
OG0001481	XP_031834003.1, XP_031834002.1, XP_031834005.1	XP_001943151.1
OG0001482	XP_031827181.1, XP_031827183.1	XP_001943496.2
OG0001483	XP_031848611.1	XP_001943861.2
OG0001484	XP_031848946.1	XP_001944106.1
OG0001485	XP_031829186.1, XP_031850040.1	XP_001944507.2
OG0001486	XP_031829031.1	XP_029341194.1, XP_001944825.2
OG0001487	XP_031843821.1	XP_016661816.1, XP_001945106.1
OG0001488	XP_031838744.1, XP_031838742.1	XP_001945549.2
OG0001489	XP_031829423.1	XP_001945732.1
OG0001490	XP_031833723.1	XP_001945791.2
OG0001491	XP_031845887.1	XP_001946011.2, XP_029342551.1
OG0001492	XP_031827035.1, XP_031827036.1	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1
OG0001493	XP_031845501.1	XP_029343846.1, XP_001946376.2, XP_008183135.1
OG0001494	XP_031827290.1	XP_001946881.2
OG0001495	XP_031833273.1	XP_001946939.2, XP_029344154.1
OG0001496	XP_031837039.1, XP_031837027.1	XP_008185249.2, XP_001946961.1
OG0001497	XP_031850166.1, XP_031850167.1	XP_001947222.2
OG0001498	XP_031835154.1, XP_031835155.1	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2
OG0001499	XP_031841392.1	XP_001947444.2
OG0001500	XP_031837942.1	XP_001947553.2
OG0001501	XP_031826102.1, XP_031826101.1	XP_001947628.2
OG0001502	XP_031826090.1	XP_001947678.4
OG0001503	XP_031849347.1	XP_001947953.1
OG0001504	XP_031844294.1	XP_001948087.2, XP_016662592.1
OG0001505	XP_031825302.1	XP_001948092.2
OG0001506	XP_031827621.1	XP_001949016.2
OG0001507	XP_031847411.1, XP_031847410.1	XP_001949195.2, XP_003243935.1
OG0001508	XP_031833325.1	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1
OG0001509	XP_031829828.1, XP_031829826.1	XP_001949731.2
OG0001510	XP_031850226.1, XP_031835725.1	XP_003246129.1, XP_001950257.2
OG0001511	XP_031840627.1	XP_001950295.2
OG0001512	XP_031829643.1	XP_001950347.2, XP_003249003.2
OG0001513	XP_031847083.1, XP_031847082.1	XP_029343494.1, XP_001950605.2
OG0001514	XP_031832788.1, XP_031832777.1	XP_001950614.2, XP_008179295.1, XP_016656840.1
OG0001515	XP_031828025.1, XP_031828026.1	XP_001951016.1, XP_008188305.1, XP_008188306.1
OG0001516	XP_031843657.1, XP_031843656.1, XP_031843658.1, XP_031843655.1	XP_001951239.1, XP_008186532.1
OG0001517	XP_031846961.1	XP_001951328.2, XP_029346096.1
OG0001518	XP_031834301.1	XP_001951365.1
OG0001519	XP_031829022.1	XP_008183986.1, XP_001951874.2
OG0001520	XP_031839816.1, XP_031839815.1	XP_001951964.1
OG0001521	XP_031831321.1	XP_008181173.1
OG0001522	XP_031849471.1	XP_001952293.1
OG0001523	XP_031829443.1	XP_001952833.2
OG0001524	XP_031836831.1, XP_031836830.1, XP_031836829.1, XP_031836828.1	XP_003240924.1, XP_016664234.1
