Orthogroup	Nomia_melanderi	Solenopsis_invicta
OG0000925	XP_031847158.1	XP_025992349.1
OG0000926	XP_031840751.1	XP_025993940.1, XP_025993941.1, XP_011171814.1, XP_011171812.1, XP_011171811.1, XP_025993942.1, XP_039306444.1
OG0000927	XP_031839836.1	XP_011172154.1
OG0000928	XP_031830819.1	XP_011160605.3
OG0000929	XP_031847350.1	XP_011169685.1
OG0000930	XP_031838030.1	XP_039305396.1
OG0000932	XP_031829394.1, XP_031829395.1, XP_031829396.1	XP_011170039.1
OG0000933	XP_031826029.1	XP_011171324.1
OG0000934	XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825492.1, XP_031825494.1	XP_039304912.1, XP_039304911.1
OG0000935	XP_031841678.1	XP_011164079.1
OG0000936	XP_031836984.1	XP_011173270.1, XP_011173276.1
OG0000937	XP_031834127.1	XP_039307703.1, XP_039307702.1
OG0000938	XP_031830083.1	XP_025989696.1
OG0000939	XP_031828134.1	XP_039308686.1
OG0000941	XP_031835056.1, XP_031835053.1, XP_031835054.1, XP_031835055.1	XP_011164512.2
OG0000942	XP_031843108.1	XP_011156703.1, XP_039314337.1, XP_039314336.1
OG0000943	XP_031842773.1, XP_031842772.1	XP_011166146.1, XP_025988490.1
OG0000944	XP_031848559.1, XP_031848553.1, XP_031848552.1, XP_031848551.1, XP_031848558.1, XP_031848556.1, XP_031848554.1, XP_031848555.1, XP_031848560.1	XP_025996268.1
OG0000945	XP_031830987.1	XP_011160563.1, XP_039303714.1
OG0000946	XP_031844012.1	XP_011165533.2
OG0000946	XP_031835959.1	XP_011161547.1
OG0000947	XP_031848499.1, XP_031832926.1	XP_025991408.2
OG0000948	XP_031837900.1	XP_011172825.1
OG0000949	XP_031848725.1	XP_039303762.1, XP_011158334.2, XP_011173491.1, XP_039313318.1, XP_039313322.1, XP_039314435.1
OG0000950	XP_031843586.1, XP_031843585.1, XP_031843584.1	XP_011166764.1
OG0000951	XP_031829740.1, XP_031829741.1	XP_039301861.1, XP_011158539.1
OG0000952	XP_031841161.1	XP_039310385.1
OG0000953	XP_031839534.1	XP_025989139.1
OG0000954	XP_031836781.1	XP_011166808.2
OG0000955	XP_031840301.1	XP_011162740.2
OG0000957	XP_031829798.1	XP_011168741.1, XP_039312334.1
OG0000958	XP_031845528.1, XP_031845525.1, XP_031845526.1, XP_031845527.1, XP_031845530.1, XP_031845524.1	XP_011162112.1
OG0000959	XP_031843845.1	XP_039308943.1
OG0000960	XP_031831337.1	XP_039307029.1
OG0000962	XP_031829542.1, XP_031829543.1	XP_025991221.1, XP_025991228.1
OG0000963	XP_031841332.1, XP_031841325.1	XP_025991764.1, XP_025991763.1
OG0000964	XP_031839871.1	XP_011158913.1
OG0000965	XP_031838041.1	XP_025990144.1
OG0000966	XP_031840590.1, XP_031840615.1, XP_031840606.1, XP_031840597.1	XP_025990155.1
OG0000967	XP_031845246.1, XP_031845248.1, XP_031845247.1	XP_011165638.2, XP_011165637.1
OG0000968	XP_031847191.1	XP_039307503.1, XP_039307502.1
OG0000969	XP_031826522.1	XP_011172487.1
OG0000970	XP_031835789.1, XP_031835790.1, XP_031835791.1	XP_011156652.2, XP_011156653.2
OG0000972	XP_031835597.1	XP_025996480.1, XP_025996479.1, XP_025996478.1
OG0000973	XP_031829185.1	XP_025995015.1, XP_025995014.1
OG0000974	XP_031829593.1, XP_031829600.1, XP_031829595.1	XP_011158478.1, XP_039315669.1
OG0000975	XP_031845071.1	XP_039305372.1
OG0000975	XP_031845069.1, XP_031845033.1	XP_039305351.1, XP_039305332.1
OG0000976	XP_031840163.1, XP_031840165.1, XP_031840164.1	XP_011166681.1, XP_011166682.1, XP_011166683.1
OG0000977	XP_031831267.1	XP_011170453.1, XP_025988785.1
OG0000978	XP_031847608.1	XP_025988062.1
OG0000978	XP_031849987.1	XP_039312849.1
OG0000979	XP_031835974.1	XP_039310714.1
OG0000979	XP_031832259.1	XP_025989398.2
OG0000981	XP_031842427.1	XP_011175614.2
OG0000982	XP_031831094.1	XP_039312643.1
OG0000983	XP_031848747.1	XP_025996299.1, XP_011161616.1, XP_011161615.1
OG0000984	XP_031836326.1	XP_011168645.1
OG0000984	XP_031836325.1	XP_011168644.1
OG0000985	XP_031825882.1	XP_011166971.1
OG0000986	XP_031831618.1	XP_025989999.1, XP_025989996.1
OG0000987	XP_031844672.1	XP_039313616.1
OG0000987	XP_031829207.1	XP_011168290.2
OG0000989	XP_031827785.1	XP_025986626.1, XP_011158016.1
OG0000990	XP_031848117.1	XP_011157427.1, XP_011157429.1, XP_011157428.1, XP_025995188.1
OG0000992	XP_031835958.1	XP_039309285.1
OG0000993	XP_031839722.1, XP_031839721.1	XP_011158936.1, XP_011158937.1
OG0000994	XP_031834946.1	XP_039302337.1
OG0000994	XP_031834954.1	XP_011170722.1
OG0000995	XP_031830724.1, XP_031830725.1	XP_039309136.1
OG0000996	XP_031842133.1	XP_025989662.1, XP_011164800.1
OG0000997	XP_031833364.1	XP_039302938.1
OG0000997	XP_031833363.1	XP_011155662.1
OG0000998	XP_031829003.1, XP_031829004.1, XP_031829005.1	XP_011159136.2
OG0000999	XP_031830220.1	XP_025988924.1
OG0001000	XP_031828338.1, XP_031828339.1, XP_031828340.1, XP_031828341.1	XP_039305721.1, XP_025987551.1, XP_039305714.1
OG0001001	XP_031840300.1, XP_031840299.1	XP_011155828.1
OG0001001	XP_031845112.1	XP_011163623.1
OG0001002	XP_031842658.1	XP_011166211.1
OG0001003	XP_031830560.1	XP_011165020.1, XP_011165021.1
OG0001004	XP_031847911.1	XP_011169693.1
OG0001005	XP_031837283.1	XP_039306361.1, XP_039306362.1, XP_011161118.1, XP_011161120.1, XP_011161119.1
OG0001006	XP_031838535.1, XP_031838534.1	XP_011175337.3, XP_011175336.2
OG0001007	XP_031833032.1, XP_031833031.1, XP_031833030.1, XP_031833029.1, XP_031833028.1, XP_031833027.1, XP_031833026.1	XP_025996086.1
OG0001008	XP_031835367.1	XP_039313823.1
OG0001008	XP_031835364.1, XP_031835365.1, XP_031835366.1	XP_025995609.2, XP_011173151.2
OG0001009	XP_031838051.1	XP_011166446.1
OG0001009	XP_031835649.1	XP_039305198.1
OG0001010	XP_031826530.1, XP_031826529.1	XP_039308328.1, XP_039308327.1, XP_039308329.1, XP_039308333.1
OG0001011	XP_031846370.1	XP_025993924.1, XP_011159821.2
OG0001013	XP_031837179.1	XP_039307293.1
OG0001014	XP_031832622.1, XP_031832633.1	XP_011157434.1
OG0001015	XP_031849460.1	XP_011161194.1, XP_025991211.1, XP_011161193.1
OG0001015	XP_031841047.1	XP_011161195.1
OG0001016	XP_031839438.1	XP_025992910.1
OG0001016	XP_031849170.1	XP_011169863.1
OG0001017	XP_031843977.1	XP_025988474.1
OG0001018	XP_031840129.1	XP_039302706.1
OG0001019	XP_031835710.1, XP_031835709.1, XP_031835716.1, XP_031835715.1, XP_031835714.1, XP_031835712.1, XP_031835718.1, XP_031835717.1, XP_031835719.1, XP_031835720.1, XP_031835711.1	XP_011163380.1
OG0001020	XP_031848395.1, XP_031848396.1, XP_031848391.1, XP_031848390.1, XP_031848388.1, XP_031848393.1, XP_031848392.1, XP_031848394.1	XP_011159873.1
OG0001021	XP_031850028.1, XP_031850029.1, XP_031850026.1	XP_011163049.2
OG0001022	XP_031841172.1	XP_011158427.1, XP_025991400.1, XP_039301782.1, XP_039301783.1, XP_011158425.2
OG0001023	XP_031850182.1	XP_025993731.2, XP_025993732.2
OG0001025	XP_031830711.1	XP_011167003.2
OG0001026	XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1, XP_031826562.1	XP_039308723.1, XP_039308721.1, XP_039308722.1
OG0001027	XP_031833919.1	XP_039308919.1
OG0001028	XP_031839668.1	XP_011170350.2
OG0001028	XP_031836604.1	XP_011163544.1
OG0001029	XP_031828254.1, XP_031828243.1	XP_025988620.2
OG0001030	XP_031837571.1	XP_025992589.2, XP_025992588.2
OG0001031	XP_031832463.1, XP_031832464.1	XP_039307586.1
OG0001032	XP_031840027.1, XP_031835643.1	XP_039308244.1
OG0001033	XP_031840404.1	XP_011172421.1, XP_011172423.1
OG0001034	XP_031825483.1	XP_039303076.1, XP_011171224.1
OG0001035	XP_031838336.1, XP_031838331.1, XP_031838335.1, XP_031838333.1, XP_031838332.1	XP_025992621.1
OG0001036	XP_031826430.1	XP_011165277.1
OG0001036	XP_031826588.1	XP_025993616.1
OG0001037	XP_031834169.1, XP_031834168.1	XP_025993818.1
OG0001038	XP_031825338.1, XP_031825336.1, XP_031825337.1	XP_011160153.1
OG0001039	XP_031835057.1	XP_011161111.1
OG0001040	XP_031839503.1, XP_031839502.1, XP_031839504.1	XP_011165337.1, XP_011165336.1
OG0001041	XP_031846760.1	XP_025988910.1, XP_025988911.1, XP_011164254.1, XP_039301989.1
OG0001042	XP_031839798.1	XP_025996045.1, XP_025996043.1, XP_025996044.1, XP_025996042.1
OG0001043	XP_031826540.1, XP_031826539.1	XP_011166024.2, XP_025992543.2
OG0001044	XP_031829470.1	XP_011169612.1, XP_011169610.1
OG0001045	XP_031845746.1	XP_011162672.2
OG0001046	XP_031841691.1, XP_031841690.1, XP_031841692.1	XP_011162026.1, XP_025987025.1, XP_011162025.1
OG0001048	XP_031836053.1	XP_039305995.1
OG0001049	XP_031842231.1, XP_031842223.1	XP_011166480.1, XP_011166481.1
OG0001050	XP_031838598.1	XP_011159776.1
OG0001051	XP_031838556.1	XP_039312332.1
OG0001052	XP_031831642.1	XP_011160586.1
OG0001054	XP_031827096.1, XP_031827097.1	XP_039313698.1, XP_039313699.1
OG0001055	XP_031825448.1, XP_031825449.1, XP_031825446.1, XP_031825447.1	XP_011157954.1
OG0001056	XP_031850484.1, XP_031850485.1	XP_039301672.1, XP_011167342.1
OG0001057	XP_031833783.1	XP_025992790.1, XP_011155465.1
OG0001058	XP_031848868.1	XP_025991914.2
OG0001059	XP_031839544.1	XP_011155850.2
OG0001059	XP_031837759.1	XP_025992160.1
OG0001060	XP_031845533.1, XP_031845535.1, XP_031845534.1	XP_011163616.1
OG0001061	XP_031845486.1, XP_031845485.1, XP_031845487.1	XP_011161404.1
OG0001063	XP_031847353.1	XP_025989549.2
OG0001063	XP_031849142.1	XP_039313025.1
OG0001064	XP_031833841.1, XP_031833788.1, XP_031833785.1	XP_025994664.2
OG0001065	XP_031843757.1	XP_025993227.1, XP_025993228.1
OG0001066	XP_031835635.1	XP_025991457.2, XP_039307737.1
OG0001067	XP_031850277.1	XP_025986088.2
OG0001068	XP_031828065.1	XP_011164046.1, XP_039309169.1
OG0001069	XP_031837032.1, XP_031837042.1, XP_031837054.1, XP_031837049.1	XP_039301790.1, XP_011161238.2
OG0001070	XP_031839480.1	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1
OG0001071	XP_031837891.1	XP_025992820.1
OG0001072	XP_031825452.1	XP_039311109.1
OG0001073	XP_031844011.1	XP_011166357.1
OG0001073	XP_031843997.1	XP_011166496.2
OG0001074	XP_031844622.1	XP_011159283.1
OG0001074	XP_031844625.1	XP_011159282.2
OG0001075	XP_031828907.1	XP_025990833.2
OG0001076	XP_031847023.1	XP_011159538.1
OG0001077	XP_031850143.1, XP_031850169.1, XP_031850178.1, XP_031850161.1, XP_031850152.1, XP_031850187.1	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	XP_031841266.1, XP_031841265.1	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001079	XP_031831793.1, XP_031831794.1, XP_031831795.1, XP_031831792.1	XP_025991664.1, XP_011159694.1
OG0001082	XP_031846912.1, XP_031846913.1	XP_011172611.1, XP_025994767.1
OG0001083	XP_031837197.1, XP_031837199.1, XP_031837198.1	XP_011159372.2
OG0001084	XP_031836282.1	XP_011155352.1, XP_011155351.2
OG0001085	XP_031831314.1	XP_025989431.1, XP_025989433.1
OG0001086	XP_031845012.1	XP_011165624.1
OG0001087	XP_031832795.1	XP_011161180.2, XP_011161179.2
OG0001090	XP_031845250.1, XP_031845252.1, XP_031845251.1	XP_011165641.1
OG0001091	XP_031829234.1	XP_025990318.1
OG0001092	XP_031843453.1, XP_031843338.1	XP_011166457.1, XP_039306837.1
OG0001093	XP_031830830.1	XP_011169511.1
OG0001094	XP_031827321.1	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	XP_031839865.1, XP_031839868.1, XP_031839866.1, XP_031839867.1	XP_011158680.1
OG0001096	XP_031827068.1, XP_031827067.1	XP_025993866.1, XP_025993865.1, XP_025993867.1
OG0001097	XP_031847813.1, XP_031847814.1, XP_031847815.1	XP_011171301.1
OG0001098	XP_031841773.1	XP_039314597.1
OG0001099	XP_031828604.1	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	XP_031836157.1, XP_031836158.1, XP_031836436.1	XP_011166885.1
OG0001101	XP_031849211.1	XP_011169060.1, XP_025986266.1
OG0001102	XP_031845478.1	XP_011173598.1
OG0001103	XP_031829966.1	XP_025992892.1
OG0001104	XP_031825419.1	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	XP_031831857.1	XP_011158662.1
OG0001106	XP_031847014.1	XP_039306727.1, XP_011171425.1
OG0001107	XP_031830156.1	XP_011171628.1
OG0001108	XP_031829899.1, XP_031829900.1	XP_011175804.1
OG0001109	XP_031829725.1	XP_025997087.1
OG0001110	XP_031849760.1	XP_039305008.1, XP_025987622.2
OG0001111	XP_031832456.1, XP_031832457.1, XP_031832459.1	XP_011167411.1
OG0001112	XP_031850475.1	XP_025997156.1
OG0001113	XP_031831416.1, XP_031831417.1, XP_031831418.1	XP_011155666.1
OG0001114	XP_031831044.1, XP_031831046.1, XP_031831045.1	XP_039308544.1
OG0001115	XP_031830931.1	XP_025987003.1
OG0001116	XP_031846067.1, XP_031846038.1, XP_031846058.1, XP_031846048.1	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	XP_031830687.1	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	XP_031834629.1, XP_031834628.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	XP_031838472.1	XP_025989072.1
OG0001120	XP_031831331.1	XP_039302541.1
OG0001121	XP_031839433.1	XP_025991526.1, XP_039307815.1
OG0001122	XP_031847284.1, XP_031847283.1, XP_031847279.1, XP_031847281.1, XP_031847282.1	XP_011155854.1
OG0001123	XP_031844785.1, XP_031844784.1	XP_025989167.1, XP_025989166.1
OG0001124	XP_031830551.1, XP_031830549.1, XP_031830548.1, XP_031830550.1, XP_031830553.1, XP_031830552.1, XP_031830555.1, XP_031830554.1, XP_031830556.1, XP_031830547.1	XP_011163637.1, XP_011163636.1
OG0001125	XP_031840553.1	XP_039310854.1, XP_025992661.2
OG0001126	XP_031841826.1	XP_011166887.2, XP_025985954.2
OG0001127	XP_031840334.1, XP_031840329.1	XP_011158552.1, XP_011158551.3
OG0001128	XP_031826517.1	XP_011156523.3, XP_011163428.1
OG0001129	XP_031838917.1	XP_011156357.1, XP_039307593.1
OG0001130	XP_031847625.1, XP_031847624.1, XP_031847623.1, XP_031847622.1	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	XP_031837293.1	XP_039301948.1
OG0001131	XP_031837292.1	XP_011157851.1
OG0001132	XP_031845080.1, XP_031845081.1	XP_011163174.1
OG0001134	XP_031840038.1, XP_031840041.1	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	XP_031837433.1	XP_039313398.1
OG0001136	XP_031837193.1, XP_031837194.1	XP_011175151.1
OG0001137	XP_031848945.1	XP_011157895.1, XP_025995386.1
OG0001138	XP_031838555.1	XP_011168199.1
OG0001139	XP_031842876.1	XP_025993909.2
OG0001140	XP_031845600.1	XP_011165958.1
OG0001141	XP_031841202.1, XP_031841200.1	XP_025995593.1
OG0001142	XP_031827112.1, XP_031827109.1	XP_011155375.3
OG0001143	XP_031835896.1, XP_031835895.1, XP_031835894.1	XP_011169579.1
OG0001144	XP_031843271.1	XP_025992524.1, XP_011166007.2
OG0001145	XP_031839132.1	XP_011168245.2
OG0001146	XP_031831248.1	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	XP_031828878.1	XP_011166309.1
OG0001148	XP_031848863.1, XP_031849785.1, XP_031849782.1, XP_031849783.1, XP_031849787.1, XP_031849786.1, XP_031849784.1	XP_011172034.1
OG0001149	XP_031849266.1	XP_039312701.1, XP_011169138.1
OG0001150	XP_031842218.1	XP_039310944.1
OG0001151	XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849992.1, XP_031849990.1	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	XP_031847827.1, XP_031847828.1, XP_031847824.1, XP_031847825.1	XP_011159091.2
OG0001153	XP_031846023.1	XP_025989988.2
OG0001154	XP_031842837.1, XP_031842832.1	XP_039304154.1, XP_039304148.1
OG0001155	XP_031834568.1, XP_031834567.1	XP_011172072.1, XP_039302712.1
OG0001156	XP_031830479.1	XP_011159299.2
OG0001157	XP_031837473.1	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	XP_031840384.1, XP_031840385.1, XP_031840382.1, XP_031840383.1, XP_031840386.1	XP_025991651.1
OG0001159	XP_031835542.1	XP_011167339.1
OG0001160	XP_031833230.1, XP_031833229.1, XP_031833231.1	XP_039311819.1
OG0001161	XP_031832965.1, XP_031832966.1	XP_011167380.1
OG0001161	XP_031832964.1	XP_011156243.2
OG0001162	XP_031831866.1, XP_031831870.1, XP_031831868.1, XP_031831877.1	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1
OG0001163	XP_031848227.1, XP_031848226.1	XP_011161732.3
OG0001164	XP_031848108.1, XP_031848107.1, XP_031848106.1, XP_031848112.1, XP_031848111.1, XP_031848105.1, XP_031848109.1	XP_039312072.1, XP_025992020.1, XP_011169634.1, XP_011169630.1, XP_011169631.1, XP_011169633.1
OG0001165	XP_031831004.1	XP_025985971.2
OG0001166	XP_031843554.1	XP_011168537.1, XP_011168538.1
OG0001167	XP_031839058.1	XP_011156104.1
OG0001168	XP_031829250.1, XP_031829251.1, XP_031829252.1	XP_011176352.1
OG0001169	XP_031833074.1, XP_031833075.1, XP_031833076.1	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001170	XP_031831612.1, XP_031831613.1, XP_031831614.1, XP_031831615.1, XP_031831616.1, XP_031831617.1, XP_031831610.1, XP_031831611.1	XP_011162655.1
OG0001171	XP_031828829.1	XP_025994529.1
OG0001171	XP_031828826.1	XP_025994523.1
OG0001172	XP_031825538.1	XP_025987963.1, XP_025987960.1
OG0001173	XP_031841957.1	XP_011158513.2, XP_039310526.1
OG0001174	XP_031827409.1	XP_011161987.1
OG0001175	XP_031828128.1	XP_025993082.1
OG0001176	XP_031834937.1	XP_039302580.1, XP_039302579.1, XP_039302581.1
OG0001179	XP_031831151.1	XP_039304562.1
OG0001180	XP_031836832.1	XP_011167997.1, XP_025990282.1
OG0001181	XP_031836645.1, XP_031836646.1	XP_011156355.1, XP_039307596.1
OG0001182	XP_031828845.1	XP_039305887.1, XP_039305890.1
OG0001183	XP_031840853.1, XP_031840854.1, XP_031840856.1	XP_025990516.1
OG0001184	XP_031838856.1, XP_031838836.1	XP_011156884.2, XP_039307254.1
OG0001185	XP_031841411.1	XP_039312820.1
OG0001186	XP_031829896.1, XP_031829894.1	XP_011175807.1
OG0001187	XP_031830169.1	XP_011172004.1, XP_011172006.1
OG0001188	XP_031833789.1	XP_011163748.1
OG0001189	XP_031837106.1	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1
OG0001190	XP_031834554.1	XP_025987355.2
OG0001191	XP_031843053.1	XP_025993238.1, XP_039303760.1
OG0001193	XP_031845506.1	XP_011173460.1
OG0001195	XP_031847247.1	XP_025985837.1, XP_011166782.1, XP_011166783.1
OG0001197	XP_031827328.1	XP_011157457.1
OG0001197	XP_031827325.1, XP_031827322.1	XP_025987979.1
OG0001198	XP_031846224.1	XP_039314770.1
OG0001199	XP_031828008.1, XP_031828010.1, XP_031828009.1	XP_011172415.1
OG0001201	XP_031841542.1, XP_031841541.1	XP_011162101.2
OG0001202	XP_031828823.1	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1
OG0001203	XP_031833769.1	XP_039310696.1, XP_011163743.2
OG0001204	XP_031841233.1, XP_031841236.1, XP_031841235.1, XP_031841231.1, XP_031841229.1, XP_031841230.1, XP_031841227.1, XP_031841228.1, XP_031841234.1	XP_025991982.1
OG0001205	XP_031842950.1	XP_039314810.1
OG0001205	XP_031835196.1	XP_039303835.1
OG0001206	XP_031825983.1, XP_031825985.1	XP_011156167.1
OG0001207	XP_031841330.1, XP_031841333.1	XP_011156545.1, XP_039302232.1
OG0001208	XP_031825285.1	XP_011170339.1
OG0001209	XP_031848110.1, XP_031848101.1, XP_031848116.1	XP_011172048.1
OG0001209	XP_031849524.1	XP_039308043.1, XP_039307692.1
OG0001210	XP_031834155.1	XP_039307930.1, XP_011165372.2, XP_039315002.1, XP_039315004.1, XP_039307520.1
OG0001211	XP_031826484.1	XP_039305023.1, XP_039305022.1
OG0001212	XP_031839309.1, XP_031839308.1	XP_039309508.1
OG0001214	XP_031846977.1	XP_011160964.2
OG0001215	XP_031832928.1	XP_039312900.1
OG0001216	XP_031828028.1, XP_031828030.1, XP_031828029.1	XP_011172216.1
OG0001217	XP_031826724.1	XP_011175935.1, XP_039308277.1, XP_011175936.1
OG0001218	XP_031849120.1, XP_031849119.1, XP_031849122.1, XP_031849121.1	XP_011166690.1, XP_011166689.1, XP_039301873.1
OG0001219	XP_031827401.1	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1
OG0001220	XP_031827100.1	XP_011169281.1, XP_039302204.1
OG0001221	XP_031834094.1	XP_025992507.1
OG0001222	XP_031842497.1	XP_011164688.1, XP_011164686.1, XP_011164689.1
OG0001223	XP_031838610.1, XP_031838616.1, XP_031838615.1, XP_031838617.1, XP_031838611.1, XP_031838614.1, XP_031838613.1, XP_031838609.1	XP_011164227.1
OG0001224	XP_031827291.1	XP_011159507.1
OG0001225	XP_031830495.1, XP_031830486.1, XP_031830477.1, XP_031830504.1	XP_011164828.1
OG0001226	XP_031843526.1, XP_031843549.1, XP_031843535.1	XP_011166465.1
OG0001228	XP_031842589.1, XP_031842580.1	XP_025987277.1, XP_039314353.1
OG0001229	XP_031828490.1, XP_031828489.1	XP_039305870.1
OG0001230	XP_031825407.1, XP_031825406.1, XP_031825408.1, XP_031825409.1	XP_011169142.1
OG0001231	XP_031827719.1	XP_011158057.1
OG0001232	XP_031826003.1	XP_011166300.1
OG0001233	XP_031850380.1, XP_031850381.1	XP_011170934.1, XP_039302501.1
OG0001234	XP_031836380.1	XP_011161472.2
OG0001236	XP_031831459.1, XP_031831458.1	XP_039312471.1, XP_011161524.1
OG0001237	XP_031835562.1	XP_039311173.1, XP_039310827.1
OG0001238	XP_031829656.1	XP_025993336.1, XP_039304779.1
OG0001239	XP_031847045.1, XP_031847044.1, XP_031847043.1	XP_025995034.1
OG0001240	XP_031835644.1	XP_011165534.1
OG0001241	XP_031838566.1, XP_031838572.1	XP_011172347.1, XP_011172352.1
OG0001242	XP_031828137.1	XP_011163952.2
OG0001243	XP_031835758.1	XP_039308191.1, XP_025992363.2, XP_025992362.2, XP_025992361.2
OG0001244	XP_031835620.1, XP_031835617.1, XP_031835622.1, XP_031835621.1, XP_031835618.1, XP_031835616.1	XP_011168503.1
OG0001245	XP_031828886.1	XP_025988274.1
OG0001246	XP_031829204.1	XP_039303840.1, XP_025988269.1, XP_011168731.1
OG0001247	XP_031835908.1	XP_011164739.2
OG0001248	XP_031837941.1, XP_031837940.1	XP_039304594.1
OG0001249	XP_031828276.1, XP_031828272.1, XP_031828274.1, XP_031828271.1, XP_031828275.1	XP_039309218.1
OG0001250	XP_031830099.1	XP_011164364.2
OG0001251	XP_031846025.1	XP_039312198.1
OG0001252	XP_031842610.1	XP_039314807.1
OG0001253	XP_031849889.1, XP_031849887.1, XP_031849890.1, XP_031849891.1, XP_031849888.1, XP_031849893.1	XP_025995063.2
OG0001254	XP_031836877.1	XP_011168604.1
OG0001255	XP_031836220.1, XP_031836222.1	XP_039314922.1, XP_025987255.1
OG0001256	XP_031847031.1	XP_025988912.1
OG0001257	XP_031841207.1	XP_011160876.1, XP_025994228.1
OG0001258	XP_031829337.1	XP_025987582.1, XP_011173619.1
OG0001259	XP_031843405.1	XP_011164216.2
OG0001260	XP_031842792.1	XP_011166201.1
OG0001261	XP_031835191.1, XP_031835190.1	XP_011160516.2
OG0001262	XP_031836705.1, XP_031836706.1, XP_031836704.1, XP_031836707.1	XP_011164195.1
OG0001263	XP_031844282.1, XP_031844255.1, XP_031844290.1, XP_031844273.1, XP_031844265.1	XP_011170503.1
OG0001264	XP_031837645.1	XP_011165039.1
OG0001265	XP_031850564.1	XP_039315308.1
OG0001267	XP_031829944.1	XP_011163983.1, XP_039308646.1, XP_025994469.1, XP_039308643.1
OG0001268	XP_031848041.1	XP_025989285.1
OG0001268	XP_031837915.1	XP_025989636.1
OG0001269	XP_031828356.1	XP_039315133.1, XP_025994739.1
OG0001270	XP_031847869.1, XP_031847871.1, XP_031847870.1	XP_011157222.1
OG0001271	XP_031833039.1	XP_039313271.1
OG0001272	XP_031848005.1, XP_031848004.1	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1
OG0001273	XP_031825300.1	XP_025987733.1
OG0001274	XP_031831250.1, XP_031831253.1, XP_031831252.1	XP_011170905.2, XP_011173464.2
OG0001275	XP_031843127.1, XP_031843122.1, XP_031843120.1, XP_031843126.1, XP_031843125.1, XP_031843123.1, XP_031843124.1, XP_031843121.1, XP_031843118.1, XP_031843129.1, XP_031843128.1	XP_011164629.1, XP_025990967.2
OG0001277	XP_031849594.1	XP_025989192.1
OG0001278	XP_031842631.1, XP_031842630.1	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1
OG0001280	XP_031836378.1, XP_031836376.1, XP_031836377.1	XP_011168647.1
OG0001281	XP_031841211.1	XP_011171012.1
OG0001282	XP_031843834.1	XP_011163529.2
OG0001283	XP_031826033.1, XP_031826039.1	XP_039309473.1, XP_039309472.1
OG0001284	XP_031840888.1, XP_031840892.1	XP_011159268.2
OG0001286	XP_031837251.1, XP_031837249.1, XP_031837250.1	XP_011175133.1
OG0001287	XP_031832468.1	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2
OG0001288	XP_031846235.1	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1
OG0001289	XP_031832117.1, XP_031832116.1, XP_031832118.1	XP_011162420.1
OG0001290	XP_031847509.1	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1
OG0001291	XP_031827458.1	XP_025995978.1, XP_039315524.1
OG0001292	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1	XP_039312474.1
OG0001293	XP_031830818.1, XP_031830817.1, XP_031830816.1	XP_011160608.1
OG0001294	XP_031843176.1	XP_011166902.1
OG0001295	XP_031838158.1, XP_031838161.1	XP_025988763.2, XP_011172182.2, XP_039313063.1
OG0001296	XP_031850036.1	XP_039302522.1
OG0001298	XP_031840360.1, XP_031840352.1	XP_025991722.1
