Orthogroup	Nomia_melanderi	Bombyx_mori
OG0000914	XP_031829731.1	XP_037867418.1, XP_037867416.1, XP_037867415.1, XP_037867414.1, XP_037867412.1, XP_037867413.1
OG0000915	XP_031827475.1	NP_001036859.1
OG0000916	XP_031850432.1	NP_001036919.1
OG0000916	XP_031850436.1	XP_004926829.1, NP_001153661.1
OG0000917	XP_031837793.1, XP_031837792.1, XP_031837791.1, XP_031837790.1	NP_001040140.1
OG0000918	XP_031849896.1	XP_004931164.1, XP_021207019.1, XP_004931165.1
OG0000919	XP_031846090.1	XP_012550870.1
OG0000920	XP_031843972.1, XP_031843975.1, XP_031843974.1, XP_031843973.1	NP_001091805.1
OG0000921	XP_031830417.1, XP_031830420.1, XP_031830419.1, XP_031830418.1	NP_001296561.1
OG0000922	XP_031830327.1	XP_004933384.1, XP_004933383.1, XP_004924748.1
OG0000923	XP_031833875.1, XP_031833871.1	NP_001036982.1, XP_021202800.1
OG0000924	XP_031836909.1, XP_031836915.1, XP_031836911.1, XP_031836910.1, XP_031836913.1, XP_031836912.1, XP_031836914.1	XP_004930377.1
OG0000925	XP_031847158.1	XP_004928502.1, XP_021202497.2
OG0000926	XP_031840751.1	XP_021208548.2, NP_001040142.1
OG0000927	XP_031839836.1	XP_004928837.2
OG0000928	XP_031830819.1	XP_004922999.1
OG0000929	XP_031847350.1	NP_001040294.1
OG0000930	XP_031838030.1	XP_037872623.1
OG0000931	XP_031842654.1	XP_004932395.2
OG0000932	XP_031829394.1, XP_031829395.1, XP_031829396.1	XP_037868696.1, XP_037868697.1, XP_037868695.1, XP_037868693.1
OG0000933	XP_031826029.1, XP_031847184.1	NP_001036876.1
OG0000934	XP_031825491.1, XP_031825490.1, XP_031825493.1, XP_031825492.1, XP_031825494.1	XP_004922485.2
OG0000935	XP_031841678.1	XP_004932223.1, NP_001091765.1, XP_037872945.1, XP_037872946.1, XP_004932225.1
OG0000936	XP_031836984.1	XP_012550455.1
OG0000937	XP_031834127.1	XP_004927554.3, XP_021204568.1
OG0000938	XP_031830083.1	XP_012552500.1
OG0000941	XP_031835056.1, XP_031835053.1, XP_031835054.1, XP_031835055.1	XP_037868215.1
OG0000942	XP_031843108.1	XP_037875810.1
OG0000943	XP_031842773.1, XP_031842772.1	XP_012544451.1
OG0000944	XP_031848559.1, XP_031848553.1, XP_031848552.1, XP_031848551.1, XP_031848558.1, XP_031848556.1, XP_031848554.1, XP_031848555.1, XP_031848560.1	XP_021208208.1, XP_037867074.1
OG0000945	XP_031830987.1, XP_031830991.1	NP_001040531.1
OG0000946	XP_031844012.1, XP_031835959.1	XP_004929214.1
OG0000948	XP_031837900.1	XP_004929142.1, XP_004929141.1
OG0000949	XP_031848725.1	NP_001296553.1
OG0000950	XP_031843586.1, XP_031843585.1, XP_031843584.1	XP_037870486.1, XP_037870487.1
OG0000951	XP_031829740.1, XP_031829741.1	XP_004928270.1
OG0000952	XP_031841161.1	XP_004928289.1
OG0000953	XP_031839534.1	XP_037877732.1
OG0000954	XP_031836782.1, XP_031836781.1	XP_004927115.1, XP_037877524.1
OG0000955	XP_031840301.1	XP_037876067.1, XP_021209092.1
OG0000957	XP_031829798.1	XP_037870134.1, XP_037877293.1
OG0000958	XP_031845528.1, XP_031845525.1, XP_031845526.1, XP_031845527.1, XP_031845530.1, XP_031845524.1	NP_001127714.1, NP_001127740.1, XP_037873765.1
OG0000959	XP_031843845.1, XP_031843795.1	XP_037874880.1, XP_012544647.1
OG0000960	XP_031831337.1	XP_037873523.1
OG0000961	XP_031837903.1	XP_037867675.1, XP_037867674.1
OG0000962	XP_031829542.1, XP_031829543.1	XP_021205129.1, NP_001299580.1
OG0000963	XP_031841332.1, XP_031841325.1	NP_001091829.1
OG0000964	XP_031839871.1	XP_037870832.1, XP_037870835.1
OG0000965	XP_031838041.1, XP_031838046.1	XP_037874770.1, XP_037874755.1
OG0000966	XP_031840590.1, XP_031840615.1, XP_031840606.1, XP_031840597.1	XP_037872227.1
OG0000967	XP_031845246.1, XP_031845248.1, XP_031845247.1	NP_001116812.1
OG0000968	XP_031847191.1	XP_037873409.1, XP_037873416.1
OG0000970	XP_031835789.1, XP_031835790.1, XP_031835791.1	XP_004924882.2
OG0000971	XP_031842853.1	XP_037870111.1, XP_012548870.1
OG0000972	XP_031835597.1	XP_037866506.1
OG0000973	XP_031829185.1	XP_004930164.1
OG0000974	XP_031829593.1, XP_031829600.1, XP_031829595.1	XP_037872739.1
OG0000975	XP_031845071.1, XP_031845069.1, XP_031845033.1	XP_037873866.1, XP_037873895.1, XP_037873893.1
OG0000976	XP_031840163.1, XP_031840165.1, XP_031840164.1	XP_004927917.2
OG0000977	XP_031831267.1	XP_004923422.2, XP_004928914.1
OG0000978	XP_031847608.1, XP_031849987.1	XP_021208192.1
OG0000979	XP_031835974.1, XP_031832259.1	XP_021206860.2
OG0000980	XP_031845699.1	XP_037868898.1, XP_037875915.1, XP_037875916.1
OG0000982	XP_031831094.1	NP_001296483.1, XP_021208983.1
OG0000983	XP_031848747.1	XP_004924077.1, XP_004924076.1
OG0000984	XP_031836325.1	NP_001037051.1
OG0000985	XP_031825882.1	XP_021206754.2, XP_012549882.2, XP_004922470.2
OG0000986	XP_031831865.1	XP_037876430.1, XP_021202300.1, XP_021202305.1, XP_021202303.1, XP_021202302.1, XP_021202301.1
OG0000987	XP_031844672.1, XP_031829207.1	XP_012548339.1
OG0000988	XP_031842060.1, XP_031842061.1, XP_031842062.1, XP_031842063.1, XP_031842064.1, XP_031842065.1	NP_001164649.1
OG0000989	XP_031827785.1	XP_012546534.2, XP_012546538.2
OG0000990	XP_031848117.1	NP_001127719.1
OG0000992	XP_031835958.1	NP_001040289.1, XP_012548308.1
OG0000993	XP_031839722.1, XP_031839721.1	NP_001037364.1, XP_037872127.1
OG0000994	XP_031834946.1, XP_031834954.1	NP_001040167.1
OG0000995	XP_031830724.1, XP_031830725.1	NP_001106230.1
OG0000996	XP_031842133.1	NP_001036909.1
OG0000997	XP_031833364.1	XP_004933539.1
OG0000997	XP_031833363.1	XP_004930162.1
OG0000998	XP_031829003.1, XP_031829004.1, XP_031829005.1	NP_001108463.1, XP_021204265.2
OG0000999	XP_031830220.1	XP_037871889.1, NP_001036847.1
OG0001000	XP_031828338.1, XP_031828339.1, XP_031828340.1, XP_031828341.1	XP_004927100.1
OG0001001	XP_031840300.1, XP_031840299.1, XP_031845112.1	NP_001091815.1
OG0001002	XP_031842658.1	NP_001091821.1
OG0001003	XP_031830560.1	XP_004930115.1, XP_004930116.1
OG0001004	XP_031847911.1	XP_021207158.1
OG0001004	XP_031847925.1, XP_031847926.1	XP_004931500.1
OG0001005	XP_031837283.1	XP_004930344.1
OG0001006	XP_031838535.1, XP_031838534.1	XP_037877686.1, XP_037877687.1
OG0001007	XP_031833032.1, XP_031833031.1, XP_031833030.1, XP_031833029.1, XP_031833028.1, XP_031833027.1, XP_031833026.1	XP_012551579.1
OG0001008	XP_031835367.1	NP_001243922.1, XP_037869044.1
OG0001008	XP_031835364.1, XP_031835365.1, XP_031835366.1	NP_001037034.1
OG0001009	XP_031838051.1, XP_031835649.1	XP_037876105.1
OG0001011	XP_031846370.1	XP_004930447.2
OG0001012	XP_031831465.1	XP_012551938.1, XP_037873592.1
OG0001013	XP_031837179.1	XP_004933411.1, XP_004933410.1
OG0001014	XP_031832622.1, XP_031832633.1	XP_004926225.3
OG0001015	XP_031849460.1	XP_004931112.2, XP_037868988.1
OG0001015	XP_031841047.1	XP_004931226.2
OG0001016	XP_031839438.1, XP_031849170.1	XP_004932217.1
OG0001017	XP_031843977.1	XP_012548326.1, XP_012548337.1, XP_004922144.1, XP_021204671.1
OG0001018	XP_031840129.1	XP_037875036.1, NP_001091845.1
OG0001019	XP_031835710.1, XP_031835709.1, XP_031835716.1, XP_031835715.1, XP_031835714.1, XP_031835712.1, XP_031835718.1, XP_031835717.1, XP_031835719.1, XP_031835720.1, XP_031835711.1	XP_037869186.1
OG0001020	XP_031848395.1, XP_031848396.1, XP_031848391.1, XP_031848390.1, XP_031848388.1, XP_031848393.1, XP_031848392.1, XP_031848394.1	XP_004925875.1
OG0001021	XP_031850028.1, XP_031850029.1, XP_031850026.1	XP_004925524.1
OG0001022	XP_031841172.1	XP_012548973.1
OG0001023	XP_031850182.1	XP_021202636.2
OG0001025	XP_031830711.1	XP_012544535.2
OG0001026	XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1, XP_031826562.1	XP_004922009.1
OG0001027	XP_031833919.1	XP_004925186.1
OG0001028	XP_031836604.1	NP_001040546.1, XP_012546310.1
OG0001030	XP_031837571.1	XP_004932570.1
OG0001031	XP_031832463.1, XP_031832464.1	XP_037877146.1
OG0001032	XP_031840027.1	XP_004923640.1
OG0001033	XP_031840404.1	XP_012545394.1, NP_001161188.1
OG0001034	XP_031825483.1	XP_037875314.1, XP_037875312.1
OG0001035	XP_031838336.1, XP_031838331.1, XP_031838335.1, XP_031838333.1, XP_031838332.1	XP_037870647.1
OG0001036	XP_031826430.1, XP_031826588.1	XP_004931447.2
OG0001037	XP_031834169.1, XP_031834168.1	NP_001037080.1, XP_004926655.1, XP_004926654.1, XP_037867715.1, XP_037867716.1
OG0001038	XP_031825338.1, XP_031825336.1, XP_031825337.1	XP_012549948.1
OG0001039	XP_031835057.1	XP_004921977.2, XP_037877272.1
OG0001040	XP_031839503.1, XP_031839502.1, XP_031839504.1	XP_021204516.2
OG0001041	XP_031846760.1	XP_004932148.1
OG0001042	XP_031839798.1	XP_037876973.1, XP_037876972.1, XP_037876971.1
OG0001044	XP_031829470.1	XP_037868906.1, XP_021208939.1
OG0001045	XP_031845746.1	XP_004923807.1, XP_004923839.3, XP_037871303.1
OG0001046	XP_031841691.1, XP_031841690.1, XP_031841692.1	XP_004929883.1, XP_004929882.1
OG0001048	XP_031836053.1	XP_037876905.1, XP_037876906.1
OG0001049	XP_031842231.1, XP_031842223.1	XP_037866893.1, XP_037866897.1, XP_021207763.2
OG0001050	XP_031838598.1	NP_001037042.1
OG0001052	XP_031831642.1	XP_004926923.1
OG0001053	XP_031848240.1, XP_031848178.1	NP_001036970.1, XP_021203004.2
OG0001054	XP_031827096.1, XP_031827097.1	XP_037877208.1, XP_037872743.1
OG0001055	XP_031825448.1, XP_031825449.1, XP_031825446.1, XP_031825447.1	XP_037874322.1
OG0001056	XP_031850484.1, XP_031850485.1	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1
OG0001057	XP_031833783.1	XP_012546102.1
OG0001058	XP_031848868.1	XP_037869696.1
OG0001059	XP_031839544.1, XP_031837759.1	NP_001165393.1, XP_037873012.1
OG0001060	XP_031845533.1, XP_031845535.1, XP_031845534.1	XP_037874163.1, XP_037874164.1, XP_037874165.1
OG0001061	XP_031845486.1, XP_031845485.1, XP_031845487.1	XP_012544018.2
OG0001063	XP_031847353.1, XP_031849142.1	XP_012545541.3
OG0001064	XP_031833841.1, XP_031833788.1, XP_031833785.1	XP_012548764.2
OG0001065	XP_031843757.1	NP_001106139.1, XP_012544167.1
OG0001066	XP_031835635.1	XP_004929225.1
OG0001067	XP_031850277.1	XP_012549214.1
OG0001068	XP_031828065.1	XP_037876252.1, XP_021208008.2, XP_012551482.1
OG0001069	XP_031837032.1, XP_031837042.1, XP_031837054.1, XP_031837049.1	XP_004932579.1
OG0001070	XP_031839480.1	XP_004930760.1, XP_004930761.1
OG0001071	XP_031837891.1	XP_012544371.1, XP_012544374.1
OG0001072	XP_031825452.1	XP_037874093.1, XP_037874090.1
OG0001073	XP_031844011.1, XP_031843997.1	XP_021203320.2, XP_021203319.1
OG0001074	XP_031844622.1, XP_031844625.1	XP_004930337.1
OG0001075	XP_031828907.1	XP_037872729.1
OG0001076	XP_031847023.1	XP_037874441.1, XP_004929657.1
OG0001077	XP_031850143.1, XP_031850169.1, XP_031850178.1, XP_031850161.1, XP_031850152.1, XP_031850187.1	NP_001040222.1
OG0001078	XP_031841266.1, XP_031841265.1	XP_012546938.2
OG0001079	XP_031831793.1, XP_031831794.1, XP_031831795.1, XP_031831792.1	XP_012545888.2
OG0001081	XP_031837883.1	XP_004925864.1, XP_012545586.2
OG0001083	XP_031837197.1, XP_031837199.1, XP_031837198.1	XP_004925857.1
OG0001084	XP_031836282.1	XP_004931981.2
OG0001085	XP_031831314.1	XP_004924088.1, XP_004924087.1
OG0001086	XP_031845012.1	XP_004926056.1, XP_012545716.1
OG0001090	XP_031845250.1, XP_031845252.1, XP_031845251.1	NP_001037162.1, XP_012549564.1
OG0001091	XP_031829234.1	XP_004929855.2
OG0001092	XP_031843453.1, XP_031843338.1	XP_012548309.1, NP_001037470.1
OG0001093	XP_031830830.1	XP_004931699.1
OG0001094	XP_031827321.1	XP_012547124.1, NP_001040452.1
OG0001095	XP_031839865.1, XP_031839868.1, XP_031839866.1, XP_031839867.1	NP_001040518.1
OG0001096	XP_031827068.1, XP_031827067.1	XP_021203548.1, XP_004925978.1
OG0001097	XP_031847813.1, XP_031847814.1, XP_031847815.1	NP_001040313.1
OG0001098	XP_031841773.1	XP_004926527.1
OG0001099	XP_031828604.1	NP_001093089.1
OG0001100	XP_031836436.1	NP_001040216.1
OG0001101	XP_031849211.1	XP_004922168.1, XP_037873380.1
OG0001102	XP_031845478.1	NP_001037114.1
OG0001103	XP_031829966.1	NP_001037108.1
OG0001104	XP_031825419.1	XP_004934317.1
OG0001105	XP_031831857.1	XP_037871716.1, XP_037871717.1
OG0001106	XP_031847014.1	XP_004927328.1, XP_004927327.1, XP_004927329.1
OG0001107	XP_031830156.1	XP_004926469.1
OG0001108	XP_031829899.1, XP_031829900.1	XP_021203928.2
OG0001109	XP_031829725.1	XP_012545410.1
OG0001110	XP_031849760.1	XP_004930468.1
OG0001111	XP_031832456.1, XP_031832457.1, XP_031832459.1	XP_004924201.1
OG0001112	XP_031850475.1	NP_001266326.1, XP_012547737.1
OG0001113	XP_031831416.1, XP_031831417.1, XP_031831418.1	XP_004931327.2
OG0001114	XP_031831044.1, XP_031831046.1, XP_031831045.1	XP_004932918.1, XP_012551624.1
OG0001115	XP_031830931.1	XP_004931997.1
OG0001116	XP_031846067.1, XP_031846038.1, XP_031846058.1, XP_031846048.1	XP_037868483.1
OG0001117	XP_031830687.1	XP_012549213.2
OG0001118	XP_031834629.1, XP_031834628.1	XP_004922745.1
OG0001119	XP_031838472.1	XP_004929815.1, XP_012549045.1
OG0001120	XP_031831331.1	XP_004922742.2
OG0001121	XP_031839433.1	XP_021207858.2, NP_001180543.1
OG0001122	XP_031847284.1, XP_031847283.1, XP_031847279.1, XP_031847281.1, XP_031847282.1	XP_037869135.1
OG0001123	XP_031844785.1, XP_031844784.1	XP_004931101.1, XP_004931100.1
OG0001124	XP_031830551.1, XP_031830549.1, XP_031830548.1, XP_031830550.1, XP_031830553.1, XP_031830552.1, XP_031830555.1, XP_031830554.1, XP_031830556.1, XP_031830547.1	XP_037873124.1
OG0001125	XP_031840553.1	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1
OG0001126	XP_031841826.1	XP_037872173.1
OG0001127	XP_031840329.1	XP_012551002.1
OG0001128	XP_031826517.1	XP_012551412.2, NP_001232932.1
OG0001129	XP_031838917.1	XP_021203161.1
OG0001130	XP_031847625.1, XP_031847624.1, XP_031847623.1, XP_031847622.1	NP_001106222.1
OG0001131	XP_031837293.1, XP_031837292.1	NP_001036904.1, XP_021205859.1
OG0001132	XP_031845080.1, XP_031845081.1	XP_037870554.1
OG0001134	XP_031840038.1, XP_031840041.1	XP_037877752.1
OG0001135	XP_031837433.1	XP_037877715.1, XP_037877714.1
OG0001137	XP_031848945.1	XP_004933072.1
OG0001138	XP_031838555.1	XP_037877664.1, NP_001040359.1
OG0001139	XP_031842876.1	XP_012544364.1, XP_012544366.1
OG0001140	XP_031845600.1	XP_021205705.1, NP_001103403.1
OG0001141	XP_031841202.1, XP_031841200.1	XP_037872989.1
OG0001142	XP_031827112.1, XP_031827109.1	XP_037868754.1
OG0001143	XP_031835896.1, XP_031835895.1, XP_031835894.1	XP_004931875.1
OG0001144	XP_031843271.1	XP_012548247.2, XP_037876489.1, XP_037876488.1
OG0001145	XP_031839132.1	XP_012543901.1
OG0001146	XP_031831248.1	XP_004921594.1
OG0001147	XP_031828878.1	XP_012547142.2
OG0001148	XP_031848863.1, XP_031849785.1, XP_031849782.1, XP_031849783.1, XP_031849787.1, XP_031849786.1, XP_031849784.1	XP_004928140.1, XP_012547674.1, XP_037873134.1
OG0001149	XP_031849266.1	XP_037867251.1
OG0001150	XP_031842218.1	XP_004925200.1, XP_021203010.1
OG0001151	XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849992.1, XP_031849990.1	XP_012545538.1, NP_001103478.1
OG0001152	XP_031847827.1, XP_031847828.1, XP_031847824.1, XP_031847825.1	XP_012547811.1, XP_012547814.1
OG0001153	XP_031846023.1	XP_004924521.2
OG0001154	XP_031842837.1, XP_031842832.1	XP_037868706.1, XP_004924023.1
OG0001155	XP_031834568.1, XP_031834567.1	XP_037871158.1
OG0001156	XP_031830479.1	XP_004928302.1
OG0001157	XP_031837473.1	XP_004926833.1
OG0001158	XP_031840384.1, XP_031840385.1, XP_031840382.1, XP_031840383.1, XP_031840386.1	XP_012551780.2
OG0001159	XP_031835542.1	XP_037876270.1
OG0001160	XP_031833230.1, XP_031833229.1, XP_031833231.1	XP_004921968.1, XP_037877276.1
OG0001161	XP_031832965.1, XP_031832966.1	NP_001093315.1
OG0001162	XP_031831866.1, XP_031831870.1, XP_031831868.1, XP_031831877.1	XP_037873093.1
OG0001163	XP_031848227.1, XP_031848226.1	XP_037877307.1, NP_001243921.1
OG0001164	XP_031848108.1, XP_031848107.1, XP_031848106.1, XP_031848112.1, XP_031848111.1, XP_031848105.1, XP_031848109.1	XP_012544977.1
OG0001165	XP_031831004.1	XP_037871563.1, XP_037871559.1
OG0001166	XP_031843554.1	XP_037869122.1
OG0001167	XP_031839058.1	XP_004925143.1
OG0001169	XP_031833074.1, XP_031833075.1, XP_031833076.1	XP_004933290.1, XP_004933289.1
OG0001170	XP_031831612.1, XP_031831613.1, XP_031831614.1, XP_031831615.1, XP_031831616.1, XP_031831617.1, XP_031831610.1, XP_031831611.1	NP_001040307.1, XP_037873399.1
OG0001171	XP_031828829.1, XP_031828826.1	XP_037871074.1, XP_037871077.1
OG0001172	XP_031825538.1	XP_037871481.1, NP_001139127.1
OG0001173	XP_031841957.1	XP_004923145.2, XP_037875779.1
OG0001174	XP_031831463.1, XP_031827409.1	XP_004931972.1
OG0001175	XP_031828128.1	XP_037875209.1
OG0001176	XP_031834937.1	XP_004931359.1
OG0001178	XP_031839757.1	XP_021204911.1, XP_004927733.1
OG0001179	XP_031831151.1	XP_012550481.2
OG0001180	XP_031836832.1	XP_037872073.1
OG0001181	XP_031836645.1, XP_031836646.1	XP_004927791.1
OG0001182	XP_031828845.1	XP_037875670.1, XP_037875884.1
OG0001183	XP_031840853.1, XP_031840854.1, XP_031840856.1	XP_037869217.1, XP_037869220.1
OG0001184	XP_031838856.1, XP_031838836.1	XP_012549667.1, XP_012549669.1
OG0001185	XP_031841411.1	XP_037874622.1, NP_001165114.1
OG0001186	XP_031829896.1, XP_031829894.1	XP_004924300.1
OG0001187	XP_031830169.1	XP_012551805.2
OG0001188	XP_031833789.1	XP_004924079.1
OG0001189	XP_031837106.1	XP_037877740.1
OG0001191	XP_031843053.1	XP_021204668.1, XP_037870110.1, XP_021204693.1
OG0001193	XP_031845506.1	NP_001093292.1, XP_021203117.2, NP_001103402.1
OG0001195	XP_031847247.1	XP_037877359.1
OG0001198	XP_031846224.1	XP_004925553.1
OG0001199	XP_031828008.1, XP_031828010.1, XP_031828009.1	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1
OG0001202	XP_031828823.1	XP_037869396.1, XP_037869397.1
OG0001203	XP_031833769.1, XP_031839454.1	NP_001296540.1
OG0001204	XP_031841233.1, XP_031841236.1, XP_031841235.1, XP_031841231.1, XP_031841229.1, XP_031841230.1, XP_031841227.1, XP_031841228.1, XP_031841234.1	XP_037874979.1
OG0001205	XP_031842950.1, XP_031835196.1	XP_004933672.2
OG0001206	XP_031825983.1, XP_031825985.1	XP_004929966.1, XP_037869097.1
OG0001208	XP_031825285.1	XP_037876320.1, XP_012553119.1, XP_021209257.1
OG0001211	XP_031826484.1	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1
OG0001214	XP_031846977.1	NP_001040279.1, XP_012551201.1
OG0001215	XP_031832928.1	XP_037872613.1, XP_037872615.1, XP_021208348.1
OG0001216	XP_031828028.1, XP_031828030.1, XP_031828029.1	XP_012550836.2
OG0001217	XP_031826724.1	XP_004927890.1
OG0001218	XP_031849120.1, XP_031849119.1, XP_031849122.1, XP_031849121.1	NP_001040120.1
OG0001219	XP_031827401.1	XP_004929153.2
OG0001220	XP_031827100.1	XP_004930794.1
OG0001221	XP_031834094.1	XP_012545938.1, NP_001040197.1, XP_004930220.1
OG0001222	XP_031842497.1	XP_004922174.2
OG0001223	XP_031838610.1, XP_031838616.1, XP_031838615.1, XP_031838617.1, XP_031838611.1, XP_031838614.1, XP_031838613.1, XP_031838609.1	XP_037872237.1
OG0001224	XP_031827291.1	XP_004926867.1
OG0001225	XP_031830495.1, XP_031830486.1, XP_031830477.1, XP_031830504.1	NP_001040311.1
OG0001228	XP_031842589.1, XP_031842580.1	XP_012545774.2, XP_037876543.1
OG0001229	XP_031828490.1, XP_031828489.1	NP_001037132.1, XP_012548070.1
OG0001230	XP_031825407.1, XP_031825406.1, XP_031825408.1, XP_031825409.1	NP_001037259.1
OG0001231	XP_031827719.1	XP_037869352.1
OG0001232	XP_031826003.1	XP_037869261.1, XP_037869262.1
OG0001233	XP_031850380.1, XP_031850381.1	XP_012549545.1
OG0001234	XP_031836380.1	XP_037874331.1, XP_021203183.1, XP_004925455.2
OG0001236	XP_031831459.1, XP_031831458.1	XP_004931956.1
OG0001238	XP_031829656.1	XP_021203590.2, XP_021203599.1
OG0001239	XP_031847045.1, XP_031847044.1, XP_031847043.1	XP_012548121.3
OG0001240	XP_031835644.1	NP_001040150.1
OG0001241	XP_031838566.1, XP_031838572.1	XP_012551265.1
OG0001242	XP_031828137.1	XP_021203674.1, XP_004926232.2
OG0001243	XP_031835758.1	XP_004921561.1
OG0001244	XP_031835620.1, XP_031835617.1, XP_031835622.1, XP_031835621.1, XP_031835618.1, XP_031835616.1	XP_004931363.1
OG0001245	XP_031828886.1	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1
OG0001246	XP_031829204.1	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1
OG0001247	XP_031835908.1	NP_001280620.1, XP_012547444.1
OG0001248	XP_031837941.1, XP_031837940.1	NP_001266436.1
OG0001249	XP_031828276.1, XP_031828272.1, XP_031828274.1, XP_031828271.1, XP_031828275.1	XP_037873698.1
OG0001250	XP_031830099.1	XP_012547191.3, XP_037871060.1
OG0001251	XP_031845850.1, XP_031846025.1	XP_021202275.2, XP_021202277.2
OG0001253	XP_031849889.1, XP_031849887.1, XP_031849890.1, XP_031849891.1, XP_031849888.1, XP_031849893.1	XP_037868796.1
OG0001254	XP_031836877.1	XP_012548031.1
OG0001255	XP_031836220.1, XP_031836222.1	XP_004932670.4
OG0001256	XP_031847031.1, XP_031847017.1	XP_037870663.1, NP_001036985.1
OG0001257	XP_031841207.1	XP_012546555.1
OG0001258	XP_031829338.1, XP_031829337.1	XP_037870191.1
OG0001259	XP_031843405.1	XP_037874041.1
OG0001260	XP_031842792.1	NP_001040211.1
OG0001261	XP_031835191.1, XP_031835190.1	XP_021208090.1
OG0001262	XP_031836705.1, XP_031836706.1, XP_031836704.1, XP_031836707.1	XP_021205442.1
OG0001263	XP_031844282.1, XP_031844255.1, XP_031844290.1, XP_031844273.1, XP_031844265.1	NP_001037452.1
OG0001264	XP_031837645.1	XP_037867170.1
OG0001265	XP_031850564.1	NP_001266388.1
OG0001267	XP_031829944.1	XP_037866491.1
OG0001268	XP_031848041.1, XP_031837915.1	XP_021205844.2
OG0001269	XP_031828356.1	XP_037869606.1
OG0001270	XP_031847869.1, XP_031847871.1, XP_031847870.1	NP_001040175.1
OG0001272	XP_031848005.1, XP_031848004.1	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1
OG0001273	XP_031825300.1	XP_037866725.1, NP_001116823.2
OG0001274	XP_031831250.1, XP_031831253.1, XP_031831252.1	XP_012544435.2
OG0001275	XP_031843127.1, XP_031843122.1, XP_031843120.1, XP_031843126.1, XP_031843125.1, XP_031843123.1, XP_031843124.1, XP_031843121.1, XP_031843118.1, XP_031843129.1, XP_031843128.1	XP_037875688.1
OG0001277	XP_031849594.1	XP_004931850.2, XP_021207347.2
OG0001278	XP_031842631.1, XP_031842630.1	XP_037875820.1
OG0001279	XP_031834340.1, XP_031834334.1	XP_012546213.2
OG0001280	XP_031836378.1, XP_031836376.1, XP_031836377.1	XP_012550549.1, NP_001098067.2
OG0001281	XP_031841211.1, XP_031841217.1, XP_031841213.1	XP_004932331.1
OG0001283	XP_031826033.1, XP_031826039.1	XP_012551935.1, NP_001037644.1
OG0001284	XP_031840888.1, XP_031840892.1	XP_012544695.2, XP_012544697.2
OG0001286	XP_031837251.1, XP_031837249.1, XP_031837250.1	XP_004933304.1
OG0001287	XP_031832468.1	XP_037874173.1
OG0001288	XP_031846235.1	XP_037876362.1
OG0001289	XP_031832117.1, XP_031832116.1, XP_031832118.1	XP_004922571.1
OG0001291	XP_031827458.1	XP_021202357.1, NP_001037055.1
OG0001292	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1	XP_037877060.1
OG0001293	XP_031830818.1, XP_031830817.1, XP_031830816.1	XP_004923001.1, XP_004923002.1
OG0001294	XP_031843176.1	XP_021204295.1
OG0001295	XP_031838158.1, XP_031838161.1	XP_004933504.2, XP_037873395.1
OG0001298	XP_031840360.1, XP_031840352.1	XP_037867209.1
OG0001299	XP_031828141.1, XP_031828142.1, XP_031828143.1, XP_031828144.1, XP_031828150.1, XP_031828149.1, XP_031828148.1, XP_031828147.1, XP_031828151.1, XP_031828146.1, XP_031828145.1	XP_004928614.1
OG0001300	XP_031826697.1, XP_031826698.1, XP_031826700.1, XP_031826701.1	XP_037876736.1
OG0001301	XP_031837166.1	XP_037869383.1
OG0001302	XP_031839445.1	XP_037870217.1, XP_037870210.1
OG0001303	XP_031836036.1, XP_031836031.1	XP_037875592.1, XP_037875594.1
OG0001304	XP_031842733.1, XP_031842732.1	XP_004930048.2
OG0001305	XP_031826008.1	NP_001108348.1
OG0001305	XP_031826009.1	NP_001091843.1
OG0001306	XP_031835907.1, XP_031835905.1	XP_037872003.1, XP_037872009.1
OG0001307	XP_031831249.1	XP_037871814.1
OG0001308	XP_031849959.1, XP_031849958.1, XP_031849961.1, XP_031849960.1	XP_037868945.1, XP_004931237.2
OG0001310	XP_031831402.1, XP_031831401.1, XP_031831398.1, XP_031831397.1, XP_031831400.1, XP_031831399.1, XP_031831395.1, XP_031831396.1	XP_004931319.1
OG0001312	XP_031829840.1, XP_031829839.1	NP_001040409.1
OG0001313	XP_031849083.1	XP_004931506.1
OG0001314	XP_031826937.1	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1
OG0001315	XP_031837280.1, XP_031837279.1	XP_037871474.1, XP_012546336.2
OG0001316	XP_031827335.1, XP_031827336.1, XP_031827331.1, XP_031827332.1, XP_031827329.1, XP_031827330.1, XP_031827334.1	NP_001036998.2
