Orthogroup	Drosophila_melanogaster	Dufourea_novaeangliae
OG0001292	NP_611945.3	XP_015439215.1
OG0001293	NP_649850.1	XP_015438430.1
OG0001294	NP_611855.1	XP_015437976.1
OG0001295	NP_724562.2	XP_015436164.1
OG0001298	NP_001163084.1	XP_015436157.1
OG0001299	NP_609088.1	XP_015438126.1
OG0001300	NP_001259918.1	XP_015432681.1, XP_015432680.1
OG0001301	NP_001188545.1	XP_015437879.1
OG0001302	NP_001188695.1	XP_015432822.1
OG0001303	NP_001261027.1	XP_015429458.1
OG0001304	NP_001246121.1	XP_015432495.1
OG0001305	NP_001261304.1	XP_015434388.1
OG0001306	NP_001262403.1	XP_015438568.1, XP_015438567.1
OG0001307	NP_001356969.1	XP_015439283.1
OG0001308	NP_001245739.1, NP_727344.1	XP_015434718.1
OG0001310	NP_650685.1	XP_015440120.1
OG0001312	NP_001285588.1	XP_015428775.1, XP_015428777.1, XP_015428776.1
OG0001314	NP_001246531.1	XP_015434639.1
OG0001315	NP_001285099.1, NP_728935.1	XP_015439125.1
OG0001316	NP_001246495.1	XP_015432954.1
OG0001317	NP_647998.2, NP_647996.1	XP_015439318.1
OG0001317	NP_648019.2	XP_015431735.1
OG0001318	NP_001188775.1	XP_015436273.1
OG0001320	NP_651060.1	XP_015430263.1
OG0001322	NP_651570.1	XP_015439957.1
OG0001328	NP_001097695.1	XP_015438483.1
OG0001329	NP_647948.1	XP_015434492.1, XP_015434493.1
OG0001330	NP_001246537.1	XP_015436922.1
OG0001331	NP_001260303.1	XP_015430431.1
OG0001332	NP_650887.1, NP_570011.1	XP_015428837.1, XP_015428839.1, XP_015428838.1
OG0001333	NP_649539.1	XP_015436045.1
OG0001334	NP_001287343.1	XP_015434048.1
OG0001335	NP_609362.1	XP_015438515.1, XP_015438516.1
OG0001336	NP_609967.1	XP_015437053.1
OG0001336	NP_001162901.1	XP_015437052.1
OG0001337	NP_612097.1	XP_015436696.1
OG0001338	NP_572855.1	XP_015437333.1, XP_015437330.1, XP_015437332.1
OG0001339	NP_001260727.1	XP_015435924.1
OG0001340	NP_001284961.1	XP_015429725.1
OG0001341	NP_001259867.1	XP_015438393.1
OG0001342	NP_001138093.1	XP_015431438.1
OG0001343	NP_477025.1	XP_015439074.1, XP_015434192.1
OG0001344	NP_652315.2	XP_015436231.1
OG0001345	NP_648955.1	XP_015440141.1
OG0001346	NP_001097946.1	XP_015433969.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_015439292.1
OG0001348	NP_608350.2	XP_015430417.1
OG0001349	NP_477480.1	XP_015434793.1
OG0001350	NP_788708.2	XP_015440292.1
OG0001351	NP_001246931.1	XP_015437973.1
OG0001352	NP_731459.2	XP_015434609.1
OG0001353	NP_001261357.1	XP_015433855.1
OG0001354	NP_611792.1	XP_015439962.1
OG0001355	NP_572529.2	XP_015434784.1
OG0001356	NP_001014559.1	XP_015432604.1
OG0001358	NP_001014703.1	XP_015433112.1
OG0001359	NP_001259064.1, NP_651392.2	XP_015430299.1
OG0001361	NP_650778.2	XP_015432652.1
OG0001362	NP_001287357.1	XP_015439867.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_015434313.1, XP_015430014.1
OG0001364	NP_001188754.1	XP_015430718.1
OG0001365	NP_001260427.1	XP_015437725.1
OG0001366	NP_648508.1	XP_015433254.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_015432524.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_015431180.1
OG0001369	NP_001303363.1	XP_015434405.1
OG0001370	NP_001162973.2	XP_015435813.1
OG0001371	NP_610796.1	XP_015437147.1
OG0001372	NP_610444.2	XP_015433361.1, XP_015433276.1
OG0001373	NP_731872.1	XP_015436632.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_015434147.1
OG0001375	NP_001261379.1	XP_015435213.1, XP_015435214.1
OG0001376	NP_001162697.1	XP_015431149.1
OG0001377	NP_572840.1	XP_015436659.1, XP_015436660.1, XP_015436658.1
OG0001378	NP_572402.1	XP_015429949.1
OG0001379	NP_723501.2	XP_015436055.1
OG0001380	NP_001036421.1	XP_015429665.1
OG0001381	NP_650889.1	XP_015430401.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_015437912.1
OG0001383	NP_001036470.1	XP_015433838.1, XP_015433837.1
OG0001384	NP_001285453.1	XP_015436514.1
OG0001385	NP_001260880.1	XP_015439943.1
OG0001386	NP_001286474.1	XP_015433248.1
OG0001387	NP_609412.1	XP_015440060.1
OG0001388	NP_572320.2, NP_732840.1	XP_015437021.1
OG0001389	NP_788300.3	XP_015431036.1
OG0001390	NP_001286120.1	XP_015432331.1
OG0001391	NP_001163354.1	XP_015431342.1
OG0001392	NP_001246912.1	XP_015430121.1, XP_015430118.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_015429416.1
OG0001394	NP_573197.2	XP_015437935.1
OG0001394	NP_729025.1	XP_015429256.1
OG0001395	NP_001137624.1	XP_015432409.1
OG0001396	NP_001245761.1, NP_523412.1	XP_015435269.1
OG0001397	NP_649764.1	XP_015431048.1
OG0001398	NP_001246972.1, NP_523949.2	XP_015429350.1
OG0001399	NP_569982.1	XP_015435265.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_015437499.1, XP_015437506.1
OG0001401	NP_524675.1	XP_015433181.1
OG0001402	NP_612065.1	XP_015437667.1
OG0001403	NP_001259193.1, NP_733426.1	XP_015436374.1
OG0001404	NP_609110.1	XP_015437404.1
OG0001405	NP_731223.1	XP_015431935.1
OG0001406	NP_001015132.1	XP_015431719.1
OG0001407	NP_001262226.1	XP_015438269.1, XP_015438268.1, XP_015438266.1
OG0001408	NP_001163646.1	XP_015439582.1
OG0001409	NP_001162657.1	XP_015432641.1
OG0001410	NP_523844.2	XP_015435731.1
OG0001412	NP_001036250.1	XP_015436902.1
OG0001412	NP_651941.2	XP_015436904.1
OG0001413	NP_001303415.1	XP_015435120.1
OG0001414	NP_608864.1	XP_015429749.1
OG0001415	NP_996016.2	XP_015436505.1
OG0001416	NP_723870.1	XP_015429431.1, XP_015429419.1
OG0001417	NP_611932.2	XP_015436553.1
OG0001418	NP_001162911.1	XP_015434209.1, XP_015433093.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_015429751.1
OG0001420	NP_650569.1, NP_651139.1	XP_015435045.1
OG0001421	NP_649899.1	XP_015431980.1, XP_015431978.1
OG0001422	NP_001189074.1	XP_015429923.1
OG0001423	NP_729234.2	XP_015432837.1
OG0001424	NP_001262495.1	XP_015438763.1
OG0001425	NP_788574.3	XP_015432966.1
OG0001426	NP_001163056.1	XP_015428633.1
OG0001427	NP_648499.1	XP_015435649.1
OG0001428	NP_608929.1	XP_015440167.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_015436203.1
OG0001430	NP_001287466.1	XP_015439452.1
OG0001432	NP_001188923.1, NP_611185.3	XP_015432656.1
OG0001434	NP_788618.1, NP_649928.1	XP_015428560.1
OG0001436	NP_650868.1, NP_649289.2	XP_015438908.1
OG0001437	NP_001286742.1	XP_015434663.1
OG0001438	NP_727644.3	XP_015428846.1
OG0001440	NP_611647.1	XP_015434309.1
OG0001441	NP_001027574.2	XP_015430893.1
OG0001442	NP_001287592.1	XP_015437034.1
OG0001443	NP_001096850.2	XP_015434954.1, XP_015432330.1
OG0001444	NP_001034052.2	XP_015439769.1, XP_015440091.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_015440249.1, XP_015440248.1
OG0001446	NP_648358.2	XP_015437635.1
OG0001453	NP_001285826.1	XP_015437629.1
OG0001455	NP_610092.2	XP_015433503.1
OG0001456	NP_001286295.1	XP_015432188.1
OG0001457	NP_001163688.1	XP_015431177.1
OG0001458	NP_476858.1	XP_015434044.1
OG0001459	NP_001263148.1	XP_015436986.1
OG0001460	NP_476848.1	XP_015431866.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_015439639.1
OG0001462	NP_001262421.1	XP_015431158.1
OG0001463	NP_649574.1	XP_015429965.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_015437158.1
OG0001465	NP_001189124.1	XP_015432347.1
OG0001466	NP_569951.1, NP_611911.1	XP_015431946.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_015434502.1
OG0001468	NP_001260652.1	XP_015437861.1
OG0001469	NP_523568.2	XP_015440543.1
OG0001470	NP_648768.1	XP_015434648.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_015435921.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_015432615.1
OG0001473	NP_001287361.1	XP_015434009.1
OG0001474	NP_609560.2, NP_569850.1	XP_015428929.1
OG0001475	NP_001368987.1	XP_015435318.1
OG0001477	NP_001014453.1	XP_015431434.1, XP_015431435.1, XP_015431436.1
OG0001478	NP_001285042.1	XP_015438251.1, XP_015438252.1
OG0001479	NP_001036624.1	XP_015437416.1
OG0001480	NP_524533.1	XP_015431709.1
OG0001481	NP_001286181.1	XP_015439635.1
OG0001482	NP_651924.2	XP_015430392.1
OG0001483	NP_001262996.1	XP_015439415.1
OG0001484	NP_001188579.1	XP_015434069.1
OG0001485	NP_523596.2	XP_015438628.1
OG0001486	NP_476764.1	XP_015435498.1
OG0001487	NP_001188904.1	XP_015431378.1
OG0001488	NP_001189108.1	XP_015437449.1, XP_015438396.1
OG0001489	NP_648555.1	XP_015439314.1
OG0001491	NP_609228.2	XP_015439000.1, XP_015439001.1
OG0001492	NP_001263168.1	XP_015430307.1
OG0001493	NP_001262195.1	XP_015428963.1, XP_015428964.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_015432661.1
OG0001495	NP_612063.2	XP_015440321.1
OG0001496	NP_609203.1	XP_015436755.1
OG0001497	NP_001260853.1	XP_015440537.1
OG0001498	NP_729823.2	XP_015429415.1, XP_015429487.1
OG0001499	NP_572167.3	XP_015438685.1, XP_015436304.1
OG0001500	NP_730859.1	XP_015436279.1
OG0001501	NP_001303373.1	XP_015430049.1
OG0001502	NP_001261464.1	XP_015430048.1
OG0001503	NP_665880.2	XP_015437335.1
OG0001504	NP_001261440.1	XP_015435853.1
OG0001505	NP_001097527.1	XP_015439805.1
OG0001507	NP_001287269.1	XP_015432505.1, XP_015432502.1
OG0001508	NP_001138130.2	XP_015439520.1
OG0001509	NP_001261116.1	XP_015428744.1
OG0001510	NP_001284936.1	XP_015435496.1, XP_015437806.1
OG0001511	NP_649151.1	XP_015437500.1
OG0001514	NP_001188550.1	XP_015428567.1
OG0001515	NP_001259809.1	XP_015437528.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_015437627.1
OG0001517	NP_731242.1	XP_015436545.1
OG0001518	NP_001036462.1	XP_015434223.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_015435519.1, XP_015435520.1
OG0001520	NP_001368953.1	XP_015434945.1
OG0001521	NP_523422.4	XP_015439954.1
OG0001522	NP_001096867.3	XP_015433647.1
OG0001524	NP_001261067.1	XP_015434310.1
OG0001525	NP_477026.1	XP_015432476.1
OG0001526	NP_001369078.1	XP_015436158.1
OG0001527	NP_001259089.1	XP_015439538.1
OG0001529	NP_001162930.1	XP_015437119.1
OG0001530	NP_611501.1	XP_015432979.1
OG0001531	NP_651595.1	XP_015440062.1
OG0001532	NP_001162665.1	XP_015435975.1
OG0001533	NP_728534.2	XP_015431090.1
OG0001534	NP_731923.2	XP_015432662.1
OG0001535	NP_001261999.1	XP_015432244.1
OG0001536	NP_648357.1	XP_015430011.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_015432136.1
OG0001538	NP_995639.1	XP_015436827.1
OG0001539	NP_524017.1	XP_015432370.1
OG0001540	NP_610693.1, NP_610694.1	XP_015435420.1
OG0001541	NP_001261940.1	XP_015436998.1
OG0001542	NP_609207.1	XP_015431722.1
OG0001543	NP_650901.2	XP_015435669.1
OG0001545	NP_523451.2	XP_015435875.1
OG0001546	NP_001247104.1	XP_015433354.1, XP_015433353.1
OG0001548	NP_001285388.1	XP_015434231.1
OG0001550	NP_647968.3	XP_015432092.1
OG0001551	NP_001246815.1	XP_015438298.1
OG0001552	NP_477317.1	XP_015431877.1
OG0001553	NP_651623.1	XP_015429044.1
OG0001554	NP_001261344.1	XP_015428484.1, XP_015428486.1
OG0001555	NP_001246451.1	XP_015439812.1, XP_015439813.1
OG0001556	NP_726771.1	XP_015438024.1
OG0001557	NP_001260951.1	XP_015435555.1
OG0001558	NP_001245722.1	XP_015428717.1
OG0001559	NP_650472.2	XP_015428702.1
OG0001560	NP_001246228.1	XP_015436376.1
OG0001561	NP_001260963.1	XP_015439299.1
OG0001562	NP_001137943.2	XP_015429885.1
OG0001563	NP_001246300.1	XP_015435621.1
OG0001564	NP_650698.1	XP_015439623.1
OG0001565	NP_001286976.1	XP_015433425.1
OG0001567	NP_001137746.1	XP_015439631.1
OG0001568	NP_001263152.1	XP_015433316.1
OG0001569	NP_477320.1	XP_015439071.1
OG0001570	NP_648176.1	XP_015437815.1
OG0001571	NP_610075.2	XP_015437700.1, XP_015437699.1
OG0001575	NP_524337.1	XP_015439503.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_015434372.1
OG0001577	NP_001285493.1	XP_015429607.1
OG0001579	NP_001097592.1	XP_015431412.1
OG0001580	NP_001285528.1	XP_015437527.1
OG0001581	NP_608983.2	XP_015438371.1
OG0001582	NP_001287593.1	XP_015431451.1
OG0001583	NP_001189157.1	XP_015433149.1
OG0001584	NP_648993.1	XP_015432894.1, XP_015432899.1
OG0001585	NP_001262143.1	XP_015436728.1, XP_015436709.1
OG0001586	NP_647865.2	XP_015433972.1
OG0001587	NP_648090.1	XP_015433739.1, XP_015433861.1
OG0001588	NP_001188558.1	XP_015435512.1, XP_015435511.1
OG0001589	NP_726318.1	XP_015440096.1
OG0001590	NP_572910.1, NP_001285210.1	XP_015434003.1
OG0001591	NP_001286018.1	XP_015435474.1
OG0001592	NP_647896.1	XP_015429265.1
OG0001593	NP_001287342.1	XP_015433106.1
OG0001594	NP_001259723.1	XP_015436789.1
OG0001595	NP_611252.1	XP_015438182.1
OG0001596	NP_730651.1	XP_015431088.1
OG0001597	NP_572854.1	XP_015431840.1
OG0001600	NP_001286151.1	XP_015436351.1
OG0001601	NP_001097706.1	XP_015435249.1
OG0001602	NP_001033958.1	XP_015440039.1
OG0001603	NP_001027070.1	XP_015429993.1
OG0001604	NP_001163129.1	XP_015436125.1
OG0001606	NP_523902.2	XP_015428502.1, XP_015428501.1, XP_015428503.1
OG0001607	NP_001285753.1	XP_015436955.1, XP_015436956.1
OG0001608	NP_001260655.1	XP_015438842.1
OG0001614	NP_001259303.1, NP_569908.1	XP_015433528.1
OG0001615	NP_523764.1	XP_015435223.1
OG0001616	NP_001259833.1	XP_015438839.1
OG0001617	NP_524011.1	XP_015431838.1
OG0001619	NP_652526.1	XP_015431862.1
OG0001620	NP_609496.1	XP_015430444.1, XP_015430445.1, XP_015430443.1
OG0001621	NP_573362.1, NP_729837.1	XP_015439286.1
OG0001622	NP_572536.1	XP_015431206.1
OG0001623	NP_524400.2	XP_015431734.1
OG0001624	NP_788056.1	XP_015438647.1, XP_015438646.1, XP_015438648.1
OG0001625	NP_001262669.1	XP_015433451.1
OG0001626	NP_001259186.1	XP_015438493.1
OG0001627	NP_001303417.1	XP_015431522.1
OG0001628	NP_651052.1	XP_015430846.1
OG0001629	NP_651782.1	XP_015434445.1, XP_015434446.1
OG0001630	NP_729395.2	XP_015438562.1
OG0001631	NP_001261267.1	XP_015438863.1
OG0001632	NP_001245408.1	XP_015439042.1
OG0001633	NP_001246351.1	XP_015428659.1
OG0001634	NP_651054.1	XP_015428428.1
OG0001635	NP_001303479.1	XP_015428476.1
OG0001636	NP_728142.1	XP_015432545.1
OG0001637	NP_612046.1	XP_015438471.1
OG0001638	NP_648826.2	XP_015430142.1, XP_015436694.1
OG0001639	NP_572360.1	XP_015439029.1
OG0001640	NP_477027.1	XP_015431082.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_015439784.1
OG0001642	NP_725207.1	XP_015431984.1
OG0001644	NP_001262395.1	XP_015430397.1
OG0001645	NP_733058.1	XP_015430949.1
OG0001646	NP_001285211.1	XP_015431656.1
OG0001647	NP_570025.1	XP_015430219.1
OG0001648	NP_001287187.1	XP_015432949.1
OG0001649	NP_609720.1, NP_524152.2	XP_015436244.1, XP_015436245.1
OG0001650	NP_648222.3	XP_015431083.1
OG0001651	NP_001259585.1	XP_015438881.1
OG0001652	NP_788858.1	XP_015429221.1
OG0001653	NP_995788.1	XP_015435705.1
OG0001654	NP_001246814.1	XP_015434641.1
OG0001655	NP_001245567.1	XP_015437882.1
OG0001656	NP_569872.1	XP_015435340.1
OG0001657	NP_001286489.1	XP_015437247.1
OG0001658	NP_001259992.1	XP_015430715.1, XP_015430714.1, XP_015430716.1
OG0001659	NP_730944.2	XP_015432457.1
OG0001660	NP_648750.1	XP_015438405.1
OG0001662	NP_001097377.2	XP_015439420.1
OG0001663	NP_649918.1	XP_015438569.1
OG0001664	NP_648183.3	XP_015439931.1, XP_015439932.1
OG0001665	NP_001014619.2	XP_015438873.1
OG0001666	NP_001163472.1, NP_649145.1	XP_015431000.1, XP_015430992.1, XP_015430984.1
OG0001667	NP_001261574.1	XP_015440075.1
OG0001669	NP_001287417.1	XP_015428749.1
OG0001670	NP_001138149.1	XP_015432625.1
OG0001671	NP_732316.2	XP_015437645.1
OG0001672	NP_001246400.1	XP_015433859.1, XP_015433860.1, XP_015433858.1, XP_015433857.1
OG0001673	NP_649883.1	XP_015435389.1
OG0001674	NP_001260539.1	XP_015435396.1
OG0001675	NP_001261382.1	XP_015434148.1
OG0001676	NP_001163073.2	XP_015436065.1
OG0001677	NP_001260561.1	XP_015437146.1
OG0001679	NP_611460.1	XP_015428407.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_015438640.1
OG0001681	NP_001163282.1	XP_015432354.1, XP_015432355.1
OG0001682	NP_001285158.1	XP_015433709.1, XP_015433707.1
OG0001684	NP_001368993.1	XP_015433128.1, XP_015433129.1
OG0001685	NP_001097520.2	XP_015434220.1
OG0001686	NP_731649.2	XP_015434580.1
OG0001687	NP_609069.1	XP_015428605.1, XP_015428513.1
OG0001688	NP_001104382.3	XP_015438970.1
OG0001690	NP_652015.1	XP_015434158.1
OG0001693	NP_001245400.1	XP_015435976.1
OG0001694	NP_610256.1	XP_015429361.1
OG0001695	NP_001262760.1	XP_015432515.1
OG0001696	NP_001247156.1	XP_015430092.1
OG0001697	NP_001245797.1	XP_015432434.1
OG0001699	NP_733303.2	XP_015435957.1
OG0001700	NP_001189311.1	XP_015434826.1
OG0001701	NP_995862.1	XP_015433455.1
OG0001702	NP_651170.1	XP_015437088.1
OG0001703	NP_001262871.1, NP_651242.1	XP_015432536.1
OG0001704	NP_001356971.1	XP_015438712.1
OG0001706	NP_001247116.1	XP_015440142.1
OG0001707	NP_001262589.2	XP_015429567.1
OG0001708	NP_001287390.1	XP_015429635.1
OG0001709	NP_001303494.1	XP_015429365.1
OG0001710	NP_573217.1, NP_730784.1	XP_015429177.1
OG0001711	NP_608741.1	XP_015436935.1
OG0001712	NP_001188885.2	XP_015437609.1
OG0001713	NP_001033943.2	XP_015439138.1
OG0001714	NP_649156.1	XP_015435175.1, XP_015435172.1
OG0001715	NP_001285698.1	XP_015432563.1
OG0001716	NP_001163671.1	XP_015432047.1
OG0001717	NP_611675.2	XP_015431723.1
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_015436538.1
OG0001719	NP_001245568.1	XP_015432932.1
OG0001720	NP_610938.1	XP_015429615.1
OG0001722	NP_723401.1	XP_015440203.1
OG0001723	NP_001188979.1, NP_524242.2, NP_001287190.1	XP_015434811.1
OG0001724	NP_001261391.1	XP_015440037.1
OG0001725	NP_524401.2	XP_015430311.1
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_015433761.1
OG0001727	NP_001036351.2	XP_015431273.1
OG0001728	NP_001286002.1	XP_015432270.1, XP_015432269.1
OG0001729	NP_001286919.1	XP_015428887.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_015439766.1, XP_015439728.1
OG0001731	NP_572995.1, NP_001163445.1	XP_015431999.1
OG0001732	NP_651725.1	XP_015439971.1, XP_015439970.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_015430373.1
OG0001734	NP_608563.1	XP_015430313.1
OG0001735	NP_609387.1	XP_015434941.1
OG0001736	NP_001097937.1	XP_015431447.1
OG0001737	NP_001259675.1, NP_001033853.1	XP_015429823.1
OG0001738	NP_001014543.1	XP_015431867.1
OG0001739	NP_001246653.1	XP_015438547.1
OG0001740	NP_001036555.1	XP_015428911.1
OG0001742	NP_733224.2	XP_015430129.1
OG0001743	NP_001285126.1	XP_015432401.1
OG0001744	NP_651315.2	XP_015434874.1
OG0001745	NP_650743.1	XP_015440300.1
OG0001746	NP_524852.2	XP_015434739.1
OG0001748	NP_001189227.1	XP_015434989.1
OG0001749	NP_001036722.1	XP_015432799.1
OG0001750	NP_001261148.1	XP_015436339.1
OG0001751	NP_001286159.1	XP_015432211.1
OG0001752	NP_651792.1, NP_651791.2	XP_015435309.1
OG0001753	NP_523391.3	XP_015438523.1
OG0001754	NP_651671.1	XP_015435270.1
OG0001755	NP_573318.1, NP_609759.1	XP_015432309.1
OG0001756	NP_649646.3	XP_015429979.1
OG0001758	NP_001163069.1	XP_015433380.1
OG0001759	NP_001287202.1	XP_015429172.1
OG0001760	NP_732069.3	XP_015440407.1
OG0001761	NP_001188832.1	XP_015436736.1
OG0001762	NP_001261764.1	XP_015431370.1
OG0001763	NP_650223.1	XP_015437324.1, XP_015437323.1, XP_015437322.1
OG0001764	NP_001287421.2, NP_650876.1	XP_015439710.1
OG0001765	NP_731461.1	XP_015434686.1, XP_015434687.1
OG0001766	NP_001261659.1	XP_015435671.1, XP_015435673.1
OG0001767	NP_723294.1	XP_015439782.1
OG0001768	NP_572805.1	XP_015438481.1
OG0001771	NP_727732.1, NP_001097831.1	XP_015439651.1
OG0001774	NP_476778.1	XP_015436743.1, XP_015436744.1
OG0001775	NP_523735.2	XP_015430270.1, XP_015430269.1
OG0001776	NP_620470.1	XP_015434581.1
OG0001777	NP_001245758.1	XP_015437651.1
OG0001778	NP_001262233.1	XP_015439889.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	XP_015438578.1, XP_015438577.1
OG0001780	NP_610617.1	XP_015439263.1
OG0001781	NP_650423.1	XP_015436361.1
OG0001782	NP_649000.1	XP_015429980.1
OG0001783	NP_647892.1	XP_015429903.1
OG0001784	NP_001163585.1	XP_015428693.1
OG0001785	NP_524416.1	XP_015438089.1
OG0001786	NP_001260689.1	XP_015430050.1, XP_015430059.1
OG0001787	NP_648786.1	XP_015439588.1
OG0001788	NP_724103.1	XP_015432875.1
OG0001789	NP_651728.1	XP_015439821.1
OG0001790	NP_649460.3	XP_015433136.1
OG0001791	NP_572504.1	XP_015429175.1, XP_015429176.1
OG0001792	NP_611734.1	XP_015434645.1
OG0001793	NP_608828.2	XP_015436780.1
OG0001794	NP_001259442.1	XP_015428968.1
OG0001796	NP_477212.1	XP_015432675.1
OG0001797	NP_523830.2	XP_015433387.1
OG0001799	NP_001260496.1	XP_015430852.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_015430278.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_015437812.1
OG0001802	NP_001162765.1	XP_015433996.1
OG0001803	NP_001015387.1	XP_015430776.1
OG0001804	NP_728575.2, NP_612081.1	XP_015440056.1
OG0001805	NP_649038.1, NP_730334.2	XP_015434025.1
OG0001806	NP_610087.2	XP_015434909.1
OG0001807	NP_001286460.1	XP_015429156.1
OG0001808	NP_650163.2, NP_650840.1	XP_015435021.1
OG0001810	NP_001246271.1	XP_015429544.1
OG0001811	NP_001262677.1	XP_015433639.1
OG0001812	NP_001259970.1	XP_015435802.1, XP_015435803.1, XP_015435804.1
OG0001813	NP_611350.1	XP_015430989.1
OG0001814	NP_524758.1	XP_015429721.1
OG0001815	NP_476667.1, NP_001246493.1	XP_015438604.1
OG0001816	NP_648106.1	XP_015436134.1
OG0001818	NP_001285489.1	XP_015433781.1
OG0001820	NP_649757.1	XP_015431087.1
OG0001821	NP_001287100.1	XP_015430084.1
OG0001822	NP_995873.2	XP_015439384.1
OG0001823	NP_609767.2, NP_001260489.1	XP_015434884.1
OG0001824	NP_001356918.1	XP_015437276.1
OG0001825	NP_001285277.1	XP_015434949.1
OG0001826	NP_610191.2	XP_015429915.1
OG0001827	NP_001261341.1	XP_015439870.1
OG0001828	NP_477184.1	XP_015429898.1
OG0001829	NP_511153.1	XP_015436324.1
OG0001830	NP_001189170.1	XP_015433385.1
OG0001831	NP_648895.1	XP_015439064.1
OG0001832	NP_611293.3	XP_015433224.1
OG0001833	NP_001262071.1	XP_015440389.1
OG0001834	NP_725449.1, NP_611238.2, NP_001285657.1	XP_015440453.1
OG0001835	NP_648567.2, NP_729801.1	XP_015435898.1
OG0001836	NP_001097041.2	XP_015434061.1
OG0001838	NP_649809.1	XP_015432627.1
OG0001839	NP_001287516.1, NP_524496.1	XP_015428796.1
OG0001840	NP_001287291.1	XP_015433376.1
OG0001841	NP_649554.1	XP_015440226.1
OG0001843	NP_001163392.1	XP_015436196.1
OG0001844	NP_733332.1	XP_015434159.1
OG0001845	NP_649732.1	XP_015430548.1, XP_015430547.1
OG0001846	NP_788721.1	XP_015439994.1
OG0001847	NP_001163705.1	XP_015438674.1, XP_015438673.1
OG0001848	NP_610735.1	XP_015438236.1
OG0001849	NP_001303451.1, NP_524581.1	XP_015435117.1, XP_015435116.1
OG0001850	NP_001097569.1	XP_015434105.1
OG0001851	NP_524795.2	XP_015432666.1
OG0001852	NP_611258.2	XP_015437348.1
OG0001853	NP_001285407.1	XP_015434447.1
OG0001854	NP_610231.2, NP_525107.1, NP_536747.2	XP_015432691.1
OG0001855	NP_001097922.1	XP_015437570.1
OG0001856	NP_650446.2	XP_015439519.1
OG0001858	NP_651605.1	XP_015432338.1
OG0001859	NP_001261279.1, NP_608679.1	XP_015433623.1
OG0001860	NP_001286627.1	XP_015435415.1
OG0001861	NP_524274.1	XP_015433347.1
OG0001862	NP_001096954.1	XP_015437814.1
OG0001863	NP_001303452.1	XP_015437511.1
OG0001864	NP_001259978.1	XP_015434760.1
OG0001865	NP_001036440.1	XP_015429962.1
OG0001866	NP_610462.3	XP_015434128.1
OG0001867	NP_651658.1	XP_015433252.1
OG0001868	NP_732113.3	XP_015440460.1, XP_015440462.1
OG0001869	NP_477402.1	XP_015432523.1
OG0001870	NP_001285457.1	XP_015436774.1
OG0001871	NP_572522.2	XP_015432021.1
OG0001872	NP_536773.1	XP_015428698.1
OG0001873	NP_730982.1	XP_015429243.1
OG0001874	NP_477024.1	XP_015431168.1
OG0001875	NP_511130.2	XP_015434901.1
OG0001876	NP_001368952.1	XP_015431834.1
OG0001877	NP_001014498.1	XP_015434850.1
OG0001878	NP_001259740.1, NP_001260348.1	XP_015432672.1
OG0001879	NP_652101.2	XP_015432569.1
OG0001880	NP_001033948.1	XP_015429293.1
OG0001881	NP_722959.1	XP_015432054.1
OG0001882	NP_001188575.1	XP_015434015.1
