Orthogroup	Drosophila_melanogaster	Habropoda_laboriosa
OG0001320	NP_651060.1	XP_017798369.1
OG0001322	NP_651570.1	XP_017796027.1
OG0001328	NP_001097695.1	XP_017789480.1
OG0001329	NP_647948.1	XP_017795671.1
OG0001330	NP_001246537.1	XP_017798173.1
OG0001331	NP_001260303.1	XP_017791167.1
OG0001332	NP_650887.1, NP_570011.1	XP_017791396.1, XP_017791323.1
OG0001333	NP_649539.1	XP_017797324.1
OG0001334	NP_001287343.1	XP_017791000.1, XP_017791067.1
OG0001335	NP_609362.1	XP_017790167.1
OG0001336	NP_001162901.1	XP_017792872.1
OG0001337	NP_612097.1	XP_017790338.1
OG0001338	NP_572855.1	XP_017792954.1
OG0001339	NP_001260727.1	XP_017788142.1
OG0001340	NP_001284961.1	XP_017787707.1, XP_017787708.1
OG0001341	NP_001259867.1	XP_017795388.1
OG0001342	NP_001138093.1	XP_017788387.1
OG0001343	NP_477025.1	XP_017798551.1, XP_017798665.1
OG0001344	NP_652315.2	XP_017791191.1
OG0001345	NP_648955.1	XP_017790730.1
OG0001346	NP_001097946.1	XP_017796462.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_017796171.1
OG0001348	NP_608350.2	XP_017791185.1
OG0001349	NP_477480.1	XP_017795887.1
OG0001350	NP_788708.2	XP_017789757.1
OG0001351	NP_001246931.1	XP_017791835.1
OG0001352	NP_731459.2	XP_017791357.1, XP_017791358.1
OG0001353	NP_001261357.1	XP_017791776.1
OG0001354	NP_611792.1	XP_017792160.1
OG0001355	NP_572529.2	XP_017796204.1
OG0001356	NP_001014559.1	XP_017793554.1
OG0001358	NP_001014703.1	XP_017791793.1
OG0001359	NP_001259064.1, NP_651392.2	XP_017798445.1
OG0001361	NP_650778.2	XP_017794937.1
OG0001362	NP_001287357.1	XP_017796002.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_017788057.1, XP_017797183.1
OG0001364	NP_001188754.1	XP_017798053.1
OG0001365	NP_001260427.1	XP_017793507.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_017789592.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_017797669.1
OG0001369	NP_001303363.1	XP_017787776.1
OG0001370	NP_001162973.2	XP_017790328.1
OG0001371	NP_610796.1	XP_017789071.1
OG0001372	NP_610444.2	XP_017795493.1, XP_017795662.1
OG0001373	NP_731872.1	XP_017797550.1, XP_017797549.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_017787974.1
OG0001375	NP_001261379.1	XP_017793823.1
OG0001376	NP_001162697.1	XP_017788540.1
OG0001377	NP_572840.1	XP_017796218.1, XP_017796217.1
OG0001378	NP_572402.1	XP_017791638.1
OG0001379	NP_723501.2	XP_017795741.1
OG0001380	NP_001036421.1	XP_017793818.1
OG0001381	NP_650889.1	XP_017797160.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_017790870.1
OG0001383	NP_001036470.1	XP_017789683.1
OG0001384	NP_001285453.1	XP_017790283.1
OG0001385	NP_001260880.1	XP_017790663.1
OG0001386	NP_001286474.1	XP_017789786.1
OG0001387	NP_609412.1	XP_017788586.1
OG0001388	NP_572320.2, NP_732840.1	XP_017793374.1
OG0001389	NP_788300.3	XP_017798200.1
OG0001390	NP_001286120.1	XP_017788795.1
OG0001391	NP_001163354.1	XP_017793959.1
OG0001392	NP_001246912.1	XP_017794574.1, XP_017794568.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_017787863.1
OG0001394	NP_729025.1	XP_017798918.1
OG0001395	NP_001137624.1	XP_017788748.1
OG0001396	NP_001245761.1, NP_523412.1	XP_017799054.1
OG0001397	NP_649764.1	XP_017791451.1
OG0001398	NP_001246972.1, NP_523949.2	XP_017789423.1
OG0001399	NP_569982.1	XP_017799057.1, XP_017799056.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_017791099.1
OG0001401	NP_524675.1	XP_017794782.1
OG0001402	NP_612065.1	XP_017789362.1
OG0001403	NP_001259193.1, NP_733426.1	XP_017795520.1, XP_017795521.1
OG0001405	NP_731223.1	XP_017789740.1
OG0001406	NP_001015132.1	XP_017795275.1
OG0001407	NP_001262226.1	XP_017792269.1, XP_017792268.1
OG0001408	NP_001163646.1	XP_017791999.1
OG0001409	NP_001162657.1	XP_017793273.1, XP_017793278.1
OG0001410	NP_523844.2	XP_017798015.1
OG0001412	NP_001036250.1	XP_017796804.1
OG0001412	NP_651941.2	XP_017796997.1
OG0001413	NP_001303415.1	XP_017798877.1
OG0001414	NP_608864.1	XP_017789735.1
OG0001415	NP_996016.2	XP_017788202.1
OG0001416	NP_723870.1	XP_017797924.1, XP_017796560.1
OG0001417	NP_611932.2	XP_017790300.1
OG0001418	NP_001162911.1	XP_017797835.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_017789761.1
OG0001420	NP_650569.1, NP_651139.1	XP_017790537.1
OG0001421	NP_649899.1	XP_017797627.1
OG0001422	NP_001189074.1	XP_017792051.1
OG0001423	NP_729234.2	XP_017799000.1
OG0001424	NP_001262495.1	XP_017797427.1
OG0001425	NP_788574.3	XP_017799098.1
OG0001426	NP_001163056.1	XP_017788995.1
OG0001427	NP_648499.1	XP_017797929.1
OG0001428	NP_608929.1	XP_017792204.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_017797335.1
OG0001430	NP_001287466.1	XP_017791857.1
OG0001432	NP_001188923.1, NP_611185.3	XP_017794814.1
OG0001434	NP_788618.1, NP_649928.1	XP_017795012.1
OG0001436	NP_650868.1, NP_649289.2	XP_017798787.1
OG0001437	NP_001286742.1	XP_017791426.1
OG0001438	NP_727644.3	XP_017791377.1
OG0001440	NP_611647.1	XP_017788121.1
OG0001441	NP_001027574.2	XP_017794102.1
OG0001442	NP_001287592.1	XP_017789976.1, XP_017792634.1
OG0001443	NP_001096850.2	XP_017796463.1, XP_017788958.1
OG0001444	NP_001034052.2	XP_017793576.1, XP_017792117.1, XP_017788623.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_017796099.1
OG0001446	NP_648358.2	XP_017789413.1
OG0001453	NP_001285826.1	XP_017792327.1
OG0001455	NP_610092.2	XP_017791217.1
OG0001456	NP_001286295.1	XP_017795971.1
OG0001457	NP_001163688.1	XP_017791437.1
OG0001458	NP_476858.1	XP_017797735.1
OG0001459	NP_001097610.1, NP_001263148.1	XP_017794179.1
OG0001460	NP_476848.1	XP_017787921.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_017790724.1
OG0001462	NP_001262421.1	XP_017797572.1
OG0001463	NP_649574.1	XP_017792066.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_017789055.1
OG0001465	NP_001189124.1	XP_017795974.1
OG0001466	NP_569951.1, NP_611911.1	XP_017789105.1, XP_017789014.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_017795664.1
OG0001468	NP_001260652.1	XP_017790960.1
OG0001469	NP_523568.2	XP_017792845.1
OG0001470	NP_648768.1	XP_017790397.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_017788084.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_017791731.1
OG0001473	NP_001287361.1	XP_017796519.1
OG0001474	NP_609560.2, NP_569850.1	XP_017789690.1
OG0001475	NP_001368987.1	XP_017799291.1
OG0001477	NP_001014453.1	XP_017792429.1
OG0001478	NP_001285042.1	XP_017794297.1
OG0001479	NP_001036624.1	XP_017793032.1
OG0001480	NP_524533.1	XP_017795270.1
OG0001481	NP_001286181.1	XP_017788580.1
OG0001482	NP_651924.2	XP_017798332.1, XP_017798331.1
OG0001483	NP_001262996.1	XP_017796274.1
OG0001484	NP_001188579.1	XP_017797823.1
OG0001485	NP_569913.1	XP_017791434.1
OG0001485	NP_523596.2	XP_017787532.1
OG0001486	NP_476764.1	XP_017795560.1, XP_017795559.1
OG0001487	NP_001188904.1	XP_017792607.1
OG0001488	NP_001189108.1	XP_017789028.1
OG0001489	NP_648555.1	XP_017796318.1
OG0001491	NP_609228.2	XP_017788008.1
OG0001492	NP_001263168.1	XP_017798468.1
OG0001493	NP_001262195.1	XP_017789724.1, XP_017789731.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_017794837.1
OG0001495	NP_612063.2	XP_017796883.1
OG0001496	NP_609203.1	XP_017797902.1
OG0001497	NP_001260853.1	XP_017793157.1, XP_017793158.1
OG0001498	NP_729823.2	XP_017798647.1
OG0001499	NP_572167.3	XP_017791508.1, XP_017795738.1
OG0001500	NP_730859.1	XP_017789214.1
OG0001501	NP_001303373.1	XP_017792363.1
OG0001502	NP_001261464.1	XP_017792320.1
OG0001503	NP_665880.2	XP_017793349.1
OG0001504	NP_001261440.1	XP_017788080.1, XP_017788079.1
OG0001505	NP_001097527.1	XP_017792212.1
OG0001507	NP_001287269.1	XP_017796599.1
OG0001508	NP_001138130.2	XP_017796243.1
OG0001509	NP_001261116.1	XP_017797998.1
OG0001510	NP_001284936.1	XP_017793153.1
OG0001511	NP_649151.1	XP_017792043.1
OG0001514	NP_001188550.1	XP_017797872.1
OG0001515	NP_001259809.1	XP_017794281.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_017793269.1
OG0001517	NP_731242.1	XP_017791518.1
OG0001518	NP_001036462.1	XP_017795253.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_017795575.1
OG0001521	NP_523422.4	XP_017790710.1
OG0001522	NP_001096867.3	XP_017789472.1
OG0001524	NP_001261067.1	XP_017791672.1
OG0001525	NP_477026.1	XP_017793545.1
OG0001526	NP_001369078.1	XP_017799536.1
OG0001527	NP_001259089.1	XP_017787359.1
OG0001529	NP_001162930.1	XP_017789359.1
OG0001530	NP_611501.1	XP_017799092.1
OG0001531	NP_651595.1	XP_017793658.1
OG0001532	NP_001162665.1	XP_017790246.1
OG0001533	NP_728534.2	XP_017788554.1
OG0001534	NP_731923.2	XP_017794833.1
OG0001535	NP_001261999.1	XP_017790618.1, XP_017790617.1, XP_017790619.1
OG0001536	NP_648357.1	XP_017794317.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_017792420.1
OG0001538	NP_995639.1	XP_017789640.1
OG0001539	NP_524017.1	XP_017788772.1
OG0001540	NP_610693.1, NP_610694.1	XP_017799111.1
OG0001541	NP_001261940.1	XP_017792313.1
OG0001542	NP_609207.1	XP_017793747.1
OG0001543	NP_650901.2	XP_017789634.1
OG0001545	NP_523451.2	XP_017788053.1
OG0001546	NP_001247104.1	XP_017796054.1
OG0001548	NP_001285388.1	XP_017795300.1
OG0001550	NP_647968.3	XP_017795035.1
OG0001551	NP_001246815.1	XP_017794285.1
OG0001552	NP_477317.1	XP_017794845.1, XP_017794871.1
OG0001553	NP_651623.1	XP_017794454.1
OG0001554	NP_001261344.1	XP_017795000.1
OG0001555	NP_001246451.1	XP_017795046.1
OG0001556	NP_726771.1	XP_017788978.1
OG0001557	NP_001260951.1	XP_017795601.1
OG0001558	NP_001245722.1	XP_017798017.1
OG0001559	NP_650472.2	XP_017789582.1
OG0001560	NP_001246228.1	XP_017794399.1
OG0001561	NP_001260963.1	XP_017791836.1
OG0001562	NP_001137943.2	XP_017791476.1, XP_017791469.1
OG0001563	NP_001246300.1	XP_017794766.1
OG0001564	NP_650698.1	XP_017791460.1
OG0001565	NP_001286976.1	XP_017795471.1
OG0001567	NP_001137746.1	XP_017793208.1
OG0001568	NP_001263152.1	XP_017790732.1
OG0001569	NP_477320.1	XP_017798527.1
OG0001570	NP_648176.1	XP_017793254.1
OG0001571	NP_610075.2	XP_017795778.1, XP_017795777.1, XP_017795779.1
OG0001575	NP_524337.1	XP_017790893.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_017791694.1
OG0001577	NP_001285493.1	XP_017793981.1
OG0001579	NP_001097592.1	XP_017793956.1, XP_017793955.1
OG0001580	NP_001285528.1	XP_017794116.1, XP_017794117.1
OG0001581	NP_608983.2	XP_017789969.1
OG0001582	NP_001287593.1	XP_017788046.1
OG0001583	NP_001189157.1	XP_017794787.1
OG0001584	NP_648993.1	XP_017799371.1
OG0001585	NP_001262143.1	XP_017797653.1, XP_017797570.1
OG0001586	NP_647865.2	XP_017796492.1
OG0001587	NP_648090.1	XP_017795617.1
OG0001588	NP_001188558.1	XP_017795562.1
OG0001589	NP_726318.1	XP_017790642.1
OG0001590	NP_572910.1, NP_001285210.1	XP_017798313.1
OG0001591	NP_001286018.1	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1
OG0001592	NP_647896.1	XP_017797760.1
OG0001593	NP_001287342.1	XP_017796571.1
OG0001594	NP_001259723.1	XP_017789111.1
OG0001595	NP_611252.1	XP_017791480.1
OG0001596	NP_730651.1	XP_017797071.1
OG0001597	NP_572854.1	XP_017788415.1, XP_017788414.1, XP_017788412.1, XP_017788413.1
OG0001600	NP_001286151.1	XP_017795725.1
OG0001601	NP_001097706.1	XP_017799074.1
OG0001602	NP_001033958.1	XP_017788654.1, XP_017788616.1
OG0001603	NP_001027070.1	XP_017794261.1
OG0001604	NP_001163129.1	XP_017796813.1
OG0001606	NP_523902.2	XP_017798318.1
OG0001607	NP_001285753.1	XP_017798285.1
OG0001608	NP_001260655.1	XP_017789234.1
OG0001614	NP_001259303.1, NP_569908.1	XP_017791121.1
OG0001615	NP_523764.1	XP_017797878.1
OG0001616	NP_001259833.1	XP_017789270.1
OG0001617	NP_524011.1	XP_017787907.1
OG0001619	NP_652526.1	XP_017789723.1
OG0001620	NP_609496.1	XP_017787440.1, XP_017787439.1, XP_017787441.1
OG0001621	NP_573362.1, NP_729837.1	XP_017788589.1
OG0001622	NP_572536.1	XP_017788609.1
OG0001623	NP_524400.2	XP_017795277.1
OG0001624	NP_788056.1	XP_017787637.1
OG0001625	NP_001262669.1	XP_017791190.1
OG0001626	NP_001259186.1	XP_017790279.1, XP_017790297.1, XP_017790288.1
OG0001627	NP_001303417.1	XP_017791687.1
OG0001628	NP_651052.1	XP_017798287.1
OG0001629	NP_651782.1	XP_017795865.1, XP_017797110.1
OG0001630	NP_729395.2	XP_017790864.1
OG0001631	NP_001261267.1	XP_017793160.1, XP_017793161.1, XP_017793162.1
OG0001632	NP_001245408.1	XP_017797737.1
OG0001633	NP_001246351.1	XP_017788797.1
OG0001634	NP_651054.1	XP_017792806.1
OG0001635	NP_001303479.1	XP_017792807.1
OG0001636	NP_728142.1	XP_017788432.1
OG0001637	NP_612046.1	XP_017789823.1
OG0001638	NP_648826.2	XP_017796740.1, XP_017791850.1
OG0001639	NP_572360.1	XP_017798607.1
OG0001640	NP_477027.1	XP_017797617.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_017796019.1
OG0001642	NP_725207.1	XP_017788402.1
OG0001644	NP_001262395.1	XP_017799542.1
OG0001645	NP_733058.1	XP_017794085.1
OG0001646	NP_001285211.1	XP_017793743.1, XP_017798088.1
OG0001647	NP_570025.1	XP_017787994.1
OG0001648	NP_001287187.1	XP_017799266.1
OG0001649	NP_609720.1, NP_524152.2	XP_017795862.1
OG0001650	NP_648222.3	XP_017788577.1
OG0001651	NP_001259585.1	XP_017789244.1, XP_017789243.1
OG0001652	NP_788858.1	XP_017793602.1, XP_017793587.1
OG0001653	NP_995788.1	XP_017790915.1
OG0001654	NP_001246814.1	XP_017791347.1
OG0001655	NP_001245567.1	XP_017794236.1
OG0001656	NP_569872.1	XP_017790946.1
OG0001657	NP_001286489.1	XP_017792392.1
OG0001658	NP_001259992.1	XP_017796992.1
OG0001659	NP_730944.2	XP_017796597.1
OG0001660	NP_648750.1	XP_017789070.1
OG0001662	NP_001097377.2	XP_017796675.1
OG0001663	NP_649918.1	XP_017791598.1
OG0001664	NP_648183.3	XP_017788645.1, XP_017788639.1
OG0001665	NP_001014619.2	XP_017789292.1
OG0001666	NP_001163472.1, NP_649145.1	XP_017794583.1, XP_017794586.1, XP_017794584.1, XP_017794585.1
OG0001667	NP_001261574.1	XP_017792197.1
OG0001669	NP_001287417.1	XP_017792688.1
OG0001670	NP_001138149.1	XP_017797873.1
OG0001671	NP_732316.2	XP_017793876.1
OG0001672	NP_001246400.1	XP_017791223.1
OG0001673	NP_649883.1	XP_017799244.1
OG0001674	NP_001260539.1	XP_017799245.1
OG0001675	NP_001261382.1	XP_017798751.1
OG0001676	NP_001163073.2	XP_017794152.1
OG0001677	NP_001260561.1	XP_017795798.1, XP_017795797.1
OG0001679	NP_611460.1	XP_017789223.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_017787548.1, XP_017787547.1
OG0001681	NP_001163282.1	XP_017788788.1
OG0001682	NP_001285158.1	XP_017789514.1
OG0001684	NP_001368993.1	XP_017799022.1, XP_017799034.1
OG0001685	NP_001097520.2	XP_017788060.1
OG0001686	NP_731649.2	XP_017793018.1
OG0001687	NP_609069.1	XP_017788725.1
OG0001688	NP_001104382.3	XP_017798487.1
OG0001690	NP_652015.1	XP_017797806.1
OG0001693	NP_001245400.1	XP_017790115.1
OG0001694	NP_610256.1	XP_017789348.1
OG0001695	NP_001262760.1	XP_017796714.1, XP_017796715.1, XP_017796713.1
OG0001696	NP_001247156.1	XP_017794582.1, XP_017794581.1
OG0001697	NP_001245797.1	XP_017793560.1
OG0001699	NP_733303.2	XP_017794255.1
OG0001700	NP_001189311.1	XP_017789552.1
OG0001701	NP_995862.1	XP_017793264.1
OG0001702	NP_651170.1	XP_017790324.1
OG0001703	NP_001262871.1, NP_651242.1	XP_017793259.1, XP_017793185.1
OG0001704	NP_001356971.1	XP_017791498.1
OG0001706	NP_001247116.1	XP_017791445.1
OG0001707	NP_001262589.2	XP_017797534.1
OG0001708	NP_001287390.1	XP_017793934.1
OG0001709	NP_001303494.1	XP_017789504.1
OG0001710	NP_651745.1	XP_017790357.1
OG0001711	NP_608741.1	XP_017798206.1
OG0001712	NP_001188885.2	XP_017789844.1
OG0001713	NP_001033943.2	XP_017789213.1
OG0001714	NP_649156.1	XP_017792904.1
OG0001715	NP_001285698.1	XP_017795242.1
OG0001716	NP_001163671.1	XP_017797518.1
OG0001717	NP_611675.2	XP_017798111.1
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_017788200.1
OG0001719	NP_001245568.1	XP_017799086.1, XP_017799085.1, XP_017799084.1
OG0001720	NP_610938.1	XP_017790527.1
OG0001722	NP_723401.1	XP_017792195.1
OG0001723	NP_001188979.1, NP_524242.2, NP_001287190.1	XP_017791814.1
OG0001724	NP_001261391.1	XP_017790653.1
OG0001725	NP_524401.2	XP_017792815.1
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_017792590.1
OG0001727	NP_001036351.2	XP_017793946.1
OG0001728	NP_001286002.1	XP_017795059.1
OG0001729	NP_001286919.1	XP_017789767.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_017797255.1
OG0001731	NP_572995.1, NP_001163445.1	XP_017789010.1
OG0001732	NP_651725.1	XP_017796000.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_017789924.1
OG0001734	NP_608563.1	XP_017797171.1
OG0001735	NP_609387.1	XP_017796517.1
OG0001736	NP_001097937.1	XP_017788466.1
OG0001737	NP_001259675.1, NP_001033853.1	XP_017794221.1
OG0001738	NP_001014543.1	XP_017795108.1
OG0001739	NP_001246653.1	XP_017795472.1
OG0001740	NP_001036555.1	XP_017791384.1, XP_017791392.1
OG0001742	NP_733224.2	XP_017789562.1
OG0001743	NP_001285126.1	XP_017788870.1
OG0001744	NP_651315.2	XP_017796839.1
OG0001745	NP_650743.1	XP_017798901.1
OG0001746	NP_524852.2	XP_017790066.1
OG0001747	NP_001261633.1	XP_017796858.1
OG0001748	NP_001189227.1	XP_017796452.1
OG0001749	NP_001036722.1	XP_017788365.1
OG0001750	NP_001261148.1	XP_017797356.1
OG0001751	NP_001286159.1	XP_017796400.1
OG0001752	NP_651792.1, NP_651791.2	XP_017788532.1
OG0001753	NP_523391.3	XP_017790149.1
OG0001754	NP_651671.1	XP_017799002.1, XP_017799259.1
OG0001755	NP_573318.1, NP_609759.1	XP_017791170.1, XP_017788759.1
OG0001756	NP_649646.3	XP_017788252.1
OG0001757	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1	XP_017788740.1, XP_017788737.1
OG0001758	NP_001163069.1	XP_017796060.1
OG0001759	NP_001287202.1	XP_017792584.1
OG0001760	NP_732069.3	XP_017795647.1
OG0001762	NP_001261764.1	XP_017793896.1
OG0001763	NP_650223.1	XP_017793036.1, XP_017793035.1
OG0001764	NP_001287421.2, NP_650876.1	XP_017793686.1
OG0001765	NP_731461.1	XP_017791359.1
OG0001766	NP_001261659.1	XP_017798815.1
OG0001767	NP_723294.1	XP_017792208.1
OG0001768	NP_572805.1	XP_017790076.1
OG0001771	NP_727732.1, NP_001097831.1	XP_017793661.1
OG0001775	NP_523735.2	XP_017798439.1
OG0001776	NP_620470.1	XP_017793207.1
OG0001777	NP_001245758.1	XP_017789765.1, XP_017789772.1
OG0001778	NP_001262233.1	XP_017795229.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	XP_017793884.1
OG0001780	NP_610617.1	XP_017798572.1
OG0001781	NP_650423.1	XP_017797368.1
OG0001782	NP_649000.1	XP_017792078.1
OG0001783	NP_647892.1	XP_017795149.1
OG0001784	NP_001163585.1	XP_017798029.1
OG0001785	NP_524416.1	XP_017797199.1, XP_017797200.1
OG0001786	NP_001260689.1	XP_017795373.1
OG0001787	NP_648786.1	XP_017791838.1
OG0001788	NP_724103.1	XP_017798997.1
OG0001789	NP_651728.1	XP_017790648.1
OG0001790	NP_649460.3	XP_017787502.1, XP_017787516.1
OG0001791	NP_572504.1	XP_017790506.1, XP_017790507.1
OG0001792	NP_611734.1	XP_017791405.1
OG0001793	NP_608828.2	XP_017789159.1
OG0001794	NP_001259442.1	XP_017790352.1
OG0001796	NP_477212.1	XP_017794875.1
OG0001797	NP_523830.2	XP_017794907.1
OG0001799	NP_001260496.1	XP_017798101.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_017788341.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_017793223.1
OG0001802	NP_001162765.1	XP_017788416.1
OG0001803	NP_001015387.1	XP_017798289.1
OG0001804	NP_728575.2, NP_612081.1	XP_017788661.1, XP_017788660.1
OG0001805	NP_649038.1, NP_730334.2	XP_017798644.1
OG0001806	NP_610087.2	XP_017790958.1
OG0001807	NP_001286460.1	XP_017788285.1
OG0001808	NP_650163.2, NP_650840.1	XP_017796496.1
OG0001809	NP_609837.1	XP_017794298.1
OG0001810	NP_001246271.1	XP_017790447.1, XP_017790446.1
OG0001811	NP_001262677.1	XP_017789341.1
OG0001812	NP_001259970.1	XP_017788724.1
OG0001813	NP_611350.1	XP_017794048.1
OG0001814	NP_524758.1	XP_017790229.1
OG0001816	NP_648106.1	XP_017794366.1
OG0001818	NP_001285489.1	XP_017788560.1
OG0001820	NP_649757.1	XP_017796387.1, XP_017793841.1
OG0001821	NP_001287100.1	XP_017794565.1
OG0001822	NP_995873.2	XP_017790143.1
OG0001823	NP_609767.2, NP_001260489.1	XP_017795882.1
OG0001824	NP_001356918.1	XP_017794482.1
OG0001825	NP_001285277.1	XP_017796474.1
OG0001826	NP_610191.2	XP_017792044.1
OG0001827	NP_001261341.1	XP_017790702.1
OG0001828	NP_477184.1	XP_017792068.1
OG0001830	NP_001189170.1	XP_017796097.1
OG0001831	NP_648895.1	XP_017798675.1
OG0001832	NP_611293.3	XP_017796598.1
OG0001833	NP_001262071.1	XP_017795836.1
OG0001834	NP_725449.1, NP_611238.2, NP_001285657.1	XP_017792894.1, XP_017792893.1
OG0001835	NP_648567.2, NP_729801.1	XP_017788160.1
OG0001836	NP_001097041.2	XP_017787972.1
OG0001838	NP_649809.1	XP_017792110.1
OG0001839	NP_001287516.1, NP_524496.1	XP_017798036.1
OG0001840	NP_001287291.1	XP_017796094.1
OG0001841	NP_649554.1	XP_017795639.1
OG0001843	NP_001163392.1	XP_017791221.1
OG0001844	NP_733332.1	XP_017797809.1
OG0001845	NP_649732.1	XP_017799544.1
OG0001846	NP_788721.1	XP_017793705.1
OG0001847	NP_001163705.1	XP_017791488.1
OG0001848	NP_610735.1	XP_017794301.1
OG0001849	NP_001303451.1, NP_524581.1	XP_017798891.1
OG0001850	NP_001097569.1	XP_017797754.1, XP_017797753.1
OG0001851	NP_524795.2	XP_017794948.1
OG0001852	NP_611258.2	XP_017793405.1
OG0001853	NP_001285407.1	XP_017790883.1
OG0001854	NP_610231.2, NP_525107.1, NP_536747.2	XP_017794822.1
OG0001855	NP_001097922.1	XP_017791362.1
OG0001856	NP_650446.2	XP_017794392.1
OG0001858	NP_651605.1	XP_017788813.1
OG0001859	NP_001261279.1, NP_608679.1	XP_017789873.1
OG0001860	NP_001286627.1	XP_017791733.1
OG0001861	NP_524274.1	XP_017790754.1
OG0001862	NP_001096954.1	XP_017793258.1
OG0001863	NP_001303452.1	XP_017791154.1, XP_017791153.1
OG0001864	NP_001259978.1	XP_017796198.1
OG0001865	NP_001036440.1	XP_017792067.1
OG0001866	NP_610462.3	XP_017798718.1
OG0001867	NP_651658.1	XP_017789784.1
OG0001868	NP_732113.3	XP_017793065.1
OG0001869	NP_477402.1	XP_017793537.1
OG0001870	NP_001285457.1	XP_017789092.1, XP_017789091.1
OG0001871	NP_572522.2	XP_017793734.1
OG0001872	NP_536773.1	XP_017794257.1
OG0001873	NP_730982.1	XP_017798861.1
OG0001874	NP_477024.1	XP_017793733.1
OG0001875	NP_511130.2	XP_017791620.1
OG0001876	NP_001368952.1	XP_017794660.1
OG0001877	NP_001014498.1	XP_017795894.1
OG0001878	NP_001259740.1, NP_001260348.1	XP_017794841.1
OG0001879	NP_652101.2	XP_017796154.1
OG0001880	NP_001033948.1	XP_017790601.1
OG0001881	NP_722959.1	XP_017797470.1
OG0001882	NP_001188575.1	XP_017788444.1
OG0001883	NP_650805.1	XP_017792086.1
OG0001884	NP_001188772.1	XP_017795759.1
OG0001885	NP_001262303.1	XP_017787749.1
OG0001886	NP_001261166.1	XP_017798065.1
OG0001887	NP_723772.2	XP_017796424.1
OG0001888	NP_001286416.1	XP_017798513.1
OG0001889	NP_651593.1	XP_017792380.1
OG0001890	NP_609530.1	XP_017798598.1
OG0001891	NP_476733.1	XP_017796024.1
OG0001892	NP_001245925.1, NP_611294.1	XP_017792206.1, XP_017792207.1
OG0001893	NP_477049.2	XP_017789830.1
OG0001894	NP_001137875.1	XP_017788208.1
OG0001895	NP_524651.2	XP_017798560.1
OG0001896	NP_609570.1	XP_017789814.1
OG0001897	NP_611140.3	XP_017792467.1
OG0001898	NP_001263035.1	XP_017799201.1
OG0001899	NP_724878.2	XP_017793378.1
OG0001900	NP_001259735.1	XP_017796938.1
OG0001901	NP_651080.2	XP_017793421.1
OG0001902	NP_001286818.1	XP_017792923.1
OG0001903	NP_001285675.1	XP_017790151.1
OG0001905	NP_001287263.1	XP_017790820.1
OG0001906	NP_001245625.1	XP_017795460.1
OG0001908	NP_650314.1	XP_017789053.1
OG0001909	NP_001033913.1	XP_017788624.1
OG0001910	NP_648745.1	XP_017796487.1
OG0001912	NP_001286124.1	XP_017789374.1, XP_017789373.1
OG0001913	NP_524909.1	XP_017788497.1
