Orthogroup	Drosophila_melanogaster	Eufriesea_mexicana
OG0001241	NP_733336.1	XP_017758785.1, XP_017758777.1
OG0001242	NP_001260760.1, NP_724538.1	XP_017753303.1
OG0001244	NP_001189177.2	XP_017760748.1
OG0001245	NP_001245557.1	XP_017767578.1
OG0001246	NP_476932.1	XP_017758275.1
OG0001247	NP_572740.1	XP_017767403.1
OG0001248	NP_001259908.1	XP_017757977.1
OG0001249	NP_572452.1	XP_017754397.1
OG0001250	NP_001259742.1	XP_017763630.1
OG0001251	NP_572932.2	XP_017765768.1
OG0001254	NP_001285084.1	XP_017764954.1
OG0001255	NP_001261169.1	XP_017759092.1
OG0001256	NP_728275.1	XP_017758934.1, XP_017758933.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_017759512.1
OG0001259	NP_724582.1	XP_017761965.1
OG0001260	NP_525109.1	XP_017753894.1, XP_017753895.1, XP_017753896.1
OG0001261	NP_001097659.1	XP_017756857.1
OG0001262	NP_001188672.1	XP_017763717.1
OG0001263	NP_523511.2	XP_017755770.1
OG0001264	NP_610425.1	XP_017755064.1, XP_017755060.1, XP_017755061.1, XP_017755062.1, XP_017755063.1
OG0001267	NP_001261146.1	XP_017756008.1
OG0001269	NP_612019.2	XP_017752630.1, XP_017752629.1
OG0001270	NP_730968.1	XP_017767444.1, XP_017767443.1
OG0001271	NP_651398.1	XP_017760538.1
OG0001272	NP_476658.1	XP_017762607.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_017763892.1
OG0001274	NP_476741.1	XP_017757450.1
OG0001275	NP_001286478.1	XP_017753888.1
OG0001277	NP_611899.1	XP_017757329.1
OG0001278	NP_524327.1	XP_017752817.1, XP_017752818.1
OG0001279	NP_524633.3	XP_017758592.1
OG0001280	NP_001036627.2	XP_017757730.1
OG0001281	NP_001246506.1	XP_017758893.1, XP_017758894.1
OG0001282	NP_649261.1	XP_017767547.1
OG0001283	NP_476902.1	XP_017762698.1, XP_017762699.1
OG0001284	NP_001163032.1	XP_017766999.1
OG0001286	NP_610431.1	XP_017752649.1, XP_017752648.1, XP_017752651.1, XP_017752650.1, XP_017752654.1, XP_017752646.1, XP_017752652.1, XP_017752653.1
OG0001288	NP_001285508.1	XP_017756651.1
OG0001289	NP_001261265.1	XP_017754288.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_017752241.1
OG0001291	NP_001163636.1	XP_017752866.1
OG0001292	NP_611945.3	XP_017753836.1
OG0001293	NP_649850.1	XP_017756478.1, XP_017756477.1
OG0001294	NP_611855.1	XP_017761845.1
OG0001295	NP_724562.2	XP_017753974.1
OG0001298	NP_001163084.1	XP_017758815.1
OG0001299	NP_609088.1	XP_017759829.1, XP_017759828.1
OG0001300	NP_001259918.1	XP_017761048.1
OG0001301	NP_001188545.1	XP_017753627.1
OG0001302	NP_001188695.1	XP_017765970.1
OG0001303	NP_001261027.1	XP_017761306.1, XP_017761305.1
OG0001304	NP_001246121.1	XP_017765103.1, XP_017765104.1
OG0001305	NP_001261304.1	XP_017763749.1
OG0001306	NP_001262403.1	XP_017767510.1, XP_017767507.1
OG0001307	NP_001356969.1	XP_017765806.1, XP_017755947.1
OG0001308	NP_001245739.1, NP_727344.1	XP_017762509.1
OG0001310	NP_650685.1	XP_017755662.1
OG0001312	NP_001285588.1	XP_017759522.1, XP_017759523.1
OG0001314	NP_001246531.1	XP_017759938.1, XP_017759948.1
OG0001315	NP_001285099.1, NP_728935.1	XP_017757079.1
OG0001316	NP_001246495.1	XP_017761141.1
OG0001317	NP_647998.2, NP_647996.1	XP_017753730.1
OG0001317	NP_648019.2	XP_017763687.1
OG0001318	NP_001188775.1	XP_017755036.1
OG0001320	NP_651060.1	XP_017763319.1
OG0001322	NP_651570.1	XP_017767745.1, XP_017767744.1
OG0001328	NP_001097695.1	XP_017765380.1, XP_017765379.1, XP_017765381.1
OG0001329	NP_647948.1	XP_017765141.1
OG0001330	NP_001246537.1	XP_017760084.1
OG0001331	NP_001260303.1	XP_017761638.1
OG0001332	NP_650887.1, NP_570011.1	XP_017759266.1
OG0001333	NP_649539.1	XP_017755779.1
OG0001334	NP_001287343.1	XP_017755525.1
OG0001335	NP_609362.1	XP_017758150.1
OG0001336	NP_001162901.1	XP_017766979.1
OG0001337	NP_612097.1	XP_017763157.1, XP_017763167.1
OG0001338	NP_572855.1	XP_017760926.1
OG0001339	NP_001260727.1	XP_017752428.1, XP_017752429.1, XP_017752430.1
OG0001340	NP_001284961.1	XP_017765534.1, XP_017765533.1
OG0001341	NP_001259867.1	XP_017758419.1
OG0001342	NP_001138093.1	XP_017756280.1, XP_017754627.1
OG0001343	NP_477025.1	XP_017759887.1, XP_017759393.1
OG0001344	NP_652315.2	XP_017756908.1
OG0001345	NP_648955.1	XP_017757449.1
OG0001346	NP_001097946.1	XP_017756311.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_017756778.1
OG0001348	NP_608350.2	XP_017761641.1
OG0001349	NP_477480.1	XP_017753826.1, XP_017753827.1
OG0001350	NP_788708.2	XP_017757672.1
OG0001351	NP_001246931.1	XP_017761846.1
OG0001352	NP_731459.2	XP_017756186.1, XP_017756187.1
OG0001353	NP_001261357.1	XP_017759250.1
OG0001354	NP_611792.1	XP_017763889.1
OG0001355	NP_572529.2	XP_017757783.1
OG0001356	NP_001014559.1	XP_017762245.1, XP_017762244.1
OG0001358	NP_001014703.1	XP_017763024.1
OG0001359	NP_001259064.1, NP_651392.2	XP_017764402.1
OG0001361	NP_650778.2	XP_017762194.1
OG0001362	NP_001287357.1	XP_017753681.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_017752314.1, XP_017763590.1
OG0001364	NP_001188754.1	XP_017757141.1, XP_017757142.1
OG0001365	NP_001260427.1	XP_017760678.1
OG0001366	NP_648508.1	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_017759984.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_017759611.1
OG0001369	NP_001303363.1	XP_017763758.1
OG0001370	NP_001162973.2	XP_017763355.1
OG0001371	NP_610796.1	XP_017766099.1, XP_017766100.1
OG0001372	NP_610444.2	XP_017755643.1, XP_017755581.1
OG0001373	NP_731872.1	XP_017764445.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_017760626.1
OG0001375	NP_001261379.1	XP_017762914.1, XP_017762913.1
OG0001376	NP_001162697.1	XP_017757954.1
OG0001377	NP_572840.1	XP_017754364.1
OG0001378	NP_572402.1	XP_017759669.1
OG0001379	NP_723501.2	XP_017764081.1
OG0001380	NP_001036421.1	XP_017762347.1
OG0001381	NP_650889.1	XP_017763595.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_017753653.1, XP_017753654.1
OG0001383	NP_001036470.1	XP_017759982.1
OG0001384	NP_001285453.1	XP_017758831.1
OG0001385	NP_001260880.1	XP_017758729.1
OG0001386	NP_001286474.1	XP_017760536.1
OG0001387	NP_609412.1	XP_017762035.1, XP_017762037.1
OG0001388	NP_572320.2, NP_732840.1	XP_017760732.1
OG0001389	NP_788300.3	XP_017761960.1
OG0001390	NP_001286120.1	XP_017766560.1
OG0001391	NP_001163354.1	XP_017762560.1
OG0001392	NP_001246912.1	XP_017764296.1, XP_017764293.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_017762706.1
OG0001394	NP_729025.1	XP_017763507.1
OG0001395	NP_001137624.1	XP_017766691.1, XP_017766687.1
OG0001396	NP_001245761.1, NP_523412.1	XP_017766073.1
OG0001397	NP_649764.1	XP_017759609.1
OG0001398	NP_001246972.1, NP_523949.2	XP_017757284.1, XP_017757283.1
OG0001399	NP_569982.1	XP_017754171.1, XP_017754172.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_017760497.1
OG0001401	NP_524675.1	XP_017753798.1
OG0001402	NP_612065.1	XP_017767447.1
OG0001403	NP_001259193.1, NP_733426.1	XP_017765652.1
OG0001404	NP_609110.1	XP_017760903.1
OG0001405	NP_731223.1	XP_017766949.1
OG0001406	NP_001015132.1	XP_017761098.1
OG0001407	NP_001262226.1	XP_017760890.1
OG0001408	NP_001163646.1	XP_017759170.1
OG0001409	NP_001162657.1	XP_017766302.1, XP_017766308.1, XP_017766305.1
OG0001410	NP_523844.2	XP_017765486.1, XP_017755897.1
OG0001412	NP_651941.2	XP_017765833.1
OG0001413	NP_001303415.1	XP_017763469.1
OG0001414	NP_608864.1	XP_017763368.1, XP_017763367.1, XP_017763366.1
OG0001415	NP_996016.2	XP_017753459.1
OG0001416	NP_723870.1	XP_017756217.1, XP_017760198.1
OG0001417	NP_611932.2	XP_017758796.1
OG0001418	NP_001162911.1	XP_017764513.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_017763375.1
OG0001420	NP_650569.1, NP_651139.1	XP_017762536.1
OG0001421	NP_649899.1	XP_017758330.1, XP_017758328.1
OG0001422	NP_001189074.1	XP_017754408.1, XP_017754409.1
OG0001423	NP_729234.2	XP_017766027.1
OG0001424	NP_001262495.1	XP_017761320.1
OG0001425	NP_788574.3	XP_017754057.1
OG0001426	NP_001163056.1	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1
OG0001427	NP_648499.1	XP_017761887.1
OG0001428	NP_608929.1	XP_017755325.1, XP_017755328.1, XP_017755327.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_017755795.1
OG0001434	NP_788618.1, NP_649928.1	XP_017754540.1
OG0001436	NP_650868.1, NP_649289.2	XP_017759912.1
OG0001437	NP_001286742.1	XP_017761418.1
OG0001438	NP_727644.3	XP_017759626.1
OG0001440	NP_611647.1	XP_017752342.1
OG0001441	NP_001027574.2	XP_017764328.1
OG0001442	NP_001287592.1	XP_017760859.1
OG0001443	NP_001096850.2	XP_017756347.1
OG0001444	NP_001034052.2	XP_017763241.1, XP_017755299.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_017767740.1
OG0001446	NP_648358.2	XP_017767505.1, XP_017767504.1
OG0001453	NP_001285826.1	XP_017753197.1, XP_017753196.1
OG0001455	NP_610092.2	XP_017763637.1
OG0001456	NP_001286295.1	XP_017759747.1
OG0001457	NP_001163688.1	XP_017759608.1
OG0001458	NP_476858.1	XP_017760601.1
OG0001459	NP_001097610.1, NP_001263148.1	XP_017753350.1
OG0001460	NP_476848.1	XP_017755991.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_017757457.1
OG0001462	NP_001262421.1	XP_017759124.1, XP_017759121.1
OG0001463	NP_649574.1	XP_017754385.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_017760160.1
OG0001465	NP_001189124.1	XP_017759749.1
OG0001466	NP_569951.1, NP_611911.1	XP_017756736.1, XP_017756880.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_017765138.1
OG0001468	NP_001260652.1	XP_017764233.1, XP_017764238.1
OG0001469	NP_523568.2	XP_017761902.1
OG0001470	NP_648768.1	XP_017759624.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_017755440.1, XP_017755439.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_017766187.1
OG0001473	NP_001287361.1	XP_017756349.1
OG0001474	NP_609560.2, NP_569850.1	XP_017767410.1
OG0001475	NP_001368987.1	XP_017754101.1
OG0001477	NP_001014453.1	XP_017766251.1, XP_017766252.1
OG0001478	NP_001285042.1	XP_017753140.1
OG0001479	NP_001036624.1	XP_017762331.1
OG0001480	NP_524533.1	XP_017761101.1
OG0001481	NP_001286181.1	XP_017757923.1, XP_017757922.1, XP_017757921.1
OG0001482	NP_651924.2	XP_017764469.1
OG0001483	NP_001262996.1	XP_017764678.1
OG0001484	NP_001188579.1	XP_017760649.1
OG0001485	NP_523596.2	XP_017752870.1
OG0001486	NP_476764.1	XP_017754790.1
OG0001487	NP_001188904.1	XP_017766230.1
OG0001488	NP_001189108.1	XP_017758917.1, XP_017758921.1
OG0001489	NP_648555.1	XP_017762007.1, XP_017762006.1
OG0001491	NP_609228.2	XP_017760578.1, XP_017760579.1
OG0001492	NP_001263168.1	XP_017764410.1
OG0001493	NP_001262195.1	XP_017767529.1, XP_017767531.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_017759665.1, XP_017761795.1
OG0001495	NP_612063.2	XP_017767625.1
OG0001496	NP_609203.1	XP_017764506.1
OG0001497	NP_001260853.1	XP_017763430.1
OG0001498	NP_729823.2	XP_017760266.1
OG0001499	NP_572167.3	XP_017753427.1, XP_017764078.1
OG0001500	NP_730859.1	XP_017755043.1
OG0001501	NP_001303373.1	XP_017762834.1, XP_017762836.1
OG0001502	NP_001261464.1	XP_017762806.1
OG0001503	NP_665880.2	XP_017760737.1, XP_017760736.1
OG0001504	NP_001261440.1	XP_017755365.1
OG0001505	NP_001097527.1	XP_017755310.1
OG0001507	NP_001287269.1	XP_017758151.1
OG0001508	NP_001138130.2	XP_017759047.1
OG0001509	NP_001261116.1	XP_017759499.1
OG0001510	NP_001284936.1	XP_017761959.1, XP_017762325.1
OG0001511	NP_649151.1	XP_017762814.1
OG0001514	NP_001188550.1	XP_017764218.1, XP_017764217.1
OG0001515	NP_001259809.1	XP_017753282.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_017763820.1
OG0001517	NP_731242.1	XP_017762483.1
OG0001518	NP_001036462.1	XP_017756219.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_017754789.1
OG0001521	NP_523422.4	XP_017752636.1
OG0001522	NP_001096867.3	XP_017765001.1
OG0001524	NP_001261067.1	XP_017762681.1
OG0001525	NP_477026.1	XP_017753796.1
OG0001526	NP_001369078.1	XP_017756923.1
OG0001527	NP_001259089.1	XP_017756866.1, XP_017756865.1
OG0001529	NP_001162930.1	XP_017757336.1
OG0001530	NP_611501.1	XP_017754040.1, XP_017754041.1, XP_017754042.1
OG0001531	NP_651595.1	XP_017757528.1
OG0001532	NP_001162665.1	XP_017754297.1
OG0001533	NP_728534.2	XP_017757893.1
OG0001534	NP_731923.2	XP_017762184.1
OG0001535	NP_001261999.1	XP_017765727.1
OG0001536	NP_648357.1	XP_017752631.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_017756128.1
OG0001538	NP_995639.1	XP_017764264.1
OG0001539	NP_524017.1	XP_017764641.1
OG0001540	NP_610693.1, NP_610694.1	XP_017764661.1
OG0001541	NP_001261940.1	XP_017761035.1
OG0001542	NP_609207.1	XP_017755216.1
OG0001543	NP_650901.2	XP_017760035.1
OG0001545	NP_523451.2	XP_017752308.1
OG0001546	NP_001247104.1	XP_017767699.1
OG0001548	NP_001285388.1	XP_017765675.1
OG0001550	NP_647968.3	XP_017756522.1, XP_017756495.1
OG0001551	NP_001246815.1	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1
OG0001552	NP_477317.1	XP_017765484.1
OG0001553	NP_651623.1	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1
OG0001554	NP_001261344.1	XP_017761029.1
OG0001555	NP_001246451.1	XP_017755605.1
OG0001556	NP_726771.1	XP_017766589.1
OG0001557	NP_001260951.1	XP_017754844.1
OG0001558	NP_001245722.1	XP_017759570.1
OG0001559	NP_650472.2	XP_017755086.1
OG0001560	NP_001246228.1	XP_017761824.1
OG0001561	NP_001260963.1	XP_017762996.1
OG0001562	NP_001137943.2	XP_017759839.1
OG0001563	NP_001246300.1	XP_017753860.1, XP_017753861.1
OG0001565	NP_001286976.1	XP_017758432.1, XP_017758431.1
OG0001567	NP_001137746.1	XP_017762421.1
OG0001568	NP_001263152.1	XP_017757468.1
OG0001569	NP_477320.1	XP_017759896.1
OG0001570	NP_648176.1	XP_017766275.1
OG0001571	NP_610075.2	XP_017757811.1, XP_017757812.1, XP_017757813.1
OG0001575	NP_524337.1	XP_017755712.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_017755963.1
OG0001577	NP_001285493.1	XP_017753933.1
OG0001579	NP_001097592.1	XP_017766242.1
OG0001580	NP_001285528.1	XP_017756269.1, XP_017756265.1
OG0001581	NP_608983.2	XP_017757870.1
OG0001582	NP_001287593.1	XP_017752328.1
OG0001583	NP_001189157.1	XP_017753734.1
OG0001584	NP_648993.1	XP_017754014.1, XP_017754016.1
OG0001585	NP_001262143.1	XP_017752444.1, XP_017752441.1
OG0001586	NP_647865.2	XP_017756326.1
OG0001587	NP_648090.1	XP_017765123.1
OG0001588	NP_001188558.1	XP_017754884.1
OG0001589	NP_726318.1	XP_017757481.1
OG0001590	NP_572910.1, NP_001285210.1	XP_017760242.1
OG0001591	NP_001286018.1	XP_017754902.1, XP_017754900.1, XP_017754898.1, XP_017754899.1, XP_017754897.1
OG0001592	NP_647896.1	XP_017765453.1
OG0001593	NP_001287342.1	XP_017765071.1
OG0001594	NP_001259723.1	XP_017760183.1
OG0001595	NP_611252.1	XP_017759837.1, XP_017759838.1
OG0001596	NP_730651.1	XP_017762763.1
OG0001597	NP_572854.1	XP_017754715.1
OG0001600	NP_001286151.1	XP_017754958.1
OG0001601	NP_001097706.1	XP_017754165.1, XP_017754157.1
OG0001602	NP_001033958.1	XP_017761399.1, XP_017761400.1
OG0001603	NP_001027070.1	XP_017753131.1
OG0001604	NP_001163129.1	XP_017758901.1, XP_017758903.1
OG0001606	NP_523902.2	XP_017763286.1
OG0001607	NP_001285753.1	XP_017760123.1
OG0001608	NP_001260655.1	XP_017761482.1, XP_017761480.1
OG0001614	NP_001259303.1, NP_569908.1	XP_017754529.1
OG0001615	NP_523764.1	XP_017764935.1
OG0001616	NP_001259833.1	XP_017761466.1
OG0001617	NP_524011.1	XP_017755975.1, XP_017755969.1
OG0001619	NP_652526.1	XP_017753400.1
OG0001620	NP_609496.1	XP_017764518.1, XP_017764519.1
OG0001621	NP_573362.1, NP_729837.1	XP_017754496.1
OG0001622	NP_572536.1	XP_017757970.1
OG0001623	NP_524400.2	XP_017761094.1
OG0001624	NP_788056.1	XP_017766541.1, XP_017766625.1
OG0001625	NP_001262669.1	XP_017758985.1
OG0001626	NP_001259186.1	XP_017764714.1
OG0001627	NP_001303417.1	XP_017759581.1
OG0001628	NP_651052.1	XP_017757209.1
OG0001629	NP_651782.1	XP_017762481.1, XP_017762480.1
OG0001630	NP_729395.2	XP_017765400.1
OG0001631	NP_001261267.1	XP_017760386.1, XP_017760383.1
OG0001632	NP_001245408.1	XP_017762889.1, XP_017762890.1
OG0001633	NP_001246351.1	XP_017766798.1
OG0001634	NP_651054.1	XP_017753601.1
OG0001635	NP_001303479.1	XP_017753595.1
OG0001636	NP_728142.1	XP_017755485.1
OG0001637	NP_612046.1	XP_017758517.1
OG0001638	NP_648826.2	XP_017753528.1, XP_017753540.1
OG0001639	NP_572360.1	XP_017767221.1, XP_017767222.1, XP_017767220.1
OG0001640	NP_477027.1	XP_017752461.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_017753665.1
OG0001642	NP_725207.1	XP_017766423.1
OG0001644	NP_001262395.1	XP_017761257.1
OG0001645	NP_733058.1	XP_017764307.1
OG0001646	NP_001285211.1	XP_017766339.1
OG0001647	NP_570025.1	XP_017759307.1
OG0001648	NP_001287187.1	XP_017754092.1
OG0001649	NP_609720.1, NP_524152.2	XP_017754651.1, XP_017754499.1, XP_017754574.1
OG0001650	NP_648222.3	XP_017757914.1
OG0001651	NP_001259585.1	XP_017761487.1, XP_017761488.1, XP_017761490.1
OG0001652	NP_788858.1	XP_017762622.1, XP_017762621.1
OG0001653	NP_995788.1	XP_017757704.1
OG0001654	NP_001246814.1	XP_017756092.1
OG0001655	NP_001245567.1	XP_017753209.1
OG0001656	NP_569872.1	XP_017764215.1
OG0001657	NP_001286489.1	XP_017753268.1, XP_017753267.1, XP_017753269.1
OG0001658	NP_001259992.1	XP_017767207.1
OG0001659	NP_730944.2	XP_017765105.1
OG0001660	NP_648750.1	XP_017758922.1
OG0001662	NP_001097377.2	XP_017765231.1
OG0001663	NP_649918.1	XP_017756451.1
OG0001664	NP_648183.3	XP_017761351.1
OG0001665	NP_001014619.2	XP_017761496.1
OG0001666	NP_001163472.1, NP_649145.1	XP_017753192.1
OG0001667	NP_001261574.1	XP_017755242.1
OG0001669	NP_001287417.1	XP_017765749.1
OG0001670	NP_001138149.1	XP_017760237.1, XP_017760238.1
OG0001671	NP_732316.2	XP_017759383.1
OG0001672	NP_001246400.1	XP_017762492.1, XP_017762490.1, XP_017762491.1
OG0001673	NP_649883.1	XP_017764841.1
OG0001674	NP_001260539.1	XP_017754048.1
OG0001675	NP_001261382.1	XP_017759347.1
OG0001676	NP_001163073.2	XP_017753315.1
OG0001677	NP_001260561.1	XP_017767775.1
OG0001679	NP_611460.1	XP_017761497.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_017761407.1
OG0001681	NP_001163282.1	XP_017766594.1, XP_017766596.1
OG0001682	NP_001285158.1	XP_017755769.1
OG0001684	NP_001368993.1	XP_017752134.1
OG0001685	NP_001097520.2	XP_017752369.1
OG0001686	NP_731649.2	XP_017761307.1
OG0001687	NP_609069.1	XP_017766513.1
OG0001688	NP_001104382.3	XP_017759903.1
OG0001690	NP_652015.1	XP_017759401.1
OG0001693	NP_001245400.1	XP_017754267.1
OG0001694	NP_610256.1	XP_017767028.1
OG0001695	NP_001262760.1	XP_017765096.1, XP_017765097.1, XP_017765098.1, XP_017765094.1, XP_017765095.1
OG0001696	NP_001247156.1	XP_017755693.1
OG0001697	NP_001245797.1	XP_017753829.1
OG0001699	NP_733303.2	XP_017752266.1
OG0001700	NP_001189311.1	XP_017761179.1
OG0001701	NP_995862.1	XP_017763828.1, XP_017763827.1
OG0001702	NP_651170.1	XP_017763377.1
OG0001703	NP_001262871.1, NP_651242.1	XP_017766294.1
OG0001704	NP_001356971.1	XP_017753412.1
OG0001706	NP_001247116.1	XP_017767583.1
OG0001707	NP_001262589.2	XP_017759082.1
OG0001708	NP_001287390.1	XP_017752268.1
OG0001709	NP_001303494.1	XP_017757351.1, XP_017757271.1
OG0001711	NP_608741.1	XP_017760099.1
OG0001712	NP_001188885.2	XP_017752985.1
OG0001713	NP_001033943.2	XP_017766156.1
OG0001714	NP_649156.1	XP_017754001.1, XP_017754010.1, XP_017753981.1
OG0001715	NP_001285698.1	XP_017762924.1
OG0001716	NP_001163671.1	XP_017761083.1, XP_017761080.1
OG0001717	NP_611675.2	XP_017766336.1
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_017753458.1
OG0001719	NP_001245568.1	XP_017761132.1, XP_017761131.1, XP_017761133.1
OG0001720	NP_610938.1	XP_017761762.1
OG0001722	NP_723401.1	XP_017763891.1
OG0001723	NP_001188979.1, NP_524242.2, NP_001287190.1	XP_017761848.1
OG0001724	NP_001261391.1	XP_017757448.1, XP_017757447.1
OG0001725	NP_524401.2	XP_017752192.1
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_017756693.1, XP_017753612.1
OG0001727	NP_001036351.2	XP_017766181.1
OG0001728	NP_001286002.1	XP_017758701.1, XP_017758700.1
OG0001729	NP_001286919.1	XP_017767515.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_017765928.1
OG0001731	NP_572995.1, NP_001163445.1	XP_017756811.1
OG0001732	NP_651725.1	XP_017767650.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_017758262.1
OG0001734	NP_608563.1	XP_017763592.1
OG0001735	NP_609387.1	XP_017758137.1
OG0001736	NP_001097937.1	XP_017756067.1
OG0001737	NP_001259675.1, NP_001033853.1	XP_017753173.1
OG0001738	NP_001014543.1	XP_017762686.1, XP_017762682.1
OG0001739	NP_001246653.1	XP_017758436.1
OG0001740	NP_001036555.1	XP_017767349.1, XP_017767345.1
OG0001742	NP_733224.2	XP_017753956.1
OG0001743	NP_001285126.1	XP_017766811.1
OG0001744	NP_651315.2	XP_017762061.1
OG0001745	NP_650743.1	XP_017752481.1, XP_017752482.1
OG0001746	NP_524852.2	XP_017752754.1
OG0001748	NP_001189227.1	XP_017756396.1
OG0001749	NP_001036722.1	XP_017753068.1
OG0001750	NP_001261148.1	XP_017755834.1
OG0001751	NP_001286159.1	XP_017766343.1
OG0001752	NP_651792.1, NP_651791.2	XP_017757884.1, XP_017757885.1
OG0001753	NP_523391.3	XP_017762936.1
OG0001754	NP_651671.1	XP_017765981.1, XP_017752778.1
OG0001755	NP_573318.1, NP_609759.1	XP_017764627.1
OG0001756	NP_649646.3	XP_017764896.1
OG0001757	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1	XP_017766520.1
OG0001758	NP_001163069.1	XP_017767662.1
OG0001759	NP_001287202.1	XP_017754749.1
OG0001760	NP_732069.3	XP_017758198.1
OG0001762	NP_001261764.1	XP_017766221.1
OG0001763	NP_650223.1	XP_017760813.1
OG0001764	NP_001287421.2, NP_650876.1	XP_017757505.1
OG0001765	NP_731461.1	XP_017756189.1, XP_017756190.1, XP_017756188.1, XP_017756191.1
OG0001766	NP_001261659.1	XP_017765570.1, XP_017765577.1
OG0001767	NP_723294.1	XP_017755336.1, XP_017755333.1, XP_017755335.1
OG0001768	NP_572805.1	XP_017757774.1
OG0001771	NP_727732.1, NP_001097831.1	XP_017757404.1
OG0001774	NP_476778.1	XP_017756656.1
OG0001775	NP_523735.2	XP_017754657.1
OG0001776	NP_620470.1	XP_017766284.1
OG0001777	NP_001245758.1	XP_017767342.1
OG0001778	NP_001262233.1	XP_017755617.1, XP_017755616.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	XP_017759610.1
OG0001780	NP_610617.1	XP_017761568.1
OG0001781	NP_650423.1	XP_017755836.1
OG0001782	NP_649000.1	XP_017763846.1
OG0001783	NP_647892.1	XP_017756971.1
OG0001784	NP_001163585.1	XP_017759486.1, XP_017759575.1
OG0001785	NP_524416.1	XP_017758618.1
OG0001786	NP_001260689.1	XP_017765430.1
OG0001787	NP_648786.1	XP_017767485.1
OG0001788	NP_724103.1	XP_017766022.1
OG0001789	NP_651728.1	XP_017757494.1
OG0001790	NP_649460.3	XP_017752217.1
OG0001791	NP_572504.1	XP_017765719.1
OG0001792	NP_611734.1	XP_017764023.1
OG0001793	NP_608828.2	XP_017758927.1
OG0001794	NP_001259442.1	XP_017765692.1
OG0001796	NP_477212.1	XP_017762082.1
OG0001797	NP_523830.2	XP_017755615.1
OG0001799	NP_001260496.1	XP_017755869.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_017762567.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_017766270.1
OG0001802	NP_001162765.1	XP_017756335.1
OG0001803	NP_001015387.1	XP_017757247.1
OG0001804	NP_728575.2, NP_612081.1	XP_017761361.1
OG0001805	NP_649038.1, NP_730334.2	XP_017759293.1
OG0001806	NP_610087.2	XP_017757716.1
OG0001807	NP_001286460.1	XP_017764251.1
OG0001808	NP_650163.2, NP_650840.1	XP_017756341.1
OG0001809	NP_609837.1	XP_017753142.1
OG0001810	NP_001246271.1	XP_017761764.1, XP_017761747.1
OG0001811	NP_001262677.1	XP_017764919.1
OG0001812	NP_001259970.1	XP_017767010.1
OG0001813	NP_611350.1	XP_017764316.1
