Orthogroup	Drosophila_melanogaster	Bombyx_mori
OG0001386	NP_001286474.1	XP_037877052.1
OG0001387	NP_609412.1	XP_012551998.1, XP_012551999.1, XP_012552000.1
OG0001388	NP_572320.2, NP_732840.1	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1
OG0001389	NP_788300.3	XP_037866835.1, XP_021206196.1
OG0001390	NP_001286120.1	XP_004923976.1, XP_012543955.1
OG0001391	NP_001163354.1	XP_004931964.1, XP_012550804.1
OG0001392	NP_001246912.1	XP_004923286.3
OG0001393	NP_001285132.1, NP_001188593.1	NP_001108457.1, XP_012548872.1, NP_001108458.1
OG0001394	NP_729025.1	XP_037872972.1, XP_037872971.1, XP_012551207.1
OG0001395	NP_001137624.1	XP_037868467.1
OG0001396	NP_001245761.1, NP_523412.1	XP_012546276.2
OG0001397	NP_649764.1	XP_021208952.1, XP_037868947.1
OG0001398	NP_001246972.1, NP_523949.2	XP_037871681.1
OG0001399	NP_569982.1	XP_021203857.1, XP_004926442.1, XP_021203856.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_004926572.1, XP_037870367.1
OG0001401	NP_524675.1	XP_004923967.2
OG0001402	NP_612065.1	XP_004931504.1
OG0001403	NP_001259193.1, NP_733426.1	XP_037873037.1
OG0001404	NP_609110.1	XP_037873980.1
OG0001405	NP_731223.1	NP_001243976.1
OG0001406	NP_001015132.1	XP_037867555.1, XP_012549636.1
OG0001407	NP_001262226.1	XP_004932096.2
OG0001409	NP_001162657.1	XP_037872234.1, XP_037872231.1
OG0001410	NP_523844.2	XP_021203216.2, XP_012545273.2, XP_012545274.2
OG0001413	NP_001261618.1, NP_001303415.1	XP_004931236.2
OG0001414	NP_608864.1	XP_004926796.1
OG0001415	NP_996016.2	XP_037877821.1, XP_037877823.1
OG0001416	NP_723870.1	XP_037866526.1
OG0001417	NP_611932.2	XP_004921935.1, XP_037872611.1, XP_037872612.1
OG0001418	NP_001162911.1	XP_012547297.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_012548678.1
OG0001420	NP_650569.1, NP_651139.1	XP_012552202.1, XP_037876612.1, XP_004922782.1
OG0001421	NP_649899.1	XP_004929664.1
OG0001422	NP_001189074.1	XP_004932407.1
OG0001423	NP_729234.2	XP_004923479.2
OG0001424	NP_001262495.1	XP_012544948.2
OG0001426	NP_001163056.1	XP_037870983.1
OG0001427	NP_648499.1	XP_004927183.1
OG0001428	NP_608929.1	XP_037866655.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	NP_001036947.1
OG0001430	NP_001287466.1	XP_037866431.1
OG0001431	NP_649852.2, NP_001247289.1	XP_021205836.1
OG0001432	NP_001188923.1, NP_611185.3	XP_012544966.1, XP_012544981.1, XP_012544970.1, XP_012544974.1
OG0001434	NP_788618.1, NP_649928.1	XP_037876486.1
OG0001436	NP_650868.1, NP_649289.2	XP_004922451.1, XP_004922450.1
OG0001437	NP_001286742.1	NP_001153671.1
OG0001440	NP_611647.1	XP_004930927.1
OG0001441	NP_001027574.2	XP_037877608.1, XP_037877601.1
OG0001442	NP_001287592.1	NP_001119723.1
OG0001443	NP_001096850.2	XP_037874392.1
OG0001444	NP_001034052.2	XP_012544068.1, XP_037876196.1, XP_037876194.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	NP_001164469.1
OG0001446	NP_648358.2	XP_037872969.1
OG0001453	NP_001285826.1	NP_001037144.1, XP_012548545.1
OG0001455	NP_610092.2	XP_004932665.1, XP_037875264.1
OG0001456	NP_001286295.1	XP_021209082.1
OG0001457	NP_001163688.1	XP_012549706.1
OG0001458	NP_476858.1	NP_001243920.1
OG0001459	NP_001263148.1	XP_021209024.1
OG0001460	NP_476848.1	XP_012544554.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_012544433.2
OG0001462	NP_001262421.1	XP_004929675.1, XP_004929676.1
OG0001463	NP_649574.1	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_021207479.1
OG0001465	NP_001189124.1	XP_004927891.1, XP_004927887.1
OG0001466	NP_569951.1, NP_611911.1	XP_004934358.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_037869859.1, XP_037869858.1
OG0001468	NP_001260652.1	NP_001036939.1
OG0001469	NP_523568.2	XP_004923021.1, XP_004923022.1
OG0001470	NP_648768.1	XP_021207359.1, XP_021207329.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_004931777.2
OG0001472	NP_725504.1, NP_001246828.1	XP_004928523.1
OG0001472	NP_001286770.1	NP_001266343.1
OG0001473	NP_001287361.1	XP_004921751.1
OG0001474	NP_609560.2, NP_569850.1	XP_004928242.1
OG0001475	NP_001368987.1	XP_004930737.1
OG0001477	NP_001014453.1	XP_037877391.1, XP_037877482.1, XP_004929266.2
OG0001478	NP_001285042.1	NP_001170882.1, XP_012551408.1
OG0001479	NP_001036624.1	NP_001036956.1, XP_012549120.1
OG0001480	NP_524533.1	XP_004930565.1
OG0001481	NP_001286181.1	XP_012547389.2, XP_004927794.2
OG0001482	NP_651924.2	XP_021206661.1
OG0001484	NP_001188579.1	XP_012547006.1
OG0001485	NP_569913.1	XP_004930031.2
OG0001485	NP_523596.2	XP_004929453.1
OG0001486	NP_476764.1	XP_012553363.1
OG0001487	NP_001188904.1	XP_012550436.1
OG0001488	NP_001189108.1	XP_037869760.1
OG0001489	NP_648555.1	XP_037868752.1
OG0001490	NP_001246899.1	XP_004924569.1
OG0001491	NP_609228.2	XP_004925005.1
OG0001492	NP_001263168.1	XP_004927896.1, XP_004927895.1, XP_004927894.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_037877591.1, XP_037867606.1
OG0001495	NP_612063.2	XP_021207491.2
OG0001496	NP_609203.1	XP_004927986.1
OG0001497	NP_001260853.1	XP_004928336.2
OG0001498	NP_729823.2	XP_037869992.1, XP_037870010.1
OG0001499	NP_572167.3	XP_004928205.1
OG0001500	NP_730859.1	XP_037871997.1, XP_012552773.2
OG0001501	NP_001303373.1	XP_037866800.1
OG0001502	NP_001261464.1	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1
OG0001503	NP_665880.2	XP_021206043.2
OG0001504	NP_001261440.1	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1
OG0001505	NP_001097527.1	XP_037867872.1
OG0001507	NP_001287269.1	XP_004933054.1, XP_021208141.1
OG0001508	NP_001138130.2	NP_001091838.1, XP_012548520.2
OG0001509	NP_001261116.1	XP_037874937.1
OG0001510	NP_001284936.1	XP_037868375.1
OG0001511	NP_649151.1	XP_037870240.1, NP_001106220.1
OG0001514	NP_001188550.1	NP_001243989.1, XP_012551916.2
OG0001515	NP_001259809.1	XP_037869339.1, XP_012552167.1, XP_004933624.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_012548192.1
OG0001517	NP_731242.1	XP_004930586.1
OG0001518	NP_001036462.1	XP_012547971.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_037877043.1
OG0001520	NP_572480.1, NP_001368953.1	XP_004926900.1
OG0001521	NP_523422.4	XP_037873615.1
OG0001522	NP_001096867.3	NP_001189459.1, XP_012547725.2
OG0001524	NP_001261067.1	XP_004928551.2
OG0001525	NP_477026.1	XP_004928511.1
OG0001526	NP_001369078.1	XP_037869703.1
OG0001527	NP_001259089.1	XP_012547691.1, XP_012547692.1, XP_004928271.1
OG0001529	NP_001162930.1	NP_001103396.1, XP_021202150.1
OG0001530	NP_611501.1	XP_004928962.1
OG0001531	NP_651595.1	XP_004927972.1
OG0001533	NP_728534.2	XP_037872089.1
OG0001534	NP_731923.2	XP_012548708.1
OG0001536	NP_648357.1	XP_021207987.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_004930078.1
OG0001538	NP_995639.1	NP_001037049.1, XP_037873389.1
OG0001539	NP_524017.1	NP_001182396.1
OG0001540	NP_610693.1, NP_610694.1	XP_037866721.1, NP_001108344.1, XP_037866889.1
OG0001541	NP_001261940.1	XP_037869460.1
OG0001542	NP_609207.1	XP_004925578.2
OG0001543	NP_650901.2	XP_021208076.1
OG0001545	NP_523451.2	XP_021205692.2
OG0001546	NP_001247104.1	XP_021202997.2
OG0001548	NP_001285388.1	XP_037871858.1
OG0001550	NP_647968.3	NP_001127721.1
OG0001551	NP_001246815.1	NP_001040440.1, XP_021205145.1
OG0001552	NP_477317.1	XP_037875658.1, XP_037875663.1
OG0001553	NP_651623.1	XP_004922085.1
OG0001554	NP_001261344.1	XP_021202702.2
OG0001555	NP_001246451.1	XP_004926499.2
OG0001556	NP_726771.1	XP_037869191.1
OG0001557	NP_001285174.1	NP_001127735.1, XP_012548880.1
OG0001557	NP_001260951.1	NP_001127732.1, XP_037868153.1
OG0001558	NP_001245722.1	XP_004922281.1
OG0001559	NP_650472.2	XP_012550319.2
OG0001560	NP_001246228.1	XP_012553162.1, XP_012553161.2
OG0001561	NP_001260963.1	XP_004928449.2
OG0001562	NP_001137943.2	XP_037867104.1, XP_037867118.1
OG0001563	NP_001246300.1	XP_021204882.1
OG0001564	NP_650698.1	XP_037867971.1, XP_037872070.1, XP_037872069.1, XP_021208340.2, XP_037872071.1, XP_012546980.2
OG0001565	NP_001286976.1	XP_037874788.1
OG0001567	NP_001137746.1	NP_001036935.1, XP_037873779.1
OG0001568	NP_001263152.1	XP_037876104.1, NP_001243990.1
OG0001569	NP_477320.1	XP_037873304.1
OG0001570	NP_648176.1	XP_012551718.2
OG0001571	NP_610075.2	XP_037875923.1
OG0001575	NP_524337.1	NP_001037325.1, NP_001037333.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1
OG0001577	NP_001285493.1	XP_037868606.1, NP_001106746.1
OG0001579	NP_001097592.1	XP_037874676.1
OG0001580	NP_001285528.1	XP_004930748.1
OG0001581	NP_608983.2	XP_012551182.2
OG0001582	NP_001287593.1	XP_012550801.1
OG0001583	NP_001189157.1	XP_004928527.1
OG0001584	NP_648993.1	XP_012546518.1, XP_012546512.1
OG0001586	NP_647865.2	XP_012545422.2, NP_001138795.1
OG0001587	NP_648090.1	XP_004931594.2
OG0001588	NP_001188558.1	XP_037873144.1
OG0001589	NP_726318.1	XP_021209162.1
OG0001591	NP_001286018.1	XP_004930937.1
OG0001592	NP_647896.1	XP_004927023.1
OG0001593	NP_001287342.1	NP_001036870.1, XP_037867807.1
OG0001594	NP_001259723.1	XP_004927503.2
OG0001595	NP_611252.1	XP_004922227.1, XP_021205276.1
OG0001596	NP_730651.1	XP_004926385.1
OG0001600	NP_001286151.1	XP_021208437.1
OG0001601	NP_001097706.1	XP_012553340.2
OG0001602	NP_001033958.1	XP_012553401.1, XP_004931415.1, XP_021201945.1
OG0001604	NP_001163129.1	XP_012549189.1, XP_012549190.1
OG0001606	NP_523902.2	NP_001296482.1, XP_004927952.1
OG0001608	NP_001260655.1	XP_004931746.1
OG0001614	NP_001259303.1, NP_569908.1	NP_001036780.1
OG0001614	NP_608731.1	XP_021205068.2
OG0001615	NP_523764.1	NP_001037213.1, XP_037872124.1
OG0001616	NP_001259833.1	NP_001040407.1
OG0001617	NP_524011.1	NP_001040232.1
OG0001617	NP_648631.1	XP_004929828.2
OG0001619	NP_652526.1	XP_021205425.1, XP_004928959.1
OG0001620	NP_609496.1	XP_004933138.1
OG0001621	NP_573362.1, NP_729837.1	XP_004925826.2, XP_037877870.1
OG0001623	NP_524400.2	XP_037867510.1
OG0001624	NP_788056.1	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1
OG0001625	NP_001262669.1	XP_037874467.1
OG0001626	NP_001259186.1	XP_004928349.1
OG0001627	NP_001303417.1	XP_004924826.1
OG0001628	NP_651052.1	NP_001239350.1, XP_012553261.1
OG0001629	NP_651782.1	XP_037873828.1, NP_001037261.1
OG0001630	NP_729395.2	XP_012546057.1, XP_012546059.1, XP_004926433.1
OG0001631	NP_001261267.1	XP_004924824.1
OG0001632	NP_001245408.1	XP_037869971.1, XP_037869970.1, XP_037869973.1, XP_037869972.1
OG0001633	NP_001246351.1	XP_004930100.1
OG0001634	NP_651054.1	XP_021204093.1, XP_021204095.1
OG0001635	NP_001303479.1	XP_004933692.1
OG0001636	NP_728142.1	NP_001037295.1
OG0001637	NP_612046.1	XP_004932373.2
OG0001638	NP_648826.2	XP_037877824.1
OG0001639	NP_572360.1	XP_004924180.1
OG0001640	NP_477027.1	XP_004925552.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_037870957.1
OG0001642	NP_725207.1	XP_004927839.1
OG0001645	NP_733058.1	XP_012550830.1, XP_012550828.1
OG0001646	NP_001285211.1	XP_037873850.1
OG0001647	NP_570025.1	XP_004923960.1
OG0001648	NP_001287187.1	XP_004921645.2
OG0001649	NP_609720.1, NP_524152.2	NP_001040322.1
OG0001650	NP_648222.3	XP_037870812.1
OG0001651	NP_001259585.1	XP_012550939.1
OG0001652	NP_788858.1	XP_037874387.1
OG0001653	NP_995788.1	XP_004932298.1
OG0001654	NP_001246814.1	XP_037874808.1, XP_037874810.1
OG0001655	NP_001245567.1	XP_037870353.1, XP_004929896.1
OG0001656	NP_569872.1	XP_037874784.1
OG0001657	NP_001286489.1	XP_004923460.1
OG0001658	NP_001259992.1	XP_004929407.1
OG0001659	NP_730944.2	XP_037867834.1, XP_037867832.1
OG0001660	NP_648750.1	XP_012547355.1, XP_004927973.1, XP_021204730.1, XP_021204729.1, XP_021204727.1, XP_012547354.1, XP_012547353.1
OG0001661	NP_001261775.1	XP_012550425.1, XP_012550426.1
OG0001662	NP_001097377.2	XP_037875847.1, XP_037875850.1
OG0001663	NP_649918.1	XP_004924463.1
OG0001664	NP_648183.3	XP_037876251.1
OG0001665	NP_001014619.2	NP_001037676.1, XP_012550254.1
OG0001666	NP_001163472.1, NP_649145.1	XP_004932903.1
OG0001667	NP_001261574.1	XP_037873549.1, XP_037873548.1, XP_004933395.1
OG0001669	NP_001287417.1	XP_037872626.1
OG0001670	NP_001138149.1	XP_012547337.1
OG0001671	NP_732316.2	XP_037869789.1
OG0001672	NP_001246400.1	XP_004927542.1
OG0001673	NP_649883.1	XP_037875318.1
OG0001674	NP_001260539.1	XP_037868399.1
OG0001675	NP_001261382.1	XP_004932175.2
OG0001677	NP_001260561.1	XP_004926878.2
OG0001679	NP_611460.1	XP_012550552.1, NP_001040193.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_004931709.1
OG0001681	NP_001163282.1	XP_004925168.1
OG0001682	NP_001285158.1	XP_037871731.1
OG0001684	NP_001368993.1, NP_001368940.1	XP_004926136.1
OG0001686	NP_731649.2	XP_012545103.1
OG0001687	NP_609069.1	XP_037877755.1
OG0001688	NP_001104382.3	XP_037873491.1, XP_037873494.1, XP_004925011.1, XP_012544838.1
OG0001690	NP_652015.1	XP_004933420.1, XP_004925492.1
OG0001693	NP_001245400.1	XP_037866559.1
OG0001694	NP_610256.1	XP_012550686.1
OG0001695	NP_001262760.1	NP_001157388.1, XP_037869526.1
OG0001696	NP_001247156.1	XP_037867835.1
OG0001697	NP_001245797.1	XP_037870401.1
OG0001698	NP_611941.1	XP_012552098.2
OG0001699	NP_733303.2	XP_037868480.1
OG0001700	NP_001189311.1	XP_012545416.1, XP_012545413.1, XP_012545415.1, XP_021203348.1, XP_037867332.1, XP_037867330.1, XP_037867329.1
OG0001701	NP_995862.1	NP_001103813.1, XP_012545114.1
OG0001702	NP_651170.1	XP_037872870.1, XP_037872869.1
OG0001703	NP_001262871.1, NP_651242.1	XP_037872461.1
OG0001704	NP_001356971.1	XP_004922938.1
OG0001706	NP_001247116.1	XP_021203120.2
OG0001707	NP_001262589.2	XP_004929683.1, XP_004929682.1
OG0001708	NP_001287390.1	XP_004933031.1, XP_012551704.1, XP_021208160.1
OG0001709	NP_001303494.1	XP_012546115.2
OG0001710	NP_651745.1, NP_573217.1, NP_730784.1	XP_012551180.1
OG0001711	NP_608741.1	XP_004929510.2, XP_037870316.1
OG0001712	NP_001188885.2	XP_037868206.1, XP_037868211.1
OG0001713	NP_001033943.2	XP_021204783.2
OG0001714	NP_649156.1	XP_004925113.1
OG0001715	NP_001285698.1	XP_004925167.2
OG0001716	NP_001163671.1	NP_001119720.1, XP_021208178.2
OG0001717	NP_611675.2	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_021202370.2
OG0001719	NP_001245568.1	XP_004930706.1
OG0001720	NP_610938.1	XP_037874122.1
OG0001722	NP_723401.1	NP_001124379.1
OG0001724	NP_001261391.1	XP_004930392.1
OG0001725	NP_524401.2	XP_037874888.1
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_037868722.1
OG0001727	NP_001036351.2	XP_004931661.1, XP_037869753.1
OG0001727	NP_608475.1, NP_609417.1	XP_021207188.1
OG0001728	NP_001286002.1	XP_037877837.1
OG0001729	NP_001286919.1	XP_021207174.2, XP_021207178.2
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	NP_001037025.1
OG0001731	NP_572995.1, NP_001163445.1	NP_001165929.1
OG0001732	NP_651725.1	NP_001171333.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_004927018.1
OG0001734	NP_608563.1	XP_037866680.1
OG0001735	NP_609387.1	XP_012546484.1, NP_001091806.1
OG0001736	NP_001014495.1	XP_012550884.1
OG0001736	NP_001097944.1	XP_021207520.2
OG0001736	NP_001097937.1	XP_021201870.2
OG0001737	NP_001259675.1, NP_001033853.1	XP_037869249.1, XP_037870331.1
OG0001738	NP_001014543.1	XP_012549316.1, XP_021206205.1
OG0001739	NP_001246653.1	XP_037869643.1, XP_004931603.3, XP_037869644.1
OG0001740	NP_001036555.1	NP_001243985.1, XP_012549111.2
OG0001742	NP_733224.2	NP_001155190.1, XP_037867298.1
OG0001743	NP_001285126.1	XP_012544721.1
OG0001744	NP_651315.2	XP_037876498.1
OG0001745	NP_650743.1	XP_037867651.1, XP_037867652.1
OG0001746	NP_524852.2	XP_004928647.1
OG0001748	NP_001189227.1	XP_037872366.1, XP_021205486.1
OG0001749	NP_001036722.1	XP_037868039.1
OG0001750	NP_001261148.1	XP_004923007.1
OG0001751	NP_001286159.1	XP_004924269.1
OG0001752	NP_651792.1, NP_651791.2	XP_004925235.2
OG0001753	NP_523391.3	XP_037875699.1
OG0001754	NP_651671.1	NP_001296479.1
OG0001755	NP_609759.1	XP_012547839.1
OG0001756	NP_649646.3	XP_012552706.1, XP_004922860.1
OG0001758	NP_001163069.1	XP_004923350.1
OG0001759	NP_001287202.1	XP_004922730.1
OG0001760	NP_732069.3	XP_021203209.1, XP_037875161.1
OG0001762	NP_001261764.1	XP_004931903.1
OG0001763	NP_650223.1	XP_037870842.1, XP_004926374.1
OG0001764	NP_001287421.2, NP_650876.1	XP_004924410.1, XP_004924409.1
OG0001765	NP_731461.1	XP_004931914.1, XP_012550765.1
OG0001766	NP_001261659.1	XP_021203029.1, XP_021203032.1, XP_004925229.1
OG0001767	NP_723294.1	XP_004929359.3
OG0001767	NP_001285949.1	XP_037877677.1
OG0001768	NP_572805.1	XP_012545642.3
OG0001774	NP_476778.1	NP_001091826.1
OG0001775	NP_523735.2	NP_001037464.2, XP_012549720.1
OG0001776	NP_620470.1	XP_021203566.1
OG0001777	NP_001245758.1	NP_001037524.1, XP_021204674.1
OG0001778	NP_001262233.1	NP_001037048.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	NP_001040379.1
OG0001780	NP_610617.1	XP_004924435.2
OG0001781	NP_650423.1	NP_001166823.1
OG0001782	NP_649000.1	XP_004927858.1
OG0001783	NP_647892.1	XP_004931936.2
OG0001784	NP_001163585.1	XP_004922147.1, XP_012548350.1, XP_021204677.1
OG0001785	NP_524416.1	XP_004925259.1
OG0001786	NP_001260689.1	NP_001037223.1, XP_037870668.1
OG0001787	NP_648786.1	XP_004932937.1
OG0001788	NP_001036396.2	NP_001040177.1
OG0001788	NP_724103.1	XP_004926494.1
OG0001789	NP_651728.1	XP_004924543.1
OG0001790	NP_649460.3	XP_004927254.1
OG0001791	NP_572504.1	NP_001040447.1
OG0001792	NP_611734.1	XP_037867676.1
OG0001793	NP_608828.2	NP_001040374.1
OG0001794	NP_001259442.1	XP_004927813.2
OG0001795	NP_730901.1	XP_012544831.3
OG0001796	NP_477212.1	XP_004931911.2
OG0001797	NP_001286694.1, NP_001163244.1, NP_523830.2	NP_001093087.1
OG0001798	NP_001260982.1	XP_037867196.1
OG0001799	NP_001260496.1	NP_001166191.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_037867731.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_004927251.1
OG0001802	NP_001162765.1	XP_037870920.1, XP_012547121.1, NP_001040267.1
OG0001803	NP_001015387.1	XP_004925344.1
OG0001804	NP_728575.2, NP_612081.1	XP_012551475.1
OG0001805	NP_649038.1, NP_730334.2	XP_021206263.1, XP_037866965.1
OG0001806	NP_610087.2	XP_004930470.2
OG0001807	NP_001286460.1	XP_037873557.1
OG0001809	NP_609837.1	XP_004929394.2
OG0001810	NP_001246271.1	XP_012550807.1
OG0001811	NP_001262677.1	XP_037871981.1
OG0001812	NP_001259970.1	NP_001037207.1
OG0001813	NP_611350.1	XP_004929628.1
OG0001814	NP_524758.1	NP_001040328.1
OG0001815	NP_476667.1, NP_001246493.1	NP_001091823.1, XP_037876930.1
OG0001816	NP_648106.1	XP_012545172.2
OG0001818	NP_001285489.1	XP_004928925.2
OG0001820	NP_649757.1	XP_004921850.1
OG0001821	NP_001287100.1	XP_037867951.1, XP_037877404.1
OG0001823	NP_609767.2	XP_037875756.1
OG0001824	NP_001356918.1	XP_037868084.1, XP_037868075.1
OG0001825	NP_001285277.1	XP_037873173.1
OG0001826	NP_610191.2	XP_012549145.2, NP_001243729.1
OG0001827	NP_001261341.1	XP_037876392.1, XP_037876387.1
OG0001828	NP_477184.1	XP_012547992.1
OG0001829	NP_511153.1	NP_001040363.1
OG0001830	NP_001189170.1	XP_012544507.1
OG0001831	NP_648895.1	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1
OG0001832	NP_611293.3	XP_012550340.1
OG0001833	NP_001262071.1	XP_021202831.1
OG0001834	NP_725449.1, NP_611238.2, NP_001285657.1	XP_021205575.2
OG0001835	NP_729801.1	XP_004933227.2
OG0001836	NP_001097041.2	XP_037869491.1, XP_037869486.1
OG0001838	NP_649809.1	NP_001040461.1
OG0001839	NP_001287516.1, NP_524496.1	XP_037867245.1, XP_004930061.1
OG0001840	NP_001287291.1	XP_004924490.1
OG0001841	NP_649554.1	XP_037875131.1
OG0001843	NP_001163392.1	XP_004923065.1
OG0001844	NP_733332.1	XP_037868430.1
OG0001845	NP_649732.1	NP_001165388.1, XP_037869302.1, XP_004929656.1
OG0001846	NP_788721.1	NP_001296512.1
OG0001847	NP_001163705.1	XP_004924718.1
OG0001848	NP_610735.1	XP_037868356.1, XP_037868357.1
OG0001850	NP_001097569.1	XP_012546560.2, XP_004927043.1
OG0001851	NP_524795.2	XP_021204066.2
OG0001852	NP_611258.2	XP_004925133.2
OG0001853	NP_001285407.1	XP_037877103.1
OG0001854	NP_610231.2, NP_525107.1, NP_536747.2	XP_037876316.1, XP_037876317.1, XP_004921880.1
OG0001855	NP_001097922.1	NP_001165386.1
OG0001856	NP_650446.2	XP_037875737.1, XP_021202011.1
OG0001858	NP_651605.1	XP_004928683.1
OG0001859	NP_001261279.1, NP_608679.1	XP_012552420.3
OG0001861	NP_524274.1	NP_001036938.1
OG0001862	NP_001096954.1	XP_012546765.1
OG0001863	NP_001303452.1	XP_004931917.1
OG0001864	NP_001259978.1	XP_037876894.1
OG0001865	NP_001036440.1	XP_012545585.1, NP_001037554.1
OG0001866	NP_610462.3	XP_004923469.1
OG0001867	NP_651658.1	XP_037876257.1
OG0001868	NP_732113.3	XP_037873044.1
OG0001869	NP_477402.1	NP_001040327.1
OG0001870	NP_001285457.1	XP_004929677.1
OG0001871	NP_572522.2	XP_012547234.2, XP_037871093.1
OG0001872	NP_536773.1	XP_004922404.2
OG0001873	NP_730982.1	XP_004931774.2
OG0001874	NP_477024.1	XP_037871173.1
OG0001875	NP_511130.2	XP_012553311.1
OG0001876	NP_001368952.1	XP_012549181.1
OG0001878	NP_001259740.1, NP_001260348.1	XP_004922231.2
OG0001879	NP_608749.2, NP_652101.2	XP_004929391.1
OG0001880	NP_001033948.1	XP_012551963.1
OG0001881	NP_722959.1	XP_037870422.1
OG0001882	NP_001188575.1	XP_037871054.1, XP_037871051.1
OG0001883	NP_650805.1	XP_004931525.1
OG0001884	NP_001188772.1	XP_037877616.1, XP_037877615.1, XP_037877613.1
OG0001885	NP_001262303.1	XP_037876616.1, XP_037876617.1
OG0001886	NP_001261166.1	XP_012545706.2
OG0001887	NP_723772.2	XP_037870239.1
OG0001888	NP_001286416.1	XP_021202882.2, XP_012544871.2
OG0001889	NP_651593.1	XP_037869833.1
OG0001890	NP_609530.1	XP_004932898.1, XP_004928637.1
OG0001891	NP_476733.1	XP_004923196.2
OG0001892	NP_001245925.1, NP_611294.1	XP_004932246.1
OG0001893	NP_477049.2	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1
OG0001894	NP_001137875.1	XP_037867673.1, XP_004926898.1
OG0001895	NP_524651.2	XP_037873123.1
OG0001896	NP_609570.1	XP_021203417.2
OG0001897	NP_611140.3	XP_004930778.1, XP_004930779.1
OG0001898	NP_001263035.1	XP_004933569.2, XP_012553329.2
OG0001899	NP_724878.2	NP_001243914.1
OG0001900	NP_001259735.1	XP_004922569.1
OG0001901	NP_651080.2	XP_037876242.1
OG0001902	NP_001286818.1	XP_012544997.2
OG0001903	NP_001285675.1	XP_004928575.2
OG0001905	NP_001287263.1	XP_012544944.2
OG0001906	NP_001245625.1	XP_037873835.1
OG0001908	NP_650314.1	NP_001166831.1
OG0001909	NP_001033913.1	XP_021209035.1
OG0001910	NP_648745.1	XP_004931433.1
OG0001912	NP_001286124.1	XP_037871747.1
OG0001913	NP_524909.1	XP_037871630.1
OG0001914	NP_608998.2	XP_004933679.2
OG0001914	NP_001188704.1	XP_004933676.1
OG0001915	NP_001014612.1	XP_004925729.1
OG0001916	NP_648272.1	NP_001036911.1, XP_012550247.3
OG0001917	NP_611237.2	XP_004923160.1
OG0001919	NP_610950.2	XP_037873437.1, XP_037873436.1
OG0001920	NP_608361.3	XP_037873063.1
OG0001921	NP_001036438.1	XP_037868287.1
OG0001922	NP_001246140.1	XP_012550597.1
OG0001923	NP_726381.1	NP_001157948.1, XP_037869037.1
OG0001924	NP_609384.1	XP_004930019.1
OG0001925	NP_476618.1	NP_001243987.1, XP_004928073.3
OG0001926	NP_609736.1	XP_004929255.1, XP_004929254.1
OG0001927	NP_524688.1	XP_037873449.1, XP_037873450.1
OG0001928	NP_001261246.1	XP_021207183.2, XP_037869913.1
OG0001929	NP_001260566.1, NP_001260567.1	XP_004932386.2
OG0001930	NP_650547.1	XP_012546096.2
OG0001931	NP_001097135.1	XP_004923112.1
