Orthogroup	Drosophila_melanogaster	Aedes_aegypti
OG0001110	NP_001260724.1	XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	NP_001260255.1	XP_001649510.2
OG0001112	NP_001245731.1	XP_001651512.1
OG0001113	NP_649587.1	XP_001651817.1
OG0001114	NP_788382.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	NP_651307.2	XP_021713246.1
OG0001116	NP_001284912.1	XP_021712421.1, XP_021694799.1
OG0001117	NP_647890.2	XP_021705905.1
OG0001118	NP_730935.1	XP_021707148.1
OG0001119	NP_573179.1	XP_001648381.1
OG0001120	NP_001303491.1	XP_001661053.1
OG0001120	NP_001286419.1	XP_001650112.2
OG0001121	NP_523778.2	XP_001652212.1, XP_021705915.1
OG0001124	NP_611463.1	XP_021710981.1
OG0001125	NP_996437.1	XP_001648386.2
OG0001126	NP_001263150.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	NP_001259643.1	XP_021694779.1, XP_021694780.1
OG0001127	NP_001259697.1	XP_021702833.1
OG0001128	NP_649862.1	XP_001656417.2
OG0001128	NP_476687.1	XP_001654307.2
OG0001129	NP_001260832.1	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	NP_001285414.1	XP_021693810.1
OG0001131	NP_001262954.1	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1
OG0001132	NP_477136.1	XP_001653441.1
OG0001133	NP_001163633.1	XP_021705031.1
OG0001134	NP_650596.1	XP_021700926.1, XP_021700923.1
OG0001135	NP_001261958.1	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	NP_001162634.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1
OG0001137	NP_569918.1	XP_001659753.1
OG0001138	NP_609847.1	XP_001655529.2
OG0001139	NP_650430.1	XP_021708606.1
OG0001140	NP_610460.1	XP_001654986.2
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	XP_001649333.2
OG0001141	NP_996208.1	XP_021694454.1
OG0001142	NP_001285029.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	NP_524026.1	XP_001662313.1
OG0001144	NP_649981.1	XP_021713323.1
OG0001145	NP_610183.1	XP_001656860.2, XP_021695639.1
OG0001146	NP_001163124.1	XP_001660509.1
OG0001147	NP_573361.1	XP_021694950.1
OG0001148	NP_651990.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	NP_001246233.1	XP_021696025.1
OG0001150	NP_524167.1	XP_021697593.1
OG0001151	NP_001262934.1	XP_021701521.1
OG0001152	NP_608533.1	XP_001650532.2
OG0001153	NP_609012.2	XP_021702556.1
OG0001154	NP_650326.3	XP_021711748.1
OG0001155	NP_001245723.1	XP_021707527.1
OG0001156	NP_727144.1	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	NP_524637.2	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	NP_523922.1	XP_021699270.1
OG0001159	NP_001246974.1, NP_524850.2	XP_021710638.1
OG0001160	NP_001285873.1	XP_001654460.1
OG0001161	NP_477313.1	XP_001652572.1
OG0001162	NP_001246331.1	XP_021707175.1
OG0001165	NP_001247163.1	XP_021710995.1
OG0001166	NP_524216.1, NP_727251.1	XP_021700484.1
OG0001167	NP_476980.1	XP_001661518.1
OG0001168	NP_477466.1	XP_001655162.2
OG0001169	NP_648620.1, NP_523655.1	XP_021700392.1, XP_001663720.1
OG0001171	NP_001368984.1	XP_021694953.1
OG0001172	NP_001246928.1	XP_021705744.1, XP_021705736.1
OG0001173	NP_001261097.1	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	NP_001104426.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	NP_001261470.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	NP_649439.1	XP_021693845.1
OG0001178	NP_477435.1	XP_001656777.2
OG0001179	NP_001284976.1	XP_021708724.1
OG0001180	NP_001259321.1	XP_021706223.1, XP_001654740.2
OG0001181	NP_573161.1	XP_021707798.1, XP_001647577.1
OG0001182	NP_001246890.1	XP_021711115.1, XP_021711128.1
OG0001183	NP_001246707.1	XP_021696657.1
OG0001184	NP_001287560.1	XP_001655214.2
OG0001185	NP_001137887.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	NP_648908.1	XP_001654432.1
OG0001187	NP_001261023.1	XP_021711494.1
OG0001188	NP_001163482.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	NP_001097192.2	XP_021711031.1
OG0001190	NP_001097387.1	XP_001649672.1, XP_021702492.1
OG0001191	NP_996290.1	XP_021704021.1
OG0001191	NP_001262929.1	XP_001657314.2
OG0001193	NP_001163283.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001195	NP_608725.1	XP_001649330.2, XP_021701388.1
OG0001196	NP_572406.1, NP_572795.2, NP_572410.2, NP_001368933.1, NP_001138177.1, NP_001138176.1, NP_001138175.1	XP_021713160.1, XP_001650794.2, XP_001656714.2, XP_001650795.1, XP_021694336.1, XP_001656712.2, XP_021706433.1, XP_021706434.1, XP_021707886.1, XP_021708997.1, XP_021709593.1, XP_021709302.1, XP_021706435.1, XP_001656711.2, XP_021713220.1, XP_001656709.2
OG0001197	NP_569979.1	XP_001653258.1
OG0001198	NP_476939.1	XP_001654561.1
OG0001199	NP_647878.1	XP_001655189.2
OG0001200	NP_648017.1	XP_001659027.1, XP_001659044.1, XP_001659047.1, XP_001659043.2, XP_021695511.1, XP_001659041.2, XP_001659040.1, XP_021695509.1, XP_001659051.1
OG0001201	NP_611863.1	XP_001660149.2
OG0001202	NP_731269.2	XP_001660281.2
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_021695231.1, XP_021698954.1, XP_021698952.1
OG0001204	NP_001163181.1	XP_021698471.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_021703744.1
OG0001206	NP_001245695.1	XP_021704907.1
OG0001207	NP_001262204.1	XP_021705398.1, XP_021705681.1
OG0001208	NP_001262609.1	XP_021706768.1
OG0001214	NP_572278.1	XP_001655451.2
OG0001215	NP_001260930.1	XP_021697293.1, XP_021697294.1, XP_021697295.1
OG0001216	NP_609382.1	XP_001653393.1
OG0001217	NP_523379.2	XP_001659205.1
OG0001218	NP_001285628.1	XP_001648941.1, XP_021705472.1
OG0001219	NP_477043.1	XP_011493503.2
OG0001220	NP_476594.1	XP_001663266.1
OG0001221	NP_649919.1	XP_021707345.1, XP_021707352.1, XP_021707151.1
OG0001221	NP_650287.3	XP_001649949.1
OG0001222	NP_001262515.1	XP_021713412.1, XP_001655604.1, XP_001655603.1
OG0001223	NP_573055.1	XP_001648095.1
OG0001224	NP_650632.1	XP_001660440.2, XP_001658084.2
OG0001225	NP_611211.3, NP_573315.1	XP_001648371.1
OG0001226	NP_001259731.1	XP_001653501.2
OG0001228	NP_001260246.1	XP_021703910.1, XP_021703909.1
OG0001229	NP_651876.1	XP_021704947.1
OG0001230	NP_001285360.1, NP_650407.1	XP_001656889.1
OG0001231	NP_001036283.1	XP_021694672.1
OG0001231	NP_523440.1	XP_001660051.2
OG0001232	NP_001285827.1	XP_021700838.1
OG0001233	NP_001162628.1	XP_021704697.1, XP_021704696.1
OG0001234	NP_001036706.2	XP_021706307.1
OG0001235	NP_647976.1, NP_610496.1	XP_021704690.1
OG0001235	NP_650931.1, NP_001286944.1	XP_001663534.2, XP_021704689.1, XP_001663535.2
OG0001235	NP_649897.4	XP_021693225.1, XP_021693224.1, XP_021693223.1, XP_021693226.1, XP_001648006.2
OG0001235	NP_611654.1, NP_001286709.1, NP_611653.1, NP_573047.1, NP_001262159.1	XP_021695477.1
OG0001236	NP_001246793.1, NP_001261942.1	XP_021698646.1, XP_021698645.1
OG0001237	NP_001246667.1	XP_021696524.1
OG0001238	NP_001014689.3	XP_021711392.1, XP_021711407.1
OG0001239	NP_001015221.1	XP_021710256.1
OG0001240	NP_001097042.1, NP_649903.1	XP_021700543.1
OG0001241	NP_733336.1	XP_021709960.1
OG0001242	NP_001260760.1, NP_724538.1	XP_021695985.1
OG0001244	NP_001189177.2	XP_001653051.1
OG0001245	NP_001245557.1	XP_001649754.1, XP_021706031.1
OG0001246	NP_476932.1	XP_021703701.1
OG0001247	NP_572740.1	XP_001658992.1
OG0001248	NP_001259908.1	XP_021703673.1
OG0001249	NP_572452.1	XP_001660617.1
OG0001250	NP_001259742.1	XP_001661045.2
OG0001251	NP_572932.2	XP_021695142.1, XP_021695149.1
OG0001252	NP_610892.1, NP_611132.1, NP_001097338.1, NP_001261679.1, NP_001260959.1, NP_729613.1	XP_021702746.1
OG0001252	NP_729394.1, NP_648244.1	XP_021701651.1, XP_001657687.1
OG0001254	NP_001285084.1	XP_021705862.1
OG0001255	NP_001261169.1	XP_001647960.3
OG0001256	NP_728275.1	XP_021694943.1, XP_021694941.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_021693634.1, XP_011493676.1, XP_011493675.1
OG0001258	NP_001162998.1, NP_001286014.1	XP_001652339.1, XP_021704024.1, XP_021704027.1
OG0001259	NP_724582.1	XP_001653425.2
OG0001260	NP_525109.1	XP_001652317.1
OG0001261	NP_001097659.1	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1
OG0001262	NP_001188672.1	XP_021711449.1
OG0001263	NP_523511.2	XP_001658296.1
OG0001264	NP_610425.1	XP_001657447.2
OG0001265	NP_001162912.1	XP_021703729.1, XP_021703731.1, XP_021703732.1, XP_021703727.1, XP_021703728.1, XP_021703725.1, XP_021703726.1, XP_021703723.1, XP_021703724.1, XP_021703721.1, XP_021703722.1, XP_021703720.1
OG0001267	NP_001261146.1	XP_021705969.1, XP_021705968.1
OG0001267	NP_609711.1	XP_001656717.2
OG0001269	NP_612019.2	XP_021710035.1
OG0001270	NP_730968.1	XP_021705766.1, XP_021705767.1
OG0001271	NP_651398.1	XP_021705424.1, XP_021705422.1, XP_021705423.1
OG0001272	NP_476658.1	XP_001661762.2, XP_001655854.1
OG0001273	NP_001285109.1	XP_021700130.1
OG0001274	NP_476741.1	XP_001663402.2
OG0001277	NP_611899.1	XP_021707020.1, XP_021707021.1
OG0001278	NP_524327.1	XP_001651785.2
OG0001279	NP_524633.3	XP_021694589.1
OG0001280	NP_001036627.2	XP_001652945.1
OG0001281	NP_001246506.1	XP_021698661.1
OG0001282	NP_649261.1	XP_021698670.1
OG0001283	NP_476902.1	XP_021697649.1
OG0001284	NP_001163032.1	XP_021701396.1, XP_021701391.1
OG0001286	NP_610431.1	XP_021703120.1
OG0001287	NP_732006.2	XP_021707370.1, XP_021707349.1, XP_021707348.1
OG0001288	NP_001285508.1	XP_021706525.1, XP_001659242.1
OG0001289	NP_001261265.1	XP_021694157.1
OG0001290	NP_649797.2, NP_650324.1	XP_001660794.2
OG0001290	NP_651092.1	XP_021695080.1
OG0001291	NP_001163636.1	XP_001655206.2, XP_021712045.1
OG0001293	NP_649850.1	XP_001658202.2
OG0001294	NP_611855.1	XP_001662562.1, XP_021712306.1
OG0001295	NP_724562.2	XP_001655925.2, XP_021699425.1
OG0001296	NP_001369075.1	XP_021696702.1
OG0001298	NP_001163084.1	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1
OG0001300	NP_001259918.1	XP_001650130.2
OG0001301	NP_001188545.1	XP_021696109.1
OG0001302	NP_001188695.1	XP_021704073.1
OG0001303	NP_001261027.1	XP_021709459.1, XP_021709460.1
OG0001304	NP_001246121.1	XP_001649076.2
OG0001305	NP_001261304.1	XP_021712565.1, XP_021696722.1
OG0001306	NP_001262403.1	XP_021705682.1
OG0001307	NP_001188960.1	XP_021701845.1
OG0001307	NP_001356969.1	XP_021695213.1
OG0001308	NP_001245739.1, NP_727344.1	XP_021706251.1
OG0001310	NP_650685.1	XP_001647946.2
OG0001312	NP_001285588.1	XP_001654151.1
OG0001313	NP_611656.2, NP_001286926.1, NP_728791.1, NP_001303369.1, NP_649015.2	XP_021707935.1, XP_001660159.2
OG0001314	NP_001246531.1	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1
OG0001315	NP_001285099.1, NP_728935.1	XP_001663877.1, XP_021699529.1
OG0001316	NP_001246495.1	XP_021698705.1
OG0001317	NP_648019.2	XP_021699168.1
OG0001318	NP_001188775.1	XP_021702414.1
OG0001320	NP_651060.1	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1
OG0001322	NP_651570.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001328	NP_001097695.1	XP_021709467.1
OG0001329	NP_647948.1	XP_001657589.2
OG0001330	NP_001246537.1	XP_001652750.1
OG0001331	NP_001260303.1	XP_001654299.1
OG0001332	NP_650887.1, NP_570011.1	XP_001652269.1
OG0001333	NP_649539.1	XP_001651256.1
OG0001334	NP_001287343.1	XP_001650222.1, XP_001654443.1
OG0001335	NP_609362.1	XP_001649624.2, XP_001649625.2
OG0001336	NP_001162901.1	XP_021703688.1, XP_021703684.1
OG0001337	NP_612097.1	XP_021707110.1
OG0001338	NP_572855.1	XP_001660476.2
OG0001339	NP_001260727.1	XP_001654036.2
OG0001340	NP_001284961.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	NP_001259867.1	XP_021695378.1
OG0001342	NP_001138093.1	XP_021707182.1
OG0001343	NP_477025.1	XP_001662179.2
OG0001344	NP_652315.2	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1
OG0001345	NP_648955.1	XP_001661090.1
OG0001346	NP_001097946.1	XP_001648900.1, XP_021707707.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_001659204.1
OG0001348	NP_608350.2	XP_001661832.1
OG0001349	NP_477480.1	XP_001654544.1
OG0001350	NP_788708.2	XP_001655317.2
OG0001351	NP_001246931.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	NP_731459.2	XP_021705226.1
OG0001353	NP_001261357.1	XP_001656906.2
OG0001354	NP_611792.1	XP_001663103.2
OG0001355	NP_572529.2	XP_021710337.1
OG0001356	NP_001014559.1	XP_021696915.1
OG0001359	NP_001259064.1	XP_001655316.1
OG0001361	NP_650778.2	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	NP_001287357.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_001659788.1
OG0001364	NP_001188754.1	XP_021704232.1
OG0001365	NP_001260427.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001366	NP_648508.1	XP_001659892.2
OG0001367	NP_001285525.1	XP_001648364.2
OG0001367	NP_609868.1, NP_609869.1, NP_724098.2	XP_001657924.1
OG0001367	NP_609173.2, NP_001033883.2	XP_001654932.2, XP_001654934.2, XP_001660482.1, XP_001660484.1, XP_001660483.1, XP_021701594.1, XP_001657925.2
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	NP_001303363.1	XP_001661015.2
OG0001370	NP_001162973.2	XP_021711931.1, XP_001650631.2
OG0001371	NP_610796.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	NP_610444.2	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	NP_731872.1	XP_021694453.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_001657485.1
OG0001375	NP_001261379.1	XP_021699017.1, XP_021699013.1
OG0001376	NP_001162697.1	XP_021704527.1
OG0001377	NP_572840.1	XP_001664237.1
OG0001378	NP_572402.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	NP_723501.2	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	NP_001036421.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	NP_650889.1	XP_001648807.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	NP_001036470.1	XP_001662373.2
OG0001384	NP_001285453.1	XP_001660023.2
OG0001385	NP_001260880.1	XP_021698595.1
OG0001386	NP_001286474.1	XP_021698247.1
OG0001387	NP_609412.1	XP_001656936.1
OG0001388	NP_572320.2, NP_732840.1	XP_021711868.1, XP_021710112.1
OG0001389	NP_788300.3	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	NP_001286120.1	XP_021700843.1
OG0001391	NP_001163354.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	NP_001246912.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_021696289.1, XP_021696288.1
OG0001394	NP_729025.1	XP_001650424.1
OG0001395	NP_001137624.1	XP_021696363.1, XP_021696349.1
OG0001396	NP_001245761.1, NP_523412.1	XP_001662596.2, XP_021699720.1
OG0001397	NP_649764.1	XP_021712502.1, XP_021693812.1
OG0001398	NP_001246972.1, NP_523949.2	XP_001657045.2, XP_021694877.1
OG0001399	NP_569982.1	XP_001651707.1
OG0001400	NP_724042.1	XP_021703961.1
OG0001400	NP_001188828.1, NP_788071.3	XP_021703962.1
OG0001401	NP_524675.1	XP_001660577.1
OG0001402	NP_612065.1	XP_001664062.1
OG0001403	NP_001259193.1, NP_733426.1	XP_021710754.1, XP_001650547.1
OG0001404	NP_609110.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	NP_731223.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	NP_001015132.1	XP_021712670.1
OG0001407	NP_001262226.1	XP_021704231.1, XP_021704230.1
OG0001408	NP_001163646.1	XP_021713401.1
OG0001409	NP_001162657.1	XP_021711099.1
OG0001410	NP_523844.2	XP_021708563.1
OG0001413	NP_001261618.1	XP_021710502.1
OG0001413	NP_001303415.1	XP_021694446.1
OG0001414	NP_608864.1	XP_021702146.1
OG0001415	NP_996016.2	XP_021699093.1
OG0001416	NP_723870.1	XP_021700673.1
OG0001417	NP_611932.2	XP_021695666.1
OG0001418	NP_001162911.1	XP_021702027.1
OG0001419	NP_001260403.1	XP_021703807.1
OG0001420	NP_650569.1	XP_001655783.1
OG0001420	NP_651139.1	XP_001652599.2
OG0001421	NP_649899.1	XP_001657115.1
OG0001422	NP_001189074.1	XP_001650075.2
OG0001423	NP_729234.2	XP_001659271.2
OG0001424	NP_001262495.1	XP_001648513.1
OG0001425	NP_788574.3	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	NP_001163056.1	XP_021701495.1
OG0001427	NP_648499.1	XP_001660203.1
OG0001428	NP_608929.1	XP_001647790.2
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_001650121.1
OG0001430	NP_001287466.1	XP_001654175.2, XP_021708114.1
OG0001431	NP_649852.2, NP_001247289.1	XP_001654765.2
OG0001432	NP_001188923.1, NP_611185.3	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2
OG0001434	NP_788618.1, NP_649928.1	XP_001663415.1
OG0001436	NP_650868.1, NP_649289.2	XP_021697897.1
OG0001437	NP_001286742.1	XP_021700178.1
OG0001438	NP_727644.3	XP_021708714.1, XP_021704285.1
OG0001440	NP_611647.1	XP_021706240.1
OG0001441	NP_001027574.2	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1
OG0001442	NP_001287592.1	XP_021706881.1
OG0001443	NP_001096850.2	XP_021706948.1, XP_021711425.1
OG0001444	NP_001034052.2	XP_021708725.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_021712815.1
OG0001446	NP_648358.2	XP_021713062.1, XP_021713058.1
OG0001453	NP_001285826.1	XP_001652827.1, XP_001652828.1, XP_001652829.1
OG0001455	NP_610092.2	XP_001659135.1, XP_001649843.1
OG0001456	NP_001286295.1	XP_021706989.1
OG0001457	NP_001163688.1	XP_001656531.1
OG0001458	NP_476858.1	XP_021709031.1
OG0001459	NP_001097610.1	XP_001649804.1
OG0001459	NP_001263148.1	XP_001658793.2
OG0001460	NP_476848.1	XP_001663584.2
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_001649395.2
OG0001462	NP_001262421.1	XP_021710250.1, XP_021710252.1
OG0001463	NP_649574.1	XP_021706165.1, XP_021706164.1
OG0001464	NP_651592.2	XP_001656398.1, XP_001664152.2
OG0001464	NP_569871.2, NP_001246485.1	XP_001651087.1, XP_001651086.1
OG0001465	NP_001189124.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	NP_569951.1, NP_611911.1	XP_001652327.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_001649724.2
OG0001468	NP_001260652.1	XP_001648269.1
OG0001469	NP_523568.2	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	NP_648768.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_001657926.1
OG0001472	NP_001286770.1	XP_001656628.1
OG0001473	NP_001287361.1	XP_021699212.1
OG0001474	NP_609560.2, NP_569850.1	XP_001662447.1
OG0001475	NP_001368987.1	XP_001664045.2
OG0001477	NP_001014453.1	XP_001654194.2
OG0001478	NP_001285042.1	XP_021711922.1, XP_021699182.1
OG0001479	NP_001036624.1	XP_001655863.1
OG0001480	NP_524533.1	XP_021708351.1
OG0001481	NP_001286181.1	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1
OG0001482	NP_651924.2	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2
OG0001483	NP_001262996.1	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1
OG0001484	NP_001188579.1	XP_021713154.1, XP_021707140.1, XP_021707142.1, XP_021707144.1, XP_021707145.1, XP_021707146.1, XP_021707138.1, XP_021707137.1, XP_021707141.1, XP_021707139.1, XP_021707143.1
OG0001485	NP_569913.1	XP_001657384.1, XP_021712680.1
OG0001485	NP_523596.2	XP_021700466.1
OG0001486	NP_476764.1	XP_001648831.2, XP_021701667.1, XP_001659833.2
OG0001487	NP_001188904.1	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1
OG0001488	NP_001189108.1	XP_021710667.1
OG0001489	NP_648555.1	XP_021696755.1, XP_021696757.1, XP_021696756.1, XP_021696759.1, XP_021696758.1, XP_021696752.1, XP_021696753.1, XP_021696750.1, XP_021696751.1, XP_021696749.1, XP_021696754.1
OG0001490	NP_001246899.1	XP_021701945.1, XP_021701935.1
OG0001492	NP_001263168.1	XP_001662155.1, XP_001654105.1, XP_021713033.1
OG0001493	NP_001262195.1	XP_021698974.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_021697267.1, XP_021697268.1, XP_021697269.1
OG0001495	NP_612063.2	XP_021707805.1
OG0001496	NP_609203.1	XP_021695727.1, XP_011493651.1, XP_001655836.1
OG0001497	NP_001260853.1	XP_021707615.1
OG0001498	NP_729823.2	XP_021697831.1
OG0001499	NP_572167.3	XP_001651889.2
OG0001500	NP_730859.1	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1
OG0001501	NP_001303373.1	XP_021712753.1, XP_021699608.1
OG0001502	NP_001261464.1	XP_021699619.1
OG0001503	NP_665880.2	XP_021702842.1, XP_021702843.1, XP_021702844.1
OG0001504	NP_001261440.1	XP_001658122.1, XP_021698045.1, XP_021698047.1, XP_021698046.1, XP_021698048.1
OG0001505	NP_001097527.1	XP_001660600.2, XP_021704345.1
OG0001507	NP_001287269.1	XP_021713312.1
OG0001508	NP_001138130.2	XP_001658818.2
OG0001509	NP_001261116.1	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1
OG0001510	NP_001284936.1	XP_021707687.1
OG0001511	NP_649151.1	XP_001654598.1, XP_021697822.1
OG0001514	NP_001188550.1	XP_001655385.1, XP_021705456.1
OG0001515	NP_001259809.1	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_001657534.2
OG0001517	NP_731242.1	XP_021712247.1
OG0001518	NP_001036462.1	XP_021702663.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_021695723.1, XP_021695724.1
OG0001520	NP_572480.1, NP_001368953.1	XP_001659529.1
OG0001521	NP_523422.4	XP_001663347.2
OG0001522	NP_001096867.3	XP_021710700.1
OG0001524	NP_001261067.1	XP_021693893.1, XP_021693937.1
OG0001525	NP_477026.1	XP_021706611.1, XP_021706609.1, XP_021706610.1
OG0001526	NP_001369078.1	XP_021699965.1, XP_021699966.1, XP_021699961.1
OG0001527	NP_001259089.1	XP_021705511.1, XP_001659060.1
OG0001529	NP_001162930.1	XP_001653365.2, XP_001653366.2
OG0001530	NP_611501.1	XP_001659200.1
OG0001531	NP_651595.1	XP_001654172.1, XP_021711999.1
OG0001532	NP_001162665.1	XP_021705174.1
OG0001533	NP_728534.2	XP_021697618.1
OG0001534	NP_731923.2	XP_021707804.1
OG0001535	NP_001261999.1	XP_001654088.2
OG0001536	NP_648357.1	XP_021698558.1, XP_021698552.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_021710074.1, XP_001655561.2
OG0001539	NP_524017.1	XP_001655433.2
OG0001540	NP_610693.1, NP_610694.1	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1
OG0001541	NP_001261940.1	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1
OG0001542	NP_609207.1	XP_021703912.1
