Orthogroup	Drosophila_melanogaster	Nasonia_vitripennis
OG0001664	NP_648183.3	XP_032455099.1
OG0001665	NP_001014619.2	XP_031786788.1
OG0001666	NP_001163472.1, NP_649145.1	XP_001606145.2
OG0001669	NP_001287417.1	XP_031788032.1, XP_032456034.1
OG0001670	NP_001138149.1	XP_031781642.1
OG0001671	NP_732316.2	XP_008202575.1, XP_032451770.1
OG0001672	NP_001246400.1	XP_001606256.1
OG0001674	NP_001260539.1	XP_008213000.1
OG0001675	NP_001261382.1	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1
OG0001676	NP_001163073.2	XP_001604719.1, XP_008210900.1, XP_008210901.1
OG0001677	NP_001260561.1	XP_031780122.1, XP_008217767.1, XP_008217768.1
OG0001679	NP_611460.1	XP_001606876.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1
OG0001681	NP_001163282.1	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1
OG0001682	NP_001285158.1	XP_031778882.1, XP_031778892.1
OG0001684	NP_001368993.1	XP_008214622.1
OG0001685	NP_001097520.2	XP_001601619.1, XP_008209389.1
OG0001686	NP_731649.2	XP_031786365.1
OG0001687	NP_609069.1	XP_008205605.1
OG0001688	NP_001104382.3	XP_016838655.1, XP_016838654.1
OG0001690	NP_652015.1	XP_016838526.1, XP_031780708.1
OG0001693	NP_001245400.1	XP_016844904.1, XP_016844903.1
OG0001694	NP_610256.1	XP_001601595.2, XP_008214379.1
OG0001695	NP_001262760.1	XP_001605495.2
OG0001696	NP_001247156.1	XP_016839940.1, XP_016839935.1
OG0001697	NP_001245797.1	XP_008214784.1, XP_031786212.1
OG0001699	NP_733303.2	XP_001605545.2
OG0001700	NP_001189311.1	XP_003425515.2
OG0001701	NP_995862.1	XP_001603038.2
OG0001702	NP_651170.1	XP_001602772.2
OG0001703	NP_001262871.1, NP_651242.1	XP_031783612.1
OG0001704	NP_001356971.1	XP_031784623.1
OG0001706	NP_001247116.1	XP_001607299.1
OG0001707	NP_001262589.2	XP_031784085.1, XP_031784087.1
OG0001708	NP_001287390.1	XP_032456367.1
OG0001709	NP_001303494.1	XP_031778401.1, XP_016838351.2
OG0001710	NP_573217.1, NP_730784.1	XP_001607529.1
OG0001711	NP_608741.1	XP_001604450.1
OG0001712	NP_001188885.2	XP_016840038.1, XP_003426087.1
OG0001713	NP_001033943.2	XP_031781853.1, XP_008205133.1
OG0001714	NP_649156.1	XP_001603310.1, XP_031784875.1
OG0001715	NP_001285698.1	XP_001602678.2
OG0001716	NP_001163671.1	XP_031788831.1
OG0001717	NP_611675.2	XP_031780580.1, XP_031780579.1, XP_031780581.1
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	NP_001123321.1
OG0001719	NP_001245568.1	XP_016839634.1, XP_031782819.1
OG0001720	NP_610938.1	XP_001603454.1
OG0001722	NP_723401.1	XP_001599948.2
OG0001724	NP_001261391.1	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1
OG0001725	NP_524401.2	XP_008206905.1
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_016839031.1
OG0001727	NP_001036351.2	XP_031779917.1
OG0001728	NP_001286002.1	XP_031778302.1, XP_031778296.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_016845767.1
OG0001731	NP_572995.1, NP_001163445.1	XP_001602845.2
OG0001732	NP_651725.1	XP_032454981.1, XP_001600976.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_031779561.1
OG0001734	NP_608563.1	XP_031784313.1, NP_001123274.2
OG0001735	NP_609387.1	XP_031777893.1
OG0001736	NP_001097937.1	XP_008208106.2, XP_016837375.1
OG0001737	NP_001259675.1, NP_001033853.1	XP_001608059.1
OG0001738	NP_001014543.1	XP_031778432.1
OG0001740	NP_001036555.1	XP_031785471.1
OG0001742	NP_733224.2	XP_031777878.1
OG0001743	NP_001285126.1	XP_003424504.1
OG0001744	NP_651315.2	XP_032456693.1, XP_008207057.1
OG0001745	NP_650743.1	NP_001123290.1, XP_016843823.1
OG0001746	NP_524852.2	XP_008215090.1, XP_001601463.1, XP_008215089.1
OG0001748	NP_001189227.1	XP_031782214.1, XP_031782223.1
OG0001749	NP_001036722.1	XP_031782462.1, XP_031782476.1
OG0001750	NP_001261148.1	XP_008214524.1, NP_001177690.1
OG0001751	NP_001286159.1	XP_031788400.1
OG0001753	NP_523391.3	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1
OG0001754	NP_651671.1	XP_001605050.1
OG0001755	NP_573318.1, NP_609759.1	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1
OG0001756	NP_649646.3	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1
OG0001758	NP_001163069.1	XP_001606851.1
OG0001759	NP_001287202.1	XP_001603531.2
OG0001760	NP_732069.3	XP_008215927.1
OG0001761	NP_001188832.1	XP_032452364.1, XP_001603471.2
OG0001762	NP_001261764.1	XP_016837803.1
OG0001763	NP_650223.1	XP_001606327.2, NP_001153433.1
OG0001764	NP_001287421.2, NP_650876.1	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1
OG0001765	NP_731461.1	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1
OG0001767	NP_723294.1	XP_008207626.1
OG0001768	NP_572805.1	XP_001607572.2
OG0001771	NP_727732.1, NP_001097831.1	XP_003427532.1
OG0001774	NP_476778.1	XP_032453470.1, XP_032453469.1, XP_016837512.1
OG0001775	NP_523735.2	XP_031785563.1
OG0001776	NP_620470.1	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1
OG0001777	NP_001245758.1	XP_001599602.1
OG0001778	NP_001262233.1	XP_001606733.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	XP_031779220.1
OG0001780	NP_610617.1	XP_001600215.1, XP_001601642.1
OG0001781	NP_650423.1	XP_008207023.1
OG0001782	NP_649000.1	XP_001599355.1
OG0001783	NP_647892.1	XP_016843291.1
OG0001784	NP_001163585.1	XP_031783677.1, XP_031783676.1
OG0001785	NP_524416.1	XP_001604175.2
OG0001786	NP_001260689.1	XP_001608245.1, XP_032457057.1
OG0001787	NP_648786.1	XP_008215237.1
OG0001788	NP_724103.1	XP_031780973.1, XP_031780965.1
OG0001789	NP_651728.1	XP_001604882.1, XP_031785410.1, XP_032455592.1
OG0001790	NP_649460.3	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1
OG0001791	NP_572504.1	XP_001608149.1
OG0001792	NP_611734.1	XP_001600760.1
OG0001793	NP_608828.2	XP_008214898.1
OG0001794	NP_001259442.1	XP_001605396.1
OG0001796	NP_477212.1	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2
OG0001797	NP_523830.2	XP_031778511.1, XP_008207962.1
OG0001799	NP_001260496.1	XP_001603027.1, XP_031784347.2, XP_001603141.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_001603293.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_031786470.1
OG0001802	NP_001162765.1	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1
OG0001803	NP_001015387.1	XP_008216245.1
OG0001804	NP_728575.2, NP_612081.1	XP_008216463.1
OG0001805	NP_649038.1, NP_730334.2	XP_016841795.1, NP_001155144.1, XP_008201766.1
OG0001806	NP_610087.2	XP_031778822.1, XP_031778823.1
OG0001807	NP_001286460.1	XP_008210360.2
OG0001808	NP_650163.2, NP_650840.1	NP_001136342.1
OG0001809	NP_609837.1	XP_001599542.2
OG0001810	NP_001246271.1	XP_031778732.1
OG0001811	NP_001262677.1	XP_001604243.1
OG0001812	NP_001259970.1	XP_016838603.1
OG0001813	NP_611350.1	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1
OG0001814	NP_524758.1	XP_001606172.1
OG0001815	NP_476667.1, NP_001246493.1	XP_016843551.1
OG0001816	NP_648106.1	XP_001600797.1, XP_001602430.1
OG0001818	NP_001285489.1	XP_032452105.1, XP_001606225.1
OG0001820	NP_649757.1	XP_001601107.1
OG0001821	NP_001287100.1	XP_001606303.4, XP_008203951.2
OG0001822	NP_995873.2	XP_001603912.2, XP_008202668.1
OG0001823	NP_609767.2, NP_001260489.1	NP_001135434.1
OG0001824	NP_001356918.1	XP_031782171.1
OG0001826	NP_610191.2	XP_001606320.1
OG0001827	NP_001261341.1	XP_031784416.1
OG0001828	NP_477184.1	XP_031782069.1, XP_001600397.1
OG0001829	NP_511153.1	XP_001607001.1
OG0001830	NP_001189170.1	XP_008210294.1
OG0001831	NP_648895.1	XP_031788055.1
OG0001832	NP_611293.3	XP_031787912.1, XP_031787911.1
OG0001833	NP_001262071.1	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1
OG0001834	NP_725449.1, NP_611238.2, NP_001285657.1	NP_001165788.1
OG0001835	NP_648567.2, NP_729801.1	XP_031784847.1
OG0001836	NP_001097041.2	XP_032452667.1
OG0001838	NP_649809.1	XP_003425218.1
OG0001839	NP_001287516.1, NP_524496.1	XP_031778745.1
OG0001840	NP_001287291.1	XP_003427589.1
OG0001841	NP_649554.1	XP_001600825.2
OG0001843	NP_001163392.1	XP_032452489.1
OG0001844	NP_733332.1	XP_001600994.2
OG0001845	NP_649732.1	XP_001599772.1, XP_001599672.1, XP_031785182.1
OG0001846	NP_788721.1	XP_001602119.1
OG0001847	NP_001163705.1	XP_031784075.1, NP_001135845.1
OG0001848	NP_610735.1	XP_016837498.2
OG0001850	NP_001097569.1	XP_016838533.1, XP_032452540.1, XP_032452543.1, XP_032452537.1, XP_032452534.1, XP_001603955.2
OG0001851	NP_524795.2	XP_031781505.1
OG0001852	NP_611258.2	XP_031783963.1
OG0001853	NP_001285407.1	XP_031779560.1, XP_031779559.1
OG0001854	NP_610231.2, NP_525107.1, NP_536747.2	XP_003424613.1
OG0001855	NP_001097922.1	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1
OG0001856	NP_650446.2	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1
OG0001858	NP_651605.1	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1
OG0001859	NP_001261279.1, NP_608679.1	XP_031788809.1
OG0001860	NP_001286627.1	XP_008208667.1, XP_016838277.1
OG0001861	NP_524274.1	XP_031779274.1, XP_001604531.1
OG0001862	NP_001096954.1	XP_032455409.1, XP_032455410.1, XP_016840903.1
OG0001864	NP_001259978.1	XP_008216930.1, XP_008216933.1
OG0001865	NP_001036440.1	XP_008213688.1
OG0001866	NP_610462.3	XP_001607499.1, XP_001607501.2, XP_031779743.1
OG0001867	NP_651658.1	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1
OG0001868	NP_732113.3	XP_003423929.1, XP_003423930.1
OG0001869	NP_477402.1	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1
OG0001870	NP_001285457.1	XP_008213110.1, XP_008213111.1, XP_008213109.1
OG0001871	NP_572522.2	XP_001602810.2
OG0001872	NP_536773.1	XP_001606141.1
OG0001873	NP_730982.1	NP_001135849.1, XP_031789337.1, XP_031789333.1
OG0001874	NP_477024.1	XP_031783282.1
OG0001875	NP_511130.2	XP_016843737.2, XP_031787829.1
OG0001876	NP_001368952.1	XP_008202206.1, XP_008202205.1
OG0001877	NP_001014498.1	XP_031787040.1, XP_016841057.1
OG0001878	NP_001259740.1, NP_001260348.1	XP_031783645.1
OG0001879	NP_652101.2	XP_001606632.2
OG0001880	NP_001033948.1	XP_031786774.1, XP_031786778.1, XP_031786771.1
OG0001881	NP_722959.1	XP_001604825.1, XP_003425165.1
OG0001882	NP_001188575.1	XP_031781968.1, XP_031781973.1
OG0001883	NP_650805.1	XP_001600206.1
OG0001885	NP_001262303.1	XP_008214621.1
OG0001886	NP_001261166.1	XP_031785450.1
OG0001887	NP_723772.2	XP_016840834.1
OG0001888	NP_001286416.1	XP_001604555.2, XP_031781367.1
OG0001889	NP_651593.1	XP_001608169.1
OG0001891	NP_476733.1	XP_016840682.1, XP_031785164.1
OG0001892	NP_001245925.1, NP_611294.1	XP_031780675.1
OG0001893	NP_477049.2	XP_031780757.1
OG0001894	NP_001137875.1	XP_008210932.1
OG0001895	NP_524651.2	XP_031787844.1, XP_031787851.1, XP_031787846.1
OG0001896	NP_609570.1	XP_016838553.1, XP_016838549.1
OG0001897	NP_611140.3	XP_001601168.1
OG0001898	NP_001263035.1	XP_031786285.1, XP_031786233.1, XP_001604787.3, XP_016843937.1
OG0001899	NP_724878.2	XP_016841545.1
OG0001900	NP_001259735.1	XP_001606107.2
OG0001901	NP_651080.2	XP_001604350.2
OG0001902	NP_001286818.1	XP_001605445.1
OG0001903	NP_001285675.1	XP_016844247.1
OG0001905	NP_001287263.1	XP_031785555.1
OG0001906	NP_001245625.1	XP_032458034.1
OG0001908	NP_650314.1	NP_001155084.1, XP_008207737.1
OG0001909	NP_001033913.1	XP_032456056.1
OG0001910	NP_648745.1	XP_008201822.1
OG0001912	NP_001286124.1	XP_008216537.1
OG0001913	NP_524909.1	XP_016844726.1
OG0001914	NP_608998.2, NP_001188704.1	XP_016838374.1
OG0001915	NP_001014612.1	XP_003427521.1, XP_003427523.1
OG0001916	NP_648272.1	XP_008215942.1, XP_032456961.1
OG0001917	NP_611237.2	XP_008203737.1, XP_008203739.1, XP_031782066.1, XP_031782067.1
OG0001919	NP_610950.2	XP_031788736.1, XP_031788448.1, XP_008212485.1
OG0001920	NP_608361.3	XP_008215501.1, XP_001607287.1
OG0001921	NP_001036438.1	XP_001604700.1
OG0001922	NP_001246140.1	XP_031779099.1, XP_031779098.1, XP_031779100.1
OG0001923	NP_726381.1	XP_008209458.1
OG0001924	NP_609384.1	XP_031782567.1
OG0001925	NP_476618.1	XP_001607740.1, XP_008203086.1, XP_031777813.1
OG0001926	NP_609736.1	XP_003426826.1
OG0001927	NP_524688.1	XP_031788331.1, XP_016842024.1
OG0001928	NP_001261246.1	XP_016844845.2
OG0001929	NP_001260566.1, NP_001260567.1	XP_031780127.1
OG0001930	NP_650547.1	XP_031779200.1
OG0001931	NP_001097135.1	XP_031777740.1, XP_001607753.1, XP_032451803.1
OG0001933	NP_524431.2	XP_031778152.1, XP_003425501.1
OG0001935	NP_001015254.1	XP_003427326.1
OG0001936	NP_001286158.1	NP_001164386.1, XP_031777853.1
OG0001937	NP_001259619.1	XP_032452144.1, NP_001128389.1, NP_001128390.1
OG0001938	NP_001286427.1	XP_031787199.1, XP_001603831.2
OG0001939	NP_649157.1	XP_031777252.1, XP_008215319.1, XP_008215317.1, XP_008215320.1, XP_001606070.1
OG0001940	NP_001287364.1	XP_008214308.2
OG0001941	NP_001368962.1	XP_032452908.1, XP_008209803.1
OG0001942	NP_001260565.1, NP_476804.1	XP_008208407.1
OG0001943	NP_001188918.1, NP_651214.2	XP_031781572.1
OG0001944	NP_001163494.1	XP_008206976.2, XP_031786898.1
OG0001945	NP_572873.2	XP_016844038.1, XP_031785446.1
OG0001946	NP_001303420.1	XP_003425284.1, XP_003425283.1, XP_008201901.1
OG0001947	NP_649796.1	XP_031779520.1, XP_031779522.1
OG0001949	NP_001285813.1	XP_008216747.1, XP_031777065.1, XP_032451847.1, XP_032451848.1
OG0001950	NP_001261595.1	XP_001606793.1
OG0001951	NP_726846.1	XP_008205666.1
OG0001952	NP_001245466.1	XP_031776867.1, XP_031776838.1
OG0001953	NP_788450.1	XP_031787744.1
OG0001954	NP_001263037.1	XP_008206918.1
OG0001956	NP_610804.1	XP_008216697.1, XP_032453954.1
OG0001957	NP_001284857.1, NP_647754.1, NP_570058.1, NP_569912.2, NP_724707.1, NP_610987.1, NP_648614.1, NP_573069.1	XP_008209339.1
OG0001959	NP_649972.1	XP_001604806.1
OG0001960	NP_001261726.1, NP_524993.3, NP_001027247.1	XP_016844932.1, XP_016844931.1, XP_016844929.1
OG0001961	NP_001286875.1	XP_032453532.1, XP_001603588.2, XP_032453533.1
OG0001962	NP_609989.1, NP_609990.1, NP_001188850.1	XP_008206753.1
OG0001963	NP_648053.1	XP_008213483.1
OG0001964	NP_001287227.1	XP_031784293.1, NP_001122409.2
OG0001965	NP_001285968.1, NP_723939.1, NP_728540.1, NP_612051.1	XP_031779566.1, XP_016841474.1
OG0001966	NP_001286827.1	XP_001607784.1
OG0001967	NP_001262353.1	XP_008205423.1, NP_001155989.1, NP_001155990.1
OG0001968	NP_001097756.1	XP_016843785.1, XP_031787537.1
OG0001969	NP_001259204.1	XP_003427305.1
OG0001971	NP_723787.1	XP_016838128.1
OG0001973	NP_726095.2	XP_032456675.1, XP_031787668.1
OG0001974	NP_648645.1	XP_016842541.1, XP_016842540.1, XP_008202112.1, XP_008202114.1, XP_003425404.1, XP_032453528.1, XP_008202110.1
OG0001975	NP_001260979.1	XP_001603045.2, XP_016839305.1
OG0001976	NP_001138150.1	XP_016844202.1
OG0001977	NP_611067.2	XP_001602111.4
OG0001981	NP_649298.2, NP_001262144.1, NP_001287140.1	XP_008203612.1
OG0001987	NP_001356937.1	XP_008216612.1
OG0001988	NP_524001.2	XP_008212767.1, XP_031781386.1
OG0001989	NP_001260098.1, NP_001284837.1	XP_001607213.1
OG0001990	NP_788760.1	XP_001599614.1
OG0001991	NP_001262998.1	XP_032455315.1, XP_001600190.1
OG0001992	NP_001245552.1	XP_031778961.1
OG0001993	NP_611538.1	XP_001601230.1, XP_032456076.1, XP_008218092.1
OG0001994	NP_651072.1	XP_003427198.1
OG0001995	NP_523355.2	NP_001152805.1, XP_031781693.1
OG0001996	NP_524991.1, NP_649393.1, NP_724787.1	XP_001605457.3
OG0001997	NP_996267.1	XP_031777941.1, XP_031778184.1, XP_001606900.1
OG0001998	NP_651780.1	XP_001599579.1
OG0001999	NP_523428.1	XP_032457883.1, XP_001599709.1, XP_032457880.1, XP_032457881.1, XP_032457882.1
OG0002000	NP_726490.3	XP_016844725.1, XP_016844723.1
OG0002001	NP_001285572.1	XP_001603234.1
OG0002002	NP_001027274.2, NP_001260458.1	XP_001603956.3
OG0002003	NP_001259998.1	XP_008216922.1, XP_008216920.1, XP_008216921.1, XP_008216919.1, XP_032455996.1
OG0002004	NP_650776.1	XP_016845815.1, XP_032454966.1
OG0002005	NP_647640.1	XP_031778969.1
OG0002006	NP_001247376.1, NP_001247375.1	XP_031785912.1
OG0002007	NP_001261689.1	XP_008216173.1
OG0002009	NP_001027401.1	XP_001604479.1
OG0002010	NP_651600.1	XP_008203068.1, XP_001604399.2, XP_016841702.1
OG0002011	NP_001286589.1	XP_008212650.2
OG0002012	NP_001014582.1, NP_524041.2	XP_016838708.1, NP_001107659.1
OG0002014	NP_476562.1	XP_031787229.1, XP_031787226.1
OG0002015	NP_609782.2	XP_016844027.1
OG0002016	NP_788448.1	XP_031779048.1, XP_016839175.2
OG0002017	NP_610188.2	XP_031787864.1
OG0002018	NP_648586.2	XP_031777015.1, XP_031777016.1, XP_008212302.1, XP_031777014.1
OG0002019	NP_001137910.2	XP_001608101.2
OG0002020	NP_732549.2	XP_031783950.1, XP_031783940.1
OG0002022	NP_726406.1	XP_001605064.1, XP_008209116.1
OG0002023	NP_001245577.1	XP_008214719.1
OG0002024	NP_610095.1	XP_032454164.1, XP_001604471.2
OG0002025	NP_649877.1	NP_001153367.1
OG0002026	NP_001259298.1	XP_016837634.1
OG0002028	NP_001263045.1, NP_001036699.1	XP_016845934.1, XP_031788360.1, XP_001608170.1
OG0002029	NP_610059.1	XP_008212219.2, XP_016844343.1
OG0002032	NP_001286795.1	XP_016843474.1
OG0002034	NP_001163027.1, NP_001189073.1	XP_008214477.1, XP_031782282.1
OG0002035	NP_611093.2	XP_008205234.1, XP_003424300.1
OG0002036	NP_001286548.1	XP_008214272.1
OG0002037	NP_524660.1	XP_001599027.3
OG0002038	NP_608372.1	XP_032456776.1, XP_008211018.3
OG0002041	NP_647887.1	XP_031785024.1, XP_031785028.1
OG0002042	NP_001137671.1, NP_610099.1	XP_003426486.1, XP_001607860.1
OG0002043	NP_001034012.2	XP_001607464.2
OG0002044	NP_001263139.1	XP_008215356.1
OG0002045	NP_477311.1	XP_008215622.1, XP_001607677.1, XP_008215620.1, XP_031777102.1
OG0002046	NP_001097124.1	XP_001603683.1, XP_032455402.1
OG0002047	NP_001189286.1	XP_016838908.1
OG0002048	NP_001247185.1	XP_008204673.1
OG0002049	NP_732811.1	XP_008206879.1
OG0002050	NP_001285355.1	XP_001608046.1
OG0002051	NP_611681.1, NP_001286736.1, NP_611610.2, NP_001246460.1, NP_001286724.1, NP_523809.2, NP_001261050.1	XP_008205727.1
OG0002052	NP_611508.1	XP_031778328.1, NP_001153369.1
OG0002053	NP_610530.1	XP_016838347.1, XP_001603104.1, XP_032452535.1
OG0002054	NP_524677.1	XP_031786975.1
OG0002055	NP_001259900.1, NP_572902.1	XP_003424937.1
OG0002056	NP_524907.2	XP_008209991.2
OG0002057	NP_609888.2	XP_001602070.1
OG0002058	NP_609119.2	XP_031786224.1
OG0002059	NP_648185.1	XP_008208388.1
OG0002060	NP_726403.2	XP_001599552.2
OG0002061	NP_001036338.1	XP_001602037.2
OG0002063	NP_001285001.1	XP_001605407.1
OG0002064	NP_001356982.1	XP_031783669.1
OG0002065	NP_001284967.1	XP_016845620.1, XP_031778190.1, XP_032454231.1
OG0002066	NP_649869.1	XP_001607955.1
OG0002067	NP_651116.1	XP_032457341.1
OG0002068	NP_611856.1	XP_003424103.1, XP_008212711.1, XP_001607337.1
OG0002069	NP_652610.1	XP_008210554.1, XP_032457897.1, XP_032457896.1, XP_032457895.1, XP_008217350.1, XP_031784234.1, XP_031784235.1
OG0002070	NP_650941.3	XP_001602392.2, XP_008202567.1
OG0002071	NP_477372.1	XP_008213859.1, XP_008213860.1, XP_001599472.2
OG0002072	NP_001259984.1	XP_001600089.1
OG0002073	NP_001260394.1	XP_008209652.1, XP_008209654.1, XP_032452871.1, XP_008209657.1, XP_032452870.1, XP_032452869.1, XP_001605084.1
OG0002075	NP_524583.1	NP_001154949.1
OG0002076	NP_001163600.1	XP_001605568.2
OG0002077	NP_724409.3	XP_001607042.1
OG0002078	NP_001259928.1	XP_016840890.1
OG0002080	NP_649990.2	XP_032452276.1, XP_032452277.1, XP_032452279.1, XP_032452278.1, XP_032452274.1, XP_032452280.1, XP_032452275.1, XP_031780715.1, XP_008208770.1
OG0002081	NP_001286545.1	XP_031784467.1, XP_031784464.1
OG0002082	NP_572503.1	XP_001607707.1, XP_031777691.1, XP_008203064.1, XP_008203063.1
OG0002083	NP_648372.1	XP_008207019.1
OG0002084	NP_611677.1	NP_001127786.1, XP_016837015.1
OG0002085	NP_001285316.1	XP_001599415.1
OG0002086	NP_609934.3	XP_016838135.1, XP_008212523.1, XP_008212525.1, XP_008212524.1, XP_031778642.1
OG0002087	NP_572818.1	XP_031777220.1
OG0002088	NP_523833.1	XP_031780040.1, XP_031780039.1, XP_031780041.1
OG0002089	NP_001261563.1	XP_001604238.2
OG0002090	NP_001260029.1	XP_031781496.1, XP_001600915.3
OG0002091	NP_001285049.1, NP_609350.2	XP_001601973.1
OG0002092	NP_788716.1	XP_001599942.1
OG0002093	NP_001262005.1	XP_001605566.1
OG0002094	NP_610207.1, NP_001259341.1, NP_612091.1	XP_001605247.1, XP_031785053.1
OG0002095	NP_733076.2	XP_008204059.1, XP_031786761.1
OG0002096	NP_723086.1	XP_001608008.2
OG0002097	NP_001162716.1, NP_729740.2	XP_001607946.2
OG0002098	NP_477014.1	XP_016840374.1
OG0002099	NP_001262830.1, NP_001262827.1	XP_008216008.1
OG0002100	NP_001285208.1	XP_008207420.1, XP_008207419.1, XP_031787329.1, XP_031787328.1, XP_001608233.1, XP_003426723.1, XP_032456137.1
OG0002101	NP_001014695.1	XP_001603143.3
OG0002102	NP_649939.1	XP_031785420.1
OG0002103	NP_001260451.1	XP_032451939.1, XP_001606938.1, XP_032451940.1, XP_032451941.1, XP_032451938.1, XP_032451937.1
OG0002106	NP_524818.1	XP_008208276.2
OG0002107	NP_523739.2	XP_008208102.1
OG0002108	NP_996185.1	XP_008210355.1
OG0002109	NP_611966.3	XP_001603698.1
OG0002110	NP_996042.1	XP_008210642.1, XP_031782070.1, XP_001602855.1
OG0002111	NP_001261454.1	XP_016841925.1
OG0002113	NP_001262803.1	XP_008215384.2, XP_032451924.1, XP_032451925.1, XP_001606602.1
OG0002114	NP_651508.1	XP_008211284.1, XP_032455550.1
OG0002115	NP_572197.4	XP_008208973.1, XP_031781565.1
OG0002116	NP_573100.1, NP_573105.1, NP_001262467.1	XP_031783439.1
OG0002117	NP_001286076.1	XP_001604118.1
OG0002119	NP_001162779.1	XP_016844267.1, XP_001603237.2
OG0002120	NP_652670.2, NP_610853.1, NP_611671.1	XP_003426708.1
OG0002121	NP_001262679.1	XP_008214914.1
OG0002122	NP_001138057.1	XP_008203237.2
OG0002123	NP_523593.5	XP_032454488.1, XP_031782308.1, XP_016839572.1, XP_016839573.1
OG0002124	NP_001369005.1	XP_031778232.1
OG0002125	NP_608369.1, NP_726887.1, NP_001356931.1	XP_016838894.1
OG0002126	NP_524659.1, NP_652413.1	XP_016843477.1, XP_032455715.1, XP_003426336.1
OG0002127	NP_001261984.1	XP_031783636.1
OG0002128	NP_611499.3	XP_031783799.1
OG0002129	NP_788872.1	XP_001604008.2
OG0002130	NP_001247043.1, NP_001260865.1	XP_003425969.1, XP_001607104.1
OG0002134	NP_001163664.1	XP_001608257.1
OG0002136	NP_608780.1	XP_001606239.2
OG0002137	NP_001286327.1	XP_031781576.1, XP_031781578.1
OG0002138	NP_001262079.1	XP_001599555.1, XP_001599529.1
OG0002139	NP_648894.2	XP_001604554.2
OG0002140	NP_001262599.1	XP_001607907.2
OG0002141	NP_730594.1	XP_001603344.2
OG0002142	NP_001285282.1	XP_031782400.2
OG0002143	NP_524238.1	XP_032456906.1, XP_008207517.1
OG0002144	NP_001261617.1	XP_016845774.2
OG0002145	NP_609877.2	XP_001601117.4
OG0002146	NP_001259153.1	XP_003425852.1, XP_031780257.1
OG0002148	NP_650672.1	XP_003424114.1
OG0002149	NP_726059.5	XP_016843313.1, XP_016843317.2
OG0002150	NP_001036357.2	XP_008214740.1, XP_031786636.1, XP_031786635.1, XP_031786637.1, XP_016845321.1
OG0002151	NP_788891.2	XP_016837769.1
OG0002152	NP_001036397.2	XP_008204427.3
OG0002153	NP_608851.1, NP_511089.2	XP_001602464.2
OG0002154	NP_651555.1	XP_001601186.3, XP_032457037.1, XP_032457038.1, XP_032457039.1
OG0002155	NP_001262777.1	XP_031783561.2, XP_031783560.2
OG0002156	NP_001262888.1	XP_008205333.2, XP_031783076.1
OG0002157	NP_648105.1	XP_032453787.1
OG0002158	NP_001284753.1	XP_003426278.1
OG0002159	NP_001284832.1	XP_016840863.1, XP_032458202.1, XP_032458201.1, XP_003426986.1
OG0002163	NP_001286059.1	XP_016838517.1, XP_008212570.1
OG0002164	NP_001287469.1	XP_031777815.1
