Orthogroup	Drosophila_melanogaster	Tribolium_castaneum
OG0001081	NP_001259757.1, NP_001097171.2, NP_001034004.1	XP_972805.1, XP_008196164.1
OG0001082	NP_001261395.1	XP_974821.1
OG0001084	NP_001261977.1	XP_008193669.1
OG0001085	NP_651472.2, NP_651701.1	XP_015836984.1, XP_966581.1
OG0001090	NP_001015155.1	XP_008193026.1, XP_969238.1
OG0001091	NP_001285121.1, NP_001162839.1	XP_008191347.1
OG0001092	NP_001259168.1	XP_008192984.1, NP_001107766.2
OG0001093	NP_610035.4	XP_967758.1
OG0001094	NP_001259316.1	XP_972722.1
OG0001095	NP_610729.1, NP_001033818.1	XP_974524.1
OG0001096	NP_001097086.1	XP_971402.1
OG0001097	NP_524451.1	XP_973281.1
OG0001098	NP_573359.1	XP_001808476.1
OG0001099	NP_001137972.1	XP_015838140.1
OG0001099	NP_001137973.1	XP_015838137.1
OG0001100	NP_001285120.1	XP_015833017.1, XP_974324.1
OG0001101	NP_650449.1	XP_015835316.1, XP_008192958.1
OG0001102	NP_001284995.1, NP_524884.1	XP_008198777.1, XP_970498.1
OG0001103	NP_001245905.1	NP_001164136.1
OG0001104	NP_610475.1	XP_966537.1
OG0001105	NP_001285263.1, NP_524696.2, NP_788903.1	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1
OG0001106	NP_001097399.1	XP_975213.1
OG0001107	NP_477463.1, NP_477418.1	XP_015835955.1, XP_967711.1
OG0001108	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1	XP_969212.1, XP_969136.1, XP_969065.1
OG0001109	NP_608327.2, NP_001287212.1, NP_001027071.1	XP_015840812.1
OG0001110	NP_001287185.1, NP_001260724.1	XP_008197884.1
OG0001111	NP_001260255.1	XP_975084.1
OG0001112	NP_001245731.1	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1
OG0001113	NP_649587.1	XP_966673.1
OG0001114	NP_788382.1	XP_966885.1, XP_008191103.1
OG0001115	NP_651307.2	XP_968555.2
OG0001116	NP_001284912.1	XP_008199210.1
OG0001117	NP_647890.2	XP_008199836.1
OG0001118	NP_730935.1	XP_972023.1
OG0001119	NP_573179.1	XP_015833676.1
OG0001120	NP_001303491.1	XP_008195678.2
OG0001120	NP_001286419.1	XP_975429.1
OG0001121	NP_523778.2	NP_001107840.1, XP_008201496.1
OG0001124	NP_611463.1	XP_975636.1
OG0001125	NP_996437.1	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1
OG0001126	NP_001263150.1	XP_971282.1, XP_015836202.1
OG0001127	NP_001259643.1, NP_001259697.1	XP_008198191.1
OG0001128	NP_476687.1	XP_008190655.1
OG0001129	NP_001260832.1	XP_008195074.1
OG0001130	NP_001285414.1	XP_968477.1
OG0001131	NP_001262954.1	XP_015840650.1, XP_008199422.1
OG0001132	NP_477136.1	XP_967011.1
OG0001133	NP_001163633.1, NP_001262655.1	XP_967241.1, XP_015832935.1
OG0001134	NP_650596.1	XP_008194083.1
OG0001135	NP_001261958.1	XP_968753.2
OG0001137	NP_001162634.1, NP_569918.1	XP_008198456.2
OG0001138	NP_609847.1	XP_974752.2
OG0001139	NP_650430.1	XP_973786.1, XP_015835878.1
OG0001140	NP_610460.1	XP_971142.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	NP_001103250.1, NP_001103249.1, NP_001103248.1
OG0001141	NP_996208.1	XP_008196816.2
OG0001142	NP_001285029.1	XP_008193039.1
OG0001143	NP_524026.1	XP_969623.1
OG0001144	NP_649981.1	NP_001280546.1
OG0001145	NP_610183.1	XP_973829.1
OG0001146	NP_001163124.1	XP_967210.1
OG0001147	NP_573361.1	XP_008201711.1
OG0001148	NP_651990.1	XP_008191864.1
OG0001149	NP_001246233.1	XP_008193472.1
OG0001150	NP_524167.1	XP_968505.1
OG0001151	NP_001262934.1	XP_008194307.1
OG0001152	NP_608533.1	XP_015835806.1
OG0001153	NP_609012.2	XP_015834111.1, XP_008196650.2
OG0001154	NP_650326.3	XP_015840392.1, XP_008195259.1
OG0001155	NP_001245723.1	XP_008192108.1, XP_008192109.1, XP_974039.1
OG0001156	NP_727144.1	XP_008192296.1
OG0001157	NP_524637.2	XP_970548.1, XP_008199067.1
OG0001158	NP_523922.1	XP_008197031.1, NP_001164280.1
OG0001159	NP_001246974.1, NP_524850.2	XP_008199533.1
OG0001160	NP_001285873.1	XP_972545.1
OG0001161	NP_477313.1	NP_001164093.1
OG0001165	NP_001247163.1	XP_015835803.1, XP_008193882.1
OG0001166	NP_524216.1, NP_727251.1	XP_008191785.1, XP_015833648.1, XP_015833649.1
OG0001167	NP_476980.1	XP_008190526.1
OG0001168	NP_477466.1	XP_008194043.1, NP_001129235.1
OG0001169	NP_648620.1, NP_523655.1	XP_971976.1, XP_008195314.1
OG0001170	NP_524664.1	XP_008195103.1
OG0001171	NP_001368984.1	XP_008201706.1, XP_008201707.1
OG0001172	NP_001246928.1	XP_015835716.1, XP_015835718.1
OG0001173	NP_001261097.1	XP_008191324.1
OG0001174	NP_001104426.1	XP_971424.1
OG0001175	NP_001261470.1	XP_008200383.1
OG0001176	NP_649439.1	XP_972928.1
OG0001178	NP_477435.1	XP_975464.2
OG0001179	NP_001284976.1	XP_008198975.1, XP_971602.1
OG0001180	NP_001259321.1	XP_008198633.1
OG0001181	NP_573161.1	XP_008191878.1, XP_008192221.1
OG0001182	NP_001246890.1	XP_015840100.1, XP_015840102.1
OG0001183	NP_001246707.1	XP_008193529.1
OG0001184	NP_001287560.1	XP_008201701.1, XP_015840686.1
OG0001186	NP_648908.1	XP_969063.1
OG0001187	NP_001261023.1	XP_968896.1, XP_015835887.1
OG0001188	NP_001163482.1	XP_001816493.1, XP_015837546.1, XP_015837545.1
OG0001189	NP_001097192.2	XP_008194526.1
OG0001190	NP_001097387.1	XP_008199702.1, XP_008199701.1
OG0001191	NP_996290.1	XP_008201559.2
OG0001191	NP_001262929.1	NP_001165842.1
OG0001193	NP_001163283.1	XP_967266.2
OG0001195	NP_608725.1	XP_008195388.1, XP_008195387.1
OG0001197	NP_569979.1	XP_015840919.1, XP_008201266.1, XP_008201358.1
OG0001198	NP_476939.1	XP_008192533.1
OG0001199	NP_647878.1	XP_008190901.1
OG0001200	NP_648017.1	NP_001161085.1, XP_969640.1
OG0001201	NP_611863.1	XP_967431.2
OG0001202	NP_731269.2	XP_008198196.1, XP_969574.1, XP_970203.1
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_008198168.2, XP_015837354.1
OG0001204	NP_001163181.1	XP_015835914.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_015832961.1
OG0001206	NP_001245695.1	XP_968926.1, XP_008192540.1
OG0001207	NP_001262204.1	XP_008193742.1
OG0001208	NP_001262609.1	XP_008195493.1, XP_008195494.1, XP_008195495.1, XP_015836894.1, XP_015836892.1, XP_015836893.1
OG0001211	NP_788360.2, NP_001097455.1, NP_648203.1	XP_969398.1, XP_015836279.1, XP_015839975.1, XP_015839976.1, XP_008196675.1
OG0001214	NP_572278.1	XP_008200001.1, XP_975934.1
OG0001215	NP_001260930.1	XP_968957.1
OG0001216	NP_609382.1	XP_015839295.1
OG0001217	NP_523379.2	XP_008192863.1
OG0001218	NP_001285628.1	XP_008201334.1
OG0001219	NP_477043.1	XP_001816128.1
OG0001220	NP_476594.1	XP_972076.1
OG0001221	NP_649919.1	XP_975539.1
OG0001221	NP_650287.3	XP_008190388.1, XP_008190385.1, XP_008190387.2, XP_971157.1
OG0001222	NP_001262515.1	XP_968714.2
OG0001223	NP_573055.1	XP_967177.1
OG0001224	NP_650632.1	XP_008191038.1, XP_975446.1
OG0001225	NP_611211.3, NP_573315.1	XP_972067.1
OG0001226	NP_001259731.1	XP_974453.1
OG0001228	NP_001260246.1	XP_008197675.1
OG0001229	NP_651876.1	XP_973115.2
OG0001230	NP_001285360.1, NP_650407.1	XP_967571.1
OG0001231	NP_001036283.1	XP_008197759.1, XP_008197754.1
OG0001231	NP_523440.1	XP_969776.1
OG0001232	NP_001285827.1	XP_008190354.1
OG0001233	NP_001162628.1	XP_008190817.1
OG0001234	NP_001036706.2	XP_972865.2
OG0001235	NP_647976.1, NP_610496.1, NP_650931.1, NP_001286944.1, NP_649897.4	XP_008197318.2, XP_971418.1, XP_971482.1
OG0001236	NP_001246793.1, NP_001261942.1	XP_970017.1, XP_008194730.1
OG0001237	NP_001246667.1	XP_970990.1, XP_970935.1, XP_008198405.1, XP_008201442.1, XP_008201445.1
OG0001238	NP_001014689.3	XP_015840481.1, XP_008199848.1
OG0001239	NP_001015221.1	XP_969339.3
OG0001240	NP_001097042.1, NP_649903.1	XP_008196847.1
OG0001241	NP_733336.1	XP_008196700.1, NP_001280495.1
OG0001242	NP_001260760.1, NP_724538.1	XP_015837308.1, XP_015837309.1
OG0001244	NP_001189177.2	XP_974073.3
OG0001245	NP_001245557.1	XP_968503.1
OG0001246	NP_476932.1	XP_008191948.1, XP_008191947.1
OG0001247	NP_572740.1	XP_969111.2
OG0001248	NP_001259908.1	XP_975017.2
OG0001249	NP_572452.1	XP_975542.1
OG0001250	NP_001259742.1	XP_015835066.1, XP_015835069.1, XP_015835068.1, XP_015835067.1, XP_008191723.1, XP_015835064.1, XP_015835065.1
OG0001251	NP_572932.2	XP_008198694.1, XP_015839507.1, XP_015839508.1
OG0001252	NP_610892.1, NP_611132.1, NP_001097338.1, NP_001261679.1, NP_001260959.1, NP_729613.1	XP_974656.1
OG0001252	NP_729394.1, NP_648244.1	XP_972664.1
OG0001254	NP_001285084.1	XP_008200349.1, XP_015839691.1
OG0001255	NP_001261169.1	XP_015839682.1, NP_001280536.1
OG0001256	NP_728275.1	XP_015840550.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_972977.1, XP_973010.2
OG0001258	NP_001162998.1, NP_001286014.1	XP_008192136.1
OG0001259	NP_724582.1	XP_968406.2
OG0001260	NP_525109.1	XP_974043.1, XP_015835245.1
OG0001261	NP_001097659.1	XP_969615.1
OG0001262	NP_001188672.1	XP_015836277.1
OG0001263	NP_523511.2	XP_008194044.1, XP_966465.1
OG0001264	NP_610425.1	XP_008199359.1
OG0001265	NP_001162912.1	XP_008198824.1, XP_015839576.1, XP_008198826.1
OG0001267	NP_001261146.1	XP_015835758.1, XP_008193926.1
OG0001269	NP_612019.2	XP_008199240.1
OG0001270	NP_730968.1	XP_008195264.1
OG0001271	NP_651398.1	XP_015837418.1
OG0001273	NP_611759.1, NP_611762.1	XP_008196928.2
OG0001273	NP_001285109.1	XP_008194333.1, XP_015835670.1
OG0001274	NP_476741.1	XP_971741.1
OG0001275	NP_001286478.1	XP_015838616.1, XP_008200892.1, XP_015838623.1, XP_008200889.1
OG0001278	NP_524327.1	XP_968260.1
OG0001279	NP_524633.3	XP_015833552.1
OG0001280	NP_001036627.2	XP_968053.2, XP_008192425.1
OG0001281	NP_001246506.1	XP_008200663.1
OG0001282	NP_649261.1	XP_968795.1
OG0001283	NP_476902.1	XP_008195901.1
OG0001284	NP_001163032.1	XP_008193610.1, XP_015835521.1, XP_008200427.2
OG0001286	NP_610431.1	XP_973603.2
OG0001288	NP_001285508.1	XP_008195503.1
OG0001289	NP_001261265.1	XP_972155.1
OG0001291	NP_001163636.1	XP_973702.2
OG0001293	NP_649850.1	XP_967850.1
OG0001294	NP_611855.1	XP_008190438.1
OG0001295	NP_724562.2	XP_015837736.1, XP_008199992.1, XP_015837734.1, XP_015837735.1, XP_008197104.1, XP_015838076.1, XP_966433.1
OG0001296	NP_001369075.1	XP_008196583.2, XP_015839811.1
OG0001298	NP_001163084.1	XP_001814199.1
OG0001299	NP_609088.1	XP_008190539.1
OG0001300	NP_001259918.1	XP_971886.1
OG0001301	NP_001188545.1	XP_971367.2
OG0001303	NP_001261027.1	XP_015833856.1
OG0001304	NP_001246121.1	XP_008201630.1
OG0001305	NP_001261304.1	XP_015834192.1
OG0001306	NP_001262403.1	XP_015835234.1, XP_015835237.1
OG0001307	NP_001188960.1	XP_015833206.1
OG0001307	NP_001356969.1	XP_015835558.1
OG0001308	NP_001245739.1, NP_727344.1	XP_008200820.1
OG0001310	NP_650685.1	XP_975420.1
OG0001312	NP_001285588.1	XP_974931.1
OG0001313	NP_611656.2, NP_001286926.1, NP_728791.1, NP_001303369.1, NP_649015.2	XP_974660.1
OG0001314	NP_001246531.1	XP_015833753.1
OG0001315	NP_001285099.1, NP_728935.1	XP_015836908.1, XP_966473.2
OG0001316	NP_001246495.1	XP_008196392.1
OG0001317	NP_648019.2	XP_967323.2
OG0001318	NP_001188775.1	XP_008199614.1
OG0001320	NP_651060.1	XP_008199679.1
OG0001322	NP_651570.1	XP_008196249.1
OG0001328	NP_001097695.1	XP_969305.1
OG0001329	NP_647948.1	XP_008190670.1
OG0001330	NP_001246537.1	XP_008195392.1
OG0001331	NP_001260303.1	XP_975415.1
OG0001332	NP_650887.1, NP_570011.1	XP_008197848.1
OG0001333	NP_649539.1	XP_008195720.1, XP_969089.1
OG0001334	NP_001287343.1	XP_015838448.1
OG0001335	NP_609362.1	XP_008193497.1
OG0001336	NP_609967.1	XP_008193739.1
OG0001336	NP_001162901.1	XP_001815618.1
OG0001337	NP_612097.1	XP_970871.1
OG0001338	NP_572855.1	NP_001139390.1
OG0001339	NP_001260727.1	XP_970397.1
OG0001340	NP_001284961.1	XP_008193660.1, XP_970247.1
OG0001341	NP_001259867.1	XP_008199365.1
OG0001342	NP_001138093.1	XP_008199415.1
OG0001343	NP_477025.1	XP_015835564.1, XP_008194046.1
OG0001344	NP_652315.2	XP_967651.3
OG0001345	NP_648955.1	XP_974634.1
OG0001346	NP_001097946.1	XP_008200257.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_973080.2
OG0001348	NP_608350.2	XP_008194100.1
OG0001349	NP_477480.1	XP_008197983.1
OG0001350	NP_788708.2	XP_015837465.1, XP_015837464.1
OG0001351	NP_001246931.1	XP_015832916.1, XP_971672.1
OG0001352	NP_731459.2	XP_008199131.1
OG0001353	NP_001261357.1	XP_015833130.1, XP_015833131.1, XP_970090.1
OG0001355	NP_572529.2	NP_001127921.1, XP_008197034.1
OG0001356	NP_001014559.1	XP_968380.1, NP_001280528.1
OG0001358	NP_001014703.1	XP_008196120.1, XP_008196123.1
OG0001359	NP_001259064.1	XP_972884.1
OG0001359	NP_651392.2	XP_972109.3
OG0001362	NP_001287357.1	XP_015835360.1, XP_008200476.1
OG0001363	NP_001286088.1, NP_001286786.1	NP_001107813.1, XP_008193052.1
OG0001364	NP_001188754.1	XP_008201239.1, NP_001034514.1
OG0001365	NP_001260427.1	XP_971819.1
OG0001366	NP_648508.1	XP_969992.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_974803.1, XP_008196057.2
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_968199.1
OG0001369	NP_001303363.1	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1
OG0001370	NP_001162973.2	XP_008199205.1
OG0001371	NP_610796.1	XP_974014.1, XP_015835087.1, XP_015835088.1
OG0001372	NP_610444.2	XP_008194525.1
OG0001373	NP_731872.1	XP_968404.1, XP_015839616.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_001814181.1
OG0001375	NP_001261379.1	XP_008190523.1
OG0001376	NP_001162697.1	XP_972494.1
OG0001377	NP_572840.1	XP_008192006.1
OG0001378	NP_572402.1	XP_974170.1
OG0001379	NP_723501.2	XP_008200289.1
OG0001380	NP_001036421.1	XP_008198237.1
OG0001381	NP_650889.1	XP_970624.1, XP_015837364.1, XP_015837357.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1
OG0001383	NP_001036470.1	XP_008196388.1, XP_015837150.1
OG0001384	NP_001285453.1	XP_974696.2
OG0001385	NP_001260880.1	NP_001280529.1, XP_008200155.1, NP_001280662.1
OG0001386	NP_001286474.1	XP_015836790.1
OG0001387	NP_609412.1	XP_973997.3
OG0001388	NP_572320.2, NP_732840.1	XP_008198472.1, XP_015839126.1
OG0001389	NP_788300.3	XP_008191705.2, XP_015835153.1, XP_015835175.1
OG0001390	NP_001286120.1	XP_008196746.1
OG0001391	NP_001163354.1	XP_015835294.1
OG0001392	NP_001246912.1	XP_972774.2
OG0001393	NP_001285132.1, NP_001188593.1	NP_001092812.1, XP_008191439.1
OG0001394	NP_729025.1	XP_974474.1
OG0001395	NP_001137624.1	XP_008197875.1
OG0001396	NP_001245761.1, NP_523412.1	XP_001807060.1
OG0001397	NP_649764.1	XP_015840901.1, XP_015840903.1
OG0001398	NP_001246972.1, NP_523949.2	XP_008199101.1, XP_974850.1
OG0001399	NP_569982.1	XP_015833723.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_008192848.1
OG0001401	NP_524675.1	XP_966394.2
OG0001402	NP_612065.1	XP_973256.1
OG0001403	NP_001259193.1, NP_733426.1	XP_015834718.1
OG0001404	NP_609110.1	XP_975540.1, XP_015837367.1
OG0001405	NP_731223.1	XP_970709.2
OG0001406	NP_001015132.1	XP_001808764.1
OG0001408	NP_001163646.1	XP_973448.1
OG0001409	NP_001162657.1	XP_008201593.1
OG0001410	NP_523844.2	XP_015837864.1, NP_001280533.1
OG0001412	NP_001036250.1	XP_015833580.1
OG0001414	NP_608864.1	XP_008192642.1, XP_008192641.1, XP_974537.1
OG0001415	NP_996016.2	XP_015834284.1, XP_008197482.1
OG0001417	NP_611932.2	XP_973125.1
OG0001418	NP_001162911.1	XP_008191844.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_015838768.1, XP_015838769.1
OG0001420	NP_650569.1	XP_015836480.1
OG0001420	NP_651139.1	XP_968142.1
OG0001421	NP_649899.1	XP_974319.1
OG0001422	NP_001189074.1	XP_971902.1
OG0001423	NP_729234.2	XP_976493.2
OG0001424	NP_001262495.1	XP_973684.1
OG0001425	NP_788574.3	XP_015838773.1
OG0001426	NP_001163056.1	XP_015836693.1
OG0001427	NP_648499.1	XP_008200281.1
OG0001428	NP_608929.1	XP_972790.1
OG0001430	NP_001287466.1	XP_974921.1
OG0001432	NP_001188923.1, NP_611185.3	XP_001815304.2, XP_008190450.1
OG0001434	NP_788618.1, NP_649928.1	XP_015838174.1
OG0001436	NP_650868.1, NP_649289.2	XP_967350.1, XP_967269.1, XP_008195569.1, XP_008195564.1, XP_008195566.1
OG0001437	NP_001286742.1	XP_974738.1
OG0001438	NP_727644.3	XP_015835335.1, XP_015835336.1
OG0001440	NP_611647.1	XP_969806.1
OG0001441	NP_001027574.2	XP_015838362.1, XP_015838361.1, XP_972088.1
OG0001442	NP_001287592.1	XP_015833984.1
OG0001444	NP_001034052.2	XP_008199773.1
OG0001453	NP_001285826.1	XP_008192135.1, XP_974780.1
OG0001455	NP_610092.2	XP_008195504.1, XP_008195463.1
OG0001456	NP_001286295.1	XP_967649.1
OG0001457	NP_001163688.1	XP_972313.1
OG0001458	NP_476858.1	XP_969998.1
OG0001459	NP_001263148.1	XP_971056.1
OG0001460	NP_476848.1	XP_968481.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_008195927.1
OG0001462	NP_001262421.1	XP_969537.1
OG0001463	NP_649574.1	XP_975612.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_008192049.1, XP_008192050.1
OG0001465	NP_001189124.1	XP_970371.1
OG0001466	NP_569951.1, NP_611911.1	XP_971808.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_008190991.1
OG0001468	NP_001260652.1	XP_969120.1, NP_001164201.1
OG0001469	NP_523568.2	XP_015835402.1
OG0001470	NP_648768.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_966863.1
OG0001472	NP_001286770.1	XP_974027.1
OG0001473	NP_001287361.1	XP_969761.2
OG0001474	NP_609560.2, NP_569850.1	XP_008197149.1
OG0001475	NP_001368987.1	XP_008194014.1
OG0001477	NP_001014453.1	XP_008193717.1
OG0001478	NP_001285042.1	XP_971848.1
OG0001479	NP_001036624.1	XP_015835497.1
OG0001480	NP_524533.1	XP_968112.1, XP_015840540.1
OG0001481	NP_001286181.1	XP_008192172.1, XP_008192171.1
OG0001482	NP_651924.2	XP_008191953.1, XP_008191952.1
OG0001483	NP_001262996.1	XP_015832869.1
OG0001484	NP_001188579.1	XP_008197131.1
OG0001485	NP_523596.2	XP_975329.1
OG0001486	NP_476764.1	XP_008197650.1, NP_001280513.1
OG0001487	NP_001188904.1	XP_015833845.1
OG0001488	NP_001189108.1	XP_015834903.1
OG0001490	NP_001246899.1	XP_008196389.1, XP_974383.1, XP_008196042.1, XP_008195752.1
OG0001491	NP_609228.2	XP_970708.2
OG0001492	NP_001263168.1	XP_973907.1
OG0001493	NP_001262195.1	XP_001812538.1, XP_008194282.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_975427.2
OG0001495	NP_612063.2	XP_972502.1, XP_975469.1
OG0001496	NP_609203.1	XP_008191879.1, XP_008191880.1
OG0001497	NP_001260853.1	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1
OG0001498	NP_729823.2	XP_008200217.1, XP_969950.2
OG0001499	NP_572167.3	XP_974456.3
OG0001500	NP_730859.1	XP_015835209.1, NP_001280507.1
OG0001501	NP_001303373.1	XP_015833023.1
OG0001502	NP_001261464.1	XP_015833027.1
OG0001503	NP_665880.2	XP_971310.1, XP_008195559.1
OG0001505	NP_001097527.1	XP_015839664.1, XP_970228.2, XP_015838048.1
OG0001507	NP_001287269.1	XP_008197549.1, XP_970874.1
OG0001508	NP_001138130.2	XP_008201537.1
OG0001509	NP_001261116.1	XP_008196908.1
OG0001510	NP_001284936.1	XP_015838190.1
OG0001511	NP_649151.1	XP_970235.1
OG0001514	NP_001188550.1	XP_968217.2
OG0001515	NP_001259809.1	XP_967539.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_015836356.1
OG0001517	NP_731242.1	XP_970104.3
OG0001518	NP_001036462.1	XP_967543.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1
OG0001520	NP_001368953.1	XP_008194955.2
OG0001521	NP_523422.4	XP_008196004.1
OG0001522	NP_001096867.3	XP_008198803.1
OG0001524	NP_001261067.1	XP_008200329.1
OG0001525	NP_477026.1	XP_969909.1
OG0001526	NP_001369078.1	XP_008190710.1
OG0001527	NP_001259089.1	XP_975382.1
OG0001529	NP_001162930.1	XP_008197492.1
OG0001530	NP_611501.1	XP_972321.1
OG0001531	NP_651595.1	XP_974940.1
OG0001532	NP_001162665.1	XP_008201526.1, XP_966735.2
OG0001533	NP_728534.2	XP_015839661.1
OG0001534	NP_731923.2	XP_969604.2
OG0001535	NP_001261999.1	XP_969480.1, XP_971061.2
OG0001536	NP_648357.1	XP_015833087.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_972795.1
OG0001538	NP_995639.1	NP_001076809.1, XP_008195552.1
OG0001539	NP_524017.1	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1
OG0001540	NP_610693.1, NP_610694.1	XP_973817.2, XP_008200667.1
OG0001541	NP_001261940.1	XP_968546.2
OG0001542	NP_609207.1	XP_008192060.1
OG0001543	NP_650901.2	XP_008199669.1
OG0001545	NP_523451.2	XP_975212.1
OG0001546	NP_001247104.1	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1
OG0001551	NP_001246815.1	XP_015832989.1
OG0001552	NP_477317.1	XP_008190770.1, XP_008190772.1
OG0001553	NP_651623.1	XP_008200044.1
OG0001554	NP_001261344.1	XP_008193024.1
OG0001555	NP_001246451.1	XP_015835901.1
OG0001556	NP_726771.1	XP_970686.2
OG0001557	NP_001285174.1	XP_015836089.1
OG0001557	NP_001260951.1	XP_008190378.1
OG0001559	NP_650472.2	XP_015836282.1
OG0001560	NP_001246228.1	XP_015837120.1, XP_015837119.1, XP_015837117.1
OG0001561	NP_001260963.1	XP_008201574.1
OG0001562	NP_001137943.2	XP_015833433.1, XP_008192389.1
OG0001563	NP_001246300.1	XP_008192558.1, XP_008192559.1
OG0001565	NP_001286976.1	XP_975257.1
OG0001567	NP_001137746.1	XP_974106.1
OG0001568	NP_001263152.1	XP_974421.1, XP_008195811.1
OG0001569	NP_477320.1	XP_970921.1
OG0001570	NP_648176.1	XP_974899.2
OG0001571	NP_610075.2	XP_973610.2
OG0001575	NP_524337.1	XP_008197647.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_008193716.1
OG0001577	NP_001285493.1	XP_967646.1
OG0001579	NP_001097592.1	XP_015836149.1
OG0001580	NP_001285528.1	XP_008201637.1, XP_967750.1
OG0001581	NP_608983.2	XP_968816.1
OG0001582	NP_001287593.1	XP_015840194.1
OG0001583	NP_001189157.1	XP_008194225.1, XP_015835660.1
OG0001584	NP_648993.1	XP_008195851.1
OG0001586	NP_647865.2	XP_967561.1, XP_972037.1
OG0001587	NP_648090.1	XP_968197.1
OG0001588	NP_001188558.1	XP_015834889.1
OG0001589	NP_726318.1	XP_008197702.1
OG0001590	NP_572910.1, NP_001285210.1	XP_966455.1
OG0001591	NP_001286018.1	XP_967809.1
OG0001592	NP_647896.1	XP_970967.2
OG0001593	NP_001287342.1	XP_015836546.1
OG0001594	NP_001259723.1	XP_971722.1
OG0001595	NP_611252.1	XP_971845.3
OG0001596	NP_730651.1	XP_008190483.1
OG0001597	NP_572854.1	XP_967895.1
OG0001601	NP_001097706.1	XP_008199668.1, XP_008199653.1
OG0001602	NP_001033958.1	XP_015838387.1, XP_015838385.1
OG0001603	NP_001027070.1	XP_015834051.1, XP_968352.3
OG0001604	NP_001163129.1	XP_008200661.1, XP_967231.3
OG0001606	NP_523902.2	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1
OG0001607	NP_001285753.1	XP_976004.1, XP_008198242.1
OG0001608	NP_001260655.1	XP_972286.1
OG0001614	NP_001259303.1, NP_569908.1, NP_608731.1	XP_008194443.1, NP_001139415.1
OG0001615	NP_523764.1	XP_967910.1
OG0001616	NP_001259833.1	XP_967918.1, XP_015837909.1
OG0001617	NP_524011.1	XP_973076.1
OG0001619	NP_652526.1	XP_968073.1
OG0001620	NP_609496.1	XP_967558.1
OG0001621	NP_573362.1, NP_729837.1	XP_008194243.1
OG0001622	NP_572536.1	XP_008194474.1, XP_001811901.2
OG0001623	NP_524400.2	XP_974776.1, XP_974759.1
OG0001624	NP_788056.1	NP_001153783.1
OG0001625	NP_001262669.1	XP_973818.1
OG0001626	NP_001259186.1	XP_967659.3
OG0001627	NP_001303417.1	XP_008198503.1
OG0001628	NP_651052.1	XP_015840508.1
OG0001629	NP_651782.1	XP_968147.1, XP_008195384.1
OG0001630	NP_729395.2	XP_967133.1, XP_008193096.2
OG0001631	NP_001261267.1	XP_008198296.1, XP_008198297.1
OG0001632	NP_001245408.1	XP_008198970.1
OG0001633	NP_001246351.1	XP_008195201.1
OG0001634	NP_651054.1	XP_008190427.1
OG0001635	NP_001303479.1	XP_972058.1
OG0001636	NP_728142.1	XP_001808212.1
OG0001637	NP_612046.1	XP_968378.1
OG0001638	NP_648826.2	XP_974870.1
