Orthogroup	Drosophila_melanogaster	Polistes_dominula
OG0000974	NP_001303430.1	XP_015189633.1, XP_015189632.1
OG0000975	NP_725339.1	XP_015177036.1, XP_015177027.1
OG0000976	NP_611087.1	XP_015186917.1
OG0000977	NP_649953.1, NP_570088.1	XP_015171419.1
OG0000978	NP_001137919.1	XP_015190980.1
OG0000979	NP_648138.1	XP_015171776.1, XP_015191604.1
OG0000983	NP_651770.1	XP_015184122.1, XP_015184123.1
OG0000984	NP_477487.1	XP_015172433.1
OG0000985	NP_611493.2	XP_015179027.1, XP_015179026.1, XP_015179029.1
OG0000986	NP_001262432.1	XP_015181002.1
OG0000986	NP_001097382.2	XP_015172997.1, XP_015173003.1, XP_015173002.1
OG0000987	NP_572772.1, NP_001259713.1	XP_015174917.1, XP_015172232.1
OG0000988	NP_001262682.1, NP_001287381.1	XP_015174119.1, XP_015174118.1, XP_015174120.1
OG0000989	NP_001163569.1	XP_015176292.1
OG0000990	NP_001261755.1	XP_015175953.1
OG0000992	NP_001163012.2	XP_015176311.1
OG0000993	NP_001027179.1	XP_015179484.1
OG0000994	NP_001027186.1, NP_001027188.1	XP_015182304.1, XP_015182305.1
OG0000995	NP_001246637.1, NP_651683.1	XP_015174088.1, XP_015188779.1
OG0000996	NP_610121.2	XP_015185752.1
OG0000997	NP_001260223.1	XP_015188106.1
OG0000997	NP_647836.2	XP_015188102.1
OG0000998	NP_572886.2, NP_724816.3, NP_610509.2, NP_001162808.1	XP_015179630.1
OG0000999	NP_477257.2, NP_477258.1, NP_001285982.1, NP_001286499.1, NP_001285068.1, NP_611321.3	XP_015177401.1
OG0001000	NP_523396.1	XP_015172622.1, XP_015187087.1, XP_015187088.1
OG0001001	NP_001247312.1	XP_015185344.1, XP_015179997.1
OG0001002	NP_001163263.1, NP_652302.1	XP_015184907.1
OG0001003	NP_001246407.1	XP_015171955.1
OG0001004	NP_996022.1	XP_015173692.1
OG0001004	NP_001262082.1	XP_015181012.1
OG0001005	NP_476749.1	XP_015190463.1
OG0001006	NP_001014742.1	XP_015173951.1, XP_015173950.1
OG0001007	NP_651285.1	XP_015174648.1
OG0001008	NP_524108.1	XP_015181878.1
OG0001008	NP_476787.1	XP_015181872.1
OG0001009	NP_608417.2	XP_015180568.1
OG0001009	NP_001188769.1	XP_015181885.1
OG0001010	NP_608618.1	XP_015178164.1
OG0001011	NP_610786.2	XP_015173222.1
OG0001013	NP_001286475.1	XP_015177366.1, XP_015177365.1
OG0001014	NP_648992.1	XP_015187836.1, XP_015187835.1
OG0001015	NP_001263129.1	XP_015177456.1
OG0001015	NP_733043.1	XP_015179864.1
OG0001016	NP_649158.1	XP_015188536.1, XP_015177132.1
OG0001017	NP_001287430.1	XP_015177391.1
OG0001018	NP_650983.1	XP_015173309.1
OG0001018	NP_609712.1	XP_015173310.1
OG0001019	NP_649904.2	XP_015177206.1
OG0001020	NP_610455.1	XP_015187551.1
OG0001022	NP_001287359.1	XP_015191555.1, XP_015191556.1
OG0001023	NP_001138010.1, NP_524161.2	XP_015186868.1
OG0001025	NP_001262626.1	XP_015173183.1, XP_015173182.1
OG0001026	NP_651161.1	XP_015180087.1
OG0001027	NP_001096936.1	XP_015175288.1
OG0001028	NP_651668.1	XP_015188132.1, XP_015182313.1
OG0001030	NP_611858.2	XP_015178239.1
OG0001031	NP_001286053.1	XP_015189664.1
OG0001032	NP_001285619.1	XP_015171354.1, XP_015172562.1
OG0001033	NP_001285396.1	XP_015177748.1, XP_015177749.1, XP_015177752.1, XP_015177751.1, XP_015177750.1, XP_015177747.1
OG0001034	NP_726114.1	XP_015179826.1, XP_015179827.1, XP_015179830.1, XP_015179831.1, XP_015179832.1
OG0001035	NP_523400.1	XP_015171590.1, XP_015171589.1
OG0001036	NP_647659.1	XP_015189522.1, XP_015186622.1
OG0001037	NP_524381.1	XP_015178992.1
OG0001038	NP_001285948.1	XP_015184808.1, XP_015184811.1, XP_015184810.1, XP_015184807.1
OG0001039	NP_477162.1	XP_015189450.1, XP_015189451.1
OG0001040	NP_001246058.1	XP_015184842.1
OG0001041	NP_995607.1	XP_015186655.1, XP_015186654.1
OG0001042	NP_572293.1	XP_015172705.1
OG0001043	NP_729510.1	XP_015185068.1, XP_015185072.1
OG0001044	NP_001303410.1	XP_015180939.1, XP_015180940.1, XP_015180941.1
OG0001045	NP_001263151.1	XP_015185458.1, XP_015185459.1, XP_015185456.1, XP_015185457.1, XP_015185462.1, XP_015185463.1, XP_015185461.1
OG0001046	NP_608363.1	XP_015173825.1, XP_015173826.1
OG0001048	NP_001246674.1	XP_015186928.1
OG0001050	NP_001246821.1	XP_015175709.1, XP_015175708.1
OG0001051	NP_476752.1, NP_001287451.1	XP_015191452.1
OG0001052	NP_572361.1	XP_015180357.1, XP_015180358.1
OG0001053	NP_611760.2, NP_732726.2, NP_001260112.1	XP_015171805.1
OG0001054	NP_476599.1	XP_015173173.1
OG0001055	NP_001259572.1	XP_015190402.1
OG0001056	NP_788543.1	XP_015179749.1, XP_015179748.1
OG0001057	NP_001285008.1	XP_015175264.1
OG0001058	NP_001262037.1	XP_015173539.1
OG0001059	NP_001014720.1	XP_015187659.1, XP_015173846.1
OG0001060	NP_611421.1	XP_015173589.1
OG0001061	NP_648303.1, NP_001033964.1	XP_015191193.1
OG0001063	NP_001368937.1	XP_015171771.1, XP_015175807.1
OG0001064	NP_651088.1	XP_015175528.1, XP_015175527.1
OG0001065	NP_001036569.2	XP_015174858.1, XP_015174857.1
OG0001066	NP_609599.1, NP_609604.1	XP_015180531.1, XP_015180532.1, XP_015180530.1
OG0001067	NP_611561.1	XP_015182289.1
OG0001068	NP_001246786.1	XP_015184896.1
OG0001069	NP_647877.1	XP_015183176.1
OG0001070	NP_652021.1, NP_001259264.1	XP_015178305.1
OG0001071	NP_001369025.1	XP_015188159.1, XP_015188158.1, XP_015188153.1, XP_015188152.1, XP_015188154.1, XP_015188155.1, XP_015188156.1
OG0001073	NP_651257.1, NP_651258.1	XP_015182675.1, XP_015182688.1
OG0001074	NP_001259969.1	XP_015181351.1, XP_015181344.1
OG0001076	NP_001260355.1	XP_015187043.1, XP_015187060.1
OG0001077	NP_001162966.2	XP_015176545.1, XP_015176546.1
OG0001078	NP_001261508.1	XP_015174323.1
OG0001081	NP_001259757.1, NP_001097171.2, NP_001034004.1	XP_015180222.1, XP_015180218.1
OG0001082	NP_001261395.1	XP_015178374.1, XP_015178373.1
OG0001083	NP_001163182.1	XP_015180124.1, XP_015180122.1
OG0001084	NP_001261977.1	XP_015179989.1
OG0001085	NP_651472.2, NP_651701.1	XP_015173687.1
OG0001090	NP_001015155.1	XP_015175110.1
OG0001091	NP_001285121.1, NP_001162839.1	XP_015189101.1, XP_015189103.1
OG0001092	NP_001259168.1	XP_015191425.1, XP_015191467.1
OG0001093	NP_610035.4	XP_015187165.1, XP_015187166.1
OG0001094	NP_001259316.1	XP_015176080.1
OG0001095	NP_610729.1, NP_001033818.1	XP_015184068.1
OG0001096	NP_001097086.1	XP_015171385.1
OG0001097	NP_524451.1	XP_015179419.1, XP_015179409.1
OG0001098	NP_573359.1	XP_015184515.1
OG0001099	NP_001137973.1	XP_015191447.1
OG0001100	NP_001285120.1	XP_015174604.1
OG0001101	NP_650449.1	XP_015177055.1
OG0001102	NP_001284995.1, NP_524884.1	XP_015176575.1, XP_015176574.1, XP_015176576.1
OG0001103	NP_001245905.1	XP_015176930.1
OG0001104	NP_610475.1	XP_015188143.1, XP_015188146.1
OG0001105	NP_001285263.1, NP_524696.2, NP_788903.1	XP_015180113.1
OG0001106	NP_001097399.1	XP_015177824.1, XP_015177823.1
OG0001107	NP_477463.1, NP_477418.1	XP_015188221.1, XP_015188220.1, XP_015188224.1, XP_015188222.1, XP_015188219.1, XP_015188218.1, XP_015172943.1
OG0001108	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1	XP_015186207.1
OG0001109	NP_608327.2, NP_001287212.1, NP_001027071.1	XP_015171708.1
OG0001110	NP_001287185.1, NP_001260724.1	XP_015174699.1
OG0001111	NP_001260255.1	XP_015189229.1, XP_015189231.1
OG0001112	NP_001245731.1	XP_015186816.1, XP_015186814.1
OG0001113	NP_649587.1	XP_015175661.1, XP_015175660.1
OG0001114	NP_788382.1	XP_015177983.1
OG0001115	NP_651307.2	XP_015180257.1
OG0001116	NP_001284912.1	XP_015182647.1
OG0001117	NP_647890.2	XP_015186405.1
OG0001118	NP_730935.1	XP_015184284.1, XP_015184283.1
OG0001119	NP_573179.1	XP_015174575.1, XP_015174576.1, XP_015174573.1, XP_015174574.1, XP_015174577.1
OG0001120	NP_001303491.1	XP_015190181.1
OG0001120	NP_001286419.1	XP_015191352.1
OG0001121	NP_523778.2	XP_015183325.1
OG0001124	NP_611463.1	XP_015180596.1
OG0001125	NP_996437.1	XP_015182013.1
OG0001126	NP_001263150.1	XP_015182667.1
OG0001128	NP_649862.1	XP_015185085.1
OG0001128	NP_476687.1	XP_015185078.1
OG0001129	NP_001260832.1	XP_015184969.1
OG0001130	NP_001285414.1	XP_015181166.1
OG0001131	NP_001262954.1	XP_015183955.1
OG0001132	NP_477136.1	XP_015191585.1
OG0001133	NP_001163633.1, NP_001262655.1	XP_015175083.1, XP_015189802.1
OG0001134	NP_650596.1	XP_015179664.1
OG0001135	NP_001261958.1	XP_015174347.1, XP_015174346.1, XP_015174345.1, XP_015174344.1
OG0001137	NP_001162634.1, NP_569918.1	XP_015176189.1
OG0001138	NP_609847.1	XP_015178519.1, XP_015178520.1, XP_015178521.1, XP_015178522.1
OG0001139	NP_650430.1	XP_015189092.1, XP_015187655.1
OG0001140	NP_610460.1	XP_015190502.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1, NP_996208.1	XP_015175991.1
OG0001142	NP_001285029.1	XP_015174958.1
OG0001143	NP_524026.1	XP_015178784.1
OG0001144	NP_649981.1	XP_015173283.1, XP_015173284.1, XP_015173282.1
OG0001145	NP_610183.1	XP_015188195.1
OG0001146	NP_001163124.1	XP_015184502.1, XP_015184501.1
OG0001147	NP_573361.1	XP_015191828.1, XP_015191829.1
OG0001148	NP_651990.1	XP_015179879.1, XP_015179878.1
OG0001149	NP_001246233.1	XP_015189152.1, XP_015189151.1
OG0001150	NP_524167.1	XP_015182986.1
OG0001151	NP_001262934.1	XP_015191401.1, XP_015191400.1, XP_015191399.1
OG0001152	NP_608533.1	XP_015183414.1, XP_015183413.1
OG0001153	NP_609012.2	XP_015191605.1, XP_015191606.1
OG0001154	NP_650326.3	XP_015183455.1
OG0001155	NP_001245723.1	XP_015188999.1
OG0001156	NP_727144.1	XP_015176838.1
OG0001157	NP_524637.2	XP_015190398.1, XP_015190397.1
OG0001158	NP_523922.1	XP_015187148.1
OG0001159	NP_001246974.1, NP_524850.2	XP_015175311.1
OG0001160	NP_001285873.1	XP_015177704.1
OG0001161	NP_477313.1	XP_015190331.1
OG0001162	NP_001246331.1	XP_015180991.1, XP_015180988.1
OG0001165	NP_001247163.1	XP_015173072.1, XP_015173071.1
OG0001166	NP_524216.1, NP_727251.1	XP_015177607.1, XP_015177606.1
OG0001167	NP_476980.1	XP_015185361.1, XP_015185360.1
OG0001168	NP_477466.1	XP_015172453.1, XP_015172452.1, XP_015172451.1, XP_015172449.1, XP_015172448.1
OG0001169	NP_648620.1, NP_523655.1	XP_015171515.1
OG0001170	NP_524664.1	XP_015185911.1
OG0001171	NP_001368984.1	XP_015191603.1, XP_015191598.1
OG0001172	NP_001246928.1	XP_015171202.1, XP_015171200.1
OG0001173	NP_001261097.1	XP_015189669.1
OG0001174	NP_001104426.1	XP_015173128.1
OG0001175	NP_001261470.1	XP_015176134.1
OG0001176	NP_649439.1	XP_015182301.1, XP_015182300.1
OG0001178	NP_477435.1	XP_015171826.1
OG0001179	NP_001284976.1	XP_015186516.1
OG0001180	NP_001259321.1	XP_015187233.1, XP_015187221.1
OG0001181	NP_573161.1	XP_015172124.1, XP_015172126.1
OG0001183	NP_001246707.1	XP_015172681.1, XP_015172673.1
OG0001184	NP_001287560.1	XP_015172607.1, XP_015172608.1
OG0001185	NP_001137887.1	XP_015177630.1, XP_015177626.1, XP_015177624.1
OG0001186	NP_648908.1	XP_015186151.1
OG0001187	NP_001261023.1	XP_015188783.1
OG0001188	NP_001163482.1	XP_015185921.1, XP_015185920.1, XP_015185922.1
OG0001189	NP_001097192.2	XP_015185561.1
OG0001190	NP_001097387.1	XP_015174310.1, XP_015174309.1, XP_015174312.1
OG0001191	NP_996290.1, NP_001262929.1	XP_015177203.1, XP_015177266.1
OG0001193	NP_001163283.1	XP_015179540.1
OG0001195	NP_608725.1	XP_015187704.1
OG0001197	NP_569979.1	XP_015171203.1, XP_015171190.1
OG0001198	NP_476939.1	XP_015182891.1, XP_015182890.1
OG0001199	NP_647878.1	XP_015176915.1, XP_015176914.1, XP_015176913.1, XP_015176912.1
OG0001201	NP_611863.1	XP_015183363.1
OG0001202	NP_731269.2	XP_015181375.1
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_015183768.1, XP_015183767.1
OG0001204	NP_001163181.1	XP_015178874.1, XP_015178876.1, XP_015178875.1, XP_015178877.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_015179313.1, XP_015184912.1
OG0001206	NP_001245695.1	XP_015178002.1
OG0001207	NP_001262204.1	XP_015186400.1
OG0001208	NP_001262609.1	XP_015176539.1
OG0001211	NP_788360.2, NP_001097455.1, NP_648203.1	XP_015183488.1
OG0001214	NP_572278.1	XP_015176674.1
OG0001215	NP_001260930.1	XP_015178220.1, XP_015178221.1, XP_015178219.1
OG0001216	NP_609382.1	XP_015171674.1
OG0001217	NP_523379.2	XP_015176078.1
OG0001218	NP_001285628.1	XP_015173300.1, XP_015173299.1
OG0001219	NP_477043.1	XP_015184876.1
OG0001220	NP_476594.1	XP_015182517.1
OG0001221	NP_650287.3	XP_015176774.1
OG0001222	NP_001262515.1	XP_015191741.1, XP_015191739.1
OG0001223	NP_573055.1	XP_015188320.1
OG0001224	NP_650632.1	XP_015188607.1, XP_015188608.1, XP_015188605.1
OG0001225	NP_611211.3, NP_573315.1	XP_015188945.1
OG0001226	NP_001259731.1	XP_015186603.1
OG0001228	NP_001260246.1	XP_015179126.1
OG0001229	NP_651876.1	XP_015176745.1, XP_015176746.1, XP_015176718.1
OG0001230	NP_001285360.1, NP_650407.1	XP_015184518.1, XP_015184491.1
OG0001231	NP_001036283.1	XP_015177060.1
OG0001232	NP_001285827.1	XP_015171372.1
OG0001233	NP_001162628.1	XP_015178688.1, XP_015178686.1
OG0001234	NP_001036706.2	XP_015174623.1, XP_015174621.1, XP_015174622.1
OG0001236	NP_001246793.1, NP_001261942.1	XP_015185251.1, XP_015185250.1
OG0001237	NP_001246667.1	XP_015185478.1
OG0001238	NP_001014689.3	XP_015173641.1, XP_015173650.1
OG0001239	NP_001015221.1	XP_015186664.1, XP_015186665.1, XP_015186666.1
OG0001240	NP_001097042.1, NP_649903.1	XP_015178294.1
OG0001241	NP_733336.1	XP_015190087.1, XP_015190089.1
OG0001242	NP_001260760.1, NP_724538.1	XP_015191735.1, XP_015191763.1, XP_015191743.1
OG0001244	NP_001189177.2	XP_015171549.1, XP_015171550.1
OG0001245	NP_001245557.1	XP_015181465.1, XP_015181466.1
OG0001246	NP_476932.1	XP_015181421.1
OG0001247	NP_572740.1	XP_015176779.1, XP_015176782.1, XP_015176783.1, XP_015176780.1
OG0001248	NP_001259908.1	XP_015183140.1
OG0001249	NP_572452.1	XP_015177561.1, XP_015177565.1, XP_015177562.1, XP_015177566.1
OG0001250	NP_001259742.1	XP_015191522.1, XP_015191523.1
OG0001251	NP_572932.2	XP_015174771.1, XP_015174772.1
OG0001254	NP_001285084.1	XP_015182745.1
OG0001255	NP_001261169.1	XP_015173425.1
OG0001256	NP_728275.1	XP_015186656.1, XP_015186657.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_015173761.1, XP_015173760.1
OG0001259	NP_724582.1	XP_015175371.1
OG0001260	NP_525109.1	XP_015184928.1
OG0001261	NP_001097659.1	XP_015184901.1
OG0001262	NP_001188672.1	XP_015182580.1, XP_015182583.1, XP_015182582.1, XP_015182581.1
OG0001263	NP_523511.2	XP_015178787.1, XP_015178793.1
OG0001264	NP_610425.1	XP_015185167.1, XP_015185168.1
OG0001265	NP_001162912.1	XP_015185428.1
OG0001267	NP_001261146.1	XP_015176612.1
OG0001269	NP_612019.2	XP_015182444.1, XP_015182447.1
OG0001270	NP_730968.1	XP_015180459.1, XP_015180458.1, XP_015180461.1
OG0001271	NP_651398.1	XP_015180489.1, XP_015180487.1
OG0001272	NP_476658.1	XP_015184964.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_015184512.1
OG0001274	NP_476741.1	XP_015177902.1, XP_015171720.1
OG0001275	NP_001286478.1	XP_015175751.1
OG0001277	NP_611899.1	XP_015175198.1
OG0001278	NP_524327.1	XP_015178499.1
OG0001279	NP_524633.3	XP_015183128.1
OG0001280	NP_001036627.2	XP_015176453.1
OG0001281	NP_001246506.1	XP_015188051.1, XP_015188053.1
OG0001282	NP_649261.1	XP_015187689.1, XP_015187690.1, XP_015187692.1, XP_015187691.1
OG0001283	NP_476902.1	XP_015175231.1
OG0001284	NP_001163032.1	XP_015172687.1
OG0001286	NP_610431.1	XP_015171745.1
OG0001287	NP_732006.2	XP_015182461.1, XP_015182509.1
OG0001288	NP_001285508.1	XP_015180066.1, XP_015180067.1, XP_015180068.1
OG0001289	NP_001261265.1	XP_015171075.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_015176240.1
OG0001291	NP_001163636.1	XP_015179207.1, XP_015179208.1
OG0001292	NP_611945.3	XP_015187484.1, XP_015187483.1, XP_015187486.1, XP_015187485.1, XP_015187481.1, XP_015187482.1
OG0001293	NP_649850.1	XP_015188324.1
OG0001294	NP_611855.1	XP_015177500.1, XP_015177499.1, XP_015177501.1
OG0001295	NP_724562.2	XP_015180422.1
OG0001298	NP_001163084.1	XP_015188193.1
OG0001299	NP_609088.1	XP_015182795.1
OG0001300	NP_001259918.1	XP_015187343.1
OG0001301	NP_001188545.1	XP_015176169.1, XP_015176168.1
OG0001303	NP_001261027.1	XP_015187064.1, XP_015187063.1, XP_015187066.1, XP_015187065.1, XP_015187062.1
OG0001304	NP_001246121.1	XP_015185103.1, XP_015185111.1
OG0001305	NP_001261304.1	XP_015191788.1
OG0001306	NP_001262403.1	XP_015176775.1
OG0001307	NP_001356969.1	XP_015182317.1
OG0001308	NP_001245739.1, NP_727344.1	XP_015184548.1
OG0001310	NP_650685.1	XP_015171687.1
OG0001312	NP_001285588.1	XP_015185662.1
OG0001314	NP_001246531.1	XP_015177007.1, XP_015177015.1
OG0001315	NP_001285099.1, NP_728935.1	XP_015173856.1
OG0001316	NP_001246495.1	XP_015190443.1
OG0001317	NP_648019.2	XP_015172216.1
OG0001318	NP_001188775.1	XP_015178547.1, XP_015178549.1, XP_015178548.1, XP_015178546.1
OG0001320	NP_651060.1	XP_015185261.1, XP_015185263.1, XP_015185262.1
OG0001322	NP_651570.1	XP_015185054.1, XP_015185053.1
OG0001328	NP_001097695.1	XP_015177054.1
OG0001329	NP_647948.1	XP_015188643.1, XP_015188639.1, XP_015188642.1, XP_015188641.1, XP_015188640.1
OG0001330	NP_001246537.1	XP_015172508.1
OG0001331	NP_001260303.1	XP_015190609.1
OG0001332	NP_650887.1, NP_570011.1	XP_015173768.1
OG0001333	NP_649539.1	XP_015171755.1, XP_015171746.1
OG0001334	NP_001287343.1	XP_015180201.1
OG0001335	NP_609362.1	XP_015187925.1, XP_015187927.1
OG0001337	NP_612097.1	XP_015176315.1
OG0001338	NP_572855.1	XP_015179016.1, XP_015179017.1
OG0001339	NP_001260727.1	XP_015188747.1, XP_015188734.1
OG0001340	NP_001284961.1	XP_015175811.1
OG0001341	NP_001259867.1	XP_015186402.1
OG0001342	NP_001138093.1	XP_015177172.1
OG0001343	NP_477025.1	XP_015179776.1
OG0001344	NP_652315.2	XP_015188077.1
OG0001345	NP_648955.1	XP_015175286.1, XP_015175285.1
OG0001346	NP_001097946.1	XP_015171640.1, XP_015171641.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_015184727.1
OG0001348	NP_608350.2	XP_015175187.1, XP_015175188.1, XP_015175186.1
OG0001349	NP_477480.1	XP_015175721.1
OG0001350	NP_788708.2	XP_015184960.1
OG0001351	NP_001246931.1	XP_015188176.1
OG0001352	NP_731459.2	XP_015186386.1
OG0001353	NP_001261357.1	XP_015186606.1, XP_015186607.1
OG0001354	NP_611792.1	XP_015184552.1
OG0001355	NP_572529.2	XP_015191309.1, XP_015191308.1, XP_015191306.1, XP_015191307.1
OG0001356	NP_001014559.1	XP_015183376.1
OG0001358	NP_001014703.1	XP_015179882.1
OG0001359	NP_001259064.1, NP_651392.2	XP_015175348.1
OG0001361	NP_650778.2	XP_015189054.1
OG0001362	NP_001287357.1	XP_015189363.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_015172972.1, XP_015172973.1
OG0001364	NP_001188754.1	XP_015181043.1
OG0001365	NP_001260427.1	XP_015191302.1
OG0001366	NP_648508.1	XP_015173762.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_015184592.1
OG0001369	NP_001303363.1	XP_015181072.1
OG0001370	NP_001162973.2	XP_015184410.1
OG0001371	NP_610796.1	XP_015181797.1
OG0001373	NP_731872.1	XP_015181678.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_015188911.1, XP_015188912.1, XP_015188910.1
OG0001375	NP_001261379.1	XP_015188011.1
OG0001376	NP_001162697.1	XP_015188863.1, XP_015188865.1, XP_015188864.1
OG0001377	NP_572840.1	XP_015171684.1, XP_015171685.1
OG0001378	NP_572402.1	XP_015188444.1, XP_015188445.1, XP_015189349.1, XP_015189348.1
OG0001379	NP_723501.2	XP_015188017.1
OG0001380	NP_001036421.1	XP_015189420.1, XP_015189421.1, XP_015189419.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_015186730.1
OG0001383	NP_001036470.1	XP_015189441.1
OG0001384	NP_001285453.1	XP_015182287.1
OG0001385	NP_001260880.1	XP_015191663.1
OG0001386	NP_001286474.1	XP_015186179.1
OG0001387	NP_609412.1	XP_015187004.1
OG0001388	NP_572320.2, NP_732840.1	XP_015187276.1
OG0001389	NP_788300.3	XP_015174485.1
OG0001390	NP_001286120.1	XP_015172438.1, XP_015172439.1, XP_015172440.1, XP_015172441.1
OG0001391	NP_001163354.1	XP_015182508.1, XP_015182507.1, XP_015182506.1
OG0001392	NP_001246912.1	XP_015188800.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_015172415.1, XP_015172442.1
OG0001394	NP_729025.1	XP_015176205.1
OG0001395	NP_001137624.1	XP_015187548.1, XP_015187547.1, XP_015187546.1, XP_015187545.1
OG0001396	NP_001245761.1, NP_523412.1	XP_015190613.1
OG0001397	NP_649764.1	XP_015184617.1
OG0001398	NP_001246972.1, NP_523949.2	XP_015174377.1, XP_015174376.1, XP_015174378.1
OG0001399	NP_569982.1	XP_015190153.1, XP_015190152.1, XP_015190151.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_015183714.1, XP_015183704.1
OG0001401	NP_524675.1	XP_015187970.1, XP_015187969.1
OG0001402	NP_612065.1	XP_015191194.1
OG0001403	NP_001259193.1, NP_733426.1	XP_015187745.1
OG0001404	NP_609110.1	XP_015179890.1, XP_015179892.1, XP_015179891.1
OG0001405	NP_731223.1	XP_015174612.1
OG0001406	NP_001015132.1	XP_015180352.1
OG0001407	NP_001262226.1	XP_015184078.1, XP_015184080.1
OG0001408	NP_001163646.1	XP_015187566.1
OG0001409	NP_001162657.1	XP_015188310.1, XP_015188313.1
OG0001410	NP_523844.2	XP_015185730.1
OG0001412	NP_001036250.1	XP_015191005.1
OG0001412	NP_651941.2	XP_015191408.1
OG0001413	NP_001303415.1	XP_015178798.1
OG0001414	NP_608864.1	XP_015175407.1, XP_015175408.1
OG0001415	NP_996016.2	XP_015182075.1
OG0001416	NP_723870.1	XP_015181549.1
OG0001417	NP_611932.2	XP_015188275.1
OG0001418	NP_001162911.1	XP_015177476.1, XP_015189892.1, XP_015189760.1, XP_015176373.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_015175340.1, XP_015175323.1
OG0001420	NP_650569.1, NP_651139.1	XP_015183990.1
OG0001421	NP_649899.1	XP_015182989.1
OG0001422	NP_001189074.1	XP_015191538.1
OG0001423	NP_729234.2	XP_015178903.1
OG0001424	NP_001262495.1	XP_015184776.1
OG0001425	NP_788574.3	XP_015188537.1
OG0001426	NP_001163056.1	XP_015179662.1
OG0001427	NP_648499.1	XP_015175865.1
OG0001428	NP_608929.1	XP_015172866.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_015171681.1
OG0001430	NP_001287466.1	XP_015179975.1
OG0001432	NP_001188923.1, NP_611185.3	XP_015178042.1
OG0001434	NP_788618.1, NP_649928.1	XP_015171792.1, XP_015171780.1, XP_015185559.1
OG0001436	NP_650868.1, NP_649289.2	XP_015179615.1
OG0001437	NP_001286742.1	XP_015173073.1, XP_015173075.1, XP_015173074.1
OG0001438	NP_727644.3	XP_015173771.1, XP_015173773.1
OG0001440	NP_611647.1	XP_015180748.1
OG0001441	NP_001027574.2	XP_015171136.1
OG0001442	NP_001287592.1	XP_015181968.1, XP_015181969.1
OG0001443	NP_001096850.2	XP_015183382.1
OG0001444	NP_001034052.2	XP_015190919.1, XP_015171715.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_015178126.1
OG0001446	NP_648358.2	XP_015178763.1, XP_015178760.1
OG0001453	NP_001285826.1	XP_015178218.1
OG0001455	NP_610092.2	XP_015188001.1, XP_015188002.1, XP_015188000.1
OG0001456	NP_001286295.1	XP_015173849.1
OG0001457	NP_001163688.1	XP_015184596.1
OG0001458	NP_476858.1	XP_015175901.1, XP_015175900.1, XP_015175899.1
OG0001459	NP_001263148.1	XP_015171442.1
OG0001460	NP_476848.1	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_015176344.1, XP_015176345.1
OG0001462	NP_001262421.1	XP_015191825.1
OG0001463	NP_649574.1	XP_015177202.1, XP_015177310.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_015188722.1
OG0001465	NP_001189124.1	XP_015173627.1, XP_015173626.1
OG0001466	NP_569951.1, NP_611911.1	XP_015191372.1, XP_015191371.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_015191228.1
OG0001468	NP_001260652.1	XP_015182236.1
OG0001469	NP_523568.2	XP_015173948.1
OG0001470	NP_648768.1	XP_015183790.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_015173745.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_015175682.1
OG0001473	NP_001287361.1	XP_015187320.1, XP_015187319.1
OG0001474	NP_609560.2, NP_569850.1	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1
OG0001475	NP_001368987.1	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1
OG0001477	NP_001014453.1	XP_015184346.1, XP_015184344.1, XP_015184345.1
OG0001478	NP_001285042.1	XP_015191461.1, XP_015191460.1
OG0001479	NP_001036624.1	XP_015183743.1
OG0001480	NP_524533.1	XP_015183437.1, XP_015183438.1
OG0001481	NP_001286181.1	XP_015188658.1
OG0001482	NP_651924.2	XP_015172163.1
