Orthogroup	Drosophila_melanogaster	Solenopsis_invicta
OG0000826	NP_650049.1	XP_039304012.1, XP_011159412.1, XP_011159413.1, XP_011159411.1
OG0000827	NP_001262130.1	XP_039308960.1, XP_039308963.1
OG0000828	NP_729666.2, NP_001097580.1	XP_039315579.1
OG0000829	NP_732364.1	XP_011162079.1, XP_011162078.1
OG0000830	NP_610239.1	XP_011168523.1, XP_011168522.1, XP_011168521.1
OG0000831	NP_731193.1	XP_039310174.1
OG0000832	NP_728107.2	XP_039308938.1
OG0000835	NP_001285947.1	XP_011164859.1
OG0000837	NP_573326.1	XP_025991745.1, XP_025991746.1, XP_039308425.1
OG0000838	NP_001356956.1	XP_039307130.1
OG0000839	NP_001188759.1, NP_001262469.1, NP_609301.2	XP_011164602.1
OG0000840	NP_652381.1	XP_039314110.1
OG0000841	NP_570021.2, NP_001259468.1, NP_001259467.1	XP_025987401.1
OG0000842	NP_001369129.1, NP_001260274.1, NP_609266.1, NP_001285770.1, NP_001188814.1, NP_609264.1	XP_039304445.1, XP_039304448.1
OG0000843	NP_650563.2, NP_611991.1	XP_039313882.1, XP_039313881.1, XP_039313883.1, XP_039313878.1, XP_039313880.1, XP_039313879.1
OG0000844	NP_649725.2, NP_001285107.1	XP_039310169.1
OG0000849	NP_001262891.1, NP_001285338.1	XP_011156555.1, XP_011163639.1
OG0000850	NP_001260347.1	XP_011159981.1
OG0000851	NP_524744.2	XP_011158376.1
OG0000852	NP_001286630.1	XP_025986713.2, XP_025986712.2, XP_011158922.2, XP_039305863.1, XP_039305862.1
OG0000853	NP_001259344.1	XP_039313865.1
OG0000854	NP_001245453.1	XP_011158684.1
OG0000855	NP_001261634.1	XP_011176305.1
OG0000856	NP_611496.1	XP_025989573.1
OG0000856	NP_610623.1	XP_011172010.2
OG0000857	NP_001285245.1	XP_011163622.1
OG0000858	NP_647924.2, NP_647923.1, NP_651703.1	XP_039309658.1
OG0000859	NP_001285621.1, NP_477382.1	XP_011168368.1, XP_011168610.1, XP_011168692.1, XP_011168455.1
OG0000860	NP_570064.1	XP_039308843.1, XP_011168506.1
OG0000861	NP_523724.2	XP_011158929.2
OG0000862	NP_573387.1	XP_011175531.2, XP_025988112.2
OG0000863	NP_001356936.1	XP_039302141.1
OG0000864	NP_650375.1	XP_039314769.1, XP_025988781.2
OG0000865	NP_731737.1	XP_011169349.1, XP_011169329.1, XP_011169345.1
OG0000867	NP_001163063.1	XP_039309625.1
OG0000870	NP_647859.1	XP_039310472.1, XP_025996069.2
OG0000871	NP_001097404.2	XP_025986886.1
OG0000872	NP_001284829.1	XP_011175455.1, XP_011175453.1, XP_011175456.1, XP_011175452.1
OG0000873	NP_001260350.1, NP_001285763.1, NP_609253.1, NP_001285762.1, NP_609251.2, NP_609408.1	XP_011176166.2
OG0000875	NP_001163686.1	XP_011164437.1, XP_039309316.1
OG0000876	NP_001285284.1	XP_011158998.1, XP_011159005.1
OG0000877	NP_001286493.1	XP_039311088.1, XP_011161480.1
OG0000878	NP_725583.1	XP_025986289.1
OG0000878	NP_726244.1	XP_011158559.1
OG0000879	NP_572205.1, NP_001137662.1	XP_025990421.1, XP_025990422.1
OG0000880	NP_001246349.1, NP_572380.1	XP_011161203.1
OG0000881	NP_649940.1	XP_011160040.2
OG0000883	NP_001286628.1, NP_001246757.1	XP_039303708.1, XP_039303709.1, XP_039303706.1
OG0000884	NP_001138037.1	XP_039304041.1, XP_039304042.1, XP_039304043.1, XP_039315276.1, XP_039304390.1, XP_039304756.1, XP_039313970.1
OG0000885	NP_001284917.1	XP_039315016.1
OG0000886	NP_001285034.1, NP_001163442.1	XP_011172801.1, XP_011170327.1
OG0000887	NP_001262879.1, NP_001285815.1, NP_651171.1	XP_039308747.1, XP_039308527.1
OG0000888	NP_788566.1	XP_011175978.1
OG0000890	NP_001262870.1	XP_039314335.1
OG0000892	NP_572420.1	XP_011164335.1
OG0000894	NP_996103.1	XP_025986498.1
OG0000895	NP_728897.1	XP_025990648.1
OG0000896	NP_001260453.1, NP_001033905.1, NP_001286863.1, NP_723857.1, NP_788046.1, NP_001260452.1, NP_001188802.1, NP_651533.3	XP_039311139.1
OG0000897	NP_729092.1	XP_011158516.1
OG0000899	NP_648621.1	XP_039313083.1
OG0000900	NP_724759.1, NP_724760.2, NP_724761.1, NP_651841.3, NP_001137623.1	XP_011171987.1
OG0000901	NP_732828.1, NP_732827.1	XP_025986962.1
OG0000903	NP_996140.1	XP_011158890.2
OG0000905	NP_001259353.1	XP_011165800.2, XP_011165794.1, XP_011165795.1, XP_011165796.1, XP_011165797.1
OG0000906	NP_001334673.1	XP_039313466.1
OG0000906	NP_001334672.1	XP_039306787.1
OG0000907	NP_649195.1, NP_996412.1	XP_039315588.1, XP_025985839.1, XP_025985841.1
OG0000908	NP_001286712.1	XP_011160553.2, XP_011160554.2
OG0000909	NP_001097129.1	XP_039308150.1
OG0000910	NP_001286641.1, NP_572222.2, NP_611098.1, NP_611505.1	XP_011164763.2
OG0000911	NP_001097414.1	XP_025993971.2, XP_025993970.2, XP_025993966.2
OG0000914	NP_001247382.1	XP_039308448.1, XP_039308446.1, XP_039308447.1
OG0000915	NP_610442.2, NP_573392.2, NP_788042.1, NP_001260258.1, NP_001285915.1	XP_025987634.1
OG0000916	NP_001260893.1	XP_025995363.1
OG0000917	NP_651364.1	XP_011165923.1
OG0000918	NP_650227.1, NP_001027116.1, NP_001287495.1	XP_011157236.1
OG0000919	NP_649970.1	XP_025988014.1
OG0000920	NP_609765.1	XP_011165873.1
OG0000921	NP_611022.2	XP_011165106.1, XP_011165105.1
OG0000922	NP_730171.1	XP_011171960.2
OG0000923	NP_524168.2	XP_039306250.1, XP_039306253.1
OG0000924	NP_612042.3	XP_011155993.1
OG0000925	NP_611028.1, NP_610538.1	XP_011168106.1, XP_025992349.1
OG0000927	NP_001286609.1	XP_011172154.1
OG0000928	NP_649849.1	XP_011160605.3
OG0000929	NP_001027091.1, NP_001097457.1	XP_011169685.1
OG0000930	NP_001189321.1	XP_039309672.1, XP_039305396.1
OG0000931	NP_001286769.1	XP_011166210.2
OG0000932	NP_652032.1	XP_011170039.1
OG0000933	NP_001261362.1	XP_011171324.1
OG0000934	NP_611049.1	XP_039304912.1, XP_039304911.1
OG0000936	NP_001286670.1	XP_011173270.1, XP_011173276.1
OG0000937	NP_610163.1	XP_039307703.1, XP_039307702.1
OG0000938	NP_001245529.1	XP_025989696.1
OG0000939	NP_610393.1	XP_011160353.1
OG0000939	NP_611976.3	XP_039308686.1
OG0000941	NP_651893.1, NP_725851.1	XP_011164512.2
OG0000942	NP_523759.1	XP_011156703.1, XP_039314337.1, XP_039314336.1
OG0000943	NP_650540.1	XP_011166146.1, XP_025988490.1
OG0000944	NP_001303462.1	XP_025996268.1
OG0000946	NP_652001.2	XP_011165533.2, XP_011161547.1
OG0000947	NP_001262662.1	XP_039314950.1
OG0000948	NP_524989.2	XP_011172825.1
OG0000949	NP_611979.1	XP_039303762.1, XP_011158334.2, XP_011173491.1, XP_039313318.1, XP_039313322.1, XP_039314435.1
OG0000950	NP_523533.2	XP_011166764.1
OG0000951	NP_572423.1	XP_039301861.1, XP_011158539.1
OG0000952	NP_001259412.1	XP_039310385.1
OG0000953	NP_001303391.1, NP_001261796.1	XP_025989139.1, XP_011155835.2
OG0000955	NP_001246706.1, NP_001286613.1	XP_011162740.2
OG0000957	NP_572947.1	XP_011168741.1, XP_039312334.1
OG0000959	NP_001286450.1	XP_039308943.1
OG0000960	NP_569968.2	XP_011167205.2
OG0000960	NP_652376.2	XP_039307029.1
OG0000961	NP_001138124.2	XP_011156839.1
OG0000962	NP_001286814.1	XP_025991221.1, XP_025991228.1
OG0000963	NP_609595.1, NP_001246015.1, NP_001260426.1	XP_025991764.1, XP_025991763.1
OG0000964	NP_611183.1	XP_011158913.1, XP_011158916.1
OG0000965	NP_001261446.1	XP_025990144.1
OG0000966	NP_001286779.1	XP_025990155.1
OG0000967	NP_611652.2	XP_011165638.2, XP_011165637.1
OG0000968	NP_001097391.1	XP_039307503.1, XP_039307502.1
OG0000969	NP_730024.1	XP_011172487.1
OG0000970	NP_648776.1	XP_011156652.2, XP_011156653.2
OG0000972	NP_723909.2	XP_025996480.1, XP_025996479.1, XP_025996478.1
OG0000974	NP_001303430.1	XP_011158478.1, XP_039315669.1
OG0000975	NP_725339.1	XP_039305372.1, XP_039305351.1, XP_039305332.1
OG0000976	NP_611087.1	XP_011166681.1, XP_011166682.1, XP_011166683.1
OG0000977	NP_649953.1, NP_570088.1	XP_011170453.1, XP_025988785.1
OG0000978	NP_001137919.1	XP_039312849.1
OG0000979	NP_648138.1	XP_039310714.1, XP_025989398.2
OG0000982	NP_001262373.1	XP_039312643.1
OG0000983	NP_651770.1	XP_025996299.1, XP_011161616.1, XP_011161615.1
OG0000984	NP_477487.1	XP_011168644.1
OG0000985	NP_611493.2	XP_011166971.1
OG0000986	NP_001097382.2	XP_025989999.1, XP_025989996.1
OG0000987	NP_572772.1, NP_001259713.1	XP_039313616.1, XP_011168290.2
OG0000989	NP_001163569.1	XP_025986626.1, XP_011158016.1
OG0000990	NP_001261755.1	XP_011157427.1, XP_011157429.1, XP_011157428.1, XP_025995188.1
OG0000992	NP_001163012.2	XP_039309285.1
OG0000993	NP_001027179.1	XP_011158936.1, XP_011158937.1
OG0000994	NP_001027186.1, NP_001027188.1	XP_039302337.1, XP_011170722.1
OG0000995	NP_001246637.1, NP_651683.1	XP_039309136.1, XP_011175780.2
OG0000996	NP_610121.2	XP_025989662.1, XP_011164800.1
OG0000997	NP_001260223.1	XP_039302938.1
OG0000997	NP_647836.2	XP_011155662.1
OG0000998	NP_572886.2, NP_724816.3, NP_610509.2, NP_001162808.1	XP_011159136.2
OG0000999	NP_477257.2, NP_477258.1, NP_001285982.1, NP_001286499.1, NP_001285068.1, NP_611321.3	XP_025988924.1
OG0001000	NP_523396.1	XP_039305721.1, XP_025987551.1, XP_039305714.1
OG0001001	NP_001247312.1	XP_011155828.1, XP_011163623.1
OG0001002	NP_001163263.1, NP_652302.1	XP_011166211.1
OG0001003	NP_001246407.1	XP_025992817.1, XP_011165020.1, XP_011165021.1
OG0001004	NP_996022.1	XP_011169693.1
OG0001005	NP_476749.1	XP_039306361.1, XP_039306362.1, XP_011161118.1, XP_011161120.1, XP_011161119.1
OG0001006	NP_001014742.1	XP_011175337.3, XP_011175336.2
OG0001007	NP_651285.1	XP_025996086.1
OG0001008	NP_524108.1	XP_039313823.1
OG0001008	NP_476787.1	XP_025995609.2, XP_011173151.2
OG0001009	NP_608417.2	XP_011166446.1
OG0001009	NP_001188769.1	XP_039305198.1
OG0001010	NP_608618.1	XP_039308328.1, XP_039308327.1, XP_039308329.1, XP_039308333.1
OG0001011	NP_610786.2	XP_025993924.1, XP_011159821.2
OG0001013	NP_001286475.1	XP_039307293.1
OG0001014	NP_648992.1	XP_011157434.1
OG0001015	NP_001263129.1	XP_011161194.1, XP_025991211.1, XP_011161193.1
OG0001015	NP_733043.1	XP_011161195.1
OG0001016	NP_649158.1	XP_025992910.1, XP_011169863.1
OG0001017	NP_001287430.1	XP_025988474.1
OG0001018	NP_650983.1	XP_039302706.1
OG0001018	NP_609712.1	XP_039302708.1
OG0001019	NP_649904.2	XP_011163380.1
OG0001020	NP_610455.1	XP_011159873.1
OG0001021	NP_001014528.1	XP_011163049.2
OG0001022	NP_001287359.1	XP_011158427.1, XP_025991400.1, XP_039301782.1, XP_039301783.1, XP_011158425.2
OG0001023	NP_001138010.1, NP_524161.2	XP_025993731.2, XP_025993732.2
OG0001024	NP_001259954.1	XP_039307132.1
OG0001025	NP_001262626.1	XP_011167003.2
OG0001026	NP_651161.1	XP_039308723.1, XP_039308721.1, XP_039308722.1
OG0001027	NP_001096936.1	XP_039308919.1
OG0001028	NP_651668.1	XP_011170350.2, XP_011163544.1
OG0001030	NP_611858.2	XP_025992589.2, XP_025992588.2
OG0001031	NP_001286053.1	XP_039307586.1
OG0001032	NP_001285619.1	XP_039308244.1
OG0001033	NP_001285396.1	XP_011172421.1, XP_011172423.1
OG0001034	NP_726114.1	XP_039303076.1, XP_011171224.1
OG0001035	NP_523400.1	XP_025992621.1
OG0001036	NP_647659.1	XP_011165277.1, XP_025993616.1
OG0001037	NP_524381.1	XP_025993818.1
OG0001038	NP_001285948.1	XP_011160153.1
OG0001039	NP_477162.1	XP_011161111.1
OG0001040	NP_001246058.1	XP_011165337.1, XP_011165336.1
OG0001041	NP_995607.1	XP_025988910.1, XP_025988911.1, XP_011164254.1, XP_039301989.1
OG0001042	NP_572293.1	XP_025996045.1, XP_025996043.1, XP_025996044.1, XP_025996042.1
OG0001043	NP_729510.1	XP_011166024.2, XP_025992543.2
OG0001044	NP_001303410.1	XP_011169612.1, XP_011169610.1
OG0001045	NP_001263151.1	XP_011162672.2
OG0001046	NP_608363.1	XP_011162026.1, XP_025987025.1, XP_011162025.1
OG0001048	NP_001246674.1	XP_039305995.1
OG0001049	NP_001286666.1	XP_011166480.1, XP_011166481.1
OG0001050	NP_001246821.1	XP_011159776.1, XP_011159778.1
OG0001051	NP_476752.1, NP_001287451.1	XP_039312332.1
OG0001052	NP_572361.1	XP_011160586.1
OG0001053	NP_611760.2, NP_732726.2, NP_001260112.1	XP_011157154.1
OG0001054	NP_476599.1	XP_039313698.1, XP_039313699.1
OG0001055	NP_001259572.1	XP_011157954.1
OG0001056	NP_788543.1	XP_039301672.1, XP_011167342.1
OG0001057	NP_001285008.1	XP_025992790.1, XP_011155465.1
OG0001058	NP_001262037.1	XP_025991914.2
OG0001059	NP_001014720.1	XP_011155850.2, XP_025992160.1
OG0001060	NP_611421.1	XP_011163616.1
OG0001061	NP_648303.1, NP_001033964.1	XP_011161404.1
OG0001063	NP_001368937.1	XP_025989549.2, XP_039313025.1
OG0001064	NP_651088.1	XP_025994664.2
OG0001065	NP_001036569.2	XP_025993227.1, XP_025993228.1
OG0001066	NP_609599.1, NP_609604.1	XP_025991457.2, XP_039307737.1
OG0001067	NP_611561.1	XP_025986088.2
OG0001068	NP_001246786.1	XP_011164046.1, XP_039309169.1
OG0001069	NP_647877.1	XP_039301790.1, XP_011161238.2
OG0001070	NP_652021.1, NP_001259264.1	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1
OG0001071	NP_001369025.1	XP_025992820.1
OG0001073	NP_651257.1, NP_651258.1	XP_011166357.1, XP_011166496.2
OG0001074	NP_001259969.1	XP_011159283.1, XP_011159282.2
OG0001076	NP_001260355.1	XP_011159538.1
OG0001077	NP_001162966.2	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	NP_001261508.1	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001082	NP_001261395.1	XP_011172611.1, XP_025994767.1
OG0001083	NP_001163182.1	XP_011159372.2
OG0001084	NP_001261977.1	XP_011155352.1, XP_011155351.2
OG0001085	NP_651472.2, NP_651701.1	XP_025989431.1, XP_025989433.1
OG0001090	NP_001015155.1	XP_011165641.1
OG0001091	NP_001285121.1, NP_001162839.1	XP_025990318.1
OG0001092	NP_001259168.1	XP_011166457.1, XP_039306837.1
OG0001093	NP_610035.4	XP_011169511.1
OG0001094	NP_001259316.1	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	NP_610729.1, NP_001033818.1	XP_011158680.1
OG0001096	NP_001097086.1	XP_025993866.1, XP_025993865.1, XP_025993867.1
OG0001097	NP_524451.1	XP_011171301.1
OG0001098	NP_573359.1	XP_039314597.1
OG0001099	NP_001137972.1	XP_011159174.1, XP_039311351.1
OG0001099	NP_001137973.1	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	NP_001285120.1	XP_011166885.1
OG0001101	NP_650449.1	XP_011169060.1, XP_025986266.1
OG0001102	NP_001284995.1, NP_524884.1	XP_011173598.1
OG0001103	NP_001245905.1	XP_025992892.1
OG0001104	NP_610475.1	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	NP_001285263.1, NP_524696.2, NP_788903.1	XP_011158662.1
OG0001106	NP_001097399.1	XP_039306727.1, XP_011171425.1
OG0001107	NP_477463.1, NP_477418.1	XP_011171628.1
OG0001108	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1	XP_011175804.1
OG0001109	NP_608327.2, NP_001287212.1, NP_001027071.1	XP_025997087.1
OG0001110	NP_001287185.1, NP_001260724.1	XP_039305008.1, XP_025987622.2
OG0001111	NP_001260255.1	XP_011167411.1
OG0001112	NP_001245731.1	XP_025997156.1
OG0001113	NP_649587.1	XP_011155666.1
OG0001114	NP_788382.1	XP_039308544.1
OG0001115	NP_651307.2	XP_025987003.1
OG0001116	NP_001284912.1	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	NP_647890.2	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	NP_730935.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	NP_573179.1	XP_025989072.1
OG0001120	NP_001303491.1	XP_039302541.1
OG0001120	NP_001286419.1	XP_039302542.1
OG0001121	NP_523778.2	XP_025991526.1, XP_039307815.1
OG0001124	NP_611463.1	XP_011163637.1, XP_011163636.1
OG0001125	NP_996437.1	XP_039310854.1, XP_025992661.2
OG0001126	NP_001263150.1	XP_011166887.2, XP_025985954.2
OG0001127	NP_001259697.1	XP_011158552.1, XP_011158551.3
OG0001128	NP_649862.1	XP_011156523.3
OG0001128	NP_476687.1	XP_011163428.1
OG0001129	NP_001260832.1	XP_011156357.1, XP_039307593.1
OG0001130	NP_001285414.1	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	NP_001262954.1	XP_039301948.1, XP_011157851.1
OG0001132	NP_477136.1	XP_011163174.1
OG0001134	NP_650596.1	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	NP_001261958.1	XP_039313398.1
OG0001137	NP_001162634.1, NP_569918.1	XP_011157895.1, XP_025995386.1
OG0001138	NP_609847.1	XP_011168199.1
OG0001139	NP_650430.1	XP_025985879.1, XP_039309052.1, XP_025985881.1, XP_025993909.2
OG0001140	NP_610460.1	XP_011165958.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	XP_025995593.1
OG0001142	NP_001285029.1	XP_011155375.3
OG0001143	NP_524026.1	XP_011169579.1
OG0001144	NP_649981.1	XP_025992524.1, XP_011166007.2
OG0001145	NP_610183.1	XP_011168245.2
OG0001146	NP_001163124.1	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	NP_573361.1	XP_011166309.1
OG0001148	NP_651990.1	XP_011172034.1
OG0001149	NP_001246233.1	XP_039312701.1, XP_011169138.1
OG0001150	NP_524167.1	XP_039310944.1
OG0001151	NP_001262934.1	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	NP_608533.1	XP_011159091.2
OG0001153	NP_609012.2	XP_025989988.2, XP_039312520.1
OG0001154	NP_650326.3	XP_039304154.1, XP_039304148.1
OG0001155	NP_001245723.1	XP_011172072.1, XP_039302712.1
OG0001156	NP_727144.1	XP_011159299.2
OG0001157	NP_524637.2	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	NP_523922.1	XP_025991651.1
OG0001159	NP_001246974.1, NP_524850.2	XP_011167339.1
OG0001160	NP_001285873.1	XP_039311819.1
OG0001161	NP_477313.1	XP_011167380.1
OG0001162	NP_001246331.1	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1
OG0001165	NP_001247163.1	XP_025985971.2
OG0001166	NP_524216.1, NP_727251.1	XP_011168537.1, XP_011168538.1
OG0001167	NP_476980.1	XP_011156104.1
OG0001168	NP_477466.1	XP_011176352.1
OG0001169	NP_648620.1, NP_523655.1	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001170	NP_524664.1	XP_011162655.1
OG0001171	NP_001368984.1	XP_025994529.1, XP_025994523.1
OG0001172	NP_001246928.1	XP_025987963.1, XP_025987960.1
OG0001173	NP_001261097.1	XP_011158513.2, XP_039310526.1
OG0001174	NP_001104426.1	XP_011161987.1
OG0001175	NP_001261470.1	XP_025993082.1
OG0001176	NP_649439.1	XP_039302580.1, XP_039302579.1, XP_039302581.1
OG0001179	NP_001284976.1	XP_039304562.1
OG0001180	NP_001259321.1	XP_011167997.1, XP_025990282.1
OG0001181	NP_573161.1	XP_011156355.1, XP_039307596.1
OG0001182	NP_001246890.1	XP_039305887.1, XP_039305890.1
OG0001183	NP_001246707.1	XP_025990516.1
OG0001184	NP_001287560.1	XP_011156884.2, XP_039307254.1
OG0001185	NP_001137887.1	XP_039312820.1
OG0001186	NP_648908.1	XP_011175807.1
OG0001187	NP_001261023.1	XP_011172004.1, XP_011172006.1
OG0001188	NP_001163482.1	XP_011163748.1
OG0001189	NP_001097192.2	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1
OG0001190	NP_001097387.1	XP_025987355.2
OG0001191	NP_996290.1, NP_001262929.1	XP_025993238.1, XP_039303760.1
OG0001193	NP_001163283.1	XP_011173460.1
OG0001195	NP_608725.1	XP_025985837.1, XP_011166782.1, XP_011166783.1
OG0001197	NP_569979.1	XP_011157457.1, XP_025987979.1, XP_011157456.1
OG0001198	NP_476939.1	XP_039314770.1
OG0001199	NP_647878.1	XP_011172415.1
OG0001201	NP_611863.1	XP_011162101.2
OG0001202	NP_731269.2	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_039310696.1, XP_011163743.2
OG0001204	NP_001163181.1	XP_025991982.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_039314810.1, XP_039303835.1
OG0001206	NP_001245695.1	XP_011156167.1
OG0001207	NP_001262204.1	XP_011156545.1, XP_039302232.1
OG0001208	NP_001262609.1	XP_011170339.1, XP_039314294.1
OG0001211	NP_788360.2, NP_001097455.1, NP_648203.1	XP_039305023.1, XP_039305022.1
OG0001214	NP_572278.1	XP_011160964.2
OG0001215	NP_001260930.1	XP_039312900.1
OG0001216	NP_609382.1	XP_011172216.1
OG0001217	NP_523379.2	XP_011175935.1, XP_039308277.1, XP_011175936.1
OG0001218	NP_001285628.1	XP_011166690.1, XP_011166689.1, XP_039301873.1
OG0001219	NP_477043.1	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1
OG0001220	NP_476594.1	XP_011169281.1, XP_039302204.1
OG0001221	NP_650287.3	XP_025992507.1
OG0001222	NP_001262515.1	XP_011164688.1, XP_011164686.1, XP_011164689.1
OG0001223	NP_573055.1	XP_011164227.1
OG0001224	NP_650632.1	XP_011159507.1
OG0001225	NP_611211.3, NP_573315.1	XP_011164828.1
OG0001226	NP_001259731.1	XP_011166465.1
OG0001228	NP_001260246.1	XP_025987277.1, XP_039314353.1
OG0001229	NP_651876.1	XP_039305870.1
OG0001230	NP_001285360.1, NP_650407.1	XP_011169142.1
OG0001231	NP_001036283.1	XP_011158057.1
OG0001231	NP_523440.1	XP_025986565.1
OG0001232	NP_001285827.1	XP_011166300.1
OG0001233	NP_001162628.1	XP_011170934.1, XP_039302501.1
OG0001234	NP_001036706.2	XP_011161472.2
OG0001236	NP_001246793.1, NP_001261942.1	XP_039312471.1, XP_011161524.1
OG0001237	NP_001246667.1	XP_039311173.1, XP_039310827.1
OG0001238	NP_001014689.3	XP_025993336.1, XP_039304779.1
OG0001239	NP_001015221.1	XP_025995034.1
OG0001240	NP_001097042.1, NP_649903.1	XP_011165534.1
OG0001241	NP_733336.1	XP_011172347.1, XP_011172352.1
OG0001242	NP_001260760.1, NP_724538.1	XP_011163952.2
OG0001244	NP_001189177.2	XP_011168503.1
OG0001245	NP_001245557.1	XP_025988274.1
OG0001246	NP_476932.1	XP_039303840.1, XP_025988269.1, XP_011168731.1
OG0001247	NP_572740.1	XP_011164739.2
OG0001248	NP_001259908.1	XP_039304594.1
OG0001249	NP_572452.1	XP_039309218.1
OG0001250	NP_001259742.1	XP_011164364.2
OG0001251	NP_572932.2	XP_039312198.1
OG0001254	NP_001285084.1	XP_011168604.1
OG0001255	NP_001261169.1	XP_039314922.1, XP_025987255.1
OG0001256	NP_728275.1	XP_025988912.1, XP_025988913.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_011160876.1, XP_025994228.1
OG0001258	NP_001162998.1, NP_001286014.1	XP_039305542.1
OG0001259	NP_724582.1	XP_011164216.2
OG0001260	NP_525109.1	XP_039304059.1, XP_011166201.1
OG0001261	NP_001097659.1	XP_011160516.2
OG0001262	NP_001188672.1	XP_011164195.1
OG0001263	NP_523511.2	XP_011170503.1
OG0001264	NP_610425.1	XP_011165039.1
OG0001265	NP_001162912.1	XP_039315308.1
OG0001267	NP_001261146.1	XP_011163983.1, XP_039308646.1, XP_025994469.1, XP_039308643.1
OG0001269	NP_612019.2	XP_039315133.1, XP_025994739.1, XP_039315135.1
OG0001270	NP_730968.1	XP_011157222.1
OG0001271	NP_651398.1	XP_039313271.1
OG0001272	NP_476658.1	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_025987733.1
OG0001274	NP_476741.1	XP_011173464.2
OG0001275	NP_001286478.1	XP_011164629.1, XP_025990967.2
OG0001277	NP_611899.1	XP_025989192.1
OG0001278	NP_524327.1	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1
OG0001279	NP_524633.3	XP_039311659.1, XP_011163520.1, XP_039311656.1
OG0001280	NP_001036627.2	XP_011168647.1
OG0001281	NP_001246506.1	XP_011171013.1, XP_011171012.1
OG0001282	NP_649261.1	XP_011163529.2
OG0001283	NP_476902.1	XP_039309473.1, XP_039309472.1
OG0001284	NP_001163032.1	XP_011159268.2
OG0001286	NP_610431.1	XP_011175133.1
OG0001287	NP_732006.2	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2
OG0001288	NP_001285508.1	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1
OG0001289	NP_001261265.1	XP_011162420.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1
OG0001291	NP_001163636.1	XP_025995978.1, XP_039315524.1
OG0001292	NP_611945.3	XP_039312474.1
OG0001293	NP_649850.1	XP_011160608.1
OG0001294	NP_611855.1	XP_011166902.1
OG0001295	NP_724562.2	XP_025988763.2, XP_011172182.2, XP_039313063.1
OG0001298	NP_001163084.1	XP_025991722.1
OG0001299	NP_609088.1	XP_011155329.2
OG0001300	NP_001259918.1	XP_039308336.1, XP_011176356.1
OG0001301	NP_001188545.1	XP_039313098.1
OG0001303	NP_001261027.1	XP_011162751.2, XP_025993208.2
OG0001304	NP_001246121.1	XP_039303726.1, XP_011169416.1
OG0001306	NP_001262403.1	XP_039311745.1, XP_025993252.1
OG0001307	NP_001356969.1	XP_025992202.1, XP_025992201.1, XP_039304075.1
OG0001308	NP_001245739.1, NP_727344.1	XP_011164101.2
OG0001310	NP_650685.1	XP_011175922.1
OG0001312	NP_001285588.1	XP_011169654.1
OG0001314	NP_001246531.1	XP_025987160.1, XP_025987159.1
OG0001315	NP_001285099.1, NP_728935.1	XP_039307094.1, XP_039307090.1, XP_039307091.1
OG0001316	NP_001246495.1	XP_011165521.1, XP_011165520.1, XP_039307433.1
OG0001317	NP_648019.2	XP_039305014.1, XP_011169093.1
