Orthogroup	Drosophila_melanogaster	Anopheles_gambiae
OG0001195	NP_608725.1	XP_319946.4
OG0001196	NP_001245572.1	XP_003437074.1
OG0001196	NP_572406.1, NP_572795.2, NP_572410.2, NP_001368933.1, NP_001138177.1, NP_001138176.1, NP_001138175.1	XP_003437077.1, XP_003437075.1, XP_003437076.1, XP_003436234.1, XP_003436235.1, XP_001237436.3, XP_003436233.1, XP_001230786.3
OG0001197	NP_569979.1	XP_311347.4
OG0001198	NP_476939.1	XP_317373.3
OG0001199	NP_647878.1	XP_315370.3, XP_001688648.1
OG0001200	NP_648017.1	XP_308550.4, XP_315686.1, XP_315684.2, XP_556314.2, XP_556312.2, XP_315687.1, XP_315688.1, XP_307014.4, XP_001688707.1, XP_001688706.1, XP_556332.3, XP_001688708.1, XP_556335.3, XP_315702.4, XP_308541.4, XP_316711.4, XP_001237857.2, XP_001688952.1, XP_564960.3, XP_312513.5
OG0001201	NP_611863.1	XP_314343.4
OG0001202	NP_731269.2	XP_320320.4, XP_320321.3
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_308917.3, XP_313576.4
OG0001204	NP_001163181.1	XP_556259.3
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_310915.3
OG0001207	NP_001262204.1	XP_320895.4, XP_320898.4
OG0001208	NP_001262609.1	XP_563571.4
OG0001214	NP_572278.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	NP_001260930.1	XP_315584.3
OG0001216	NP_609382.1	XP_319631.4
OG0001217	NP_523379.2	XP_001237272.3
OG0001218	NP_001285628.1	XP_311542.4
OG0001219	NP_477043.1	XP_321594.5
OG0001220	NP_476594.1	XP_317914.3, XP_320417.3
OG0001221	NP_649919.1	XP_311899.3
OG0001221	NP_650287.3	XP_313849.2
OG0001222	NP_001262515.1	XP_321456.5, XP_003435893.1
OG0001223	NP_573055.1	XP_311768.3
OG0001224	NP_650632.1	XP_315115.4
OG0001225	NP_611211.3, NP_573315.1	XP_003437152.1, XP_309141.2, XP_001688166.1
OG0001226	NP_001259731.1	XP_557147.3
OG0001228	NP_001260246.1	XP_308185.4
OG0001229	NP_651876.1	XP_321154.5, XP_561425.4
OG0001230	NP_001285360.1, NP_650407.1	XP_306740.3, XP_555129.1
OG0001231	NP_001036283.1	XP_316842.5
OG0001231	NP_523440.1	XP_319125.4
OG0001232	NP_001285827.1	XP_317470.4
OG0001233	NP_001162628.1	XP_309343.4
OG0001234	NP_001036706.2	XP_318427.5
OG0001235	NP_647976.1, NP_610496.1	XP_001688180.1
OG0001235	NP_650931.1, NP_001286944.1	XP_309345.4
OG0001235	NP_649897.4	XP_321411.3
OG0001235	NP_611654.1, NP_001286709.1, NP_611653.1, NP_573047.1, NP_001262159.1	XP_306016.2, XP_308522.4
OG0001236	NP_001246793.1, NP_001261942.1	XP_308646.4
OG0001237	NP_001246667.1	XP_316118.4, XP_001688780.1, XP_001688779.1
OG0001238	NP_001014689.3	XP_311357.4
OG0001239	NP_001015221.1	XP_307938.5
OG0001240	NP_001097042.1, NP_649903.1	XP_318582.3
OG0001241	NP_733336.1	XP_320914.4
OG0001242	NP_001260760.1, NP_724538.1	XP_308221.4
OG0001244	NP_001189177.2	XP_001689367.1
OG0001245	NP_001245557.1	XP_321648.3
OG0001246	NP_476932.1	XP_310077.4
OG0001247	NP_572740.1	XP_321174.5
OG0001248	NP_001259908.1	XP_310021.4
OG0001249	NP_572452.1	XP_320124.6, XP_312729.4
OG0001250	NP_001259742.1	XP_003436645.1, XP_308104.5
OG0001251	NP_572932.2	XP_310489.5, XP_001688288.2
OG0001252	NP_610892.1, NP_611132.1, NP_001097338.1, NP_001261679.1, NP_001260959.1, NP_729613.1	XP_317580.4
OG0001252	NP_729394.1, NP_648244.1	XP_321111.3
OG0001254	NP_001285084.1	XP_320968.4
OG0001255	NP_001261169.1	XP_564170.3
OG0001256	NP_728275.1	XP_560153.3, XP_003437143.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_562831.2, XP_003436380.1
OG0001258	NP_001162998.1, NP_001286014.1	XP_310177.3
OG0001259	NP_724582.1	XP_311427.4
OG0001260	NP_525109.1	XP_308216.2
OG0001261	NP_001097659.1	XP_320145.3
OG0001262	NP_001188672.1	XP_312902.5, XP_001237504.2
OG0001263	NP_523511.2	XP_318757.4
OG0001264	NP_610425.1	XP_317955.4
OG0001265	NP_001162912.1	XP_559898.3
OG0001267	NP_001261146.1	XP_314507.4
OG0001267	NP_609711.1	XP_317303.4
OG0001269	NP_612019.2	XP_309316.4
OG0001270	NP_730968.1	XP_307773.4
OG0001271	NP_651398.1	XP_312449.4
OG0001272	NP_476658.1	XP_316157.2
OG0001273	NP_001285109.1	XP_310979.5
OG0001274	NP_476741.1	XP_312084.5
OG0001277	NP_611899.1	XP_552532.3
OG0001278	NP_524327.1	XP_321063.5
OG0001279	NP_524633.3	XP_311100.5
OG0001280	NP_001036627.2	XP_319604.4
OG0001281	NP_001246506.1	XP_001237136.2, XP_003435739.1
OG0001282	NP_649261.1	XP_001688070.1
OG0001283	NP_476902.1	XP_313998.3
OG0001284	NP_001163032.1	XP_001689151.1, XP_001689162.1
OG0001286	NP_610431.1	XP_318853.2
OG0001287	NP_732006.2	XP_551001.4
OG0001288	NP_001285508.1	XP_310977.5
OG0001289	NP_001261265.1	XP_003437137.1, XP_309110.3
OG0001290	NP_651092.1	XP_311436.4
OG0001291	NP_001163636.1	XP_313145.5
OG0001292	NP_611945.3	XP_308278.3
OG0001293	NP_649850.1	XP_311898.4
OG0001294	NP_611855.1	XP_321341.3
OG0001295	NP_724562.2	XP_314005.4, XP_001688503.1, XP_001688504.1
OG0001296	NP_001369075.1	XP_001687851.1, XP_001687850.1
OG0001298	NP_001163084.1	XP_308149.4
OG0001300	NP_001259918.1	XP_314929.3
OG0001301	NP_001188545.1	XP_310852.4
OG0001303	NP_001261027.1	XP_320455.4
OG0001304	NP_001246121.1	XP_001237568.1
OG0001305	NP_001261304.1	XP_308312.4, XP_001687892.1, XP_308314.4
OG0001306	NP_001262403.1	XP_318367.5, XP_003436659.1, XP_003436658.1
OG0001307	NP_001188960.1	XP_319802.4
OG0001307	NP_001356969.1	XP_001237138.3
OG0001308	NP_001245739.1, NP_727344.1	XP_565909.3
OG0001310	NP_650685.1	XP_310388.3
OG0001312	NP_001285588.1	XP_317732.2
OG0001313	NP_611656.2, NP_001286926.1, NP_728791.1, NP_001303369.1, NP_649015.2	XP_309300.4
OG0001314	NP_001246531.1	XP_316418.4
OG0001315	NP_001285099.1, NP_728935.1	XP_001688741.1, XP_315896.4
OG0001316	NP_001246495.1	XP_308707.4
OG0001317	NP_648019.2	XP_316638.4
OG0001318	NP_001188775.1	XP_319761.3
OG0001320	NP_651060.1	XP_320705.4
OG0001322	NP_651570.1	XP_313611.5, XP_003436787.1
OG0001328	NP_001097695.1	XP_321026.4
OG0001329	NP_647948.1	XP_308396.4
OG0001330	NP_001246537.1	XP_320278.2
OG0001331	NP_001260303.1	XP_310307.5, XP_003436600.1
OG0001332	NP_650887.1, NP_570011.1	XP_308202.3
OG0001333	NP_649539.1	XP_312171.3
OG0001334	NP_001287343.1	XP_555006.1, XP_001238801.1
OG0001335	NP_609362.1	XP_316939.3
OG0001336	NP_609967.1	XP_317297.3
OG0001336	NP_001162901.1	XP_310039.4
OG0001337	NP_612097.1	XP_313722.3
OG0001338	NP_572855.1	XP_316877.5
OG0001339	NP_001260727.1	XP_310597.2
OG0001340	NP_001284961.1	XP_551371.1, XP_003435845.1, XP_003435844.1
OG0001341	NP_001259867.1	XP_320076.4
OG0001342	NP_001138093.1	XP_320130.3
OG0001343	NP_477025.1	XP_308170.4
OG0001344	NP_652315.2	XP_314163.4
OG0001345	NP_648955.1	XP_315997.4
OG0001346	NP_001097946.1	XP_322022.5
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_001687935.1, XP_001687938.1
OG0001348	NP_608350.2	XP_321887.4
OG0001349	NP_477480.1	XP_003436725.1, XP_003436724.1, XP_003436723.1
OG0001350	NP_788708.2	XP_001230796.3
OG0001351	NP_001246931.1	XP_321338.3
OG0001352	NP_731459.2	XP_003436441.1, XP_553315.4
OG0001353	NP_001261357.1	XP_001238315.2
OG0001354	NP_611792.1	XP_315356.3
OG0001355	NP_572529.2	XP_313397.5
OG0001356	NP_001014559.1	XP_315694.1
OG0001359	NP_001259064.1	XP_308864.3, XP_003437100.1, XP_003437099.1, XP_311336.3
OG0001361	NP_650778.2	XP_003436721.1
OG0001362	NP_001287357.1	XP_310355.6
OG0001363	NP_001286088.1, NP_001286786.1	XP_003437112.1, XP_316789.3
OG0001364	NP_001188754.1	XP_310270.2
OG0001365	NP_001260427.1	XP_317619.4
OG0001366	NP_648508.1	XP_308172.4
OG0001367	NP_001285525.1	XP_318458.3
OG0001367	NP_609868.1, NP_609869.1, NP_724098.2	XP_314722.4
OG0001367	NP_609173.2, NP_001033883.2	XP_314725.4, XP_314724.4
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_312656.5
OG0001369	NP_001303363.1	XP_308535.4
OG0001370	NP_001162973.2	XP_319250.4
OG0001371	NP_610796.1	XP_316138.4
OG0001372	NP_610444.2	XP_316026.3
OG0001373	NP_731872.1	XP_003437187.1, XP_318273.4
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_314564.3
OG0001375	NP_001261379.1	XP_316578.4, XP_001237835.2, XP_316574.4
OG0001376	NP_001162697.1	XP_003437121.1
OG0001377	NP_572840.1	XP_312215.3
OG0001378	NP_572402.1	XP_320419.3
OG0001379	NP_723501.2	XP_319268.2
OG0001380	NP_001036421.1	XP_307876.4
OG0001381	NP_650889.1	XP_316621.3, XP_001688925.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_319318.3
OG0001383	NP_001036470.1	XP_316646.4
OG0001384	NP_001285453.1	XP_320637.3
OG0001385	NP_001260880.1	XP_314364.3
OG0001386	NP_001286474.1	XP_314061.4
OG0001387	NP_609412.1	XP_319589.4
OG0001388	NP_572320.2, NP_732840.1	XP_321258.5, XP_003435949.1
OG0001389	NP_788300.3	XP_309533.4, XP_001688850.1, XP_316369.3
OG0001390	NP_001286120.1	XP_319294.4
OG0001391	NP_001163354.1	XP_316352.3
OG0001393	NP_001285132.1, NP_001188593.1	XP_316059.4
OG0001394	NP_729025.1	XP_311608.4
OG0001395	NP_001137624.1	XP_308628.5
OG0001396	NP_001245761.1, NP_523412.1	XP_319240.5
OG0001397	NP_649764.1	XP_313548.1, XP_003436890.1
OG0001398	NP_001246972.1, NP_523949.2	XP_310956.5, XP_003436931.1, XP_003436932.1
OG0001399	NP_569982.1	XP_001230873.3, XP_313089.4
OG0001400	NP_724042.1	XP_317549.3
OG0001400	NP_001188828.1, NP_788071.3	XP_317551.4, XP_317550.3
OG0001401	NP_524675.1	XP_315885.2
OG0001402	NP_612065.1	XP_316681.4
OG0001403	NP_001259193.1, NP_733426.1	XP_003436814.1, XP_313732.5
OG0001404	NP_609110.1	XP_317751.3
OG0001405	NP_731223.1	XP_321345.3, XP_321346.4
OG0001406	NP_001015132.1	XP_313862.4
OG0001407	NP_001262226.1	XP_320518.4
OG0001408	NP_001163646.1	XP_003437018.1, XP_565822.3
OG0001409	NP_001162657.1	XP_001688370.2
OG0001410	NP_523844.2	XP_314486.1
OG0001413	NP_001261618.1	XP_309850.3
OG0001413	NP_001303415.1	XP_311009.5
OG0001414	NP_608864.1	XP_317350.4
OG0001415	NP_996016.2	XP_001688819.1, XP_316253.4
OG0001416	NP_723870.1	XP_555667.3
OG0001417	NP_611932.2	XP_308151.4
OG0001418	NP_001162911.1	XP_314941.3
OG0001419	NP_001036356.1	XP_001688271.1
OG0001419	NP_001260403.1	XP_310221.4
OG0001420	NP_650569.1	XP_321838.4
OG0001420	NP_651139.1	XP_001688621.2
OG0001421	NP_649899.1	XP_551368.4
OG0001422	NP_001189074.1	XP_315120.4, XP_307270.4, XP_307269.4, XP_315119.4
OG0001423	NP_729234.2	XP_001687887.1
OG0001424	NP_001262495.1	XP_307921.4
OG0001425	NP_788574.3	XP_565883.4
OG0001426	NP_001163056.1	XP_319732.4
OG0001427	NP_648499.1	XP_320403.3
OG0001428	NP_608929.1	XP_314678.2
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_317285.4
OG0001430	NP_001287466.1	XP_320982.5
OG0001431	NP_649852.2	XP_560607.4, XP_001687815.1, XP_317900.3, XP_561173.5, XP_554837.3, XP_317913.2, XP_561267.1, XP_560562.1
OG0001431	NP_001247289.1	XP_560786.5
OG0001432	NP_001188923.1, NP_611185.3	XP_320633.4
OG0001434	NP_788618.1, NP_649928.1	XP_307894.5, XP_003436082.1
OG0001436	NP_650868.1, NP_649289.2	XP_316604.4, XP_001688913.1, XP_001688912.1
OG0001437	NP_001286742.1	XP_319485.2
OG0001438	NP_727644.3	XP_311976.5, XP_003436313.1
OG0001440	NP_611647.1	XP_320189.4
OG0001441	NP_001027574.2	XP_311372.4
OG0001442	NP_001287592.1	XP_307936.4
OG0001443	NP_001096850.2	XP_321956.5
OG0001444	NP_001034052.2	XP_321723.5
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_312030.5
OG0001446	NP_648358.2	XP_318394.5, XP_003436668.1, XP_003436666.1, XP_003436667.1
OG0001453	NP_001285826.1	XP_310188.3
OG0001455	NP_610092.2	XP_314502.4, XP_314504.3
OG0001456	NP_001286295.1	XP_320465.2
OG0001457	NP_001163688.1	XP_311700.3
OG0001458	NP_476858.1	XP_320742.3
OG0001459	NP_001097610.1	XP_320168.4
OG0001459	NP_001263148.1	XP_308453.3
OG0001460	NP_476848.1	XP_313156.2
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_321733.4
OG0001462	NP_001262421.1	XP_003436675.1, XP_318432.4
OG0001463	NP_649574.1	XP_309942.4
OG0001464	NP_651592.2	XP_318672.4
OG0001464	NP_569871.2, NP_001246485.1	XP_321135.5
OG0001465	NP_001189124.1	XP_311607.2
OG0001466	NP_569951.1, NP_611911.1	XP_312403.4
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_554016.3
OG0001468	NP_001260652.1	XP_317127.3
OG0001469	NP_523568.2	XP_311746.4
OG0001470	NP_648768.1	XP_001230998.1, XP_001230999.1, XP_316361.2
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_314721.3
OG0001472	NP_725504.1, NP_001246828.1	XP_319592.3
OG0001472	NP_001286770.1	XP_316821.4
OG0001473	NP_001287361.1	XP_557363.3
OG0001474	NP_609560.2, NP_569850.1	XP_312327.5
OG0001477	NP_001014453.1	XP_557954.2
OG0001478	NP_001285042.1	XP_311138.3
OG0001479	NP_001036624.1	XP_315576.4
OG0001480	NP_524533.1	XP_551238.2
OG0001481	NP_001286181.1	XP_559127.3
OG0001482	NP_651924.2	XP_003436902.1
OG0001483	NP_001262996.1	XP_001237195.3
OG0001484	NP_001188579.1	XP_313559.5, XP_003436773.1, XP_551109.3
OG0001485	NP_569913.1	XP_321013.4
OG0001485	NP_523596.2	XP_557938.3
OG0001486	NP_476764.1	XP_308949.4
OG0001487	NP_001188904.1	XP_314027.4
OG0001488	NP_001189108.1	XP_309709.4
OG0001489	NP_648555.1	XP_308327.4, XP_001687895.1
OG0001490	NP_001246899.1	XP_311001.5
OG0001492	NP_001263168.1	XP_311683.4
OG0001493	NP_001262195.1	XP_001237650.2, XP_001237649.2
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_308673.4
OG0001495	NP_612063.2	XP_001237569.1
OG0001496	NP_609203.1	XP_308382.3, XP_003437212.1
OG0001497	NP_001260853.1	XP_309507.4
OG0001498	NP_729823.2	XP_315666.4
OG0001499	NP_572167.3	XP_562960.3
OG0001500	NP_730859.1	XP_307953.2
OG0001501	NP_001303373.1	XP_315768.3, XP_556409.3
OG0001502	NP_001261464.1	XP_315785.4
OG0001503	NP_665880.2	XP_318862.3
OG0001504	NP_001261440.1	XP_316013.4
OG0001505	NP_001097527.1	XP_321148.5
OG0001507	NP_001287269.1	XP_313800.4
OG0001508	NP_001138130.2	XP_310944.5
OG0001509	NP_001261116.1	XP_558145.3
OG0001510	NP_001284936.1	XP_313379.5
OG0001511	NP_649151.1	XP_315679.3, XP_306983.4, XP_556304.2, XP_001230355.2, XP_315675.3
OG0001514	NP_001188550.1	XP_321808.4
OG0001515	NP_001259809.1	XP_316960.4
OG0001516	NP_001163857.2, NP_001104417.3	XP_321387.5
OG0001517	NP_731242.1	XP_311715.3, XP_003436478.1, XP_003436479.1
OG0001518	NP_001036462.1	XP_319785.4
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_564767.3
OG0001520	NP_572480.1, NP_001368953.1	XP_321797.4
OG0001521	NP_523422.4	XP_316580.4
OG0001522	NP_001096867.3	XP_318144.4
OG0001524	NP_001261067.1	XP_309210.4
OG0001525	NP_477026.1	XP_313327.4
OG0001526	NP_001369078.1	XP_558644.3, XP_001230984.2
OG0001527	NP_001259089.1	XP_003436816.1, XP_313742.4
OG0001529	NP_001162930.1	XP_310236.3, XP_307879.4
OG0001530	NP_611501.1	XP_308434.3
OG0001531	NP_651595.1	XP_320985.2
OG0001532	NP_001162665.1	XP_318096.4
OG0001533	NP_728534.2	XP_315707.4
OG0001534	NP_731923.2	XP_003435886.1, XP_321515.4
OG0001535	NP_001261999.1	XP_318386.5
OG0001536	NP_648357.1	XP_308789.4, XP_556808.3, XP_001688789.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_320593.4, XP_317447.4
OG0001538	NP_995639.1	XP_001687839.2
OG0001539	NP_524017.1	XP_318061.4
OG0001540	NP_610693.1, NP_610694.1	XP_315568.3, XP_001688680.1, XP_001688679.1
OG0001541	NP_001261940.1	XP_308645.4
OG0001542	NP_609207.1	XP_317569.4
OG0001543	NP_650901.2	XP_003436971.1
OG0001545	NP_523451.2	XP_318635.3
OG0001546	NP_001247104.1	XP_312041.5
OG0001548	NP_001285388.1	XP_001231112.2, XP_001231113.2, XP_001231111.2, XP_001231110.2
OG0001550	NP_647968.3	XP_001230662.1
OG0001551	NP_001246815.1	XP_001688523.1, XP_314100.4
OG0001552	NP_477317.1	XP_318541.4
OG0001553	NP_651623.1	XP_313022.3
OG0001554	NP_001261344.1	XP_001688023.1, XP_001688025.1
OG0001555	NP_001246451.1	XP_320393.4
OG0001556	NP_726771.1	XP_308925.4
OG0001557	NP_001285174.1	XP_321982.3
OG0001557	NP_001260951.1	XP_318856.3
OG0001558	NP_001245722.1	XP_310248.7, XP_316659.3
OG0001559	NP_650472.2	XP_321922.5
OG0001560	NP_001246228.1	XP_307067.3, XP_319478.3, XP_307611.3
OG0001561	NP_001260963.1	XP_313778.5
OG0001562	NP_001137943.2	XP_001688616.1, XP_001688617.1
OG0001563	NP_001246300.1	XP_552478.2
OG0001565	NP_001286976.1	XP_308594.4
OG0001567	NP_001137746.1	XP_552509.3
OG0001568	NP_001263152.1	XP_312875.5
OG0001569	NP_477320.1	XP_308701.2
OG0001570	NP_648176.1	XP_001237154.2
OG0001571	NP_610075.2	XP_319421.4
OG0001575	NP_524337.1	XP_317568.3
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_553723.1
OG0001577	NP_001285493.1	XP_310528.5
OG0001579	NP_001097592.1	XP_316180.4
OG0001580	NP_001285528.1	XP_001231055.3, XP_003437188.1, XP_003437189.1
OG0001581	NP_608983.2	XP_317108.3
OG0001582	NP_001287593.1	XP_313138.5
OG0001583	NP_001189157.1	XP_563637.3
OG0001584	NP_648993.1	XP_311327.5
OG0001585	NP_001262143.1	XP_316571.4, XP_001237834.2
OG0001586	NP_647865.2	XP_312095.5
OG0001587	NP_648090.1	XP_308295.3
OG0001588	NP_001188558.1	XP_312218.5
OG0001589	NP_726318.1	XP_308241.3, XP_311195.5
OG0001590	NP_572910.1	XP_312916.5, XP_003436238.1, XP_001237434.2, XP_312156.3, XP_563375.3, XP_003436237.1, XP_312155.4, XP_309133.5
OG0001590	NP_001285210.1	XP_311060.5
OG0001591	NP_001286018.1	XP_317090.2
OG0001592	NP_647896.1	XP_317552.4
OG0001593	NP_001287342.1	XP_307791.5
OG0001594	NP_001259723.1	XP_003436556.1, XP_001688443.2
OG0001595	NP_611252.1	XP_001688026.1
OG0001596	NP_730651.1	XP_313347.3
OG0001600	NP_001286151.1	XP_315510.4
OG0001601	NP_001097706.1	XP_309586.5
OG0001602	NP_001033958.1	XP_307192.4, XP_313852.5
OG0001604	NP_001163129.1	XP_314263.5
OG0001606	NP_523902.2	XP_001689072.1
OG0001607	NP_001285753.1	XP_001689143.1
OG0001608	NP_001260655.1	XP_319419.4
OG0001614	NP_001259303.1, NP_569908.1	XP_560351.3, XP_003436655.1
OG0001615	NP_523764.1	XP_311852.2, XP_003436358.1, XP_003436357.1
OG0001616	NP_001259833.1	XP_320422.3, XP_309574.1
OG0001617	NP_524011.1	XP_322024.4
OG0001619	NP_652526.1	XP_321321.5
OG0001620	NP_609496.1	XP_319591.2
OG0001623	NP_524400.2	XP_312663.4
OG0001624	NP_788056.1	XP_555021.3
OG0001625	NP_001262669.1	XP_315994.4
OG0001626	NP_001259186.1	XP_309502.3, XP_564374.3
OG0001627	NP_001303417.1	XP_320536.3
OG0001628	NP_651052.1	XP_311731.4
OG0001629	NP_651782.1	XP_314557.3
OG0001630	NP_729395.2	XP_001688837.1, XP_001688836.1, XP_001688838.1, XP_316326.4
OG0001631	NP_001261267.1	XP_310839.5
OG0001633	NP_001246351.1	XP_314323.3
OG0001634	NP_651054.1	XP_001230888.3
OG0001636	NP_728142.1	XP_003437190.1, XP_315309.4, XP_003437193.1, XP_003437194.1, XP_001688627.1, XP_001688628.1, XP_003437192.1, XP_003437191.1
OG0001637	NP_612046.1	XP_316947.3
OG0001638	NP_648826.2	XP_320601.4
OG0001639	NP_572360.1	XP_311186.5
OG0001640	NP_477027.1	XP_554103.3
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_320141.4, XP_311577.4, XP_320549.4
OG0001642	NP_725207.1	XP_320480.3
OG0001644	NP_001262395.1	XP_322002.5
OG0001645	NP_733058.1	XP_320998.5
OG0001646	NP_001285211.1	XP_319692.3
OG0001647	NP_570025.1	XP_310671.5
OG0001648	NP_001287187.1	XP_310884.2
OG0001649	NP_609720.1, NP_524152.2	XP_315051.4
OG0001650	NP_648222.3	XP_557360.3
OG0001651	NP_001259585.1	XP_003437027.1
OG0001652	NP_788858.1	XP_322051.4, XP_003435750.1, XP_003435751.1
OG0001653	NP_995788.1	XP_320653.4
OG0001654	NP_001246814.1	XP_316322.4
OG0001655	NP_001245567.1	XP_317107.3
OG0001656	NP_569872.1	XP_320117.3
OG0001657	NP_001286489.1	XP_309717.4
OG0001658	NP_001259992.1	XP_314661.3
OG0001659	NP_730944.2	XP_562889.4
OG0001660	NP_648750.1	XP_001230361.2, XP_309701.3
OG0001661	NP_001261775.1	XP_308822.4, XP_001688101.1, XP_001688100.1
OG0001662	NP_001097377.2	XP_001688561.1, XP_314339.4
OG0001663	NP_649918.1	XP_312168.5
OG0001664	NP_648183.3	XP_321343.4
OG0001665	NP_001014619.2	XP_003436860.1, XP_003436866.1, XP_003436867.1, XP_003436863.1, XP_003436864.1, XP_003436865.1, XP_003436861.1, XP_315232.3
OG0001666	NP_001163472.1, NP_649145.1	XP_001687855.1
OG0001667	NP_001261574.1	XP_308664.3
OG0001669	NP_001287417.1	XP_318809.4
OG0001670	NP_001138149.1	XP_310718.5
OG0001671	NP_732316.2	XP_001689406.1
OG0001672	NP_001246400.1	XP_318539.2
OG0001673	NP_649883.1	XP_317141.3
OG0001674	NP_001260539.1	XP_317052.4
OG0001675	NP_001261382.1	XP_316722.3, XP_001688955.1, XP_001688954.1
OG0001676	NP_001163073.2	XP_563676.2
OG0001677	NP_001260561.1	XP_311928.3
OG0001679	NP_611460.1	XP_311576.3
OG0001680	NP_001260364.1, NP_001033899.1	XP_318947.2
OG0001681	NP_001163282.1	XP_024667092.1
OG0001682	NP_001285158.1	XP_001688188.1
OG0001684	NP_001368993.1, NP_001368940.1	XP_307591.4, XP_313010.5
OG0001685	NP_001097520.2	XP_308495.3
OG0001686	NP_731649.2	XP_313332.4
OG0001687	NP_609069.1	XP_319096.3
OG0001688	NP_001104382.3	XP_308980.4, XP_001688145.1
OG0001690	NP_652015.1	XP_310193.4
OG0001693	NP_001245400.1	XP_309509.4
OG0001694	NP_610256.1	XP_317241.4
OG0001695	NP_001262760.1	XP_311525.1, XP_311053.3
OG0001696	NP_001247156.1	XP_310413.7
OG0001697	NP_001245797.1	XP_003437059.1, XP_311206.3
OG0001699	NP_733303.2	XP_322003.5
OG0001700	NP_001189311.1	XP_312660.5
OG0001701	NP_995862.1	XP_317858.4
OG0001702	NP_651170.1	XP_312777.5, XP_003436390.1
OG0001703	NP_001262871.1, NP_651242.1	XP_003436874.1, XP_003436875.1, XP_315198.5
OG0001704	NP_001356971.1	XP_308365.4, XP_001687908.1
OG0001706	NP_001247116.1	XP_320092.4
OG0001707	NP_001262589.2	XP_311912.3
OG0001708	NP_001287390.1	XP_309293.4
OG0001709	NP_001303494.1	XP_001230626.3, XP_003436693.1
OG0001711	NP_608741.1	XP_317208.4
OG0001712	NP_001188885.2	XP_320207.4
OG0001713	NP_001033943.2	XP_318067.4
OG0001714	NP_649156.1	XP_307259.4
OG0001715	NP_001285698.1	XP_318881.4
OG0001716	NP_001163671.1	XP_003435836.1, XP_551386.4, XP_003435835.1, XP_003435838.1, XP_003435837.1
OG0001717	NP_611675.2	XP_321495.3
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_556198.1, XP_315559.4
OG0001719	NP_001245568.1	XP_310666.5, XP_003436992.1
OG0001720	NP_610938.1	XP_309530.2
OG0001722	NP_723401.1	XP_003435814.1, XP_321755.3
OG0001723	NP_524242.2, NP_001287190.1	XP_319532.3, XP_321724.3, XP_003435819.1, XP_001231183.1, XP_319537.3
OG0001724	NP_001261391.1	XP_315996.3
OG0001725	NP_524401.2	XP_312990.5
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_310802.4, XP_003436968.1, XP_003436967.1
OG0001727	NP_001036351.2	XP_318889.3
OG0001727	NP_608475.1, NP_609417.1	XP_001689195.1, XP_001689196.1, XP_319626.4
OG0001728	NP_001286002.1	XP_555522.3
OG0001729	NP_001286919.1	XP_001688020.1, XP_001237109.2, XP_565017.3, XP_001688022.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_321872.5
OG0001731	NP_572995.1, NP_001163445.1	XP_320608.2
OG0001732	NP_651725.1	XP_316858.4
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1	XP_555086.4
OG0001733	NP_523507.2	XP_317088.3
OG0001734	NP_608563.1	XP_316946.4
OG0001735	NP_609387.1	XP_321102.4
OG0001736	NP_001014495.1	XP_317530.3
OG0001736	NP_001097944.1	XP_311183.5
OG0001736	NP_001097937.1	XP_317071.4, XP_317075.4
OG0001737	NP_001259675.1, NP_001033853.1	XP_003437186.1
OG0001738	NP_001014543.1	XP_001689128.1
OG0001739	NP_001246653.1	XP_315836.2
OG0001740	NP_001036555.1	XP_309567.4
OG0001742	NP_733224.2	XP_321539.2, XP_321540.2
OG0001743	NP_001285126.1	XP_310826.2
OG0001744	NP_651315.2	XP_310145.3, XP_310146.3
