Orthogroup	Drosophila_melanogaster	Megalopta_genalis
OG0000863	NP_001356936.1	XP_033337885.1
OG0000864	NP_650375.1	XP_033328031.1
OG0000865	NP_731737.1	XP_033333958.1
OG0000866	NP_651240.1	XP_033335441.1, XP_033335442.1, XP_033335439.1, XP_033335438.1, XP_033335443.1
OG0000867	NP_001163063.1	XP_033321317.1
OG0000870	NP_647859.1	XP_033327373.1, XP_033327374.1
OG0000871	NP_001097404.2	XP_033335767.1, XP_033335765.1
OG0000872	NP_001284829.1	XP_033342110.1
OG0000873	NP_001260350.1, NP_001285763.1, NP_609253.1, NP_001285762.1, NP_609251.2, NP_609408.1	XP_033326410.1
OG0000875	NP_001163686.1	XP_033332238.1, XP_033332239.1, XP_033332240.1, XP_033332241.1
OG0000876	NP_001285284.1	XP_033327623.1, XP_033327624.1, XP_033327622.1, XP_033327625.1
OG0000877	NP_001286493.1	XP_033332054.1
OG0000878	NP_725583.1	XP_033329435.1
OG0000878	NP_726244.1	XP_033329348.1
OG0000879	NP_572205.1, NP_001137662.1	XP_033337729.1, XP_033337731.1
OG0000880	NP_001246349.1, NP_572380.1	XP_033335948.1, XP_033335947.1, XP_033335946.1
OG0000881	NP_649940.1	XP_033320874.1, XP_033320873.1
OG0000883	NP_001286628.1, NP_001246757.1	XP_033324661.1
OG0000884	NP_001138037.1	XP_033324890.1
OG0000885	NP_001284917.1	XP_033329552.1, XP_033329551.1, XP_033329550.1, XP_033329549.1
OG0000886	NP_001285034.1, NP_001163442.1	XP_033324028.1
OG0000887	NP_001262879.1, NP_001285815.1, NP_651171.1	XP_033333972.1, XP_033333973.1
OG0000888	NP_788566.1	XP_033329999.1
OG0000890	NP_001262870.1	XP_033337067.1, XP_033337074.1
OG0000892	NP_572420.1	XP_033329142.1, XP_033329141.1, XP_033331857.1
OG0000894	NP_996103.1	XP_033336733.1
OG0000895	NP_728897.1	XP_033327441.1, XP_033327361.1
OG0000897	NP_729092.1	XP_033321303.1, XP_033321304.1, XP_033321302.1
OG0000899	NP_648621.1	XP_033323280.1
OG0000900	NP_724759.1, NP_724760.2, NP_724761.1, NP_651841.3, NP_001137623.1	XP_033338649.1
OG0000901	NP_732828.1, NP_732827.1	XP_033342637.1
OG0000903	NP_996140.1	XP_033334211.1
OG0000904	NP_001027100.1	XP_033338446.1
OG0000905	NP_001259353.1	XP_033341054.1
OG0000906	NP_001334672.1	XP_033325463.1
OG0000908	NP_001286712.1	XP_033340608.1, XP_033340607.1, XP_033340606.1
OG0000909	NP_001097129.1	XP_033327460.1, XP_033327459.1, XP_033327458.1
OG0000910	NP_001286641.1, NP_572222.2, NP_611098.1, NP_611505.1	XP_033331994.1
OG0000911	NP_001097414.1	XP_033336031.1, XP_033336028.1, XP_033336020.1
OG0000914	NP_001247382.1	XP_033332627.1, XP_033332631.1
OG0000916	NP_001260893.1	XP_033341712.1
OG0000916	NP_001246266.1	XP_033341741.1
OG0000917	NP_651364.1	XP_033339626.1
OG0000918	NP_650227.1, NP_001027116.1, NP_001287495.1	XP_033334576.1
OG0000919	NP_649970.1	XP_033332363.1, XP_033332362.1
OG0000920	NP_609765.1	XP_033340048.1
OG0000921	NP_611022.2	XP_033320915.1, XP_033320914.1
OG0000922	NP_730171.1	XP_033327302.1, XP_033327300.1, XP_033327301.1
OG0000923	NP_524168.2	XP_033338947.1
OG0000924	NP_612042.3	XP_033331246.1, XP_033331247.1, XP_033331248.1, XP_033331249.1
OG0000925	NP_611028.1, NP_610538.1	XP_033341174.1, XP_033341170.1
OG0000927	NP_001286609.1	XP_033341765.1
OG0000928	NP_649849.1	XP_033325475.1
OG0000929	NP_001027091.1, NP_001097457.1	XP_033342980.1
OG0000930	NP_001189321.1	XP_033333008.1, XP_033333009.1, XP_033333010.1
OG0000932	NP_652032.1	XP_033342708.1
OG0000933	NP_001261362.1	XP_033340317.1, XP_033339921.1, XP_033328903.1
OG0000934	NP_611049.1	XP_033324343.1
OG0000936	NP_001286670.1	XP_033322963.1
OG0000937	NP_001285216.1	XP_033329538.1
OG0000937	NP_610163.1	XP_033329619.1, XP_033329617.1, XP_033329618.1
OG0000938	NP_001245529.1	XP_033337469.1
OG0000939	NP_610393.1	XP_033328434.1
OG0000939	NP_611976.3	XP_033328388.1
OG0000941	NP_651893.1, NP_725851.1	XP_033330406.1, XP_033330404.1, XP_033330407.1
OG0000942	NP_523759.1	XP_033342180.1, XP_033342196.1, XP_033342171.1, XP_033342188.1
OG0000943	NP_650540.1	XP_033324797.1, XP_033324795.1
OG0000944	NP_001303462.1	XP_033335860.1, XP_033335864.1
OG0000946	NP_652001.2	XP_033338836.1, XP_033330204.1
OG0000948	NP_524989.2	XP_033331636.1, XP_033331637.1
OG0000949	NP_611979.1	XP_033333797.1, XP_033343079.1, XP_033343080.1, XP_033343081.1, XP_033343082.1, XP_033320769.1
OG0000950	NP_523533.2	XP_033323558.1, XP_033323559.1, XP_033323560.1
OG0000951	NP_572423.1	XP_033332639.1, XP_033332638.1
OG0000952	NP_001259412.1	XP_033327799.1
OG0000953	NP_001303391.1, NP_001261796.1	XP_033339478.1
OG0000955	NP_001246706.1, NP_001286613.1	XP_033330558.1
OG0000957	NP_572947.1	XP_033327376.1, XP_033327377.1, XP_033327375.1
OG0000959	NP_001286450.1	XP_033339327.1, XP_033339325.1
OG0000960	NP_652376.2	XP_033336039.1
OG0000961	NP_001138124.2	XP_033324139.1, XP_033324058.1
OG0000962	NP_001286814.1	XP_033330788.1, XP_033330791.1
OG0000963	NP_609595.1, NP_001246015.1, NP_001260426.1	XP_033333707.1
OG0000964	NP_611183.1	XP_033334231.1, XP_033334232.1
OG0000965	NP_001261446.1	XP_033325969.1
OG0000966	NP_001286779.1	XP_033339240.1, XP_033339239.1
OG0000967	NP_611652.2	XP_033327106.1
OG0000968	NP_001097391.1	XP_033328909.1, XP_033328904.1, XP_033328905.1
OG0000970	NP_648776.1	XP_033342842.1, XP_033342843.1, XP_033342841.1
OG0000971	NP_001261998.1, NP_649005.1, NP_648269.1, NP_001286308.1	XP_033331031.1, XP_033331047.1
OG0000972	NP_723909.2	XP_033342734.1
OG0000974	NP_001303430.1	XP_033330881.1, XP_033330888.1, XP_033330882.1
OG0000975	NP_725339.1	XP_033327010.1, XP_033326986.1
OG0000976	NP_611087.1	XP_033322238.1, XP_033322154.1, XP_033322324.1
OG0000977	NP_649953.1, NP_570088.1	XP_033323828.1
OG0000978	NP_001137919.1	XP_033334688.1
OG0000979	NP_648138.1	XP_033330237.1, XP_033339159.1
OG0000980	NP_611622.2, NP_001033894.1, NP_726336.1, NP_995766.1	XP_033329496.1
OG0000982	NP_001262373.1	XP_033340630.1
OG0000983	NP_651770.1	XP_033321222.1, XP_033321225.1, XP_033321223.1, XP_033321226.1
OG0000984	NP_477487.1	XP_033328658.1
OG0000985	NP_611493.2	XP_033320990.1
OG0000986	NP_001262432.1	XP_033338976.1
OG0000986	NP_001097382.2	XP_033335560.1
OG0000987	NP_572772.1, NP_001259713.1	XP_033322185.1, XP_033324118.1
OG0000989	NP_001163569.1	XP_033334068.1, XP_033334115.1
OG0000990	NP_001261755.1	XP_033330907.1, XP_033330906.1
OG0000992	NP_001163012.2	XP_033330170.1, XP_033330171.1
OG0000993	NP_001027179.1	XP_033321472.1
OG0000994	NP_001027186.1, NP_001027188.1	XP_033334244.1, XP_033334245.1
OG0000995	NP_001246637.1, NP_651683.1	XP_033320898.1
OG0000996	NP_610121.2	XP_033326795.1
OG0000997	NP_001260223.1	XP_033323347.1
OG0000998	NP_572886.2, NP_724816.3, NP_610509.2, NP_001162808.1	XP_033333519.1, XP_033333518.1
OG0000999	NP_477257.2, NP_477258.1, NP_001285982.1, NP_001286499.1, NP_001285068.1, NP_611321.3	XP_033330325.1
OG0001000	NP_523396.1	XP_033331936.1, XP_033331946.1
OG0001001	NP_001247312.1	XP_033336870.1
OG0001002	NP_001261153.1	XP_033341676.1
OG0001002	NP_001163263.1, NP_652302.1	XP_033341695.1
OG0001003	NP_001246407.1	XP_033340689.1
OG0001004	NP_996022.1	XP_033325389.1
OG0001005	NP_476749.1	XP_033330827.1
OG0001006	NP_001014742.1	XP_033342465.1, XP_033342466.1
OG0001007	NP_651285.1	XP_033336108.1
OG0001008	NP_524108.1, NP_476787.1	XP_033342998.1
OG0001009	NP_608417.2	XP_033325838.1
OG0001009	NP_001188769.1	XP_033342936.1
OG0001010	NP_608618.1	XP_033331831.1
OG0001011	NP_610786.2	XP_033337566.1
OG0001013	NP_001286475.1	XP_033323900.1, XP_033323902.1
OG0001015	NP_001263129.1	XP_033334862.1
OG0001016	NP_649158.1	XP_033328945.1, XP_033342709.1
OG0001017	NP_001287430.1	XP_033340793.1
OG0001019	NP_649904.2	XP_033335112.1
OG0001020	NP_610455.1	XP_033339021.1
OG0001021	NP_001014528.1	XP_033335004.1
OG0001022	NP_001287359.1	XP_033332662.1, XP_033332665.1
OG0001023	NP_001138010.1, NP_524161.2	XP_033334891.1, XP_033334892.1
OG0001024	NP_001259954.1	XP_033335894.1, XP_033335895.1, XP_033335897.1
OG0001025	NP_001262626.1	XP_033326022.1
OG0001026	NP_651161.1	XP_033337831.1
OG0001027	NP_001096936.1	XP_033328121.1, XP_033328119.1, XP_033328120.1
OG0001028	NP_651668.1	XP_033342084.1, XP_033320854.1
OG0001030	NP_611858.2	XP_033324041.1
OG0001031	NP_001286053.1	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1
OG0001032	NP_001285619.1	XP_033330122.1, XP_033330124.1, XP_033342599.1
OG0001033	NP_001285396.1	XP_033328959.1
OG0001034	NP_726114.1	XP_033324169.1
OG0001035	NP_523400.1	XP_033323993.1
OG0001036	NP_647659.1	XP_033333456.1, XP_033333452.1, XP_033337123.1
OG0001037	NP_524381.1	XP_033333213.1
OG0001038	NP_001285948.1	XP_033324259.1
OG0001039	NP_477162.1	XP_033330410.1
OG0001040	NP_001246058.1	XP_033341328.1
OG0001041	NP_995607.1	XP_033326930.1, XP_033326929.1
OG0001042	NP_572293.1	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1
OG0001043	NP_729510.1	XP_033328373.1, XP_033328372.1
OG0001044	NP_001303410.1	XP_033340709.1, XP_033340717.1
OG0001045	NP_001263151.1	XP_033333148.1
OG0001046	NP_608363.1	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1
OG0001048	NP_001246674.1	XP_033328616.1
OG0001049	NP_001286666.1	XP_033334373.1
OG0001050	NP_001246821.1	XP_033334659.1
OG0001051	NP_476752.1, NP_001287451.1	XP_033342478.1
OG0001052	NP_572361.1	XP_033324321.1
OG0001053	NP_611760.2, NP_732726.2, NP_001260112.1	XP_033324032.1, XP_033324034.1
OG0001054	NP_476599.1	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1
OG0001055	NP_001259572.1	XP_033323439.1
OG0001056	NP_788543.1	XP_033330201.1, XP_033330119.1
OG0001057	NP_001285008.1	XP_033328156.1
OG0001058	NP_001262037.1	XP_033320886.1
OG0001059	NP_001014720.1	XP_033339480.1, XP_033339161.1
OG0001060	NP_611421.1	XP_033337027.1
OG0001061	NP_648303.1, NP_001033964.1	XP_033325808.1, XP_033325809.1
OG0001063	NP_001368937.1	XP_033342623.1, XP_033326899.1
OG0001065	NP_001036569.2	XP_033330489.1
OG0001066	NP_609599.1, NP_609604.1	XP_033342242.1, XP_033342247.1, XP_033342249.1
OG0001067	NP_611561.1	XP_033334970.1
OG0001068	NP_001246786.1	XP_033340448.1
OG0001069	NP_647877.1	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1
OG0001070	NP_652021.1, NP_001259264.1	XP_033328836.1
OG0001071	NP_001369025.1	XP_033321152.1
OG0001073	NP_651257.1, NP_651258.1	XP_033338221.1, XP_033338367.1
OG0001074	NP_001259969.1	XP_033321761.1, XP_033321765.1
OG0001076	NP_001260355.1	XP_033324478.1
OG0001077	NP_001162966.2	XP_033325061.1
OG0001078	NP_001261508.1	XP_033326059.1, XP_033326058.1
OG0001081	NP_001259757.1, NP_001097171.2, NP_001034004.1	XP_033324008.1
OG0001082	NP_001261395.1	XP_033341268.1, XP_033341269.1, XP_033341271.1, XP_033341272.1
OG0001083	NP_001163182.1	XP_033336142.1
OG0001084	NP_001261977.1	XP_033336597.1
OG0001085	NP_651472.2, NP_651701.1	XP_033332140.1, XP_033332139.1, XP_033332141.1
OG0001090	NP_001015155.1	XP_033327128.1, XP_033327130.1
OG0001091	NP_001285121.1, NP_001162839.1	XP_033325831.1, XP_033325832.1
OG0001092	NP_001259168.1	XP_033323362.1, XP_033323354.1
OG0001093	NP_610035.4	XP_033340576.1, XP_033340575.1
OG0001094	NP_001259316.1	XP_033340018.1
OG0001095	NP_610729.1, NP_001033818.1	XP_033341802.1, XP_033341801.1, XP_033341800.1
OG0001096	NP_001097086.1	XP_033338473.1
OG0001097	NP_524451.1	XP_033331437.1
OG0001098	NP_573359.1	XP_033338654.1
OG0001099	NP_001137973.1	XP_033332278.1
OG0001100	NP_001285120.1	XP_033330961.1
OG0001101	NP_650449.1	XP_033342811.1, XP_033342812.1, XP_033342810.1
OG0001102	NP_001284995.1, NP_524884.1	XP_033324282.1
OG0001103	NP_001245905.1	XP_033337723.1
OG0001104	NP_610475.1	XP_033327975.1
OG0001105	NP_001285263.1, NP_524696.2, NP_788903.1	XP_033323666.1, XP_033323665.1
OG0001107	NP_477463.1, NP_477418.1	XP_033337995.1
OG0001108	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1	XP_033327279.1
OG0001109	NP_608327.2, NP_001287212.1, NP_001027071.1	XP_033332635.1
OG0001110	NP_001287185.1, NP_001260724.1	XP_033334625.1
OG0001111	NP_001260255.1	XP_033325249.1, XP_033325248.1, XP_033325247.1
OG0001112	NP_001245731.1	XP_033321712.1
OG0001113	NP_649587.1	XP_033337171.1
OG0001114	NP_788382.1	XP_033320960.1
OG0001115	NP_651307.2	XP_033327270.1
OG0001116	NP_001284912.1	XP_033325653.1
OG0001117	NP_647890.2	XP_033325640.1, XP_033325642.1, XP_033325641.1
OG0001118	NP_730935.1	XP_033321496.1, XP_033321495.1, XP_033321494.1
OG0001119	NP_573179.1	XP_033335082.1, XP_033335081.1
OG0001121	NP_523778.2	XP_033323014.1
OG0001124	NP_611463.1	XP_033325871.1
OG0001125	NP_996437.1	XP_033330109.1
OG0001126	NP_001263150.1	XP_033329500.1, XP_033329499.1, XP_033329498.1
OG0001127	NP_001259697.1	XP_033340519.1
OG0001128	NP_649862.1, NP_476687.1	XP_033340447.1
OG0001129	NP_001260832.1	XP_033327738.1
OG0001130	NP_001285414.1	XP_033339147.1
OG0001131	NP_001262954.1	XP_033330921.1, XP_033330920.1
OG0001132	NP_477136.1	XP_033338146.1
OG0001133	NP_001163633.1, NP_001262655.1	XP_033333210.1
OG0001134	NP_650596.1	XP_033323394.1
OG0001135	NP_001261958.1	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1
OG0001137	NP_001162634.1, NP_569918.1	XP_033329863.1, XP_033329864.1
OG0001138	NP_609847.1	XP_033343008.1
OG0001139	NP_650430.1	XP_033342611.1, XP_033342580.1, XP_033320808.1
OG0001140	NP_610460.1	XP_033338049.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	XP_033329432.1, XP_033329433.1
OG0001142	NP_001285029.1	XP_033338864.1, XP_033338863.1
OG0001143	NP_524026.1	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1
OG0001145	NP_610183.1	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1
OG0001146	NP_001163124.1	XP_033337181.1, XP_033325828.1
OG0001147	NP_573361.1	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1
OG0001149	NP_001246233.1	XP_033334903.1
OG0001150	NP_524167.1	XP_033326716.1
OG0001151	NP_001262934.1	XP_033334650.1
OG0001152	NP_608533.1	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1
OG0001153	NP_609012.2	XP_033323509.1, XP_033323512.1
OG0001154	NP_650326.3	XP_033324878.1, XP_033324875.1
OG0001155	NP_001245723.1	XP_033327789.1
OG0001156	NP_727144.1	XP_033331749.1
OG0001157	NP_524637.2	XP_033338809.1, XP_033338798.1, XP_033338787.1
OG0001158	NP_523922.1	XP_033328897.1
OG0001159	NP_001246974.1, NP_524850.2	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1
OG0001160	NP_001285873.1	XP_033333704.1, XP_033333703.1
OG0001161	NP_477313.1	XP_033336253.1
OG0001162	NP_001246331.1	XP_033338984.1, XP_033338982.1
OG0001165	NP_001247163.1	XP_033325372.1, XP_033325371.1
OG0001166	NP_524216.1, NP_727251.1	XP_033340853.1
OG0001167	NP_476980.1	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1
OG0001168	NP_477466.1	XP_033339685.1, XP_033339684.1
OG0001169	NP_648620.1, NP_523655.1	XP_033336118.1, XP_033336119.1
OG0001170	NP_524664.1	XP_033333082.1, XP_033333078.1, XP_033333083.1, XP_033333080.1, XP_033333081.1
OG0001171	NP_001368984.1	XP_033323480.1, XP_033338191.1, XP_033323479.1
OG0001172	NP_001246928.1	XP_033337196.1, XP_033337191.1
OG0001173	NP_001261097.1	XP_033325207.1
OG0001174	NP_001104426.1	XP_033325129.1
OG0001175	NP_001261470.1	XP_033328293.1, XP_033328292.1, XP_033328291.1
OG0001176	NP_649439.1	XP_033334241.1, XP_033334242.1
OG0001179	NP_001284976.1	XP_033326082.1, XP_033326083.1, XP_033326084.1
OG0001180	NP_001259321.1	XP_033323213.1
OG0001181	NP_573161.1	XP_033322804.1
OG0001182	NP_001246890.1	XP_033342889.1, XP_033342895.1
OG0001183	NP_001246707.1	XP_033321792.1, XP_033321801.1
OG0001184	NP_001287560.1	XP_033334070.1, XP_033334075.1
OG0001185	NP_001137887.1	XP_033335392.1
OG0001186	NP_648908.1	XP_033327357.1, XP_033327358.1, XP_033327355.1, XP_033327356.1, XP_033327359.1
OG0001187	NP_001261023.1	XP_033327329.1
OG0001189	NP_001097192.2	XP_033336245.1
OG0001190	NP_001097387.1	XP_033338253.1
OG0001191	NP_996290.1, NP_001262929.1	XP_033341679.1
OG0001193	NP_001163283.1	XP_033336894.1
OG0001195	NP_608725.1	XP_033330951.1, XP_033330953.1, XP_033330954.1
OG0001197	NP_569979.1	XP_033332586.1, XP_033332585.1, XP_033332584.1
OG0001198	NP_476939.1	XP_033323595.1
OG0001199	NP_647878.1	XP_033330074.1
OG0001201	NP_611863.1	XP_033332536.1
OG0001202	NP_731269.2	XP_033334443.1
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_033341315.1
OG0001204	NP_001163181.1	XP_033325410.1, XP_033325411.1, XP_033325409.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_033322200.1, XP_033325793.1
OG0001206	NP_001245695.1	XP_033328400.1
OG0001207	NP_001262204.1	XP_033335287.1
OG0001208	NP_001262609.1	XP_033324122.1
OG0001211	NP_788360.2, NP_001097455.1, NP_648203.1	XP_033340264.1, XP_033340254.1, XP_033340253.1
OG0001214	NP_572278.1	XP_033324526.1, XP_033324525.1
OG0001215	NP_001260930.1	XP_033336550.1, XP_033336549.1
OG0001216	NP_609382.1	XP_033331986.1, XP_033331993.1
OG0001217	NP_523379.2	XP_033338712.1, XP_033338710.1
OG0001218	NP_001285628.1	XP_033339952.1, XP_033339953.1
OG0001219	NP_477043.1	XP_033338491.1, XP_033338492.1
OG0001220	NP_476594.1	XP_033338496.1, XP_033338497.1, XP_033338495.1
OG0001221	NP_650287.3	XP_033332841.1
OG0001222	NP_001262515.1	XP_033327693.1
OG0001223	NP_573055.1	XP_033322887.1
OG0001224	NP_650632.1	XP_033338548.1, XP_033338552.1
OG0001225	NP_611211.3, NP_573315.1	XP_033327582.1, XP_033327580.1
OG0001226	NP_001259731.1	XP_033323368.1, XP_033323367.1, XP_033323371.1, XP_033323370.1, XP_033323366.1
OG0001228	NP_001260246.1	XP_033321096.1
OG0001229	NP_651876.1	XP_033339510.1
OG0001230	NP_001285360.1, NP_650407.1	XP_033328206.1, XP_033328205.1, XP_033328207.1, XP_033328204.1
OG0001231	NP_001036283.1	XP_033334870.1
OG0001232	NP_001285827.1	XP_033328496.1
OG0001233	NP_001162628.1	XP_033327337.1
OG0001234	NP_001036706.2	XP_033326409.1
OG0001236	NP_001246793.1, NP_001261942.1	XP_033321426.1
OG0001237	NP_001246667.1	XP_033342687.1
OG0001238	NP_001014689.3	XP_033337766.1, XP_033337767.1
OG0001239	NP_001015221.1	XP_033331661.1
OG0001240	NP_001097042.1, NP_649903.1	XP_033342584.1, XP_033342582.1, XP_033342585.1, XP_033342583.1, XP_033342581.1
OG0001241	NP_733336.1	XP_033334766.1, XP_033334769.1
OG0001242	NP_001260760.1, NP_724538.1	XP_033340326.1, XP_033340325.1
OG0001244	NP_001189177.2	XP_033342274.1
OG0001245	NP_001245557.1	XP_033330435.1
OG0001246	NP_476932.1	XP_033330518.1
OG0001247	NP_572740.1	XP_033325507.1, XP_033325505.1
OG0001248	NP_001259908.1	XP_033338006.1
OG0001249	NP_572452.1	XP_033332368.1, XP_033332358.1
OG0001250	NP_001259742.1	XP_033337904.1
OG0001251	NP_572932.2	XP_033332353.1
OG0001254	NP_001285084.1	XP_033321789.1
OG0001255	NP_001261169.1	XP_033321111.1
OG0001256	NP_728275.1	XP_033326933.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_033329191.1
OG0001259	NP_724582.1	XP_033321335.1
OG0001260	NP_525109.1	XP_033339643.1, XP_033339651.1
OG0001261	NP_001097659.1	XP_033325790.1
OG0001262	NP_001188672.1	XP_033333808.1, XP_033333809.1
OG0001263	NP_523511.2	XP_033333282.1
OG0001264	NP_610425.1	XP_033321232.1
OG0001265	NP_001162912.1	XP_033339929.1, XP_033329668.1
OG0001267	NP_001261146.1	XP_033337655.1
OG0001269	NP_612019.2	XP_033331143.1, XP_033331168.1
OG0001270	NP_730968.1	XP_033331492.1, XP_033331491.1, XP_033331490.1
OG0001271	NP_651398.1	XP_033336434.1, XP_033321514.1
OG0001272	NP_476658.1	XP_033329520.1, XP_033329541.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_033334025.1, XP_033334023.1
OG0001274	NP_476741.1	XP_033332718.1
OG0001277	NP_611899.1	XP_033321811.1
OG0001278	NP_524327.1	XP_033341649.1, XP_033341650.1
OG0001279	NP_524633.3	XP_033332151.1, XP_033332153.1, XP_033332154.1
OG0001280	NP_001036627.2	XP_033328482.1, XP_033328474.1
OG0001281	NP_001246506.1	XP_033332931.1
OG0001282	NP_649261.1	XP_033325483.1
OG0001283	NP_476902.1	XP_033340604.1
OG0001284	NP_001163032.1	XP_033321750.1, XP_033321748.1
OG0001286	NP_610431.1	XP_033323978.1
OG0001287	NP_732006.2	XP_033328763.1
OG0001288	NP_001285508.1	XP_033325575.1, XP_033325580.1
OG0001289	NP_001261265.1	XP_033333053.1, XP_033333052.1, XP_033333051.1, XP_033333050.1, XP_033333054.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_033341658.1
OG0001291	NP_001163636.1	XP_033338839.1
OG0001292	NP_611945.3	XP_033336590.1
OG0001293	NP_649850.1	XP_033325445.1
OG0001294	NP_611855.1	XP_033340861.1, XP_033340870.1, XP_033340852.1, XP_033340830.1, XP_033340841.1
OG0001295	NP_724562.2	XP_033321157.1
OG0001296	NP_001369075.1	XP_033324545.1
OG0001298	NP_001163084.1	XP_033334359.1
OG0001299	NP_609088.1	XP_033340775.1
OG0001300	NP_001259918.1	XP_033335256.1
OG0001301	NP_001188545.1	XP_033328498.1, XP_033328260.1, XP_033328427.1, XP_033328350.1
OG0001302	NP_001188695.1	XP_033322973.1
OG0001303	NP_001261027.1	XP_033330552.1, XP_033330557.1
OG0001304	NP_001246121.1	XP_033324766.1, XP_033324765.1
OG0001305	NP_001261304.1	XP_033332409.1
OG0001306	NP_001262403.1	XP_033325497.1, XP_033325494.1
OG0001308	NP_001245739.1, NP_727344.1	XP_033324511.1
OG0001310	NP_650685.1	XP_033325998.1, XP_033325997.1
OG0001312	NP_001285588.1	XP_033327364.1, XP_033327363.1, XP_033327365.1, XP_033327366.1
OG0001314	NP_001246531.1	XP_033338921.1
OG0001315	NP_001285099.1, NP_728935.1	XP_033330904.1, XP_033330903.1
OG0001317	NP_648019.2	XP_033326800.1
OG0001318	NP_001188775.1	XP_033321114.1
OG0001320	NP_651060.1	XP_033335361.1, XP_033335359.1
OG0001322	NP_651570.1	XP_033337157.1
OG0001328	NP_001097695.1	XP_033325943.1
OG0001330	NP_001246537.1	XP_033327119.1
OG0001331	NP_001260303.1	XP_033337458.1
OG0001332	NP_650887.1, NP_570011.1	XP_033323630.1, XP_033323640.1, XP_033323032.1
OG0001333	NP_649539.1	XP_033333461.1, XP_033333462.1, XP_033333460.1
OG0001334	NP_001287343.1	XP_033337855.1, XP_033337854.1, XP_033337841.1
OG0001335	NP_609362.1	XP_033339620.1, XP_033339617.1
OG0001336	NP_001162901.1	XP_033334937.1
OG0001338	NP_572855.1	XP_033342357.1
OG0001339	NP_001260727.1	XP_033331285.1, XP_033331287.1, XP_033331286.1
OG0001340	NP_001284961.1	XP_033339650.1, XP_033339649.1
OG0001341	NP_001259867.1	XP_033325431.1
OG0001342	NP_001138093.1	XP_033334101.1
OG0001343	NP_477025.1	XP_033336674.1, XP_033336370.1
OG0001344	NP_652315.2	XP_033325798.1
OG0001345	NP_648955.1	XP_033328117.1
OG0001346	NP_001097946.1	XP_033341908.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_033321822.1
OG0001348	NP_608350.2	XP_033337642.1
OG0001349	NP_477480.1	XP_033341785.1, XP_033324607.1
OG0001350	NP_788708.2	XP_033343041.1
OG0001351	NP_001246931.1	XP_033340933.1
OG0001352	NP_731459.2	XP_033335226.1, XP_033335225.1, XP_033335224.1
OG0001353	NP_001261357.1	XP_033323348.1
OG0001354	NP_611792.1	XP_033328214.1
OG0001355	NP_572529.2	XP_033321262.1, XP_033331301.1, XP_033331297.1
OG0001356	NP_001014559.1	XP_033322696.1
OG0001358	NP_001014703.1	XP_033341573.1, XP_033341571.1
OG0001359	NP_001259064.1, NP_651392.2	XP_033338661.1, XP_033338656.1, XP_033338659.1, XP_033338658.1, XP_033338657.1
OG0001361	NP_650778.2	XP_033332431.1
OG0001362	NP_001287357.1	XP_033337167.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_033331207.1
OG0001364	NP_001188754.1	XP_033324267.1, XP_033324387.1
OG0001365	NP_001260427.1	XP_033342970.1
OG0001366	NP_648508.1	XP_033332178.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_033337104.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_033324217.1, XP_033324216.1
OG0001369	NP_001303363.1	XP_033328476.1
OG0001371	NP_610796.1	XP_033343106.1
OG0001372	NP_610444.2	XP_033333084.1
OG0001373	NP_731872.1	XP_033334491.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_033336465.1
OG0001375	NP_001261379.1	XP_033332162.1, XP_033332110.1
OG0001376	NP_001162697.1	XP_033321505.1
OG0001377	NP_572840.1	XP_033325219.1
