Orthogroup	Drosophila_melanogaster	Apis_mellifera
OG0001465	NP_001189124.1	XP_001122467.1
OG0001466	NP_569951.1, NP_611911.1	XP_623574.2, XP_003250648.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_624385.4
OG0001468	NP_001260652.1	XP_001121269.2, XP_026301134.1
OG0001469	NP_523568.2	XP_016770754.2, XP_006566407.2
OG0001470	NP_648768.1	XP_392667.2
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_026295194.1, XP_006563973.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_026295425.1, XP_001121817.2
OG0001473	NP_001287361.1	XP_016773638.2
OG0001474	NP_609560.2, NP_569850.1	XP_623681.1
OG0001475	NP_001368987.1	XP_624415.1, XP_026295254.1, XP_006570845.1, XP_016773034.1, XP_003251612.1
OG0001477	NP_001014453.1	XP_006562867.1
OG0001478	NP_001285042.1	XP_006568688.1
OG0001479	NP_001036624.1	XP_006570473.1
OG0001480	NP_524533.1	XP_624520.1
OG0001481	NP_001286181.1	XP_006572049.1
OG0001482	NP_651924.2	XP_006557348.1, XP_006557349.1
OG0001483	NP_001262996.1	XP_006562729.1
OG0001484	NP_001188579.1	XP_393966.1
OG0001485	NP_523596.2	XP_026300236.1
OG0001486	NP_476764.1	NP_001252514.1, XP_006564386.1
OG0001487	NP_001188904.1	XP_006562891.1
OG0001488	NP_001189108.1	XP_026297193.1, XP_026297149.1
OG0001489	NP_648555.1	XP_003249463.1
OG0001491	NP_609228.2	XP_006560273.1
OG0001492	NP_001263168.1	XP_624946.1
OG0001493	NP_001262195.1	XP_001120943.2, XP_006566059.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_006569570.1
OG0001495	NP_612063.2	XP_026296208.1
OG0001496	NP_609203.1	XP_006562571.1
OG0001497	NP_001260853.1	XP_026299752.1
OG0001498	NP_729823.2	XP_006563298.1
OG0001499	NP_572167.3	XP_623985.3, XP_623658.1
OG0001500	NP_730859.1	NP_001189389.1
OG0001501	NP_001303373.1	XP_006569496.1, XP_006569498.1
OG0001502	NP_001261464.1	XP_026297625.1
OG0001503	NP_665880.2	XP_397549.2, XP_003250890.1
OG0001504	NP_001261440.1	XP_393495.3
OG0001505	NP_001097527.1	XP_016767602.2, XP_026296385.1, XP_026296386.1, XP_026296387.1, XP_026296389.1
OG0001507	NP_001287269.1	XP_006563542.1
OG0001508	NP_001138130.2	XP_016767457.1, XP_026295906.1
OG0001509	NP_001261116.1	XP_006569759.1, XP_006569756.1, XP_006569758.1
OG0001510	NP_001284936.1	NP_001264228.1, XP_016770661.2
OG0001511	NP_649151.1	XP_623621.1
OG0001514	NP_001188550.1	XP_396376.2
OG0001515	NP_001259809.1	XP_006568666.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_016768032.1
OG0001517	NP_731242.1	XP_016772636.1
OG0001518	NP_001036462.1	XP_006569908.1, XP_006569907.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_001121155.2
OG0001521	NP_523422.4	XP_026296663.1
OG0001522	NP_001096867.3	XP_396892.2
OG0001524	NP_001261067.1	XP_006568047.1
OG0001525	NP_477026.1	XP_006559250.1, XP_393635.1
OG0001526	NP_001369078.1	NP_001011602.1
OG0001527	NP_001259089.1	XP_006561935.1
OG0001529	NP_001162930.1	XP_006557300.1
OG0001530	NP_611501.1	XP_026301949.1
OG0001531	NP_651595.1	XP_006564855.1
OG0001532	NP_001162665.1	XP_016768684.2, XP_016768690.1
OG0001533	NP_728534.2	XP_026297995.1
OG0001534	NP_731923.2	XP_006570008.2
OG0001535	NP_001261999.1	XP_016766188.2
OG0001536	NP_648357.1	XP_026299834.1, XP_026299833.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_016771061.1, XP_396670.3
OG0001538	NP_995639.1	NP_001035354.1
OG0001539	NP_524017.1	XP_026300395.1
OG0001540	NP_610693.1, NP_610694.1	XP_006570639.1, NP_001107211.1
OG0001541	NP_001261940.1	XP_026301845.1, XP_026301842.1
OG0001542	NP_609207.1	XP_016767210.2, XP_001121775.2
OG0001543	NP_650901.2	XP_623560.2, XP_006562474.1, XP_006562473.1, XP_026299439.1
OG0001545	NP_523451.2	XP_026295460.1
OG0001546	NP_001247104.1	XP_001121602.2, XP_026296545.1
OG0001548	NP_001285388.1	XP_006568458.2, XP_026295258.1
OG0001550	NP_647968.3	XP_396025.4
OG0001551	NP_001246815.1	XP_026301914.1
OG0001552	NP_477317.1	XP_006561183.1, XP_016766181.1
OG0001553	NP_651623.1	XP_394347.5
OG0001554	NP_001261344.1	XP_016770977.1, XP_006561260.1
OG0001555	NP_001246451.1	XP_396132.4
OG0001556	NP_726771.1	XP_006558583.1
OG0001557	NP_001260951.1	XP_006564466.1
OG0001558	NP_001245722.1	XP_393403.3
OG0001559	NP_650472.2	XP_026299665.1
OG0001560	NP_001246228.1	NP_001242968.1, XP_006561571.2, NP_001242969.1
OG0001561	NP_001260963.1	XP_006563441.2
OG0001562	NP_001137943.2	XP_006558995.1
OG0001563	NP_001246300.1	XP_016772117.1, XP_016772119.1
OG0001565	NP_001286976.1	XP_026299072.1
OG0001567	NP_001137746.1	XP_006562827.2, XP_026302056.1
OG0001568	NP_001263152.1	XP_006567935.1
OG0001569	NP_477320.1	XP_026300765.1, XP_625030.1, XP_006564990.1
OG0001570	NP_648176.1	XP_001120557.1, XP_006571825.1
OG0001571	NP_610075.2	XP_623644.3
OG0001575	NP_524337.1	XP_026298538.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_026295510.1
OG0001577	NP_001285493.1	XP_394734.5
OG0001579	NP_001097592.1	XP_393727.2
OG0001580	NP_001285528.1	XP_026298115.1, XP_026298114.1, XP_026298110.1
OG0001581	NP_608983.2	XP_001122164.3
OG0001582	NP_001287593.1	XP_026295451.1, XP_016766735.2
OG0001583	NP_001189157.1	XP_006560007.3
OG0001584	NP_648993.1	XP_006571318.1, XP_006571313.1
OG0001585	NP_001262143.1	XP_006565462.1, XP_026296905.1
OG0001586	NP_647865.2	XP_623933.1
OG0001587	NP_648090.1	XP_006568372.3
OG0001588	NP_001188558.1	XP_016770533.1, XP_016770532.1
OG0001589	NP_726318.1	XP_001120695.1
OG0001590	NP_572910.1, NP_001285210.1	XP_016768773.1
OG0001591	NP_001286018.1	XP_006566433.2, XP_026299417.1
OG0001592	NP_647896.1	XP_026301990.1
OG0001593	NP_001287342.1	XP_016772021.1
OG0001594	NP_001259723.1	XP_624254.3, XP_006562530.1
OG0001595	NP_611252.1	XP_393778.2
OG0001596	NP_730651.1	XP_003251001.1
OG0001597	NP_572854.1	XP_006568941.1
OG0001600	NP_001286151.1	XP_001122104.1, XP_006567506.1
OG0001601	NP_001097706.1	XP_016766791.1
OG0001602	NP_001033958.1	XP_026296768.1
OG0001604	NP_001163129.1	XP_016769578.1, XP_016769579.1
OG0001606	NP_523902.2	XP_006559482.2, XP_016772477.2
OG0001607	NP_001285753.1	XP_026295945.1
OG0001608	NP_001260655.1	XP_006566547.1, XP_016770624.1, XP_016770623.2
OG0001614	NP_001259303.1, NP_569908.1	XP_006563852.2
OG0001615	NP_523764.1	XP_001120364.1
OG0001616	NP_001259833.1	XP_006566477.1, XP_006566478.1
OG0001617	NP_524011.1	XP_006559199.1
OG0001619	NP_652526.1	XP_026302278.1, XP_026302276.1
OG0001620	NP_609496.1	XP_006559598.1, XP_006559599.1
OG0001621	NP_573362.1, NP_729837.1	XP_006567760.1, XP_003251079.1
OG0001622	NP_572536.1	XP_006572004.2
OG0001623	NP_524400.2	XP_395696.2
OG0001624	NP_788056.1	XP_397056.2
OG0001625	NP_001262669.1	XP_396699.1
OG0001626	NP_001259186.1	XP_624479.1
OG0001627	NP_001303417.1	XP_006568009.1
OG0001628	NP_651052.1	XP_006567224.1
OG0001629	NP_651782.1	XP_624943.3
OG0001630	NP_729395.2	XP_001122389.1
OG0001631	NP_001261267.1	XP_624018.4
OG0001632	NP_001245408.1	XP_016771561.1
OG0001633	NP_001246351.1	XP_006558558.3
OG0001634	NP_651054.1	XP_623646.2
OG0001635	NP_001303479.1	XP_001120583.1
OG0001636	NP_728142.1	XP_006568732.2, NP_001035346.1
OG0001637	NP_612046.1	XP_016769931.2, XP_396322.3
OG0001638	NP_648826.2	XP_026301628.1
OG0001639	NP_572360.1	XP_006565792.1
OG0001640	NP_477027.1	XP_026297298.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_003250009.1, XP_016767664.1
OG0001642	NP_725207.1	XP_394292.3
OG0001644	NP_001262395.1	XP_623950.2
OG0001645	NP_733058.1	XP_397283.1
OG0001646	NP_001285211.1	XP_016767126.2, XP_006567318.2
OG0001647	NP_570025.1	XP_026300749.1
OG0001648	NP_001287187.1	XP_006571365.1
OG0001649	NP_609720.1, NP_524152.2	XP_016769479.1
OG0001650	NP_648222.3	XP_026298834.1, XP_026298833.1
OG0001651	NP_001259585.1	XP_006566520.1, XP_006566522.1
OG0001652	NP_788858.1	XP_006560202.1, XP_016768462.1
OG0001653	NP_995788.1	XP_006563337.2
OG0001654	NP_001246814.1	XP_006562323.1
OG0001655	NP_001245567.1	XP_006568644.1
OG0001656	NP_569872.1	XP_001121554.3
OG0001657	NP_001286489.1	XP_006569661.1
OG0001658	NP_001259992.1	XP_016767405.1, XP_016767404.1, XP_006567305.1
OG0001659	NP_730944.2	XP_016772008.1
OG0001660	NP_648750.1	XP_006571017.1
OG0001662	NP_001097377.2	XP_006563658.1, XP_016772164.2
OG0001663	NP_649918.1	XP_006569237.2
OG0001664	NP_648183.3	NP_001155988.1, XP_006567657.1
OG0001665	NP_001014619.2	XP_006566494.1
OG0001666	NP_001163472.1, NP_649145.1	XP_624283.3
OG0001667	NP_001261574.1	XP_006570316.1, XP_001122704.2, XP_026296440.1
OG0001669	NP_001287417.1	XP_006572269.1
OG0001670	NP_001138149.1	XP_624386.1
OG0001671	NP_732316.2	XP_006562904.1
OG0001672	NP_001246400.1	XP_026301574.1
OG0001673	NP_649883.1	XP_016772949.2, XP_026301982.1, XP_026301981.1
OG0001674	NP_001260539.1	XP_396231.4, XP_006571348.2
OG0001675	NP_001261382.1	XP_001119944.1
OG0001676	NP_001163073.2	XP_026296455.1, XP_026296459.1
OG0001677	NP_001260561.1	XP_623490.2
OG0001679	NP_611460.1	NP_001264229.1
OG0001680	NP_001260364.1, NP_001033899.1	XP_623725.1
OG0001681	NP_001163282.1	XP_391963.3
OG0001682	NP_001285158.1	XP_006558051.1
OG0001684	NP_001368993.1	XP_026301408.1
OG0001685	NP_001097520.2	XP_006559783.1, XP_006559784.1, XP_397385.2
OG0001686	NP_731649.2	XP_006562633.1
OG0001687	NP_609069.1	XP_026300480.1
OG0001688	NP_001104382.3	XP_003250542.1
OG0001690	NP_652015.1	XP_006563110.2, XP_006563111.2
OG0001693	NP_001245400.1	XP_006559220.1
OG0001694	NP_610256.1	XP_016766972.1, XP_016766975.1
OG0001695	NP_001262760.1	XP_397181.1
OG0001696	NP_001247156.1	XP_026301919.1, XP_006571061.2
OG0001697	NP_001245797.1	XP_395370.1
OG0001699	NP_733303.2	XP_006560897.1
OG0001700	NP_001189311.1	XP_016772146.2
OG0001701	NP_995862.1	XP_624673.3, XP_016768020.1, XP_016768015.1, XP_006563314.1
OG0001702	NP_651170.1	XP_006557525.1, XP_006557524.1, XP_001120701.2
OG0001703	NP_001262871.1, NP_651242.1	XP_394880.3
OG0001704	NP_001356971.1	XP_391922.2
OG0001706	NP_001247116.1	XP_393619.4, XP_016768168.2
OG0001707	NP_001262589.2	XP_026300987.1
OG0001708	NP_001287390.1	XP_006560213.1
OG0001709	NP_001303494.1	XP_026295555.1, XP_026295547.1, XP_016772700.2
OG0001711	NP_608741.1	XP_394460.1
OG0001712	NP_001188885.2	XP_016771334.1, XP_016771331.1
OG0001713	NP_001033943.2	XP_006562481.1
OG0001714	NP_649156.1	NP_001207415.1, NP_001207416.1
OG0001715	NP_001285698.1	XP_006569265.3
OG0001716	NP_001163671.1	XP_016768172.2
OG0001717	NP_611675.2	XP_006567330.1
OG0001718	NP_001287021.1, NP_001261456.1, NP_001261457.1	XP_393236.2
OG0001720	NP_610938.1	XP_392615.1, XP_016769284.1
OG0001722	NP_723401.1	XP_026296832.1, XP_026296833.1, XP_026296834.1
OG0001723	NP_001188979.1, NP_524242.2, NP_001287190.1	NP_001035315.1, XP_016771954.1
OG0001724	NP_001261391.1	XP_394574.3
OG0001725	NP_524401.2	XP_396830.4
OG0001726	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1	XP_006563226.1
OG0001728	NP_001286002.1	XP_016770863.2
OG0001729	NP_001286919.1	XP_026299023.1
OG0001730	NP_001247378.2, NP_001245717.1, NP_001245715.1	XP_026295833.1, XP_026295840.1
OG0001731	NP_572995.1, NP_001163445.1	XP_026297019.1
OG0001732	NP_651725.1	XP_016767782.1
OG0001733	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2	XP_026297267.1
OG0001734	NP_608563.1	XP_624577.2, XP_006571701.2
OG0001735	NP_609387.1	XP_016773594.2, XP_016773595.2
OG0001736	NP_001097937.1	XP_016766963.1
OG0001737	NP_001259675.1, NP_001033853.1	XP_026296648.1
OG0001738	NP_001014543.1	XP_003249819.2
OG0001739	NP_001246653.1	XP_006562930.1
OG0001740	NP_001036555.1	XP_026299184.1, XP_026299186.1
OG0001742	NP_733224.2	XP_026300294.1, XP_026300286.1, XP_026300287.1
OG0001743	NP_001285126.1	XP_001122418.1
OG0001744	NP_651315.2	XP_026301456.1
OG0001745	NP_650743.1	XP_392464.3
OG0001746	NP_524852.2	XP_006567770.1
OG0001747	NP_001261633.1	XP_026294820.1, XP_026294819.1
OG0001748	NP_001189227.1	XP_026295003.1, XP_026294997.1
OG0001749	NP_001036722.1	XP_026302273.1, XP_026302286.1
OG0001750	NP_001261148.1	XP_001122103.1, XP_016769468.1
OG0001751	NP_001286159.1	XP_026294749.1, XP_026294750.1
OG0001752	NP_651792.1, NP_651791.2	XP_026298163.1
OG0001753	NP_523391.3	XP_026298887.1
OG0001754	NP_651671.1	NP_001242967.1, XP_026301143.1
OG0001755	NP_573318.1, NP_609759.1	XP_393886.3
OG0001756	NP_649646.3	XP_001120526.3
OG0001757	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1	XP_026300423.1
OG0001758	NP_001163069.1	XP_006564274.1
OG0001759	NP_001287202.1	XP_395591.4
OG0001760	NP_732069.3	XP_016768495.1, XP_006568356.1, XP_016768496.1, XP_016768497.1
OG0001762	NP_001261764.1	XP_006557859.1, XP_026299032.1, XP_016769765.1
OG0001763	NP_650223.1	XP_625210.1
OG0001764	NP_001287421.2, NP_650876.1	XP_006564801.1
OG0001765	NP_731461.1	XP_006562314.1, XP_003250045.1
OG0001766	NP_001261659.1	XP_016768680.1, XP_016768682.1
OG0001767	NP_723294.1	XP_026296535.1
OG0001768	NP_572805.1	XP_006562413.1
OG0001771	NP_727732.1, NP_001097831.1	XP_006564844.1
OG0001774	NP_476778.1	XP_016767411.1
OG0001775	NP_523735.2	XP_006557802.1
OG0001776	NP_620470.1	XP_006562600.2
OG0001777	NP_001245758.1	XP_623303.1, XP_393059.1
OG0001778	NP_001262233.1	XP_006571958.1, XP_006571960.1
OG0001779	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1	XP_006572136.1
OG0001780	NP_610617.1	XP_394026.2
OG0001781	NP_650423.1	XP_006561705.1
OG0001782	NP_649000.1	XP_394140.4
OG0001783	NP_647892.1	XP_003249423.2
OG0001784	NP_001163585.1	XP_624087.2
OG0001785	NP_524416.1	XP_623908.1
OG0001786	NP_001260689.1	XP_001120360.1
OG0001787	NP_648786.1	XP_393706.3
OG0001788	NP_724103.1	XP_395906.3
OG0001789	NP_651728.1	XP_006567899.1
OG0001790	NP_649460.3	XP_392085.2
OG0001791	NP_572504.1	XP_001120245.2, XP_006568251.2
OG0001792	NP_611734.1	XP_625134.3
OG0001793	NP_608828.2	XP_016768363.1, XP_026296947.1
OG0001794	NP_001259442.1	XP_006568264.1, XP_026295048.1
OG0001796	NP_477212.1	XP_026296488.1
OG0001797	NP_523830.2	XP_001120264.1
OG0001799	NP_001260496.1	XP_001121575.2, XP_394485.2, XP_006567170.1, NP_001157184.1
OG0001800	NP_001262652.1, NP_001262651.1	XP_006571623.1, XP_395349.1, XP_006571624.1, XP_026297611.1
OG0001801	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1	XP_006571821.1
OG0001802	NP_001162765.1	XP_396615.2
OG0001803	NP_001015387.1	XP_006569400.1
OG0001804	NP_728575.2, NP_612081.1	XP_394859.1
OG0001805	NP_649038.1, NP_730334.2	XP_006563149.2
OG0001806	NP_610087.2	XP_006563359.1, XP_026302126.1
OG0001807	NP_001286460.1	XP_001121112.2
OG0001808	NP_650163.2, NP_650840.1	XP_623170.1
OG0001809	NP_609837.1	XP_016768585.1, XP_006568686.1, XP_006568687.1
OG0001810	NP_001246271.1	XP_006559673.1, XP_006559672.1
OG0001811	NP_001262677.1	XP_003249302.2
OG0001812	NP_001259970.1	XP_006560961.1
OG0001813	NP_611350.1	XP_001122360.3
OG0001814	NP_524758.1	XP_397220.3
OG0001815	NP_476667.1, NP_001246493.1	XP_006562406.1
OG0001816	NP_648106.1	XP_026298657.1
OG0001818	NP_001285489.1	XP_026298053.1, XP_026298054.1
OG0001820	NP_649757.1	XP_394676.2
OG0001821	NP_001287100.1	XP_001120030.2, XP_006571059.1, XP_006571060.1
OG0001822	NP_995873.2	XP_396855.2
OG0001823	NP_609767.2, NP_001260489.1	XP_026301314.1
OG0001824	NP_001356918.1	XP_006565919.1, XP_006565917.1
OG0001825	NP_001285277.1	XP_026294960.1
OG0001826	NP_610191.2	XP_016773199.1
OG0001827	NP_001261341.1	XP_026296804.1
OG0001828	NP_477184.1	XP_006557452.1, XP_394141.2, XP_026299679.1, XP_006557451.1
OG0001829	NP_511153.1	XP_006561681.1, XP_006561682.1
OG0001830	NP_001189170.1	XP_006564281.1
OG0001831	NP_648895.1	XP_026300798.1
OG0001832	NP_611293.3	XP_394067.4
OG0001833	NP_001262071.1	XP_026296913.1
OG0001834	NP_725449.1, NP_611238.2, NP_001285657.1	XP_391916.3
OG0001835	NP_648567.2, NP_729801.1	XP_006560538.1, XP_001120677.3
OG0001836	NP_001097041.2	XP_026300727.1
OG0001838	NP_649809.1	XP_001120649.1
OG0001839	NP_001287516.1, NP_524496.1	XP_001120879.2, XP_016769298.2
OG0001840	NP_001287291.1	XP_026296453.1
OG0001841	NP_649554.1	NP_001242966.1
OG0001843	NP_001163392.1	XP_026298492.1, XP_396332.3
OG0001844	NP_733332.1	XP_624012.3
OG0001845	NP_649732.1	XP_392773.3
OG0001846	NP_788721.1	XP_016767933.1
OG0001847	NP_001163705.1	XP_026300234.1
OG0001848	NP_610735.1	XP_624014.2, XP_016768675.1
OG0001849	NP_001303451.1, NP_524581.1	XP_393000.3, XP_026298149.1, XP_026298150.1
OG0001850	NP_001097569.1	XP_393385.3
OG0001851	NP_524795.2	XP_001120336.2
OG0001852	NP_611258.2	XP_001121588.2
OG0001853	NP_001285407.1	XP_006561993.1
OG0001854	NP_610231.2, NP_525107.1, NP_536747.2	XP_026299949.1
OG0001855	NP_001097922.1	XP_393876.1, XP_016770895.1
OG0001856	NP_650446.2	XP_026298504.1
OG0001858	NP_651605.1	XP_393894.1
OG0001859	NP_001261279.1, NP_608679.1	XP_001122536.1
OG0001860	NP_001286627.1	XP_006566847.1, XP_026295377.1, XP_026295376.1
OG0001861	NP_524274.1	XP_026296639.1
OG0001862	NP_001096954.1	XP_003251799.1
OG0001863	NP_001303452.1	XP_016769109.1
OG0001864	NP_001259978.1	XP_006565068.1
OG0001865	NP_001036440.1	XP_026298716.1
OG0001866	NP_610462.3	XP_395324.2
OG0001867	NP_651658.1	XP_006561140.1
OG0001868	NP_732113.3	XP_396874.5
OG0001869	NP_477402.1	XP_003249459.1
OG0001870	NP_001285457.1	XP_006562529.1, XP_016768217.1
OG0001871	NP_572522.2	XP_393301.3
OG0001872	NP_536773.1	XP_026299612.1
OG0001873	NP_730982.1	XP_397060.3
OG0001874	NP_477024.1	XP_003250417.1
OG0001875	NP_511130.2	XP_006563722.1, XP_016772169.1
OG0001876	NP_001368952.1	XP_006559138.1, XP_006559144.1
OG0001877	NP_001014498.1	XP_006558330.1, XP_006558328.1
OG0001878	NP_001259740.1, NP_001260348.1	XP_026301695.1
OG0001879	NP_652101.2	XP_016766647.1
OG0001880	NP_001033948.1	XP_026297802.1
OG0001881	NP_722959.1	XP_003250415.1
OG0001882	NP_001188575.1	XP_006568897.2, XP_026294859.1
OG0001883	NP_650805.1	XP_006568004.1
OG0001884	NP_001188772.1	XP_006565104.1
OG0001885	NP_001262303.1	XP_001121449.1
OG0001886	NP_001261166.1	XP_006567216.2
OG0001887	NP_723772.2	XP_026295850.1, XP_026295851.1, XP_006558751.1, XP_026295849.1
OG0001888	NP_001286416.1	XP_394034.5, XP_016771541.2
OG0001889	NP_651593.1	XP_006569623.1
OG0001890	NP_609530.1	XP_016771641.1, XP_016771642.1, XP_016771643.1
OG0001891	NP_476733.1	XP_006564255.1, XP_006564252.1, XP_006564253.1
OG0001892	NP_001245925.1, NP_611294.1	XP_006570318.1, XP_026296436.1
OG0001893	NP_477049.2	XP_026299177.1
OG0001894	NP_001137875.1	XP_006570163.2
OG0001895	NP_524651.2	XP_016771683.2
OG0001896	NP_609570.1	XP_026299099.1
OG0001897	NP_611140.3	NP_001229455.1
OG0001898	NP_001263035.1	XP_006561037.2
OG0001899	NP_724878.2	XP_016770620.1
OG0001900	NP_001259735.1	XP_393467.3
OG0001901	NP_651080.2	XP_016770289.2, XP_016770290.2, XP_006566772.2
OG0001902	NP_001286818.1	XP_392789.3, XP_016772305.1
OG0001903	NP_001285675.1	XP_026297341.1
OG0001905	NP_001287263.1	XP_006567964.2, XP_006567963.2, XP_003251131.2
OG0001906	NP_001245625.1	XP_006562935.2
OG0001909	NP_001033913.1	XP_016767679.1, XP_016767685.1
OG0001910	NP_648745.1	XP_003251266.1
OG0001912	NP_001286124.1	XP_016766824.1, XP_016766822.1, XP_016766821.1
OG0001913	NP_524909.1	XP_394416.4
OG0001914	NP_608998.2, NP_001188704.1	XP_026294941.1
OG0001915	NP_001014612.1	XP_003251133.1
OG0001916	NP_648272.1	XP_006569310.1
OG0001917	NP_611237.2	XP_006559184.1
OG0001919	NP_610950.2	XP_026295420.1
OG0001920	NP_608361.3	XP_026299260.1
OG0001921	NP_001036438.1	XP_026297912.1
OG0001923	NP_726381.1	XP_006565281.1
OG0001924	NP_609384.1	XP_026302298.1, XP_026302295.1
OG0001925	NP_476618.1	XP_006571829.1
OG0001926	NP_609736.1	XP_392721.1
OG0001927	NP_524688.1	XP_397416.4, XP_006571828.2
OG0001928	NP_001261246.1	XP_016769813.2
OG0001929	NP_001260566.1, NP_001260567.1	XP_393673.3
OG0001930	NP_650547.1	XP_016769991.2
OG0001931	NP_001097135.1	XP_006572346.1, XP_026302266.1
OG0001933	NP_524431.2	XP_026301661.1, XP_016772147.2, XP_026301707.1
OG0001935	NP_001015254.1	XP_006571434.1, XP_006571436.1
OG0001936	NP_001286158.1	XP_016768876.1
OG0001937	NP_001259619.1	NP_001159377.1, XP_006561583.1
OG0001938	NP_001286427.1	XP_001121838.2
OG0001939	NP_649157.1	XP_006572022.1
OG0001940	NP_001287364.1	XP_006559014.1, XP_006559013.1, XP_003249430.1
OG0001941	NP_001368962.1	XP_026295572.1, XP_026295581.1
OG0001942	NP_001260565.1, NP_476804.1	XP_394981.4
OG0001943	NP_001188918.1, NP_651214.2	NP_001128414.1
OG0001944	NP_001163494.1	XP_026295054.1, NP_001011594.1
OG0001945	NP_572873.2	NP_001014992.2, XP_026299319.1, XP_026299716.1
OG0001946	NP_001303420.1	XP_006566698.1
OG0001947	NP_649796.1	XP_623782.1, XP_006565058.1
OG0001949	NP_001285813.1	XP_006568087.1, XP_006568088.1, XP_624939.1
OG0001950	NP_001261595.1	XP_006563986.1, XP_006563984.1, XP_623136.3, XP_026295570.1
OG0001951	NP_726846.1	XP_394762.4
OG0001952	NP_001245466.1	XP_006564685.2
OG0001953	NP_788450.1	XP_026299767.1
OG0001954	NP_001263037.1	XP_006562334.1
OG0001956	NP_610804.1	XP_006562695.1
OG0001959	NP_649972.1	XP_001120848.2
OG0001960	NP_001261726.1, NP_524993.3, NP_001027247.1	XP_393174.1
OG0001961	NP_001286875.1	NP_001035357.1, XP_026295136.1
OG0001962	NP_609989.1, NP_609990.1, NP_001188850.1	XP_003249671.1
OG0001963	NP_648053.1	XP_026297487.1
OG0001964	NP_001287227.1	XP_016767882.2
OG0001965	NP_001285968.1, NP_723939.1, NP_728540.1, NP_612051.1	XP_392686.2
OG0001966	NP_001286827.1	XP_026300995.1
OG0001967	NP_001262353.1	NP_001104725.1
OG0001968	NP_001097756.1	XP_001122665.2
OG0001969	NP_001259204.1	XP_003250447.1, XP_016770394.1
OG0001971	NP_723787.1	XP_026296991.1, XP_006562488.2, XP_003250107.2
OG0001973	NP_726095.2	XP_026298607.1, XP_006567526.1
OG0001974	NP_648645.1	XP_006564000.1
OG0001975	NP_001260979.1	XP_026294727.1
OG0001976	NP_001138150.1	XP_394673.4
OG0001977	NP_611067.2	NP_001265262.1, XP_026297361.1
OG0001981	NP_649298.2, NP_001262144.1, NP_001287140.1	XP_001122667.2
OG0001983	NP_610838.1	XP_026299741.1
OG0001987	NP_001356937.1	XP_006557926.1
OG0001988	NP_524001.2	XP_006568657.1
OG0001989	NP_001260098.1, NP_001284837.1	XP_395877.1
OG0001990	NP_788760.1	XP_006570178.1
OG0001991	NP_001262998.1	XP_623079.2, XP_006562631.2
OG0001992	NP_001245552.1	XP_026295286.1, XP_006558448.1
OG0001994	NP_651072.1	XP_625034.1
OG0001995	NP_523355.2	XP_396634.2
OG0001996	NP_524991.1, NP_649393.1, NP_724787.1	XP_026299876.1
OG0001997	NP_996267.1	XP_003249792.1
OG0001998	NP_651780.1	XP_026296171.1, XP_026296174.1, XP_026296173.1, XP_026296172.1
OG0001999	NP_523428.1	XP_624205.2
OG0002000	NP_726490.3	XP_026301334.1, XP_026301335.1
OG0002001	NP_001285572.1	XP_624562.2
OG0002002	NP_001027274.2, NP_001260458.1	NP_001035345.1, XP_006571765.2
OG0002003	NP_001259998.1	XP_026300645.1
OG0002004	NP_650776.1	XP_026295896.1
OG0002005	NP_647640.1	XP_026295546.1, XP_026295545.1
OG0002006	NP_001247376.1, NP_001247375.1	XP_392711.4
OG0002007	NP_001261689.1	XP_624429.2
OG0002009	NP_001027401.1	XP_006562151.1, XP_625149.1, XP_006562150.1
OG0002010	NP_651600.1	XP_625179.1
OG0002011	NP_001286589.1	XP_006569298.1
OG0002012	NP_001014582.1, NP_524041.2	XP_016773481.1, NP_001107660.1
OG0002013	NP_001245550.1	XP_395056.4
OG0002014	NP_476562.1	XP_006560410.1
OG0002015	NP_609782.2	XP_623739.2
OG0002016	NP_788448.1	XP_396581.5
OG0002017	NP_610188.2	XP_026301178.1
OG0002018	NP_648586.2	XP_006557745.2, NP_001229397.1
OG0002019	NP_001137910.2	XP_623673.3
OG0002020	NP_732549.2	XP_026296296.1, XP_026296289.1
OG0002021	NP_649827.2	XP_026297392.1, XP_026297393.1
OG0002022	NP_726406.1	XP_624811.3
OG0002023	NP_001245577.1	XP_026300485.1, XP_006557894.1, XP_006557893.1
