Orthogroup	Drosophila_melanogaster	Acyrthosiphon_pisum
OG0001026	NP_651161.1	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1
OG0001027	NP_001096936.1	XP_001948533.1
OG0001028	NP_651668.1	XP_001948556.2
OG0001029	NP_001162718.1	XP_001948578.2
OG0001030	NP_611858.2	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2
OG0001031	NP_001286053.1	XP_001949042.1
OG0001032	NP_001285619.1	XP_001949161.2
OG0001033	NP_001285396.1	XP_001949643.1
OG0001034	NP_726114.1	XP_001949856.2, XP_016659465.1
OG0001035	NP_523400.1	XP_001949960.1
OG0001036	NP_647659.1	XP_001950214.2
OG0001037	NP_524381.1	XP_029343413.1, XP_001950704.2
OG0001038	NP_001285948.1	XP_003245753.1, XP_001951213.2
OG0001039	NP_477162.1	XP_001952170.1
OG0001040	NP_001246058.1	XP_001952444.1
OG0001041	NP_995607.1	XP_003240137.1
OG0001042	NP_572293.1	XP_003242156.1, XP_016657148.2
OG0001043	NP_729510.1	XP_003242212.1, XP_016657192.1
OG0001044	NP_001303410.1	XP_029345616.1, XP_003246254.2
OG0001045	NP_001263151.1	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1
OG0001046	NP_608363.1	XP_003247064.1, XP_008186797.1
OG0001048	NP_001246674.1	XP_029341307.1, XP_008178442.1
OG0001049	NP_001286666.1	XP_008180098.1
OG0001050	NP_001246821.1	XP_016657682.1, XP_008180288.1
OG0001051	NP_476752.1, NP_001287451.1	XP_008189529.1, XP_008180713.1, XP_016656400.1
OG0001052	NP_572361.1	XP_008182858.1, XP_008182857.1
OG0001053	NP_611760.2, NP_732726.2, NP_001260112.1	XP_008184495.1
OG0001054	NP_476599.1	XP_008185488.1, XP_008185487.1, XP_029347617.1
OG0001055	NP_001259572.1	XP_008187614.1
OG0001056	NP_788543.1	XP_008187892.1
OG0001057	NP_001285008.1	XP_008187989.1
OG0001058	NP_001262037.1	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1
OG0001059	NP_001014720.1	XP_008188476.1
OG0001060	NP_611421.1	XP_008188543.1
OG0001061	NP_648303.1, NP_001033964.1	XP_016655779.1
OG0001063	NP_001368937.1	XP_029341043.1, XP_016656351.2, XP_029341494.1
OG0001064	NP_651088.1	XP_016662408.1
OG0001065	NP_001036569.2	XP_016662735.1
OG0001066	NP_609599.1, NP_609604.1	XP_029341094.1
OG0001067	NP_611561.1, NP_729599.1	XP_029347427.1, XP_029342601.1
OG0001068	NP_001246786.1	XP_029342993.1, XP_029342992.1
OG0001069	NP_647877.1	XP_029343159.1
OG0001070	NP_652021.1, NP_001259264.1	XP_029343506.1, XP_029343509.1
OG0001071	NP_001369025.1	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1
OG0001090	NP_001015155.1	NP_001129420.1
OG0001091	NP_001285121.1, NP_001162839.1	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2
OG0001092	NP_001259168.1	NP_001155140.1, XP_008187000.1
OG0001093	NP_610035.4	XP_008179870.1, NP_001155505.1
OG0001094	NP_001259316.1	NP_001155508.1, XP_001949834.1
OG0001095	NP_610729.1, NP_001033818.1	NP_001156278.1, NP_001155646.1
OG0001096	NP_001097086.1	NP_001155662.1
OG0001097	NP_524451.1	NP_001155680.1
OG0001098	NP_573359.1	XP_016661622.1, NP_001155733.1
OG0001099	NP_001137972.1	XP_016661136.1
OG0001099	NP_001137973.1	XP_029348134.1, NP_001155764.1
OG0001100	NP_001285120.1	NP_001155768.1
OG0001101	NP_650449.1	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1
OG0001102	NP_001284995.1, NP_524884.1	NP_001156053.1
OG0001103	NP_001245905.1	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1
OG0001104	NP_610475.1	NP_001156133.1, XP_008181357.1
OG0001105	NP_001285263.1, NP_524696.2, NP_788903.1	NP_001233027.1
OG0001106	NP_001097399.1	XP_029341550.1, NP_001156267.1
OG0001107	NP_477463.1, NP_477418.1	NP_001233091.1, XP_001946336.2
OG0001108	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1	XP_008181413.1, XP_008181414.1, NP_001280378.1
OG0001109	NP_608327.2, NP_001287212.1, NP_001027071.1	XP_008188103.1, NP_001280404.1, XP_029343710.1
OG0001110	NP_001287185.1, NP_001260724.1	XP_001942870.1, XP_029341142.1
OG0001111	NP_001260255.1	XP_001943176.2
OG0001112	NP_001245731.1	XP_001943561.1
OG0001113	NP_649587.1	XP_001943767.1
OG0001114	NP_788382.1	XP_001943824.1
OG0001115	NP_651307.2	XP_001944095.2
OG0001116	NP_001284912.1	XP_001944235.1
OG0001117	NP_647890.2	XP_001944518.2
OG0001118	NP_730935.1	XP_001944745.2, XP_003242948.1
OG0001119	NP_573179.1	XP_001945455.1
OG0001120	NP_001303491.1	XP_001945509.2
OG0001120	NP_001286419.1	XP_003245192.1
OG0001121	NP_523778.2	XP_003240109.1, XP_001945890.2
OG0001124	NP_611463.1	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1
OG0001125	NP_996437.1	XP_003242835.1, XP_001947132.2
OG0001126	NP_001263150.1	XP_016657415.1, XP_001947403.1
OG0001127	NP_001259643.1, NP_001259697.1	XP_001947574.2
OG0001128	NP_649862.1	XP_001947778.1
OG0001128	NP_476687.1	XP_008186751.2
OG0001129	NP_001260832.1	XP_003243491.1, XP_001947806.2
OG0001130	NP_001285414.1	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1
OG0001131	NP_001262954.1	XP_008187678.1, XP_001947895.2
OG0001132	NP_477136.1	XP_001948183.1
OG0001133	NP_001262655.1	XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2
OG0001134	NP_650596.1	XP_001948516.2
OG0001135	NP_001261958.1	XP_029341736.1, XP_001949162.2, XP_016662877.1
OG0001137	NP_001162634.1, NP_569918.1	XP_001949566.1, XP_001949558.1
OG0001138	NP_609847.1	XP_016659058.1, XP_001949598.1
OG0001139	NP_650430.1	XP_001949754.1
OG0001140	NP_610460.1	XP_001950299.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	XP_016663836.1, XP_001950325.2
OG0001141	NP_996208.1	XP_001951742.2, XP_008185997.1
OG0001142	NP_001285029.1	XP_001950807.2, XP_029346999.1
OG0001143	NP_524026.1	XP_001950810.1
OG0001144	NP_649981.1	XP_001950825.2
OG0001145	NP_610183.1	XP_001950913.1
OG0001146	NP_001163124.1	XP_001950937.1
OG0001147	NP_573361.1	XP_001950988.1
OG0001148	NP_651990.1	XP_001951126.1
OG0001149	NP_001246233.1	XP_001951630.1
OG0001150	NP_524167.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	NP_001262934.1	XP_016658645.1, XP_001952434.2
OG0001152	NP_608533.1	XP_001952516.2
OG0001153	NP_609012.2	XP_029345485.1, XP_001952587.2
OG0001154	NP_650326.3	XP_016662028.1, XP_001952667.2
OG0001155	NP_001245723.1	XP_001952747.1
OG0001156	NP_727144.1	XP_016664861.1, XP_003241429.1
OG0001157	NP_524637.2	XP_003243823.1
OG0001158	NP_523922.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	NP_001246974.1, NP_524850.2	XP_003245082.1
OG0001160	NP_001285873.1	XP_003245361.2
OG0001161	NP_477313.1	XP_008183803.1
OG0001162	NP_001246331.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001165	NP_001247163.1	XP_008179184.1, XP_008179192.1
OG0001166	NP_524216.1, NP_727251.1	XP_008179444.1
OG0001167	NP_476980.1	XP_008181511.1, XP_008181512.1
OG0001168	NP_477466.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	NP_648620.1, NP_523655.1	XP_008183336.1, XP_029345140.1
OG0001170	NP_524664.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	NP_001368984.1	XP_008183856.1
OG0001172	NP_001246928.1	XP_008184424.1
OG0001173	NP_001261097.1	XP_008184447.1
OG0001174	NP_001104426.1	XP_029345281.1, XP_008185305.1
OG0001175	NP_001261470.1	XP_008185682.1
OG0001176	NP_649439.1	XP_008188774.1
OG0001178	NP_477435.1	XP_008189853.1
OG0001179	NP_001284976.1	XP_008190154.1
OG0001180	NP_001259321.1	XP_016657120.1
OG0001181	NP_573161.1	XP_016657278.1
OG0001182	NP_001246890.1	XP_016657683.1
OG0001183	NP_001246707.1	XP_029343309.1, XP_016658013.1
OG0001184	NP_001287560.1	XP_016659463.1
OG0001185	NP_001137887.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	NP_648908.1	XP_016660542.1, XP_016660541.1
OG0001187	NP_001261023.1	XP_016661530.1, XP_029346066.1
OG0001188	NP_001163482.1	XP_016664405.1, XP_016662933.1
OG0001189	NP_001097192.2	XP_029343923.1
OG0001190	NP_001097387.1	XP_029344471.1
OG0001191	NP_996290.1, NP_001262929.1	XP_029346223.1
OG0001193	NP_001163283.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	NP_572278.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	NP_001260930.1	NP_001153873.1, XP_029347957.1
OG0001216	NP_609382.1	NP_001153944.1, XP_003249047.1
OG0001217	NP_523379.2	NP_001155454.1
OG0001218	NP_001285628.1	NP_001155457.1, XP_008179466.1
OG0001219	NP_477043.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	NP_476594.1	NP_001155533.1
OG0001221	NP_649919.1	NP_001155577.1
OG0001221	NP_650287.3	XP_001951050.1
OG0001222	NP_001262515.1	NP_001155665.2, NP_001156815.1
OG0001223	NP_573055.1	XP_008182091.1, NP_001155667.1
OG0001224	NP_650632.1	NP_001156103.1
OG0001225	NP_611211.3, NP_573315.1	NP_001156193.1
OG0001226	NP_001259731.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001228	NP_001260246.1	XP_001947886.1, NP_001280309.1
OG0001229	NP_651876.1	NP_001280441.1
OG0001230	NP_001285360.1, NP_650407.1	XP_008184848.1, NP_001280446.1
OG0001231	NP_001036283.1	XP_001943183.2, XP_008186393.1
OG0001231	NP_523440.1	NP_001313598.1
OG0001232	NP_001285827.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	NP_001162628.1	XP_016657430.1, XP_001943267.2
OG0001234	NP_001036706.2	XP_001943476.2
OG0001235	NP_647976.1, NP_610496.1, NP_650931.1, NP_001286944.1, NP_649897.4, NP_611654.1, NP_001286709.1, NP_611653.1, NP_573047.1, NP_001262159.1	XP_001943482.2, XP_001943535.1, XP_001944129.2
OG0001236	NP_001246793.1, NP_001261942.1	XP_001944534.1
OG0001237	NP_001246667.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	NP_001014689.3	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	NP_001015221.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	NP_001097042.1, NP_649903.1	XP_001945375.1
OG0001241	NP_733336.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	NP_001260760.1, NP_724538.1	XP_001946147.2
OG0001244	NP_001189177.2	XP_001946280.2
OG0001245	NP_001245557.1	XP_001946431.1
OG0001246	NP_476932.1	XP_001947027.2
OG0001247	NP_572740.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	NP_001259908.1	XP_008180352.1, XP_001947336.2
OG0001249	NP_572452.1	XP_008179609.1, XP_001947420.1
OG0001250	NP_001259742.1	XP_001947917.2
OG0001251	NP_572932.2	XP_029344523.1, XP_029344522.1
OG0001252	NP_610892.1, NP_611132.1, NP_001097338.1, NP_001261679.1, NP_001260959.1, NP_729613.1, NP_729394.1, NP_648244.1	XP_001948261.1
OG0001254	NP_001285084.1	XP_001948594.2
OG0001255	NP_001261169.1	XP_001948774.2
OG0001256	NP_728275.1	XP_001949446.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_001949480.1
OG0001258	NP_001162998.1, NP_001286014.1	XP_001949498.2
OG0001259	NP_724582.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	NP_525109.1	XP_001950152.1
OG0001261	NP_001097659.1	XP_001950183.1
OG0001262	NP_001188672.1	XP_001950417.1
OG0001263	NP_523511.2	XP_001950431.1
OG0001264	NP_610425.1	XP_001950522.1, XP_016657964.1
OG0001265	NP_001162912.1	XP_029347050.1, XP_001950878.2
OG0001267	NP_001261146.1, NP_609711.1	XP_001951732.1
OG0001269	NP_612019.2	XP_003240957.1
OG0001270	NP_730968.1	XP_003241121.1
OG0001271	NP_651398.1	XP_029342269.1, XP_029342268.1
OG0001272	NP_476658.1	XP_029342109.1, XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_029341105.1, XP_003243017.1
OG0001274	NP_476741.1	XP_029347052.1
OG0001275	NP_001286478.1	XP_003243501.1
OG0001277	NP_611899.1	XP_003243733.1
OG0001278	NP_524327.1	XP_003244422.1
OG0001279	NP_524633.3	XP_008183368.1, XP_003244722.1
OG0001280	NP_001036627.2	XP_003245599.2
OG0001281	NP_001246506.1	XP_003246179.1
OG0001282	NP_649261.1	XP_003248149.1
OG0001283	NP_476902.1	XP_003248478.1
OG0001284	NP_001163032.1	XP_008182531.1, XP_003248714.1
OG0001286	NP_610431.1	XP_008178165.1
OG0001287	NP_732006.2	XP_008178607.1
OG0001288	NP_001285508.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	NP_001261265.1	XP_008181498.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_016657448.1, XP_008181527.1
OG0001291	NP_001163636.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	NP_611945.3	XP_029343143.1, XP_008185152.1
OG0001293	NP_649850.1	XP_008185156.1
OG0001294	NP_611855.1	XP_008186956.1
OG0001295	NP_724562.2	XP_008187592.1
OG0001296	NP_001369075.1	XP_016660995.1, XP_016660987.1
OG0001298	NP_001163084.1	XP_016657557.1
OG0001299	NP_609088.1	XP_016659670.1, XP_016659669.1
OG0001300	NP_001259918.1	XP_016660087.1
OG0001301	NP_001188545.1	XP_016660634.1, XP_016660633.1
OG0001302	NP_001188695.1	XP_029347289.1
OG0001303	NP_001261027.1	XP_029341792.1
OG0001304	NP_001246121.1	XP_029342867.1
OG0001305	NP_001261304.1	XP_029348564.1, XP_029342894.1
OG0001306	NP_001262403.1	XP_029344330.1
OG0001307	NP_001188960.1	XP_029345291.1
OG0001307	NP_001356969.1	XP_029345473.1
OG0001308	NP_001245739.1, NP_727344.1	XP_029346361.1, XP_029346360.1
OG0001328	NP_001097695.1	NP_001127773.1, XP_029341919.1
OG0001329	NP_647948.1	NP_001155492.1, XP_029344755.1
OG0001330	NP_001246537.1	NP_001155497.1, XP_008186537.1
OG0001331	NP_001260303.1	NP_001155755.1
OG0001332	NP_650887.1, NP_570011.1	XP_001952298.1, NP_001155769.1
OG0001333	NP_649539.1	NP_001155777.1
OG0001334	NP_001287343.1	NP_001191927.1, NP_001156237.1
OG0001335	NP_609362.1	XP_016663531.1, NP_001156244.1
OG0001336	NP_609967.1	XP_003244203.1
OG0001336	NP_001162901.1	NP_001156313.1
OG0001337	NP_612097.1	NP_001191891.1
OG0001338	NP_572855.1	NP_001191907.1, XP_008181953.1
OG0001339	NP_001260727.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	NP_001284961.1	NP_001280445.1
OG0001341	NP_001259867.1	NP_001313591.2
OG0001342	NP_001138093.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	NP_477025.1	XP_001942773.2
OG0001344	NP_652315.2	XP_016660225.1, XP_001943014.1
OG0001345	NP_648955.1	XP_001943716.2
OG0001346	NP_001097946.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_001944211.2, XP_016658906.1
OG0001348	NP_608350.2	XP_001944238.2
OG0001349	NP_477480.1	XP_001944356.1
OG0001350	NP_788708.2	XP_001944460.2
OG0001351	NP_001246931.1	XP_001945250.1
OG0001352	NP_731459.2	XP_001945276.1
OG0001353	NP_001261357.1	XP_001945743.2, XP_008186641.1
OG0001354	NP_611792.1	XP_001945744.2
OG0001355	NP_572529.2	XP_008189594.1, XP_001946293.2
OG0001356	NP_001014559.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001358	NP_001014703.1	XP_003246991.1, XP_001947503.2
OG0001359	NP_001259064.1, NP_651392.2	XP_001947632.1
OG0001361	NP_650778.2	XP_001947660.2
OG0001362	NP_001287357.1	XP_001947761.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_001947957.1
OG0001364	NP_001188754.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	NP_001260427.1	XP_001948118.2
OG0001366	NP_648508.1	XP_001950714.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_001948202.2, XP_003247502.1, XP_001951248.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_001948360.1
OG0001369	NP_001303363.1	XP_001948582.1
OG0001370	NP_001162973.2	XP_001948788.2, XP_008187828.1
OG0001371	NP_610796.1	XP_001948959.2
OG0001372	NP_610444.2	XP_001949037.2
OG0001373	NP_731872.1	XP_001949375.2, XP_029342280.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	NP_001261379.1	XP_001949712.2
OG0001376	NP_001162697.1	XP_001949866.1, XP_029343706.1
OG0001377	NP_572840.1	XP_016657316.1, XP_001951160.1
OG0001378	NP_572402.1	XP_001951169.1
OG0001379	NP_723501.2	XP_001951442.2, XP_003248624.2
OG0001380	NP_001036421.1	XP_001951739.1
OG0001381	NP_650889.1	XP_001952158.1, XP_003244080.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_001952349.1, XP_029347207.1
OG0001383	NP_001036470.1	XP_001952705.1
OG0001384	NP_001285453.1	XP_003241026.1
OG0001385	NP_001260880.1	XP_003242732.1
OG0001386	NP_001286474.1	XP_003242991.1, XP_029342070.1
OG0001387	NP_609412.1	XP_003243016.1
OG0001388	NP_572320.2, NP_732840.1	XP_003243736.1
OG0001389	NP_788300.3	XP_003243952.1
OG0001390	NP_001286120.1	XP_003245614.1
OG0001391	NP_001163354.1	XP_003246597.1
OG0001392	NP_001246912.1	XP_003246638.2
OG0001393	NP_001285132.1, NP_001188593.1	XP_003246906.1
OG0001394	NP_573197.2	XP_029345028.1
OG0001394	NP_729025.1	XP_003247560.1
OG0001395	NP_001137624.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	NP_001245761.1, NP_523412.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	NP_649764.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	NP_001246972.1, NP_523949.2	XP_008179523.1
OG0001399	NP_569982.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_008180537.1
OG0001401	NP_524675.1	XP_008182079.1
OG0001402	NP_612065.1	XP_008183444.1, XP_008183443.1
OG0001403	NP_001259193.1, NP_733426.1	XP_008183955.3
OG0001404	NP_609110.1	XP_008184962.1
OG0001405	NP_731223.1	XP_008185959.1
OG0001406	NP_001015132.1	XP_008186629.1
OG0001407	NP_001262226.1	XP_008186697.1
OG0001408	NP_001163646.1	XP_008186789.1
OG0001409	NP_001162657.1	XP_008187143.1
OG0001410	NP_523844.2	XP_008187332.1
OG0001412	NP_001036250.1	XP_016658040.1, XP_016658039.1, XP_029346343.1
OG0001412	NP_651941.2	XP_016662318.1
OG0001413	NP_001261618.1, NP_001303415.1	XP_016659809.1, XP_016659807.1, XP_016659808.1
OG0001414	NP_608864.1	XP_016659986.1
OG0001415	NP_996016.2	XP_029344125.1, XP_029342285.1, XP_016662874.1
OG0001416	NP_723870.1	XP_029341813.1
OG0001417	NP_611932.2	XP_029342475.1
OG0001418	NP_001162911.1	XP_029342978.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_029343365.1
OG0001420	NP_650569.1, NP_651139.1	XP_029343491.1
OG0001421	NP_649899.1	XP_029348214.1
OG0001422	NP_001189074.1	XP_029344365.1
OG0001423	NP_729234.2	XP_029345673.1
OG0001424	NP_001262495.1	XP_029346038.1, XP_029346037.1
OG0001425	NP_788574.3	XP_029346380.1
OG0001426	NP_001163056.1	XP_029346658.1
OG0001427	NP_648499.1	XP_029347149.1
OG0001453	NP_001285826.1	NP_001155561.1, XP_008185637.1
OG0001455	NP_610092.2	NP_001155669.1
OG0001456	NP_001286295.1	XP_008180851.1, NP_001155699.1
OG0001457	NP_001163688.1	NP_001155732.1
OG0001458	NP_476858.1	NP_001155827.1
OG0001459	NP_001097610.1, NP_001263148.1	NP_001156046.1
OG0001460	NP_476848.1	NP_001156079.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	NP_001156162.1
OG0001462	NP_001262421.1	NP_001156167.1
OG0001463	NP_649574.1	XP_029341941.1, NP_001156195.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	NP_001156433.1, XP_008186733.1
OG0001465	NP_001189124.1	NP_001156833.1
OG0001466	NP_569951.1, NP_611911.1	XP_008180032.1, NP_001161683.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	NP_001191928.1
OG0001468	NP_001260652.1	NP_001191993.1, XP_008189445.3
OG0001469	NP_523568.2	XP_008181788.1, NP_001233056.1
OG0001470	NP_648768.1	XP_008187948.1, NP_001280297.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	NP_001280353.1
OG0001473	NP_001287361.1	NP_001280376.1, XP_008185857.1
OG0001474	NP_609560.2, NP_569850.1	XP_029342002.1, NP_001280448.1
OG0001475	NP_001368987.1	XP_001942854.1
OG0001477	NP_001014453.1	XP_001942920.4
OG0001478	NP_001285042.1	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1
OG0001479	NP_001036624.1	XP_001942962.2
OG0001480	NP_524533.1	XP_001943003.1
OG0001481	NP_001286181.1	XP_001943151.1
OG0001482	NP_651924.2	XP_001943496.2
OG0001483	NP_001262996.1	XP_001943861.2
OG0001484	NP_001188579.1	XP_001944106.1
OG0001485	NP_569913.1, NP_523596.2	XP_001944507.2
OG0001486	NP_476764.1	XP_029341194.1, XP_001944825.2
OG0001487	NP_001188904.1	XP_016661816.1, XP_001945106.1
OG0001488	NP_001189108.1	XP_001945549.2
OG0001489	NP_648555.1	XP_001945732.1
OG0001490	NP_001246899.1	XP_003247638.1
OG0001491	NP_609228.2	XP_001946011.2, XP_029342551.1
OG0001492	NP_001263168.1	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1
OG0001493	NP_001262195.1	XP_029343846.1, XP_001946376.2, XP_008183135.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_001946881.2
OG0001495	NP_612063.2	XP_029344154.1
OG0001496	NP_609203.1	XP_008185249.2, XP_001946961.1
OG0001497	NP_001260853.1	XP_001947222.2
OG0001498	NP_729823.2	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2
OG0001499	NP_572167.3	XP_001947444.2
OG0001500	NP_730859.1	XP_001947553.2
OG0001501	NP_001303373.1	XP_001947628.2
OG0001502	NP_001261464.1	XP_001947678.4
OG0001503	NP_665880.2	XP_001947953.1
OG0001504	NP_001261440.1	XP_001948087.2, XP_016662592.1
OG0001505	NP_001097527.1	XP_001948092.2
OG0001507	NP_001287269.1	XP_001949195.2, XP_003243935.1
OG0001508	NP_001138130.2	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1
OG0001509	NP_001261116.1	XP_001949731.2
OG0001510	NP_001284936.1	XP_003246129.1, XP_001950257.2
OG0001511	NP_649151.1	XP_001950295.2
OG0001514	NP_001188550.1	XP_001950614.2, XP_008179295.1, XP_016656840.1
OG0001515	NP_001259809.1	XP_001951016.1, XP_008188305.1, XP_008188306.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_001951239.1, XP_008186532.1
OG0001517	NP_731242.1	XP_001951328.2, XP_029346096.1
OG0001518	NP_001036462.1	XP_001951365.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_008183986.1, XP_001951874.2
OG0001520	NP_572480.1, NP_001368953.1	XP_001951964.1
OG0001521	NP_523422.4	XP_001952287.2, XP_029347145.1
OG0001522	NP_001096867.3	XP_001952293.1
OG0001524	NP_001261067.1	XP_003240924.1, XP_016664234.1
OG0001525	NP_477026.1	XP_003241160.1
OG0001526	NP_001369078.1	XP_003241167.1, XP_029345134.1, XP_008190230.1
OG0001527	NP_001259089.1	XP_003241208.1
OG0001529	NP_001162930.1	XP_003242875.1
OG0001530	NP_611501.1	XP_003243307.1
OG0001531	NP_651595.1	XP_003243327.1
OG0001532	NP_001162665.1	XP_003243596.1
OG0001533	NP_728534.2	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1
OG0001534	NP_731923.2	XP_003244802.1
OG0001535	NP_001261999.1	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1
OG0001536	NP_648357.1	XP_003245170.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_003245502.1, XP_008181113.1, XP_016661056.2
OG0001538	NP_995639.1	XP_003245941.1
OG0001539	NP_524017.1	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1
OG0001540	NP_610693.1, NP_610694.1	XP_003247868.1
OG0001541	NP_001261940.1	XP_003248759.2, XP_008188096.1
OG0001542	NP_609207.1	XP_029345676.1, XP_029345670.1, XP_003248868.3
OG0001543	NP_650901.2	XP_008178488.1
OG0001545	NP_523451.2	XP_008180179.1
OG0001546	NP_001247104.1	XP_008180322.1
OG0001548	NP_001285388.1	XP_008181324.1
OG0001550	NP_647968.3	XP_008181349.1, XP_016660125.1
OG0001551	NP_001246815.1	XP_029344459.1, XP_008182508.1
OG0001552	NP_477317.1	XP_029341108.1, XP_008182735.1
OG0001553	NP_651623.1	XP_008183385.1
OG0001554	NP_001261344.1	XP_008183450.2
OG0001555	NP_001246451.1	XP_029341218.1, XP_008184180.1, XP_029341220.1
OG0001556	NP_726771.1	XP_008184251.1
OG0001557	NP_001285174.1	XP_008184836.1
OG0001557	NP_001260951.1	XP_016661057.2
OG0001558	NP_001245722.1	XP_008184940.1
