Orthogroup	Drosophila_melanogaster	Ceratina_calcarata
OG0001129	NP_001260832.1	XP_026674856.1
OG0001130	NP_001285414.1	XP_026674418.1
OG0001131	NP_001262954.1	XP_026666894.1
OG0001132	NP_477136.1	XP_017888705.1
OG0001133	NP_001163633.1, NP_001262655.1	XP_026670938.1
OG0001134	NP_650596.1	XP_017887112.1
OG0001135	NP_001261958.1	XP_017876136.1
OG0001137	NP_001162634.1, NP_569918.1	XP_026669918.1, XP_017881346.1, XP_017881347.1
OG0001138	NP_609847.1	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1
OG0001139	NP_650430.1	XP_017889561.2
OG0001140	NP_610460.1	XP_017879114.1
OG0001141	NP_001261986.1, NP_001303470.1, NP_572194.1	XP_026670436.1
OG0001142	NP_001285029.1	XP_017890662.1
OG0001143	NP_524026.1	XP_017875724.1
OG0001144	NP_649981.1	XP_026674201.1
OG0001145	NP_610183.1	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1
OG0001146	NP_001163124.1	XP_017891794.1, XP_017891793.1, XP_026675156.1, XP_017890052.1
OG0001147	NP_573361.1	XP_017876980.2
OG0001148	NP_651990.1	XP_026667842.1, XP_017876938.1, XP_017876939.1
OG0001149	NP_001246233.1	XP_017890473.1
OG0001150	NP_524167.1	XP_017878717.1, XP_017878720.1
OG0001151	NP_001262934.1	XP_017876290.1
OG0001152	NP_608533.1	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1
OG0001153	NP_609012.2	XP_026668446.1, XP_026668492.1
OG0001154	NP_650326.3	XP_026672481.1, XP_026672484.1
OG0001155	NP_001245723.1	XP_017891395.1, XP_017891387.1
OG0001156	NP_727144.1	XP_017881290.1
OG0001157	NP_524637.2	XP_017883238.2
OG0001158	NP_523922.1	XP_017892393.1
OG0001159	NP_001246974.1, NP_524850.2	XP_017886271.2
OG0001160	NP_001285873.1	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1
OG0001161	NP_477313.1	XP_017888072.1
OG0001162	NP_001246331.1	XP_026670832.1
OG0001165	NP_001247163.1	XP_026667629.1, XP_026667634.1, XP_026667626.1
OG0001166	NP_524216.1, NP_727251.1	XP_017883240.1, XP_017883236.2
OG0001167	NP_476980.1	XP_026675585.1
OG0001168	NP_477466.1	XP_017885185.1
OG0001169	NP_648620.1, NP_523655.1	XP_026671781.1, XP_017884666.1
OG0001170	NP_524664.1	XP_017883545.1
OG0001171	NP_001368984.1	XP_017875797.1
OG0001172	NP_001246928.1	XP_026674508.1, XP_017890510.1
OG0001173	NP_001261097.1	XP_017875804.1
OG0001174	NP_001104426.1	XP_017883929.1, XP_017875351.1
OG0001175	NP_001261470.1	XP_017892341.1
OG0001176	NP_649439.1	XP_017879337.1
OG0001178	NP_477435.1	XP_026671319.1, XP_026671317.1, XP_026671318.1, XP_017883991.1
OG0001179	NP_001284976.1	XP_017882127.1
OG0001180	NP_001259321.1	XP_026672814.1, XP_026672812.1
OG0001181	NP_573161.1	XP_026670810.1
OG0001182	NP_001246890.1	XP_017883950.1
OG0001183	NP_001246707.1	XP_017880599.1, XP_017880593.1
OG0001184	NP_001287560.1	XP_026670299.1, XP_026670300.1
OG0001185	NP_001137887.1	XP_026669000.1
OG0001186	NP_648908.1	XP_017876004.1
OG0001187	NP_001261023.1	XP_017888786.1
OG0001188	NP_001163482.1	XP_026674461.1, XP_026674462.1, XP_017890383.1, XP_026674465.1, XP_026674464.1, XP_026674463.1
OG0001189	NP_001097192.2	XP_017892156.1, XP_026675309.1, XP_017892155.1
OG0001190	NP_001097387.1	XP_026675381.1, XP_017892328.1, XP_026675383.1, XP_026675382.1, XP_017892331.1, XP_017892330.1, XP_017892333.1
OG0001191	NP_996290.1, NP_001262929.1	XP_017889344.1
OG0001193	NP_001163283.1	XP_026668344.1, XP_017877955.1
OG0001195	NP_608725.1	XP_017890988.1, XP_017890987.1, XP_017890986.1
OG0001197	NP_569979.1	XP_026668759.1, XP_026673391.1, XP_017877666.1
OG0001198	NP_476939.1	XP_026673471.1, XP_026673470.1, XP_017888358.1
OG0001199	NP_647878.1	XP_017881488.1, XP_017881489.1
OG0001201	NP_611863.1	XP_017877209.1
OG0001202	NP_731269.2	XP_026669822.1
OG0001203	NP_611025.2, NP_523750.2, NP_611808.2	XP_026667274.1
OG0001204	NP_001163181.1	XP_017882168.1
OG0001205	NP_728441.1, NP_728444.1, NP_728438.2	XP_017889436.1, XP_017877499.1
OG0001206	NP_001245695.1	XP_017888611.2, XP_017881544.1, XP_026670043.1
OG0001207	NP_001262204.1	XP_026669781.1, XP_017880993.2
OG0001208	NP_001262609.1	XP_017882372.2, XP_017883548.1, XP_017883550.1, XP_017883547.1
OG0001211	NP_788360.2, NP_001097455.1, NP_648203.1	XP_017880343.1, XP_026671970.1
OG0001214	NP_572278.1	XP_017881115.1
OG0001215	NP_001260930.1	XP_017884983.1
OG0001216	NP_609382.1	XP_017893516.1, XP_017893507.1
OG0001217	NP_523379.2	XP_017886751.1, XP_017886750.1
OG0001218	NP_001285628.1	XP_017880270.1
OG0001219	NP_477043.1	XP_017880146.1
OG0001220	NP_476594.1	XP_017877252.1
OG0001221	NP_650287.3	XP_026673331.1
OG0001222	NP_001262515.1	XP_017889956.1, XP_026674122.1, XP_017889955.1
OG0001223	NP_573055.1	XP_017890927.1
OG0001224	NP_650632.1	XP_017880169.1, XP_017880171.1
OG0001225	NP_611211.3, NP_573315.1	XP_017883445.1
OG0001226	NP_001259731.1	XP_017882856.1, XP_017882847.1, XP_017882866.1
OG0001228	NP_001260246.1	XP_017892582.1, XP_017892587.1
OG0001229	NP_651876.1	XP_017883348.1, XP_017883349.1
OG0001230	NP_001285360.1, NP_650407.1	XP_017876199.1
OG0001231	NP_001036283.1	XP_017888565.1
OG0001232	NP_001285827.1	XP_017892532.1, XP_017892536.1
OG0001233	NP_001162628.1	XP_017882351.1
OG0001234	NP_001036706.2	XP_026668282.1
OG0001236	NP_001246793.1, NP_001261942.1	XP_026670881.1, XP_017883045.1, XP_017883046.1
OG0001237	NP_001246667.1	XP_026669249.1
OG0001238	NP_001014689.3	XP_026673719.1, XP_026673720.1
OG0001239	NP_001015221.1	XP_017884417.1
OG0001240	NP_001097042.1, NP_649903.1	XP_017876721.1, XP_017876729.1
OG0001241	NP_733336.1	XP_017879036.1, XP_026668831.1
OG0001242	NP_001260760.1, NP_724538.1	XP_017885842.1, XP_017885841.1
OG0001244	NP_001189177.2	XP_017890536.1, XP_017890537.1, XP_026674530.1
OG0001245	NP_001245557.1	XP_017892758.1
OG0001246	NP_476932.1	XP_017887988.1
OG0001247	NP_572740.1	XP_017883857.1, XP_017883856.1
OG0001248	NP_001259908.1	XP_017885722.1, XP_017885721.1, XP_017885720.1, XP_026672240.1
OG0001249	NP_572452.1	XP_017887979.1
OG0001250	NP_001259742.1	XP_017883428.1
OG0001251	NP_572932.2	XP_017882528.1
OG0001254	NP_001285084.1	XP_017886157.1
OG0001255	NP_001261169.1	XP_026671355.1, XP_017884086.1
OG0001256	NP_728275.1	XP_017893021.1
OG0001257	NP_649873.1, NP_001287313.1, NP_732513.1	XP_017882218.2
OG0001259	NP_724582.1	XP_017877153.1
OG0001260	NP_525109.1	XP_017889906.1, XP_017889907.1
OG0001261	NP_001097659.1	XP_026668091.1, XP_017877511.1
OG0001262	NP_001188672.1	XP_017877111.1, XP_017877113.1
OG0001263	NP_523511.2	XP_017885436.1
OG0001264	NP_610425.1	XP_017876225.1
OG0001267	NP_001261146.1	XP_026673666.1
OG0001267	NP_609711.1	XP_026673737.1
OG0001269	NP_612019.2	XP_026666924.1, XP_026666930.1
OG0001270	NP_730968.1	XP_017891911.1
OG0001271	NP_651398.1	XP_017875511.1, XP_017875509.1
OG0001272	NP_476658.1	XP_017885497.1
OG0001273	NP_611759.1, NP_611762.1, NP_001285109.1	XP_026670825.1
OG0001275	NP_001286478.1	XP_017878338.1, XP_017878340.1
OG0001277	NP_611899.1	XP_017887330.1
OG0001278	NP_524327.1	XP_017886511.2
OG0001279	NP_524633.3	XP_017877894.1, XP_026668364.1
OG0001280	NP_001036627.2	XP_026667929.1, XP_017877172.1
OG0001281	NP_001246506.1	XP_017881313.1
OG0001282	NP_649261.1	XP_017882122.1
OG0001283	NP_476902.1	XP_017892422.1
OG0001284	NP_001163032.1	XP_017886567.1, XP_017886558.1
OG0001286	NP_610431.1	XP_017885102.1
OG0001287	NP_732006.2	XP_017890744.1, XP_017890741.1, XP_026674635.1
OG0001288	NP_001285508.1	XP_017877639.1
OG0001289	NP_001261265.1	XP_017892764.1
OG0001290	NP_649797.2, NP_650324.1, NP_651092.1	XP_017889603.1
OG0001291	NP_001163636.1	XP_017886822.1
OG0001292	NP_611945.3	XP_017882283.1
OG0001293	NP_649850.1	XP_017876705.1
OG0001294	NP_611855.1	XP_017889518.1, XP_026674115.1
OG0001295	NP_724562.2	XP_017881319.1
OG0001298	NP_001163084.1	XP_017881237.1
OG0001299	NP_609088.1	XP_017881510.1
OG0001300	NP_001259918.1	XP_017888500.1, XP_017888499.1
OG0001301	NP_001188545.1	XP_026666630.1
OG0001303	NP_001261027.1	XP_017880508.1
OG0001304	NP_001246121.1	XP_017886478.1, XP_026672517.1, XP_017886477.1
OG0001305	NP_001261304.1	XP_026666601.1
OG0001306	NP_001262403.1	XP_017883838.1
OG0001307	NP_001356969.1	XP_026669213.1, XP_026669216.1
OG0001308	NP_001245739.1, NP_727344.1	XP_017888463.1
OG0001310	NP_650685.1	XP_026674326.1, XP_026674327.1, XP_017890165.1
OG0001312	NP_001285588.1	XP_017880083.1, XP_017880079.1
OG0001314	NP_001246531.1	XP_017877181.1
OG0001315	NP_001285099.1, NP_728935.1	XP_026672911.1, XP_017887152.1
OG0001316	NP_001246495.1	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1
OG0001317	NP_647998.2, NP_647996.1	XP_017878090.2
OG0001317	NP_648019.2	XP_017878772.1
OG0001318	NP_001188775.1	XP_026667476.1
OG0001320	NP_651060.1	XP_026671122.1, XP_026671123.1, XP_017883626.1
OG0001322	NP_651570.1	XP_017891378.1
OG0001328	NP_001097695.1	XP_017882111.1
OG0001329	NP_647948.1	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1
OG0001330	NP_001246537.1	XP_017891678.1
OG0001331	NP_001260303.1	XP_017883464.1
OG0001332	NP_650887.1, NP_570011.1	XP_017882789.1, XP_017882787.1
OG0001333	NP_649539.1	XP_017892813.1
OG0001334	NP_001287343.1	XP_026669091.1, XP_026669092.1
OG0001335	NP_609362.1	XP_017882018.2, XP_017882019.1
OG0001336	NP_609967.1	XP_017882037.2
OG0001336	NP_001162901.1	XP_026670312.1
OG0001337	NP_612097.1	XP_017879502.1, XP_017879503.1
OG0001338	NP_572855.1	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1
OG0001339	NP_001260727.1	XP_017886121.1
OG0001340	NP_001284961.1	XP_017890061.1, XP_017877160.1
OG0001341	NP_001259867.1	XP_026672596.1
OG0001342	NP_001138093.1	XP_017878213.1
OG0001343	NP_477025.1	XP_017884609.1
OG0001345	NP_648955.1	XP_017890181.1, XP_026674313.1, XP_026674314.1
OG0001346	NP_001097946.1	XP_017876879.1
OG0001347	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2	XP_017893537.1
OG0001348	NP_608350.2	XP_017876044.1
OG0001349	NP_477480.1	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1
OG0001350	NP_788708.2	XP_017882882.1
OG0001351	NP_001246931.1	XP_026674120.1, XP_017889532.1
OG0001352	NP_731459.2	XP_017881148.1
OG0001353	NP_001261357.1	XP_017882726.1
OG0001354	NP_611792.1	XP_026667483.1, XP_017876228.1
OG0001355	NP_572529.2	XP_017888035.2
OG0001356	NP_001014559.1	XP_017888519.1
OG0001358	NP_001014703.1	XP_017889636.1, XP_017889633.1
OG0001359	NP_001259064.1, NP_651392.2	XP_017882565.1, XP_017882566.1
OG0001361	NP_650778.2	XP_026672730.1, XP_017886731.1, XP_017886732.1
OG0001362	NP_001287357.1	XP_017891783.1
OG0001363	NP_001286088.1, NP_001286786.1	XP_017886031.2, XP_017885003.1
OG0001364	NP_001188754.1	XP_026666520.1
OG0001365	NP_001260427.1	XP_017890494.1
OG0001367	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2	XP_017879464.1
OG0001368	NP_651733.1, NP_001287622.1, NP_651871.2	XP_017881299.1
OG0001369	NP_001303363.1	XP_017893611.1
OG0001370	NP_001162973.2	XP_017887687.1
OG0001371	NP_610796.1	XP_017878765.1
OG0001372	NP_610444.2	XP_017881661.1, XP_017891436.1, XP_017879762.1
OG0001373	NP_731872.1	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1
OG0001374	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2	XP_026673332.1, XP_017888065.2
OG0001375	NP_001261379.1	XP_017884465.1, XP_017884481.1
OG0001376	NP_001162697.1	XP_017892499.1, XP_017892497.1
OG0001377	NP_572840.1	XP_017877173.1
OG0001378	NP_572402.1	XP_017887871.1
OG0001379	NP_723501.2	XP_017893069.1
OG0001380	NP_001036421.1	XP_017875912.1
OG0001381	NP_650889.1	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1
OG0001382	NP_001260515.1, NP_001260514.1	XP_026667542.1
OG0001383	NP_001036470.1	XP_017878984.1
OG0001384	NP_001285453.1	XP_017879068.1
OG0001385	NP_001260880.1	XP_017879493.1
OG0001386	NP_001286474.1	XP_017875382.1
OG0001387	NP_609412.1	XP_017883516.1
OG0001388	NP_572320.2, NP_732840.1	XP_017880362.1
OG0001389	NP_788300.3	XP_026674453.1, XP_026675071.1, XP_017892329.1
OG0001390	NP_001286120.1	XP_017887124.1
OG0001391	NP_001163354.1	XP_017876528.1, XP_017876529.1
OG0001392	NP_001246912.1	XP_026667204.1, XP_017875693.1, XP_017875702.1
OG0001393	NP_001285132.1, NP_001188593.1	XP_017879548.1
OG0001394	NP_573197.2	XP_026670778.1
OG0001394	NP_729025.1	XP_026674847.1
OG0001395	NP_001137624.1	XP_017877486.1
OG0001396	NP_001245761.1, NP_523412.1	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1
OG0001397	NP_649764.1	XP_017889289.1, XP_017889291.1
OG0001398	NP_001246972.1, NP_523949.2	XP_026672922.1, XP_017887263.1, XP_026672921.1
OG0001399	NP_569982.1	XP_026673393.1
OG0001400	NP_724042.1, NP_001188828.1, NP_788071.3	XP_017883457.1
OG0001401	NP_524675.1	XP_017889463.1, XP_017889465.1, XP_026673966.1
OG0001402	NP_612065.1	XP_026667249.1
OG0001403	NP_001259193.1, NP_733426.1	XP_026672021.1, XP_026672022.1
OG0001404	NP_609110.1	XP_017878479.1
OG0001405	NP_731223.1	XP_017885433.1
OG0001406	NP_001015132.1	XP_017878387.1
OG0001407	NP_001262226.1	XP_026673136.1, XP_017887725.1
OG0001409	NP_001162657.1	XP_017890921.1
OG0001410	NP_523844.2	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1
OG0001412	NP_001036250.1	XP_026670137.1
OG0001412	NP_651941.2	XP_017881765.1
OG0001413	NP_001303415.1	XP_017891083.1
OG0001414	NP_608864.1	XP_017885076.1
OG0001415	NP_996016.2	XP_017887419.1, XP_017887415.1
OG0001416	NP_723870.1	XP_026668278.1, XP_017882648.2
OG0001417	NP_611932.2	XP_017887492.1
OG0001418	NP_001162911.1	XP_017885400.1
OG0001419	NP_001036356.1, NP_001260403.1	XP_017882635.1, XP_026670647.1
OG0001420	NP_650569.1, NP_651139.1	XP_026671452.1
OG0001421	NP_649899.1	XP_017892744.1, XP_017892743.1
OG0001422	NP_001189074.1	XP_017885854.1, XP_017885853.1, XP_026672326.1
OG0001423	NP_729234.2	XP_026669133.1, XP_026667553.1
OG0001424	NP_001262495.1	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1
OG0001425	NP_788574.3	XP_017875961.1
OG0001426	NP_001163056.1	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1
OG0001427	NP_648499.1	XP_017887786.1
OG0001428	NP_608929.1	XP_017876422.1, XP_026667570.1, XP_017876425.1, XP_017876424.1, XP_017876423.1
OG0001429	NP_609625.2, NP_001260439.1, NP_609627.1	XP_017887819.1
OG0001430	NP_001287466.1	XP_017889757.1
OG0001432	NP_001188923.1, NP_611185.3	XP_017877191.1
OG0001434	NP_788618.1, NP_649928.1	XP_017889807.1
OG0001436	NP_650868.1, NP_649289.2	XP_017875451.1, XP_026667144.1, XP_026667143.1, XP_017875452.1
OG0001437	NP_001286742.1	XP_017889324.1, XP_017889326.1, XP_017889327.1
OG0001438	NP_727644.3	XP_017882586.1, XP_017882584.1, XP_017882585.1
OG0001440	NP_611647.1	XP_026669665.1, XP_026669663.1, XP_026669664.1, XP_017880753.1
OG0001441	NP_001027574.2	XP_017877253.1, XP_017877251.1
OG0001442	NP_001287592.1	XP_026669402.1, XP_017880297.1, XP_017880369.1
OG0001443	NP_001096850.2	XP_017876790.1, XP_017893449.1, XP_017893448.1
OG0001444	NP_001034052.2	XP_026669184.1, XP_017879880.1
OG0001445	NP_788715.2, NP_788714.1, NP_651058.1	XP_017883167.1
OG0001446	NP_648358.2	XP_026667210.1, XP_026667209.1
OG0001453	NP_001285826.1	XP_017885844.1
OG0001455	NP_610092.2	XP_017881514.1
OG0001456	NP_001286295.1	XP_026667780.1, XP_026667784.1
OG0001457	NP_001163688.1	XP_017880034.1
OG0001458	NP_476858.1	XP_017884582.1
OG0001459	NP_001097610.1, NP_001263148.1	XP_026675395.1
OG0001460	NP_476848.1	XP_026671393.1, XP_017884092.1
OG0001461	NP_001287491.1, NP_001036749.2, NP_001262890.1	XP_017890699.1
OG0001462	NP_001262421.1	XP_017887335.1
OG0001463	NP_649574.1	XP_026672318.1
OG0001464	NP_651592.2, NP_569871.2, NP_001246485.1	XP_017880281.1
OG0001465	NP_001189124.1	XP_017876776.1, XP_017876777.1
OG0001466	NP_569951.1, NP_611911.1	XP_017888947.1, XP_017888948.1
OG0001467	NP_001260304.1, NP_001260305.1, NP_001260306.1	XP_026675468.1, XP_026675469.1
OG0001468	NP_001260652.1	XP_017883650.1, XP_017883649.1
OG0001469	NP_523568.2	XP_017882156.1
OG0001470	NP_648768.1	XP_026670189.1
OG0001471	NP_648463.2, NP_001285545.1, NP_608514.1	XP_026668131.1, XP_017877509.1
OG0001472	NP_725504.1, NP_001246828.1, NP_001286770.1	XP_017880836.2, XP_017882420.1
OG0001473	NP_001287361.1	XP_017879270.1
OG0001474	NP_609560.2, NP_569850.1	XP_017882124.1
OG0001475	NP_001368987.1	XP_026667272.1, XP_026667270.1, XP_017875766.1
OG0001477	NP_001014453.1	XP_017882175.1
OG0001478	NP_001285042.1	XP_017884388.1
OG0001479	NP_001036624.1	XP_017887456.1
OG0001480	NP_524533.1	XP_017891707.1
OG0001481	NP_001286181.1	XP_017879500.1
OG0001482	NP_651924.2	XP_017883654.1, XP_026671100.1
OG0001483	NP_001262996.1	XP_017885452.1
OG0001484	NP_001188579.1	XP_017884916.1
OG0001485	NP_569913.1	XP_017890307.1
OG0001486	NP_476764.1	XP_026672451.1, XP_026672454.1
OG0001487	NP_001188904.1	XP_017876635.1
OG0001488	NP_001189108.1	XP_017892990.2, XP_026666526.1, XP_026666533.1
OG0001489	NP_648555.1	XP_017886494.1
OG0001491	NP_609228.2	XP_017875538.1
OG0001492	NP_001263168.1	XP_017893678.1, XP_026666881.1
OG0001493	NP_001262195.1	XP_017883907.1
OG0001494	NP_001287233.1, NP_731250.1, NP_001262370.1	XP_017880160.1
OG0001495	NP_612063.2	XP_017882031.1
OG0001496	NP_609203.1	XP_017891409.1
OG0001497	NP_001260853.1	XP_017877619.1
OG0001498	NP_729823.2	XP_017881140.1
OG0001499	NP_572167.3	XP_017880154.1, XP_017878329.1
OG0001500	NP_730859.1	XP_026667478.1
OG0001501	NP_001303373.1	XP_017885255.1
OG0001502	NP_001261464.1	XP_017882984.1
OG0001503	NP_665880.2	XP_017879971.1, XP_017879970.1
OG0001504	NP_001261440.1	XP_017887359.1
OG0001505	NP_001097527.1	XP_017883156.1, XP_026670874.1
OG0001507	NP_001287269.1	XP_017889498.1
OG0001508	NP_001138130.2	XP_026675341.1
OG0001509	NP_001261116.1	XP_017888843.1
OG0001510	NP_001284936.1	XP_017879018.1, XP_017892889.1
OG0001511	NP_649151.1	XP_017885232.1
OG0001514	NP_001188550.1	XP_026674694.1
OG0001515	NP_001259809.1	XP_017893465.1, XP_017893493.1, XP_017893475.1, XP_017893483.1
OG0001516	NP_001163857.2, NP_001104417.3	XP_026667281.1, XP_026667280.1, XP_017875828.1, XP_026667282.1
OG0001517	NP_731242.1	XP_017886742.1
OG0001518	NP_001036462.1	XP_026670093.1, XP_017881638.1
OG0001519	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1	XP_017886273.1
OG0001522	NP_001096867.3	XP_017886164.1
OG0001524	NP_001261067.1	XP_017875282.1
OG0001525	NP_477026.1	XP_017889808.1, XP_017889806.1
OG0001526	NP_001369078.1	XP_017887355.1, XP_026672942.1
OG0001527	NP_001259089.1	XP_017881373.1
OG0001529	NP_001162930.1	XP_026672466.1, XP_026672474.1, XP_026672478.1, XP_026672488.1, XP_026672486.1, XP_017885398.1, XP_026672468.1
OG0001530	NP_611501.1	XP_017889183.1
OG0001531	NP_651595.1	XP_017879505.1
OG0001532	NP_001162665.1	XP_026673838.1, XP_017884610.1
OG0001533	NP_728534.2	XP_017892515.1, XP_017892516.1, XP_017892517.1, XP_026675396.1, XP_026675397.1
OG0001534	NP_731923.2	XP_017880208.1, XP_017885096.2
OG0001535	NP_001261999.1	XP_026675097.1, XP_017891037.1
OG0001536	NP_648357.1	XP_017875095.1, XP_017875093.1
OG0001537	NP_001245892.1, NP_001260974.1	XP_017882609.1, XP_017882610.1
OG0001538	NP_995639.1	XP_017886236.1
OG0001539	NP_524017.1	XP_026674421.1, XP_026674420.1
OG0001540	NP_610693.1, NP_610694.1	XP_017889014.1
OG0001541	NP_001261940.1	XP_026675415.1, XP_017892553.1
OG0001542	NP_609207.1	XP_026668701.1, XP_017878786.1
OG0001543	NP_650901.2	XP_026669849.1
OG0001545	NP_523451.2	XP_026670107.1, XP_026675304.1, XP_026672402.1, XP_026674393.1, XP_017879402.2, XP_026672688.1
OG0001546	NP_001247104.1	XP_017891805.1
OG0001548	NP_001285388.1	XP_017887079.1
OG0001550	NP_647968.3	XP_017892140.2, XP_026674767.1, XP_017887182.1
OG0001551	NP_001246815.1	XP_017884371.2
OG0001552	NP_477317.1	XP_026671455.1, XP_017884355.1
OG0001553	NP_651623.1	XP_017884263.1, XP_017884262.1
OG0001554	NP_001261344.1	XP_017888433.1, XP_026673527.1
OG0001555	NP_001246451.1	XP_017875845.1, XP_017875846.1
OG0001556	NP_726771.1	XP_017893482.1
OG0001557	NP_001260951.1	XP_017877629.1
OG0001558	NP_001245722.1	XP_017878085.1
OG0001559	NP_650472.2	XP_017877587.1, XP_017877585.1, XP_017877586.1, XP_026668180.1
OG0001560	NP_001246228.1	XP_026670245.1, XP_026670080.1
OG0001561	NP_001260963.1	XP_017889717.1
OG0001562	NP_001137943.2	XP_026669458.1, XP_017880457.2
OG0001563	NP_001246300.1	XP_026673959.1, XP_026673955.1
OG0001564	NP_650698.1	XP_017882356.1, XP_017887754.1
OG0001565	NP_001286976.1	XP_017882130.1
OG0001567	NP_001137746.1	XP_017882680.1, XP_017882684.1
OG0001568	NP_001263152.1	XP_026671175.1
OG0001569	NP_477320.1	XP_017875431.1
OG0001570	NP_648176.1	XP_017875150.1, XP_017875152.1, XP_017875151.1, XP_017885804.1
OG0001571	NP_610075.2	XP_017890463.1, XP_017892717.2
OG0001575	NP_524337.1	XP_026666896.1
OG0001576	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1	XP_026667012.1
OG0001577	NP_001285493.1	XP_017885615.1, XP_026672158.1, XP_017885614.1
OG0001579	NP_001097592.1	XP_017876530.2
OG0001580	NP_001285528.1	XP_017888347.1, XP_017888344.1
OG0001581	NP_608983.2	XP_026670294.1
OG0001582	NP_001287593.1	XP_026669615.1, XP_017880629.1, XP_017880628.1
OG0001583	NP_001189157.1	XP_026673971.1
OG0001584	NP_648993.1	XP_017889139.1
OG0001585	NP_001262143.1	XP_017892996.1, XP_017893043.1
OG0001586	NP_647865.2	XP_017879262.1, XP_017879261.1
OG0001587	NP_648090.1	XP_017892386.1, XP_017892383.1
OG0001588	NP_001188558.1	XP_017881662.1
OG0001589	NP_726318.1	XP_026674955.1
OG0001590	NP_572910.1, NP_001285210.1	XP_017879754.1
OG0001591	NP_001286018.1	XP_026668586.1
OG0001592	NP_647896.1	XP_026674315.1
OG0001593	NP_001287342.1	XP_017889870.1
OG0001594	NP_001259723.1	XP_026671535.1, XP_026671711.1
OG0001595	NP_611252.1	XP_017881535.1, XP_017881534.1
OG0001596	NP_730651.1	XP_026672205.1, XP_026672211.1, XP_026672207.1, XP_026672206.1, XP_026672209.1, XP_017885740.1, XP_026672208.1, XP_026672210.1
OG0001597	NP_572854.1	XP_026667798.1
OG0001600	NP_001286151.1	XP_026670083.1, XP_026670084.1, XP_017881650.1, XP_026670085.1
OG0001602	NP_001033958.1	XP_026674281.1
OG0001603	NP_001027070.1	XP_026673231.1, XP_026667519.1
OG0001604	NP_001163129.1	XP_017881294.1, XP_017881292.1
OG0001606	NP_523902.2	XP_017888687.1
OG0001607	NP_001285753.1	XP_026675048.1, XP_017891714.1, XP_017891715.1, XP_017891716.1
OG0001608	NP_001260655.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001614	NP_001259303.1, NP_569908.1	XP_017883388.1
OG0001615	NP_523764.1	XP_026674697.1, XP_017890960.1
OG0001616	NP_001259833.1	XP_017876471.1, XP_017876481.1
OG0001617	NP_524011.1	XP_017876865.1
OG0001619	NP_652526.1	XP_017874994.1, XP_017874993.1
OG0001620	NP_609496.1	XP_026673662.1
OG0001621	NP_573362.1, NP_729837.1	XP_026672226.1, XP_026672225.1, XP_017885786.1, XP_017885787.1, XP_017885788.1, XP_017885790.1
OG0001622	NP_572536.1	XP_026675335.1
OG0001623	NP_524400.2	XP_017877969.1
OG0001624	NP_788056.1	XP_017880405.1
OG0001625	NP_001262669.1	XP_017893078.1
OG0001626	NP_001259186.1	XP_017875692.1
OG0001627	NP_001303417.1	XP_017880923.1
OG0001628	NP_651052.1	XP_017889213.2, XP_026666872.1
OG0001629	NP_651782.1	XP_017888381.1, XP_017879817.1
OG0001631	NP_001261267.1	XP_017879946.1
OG0001632	NP_001245408.1	XP_017884911.1
OG0001633	NP_001246351.1	XP_017893400.1
OG0001634	NP_651054.1	XP_017890676.1
OG0001635	NP_001303479.1	XP_017886906.1
OG0001636	NP_728142.1	XP_017879192.1
OG0001637	NP_612046.1	XP_017886568.1
OG0001638	NP_648826.2	XP_017878364.2, XP_017882539.1
OG0001639	NP_572360.1	XP_017884733.1
OG0001640	NP_477027.1	XP_017875145.1
OG0001641	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1	XP_017891802.1
