Orthogroup	Aedes_aegypti	Nasonia_vitripennis
OG0000983	XP_021710716.1	XP_003427562.2
OG0000984	XP_021700789.1	XP_003424431.1
OG0000984	XP_021700790.1	XP_001603549.2
OG0000985	XP_021699811.1, XP_021699812.1, XP_021699813.1, XP_021699814.1, XP_001658285.1	XP_032452397.1, XP_032452396.1, XP_008204163.1, XP_001601701.1
OG0000987	XP_001652618.1	XP_016842371.1
OG0000988	XP_021692998.1, XP_021692997.1	XP_003426713.1, XP_031787402.1
OG0000989	XP_021693313.1	XP_032456182.1, XP_031788590.1, XP_031788601.1, XP_031788596.1
OG0000990	XP_021705871.1, XP_021712621.1	XP_031782876.1
OG0000992	XP_001653792.1	XP_032456181.1, XP_032456180.1, XP_016841525.1, XP_016841521.1
OG0000993	XP_001657349.1, XP_021712573.1	XP_001608053.1, XP_001608047.1
OG0000994	XP_021712595.1, XP_001656483.2	XP_016839998.1, XP_016838922.1
OG0000995	XP_001662013.1	NP_001153450.1, XP_032455945.1, NP_001127783.1
OG0000996	XP_001651556.2, XP_001651557.2, XP_021712254.1, XP_021712255.1	XP_001607273.1
OG0000997	XP_001652880.1	XP_031785641.1
OG0000998	XP_001648735.1, XP_001659667.2, XP_021694971.1, XP_021694972.1	XP_031778333.1, NP_001165927.1, NP_001165926.1, NP_001165925.1
OG0000999	XP_001660745.2, XP_001660748.2	XP_001599305.1, XP_032456021.1, XP_032456020.1
OG0001000	XP_001659938.2	XP_001608110.1
OG0001001	XP_021696850.1, XP_001650605.1	XP_001603900.1, XP_032454168.1
OG0001002	XP_001656815.1, XP_001648854.1	XP_031786462.1, XP_031786460.1, XP_031786461.1, XP_032454813.1
OG0001003	XP_021698403.1, XP_001652606.1	XP_031786764.1, XP_031786766.1
OG0001004	XP_021697696.1	XP_008211009.1
OG0001004	XP_001656833.1	XP_016839580.1, XP_032455704.1
OG0001005	XP_001654066.1	XP_008205600.1, XP_008205599.1, XP_016843090.1, XP_016843918.1
OG0001006	XP_021713406.1	XP_031784848.1, XP_008211438.1
OG0001007	XP_021710083.1	XP_016842295.1, XP_031788072.1
OG0001008	XP_011493242.2	XP_032458023.1
OG0001008	XP_021700400.1	NP_001177963.1
OG0001009	XP_001660190.2	XP_016843552.1
OG0001009	XP_021702837.1	XP_031783374.1
OG0001010	XP_021703789.1, XP_021703788.1, XP_021703790.1, XP_021703785.1, XP_021703784.1, XP_021703787.1, XP_021703786.1	XP_001607395.1, XP_031776854.1, XP_003423973.1, XP_031776855.1, XP_032451638.1
OG0001011	XP_001661560.2	XP_001604770.2
OG0001013	XP_021699192.1	XP_031788641.1, XP_031788643.1, XP_031788642.1, XP_032456511.1, XP_032456512.1, XP_032456513.1, XP_032456514.1, XP_031788639.1, XP_031788644.1
OG0001014	XP_021705253.1	XP_032454056.1, XP_003428062.1, XP_032454054.1, XP_016845141.1, XP_016845139.1
OG0001015	XP_021713139.1	XP_003425592.1
OG0001015	XP_001660517.1	XP_001605584.2
OG0001016	XP_001651894.1	XP_001607384.2, XP_001604992.1
OG0001017	XP_021695035.1, XP_021695037.1, XP_021695038.1	XP_001607039.2, XP_032451948.1
OG0001018	XP_021705853.1	NP_001155852.1
OG0001018	XP_001663910.1	XP_001601162.2
OG0001019	XP_021697833.1	XP_001608115.1, XP_016842095.1
OG0001020	XP_021700258.1	XP_031779052.1
OG0001021	XP_001661389.1	XP_001602210.1
OG0001022	XP_021712919.1, XP_021709106.1	XP_016836879.1, XP_008215638.1
OG0001023	XP_021705791.1	XP_001599379.2
OG0001025	XP_021710356.1, XP_021710355.1, XP_021710346.1, XP_021710347.1, XP_021710344.1, XP_021710345.1, XP_021710350.1, XP_021710351.1, XP_021710348.1, XP_021710354.1, XP_021710353.1, XP_021710352.1, XP_021710349.1, XP_021710343.1	XP_031785398.1, XP_001606010.2
OG0001026	XP_001651472.2	XP_031778012.1
OG0001027	XP_001659550.1	XP_008214395.1, XP_032452523.1, XP_032452522.1, XP_032452521.1, XP_031779616.1
OG0001028	XP_001648922.2	XP_001604584.2, XP_001604446.1
OG0001029	XP_021694498.1	XP_031783984.1
OG0001030	XP_021705111.1	XP_003424575.2
OG0001031	XP_001647991.1	XP_016842453.1
OG0001033	XP_021697350.1, XP_001656170.2	XP_008210877.1, XP_001601768.1, XP_032457048.1, XP_032457046.1
OG0001034	XP_001652910.1	XP_031784406.1, XP_031784407.1
OG0001035	XP_001649392.1	XP_001606861.1, XP_008203558.1
OG0001036	XP_001658441.1	XP_001607856.1, XP_001605019.1
OG0001037	XP_021709959.1, XP_021709949.1, XP_021709968.1, XP_001654907.2	XP_001601129.2
OG0001038	XP_001657802.1	XP_008207533.1, XP_003424853.1, XP_031778777.1
OG0001039	XP_021704117.1, XP_001659756.2	XP_008206089.1, XP_032456318.1
OG0001040	XP_001657084.1	XP_032458030.1, XP_032458031.1, XP_032458027.1, XP_032458029.1, XP_032458032.1, XP_003424668.1, XP_031788693.1, XP_031788694.1, XP_032458028.1, XP_032458033.1
OG0001041	XP_021704065.1, XP_021704062.1, XP_021704064.1, XP_021704063.1, XP_001649235.1	XP_031783039.1, NP_001136323.1
OG0001042	XP_021695487.1, XP_021712349.1	XP_008203825.1
OG0001043	XP_021695359.1, XP_021695362.1	XP_003424009.1, XP_016844819.1
OG0001044	XP_021695598.1	XP_003424621.1, XP_016836857.1
OG0001045	XP_021700792.1	XP_001606266.1
OG0001046	XP_021707939.1	XP_031789307.1, XP_031789309.1, XP_016844569.2
OG0001048	XP_021696480.1	XP_008207429.3
OG0001049	XP_021695688.1, XP_021695674.1, XP_021695699.1	XP_031784881.1, XP_031784883.1
OG0001050	XP_021704146.1	XP_031783816.1, XP_031783810.1
OG0001052	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1	XP_001604954.1
OG0001053	XP_021695848.1	XP_008202956.1
OG0001054	XP_001653734.1	XP_016842506.1
OG0001055	XP_021708066.1	XP_031784964.1, XP_031784963.1
OG0001056	XP_001648788.1	XP_008207347.1
OG0001057	XP_021712770.1, XP_021708993.1	XP_001602018.1
OG0001058	XP_001658030.3	XP_032458090.1, XP_031789093.1
OG0001059	XP_001653804.1	XP_008208155.1
OG0001060	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1	XP_031781772.1
OG0001061	XP_021698780.1	XP_031786543.1
OG0001062	XP_021707750.1, XP_021701069.1	XP_003423884.1, XP_008214759.1
OG0001063	XP_021705756.1	XP_031787733.1, XP_008208616.1
OG0001064	XP_021707107.1, XP_021712915.1, XP_001652913.1	XP_031787506.1
OG0001065	XP_021698754.1, XP_021698753.1	XP_001604056.2, XP_003427340.1
OG0001067	XP_001664063.1, XP_021699345.1, XP_021699344.1	XP_001600313.2
OG0001068	XP_021696931.1, XP_021696940.1	XP_016842107.1, XP_031784716.1
OG0001069	XP_001654715.2	XP_032453326.1, XP_008216452.1, XP_008216451.1, XP_008216448.1, XP_032453327.1, XP_001603550.2
OG0001070	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2	XP_001607507.3
OG0001071	XP_021708458.1	XP_016842081.1
OG0001072	XP_001659014.2	XP_031784957.1
OG0001073	XP_001648274.2	XP_003423859.1, XP_031776847.1
OG0001074	XP_001649270.2	XP_008209334.1, XP_031779121.1
OG0001076	XP_001655001.1	XP_016837510.1, XP_016837509.1, XP_032453442.1
OG0001077	XP_001658071.1	XP_032453049.1
OG0001078	XP_001659802.1, XP_001659805.1	XP_008210269.1, XP_008210270.1, XP_008210271.1, XP_016843990.1, XP_016843989.1
OG0001079	XP_001662144.1	XP_008211650.1, XP_016840479.1, XP_008211646.1, XP_008211647.1, XP_016840480.1
OG0001081	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1	XP_001607983.2, XP_031788174.2
OG0001082	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1	XP_008214725.1
OG0001083	XP_021698377.1	XP_031788178.1, XP_032457083.1, XP_031788180.1, XP_008215778.1, XP_008215779.1, XP_016842828.1, XP_031788177.1, XP_031788179.1
OG0001084	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1	XP_016838352.1, XP_003425934.1
OG0001085	XP_021702814.1	XP_031784469.1, XP_008211614.1, XP_032455784.1, XP_032455786.1, XP_032455785.1, XP_031784470.1, XP_031784471.1, XP_001606977.1
OG0001086	XP_021708980.1	XP_032453207.1, XP_001605628.1, XP_008204328.1, XP_008204329.1
OG0001090	XP_021695122.1, XP_001656254.2	XP_032457605.1, XP_032457606.1, XP_001600472.1, XP_032457607.1
OG0001091	XP_021713022.1, XP_001654186.1, XP_001654185.1	XP_031785408.1, XP_016840416.1
OG0001092	XP_001656078.2	XP_001605819.1
OG0001093	XP_021712436.1, XP_021700841.1	XP_003427218.4, XP_031779285.1
OG0001094	XP_021707147.1, XP_001657391.1	XP_031782503.1, XP_008213609.1
OG0001095	XP_001653701.1, XP_001653700.1	XP_032457727.1, XP_032455535.1, NP_001135430.1
OG0001096	XP_001658255.2	XP_003425115.1, XP_031782797.1
OG0001097	XP_001648346.1	XP_003424766.1
OG0001098	XP_001663379.2	XP_031789531.1, XP_001603423.1, XP_016842518.1, XP_016842523.1
OG0001099	XP_021706284.1, XP_021712729.1	XP_031787397.1
OG0001100	XP_001657489.1	XP_031783420.1
OG0001101	XP_021709309.1, XP_001653266.2, XP_021710599.1	XP_001600262.1
OG0001102	XP_001650617.1, XP_001650616.1	XP_032457645.1, XP_001602465.1
OG0001103	XP_021700253.1, XP_021700254.1, XP_001656670.1	XP_001607402.1
OG0001104	XP_001659382.1	XP_016840630.1
OG0001105	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2	NP_001165930.1
OG0001106	XP_001652532.1	NP_001165789.1
OG0001107	XP_001651390.1	XP_016842156.1
OG0001108	XP_001655181.1	XP_032457359.1, XP_031778262.1
OG0001109	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1	XP_001606469.2
OG0001110	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2	XP_031788465.1
OG0001111	XP_001649510.2	XP_016839633.1
OG0001112	XP_001651512.1	XP_031778614.1
OG0001113	XP_001651817.1	XP_031786692.1
OG0001115	XP_021713246.1	XP_001606127.2
OG0001116	XP_021712421.1, XP_021694799.1	XP_001607643.1
OG0001117	XP_021705905.1	XP_008217800.1, XP_001605901.2
OG0001118	XP_021707148.1	XP_031782585.1, XP_032453978.1, XP_008203783.1
OG0001119	XP_001648381.1	XP_003425014.1, XP_001602619.1, XP_016843971.1
OG0001120	XP_001661053.1	XP_001604234.2
OG0001121	XP_001652212.1, XP_021705915.1	XP_031782800.1, XP_031782801.1, XP_031782799.1
OG0001122	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1	XP_008209601.1
OG0001123	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1	XP_003424977.1
OG0001124	XP_021710981.1	XP_031788510.1
OG0001125	XP_001648386.2	XP_003425026.1
OG0001126	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1	XP_003424309.3
OG0001127	XP_021694779.1, XP_021694780.1, XP_021702833.1	XP_031779496.1, XP_031779495.1
OG0001128	XP_001656417.2	XP_031784571.1, XP_003426947.1, XP_008208751.1
OG0001128	XP_001654307.2	XP_031781216.1
OG0001129	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1	XP_008206205.1, XP_008206206.1
OG0001130	XP_021693810.1	XP_008214357.1
OG0001132	XP_001653441.1	XP_008205312.1, XP_032453720.1
OG0001133	XP_021705031.1	XP_008203489.1
OG0001134	XP_021700926.1, XP_021700923.1	XP_008211472.1
OG0001135	XP_021697315.1, XP_021697331.1, XP_021697325.1	XP_008212599.2
OG0001137	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1	XP_008208627.1, XP_032452285.1, XP_032452284.1, XP_008208620.1
OG0001138	XP_001655529.2	XP_008211425.1, XP_031784853.1
OG0001139	XP_021708606.1	XP_032455231.1, XP_016845441.1, XP_001605918.1
OG0001140	XP_001654986.2	XP_001604284.1
OG0001141	XP_001649333.2	NP_001234899.1, XP_008209307.1
OG0001142	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2	XP_001599805.2, XP_008213880.1, XP_008213879.1, XP_008213881.1
OG0001143	XP_001662313.1	XP_008214909.1
OG0001144	XP_021713323.1	XP_001606352.1, XP_031787271.1
OG0001145	XP_001656860.2, XP_021695639.1	XP_016840554.1
OG0001146	XP_001660509.1	XP_001603986.1, XP_001604010.1
OG0001147	XP_021694950.1	XP_016839832.1
OG0001148	XP_001654006.1, XP_001654007.1, XP_021707285.1	XP_008206679.1
OG0001149	XP_021696025.1	XP_003426568.1
OG0001150	XP_021697593.1	XP_008205817.1, XP_001600445.1
OG0001151	XP_021701521.1	XP_003427238.1, XP_001606424.1
OG0001152	XP_001650532.2	XP_031784874.1
OG0001153	XP_021702556.1	XP_031783844.1, XP_031783841.1
OG0001154	XP_021711748.1	XP_008206054.1, XP_032456325.1
OG0001155	XP_021707527.1	XP_008213582.1, XP_008213583.1, XP_008213584.1, XP_001606200.2
OG0001156	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1	XP_016841496.1
OG0001157	XP_021694571.1, XP_021694572.1, XP_021694573.1	XP_032453390.1, XP_032453389.1, XP_008204796.2, XP_031780242.1, XP_031780240.1
OG0001158	XP_021699270.1	XP_003423881.1
OG0001159	XP_021710638.1	XP_008204614.1, XP_008204613.1, XP_008204612.1, XP_008204616.1, XP_008204615.1
OG0001160	XP_001654460.1	XP_031783145.1
OG0001161	XP_001652572.1	XP_016842404.1
OG0001162	XP_021707175.1	XP_008211291.1, XP_008211292.1
OG0001164	XP_021707691.1, XP_021707690.1, XP_021707689.1	XP_032456105.1, XP_003425414.1, XP_031780035.1, XP_008202354.1
OG0001165	XP_021710995.1	XP_031785004.1, XP_031785017.1, XP_032455050.1
OG0001166	XP_021700484.1	XP_008202132.3, XP_016842558.1
OG0001167	XP_001661518.1	XP_001599700.1, XP_032453011.1
OG0001169	XP_021700392.1, XP_001663720.1	XP_016837166.1
OG0001171	XP_021694953.1	XP_008207798.1, XP_008207791.1
OG0001172	XP_021705744.1, XP_021705736.1	XP_016837981.1, XP_016837977.1
OG0001173	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2	XP_008213758.1, XP_008214128.1, XP_031785628.1, XP_008208564.1, XP_031782630.1, XP_032453793.1, XP_008208561.1, XP_008208563.1, XP_008208562.1
OG0001174	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1	XP_003427068.2
OG0001175	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1	XP_032451865.1
OG0001176	XP_021693845.1	XP_001606359.1, XP_008213597.1, XP_003424237.1, XP_008213598.1, XP_008213599.1, XP_032454441.1
OG0001178	XP_001656777.2	NP_001154998.1, XP_008203713.1
OG0001179	XP_021708724.1	XP_016844755.1
OG0001180	XP_021706223.1, XP_001654740.2	XP_031780373.1, XP_031780359.1, XP_031780372.1
OG0001181	XP_021707798.1	XP_032453080.1, XP_031779166.1, XP_031779162.1, XP_031779165.1
OG0001181	XP_001647577.1	XP_003426398.1
OG0001182	XP_021711115.1, XP_021711128.1	XP_031788317.1, XP_031788315.1
OG0001183	XP_021696657.1	XP_031781172.1, XP_031781176.1
OG0001184	XP_001655214.2	XP_008206018.1, XP_008206017.1
OG0001186	XP_001654432.1	XP_031778274.1
OG0001187	XP_021711494.1	XP_031789618.1, NP_001177861.1, XP_032455508.1
OG0001188	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1	XP_008211659.1, XP_008211660.1
OG0001189	XP_021711031.1	XP_031778557.1
OG0001190	XP_001649672.1, XP_021702492.1	XP_031787754.1
OG0001193	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1	XP_032453254.1, XP_031780138.1
OG0001195	XP_001649330.2, XP_021701388.1	XP_031780477.1
OG0001198	XP_001654561.1	XP_001603648.2
OG0001199	XP_001655189.2	XP_016845582.1, XP_001603603.1, XP_008210843.1, XP_008210844.1, XP_031783743.1
OG0001201	XP_001660149.2	XP_031779859.1, XP_031777353.1
OG0001202	XP_001660281.2	XP_001605991.1
OG0001203	XP_021695231.1, XP_021698954.1, XP_021698952.1	XP_031786379.1, XP_031786388.1, XP_031778235.1
OG0001204	XP_021698471.1	XP_016845347.1
OG0001205	XP_021703744.1	XP_016845249.1, XP_001608005.2
OG0001206	XP_021704907.1	NP_001164440.1, XP_016840293.1, XP_016840141.1, NP_001164439.1, XP_016840415.1, XP_016840420.1, XP_001603374.2, XP_001603488.1
OG0001207	XP_021705398.1, XP_021705681.1	XP_001600298.1, XP_032451746.1, XP_016845612.1
OG0001209	XP_021712755.1	XP_008204166.1, XP_001602028.2, XP_003424051.1
OG0001214	XP_001655451.2	XP_031788610.1, NP_001153354.1
OG0001215	XP_021697293.1, XP_021697294.1, XP_021697295.1	XP_001606085.1
OG0001216	XP_001653393.1	XP_008212669.1, XP_008212668.1, XP_001607154.1, XP_003424094.1
OG0001217	XP_001659205.1	XP_008208960.1, XP_008208961.1, XP_032457629.1, XP_008208957.1
OG0001218	XP_001648941.1, XP_021705472.1	XP_031780901.1, XP_031780894.1
OG0001219	XP_011493503.2	XP_001600086.1, XP_016839466.1
OG0001220	XP_001663266.1	XP_032451978.1
OG0001221	XP_001649949.1	XP_001606905.1, XP_001602519.1
OG0001222	XP_021713412.1, XP_001655604.1, XP_001655603.1	XP_003424722.1
OG0001223	XP_001648095.1	XP_031783617.1
OG0001224	XP_001660440.2, XP_001658084.2	XP_031783437.1, XP_001606683.2
OG0001226	XP_001653501.2	XP_003423948.1
OG0001227	XP_021695961.1, XP_001663677.1, XP_021695960.1, XP_001663676.1	XP_001601650.2
OG0001228	XP_021703910.1, XP_021703909.1	XP_008206068.1, XP_016841318.1, XP_031786999.1
OG0001229	XP_021704947.1	NP_001153391.1, XP_031787432.1
OG0001230	XP_001656889.1	XP_031779835.1
OG0001231	XP_021694672.1	XP_003424718.1
OG0001232	XP_021700838.1	XP_008201738.1
OG0001233	XP_001654247.1, XP_021704697.1, XP_021704696.1	XP_016841983.1
OG0001234	XP_021706307.1	XP_031789576.1, XP_016838011.1, XP_008215436.1, XP_008215437.1, XP_001606923.2
OG0001236	XP_021698646.1, XP_021698645.1	XP_008214895.1, XP_032455166.1, XP_032455167.1, XP_008214894.1
OG0001237	XP_021696524.1	XP_008203577.1
OG0001238	XP_021711392.1, XP_021711407.1	XP_016839677.1, XP_031778698.1
OG0001239	XP_021710256.1	XP_031783524.1
OG0001240	XP_021700543.1	XP_032452317.1
OG0001241	XP_021709960.1	XP_008202652.1
OG0001242	XP_021695985.1	XP_031782443.1
OG0001244	XP_001653051.1	XP_001598989.2
OG0001245	XP_001649754.1, XP_021706031.1	XP_031778442.1, XP_016844253.1, XP_016844252.1
OG0001246	XP_021703701.1	XP_001603526.2
OG0001247	XP_001658992.1	XP_031786079.1
OG0001248	XP_021703673.1	XP_003426352.2
OG0001249	XP_001660617.1	XP_001606387.1
OG0001250	XP_001661045.2	XP_008203591.2
OG0001251	XP_021695142.1, XP_021695149.1	XP_031783143.1, XP_016839272.1
OG0001253	XP_001651542.2, XP_021696789.1, XP_021696788.1, XP_021696787.1	XP_032454163.1, XP_001604499.2
OG0001254	XP_021705862.1	XP_001601661.3, XP_016837527.1
OG0001255	XP_001647960.3	XP_031786642.1, XP_016845322.1, XP_031786647.1, XP_031786649.1, XP_031786645.1, XP_031786646.1, XP_031786644.1, XP_031786643.1
OG0001256	XP_021694943.1, XP_021694941.1	XP_008216603.1, XP_001607669.1
OG0001257	XP_021693634.1, XP_011493676.1, XP_011493675.1	XP_001605171.1
OG0001258	XP_001652339.1, XP_021704024.1, XP_021704027.1	XP_031785068.1
OG0001259	XP_001653425.2	XP_008210873.2
OG0001260	XP_001652317.1	XP_031784155.1
OG0001261	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1	XP_003426500.1
OG0001262	XP_021711449.1	XP_003427006.1
OG0001263	XP_001658296.1	XP_032455387.1, XP_031785199.1, XP_031785198.1, XP_031785197.1, XP_031785196.1
OG0001264	XP_001657447.2	XP_008210590.1, XP_032455062.1, XP_031785022.1, XP_001604690.1, XP_008210588.1, XP_008210589.1
OG0001265	XP_021703729.1, XP_021703731.1, XP_021703732.1, XP_021703727.1, XP_021703728.1, XP_021703725.1, XP_021703726.1, XP_021703723.1, XP_021703724.1, XP_021703721.1, XP_021703722.1, XP_021703720.1	XP_001603835.2
OG0001267	XP_021705969.1, XP_021705968.1	XP_016838148.1
OG0001267	XP_001656717.2	XP_016838147.1
OG0001268	XP_021703813.1	XP_008204079.1
OG0001269	XP_021710035.1	XP_008212176.1, XP_008212177.1
OG0001270	XP_021705766.1, XP_021705767.1	XP_001607738.1, XP_003423835.1
OG0001271	XP_021705424.1, XP_021705422.1, XP_021705423.1	XP_016839228.2, XP_001603100.3, XP_032453914.1
OG0001272	XP_001655854.1	NP_001128394.1
OG0001273	XP_021700130.1	XP_031779768.1
OG0001274	XP_001663402.2	XP_032455581.1, XP_008211194.1
OG0001277	XP_021707020.1, XP_021707021.1	XP_032452715.1, XP_031778793.1, XP_016838376.1
OG0001278	XP_001651785.2	XP_001607447.1
OG0001279	XP_021694589.1	XP_031784720.1
OG0001280	XP_001652945.1	XP_001603582.2, XP_008216915.1
OG0001281	XP_021698661.1	XP_008215096.2
OG0001282	XP_021698670.1	XP_031778437.1
OG0001283	XP_021697649.1	XP_031788385.1, XP_031788374.1
OG0001284	XP_021701396.1, XP_021701391.1	XP_031779643.1
OG0001285	XP_021695377.1	XP_031782353.1
OG0001286	XP_021703120.1	XP_001602489.1
OG0001287	XP_021707370.1, XP_021707349.1, XP_021707348.1	XP_016845176.2
OG0001288	XP_021706525.1, XP_001659242.1	XP_001600075.1
OG0001289	XP_021694157.1	XP_001603940.1, XP_008202665.1, XP_008202664.1
OG0001290	XP_001660794.2, XP_021695080.1	XP_001605003.2
OG0001291	XP_001655206.2, XP_021712045.1	XP_016845465.1
OG0001293	XP_001658202.2	XP_001605773.2
OG0001294	XP_001662562.1, XP_021712306.1	XP_031784398.1, NP_001177860.1
OG0001295	XP_001655925.2, XP_021699425.1	XP_031785480.1
OG0001296	XP_021696682.1, XP_021696702.1	XP_031780598.1
OG0001298	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1	XP_001603521.1
OG0001300	XP_001650130.2	XP_001605636.1, XP_008203410.1, XP_008203409.1, XP_008203412.1, XP_032453849.1, XP_032453850.1, XP_001601102.1
OG0001301	XP_021696109.1	XP_001602613.1
OG0001302	XP_021695397.1, XP_021704073.1	XP_032455800.1, XP_016840440.1
OG0001303	XP_021709459.1, XP_021709460.1	XP_031782037.1, XP_031782039.1
OG0001304	XP_001649076.2	XP_032452034.1, XP_001602365.1
OG0001305	XP_021712565.1, XP_021696722.1, XP_021696724.1	XP_031789469.1
OG0001306	XP_021705682.1	XP_031786527.1, XP_031786524.1
OG0001307	XP_021695213.1	XP_016838472.1, XP_016838468.1
OG0001308	XP_021706251.1	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1
OG0001310	XP_001647946.2	XP_016841187.1
OG0001312	XP_001654151.1	XP_001604271.1
OG0001313	XP_021707935.1, XP_001660159.2	XP_003426393.1
OG0001314	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1	XP_031783093.1, XP_016839081.1
OG0001315	XP_001663877.1, XP_021699529.1	XP_008216865.1, XP_032456015.1
OG0001316	XP_021698705.1	XP_008206800.1
OG0001317	XP_021699168.1	XP_001604048.2
OG0001318	XP_021702414.1	XP_031784182.1
OG0001320	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1	XP_016845887.1, XP_008214189.1, XP_001599838.1
OG0001321	XP_021710244.1	XP_016843637.1
OG0001322	XP_021713221.1, XP_021713222.1, XP_021713223.1	XP_001606712.2, XP_031784354.1
OG0001328	XP_021709467.1	NP_001127781.1, XP_008201861.1
OG0001329	XP_001657589.2	XP_001602942.2
OG0001330	XP_001652750.1	XP_031784594.1, XP_016840913.1
OG0001331	XP_001654299.1	XP_001604681.1, XP_032453951.1
OG0001332	XP_001652269.1	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2
OG0001333	XP_001651256.1	XP_031786693.1
OG0001334	XP_001650222.1, XP_001654443.1	XP_031788371.2
OG0001335	XP_001649624.2, XP_001649625.2	XP_032455686.1
OG0001336	XP_021703688.1, XP_021703684.1	XP_003427227.1, XP_003427226.1, XP_032454792.1
OG0001337	XP_021707110.1	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1
OG0001338	XP_001660476.2	XP_031781497.1
OG0001339	XP_001654036.2	XP_016838241.1
OG0001340	XP_021709482.1, XP_001655390.1, XP_001655391.1	XP_008217856.1, XP_008217855.1
OG0001341	XP_021695378.1	XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1
OG0001342	XP_021707182.1	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1
OG0001343	XP_001662179.2	XP_001601945.2
OG0001344	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1
OG0001345	XP_001661090.1	XP_031779614.1, XP_031779613.1, XP_031779615.1
OG0001346	XP_001648900.1, XP_021707707.1	XP_031784481.1, XP_008210966.1, XP_016845924.1
OG0001347	XP_001659204.1	XP_001604698.1, XP_008216502.1, XP_008216503.1
OG0001348	XP_001661832.1	XP_001606863.2
OG0001349	XP_001654544.1	XP_001602614.1, XP_032455495.1
OG0001350	XP_001655317.2	XP_001605715.1
OG0001352	XP_021705226.1	XP_032451869.1
OG0001353	XP_001656906.2	XP_016844059.1
