Orthogroup	Aedes_aegypti	Megachile_rotundata
OG0001357	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1	XP_003706587.1
OG0001359	XP_001655316.1	XP_003700477.1
OG0001361	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1	XP_012144515.1, XP_012144516.1, XP_012144517.1, XP_003704923.2
OG0001362	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1	XP_003707306.2, XP_012150152.1
OG0001363	XP_001659788.1	XP_012147226.1, XP_003706028.1
OG0001364	XP_021704232.1	XP_003708442.2, XP_012152946.1
OG0001365	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1	XP_003699312.1
OG0001366	XP_001659892.2	XP_012137411.1, XP_012137413.1, XP_012137412.1
OG0001368	XP_001658458.1, XP_021709263.1, XP_021709266.1	XP_003704855.1
OG0001369	XP_001661015.2	XP_003704794.1
OG0001370	XP_021711931.1, XP_001650631.2	XP_003705573.2
OG0001371	XP_001649083.3, XP_021697602.1, XP_021712118.1	XP_003703366.2
OG0001372	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1	XP_012145161.1, XP_012145172.1
OG0001373	XP_021694453.1	XP_003701005.1
OG0001375	XP_021699017.1, XP_021699013.1	XP_012143225.1, XP_012143223.1
OG0001376	XP_021704527.1	XP_012143285.1, XP_003704560.2
OG0001377	XP_001664237.1	XP_003705306.1
OG0001378	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1	XP_012143857.1, XP_012143856.1, XP_012143859.1, XP_012143858.1, XP_003704700.1
OG0001379	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1	XP_012151456.1
OG0001380	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1	XP_003704901.1
OG0001381	XP_001648807.1	XP_003706045.2
OG0001382	XP_021701098.1, XP_001651389.2, XP_001648852.1	XP_003706258.1
OG0001383	XP_001662373.2	XP_003699699.1
OG0001384	XP_001660023.2	XP_003702464.1
OG0001385	XP_021698595.1	XP_003707318.1
OG0001386	XP_021698247.1	XP_003701896.1, XP_012137393.1, XP_012137392.1, XP_012137391.1, XP_012137390.1, XP_012137389.1, XP_012137388.1, XP_012137387.1
OG0001387	XP_001656936.1	XP_003705144.1
OG0001388	XP_021711868.1, XP_021710112.1	XP_012146446.1
OG0001389	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1	XP_012135357.1
OG0001390	XP_021700843.1	XP_003704219.1
OG0001391	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1	XP_003706785.1
OG0001392	XP_021709568.1, XP_021709569.1, XP_021709567.1	XP_012148464.1
OG0001393	XP_021696289.1, XP_021696288.1	XP_003702144.1, XP_012137893.1
OG0001394	XP_001650424.1	XP_012141038.1
OG0001395	XP_021696363.1, XP_021696349.1	XP_012142970.1
OG0001396	XP_001662596.2, XP_021699720.1	XP_012151607.1, XP_003707987.1
OG0001397	XP_021712502.1, XP_021693812.1	XP_012136000.1
OG0001398	XP_001657045.2, XP_021694877.1	XP_012152189.1
OG0001399	XP_001651707.1	XP_003708009.2
OG0001400	XP_021703961.1, XP_021703962.1	XP_012144885.1, XP_012144882.1
OG0001401	XP_001660577.1	XP_003699636.1
OG0001402	XP_001664062.1	XP_003699201.1
OG0001403	XP_021710754.1, XP_001650547.1	XP_012140018.1, XP_012140031.1, XP_012140045.1
OG0001404	XP_001659873.1, XP_021700729.1, XP_021700728.1	XP_003700568.1
OG0001405	XP_001649519.2, XP_001649518.2, XP_001649517.2	XP_003701376.1
OG0001406	XP_021712670.1	XP_012147619.1, XP_012147618.1, XP_003706272.1
OG0001407	XP_021704231.1, XP_021704230.1	XP_003702088.1
OG0001408	XP_021713401.1	XP_003703189.1
OG0001409	XP_021711099.1	XP_012146499.1, XP_012146501.1
OG0001410	XP_021708563.1	XP_003701097.1, XP_012135511.1
OG0001413	XP_021694446.1	XP_012140943.1
OG0001414	XP_021702146.1	XP_003705593.1
OG0001415	XP_021699093.1	XP_012146231.1
OG0001416	XP_021712252.1, XP_021700673.1	XP_012147088.1, XP_012147084.1
OG0001417	XP_021695666.1	XP_012135871.1
OG0001418	XP_021702027.1	XP_012148215.1
OG0001419	XP_021703807.1	XP_012146068.1
OG0001420	XP_001655783.1, XP_001652599.2	XP_003702222.1
OG0001421	XP_001657115.1	XP_012140766.1, XP_012140761.1
OG0001422	XP_001650075.2	XP_003705628.1, XP_012146161.1
OG0001423	XP_001659271.2	XP_012141596.1
OG0001424	XP_001648513.1	XP_003707239.2
OG0001425	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1	XP_012141671.1
OG0001426	XP_021701495.1	XP_003704181.1, XP_012142802.1
OG0001427	XP_001660203.1	XP_003706058.1
OG0001428	XP_001647790.2	XP_012149989.1
OG0001429	XP_001650121.1	XP_012140383.1
OG0001430	XP_001654175.2, XP_021708114.1	XP_003701430.1
OG0001432	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2	XP_012151885.1, XP_012151887.1, XP_012151886.1, XP_012151888.1
OG0001433	XP_001662331.2	XP_012135756.1, XP_012135755.1
OG0001434	XP_001663415.1	XP_003700866.1
OG0001435	XP_021711791.1, XP_021694248.1, XP_021711091.1, XP_021694242.1	XP_012152734.1, XP_012153227.1
OG0001436	XP_021697897.1	XP_012139669.1
OG0001437	XP_021700178.1	XP_012136059.1, XP_012136061.1, XP_012136060.1
OG0001438	XP_021708714.1, XP_021704285.1	XP_003701308.2, XP_012136076.1
OG0001439	XP_021705419.1, XP_021711772.1	XP_003705594.1
OG0001440	XP_021706240.1	XP_012142151.1, XP_012142152.1, XP_003703973.1, XP_012142153.1
OG0001441	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1	XP_012135580.1
OG0001442	XP_021706881.1	XP_003705747.2
OG0001443	XP_021706948.1, XP_021711425.1	XP_003701582.1
OG0001444	XP_021708725.1	XP_003703425.1, XP_003707375.2
OG0001445	XP_021712815.1	XP_003705203.1
OG0001446	XP_021713062.1, XP_021713058.1	XP_012149258.1
OG0001453	XP_001652827.1, XP_001652828.1, XP_001652829.1	XP_003703131.2
OG0001455	XP_001659135.1, XP_001649843.1	XP_003705086.1
OG0001456	XP_021706989.1	XP_012136768.1, XP_012136763.1, XP_012136765.1, XP_012136767.1, XP_012136764.1, XP_012136769.1
OG0001457	XP_001656531.1	XP_003701275.1
OG0001458	XP_021709031.1	XP_012151974.1
OG0001459	XP_001658793.2	XP_012140200.1, XP_012140199.1
OG0001460	XP_001663584.2	XP_003701853.1
OG0001461	XP_001649395.2	XP_003707359.1, XP_012150325.1, XP_012150326.1, XP_012150324.1
OG0001462	XP_021710250.1, XP_021710252.1	XP_003705852.1, XP_012146665.1
OG0001463	XP_021706165.1, XP_021706164.1	XP_003705629.1
OG0001464	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1	XP_012140660.1, XP_003703270.1
OG0001465	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1	XP_012138427.1, XP_003702262.1
OG0001466	XP_001652327.1	XP_003703397.1, XP_003701756.1
OG0001467	XP_001649724.2	XP_003702020.1
OG0001468	XP_001648269.1	XP_003699387.1, XP_003699386.1
OG0001469	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1	XP_012149074.1, XP_012148936.1, XP_012148869.1, XP_012149002.1, XP_003699309.1
OG0001470	XP_001650785.1, XP_001650784.1, XP_001652204.1	XP_012147279.1, XP_012147280.1
OG0001471	XP_001657926.1	XP_003707711.1, XP_003707710.1
OG0001472	XP_001656628.1	XP_012152060.1, XP_012142269.1, XP_003704007.1
OG0001473	XP_021699212.1	XP_003701445.2
OG0001474	XP_001662447.1	XP_003706861.1
OG0001475	XP_001664045.2	XP_003707927.1
OG0001476	XP_021705887.1	XP_012134858.1
OG0001477	XP_001654194.2	XP_003706943.1
OG0001478	XP_021711922.1, XP_021699182.1	XP_003703127.1
OG0001479	XP_001655863.1	XP_003699231.1
OG0001480	XP_021708351.1	XP_012139923.1, XP_003703030.1
OG0001481	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1	XP_012148072.1
OG0001482	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2	XP_012154088.1
OG0001483	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1	XP_012144587.1, XP_012144588.1, XP_012144589.1
OG0001484	XP_021713154.1, XP_021707140.1, XP_021707142.1, XP_021707144.1, XP_021707145.1, XP_021707146.1, XP_021707138.1, XP_021707137.1, XP_021707141.1, XP_021707139.1, XP_021707143.1	XP_012151969.1
OG0001485	XP_001657384.1, XP_021712680.1	XP_003702383.2
OG0001485	XP_021700466.1	XP_003700738.2
OG0001486	XP_001648831.2, XP_021701667.1, XP_001659833.2	XP_012134505.1, XP_012134503.1
OG0001487	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1	XP_003706964.2
OG0001488	XP_021710667.1	XP_012140532.1, XP_012140542.1
OG0001489	XP_021696755.1, XP_021696757.1, XP_021696756.1, XP_021696759.1, XP_021696758.1, XP_021696752.1, XP_021696753.1, XP_021696750.1, XP_021696751.1, XP_021696749.1, XP_021696754.1	XP_012142590.1
OG0001490	XP_021701945.1, XP_021701935.1	XP_012145222.1, XP_012145224.1, XP_012145225.1
OG0001492	XP_001662155.1, XP_001654105.1, XP_021713033.1	XP_012154169.1
OG0001493	XP_021698974.1	XP_012143623.1, XP_012143618.1
OG0001494	XP_021697267.1, XP_021697268.1, XP_021697269.1	XP_012142423.1
OG0001495	XP_021707805.1	XP_003704451.1
OG0001496	XP_021695727.1, XP_011493651.1, XP_001655836.1	XP_012148217.1
OG0001497	XP_021707615.1	XP_012151254.1
OG0001498	XP_021697831.1	XP_012149890.1, XP_012149885.1, XP_012149886.1
OG0001499	XP_001651889.2	XP_003700193.2
OG0001500	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1	XP_012150430.1, XP_012150423.1
OG0001501	XP_021712753.1, XP_021699608.1	XP_003702049.1, XP_012138005.1
OG0001502	XP_021699619.1	XP_003702050.1
OG0001503	XP_021702842.1, XP_021702843.1, XP_021702844.1	XP_012154512.1, XP_012154508.1
OG0001504	XP_001658122.1, XP_021698045.1, XP_021698047.1, XP_021698046.1, XP_021698048.1	XP_003704073.1
OG0001505	XP_001660600.2, XP_021704345.1	XP_003707392.2, XP_012150017.1, XP_012150018.1
OG0001506	XP_021702222.1, XP_021702224.1, XP_021702223.1, XP_001663031.1	XP_003701281.1
OG0001507	XP_021713312.1	XP_003704760.1
OG0001508	XP_001658818.2	XP_012144584.1
OG0001509	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1	XP_012145883.1
OG0001510	XP_021707687.1	XP_012145851.1
OG0001511	XP_001654598.1, XP_021697822.1	XP_003702175.1
OG0001512	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1	XP_012145321.1, XP_012145320.1
OG0001513	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1	XP_012153812.1
OG0001514	XP_001655385.1, XP_021705456.1	XP_003700242.1, XP_012153732.1, XP_012153734.1, XP_012153733.1
OG0001515	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1	XP_012140232.1
OG0001516	XP_001657534.2	XP_012143741.1, XP_012143740.1, XP_012143739.1
OG0001517	XP_021712247.1	XP_003700693.1
OG0001518	XP_021702663.1	XP_012136815.1, XP_003701655.1
OG0001519	XP_021695723.1, XP_021695724.1	XP_003700588.2
OG0001520	XP_001659529.1	XP_012136622.1, XP_012136623.1
OG0001521	XP_001663347.2	XP_003700357.1
OG0001522	XP_021710700.1	XP_003699840.1
OG0001523	XP_021693518.1	XP_012145413.1, XP_012145408.1, XP_012145412.1, XP_012145411.1, XP_012145407.1, XP_012145409.1, XP_003705344.1
OG0001524	XP_021693893.1, XP_021693937.1	XP_003707715.1
OG0001525	XP_021706611.1, XP_021706609.1, XP_021706610.1	XP_003706007.1
OG0001526	XP_021699965.1, XP_021699966.1, XP_021699961.1	XP_012150716.1, XP_012150720.1
OG0001527	XP_021705511.1, XP_001659060.1	XP_012150166.1, XP_003699997.2
OG0001529	XP_001653365.2, XP_001653366.2	XP_012152267.1
OG0001530	XP_001659200.1	XP_012151687.1, XP_012151688.1
OG0001531	XP_001654172.1, XP_021711999.1	XP_003705210.1
OG0001532	XP_021705174.1	XP_012141138.1, XP_012141142.1
OG0001533	XP_021697618.1	XP_012143278.1, XP_003704557.1
OG0001534	XP_021707804.1	XP_012151396.1
OG0001535	XP_001654088.2	XP_003702338.1
OG0001536	XP_021698558.1, XP_021698552.1	XP_012153011.1
OG0001537	XP_021710074.1, XP_001655561.2	XP_012134593.1, XP_003700663.1
OG0001539	XP_001655433.2	XP_003704195.1
OG0001540	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1	XP_012151512.1
OG0001541	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1	XP_003702036.1
OG0001542	XP_021703912.1	XP_003699473.1
OG0001543	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2	XP_012152090.1
OG0001545	XP_021703178.1	XP_012147299.1
OG0001546	XP_021694031.1	XP_003705190.1
OG0001547	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1	XP_012144391.1
OG0001548	XP_021709810.1	XP_012145040.1, XP_012145042.1, XP_012145041.1
OG0001550	XP_021707016.1, XP_021707017.1	XP_012134940.1
OG0001551	XP_001649247.2	XP_003703120.2
OG0001552	XP_021709518.1, XP_021709510.1	XP_012137496.1, XP_012137493.1
OG0001553	XP_001649155.2	XP_003700859.1
OG0001554	XP_021699256.1	XP_012142523.1, XP_012142516.1
OG0001555	XP_021708369.1	XP_003700399.1
OG0001556	XP_021698930.1	XP_012142836.1
OG0001557	XP_021703099.1	XP_012134493.1, XP_012134501.1
OG0001558	XP_001650847.2, XP_021712862.1, XP_021698214.1, XP_021698215.1	XP_003706453.1
OG0001559	XP_021709809.1	XP_003701996.1
OG0001560	XP_021700177.1	XP_012152574.1
OG0001561	XP_001659517.1	XP_012153363.1
OG0001562	XP_021699829.1, XP_021699830.1	XP_012146167.1
OG0001563	XP_021707780.1	XP_012142206.1, XP_012142232.1
OG0001565	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1	XP_012143226.1
OG0001567	XP_021705207.1	XP_003705693.1
OG0001568	XP_021707976.1, XP_001649607.2, XP_021707970.1	XP_012150304.1
OG0001569	XP_001653986.2	XP_012139688.1, XP_003702800.1
OG0001570	XP_021697701.1	XP_003706331.1, XP_012147701.1, XP_012147700.1, XP_012147702.1
OG0001571	XP_021701795.1, XP_021711966.1	XP_003704407.1
OG0001572	XP_001661833.2, XP_001661834.1	XP_003701369.1
OG0001575	XP_001662131.2, XP_001648863.2	XP_012144229.1
OG0001576	XP_021700231.1	XP_012151098.1
OG0001577	XP_021694857.1	XP_003703471.2
OG0001579	XP_021697228.1	XP_012148874.1, XP_012148872.1
OG0001580	XP_021708412.1	XP_012135639.1
OG0001581	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1	XP_003706977.1
OG0001582	XP_021693418.1	XP_012147352.1, XP_012147353.1, XP_012147350.1, XP_012147351.1
OG0001583	XP_001653136.2	XP_012141906.1, XP_012141890.1, XP_012141882.1, XP_012141915.1, XP_012141899.1
OG0001584	XP_021697527.1	XP_012151643.1, XP_003707893.1
OG0001585	XP_021699005.1	XP_012146645.1
OG0001586	XP_021704945.1, XP_001654729.2	XP_012136684.1, XP_012136683.1, XP_003701498.1, XP_012136685.1, XP_012136681.1, XP_012136682.1
OG0001587	XP_001659266.1	XP_012137740.1, XP_003702052.1
OG0001588	XP_021708908.1	XP_012134520.1, XP_012134519.1
OG0001589	XP_021705121.1, XP_001657326.1	XP_012150319.1, XP_003707355.1
OG0001590	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2	XP_012148053.1
OG0001592	XP_001652031.2, XP_001652030.2	XP_012141805.1
OG0001593	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1	XP_012146918.1
OG0001594	XP_001652589.2	XP_003703415.1
OG0001595	XP_001654339.2	XP_012146189.1, XP_003705662.1
OG0001596	XP_001655002.2	XP_003707140.1, XP_012149518.1
OG0001597	XP_001655545.1	XP_003700940.2, XP_012135101.1
OG0001598	XP_001657509.1, XP_001660818.2, XP_001657506.2	XP_012139907.1, XP_012139904.1, XP_012139909.1, XP_012139901.1, XP_012139919.1, XP_012139918.1
OG0001599	XP_001659709.2	XP_003701479.1
OG0001600	XP_001662110.1, XP_021699697.1, XP_021699698.1	XP_012151844.1, XP_012151837.1, XP_003700157.1
OG0001601	XP_021693003.1, XP_021693005.1, XP_021712673.1	XP_012151797.1, XP_012151798.1
OG0001602	XP_021711854.1, XP_021693787.1	XP_012139084.1
OG0001603	XP_021694636.1	XP_003706605.2, XP_003706606.1
OG0001604	XP_021698607.1, XP_021698608.1	XP_012151094.1
OG0001605	XP_021698633.1	XP_012152109.1, XP_012152105.1, XP_012148624.1
OG0001606	XP_021698821.1, XP_021698822.1	XP_012145577.1
OG0001607	XP_021701306.1	XP_003708443.1
OG0001608	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1	XP_003707683.1
OG0001609	XP_021710794.1, XP_021710793.1, XP_021710792.1	XP_012143796.1, XP_003706373.1, XP_012147953.1
OG0001614	XP_001661445.1	XP_012144865.1, XP_012144859.1
OG0001615	XP_001649059.1, XP_001649058.1	XP_003706347.1
OG0001616	XP_021712922.1, XP_001654033.1	XP_012148066.1
OG0001617	XP_021712041.1, XP_001651134.1	XP_003706311.1
OG0001619	XP_001659711.1	XP_003701825.1
OG0001620	XP_001650713.1	XP_012135834.1, XP_003701138.1
OG0001621	XP_001653624.2	XP_003699542.1
OG0001622	XP_001660625.1	XP_003704565.2
OG0001623	XP_001653270.2	XP_012139931.1, XP_012139932.1, XP_012139934.1, XP_012139935.1, XP_003703031.1, XP_012139930.1
OG0001624	XP_001656550.2	XP_003707163.1
OG0001625	XP_001661087.1	XP_003701122.1
OG0001626	XP_001649135.1	XP_003707071.1, XP_012149296.1
OG0001627	XP_021707044.1, XP_011493541.1, XP_001654478.1	XP_012142226.1
OG0001628	XP_021693961.1	XP_003706182.1
OG0001629	XP_001660169.1	XP_012134914.1
OG0001630	XP_021699215.1, XP_021699214.1	XP_012149399.1
OG0001631	XP_021704306.1	XP_003699352.1
OG0001633	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1	XP_003704191.2
OG0001634	XP_021707434.1, XP_021707433.1, XP_001649577.2	XP_012154281.1, XP_012154282.1, XP_003700508.1
OG0001635	XP_001660621.2	XP_003700442.1
OG0001636	XP_001661101.1	XP_012135111.1
OG0001637	XP_001658256.1	XP_012137021.1, XP_012137022.1, XP_003701735.1
OG0001638	XP_001662068.2	XP_012153931.1, XP_003700331.2, XP_003707829.1
OG0001639	XP_021706741.1	XP_012139503.1, XP_012139505.1, XP_012139506.1, XP_012139500.1, XP_012139499.1, XP_012139501.1, XP_012139502.1
OG0001640	XP_021711928.1, XP_001660977.2	XP_003702429.1
OG0001641	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1	XP_012150147.1
OG0001642	XP_021704630.1, XP_021704631.1, XP_001648127.2	XP_003700849.1
OG0001644	XP_021706333.1, XP_001654366.1	XP_003702550.2
OG0001645	XP_021713239.1	XP_003707512.1
OG0001646	XP_001651173.2	XP_012137346.1
OG0001647	XP_021710653.1, XP_021710277.1	XP_012139375.1
OG0001648	XP_001651963.2	XP_003703869.1
OG0001649	XP_021699402.1	XP_012150556.1
OG0001650	XP_001660443.2	XP_003704519.2
OG0001651	XP_021712338.1	XP_012148202.1, XP_012148180.1, XP_012148196.1
OG0001652	XP_021709162.1	XP_012141240.1
OG0001653	XP_021704764.1, XP_021704765.1	XP_012147584.1
OG0001655	XP_021712934.1, XP_021695115.1	XP_003703150.1
OG0001656	XP_001660613.1	XP_003699406.1
OG0001657	XP_001650988.2	XP_003706618.1
OG0001658	XP_021701909.1	XP_012137784.1
OG0001659	XP_001649004.2, XP_021712038.1	XP_012146888.1, XP_012146887.1
OG0001660	XP_021710671.1	XP_012140533.1
OG0001662	XP_001661416.2, XP_021712562.1	XP_012153291.1, XP_012153289.1
OG0001663	XP_021708803.1	XP_003699500.1
OG0001664	XP_021712961.1	XP_012149935.1, XP_012149923.1
OG0001665	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1	XP_012148252.1
OG0001666	XP_021695946.1	XP_012147919.1, XP_003706369.1
OG0001667	XP_021699681.1	XP_003702647.1
OG0001668	XP_021705214.1	XP_012146313.1, XP_003705703.1, XP_012146311.1
OG0001669	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1	XP_012143194.1
OG0001670	XP_001663817.1	XP_012148029.1, XP_012148028.1, XP_012148027.1, XP_003706491.1
OG0001671	XP_021708990.1	XP_012148803.1
OG0001672	XP_021709521.1, XP_021709522.1, XP_021709520.1	XP_012134919.1
OG0001673	XP_001660487.1	XP_003707973.1
OG0001674	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1	XP_012151708.1
OG0001675	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1	XP_003708343.2
OG0001676	XP_001652395.2	XP_012140189.1, XP_012140188.1, XP_012140190.1
OG0001677	XP_001652096.1	XP_012140510.1, XP_003703246.1, XP_012140509.1
OG0001678	XP_001652786.2	XP_003708069.1
OG0001679	XP_021712412.1, XP_001660326.1	XP_003700555.1
OG0001680	XP_021700806.1, XP_021712519.1	XP_012144403.1
OG0001681	XP_001658183.2	XP_003704239.1
OG0001682	XP_021710725.1, XP_021710723.1, XP_021710727.1	XP_012152352.1
OG0001683	XP_001657224.1	XP_003703522.1
OG0001684	XP_021694318.1	XP_012145799.1, XP_003705494.1
OG0001685	XP_021696569.1	XP_003703991.1
OG0001686	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1	XP_012135513.1
OG0001687	XP_001648656.2	XP_012142809.1, XP_012142813.1
OG0001689	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1	XP_003704259.1
OG0001690	XP_001652822.2	XP_012152504.1
OG0001691	XP_021697807.1, XP_021711737.1	XP_003706344.1
OG0001692	XP_021706079.1, XP_021706080.1	XP_012154182.1, XP_012154183.1, XP_012154184.1, XP_012154187.1, XP_012154185.1
OG0001693	XP_021699846.1, XP_021699847.1, XP_021699845.1	XP_003703517.1, XP_012141375.1, XP_012141374.1
OG0001694	XP_001657811.1	XP_003699911.1, XP_012145892.1
OG0001695	XP_021695027.1	XP_003705899.1
OG0001696	XP_021707171.1	XP_012147905.1, XP_012147901.1
OG0001697	XP_001655183.2	XP_003706011.1
OG0001699	XP_021706338.1, XP_001652000.1	XP_003703501.1
OG0001700	XP_021709327.1, XP_021709333.1, XP_021709340.1	XP_012152399.1
OG0001701	XP_021709749.1	XP_012143744.1
OG0001702	XP_001657404.2	XP_003702570.1
OG0001703	XP_021694077.1, XP_021694076.1	XP_003705789.1, XP_012146509.1, XP_003705790.1
OG0001704	XP_021695754.1, XP_021695753.1	XP_003700189.1, XP_012152954.1
OG0001706	XP_021703194.1	XP_003702391.1
OG0001707	XP_021710585.1, XP_021710586.1	XP_012147062.1, XP_003706041.1
OG0001708	XP_021705236.1	XP_003703506.1
OG0001709	XP_021692980.1	XP_012152385.1
OG0001710	XP_021694338.1, XP_021712737.1	XP_012138235.1, XP_012138236.1, XP_012139142.1, XP_012138234.1, XP_003702278.1, XP_003702340.1, XP_003702277.1
OG0001711	XP_001650198.2	XP_003708383.1, XP_012152751.1, XP_012152752.1
OG0001712	XP_021711134.1	XP_012140448.1, XP_012140449.1
OG0001713	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1	XP_012140723.1, XP_012140724.1
OG0001714	XP_001661880.1	XP_012139220.1, XP_012139225.1
OG0001715	XP_001660978.1	XP_012136821.1
OG0001716	XP_021708325.1	XP_012148366.1
OG0001717	XP_001648674.1	XP_012137287.1
OG0001718	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1	XP_003705642.1
OG0001719	XP_001653610.1	XP_003706430.1, XP_012147835.1
OG0001720	XP_021707046.1	XP_003707485.1
OG0001721	XP_001659894.2	XP_012148358.1, XP_012148359.1
OG0001722	XP_021700019.1	XP_012150036.1
OG0001724	XP_001658110.2	XP_012150271.1
OG0001725	XP_021709391.1	XP_012154309.1, XP_012154308.1
OG0001726	XP_021706047.1	XP_012134728.1
OG0001727	XP_021701407.1, XP_021701408.1, XP_021701410.1, XP_021701411.1, XP_021701412.1, XP_021701413.1, XP_021701406.1	XP_003699745.1
OG0001728	XP_021700273.1	XP_012134675.1
OG0001729	XP_021696384.1, XP_021696372.1, XP_021696389.1	XP_012149413.1
OG0001730	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1	XP_012139893.1
OG0001731	XP_021708554.1, XP_021708557.1	XP_012146689.1, XP_003705854.1
OG0001732	XP_021694992.1	XP_003705430.1, XP_012145657.1
OG0001733	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1	XP_012136994.1
OG0001734	XP_021703177.1, XP_001658259.2	XP_012147074.1, XP_003706046.1
OG0001735	XP_021703341.1, XP_021706414.1	XP_003701533.1
OG0001736	XP_001657611.1	XP_012152038.1
OG0001737	XP_001659930.2	XP_003706607.1
OG0001738	XP_001660400.1, XP_021697734.1	XP_003701699.1
OG0001739	XP_021695605.1, XP_021695606.1	XP_012143056.1
OG0001740	XP_021704328.1	XP_012148970.1, XP_003706817.1
OG0001741	XP_001649571.2, XP_021710883.1, XP_021710884.1	XP_012136835.1
