Orthogroup	Aedes_aegypti	Bombyx_mori
OG0001711	XP_001650198.2	XP_004929510.2, XP_037870316.1
OG0001712	XP_021711134.1	XP_037868206.1, XP_037868211.1
OG0001713	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1	XP_021204783.2
OG0001714	XP_001661880.1	XP_004925113.1
OG0001715	XP_001660978.1	XP_004925167.2
OG0001716	XP_021708325.1	NP_001119720.1, XP_021208178.2
OG0001717	XP_001648674.1	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2
OG0001718	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1	XP_021202370.2
OG0001719	XP_001653610.1	XP_004930706.1
OG0001720	XP_021707046.1	XP_037874122.1
OG0001721	XP_001659894.2	XP_037876359.1, XP_037876352.1, XP_004923372.1, XP_004923368.3
OG0001722	XP_021700019.1	NP_001124379.1
OG0001724	XP_001658110.2	XP_004930392.1
OG0001725	XP_021709391.1	XP_037874888.1
OG0001726	XP_021706047.1	XP_037868722.1
OG0001727	XP_021701407.1, XP_021701408.1, XP_021701410.1, XP_021701411.1, XP_021701412.1, XP_021701413.1, XP_021701406.1	XP_004931661.1, XP_037869753.1
OG0001727	XP_001653400.2	XP_021207188.1
OG0001728	XP_021700273.1	XP_037877837.1
OG0001729	XP_021696384.1, XP_021696372.1, XP_021696389.1	XP_021207174.2, XP_021207178.2
OG0001730	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1	NP_001037025.1
OG0001731	XP_021708554.1, XP_021708557.1	NP_001165929.1
OG0001732	XP_021694992.1	NP_001171333.1
OG0001733	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1	XP_004927018.1
OG0001734	XP_021703177.1, XP_001658259.2	XP_037866680.1
OG0001735	XP_021703341.1, XP_021706414.1	XP_012546484.1, NP_001091806.1
OG0001736	XP_001652118.2	XP_012550884.1
OG0001736	XP_001657611.1	XP_021201870.2
OG0001737	XP_001659930.2	XP_037869249.1, XP_037870331.1
OG0001738	XP_001660400.1, XP_021697734.1	XP_012549316.1, XP_021206205.1
OG0001739	XP_021695605.1, XP_021695606.1	XP_037869643.1, XP_004931603.3, XP_037869644.1
OG0001740	XP_021704328.1	NP_001243985.1, XP_012549111.2
OG0001741	XP_001649571.2, XP_021710883.1, XP_021710884.1	XP_037867100.1, XP_004930147.2, XP_012549296.2
OG0001742	XP_021708254.1	NP_001155190.1, XP_037867298.1
OG0001743	XP_001660114.1	XP_012544721.1
OG0001744	XP_021704069.1, XP_021704068.1	XP_037876498.1
OG0001745	XP_021713007.1	XP_037867651.1, XP_037867652.1
OG0001746	XP_001649222.1, XP_021710593.1, XP_021710589.1, XP_021710590.1, XP_021710587.1, XP_021710592.1, XP_021710591.1	XP_004928647.1
OG0001748	XP_021708833.1, XP_021708840.1	XP_037872366.1, XP_021205486.1
OG0001749	XP_021706440.1	XP_037868039.1
OG0001750	XP_001647895.2	XP_004923007.1
OG0001751	XP_001648099.1	XP_004924269.1
OG0001752	XP_001659769.2, XP_001651958.2, XP_001655198.2	XP_004925235.2
OG0001753	XP_001652244.1	XP_037875699.1
OG0001754	XP_001652911.1	NP_001296479.1
OG0001755	XP_001653062.1	XP_012547839.1
OG0001756	XP_001655179.1	XP_012552706.1, XP_004922860.1
OG0001758	XP_001656095.2	XP_004923350.1
OG0001759	XP_001657407.2	XP_004922730.1
OG0001760	XP_001657581.2	XP_021203209.1, XP_037875161.1
OG0001762	XP_001661603.1	XP_004931903.1
OG0001763	XP_021707256.1, XP_001662871.1	XP_037870842.1, XP_004926374.1
OG0001764	XP_001663376.2	XP_004924410.1, XP_004924409.1
OG0001765	XP_001663710.1	XP_004931914.1, XP_012550765.1
OG0001766	XP_021699736.1	XP_021203029.1, XP_021203032.1, XP_004925229.1
OG0001767	XP_021702187.1, XP_021702186.1	XP_004929359.3
OG0001767	XP_021703057.1, XP_021703058.1	XP_037877677.1
OG0001768	XP_021707862.1, XP_021707851.1, XP_021707864.1, XP_021707860.1, XP_021707856.1, XP_021707857.1, XP_021707858.1, XP_021707859.1, XP_021707852.1, XP_021707853.1, XP_021707854.1, XP_021707855.1, XP_021707863.1	XP_012545642.3
OG0001769	XP_021711093.1, XP_021711094.1	XP_004927805.1
OG0001774	XP_021700405.1, XP_001663729.1, XP_021700404.1	NP_001091826.1
OG0001775	XP_001655999.2	NP_001037464.2, XP_012549720.1
OG0001776	XP_021710782.1	XP_021203566.1
OG0001777	XP_001654587.1	NP_001037524.1, XP_021204674.1
OG0001778	XP_001655466.1, XP_021701850.1	NP_001037048.1
OG0001779	XP_001654343.1	NP_001040379.1
OG0001780	XP_021712259.1, XP_021707611.1, XP_021712258.1, XP_021707612.1, XP_021707614.1, XP_021707613.1, XP_021712257.1	XP_004924435.2
OG0001781	XP_001658016.1, XP_001654360.1	NP_001166823.1
OG0001782	XP_001663680.2	XP_004927858.1
OG0001783	XP_001662178.1	XP_004931936.2
OG0001784	XP_021693607.1	XP_004922147.1, XP_012548350.1, XP_021204677.1
OG0001785	XP_001647846.1, XP_021693061.1	XP_004925259.1
OG0001786	XP_001652846.1, XP_001652845.1	NP_001037223.1, XP_037870668.1
OG0001787	XP_001661418.1	XP_004932937.1
OG0001788	XP_001651213.1	NP_001040177.1
OG0001789	XP_001650308.2	XP_004924543.1
OG0001790	XP_021713380.1	XP_004927254.1
OG0001791	XP_001660244.1	NP_001040447.1
OG0001792	XP_001653344.1	XP_037867676.1
OG0001793	XP_001657814.1	NP_001040374.1
OG0001794	XP_021699339.1	XP_004927813.2
OG0001795	XP_001661463.1, XP_021712775.1, XP_021694154.1	XP_012544831.3
OG0001796	XP_001650832.1	XP_004931911.2
OG0001797	XP_001655340.1, XP_001655343.1, XP_001655339.1	NP_001093087.1
OG0001799	XP_001650267.3	NP_001166191.1
OG0001800	XP_001661937.2	XP_037867731.1
OG0001801	XP_001656302.2	XP_004927251.1
OG0001802	XP_001648600.1	XP_037870920.1, XP_012547121.1, NP_001040267.1
OG0001803	XP_001654138.1	XP_004925344.1
OG0001804	XP_001651535.2	XP_012551475.1
OG0001805	XP_001658946.1	XP_021206263.1, XP_037866965.1
OG0001806	XP_021703614.1, XP_021703613.1, XP_021703612.1, XP_001650209.1	XP_004930470.2
OG0001807	XP_021697949.1, XP_021697948.1, XP_021697946.1	XP_037873557.1
OG0001808	XP_001651395.1	XP_004932582.1
OG0001809	XP_021704020.1	XP_004929394.2
OG0001810	XP_021710388.1, XP_001648205.1	XP_012550807.1
OG0001811	XP_021706968.1	XP_037871981.1
OG0001812	XP_021703749.1, XP_001649272.1, XP_001647949.1, XP_021704430.1	NP_001037207.1
OG0001813	XP_021706119.1, XP_001660430.2	XP_004929628.1
OG0001814	XP_021699004.1	NP_001040328.1
OG0001815	XP_021706600.1, XP_001654420.1	NP_001091823.1, XP_037876930.1
OG0001816	XP_021711934.1, XP_021705859.1	XP_012545172.2
OG0001818	XP_001648308.1	XP_004928925.2
OG0001820	XP_001656491.2	XP_004921850.1
OG0001821	XP_021705923.1	XP_037867951.1, XP_037877404.1
OG0001823	XP_001657128.2	XP_037875756.1
OG0001824	XP_021706910.1	XP_037868084.1, XP_037868075.1
OG0001825	XP_001658727.1	XP_037873173.1
OG0001826	XP_021697012.1	XP_012549145.2, NP_001243729.1
OG0001827	XP_021712977.1, XP_021712976.1, XP_021712975.1, XP_021712974.1, XP_021712973.1, XP_021712972.1	XP_037876392.1, XP_037876387.1
OG0001828	XP_021712291.1, XP_001658462.1	XP_012547992.1
OG0001829	XP_001654783.1	NP_001040363.1
OG0001830	XP_021710578.1, XP_021710575.1, XP_021710579.1, XP_021710577.1, XP_021710576.1	XP_012544507.1
OG0001831	XP_001657882.2	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1
OG0001832	XP_021707800.1, XP_021707803.1, XP_021707802.1, XP_021707801.1	XP_012550340.1
OG0001833	XP_001660568.1, XP_021697617.1	XP_021202831.1
OG0001834	XP_001658587.2	XP_021205575.2
OG0001835	XP_021699456.1	XP_004933227.2
OG0001836	XP_021696438.1, XP_021696292.1	XP_037869491.1, XP_037869486.1
OG0001838	XP_001662943.2	NP_001040461.1
OG0001839	XP_001656241.1, XP_001656242.2	XP_037867245.1, XP_004930061.1
OG0001840	XP_021693014.1	XP_004924490.1
OG0001841	XP_001662612.2, XP_021706346.1	XP_037875131.1
OG0001842	XP_021708481.1, XP_021708478.1, XP_021708479.1, XP_021708480.1, XP_021708483.1	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1
OG0001843	XP_001647861.1	XP_004923065.1
OG0001844	XP_001648000.2, XP_021693221.1, XP_001647999.2, XP_021693222.1	XP_037868430.1
OG0001845	XP_001654410.1	NP_001165388.1, XP_037869302.1, XP_004929656.1
OG0001846	XP_021693741.1, XP_021693743.1, XP_021693742.1	NP_001296512.1
OG0001847	XP_021696658.1, XP_001653615.1, XP_021712569.1, XP_021712570.1	XP_004924718.1
OG0001848	XP_001660510.1	XP_037868356.1, XP_037868357.1
OG0001850	XP_001657137.1	XP_012546560.2, XP_004927043.1
OG0001851	XP_001658707.2	XP_021204066.2
OG0001852	XP_021707599.1	XP_004925133.2
OG0001853	XP_021700185.1, XP_021700184.1, XP_021700182.1, XP_021700183.1	XP_037877103.1
OG0001854	XP_001659748.2	XP_037876316.1, XP_037876317.1, XP_004921880.1
OG0001855	XP_001655018.1	NP_001165386.1
OG0001856	XP_021706007.1, XP_021706008.1	XP_037875737.1, XP_021202011.1
OG0001858	XP_001655314.1, XP_021694464.1	XP_004928683.1
OG0001859	XP_021706404.1, XP_021694347.1, XP_001657815.1	XP_012552420.3
OG0001861	XP_001662954.2	NP_001036938.1
OG0001862	XP_021698825.1, XP_001656028.1	XP_012546765.1
OG0001863	XP_001650313.2	XP_004931917.1
OG0001864	XP_021703166.1, XP_021703165.1, XP_001658160.2	XP_037876894.1
OG0001865	XP_001650915.1	XP_012545585.1, NP_001037554.1
OG0001866	XP_021697144.1, XP_001659957.1	XP_004923469.1
OG0001867	XP_021712246.1	XP_037876257.1
OG0001868	XP_021707165.1, XP_021707164.1, XP_001659505.1	XP_037873044.1
OG0001869	XP_021707427.1, XP_021707425.1, XP_021707423.1, XP_021707426.1	NP_001040327.1
OG0001870	XP_001652587.1	XP_004929677.1
OG0001871	XP_001657691.1	XP_012547234.2, XP_037871093.1
OG0001872	XP_021706756.1, XP_021706757.1	XP_004922404.2
OG0001873	XP_001654074.2	XP_004931774.2
OG0001874	XP_001649673.2	XP_037871173.1
OG0001875	XP_021697559.1	XP_012553311.1
OG0001876	XP_021692922.1, XP_021692917.1	XP_012549181.1
OG0001878	XP_021710678.1, XP_001655100.1, XP_001650845.1, XP_001659599.2	XP_004922231.2
OG0001879	XP_021703643.1	XP_004929391.1
OG0001880	XP_021700033.1, XP_021700038.1, XP_021700039.1	XP_012551963.1
OG0001881	XP_011493034.2	XP_037870422.1
OG0001882	XP_021694906.1, XP_021694907.1, XP_021694904.1, XP_021694905.1, XP_021694908.1, XP_021694909.1, XP_011493407.2	XP_037871054.1, XP_037871051.1
OG0001883	XP_021713193.1	XP_004931525.1
OG0001884	XP_021700781.1, XP_021700786.1, XP_021700788.1	XP_037877616.1, XP_037877615.1, XP_037877613.1, XP_037877625.1
OG0001885	XP_021693388.1, XP_001660962.2, XP_021693389.1	XP_037876616.1, XP_037876617.1
OG0001886	XP_021710919.1	XP_012545706.2
OG0001887	XP_001650218.2, XP_021703628.1, XP_021703626.1, XP_021706599.1, XP_021700995.1	XP_037870239.1
OG0001888	XP_001656705.2, XP_021702813.1	XP_021202882.2, XP_012544871.2
OG0001889	XP_001661881.1	XP_037869833.1
OG0001890	XP_021708813.1	XP_004932898.1, XP_004928637.1
OG0001891	XP_021707500.1	XP_004923196.2
OG0001892	XP_021707664.1	XP_004932246.1
OG0001893	XP_021699346.1	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1
OG0001894	XP_021697761.1	XP_037867673.1, XP_004926898.1
OG0001895	XP_021695274.1	XP_037873123.1
OG0001896	XP_021700472.1	XP_021203417.2
OG0001897	XP_001652661.1, XP_021706950.1	XP_004930778.1, XP_004930779.1
OG0001898	XP_001663962.2	XP_004933569.2, XP_012553329.2
OG0001899	XP_001654630.1	NP_001243914.1
OG0001900	XP_021703372.1	XP_004922569.1
OG0001901	XP_001662611.1	XP_037876242.1
OG0001902	XP_021708938.1, XP_021712229.1	XP_012544997.2
OG0001903	XP_021703750.1, XP_001649274.2	XP_004928575.2
OG0001904	XP_021713378.1	XP_037866802.1
OG0001905	XP_001650299.2, XP_021693922.1	XP_012544944.2
OG0001906	XP_021704732.1	XP_037873835.1
OG0001907	XP_001650086.2	XP_037871977.1
OG0001908	XP_001656234.1	NP_001166831.1
OG0001909	XP_021702262.1, XP_021702271.1	XP_021209035.1
OG0001911	XP_021693707.1, XP_001656694.1, XP_021702836.1	XP_021208640.1, XP_037869388.1, XP_037870573.1, XP_037874533.1
OG0001912	XP_021700547.1	XP_037871747.1
OG0001913	XP_021704809.1	XP_037871630.1
OG0001914	XP_021702586.1	XP_004933679.2
OG0001914	XP_021696818.1	XP_004933676.1
OG0001915	XP_021706539.1, XP_021706508.1	XP_004925729.1
OG0001916	XP_001660605.1	NP_001036911.1, XP_012550247.3
OG0001917	XP_001654386.1	XP_004923160.1
OG0001919	XP_021700283.1	XP_037873437.1, XP_037873436.1
OG0001921	XP_021706711.1, XP_021706708.1, XP_021706709.1, XP_021706710.1, XP_021706712.1, XP_021706713.1, XP_021706714.1, XP_021712678.1	XP_037868287.1
OG0001922	XP_011493578.1	XP_012550597.1
OG0001923	XP_001652085.2	NP_001157948.1, XP_037869037.1
OG0001924	XP_021700902.1	XP_004930019.1
OG0001925	XP_021708383.1, XP_021708387.1, XP_021708382.1, XP_021708385.1, XP_021708386.1, XP_021708388.1, XP_021708384.1	NP_001243987.1, XP_004928073.3
OG0001926	XP_001659471.1	XP_004929255.1, XP_004929254.1
OG0001927	XP_021702614.1, XP_001655971.2	XP_037873449.1, XP_037873450.1
OG0001928	XP_021698851.1	XP_021207183.2, XP_037869913.1
OG0001929	XP_021702281.1	XP_004932386.2
OG0001930	XP_001651141.1	XP_012546096.2
OG0001931	XP_021706792.1, XP_001663406.1	XP_004923112.1
OG0001932	XP_021704816.1	XP_037867866.1, XP_037867763.1, XP_037875420.1, XP_037868034.1
OG0001933	XP_001651463.2, XP_021712848.1	NP_001138793.1, XP_037876452.1
OG0001934	XP_021704757.1, XP_021704756.1	XP_012548268.1
OG0001935	XP_021694991.1	XP_012551363.1, XP_004932653.1
OG0001936	XP_021708552.1	XP_021207986.1, NP_001124345.1, NP_001091791.1
OG0001937	XP_021708032.1, XP_021712188.1	NP_001136084.1, XP_037874195.1
OG0001938	XP_021707924.1, XP_021707925.1, XP_021707926.1, XP_021707927.1, XP_021707923.1	XP_004921707.1
OG0001939	XP_001657962.2	XP_012546950.1, NP_001093283.1
OG0001940	XP_001658640.1	XP_021203465.1, XP_004925890.1, XP_004925891.1
OG0001941	XP_021702015.1	XP_012549425.2, XP_012549428.2
OG0001942	XP_001662960.1	XP_004926240.1
OG0001943	XP_001654025.2, XP_021713121.1	XP_004923590.1
OG0001944	XP_001652255.3	NP_001037504.1
OG0001945	XP_021706254.1, XP_021706252.1	XP_021205029.2, XP_021205030.2, XP_012547652.2
OG0001946	XP_021700836.1, XP_021700832.1	XP_037869327.1
OG0001947	XP_021695537.1	XP_037867944.1, XP_004924339.1
OG0001949	XP_021712604.1, XP_021703926.1, XP_021703927.1, XP_021703928.1	XP_037870326.1, XP_004926920.1
OG0001951	XP_021704100.1	XP_021203848.2, XP_021203849.1, XP_037874958.1
OG0001952	XP_021699848.1	XP_037866697.1, XP_037866709.1
OG0001953	XP_021698730.1	XP_021207789.1, XP_004932490.1
OG0001955	XP_001647950.1	XP_012550006.2
OG0001956	XP_001648128.2, XP_021704528.1	XP_012547428.2, XP_037870740.1, XP_004927982.1, XP_004927809.1
OG0001958	XP_001649390.2	NP_001138796.1, XP_021208298.1, NP_001119733.1, NP_001119734.1, NP_001121634.1, NP_001121635.1, NP_001119736.1, NP_001119735.1, NP_001121789.1, NP_001121792.2, NP_001121795.1, NP_001121791.1, NP_001121793.1, XP_037869980.1, NP_001121606.1, NP_001166891.1, NP_001121794.2, XP_037869981.1, NP_001121790.1, NP_001121788.1, NP_001121629.2, NP_001121607.2, NP_001103771.1, NP_001121630.1, XP_037869979.1, NP_001121608.2, NP_001121787.1, NP_001166890.1, XP_037869978.1, XP_004934106.1
OG0001959	XP_001662716.2, XP_001649986.2	XP_004921844.1
OG0001960	XP_001651285.1	XP_037871193.1
OG0001961	XP_021706242.1, XP_021706241.1, XP_021706243.1, XP_001651602.1	XP_004930929.1
OG0001962	XP_001655155.1, XP_001660370.1	XP_004933390.1, XP_004928253.1, XP_004928254.1, XP_004933387.1
OG0001963	XP_001656343.1, XP_021710770.1, XP_021710771.1, XP_021710772.1	XP_037871090.1, XP_037871089.1
OG0001964	XP_001657975.2	XP_004921804.1
OG0001965	XP_021709748.1, XP_001658722.1	XP_004926552.1
OG0001966	XP_021699453.1, XP_011493090.2, XP_021699454.1	XP_012551994.1
OG0001967	XP_021692958.1	XP_012544203.1
OG0001968	XP_021693933.1, XP_021693935.1, XP_021693934.1, XP_021693936.1	XP_021203345.1, XP_021203346.1, XP_037867333.1
OG0001969	XP_021694469.1, XP_021694470.1	NP_001243937.1, XP_021204322.1
OG0001970	XP_021700163.1	XP_037872569.1, XP_037872567.1, XP_037872568.1, XP_037872564.1, XP_037872573.1
OG0001973	XP_021706103.1, XP_021706102.1, XP_021706099.1, XP_021706100.1	XP_021207551.2, XP_021207548.2
OG0001974	XP_021706347.1, XP_021706349.1, XP_021706348.1, XP_021706351.1, XP_021706352.1, XP_021706350.1	XP_004928351.1
OG0001975	XP_021710764.1, XP_021710765.1	XP_021202025.1
OG0001987	XP_001654823.1	XP_012552962.1, NP_001040339.1
OG0001988	XP_001652419.1	XP_021204462.1
OG0001989	XP_001664307.1, XP_001662342.1	XP_037869257.1
OG0001990	XP_001649527.2	XP_004932474.1
OG0001991	XP_021693622.1	NP_001040421.1
OG0001992	XP_001663456.1	NP_001040467.1, XP_037876129.1, XP_037871536.1, NP_001040182.1
OG0001993	XP_001657186.1	XP_012544193.2, XP_037873417.1
OG0001994	XP_001655824.1	XP_004925779.1
OG0001995	XP_001661817.1	NP_001243936.1
OG0001995	XP_021694932.1, XP_021694930.1, XP_021694931.1, XP_021694929.1	XP_004927930.1
OG0001996	XP_001658284.1	XP_004922475.1, XP_004922474.1
OG0001997	XP_021694034.1, XP_021694036.1	NP_001170881.1
OG0001998	XP_001657081.2, XP_021711121.1	NP_001274329.1
OG0001999	XP_001654110.2	NP_001040206.1, XP_037873068.1
OG0002000	XP_021701636.1	XP_037873570.1
OG0002001	XP_001654798.1, XP_021696930.1	XP_004924194.1
OG0002002	XP_021700879.1, XP_001650127.1	NP_001037347.1
OG0002003	XP_001648535.1	XP_004926303.1
OG0002004	XP_021709372.1, XP_001653273.1, XP_021712517.1, XP_021711747.1	XP_012549677.1
OG0002005	XP_001648971.2	NP_001040410.1
OG0002006	XP_001648436.1	XP_004926826.1, NP_001037199.1
OG0002007	XP_001663658.2	XP_004931316.2, XP_004931314.2, XP_004931315.2, XP_004931313.2, XP_004931312.2
OG0002009	XP_001649565.2, XP_001649576.2	XP_004924671.1
OG0002010	XP_021696649.1, XP_001652049.1	XP_004922081.1
OG0002011	XP_021699544.1	XP_004930524.2
OG0002012	XP_021707317.1, XP_021707316.1	XP_021204828.2, XP_037870936.1
OG0002013	XP_021707456.1	XP_037872480.1
OG0002014	XP_021703286.1, XP_021703301.1	XP_012545551.1
OG0002015	XP_001651326.2	XP_012548426.3
OG0002016	XP_021712620.1, XP_001655398.1	XP_037875068.1
OG0002017	XP_021699724.1	XP_004932704.2
OG0002018	XP_001656424.1	XP_004922629.1
OG0002019	XP_001650675.1	NP_001040134.1
OG0002019	XP_021712006.1, XP_021705775.1	NP_001093090.1
OG0002020	XP_021693297.1	XP_021201873.2
OG0002022	XP_001659928.1, XP_021712759.1	XP_004926993.1
OG0002023	XP_021698976.1	XP_012544680.3
OG0002024	XP_021705137.1, XP_021705136.1	XP_004930957.1, XP_012549934.1, XP_012549935.1
OG0002025	XP_001660915.1	XP_012549681.1, XP_004930556.1, XP_037867411.1, XP_021206534.1, XP_021206535.1
OG0002027	XP_021698213.1, XP_021698212.1, XP_021698211.1	XP_012551929.1, NP_001093281.1
OG0002028	XP_021695336.1, XP_021695333.1	XP_037871856.1
OG0002029	XP_021699817.1	XP_037874935.1
OG0002032	XP_021705255.1	XP_037867146.1
OG0002033	XP_001655052.2, XP_001655051.2	XP_012551301.1
OG0002034	XP_021703905.1	XP_004932097.1
OG0002034	XP_021708702.1	XP_037868059.1, XP_004931283.1, XP_021207118.1
OG0002036	XP_021698401.1	XP_004930803.2
OG0002037	XP_001657723.1	XP_004928198.1
OG0002038	XP_021705732.1, XP_001656882.1	NP_001182383.1
OG0002039	XP_021696857.1, XP_021696859.1, XP_021696854.1, XP_021696858.1, XP_021696855.1, XP_021696856.1	XP_004933181.2
OG0002041	XP_001661004.2	XP_021205165.1
OG0002042	XP_021711074.1	XP_004922505.2
OG0002043	XP_001654285.2	NP_001040180.1
OG0002044	XP_021692933.1, XP_021692932.1, XP_021692931.1	XP_021208120.1, XP_021208121.1
OG0002045	XP_021700822.1, XP_001654153.2	NP_001138801.1, XP_012548529.1
OG0002047	XP_001662952.2	XP_004931117.1, XP_021206910.1
OG0002048	XP_021693261.1, XP_021693262.1, XP_021693250.1	XP_037867513.1
OG0002049	XP_001657413.2	XP_004923495.1, XP_037876981.1
OG0002050	XP_001661613.2	NP_001266391.1
OG0002051	XP_001650787.1	XP_037873901.1
OG0002052	XP_001654238.1	XP_012552016.2
OG0002053	XP_021704986.1	XP_012543792.2, XP_012546073.2, XP_004922271.1
OG0002054	XP_021702372.1	XP_012553242.2, XP_037877277.1
OG0002055	XP_021699091.1, XP_021699090.1	XP_037867991.1
OG0002056	XP_021711845.1, XP_001651045.1	XP_037867474.1
OG0002057	XP_021701189.1	XP_004923050.1
OG0002058	XP_001653033.1, XP_021703690.1, XP_001653035.1, XP_001653036.2	XP_004930906.1
OG0002059	XP_001653641.1, XP_021697404.1	XP_012550348.3
OG0002060	XP_021709612.1	NP_001296560.1, XP_037875545.1
OG0002061	XP_021701939.1	XP_004931741.1
OG0002062	XP_021697091.1, XP_021697090.1, XP_021697088.1, XP_021697087.1, XP_021697089.1	XP_004931544.1, XP_021207193.1, XP_021207194.1
OG0002063	XP_021706324.1, XP_021706323.1, XP_001653117.1	XP_004924668.1
OG0002064	XP_021698918.1, XP_001661369.2	XP_012551004.1, XP_004932099.1
OG0002065	XP_021704389.1, XP_021704396.1	XP_037869831.1
OG0002066	XP_021713324.1, XP_021712281.1, XP_021711970.1	XP_004926099.1, XP_012545783.1
OG0002067	XP_001651806.1	XP_012550773.1
OG0002068	XP_001661802.1	XP_004932200.1, XP_004932199.1, XP_004932201.1, XP_021207663.1, XP_004932198.1
OG0002069	XP_001663723.2	XP_037877729.1
OG0002070	XP_021713381.1, XP_021713382.1	XP_004928991.1
OG0002071	XP_021700369.1, XP_021700370.1, XP_021700371.1, XP_001661960.1	NP_001040377.1
OG0002072	XP_001658181.2	XP_004927177.1
OG0002073	XP_001660900.1, XP_021701418.1, XP_021701417.1	XP_004929232.1
OG0002074	XP_021713169.1	NP_001166609.1, XP_021202338.1
OG0002075	XP_001657421.1	NP_001037484.1, XP_021207137.1, NP_001037552.1
OG0002076	XP_021704769.1, XP_021704812.1, XP_021704798.1, XP_021704808.1, XP_021704790.1, XP_021704775.1, XP_021704817.1, XP_021704784.1	NP_001108113.1
OG0002077	XP_001659320.1	XP_021206397.2, XP_021206396.2, XP_021206398.2, XP_021206395.2
OG0002078	XP_001655536.2, XP_021702297.1, XP_021702296.1, XP_021702295.1, XP_021702294.1	XP_004930914.1, XP_012550072.1
OG0002079	XP_021698016.1	XP_004929857.1, XP_021206087.1
OG0002080	XP_001655393.1	XP_004929715.1
OG0002081	XP_001658896.1	NP_001037658.1, XP_012548085.1
OG0002082	XP_001657833.1	XP_004922686.2
OG0002083	XP_021699262.1, XP_021699265.1, XP_021699263.1, XP_021699264.1, XP_021699267.1, XP_021699261.1	XP_037870148.1, XP_037877548.1
OG0002085	XP_001658894.2	XP_037872129.1, NP_001040139.1
OG0002086	XP_001660810.2	XP_012549660.1
OG0002087	XP_001662226.1	XP_004931292.1, XP_004931291.1, XP_012550366.1
OG0002088	XP_021709590.1, XP_021709591.1, XP_021709592.1	NP_001243927.1, XP_012551057.1
OG0002089	XP_021697379.1	XP_012544857.1
OG0002089	XP_021712561.1, XP_021699673.1	XP_012550296.2
OG0002090	XP_001657796.2	XP_004925377.2
OG0002091	XP_001648366.2	XP_004923972.2
OG0002092	XP_021696347.1, XP_021709876.1	XP_004924772.1, XP_012544590.1, XP_037874717.1
OG0002093	XP_021694967.1, XP_021694963.1, XP_021694966.1, XP_021694965.1, XP_021694968.1, XP_021694964.1, XP_021696654.1, XP_021696652.1, XP_021696653.1, XP_021696651.1	XP_004922680.1
OG0002094	XP_021698854.1	XP_037869903.1, XP_037869902.1
OG0002095	XP_001649906.1, XP_001649907.1	XP_004921623.1
OG0002096	XP_001658032.1	XP_004933673.2
OG0002097	XP_001658647.1	XP_021205473.1
OG0002098	XP_001657165.1	XP_012548484.1, XP_012548483.1, XP_004929181.1, XP_004929182.1
OG0002099	XP_021711436.1	XP_021203338.1, XP_021203330.1
OG0002100	XP_001655468.1	NP_001040519.1
OG0002101	XP_021712895.1, XP_001651058.2	XP_037871396.1, XP_021208873.1
OG0002102	XP_021695018.1, XP_021695017.1, XP_021695021.1, XP_021695020.1, XP_021695022.1, XP_021695019.1	XP_004921841.2, XP_037876170.1
OG0002103	XP_001655133.2, XP_021699620.1, XP_011493590.2	XP_004926638.1
OG0002104	XP_001651269.2	XP_037876302.1
OG0002106	XP_001651639.2	XP_004930986.1, XP_021206840.1
OG0002107	XP_021704540.1	XP_037873841.1, XP_037873840.1
OG0002108	XP_001661944.2	XP_004932655.1, XP_037875233.1, XP_037875234.1
OG0002109	XP_021695283.1	XP_037875089.1
OG0002110	XP_021703061.1, XP_021703059.1, XP_001657803.1	XP_037869794.1
OG0002111	XP_001657036.2	XP_012545601.1, XP_037877486.1
OG0002113	XP_021707212.1	XP_037873020.1, NP_001037186.1
OG0002114	XP_021693401.1, XP_021693463.1, XP_021693350.1, XP_021693526.1	XP_004927474.1
OG0002115	XP_001650881.2, XP_021711856.1	XP_004927963.1
OG0002116	XP_021694344.1, XP_021699059.1	XP_037870955.1
OG0002117	XP_021699388.1	XP_004929507.1
OG0002119	XP_021707548.1, XP_021707543.1	XP_012551451.2
OG0002120	XP_021701990.1, XP_021701991.1	XP_037866469.1
OG0002121	XP_021707339.1	XP_004924530.2, XP_004924528.2
OG0002122	XP_021707553.1, XP_021707555.1, XP_021707552.1, XP_021707556.1, XP_021707554.1	XP_021202521.1
OG0002124	XP_021705870.1, XP_021705910.1	XP_037874683.1, XP_021203890.2
OG0002125	XP_021699006.1	XP_004927987.4
OG0002126	XP_001657549.2, XP_001659807.1	XP_004927506.1
OG0002127	XP_001654713.2	XP_037876861.1
OG0002128	XP_021701093.1	XP_021204759.1
OG0002129	XP_001653301.1	XP_037871920.1, XP_037871918.1, XP_037871919.1, XP_037871917.1, XP_037871916.1
