Orthogroup	Aedes_aegypti	Osmia_lignaria
OG0001512	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1	XP_034187926.1
OG0001513	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1	XP_034176400.1
OG0001514	XP_001655385.1, XP_021705456.1	XP_034175632.1, XP_034175631.1
OG0001515	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1	XP_034174960.1
OG0001517	XP_021712247.1	XP_034186559.1
OG0001518	XP_021702663.1	XP_034182092.1, XP_034182091.1
OG0001519	XP_021695723.1, XP_021695724.1	XP_034176663.1
OG0001520	XP_001659529.1	XP_034170975.1
OG0001522	XP_021710700.1	XP_034194411.1
OG0001523	XP_021693518.1	XP_034193531.1, XP_034193530.1, XP_034193529.1, XP_034193527.1
OG0001524	XP_021693893.1, XP_021693937.1	XP_034188338.1
OG0001525	XP_021706611.1, XP_021706609.1, XP_021706610.1	XP_034193512.1, XP_034193514.1, XP_034193513.1
OG0001526	XP_021699965.1, XP_021699966.1, XP_021699961.1	XP_034185127.1
OG0001527	XP_021705511.1, XP_001659060.1	XP_034186561.1, XP_034186469.1
OG0001529	XP_001653365.2, XP_001653366.2	XP_034194471.1
OG0001530	XP_001659200.1	XP_034172078.1, XP_034172077.1, XP_034172074.1, XP_034172076.1
OG0001531	XP_001654172.1, XP_021711999.1	XP_034176936.1
OG0001532	XP_021705174.1	XP_034181167.1, XP_034181163.1, XP_034181168.1
OG0001533	XP_021697618.1	XP_034191939.1
OG0001534	XP_021707804.1	XP_034191289.1, XP_034191290.1, XP_034191288.1, XP_034191292.1, XP_034191291.1
OG0001535	XP_001654088.2	XP_034170946.1
OG0001536	XP_021698558.1, XP_021698552.1	XP_034171019.1, XP_034170963.1
OG0001537	XP_021710074.1, XP_001655561.2	XP_034183326.1
OG0001539	XP_001655433.2	XP_034177999.1
OG0001540	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1	XP_034173018.1
OG0001541	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1	XP_034177469.1
OG0001542	XP_021703912.1	XP_034173767.1, XP_034173765.1
OG0001543	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2	XP_034192289.1
OG0001545	XP_021703178.1	XP_034181991.1, XP_034182093.1, XP_034188450.1
OG0001546	XP_021694031.1	XP_034177866.1
OG0001547	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1	XP_034186431.1, XP_034186436.1
OG0001548	XP_021709810.1	XP_034181939.1, XP_034181934.1, XP_034181938.1
OG0001551	XP_001649247.2	XP_034175250.1
OG0001552	XP_021709518.1, XP_021709510.1	XP_034171982.1, XP_034171977.1
OG0001553	XP_001649155.2	XP_034171753.1
OG0001554	XP_021699256.1	XP_034183078.1, XP_034183070.1
OG0001555	XP_021708369.1	XP_034192618.1
OG0001556	XP_021698930.1	XP_034177956.1
OG0001557	XP_021703099.1	XP_034175797.1
OG0001558	XP_001650847.2, XP_021712862.1, XP_021698214.1, XP_021698215.1	XP_034190422.1
OG0001559	XP_021709809.1	XP_034181077.1, XP_034181078.1, XP_034181076.1, XP_034181080.1, XP_034181079.1
OG0001560	XP_021700177.1	XP_034173220.1
OG0001561	XP_001659517.1	XP_034193887.1, XP_034193886.1, XP_034193888.1, XP_034193890.1, XP_034193889.1
OG0001562	XP_021699829.1, XP_021699830.1	XP_034185884.1, XP_034185806.1
OG0001563	XP_021707780.1	XP_034193791.1, XP_034193793.1
OG0001565	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1	XP_034183551.1
OG0001567	XP_021705207.1	XP_034189867.1, XP_034189876.1
OG0001568	XP_021707976.1, XP_001649607.2, XP_021707970.1	XP_034176881.1, XP_034176880.1
OG0001569	XP_001653986.2	XP_034192018.1, XP_034192019.1
OG0001570	XP_021697701.1	XP_034175949.1, XP_034175951.1, XP_034175950.1
OG0001571	XP_021701795.1, XP_021711966.1	XP_034178369.1
OG0001572	XP_001661833.2, XP_001661834.1	XP_034179270.1
OG0001575	XP_001662131.2, XP_001648863.2	XP_034184289.1
OG0001576	XP_021700231.1	XP_034182764.1
OG0001577	XP_021694857.1	XP_034181816.1
OG0001579	XP_021697228.1	XP_034183763.1, XP_034183762.1
OG0001580	XP_021708412.1	XP_034190635.1
OG0001581	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1	XP_034183698.1
OG0001582	XP_021693418.1	XP_034188520.1, XP_034188519.1
OG0001583	XP_001653136.2	XP_034193810.1
OG0001584	XP_021697527.1	XP_034173083.1, XP_034173087.1
OG0001585	XP_021699005.1	XP_034195987.1
OG0001586	XP_021704945.1, XP_001654729.2	XP_034189101.1
OG0001587	XP_001659266.1	XP_034180070.1
OG0001588	XP_021708908.1	XP_034176393.1
OG0001589	XP_021705121.1, XP_001657326.1	XP_034176915.1, XP_034176917.1, XP_034176914.1, XP_034176918.1
OG0001590	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2	XP_034183406.1
OG0001591	XP_001649539.2	XP_034176545.1
OG0001592	XP_001652031.2, XP_001652030.2	XP_034173137.1
OG0001593	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1	XP_034179291.1
OG0001594	XP_001652589.2	XP_034195834.1
OG0001595	XP_001654339.2	XP_034195489.1
OG0001596	XP_001655002.2	XP_034194107.1, XP_034194106.1, XP_034194108.1
OG0001597	XP_001655545.1	XP_034171970.1
OG0001598	XP_001657509.1, XP_001660818.2, XP_001657506.2	XP_034173905.1
OG0001599	XP_001659709.2	XP_034189331.1
OG0001600	XP_001662110.1, XP_021699697.1, XP_021699698.1	XP_034180779.1, XP_034180759.1, XP_034180770.1, XP_034180788.1
OG0001601	XP_021693003.1, XP_021693005.1, XP_021712673.1	XP_034172790.1, XP_034172794.1, XP_034172775.1, XP_034172791.1, XP_034172796.1
OG0001602	XP_021711854.1, XP_021693787.1	XP_034192717.1
OG0001603	XP_021694636.1	XP_034187265.1
OG0001604	XP_021698607.1, XP_021698608.1	XP_034186738.1, XP_034186783.1
OG0001605	XP_021698633.1	XP_034187808.1
OG0001606	XP_021698821.1, XP_021698822.1	XP_034186979.1
OG0001607	XP_021701306.1	XP_034187462.1
OG0001608	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1	XP_034175828.1
OG0001609	XP_021710794.1, XP_021710793.1, XP_021710792.1	XP_034172296.1, XP_034172297.1
OG0001614	XP_001661445.1	XP_034185169.1, XP_034185158.1
OG0001615	XP_001649059.1, XP_001649058.1	XP_034181565.1, XP_034181567.1, XP_034181566.1
OG0001616	XP_021712922.1, XP_001654033.1	XP_034175169.1
OG0001617	XP_021712041.1, XP_001651134.1	XP_034196519.1
OG0001619	XP_001659711.1	XP_034176362.1
OG0001620	XP_001650713.1	XP_034184874.1, XP_034184873.1
OG0001621	XP_001653624.2	XP_034174653.1, XP_034174654.1
OG0001622	XP_001660625.1	XP_034180463.1
OG0001623	XP_001653270.2	XP_034174719.1
OG0001624	XP_001656550.2	XP_034190781.1
OG0001625	XP_001661087.1	XP_034190242.1
OG0001626	XP_001649135.1	XP_034186148.1
OG0001627	XP_021707044.1, XP_011493541.1, XP_001654478.1	XP_034188236.1
OG0001629	XP_001660169.1	XP_034186840.1
OG0001630	XP_021699215.1, XP_021699214.1	XP_034189488.1
OG0001631	XP_021704306.1	XP_034175668.1, XP_034175667.1
OG0001633	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1	XP_034178275.1
OG0001634	XP_021707434.1, XP_021707433.1, XP_001649577.2	XP_034183094.1, XP_034183093.1, XP_034183096.1
OG0001635	XP_001660621.2	XP_034183092.1
OG0001636	XP_001661101.1	XP_034171648.1, XP_034171647.1, XP_034171634.1
OG0001637	XP_001658256.1	XP_034186303.1
OG0001638	XP_001662068.2	XP_034183007.1
OG0001639	XP_021706741.1	XP_034180776.1, XP_034180777.1
OG0001640	XP_021711928.1, XP_001660977.2	XP_034194872.1
OG0001641	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1	XP_034176839.1
OG0001642	XP_021704630.1, XP_021704631.1, XP_001648127.2	XP_034171631.1, XP_034171630.1
OG0001644	XP_021706333.1, XP_001654366.1	XP_034185545.1
OG0001645	XP_021713239.1	XP_034185350.1
OG0001646	XP_001651173.2	XP_034174614.1
OG0001647	XP_021710653.1, XP_021710277.1	XP_034180184.1
OG0001648	XP_001651963.2	XP_034172958.1, XP_034172955.1, XP_034172957.1, XP_034172959.1, XP_034172960.1
OG0001649	XP_021699402.1	XP_034173439.1
OG0001650	XP_001660443.2	XP_034191719.1, XP_034191717.1, XP_034191718.1
OG0001651	XP_021712338.1	XP_034175140.1
OG0001652	XP_021709162.1	XP_034181197.1
OG0001653	XP_021704764.1, XP_021704765.1	XP_034189073.1, XP_034189072.1
OG0001655	XP_021712934.1, XP_021695115.1	XP_034172908.1
OG0001656	XP_001660613.1	XP_034189347.1, XP_034189348.1, XP_034189346.1, XP_034189345.1, XP_034189351.1, XP_034189344.1, XP_034189350.1
OG0001657	XP_001650988.2	XP_034179129.1, XP_034179135.1
OG0001658	XP_021701909.1	XP_034174459.1
OG0001659	XP_001649004.2, XP_021712038.1	XP_034193729.1
OG0001660	XP_021710671.1	XP_034195959.1
OG0001662	XP_001661416.2, XP_021712562.1	XP_034193742.1
OG0001663	XP_021708803.1	XP_034189821.1
OG0001664	XP_021712961.1	XP_034177352.1
OG0001665	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1	XP_034176588.1
OG0001666	XP_021695946.1	XP_034172970.1, XP_034172968.1
OG0001667	XP_021699681.1	XP_034177698.1, XP_034177697.1
OG0001668	XP_021705214.1	XP_034189905.1
OG0001669	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1	XP_034187750.1
OG0001670	XP_001663817.1	XP_034171597.1
OG0001671	XP_021708990.1	XP_034183740.1
OG0001672	XP_021709521.1, XP_021709522.1, XP_021709520.1	XP_034186835.1
OG0001673	XP_001660487.1	XP_034172570.1, XP_034172571.1, XP_034172569.1, XP_034172568.1
OG0001674	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1	XP_034173371.1
OG0001675	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1	XP_034191504.1
OG0001676	XP_001652395.2	XP_034172715.1
OG0001677	XP_001652096.1	XP_034195937.1
OG0001678	XP_001652786.2	XP_034187292.1, XP_034187302.1, XP_034187313.1
OG0001679	XP_021712412.1, XP_001660326.1	XP_034176407.1, XP_034176406.1
OG0001680	XP_021700806.1, XP_021712519.1	XP_034190890.1, XP_034190891.1
OG0001681	XP_001658183.2	XP_034178076.1
OG0001682	XP_021710725.1, XP_021710723.1, XP_021710727.1	XP_034182602.1
OG0001683	XP_001657224.1	XP_034181453.1
OG0001684	XP_021694318.1	XP_034179018.1, XP_034179160.1
OG0001685	XP_021696569.1	XP_034182718.1
OG0001686	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1	XP_034195085.1
OG0001687	XP_001648656.2	XP_034178035.1
OG0001688	XP_001655654.1	XP_034192136.1
OG0001689	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1	XP_034178702.1
OG0001690	XP_001652822.2	XP_034180734.1, XP_034180732.1
OG0001691	XP_021697807.1, XP_021711737.1	XP_034180959.1
OG0001692	XP_021706079.1, XP_021706080.1	XP_034191178.1, XP_034191179.1, XP_034191180.1
OG0001693	XP_021699846.1, XP_021699847.1, XP_021699845.1	XP_034181482.1, XP_034181481.1, XP_034181483.1, XP_034181484.1, XP_034181480.1
OG0001694	XP_001657811.1	XP_034188178.1, XP_034188179.1, XP_034188177.1
OG0001695	XP_021695027.1	XP_034193696.1
OG0001696	XP_021707171.1	XP_034173332.1, XP_034173325.1
OG0001697	XP_001655183.2	XP_034193517.1
OG0001699	XP_021706338.1, XP_001652000.1	XP_034181669.1
OG0001700	XP_021709327.1, XP_021709333.1, XP_021709340.1	XP_034178857.1
OG0001701	XP_021709749.1	XP_034183579.1
OG0001702	XP_001657404.2	XP_034193402.1, XP_034193401.1, XP_034193400.1
OG0001703	XP_021694077.1, XP_021694076.1	XP_034183441.1, XP_034183444.1
OG0001704	XP_021695754.1, XP_021695753.1	XP_034191350.1, XP_034191349.1
OG0001706	XP_021703194.1	XP_034171613.1, XP_034171612.1, XP_034171609.1, XP_034171611.1, XP_034171608.1
OG0001707	XP_021710585.1, XP_021710586.1	XP_034196072.1
OG0001708	XP_021705236.1	XP_034181218.1
OG0001709	XP_021692980.1	XP_034194496.1, XP_034194475.1
OG0001710	XP_021694338.1, XP_021712737.1	XP_034171825.1, XP_034171830.1, XP_034171831.1
OG0001711	XP_001650198.2	XP_034187450.1
OG0001712	XP_021711134.1	XP_034178716.1, XP_034178717.1
OG0001713	XP_021705608.1, XP_021705607.1, XP_021705606.1, XP_021705605.1	XP_034194977.1
OG0001714	XP_001661880.1	XP_034195145.1
OG0001715	XP_001660978.1	XP_034194755.1, XP_034194753.1, XP_034194754.1, XP_034194752.1
OG0001716	XP_021708325.1	XP_034196015.1
OG0001717	XP_001648674.1	XP_034174613.1
OG0001718	XP_021698837.1, XP_021698835.1, XP_021698836.1, XP_021698839.1, XP_001648403.1, XP_021698838.1	XP_034172325.1
OG0001719	XP_001653610.1	XP_034172915.1
OG0001720	XP_021707046.1	XP_034181181.1, XP_034181183.1
OG0001721	XP_001659894.2	XP_034174310.1, XP_034174311.1
OG0001722	XP_021700019.1	XP_034176979.1, XP_034176976.1, XP_034176978.1
OG0001724	XP_001658110.2	XP_034192743.1
OG0001725	XP_021709391.1	XP_034191069.1
OG0001726	XP_021706047.1	XP_034186345.1
OG0001727	XP_021701407.1, XP_021701408.1, XP_021701410.1, XP_021701411.1, XP_021701412.1, XP_021701413.1, XP_021701406.1	XP_034186260.1
OG0001728	XP_021700273.1	XP_034186922.1, XP_034186915.1
OG0001729	XP_021696384.1, XP_021696372.1, XP_021696389.1	XP_034185902.1
OG0001730	XP_021707010.1, XP_021707011.1, XP_021707007.1, XP_021707008.1	XP_034173907.1
OG0001731	XP_021708554.1, XP_021708557.1	XP_034195036.1, XP_034195028.1
OG0001732	XP_021694992.1	XP_034177503.1
OG0001733	XP_021695329.1, XP_021702423.1, XP_021702422.1, XP_021701342.1, XP_021712901.1, XP_021701341.1, XP_021702192.1	XP_034179672.1
OG0001734	XP_021703177.1, XP_001658259.2	XP_034196057.1
OG0001735	XP_021703341.1, XP_021706414.1	XP_034189228.1, XP_034189227.1, XP_034189230.1
OG0001736	XP_001657611.1	XP_034182031.1
OG0001737	XP_001659930.2	XP_034187380.1, XP_034187370.1, XP_034187361.1, XP_034187354.1
OG0001738	XP_001660400.1, XP_021697734.1	XP_034188674.1
OG0001739	XP_021695605.1, XP_021695606.1	XP_034183371.1, XP_034183372.1
OG0001740	XP_021704328.1	XP_034189931.1, XP_034189923.1
OG0001741	XP_001649571.2, XP_021710883.1, XP_021710884.1	XP_034188670.1, XP_034188672.1, XP_034188673.1
OG0001742	XP_021708254.1	XP_034179259.1, XP_034179257.1
OG0001743	XP_001660114.1	XP_034178394.1
OG0001744	XP_021704069.1, XP_021704068.1	XP_034179627.1, XP_034179630.1
OG0001745	XP_021713007.1	XP_034184891.1, XP_034184892.1
OG0001746	XP_001649222.1, XP_021710593.1, XP_021710589.1, XP_021710590.1, XP_021710587.1, XP_021710592.1, XP_021710591.1	XP_034181137.1
OG0001747	XP_021706970.1	XP_034175986.1, XP_034175985.1, XP_034175984.1
OG0001748	XP_021708833.1, XP_021708840.1	XP_034171056.1
OG0001749	XP_021706440.1	XP_034172616.1, XP_034172617.1
OG0001750	XP_001647895.2	XP_034186456.1, XP_034186465.1, XP_034186447.1
OG0001751	XP_001648099.1	XP_034196480.1
OG0001752	XP_001659769.2, XP_001651958.2, XP_001655198.2	XP_034191949.1
OG0001753	XP_001652244.1	XP_034185958.1
OG0001754	XP_001652911.1	XP_034172657.1, XP_034193948.1
OG0001755	XP_001653062.1	XP_034178613.1, XP_034178612.1
OG0001756	XP_001655179.1	XP_034172099.1
OG0001757	XP_001661597.2, XP_001661598.2, XP_001655682.2, XP_021705284.1	XP_034178572.1
OG0001758	XP_001656095.2	XP_034177218.1, XP_034177215.1, XP_034177214.1, XP_034177216.1
OG0001759	XP_001657407.2	XP_034189140.1
OG0001760	XP_001657581.2	XP_034191066.1
OG0001762	XP_001661603.1	XP_034183765.1
OG0001763	XP_021707256.1, XP_001662871.1	XP_034175094.1
OG0001764	XP_001663376.2	XP_034176901.1
OG0001765	XP_001663710.1	XP_034183232.1
OG0001767	XP_021702187.1, XP_021702186.1	XP_034176743.1
OG0001768	XP_021707862.1, XP_021707851.1, XP_021707864.1, XP_021707860.1, XP_021707856.1, XP_021707857.1, XP_021707858.1, XP_021707859.1, XP_021707852.1, XP_021707853.1, XP_021707854.1, XP_021707855.1, XP_021707863.1	XP_034190151.1
OG0001769	XP_021711093.1, XP_021711094.1	XP_034189371.1, XP_034189369.1
OG0001774	XP_021700405.1, XP_001663729.1, XP_021700404.1	XP_034180440.1
OG0001775	XP_001655999.2	XP_034191177.1
OG0001776	XP_021710782.1	XP_034183713.1
OG0001777	XP_001654587.1	XP_034186094.1, XP_034186092.1
OG0001778	XP_001655466.1, XP_021701850.1	XP_034192863.1
OG0001779	XP_001654343.1	XP_034183479.1
OG0001780	XP_021712259.1, XP_021707611.1, XP_021712258.1, XP_021707612.1, XP_021707614.1, XP_021707613.1, XP_021712257.1	XP_034191842.1
OG0001781	XP_001658016.1, XP_001654360.1	XP_034186239.1
OG0001782	XP_001663680.2	XP_034191190.1, XP_034191149.1, XP_034191173.1, XP_034191163.1, XP_034191181.1
OG0001783	XP_001662178.1	XP_034175670.1
OG0001784	XP_021693607.1	XP_034190487.1
OG0001785	XP_001647846.1, XP_021693061.1	XP_034187836.1, XP_034187835.1
OG0001786	XP_001652846.1, XP_001652845.1	XP_034172308.1, XP_034172309.1
OG0001787	XP_001661418.1	XP_034185835.1
OG0001789	XP_001650308.2	XP_034192646.1
OG0001790	XP_021713380.1	XP_034179004.1, XP_034179003.1
OG0001791	XP_001660244.1	XP_034171826.1
OG0001792	XP_001653344.1	XP_034190862.1, XP_034190861.1, XP_034190863.1
OG0001793	XP_001657814.1	XP_034193953.1
OG0001794	XP_021699339.1	XP_034170961.1, XP_034170945.1
OG0001796	XP_001650832.1	XP_034190946.1
OG0001797	XP_001655339.1	XP_034177778.1
OG0001799	XP_001650267.3	XP_034173692.1
OG0001800	XP_001661937.2	XP_034172861.1
OG0001801	XP_001656302.2	XP_034175943.1
OG0001802	XP_001648600.1	XP_034188800.1
OG0001803	XP_001654138.1	XP_034187449.1, XP_034187448.1
OG0001804	XP_001651535.2	XP_034192705.1, XP_034192704.1
OG0001805	XP_001658946.1	XP_034191497.1
OG0001806	XP_021703614.1, XP_021703613.1, XP_021703612.1, XP_001650209.1	XP_034188789.1, XP_034188788.1
OG0001807	XP_021697949.1, XP_021697948.1, XP_021697946.1	XP_034172674.1
OG0001808	XP_001648504.1, XP_001648505.2, XP_021711910.1	XP_034171070.1
OG0001809	XP_021704020.1	XP_034175227.1, XP_034175221.1
OG0001810	XP_021710388.1, XP_001648205.1	XP_034181334.1, XP_034181332.1
OG0001811	XP_021706968.1	XP_034194254.1
OG0001812	XP_021703749.1, XP_001649272.1, XP_001647949.1, XP_021704430.1	XP_034194638.1
OG0001813	XP_021706119.1, XP_001660430.2	XP_034185351.1
OG0001814	XP_021699004.1	XP_034196138.1
OG0001815	XP_021706600.1, XP_001654420.1	XP_034183852.1
OG0001816	XP_021711934.1, XP_021705859.1	XP_034187487.1, XP_034187481.1, XP_034187472.1
OG0001818	XP_001648308.1	XP_034180925.1, XP_034180924.1
OG0001820	XP_001656491.2	XP_034194101.1
OG0001821	XP_021705923.1	XP_034173340.1
OG0001822	XP_021701245.1	XP_034181892.1, XP_034181891.1, XP_034181893.1
OG0001823	XP_001657128.2	XP_034193837.1
OG0001824	XP_021706910.1	XP_034171259.1, XP_034171255.1
OG0001825	XP_001658727.1	XP_034189329.1
OG0001826	XP_021697012.1	XP_034191099.1
OG0001827	XP_021712977.1, XP_021712976.1, XP_021712975.1, XP_021712974.1, XP_021712973.1, XP_021712972.1	XP_034192621.1
OG0001828	XP_021712291.1, XP_001658462.1	XP_034196465.1
OG0001829	XP_001654783.1	XP_034184453.1
OG0001830	XP_021710578.1, XP_021710575.1, XP_021710579.1, XP_021710577.1, XP_021710576.1	XP_034177195.1
OG0001831	XP_001657882.2	XP_034180374.1
OG0001832	XP_021707800.1, XP_021707803.1, XP_021707802.1, XP_021707801.1	XP_034179293.1, XP_034179292.1
OG0001833	XP_001660568.1, XP_021697617.1	XP_034192738.1
OG0001834	XP_001658587.2	XP_034175941.1, XP_034175942.1
OG0001835	XP_021699457.1, XP_021699456.1	XP_034188262.1
OG0001836	XP_021696438.1, XP_021696292.1	XP_034191678.1, XP_034191684.1
OG0001837	XP_001657385.1	XP_034175311.1, XP_034175309.1, XP_034175310.1
OG0001838	XP_001662943.2	XP_034186238.1, XP_034186237.1
OG0001839	XP_001656241.1, XP_001656242.2	XP_034190455.1
OG0001840	XP_021693014.1	XP_034177210.1, XP_034177209.1
OG0001841	XP_001662612.2, XP_021706346.1	XP_034193034.1
OG0001842	XP_021708481.1, XP_021708478.1, XP_021708479.1, XP_021708480.1, XP_021708483.1	XP_034170992.1
OG0001843	XP_001647861.1	XP_034184382.1
OG0001844	XP_001648000.2, XP_021693221.1, XP_001647999.2, XP_021693222.1	XP_034180735.1
OG0001845	XP_001654410.1	XP_034190508.1
OG0001846	XP_021693741.1, XP_021693743.1, XP_021693742.1	XP_034176788.1, XP_034176784.1
OG0001847	XP_021696658.1, XP_001653615.1, XP_021712569.1, XP_021712570.1	XP_034186614.1
OG0001848	XP_001660510.1	XP_034174674.1, XP_034174694.1, XP_034174684.1
OG0001850	XP_001657137.1	XP_034191415.1
OG0001851	XP_001658707.2	XP_034190988.1, XP_034190990.1, XP_034190987.1
OG0001852	XP_021707599.1	XP_034193110.1
OG0001853	XP_021700185.1, XP_021700184.1, XP_021700182.1, XP_021700183.1	XP_034189289.1
OG0001854	XP_001659748.2	XP_034190895.1
OG0001855	XP_001655018.1	XP_034183246.1
OG0001856	XP_021706007.1, XP_021706008.1	XP_034184606.1
OG0001858	XP_001655314.1, XP_021694464.1	XP_034177948.1, XP_034177947.1
OG0001859	XP_021706404.1, XP_021694347.1, XP_001657815.1	XP_034178518.1, XP_034178519.1
OG0001860	XP_021711673.1	XP_034188634.1, XP_034188624.1, XP_034188629.1
OG0001861	XP_001662954.2	XP_034177573.1, XP_034177570.1, XP_034177571.1
OG0001862	XP_021698825.1, XP_001656028.1	XP_034175283.1
OG0001863	XP_001650313.2	XP_034185188.1
OG0001864	XP_021703166.1, XP_021703165.1, XP_001658160.2	XP_034178605.1
OG0001865	XP_001650915.1	XP_034190717.1, XP_034190708.1
OG0001866	XP_021697144.1, XP_001659957.1	XP_034191488.1, XP_034191489.1
OG0001867	XP_021712246.1	XP_034176872.1, XP_034176873.1
OG0001868	XP_021707165.1, XP_021707164.1, XP_001659505.1	XP_034193215.1
OG0001869	XP_021707427.1, XP_021707425.1, XP_021707423.1, XP_021707426.1	XP_034193525.1
OG0001870	XP_001652587.1	XP_034195841.1
OG0001871	XP_001657691.1	XP_034194271.1
OG0001872	XP_021706756.1, XP_021706757.1	XP_034181347.1, XP_034180850.1
OG0001873	XP_001654074.2	XP_034180951.1, XP_034180950.1, XP_034180949.1
OG0001874	XP_001649673.2	XP_034193526.1, XP_034193528.1, XP_034193536.1
OG0001875	XP_021697559.1	XP_034194013.1, XP_034194014.1
OG0001876	XP_021692922.1, XP_021692917.1	XP_034171766.1, XP_034171771.1
OG0001877	XP_021702661.1	XP_034193830.1, XP_034193835.1, XP_034193827.1
OG0001878	XP_021710678.1, XP_001655100.1, XP_001650845.1, XP_001659599.2	XP_034191295.1
OG0001879	XP_021703643.1	XP_034188426.1
OG0001880	XP_021700033.1, XP_021700038.1, XP_021700039.1	XP_034188045.1
OG0001881	XP_011493034.2	XP_034196406.1, XP_034196407.1
OG0001882	XP_021694906.1, XP_021694907.1, XP_021694904.1, XP_021694905.1, XP_021694908.1, XP_021694909.1, XP_011493407.2	XP_034188976.1
OG0001883	XP_021713193.1	XP_034179531.1
OG0001884	XP_021700781.1, XP_021700786.1, XP_021700788.1	XP_034178817.1
OG0001885	XP_021693388.1, XP_001660962.2, XP_021693389.1	XP_034179149.1
OG0001886	XP_021710919.1	XP_034187696.1, XP_034187695.1, XP_034187689.1, XP_034187690.1, XP_034187691.1, XP_034187692.1, XP_034187693.1, XP_034187694.1
OG0001887	XP_001650218.2, XP_021703628.1, XP_021703626.1, XP_021706599.1, XP_021700995.1	XP_034174728.1
OG0001888	XP_001656705.2, XP_021702813.1	XP_034180491.1
OG0001889	XP_001661881.1	XP_034188491.1
OG0001890	XP_021708813.1	XP_034180799.1
OG0001891	XP_021707500.1	XP_034176734.1, XP_034176732.1
OG0001892	XP_021707664.1	XP_034176891.1
OG0001893	XP_021699346.1	XP_034186209.1
OG0001894	XP_021697761.1	XP_034171935.1
OG0001895	XP_021695274.1	XP_034191649.1, XP_034191641.1
OG0001896	XP_021700472.1	XP_034185771.1, XP_034185770.1
OG0001897	XP_001652661.1, XP_021706950.1	XP_034187155.1
OG0001898	XP_001663962.2	XP_034179945.1
OG0001899	XP_001654630.1	XP_034193332.1
OG0001900	XP_021703372.1	XP_034189020.1, XP_034189018.1, XP_034189019.1
OG0001901	XP_001662611.1	XP_034193341.1
OG0001902	XP_021708938.1, XP_021712229.1	XP_034179269.1
OG0001903	XP_021703750.1, XP_001649274.2	XP_034195868.1, XP_034195867.1, XP_034195866.1, XP_034195871.1
OG0001904	XP_021713378.1	XP_034176980.1
OG0001906	XP_021704732.1	XP_034183794.1
OG0001907	XP_001650086.2	XP_034171117.1
OG0001908	XP_001656234.1	XP_034196129.1
OG0001909	XP_021702262.1, XP_021702271.1	XP_034192696.1
OG0001912	XP_021700547.1	XP_034194260.1, XP_034194259.1
OG0001913	XP_021704809.1	XP_034182160.1
OG0001914	XP_021702586.1, XP_021696818.1	XP_034170974.1
OG0001915	XP_021706539.1, XP_021706508.1	XP_034177662.1
OG0001916	XP_001660605.1	XP_034182096.1
OG0001917	XP_001654386.1	XP_034171522.1, XP_034171523.1
OG0001919	XP_021700283.1	XP_034181912.1
OG0001921	XP_021706711.1, XP_021706708.1, XP_021706709.1, XP_021706710.1, XP_021706712.1, XP_021706713.1, XP_021706714.1, XP_021712678.1	XP_034188948.1
OG0001922	XP_011493578.1	XP_034188182.1, XP_034188180.1
OG0001923	XP_001652085.2	XP_034191216.1
OG0001924	XP_021700902.1	XP_034176447.1, XP_034176449.1
