Orthogroup	Aedes_aegypti	Megalopta_genalis
OG0000808	XP_001653176.2	XP_033331686.1, XP_033331688.1, XP_033331683.1
OG0000809	XP_021711664.1, XP_021711648.1, XP_021711665.1	XP_033335582.1, XP_033335580.1
OG0000810	XP_001663023.1	XP_033331335.1
OG0000811	XP_021693898.1, XP_021693897.1, XP_021693896.1, XP_001650328.2	XP_033329586.1, XP_033329587.1, XP_033329591.1, XP_033329589.1, XP_033329588.1
OG0000812	XP_021712474.1, XP_001650653.2	XP_033332226.1, XP_033331245.1
OG0000813	XP_021710986.1, XP_021709626.1, XP_021701770.1, XP_021701765.1, XP_001652746.2	XP_033338627.1
OG0000814	XP_021702253.1	XP_033323950.1
OG0000815	XP_021697473.1, XP_021697483.1	XP_033341421.1, XP_033341420.1
OG0000816	XP_021700413.1, XP_021700426.1, XP_021700424.1, XP_021700423.1, XP_021700422.1, XP_021700421.1, XP_021700420.1, XP_021700418.1, XP_021700419.1, XP_021700414.1, XP_021700415.1, XP_021700416.1, XP_021700411.1, XP_021700412.1, XP_021700417.1, XP_021700425.1	XP_033341061.1, XP_033341063.1
OG0000817	XP_001662510.3, XP_021709841.1, XP_021709842.1	XP_033326885.1, XP_033326867.1, XP_033326876.1
OG0000819	XP_021698532.1, XP_021698523.1	XP_033322353.1, XP_033322351.1
OG0000820	XP_021708390.1	XP_033330960.1
OG0000821	XP_001654202.2	XP_033325386.1
OG0000822	XP_021693835.1, XP_021693834.1, XP_021693829.1, XP_021693833.1, XP_021693832.1, XP_021693831.1, XP_021693830.1	XP_033328508.1
OG0000824	XP_021705882.1	XP_033329993.1, XP_033340971.1
OG0000825	XP_001661591.1, XP_001661590.1	XP_033323810.1
OG0000826	XP_021705396.1, XP_001647887.1, XP_021705397.1	XP_033333926.1
OG0000827	XP_021712431.1, XP_021696096.1	XP_033321005.1
OG0000828	XP_001648136.1, XP_021712398.1	XP_033339344.1
OG0000829	XP_001658891.1	XP_033331374.1
OG0000830	XP_001659249.1	XP_033341344.1, XP_033341434.1, XP_033341256.1
OG0000831	XP_021709176.1, XP_021709173.1, XP_021709174.1, XP_021709175.1	XP_033342109.1
OG0000832	XP_021706142.1	XP_033330764.1
OG0000833	XP_021701250.1	XP_033331390.1
OG0000835	XP_021711969.1, XP_001651385.1	XP_033331703.1
OG0000835	XP_001652709.2	XP_033324997.1
OG0000836	XP_021709564.1	XP_033341667.1
OG0000836	XP_021709808.1	XP_033331961.1, XP_033339436.1, XP_033331387.1
OG0000837	XP_021703515.1	XP_033331555.1, XP_033331556.1, XP_033331558.1
OG0000838	XP_021711771.1, XP_021711770.1, XP_021702877.1	XP_033336040.1, XP_033336052.1
OG0000839	XP_001659467.2	XP_033329533.1
OG0000840	XP_001659498.2, XP_021709111.1	XP_033340416.1
OG0000841	XP_021698052.1, XP_021698051.1, XP_001658125.1, XP_001658124.1, XP_001658126.1, XP_001658123.1, XP_001654244.1, XP_001654245.2, XP_021713213.1	XP_033332784.1, XP_033332760.1
OG0000842	XP_021700554.1, XP_021701284.1, XP_021701285.1, XP_021701286.1, XP_001654876.1, XP_021701287.1	XP_033327943.1
OG0000843	XP_021709907.1, XP_001660150.2, XP_021699938.1	XP_033338900.1
OG0000844	XP_021702806.1	XP_033329891.1, XP_033329882.1
OG0000849	XP_021706608.1, XP_001654857.1, XP_001654856.1	XP_033326071.1, XP_033326070.1
OG0000850	XP_021700401.1, XP_021700402.1, XP_021700403.1	XP_033331573.1, XP_033331572.1
OG0000851	XP_021707129.1	XP_033327445.1, XP_033327442.1, XP_033327443.1, XP_033327444.1
OG0000852	XP_021708781.1	XP_033334145.1, XP_033334146.1
OG0000853	XP_001660390.1	XP_033338884.1
OG0000854	XP_021703073.1, XP_021705114.1, XP_021705059.1, XP_021705001.1	XP_033341953.1, XP_033341954.1, XP_033341952.1
OG0000855	XP_021695372.1, XP_021695373.1	XP_033328341.1
OG0000856	XP_001663005.2	XP_033335424.1
OG0000857	XP_021712663.1, XP_001659917.1	XP_033336856.1
OG0000858	XP_011493174.1, XP_021704948.1	XP_033323980.1
OG0000859	XP_021708245.1, XP_021708244.1, XP_021708243.1, XP_021708404.1	XP_033341427.1
OG0000860	XP_001656757.2	XP_033339012.1, XP_033339010.1, XP_033339011.1
OG0000861	XP_021699033.1, XP_001654492.2, XP_021699032.1	XP_033323637.1
OG0000863	XP_021711806.1, XP_021711828.1, XP_021711821.1, XP_021711815.1	XP_033337885.1
OG0000864	XP_001654191.2	XP_033328031.1
OG0000865	XP_021693445.1	XP_033333958.1
OG0000866	XP_021713171.1, XP_021713174.1, XP_021713172.1	XP_033335441.1, XP_033335442.1, XP_033335439.1, XP_033335438.1, XP_033335443.1
OG0000867	XP_021696900.1	XP_033321317.1
OG0000868	XP_021708415.1	XP_033341158.1, XP_033341155.1
OG0000870	XP_021709637.1	XP_033327373.1, XP_033327374.1
OG0000871	XP_021705667.1	XP_033335767.1, XP_033335765.1
OG0000872	XP_021701784.1, XP_021701794.1, XP_021701771.1, XP_021701766.1, XP_021701804.1, XP_021701779.1	XP_033342110.1
OG0000873	XP_001651410.1, XP_001651411.2, XP_021703510.1	XP_033326410.1
OG0000875	XP_021696370.1, XP_021696368.1	XP_033332238.1, XP_033332239.1, XP_033332240.1, XP_033332241.1
OG0000876	XP_001661220.1, XP_021709052.1	XP_033327623.1, XP_033327624.1, XP_033327622.1, XP_033327625.1
OG0000877	XP_001659194.1	XP_033332054.1
OG0000878	XP_001647568.1	XP_033329435.1
OG0000878	XP_001660628.1	XP_033329348.1
OG0000879	XP_021707480.1, XP_021704605.1	XP_033337729.1, XP_033337731.1
OG0000880	XP_001652873.1, XP_021701656.1, XP_021701658.1, XP_021701657.1, XP_021701652.1	XP_033335948.1, XP_033335947.1, XP_033335946.1
OG0000881	XP_001661364.1	XP_033320874.1, XP_033320873.1
OG0000883	XP_021708167.1, XP_021708166.1, XP_021708168.1, XP_021708169.1, XP_021708170.1	XP_033324661.1
OG0000884	XP_021705057.1, XP_021705058.1	XP_033324890.1
OG0000885	XP_001655440.2	XP_033329552.1, XP_033329551.1, XP_033329550.1, XP_033329549.1
OG0000886	XP_021709848.1	XP_033324028.1
OG0000887	XP_001663800.2	XP_033333972.1, XP_033333973.1
OG0000888	XP_021704185.1, XP_001653340.1, XP_001653339.1	XP_033329999.1
OG0000890	XP_021709688.1, XP_021709735.1, XP_021709693.1, XP_021709715.1, XP_021709702.1, XP_021709672.1, XP_021709725.1, XP_021709721.1, XP_021709747.1, XP_021709681.1, XP_021709731.1, XP_021709706.1, XP_021709759.1, XP_021709740.1, XP_021709752.1	XP_033337067.1, XP_033337074.1
OG0000892	XP_021713340.1	XP_033329142.1, XP_033329141.1, XP_033331857.1
OG0000894	XP_021696518.1	XP_033336733.1
OG0000895	XP_021699140.1	XP_033327441.1, XP_033327361.1
OG0000897	XP_001662174.2	XP_033321303.1, XP_033321304.1, XP_033321302.1
OG0000899	XP_021707713.1	XP_033323280.1
OG0000900	XP_001659953.1, XP_001659954.2, XP_021697143.1, XP_021697141.1, XP_021697142.1, XP_021697140.1, XP_001660178.2, XP_001659951.1	XP_033338649.1
OG0000901	XP_021702705.1	XP_033342637.1
OG0000903	XP_021706437.1, XP_021706438.1, XP_021706439.1	XP_033334211.1
OG0000904	XP_021697103.1	XP_033338446.1
OG0000905	XP_001648294.1, XP_021705206.1	XP_033341054.1
OG0000906	XP_021699355.1	XP_033325463.1
OG0000908	XP_021698245.1, XP_021698243.1, XP_021698246.1, XP_001662247.2	XP_033340608.1, XP_033340607.1, XP_033340606.1
OG0000909	XP_011493717.1	XP_033327460.1, XP_033327459.1, XP_033327458.1
OG0000910	XP_021699295.1, XP_021699294.1, XP_021696190.1, XP_021696195.1, XP_021696193.1, XP_021696194.1	XP_033331994.1
OG0000911	XP_021696334.1, XP_021711908.1	XP_033336031.1, XP_033336028.1, XP_033336020.1
OG0000912	XP_021705223.1	XP_033333372.1, XP_033333369.1, XP_033333370.1, XP_033333371.1, XP_033333373.1
OG0000914	XP_021695121.1, XP_021695120.1	XP_033332627.1, XP_033332631.1
OG0000916	XP_021700530.1	XP_033341712.1
OG0000916	XP_021700528.1, XP_021711890.1	XP_033341741.1
OG0000917	XP_021712600.1, XP_001651262.1	XP_033339626.1
OG0000918	XP_021696791.1, XP_001651544.1, XP_001651406.2, XP_001652677.1	XP_033334576.1
OG0000919	XP_001650507.1	XP_033332363.1, XP_033332362.1
OG0000920	XP_001659681.1	XP_033340048.1
OG0000921	XP_001661823.1	XP_033320915.1, XP_033320914.1
OG0000922	XP_001657891.1	XP_033327302.1, XP_033327300.1, XP_033327301.1
OG0000923	XP_021697826.1	XP_033338947.1
OG0000924	XP_001660574.2, XP_021697628.1, XP_021697623.1, XP_021697622.1, XP_021697627.1, XP_021697626.1, XP_021697625.1, XP_021697624.1	XP_033331246.1, XP_033331247.1, XP_033331248.1, XP_033331249.1
OG0000925	XP_021710049.1, XP_021710050.1	XP_033341174.1, XP_033341170.1
OG0000927	XP_001657339.1, XP_021706325.1, XP_021712812.1, XP_011493775.1, XP_021706322.1, XP_021706327.1	XP_033341765.1
OG0000928	XP_021707077.1, XP_021707078.1, XP_021707081.1, XP_021707082.1, XP_021707079.1, XP_021707080.1, XP_021707089.1, XP_021707085.1, XP_021707086.1, XP_021707087.1, XP_021707088.1, XP_021707084.1, XP_021707083.1	XP_033325475.1
OG0000929	XP_001663815.1	XP_033342980.1
OG0000930	XP_021699375.1	XP_033333008.1, XP_033333009.1, XP_033333010.1
OG0000931	XP_001657117.1	XP_033339679.1
OG0000932	XP_001656538.2, XP_021712586.1, XP_021711315.1, XP_021712583.1, XP_021712584.1	XP_033342708.1
OG0000933	XP_001655641.2, XP_001649752.1	XP_033340317.1, XP_033339921.1, XP_033328903.1
OG0000934	XP_021698591.1, XP_021698590.1, XP_001653285.1	XP_033324343.1
OG0000935	XP_021694721.1, XP_021694722.1, XP_021694961.1, XP_001657072.2, XP_001656050.2, XP_021702748.1	XP_033338472.1
OG0000936	XP_021699967.1	XP_033322963.1
OG0000937	XP_001660913.1	XP_033329538.1
OG0000937	XP_001661565.1	XP_033329619.1, XP_033329617.1, XP_033329618.1
OG0000938	XP_021706045.1	XP_033337469.1
OG0000941	XP_021710750.1	XP_033330406.1, XP_033330404.1, XP_033330407.1
OG0000942	XP_021705490.1, XP_021705489.1, XP_021705488.1, XP_021705491.1, XP_021705493.1, XP_021705492.1	XP_033342180.1, XP_033342196.1, XP_033342171.1, XP_033342188.1
OG0000943	XP_001649963.1	XP_033324797.1, XP_033324795.1
OG0000944	XP_021708364.1, XP_001656408.1	XP_033335860.1, XP_033335864.1
OG0000945	XP_001656804.2, XP_021710330.1, XP_021710331.1, XP_021710333.1, XP_021710332.1	XP_033340987.1, XP_033340989.1
OG0000946	XP_001649593.2	XP_033338836.1, XP_033330204.1
OG0000948	XP_001661146.1	XP_033331636.1, XP_033331637.1
OG0000949	XP_001652261.2	XP_033333797.1, XP_033343079.1, XP_033343080.1, XP_033343081.1, XP_033343082.1, XP_033320769.1
OG0000950	XP_001659287.1, XP_021702711.1	XP_033323558.1, XP_033323559.1, XP_033323560.1
OG0000951	XP_011493172.2, XP_021699239.1	XP_033332639.1, XP_033332638.1
OG0000952	XP_001650545.1, XP_021710285.1, XP_021710288.1, XP_021710289.1, XP_021710286.1	XP_033327799.1
OG0000953	XP_001657436.1, XP_001652560.2, XP_001661851.1, XP_021705875.1, XP_021705874.1	XP_033339478.1
OG0000954	XP_021706595.1	XP_033333557.1, XP_033333683.1
OG0000955	XP_021708583.1, XP_021705459.1, XP_021706039.1, XP_001648122.2	XP_033330558.1
OG0000957	XP_021704110.1	XP_033327376.1, XP_033327377.1, XP_033327375.1
OG0000958	XP_021705705.1, XP_021705704.1	XP_033336951.1, XP_033336953.1
OG0000959	XP_021701483.1	XP_033339327.1, XP_033339325.1
OG0000960	XP_021697034.1	XP_033336039.1
OG0000961	XP_021709272.1	XP_033324058.1
OG0000962	XP_021695937.1, XP_021695945.1	XP_033330788.1, XP_033330791.1
OG0000963	XP_021709029.1	XP_033333707.1
OG0000964	XP_021710052.1, XP_021710051.1	XP_033334231.1, XP_033334232.1
OG0000965	XP_021697790.1, XP_021697783.1	XP_033325969.1
OG0000966	XP_021697003.1, XP_021712420.1	XP_033339240.1, XP_033339239.1
OG0000967	XP_001658537.1, XP_021696660.1	XP_033327106.1
OG0000968	XP_021698741.1	XP_033328909.1, XP_033328904.1, XP_033328905.1
OG0000969	XP_021707919.1	XP_033329196.1
OG0000970	XP_021711849.1, XP_001651929.1	XP_033342842.1, XP_033342843.1, XP_033342841.1
OG0000971	XP_001653661.2, XP_001653662.2, XP_001653663.2	XP_033331031.1, XP_033331047.1
OG0000972	XP_021702148.1	XP_033342734.1
OG0000974	XP_021702688.1, XP_021702695.1, XP_021702707.1	XP_033330881.1, XP_033330888.1, XP_033330882.1
OG0000975	XP_021709197.1, XP_021709223.1, XP_021709213.1, XP_021709188.1	XP_033327010.1, XP_033326986.1
OG0000976	XP_001648945.2	XP_033322238.1, XP_033322154.1, XP_033322324.1
OG0000977	XP_001662477.2, XP_021694110.1	XP_033323828.1
OG0000978	XP_021694981.1, XP_021712432.1, XP_021698446.1	XP_033334688.1
OG0000979	XP_001662352.2	XP_033330237.1, XP_033339159.1
OG0000980	XP_021706413.1, XP_021701414.1, XP_021701415.1, XP_021698901.1	XP_033329496.1
OG0000981	XP_021704766.1	XP_033321480.1, XP_033326810.1
OG0000982	XP_021711586.1, XP_021711584.1, XP_021711589.1, XP_021711590.1, XP_021711587.1, XP_021711588.1, XP_021711591.1, XP_021711592.1, XP_021711595.1, XP_021711593.1, XP_021711582.1, XP_021711581.1, XP_021711585.1, XP_021711594.1	XP_033340630.1
OG0000983	XP_021710716.1	XP_033321222.1, XP_033321225.1, XP_033321223.1, XP_033321226.1
OG0000984	XP_021700789.1	XP_033328668.1
OG0000984	XP_021700790.1	XP_033328658.1
OG0000985	XP_021699811.1, XP_021699812.1, XP_021699813.1, XP_021699814.1, XP_001658285.1	XP_033320990.1
OG0000987	XP_001652618.1	XP_033322185.1, XP_033324118.1
OG0000989	XP_021693313.1	XP_033334068.1, XP_033334115.1
OG0000990	XP_021705871.1, XP_021712621.1	XP_033330907.1, XP_033330906.1
OG0000992	XP_001653792.1	XP_033330170.1, XP_033330171.1
OG0000993	XP_001657349.1, XP_021712573.1	XP_033321472.1
OG0000994	XP_021712595.1, XP_001656483.2	XP_033334244.1, XP_033334245.1
OG0000995	XP_001662013.1	XP_033320898.1
OG0000996	XP_001651556.2, XP_001651557.2, XP_021712254.1, XP_021712255.1	XP_033326795.1
OG0000997	XP_001652880.1	XP_033323347.1
OG0000998	XP_001648735.1, XP_001659667.2, XP_021694971.1, XP_021694972.1	XP_033333519.1, XP_033333518.1
OG0000999	XP_001660745.2, XP_001660748.2	XP_033330325.1
OG0001000	XP_001659938.2	XP_033331936.1, XP_033331946.1
OG0001001	XP_021696850.1, XP_001650605.1	XP_033336870.1
OG0001002	XP_021695974.1, XP_001652318.1	XP_033341676.1
OG0001002	XP_001656815.1, XP_001648854.1	XP_033341695.1
OG0001003	XP_021698403.1, XP_001652606.1	XP_033340689.1
OG0001004	XP_021697696.1	XP_033325389.1
OG0001005	XP_001654066.1	XP_033330827.1
OG0001006	XP_021713406.1	XP_033342465.1, XP_033342466.1
OG0001007	XP_021710083.1	XP_033336108.1
OG0001008	XP_011493242.2, XP_021700400.1	XP_033342998.1
OG0001009	XP_001660190.2	XP_033325838.1
OG0001009	XP_021702837.1	XP_033342936.1
OG0001010	XP_021703789.1, XP_021703788.1, XP_021703790.1, XP_021703785.1, XP_021703784.1, XP_021703787.1, XP_021703786.1	XP_033331831.1
OG0001011	XP_001661560.2	XP_033337566.1
OG0001013	XP_021699192.1	XP_033323900.1, XP_033323902.1
OG0001015	XP_021713139.1	XP_033334862.1
OG0001016	XP_001651894.1	XP_033328945.1, XP_033342709.1
OG0001017	XP_021695035.1, XP_021695037.1, XP_021695038.1	XP_033340793.1
OG0001019	XP_021697833.1	XP_033335112.1
OG0001020	XP_021700258.1	XP_033339021.1
OG0001021	XP_001661389.1	XP_033335004.1
OG0001022	XP_021712919.1, XP_021709106.1	XP_033332662.1, XP_033332665.1
OG0001023	XP_021705791.1	XP_033334891.1, XP_033334892.1
OG0001025	XP_021710356.1, XP_021710355.1, XP_021710346.1, XP_021710347.1, XP_021710344.1, XP_021710345.1, XP_021710350.1, XP_021710351.1, XP_021710348.1, XP_021710354.1, XP_021710353.1, XP_021710352.1, XP_021710349.1, XP_021710343.1	XP_033326022.1
OG0001026	XP_001651472.2	XP_033337831.1
OG0001027	XP_001659550.1	XP_033328121.1, XP_033328119.1, XP_033328120.1
OG0001028	XP_001648922.2	XP_033342084.1, XP_033320854.1
OG0001030	XP_021705111.1	XP_033324041.1
OG0001031	XP_001647991.1	XP_033341416.1, XP_033341415.1, XP_033341417.1, XP_033341414.1
OG0001033	XP_021697350.1, XP_001656170.2	XP_033328959.1
OG0001034	XP_001652910.1	XP_033324169.1
OG0001035	XP_001649392.1	XP_033323993.1
OG0001036	XP_001658441.1	XP_033333456.1, XP_033333452.1, XP_033337123.1
OG0001037	XP_021709959.1, XP_021709949.1, XP_021709968.1, XP_001654907.2	XP_033333213.1
OG0001038	XP_001657802.1	XP_033324259.1
OG0001039	XP_021704117.1, XP_001659756.2	XP_033330410.1
OG0001040	XP_001657084.1	XP_033341328.1
OG0001041	XP_021704065.1, XP_021704062.1, XP_021704064.1, XP_021704063.1, XP_001649235.1	XP_033326930.1, XP_033326929.1
OG0001042	XP_021695487.1, XP_021712349.1	XP_033337407.1, XP_033337454.1, XP_033337435.1, XP_033337416.1, XP_033337426.1, XP_033337445.1
OG0001043	XP_021695359.1, XP_021695362.1	XP_033328373.1, XP_033328372.1
OG0001044	XP_021695598.1	XP_033340709.1, XP_033340717.1
OG0001045	XP_021700792.1	XP_033333148.1
OG0001046	XP_021707939.1	XP_033338364.1, XP_033338361.1, XP_033338362.1, XP_033338360.1, XP_033338363.1
OG0001048	XP_021696480.1	XP_033328616.1
OG0001049	XP_021695688.1, XP_021695674.1, XP_021695699.1	XP_033334373.1
OG0001050	XP_021704146.1	XP_033334659.1
OG0001052	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1	XP_033324321.1
OG0001053	XP_021695848.1	XP_033324032.1, XP_033324034.1
OG0001054	XP_001653734.1	XP_033338773.1, XP_033338774.1, XP_033338770.1, XP_033338771.1, XP_033338772.1
OG0001055	XP_021708066.1	XP_033323439.1
OG0001056	XP_001648788.1	XP_033330201.1, XP_033330119.1
OG0001057	XP_021712770.1, XP_021708993.1	XP_033328156.1
OG0001058	XP_001658030.3	XP_033320886.1
OG0001059	XP_001653804.1	XP_033339480.1, XP_033339161.1
OG0001060	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1	XP_033337027.1
OG0001061	XP_021698780.1	XP_033325808.1, XP_033325809.1
OG0001063	XP_021705756.1	XP_033342623.1, XP_033326899.1
OG0001065	XP_021698754.1, XP_021698753.1	XP_033330489.1
OG0001066	XP_021703827.1	XP_033342242.1, XP_033342247.1, XP_033342249.1
OG0001067	XP_001664063.1, XP_021699345.1, XP_021699344.1	XP_033334970.1
OG0001068	XP_021696931.1, XP_021696940.1	XP_033340448.1
OG0001069	XP_001654715.2	XP_033336175.1, XP_033336177.1, XP_033336172.1, XP_033336171.1, XP_033336174.1, XP_033336173.1, XP_033336176.1
OG0001070	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2	XP_033328836.1
OG0001071	XP_021708458.1	XP_033321152.1
OG0001072	XP_001659014.2	XP_033323441.1
OG0001073	XP_001648274.2	XP_033338221.1, XP_033338367.1
OG0001074	XP_001649270.2	XP_033321761.1, XP_033321765.1
OG0001076	XP_001655001.1	XP_033324478.1
OG0001077	XP_001658071.1	XP_033325061.1
OG0001078	XP_001659802.1, XP_001659805.1	XP_033326059.1, XP_033326058.1
OG0001079	XP_001662144.1	XP_033338387.1, XP_033338386.1, XP_033338388.1
OG0001081	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1	XP_033324008.1
OG0001082	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1	XP_033341268.1, XP_033341269.1, XP_033341271.1, XP_033341272.1
OG0001083	XP_021698377.1	XP_033336142.1
OG0001084	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1	XP_033336597.1
OG0001085	XP_021702814.1	XP_033332140.1, XP_033332139.1, XP_033332141.1
OG0001086	XP_021708980.1	XP_033327099.1
OG0001090	XP_021695122.1, XP_001656254.2	XP_033327128.1, XP_033327130.1
OG0001091	XP_021713022.1, XP_001654186.1, XP_001654185.1	XP_033325831.1, XP_033325832.1
OG0001092	XP_001656078.2	XP_033323362.1, XP_033323354.1
OG0001093	XP_021712436.1, XP_021700841.1	XP_033340576.1, XP_033340575.1
OG0001094	XP_021707147.1, XP_001657391.1	XP_033340018.1
OG0001095	XP_001653701.1, XP_001653700.1	XP_033341802.1, XP_033341801.1, XP_033341800.1
OG0001096	XP_001658255.2	XP_033338473.1
OG0001097	XP_001648346.1	XP_033331437.1
OG0001098	XP_001663379.2	XP_033338654.1
OG0001099	XP_021706284.1, XP_021712729.1	XP_033332278.1
OG0001100	XP_001657489.1	XP_033330961.1
OG0001101	XP_021709309.1, XP_001653266.2, XP_021710599.1	XP_033342811.1, XP_033342812.1, XP_033342810.1
OG0001102	XP_001650617.1, XP_001650616.1	XP_033324282.1
OG0001103	XP_021700253.1, XP_021700254.1, XP_001656670.1	XP_033337723.1
OG0001104	XP_001659382.1	XP_033327975.1
OG0001105	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2	XP_033323666.1, XP_033323665.1
OG0001107	XP_001651390.1	XP_033337995.1
OG0001108	XP_001655181.1	XP_033327279.1
OG0001109	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1	XP_033332635.1
OG0001110	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2	XP_033334625.1
OG0001111	XP_001649510.2	XP_033325249.1, XP_033325248.1, XP_033325247.1
OG0001112	XP_001651512.1	XP_033321712.1
OG0001113	XP_001651817.1	XP_033337171.1
OG0001114	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2	XP_033320960.1
OG0001115	XP_021713246.1	XP_033327270.1
OG0001116	XP_021712421.1, XP_021694799.1	XP_033325653.1
OG0001117	XP_021705905.1	XP_033325640.1, XP_033325642.1, XP_033325641.1
OG0001118	XP_021707148.1	XP_033321496.1, XP_033321495.1, XP_033321494.1
OG0001119	XP_001648381.1	XP_033335082.1, XP_033335081.1
OG0001121	XP_001652212.1, XP_021705915.1	XP_033323014.1
OG0001122	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1	XP_033330758.1
OG0001123	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1	XP_033322309.1, XP_033322308.1, XP_033322312.1, XP_033322310.1, XP_033322311.1, XP_033322307.1
OG0001124	XP_021710981.1	XP_033325871.1
OG0001125	XP_001648386.2	XP_033330109.1
OG0001126	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1	XP_033329500.1, XP_033329499.1, XP_033329498.1
OG0001127	XP_021702833.1	XP_033340519.1
OG0001128	XP_001656417.2, XP_001654307.2	XP_033340447.1
OG0001129	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1	XP_033327738.1
OG0001130	XP_021693810.1	XP_033339147.1
OG0001131	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1	XP_033330921.1, XP_033330920.1
OG0001132	XP_001653441.1	XP_033338146.1
OG0001133	XP_021705031.1	XP_033333210.1
OG0001134	XP_021700926.1, XP_021700923.1	XP_033323394.1
OG0001135	XP_021697315.1, XP_021697331.1, XP_021697325.1	XP_033326143.1, XP_033326144.1, XP_033326142.1, XP_033326141.1
OG0001137	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1	XP_033329863.1, XP_033329864.1
OG0001138	XP_001655529.2	XP_033343008.1
OG0001139	XP_021708606.1	XP_033342611.1, XP_033342580.1, XP_033320808.1
OG0001140	XP_001654986.2	XP_033338049.1
OG0001141	XP_001649333.2	XP_033329432.1, XP_033329433.1
OG0001142	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2	XP_033338864.1, XP_033338863.1
OG0001143	XP_001662313.1	XP_033325901.1, XP_033325895.1, XP_033325897.1, XP_033325898.1, XP_033325899.1, XP_033325900.1
OG0001145	XP_001656860.2, XP_021695639.1	XP_033334364.1, XP_033334360.1, XP_033334362.1, XP_033334361.1, XP_033334363.1
OG0001146	XP_001660509.1	XP_033337181.1, XP_033325828.1
OG0001147	XP_021694950.1	XP_033338209.1, XP_033338211.1, XP_033338212.1, XP_033338210.1
OG0001149	XP_021696025.1	XP_033334903.1
OG0001150	XP_021697593.1	XP_033326716.1
OG0001151	XP_021701521.1	XP_033334650.1
OG0001152	XP_001650532.2	XP_033331452.1, XP_033331451.1, XP_033331450.1, XP_033335406.1
OG0001153	XP_021702556.1	XP_033323509.1, XP_033323512.1
OG0001154	XP_021711748.1	XP_033324878.1, XP_033324875.1
OG0001155	XP_021707527.1	XP_033327789.1
OG0001156	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1	XP_033331749.1
OG0001157	XP_021694571.1, XP_021694572.1, XP_021694573.1	XP_033338809.1, XP_033338798.1, XP_033338787.1
OG0001158	XP_021699270.1	XP_033328897.1
OG0001159	XP_021710638.1	XP_033337175.1, XP_033322893.1, XP_033322892.1, XP_033322889.1, XP_033322891.1, XP_033322890.1
OG0001160	XP_001654460.1	XP_033333704.1, XP_033333703.1
OG0001161	XP_001652572.1	XP_033336253.1
OG0001162	XP_021707175.1	XP_033338984.1, XP_033338982.1
OG0001164	XP_021707691.1, XP_021707690.1, XP_021707689.1	XP_033330867.1
OG0001165	XP_021710995.1	XP_033325372.1, XP_033325371.1
OG0001166	XP_021700484.1	XP_033340853.1
OG0001167	XP_001661518.1	XP_033329069.1, XP_033329070.1, XP_033329071.1, XP_033329072.1, XP_033329073.1
OG0001168	XP_001655162.2	XP_033339685.1, XP_033339684.1
OG0001169	XP_021700392.1, XP_001663720.1	XP_033336118.1, XP_033336119.1
