Orthogroup	Nasonia_vitripennis	Tribolium_castaneum
OG0000552	XP_001601085.1	NP_001039290.1
OG0000553	XP_016844294.1, XP_032452859.1, XP_001608221.1	XP_008199860.1, XP_008199859.1, XP_008199862.1, XP_008199861.1, XP_969742.1
OG0000554	NP_001136330.1, XP_001605159.1	XP_975135.1
OG0000555	XP_001607474.1, XP_016837397.1, XP_032452763.1	XP_008197491.1, XP_008196201.1, XP_974181.1
OG0000556	XP_001607376.2, XP_031786594.1	XP_967184.1
OG0000557	XP_031785664.1, XP_001602518.2, XP_003426424.1	NP_001107844.1, XP_008191995.1
OG0000558	XP_008216122.1	XP_971409.1
OG0000559	XP_001604185.2	XP_008192145.1
OG0000560	XP_031782498.1, XP_031782497.1	XP_015835693.1
OG0000561	XP_031786781.1	XP_015838975.1, XP_015838976.1, XP_015838977.1
OG0000561	XP_031786787.1	XP_015838973.1
OG0000562	XP_003424042.3	XP_015834699.1
OG0000562	NP_001165801.1	XP_968620.1
OG0000563	XP_001606647.1	XP_969628.1
OG0000564	XP_031777944.1	XP_008197984.1
OG0000565	XP_031782076.1, XP_031782075.1, XP_008216121.1, NP_001177654.1	XP_976359.2
OG0000566	XP_032452125.1	XP_008194694.1, XP_015839449.1, XP_008199967.1, XP_015840884.1, XP_008190292.1
OG0000566	XP_016843231.1	XP_970494.1
OG0000567	XP_001606384.1, XP_001601489.2, XP_031780186.1, XP_016841340.1	XP_008193182.1, XP_008198396.1
OG0000568	XP_001607057.1	XP_973251.1
OG0000569	XP_008215122.2	NP_001034492.1
OG0000569	XP_031789391.1	XP_008194188.1, NP_001034491.1
OG0000570	XP_008215822.1, XP_008215824.1, XP_031788144.1, XP_032456927.1, XP_008215820.1, XP_031788143.1, XP_032456925.1, XP_016845727.1	XP_008191357.1, XP_008191356.1
OG0000571	XP_008209864.1, XP_016838532.1, XP_008209857.1	XP_015837858.1, XP_008196145.1
OG0000573	XP_003426208.1, XP_032457906.1, XP_031786417.1, XP_032452719.1, XP_008205683.2, XP_008205684.2, XP_008211058.1, XP_016836846.1, XP_031779666.1, XP_008210976.1, XP_008210977.1, XP_008209378.1, XP_008209338.1, XP_008209517.1, XP_008208107.1, XP_008207973.1, XP_008205749.1, XP_016837379.1, XP_016840741.1, XP_016837039.1, XP_008209917.3, NP_001162025.1, XP_001601411.1, XP_001601082.1, XP_008207977.1	XP_015835019.1
OG0000574	XP_008209093.1, XP_008209094.1, XP_008209095.1, XP_016843787.1	XP_008193229.1
OG0000574	NP_001161315.1	XP_966720.1
OG0000575	XP_031776742.1, XP_031776741.1	XP_973751.2, XP_015840907.1, XP_973717.2
OG0000576	XP_031785618.1	XP_015835491.1, XP_008193294.1
OG0000577	XP_016839846.1, XP_008213412.1, XP_008213411.1, XP_001604395.1, XP_031782783.1	XP_968282.1
OG0000579	XP_008216440.1	XP_008190509.1, XP_008190508.1
OG0000582	XP_008209076.1	XP_008194670.1
OG0000585	XP_032454372.1, XP_031783577.1, XP_008211354.1, XP_008211353.1, XP_001606108.1	XP_973753.1
OG0000586	NP_001165802.1, XP_032457413.1	NP_001164360.1
OG0000587	XP_032456134.1, XP_032456136.1, XP_032456135.1, XP_031787326.1, XP_008207425.1, XP_001607780.1	XP_966904.1
OG0000588	XP_031779318.1	XP_008198243.1
OG0000589	XP_008216757.1	XP_015832979.1, XP_008190545.1
OG0000590	XP_016840242.1	XP_974222.2, XP_015834947.1, XP_008192629.1, XP_008192628.1
OG0000591	XP_001602564.1	XP_974605.1
OG0000593	XP_031776811.1, XP_031776812.1	XP_971718.1
OG0000594	XP_001602668.2	XP_008198309.1, XP_008198310.1, XP_015839110.1, XP_974863.1
OG0000595	XP_016838365.1	XP_966364.1
OG0000595	XP_003424589.1	XP_968010.1
OG0000596	XP_008209591.1, XP_016837489.1, XP_001603978.1, XP_016837490.1, XP_008208801.1, XP_032457314.1	XP_008199438.1
OG0000597	XP_001603541.3	XP_970503.2
OG0000598	XP_008208882.1	XP_975034.1
OG0000598	XP_016845721.1	XP_015838666.1
OG0000599	XP_008207253.1, XP_008207256.1	XP_008198002.1, XP_008197998.1
OG0000601	NP_001161266.1	NP_001161309.1
OG0000602	XP_032457807.1	XP_015833285.1, XP_974523.1
OG0000602	XP_031783600.1	XP_966627.1
OG0000604	NP_001164327.1	XP_008194890.1, XP_008194891.1
OG0000606	XP_031785551.1	XP_015839438.1
OG0000607	XP_032451718.1, XP_003425566.1, XP_001600173.2, XP_001603967.3, XP_008213036.1, XP_003424586.1, XP_001608081.2, XP_008217070.1, XP_031787832.1, XP_032452310.1, XP_016842057.1	XP_974834.1, XP_974846.2
OG0000609	XP_001604458.2	XP_008200471.1
OG0000611	XP_001608139.2	XP_008200881.1
OG0000612	NP_001127803.1, XP_008209313.1	XP_969513.1
OG0000613	XP_031788241.1	XP_968252.2, XP_008190961.1
OG0000613	XP_032455248.1	XP_967596.1
OG0000614	XP_008208864.1	XP_015837620.1
OG0000615	XP_001602694.1	XP_976260.1
OG0000616	XP_031782122.1, XP_031782114.1, XP_031782124.1	XP_008191555.1
OG0000617	XP_016844846.1	XP_015832965.1
OG0000619	XP_031783098.1, XP_031783099.1, XP_031783097.1	XP_971446.1
OG0000620	XP_003426798.1, XP_001599509.1, XP_032452706.1	XP_969072.1
OG0000621	XP_001603507.1	XP_972828.3
OG0000622	XP_003427045.1, XP_008209064.1	XP_971566.1
OG0000623	XP_031783416.1, XP_032454282.1	XP_975186.1
OG0000624	XP_016844670.1, XP_016844669.1, XP_008214059.1, XP_032452558.1	XP_015840994.1
OG0000625	XP_032451626.1, XP_016836805.2, XP_031783431.1, XP_031783426.1, XP_031783424.1, XP_032451627.1	XP_008200318.1
OG0000626	XP_008202907.1, XP_031777789.1, XP_001601960.1	XP_008198026.1, XP_008198025.1, XP_972447.1
OG0000627	XP_016844021.1	XP_970936.1
OG0000628	XP_008206719.2	XP_008193174.2
OG0000629	XP_008207456.1	XP_008200486.1
OG0000630	XP_031781641.1, XP_031780013.1, XP_003427857.1, XP_003427858.1, XP_008215448.1	XP_008196010.1, XP_008196008.1, XP_975658.1
OG0000631	XP_031776827.1, XP_031776826.1, XP_031776828.1	XP_008195987.1
OG0000632	XP_001603249.2	XP_008196207.1
OG0000633	XP_008209454.1, XP_008209455.1, XP_016845234.1, XP_016845235.1	XP_966960.1
OG0000634	XP_001606588.1	XP_974945.1
OG0000634	XP_001606618.1	XP_974922.1
OG0000635	XP_016840269.1, XP_001599474.1	XP_015834856.1, XP_008192027.1
OG0000636	XP_008207378.1	XP_008193403.1
OG0000637	XP_032457613.1, XP_001602602.2	XP_008192039.1, XP_008192036.1
OG0000638	XP_001605572.3, XP_031780020.1, XP_008217760.1, XP_008217761.1, XP_008217762.1	XP_015837751.1
OG0000639	XP_031778226.1, XP_016836721.1, XP_031778225.1, XP_031778224.1, XP_032457433.1	XP_975304.1
OG0000640	XP_032456946.1, XP_008210720.1, XP_008210719.1, XP_001600362.1	XP_001812776.1, XP_015833501.1
OG0000641	XP_001602388.1, XP_003424839.1	XP_008195213.1
OG0000642	XP_008204039.3	XP_974643.1
OG0000643	XP_001600392.1	XP_966681.1
OG0000643	XP_008208940.2	XP_966772.1
OG0000644	XP_032456508.1, XP_031787535.1	XP_001808377.1, XP_015840390.1
OG0000645	XP_016843783.1	XP_971289.1
OG0000645	XP_032458060.1	XP_008200906.1
OG0000646	XP_016836787.1, XP_016836788.1, XP_001604535.1, XP_032456524.1	XP_971567.1
OG0000647	XP_031778215.1, XP_031778216.1, XP_001603691.2, XP_032452033.1	XP_966445.1
OG0000648	XP_001607358.1, XP_016841906.1	XP_008194329.1, XP_008194328.1, XP_973428.1
OG0000648	XP_003423893.1, XP_001603292.1	XP_967827.1
OG0000649	XP_031779189.1	XP_015833839.1
OG0000650	XP_003425405.1	XP_015839912.1, XP_001810019.1, XP_008200991.1, XP_015838552.1, XP_001807833.1, XP_008191504.1
OG0000651	XP_008217741.1	XP_008193303.1, XP_008193301.2
OG0000653	XP_032457459.1	XP_008195435.1, XP_008195436.1
OG0000654	XP_003425970.1, XP_031780803.1, XP_008205366.1, XP_008210916.1	XP_008191078.2
OG0000655	XP_031782740.1, XP_031782767.1	XP_008191828.1, XP_008191154.1
OG0000656	XP_016843266.1	XP_015833801.1, XP_008191255.1
OG0000657	XP_031778053.1, XP_031778051.1	XP_008199069.1
OG0000658	XP_032457801.1, XP_031777432.1, XP_031786084.1, XP_032457782.1, XP_031783977.1, XP_031781454.1, XP_031777445.1, XP_031779775.1, XP_031785905.1, XP_031776690.1	XP_015839879.1, XP_015839406.1, XP_015839878.1, XP_015839877.1
OG0000659	XP_001600265.2	XP_969783.1
OG0000660	XP_008217086.1	XP_975437.1
OG0000661	XP_031778396.1	XP_008194016.1
OG0000662	XP_031780978.1	XP_972414.2, XP_972368.1, XP_972317.1
OG0000663	XP_031787236.1, XP_031787241.1, XP_031787245.1	XP_008194393.1, XP_015835934.1, XP_008194392.1
OG0000664	XP_031785575.1, XP_031785576.1	XP_008200269.1, XP_015834357.1, XP_015837543.1, XP_015837295.1
OG0000666	XP_031776894.1, XP_031777433.1, NP_001234900.1, XP_031777392.2, XP_031784303.1, NP_001166024.1, NP_001166023.1	NP_001103424.1
OG0000668	XP_008218078.1, XP_016842364.1, XP_003425266.2	XP_001810958.1
OG0000669	XP_031777225.1, XP_031777224.1, XP_031777226.1	XP_008193678.1
OG0000670	XP_016840330.1, XP_031785333.1, XP_031785334.1, XP_001600875.2, XP_031784636.1	XP_974575.1, XP_015835460.1, XP_015835459.1, XP_974590.1
OG0000671	XP_031783740.1, XP_031783736.1, XP_031783737.1, XP_031783738.1, XP_031783739.1, XP_032453858.1, XP_032453857.1	XP_008201396.1
OG0000672	XP_031780753.1	XP_015837637.1
OG0000677	XP_031782673.1, XP_008203991.1, XP_008204001.1	XP_008197279.1
OG0000680	XP_008206522.1, XP_001607790.1, XP_032454329.1	XP_974326.1, XP_008192630.1
OG0000683	XP_016842073.1	XP_971998.2, XP_974664.3
OG0000684	XP_003427268.1	XP_008196215.1, NP_001128425.1
OG0000685	NP_001165810.1	NP_001164310.1
OG0000685	XP_031784275.1, NP_001161318.1	XP_967958.1
OG0000686	XP_032457244.1, NP_001161447.1	XP_973797.1
OG0000687	XP_031780662.1, XP_031780663.1, XP_031780664.1, XP_032453373.1, XP_001606735.1, XP_001606535.1, XP_032453365.1, XP_032453371.1, XP_032453367.1, XP_032453368.1, XP_032453366.1, XP_032453372.1, XP_032453369.1, XP_032453370.1	XP_974045.1
OG0000688	XP_008213533.1	XP_966509.2
OG0000689	XP_008207880.3	XP_972670.3
OG0000689	XP_031779504.1	XP_008193697.1
OG0000690	XP_016844941.2, XP_032456330.1, XP_032456334.1, XP_032456336.1, XP_031776657.1	XP_968644.1
OG0000691	XP_003427124.1, XP_001604390.2	XP_008200143.1, XP_968571.3
OG0000692	XP_001606658.1	XP_008190993.1
OG0000693	XP_031785532.1, XP_032454420.1, XP_031785515.1, XP_031785542.1, XP_032454422.1, XP_031785533.1, XP_031785535.1, XP_031785522.1, XP_031785531.1, XP_031785528.1	XP_015838739.1
OG0000694	XP_008214944.1	XP_974023.2
OG0000696	XP_008216362.1, XP_032452045.1, XP_031777788.1	XP_969360.1
OG0000697	XP_008214404.2	XP_967818.2
OG0000698	XP_031779710.1, XP_031779707.1, XP_031779708.1, XP_032452473.1, XP_031779704.1, XP_031779705.1, XP_031779706.1, XP_032452470.1, XP_032452471.1, XP_008212634.2, XP_031779709.1, XP_032452472.1	XP_970616.1
OG0000699	XP_001605702.1	XP_015834804.1
OG0000701	XP_031783449.1	NP_001164313.1
OG0000704	XP_008204138.1	XP_008194528.1
OG0000704	XP_008206785.1	XP_015836587.1
OG0000705	XP_032457673.1, XP_031781702.1, XP_031781710.1, XP_031781711.1, XP_031781704.1, XP_031781705.1, XP_031781703.1, XP_031781708.1, XP_031781709.1, XP_031781706.1, XP_031781707.1, XP_031781712.1	XP_970101.1
OG0000706	XP_001606075.2, XP_008211025.1	XP_973961.1, XP_015833281.1, XP_008190930.1
OG0000707	NP_001155079.1, XP_032457660.1	XP_015837057.1
OG0000708	NP_001155849.1, XP_031787868.1	NP_001280503.1, XP_008201093.1
OG0000709	XP_008212308.1, XP_008212306.1, XP_031789616.1	XP_008193755.1
OG0000710	XP_008217946.1, XP_008212391.1, NP_001164521.1	XP_008193458.1
OG0000711	XP_008202278.1, XP_016842555.1, XP_016842556.1	XP_973009.1, XP_008196779.1
OG0000712	XP_031783286.1	XP_976237.1, XP_008201464.1
OG0000713	XP_032458150.1, XP_032458151.1, XP_032458152.1, XP_031777657.1, XP_031777658.1, XP_031777659.1, XP_031777660.1	XP_008201731.1, XP_008201730.1
OG0000714	XP_016840505.1, XP_016840509.1	XP_008199070.1, XP_008199072.1, XP_008199073.1
OG0000715	XP_032456932.1, XP_031787830.1, XP_016838200.1	XP_008198126.1
OG0000716	XP_008216788.1	XP_968570.1
OG0000717	XP_032454842.1, XP_001601687.1, XP_032454844.1, XP_032454843.1, XP_016840363.1, XP_008211301.1, XP_003427498.1	XP_008197605.1, XP_008197604.1, XP_974005.1, XP_015838661.1
OG0000718	XP_016841304.1, XP_016841295.1	XP_015836378.1, XP_015836365.1, XP_015836377.1
OG0000719	XP_016837895.1, XP_016837897.1, XP_032452366.1, XP_008217655.1, XP_008217652.1, XP_008217656.1, XP_032452365.1	XP_974150.1, XP_015835808.1
OG0000720	XP_031779636.1	XP_015833541.1
OG0000720	XP_008209982.1	XP_015833849.1
OG0000722	XP_008215159.1, XP_031785764.1	XP_008193836.1
OG0000722	XP_008215171.1	XP_008193837.1
OG0000723	XP_031780854.1, XP_008204366.1	XP_015833943.1, XP_015833937.1
OG0000724	XP_032453443.1, XP_001601630.2	XP_971700.2
OG0000726	XP_008216020.3, XP_003423840.3, XP_001601908.2, XP_016837479.1	XP_008190579.1, XP_973932.1
OG0000727	XP_001604143.2	XP_008200527.1, XP_969378.2
OG0000728	XP_016842871.1	XP_015835600.1, XP_001814267.1, XP_008193682.1, XP_976334.1
OG0000729	XP_032455307.1, XP_032455299.1, XP_032455298.1, XP_032455297.1, XP_032455303.1, XP_032455302.1, XP_032455301.1, XP_032455300.1, XP_032455305.1, XP_032455304.1, XP_008210011.1, XP_032455306.1	XP_975583.1
OG0000731	XP_016841856.1, XP_031788806.1	XP_008193063.1, XP_008193062.1, XP_972014.1, XP_015835321.1
OG0000732	XP_008207720.1, XP_001602209.1	XP_973363.1
OG0000736	XP_031779173.1	XP_015838309.1, XP_008196796.1, XP_015838214.1
OG0000737	XP_032455328.1, XP_032455329.1, XP_008211509.1, XP_001607917.1, XP_001607924.1	XP_015837747.1, NP_001284604.1
OG0000738	XP_001606122.2	XP_008192970.1
OG0000740	XP_032456146.1, XP_001608212.1	XP_970675.1
OG0000741	XP_001607561.1, XP_032454295.1	XP_015839069.1, XP_015839855.1, XP_972524.1
OG0000742	XP_008204431.1	NP_001076794.1, XP_008200421.1
OG0000743	XP_016841722.1, XP_008216232.1, XP_016841726.1, XP_008216210.1, XP_003425028.1, XP_003425027.1	XP_975869.2
OG0000744	XP_032457556.1, XP_001599847.1, XP_032457539.1, XP_032457537.1, XP_016842206.1, XP_032457564.1, XP_032457538.1, XP_008217913.1	XP_008198084.1, XP_008198085.1
OG0000745	XP_001603881.1, XP_032456013.1	XP_967842.2
OG0000746	XP_003424467.1, XP_031788004.1	XP_015840197.1, XP_015840196.1
OG0000747	XP_032455496.1, XP_016843502.1	XP_008200433.1
OG0000748	XP_031785812.1, XP_031785807.1	NP_001034490.1, XP_008191152.1
OG0000749	XP_001608277.2	XP_015837495.1
OG0000750	XP_008205207.1	XP_972562.2
OG0000751	XP_031787885.1	NP_001153720.1
OG0000751	XP_008214453.1, XP_008214452.1	XP_015837414.1
OG0000752	XP_031787252.1	XP_015836381.1, XP_972176.1
OG0000753	XP_008215352.1	XP_008198451.1
OG0000754	XP_008211402.1	XP_973097.1
OG0000755	XP_031780116.1	XP_008193975.1
OG0000756	XP_001604237.1, XP_001604331.1	XP_001811932.1, XP_001810980.1
OG0000757	XP_031778503.1, XP_031778502.1	XP_972879.1
OG0000758	XP_031778531.1, XP_001607611.1	XP_969808.1
OG0000759	XP_001600558.1, XP_016839651.1, XP_008205130.1	XP_008200324.1, XP_971832.1
OG0000760	XP_008204593.1, XP_008204594.1, XP_001602397.2	XP_008195593.1
OG0000761	XP_001600716.1	XP_008191796.1
OG0000762	XP_016839764.2	XP_972221.1
OG0000764	XP_008205878.1, XP_008205871.1	XP_970673.1
OG0000765	XP_008211724.1, XP_001602335.2, XP_008211729.1, XP_008211718.1	XP_008194704.1, XP_015836347.1
OG0000766	XP_003427531.1	XP_008196256.1, XP_015837262.1
OG0000767	XP_008210388.1, XP_008210389.1	XP_008195674.1, XP_008195675.1, XP_015837248.1, XP_008195676.1
OG0000768	XP_032458137.1, XP_031789261.1, XP_031789262.1, XP_031789259.1, XP_031789260.1, XP_031789258.1	XP_969961.1, XP_008198938.1
OG0000769	XP_016839765.1, XP_032454181.1, XP_003426338.1, XP_008206326.1, XP_032454180.1, XP_008206327.1	XP_972749.1, XP_008192575.1, XP_015834680.1
OG0000770	XP_032456801.1, XP_008206825.1	XP_015838418.1, XP_015838417.1
OG0000771	XP_031781137.1, XP_031781138.1, XP_031781139.1	XP_015835948.1, XP_015835947.1
OG0000772	XP_016843184.1, XP_016843187.1	XP_015833311.1
OG0000773	XP_001602298.2	XP_970410.1
OG0000774	NP_001136159.1	XP_971579.2
OG0000775	XP_003424469.1, XP_003424468.1, XP_032456673.1, XP_032456674.1, XP_031788002.1, XP_031788003.1, XP_016844778.1, XP_016844779.1	XP_008196848.1
OG0000776	XP_008214474.1, XP_032453790.1, XP_016845138.1, XP_032453788.1, XP_032453789.1	XP_966630.3
OG0000777	XP_003425598.1	XP_972936.1
OG0000778	XP_008211032.1	XP_015833391.1, XP_973455.1
OG0000779	XP_031776620.1, XP_001606275.2	NP_001280535.1, XP_008198427.1
OG0000780	XP_008217823.1, XP_016838554.1, XP_008217820.1, XP_008217822.1, XP_008217821.1, XP_032453044.1, XP_032453045.1, XP_032453046.1	XP_967848.2
OG0000781	XP_001605409.1	NP_001280540.1, XP_008190406.1
OG0000784	XP_008207267.1, XP_001607389.1	XP_969377.1, XP_967531.2, XP_015840226.1, XP_015840227.1, XP_008200409.1
OG0000785	XP_032456151.1	XP_008201310.2, XP_015839849.1
OG0000786	XP_001600259.2, XP_031789412.1, XP_032453667.1	XP_968026.1
OG0000787	XP_003427434.1	XP_001809587.2, XP_008194582.2, XP_008193885.1, XP_970014.1
OG0000789	XP_031779105.1, XP_016838518.1	XP_973485.2
OG0000790	XP_008215874.1, XP_016838288.1, XP_031787833.1, XP_001608278.2	XP_966929.1
OG0000795	XP_016839402.1, XP_016839400.1, XP_032453956.1	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1
OG0000796	XP_001606958.1	XP_971000.1
OG0000797	XP_003424917.1	XP_976408.1
OG0000798	XP_001605214.2	XP_970910.1
OG0000799	XP_031785772.1	XP_008192753.1, XP_967166.2
OG0000800	XP_032456854.1, XP_008203832.1, XP_031788683.1	XP_975766.1, XP_966312.1
OG0000801	XP_001603690.2	XP_974400.1, XP_008201328.1
OG0000801	XP_016842856.2	XP_015840663.1
OG0000802	XP_016844032.2	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1
OG0000804	XP_001607812.1	XP_008199784.1, XP_008199783.1, XP_969293.1
OG0000805	XP_016839343.1	NP_001103907.1, XP_015834312.1
OG0000806	XP_008204862.1	XP_975252.1
OG0000807	NP_001177692.1	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2
OG0000808	XP_016842591.1, XP_032452609.1	XP_966647.3
OG0000809	XP_031780123.1	XP_015839883.1
OG0000810	XP_001599255.3	XP_967137.1
OG0000811	XP_008206145.1, XP_001599526.2, XP_016843288.1	XP_015835466.1
OG0000812	XP_031780669.1, XP_031780667.1, XP_001606867.1	XP_015838959.1
OG0000813	XP_003427853.1	XP_008191104.1, XP_008197373.1
OG0000814	XP_001605056.1	XP_971300.2
OG0000815	XP_031778111.1	XP_015833081.1
OG0000816	XP_031780761.1	XP_974466.2
OG0000817	XP_031778664.1, XP_031778665.1	NP_001280521.1, XP_015838938.1
OG0000818	XP_032452330.1, XP_003424883.1, XP_031780814.1, XP_003424884.1	XP_008190837.2
OG0000819	XP_016840174.1, XP_032452235.1, XP_032452237.1, XP_032452251.1	XP_008190357.1
OG0000820	XP_031780508.1	XP_008199356.1
OG0000821	XP_031779281.1, XP_032452253.1, XP_008212127.1, XP_032452259.1, XP_032452258.1, XP_032452255.1, XP_008212125.1, XP_008212124.1, XP_008212126.1, XP_032452254.1, XP_001598992.1, XP_008212118.1, XP_016844284.1, XP_031779282.1, XP_032452256.1	XP_973706.1
OG0000822	XP_031782027.1	XP_008200699.1
OG0000823	XP_003427039.1, XP_016843769.1	XP_015838185.1, XP_008196921.1
OG0000824	XP_016843593.1	XP_970563.1
OG0000825	NP_001128399.1, XP_001602895.1	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1
OG0000826	XP_031780650.1, XP_031780649.1, XP_031780648.1	XP_968324.1
OG0000828	XP_031783203.1, XP_008205141.1	XP_015839867.1, XP_966527.1
OG0000829	XP_031782563.1, XP_016842103.1, XP_008217436.1, XP_008217437.1, XP_032451991.1	XP_015836394.1
OG0000830	XP_032452876.1, XP_032452877.1, XP_001607481.1, XP_008209675.1	XP_969246.1
OG0000831	XP_016839799.1, XP_008210692.1, XP_001604057.1	XP_966629.2
OG0000832	XP_016840804.1, XP_016840805.1, XP_001606660.1, XP_008211572.1	XP_015834318.1
OG0000833	XP_031779400.1, XP_031779399.1, XP_031779394.1	XP_008193629.1, XP_008193622.1
OG0000834	XP_001607087.1, XP_016840033.1, XP_008213704.1, XP_008213703.1	XP_008196985.1, XP_001813599.1
OG0000835	NP_001154989.1, XP_016836997.1	NP_001161777.1, XP_008197172.1
OG0000835	XP_031784287.1, NP_001154968.1	NP_001161778.1
OG0000837	XP_031785521.1, XP_031785523.1, XP_031785524.1, XP_031785519.1, XP_031785520.1	XP_966340.1
OG0000838	XP_031781334.1, XP_031781318.1, XP_031781326.1	XP_015837141.1, XP_015837139.1
OG0000839	XP_001603584.1, NP_001165964.1, XP_032456548.1, XP_031783698.1, XP_031783705.1, NP_001165963.1	XP_015837749.1, XP_008194206.1, XP_001814500.1
OG0000840	XP_031785625.1	XP_972558.1
OG0000842	XP_003428187.1	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1
OG0000843	XP_001600667.2, XP_016844989.1	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1
OG0000844	XP_008207314.1, XP_001608127.1	XP_008194355.1, XP_008194354.1, XP_976102.1
OG0000849	XP_001602816.1	XP_974694.1, XP_008191702.1
OG0000850	XP_032453468.1, XP_008216202.1, XP_008216203.1	XP_968953.1
OG0000851	XP_032451854.1, XP_032451855.1, XP_032451853.1, XP_001602999.1	XP_970378.1
OG0000852	XP_032458189.1, XP_032458188.1, XP_016841908.1, XP_032458187.1, XP_032458186.1, XP_031783811.1, XP_031786708.1	XP_970723.1
OG0000853	XP_032451871.1, XP_032451873.1, XP_032451872.1, XP_031786272.1, XP_032451874.1, XP_032451877.1, XP_032451876.1, XP_032451878.1, XP_032451875.1	XP_972319.1
OG0000856	XP_031777092.1	XP_969485.1
OG0000856	XP_001599699.1	XP_008191821.1
OG0000857	XP_001604312.1	XP_015838130.1
OG0000858	XP_001605273.1	XP_975095.1
OG0000859	XP_031782644.1, XP_031782643.1, XP_032454634.1	XP_008194278.1
OG0000860	XP_001604397.2	XP_968421.2
OG0000861	XP_031781201.1	XP_008190820.1, XP_008191266.1, XP_015833809.1
OG0000862	XP_032457677.1, XP_032457678.1, XP_031781729.1, XP_031781730.1, XP_031781727.1, XP_031781728.1, XP_032457675.1, XP_031781726.1	XP_015839850.1, XP_015839851.1
OG0000863	XP_008215956.1, XP_031788340.1	XP_008191661.1
OG0000864	XP_031778701.1	XP_001810857.1
OG0000865	XP_031784596.1, XP_031784602.1, XP_031784601.1, XP_031784604.1, XP_031784603.1, XP_031784597.1, XP_032454911.1, XP_032454912.1, XP_031784600.1, XP_031784598.1, XP_032454909.1, XP_032454910.1	XP_966867.1, XP_975287.1
OG0000867	XP_001606804.1	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1
OG0000868	XP_031782157.1, XP_008204022.1	XP_008199462.1, XP_008199456.1
OG0000869	XP_031783495.1, XP_008206503.1	XP_008191933.1, XP_975387.1
OG0000870	XP_008216315.1	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1
OG0000871	XP_001607708.1	XP_972974.1
OG0000872	XP_008203441.1, XP_001601907.2	XP_975496.1
OG0000873	XP_001603702.3	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1
OG0000874	XP_031778722.1, XP_031778720.1, XP_031778723.1, XP_031778724.1, XP_031778721.1	XP_008199106.1, XP_974993.1
OG0000875	XP_001606373.1, XP_032453891.1, XP_032453889.1, XP_032453890.1	NP_001280510.1
OG0000876	XP_016845645.1, XP_016845643.1, XP_016845642.1, XP_016845644.1	XP_966990.1
OG0000877	NP_001154936.1, XP_031784310.1	XP_008196449.1, XP_008196452.1
OG0000878	XP_031782738.1, XP_031782737.1, XP_031782739.1	XP_008199398.1
OG0000878	NP_001154932.1	XP_008193969.1
OG0000879	XP_031784124.1, XP_031784122.1	XP_968223.1
OG0000881	XP_032455118.1, XP_008211907.1, XP_001603028.1	XP_975088.1
OG0000882	XP_001607037.2	XP_973361.2, XP_008193581.1
OG0000883	XP_001608156.3, XP_031788370.1	XP_008194497.1
OG0000885	XP_008202364.1	XP_015840975.1, XP_008190312.1
OG0000886	XP_003426873.1, XP_031788182.1, XP_032457086.1, XP_032457087.1, XP_032457084.1, XP_032457085.1	XP_008197067.1
OG0000887	XP_001603602.1, XP_008210682.1	XP_974918.1
OG0000888	XP_031779326.1, XP_031779325.1	XP_976484.1
OG0000890	XP_016840823.1, XP_016840824.1	XP_015839379.1
OG0000892	XP_008204316.1	XP_971720.1
OG0000893	XP_016844650.1, XP_032456322.1, XP_003427801.1	XP_015840762.1
OG0000894	XP_016838700.1, NP_001122570.1	XP_008196971.1
OG0000895	XP_016837248.1, XP_032453357.1, XP_031779114.1	XP_015838580.1, XP_015838577.1
OG0000896	XP_001607181.2	XP_008199894.2, XP_008194610.1
OG0000897	XP_003425328.1	XP_972954.1
OG0000898	XP_031783388.1, XP_001603888.1	XP_973433.1
OG0000899	XP_031788210.1	XP_008197394.1, XP_008197388.1
OG0000900	XP_031789521.1, XP_031789519.1	XP_975518.1
OG0000901	XP_003427272.1	XP_972742.1
OG0000902	XP_008214069.1	XP_015836082.1
OG0000904	XP_031785214.2	XP_974704.1
OG0000904	XP_031786120.1, NP_001153501.1	XP_008193109.1
OG0000905	XP_032454335.1, XP_032454336.1, XP_031782551.1, XP_031782552.1, XP_031782548.1, XP_031782550.1, XP_031782553.1, XP_031782547.1, XP_031782555.1, XP_001603376.3	XP_015834466.1, XP_974925.1
OG0000906	XP_031787058.1	XP_015834567.1, XP_008195291.2
OG0000909	XP_016837688.1, XP_008214370.1	XP_008193249.1
OG0000910	XP_031787063.1, XP_001607428.1	XP_008195539.1
OG0000911	XP_016837240.1, XP_016837237.1	XP_008199253.1
OG0000912	XP_008214863.1	XP_008200507.1
