Orthogroup	Nasonia_vitripennis	Solenopsis_invicta
OG0001538	XP_031784266.1, NP_001161243.1	XP_025995016.1
OG0001539	XP_032454016.1	XP_025989075.1
OG0001540	XP_001600172.1	XP_011156938.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_039305648.1, XP_039305645.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_011160969.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_011167357.1
OG0001546	XP_003426901.1	XP_011173304.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_011157267.1, XP_011157187.1, XP_025995250.1, XP_011157118.1, XP_039313897.1, XP_039313896.1
OG0001548	XP_031780231.1	XP_039312926.1, XP_011167899.2
OG0001549	XP_001602105.1	XP_039302374.1, XP_011172055.1, XP_039302373.1, XP_039302375.1, XP_011174292.2
OG0001551	XP_016842120.1, XP_008217464.1	XP_025991441.1
OG0001552	XP_031788326.1	XP_039306173.1
OG0001553	XP_003424529.1	XP_011171181.2
OG0001554	XP_001599461.2	XP_025993708.2, XP_011167298.3
OG0001555	XP_008215528.1	XP_039302216.1, XP_039302217.1, XP_039302218.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_011160222.1, XP_011160221.1
OG0001557	XP_031783542.1	XP_025987489.1
OG0001558	XP_008206364.1	XP_011164872.1
OG0001559	XP_001605046.2	XP_025995579.2
OG0001560	XP_016838086.1	XP_011171066.1, XP_011171068.2
OG0001561	XP_008207143.1	XP_011156748.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_011160241.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_011164698.1
OG0001564	XP_031788964.1	XP_025992928.1, XP_025990449.2, XP_011164166.3, XP_011165913.1
OG0001565	XP_001600537.2	XP_011159749.1
OG0001566	XP_008217133.1	XP_011164289.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_011164347.2
OG0001568	XP_008208431.1	XP_039315462.1, XP_011170161.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_039307127.1, XP_011175182.1
OG0001570	XP_001606837.1	XP_025996281.1
OG0001571	XP_003427777.1	XP_011173525.1
OG0001572	XP_031777942.1	XP_025991099.2
OG0001573	XP_003424638.1	XP_011167748.2
OG0001574	XP_016840016.1, XP_016840018.1	XP_025990480.1, XP_025990476.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_025989254.1
OG0001576	XP_031779387.1	XP_011162339.1, XP_011162338.1
OG0001577	XP_001605704.1	XP_039314987.1, XP_025990992.2, XP_011156779.2, XP_011156780.2
OG0001578	XP_016838610.1	XP_039311675.1, XP_025995374.2
OG0001579	NP_001166052.1	XP_025990916.1, XP_011161055.1
OG0001580	XP_031777421.1	XP_025989737.2, XP_025989741.2
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_039312559.1
OG0001582	XP_031777144.1	XP_025993005.2, XP_039302703.1, XP_011170369.2
OG0001583	XP_001604253.3	XP_011173101.1, XP_011173102.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_011163216.1, XP_011163212.1
OG0001585	XP_031779984.1	XP_011175980.2
OG0001586	XP_001606047.3	XP_011172109.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_025992049.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_039302461.1, XP_025989691.2
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_011172968.1
OG0001590	XP_001604808.2	XP_011157497.2
OG0001591	XP_001599648.1	XP_011168160.3
OG0001592	XP_032456153.1	XP_011171154.1, XP_039310573.1, XP_039310572.1, XP_011171149.1, XP_011171150.1, XP_011171153.1, XP_011171152.1
OG0001593	XP_031787902.1	XP_025989465.2
OG0001594	XP_031785379.1, XP_031785380.1	XP_039313370.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_011155321.1, XP_011155323.1
OG0001596	XP_008216151.1	XP_011160525.1, XP_039308865.1
OG0001598	XP_001607388.1, XP_001607396.1	NP_001291513.1, XP_039304810.1, NP_001291514.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_011163081.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_039303295.1
OG0001603	XP_001608057.1	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_039306393.1, XP_039306391.1
OG0001605	XP_031783683.1	XP_025993135.2, XP_039312161.1, XP_039312160.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_039303892.1
OG0001607	XP_001603195.1	XP_025988460.1, XP_039305259.1
OG0001608	XP_031788132.1	XP_039312323.1
OG0001609	XP_001601232.1	XP_025987980.1, XP_011157468.1, XP_011157467.1
OG0001612	XP_008206969.1	XP_025991527.2
OG0001613	XP_031789088.1, XP_031782863.1	XP_039307245.1, XP_039307244.1, XP_039307243.1, XP_011156140.1, XP_025997359.2, XP_039303090.1, XP_025996903.2
OG0001614	XP_003423886.1	XP_039302685.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_011159603.1
OG0001616	XP_001606115.2	XP_011165539.1
OG0001617	NP_001161324.1	XP_025996452.1
OG0001619	XP_001608124.2	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1
OG0001620	XP_001600828.1	XP_011172508.2
OG0001621	XP_032457372.1	XP_011163719.2
OG0001622	XP_001601070.1	XP_011163366.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_011173601.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_025988947.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_011158987.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_011166369.1
OG0001627	XP_008209881.1	XP_025992429.1
OG0001628	XP_008211373.1	XP_039313243.1, XP_011165694.2
OG0001629	XP_032451650.1	XP_011164801.1, NP_001291532.1
OG0001630	XP_032454709.1	XP_011169550.2, XP_011169546.2
OG0001631	XP_031788348.2	XP_025994075.2
OG0001632	XP_008215717.1, XP_031788442.1	XP_025996098.1, XP_039312892.1, XP_039312891.1
OG0001633	XP_001605824.2	XP_025990458.1
OG0001634	XP_001603395.1	XP_011163706.1
OG0001635	XP_001603971.1	XP_025990186.1
OG0001636	XP_008213391.1	XP_011161744.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_011160567.1, XP_039303715.1
OG0001638	XP_008212555.1	XP_011173071.2
OG0001639	XP_001599645.2	XP_011162004.1, XP_039302197.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_011162453.1
OG0001641	NP_001161259.1	XP_011167461.1
OG0001642	XP_001606946.2	XP_011161737.1
OG0001643	XP_031781597.1	XP_025995866.2
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_039302614.1, XP_011175857.1, XP_011175856.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_011162052.1, XP_011162053.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_025991119.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_011167238.1
OG0001648	XP_016842668.1	XP_011161583.1, XP_039310226.1
OG0001649	XP_016839355.1	XP_011160573.1
OG0001650	XP_008215816.1	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_039307391.1, XP_039307390.1
OG0001652	XP_031776836.1	XP_025989514.1, XP_011170123.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_011164509.2
OG0001654	XP_001607435.2, XP_031779458.1	XP_025990587.2, XP_011171393.2, XP_025990588.2
OG0001655	XP_001603980.2	XP_011172420.1, XP_011172419.1
OG0001656	XP_001606701.1	XP_025989933.1, XP_011176122.1
OG0001657	XP_001606493.1	XP_011156207.1
OG0001658	XP_031787185.1	XP_025987786.1, XP_011169230.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_011156724.2, XP_011156725.1
OG0001660	XP_008217155.1	XP_011175649.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_025991899.1, XP_011161848.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_011166179.1, XP_011166174.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_011160600.1
OG0001664	XP_032455099.1	XP_039315097.1, XP_039315095.1
OG0001665	XP_031786788.1	XP_011162304.1
OG0001666	XP_001606145.2	XP_011157454.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_011164357.1, XP_011164356.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_011157251.2
OG0001670	XP_031781642.1	XP_039313082.1, XP_025995976.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_039308958.1
OG0001672	XP_001606256.1	XP_039303278.1
OG0001674	XP_008213000.1	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_011161210.1, XP_011161211.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_011173208.2
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_011166896.1
OG0001678	XP_001608054.1	XP_011160108.1, XP_011160107.1
OG0001679	XP_001606876.1	XP_011158431.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_011162712.1, XP_039310111.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_039309619.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_011171824.1
OG0001683	XP_031782629.1, XP_031782628.1, XP_001603826.1	XP_011169305.1
OG0001684	XP_008214622.1	XP_011163930.3, XP_039310942.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_039303275.1
OG0001686	XP_031786365.1	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1
OG0001687	XP_008205605.1	XP_039309671.1, XP_025992568.1
OG0001689	XP_001601304.1	XP_025986564.1, XP_025986563.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_039306829.1, XP_011157264.1
OG0001692	XP_031776647.1	XP_011155633.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_025987446.1, XP_039310517.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_011168616.2
OG0001695	XP_001605495.2	XP_011156723.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_039310023.1, XP_039310017.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1
OG0001699	XP_001605545.2	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1
OG0001700	XP_003425515.2	XP_011167786.2
OG0001701	XP_001603038.2	XP_025988830.1, XP_011164170.2, XP_039302064.1
OG0001702	XP_001602772.2	XP_011162940.1
OG0001703	XP_031783612.1	XP_011164234.2
OG0001704	XP_031784623.1	XP_011167326.1
OG0001706	XP_001607299.1	XP_011158625.1
OG0001707	XP_031784085.1, XP_031784087.1	XP_011155612.1
OG0001708	XP_032456367.1	XP_011164603.1, XP_025991942.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_025990188.1, XP_025990194.1
OG0001710	XP_001607529.1	XP_039305265.1
OG0001711	XP_001604450.1	XP_011165612.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_011166117.1, XP_011166096.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_011166931.1
OG0001714	XP_031784875.1	XP_025987284.1
OG0001715	XP_001602678.2	XP_011159122.2
OG0001716	XP_031788831.1	XP_025989710.2
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1
OG0001718	NP_001123321.1	XP_011168466.1
OG0001719	XP_016839634.1, XP_031782819.1	XP_011169234.1
OG0001720	XP_001603454.1	XP_025989851.1, XP_011175636.1, XP_025989850.1
OG0001721	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1	XP_011158131.2, XP_011158133.1, XP_039305886.1
OG0001722	XP_001599948.2	XP_011169266.2
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_039304618.1, XP_025992218.1
OG0001725	XP_008206905.1	XP_011174902.2
OG0001726	XP_016839031.1	XP_025989444.1
OG0001727	XP_031779917.1	XP_011161620.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_039313676.1, XP_039313680.1
OG0001730	XP_016845767.1	XP_025987718.2, XP_025987717.2
OG0001731	XP_001602845.2	XP_011175411.2
OG0001732	XP_032454981.1, XP_001600976.1	XP_039304441.1, XP_011159479.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_039314386.1
OG0001735	XP_031777893.1	XP_011170355.1, XP_039305740.1
OG0001737	XP_001608059.1	XP_039315088.1, XP_011160101.1
OG0001738	XP_031778432.1	XP_039310354.1
OG0001740	XP_031785471.1	XP_011166965.1, XP_025985931.1
OG0001741	XP_001604752.1, XP_016842588.1	XP_025987359.1
OG0001742	XP_031777878.1	XP_039303639.1, XP_025991103.2
OG0001743	XP_003424504.1	XP_011161430.1, XP_011161433.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_039314453.1, XP_039314456.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_011162193.2
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_011164075.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_039302590.1, XP_039302582.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_039307685.1, XP_039307681.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_011155871.1
OG0001751	XP_031788400.1	XP_011155816.1, XP_011155818.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1
OG0001754	XP_001605050.1	XP_039305540.1, XP_039305545.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_011158260.1
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_039313053.1, XP_039313054.1
OG0001758	XP_001606851.1	XP_039303751.1, XP_025990540.1
OG0001759	XP_001603531.2	XP_011170736.1
OG0001760	XP_008215927.1	XP_039311097.1
OG0001761	XP_032452364.1, XP_001603471.2	XP_039304606.1
OG0001762	XP_016837803.1	XP_011161105.1, XP_011161112.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_011156236.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_025996897.1, XP_039312890.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_011156559.1
OG0001767	XP_008207626.1	XP_011160151.1
OG0001768	XP_001607572.2	XP_011165067.2
OG0001769	XP_016836818.1	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1
OG0001771	XP_003427532.1	XP_039302499.1, XP_011173087.2
OG0001772	XP_031789545.1	XP_011168440.2
OG0001773	XP_031783227.1	XP_039304162.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	XP_025990865.1
OG0001775	XP_031785563.1	XP_025993879.1, XP_011176339.1, XP_011176338.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_011166850.1
OG0001777	XP_001599602.1	XP_011163067.1
OG0001778	XP_001606733.1	XP_011160655.1, XP_011160649.1
OG0001779	XP_031779220.1	XP_011160763.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_039306100.1, XP_011160811.1
OG0001781	XP_008207023.1	XP_011168846.1
OG0001782	XP_001599355.1	XP_011168428.1
OG0001783	XP_016843291.1	XP_025989077.1, XP_011168314.1
OG0001784	XP_031783677.1, XP_031783676.1	XP_011168601.2, XP_011168600.2
OG0001785	XP_001604175.2	XP_011157927.1
OG0001786	XP_001608245.1, XP_032457057.1	XP_011164288.1, XP_025988909.1, XP_011164286.1
OG0001787	XP_008215237.1	XP_011165044.1
OG0001788	XP_031780973.1, XP_031780965.1	XP_025988821.1, XP_025988822.1
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_011166253.1, XP_011166254.1, XP_039304453.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_011163941.1
OG0001791	XP_001608149.1	XP_011158709.1
OG0001792	XP_001600760.1	XP_011164881.1
OG0001793	XP_008214898.1	XP_025989823.1
OG0001794	XP_001605396.1	XP_025994735.1, XP_025994732.1
OG0001795	XP_001607324.1	XP_011169692.1
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_011156619.1
OG0001797	XP_031778511.1, XP_008207962.1	XP_011167269.1
OG0001798	XP_031780840.1	XP_039307934.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	XP_039311598.1, XP_011168273.2, XP_011168270.2
OG0001800	XP_001603293.1	XP_011168246.1
OG0001801	XP_031786470.1	XP_039303673.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_011158769.1
OG0001803	XP_008216245.1	XP_039305517.1
OG0001804	XP_008216463.1	XP_011170600.1, XP_011170595.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1
OG0001806	XP_031778822.1, XP_031778823.1	XP_011175795.2
OG0001807	XP_008210360.2	XP_011162553.2
OG0001808	NP_001136342.1	XP_011157802.1
OG0001809	XP_001599542.2	XP_011155517.1
OG0001810	XP_031778732.1	XP_039313299.1, XP_011160318.1
OG0001811	XP_001604243.1	XP_011168515.1
OG0001812	XP_016838603.1	XP_011159277.1, XP_011159276.1, XP_039304732.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_039315397.1
OG0001814	XP_001606172.1	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1
OG0001815	XP_016843551.1	XP_011163797.1, XP_039306189.1, XP_039306185.1
OG0001816	XP_001602430.1	XP_039314317.1
OG0001817	XP_031778530.1	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2
OG0001818	XP_032452105.1, XP_001606225.1	XP_025989845.1, XP_025989844.1
OG0001819	XP_031782397.1	XP_039311733.1, XP_011165265.1
OG0001820	XP_001601107.1	XP_011160496.1
OG0001821	XP_001606303.4, XP_008203951.2	XP_025991257.1, XP_025991254.1
OG0001822	XP_001603912.2, XP_008202668.1	XP_011162501.1, XP_025987461.1
OG0001823	NP_001135434.1	XP_011164610.1, XP_025991955.1
OG0001824	XP_031782171.1	XP_011155809.1
OG0001826	XP_001606320.1	XP_011172390.1
OG0001827	XP_031784416.1	XP_039304416.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_011168343.1, XP_039309295.1
OG0001829	XP_001607001.1	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1
OG0001830	XP_008210294.1	XP_011159754.1
OG0001831	XP_031788055.1	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_039315007.1
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_039313344.1
OG0001834	NP_001165788.1	XP_011163399.2
OG0001835	XP_031784847.1	XP_011168711.1, XP_011168712.1
OG0001836	XP_032452667.1	XP_039307187.1
OG0001837	XP_031785035.1, XP_001602132.1	XP_011157877.1, XP_011157961.1, XP_011157801.1
OG0001838	XP_003425218.1	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1
OG0001839	XP_031778745.1	XP_039308920.1
OG0001840	XP_003427589.1	XP_011159388.1
OG0001841	XP_001600825.2	XP_039303300.1
OG0001842	XP_001602441.1	XP_039303265.1
OG0001843	XP_032452489.1	XP_011166162.1
OG0001844	XP_001600994.2	XP_025992119.1
OG0001845	XP_001599772.1, XP_001599672.1, XP_031785182.1	XP_011166954.1
OG0001846	XP_001602119.1	XP_011155530.1, XP_011155531.1
OG0001847	XP_031784075.1, NP_001135845.1	XP_011158153.2, XP_039311870.1, XP_011158155.1
OG0001848	XP_016837498.2	XP_011172427.1
OG0001850	XP_001603955.2	XP_025991413.1
OG0001851	XP_031781505.1	XP_011159639.2, XP_011159640.2
OG0001852	XP_031783963.1	XP_011169062.2
OG0001853	XP_031779560.1, XP_031779559.1	XP_011156362.2
OG0001854	XP_003424613.1	XP_039314594.1
OG0001855	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1	XP_011162018.1
OG0001856	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1	XP_011166372.1
OG0001857	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1	XP_039304741.1, XP_025993230.2
OG0001858	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1	XP_011160902.1
OG0001859	XP_031788809.1	XP_011167983.1
OG0001860	XP_008208667.1, XP_016838277.1	XP_011157896.1
OG0001861	XP_031779274.1, XP_001604531.1	XP_011155579.1, XP_039303738.1
OG0001862	XP_032455409.1, XP_032455410.1, XP_016840903.1	XP_011161432.3, XP_039310938.1, XP_025985893.1
OG0001864	XP_008216930.1, XP_008216933.1	XP_011168664.2
OG0001865	XP_008213688.1	XP_011157758.1
OG0001867	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1	XP_025989927.1
OG0001868	XP_003423929.1, XP_003423930.1	XP_025986322.1, XP_025986321.1
OG0001869	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1	XP_025994490.1
OG0001870	XP_008213110.1, XP_008213111.1, XP_008213109.1	XP_025989757.1
OG0001871	XP_001602810.2	XP_011166857.1, XP_011166858.1, XP_011166859.1
OG0001872	XP_001606141.1	XP_011159588.1
OG0001873	NP_001135849.1, XP_031789337.1, XP_031789333.1	XP_011165220.1, XP_011165221.1
OG0001874	XP_031783282.1	XP_011164300.1
OG0001875	XP_016843737.2, XP_031787829.1	XP_039314795.1
OG0001876	XP_008202206.1, XP_008202205.1	XP_011169038.1, XP_039307637.1
OG0001879	XP_001606632.2	XP_011163848.2
OG0001880	XP_031786774.1, XP_031786778.1, XP_031786771.1	XP_039314493.1
OG0001881	XP_001604825.1, XP_003425165.1	XP_011164275.1
OG0001882	XP_031781968.1, XP_031781973.1	XP_011158770.1
OG0001883	XP_001600206.1	XP_011169787.1
OG0001885	XP_008214621.1	XP_025992055.1, XP_039310763.1
OG0001886	XP_031785450.1	XP_011165698.2
OG0001887	XP_016840834.1	XP_025986914.1
OG0001888	XP_031781367.1	XP_039306162.1
OG0001889	XP_001608169.1	XP_039309851.1, XP_039309805.1, XP_039309662.1, XP_039309892.1, XP_039309725.1, XP_039309750.1
OG0001891	XP_016840682.1, XP_031785164.1	XP_011167450.1
OG0001892	XP_031780675.1	XP_025987389.1
OG0001893	XP_031780757.1	XP_011160550.2, XP_011160548.2, XP_011160552.2, XP_011160551.2
OG0001894	XP_008210932.1	XP_025990876.2, XP_025990883.2
OG0001895	XP_031787844.1, XP_031787851.1, XP_031787846.1	XP_025994229.1, XP_025994233.1
OG0001896	XP_016838553.1, XP_016838549.1	XP_011160557.2
OG0001897	XP_001601168.1	XP_039314067.1
OG0001898	XP_031786285.1, XP_031786233.1, XP_001604787.3, XP_016843937.1	XP_011164999.1
OG0001899	XP_016841545.1	XP_011164419.2
OG0001900	XP_001606107.2	XP_025991978.2
OG0001901	XP_001604350.2	XP_039308637.1
OG0001902	XP_001605445.1	XP_025986551.1
OG0001903	XP_016844247.1	XP_025988270.2
OG0001904	XP_031779842.1	XP_025987819.1
OG0001905	XP_031785555.1	XP_025995563.1, XP_025995564.1
OG0001906	XP_032458034.1	XP_025990505.1
OG0001907	XP_016843397.1	XP_011171468.2
OG0001908	NP_001155084.1, XP_008207737.1	XP_039313610.1, XP_011166685.1
OG0001909	XP_032456056.1	XP_025996302.1, XP_025996300.1
OG0001910	XP_008201822.1	XP_025996984.1, XP_011162911.1, XP_011162903.1, XP_011162904.1, XP_039303625.1, XP_039303626.1, XP_039303624.1
OG0001912	XP_008216537.1	XP_039304141.1
OG0001913	XP_016844726.1	XP_025993747.1
OG0001914	XP_016838374.1	XP_039307056.1, XP_039307054.1
OG0001915	XP_003427521.1, XP_003427523.1	XP_011170489.1
OG0001916	XP_008215942.1, XP_032456961.1	XP_011163484.1
OG0001917	XP_008203737.1, XP_008203739.1, XP_031782066.1, XP_031782067.1	XP_011162663.1
OG0001918	XP_003427931.1	XP_039301732.1
OG0001919	XP_031788736.1, XP_031788448.1, XP_008212485.1	XP_011159962.2
OG0001920	XP_008215501.1, XP_001607287.1	XP_011168258.1
OG0001921	XP_001604700.1	XP_039312174.1
OG0001922	XP_031779099.1, XP_031779098.1, XP_031779100.1	XP_025988179.2, XP_025988182.1
OG0001923	XP_008209458.1	XP_039302208.1
OG0001924	XP_031782567.1	XP_011162462.2
OG0001925	XP_001607740.1, XP_008203086.1, XP_031777813.1	XP_011162425.1
OG0001926	XP_003426826.1	XP_025993858.1
OG0001927	XP_031788331.1, XP_016842024.1	XP_039311888.1
OG0001928	XP_016844845.2	XP_025990418.2, XP_039308867.1
OG0001929	XP_031780127.1	XP_011160578.1
OG0001930	XP_031779200.1	XP_011165943.2
OG0001931	XP_031777740.1, XP_001607753.1, XP_032451803.1	XP_011156252.1
OG0001933	XP_031778152.1, XP_003425501.1	XP_011165813.1
OG0001934	XP_016838487.1	XP_039307111.1, XP_011158198.1
OG0001935	XP_003427326.1	XP_025987348.1, XP_011162557.1
OG0001936	NP_001164386.1, XP_031777853.1	XP_039303347.1
OG0001937	XP_032452144.1, NP_001128389.1, NP_001128390.1	XP_025992699.1
OG0001938	XP_031787199.1, XP_001603831.2	XP_011164650.1
OG0001939	XP_031777252.1, XP_008215319.1, XP_008215317.1, XP_008215320.1, XP_001606070.1	XP_011162377.1
OG0001940	XP_008214308.2	XP_011164491.1, XP_039310767.1, XP_011164495.1
OG0001941	XP_032452908.1, XP_008209803.1	XP_011164493.2
OG0001942	XP_008208407.1	XP_039315528.1, XP_039315527.1
OG0001943	XP_031781572.1	XP_025988815.2, XP_011164241.2, XP_011164240.2, XP_011164239.2
OG0001944	XP_008206976.2, XP_031786898.1	XP_039307825.1
OG0001946	XP_003425284.1, XP_003425283.1, XP_008201901.1	XP_011168051.1
OG0001947	XP_031779520.1, XP_031779522.1	XP_039304812.1, XP_039304814.1
OG0001948	XP_016839730.1, XP_016839731.1	XP_039303605.1, XP_039303603.1, XP_039303604.1, XP_025990667.1, XP_025990669.1, XP_025990666.1
OG0001950	XP_001606793.1	XP_011159348.1
OG0001951	XP_008205666.1	XP_011161681.1
