Orthogroup	Nasonia_vitripennis	Bombus_terrestris
OG0000571	XP_016838532.1, XP_008209857.1	XP_012171130.1, XP_012171135.1
OG0000572	XP_031784972.1, XP_031784970.1, XP_031784971.1, XP_031784968.1, XP_031784969.1, XP_031784966.1, XP_031784967.1, XP_031784965.1, XP_032455077.1, XP_032455076.1	XP_020721824.1, XP_003400080.1
OG0000573	XP_003426208.1, XP_032457906.1, XP_031786417.1, XP_032452719.1, XP_008205683.2, XP_008205684.2, XP_008211058.1, XP_016836846.1, XP_031779666.1, XP_008210976.1, XP_008210977.1, XP_008209378.1, XP_008209338.1, XP_008209517.1, XP_008208107.1, XP_008207973.1, XP_008205749.1, XP_016837379.1, XP_016840741.1, XP_016837039.1, XP_008209917.3, NP_001162025.1, XP_001601411.1, XP_001601082.1, XP_008207977.1	XP_012176534.1
OG0000574	NP_001161315.1	XP_020723759.1
OG0000575	XP_031776742.1	XP_020720050.1
OG0000575	XP_031776741.1	XP_020720086.1
OG0000576	XP_031785618.1	XP_012169985.1, XP_012169988.1, XP_012169987.1, XP_012169984.1, XP_012169983.1, XP_012169982.1, XP_020721393.1, XP_020721394.1, XP_012169986.1
OG0000577	XP_016839846.1, XP_008213412.1, XP_008213411.1, XP_001604395.1, XP_031782783.1	XP_012173941.1
OG0000579	XP_008216440.1	XP_003396944.1, XP_020719364.1, XP_020719363.1, XP_020719362.1, XP_020719368.1, XP_020719366.1, XP_020719367.1, XP_020719365.1
OG0000582	XP_008209076.1	XP_012164450.1, XP_012164446.1
OG0000583	XP_031782165.1	XP_020722144.1, XP_020722143.1, XP_003400384.1, XP_020722142.1, XP_020722141.1
OG0000584	XP_008202616.3	XP_012173081.1
OG0000585	XP_032454372.1, XP_031783577.1	XP_003394914.3
OG0000585	XP_008211354.1, XP_008211353.1, XP_001606108.1	XP_003395233.1
OG0000586	NP_001165802.1, XP_032457413.1	XP_003394586.1
OG0000586	NP_001161244.1, XP_032455886.1	XP_003394183.3
OG0000587	XP_032456134.1, XP_032456136.1, XP_032456135.1, XP_031787326.1, XP_008207425.1, XP_001607780.1	XP_012170823.1, XP_012170822.1
OG0000588	XP_031779318.1	XP_012170446.1, XP_012170447.1, XP_012170445.1, XP_003399827.1
OG0000589	XP_008216757.1	XP_012166088.1
OG0000591	XP_001602564.1	XP_003402263.1
OG0000593	XP_031776811.1, XP_031776812.1	XP_020720777.1, XP_012175377.2
OG0000594	XP_001602668.2	XP_012166222.1, XP_012166223.1, XP_012166219.1, XP_012166220.1, XP_012166221.1, XP_020719791.1
OG0000595	XP_016838365.1	XP_012172379.1
OG0000595	XP_003424589.1	XP_012172378.1
OG0000596	XP_008208801.1, XP_032457314.1	XP_012175798.1, XP_012175799.1, XP_012175800.1
OG0000597	XP_001603541.3	XP_020719620.1, XP_020719621.1, XP_003396841.1, XP_012165530.1
OG0000598	XP_008208882.1	XP_012173053.1
OG0000598	XP_016845721.1	XP_012173052.1
OG0000599	XP_008207253.1, XP_008207256.1	XP_012171073.1, XP_012171260.1, XP_020719234.1
OG0000601	XP_001602713.1	XP_003401586.1
OG0000601	NP_001161266.1	XP_012172544.1
OG0000602	XP_032457807.1	XP_003399782.1
OG0000602	XP_031783600.1	XP_020719651.1
OG0000604	NP_001164327.1	XP_003402748.1, XP_012174449.1
OG0000605	XP_008216752.1	XP_012168307.1
OG0000606	XP_031785551.1	XP_020718282.1, XP_012163545.1
OG0000607	XP_032451718.1, XP_003425566.1, XP_001600173.2, XP_001603967.3, XP_008213036.1, XP_003424586.1, XP_001608081.2, XP_008217070.1, XP_031787832.1, XP_032452310.1, XP_016842057.1	XP_012171548.1, XP_012171547.1
OG0000609	XP_001604458.2	XP_003395437.1
OG0000611	XP_001608139.2	XP_020722663.1
OG0000612	NP_001127803.1, XP_008209313.1	XP_012166740.1, XP_012166739.1, XP_003397412.1, XP_020719994.1
OG0000613	XP_031788241.1	XP_012163556.1
OG0000613	XP_032455248.1	XP_020724166.1
OG0000614	XP_008208864.1	XP_020723124.1
OG0000614	XP_031788271.1	XP_003401258.2
OG0000615	XP_001602694.1	XP_003403386.2, XP_020719530.1, XP_020719535.1, XP_020719522.1, XP_020719517.1, XP_020719518.1, XP_020719520.1, XP_020719528.1, XP_020719524.1, XP_012164942.1, XP_020719516.1, XP_020719532.1
OG0000616	XP_031782122.1, XP_031782114.1, XP_031782124.1	XP_020723489.1, XP_020723488.1, XP_012174317.1
OG0000617	XP_016844846.1	XP_003393665.1, XP_012172416.1, XP_012172423.1
OG0000619	XP_031783098.1, XP_031783099.1, XP_031783097.1	XP_012163419.1
OG0000620	XP_003426798.1, XP_001599509.1, XP_032452706.1	XP_003394706.1, XP_003394705.1
OG0000621	XP_001603507.1	XP_003399063.1, XP_012169265.1, XP_012169266.1
OG0000622	XP_003427045.1, XP_008209064.1	XP_020722676.1, XP_003401208.1
OG0000623	XP_031783416.1, XP_032454282.1	XP_003399765.2
OG0000624	XP_016844670.1, XP_016844669.1, XP_008214059.1, XP_032452558.1	XP_003402928.1, XP_012174804.1
OG0000625	XP_032451626.1, XP_016836805.2, XP_031783431.1, XP_031783426.1, XP_031783424.1, XP_032451627.1	XP_012174796.1, XP_012174795.1, XP_012174794.1, XP_003402908.1
OG0000626	XP_008202907.1, XP_031777789.1, XP_001601960.1	XP_012169948.1, XP_012169951.1, XP_012169950.1, XP_012169949.1, XP_003399507.1, XP_020721555.1
OG0000627	XP_016844021.1	XP_012169193.1, XP_012169194.1, XP_012169195.1
OG0000628	XP_008206719.2	XP_020721271.1
OG0000628	XP_031784779.1	XP_020721278.1
OG0000629	XP_008207456.1	XP_020720524.1, XP_020720523.1, XP_012168332.1, XP_003398563.1, XP_012168331.1, XP_020720526.1
OG0000630	XP_008215448.1	XP_020720222.1
OG0000631	XP_031776827.1, XP_031776826.1, XP_031776828.1	XP_012171546.1
OG0000632	XP_001603249.2	XP_012170947.1, XP_003400196.1
OG0000633	XP_008209454.1, XP_008209455.1, XP_016845234.1, XP_016845235.1	XP_003400531.1
OG0000634	XP_001606588.1	XP_003402330.1
OG0000634	XP_001606618.1	XP_003402329.1
OG0000635	XP_016840269.1	XP_012166436.1
OG0000635	XP_001599474.1	XP_003402918.1
OG0000636	XP_008207378.1	XP_012168337.1, XP_012168338.1, XP_012168335.1, XP_012168336.1
OG0000637	XP_032457613.1, XP_001602602.2	XP_020719016.1
OG0000639	XP_031778226.1, XP_016836721.1, XP_031778225.1, XP_031778224.1, XP_032457433.1	XP_003393881.1
OG0000640	XP_032456946.1, XP_008210720.1, XP_008210719.1, XP_001600362.1	XP_003396245.1, XP_020719607.1, XP_003396246.1, XP_003396247.1
OG0000641	XP_001602388.1, XP_003424839.1	XP_012166954.1, XP_012166953.1, XP_012166951.1, XP_012166952.1, XP_012166950.1, XP_012166949.1, XP_003397465.1
OG0000642	XP_008204039.3	XP_012174219.1, XP_003394019.1, XP_020724049.1
OG0000643	XP_001600392.1	XP_003396021.1
OG0000643	XP_008208940.2	XP_003396020.1
OG0000644	XP_032456508.1, XP_031787535.1	XP_020722877.1, XP_020722876.1, XP_020722869.1, XP_003393959.1
OG0000645	XP_016843783.1	XP_012173365.1
OG0000645	XP_032458060.1	XP_012173367.1
OG0000646	XP_016836787.1, XP_016836788.1, XP_001604535.1, XP_032456524.1	XP_003396957.1
OG0000647	XP_031778215.1, XP_031778216.1, XP_001603691.2, XP_032452033.1	XP_012166548.1, XP_012166549.1
OG0000648	XP_003423893.1, XP_001603292.1	XP_012170298.1
OG0000649	XP_031779189.1	XP_020720863.1
OG0000650	XP_003425405.1	XP_012167695.1, XP_020720049.1
OG0000651	XP_008217741.1	XP_012164915.1
OG0000651	XP_016840101.1	XP_003394047.1
OG0000653	XP_032457459.1	XP_020718880.1
OG0000654	XP_031780803.1	XP_012168767.1
OG0000654	XP_008205366.1, XP_008210916.1	XP_012176459.1
OG0000655	XP_031782740.1, XP_031782767.1	XP_020723808.1, XP_020723801.1
OG0000656	XP_016843266.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0000657	XP_031778053.1, XP_031778051.1	XP_003393704.1, XP_012173096.1
OG0000659	XP_001600265.2	XP_012167136.1
OG0000660	XP_008217086.1	XP_003394244.1
OG0000662	XP_031780978.1	XP_003402903.1
OG0000663	XP_031787236.1, XP_031787241.1, XP_031787245.1	XP_020721894.1, XP_020721895.1, XP_020721897.1
OG0000664	XP_031785575.1, XP_031785576.1	XP_012167122.1
OG0000665	XP_031788172.1	XP_012171985.1, XP_020722362.1, XP_020722363.1, XP_020722361.1, XP_020722359.1, XP_020722358.1, XP_020722365.1, XP_020722357.1, XP_020722360.1, XP_020722364.1
OG0000666	XP_031784303.1, NP_001166024.1, NP_001166023.1	XP_003397879.2
OG0000668	XP_008218078.1, XP_016842364.1, XP_003425266.2	XP_020721259.1, XP_020721258.1, XP_020721257.1, XP_012169432.1, XP_012169434.1, XP_012169429.1, XP_012169431.1, XP_003399159.1, XP_020721256.1
OG0000669	XP_031777225.1, XP_031777224.1, XP_031777226.1	XP_012174960.1, XP_012174961.1, XP_012174962.1, XP_020723779.1
OG0000670	XP_016840330.1, XP_031785333.1, XP_031785334.1, XP_001600875.2, XP_031784636.1	XP_003395447.1
OG0000671	XP_031783740.1, XP_031783736.1, XP_031783737.1, XP_031783738.1, XP_031783739.1, XP_032453858.1, XP_032453857.1	XP_003395137.1, XP_012163587.1, XP_012163588.1
OG0000672	XP_031780753.1	XP_003397054.1, XP_003397055.1
OG0000673	XP_031787627.1, XP_016844729.1, XP_003424520.1, XP_003424519.1, XP_003424521.1	XP_012172632.1
OG0000675	XP_031777507.1, NP_001164671.1, NP_001164670.2	XP_003400880.1, XP_020722203.1, XP_020722255.1
OG0000676	XP_031778541.1, XP_016838640.1	XP_012166337.1, XP_020719815.1, XP_012166336.1, XP_020719814.1, XP_003397051.1
OG0000677	XP_031782673.1, XP_008203991.1, XP_008204001.1	XP_012168866.1, XP_012168862.1
OG0000678	XP_016845653.1, NP_001177492.1	XP_012167403.1, XP_020720440.1
OG0000680	XP_008206522.1, XP_001607790.1, XP_032454329.1	XP_020722815.1, XP_012172941.1
OG0000681	XP_016845804.1, XP_001600769.1	XP_003393962.3
OG0000683	XP_016842073.1	XP_012167357.1
OG0000684	XP_016842936.2, XP_031785356.1, XP_008214047.1, XP_003427268.1	XP_003395928.1, XP_012164712.1, XP_012164713.1, XP_012164714.1
OG0000685	NP_001165810.1	XP_012164924.1
OG0000685	XP_031784275.1, NP_001161318.1	XP_003393461.1
OG0000686	XP_032457244.1, NP_001161447.1	XP_012175845.1
OG0000687	XP_031780662.1, XP_031780663.1, XP_031780664.1, XP_032453373.1, XP_001606735.1, XP_001606535.1, XP_032453365.1, XP_032453371.1, XP_032453367.1, XP_032453368.1, XP_032453366.1, XP_032453372.1, XP_032453369.1, XP_032453370.1	XP_020720255.1, XP_003397750.1
OG0000688	XP_008213533.1	XP_020722005.1, XP_003400394.1
OG0000689	XP_008207880.3	XP_020718795.1, XP_012174006.1
OG0000689	XP_031779504.1	XP_012164124.2, XP_012164123.1
OG0000690	XP_016844941.2, XP_032456330.1, XP_032456334.1, XP_032456336.1, XP_031776657.1	XP_020719698.1, XP_020719697.1
OG0000691	XP_003427124.1, XP_001604390.2	XP_003402708.1
OG0000692	XP_001606658.1	XP_012168058.1
OG0000693	XP_031785532.1, XP_032454420.1, XP_031785515.1, XP_031785542.1, XP_032454422.1, XP_031785533.1, XP_031785535.1, XP_031785522.1, XP_031785531.1, XP_031785528.1	XP_003393251.1
OG0000694	XP_008214944.1	XP_003395478.1, XP_012163747.1
OG0000696	XP_008216362.1, XP_032452045.1, XP_031777788.1	XP_012166361.1, XP_003397073.1
OG0000697	XP_008214404.2	XP_012174877.1, XP_003393808.1
OG0000698	XP_031779710.1, XP_031779707.1, XP_031779708.1, XP_032452473.1, XP_031779704.1, XP_031779705.1, XP_031779706.1, XP_032452470.1, XP_032452471.1, XP_008212634.2, XP_031779709.1, XP_032452472.1	XP_020718741.1, XP_003395283.1
OG0000699	XP_001605702.1	XP_012167389.1
OG0000700	XP_008210291.1	XP_003393470.1
OG0000700	XP_016840280.1	XP_020720939.1, XP_003393503.1
OG0000701	XP_031783449.1	XP_012166345.1
OG0000704	XP_008204138.1	XP_012171733.1, XP_012171732.1, XP_003400887.1
OG0000704	XP_008206785.1	XP_003400575.1
OG0000705	XP_032457673.1, XP_031781702.1, XP_031781710.1, XP_031781711.1, XP_031781704.1, XP_031781705.1, XP_031781703.1, XP_031781708.1, XP_031781709.1, XP_031781706.1, XP_031781707.1, XP_031781712.1	XP_003395984.1
OG0000706	XP_001606075.2, XP_008211025.1	XP_020719204.1, XP_012165913.1, XP_012165915.1, XP_020719206.1, XP_012165912.1, XP_020719677.1
OG0000707	NP_001155079.1, XP_032457660.1	XP_003402441.1
OG0000708	NP_001155849.1, XP_031787868.1	XP_012172272.1
OG0000709	XP_008212308.1, XP_008212306.1, XP_031789616.1	XP_012174951.1, XP_003403133.1
OG0000710	XP_008217946.1, XP_008212391.1, NP_001164521.1	XP_003402531.3, XP_020723291.1, XP_012167869.1, XP_003398214.1
OG0000711	XP_008202278.1, XP_016842555.1, XP_016842556.1	XP_012176476.1, XP_012176475.1, XP_003394640.1
OG0000712	XP_031783286.1	XP_012164541.1, XP_012164544.1
OG0000713	XP_032458150.1, XP_032458151.1, XP_032458152.1, XP_031777657.1, XP_031777658.1, XP_031777659.1, XP_031777660.1	XP_012171163.2
OG0000714	XP_016840505.1, XP_016840509.1	XP_012169796.1, XP_012169790.1
OG0000715	XP_032456932.1, XP_031787830.1	XP_012172658.1
OG0000715	XP_016838200.1	XP_012172655.1
OG0000716	XP_008216788.1	XP_012165552.1, XP_003396953.1, XP_012165555.1, XP_012165553.1, XP_012165554.1
OG0000717	XP_032454842.1, XP_001601687.1, XP_032454844.1, XP_032454843.1, XP_016840363.1, XP_008211301.1, XP_003427498.1	XP_003393230.2
OG0000718	XP_016841304.1, XP_016841295.1	XP_003400451.2
OG0000719	XP_016837895.1, XP_016837897.1, XP_032452366.1, XP_008217655.1, XP_008217652.1, XP_008217656.1, XP_032452365.1	XP_012175363.1, XP_003403338.1
OG0000720	XP_031779636.1	XP_012164711.2
OG0000720	XP_008209982.1	XP_020722483.1
OG0000721	XP_001606786.2, XP_031779662.1	XP_003394193.1, XP_012175974.1, XP_012175975.1
OG0000722	XP_008215159.1, XP_031785764.1	XP_003401744.1
OG0000722	XP_008215171.1	XP_003401743.1
OG0000723	XP_031780854.1, XP_008204366.1	XP_012163474.1, XP_020718422.1
OG0000724	XP_032453443.1, XP_001601630.2	XP_012173918.1
OG0000726	XP_008216020.3, XP_003423840.3, XP_001601908.2, XP_016837479.1	XP_012170771.1
OG0000727	XP_001604143.2	XP_003398317.1
OG0000728	XP_016842871.1	XP_003399392.1, XP_012169771.1, XP_020720980.1
OG0000729	XP_032455307.1, XP_032455299.1, XP_032455298.1, XP_032455297.1, XP_032455303.1, XP_032455302.1, XP_032455301.1, XP_032455300.1, XP_032455305.1, XP_032455304.1, XP_008210011.1, XP_032455306.1	XP_012173211.1, XP_012173212.1, XP_012173213.1
OG0000731	XP_016841856.1, XP_031788806.1	XP_020721744.1
OG0000732	XP_008207720.1, XP_001602209.1	XP_020723611.1, XP_012174547.1, XP_020723610.1, XP_020723609.1, XP_020723608.1, XP_020723607.1
OG0000733	XP_031782437.1	XP_012165811.1, XP_012165810.1
OG0000734	XP_031776900.1	XP_003399877.1
OG0000736	XP_031779173.1	XP_012171958.1, XP_012171960.1, XP_012171957.1, XP_012171959.1
OG0000737	XP_032455328.1, XP_032455329.1, XP_008211509.1, XP_001607917.1, XP_001607924.1	XP_020720393.1, XP_012167130.1, XP_012167131.1, XP_003397590.1
OG0000738	XP_001606122.2	XP_020718623.1
OG0000740	XP_032456146.1, XP_001608212.1	XP_020720925.1
OG0000741	XP_001607561.1, XP_032454295.1	XP_012169519.1
OG0000742	XP_008204431.1	XP_012168275.1, XP_003398531.1, XP_020720818.1, XP_020720817.1, XP_012168272.1
OG0000743	XP_016841722.1, XP_008216232.1, XP_016841726.1, XP_008216210.1, XP_003425028.1, XP_003425027.1	XP_020719414.1
OG0000744	XP_032457556.1, XP_001599847.1, XP_032457539.1, XP_032457537.1, XP_016842206.1, XP_032457564.1, XP_032457538.1, XP_008217913.1	XP_003399518.1, XP_012169964.1
OG0000745	XP_001603881.1, XP_032456013.1	XP_020720302.1, XP_003397645.1
OG0000746	XP_003424467.1, XP_031788004.1	XP_003396315.2, XP_012165290.1
OG0000747	XP_032455496.1, XP_016843502.1	XP_020720902.1, XP_020720903.1, XP_012169371.1, XP_003399124.1
OG0000748	XP_031785807.1	XP_020718352.1, XP_012163559.2
OG0000749	XP_001608277.2	XP_003401442.1
OG0000750	XP_008205207.1	XP_012169218.1
OG0000751	XP_008214453.1, XP_008214452.1	XP_003393136.1
OG0000752	XP_031787252.1	XP_012171522.1, XP_012171521.1
OG0000753	XP_008215352.1	XP_012172333.2
OG0000754	XP_008211402.1	XP_003397354.1, XP_012172260.1
OG0000755	XP_031780116.1	XP_012171348.1
OG0000756	XP_001604237.1	XP_012166187.2
OG0000756	XP_001604331.1	XP_003396503.1
OG0000757	XP_031778503.1, XP_031778502.1	XP_012163117.1, XP_012163115.1
OG0000758	XP_031778531.1	XP_020723598.1
OG0000758	XP_001607611.1	XP_020723872.1, XP_012175288.1
OG0000759	XP_001600558.1, XP_016839651.1, XP_008205130.1	XP_012170366.1, XP_012170365.1
OG0000760	XP_008204593.1, XP_008204594.1, XP_001602397.2	XP_003397895.1
OG0000761	XP_001600716.1	XP_003396214.1, XP_012165005.1, XP_012165007.1, XP_012165006.1
OG0000762	XP_016839764.2	XP_012166505.1, XP_020719779.1, XP_003397286.1, XP_020719780.1
OG0000764	XP_008205878.1	XP_012164487.2
OG0000765	XP_008211724.1, XP_001602335.2, XP_008211729.1, XP_008211718.1	XP_003394840.1
OG0000766	XP_003427531.1	XP_012174256.2
OG0000767	XP_008210388.1, XP_008210389.1	XP_003396887.1, XP_003396886.1
OG0000768	XP_032458137.1, XP_031789261.1, XP_031789262.1, XP_031789259.1, XP_031789260.1, XP_031789258.1	XP_020721017.1, XP_012169271.1
OG0000769	XP_016839765.1, XP_032454181.1, XP_003426338.1, XP_008206326.1, XP_032454180.1, XP_008206327.1	XP_012165009.1
OG0000770	XP_032456801.1, XP_008206825.1	XP_012171528.1, XP_012171527.1, XP_012171526.1, XP_020722158.1, XP_003400581.1, XP_003400580.1
OG0000771	XP_031781137.1, XP_031781138.1, XP_031781139.1	XP_020718374.1, XP_020718373.1
OG0000772	XP_016843184.1, XP_016843187.1	XP_012166941.1
OG0000773	XP_001602298.2	XP_003398938.1, XP_003398939.1, XP_012169055.1, XP_012169054.1
OG0000774	NP_001136159.1	XP_012175365.1, XP_012175366.1, XP_012175368.1, XP_012175367.1
OG0000775	XP_003424469.1, XP_003424468.1, XP_032456673.1, XP_032456674.1, XP_031788002.1, XP_031788003.1, XP_016844778.1, XP_016844779.1	XP_012169075.1, XP_012169071.1
OG0000776	XP_008214474.1, XP_032453790.1, XP_016845138.1, XP_032453788.1, XP_032453789.1	XP_020720859.1, XP_012164662.1
OG0000777	XP_003425598.1	XP_003400768.1
OG0000778	XP_008211032.1	XP_012165516.1, XP_012165515.1, XP_003396680.1, XP_020719577.1
OG0000779	XP_031776620.1, XP_001606275.2	XP_003402761.1, XP_012174505.1
OG0000780	XP_008217823.1, XP_016838554.1, XP_008217820.1, XP_008217822.1, XP_008217821.1, XP_032453044.1, XP_032453045.1, XP_032453046.1	XP_003398230.1
OG0000781	XP_001605409.1	XP_020724147.1, XP_012176228.1, XP_012176227.1, XP_012176226.1, XP_003394353.1
OG0000784	XP_008207267.1	XP_012170933.1
OG0000785	XP_032456151.1	XP_003400602.1, XP_012171560.1, XP_012171559.1
OG0000786	XP_001600259.2, XP_031789412.1, XP_032453667.1	XP_003402108.1, XP_012173665.1
OG0000787	XP_003427434.1	XP_012176460.1, XP_003394519.1, XP_003394520.1
OG0000789	XP_031779105.1, XP_016838518.1	XP_003397238.1, XP_003397239.1
OG0000790	XP_008215874.1, XP_016838288.1, XP_031787833.1, XP_001608278.2	XP_003401444.1
OG0000795	XP_016839402.1, XP_016839400.1, XP_032453956.1	XP_003396709.1
OG0000796	XP_001606958.1	XP_012163333.1, XP_012174179.1
OG0000797	XP_003424917.1	XP_012174944.1, XP_012174943.1, XP_012174942.1, XP_012174941.1
OG0000798	XP_001605214.2	XP_020723080.1
OG0000799	XP_031785772.1	XP_012167594.1, XP_012167591.1
OG0000800	XP_032456854.1, XP_008203832.1, XP_031788683.1	XP_012167818.1
OG0000801	XP_001603690.2	XP_020723107.1
OG0000801	XP_016842856.2	XP_020720868.1
OG0000802	XP_016844032.2	XP_012168354.1
OG0000804	XP_001607812.1	XP_003394698.1
OG0000805	XP_016839343.1	XP_012174200.1
OG0000806	XP_008204862.1	XP_003397751.1, XP_012167092.1, XP_012167093.1
OG0000807	NP_001177692.1	XP_003399650.1, XP_012170173.1, XP_012170172.1
OG0000808	XP_016842591.1	XP_020720805.1
OG0000808	XP_032452609.1	XP_012167781.1
OG0000809	XP_031780123.1	XP_020718937.1, XP_003395415.2, XP_003402523.3
OG0000810	XP_001599255.3	XP_020721358.1, XP_003399739.1
OG0000811	XP_008206145.1, XP_001599526.2, XP_016843288.1	XP_012166695.1
OG0000812	XP_031780669.1, XP_031780667.1	XP_003396592.1
OG0000812	XP_001606867.1	XP_003394553.1
OG0000813	XP_003427853.1	XP_003399910.1
OG0000814	XP_001605038.2	XP_003402088.1
OG0000814	XP_001605056.1	XP_003401929.1
OG0000815	XP_031778111.1	XP_012165603.1, XP_012165623.1, XP_012165628.1
OG0000816	XP_031780761.1	XP_003398314.1
OG0000817	XP_031778664.1, XP_031778665.1	XP_003394391.1
OG0000818	XP_032452330.1, XP_003424883.1, XP_031780814.1, XP_003424884.1	XP_003394690.1
OG0000819	XP_016840174.1, XP_032452235.1, XP_032452237.1, XP_032452251.1	XP_020722584.1, XP_012172650.1
OG0000820	XP_031780508.1	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1
OG0000821	XP_031779281.1, XP_032452253.1, XP_008212127.1, XP_032452259.1, XP_032452258.1, XP_032452255.1, XP_008212125.1, XP_008212124.1, XP_008212126.1, XP_032452254.1, XP_001598992.1, XP_008212118.1, XP_016844284.1, XP_031779282.1, XP_032452256.1	XP_003398511.1
OG0000822	XP_031782027.1	XP_003393415.1, XP_012168194.1
OG0000823	XP_003427039.1, XP_016843769.1	XP_003399445.1
OG0000824	XP_016843593.1	XP_012173206.2, XP_012175405.1
OG0000825	NP_001128399.1	XP_012167590.1
OG0000826	XP_031780650.1, XP_031780649.1, XP_031780648.1	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1
OG0000828	XP_031783203.1, XP_008205141.1	XP_012164794.1, XP_003396173.1, XP_012164795.1
OG0000829	XP_031782563.1, XP_016842103.1, XP_008217436.1, XP_008217437.1, XP_032451991.1	XP_003399769.1
OG0000830	XP_032452876.1, XP_032452877.1, XP_001607481.1, XP_008209675.1	XP_003394299.1
OG0000831	XP_001604057.1	XP_012170449.1, XP_012170452.1
OG0000832	XP_016840804.1, XP_016840805.1, XP_001606660.1, XP_008211572.1	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1
OG0000833	XP_031779400.1, XP_031779399.1, XP_031779394.1	XP_020721531.1, XP_020721525.1, XP_020721530.1
OG0000834	XP_001607087.1, XP_016840033.1, XP_008213704.1, XP_008213703.1	XP_012168056.1, XP_003393407.1
OG0000835	NP_001154989.1, XP_016836997.1	XP_003397475.2
OG0000835	XP_031784287.1, NP_001154968.1	XP_003399682.1
OG0000836	XP_003427950.1, XP_001600169.1	XP_020722762.1
OG0000837	XP_031785521.1, XP_031785523.1, XP_031785524.1, XP_031785519.1, XP_031785520.1	XP_003397404.1, XP_012166829.1, XP_012166828.1
OG0000838	XP_031781334.1, XP_031781318.1, XP_031781326.1	XP_012171244.1, XP_012171252.1
OG0000839	XP_001603584.1, NP_001165964.1, XP_032456548.1, XP_031783698.1, XP_031783705.1, NP_001165963.1	XP_003397297.1, XP_003397300.2
OG0000840	XP_031785625.1	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1
OG0000842	XP_003428187.1	XP_003395726.1
OG0000843	XP_001600667.2, XP_016844989.1	XP_020721707.1, XP_020721708.1, XP_003399517.1, XP_012169962.1, XP_012169961.1
OG0000844	XP_008207314.1, XP_001608127.1	XP_012176282.1, XP_003392928.1
OG0000845	XP_031779699.1	XP_012166912.1, XP_020720248.1
OG0000846	XP_031778962.1	XP_012175295.2, XP_020724151.1, XP_020724153.1, XP_012176310.1, XP_003394317.1, XP_020723870.1
OG0000849	XP_001602816.1	XP_012168166.1
OG0000850	XP_032453468.1, XP_008216202.1, XP_008216203.1	XP_020722106.1
OG0000851	XP_032451854.1, XP_032451855.1, XP_032451853.1, XP_001602999.1	XP_020722809.1
OG0000852	XP_032458189.1, XP_032458188.1, XP_016841908.1, XP_032458187.1, XP_032458186.1, XP_031783811.1, XP_031786708.1	XP_003393795.1
OG0000853	XP_032451871.1, XP_032451873.1, XP_032451872.1, XP_031786272.1, XP_032451874.1, XP_032451877.1, XP_032451876.1, XP_032451878.1, XP_032451875.1	XP_012170145.1
OG0000856	XP_031777092.1	XP_012170655.1
OG0000856	XP_001599699.1	XP_012170595.1
OG0000857	XP_001604312.1	XP_003395095.1
OG0000858	XP_001605289.1	XP_012171446.2
OG0000858	XP_001605273.1	XP_012170951.1
OG0000859	XP_031782644.1, XP_031782643.1, XP_032454634.1	XP_012164139.1, XP_012164154.1, XP_012164160.1, XP_012164147.1
OG0000860	XP_001604397.2	XP_003394311.1
OG0000862	XP_032457677.1, XP_032457678.1, XP_031781729.1, XP_031781730.1, XP_031781727.1, XP_031781728.1, XP_032457675.1, XP_031781726.1	XP_003395982.1
OG0000863	XP_008215956.1, XP_031788340.1	XP_003403039.1, XP_012175002.1, XP_012175001.1
OG0000864	XP_031778701.1	XP_012163958.1
OG0000865	XP_031784596.1, XP_031784602.1, XP_031784601.1, XP_031784604.1, XP_031784603.1, XP_031784597.1, XP_032454911.1, XP_032454912.1, XP_031784600.1, XP_031784598.1, XP_032454909.1, XP_032454910.1	XP_012164079.1, XP_020718611.1
OG0000866	XP_001607406.2	XP_003399480.1
OG0000867	XP_001606804.1	XP_012166142.1, XP_003396980.1, XP_020719315.1, XP_020719313.1, XP_020719314.1
OG0000868	XP_031782157.1, XP_008204022.1	XP_020723310.1
OG0000869	XP_031783495.1, XP_008206503.1	XP_012167588.1, XP_003397889.1
OG0000870	XP_008216315.1	XP_003401670.1, XP_012172959.1, XP_012172958.1
OG0000871	XP_001607708.1	XP_003400941.1
OG0000872	XP_008203441.1, XP_001601907.2	XP_012176769.1
OG0000873	XP_001603702.3	XP_012176736.1
OG0000874	XP_031778722.1, XP_031778720.1, XP_031778723.1, XP_031778724.1, XP_031778721.1	XP_003396333.1, XP_012165312.1, XP_012165311.1
OG0000875	XP_001606373.1, XP_032453891.1, XP_032453889.1, XP_032453890.1	XP_003400299.1, XP_012171080.1
OG0000876	XP_016845645.1, XP_016845643.1, XP_016845642.1, XP_016845644.1	XP_003403104.1, XP_012175097.1, XP_012175096.1
OG0000877	NP_001154936.1, XP_031784310.1	XP_012171004.1, XP_012171005.1, XP_012171009.1, XP_012171010.1, XP_012171003.1, XP_020721912.1, XP_020721911.1, XP_020721910.1, XP_012171011.1
