Orthogroup	Nasonia_vitripennis	Polistes_dominula
OG0001463	XP_001602379.1	XP_015177202.1, XP_015177310.1
OG0001464	NP_001153364.1	XP_015188722.1
OG0001465	XP_032453603.1, NP_001161454.1	XP_015173627.1, XP_015173626.1
OG0001466	NP_001161682.1	XP_015191372.1, XP_015191371.1
OG0001467	XP_031782500.1	XP_015191228.1
OG0001468	NP_001164370.1, XP_031789284.1	XP_015182236.1
OG0001469	XP_001602514.1	XP_015173948.1
OG0001470	XP_032453882.1, XP_008203498.1	XP_015183790.1
OG0001471	XP_008208004.1, XP_001601824.1	XP_015173745.1
OG0001472	NP_001165814.1	XP_015175682.1
OG0001473	XP_031782512.1, XP_016839548.1, XP_016839547.1	XP_015187320.1, XP_015187319.1
OG0001474	XP_001600273.1	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1
OG0001475	XP_001602567.1	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1
OG0001476	XP_031778521.1	XP_015175246.1
OG0001477	XP_008209844.2, XP_031778493.1, XP_032452915.1	XP_015184346.1, XP_015184344.1, XP_015184345.1
OG0001478	XP_001599569.1	XP_015191461.1, XP_015191460.1
OG0001479	NP_001153430.1, NP_001153431.1, XP_031788484.1	XP_015183743.1
OG0001480	XP_001600183.2, XP_008203356.1, XP_016838825.1	XP_015183437.1, XP_015183438.1
OG0001481	XP_016839111.1	XP_015188658.1
OG0001482	XP_008202441.1	XP_015172163.1
OG0001483	XP_016837959.1, XP_031780377.1	XP_015181718.1
OG0001484	XP_031778072.1	XP_015175898.1
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_015177502.1, XP_015178622.1
OG0001486	XP_016839609.1	XP_015175781.1, XP_015175780.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_015182757.1, XP_015182738.1, XP_015182748.1
OG0001488	XP_008217170.1	XP_015181799.1
OG0001489	XP_001605381.1	XP_015176967.1
OG0001490	XP_031785541.1	XP_015178127.1
OG0001490	XP_008205449.1	XP_015178132.1
OG0001491	XP_032456877.1	XP_015172098.1, XP_015172099.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_015174948.1
OG0001493	XP_008216211.1	XP_015191116.1, XP_015191113.1
OG0001494	XP_001602075.1	XP_015188603.1, XP_015188604.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_015178123.1
OG0001496	XP_001603226.2	XP_015186531.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_015182259.1
OG0001499	XP_001604715.2	XP_015177596.1, XP_015176679.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_015185127.1, XP_015185121.1
OG0001502	XP_001600729.2	XP_015186599.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_015183782.1, XP_015183781.1
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_015185019.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_015174265.1, XP_015174264.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_015182578.1
OG0001507	XP_008207502.1, XP_001607887.1	XP_015177328.1, XP_015177327.1
OG0001508	XP_016840258.1, XP_016840259.1	XP_015177702.1
OG0001509	XP_008209597.1	XP_015185640.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_015185130.1
OG0001512	XP_031787727.1	XP_015189317.1, XP_015189383.1
OG0001513	XP_003426035.2	XP_015186717.1
OG0001514	XP_001602311.1	XP_015176729.1, XP_015176728.1
OG0001515	XP_008212670.2	XP_015177834.1, XP_015177833.1
OG0001516	XP_008212093.2	XP_015185898.1, XP_015185899.1
OG0001517	XP_008202933.1	XP_015183612.1, XP_015183607.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_015189264.1
OG0001519	XP_001602334.1	XP_015175798.1
OG0001520	XP_008213297.1, NP_001123264.1	XP_015187128.1
OG0001520	XP_008213377.2	XP_015187111.1, XP_015187110.1
OG0001521	XP_031780024.1	XP_015180263.1
OG0001522	XP_001605107.1	XP_015175123.1
OG0001523	XP_031788417.1	XP_015180935.1, XP_015180937.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_015186809.1
OG0001525	XP_016843586.1, XP_001601499.1	XP_015184938.1
OG0001526	XP_031787170.1	XP_015178598.1, XP_015178596.1
OG0001527	XP_031781489.1	XP_015173864.1, XP_015173865.1, XP_015173863.1
OG0001529	XP_016837523.1	XP_015174994.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_015184383.1, XP_015187852.1
OG0001532	XP_008213314.1, XP_003424261.1	XP_015183811.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_015189494.1
OG0001534	XP_003424346.1	XP_015189643.1
OG0001535	XP_031783319.1	XP_015186975.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_015186566.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_015188456.1
OG0001538	XP_031784266.1, NP_001161243.1	XP_015186818.1, XP_015189908.1
OG0001539	XP_032454016.1	XP_015189287.1
OG0001540	XP_001600172.1	XP_015191170.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_015178821.1, XP_015178820.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_015176705.1, XP_015176695.1
OG0001544	XP_008202338.1	XP_015189852.1, XP_015189814.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_015190983.1
OG0001546	XP_003426901.1	XP_015185052.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_015181840.1
OG0001548	XP_031780231.1	XP_015185434.1
OG0001549	XP_001602105.1	XP_015188164.1
OG0001551	XP_016842120.1, XP_008217464.1	XP_015171737.1
OG0001552	XP_031788326.1	XP_015187635.1
OG0001553	XP_003424529.1	XP_015182983.1, XP_015182982.1
OG0001554	XP_001599461.2	XP_015177936.1
OG0001555	XP_008215528.1	XP_015171140.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_015186765.1
OG0001557	XP_031783542.1	XP_015175627.1
OG0001558	XP_008206364.1	XP_015191297.1
OG0001559	XP_001605046.2	XP_015183022.1
OG0001560	XP_016838086.1	XP_015190671.1
OG0001561	XP_008207143.1	XP_015191824.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_015182895.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_015181815.1, XP_015181822.1
OG0001565	XP_001600537.2	XP_015174966.1
OG0001566	XP_008217133.1	XP_015180952.1, XP_015176802.1, XP_015189627.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_015184022.1, XP_015184019.1, XP_015184017.1
OG0001568	XP_008208431.1	XP_015171293.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_015179612.1, XP_015179613.1, XP_015179614.1
OG0001570	XP_001606837.1	XP_015189116.1
OG0001571	XP_003427777.1	XP_015186942.1, XP_015186945.1, XP_015186944.1
OG0001572	XP_031777942.1	XP_015178634.1, XP_015178635.1, XP_015178633.1
OG0001573	XP_003424638.1	XP_015176456.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_015188741.1, XP_015188739.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_015187477.1, XP_015187476.1
OG0001576	XP_031779387.1	XP_015189138.1
OG0001577	XP_001605704.1	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1
OG0001578	XP_016838610.1	XP_015172760.1, XP_015172758.1, XP_015172759.1, XP_015172755.1, XP_015172756.1, XP_015172754.1
OG0001579	NP_001166052.1	XP_015182527.1, XP_015182525.1
OG0001580	XP_031777421.1	XP_015187407.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_015187930.1
OG0001582	XP_031777144.1	XP_015183090.1
OG0001583	XP_001604253.3	XP_015180361.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_015176021.1
OG0001585	XP_031779984.1	XP_015191710.1
OG0001586	XP_001606047.3	XP_015185311.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_015190749.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_015179867.1, XP_015179870.1
OG0001590	XP_001604808.2	XP_015172057.1
OG0001591	XP_001599648.1	XP_015174470.1, XP_015174467.1, XP_015174468.1
OG0001592	XP_032456153.1	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1
OG0001593	XP_031787902.1	XP_015181273.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_015189340.1
OG0001596	XP_008216151.1	XP_015191635.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_015190339.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_015171493.1
OG0001603	XP_001608057.1	XP_015176177.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_015188043.1, XP_015188050.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_015172640.1
OG0001607	XP_001603195.1	XP_015184717.1, XP_015184716.1
OG0001608	XP_031788132.1	XP_015187299.1, XP_015187300.1, XP_015187301.1
OG0001609	XP_001601232.1	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1
OG0001610	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1	XP_015183214.1
OG0001612	XP_008206969.1	XP_015190931.1, XP_015190929.1, XP_015190928.1
OG0001614	XP_003423886.1	XP_015176267.1, XP_015176276.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_015182550.1
OG0001616	XP_001606115.2	XP_015178045.1, XP_015178047.1
OG0001617	NP_001161324.1	XP_015190684.1
OG0001619	XP_001608124.2	XP_015190429.1
OG0001620	XP_001600828.1	XP_015188860.1
OG0001621	XP_032457372.1	XP_015190659.1
OG0001622	XP_001601070.1	XP_015186727.1, XP_015186728.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_015190034.1, XP_015190040.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_015176544.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_015177101.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_015176231.1
OG0001627	XP_008209881.1	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1
OG0001628	XP_008211373.1	XP_015171937.1
OG0001629	XP_032451650.1	XP_015172088.1
OG0001630	XP_032454709.1	XP_015178835.1
OG0001631	XP_031788348.2	XP_015177368.1, XP_015177373.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_015189426.1, XP_015189425.1
OG0001633	XP_001605824.2	XP_015182014.1
OG0001634	XP_001603395.1	XP_015180733.1
OG0001635	XP_001603971.1	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1
OG0001636	XP_008213391.1	XP_015178335.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_015189563.1, XP_015188558.1, XP_015188556.1
OG0001638	XP_008212555.1	XP_015179077.1
OG0001639	XP_001599645.2	XP_015175995.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1
OG0001641	NP_001161259.1	XP_015171298.1
OG0001642	XP_001606946.2	XP_015178349.1
OG0001643	XP_031781597.1	XP_015187681.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_015180126.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_015172870.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_015183151.1
OG0001648	XP_016842668.1	XP_015188305.1
OG0001649	XP_016839355.1	XP_015174582.1, XP_015174583.1
OG0001650	XP_008215816.1	XP_015172351.1, XP_015172362.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_015178101.1
OG0001652	XP_031776836.1	XP_015172002.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_015182639.1
OG0001655	XP_001603980.2	XP_015177740.1
OG0001656	XP_001606701.1	XP_015182234.1
OG0001657	XP_001606493.1	XP_015185995.1
OG0001658	XP_031787185.1	XP_015172255.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_015178120.1
OG0001660	XP_008217155.1	XP_015181932.1, XP_015181931.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_015174019.1, XP_015174020.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_015187280.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_015188339.1
OG0001664	XP_032455099.1	XP_015171691.1, XP_015171697.1
OG0001665	XP_031786788.1	XP_015173995.1
OG0001666	XP_001606145.2	XP_015173812.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_015184028.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_015190370.1
OG0001670	XP_031781642.1	XP_015171522.1, XP_015171521.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_015190867.1
OG0001672	XP_001606256.1	XP_015172033.1
OG0001674	XP_008213000.1	XP_015184415.1
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_015190090.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_015171676.1
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_015173312.1, XP_015173313.1
OG0001678	XP_001608054.1	XP_015176003.1
OG0001679	XP_001606876.1	XP_015174082.1, XP_015174081.1, XP_015174083.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_015179524.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_015180758.1, XP_015180757.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_015177297.1, XP_015177294.1, XP_015177286.1
OG0001684	XP_008214622.1	XP_015173233.1, XP_015173232.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_015178482.1
OG0001686	XP_031786365.1	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1
OG0001687	XP_008205605.1	XP_015176262.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_015179659.1
OG0001689	XP_001601304.1	XP_015177074.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_015186314.1, XP_015186310.1
OG0001692	XP_031776647.1	XP_015190462.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_015172583.1, XP_015172582.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_015180898.1, XP_015180899.1
OG0001695	XP_001605495.2	XP_015178111.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_015182100.1, XP_015182092.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_015184921.1
OG0001699	XP_001605545.2	XP_015191510.1
OG0001700	XP_003425515.2	XP_015184942.1
OG0001701	XP_001603038.2	XP_015181941.1
OG0001702	XP_001602772.2	XP_015179413.1, XP_015179414.1
OG0001703	XP_031783612.1	XP_015184472.1
OG0001704	XP_031784623.1	XP_015178919.1
OG0001706	XP_001607299.1	XP_015186456.1
OG0001707	XP_031784085.1, XP_031784087.1	XP_015185946.1
OG0001708	XP_032456367.1	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_015171892.1, XP_015171880.1
OG0001711	XP_001604450.1	XP_015179743.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_015186849.1, XP_015186847.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_015184183.1
OG0001714	XP_031784875.1	XP_015173977.1
OG0001715	XP_001602678.2	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1
OG0001716	XP_031788831.1	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_015172875.1
OG0001718	NP_001123321.1	XP_015186676.1, XP_015186675.1, XP_015186674.1
OG0001719	XP_016839634.1	XP_015189225.1
OG0001719	XP_031782819.1	XP_015189226.1
OG0001720	XP_001603454.1	XP_015187771.1
OG0001722	XP_001599948.2	XP_015183513.1
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_015175280.1, XP_015175279.1
OG0001725	XP_008206905.1	XP_015182838.1
OG0001726	XP_016839031.1	XP_015183554.1
OG0001727	XP_031779917.1	XP_015175104.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_015190161.1
OG0001730	XP_016845767.1	XP_015186424.1
OG0001731	XP_001602845.2	XP_015186461.1, XP_015186460.1
OG0001732	XP_032454981.1, XP_001600976.1	XP_015179252.1, XP_015179256.1
OG0001733	XP_031779561.1	XP_015181621.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_015174635.1, XP_015174634.1
OG0001735	XP_031777893.1	XP_015188127.1
OG0001736	XP_008208106.2, XP_016837375.1	XP_015181565.1
OG0001737	XP_001608059.1	XP_015187076.1
OG0001738	XP_031778432.1	XP_015174058.1
OG0001740	XP_031785471.1	XP_015188917.1, XP_015188913.1
OG0001741	XP_001604752.1, XP_016842588.1	XP_015172220.1
OG0001742	XP_031777878.1	XP_015178632.1, XP_015178629.1, XP_015178628.1
OG0001743	XP_003424504.1	XP_015172123.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_015176642.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_015181631.1, XP_015181632.1
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_015177893.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_015187137.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_015176030.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_015171096.1, XP_015171107.1, XP_015171086.1
OG0001751	XP_031788400.1	XP_015178965.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_015172267.1
OG0001754	XP_001605050.1	XP_015179044.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_015181109.1
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_015178162.1
OG0001758	XP_001606851.1	XP_015178263.1
OG0001759	XP_001603531.2	XP_015184280.1
OG0001760	XP_008215927.1	XP_015188230.1
OG0001761	XP_032452364.1, XP_001603471.2	XP_015180608.1, XP_015180607.1
OG0001762	XP_016837803.1	XP_015182502.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_015183777.1, XP_015183776.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_015171787.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_015186387.1
OG0001767	XP_008207626.1	XP_015184699.1, XP_015184700.1
OG0001768	XP_001607572.2	XP_015179106.1
OG0001769	XP_016836818.1	XP_015183571.1
OG0001770	XP_008202168.2, NP_001154978.1, NP_001154980.1, NP_001154981.1, XP_001603404.2, NP_001154979.1, NP_001155025.1, XP_008210287.1, NP_001154974.1, XP_008217956.1, NP_001154975.1, XP_031784171.1	XP_015190509.1
OG0001772	XP_031789545.1	XP_015182109.1
OG0001773	XP_031783227.1	XP_015185590.1, XP_015185589.1, XP_015179978.1, XP_015189844.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	XP_015172916.1, XP_015172915.1, XP_015172655.1
OG0001775	XP_031785563.1	XP_015190417.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_015182852.1, XP_015182851.1, XP_015182850.1
OG0001777	XP_001599602.1	XP_015182894.1
OG0001778	XP_001606733.1	XP_015184509.1, XP_015184510.1
OG0001779	XP_031779220.1	XP_015190052.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_015172198.1
OG0001781	XP_008207023.1	XP_015181541.1
OG0001782	XP_001599355.1	XP_015182964.1
OG0001783	XP_016843291.1	XP_015177531.1
OG0001784	XP_031783677.1, XP_031783676.1	XP_015191381.1, XP_015191380.1
OG0001785	XP_001604175.2	XP_015183238.1
OG0001786	XP_001608245.1, XP_032457057.1	XP_015181662.1
OG0001787	XP_008215237.1	XP_015189726.1, XP_015189724.1, XP_015189725.1
OG0001788	XP_031780973.1, XP_031780965.1	XP_015176807.1
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_015172016.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_015173377.1
OG0001791	XP_001608149.1	XP_015190967.1
OG0001792	XP_001600760.1	XP_015173089.1
OG0001793	XP_008214898.1	XP_015181906.1, XP_015181905.1
OG0001794	XP_001605396.1	XP_015172744.1, XP_015172746.1
OG0001795	XP_001607324.1	XP_015187606.1
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_015181575.1
OG0001797	XP_031778511.1, XP_008207962.1	XP_015174317.1, XP_015174316.1, XP_015174318.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	XP_015181058.1
OG0001800	XP_001603293.1	XP_015182626.1
OG0001801	XP_031786470.1	XP_015189112.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_015184099.1
OG0001803	XP_008216245.1	XP_015173684.1
OG0001804	XP_008216463.1	XP_015172505.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_015183215.1
OG0001806	XP_031778822.1, XP_031778823.1	XP_015172073.1
OG0001807	XP_008210360.2	XP_015175022.1
OG0001808	NP_001136342.1	XP_015178818.1, XP_015178817.1
OG0001809	XP_001599542.2	XP_015191458.1
OG0001810	XP_031778732.1	XP_015187768.1
OG0001811	XP_001604243.1	XP_015179133.1, XP_015179132.1
OG0001812	XP_016838603.1	XP_015184446.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_015176884.1, XP_015176882.1
OG0001814	XP_001606172.1	XP_015189098.1
OG0001815	XP_016843551.1	XP_015187920.1
OG0001816	XP_001600797.1, XP_001602430.1	XP_015182630.1
OG0001817	XP_031778530.1	XP_015175196.1
OG0001818	XP_032452105.1, XP_001606225.1	XP_015172030.1
OG0001819	XP_031782397.1	XP_015172254.1
OG0001820	XP_001601107.1	XP_015191623.1, XP_015191616.1
OG0001821	XP_001606303.4, XP_008203951.2	XP_015181495.1, XP_015181492.1
OG0001822	XP_001603912.2, XP_008202668.1	XP_015171073.1
OG0001823	NP_001135434.1	XP_015176859.1
OG0001824	XP_031782171.1	XP_015189023.1
OG0001826	XP_001606320.1	XP_015177308.1
OG0001827	XP_031784416.1	XP_015182624.1, XP_015182623.1, XP_015182625.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_015174436.1
OG0001829	XP_001607001.1	XP_015178827.1
OG0001830	XP_008210294.1	XP_015178071.1
OG0001831	XP_031788055.1	XP_015174645.1, XP_015174646.1, XP_015174647.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_015181212.1
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_015181683.1
OG0001834	NP_001165788.1	XP_015182779.1
OG0001835	XP_031784847.1	XP_015183122.1
OG0001836	XP_032452667.1	XP_015180630.1, XP_015180614.1
OG0001837	XP_031785035.1, XP_001602132.1	XP_015189164.1
OG0001838	XP_003425218.1	XP_015180604.1, XP_015180605.1
OG0001839	XP_031778745.1	XP_015174931.1
OG0001840	XP_003427589.1	XP_015178155.1
OG0001841	XP_001600825.2	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1
OG0001843	XP_032452489.1	XP_015189252.1
OG0001844	XP_001600994.2	XP_015186283.1, XP_015186282.1
OG0001845	XP_001599772.1, XP_001599672.1, XP_031785182.1	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1
OG0001846	XP_001602119.1	XP_015179950.1
OG0001847	XP_031784075.1, NP_001135845.1	XP_015177683.1
OG0001848	XP_016837498.2	XP_015171583.1
OG0001850	XP_016838533.1, XP_032452540.1, XP_032452543.1, XP_032452537.1, XP_032452534.1	XP_015191839.1
OG0001850	XP_001603955.2	XP_015191837.1
OG0001851	XP_031781505.1	XP_015184861.1
OG0001852	XP_031783963.1	XP_015177102.1
OG0001853	XP_031779560.1, XP_031779559.1	XP_015179541.1
OG0001854	XP_003424613.1	XP_015186318.1
OG0001855	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1	XP_015188895.1
OG0001856	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1	XP_015172642.1
OG0001857	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1	XP_015174873.1, XP_015174875.1
OG0001858	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1	XP_015181165.1
OG0001859	XP_031788809.1	XP_015177708.1
OG0001860	XP_008208667.1, XP_016838277.1	XP_015175115.1, XP_015175116.1, XP_015175118.1, XP_015175117.1
OG0001861	XP_031779274.1, XP_001604531.1	XP_015183897.1
OG0001862	XP_032455409.1, XP_032455410.1, XP_016840903.1	XP_015176316.1
OG0001864	XP_008216930.1, XP_008216933.1	XP_015191388.1
OG0001865	XP_008213688.1	XP_015177898.1, XP_015177903.1
OG0001866	XP_001607499.1, XP_001607501.2, XP_031779743.1	XP_015179699.1
OG0001867	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1	XP_015173866.1
OG0001868	XP_003423929.1, XP_003423930.1	XP_015182245.1
OG0001869	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1	XP_015184920.1
OG0001870	XP_008213110.1, XP_008213111.1, XP_008213109.1	XP_015188975.1
OG0001871	XP_001602810.2	XP_015184971.1
OG0001872	XP_001606141.1	XP_015185508.1
OG0001873	NP_001135849.1, XP_031789337.1, XP_031789333.1	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1
OG0001874	XP_031783282.1	XP_015181225.1
OG0001875	XP_016843737.2, XP_031787829.1	XP_015180928.1
OG0001876	XP_008202206.1, XP_008202205.1	XP_015185316.1
OG0001877	XP_031787040.1, XP_016841057.1	XP_015179522.1, XP_015179520.1
OG0001878	XP_031783645.1	XP_015171151.1
OG0001879	XP_001606632.2	XP_015171396.1, XP_015171398.1, XP_015171397.1, XP_015171399.1
OG0001880	XP_031786774.1, XP_031786778.1, XP_031786771.1	XP_015172835.1
OG0001881	XP_001604825.1, XP_003425165.1	XP_015174193.1, XP_015174194.1, XP_015174192.1
OG0001882	XP_031781968.1, XP_031781973.1	XP_015184076.1
OG0001883	XP_001600206.1	XP_015184878.1
OG0001885	XP_008214621.1	XP_015173241.1
OG0001886	XP_031785450.1	XP_015179758.1, XP_015179757.1, XP_015179756.1
