Orthogroup	Nasonia_vitripennis	Vespa_mandarinia
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_035730779.1, XP_035728266.1
OG0001486	XP_016839609.1	XP_035737270.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_035730037.1
OG0001488	XP_008217170.1	XP_035738110.1
OG0001489	XP_001605381.1	XP_035726010.1
OG0001490	XP_031785541.1	XP_035724088.1
OG0001491	XP_032456877.1	XP_035727119.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_035739387.1
OG0001493	XP_008216211.1	XP_035738712.1, XP_035738727.1, XP_035738733.1
OG0001494	XP_001602075.1	XP_035731260.1, XP_035731259.1, XP_035731258.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_035724055.1, XP_035724053.1, XP_035724054.1, XP_035724052.1
OG0001496	XP_001603226.2	XP_035733812.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_035729500.1
OG0001499	XP_001604715.2	XP_035735460.1, XP_035726067.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_035736059.1, XP_035736056.1
OG0001502	XP_001600729.2	XP_035736178.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_035731138.1
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_035724977.1, XP_035724976.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_035740281.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_035724115.1, XP_035724116.1
OG0001507	XP_008207502.1, XP_001607887.1	XP_035722516.1, XP_035722512.1
OG0001508	XP_016840258.1, XP_016840259.1	XP_035735828.1, XP_035735819.1
OG0001509	XP_008209597.1	XP_035725114.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_035736193.1, XP_035738093.1
OG0001512	XP_031787727.1	XP_035743937.1
OG0001513	XP_003426035.2	XP_035740488.1
OG0001514	XP_001602311.1	XP_035720547.1
OG0001515	XP_008212670.2	XP_035743549.1
OG0001516	XP_008212093.2	XP_035724326.1, XP_035724325.1
OG0001517	XP_008202933.1	XP_035741612.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_035724751.1, XP_035724750.1
OG0001519	XP_001602334.1	XP_035737253.1
OG0001520	XP_008213297.1, NP_001123264.1	XP_035743161.1
OG0001520	XP_008213377.2	XP_035743159.1
OG0001522	XP_001605107.1	XP_035739848.1
OG0001523	XP_031788417.1	XP_035728167.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_035730671.1, XP_035730669.1, XP_035730670.1
OG0001525	XP_016843586.1, XP_001601499.1	XP_035728186.1, XP_035728182.1, XP_035728183.1, XP_035728184.1
OG0001526	XP_031787170.1	XP_035728083.1
OG0001527	XP_031781489.1	XP_035728445.1, XP_035728444.1
OG0001529	XP_016837523.1	XP_035739478.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_035721679.1, XP_035721676.1, XP_035721680.1, XP_035721678.1
OG0001532	XP_008213314.1, XP_003424261.1	XP_035728061.1, XP_035728062.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_035743685.1
OG0001534	XP_003424346.1	XP_035731294.1
OG0001535	XP_031783319.1	XP_035726470.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_035730724.1, XP_035730723.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_035717336.1
OG0001539	XP_032454016.1	XP_035736370.1, XP_035736369.1
OG0001540	XP_001600172.1	XP_035742193.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_035740966.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_035734388.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_035743288.1
OG0001546	XP_003426901.1	XP_035724101.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_035738371.1
OG0001548	XP_031780231.1	XP_035733159.1
OG0001549	XP_001602105.1	XP_035732687.1
OG0001552	XP_031788326.1	XP_035720372.1
OG0001553	XP_003424529.1	XP_035720814.1
OG0001554	XP_001599461.2	XP_035721118.1
OG0001555	XP_008215528.1	XP_035719215.1, XP_035719214.1, XP_035719213.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_035730674.1
OG0001557	XP_031783542.1	XP_035737148.1, XP_035737142.1
OG0001558	XP_008206364.1	XP_035742800.1, XP_035742835.1, XP_035742827.1, XP_035742810.1, XP_035742819.1
OG0001559	XP_001605046.2	XP_035735222.1, XP_035735223.1
OG0001560	XP_016838086.1	XP_035733162.1, XP_035733154.1
OG0001561	XP_008207143.1	XP_035729434.1, XP_035729435.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_035727763.1, XP_035727765.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_035738177.1
OG0001565	XP_001600537.2	XP_035740221.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_035733419.1, XP_035733417.1
OG0001568	XP_008208431.1	XP_035719663.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_035735846.1
OG0001570	XP_001606837.1	XP_035736968.1
OG0001571	XP_003427777.1	XP_035720700.1
OG0001572	XP_031777942.1	XP_035727941.1
OG0001573	XP_003424638.1	XP_035744094.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_035734280.1, XP_035734289.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_035740609.1, XP_035740610.1
OG0001576	XP_031779387.1	XP_035718048.1
OG0001577	XP_001605704.1	XP_035719108.1, XP_035719116.1
OG0001578	XP_016838610.1	XP_035725745.1
OG0001579	NP_001166052.1	XP_035729962.1, XP_035729961.1, XP_035729963.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_035727859.1
OG0001582	XP_031777144.1	XP_035735263.1
OG0001583	XP_001604253.3	XP_035736291.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_035739266.1
OG0001585	XP_031779984.1	XP_035732292.1
OG0001586	XP_001606047.3	XP_035741954.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_035741104.1, XP_035741103.1, XP_035741105.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_035732715.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_035742281.1, XP_035742282.1
OG0001590	XP_001604808.2	XP_035742142.1
OG0001591	XP_001599648.1	XP_035733982.1, XP_035733981.1
OG0001592	XP_032456153.1	XP_035726707.1
OG0001593	XP_031787902.1	XP_035740704.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_035724403.1, XP_035724402.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_035727774.1
OG0001596	XP_008216151.1	XP_035733254.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_035723486.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_035741630.1
OG0001603	XP_001608057.1	XP_035739186.1, XP_035739187.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_035737909.1, XP_035737914.1
OG0001605	XP_031783683.1	XP_035743631.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_035741397.1
OG0001607	XP_001603195.1	XP_035721439.1
OG0001608	XP_031788132.1	XP_035735061.1, XP_035735060.1
OG0001612	XP_008206969.1	XP_035725764.1
OG0001614	XP_003423886.1	XP_035729693.1, XP_035729699.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_035724682.1
OG0001616	XP_001606115.2	XP_035725033.1, XP_035725034.1
OG0001617	NP_001161324.1	XP_035742339.1
OG0001619	XP_001608124.2	XP_035723068.1, XP_035723071.1
OG0001620	XP_001600828.1	XP_035723185.1
OG0001621	XP_032457372.1	XP_035733218.1, XP_035733219.1
OG0001622	XP_001601070.1	XP_035740437.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_035723670.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_035742940.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_035727825.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1
OG0001627	XP_008209881.1	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1
OG0001628	XP_008211373.1	XP_035734380.1
OG0001629	XP_032451650.1	XP_035732347.1
OG0001630	XP_032454709.1	XP_035736770.1, XP_035736774.1
OG0001631	XP_031788348.2	XP_035722044.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_035740780.1
OG0001633	XP_001605824.2	XP_035734051.1
OG0001634	XP_001603395.1	XP_035731640.1
OG0001635	XP_001603971.1	XP_035731776.1
OG0001636	XP_008213391.1	XP_035733127.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_035719918.1
OG0001639	XP_001599645.2	XP_035721241.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_035718059.1, XP_035721841.1, XP_035721840.1
OG0001641	NP_001161259.1	XP_035719662.1
OG0001642	XP_001606946.2	XP_035733123.1
OG0001643	XP_031781597.1	XP_035720944.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_035717414.1, XP_035717415.1, XP_035717412.1, XP_035717413.1, XP_035717411.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_035725754.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_035727074.1
OG0001648	XP_016842668.1	XP_035726598.1
OG0001649	XP_016839355.1	XP_035718504.1
OG0001650	XP_008215816.1	XP_035741136.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_035724993.1
OG0001652	XP_031776836.1	XP_035734304.1, XP_035734303.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_035724315.1
OG0001654	XP_001607435.2, XP_031779458.1	XP_035725123.1
OG0001655	XP_001603980.2	XP_035734720.1
OG0001656	XP_001606701.1	XP_035726949.1, XP_035726948.1, XP_035726947.1
OG0001657	XP_001606493.1	XP_035725974.1
OG0001658	XP_031787185.1	XP_035731335.1, XP_035731338.1, XP_035731334.1, XP_035731337.1, XP_035731333.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_035724064.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_035738618.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_035734917.1, XP_035734912.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_035719506.1
OG0001664	XP_032455099.1	XP_035720672.1, XP_035720670.1
OG0001665	XP_031786788.1	XP_035740169.1
OG0001666	XP_001606145.2	XP_035728853.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_035733407.1, XP_035733405.1, XP_035733406.1, XP_035733404.1, XP_035733403.1, XP_035733402.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_035743908.1
OG0001670	XP_031781642.1	XP_035720954.1, XP_035720953.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_035729073.1, XP_035729072.1
OG0001672	XP_001606256.1	XP_035732415.1, XP_035732416.1, XP_035732414.1
OG0001674	XP_008213000.1	XP_035721929.1
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_035723042.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_035720013.1, XP_035720011.1, XP_035720012.1, XP_035720009.1, XP_035720010.1, XP_035720016.1, XP_035720017.1
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_035728893.1
OG0001678	XP_001608054.1	XP_035739191.1
OG0001679	XP_001606876.1	XP_035739958.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_035731563.1, XP_035731564.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_035718864.1, XP_035718865.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_035722878.1, XP_035722875.1
OG0001683	XP_031782629.1, XP_031782628.1, XP_001603826.1	XP_035737098.1
OG0001684	XP_008214622.1	XP_035723459.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_035731566.1
OG0001686	XP_031786365.1	XP_035736720.1
OG0001687	XP_008205605.1	XP_035732075.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_035735704.1, XP_035735701.1, XP_035735700.1, XP_035735699.1, XP_035735703.1, XP_035735702.1
OG0001689	XP_001601304.1	XP_035727653.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_035741845.1
OG0001692	XP_031776647.1	XP_035722728.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_035723232.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_035736590.1
OG0001695	XP_001605495.2	XP_035724037.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_035737044.1, XP_035737037.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_035728174.1
OG0001699	XP_001605545.2	XP_035743135.1
OG0001700	XP_003425515.2	XP_035727996.1
OG0001701	XP_001603038.2	XP_035733887.1
OG0001702	XP_001602772.2	XP_035735037.1, XP_035735039.1, XP_035735038.1
OG0001703	XP_031783612.1	XP_035719566.1
OG0001704	XP_031784623.1	XP_035725085.1
OG0001706	XP_001607299.1	XP_035730623.1
OG0001707	XP_031784085.1, XP_031784087.1	XP_035732573.1, XP_035732574.1, XP_035732575.1, XP_035732572.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_035727211.1
OG0001710	XP_001607529.1	XP_035718484.1
OG0001711	XP_001604450.1	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_035717949.1, XP_035717946.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_035727580.1
OG0001714	XP_001603310.1, XP_031784875.1	XP_035733669.1
OG0001715	XP_001602678.2	XP_035730023.1
OG0001716	XP_031788831.1	XP_035739670.1, XP_035739663.1
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_035725525.1
OG0001718	NP_001123321.1	XP_035740550.1
OG0001719	XP_016839634.1	XP_035729786.1
OG0001720	XP_001603454.1	XP_035730232.1, XP_035730231.1
OG0001721	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1	XP_035722174.1
OG0001722	XP_001599948.2	XP_035717959.1
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_035724251.1
OG0001725	XP_008206905.1	XP_035727405.1, XP_035727406.1, XP_035727407.1
OG0001726	XP_016839031.1	XP_035725641.1
OG0001727	XP_031779917.1	XP_035738581.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_035723533.1, XP_035723531.1
OG0001730	XP_016845767.1	XP_035718931.1, XP_035718936.1, XP_035718938.1
OG0001731	XP_001602845.2	XP_035730629.1, XP_035730630.1
OG0001732	XP_032454981.1, XP_001600976.1	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1
OG0001733	XP_031779561.1	XP_035739692.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_035724184.1, XP_035724191.1
OG0001735	XP_031777893.1	XP_035740869.1
OG0001736	XP_008208106.2, XP_016837375.1	XP_035736510.1
OG0001737	XP_001608059.1	XP_035723339.1, XP_035723341.1, XP_035723340.1
OG0001738	XP_031778432.1	XP_035728779.1
OG0001740	XP_031785471.1	XP_035723606.1, XP_035723601.1
OG0001741	XP_001604752.1, XP_016842588.1	XP_035728835.1, XP_035728834.1
OG0001742	XP_031777878.1	XP_035727937.1, XP_035727936.1
OG0001743	XP_003424504.1	XP_035734201.1, XP_035734202.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_035725897.1, XP_035725889.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_035736546.1
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_035737436.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_035733691.1, XP_035733815.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_035721521.1, XP_035721527.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_035729052.1, XP_035729053.1
OG0001751	XP_031788400.1	XP_035736886.1, XP_035736887.1, XP_035736884.1, XP_035736882.1, XP_035736885.1, XP_035736888.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_035729016.1, XP_035729014.1, XP_035729015.1, XP_035729017.1
OG0001754	XP_001605050.1	XP_035736905.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_035736336.1
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_035724490.1
OG0001758	XP_001606851.1	XP_035724233.1
OG0001759	XP_001603531.2	XP_035726260.1, XP_035726259.1
OG0001760	XP_008215927.1	XP_035719167.1, XP_035719165.1, XP_035719166.1, XP_035719168.1
OG0001761	XP_032452364.1, XP_001603471.2	XP_035718203.1, XP_035718202.1, XP_035718201.1, XP_035718204.1, XP_035718200.1
OG0001762	XP_016837803.1	XP_035729964.1, XP_035729965.1, XP_035729966.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_035730909.1, XP_035730910.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_035734372.1, XP_035734151.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_035726400.1
OG0001767	XP_008207626.1	XP_035739192.1
OG0001768	XP_001607572.2	XP_035739764.1
OG0001769	XP_016836818.1	XP_035725245.1
OG0001770	XP_008202168.2, NP_001154978.1, NP_001154980.1, NP_001154981.1, XP_001603404.2, NP_001154979.1, NP_001155025.1, XP_008210287.1, NP_001154974.1, XP_008217956.1, NP_001154975.1, XP_031784171.1	XP_035717272.1
OG0001772	XP_031789545.1	XP_035728672.1
OG0001773	XP_031783227.1	XP_035723714.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	XP_035734709.1
OG0001775	XP_031785563.1	XP_035722727.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_035727441.1
OG0001777	XP_001599602.1	XP_035743010.1, XP_035723112.1
OG0001778	XP_001606733.1	XP_035719209.1, XP_035719207.1, XP_035719208.1
OG0001779	XP_031779220.1	XP_035723057.1, XP_035723059.1, XP_035723058.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_035720164.1
OG0001781	XP_008207023.1	XP_035739689.1
OG0001782	XP_001599355.1	XP_035720277.1
OG0001783	XP_016843291.1	XP_035735275.1
OG0001784	XP_031783677.1, XP_031783676.1	XP_035742842.1
OG0001785	XP_001604175.2	XP_035727090.1
OG0001786	XP_001608245.1, XP_032457057.1	XP_035739679.1
OG0001787	XP_008215237.1	XP_035737845.1, XP_035737844.1, XP_035737847.1, XP_035737846.1, XP_035737848.1
OG0001788	XP_031780973.1, XP_031780965.1	XP_035720898.1
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_035734071.1, XP_035734072.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_035729403.1, XP_035729395.1
OG0001791	XP_001608149.1	XP_035718692.1, XP_035718691.1
OG0001792	XP_001600760.1	XP_035723572.1, XP_035723571.1
OG0001793	XP_008214898.1	XP_035738047.1
OG0001794	XP_001605396.1	XP_035741806.1, XP_035741807.1
OG0001795	XP_001607324.1	XP_035720860.1
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_035736721.1
OG0001797	XP_031778511.1, XP_008207962.1	XP_035738575.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	XP_035732908.1
OG0001800	XP_001603293.1	XP_035724318.1
OG0001801	XP_031786470.1	XP_035736900.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_035733457.1, XP_035733455.1, XP_035733456.1
OG0001803	XP_008216245.1	XP_035741393.1
OG0001804	XP_008216463.1	XP_035742224.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_035735349.1
OG0001806	XP_031778822.1, XP_031778823.1	XP_035735734.1
OG0001807	XP_008210360.2	XP_035734427.1, XP_035734428.1, XP_035734426.1, XP_035734429.1, XP_035734430.1, XP_035734425.1
OG0001808	NP_001136342.1	XP_035722381.1
OG0001809	XP_001599542.2	XP_035743450.1
OG0001810	XP_031778732.1	XP_035730273.1
OG0001811	XP_001604243.1	XP_035742695.1, XP_035742697.1, XP_035742699.1, XP_035742698.1
OG0001812	XP_016838603.1	XP_035730716.1, XP_035730717.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_035721231.1
OG0001814	XP_001606172.1	XP_035737109.1
OG0001815	XP_016843551.1	XP_035727864.1
OG0001816	XP_001600797.1, XP_001602430.1	XP_035724657.1
OG0001817	XP_031778530.1	XP_035731560.1
OG0001818	XP_032452105.1, XP_001606225.1	XP_035732407.1
OG0001819	XP_031782397.1	XP_035731373.1
OG0001820	XP_001601107.1	XP_035733253.1
OG0001821	XP_001606303.4, XP_008203951.2	XP_035737059.1, XP_035737060.1
OG0001822	XP_001603912.2, XP_008202668.1	XP_035718893.1
OG0001823	NP_001135434.1	XP_035727906.1
OG0001824	XP_031782171.1	XP_035720255.1, XP_035720254.1
OG0001826	XP_001606320.1	XP_035722834.1
OG0001827	XP_031784416.1	XP_035723798.1, XP_035723796.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_035738445.1
OG0001829	XP_001607001.1	XP_035731878.1, XP_035731877.1
OG0001830	XP_008210294.1	XP_035724192.1
OG0001831	XP_031788055.1	XP_035743790.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_035740718.1
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_035720137.1
OG0001834	NP_001165788.1	XP_035739846.1
OG0001835	XP_031784847.1	XP_035726862.1
OG0001836	XP_032452667.1	XP_035718737.1, XP_035718713.1
OG0001837	XP_031785035.1, XP_001602132.1	XP_035743754.1
OG0001838	XP_003425218.1	XP_035718209.1
OG0001839	XP_031778745.1	XP_035739361.1
OG0001840	XP_003427589.1	XP_035724224.1, XP_035724225.1, XP_035724219.1, XP_035724223.1, XP_035724221.1, XP_035724220.1
OG0001841	XP_001600825.2	XP_035730129.1, XP_035730125.1, XP_035730124.1, XP_035730130.1, XP_035730126.1, XP_035730127.1
OG0001842	XP_001602441.1	XP_035728617.1
OG0001843	XP_032452489.1	XP_035729710.1
OG0001844	XP_001600994.2	XP_035741777.1
OG0001845	XP_001599772.1, XP_001599672.1, XP_031785182.1	XP_035737471.1
OG0001846	XP_001602119.1	XP_035732652.1, XP_035732653.1
OG0001847	XP_031784075.1, NP_001135845.1	XP_035735462.1
OG0001848	XP_016837498.2	XP_035743093.1, XP_035743092.1
OG0001850	XP_001603955.2	XP_035731386.1
OG0001851	XP_031781505.1	XP_035731465.1, XP_035731466.1
OG0001852	XP_031783963.1	XP_035727695.1
OG0001853	XP_031779560.1, XP_031779559.1	XP_035734442.1
OG0001854	XP_003424613.1	XP_035731814.1
OG0001855	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1	XP_035723472.1
OG0001856	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1	XP_035734477.1
OG0001857	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1	XP_035717416.1
OG0001858	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1	XP_035736318.1, XP_035736320.1, XP_035736317.1
OG0001859	XP_031788809.1	XP_035743154.1
OG0001860	XP_008208667.1, XP_016838277.1	XP_035738656.1
OG0001861	XP_031779274.1, XP_001604531.1	XP_035728169.1
OG0001862	XP_032455409.1, XP_032455410.1, XP_016840903.1	XP_035729587.1
OG0001864	XP_008216930.1, XP_008216933.1	XP_035742416.1, XP_035742413.1, XP_035742411.1, XP_035742415.1, XP_035742392.1, XP_035742400.1, XP_035742414.1, XP_035742409.1
OG0001865	XP_008213688.1	XP_035731925.1
OG0001866	XP_001607499.1, XP_001607501.2, XP_031779743.1	XP_035735805.1
OG0001867	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1	XP_035741376.1, XP_035741377.1, XP_035741378.1, XP_035741374.1, XP_035741375.1
OG0001868	XP_003423929.1, XP_003423930.1	XP_035729430.1
OG0001869	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1	XP_035728194.1
OG0001870	XP_008213110.1, XP_008213111.1, XP_008213109.1	XP_035724411.1, XP_035724410.1
OG0001871	XP_001602810.2	XP_035724909.1
OG0001872	XP_001606141.1	XP_035737536.1
OG0001873	NP_001135849.1, XP_031789337.1, XP_031789333.1	XP_035734797.1, XP_035734798.1
OG0001874	XP_031783282.1	XP_035742159.1
OG0001875	XP_016843737.2, XP_031787829.1	XP_035728046.1
OG0001876	XP_008202206.1, XP_008202205.1	XP_035726498.1
OG0001877	XP_031787040.1, XP_016841057.1	XP_035735144.1, XP_035735142.1
OG0001878	XP_031783645.1	XP_035719276.1, XP_035719280.1
OG0001879	XP_001606632.2	XP_035719312.1, XP_035719311.1, XP_035719310.1
OG0001880	XP_031786774.1, XP_031786778.1, XP_031786771.1	XP_035734673.1
OG0001882	XP_031781968.1, XP_031781973.1	XP_035733311.1, XP_035733305.1
OG0001883	XP_001600206.1	XP_035735348.1
OG0001885	XP_008214621.1	XP_035729348.1
OG0001886	XP_031785450.1	XP_035735965.1
OG0001887	XP_016840834.1	XP_035724359.1
OG0001888	XP_001604555.2, XP_031781367.1	XP_035720564.1
OG0001889	XP_001608169.1	XP_035738527.1
OG0001891	XP_016840682.1, XP_031785164.1	XP_035723898.1
OG0001892	XP_031780675.1	XP_035743999.1
OG0001893	XP_031780757.1	XP_035717988.1
OG0001894	XP_008210932.1	XP_035733527.1
OG0001895	XP_031787844.1, XP_031787851.1, XP_031787846.1	XP_035720126.1, XP_035720116.1
OG0001896	XP_016838553.1, XP_016838549.1	XP_035719576.1, XP_035719577.1, XP_035719575.1
OG0001897	XP_001601168.1	XP_035738097.1, XP_035738098.1, XP_035738099.1
OG0001898	XP_031786285.1, XP_031786233.1, XP_001604787.3, XP_016843937.1	XP_035726006.1
OG0001899	XP_016841545.1	XP_035718024.1, XP_035718023.1, XP_035718020.1, XP_035718021.1
OG0001900	XP_001606107.2	XP_035731396.1
OG0001901	XP_001604350.2	XP_035731136.1, XP_035731137.1
OG0001902	XP_001605445.1	XP_035743519.1, XP_035743521.1
OG0001903	XP_016844247.1	XP_035737662.1
OG0001904	XP_031779842.1	XP_035719459.1
OG0001905	XP_031785555.1	XP_035724466.1
OG0001906	XP_032458034.1	XP_035718233.1
OG0001907	XP_016843397.1	XP_035730581.1
OG0001908	NP_001155084.1, XP_008207737.1	XP_035742812.1
OG0001909	XP_032456056.1	XP_035736047.1, XP_035736046.1
OG0001910	XP_008201822.1	XP_035743101.1, XP_035743100.1, XP_035743099.1, XP_035743098.1, XP_035743097.1
