Orthogroup	Nasonia_vitripennis	Habropoda_laboriosa
OG0001198	XP_001603648.2	XP_017793237.1
OG0001199	XP_016845582.1, XP_001603603.1, XP_008210843.1, XP_008210844.1, XP_031783743.1	XP_017794193.1
OG0001201	XP_031789517.1	XP_017794988.1
OG0001202	XP_001605991.1	XP_017793302.1
OG0001203	XP_031786379.1, XP_031786388.1	XP_017793585.1
OG0001203	XP_031778235.1	XP_017798964.1
OG0001204	XP_016845347.1	XP_017790875.1
OG0001205	XP_016845249.1	XP_017791872.1
OG0001205	XP_001608005.2	XP_017791131.1
OG0001206	NP_001164440.1, XP_016840293.1, XP_016840141.1, NP_001164439.1, XP_016840415.1, XP_016840420.1, XP_001603374.2, XP_001603488.1	XP_017791642.1
OG0001207	XP_001600298.1, XP_032451746.1, XP_016845612.1	XP_017791509.1
OG0001209	XP_008204166.1, XP_001602028.2	XP_017789063.1
OG0001210	XP_032451692.1	XP_017790399.1
OG0001211	XP_031780375.1, XP_032451743.1, XP_031787419.1, XP_001599348.1	XP_017787783.1
OG0001212	XP_003427293.1, XP_031782068.1, XP_016840065.1	XP_017799297.1
OG0001214	XP_031788610.1, NP_001153354.1	XP_017789681.1
OG0001215	XP_001606085.1	XP_017798547.1, XP_017798546.1
OG0001216	XP_008212669.1, XP_008212668.1, XP_001607154.1, XP_003424094.1	XP_017794283.1
OG0001217	XP_008208960.1, XP_008208961.1, XP_032457629.1, XP_008208957.1	XP_017792789.1, XP_017792788.1
OG0001218	XP_031780901.1, XP_031780894.1	XP_017789176.1
OG0001219	XP_001600086.1, XP_016839466.1	XP_017794970.1, XP_017794969.1, XP_017794971.1
OG0001220	XP_032451978.1	XP_017794910.1
OG0001222	XP_003424722.1	XP_017791866.1
OG0001223	XP_031783617.1	XP_017793281.1, XP_017793280.1, XP_017793279.1
OG0001224	XP_031783437.1, XP_001606683.2	XP_017794876.1, XP_017794877.1
OG0001226	XP_003423948.1	XP_017791766.1, XP_017791767.1, XP_017791768.1
OG0001227	XP_001601650.2	XP_017794326.1
OG0001228	XP_008206068.1, XP_016841318.1, XP_031786999.1	XP_017796637.1
OG0001229	NP_001153391.1, XP_031787432.1	XP_017797851.1
OG0001230	XP_031779835.1	XP_017792169.1
OG0001231	XP_003424718.1	XP_017789848.1
OG0001232	XP_008201738.1	XP_017792305.1
OG0001233	XP_016841983.1	XP_017788868.1
OG0001234	XP_031789576.1, XP_016838011.1, XP_008215436.1, XP_008215437.1, XP_001606923.2	XP_017791314.1
OG0001236	XP_008214895.1, XP_032455166.1, XP_032455167.1, XP_008214894.1	XP_017794895.1
OG0001237	XP_008203577.1	XP_017792990.1
OG0001238	XP_016839677.1, XP_031778698.1	XP_017791251.1, XP_017791249.1
OG0001239	XP_031783524.1	XP_017797854.1
OG0001240	XP_032452317.1	XP_017789228.1
OG0001241	XP_008202652.1	XP_017790274.1
OG0001242	XP_031782443.1	XP_017792291.1, XP_017792290.1
OG0001243	XP_008201890.1, XP_001606631.2, XP_031788415.1	XP_017793502.1
OG0001244	XP_001598989.2	XP_017793483.1
OG0001245	XP_031778442.1, XP_016844253.1, XP_016844252.1	XP_017790098.1
OG0001246	XP_001603526.2	XP_017790026.1
OG0001247	XP_031786079.1	XP_017791643.1
OG0001248	XP_003426352.2	XP_017788567.1
OG0001249	XP_001606387.1	XP_017792076.1
OG0001250	XP_008203591.2	XP_017791228.1
OG0001251	XP_016839272.1	XP_017796273.1
OG0001253	XP_032454163.1, XP_001604499.2	XP_017790271.1
OG0001255	XP_031786642.1, XP_016845322.1, XP_031786647.1, XP_031786649.1, XP_031786645.1, XP_031786646.1, XP_031786644.1, XP_031786643.1	XP_017795498.1
OG0001256	XP_008216603.1	XP_017789195.1
OG0001257	XP_001605171.1	XP_017793031.1
OG0001258	XP_031785068.1	XP_017798081.1
OG0001259	XP_001602978.1	XP_017797391.1
OG0001259	XP_008210873.2	XP_017797413.1
OG0001260	XP_031784155.1	XP_017793568.1, XP_017793567.1, XP_017793569.1
OG0001261	XP_003426500.1	XP_017791159.1
OG0001262	XP_003427006.1	XP_017797401.1
OG0001263	XP_032455387.1, XP_031785199.1, XP_031785198.1, XP_031785197.1, XP_031785196.1	XP_017797309.1
OG0001264	XP_008210590.1, XP_032455062.1, XP_031785022.1, XP_001604690.1, XP_008210588.1, XP_008210589.1	XP_017795290.1, XP_017795289.1
OG0001265	XP_001603835.2	XP_017798006.1
OG0001266	XP_031785041.1	XP_017795077.1
OG0001267	XP_016838148.1	XP_017787420.1
OG0001268	XP_008204079.1	XP_017794719.1, XP_017787623.1
OG0001269	XP_008212176.1, XP_008212177.1	XP_017794314.1
OG0001270	XP_001607738.1, XP_003423835.1	XP_017791916.1
OG0001271	XP_016839228.2, XP_001603100.3, XP_032453914.1	XP_017787977.1
OG0001272	NP_001128394.1	XP_017793344.1
OG0001273	XP_031779768.1	XP_017792157.1
OG0001274	XP_032455581.1, XP_008211194.1	XP_017793673.1
OG0001275	XP_016843922.1, XP_016843921.1	XP_017795918.1, XP_017795917.1
OG0001277	XP_032452715.1, XP_031778793.1, XP_016838376.1	XP_017789364.1
OG0001278	XP_001607447.1	XP_017799281.1
OG0001279	XP_031784720.1	XP_017797185.1
OG0001280	XP_001603582.2, XP_008216915.1	XP_017795758.1
OG0001281	XP_008215096.2	XP_017796815.1, XP_017796814.1
OG0001282	XP_031778437.1	XP_017789626.1
OG0001283	XP_031788385.1, XP_031788374.1	XP_017787817.1
OG0001284	XP_031779643.1	XP_017789264.1
OG0001286	XP_001602489.1	XP_017794682.1
OG0001287	XP_016845176.2	XP_017799309.1
OG0001288	XP_001600075.1	XP_017794630.1
OG0001289	XP_001603940.1, XP_008202665.1, XP_008202664.1	XP_017790186.1
OG0001290	XP_001605003.2	XP_017799143.1
OG0001291	XP_016845465.1	XP_017787574.1
OG0001292	XP_016844342.1	XP_017794711.1
OG0001293	XP_001605773.2	XP_017791613.1, XP_017791614.1
OG0001294	XP_031784398.1, NP_001177860.1	XP_017791867.1
OG0001295	XP_031785480.1	XP_017795856.1
OG0001296	XP_031780598.1	XP_017791538.1
OG0001298	XP_001603521.1	XP_017794351.1
OG0001299	XP_001603317.1	XP_017791479.1
OG0001300	XP_001605636.1, XP_008203410.1, XP_008203409.1, XP_008203412.1, XP_032453849.1, XP_032453850.1, XP_001601102.1	XP_017794851.1
OG0001301	XP_001602613.1	XP_017790952.1
OG0001302	XP_032455800.1, XP_016840440.1	XP_017799006.1, XP_017799004.1
OG0001303	XP_031782037.1, XP_031782039.1	XP_017787889.1
OG0001304	XP_032452034.1, XP_001602365.1	XP_017796582.1
OG0001305	XP_031789469.1	XP_017797111.1, XP_017787786.1, XP_017797135.1
OG0001306	XP_031786527.1, XP_031786524.1	XP_017792109.1, XP_017792103.1
OG0001307	XP_016838472.1, XP_016838468.1	XP_017793580.1, XP_017793581.1
OG0001308	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1	XP_017791535.1
OG0001310	XP_016841187.1	XP_017795523.1
OG0001312	XP_001604271.1	XP_017798013.1, XP_017798014.1
OG0001313	XP_001603048.1	XP_017798370.1
OG0001314	XP_031783093.1, XP_016839081.1	XP_017794954.1
OG0001315	XP_008216865.1, XP_032456015.1	XP_017794688.1
OG0001316	XP_008206800.1	XP_017799149.1
OG0001317	XP_001604048.2	XP_017797048.1
OG0001318	XP_031784182.1	XP_017795381.1
OG0001320	XP_016845887.1, XP_008214189.1, XP_001599838.1	XP_017798369.1
OG0001321	XP_016843637.1	XP_017794025.1
OG0001322	XP_001606712.2, XP_031784354.1	XP_017796027.1
OG0001323	XP_001600757.1	XP_017793063.1
OG0001323	XP_001600857.1	XP_017793532.1
OG0001324	XP_031778431.1, XP_031779772.1, XP_031784078.1, XP_031783013.1	XP_017793837.1
OG0001328	NP_001127781.1, XP_008201861.1	XP_017789480.1
OG0001329	XP_001602942.2	XP_017795671.1
OG0001330	XP_031784594.1, XP_016840913.1	XP_017798173.1
OG0001331	XP_001604681.1, XP_032453951.1	XP_017791167.1
OG0001332	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2	XP_017791396.1, XP_017791323.1
OG0001333	XP_031786693.1	XP_017797324.1
OG0001334	XP_031788371.2	XP_017791000.1, XP_017791067.1
OG0001335	XP_032455686.1	XP_017790167.1
OG0001336	XP_003427227.1, XP_003427226.1, XP_032454792.1	XP_017792872.1
OG0001337	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1	XP_017790338.1
OG0001338	XP_031781497.1	XP_017792954.1
OG0001339	XP_016838241.1	XP_017788142.1
OG0001340	XP_008217856.1, XP_008217855.1	XP_017787707.1, XP_017787708.1
OG0001341	NP_001153453.1, XP_031779954.1, XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1	XP_017795388.1
OG0001342	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1	XP_017788387.1
OG0001343	XP_001601945.2	XP_017798551.1, XP_017798665.1
OG0001344	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1	XP_017791191.1
OG0001345	XP_031779614.1, XP_031779613.1, XP_031779615.1	XP_017790730.1
OG0001346	XP_031784481.1, XP_008210966.1, XP_016845924.1	XP_017796462.1
OG0001347	XP_001604698.1, XP_008216502.1, XP_008216503.1	XP_017796171.1
OG0001348	XP_001606863.2	XP_017791185.1
OG0001349	XP_001602614.1, XP_032455495.1	XP_017795887.1
OG0001350	XP_001605715.1	XP_017789757.1
OG0001352	XP_032451869.1	XP_017791357.1, XP_017791358.1
OG0001353	XP_016844059.1	XP_017791776.1
OG0001355	XP_008216928.1, XP_016844928.1, XP_032455994.1, XP_032455995.1	XP_017796204.1
OG0001356	XP_031778484.1	XP_017793554.1
OG0001358	XP_008214674.1, XP_031786190.1	XP_017791793.1
OG0001359	XP_008202436.1, NP_001161242.1, XP_008213830.1	XP_017798445.1
OG0001360	XP_008201802.1	XP_017787809.1
OG0001361	XP_008207741.1, XP_031781504.1	XP_017794937.1
OG0001362	XP_008212411.1, XP_031778926.1	XP_017796002.1
OG0001363	XP_001603876.1	XP_017788057.1, XP_017797183.1
OG0001364	XP_031784670.1, XP_031782456.1, XP_016838632.1, XP_008204291.1	XP_017798053.1
OG0001365	XP_031783221.1, XP_008205206.1, XP_031783220.1	XP_017793507.1
OG0001366	XP_031785741.1	XP_017789779.1
OG0001367	XP_001607620.2, XP_032452776.1, XP_032452777.1, XP_032452775.1	XP_017789592.1
OG0001368	XP_016843234.1, XP_032456342.1	XP_017797669.1
OG0001369	XP_001603580.1, XP_001604815.1	XP_017787776.1
OG0001370	XP_031782058.1, XP_016839949.2, XP_016839948.2, XP_031782054.1, XP_031782055.1, XP_031782056.1, XP_031782057.1	XP_017790328.1
OG0001371	XP_008206388.1, XP_008206386.1, XP_008206387.1, XP_032454229.1	XP_017789071.1
OG0001372	XP_008215222.1	XP_017795493.1, XP_017795662.1
OG0001373	XP_032455323.1, XP_008211543.1	XP_017797550.1, XP_017797549.1
OG0001374	XP_016839749.1, XP_001601730.2	XP_017787974.1
OG0001375	XP_031781862.1	XP_017793823.1
OG0001376	XP_001604095.1	XP_017788540.1
OG0001377	XP_001602249.2	XP_017796218.1, XP_017796217.1
OG0001378	XP_031779623.1	XP_017791638.1
OG0001379	XP_008215244.1	XP_017795741.1
OG0001380	XP_001600076.1	XP_017793818.1
OG0001381	XP_016840301.1, NP_001123273.1, XP_031777621.1	XP_017797160.1
OG0001382	XP_031778337.1, NP_001136324.1, XP_001607300.1	XP_017790870.1
OG0001383	XP_031778494.1	XP_017789683.1
OG0001384	XP_008203379.1, XP_031783653.1	XP_017790283.1
OG0001385	XP_016843471.1	XP_017790663.1
OG0001386	XP_031785711.1	XP_017789786.1
OG0001387	XP_001600628.1	XP_017788586.1
OG0001388	XP_016839954.1	XP_017793374.1
OG0001389	XP_016838503.1, XP_016838497.1	XP_017798200.1
OG0001390	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1	XP_017788795.1
OG0001391	XP_031780571.1, XP_001603996.1	XP_017793959.1
OG0001393	XP_008215399.2, XP_008215395.1	XP_017787863.1
OG0001394	XP_001605729.1	XP_017798918.1
OG0001395	XP_016839204.1	XP_017788748.1
OG0001396	XP_008202634.1	XP_017799054.1
OG0001397	XP_016844742.2	XP_017791451.1
OG0001398	XP_008209743.1	XP_017789423.1
OG0001399	XP_031789445.1	XP_017799057.1, XP_017799056.1
OG0001401	XP_001608147.1, XP_031788358.1	XP_017794782.1
OG0001402	XP_001601941.1	XP_017789362.1
OG0001403	XP_016843505.1	XP_017795520.1, XP_017795521.1
OG0001405	XP_001602174.1	XP_017789740.1
OG0001406	XP_001602260.2	XP_017795275.1
OG0001407	XP_031780689.1	XP_017792269.1, XP_017792268.1
OG0001408	NP_001229367.1	XP_017791999.1
OG0001409	XP_008216652.1	XP_017793273.1, XP_017793278.1
OG0001410	XP_016845424.1	XP_017798015.1
OG0001412	XP_031780326.1	XP_017796997.1
OG0001413	XP_003425582.1	XP_017798877.1
OG0001414	XP_001603315.1	XP_017789735.1
OG0001415	XP_016845728.1	XP_017788202.1
OG0001416	XP_032453422.1, XP_031780074.1	XP_017797924.1, XP_017796560.1
OG0001417	XP_001603474.2	XP_017790300.1
OG0001418	XP_008205143.1	XP_017797835.1
OG0001419	XP_031780519.1	XP_017789761.1
OG0001420	XP_016844953.1, XP_008217077.1, XP_008217075.1, XP_008217076.1, XP_008217074.1, XP_001605946.3	XP_017790537.1
OG0001421	XP_031781761.1	XP_017797627.1
OG0001422	XP_031782188.1	XP_017792051.1
OG0001423	XP_001604317.2, XP_032454830.1	XP_017799000.1
OG0001424	XP_001600263.1, XP_032452738.1, XP_031779228.1	XP_017797427.1
OG0001425	XP_008207268.1, XP_008207272.1, XP_001607404.2, XP_032456387.1, XP_003426697.1, XP_003426696.1	XP_017799098.1
OG0001426	XP_008211483.1, XP_008211480.1	XP_017788995.1
OG0001427	XP_031777486.1, XP_032457329.1, XP_031777482.1, XP_031777485.1, XP_031777484.1, XP_032457328.1, XP_032457331.1, XP_032457330.1, XP_032457333.1, XP_032457332.1, XP_032457335.1, XP_031777487.1, XP_032457334.1	XP_017797929.1
OG0001428	XP_031778783.1	XP_017792204.1
OG0001429	XP_016843680.1, XP_001607850.1	XP_017797335.1
OG0001430	XP_031785396.1	XP_017791857.1
OG0001432	XP_008203416.1, XP_008203417.1, XP_031783597.1, XP_031783599.1, XP_031783598.1, XP_001601402.2	XP_017794814.1
OG0001433	XP_016845848.1, XP_016845847.1, XP_001605847.1, XP_032451894.1	XP_017791205.1
OG0001434	XP_008215594.1	XP_017795012.1
OG0001436	XP_031781352.1	XP_017798787.1
OG0001437	XP_032453529.1, XP_008213263.1	XP_017791426.1
OG0001438	XP_031788882.1, XP_031788941.1	XP_017791377.1
OG0001439	XP_031780726.1, XP_031780725.1, XP_031780723.1, XP_031780724.1	XP_017789580.1
OG0001440	XP_001602114.1	XP_017788121.1
OG0001442	XP_001606337.3	XP_017789976.1, XP_017792634.1
OG0001443	XP_001603355.2, XP_016839483.1	XP_017796463.1
OG0001443	XP_031785694.1, XP_008213214.3, XP_008213218.1	XP_017788958.1
OG0001444	XP_031784662.1	XP_017793576.1
OG0001444	XP_031784621.1	XP_017792117.1
OG0001445	XP_008211201.1	XP_017796099.1
OG0001446	XP_031779133.1, XP_031779135.1, XP_031779136.1	XP_017789413.1
OG0001448	XP_031780760.1	XP_017798374.1
OG0001449	XP_032454374.1, XP_032454370.1, XP_032454371.1, XP_032454363.1, XP_032454369.1, XP_032454373.1, XP_031783207.1, XP_032454375.1	XP_017787705.1
OG0001451	XP_032456588.1, XP_032456585.1, XP_032456584.1, XP_008217178.1, XP_031787841.1, XP_032456586.1, XP_032456589.1, XP_032456587.1, XP_032456583.1, XP_008217175.1, XP_008217176.1	XP_017795574.1
OG0001453	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1	XP_017792327.1
OG0001455	XP_001603088.1	XP_017791217.1
OG0001456	XP_001605559.2	XP_017795971.1
OG0001457	XP_001608297.1	XP_017791437.1
OG0001458	XP_008202697.1	XP_017797735.1
OG0001459	XP_001605881.1	XP_017794179.1
OG0001460	XP_031782639.1, XP_031782638.1	XP_017787921.1
OG0001461	XP_001602569.1, XP_031780556.1, XP_008204854.1	XP_017790724.1
OG0001462	NP_001164526.1	XP_017797572.1
OG0001463	XP_001602379.1	XP_017792066.1
OG0001464	NP_001153364.1	XP_017789055.1
OG0001465	XP_032453603.1, NP_001161454.1	XP_017795974.1
OG0001466	NP_001161682.1	XP_017789105.1, XP_017789014.1
OG0001467	XP_031782500.1	XP_017795664.1
OG0001468	NP_001164370.1, XP_031789284.1	XP_017790960.1
OG0001469	XP_001602514.1	XP_017792845.1
OG0001470	XP_032453882.1, XP_008203498.1	XP_017790397.1
OG0001471	XP_008208004.1, XP_001601824.1	XP_017788084.1
OG0001473	XP_031782512.1, XP_016839548.1, XP_016839547.1	XP_017796519.1
OG0001474	XP_001600273.1	XP_017789690.1
OG0001475	XP_001602567.1	XP_017799291.1
OG0001476	XP_031778521.1	XP_017787599.1
OG0001477	XP_008209844.2, XP_031778493.1, XP_032452915.1	XP_017792429.1
OG0001478	XP_001599569.1	XP_017794297.1
OG0001479	NP_001153430.1, NP_001153431.1, XP_031788484.1	XP_017793032.1
OG0001480	XP_001600183.2, XP_008203356.1, XP_016838825.1	XP_017795270.1
OG0001481	XP_016839111.1	XP_017788580.1
OG0001482	XP_008202441.1	XP_017798332.1, XP_017798331.1
OG0001483	XP_016837959.1, XP_031780377.1	XP_017796274.1
OG0001484	XP_031778072.1	XP_017797823.1
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_017791434.1, XP_017787532.1
OG0001486	XP_016839609.1	XP_017795560.1, XP_017795559.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_017792607.1
OG0001488	XP_008217170.1	XP_017789028.1
OG0001489	XP_001605381.1	XP_017796318.1
OG0001490	XP_031785541.1	XP_017795993.1
OG0001491	XP_032456877.1	XP_017788008.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_017798468.1
OG0001493	XP_008216211.1	XP_017789724.1, XP_017789731.1
OG0001494	XP_001602075.1	XP_017794837.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_017796883.1
OG0001496	XP_001603226.2	XP_017797902.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_017793157.1, XP_017793158.1
OG0001499	XP_001604715.2	XP_017791508.1, XP_017795738.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_017792363.1
OG0001502	XP_001600729.2	XP_017792320.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_017793349.1
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_017788080.1, XP_017788079.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_017792212.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_017790165.1
OG0001507	XP_008207502.1, XP_001607887.1	XP_017796599.1
OG0001508	XP_016840258.1, XP_016840259.1	XP_017796243.1
OG0001509	XP_008209597.1	XP_017797998.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_017793153.1
OG0001512	XP_031787727.1	XP_017787423.1
OG0001514	XP_001602311.1	XP_017797872.1
OG0001515	XP_008212670.2	XP_017794281.1
OG0001516	XP_008212093.2	XP_017793269.1
OG0001517	XP_008202933.1	XP_017791518.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_017795253.1
OG0001519	XP_001602334.1	XP_017795575.1
OG0001520	XP_008213297.1, NP_001123264.1	XP_017796414.1
OG0001521	XP_031780024.1	XP_017790710.1
OG0001522	XP_001605107.1	XP_017789472.1
OG0001523	XP_031788417.1	XP_017791583.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_017791672.1
OG0001525	XP_016843586.1, XP_001601499.1	XP_017793545.1
OG0001526	XP_031787170.1	XP_017799536.1
OG0001527	XP_031781489.1	XP_017787359.1
OG0001529	XP_016837523.1	XP_017789359.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_017793658.1
OG0001532	XP_008213314.1, XP_003424261.1	XP_017790246.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_017788554.1
OG0001534	XP_003424346.1	XP_017794833.1
OG0001535	XP_031783319.1	XP_017790618.1, XP_017790617.1, XP_017790619.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_017794317.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_017792420.1
OG0001538	XP_031784266.1, NP_001161243.1	XP_017789640.1
OG0001539	XP_032454016.1	XP_017788772.1
OG0001540	XP_001600172.1	XP_017799111.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_017792313.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_017789634.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_017788053.1
OG0001546	XP_003426901.1	XP_017796054.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_017792469.1
OG0001548	XP_031780231.1	XP_017795300.1
OG0001549	XP_001602105.1	XP_017792506.1
OG0001551	XP_016842120.1, XP_008217464.1	XP_017794285.1
OG0001552	XP_031788326.1	XP_017794845.1, XP_017794871.1
OG0001553	XP_003424529.1	XP_017794454.1
OG0001554	XP_001599461.2	XP_017795000.1
OG0001555	XP_008215528.1	XP_017795046.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_017788978.1
OG0001557	XP_031783542.1	XP_017795601.1
OG0001558	XP_008206364.1	XP_017798017.1
OG0001559	XP_001605046.2	XP_017789582.1
OG0001560	XP_016838086.1	XP_017794399.1
OG0001561	XP_008207143.1	XP_017791836.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_017791476.1, XP_017791469.1
OG0001564	XP_031788964.1	XP_017791460.1
OG0001565	XP_001600537.2	XP_017795471.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_017793208.1
OG0001568	XP_008208431.1	XP_017790732.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_017798527.1
OG0001570	XP_001606837.1	XP_017793254.1
OG0001571	XP_003427777.1	XP_017795778.1, XP_017795777.1, XP_017795779.1
OG0001572	XP_031777942.1	XP_017789701.1
OG0001573	XP_003424638.1	XP_017799294.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_017788858.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_017790893.1
OG0001576	XP_031779387.1	XP_017791694.1
OG0001577	XP_001605704.1	XP_017793981.1
OG0001578	XP_016838610.1	XP_017798086.1
OG0001579	NP_001166052.1	XP_017793956.1, XP_017793955.1
OG0001580	XP_031777421.1	XP_017794116.1, XP_017794117.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_017789969.1
OG0001582	XP_031777144.1	XP_017788046.1
OG0001583	XP_001604253.3	XP_017794787.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_017799371.1
OG0001585	XP_031779984.1	XP_017797570.1
OG0001586	XP_001606047.3	XP_017796492.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_017795617.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_017795562.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_017790642.1
OG0001590	XP_001604808.2	XP_017798313.1
OG0001591	XP_001599648.1	XP_017799406.1, XP_017791533.1, XP_017788388.1, XP_017787714.1, XP_017792886.1, XP_017797039.1
OG0001592	XP_032456153.1	XP_017797760.1
OG0001593	XP_031787902.1	XP_017796571.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_017789111.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_017791480.1
OG0001596	XP_008216151.1	XP_017797071.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_017797232.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_017796498.1, XP_017796497.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_017799074.1
OG0001603	XP_001608057.1	XP_017794261.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_017796813.1
OG0001605	XP_031783683.1	XP_017796242.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_017798318.1
OG0001607	XP_001603195.1	XP_017798285.1
OG0001608	XP_031788132.1	XP_017789234.1
OG0001609	XP_001601232.1	XP_017787968.1
OG0001610	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1	XP_017793168.1, XP_017792604.1
OG0001612	XP_008206969.1	XP_017799366.1, XP_017799365.1, XP_017799364.1
OG0001614	XP_003423886.1	XP_017791121.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_017797878.1
OG0001616	XP_001606115.2	XP_017789270.1
OG0001617	NP_001161324.1	XP_017787907.1
OG0001619	XP_001608124.2	XP_017789723.1
OG0001620	XP_001600828.1	XP_017787440.1, XP_017787439.1, XP_017787441.1
OG0001621	XP_032457372.1	XP_017788589.1
OG0001622	XP_001601070.1	XP_017788609.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_017795277.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_017787637.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_017791190.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_017790279.1, XP_017790297.1, XP_017790288.1
OG0001627	XP_008209881.1	XP_017791687.1
OG0001628	XP_008211373.1	XP_017798287.1
OG0001629	XP_032451650.1	XP_017795865.1, XP_017797110.1
OG0001630	XP_032454709.1	XP_017790864.1
OG0001631	XP_031788348.2	XP_017793160.1, XP_017793161.1, XP_017793162.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_017797737.1
OG0001633	XP_001605824.2	XP_017788797.1
OG0001634	XP_001603395.1	XP_017792806.1
OG0001635	XP_001603971.1	XP_017792807.1
OG0001636	XP_008213391.1	XP_017788432.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_017789823.1
OG0001638	XP_008212555.1	XP_017791850.1
OG0001639	XP_001599645.2	XP_017798607.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_017797617.1
OG0001641	NP_001161259.1	XP_017796019.1
OG0001642	XP_001606946.2	XP_017788402.1
OG0001643	XP_031781597.1	XP_017797691.1
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_017799542.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_017794085.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_017793743.1, XP_017798088.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_017787994.1
OG0001648	XP_016842668.1	XP_017799266.1
OG0001649	XP_016839355.1	XP_017795862.1
OG0001650	XP_008215816.1	XP_017788577.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_017789244.1, XP_017789243.1
OG0001652	XP_031776836.1	XP_017793602.1, XP_017793587.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_017790915.1
OG0001654	XP_001607435.2, XP_031779458.1	XP_017791347.1
