Orthogroup	Nasonia_vitripennis	Eufriesea_mexicana
OG0001389	XP_016838503.1, XP_016838497.1	XP_017761960.1
OG0001390	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1	XP_017766560.1
OG0001391	XP_031780571.1, XP_001603996.1	XP_017762560.1
OG0001393	XP_008215399.2, XP_008215395.1	XP_017762706.1
OG0001394	XP_001605729.1	XP_017763507.1
OG0001395	XP_016839204.1	XP_017766691.1, XP_017766687.1
OG0001396	XP_008202634.1	XP_017766073.1
OG0001397	XP_016844742.2	XP_017759609.1
OG0001398	XP_008209743.1	XP_017757284.1, XP_017757283.1
OG0001399	XP_031789445.1	XP_017754171.1, XP_017754172.1
OG0001401	XP_001608147.1, XP_031788358.1	XP_017753798.1
OG0001402	XP_001601941.1	XP_017767447.1
OG0001403	XP_016843505.1	XP_017765652.1
OG0001404	XP_003428151.1	XP_017760903.1
OG0001405	XP_001602174.1	XP_017766949.1
OG0001406	XP_001602260.2	XP_017761098.1
OG0001407	XP_031780689.1	XP_017760890.1
OG0001408	NP_001229367.1	XP_017759170.1
OG0001409	XP_008216652.1	XP_017766302.1, XP_017766308.1, XP_017766305.1
OG0001410	XP_016845424.1	XP_017765486.1, XP_017755897.1
OG0001412	XP_031780326.1	XP_017765833.1
OG0001413	XP_003425582.1	XP_017763469.1
OG0001414	XP_001603315.1	XP_017763368.1, XP_017763367.1, XP_017763366.1
OG0001415	XP_016845728.1	XP_017753459.1
OG0001416	XP_032453422.1, XP_031780074.1	XP_017756217.1, XP_017760198.1
OG0001417	XP_001603474.2	XP_017758796.1
OG0001418	XP_008205143.1	XP_017764513.1
OG0001419	XP_031780519.1	XP_017763375.1
OG0001420	XP_016844953.1, XP_008217077.1, XP_008217075.1, XP_008217076.1, XP_008217074.1, XP_001605946.3	XP_017762536.1
OG0001421	XP_031781761.1	XP_017758330.1, XP_017758328.1
OG0001422	XP_031782188.1	XP_017754408.1, XP_017754409.1
OG0001423	XP_001604317.2, XP_032454830.1	XP_017766027.1
OG0001424	XP_001600263.1, XP_032452738.1, XP_031779228.1	XP_017761320.1
OG0001425	XP_008207268.1, XP_008207272.1, XP_001607404.2, XP_032456387.1, XP_003426697.1, XP_003426696.1	XP_017754057.1
OG0001426	XP_008211483.1, XP_008211480.1	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1
OG0001427	XP_031777486.1, XP_032457329.1, XP_031777482.1, XP_031777485.1, XP_031777484.1, XP_032457328.1, XP_032457331.1, XP_032457330.1, XP_032457333.1, XP_032457332.1, XP_032457335.1, XP_031777487.1, XP_032457334.1	XP_017761887.1
OG0001428	XP_031778783.1	XP_017755325.1, XP_017755328.1, XP_017755327.1
OG0001429	XP_016843680.1, XP_001607850.1	XP_017755795.1
OG0001433	XP_016845848.1, XP_016845847.1, XP_001605847.1, XP_032451894.1	XP_017758980.1, XP_017758981.1
OG0001434	XP_008215594.1	XP_017754540.1
OG0001436	XP_031781352.1	XP_017759912.1
OG0001437	XP_032453529.1, XP_008213263.1	XP_017761418.1
OG0001438	XP_031788882.1, XP_031788941.1	XP_017759626.1
OG0001439	XP_031780726.1, XP_031780725.1, XP_031780723.1, XP_031780724.1	XP_017763370.1
OG0001440	XP_001602114.1	XP_017752342.1
OG0001442	XP_001606337.3	XP_017760859.1
OG0001443	XP_001603355.2, XP_016839483.1	XP_017756347.1
OG0001444	XP_031784662.1	XP_017763241.1
OG0001444	XP_031784621.1	XP_017755299.1
OG0001445	XP_008211201.1	XP_017767740.1
OG0001446	XP_031779133.1, XP_031779135.1, XP_031779136.1	XP_017767505.1
OG0001448	XP_031780760.1	XP_017754678.1, XP_017754679.1
OG0001449	XP_032454374.1, XP_032454370.1, XP_032454371.1, XP_032454363.1, XP_032454369.1, XP_032454373.1, XP_031783207.1, XP_032454375.1	XP_017756553.1
OG0001450	XP_031777589.1, XP_031777590.1	XP_017761180.1
OG0001451	XP_032456588.1, XP_032456585.1, XP_032456584.1, XP_008217178.1, XP_031787841.1, XP_032456586.1, XP_032456589.1, XP_032456587.1, XP_032456583.1, XP_008217175.1, XP_008217176.1	XP_017754819.1, XP_017754818.1, XP_017754817.1
OG0001453	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1	XP_017753197.1, XP_017753196.1
OG0001455	XP_001603088.1	XP_017763637.1
OG0001456	XP_001605559.2	XP_017759747.1
OG0001457	XP_001608297.1	XP_017759608.1
OG0001458	XP_008202697.1	XP_017760601.1
OG0001459	XP_001605881.1	XP_017753350.1
OG0001460	XP_031782639.1, XP_031782638.1	XP_017755991.1
OG0001461	XP_001602569.1, XP_031780556.1, XP_008204854.1	XP_017757457.1
OG0001462	NP_001164526.1	XP_017759124.1
OG0001463	XP_001602379.1	XP_017754385.1
OG0001464	NP_001153364.1	XP_017760160.1
OG0001465	XP_032453603.1, NP_001161454.1	XP_017759749.1
OG0001466	NP_001161682.1	XP_017756736.1, XP_017756880.1
OG0001467	XP_031782500.1	XP_017765138.1
OG0001468	NP_001164370.1, XP_031789284.1	XP_017764233.1, XP_017764238.1
OG0001469	XP_001602514.1	XP_017761902.1
OG0001470	XP_032453882.1, XP_008203498.1	XP_017759624.1
OG0001471	XP_008208004.1, XP_001601824.1	XP_017755440.1, XP_017755439.1
OG0001473	XP_031782512.1, XP_016839548.1, XP_016839547.1	XP_017756349.1
OG0001474	XP_001600273.1	XP_017767410.1
OG0001475	XP_001602567.1	XP_017754101.1
OG0001476	XP_031778521.1	XP_017752906.1
OG0001477	XP_008209844.2, XP_031778493.1, XP_032452915.1	XP_017766251.1, XP_017766252.1
OG0001478	XP_001599569.1	XP_017753140.1
OG0001479	NP_001153430.1, NP_001153431.1, XP_031788484.1	XP_017762331.1
OG0001480	XP_001600183.2, XP_008203356.1, XP_016838825.1	XP_017761101.1
OG0001481	XP_016839111.1	XP_017757923.1, XP_017757922.1, XP_017757921.1
OG0001482	XP_008202441.1	XP_017764469.1
OG0001483	XP_016837959.1, XP_031780377.1	XP_017764678.1
OG0001484	XP_031778072.1	XP_017760649.1
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_017752870.1
OG0001486	XP_016839609.1	XP_017754790.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_017766230.1
OG0001488	XP_008217170.1	XP_017758921.1
OG0001489	XP_001605381.1	XP_017762007.1, XP_017762006.1
OG0001490	XP_031785541.1	XP_017767672.1
OG0001491	XP_032456877.1	XP_017760578.1, XP_017760579.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_017764410.1
OG0001493	XP_008216211.1	XP_017767529.1, XP_017767531.1
OG0001494	XP_001602075.1	XP_017759665.1, XP_017761795.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_017767625.1
OG0001496	XP_001603226.2	XP_017764506.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_017763430.1
OG0001499	XP_001604715.2	XP_017753427.1, XP_017764078.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_017762834.1, XP_017762836.1
OG0001502	XP_001600729.2	XP_017762806.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_017760737.1, XP_017760736.1
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_017755365.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_017755310.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_017759286.1
OG0001507	XP_008207502.1, XP_001607887.1	XP_017758151.1
OG0001508	XP_016840258.1, XP_016840259.1	XP_017759047.1
OG0001509	XP_008209597.1	XP_017759499.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_017761959.1, XP_017762325.1
OG0001512	XP_031787727.1	XP_017755103.1, XP_017755081.1
OG0001513	XP_003426035.2	XP_017755577.1
OG0001514	XP_001602311.1	XP_017764218.1, XP_017764217.1
OG0001515	XP_008212670.2	XP_017753282.1
OG0001516	XP_008212093.2	XP_017763820.1
OG0001517	XP_008202933.1	XP_017762483.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_017756219.1
OG0001519	XP_001602334.1	XP_017754789.1
OG0001520	XP_008213297.1, NP_001123264.1	XP_017756288.1
OG0001521	XP_031780024.1	XP_017752636.1
OG0001522	XP_001605107.1	XP_017765001.1
OG0001523	XP_031788417.1	XP_017752703.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_017762681.1
OG0001525	XP_016843586.1, XP_001601499.1	XP_017753796.1
OG0001526	XP_031787170.1	XP_017756923.1
OG0001527	XP_031781489.1	XP_017756866.1, XP_017756865.1
OG0001529	XP_016837523.1	XP_017757336.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_017757528.1
OG0001532	XP_008213314.1, XP_003424261.1	XP_017754297.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_017757893.1
OG0001534	XP_003424346.1	XP_017762184.1
OG0001535	XP_031783319.1	XP_017765727.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_017752631.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_017756128.1
OG0001538	XP_031784266.1, NP_001161243.1	XP_017764264.1
OG0001539	XP_032454016.1	XP_017764641.1
OG0001540	XP_001600172.1	XP_017764661.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_017761035.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_017760035.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_017752308.1
OG0001546	XP_003426901.1	XP_017767699.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_017756116.1
OG0001548	XP_031780231.1	XP_017765675.1
OG0001549	XP_001602105.1	XP_017762912.1, XP_017762911.1
OG0001551	XP_016842120.1, XP_008217464.1	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1
OG0001552	XP_031788326.1	XP_017765484.1
OG0001553	XP_003424529.1	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1
OG0001554	XP_001599461.2	XP_017761029.1
OG0001555	XP_008215528.1	XP_017755605.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_017766589.1
OG0001557	XP_031783542.1	XP_017754844.1
OG0001558	XP_008206364.1	XP_017759570.1
OG0001559	XP_001605046.2	XP_017755086.1
OG0001560	XP_016838086.1	XP_017761824.1
OG0001561	XP_008207143.1	XP_017762996.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_017759839.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_017753860.1
OG0001565	XP_001600537.2	XP_017758432.1, XP_017758431.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_017762421.1
OG0001568	XP_008208431.1	XP_017757468.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_017759896.1
OG0001570	XP_001606837.1	XP_017766275.1
OG0001571	XP_003427777.1	XP_017757811.1, XP_017757812.1, XP_017757813.1
OG0001572	XP_031777942.1	XP_017765781.1, XP_017765780.1
OG0001573	XP_003424638.1	XP_017766030.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_017766634.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_017755712.1
OG0001576	XP_031779387.1	XP_017755963.1
OG0001577	XP_001605704.1	XP_017753933.1
OG0001578	XP_016838610.1	XP_017766319.1
OG0001579	NP_001166052.1	XP_017766242.1
OG0001580	XP_031777421.1	XP_017756269.1, XP_017756265.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_017757870.1
OG0001582	XP_031777144.1	XP_017752328.1
OG0001583	XP_001604253.3	XP_017753734.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_017754014.1, XP_017754016.1
OG0001585	XP_031779984.1	XP_017752441.1
OG0001586	XP_001606047.3	XP_017756326.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_017765123.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_017754884.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_017757481.1
OG0001590	XP_001604808.2	XP_017760242.1
OG0001591	XP_001599648.1	XP_017754902.1, XP_017754900.1, XP_017754898.1, XP_017754899.1, XP_017754897.1
OG0001592	XP_032456153.1	XP_017765453.1
OG0001593	XP_031787902.1	XP_017765071.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_017760183.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_017759837.1, XP_017759838.1
OG0001596	XP_008216151.1	XP_017762763.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_017765923.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_017756408.1, XP_017756407.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_017754165.1, XP_017754157.1
OG0001603	XP_001608057.1	XP_017753131.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_017758901.1, XP_017758903.1
OG0001605	XP_031783683.1	XP_017764105.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_017763286.1
OG0001607	XP_001603195.1	XP_017760123.1
OG0001608	XP_031788132.1	XP_017761482.1, XP_017761480.1
OG0001609	XP_001601232.1	XP_017753524.1
OG0001610	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1	XP_017763037.1, XP_017766879.1
OG0001612	XP_008206969.1	XP_017759262.1
OG0001614	XP_003423886.1	XP_017754529.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_017764935.1
OG0001616	XP_001606115.2	XP_017761466.1
OG0001617	NP_001161324.1	XP_017755975.1, XP_017755969.1
OG0001619	XP_001608124.2	XP_017753400.1
OG0001620	XP_001600828.1	XP_017764518.1, XP_017764519.1
OG0001621	XP_032457372.1	XP_017754496.1
OG0001622	XP_001601070.1	XP_017757970.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_017761094.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_017766541.1, XP_017766625.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_017758985.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_017764714.1
OG0001627	XP_008209881.1	XP_017759581.1
OG0001628	XP_008211373.1	XP_017757209.1
OG0001629	XP_032451650.1	XP_017762481.1, XP_017762480.1
OG0001630	XP_032454709.1	XP_017765400.1
OG0001631	XP_031788348.2	XP_017760386.1, XP_017760383.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_017762889.1, XP_017762890.1
OG0001633	XP_001605824.2	XP_017766798.1
OG0001634	XP_001603395.1	XP_017753601.1
OG0001635	XP_001603971.1	XP_017753595.1
OG0001636	XP_008213391.1	XP_017755485.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_017758517.1
OG0001638	XP_008212555.1	XP_017753540.1
OG0001639	XP_001599645.2	XP_017767221.1, XP_017767222.1, XP_017767220.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_017752461.1
OG0001641	NP_001161259.1	XP_017753665.1
OG0001642	XP_001606946.2	XP_017766423.1
OG0001643	XP_031781597.1	XP_017763229.1
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_017761257.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_017764307.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_017766339.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_017759307.1
OG0001648	XP_016842668.1	XP_017754092.1
OG0001649	XP_016839355.1	XP_017754651.1, XP_017754499.1, XP_017754574.1
OG0001650	XP_008215816.1	XP_017757914.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_017761487.1, XP_017761488.1, XP_017761490.1
OG0001652	XP_031776836.1	XP_017762622.1, XP_017762621.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_017757704.1
OG0001654	XP_001607435.2, XP_031779458.1	XP_017756092.1
OG0001655	XP_001603980.2	XP_017753209.1
OG0001656	XP_001606701.1	XP_017764215.1
OG0001657	XP_001606493.1	XP_017753268.1, XP_017753267.1, XP_017753269.1
OG0001658	XP_031787185.1	XP_017767207.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_017765105.1
OG0001660	XP_008217155.1	XP_017758922.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_017764131.1, XP_017764132.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_017765231.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_017756451.1
OG0001664	XP_032455099.1	XP_017761351.1
OG0001665	XP_031786788.1	XP_017761496.1
OG0001666	XP_001606145.2	XP_017753192.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_017762420.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_017765749.1
OG0001670	XP_031781642.1	XP_017760237.1, XP_017760238.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_017759383.1
OG0001672	XP_001606256.1	XP_017762492.1, XP_017762490.1, XP_017762491.1
OG0001674	XP_008213000.1	XP_017754048.1
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_017759347.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_017753315.1
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_017767775.1
OG0001678	XP_001608054.1	XP_017753352.1, XP_017753353.1
OG0001679	XP_001606876.1	XP_017761497.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_017761407.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_017766594.1, XP_017766596.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_017755769.1
OG0001683	XP_031782629.1, XP_031782628.1, XP_001603826.1	XP_017754253.1
OG0001684	XP_008214622.1	XP_017752134.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_017752369.1
OG0001686	XP_031786365.1	XP_017761307.1
OG0001687	XP_008205605.1	XP_017766513.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_017759903.1
OG0001689	XP_001601304.1	XP_017766782.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_017759401.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_017754267.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_017767028.1
OG0001695	XP_001605495.2	XP_017765096.1, XP_017765097.1, XP_017765098.1, XP_017765094.1, XP_017765095.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_017755693.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_017753829.1
OG0001699	XP_001605545.2	XP_017752266.1
OG0001700	XP_003425515.2	XP_017761179.1
OG0001701	XP_001603038.2	XP_017763828.1, XP_017763827.1
OG0001702	XP_001602772.2	XP_017763377.1
OG0001703	XP_031783612.1	XP_017766294.1
OG0001704	XP_031784623.1	XP_017753412.1
OG0001706	XP_001607299.1	XP_017767583.1
OG0001707	XP_031784085.1, XP_031784087.1	XP_017759082.1
OG0001708	XP_032456367.1	XP_017752268.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_017757351.1, XP_017757271.1
OG0001711	XP_001604450.1	XP_017760099.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_017752985.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_017766156.1
OG0001714	XP_031784875.1	XP_017753981.1
OG0001715	XP_001602678.2	XP_017762924.1
OG0001716	XP_031788831.1	XP_017761083.1, XP_017761080.1
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_017766336.1
OG0001718	NP_001123321.1	XP_017753458.1
OG0001719	XP_016839634.1, XP_031782819.1	XP_017761132.1, XP_017761131.1, XP_017761133.1
OG0001720	XP_001603454.1	XP_017761762.1
OG0001721	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1	XP_017752665.1
OG0001722	XP_001599948.2	XP_017763891.1
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_017757448.1, XP_017757447.1
OG0001725	XP_008206905.1	XP_017752192.1
OG0001726	XP_016839031.1	XP_017756693.1
OG0001727	XP_031779917.1	XP_017766181.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_017758701.1, XP_017758700.1
OG0001730	XP_016845767.1	XP_017765928.1
OG0001731	XP_001602845.2	XP_017756811.1
OG0001732	XP_032454981.1, XP_001600976.1	XP_017767650.1
OG0001733	XP_031779561.1	XP_017758262.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_017763592.1
OG0001735	XP_031777893.1	XP_017758137.1
OG0001736	XP_008208106.2, XP_016837375.1	XP_017756067.1
OG0001737	XP_001608059.1	XP_017753173.1
OG0001738	XP_031778432.1	XP_017762686.1, XP_017762682.1
OG0001740	XP_031785471.1	XP_017767349.1, XP_017767345.1
OG0001741	XP_001604752.1, XP_016842588.1	XP_017762688.1
OG0001742	XP_031777878.1	XP_017753956.1
OG0001743	XP_003424504.1	XP_017766811.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_017762061.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_017752481.1, XP_017752482.1
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_017752754.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_017756396.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_017753068.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_017755834.1
OG0001751	XP_031788400.1	XP_017766343.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_017762936.1
OG0001754	XP_001605050.1	XP_017765981.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_017764627.1
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_017764896.1
OG0001758	XP_001606851.1	XP_017767662.1
OG0001759	XP_001603531.2	XP_017754749.1
OG0001760	XP_008215927.1	XP_017758198.1
OG0001762	XP_016837803.1	XP_017766221.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_017760813.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_017757505.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_017756189.1, XP_017756190.1, XP_017756188.1, XP_017756191.1
OG0001767	XP_008207626.1	XP_017755336.1, XP_017755333.1, XP_017755335.1
OG0001768	XP_001607572.2	XP_017757774.1
OG0001769	XP_016836818.1	XP_017763115.1
OG0001770	XP_008202168.2, NP_001154978.1, NP_001154980.1, NP_001154981.1, XP_001603404.2, NP_001154979.1, NP_001155025.1, XP_008210287.1, NP_001154974.1, XP_008217956.1, NP_001154975.1, XP_031784171.1	XP_017755164.1
OG0001771	XP_003427532.1	XP_017757404.1
OG0001772	XP_031789545.1	XP_017753487.1, XP_017753486.1
OG0001773	XP_031783227.1	XP_017763285.1, XP_017754603.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	XP_017756656.1
OG0001775	XP_031785563.1	XP_017754657.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_017766284.1
OG0001777	XP_001599602.1	XP_017767342.1
OG0001778	XP_001606733.1	XP_017755617.1, XP_017755616.1
OG0001779	XP_031779220.1	XP_017759610.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_017761568.1
OG0001781	XP_008207023.1	XP_017755836.1
OG0001782	XP_001599355.1	XP_017763846.1
OG0001783	XP_016843291.1	XP_017756971.1
OG0001784	XP_031783677.1, XP_031783676.1	XP_017759486.1, XP_017759575.1
OG0001785	XP_001604175.2	XP_017758618.1
OG0001786	XP_001608245.1, XP_032457057.1	XP_017765430.1
OG0001787	XP_008215237.1	XP_017767485.1
OG0001788	XP_031780973.1, XP_031780965.1	XP_017766022.1
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_017757494.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_017752217.1
OG0001791	XP_001608149.1	XP_017765719.1
OG0001792	XP_001600760.1	XP_017764023.1
OG0001793	XP_008214898.1	XP_017758927.1
OG0001794	XP_001605396.1	XP_017765692.1
OG0001795	XP_001607324.1	XP_017761376.1
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_017762082.1
OG0001797	XP_031778511.1, XP_008207962.1	XP_017755615.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	XP_017755869.1
OG0001800	XP_001603293.1	XP_017762567.1
OG0001801	XP_031786470.1	XP_017766270.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_017756335.1
OG0001803	XP_008216245.1	XP_017757247.1
OG0001804	XP_008216463.1	XP_017761361.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_017759293.1
OG0001806	XP_031778822.1, XP_031778823.1	XP_017757716.1
OG0001807	XP_008210360.2	XP_017764251.1
OG0001808	NP_001136342.1	XP_017756341.1
OG0001809	XP_001599542.2	XP_017753142.1
OG0001810	XP_031778732.1	XP_017761764.1, XP_017761747.1
OG0001811	XP_001604243.1	XP_017764919.1
OG0001812	XP_016838603.1	XP_017767010.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_017764316.1
OG0001814	XP_001606172.1	XP_017767609.1
OG0001815	XP_016843551.1	XP_017758576.1
OG0001816	XP_001600797.1, XP_001602430.1	XP_017758841.1
OG0001817	XP_031778530.1	XP_017761405.1
OG0001818	XP_032452105.1, XP_001606225.1	XP_017757910.1
OG0001819	XP_031782397.1	XP_017767134.1
OG0001820	XP_001601107.1	XP_017762758.1, XP_017762759.1
OG0001821	XP_001606303.4, XP_008203951.2	XP_017755699.1
OG0001822	XP_001603912.2, XP_008202668.1	XP_017754282.1
OG0001823	NP_001135434.1	XP_017753747.1
OG0001824	XP_031782171.1	XP_017759760.1
OG0001826	XP_001606320.1	XP_017754378.1
OG0001827	XP_031784416.1	XP_017757601.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_017763861.1
OG0001829	XP_001607001.1	XP_017755812.1
OG0001830	XP_008210294.1	XP_017767728.1
OG0001831	XP_031788055.1	XP_017756799.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_017765238.1
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_017752144.1
OG0001834	NP_001165788.1	XP_017766983.1
OG0001835	XP_031784847.1	XP_017752364.1
OG0001836	XP_032452667.1	XP_017760537.1
OG0001837	XP_031785035.1, XP_001602132.1	XP_017760780.1
OG0001838	XP_003425218.1	XP_017758454.1
OG0001839	XP_031778745.1	XP_017765802.1
