Orthogroup	Nasonia_vitripennis	Nomia_melanderi
OG0001323	XP_001600757.1	XP_031830395.1
OG0001323	XP_001600857.1	XP_031830396.1
OG0001328	NP_001127781.1, XP_008201861.1	XP_031848264.1
OG0001329	XP_001602942.2	XP_031826433.1
OG0001330	XP_031784594.1, XP_016840913.1	XP_031829309.1
OG0001331	XP_001604681.1, XP_032453951.1	XP_031830314.1, XP_031830315.1
OG0001332	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2	XP_031827123.1
OG0001333	XP_031786693.1	XP_031839036.1, XP_031839044.1, XP_031839064.1, XP_031839054.1, XP_031839026.1
OG0001334	XP_031788371.2	XP_031848710.1, XP_031848768.1
OG0001335	XP_032455686.1	XP_031831030.1, XP_031831035.1
OG0001337	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1	XP_031831567.1
OG0001338	XP_031781497.1	XP_031835378.1
OG0001339	XP_016838241.1	XP_031844660.1
OG0001340	XP_008217856.1, XP_008217855.1	XP_031828602.1, XP_031828603.1
OG0001341	NP_001153453.1, XP_031779954.1, XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1	XP_031831053.1
OG0001342	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1	XP_031833558.1
OG0001343	XP_001601945.2	XP_031832640.1, XP_031829559.1
OG0001344	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1	XP_031835052.1, XP_031835051.1
OG0001345	XP_031779614.1, XP_031779613.1, XP_031779615.1	XP_031833915.1, XP_031833916.1, XP_031833917.1
OG0001346	XP_031784481.1, XP_008210966.1, XP_016845924.1	XP_031831357.1
OG0001347	XP_001604698.1, XP_008216502.1, XP_008216503.1	XP_031850371.1
OG0001348	XP_001606863.2	XP_031830189.1, XP_031830188.1
OG0001349	XP_001602614.1, XP_032455495.1	XP_031843257.1
OG0001350	XP_001605715.1	XP_031829515.1, XP_031829516.1, XP_031829514.1
OG0001352	XP_032451869.1	XP_031841391.1, XP_031841390.1
OG0001353	XP_016844059.1	XP_031843230.1, XP_031843222.1, XP_031843212.1, XP_031843250.1, XP_031843269.1, XP_031843260.1, XP_031843241.1
OG0001355	XP_008216928.1, XP_016844928.1, XP_032455994.1, XP_032455995.1	XP_031836234.1
OG0001356	XP_031778484.1	XP_031838885.1
OG0001358	XP_008214674.1, XP_031786190.1	XP_031848843.1, XP_031843014.1, XP_031843010.1
OG0001359	XP_008202436.1, NP_001161242.1, XP_008213830.1	XP_031826878.1
OG0001360	XP_008201802.1	XP_031826318.1, XP_031826319.1, XP_031826317.1, XP_031826315.1, XP_031826314.1, XP_031826320.1
OG0001361	XP_008207741.1, XP_031781504.1	XP_031841638.1, XP_031841637.1
OG0001362	XP_008212411.1, XP_031778926.1	XP_031825612.1, XP_031825616.1
OG0001363	XP_001603876.1	XP_031848442.1, XP_031844040.1
OG0001364	XP_031784670.1, XP_031782456.1, XP_016838632.1, XP_008204291.1	XP_031845393.1
OG0001365	XP_031783221.1, XP_008205206.1, XP_031783220.1	XP_031849162.1, XP_031849163.1, XP_031849159.1, XP_031849161.1, XP_031849158.1
OG0001366	XP_031785741.1	XP_031831702.1
OG0001368	XP_016843234.1, XP_032456342.1	XP_031837902.1
OG0001369	XP_001603580.1, XP_001604815.1	XP_031826221.1, XP_031826222.1
OG0001370	XP_031782058.1, XP_016839949.2, XP_016839948.2, XP_031782054.1, XP_031782055.1, XP_031782056.1, XP_031782057.1	XP_031831562.1, XP_031831564.1
OG0001371	XP_008206388.1, XP_008206386.1, XP_008206387.1, XP_032454229.1	XP_031846829.1
OG0001372	XP_008215222.1	XP_031831438.1
OG0001373	XP_032455323.1, XP_008211543.1	XP_031829064.1
OG0001374	XP_016839749.1, XP_001601730.2	XP_031833052.1
OG0001375	XP_031781862.1	XP_031836086.1
OG0001376	XP_001604095.1	XP_031838127.1
OG0001377	XP_001602249.2	XP_031836272.1, XP_031836271.1
OG0001378	XP_031779623.1	XP_031826385.1
OG0001379	XP_008215244.1	XP_031841510.1, XP_031841519.1
OG0001380	XP_001600076.1	XP_031850548.1, XP_031850546.1, XP_031850543.1, XP_031850544.1, XP_031850547.1, XP_031850545.1
OG0001381	XP_016840301.1, NP_001123273.1, XP_031777621.1	XP_031843951.1, XP_031843957.1
OG0001382	XP_031778337.1, NP_001136324.1, XP_001607300.1	XP_031843723.1
OG0001383	XP_031778494.1	XP_031845608.1, XP_031845607.1, XP_031845606.1, XP_031845609.1
OG0001384	XP_008203379.1, XP_031783653.1	XP_031838470.1, XP_031838471.1
OG0001385	XP_016843471.1	XP_031825524.1
OG0001386	XP_031785711.1	XP_031831495.1
OG0001387	XP_001600628.1	XP_031831431.1, XP_031831428.1, XP_031831425.1, XP_031831426.1, XP_031831433.1, XP_031831423.1, XP_031831424.1, XP_031831430.1, XP_031831429.1, XP_031831427.1, XP_031831432.1
OG0001388	XP_016839954.1	XP_031849768.1, XP_031849767.1, XP_031849769.1
OG0001389	XP_016838503.1, XP_016838497.1	XP_031837756.1
OG0001390	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1	XP_031832391.1, XP_031832390.1, XP_031832392.1
OG0001391	XP_031780571.1, XP_001603996.1	XP_031843905.1
OG0001393	XP_008215399.2, XP_008215395.1	XP_031826449.1, XP_031826448.1
OG0001394	XP_001605729.1	XP_031849011.1
OG0001395	XP_016839204.1	XP_031827726.1
OG0001396	XP_008202634.1	XP_031844734.1
OG0001397	XP_016844742.2	XP_031846201.1, XP_031846203.1, XP_031846202.1
OG0001398	XP_008209743.1	XP_031844140.1
OG0001399	XP_031789445.1	XP_031839412.1
OG0001401	XP_001608147.1, XP_031788358.1	XP_031842683.1
OG0001402	XP_001601941.1	XP_031835822.1
OG0001403	XP_016843505.1	XP_031842747.1, XP_031842652.1
OG0001404	XP_003428151.1	XP_031849366.1, XP_031849367.1, XP_031849364.1, XP_031849365.1, XP_031849363.1
OG0001405	XP_001602174.1	XP_031836639.1
OG0001406	XP_001602260.2	XP_031845978.1
OG0001407	XP_031780689.1	XP_031840571.1
OG0001408	NP_001229367.1	XP_031845838.1
OG0001409	XP_008216652.1	XP_031838861.1
OG0001410	XP_016845424.1	XP_031842215.1
OG0001412	XP_031780326.1	XP_031842465.1
OG0001413	XP_003425582.1	XP_031832076.1, XP_031832078.1, XP_031832079.1, XP_031832075.1, XP_031832074.1, XP_031832073.1, XP_031832072.1, XP_031832077.1
OG0001414	XP_001603315.1	XP_031828996.1
OG0001415	XP_016845728.1	XP_031828398.1
OG0001416	XP_032453422.1, XP_031780074.1	XP_031844043.1, XP_031843941.1
OG0001417	XP_001603474.2	XP_031828788.1
OG0001418	XP_008205143.1	XP_031828555.1
OG0001419	XP_031780519.1	XP_031829129.1
OG0001420	XP_016844953.1, XP_008217077.1, XP_008217075.1, XP_008217076.1, XP_008217074.1, XP_001605946.3	XP_031834856.1
OG0001421	XP_031781761.1	XP_031836420.1
OG0001422	XP_031782188.1	XP_031827885.1
OG0001423	XP_001604317.2, XP_032454830.1	XP_031839233.1
OG0001424	XP_001600263.1, XP_032452738.1, XP_031779228.1	XP_031838252.1
OG0001425	XP_008207268.1, XP_008207272.1, XP_001607404.2, XP_032456387.1, XP_003426697.1, XP_003426696.1	XP_031839299.1
OG0001426	XP_008211483.1, XP_008211480.1	XP_031840044.1
OG0001427	XP_031777486.1, XP_032457329.1, XP_031777482.1, XP_031777485.1, XP_031777484.1, XP_032457328.1, XP_032457331.1, XP_032457330.1, XP_032457333.1, XP_032457332.1, XP_032457335.1, XP_031777487.1, XP_032457334.1	XP_031841959.1
OG0001428	XP_031778783.1	XP_031846609.1, XP_031846610.1
OG0001429	XP_016843680.1, XP_001607850.1	XP_031840628.1
OG0001430	XP_031785396.1	XP_031843265.1
OG0001433	XP_016845848.1, XP_016845847.1, XP_001605847.1, XP_032451894.1	XP_031830089.1
OG0001434	XP_008215594.1	XP_031847271.1, XP_031847269.1
OG0001436	XP_031781352.1	XP_031832816.1
OG0001437	XP_032453529.1, XP_008213263.1	XP_031827516.1, XP_031827515.1, XP_031827514.1
OG0001438	XP_031788882.1, XP_031788941.1	XP_031841452.1, XP_031841449.1
OG0001439	XP_031780726.1, XP_031780725.1, XP_031780723.1, XP_031780724.1	XP_031828842.1
OG0001440	XP_001602114.1	XP_031848343.1
OG0001442	XP_001606337.3	XP_031849773.1, XP_031849772.1, XP_031849770.1
OG0001443	XP_001603355.2, XP_016839483.1	XP_031839788.1
OG0001443	XP_031785694.1, XP_008213214.3, XP_008213218.1	XP_031825444.1
OG0001444	XP_031784662.1	XP_031831152.1, XP_031831154.1
OG0001444	XP_031784621.1	XP_031846620.1
OG0001445	XP_008211201.1	XP_031833719.1, XP_031833714.1, XP_031833717.1, XP_031833720.1, XP_031833716.1, XP_031833715.1, XP_031833721.1, XP_031833722.1
OG0001446	XP_031779133.1, XP_031779135.1, XP_031779136.1	XP_031835816.1
OG0001448	XP_031780760.1	XP_031827108.1, XP_031827107.1, XP_031827106.1, XP_031827105.1
OG0001449	XP_032454374.1, XP_032454370.1, XP_032454371.1, XP_032454363.1, XP_032454369.1, XP_032454373.1, XP_031783207.1, XP_032454375.1	XP_031828743.1, XP_031828742.1, XP_031828741.1
OG0001450	XP_031777589.1, XP_031777590.1	XP_031829512.1, XP_031829511.1
OG0001451	XP_032456588.1, XP_032456585.1, XP_032456584.1, XP_008217178.1, XP_031787841.1, XP_032456586.1, XP_032456589.1, XP_032456587.1, XP_032456583.1, XP_008217175.1, XP_008217176.1	XP_031838529.1, XP_031838528.1
OG0001453	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1	XP_031826053.1
OG0001455	XP_001603088.1	XP_031846547.1
OG0001456	XP_001605559.2	XP_031835688.1
OG0001457	XP_001608297.1	XP_031837818.1
OG0001458	XP_008202697.1	XP_031837239.1
OG0001459	XP_001605881.1	XP_031840415.1
OG0001460	XP_031782639.1, XP_031782638.1	XP_031836190.1, XP_031836189.1
OG0001461	XP_001602569.1, XP_031780556.1, XP_008204854.1	XP_031833447.1
OG0001462	NP_001164526.1	XP_031836615.1
OG0001463	XP_001602379.1	XP_031828280.1
OG0001464	NP_001153364.1	XP_031848791.1, XP_031848818.1
OG0001465	XP_032453603.1, NP_001161454.1	XP_031835477.1
OG0001466	NP_001161682.1	XP_031840296.1
OG0001467	XP_031782500.1	XP_031826432.1
OG0001468	NP_001164370.1, XP_031789284.1	XP_031835032.1, XP_031843462.1
OG0001469	XP_001602514.1	XP_031838554.1
OG0001470	XP_032453882.1, XP_008203498.1	XP_031828482.1
OG0001471	XP_008208004.1, XP_001601824.1	XP_031844584.1, XP_031844591.1
OG0001473	XP_031782512.1, XP_016839548.1, XP_016839547.1	XP_031839580.1
OG0001474	XP_001600273.1	XP_031843810.1, XP_031843806.1, XP_031843807.1, XP_031843811.1, XP_031843805.1, XP_031843808.1
OG0001475	XP_001602567.1	XP_031839222.1
OG0001476	XP_031778521.1	XP_031841493.1
OG0001477	XP_008209844.2, XP_031778493.1, XP_032452915.1	XP_031843862.1
OG0001478	XP_001599569.1	XP_031828088.1
OG0001479	NP_001153430.1, NP_001153431.1, XP_031788484.1	XP_031835419.1, XP_031835424.1, XP_031835420.1, XP_031835421.1, XP_031835418.1, XP_031835425.1, XP_031835422.1, XP_031835423.1, XP_031835427.1, XP_031835426.1
OG0001480	XP_001600183.2, XP_008203356.1, XP_016838825.1	XP_031846063.1, XP_031846064.1, XP_031846065.1
OG0001481	XP_016839111.1	XP_031834003.1, XP_031834002.1, XP_031834005.1
OG0001482	XP_008202441.1	XP_031827181.1, XP_031827183.1
OG0001483	XP_016837959.1, XP_031780377.1	XP_031848611.1
OG0001484	XP_031778072.1	XP_031848946.1
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_031829186.1, XP_031850040.1
OG0001486	XP_016839609.1	XP_031829031.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_031843821.1
OG0001488	XP_008217170.1	XP_031838742.1
OG0001489	XP_001605381.1	XP_031829423.1
OG0001490	XP_031785541.1	XP_031833723.1
OG0001491	XP_032456877.1	XP_031845887.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_031827035.1, XP_031827036.1
OG0001493	XP_008216211.1	XP_031845501.1
OG0001494	XP_001602075.1	XP_031827290.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_031833273.1
OG0001496	XP_001603226.2	XP_031837039.1, XP_031837027.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_031850166.1, XP_031850167.1
OG0001499	XP_001604715.2	XP_031841392.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_031826102.1, XP_031826101.1
OG0001502	XP_001600729.2	XP_031826090.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_031849347.1
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_031844294.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_031825302.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_031827621.1
OG0001507	XP_008207502.1, XP_001607887.1	XP_031847411.1, XP_031847410.1
OG0001508	XP_016840258.1, XP_016840259.1	XP_031833325.1
OG0001509	XP_008209597.1	XP_031829828.1, XP_031829826.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_031850226.1, XP_031835725.1
OG0001512	XP_031787727.1	XP_031829643.1
OG0001513	XP_003426035.2	XP_031847083.1, XP_031847082.1
OG0001514	XP_001602311.1	XP_031832788.1, XP_031832777.1
OG0001515	XP_008212670.2	XP_031828025.1, XP_031828026.1
OG0001516	XP_008212093.2	XP_031843657.1, XP_031843656.1, XP_031843658.1, XP_031843655.1
OG0001517	XP_008202933.1	XP_031846961.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_031834301.1
OG0001519	XP_001602334.1	XP_031829022.1
OG0001520	XP_008213297.1, NP_001123264.1	XP_031839816.1
OG0001520	XP_008213377.2	XP_031839815.1
OG0001522	XP_001605107.1	XP_031849471.1
OG0001523	XP_031788417.1	XP_031829443.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_031836831.1, XP_031836830.1, XP_031836829.1, XP_031836828.1
OG0001525	XP_016843586.1, XP_001601499.1	XP_031842872.1
OG0001526	XP_031787170.1	XP_031848620.1, XP_031840071.1, XP_031840070.1
OG0001527	XP_031781489.1	XP_031843505.1
OG0001529	XP_016837523.1	XP_031849561.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_031831278.1
OG0001532	XP_008213314.1, XP_003424261.1	XP_031831909.1, XP_031831912.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_031837631.1
OG0001534	XP_003424346.1	XP_031841566.1, XP_031841565.1
OG0001535	XP_031783319.1	XP_031846345.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_031828307.1, XP_031828294.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_031827557.1
OG0001538	XP_031784266.1, NP_001161243.1	XP_031828630.1
OG0001539	XP_032454016.1	XP_031847605.1
OG0001540	XP_001600172.1	XP_031847112.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_031825960.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_031846982.1, XP_031846983.1, XP_031846984.1, XP_031846981.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_031836862.1
OG0001546	XP_003426901.1	XP_031833599.1, XP_031833598.1, XP_031833597.1, XP_031833596.1, XP_031833595.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_031827553.1
OG0001548	XP_031780231.1	XP_031836897.1
OG0001549	XP_001602105.1	XP_031828566.1
OG0001551	XP_016842120.1, XP_008217464.1	XP_031828278.1, XP_031828279.1
OG0001552	XP_031788326.1	XP_031847706.1, XP_031847704.1
OG0001553	XP_003424529.1	XP_031834372.1, XP_031834382.1, XP_031834391.1, XP_031834409.1, XP_031834416.1, XP_031834400.1
OG0001554	XP_001599461.2	XP_031841338.1, XP_031848676.1, XP_031841360.1
OG0001555	XP_008215528.1	XP_031831728.1
OG0001556	XP_008217201.2, XP_001606971.2	XP_031844436.1, XP_031844428.1, XP_031844434.1, XP_031844435.1, XP_031844432.1, XP_031844433.1, XP_031844430.1, XP_031844431.1, XP_031844429.1, XP_031844437.1
OG0001557	XP_031783542.1	XP_031829095.1, XP_031829123.1
OG0001558	XP_008206364.1	XP_031846366.1, XP_031846367.1, XP_031846365.1
OG0001559	XP_001605046.2	XP_031846388.1
OG0001560	XP_016838086.1	XP_031838087.1
OG0001561	XP_008207143.1	XP_031842899.1
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_031827967.1
OG0001565	XP_001600537.2	XP_031830523.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_031846190.1
OG0001568	XP_008208431.1	XP_031833732.1, XP_031833729.1, XP_031833730.1, XP_031833733.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_031832840.1
OG0001570	XP_001606837.1	XP_031847232.1
OG0001571	XP_003427777.1	XP_031836088.1
OG0001572	XP_031777942.1	XP_031838225.1
OG0001573	XP_003424638.1	XP_031839197.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_031832399.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_031845824.1
OG0001576	XP_031779387.1	XP_031850534.1
OG0001577	XP_001605704.1	XP_031838344.1, XP_031838343.1
OG0001578	XP_016838610.1	XP_031842276.1
OG0001579	NP_001166052.1	XP_031843797.1, XP_031843800.1
OG0001580	XP_031777421.1	XP_031830012.1, XP_031830010.1, XP_031830004.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_031831029.1
OG0001582	XP_031777144.1	XP_031844673.1, XP_031844674.1
OG0001583	XP_001604253.3	XP_031842700.1, XP_031842704.1, XP_031842703.1, XP_031842701.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_031847584.1, XP_031847583.1
OG0001585	XP_031779984.1	XP_031839014.1
OG0001586	XP_001606047.3	XP_031839575.1, XP_031839576.1, XP_031839577.1, XP_031839574.1
OG0001587	XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_031826521.1
OG0001588	XP_031785514.1, XP_031785507.1	XP_031829015.1, XP_031829012.1, XP_031829014.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_031833628.1
OG0001590	XP_001604808.2	XP_031848865.1
OG0001591	XP_001599648.1	XP_031850159.1
OG0001592	XP_032456153.1	XP_031842084.1
OG0001593	XP_031787902.1	XP_031842739.1, XP_031842737.1, XP_031842736.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_031848405.1, XP_031848413.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_031828163.1, XP_031828162.1, XP_031828161.1, XP_031828164.1
OG0001596	XP_008216151.1	XP_031843681.1, XP_031843682.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_031845188.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_031839950.1, XP_031839949.1, XP_031839952.1, XP_031839951.1, XP_031839954.1, XP_031839948.1, XP_031839953.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_031839452.1
OG0001603	XP_001608057.1	XP_031840356.1, XP_031840357.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_031841293.1
OG0001605	XP_031783683.1	XP_031834422.1
OG0001606	XP_031783806.1, XP_031783807.1	XP_031848730.1, XP_031827256.1
OG0001607	XP_001603195.1	XP_031848500.1, XP_031829359.1, XP_031829361.1, XP_031829364.1, XP_031829358.1, XP_031829362.1, XP_031829363.1
OG0001608	XP_031788132.1	XP_031849876.1, XP_031849877.1
OG0001609	XP_001601232.1	XP_031837457.1, XP_031837454.1, XP_031837456.1, XP_031837455.1, XP_031837458.1
OG0001610	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1	XP_031841683.1
OG0001612	XP_008206969.1	XP_031839394.1, XP_031839392.1
OG0001614	XP_003423886.1	XP_031828648.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_031834291.1
OG0001616	XP_001606115.2	XP_031835330.1
OG0001617	NP_001161324.1	XP_031836379.1
OG0001619	XP_001608124.2	XP_031844979.1
OG0001620	XP_001600828.1	XP_031830106.1
OG0001621	XP_032457372.1	XP_031834010.1
OG0001622	XP_001601070.1	XP_031837740.1, XP_031837744.1, XP_031837746.1, XP_031837745.1, XP_031837748.1, XP_031837747.1, XP_031837750.1, XP_031837749.1, XP_031837751.1, XP_031837742.1, XP_031837741.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_031834432.1, XP_031834433.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_031826338.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_031830045.1, XP_031830043.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_031843775.1
OG0001627	XP_008209881.1	XP_031841048.1, XP_031841046.1, XP_031841049.1
OG0001628	XP_008211373.1	XP_031845338.1
OG0001629	XP_032451650.1	XP_031842132.1
OG0001630	XP_032454709.1	XP_031841245.1, XP_031841258.1
OG0001631	XP_031788348.2	XP_031835641.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_031832990.1
OG0001633	XP_001605824.2	XP_031832359.1
OG0001634	XP_001603395.1	XP_031826904.1, XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1
OG0001635	XP_001603971.1	XP_031826900.1, XP_031826903.1, XP_031826901.1
OG0001636	XP_008213391.1	XP_031834825.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_031830621.1
OG0001638	XP_008212555.1	XP_031846856.1, XP_031846946.1
OG0001639	XP_001599645.2	XP_031845921.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_031838771.1
OG0001641	NP_001161259.1	XP_031825601.1
OG0001642	XP_001606946.2	XP_031834583.1, XP_031834581.1, XP_031834580.1, XP_031834582.1
OG0001643	XP_031781597.1	XP_031836700.1, XP_031836708.1, XP_031836736.1, XP_031836717.1, XP_031836726.1
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_031829905.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_031830812.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_031842370.1, XP_031842369.1, XP_031842371.1, XP_031842372.1, XP_031842373.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_031833002.1, XP_031833003.1
OG0001648	XP_016842668.1	XP_031839384.1
OG0001649	XP_016839355.1	XP_031838162.1
OG0001650	XP_008215816.1	XP_031838027.1, XP_031838028.1, XP_031838026.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_031835645.1
OG0001652	XP_031776836.1	XP_031845777.1, XP_031845776.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_031835011.1
OG0001654	XP_001607435.2, XP_031779458.1	XP_031841346.1, XP_031841345.1, XP_031841347.1
OG0001655	XP_001603980.2	XP_031840400.1, XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840395.1, XP_031840401.1, XP_031840397.1, XP_031840396.1, XP_031840398.1
OG0001656	XP_001606701.1	XP_031843460.1, XP_031843461.1
OG0001657	XP_001606493.1	XP_031828070.1
OG0001658	XP_031787185.1	XP_031845086.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_031842781.1
OG0001660	XP_008217155.1	XP_031838745.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_031830722.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_031842975.1, XP_031842972.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_031830949.1
OG0001664	XP_032455099.1	XP_031846630.1, XP_031846633.1
OG0001665	XP_031786788.1	XP_031835404.1
OG0001666	XP_001606145.2	XP_031827309.1, XP_031827310.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_031838281.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_031846532.1
OG0001670	XP_031781642.1	XP_031839004.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_031825890.1
OG0001672	XP_001606256.1	XP_031842152.1
OG0001674	XP_008213000.1	XP_031839364.1
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_031829591.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_031840461.1
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_031840261.1
OG0001678	XP_001608054.1	XP_031840452.1
OG0001679	XP_001606876.1	XP_031849451.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_031841525.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_031827727.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_031849461.1, XP_031849467.1
OG0001683	XP_031782629.1, XP_031782628.1, XP_001603826.1	XP_031832193.1, XP_031832196.1, XP_031832195.1, XP_031832194.1
OG0001684	XP_008214622.1	XP_031847317.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_031848351.1, XP_031848353.1, XP_031848349.1, XP_031848350.1, XP_031848352.1
OG0001686	XP_031786365.1	XP_031842039.1
OG0001687	XP_008205605.1	XP_031840036.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_031832826.1
OG0001689	XP_001601304.1	XP_031827835.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_031845963.1, XP_031845962.1
OG0001692	XP_031776647.1	XP_031827234.1, XP_031827238.1, XP_031827237.1, XP_031827239.1, XP_031827236.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_031832264.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_031840957.1, XP_031840960.1, XP_031840959.1
OG0001695	XP_001605495.2	XP_031842741.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_031837569.1, XP_031837580.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_031842789.1, XP_031842788.1, XP_031842790.1
OG0001699	XP_001605545.2	XP_031832070.1, XP_031832069.1
OG0001700	XP_003425515.2	XP_031829500.1
OG0001701	XP_001603038.2	XP_031843576.1
OG0001702	XP_001602772.2	XP_031831737.1
OG0001703	XP_031783612.1	XP_031838862.1
OG0001704	XP_031784623.1	XP_031841304.1
OG0001706	XP_001607299.1	XP_031829174.1
OG0001707	XP_031784085.1, XP_031784087.1	XP_031844027.1, XP_031844028.1, XP_031844029.1, XP_031844030.1
OG0001708	XP_032456367.1	XP_031832209.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_031844192.1, XP_031844195.1
OG0001710	XP_001607529.1	XP_031839878.1, XP_031834269.1
OG0001711	XP_001604450.1	XP_031829368.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_031844403.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_031847260.1
OG0001714	XP_031784875.1	XP_031847682.1
OG0001715	XP_001602678.2	XP_031834273.1, XP_031834271.1, XP_031834272.1, XP_031834275.1, XP_031834276.1, XP_031834274.1
