Orthogroup	Nasonia_vitripennis	Bombyx_mori
OG0001446	XP_031779133.1, XP_031779135.1, XP_031779136.1	XP_037872969.1
OG0001453	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1	NP_001037144.1, XP_012548545.1
OG0001455	XP_001603088.1	XP_004932665.1, XP_037875264.1
OG0001456	XP_001605559.2	XP_021209082.1
OG0001457	XP_001608297.1	XP_012549706.1
OG0001458	XP_008202697.1	NP_001243920.1
OG0001459	XP_001605881.1	XP_021209024.1
OG0001460	XP_031782639.1, XP_031782638.1	XP_012544554.1
OG0001461	XP_001602569.1, XP_031780556.1, XP_008204854.1	XP_012544433.2
OG0001462	NP_001164526.1	XP_004929675.1, XP_004929676.1
OG0001463	XP_001602379.1	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1
OG0001464	NP_001153364.1	XP_021207479.1
OG0001465	XP_032453603.1, NP_001161454.1	XP_004927891.1, XP_004927887.1
OG0001466	NP_001161682.1	XP_004934358.1
OG0001467	XP_031782500.1	XP_037869859.1, XP_037869858.1
OG0001468	NP_001164370.1, XP_031789284.1	NP_001036939.1
OG0001469	XP_001602514.1	XP_004923021.1, XP_004923022.1
OG0001470	XP_032453882.1, XP_008203498.1	XP_021207359.1, XP_021207329.1
OG0001471	XP_008208004.1, XP_001601824.1	XP_004931777.2
OG0001472	XP_003427090.1, NP_001165814.1	XP_004928523.1, NP_001266343.1
OG0001473	XP_031782512.1, XP_016839548.1, XP_016839547.1	XP_004921751.1
OG0001474	XP_001600273.1	XP_004928242.1
OG0001475	XP_001602567.1	XP_004930737.1
OG0001476	XP_031778521.1	XP_012545928.1, XP_004926324.2
OG0001477	XP_008209844.2, XP_031778493.1, XP_032452915.1	XP_037877391.1, XP_037877482.1, XP_004929266.2
OG0001478	XP_001599569.1	NP_001170882.1, XP_012551408.1
OG0001479	NP_001153430.1, NP_001153431.1, XP_031788484.1	NP_001036956.1, XP_012549120.1
OG0001480	XP_001600183.2, XP_008203356.1, XP_016838825.1	XP_004930565.1
OG0001481	XP_016839111.1	XP_012547389.2, XP_004927794.2
OG0001482	XP_008202441.1	XP_021206661.1
OG0001484	XP_031778072.1	XP_012547006.1
OG0001485	XP_016841727.1, XP_032455540.1, XP_008215611.1	XP_004930031.2, XP_004929453.1
OG0001486	XP_016839609.1	XP_012553363.1
OG0001487	XP_032452572.1, XP_031779199.1	XP_012550436.1
OG0001488	XP_008217170.1	XP_037869760.1
OG0001489	XP_001607382.1, XP_001605381.1	XP_037868752.1
OG0001490	XP_031785541.1, XP_008205449.1	XP_004924569.1
OG0001491	XP_032456877.1	XP_004925005.1
OG0001492	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1	XP_004927896.1, XP_004927895.1, XP_004927894.1
OG0001494	XP_001602075.1	XP_037877591.1, XP_037867606.1
OG0001495	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1	XP_021207491.2
OG0001496	XP_001603226.2	XP_004927986.1
OG0001497	XP_031784591.1, XP_031784593.1	XP_004928336.2
OG0001498	XP_031777080.1	XP_037869992.1, XP_037870010.1
OG0001499	XP_001604715.2	XP_004928205.1
OG0001501	XP_031776687.1, XP_016844938.1	XP_037866800.1
OG0001502	XP_001600729.2	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1
OG0001503	XP_016841337.1, XP_001605673.1	XP_021206043.2
OG0001504	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1
OG0001505	XP_031785573.1, XP_031785570.1	XP_037867872.1
OG0001506	XP_008202078.1, NP_001154952.1	XP_021202503.2
OG0001507	XP_008207502.1, XP_001607887.1	XP_004933054.1, XP_021208141.1
OG0001508	XP_016840258.1, XP_016840259.1	NP_001091838.1, XP_012548520.2
OG0001509	XP_008209597.1	XP_037874937.1
OG0001510	XP_003424351.1, XP_031783578.1	XP_037868375.1
OG0001512	XP_031787727.1	XP_012547158.3
OG0001513	XP_003426035.2	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1
OG0001514	XP_001602311.1	NP_001243989.1, XP_012551916.2
OG0001515	XP_008212670.2	XP_037869339.1, XP_012552167.1, XP_004933624.1
OG0001516	XP_008212093.2	XP_012548192.1
OG0001517	XP_008202933.1	XP_004930586.1
OG0001518	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1	XP_012547971.1
OG0001519	XP_001602334.1	XP_037877043.1
OG0001520	XP_008213297.1, NP_001123264.1, XP_008213377.2	XP_004926900.1
OG0001521	XP_031780024.1	XP_037873615.1
OG0001522	XP_001605107.1	NP_001189459.1, XP_012547725.2
OG0001523	XP_031788417.1	XP_037867735.1
OG0001524	XP_031780585.1, XP_031780587.1	XP_004928551.2
OG0001525	XP_016843586.1, XP_001601499.1	XP_004928511.1
OG0001526	XP_031787170.1	XP_037869703.1
OG0001527	XP_031781489.1	XP_012547691.1, XP_012547692.1, XP_004928271.1
OG0001529	XP_016837523.1	NP_001103396.1, XP_021202150.1
OG0001531	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1	XP_004927972.1
OG0001533	XP_016843265.1, XP_003426298.1	XP_037872089.1
OG0001534	XP_003424346.1	XP_012548708.1
OG0001536	XP_032454772.1, XP_008212180.1	XP_021207987.1
OG0001537	XP_032454472.1, XP_001605883.1	XP_004930078.1
OG0001538	XP_031779949.1, NP_001164571.1	NP_001127726.1, NP_001127745.1
OG0001538	XP_031784266.1, NP_001161243.1	NP_001037049.1, XP_037873389.1
OG0001539	XP_032454016.1	NP_001182396.1
OG0001540	XP_001600172.1, XP_031781667.1	XP_037866721.1, NP_001108344.1, XP_037866889.1
OG0001541	XP_016842669.1, XP_001603217.2	XP_037869460.1
OG0001543	XP_031781815.1, NP_001177856.1	XP_021208076.1
OG0001544	XP_008202338.1	XP_037874873.1
OG0001545	XP_003425709.1, XP_031783661.1	XP_021205692.2
OG0001546	XP_003426901.1	XP_021202997.2
OG0001547	XP_031776662.1, XP_031776668.1	XP_037875077.1
OG0001548	XP_031780231.1	XP_037871858.1
OG0001549	XP_001602105.1	XP_004926505.1, XP_037875796.1, XP_004926490.1, XP_004926488.1, XP_004926489.1
OG0001551	XP_016842120.1, XP_008217464.1	NP_001040440.1, XP_021205145.1
OG0001552	XP_031788326.1	XP_037875658.1, XP_037875663.1
OG0001553	XP_003424529.1	XP_004922085.1
OG0001554	XP_001599461.2	XP_021202702.2
OG0001555	XP_008215528.1	XP_004926499.2
OG0001556	XP_008217201.2, XP_001606971.2	XP_037869191.1
OG0001557	XP_031783542.1	NP_001127732.1, XP_037868153.1
OG0001558	XP_008206364.1	XP_004922281.1
OG0001559	XP_001605046.2	XP_012550319.2
OG0001560	XP_016838086.1	XP_012553162.1, XP_012553161.2
OG0001561	XP_008207143.1	XP_004928449.2
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_037867104.1, XP_037867118.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_021204882.1
OG0001564	XP_031788964.1	XP_037867971.1, XP_037872070.1, XP_037872069.1, XP_021208340.2, XP_037872071.1, XP_012546980.2
OG0001565	XP_001600537.2	XP_037874788.1
OG0001567	XP_008209610.1, XP_008209603.1	NP_001036935.1, XP_037873779.1
OG0001568	XP_008208431.1	XP_037876104.1, NP_001243990.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_037873304.1
OG0001570	XP_001606837.1	XP_012551718.2
OG0001571	XP_003427777.1	XP_037875923.1
OG0001572	XP_031777942.1	XP_004927967.1, XP_004927965.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_012553425.1, XP_021201980.1
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	NP_001037325.1, NP_001037333.1
OG0001576	XP_031779387.1	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1
OG0001577	XP_001605704.1	XP_037868606.1, NP_001106746.1
OG0001578	XP_016838610.1	NP_001127709.1, NP_001127751.1, XP_037874604.1
OG0001579	NP_001166052.1	XP_037874676.1
OG0001580	XP_031777421.1	XP_004930748.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_012551182.2
OG0001582	XP_031777144.1	XP_012550801.1
OG0001583	XP_001604253.3	XP_004928527.1
OG0001584	NP_001153330.1, XP_031781907.1	XP_012546518.1, XP_012546512.1
OG0001586	XP_001606047.3	XP_012545422.2, NP_001138795.1
OG0001587	XP_008213632.1, XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_004931594.2
OG0001588	XP_031785514.1, XP_031785507.1	XP_037873144.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_021209162.1, XP_004925726.1, XP_004925727.1
OG0001591	XP_001599648.1	XP_004930937.1
OG0001592	XP_032456153.1	XP_004927023.1
OG0001593	XP_031787902.1	NP_001036870.1, XP_037867807.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_004927503.2
OG0001595	NP_001135866.1, XP_031777958.1	XP_004922227.1, XP_021205276.1
OG0001596	XP_008216151.1	XP_004926385.1
OG0001598	XP_001607388.1, XP_001607396.1	XP_037876897.1, NP_001037309.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_037872272.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_012553340.2
OG0001604	XP_016836809.1, XP_016836813.1	XP_012549189.1, XP_012549190.1
OG0001605	XP_031783683.1	NP_001040217.1, XP_012543931.1
OG0001606	XP_031783806.1, XP_031783807.1	NP_001296482.1, XP_004927952.1
OG0001608	XP_031788132.1	XP_004931746.1
OG0001612	XP_008206969.1	XP_021207912.2
OG0001614	XP_003423886.1	NP_001036780.1
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	NP_001037213.1, XP_037872124.1
OG0001616	XP_001606115.2	NP_001040407.1
OG0001617	NP_001161324.1	NP_001040232.1
OG0001619	XP_001608124.2	XP_021205425.1, XP_004928959.1
OG0001620	XP_001600828.1	XP_004933138.1
OG0001621	XP_032457372.1	XP_004925826.2, XP_037877870.1
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_037867510.1
OG0001624	XP_032452179.1, NP_001123226.1	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_037874467.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_004928349.1
OG0001627	XP_008209881.1	XP_004924826.1
OG0001628	XP_008211373.1	NP_001239350.1, XP_012553261.1
OG0001629	XP_032451650.1	XP_037873828.1, NP_001037261.1
OG0001630	XP_032454709.1	XP_012546057.1, XP_012546059.1, XP_004926433.1
OG0001631	XP_031788348.2	XP_004924824.1
OG0001632	XP_008215717.1, XP_031788442.1	XP_037869971.1, XP_037869970.1, XP_037869973.1, XP_037869972.1
OG0001633	XP_001605824.2	XP_004930100.1
OG0001634	XP_001603395.1	XP_021204093.1, XP_021204095.1
OG0001635	XP_001603971.1	XP_004933692.1
OG0001636	XP_008213391.1	NP_001037295.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_004932373.2
OG0001638	XP_008212555.1	XP_037877824.1
OG0001639	XP_001599645.2	XP_004924180.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_004925552.1
OG0001641	NP_001161259.1	XP_037870957.1
OG0001642	XP_001606946.2	XP_004927839.1
OG0001643	XP_031781597.1	XP_012546247.1
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_004931403.2, XP_012550302.2, XP_004931298.1
OG0001645	XP_001606113.1, XP_031789467.1	XP_012550830.1, XP_012550828.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_037873850.1
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_004923960.1
OG0001648	XP_016842668.1	XP_004921645.2
OG0001649	XP_016839355.1	NP_001040322.1
OG0001650	XP_008215816.1	XP_037870812.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_012550939.1
OG0001652	XP_031776836.1	XP_037874387.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_004932298.1
OG0001654	XP_001607435.2, XP_031779458.1	XP_037874808.1, XP_037874810.1
OG0001655	XP_001603980.2	XP_037870353.1, XP_004929896.1
OG0001656	XP_001606701.1	XP_037874784.1
OG0001657	XP_001606493.1	XP_004923460.1
OG0001658	XP_031787185.1	XP_004929407.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_037867834.1, XP_037867832.1
OG0001660	XP_008217155.1	XP_012547355.1, XP_004927973.1, XP_021204730.1, XP_021204729.1, XP_021204727.1, XP_012547354.1, XP_012547353.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_012550425.1, XP_012550426.1
OG0001662	XP_032453548.1, XP_032453537.1	XP_037875847.1, XP_037875850.1
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_004924463.1
OG0001664	XP_032455099.1	XP_037876251.1
OG0001665	XP_031786788.1	NP_001037676.1, XP_012550254.1
OG0001666	XP_001606145.2	XP_004932903.1
OG0001668	NP_001154951.1, XP_031784260.1	XP_021207357.2
OG0001669	XP_031788032.1, XP_032456034.1	XP_037872626.1
OG0001670	XP_031781642.1	XP_012547337.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_037869789.1
OG0001672	XP_001606256.1	XP_004927542.1
OG0001674	XP_008213000.1	XP_037868399.1
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_004932175.2
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_004926878.2
OG0001678	XP_001608054.1	XP_004933182.1, XP_021208293.1
OG0001679	XP_001606876.1	XP_012550552.1, NP_001040193.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_004931709.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_004925168.1
OG0001682	XP_031778882.1, XP_031778892.1	XP_037871731.1
OG0001684	XP_008214622.1	XP_004926136.1
OG0001686	XP_031786365.1	XP_012545103.1
OG0001687	XP_008205605.1	XP_021205581.2, XP_021205580.2, XP_004929203.2, XP_037877755.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_037873491.1, XP_037873494.1, XP_004925011.1, XP_012544838.1
OG0001689	XP_001601304.1	XP_004931070.1
OG0001690	XP_016838526.1, XP_031780708.1	XP_004933420.1, XP_004925492.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_037866559.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_012550686.1
OG0001695	XP_001605495.2	NP_001157388.1, XP_037869526.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_037867835.1
OG0001697	XP_008214784.1, XP_031786212.1	XP_037870401.1
OG0001699	XP_001605545.2	XP_037868480.1
OG0001700	XP_003425515.2	XP_012545416.1, XP_012545413.1, XP_012545415.1, XP_021203348.1, XP_037867332.1, XP_037867330.1, XP_037867329.1
OG0001701	XP_001603038.2	NP_001103813.1, XP_012545114.1
OG0001702	XP_001602772.2	XP_037872870.1, XP_037872869.1
OG0001703	XP_031783612.1	XP_037872461.1
OG0001704	XP_031784623.1	XP_004922938.1
OG0001706	XP_001607299.1	XP_021203120.2
OG0001707	XP_031784085.1, XP_031784087.1	XP_004929683.1, XP_004929682.1
OG0001708	XP_032456367.1	XP_004933031.1, XP_012551704.1, XP_021208160.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_012546115.2
OG0001710	XP_001607529.1	XP_012551180.1
OG0001711	XP_001604450.1	XP_004929510.2, XP_037870316.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_037868206.1, XP_037868211.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_021204783.2
OG0001714	XP_001603310.1, XP_031784875.1	XP_004925113.1
OG0001715	XP_001602678.2	XP_004925167.2
OG0001716	XP_031788831.1	NP_001119720.1, XP_021208178.2
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2
OG0001718	NP_001123321.1	XP_021202370.2
OG0001719	XP_016839634.1, XP_031782819.1	XP_004930706.1
OG0001720	XP_001603454.1	XP_037874122.1
OG0001721	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1	XP_037876359.1, XP_037876352.1, XP_004923372.1, XP_004923368.3
OG0001722	XP_001599948.2	NP_001124379.1
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_004930392.1
OG0001725	XP_008206905.1	XP_037874888.1
OG0001726	XP_016839031.1	XP_037868722.1
OG0001727	XP_031779917.1	XP_004931661.1, XP_037869753.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_037877837.1
OG0001730	XP_016845767.1	NP_001037025.1
OG0001731	XP_001602845.2	NP_001165929.1
OG0001732	XP_032454981.1, XP_001600976.1	NP_001171333.1
OG0001733	XP_031779561.1	XP_004927018.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_037866680.1
OG0001735	XP_031777893.1	XP_012546484.1, NP_001091806.1
OG0001736	XP_008208106.2, XP_016837375.1	XP_021201870.2
OG0001737	XP_001608059.1	XP_037869249.1, XP_037870331.1
OG0001738	XP_031778432.1	XP_012549316.1, XP_021206205.1
OG0001740	XP_031785471.1	NP_001243985.1, XP_012549111.2
OG0001741	XP_001604752.1, XP_016842588.1	XP_037867100.1, XP_004930147.2, XP_012549296.2
OG0001742	XP_031777878.1	NP_001155190.1, XP_037867298.1
OG0001743	XP_003424504.1	XP_012544721.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_037876498.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_037867651.1, XP_037867652.1
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_004928647.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_037872366.1, XP_021205486.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_037868039.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_004923007.1
OG0001751	XP_031788400.1	XP_004924269.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_037875699.1
OG0001754	XP_001605050.1	NP_001296479.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_012547839.1
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_012552706.1, XP_004922860.1
OG0001758	XP_001606851.1	XP_004923350.1
OG0001759	XP_001603531.2	XP_004922730.1
OG0001760	XP_008215927.1	XP_021203209.1, XP_037875161.1
OG0001762	XP_016837803.1	XP_004931903.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_037870842.1, XP_004926374.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_004924410.1, XP_004924409.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_004931914.1, XP_012550765.1
OG0001767	XP_008207626.1	XP_004929359.3
OG0001768	XP_001607572.2	XP_012545642.3
OG0001769	XP_016836818.1	XP_004927805.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	NP_001091826.1
OG0001775	XP_031785563.1	NP_001037464.2, XP_012549720.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_021203566.1
OG0001777	XP_001599602.1	NP_001037524.1, XP_021204674.1
OG0001778	XP_001606733.1	NP_001037048.1
OG0001779	XP_031779220.1	NP_001040379.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_004924435.2
OG0001781	XP_008207023.1	NP_001166823.1
OG0001782	XP_001599355.1	XP_004927858.1
OG0001783	XP_016843291.1	XP_004931936.2
OG0001784	XP_031783677.1, XP_031783676.1	XP_004922147.1, XP_012548350.1, XP_021204677.1
OG0001785	XP_001604175.2	XP_004925259.1
OG0001786	XP_001608245.1, XP_032457057.1	NP_001037223.1, XP_037870668.1
OG0001787	XP_008215237.1	XP_004932937.1
OG0001788	XP_031780973.1, XP_031780965.1	XP_004926494.1
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_004924543.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_004927254.1
OG0001791	XP_001608149.1	NP_001040447.1
OG0001792	XP_001600760.1	XP_037867676.1
OG0001793	XP_008214898.1	NP_001040374.1
OG0001794	XP_001605396.1	XP_004927813.2
OG0001795	XP_001607324.1, XP_008209260.1	XP_012544831.3
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_004931911.2
OG0001797	XP_031778511.1, XP_008207962.1	NP_001093087.1
OG0001798	XP_031780840.1	XP_012549913.1, XP_004927179.1, XP_004926790.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	NP_001166191.1
OG0001800	XP_001603293.1	XP_037867731.1
OG0001801	XP_031786470.1	XP_004927251.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_037870920.1, XP_012547121.1, NP_001040267.1
OG0001803	XP_008216245.1	XP_004925344.1
OG0001804	XP_008216463.1	XP_012551475.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_021206263.1, XP_037866965.1
OG0001806	XP_031778822.1, XP_031778823.1	XP_004930470.2
OG0001807	XP_008210360.2	XP_037873557.1
OG0001809	XP_001599542.2	XP_004929394.2
OG0001810	XP_031778732.1	XP_012550807.1
OG0001811	XP_001604243.1	XP_037871981.1
OG0001812	XP_016838603.1	NP_001037207.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_004929628.1
OG0001814	XP_001606172.1	NP_001040328.1
OG0001815	XP_016843551.1	NP_001091823.1, XP_037876930.1
OG0001816	XP_001600797.1, XP_001602430.1	XP_012545172.2
OG0001817	XP_031778530.1	XP_004931715.1, XP_021207399.2
OG0001818	XP_032452105.1, XP_001606225.1	XP_004928925.2
OG0001819	XP_031782397.1	XP_012545306.2
OG0001820	XP_001601107.1	XP_004921850.1
OG0001821	XP_001606303.4, XP_008203951.2	XP_037867951.1, XP_037877404.1
OG0001823	NP_001135434.1	XP_037875756.1
OG0001824	XP_031782171.1	XP_037868084.1, XP_037868075.1
OG0001826	XP_001606320.1	XP_012549145.2, NP_001243729.1
OG0001827	XP_031784416.1	XP_037876392.1, XP_037876387.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_012547992.1
OG0001829	XP_001607001.1	NP_001040363.1
OG0001830	XP_008210294.1	XP_012544507.1
OG0001831	XP_031788055.1	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_012550340.1
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_021202831.1
OG0001834	NP_001165788.1	XP_021205575.2
OG0001835	XP_031784847.1	XP_004933227.2
OG0001836	XP_032452667.1	XP_037869491.1, XP_037869486.1
OG0001838	XP_003425218.1	NP_001040461.1
OG0001839	XP_031778745.1	XP_037867245.1, XP_004930061.1
OG0001840	XP_003427589.1	XP_004924490.1
OG0001841	XP_001600825.2	XP_037875131.1
OG0001842	XP_001602441.1	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1
OG0001843	XP_032452489.1	XP_004923065.1
OG0001844	XP_001600994.2	XP_037868430.1
OG0001845	XP_001599772.1, XP_001599672.1, XP_031785182.1	NP_001165388.1, XP_037869302.1, XP_004929656.1
OG0001846	XP_001602119.1	NP_001296512.1
OG0001847	XP_031784075.1, NP_001135845.1	XP_004924718.1
OG0001848	XP_016837498.2	XP_037868356.1, XP_037868357.1
OG0001850	XP_016838533.1, XP_032452540.1, XP_032452543.1, XP_032452537.1, XP_032452534.1, XP_001603955.2	XP_012546560.2, XP_004927043.1
OG0001851	XP_031781505.1	XP_021204066.2
OG0001852	XP_031783963.1	XP_004925133.2
OG0001853	XP_031779560.1, XP_031779559.1	XP_037877103.1
OG0001854	XP_003424613.1	XP_037876316.1, XP_037876317.1, XP_004921880.1
OG0001855	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1	NP_001165386.1
OG0001856	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1	XP_037875737.1, XP_021202011.1
OG0001857	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1	XP_004922477.1
OG0001858	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1	XP_004928683.1
OG0001859	XP_031788809.1	XP_012552420.3
OG0001861	XP_031779274.1, XP_001604531.1	NP_001036938.1
OG0001862	XP_032455409.1, XP_032455410.1, XP_016840903.1	XP_012546765.1
OG0001864	XP_008216930.1, XP_008216933.1	XP_037876894.1
OG0001865	XP_008213688.1	XP_012545585.1, NP_001037554.1
OG0001867	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1	XP_037876257.1
OG0001868	XP_003423929.1, XP_003423930.1	XP_037873044.1
OG0001869	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1	NP_001040327.1
OG0001870	XP_008213110.1, XP_008213111.1, XP_008213109.1	XP_004929677.1
OG0001871	XP_001602810.2	XP_012547234.2, XP_037871093.1
OG0001872	XP_001606141.1	XP_004922404.2
OG0001873	NP_001135849.1, XP_031789337.1, XP_031789333.1	XP_004931774.2
OG0001874	XP_031783282.1	XP_037871173.1
OG0001875	XP_016843737.2, XP_031787829.1	XP_012553311.1
OG0001876	XP_008202206.1, XP_008202205.1	XP_012549181.1
OG0001878	XP_031783645.1	XP_004922231.2
OG0001879	XP_001606632.2	XP_004929391.1
OG0001880	XP_031786774.1, XP_031786778.1, XP_031786771.1	XP_012551963.1
OG0001881	XP_001604825.1, XP_003425165.1	XP_037870422.1
OG0001882	XP_031781968.1, XP_031781973.1	XP_037871054.1, XP_037871051.1
OG0001883	XP_001600206.1	XP_004931525.1
OG0001885	XP_008214621.1	XP_037876616.1, XP_037876617.1
OG0001886	XP_031785450.1	XP_012545706.2
OG0001887	XP_016840834.1	XP_037870239.1
OG0001888	XP_001604555.2, XP_031781367.1	XP_021202882.2, XP_012544871.2
OG0001889	XP_001608169.1	XP_037869833.1
OG0001891	XP_016840682.1, XP_031785164.1	XP_004923196.2
OG0001892	XP_031780675.1	XP_004932246.1
OG0001893	XP_031780757.1	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1
OG0001894	XP_008210932.1	XP_037867673.1, XP_004926898.1
