Orthogroup	Nasonia_vitripennis	Apis_mellifera
OG0001546	XP_003426901.1	XP_001121602.2, XP_026296545.1
OG0001547	XP_031776662.1, XP_031776668.1	XP_006565258.1
OG0001548	XP_031780231.1	XP_006568458.2, XP_026295258.1
OG0001549	XP_001602105.1	XP_006565363.2
OG0001551	XP_016842120.1, XP_008217464.1	XP_026301914.1
OG0001552	XP_031788326.1	XP_006561183.1, XP_016766181.1
OG0001553	XP_003424529.1	XP_394347.5
OG0001554	XP_001599461.2	XP_016770977.1, XP_006561260.1
OG0001555	XP_008215528.1	XP_396132.4
OG0001556	XP_008217201.2, XP_001606971.2	XP_006558583.1
OG0001557	XP_031783542.1	XP_006564466.1
OG0001558	XP_008206364.1	XP_393403.3
OG0001559	XP_001605046.2	XP_026299665.1
OG0001560	XP_016838086.1	NP_001242968.1, XP_006561571.2, NP_001242969.1
OG0001561	XP_008207143.1	XP_006563441.2
OG0001562	XP_008216662.1, XP_003425088.2, XP_008216635.1	XP_006558995.1
OG0001563	XP_016843697.1, XP_016843694.1	XP_016772117.1
OG0001565	XP_001600537.2	XP_026299072.1
OG0001567	XP_008209610.1, XP_008209603.1	XP_006562827.2, XP_026302056.1
OG0001568	XP_008208431.1	XP_006567935.1
OG0001569	XP_001600474.2, XP_031778476.1	XP_026300765.1, XP_625030.1, XP_006564990.1
OG0001570	XP_001606837.1	XP_001120557.1, XP_006571825.1
OG0001571	XP_003427777.1	XP_623644.3
OG0001572	XP_031777942.1	XP_006558902.1, XP_393632.2, XP_006558903.1, XP_393631.3
OG0001573	XP_003424638.1	XP_026302090.1
OG0001574	XP_016840016.1, XP_016840018.1	XP_006557906.2
OG0001575	XP_008211589.1, XP_032455767.1, XP_032455766.1	XP_026298538.1
OG0001576	XP_031779387.1	XP_026295510.1
OG0001577	XP_001605704.1	XP_394734.5
OG0001578	XP_016838610.1	XP_006567173.2
OG0001579	NP_001166052.1	XP_393727.2
OG0001580	XP_031777421.1	XP_026298115.1, XP_026298114.1, XP_026298110.1
OG0001581	XP_016845304.1, XP_016845302.1, XP_016845303.1	XP_001122164.3
OG0001582	XP_031777144.1	XP_026295451.1, XP_016766735.2
OG0001583	XP_001604253.3	XP_006560007.3
OG0001584	NP_001153330.1, XP_031781907.1	XP_006571318.1, XP_006571313.1
OG0001585	XP_031779984.1	XP_026296905.1
OG0001586	XP_001606047.3	XP_623933.1
OG0001587	XP_008213632.1, XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1	XP_006568372.3
OG0001588	XP_031785514.1, XP_031785507.1	XP_016770533.1, XP_016770532.1
OG0001589	XP_016840703.1, XP_032455619.1, XP_008205515.1	XP_001120695.1
OG0001590	XP_001604808.2	XP_016768773.1
OG0001591	XP_001599648.1	XP_006566433.2, XP_026299417.1
OG0001592	XP_032456153.1	XP_026301990.1
OG0001593	XP_031787902.1	XP_016772021.1
OG0001594	XP_031785379.1, XP_031785380.1	XP_624254.3, XP_006562530.1
OG0001595	NP_001135866.1, XP_031777958.1	XP_393778.2
OG0001596	XP_008216151.1	XP_003251001.1
OG0001598	XP_001607388.1, XP_001607396.1	NP_001011578.1
OG0001599	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1	XP_001122316.2, XP_006568865.1
OG0001601	XP_031777698.1, XP_016836693.1	XP_016766791.1
OG0001604	XP_016836809.1, XP_016836813.1	XP_016769578.1, XP_016769579.1
OG0001605	XP_031783683.1	XP_006562747.2, XP_006562750.2, XP_006562749.2
OG0001606	XP_031783806.1, XP_031783807.1	XP_006559482.2, XP_016772477.2
OG0001607	XP_001603195.1	XP_026295945.1
OG0001608	XP_031788132.1	XP_006566547.1, XP_016770624.1, XP_016770623.2
OG0001609	XP_001601232.1	XP_001120089.2, XP_006571670.1
OG0001610	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1	XP_001122299.3, XP_006563218.1
OG0001612	XP_008206969.1	XP_006570894.1, XP_006570895.1
OG0001614	XP_003423886.1	XP_006563852.2
OG0001615	XP_001601398.1, XP_032456260.1, XP_032456259.1	XP_001120364.1
OG0001616	XP_001606115.2	XP_006566477.1, XP_006566478.1
OG0001617	NP_001161324.1	XP_006559199.1
OG0001619	XP_001608124.2	XP_026302278.1, XP_026302276.1
OG0001620	XP_001600828.1	XP_006559598.1, XP_006559599.1
OG0001621	XP_032457372.1	XP_006567760.1, XP_003251079.1
OG0001622	XP_001601070.1	XP_006572004.2
OG0001623	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1	XP_395696.2
OG0001624	XP_032452179.1, NP_001123226.1	XP_397056.2
OG0001625	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2	XP_396699.1
OG0001626	XP_001608243.1, XP_003426730.1	XP_624479.1
OG0001627	XP_008209881.1	XP_006568009.1
OG0001628	XP_008211373.1	XP_006567224.1
OG0001629	XP_032451650.1	XP_624943.3
OG0001630	XP_032454709.1	XP_001122389.1
OG0001631	XP_031788348.2	XP_624018.4
OG0001632	XP_008215717.1, XP_031788442.1	XP_016771561.1
OG0001633	XP_001605824.2	XP_006558558.3
OG0001634	XP_001603395.1	XP_623646.2
OG0001635	XP_001603971.1	XP_001120583.1
OG0001636	XP_008213391.1	XP_006568732.2, NP_001035346.1
OG0001637	XP_031787579.1, XP_008217813.1	XP_016769931.2, XP_396322.3
OG0001638	XP_008212555.1	XP_026301628.1
OG0001639	XP_001599645.2	XP_006565792.1
OG0001640	XP_008218010.1, XP_031776898.1	XP_026297298.1
OG0001641	NP_001161259.1	XP_003250009.1, XP_016767664.1
OG0001642	XP_001606946.2	XP_394292.3
OG0001643	XP_031781597.1	XP_001123355.3
OG0001644	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1	XP_623950.2
OG0001645	XP_001606113.1, XP_031789467.1	XP_397283.1
OG0001646	XP_016837914.1, XP_008204868.2	XP_016767126.2, XP_006567318.2
OG0001647	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1	XP_026300749.1
OG0001648	XP_016842668.1	XP_006571365.1
OG0001649	XP_016839355.1	XP_016769479.1
OG0001650	XP_008215816.1	XP_026298834.1, XP_026298833.1
OG0001651	XP_008216328.1, XP_008216334.1	XP_006566520.1, XP_006566522.1
OG0001652	XP_031776836.1	XP_006560202.1, XP_016768462.1
OG0001653	XP_031779587.1, XP_008212815.1	XP_006563337.2
OG0001654	XP_001607435.2, XP_031779458.1	XP_006562323.1
OG0001655	XP_001603980.2	XP_006568644.1
OG0001656	XP_001606701.1	XP_001121554.3
OG0001657	XP_001606493.1	XP_006569661.1
OG0001658	XP_031787185.1	XP_016767405.1, XP_016767404.1, XP_006567305.1
OG0001659	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1	XP_016772008.1
OG0001660	XP_008217155.1	XP_006571017.1
OG0001661	XP_016841698.1, XP_016841700.1	XP_393502.3
OG0001662	XP_032453548.1, XP_032453537.1	XP_006563658.1, XP_016772164.2
OG0001663	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1	XP_006569237.2
OG0001664	XP_032455099.1	NP_001155988.1, XP_006567657.1
OG0001665	XP_031786788.1	XP_006566494.1
OG0001666	XP_001606145.2	XP_624283.3
OG0001668	NP_001154951.1, XP_031784260.1	XP_006562826.1
OG0001669	XP_031788032.1, XP_032456034.1	XP_006572269.1
OG0001670	XP_031781642.1	XP_624386.1
OG0001671	XP_008202575.1, XP_032451770.1	XP_006562904.1
OG0001672	XP_001606256.1	XP_026301574.1
OG0001674	XP_008213000.1	XP_396231.4, XP_006571348.2
OG0001675	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1	XP_001119944.1
OG0001676	XP_001604719.1, XP_008210900.1, XP_008210901.1	XP_026296455.1, XP_026296459.1
OG0001677	XP_031780122.1, XP_008217767.1, XP_008217768.1	XP_623490.2
OG0001678	XP_001608054.1	XP_016773295.1, XP_392138.3
OG0001679	XP_001606876.1	NP_001264229.1
OG0001680	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1	XP_623725.1
OG0001681	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1	XP_391963.3
OG0001682	XP_031778882.1, XP_031778892.1	XP_006558051.1
OG0001683	XP_031782629.1, XP_031782628.1, XP_001603826.1	XP_001122957.2
OG0001684	XP_008214622.1	XP_026301408.1
OG0001685	XP_001601619.1, XP_008209389.1	XP_006559783.1, XP_006559784.1, XP_397385.2
OG0001686	XP_031786365.1	XP_006562633.1
OG0001687	XP_008205605.1	XP_026300480.1
OG0001688	XP_016838655.1, XP_016838654.1	XP_003250542.1
OG0001689	XP_001601304.1	XP_006560383.2
OG0001690	XP_016838526.1, XP_031780708.1	XP_006563110.2, XP_006563111.2
OG0001692	XP_031776647.1	XP_016772581.1
OG0001693	XP_016844904.1, XP_016844903.1	XP_006559220.1
OG0001694	XP_001601595.2, XP_008214379.1	XP_016766972.1, XP_016766975.1
OG0001695	XP_001605495.2	XP_397181.1
OG0001696	XP_016839940.1, XP_016839935.1	XP_026301919.1, XP_006571061.2
OG0001697	XP_008214784.1, XP_031786212.1	XP_395370.1
OG0001699	XP_001605545.2	XP_006560897.1
OG0001700	XP_003425515.2	XP_016772146.2
OG0001701	XP_001603038.2	XP_624673.3, XP_016768020.1, XP_016768015.1, XP_006563314.1
OG0001702	XP_001602772.2	XP_006557525.1, XP_006557524.1, XP_001120701.2
OG0001703	XP_031783612.1	XP_394880.3
OG0001704	XP_031784623.1	XP_391922.2
OG0001706	XP_001607299.1	XP_393619.4, XP_016768168.2
OG0001707	XP_031784085.1, XP_031784087.1	XP_026300987.1
OG0001708	XP_032456367.1	XP_006560213.1
OG0001709	XP_031778401.1, XP_016838351.2	XP_026295555.1, XP_026295547.1, XP_016772700.2
OG0001711	XP_001604450.1	XP_394460.1
OG0001712	XP_016840038.1, XP_003426087.1	XP_016771334.1, XP_016771331.1
OG0001713	XP_031781853.1, XP_008205133.1	XP_006562481.1
OG0001714	XP_031784875.1	NP_001207416.1
OG0001715	XP_001602678.2	XP_006569265.3
OG0001716	XP_031788831.1	XP_016768172.2
OG0001717	XP_031780580.1, XP_031780579.1, XP_031780581.1	XP_006567330.1
OG0001718	NP_001123321.1	XP_393236.2
OG0001720	XP_001603454.1	XP_392615.1, XP_016769284.1
OG0001721	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1	XP_001120250.2
OG0001722	XP_001599948.2	XP_026296832.1, XP_026296833.1, XP_026296834.1
OG0001724	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1	XP_394574.3
OG0001725	XP_008206905.1	XP_396830.4
OG0001726	XP_016839031.1	XP_006563226.1
OG0001728	XP_031778302.1, XP_031778296.1	XP_016770863.2
OG0001730	XP_016845767.1	XP_026295833.1, XP_026295840.1
OG0001731	XP_001602845.2	XP_026297019.1
OG0001732	XP_032454981.1, XP_001600976.1	XP_016767782.1
OG0001733	XP_031779561.1	XP_026297267.1
OG0001734	XP_031784313.1, NP_001123274.2	XP_624577.2, XP_006571701.2
OG0001735	XP_031777893.1	XP_016773594.2, XP_016773595.2
OG0001736	XP_008208106.2, XP_016837375.1	XP_016766963.1
OG0001737	XP_001608059.1	XP_026296648.1
OG0001738	XP_031778432.1	XP_003249819.2
OG0001740	XP_031785471.1	XP_026299184.1, XP_026299186.1
OG0001741	XP_001604752.1, XP_016842588.1	XP_026302182.1, XP_006561144.2, XP_006561143.2
OG0001742	XP_031777878.1	XP_026300294.1, XP_026300286.1, XP_026300287.1
OG0001743	XP_003424504.1	XP_001122418.1
OG0001744	XP_032456693.1, XP_008207057.1	XP_026301456.1
OG0001745	NP_001123290.1, XP_016843823.1	XP_392464.3
OG0001746	XP_008215090.1, XP_001601463.1, XP_008215089.1	XP_006567770.1
OG0001748	XP_031782214.1, XP_031782223.1	XP_026295003.1, XP_026294997.1
OG0001749	XP_031782462.1, XP_031782476.1	XP_026302273.1, XP_026302286.1
OG0001750	XP_008214524.1, NP_001177690.1	XP_001122103.1, XP_016769468.1
OG0001751	XP_031788400.1	XP_026294749.1, XP_026294750.1
OG0001753	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1	XP_026298887.1
OG0001754	XP_001605050.1	NP_001242967.1
OG0001755	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1	XP_393886.3
OG0001756	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1	XP_001120526.3
OG0001758	XP_001606851.1	XP_006564274.1
OG0001759	XP_001603531.2	XP_395591.4
OG0001760	XP_008215927.1	XP_016768495.1, XP_006568356.1, XP_016768496.1, XP_016768497.1
OG0001762	XP_016837803.1	XP_006557859.1, XP_026299032.1, XP_016769765.1
OG0001763	XP_001606327.2, NP_001153433.1	XP_625210.1
OG0001764	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1	XP_006564801.1
OG0001765	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1	XP_006562314.1, XP_003250045.1
OG0001767	XP_008207626.1	XP_026296535.1
OG0001768	XP_001607572.2	XP_006562413.1
OG0001769	XP_016836818.1	XP_026294891.1
OG0001770	XP_008202168.2, NP_001154978.1, NP_001154980.1, NP_001154981.1, XP_001603404.2, NP_001154979.1, NP_001155025.1, XP_008210287.1, NP_001154974.1, XP_008217956.1, NP_001154975.1, XP_031784171.1	NP_001014429.1, XP_006559009.2, XP_026299316.1, NP_001011599.1, XP_026299315.1, NP_001011580.1, NP_001011601.1, XP_026299317.1, NP_001011610.1, NP_001011622.1, NP_001011579.1, NP_001011564.1, NP_001019868.1
OG0001771	XP_003427532.1	XP_006564844.1
OG0001772	XP_031789545.1	XP_016773325.1
OG0001773	XP_031783227.1	XP_026301564.1, XP_026301563.1, XP_026301567.1
OG0001774	XP_032453470.1, XP_032453469.1, XP_016837512.1	XP_016767411.1
OG0001775	XP_031785563.1	XP_006557802.1
OG0001776	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1	XP_006562600.2
OG0001777	XP_001599602.1	XP_623303.1, XP_393059.1
OG0001778	XP_001606733.1	XP_006571958.1, XP_006571960.1
OG0001779	XP_031779220.1	XP_006572136.1
OG0001780	XP_001600215.1, XP_001601642.1	XP_394026.2
OG0001781	XP_008207023.1	XP_006561705.1
OG0001782	XP_001599355.1	XP_394140.4
OG0001783	XP_016843291.1	XP_003249423.2
OG0001784	XP_031783677.1, XP_031783676.1	XP_624087.2
OG0001785	XP_001604175.2	XP_623908.1
OG0001786	XP_001608245.1, XP_032457057.1	XP_001120360.1
OG0001787	XP_008215237.1	XP_393706.3
OG0001788	XP_031780973.1, XP_031780965.1	XP_395906.3
OG0001789	XP_001604882.1, XP_031785410.1, XP_032455592.1	XP_006567899.1
OG0001790	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1	XP_392085.2
OG0001791	XP_001608149.1	XP_001120245.2, XP_006568251.2
OG0001792	XP_001600760.1	XP_625134.3
OG0001793	XP_008214898.1	XP_016768363.1, XP_026296947.1
OG0001794	XP_001605396.1	XP_006568264.1, XP_026295048.1
OG0001795	XP_001607324.1	XP_006567715.1
OG0001796	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2	XP_026296488.1
OG0001797	XP_031778511.1, XP_008207962.1	XP_001120264.1
OG0001799	XP_001603027.1, XP_031784347.2, XP_001603141.1	XP_001121575.2, XP_394485.2, XP_006567170.1, NP_001157184.1
OG0001800	XP_001603293.1	XP_006571623.1, XP_395349.1, XP_006571624.1, XP_026297611.1
OG0001801	XP_031786470.1	XP_006571821.1
OG0001802	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1	XP_396615.2
OG0001803	XP_008216245.1	XP_006569400.1
OG0001804	XP_008216463.1	XP_394859.1
OG0001805	XP_016841795.1, NP_001155144.1, XP_008201766.1	XP_006563149.2
OG0001806	XP_031778822.1, XP_031778823.1	XP_006563359.1, XP_026302126.1
OG0001807	XP_008210360.2	XP_001121112.2
OG0001808	NP_001136342.1	XP_623170.1
OG0001809	XP_001599542.2	XP_016768585.1, XP_006568686.1, XP_006568687.1
OG0001810	XP_031778732.1	XP_006559673.1, XP_006559672.1
OG0001811	XP_001604243.1	XP_003249302.2
OG0001812	XP_016838603.1	XP_006560961.1
OG0001813	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1	XP_001122360.3
OG0001814	XP_001606172.1	XP_397220.3
OG0001815	XP_016843551.1	XP_006562406.1
OG0001816	XP_001600797.1, XP_001602430.1	XP_026298657.1
OG0001817	XP_031778530.1	XP_623822.2
OG0001818	XP_032452105.1, XP_001606225.1	XP_026298053.1, XP_026298054.1
OG0001819	XP_031782397.1	XP_003250992.1
OG0001820	XP_001601107.1	XP_394676.2
OG0001821	XP_001606303.4, XP_008203951.2	XP_001120030.2, XP_006571059.1, XP_006571060.1
OG0001822	XP_001603912.2, XP_008202668.1	XP_396855.2
OG0001823	NP_001135434.1	XP_026301314.1
OG0001824	XP_031782171.1	XP_006565919.1, XP_006565917.1
OG0001826	XP_001606320.1	XP_016773199.1
OG0001827	XP_031784416.1	XP_026296804.1
OG0001828	XP_031782069.1, XP_001600397.1	XP_006557452.1, XP_394141.2, XP_026299679.1, XP_006557451.1
OG0001829	XP_001607001.1	XP_006561681.1, XP_006561682.1
OG0001830	XP_008210294.1	XP_006564281.1
OG0001831	XP_031788055.1	XP_026300798.1
OG0001832	XP_031787912.1, XP_031787911.1	XP_394067.4
OG0001833	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1	XP_026296913.1
OG0001834	NP_001165788.1	XP_391916.3
OG0001835	XP_031784847.1	XP_006560538.1, XP_001120677.3
OG0001836	XP_032452667.1	XP_026300727.1
OG0001837	XP_031785035.1, XP_001602132.1	XP_003250899.1
OG0001838	XP_003425218.1	XP_001120649.1
OG0001839	XP_031778745.1	XP_001120879.2, XP_016769298.2
OG0001840	XP_003427589.1	XP_026296453.1
OG0001841	XP_001600825.2	NP_001242966.1
OG0001842	XP_001602441.1	XP_395471.3
OG0001843	XP_032452489.1	XP_026298492.1, XP_396332.3
OG0001844	XP_001600994.2	XP_624012.3
OG0001845	XP_001599772.1, XP_001599672.1, XP_031785182.1	XP_392773.3
OG0001846	XP_001602119.1	XP_016767933.1
OG0001847	XP_031784075.1, NP_001135845.1	XP_026300234.1
OG0001848	XP_016837498.2	XP_624014.2, XP_016768675.1
OG0001850	XP_016838533.1, XP_032452540.1, XP_032452543.1, XP_032452537.1, XP_032452534.1	XP_393385.3
OG0001851	XP_031781505.1	XP_001120336.2
OG0001852	XP_031783963.1	XP_001121588.2
OG0001853	XP_031779560.1, XP_031779559.1	XP_006561993.1
OG0001854	XP_003424613.1	XP_026299949.1
OG0001855	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1	XP_393876.1, XP_016770895.1
OG0001856	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1	XP_026298504.1
OG0001857	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1	XP_006567507.1
OG0001858	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1	XP_393894.1
OG0001859	XP_031788809.1	XP_001122536.1
OG0001860	XP_008208667.1, XP_016838277.1	XP_006566847.1, XP_026295377.1, XP_026295376.1
OG0001861	XP_031779274.1, XP_001604531.1	XP_026296639.1
OG0001862	XP_032455409.1, XP_032455410.1, XP_016840903.1	XP_003251799.1
OG0001864	XP_008216930.1, XP_008216933.1	XP_006565068.1
OG0001865	XP_008213688.1	XP_026298716.1
OG0001866	XP_001607499.1, XP_001607501.2, XP_031779743.1	XP_395324.2
OG0001867	XP_032453440.1, XP_032453441.1, XP_031780193.1, XP_031780194.1	XP_006561140.1
OG0001868	XP_003423929.1, XP_003423930.1	XP_396874.5
OG0001869	XP_016845329.1, XP_031786408.1, XP_032455218.1, XP_016845330.1	XP_003249459.1
OG0001870	XP_008213110.1, XP_008213111.1, XP_008213109.1	XP_006562529.1, XP_016768217.1
OG0001871	XP_001602810.2	XP_393301.3
OG0001872	XP_001606141.1	XP_026299612.1
OG0001873	NP_001135849.1, XP_031789337.1, XP_031789333.1	XP_397060.3
OG0001874	XP_031783282.1	XP_003250417.1
OG0001875	XP_016843737.2, XP_031787829.1	XP_006563722.1, XP_016772169.1
OG0001876	XP_008202206.1, XP_008202205.1	XP_006559138.1, XP_006559144.1
OG0001877	XP_031787040.1, XP_016841057.1	XP_006558330.1, XP_006558328.1
OG0001878	XP_031783645.1	XP_026301695.1
OG0001879	XP_001606632.2	XP_016766647.1
OG0001880	XP_031786774.1, XP_031786778.1, XP_031786771.1	XP_026297802.1
OG0001881	XP_001604825.1, XP_003425165.1	XP_003250415.1
OG0001882	XP_031781968.1, XP_031781973.1	XP_006568897.2, XP_026294859.1
OG0001883	XP_001600206.1	XP_006568004.1
OG0001885	XP_008214621.1	XP_001121449.1
OG0001886	XP_031785450.1	XP_006567216.2
OG0001887	XP_016840834.1	XP_026295850.1, XP_026295851.1, XP_006558751.1, XP_026295849.1
OG0001888	XP_031781367.1	XP_016771541.2
OG0001889	XP_001608169.1	XP_006569623.1
OG0001891	XP_016840682.1, XP_031785164.1	XP_006564255.1, XP_006564252.1, XP_006564253.1
OG0001892	XP_031780675.1	XP_006570318.1, XP_026296436.1
OG0001893	XP_031780757.1	XP_026299177.1
OG0001894	XP_008210932.1	XP_006570163.2
OG0001895	XP_031787844.1, XP_031787851.1, XP_031787846.1	XP_016771683.2
OG0001896	XP_016838553.1, XP_016838549.1	XP_026299099.1
OG0001897	XP_001601168.1	NP_001229455.1
OG0001898	XP_031786285.1, XP_031786233.1, XP_001604787.3, XP_016843937.1	XP_006561037.2
OG0001899	XP_016841545.1	XP_016770620.1
OG0001900	XP_001606107.2	XP_393467.3
OG0001901	XP_001604350.2	XP_016770289.2, XP_016770290.2, XP_006566772.2
OG0001902	XP_001605445.1	XP_392789.3
OG0001903	XP_016844247.1	XP_026297341.1
OG0001904	XP_031779842.1	XP_026296404.1
OG0001905	XP_031785555.1	XP_006567964.2, XP_006567963.2, XP_003251131.2
OG0001906	XP_032458034.1	XP_006562935.2
OG0001907	XP_016843397.1	XP_026296956.1, XP_026296957.1
OG0001909	XP_032456056.1	XP_016767679.1, XP_016767685.1
OG0001910	XP_008201822.1	XP_003251266.1
OG0001912	XP_008216537.1	XP_016766824.1, XP_016766822.1, XP_016766821.1
OG0001913	XP_016844726.1	XP_394416.4
OG0001914	XP_016838374.1	XP_026294941.1
OG0001915	XP_003427521.1, XP_003427523.1	XP_003251133.1
OG0001916	XP_008215942.1, XP_032456961.1	XP_006569310.1
OG0001917	XP_008203737.1, XP_008203739.1, XP_031782066.1, XP_031782067.1	XP_006559184.1
OG0001918	XP_003427931.1	XP_016770883.1
OG0001919	XP_031788736.1, XP_031788448.1, XP_008212485.1	XP_026295420.1
OG0001920	XP_008215501.1, XP_001607287.1	XP_026299260.1
OG0001921	XP_001604700.1	XP_026297912.1
OG0001923	XP_008209458.1	XP_006565281.1
OG0001924	XP_031782567.1	XP_026302298.1, XP_026302295.1
OG0001925	XP_001607740.1, XP_008203086.1, XP_031777813.1	XP_006571829.1
OG0001926	XP_003426826.1	XP_392721.1
OG0001927	XP_031788331.1, XP_016842024.1	XP_397416.4, XP_006571828.2
OG0001928	XP_016844845.2	XP_016769813.2
OG0001929	XP_031780127.1	XP_393673.3
OG0001930	XP_031779200.1	XP_016769991.2
OG0001931	XP_031777740.1, XP_001607753.1, XP_032451803.1	XP_006572346.1, XP_026302266.1
OG0001933	XP_031778152.1, XP_003425501.1	XP_026301661.1, XP_016772147.2, XP_026301707.1
OG0001934	XP_016838487.1	XP_397465.5
OG0001935	XP_003427326.1	XP_006571434.1, XP_006571436.1
OG0001936	NP_001164386.1, XP_031777853.1	XP_016768876.1
OG0001937	XP_032452144.1, NP_001128389.1, NP_001128390.1	NP_001159377.1, XP_006561583.1
OG0001938	XP_031787199.1, XP_001603831.2	XP_001121838.2
OG0001939	XP_031777252.1, XP_008215319.1, XP_008215317.1, XP_008215320.1, XP_001606070.1	XP_006572022.1
OG0001940	XP_008214308.2	XP_006559014.1, XP_006559013.1, XP_003249430.1
OG0001941	XP_032452908.1, XP_008209803.1	XP_026295572.1, XP_026295581.1
OG0001942	XP_008208407.1	XP_394981.4
OG0001943	XP_031781572.1	NP_001128414.1
OG0001944	XP_008206976.2, XP_031786898.1	XP_026295054.1, NP_001011594.1
OG0001945	XP_031785446.1	XP_026299716.1
OG0001946	XP_003425284.1, XP_003425283.1, XP_008201901.1	XP_006566698.1
OG0001947	XP_031779520.1, XP_031779522.1	XP_623782.1, XP_006565058.1
OG0001948	XP_016839730.1, XP_016839731.1	XP_003250512.2
OG0001949	XP_008216747.1, XP_031777065.1, XP_032451847.1, XP_032451848.1	XP_006568087.1, XP_006568088.1, XP_624939.1
OG0001950	XP_001606793.1	XP_006563986.1, XP_006563984.1, XP_623136.3, XP_026295570.1
OG0001951	XP_008205666.1	XP_394762.4
OG0001952	XP_031776867.1, XP_031776838.1	XP_006564685.2
OG0001953	XP_031787744.1	XP_026299767.1
OG0001954	XP_008206918.1	XP_006562334.1
OG0001955	XP_031786918.1, XP_031786917.1, XP_031780986.1	XP_006571588.1
OG0001956	XP_008216697.1, XP_032453954.1	XP_006562695.1
OG0001959	XP_001604806.1	XP_001120848.2
OG0001960	XP_016844932.1, XP_016844931.1, XP_016844929.1	XP_393174.1
OG0001961	XP_032453532.1, XP_001603588.2, XP_032453533.1	NP_001035357.1, XP_026295136.1
OG0001962	XP_008206753.1	XP_003249671.1
OG0001963	XP_008213483.1	XP_026297487.1
OG0001964	XP_031784293.1, NP_001122409.2	XP_016767882.2
OG0001965	XP_031779566.1, XP_016841474.1	XP_392686.2
OG0001966	XP_001607784.1	XP_026300995.1
OG0001967	XP_008205423.1, NP_001155989.1, NP_001155990.1	NP_001104725.1
OG0001968	XP_016843785.1, XP_031787537.1	XP_001122665.2
OG0001969	XP_003427305.1	XP_003250447.1, XP_016770394.1
OG0001970	XP_001600421.2	XP_016771856.2
OG0001971	XP_016838128.1	XP_026296991.1, XP_006562488.2, XP_003250107.2
OG0001973	XP_032456675.1, XP_031787668.1	XP_026298607.1, XP_006567526.1
OG0001974	XP_016842541.1, XP_016842540.1, XP_008202112.1, XP_008202114.1, XP_003425404.1, XP_032453528.1, XP_008202110.1	XP_006564000.1
OG0001975	XP_001603045.2, XP_016839305.1	XP_026294727.1
OG0001976	XP_016844202.1	XP_394673.4
OG0001977	XP_001602111.4	NP_001265262.1, XP_026297361.1
OG0001978	NP_001128299.1, XP_031778346.1, XP_031789018.1	XP_026295220.1, XP_026295217.1, NP_001128300.1
