Orthogroup	Osmia_bicornis	Tribolium_castaneum
OG0000747	XP_029037484.1	XP_008200433.1
OG0000748	XP_029046110.1, XP_029046091.1, XP_029046101.1	NP_001034490.1, XP_008191152.1
OG0000749	XP_029034745.1	XP_015837495.1
OG0000749	XP_029045998.1	XP_969151.1
OG0000750	XP_029049058.1, XP_029049055.1, XP_029049056.1, XP_029049057.1	XP_972562.2
OG0000751	XP_029036250.1	NP_001153720.1
OG0000751	XP_029033906.1	XP_015837414.1
OG0000752	XP_029039135.1	XP_015836381.1, XP_972176.1
OG0000753	XP_029044383.1, XP_029044382.1	XP_008198451.1
OG0000754	XP_029039515.1	XP_973097.1
OG0000755	XP_029051860.1, XP_029051861.1, XP_029051863.1	XP_008193975.1
OG0000756	XP_029055378.1, XP_029055377.1	XP_001811932.1, XP_001810980.1
OG0000757	XP_029054481.1	XP_972879.1
OG0000758	XP_029040597.1, XP_029041032.1	XP_969808.1
OG0000759	XP_029052225.1, XP_029052224.1, XP_029052223.1, XP_029052221.1	XP_008200324.1, XP_971832.1
OG0000760	XP_029044834.1, XP_029044835.1, XP_029044833.1	XP_008195593.1
OG0000761	XP_029051596.1	XP_008191796.1
OG0000762	XP_029047045.1	XP_972221.1
OG0000764	XP_029041333.1, XP_029041332.1	XP_970673.1
OG0000765	XP_029037335.1, XP_029037336.1	XP_008194704.1, XP_015836347.1
OG0000766	XP_029046086.1, XP_029046087.1, XP_029046088.1, XP_029046085.1	XP_008196256.1, XP_015837262.1
OG0000767	XP_029039436.1, XP_029039454.1, XP_029039446.1	XP_008195674.1, XP_008195675.1, XP_015837248.1, XP_008195676.1
OG0000768	XP_029049673.1, XP_029049672.1, XP_029049675.1, XP_029049674.1	XP_969961.1, XP_008198938.1
OG0000769	XP_029032426.1, XP_029032425.1, XP_029032424.1	XP_972749.1, XP_008192575.1, XP_015834680.1
OG0000770	XP_029039259.1, XP_029039261.1, XP_029039257.1, XP_029039262.1, XP_029039260.1	XP_015838418.1, XP_015838417.1
OG0000771	XP_029054309.1, XP_029054310.1	XP_015835948.1, XP_015835947.1
OG0000772	XP_029040816.1, XP_029040815.1, XP_029040818.1, XP_029040817.1	XP_015833311.1
OG0000773	XP_029042442.1, XP_029042441.1, XP_029042440.1	XP_970410.1
OG0000774	XP_029039669.1	XP_971579.2
OG0000775	XP_029037416.1, XP_029037413.1	XP_008196848.1
OG0000776	XP_029034048.1, XP_029034050.1, XP_029034049.1	XP_966630.3
OG0000777	XP_029045416.1	XP_972936.1
OG0000778	XP_029055404.1, XP_029055405.1, XP_029055406.1, XP_029055407.1	XP_015833391.1, XP_973455.1
OG0000779	XP_029037745.1	NP_001280535.1, XP_008198427.1
OG0000780	XP_029048996.1, XP_029048995.1	XP_967848.2
OG0000781	XP_029032935.1, XP_029032936.1	NP_001280540.1, XP_008190406.1
OG0000782	XP_029052926.1	XP_015833194.1
OG0000783	XP_029052180.1	XP_008191892.1, XP_015834431.1, XP_015834432.1
OG0000784	XP_029042530.1	XP_969377.1, XP_967531.2, XP_015840226.1, XP_015840227.1, XP_008200409.1
OG0000785	XP_029038453.1	XP_008201310.2, XP_015839849.1
OG0000786	XP_029042324.1	XP_968026.1
OG0000787	XP_029038869.1, XP_029038866.1, XP_029038868.1, XP_029038867.1	XP_001809587.2, XP_008194582.2, XP_008193885.1, XP_970014.1
OG0000789	XP_029043730.1, XP_029043728.1, XP_029043726.1, XP_029043727.1, XP_029043731.1	XP_973485.2
OG0000790	XP_029034750.1, XP_029034749.1	XP_966929.1
OG0000791	XP_029051030.1, XP_029051031.1, XP_029051032.1, XP_029051029.1	XP_973299.1
OG0000795	XP_029032577.1, XP_029032576.1	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1
OG0000796	XP_029044370.1, XP_029035996.1	XP_971000.1
OG0000797	XP_029050797.1	XP_976408.1
OG0000798	XP_029043504.1, XP_029043503.1	XP_970910.1
OG0000799	XP_029041378.1, XP_029041376.1	XP_008192753.1, XP_967166.2
OG0000800	XP_029032790.1, XP_029032789.1	XP_975766.1, XP_966312.1
OG0000801	XP_029053165.1	XP_974400.1, XP_008201328.1
OG0000801	XP_029035910.1	XP_015840663.1
OG0000802	XP_029039753.1, XP_029039754.1, XP_029039755.1, XP_029039756.1	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1
OG0000803	XP_029054275.1	XP_015838602.1, XP_968717.1, XP_975356.1
OG0000804	XP_029041174.1	XP_008199784.1, XP_008199783.1, XP_969293.1
OG0000805	XP_029040208.1	XP_008192126.1
OG0000805	XP_029046982.1, XP_029046983.1	NP_001103907.1, XP_015834312.1
OG0000806	XP_029047953.1	XP_975252.1
OG0000807	XP_029043270.1, XP_029043271.1	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2
OG0000808	XP_029040465.1, XP_029040464.1	XP_966647.3
OG0000809	XP_029042846.1, XP_029042841.1	XP_015839883.1
OG0000810	XP_029034570.1	XP_967137.1
OG0000811	XP_029053160.1, XP_029053159.1, XP_029053158.1	XP_015835466.1
OG0000812	XP_029055439.1, XP_029032874.1	XP_015838959.1
OG0000813	XP_029049847.1, XP_029049846.1	XP_008191104.1, XP_008197373.1
OG0000815	XP_029034070.1, XP_029034071.1	XP_015833081.1
OG0000816	XP_029040002.1	XP_974466.2
OG0000817	XP_029038601.1	NP_001280521.1, XP_015838938.1
OG0000818	XP_029050066.1, XP_029050068.1, XP_029050069.1, XP_029050067.1	XP_008190837.2
OG0000819	XP_029034836.1, XP_029034833.1	XP_008190357.1
OG0000820	XP_029053604.1, XP_029053594.1, XP_029053725.1	XP_008199356.1
OG0000821	XP_029039781.1, XP_029039783.1, XP_029039780.1	XP_973706.1
OG0000822	XP_029048472.1, XP_029048469.1	XP_008200699.1
OG0000823	XP_029040963.1, XP_029040964.1, XP_029040962.1	XP_015838185.1, XP_008196921.1
OG0000824	XP_029051500.1, XP_029039917.1	XP_970563.1
OG0000825	XP_029041485.1	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1
OG0000826	XP_029045535.1, XP_029045534.1	XP_968324.1
OG0000827	XP_029051427.1, XP_029051428.1	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1
OG0000828	XP_029050419.1	XP_015839867.1, XP_966527.1
OG0000829	XP_029041730.1, XP_029041731.1, XP_029041733.1, XP_029041729.1, XP_029041735.1, XP_029041737.1, XP_029041738.1, XP_029041736.1, XP_029041732.1	XP_015836394.1
OG0000830	XP_029046161.1, XP_029046159.1, XP_029046160.1, XP_029046162.1	XP_969246.1
OG0000831	XP_029053525.1, XP_029053527.1, XP_029053528.1, XP_029053529.1	XP_966629.2
OG0000832	XP_029052022.1	XP_015834318.1
OG0000833	XP_029033171.1, XP_029033162.1	XP_008193629.1, XP_008193622.1
OG0000834	XP_029044948.1, XP_029044947.1, XP_029044949.1	XP_008196985.1, XP_001813599.1
OG0000835	XP_029033243.1	NP_001161778.1
OG0000837	XP_029052942.1, XP_029052939.1, XP_029052940.1	XP_966340.1
OG0000838	XP_029052152.1, XP_029052159.1	XP_015837141.1, XP_015837139.1
OG0000839	XP_029041269.1	XP_015837749.1, XP_008194206.1, XP_001814500.1
OG0000840	XP_029032295.1	XP_972558.1
OG0000841	XP_029038245.1	XP_008191611.2, XP_973223.1, XP_015834454.1
OG0000842	XP_029036335.1	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1
OG0000843	XP_029040309.1	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1
OG0000844	XP_029047367.1, XP_029047368.1	XP_008194355.1, XP_008194354.1, XP_976102.1
OG0000849	XP_029034456.1, XP_029034454.1, XP_029039749.1, XP_029039748.1	XP_974694.1, XP_008191702.1
OG0000850	XP_029045453.1, XP_029045454.1, XP_029045455.1	XP_968953.1
OG0000851	XP_029033382.1	XP_970378.1
OG0000852	XP_029048293.1	XP_970723.1
OG0000853	XP_029050973.1	XP_972319.1
OG0000854	XP_029053889.1	XP_008192670.1, XP_008192671.1, XP_974904.1
OG0000855	XP_029035330.1	XP_008200417.1
OG0000856	XP_029049259.1	XP_969485.1, XP_008191821.1
OG0000857	XP_029035548.1	XP_015838130.1
OG0000858	XP_029044966.1	XP_975095.1
OG0000859	XP_029050279.1, XP_029050276.1, XP_029050278.1, XP_029050275.1, XP_029050277.1	XP_008194278.1
OG0000860	XP_029046128.1, XP_029046127.1	XP_968421.2
OG0000862	XP_029041720.1, XP_029041507.1	XP_015839850.1, XP_015839851.1
OG0000863	XP_029051488.1, XP_029051489.1	XP_008191661.1
OG0000864	XP_029036638.1, XP_029036637.1, XP_029036634.1, XP_029036636.1, XP_029036635.1	XP_001810857.1
OG0000865	XP_029048730.1	XP_966867.1, XP_975287.1
OG0000867	XP_029032211.1, XP_029032212.1	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1
OG0000868	XP_029044935.1, XP_029044930.1	XP_008199462.1, XP_008199456.1
OG0000869	XP_029041487.1, XP_029041486.1, XP_029041488.1	XP_008191933.1, XP_975387.1
OG0000870	XP_029033304.1, XP_029033303.1	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1
OG0000871	XP_029037492.1, XP_029037491.1	XP_972974.1
OG0000872	XP_029041012.1, XP_029041011.1	XP_975496.1
OG0000873	XP_029036012.1	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1
OG0000874	XP_029032300.1, XP_029032301.1	XP_008199106.1, XP_974993.1
OG0000875	XP_029036158.1	NP_001280510.1
OG0000876	XP_029046811.1, XP_029046812.1	XP_966990.1
OG0000877	XP_029052830.1	XP_008196449.1, XP_008196452.1
OG0000878	XP_029046313.1	XP_008199398.1
OG0000879	XP_029039723.1, XP_029039725.1	XP_968223.1
OG0000881	XP_029052283.1	XP_975088.1
OG0000882	XP_029044821.1	XP_973361.2, XP_008193581.1
OG0000883	XP_029036725.1	XP_008194497.1
OG0000884	XP_029036881.1	XP_008196302.1
OG0000885	XP_029038208.1, XP_029038201.1, XP_029038202.1, XP_029038203.1, XP_029038204.1, XP_029038205.1, XP_029038207.1	XP_015840975.1, XP_008190312.1
OG0000886	XP_029046854.1	XP_008197067.1
OG0000887	XP_029053587.1, XP_029053588.1	XP_974918.1
OG0000888	XP_029053364.1	XP_976484.1
OG0000890	XP_029047371.1	XP_015839379.1
OG0000892	XP_029042728.1	XP_971720.1
OG0000893	XP_029033335.1, XP_029033334.1	XP_015840762.1
OG0000894	XP_029054541.1, XP_029054540.1	XP_008196971.1
OG0000895	XP_029038635.1, XP_029038631.1, XP_029038632.1	XP_015838580.1, XP_015838577.1
OG0000896	XP_029049327.1	XP_008199894.2, XP_008194610.1
OG0000897	XP_029035306.1, XP_029035304.1, XP_029035305.1	XP_972954.1
OG0000898	XP_029042797.1, XP_029037816.1	XP_973433.1
OG0000899	XP_029053733.1, XP_029053800.1, XP_029053799.1	XP_008197394.1, XP_008197388.1
OG0000900	XP_029040266.1	XP_975518.1
OG0000901	XP_029049408.1	XP_972742.1
OG0000902	XP_029052012.1, XP_029052015.1	XP_015836082.1
OG0000903	XP_029054357.1	NP_001280545.1
OG0000904	XP_029039322.1	XP_974704.1
OG0000904	XP_029045629.1	XP_008193109.1
OG0000905	XP_029055400.1	XP_015834466.1, XP_974925.1
OG0000906	XP_029048118.1	XP_015835817.1
OG0000906	XP_029050534.1	XP_015834567.1, XP_008195291.2
OG0000909	XP_029035083.1, XP_029035086.1, XP_029035085.1, XP_029035087.1, XP_029035084.1	XP_008193249.1
OG0000910	XP_029036119.1	XP_008195539.1
OG0000911	XP_029043458.1, XP_029043448.1	XP_008199253.1
OG0000912	XP_029044784.1	XP_008200507.1
OG0000913	XP_029035420.1, XP_029035419.1, XP_029035418.1	XP_015834654.1, XP_008192488.1, XP_008196951.1
OG0000914	XP_029046766.1	XP_008198899.1, XP_967645.1
OG0000915	XP_029038896.1	XP_008198828.2, XP_008194579.1
OG0000916	XP_029033722.1	XP_972862.1
OG0000916	XP_029033735.1	XP_008190404.1, XP_008190403.1
OG0000917	XP_029042987.1, XP_029042986.1	XP_974228.1
OG0000918	XP_029035379.1	XP_008198658.1, XP_966808.3
OG0000919	XP_029046689.1, XP_029046687.1, XP_029046691.1, XP_029046690.1, XP_029046686.1, XP_029046692.1	XP_973176.1
OG0000920	XP_029037898.1, XP_029037897.1, XP_029037900.1, XP_029037899.1	XP_972603.1
OG0000921	XP_029052287.1, XP_029052289.1, XP_029052288.1	XP_975525.1
OG0000923	XP_029038535.1	XP_008200555.2, NP_001107795.1
OG0000924	XP_029053230.1, XP_029053231.1	XP_015840070.1
OG0000925	XP_029051947.1	XP_970135.2
OG0000927	XP_029056663.1, XP_029056664.1	XP_970926.1
OG0000928	XP_029040031.1	XP_970970.3
OG0000929	XP_029052786.1	XP_008201261.2
OG0000930	XP_029037533.1	XP_974670.1
OG0000931	XP_029040869.1	NP_001306946.1
OG0000932	XP_029056379.1	XP_967792.1
OG0000933	XP_029051948.1	NP_001300806.1
OG0000934	XP_029036524.1	NP_001164081.1, XP_008200118.1
OG0000935	XP_029040257.1	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1
OG0000936	XP_029047302.1, XP_029047300.1	XP_008190860.2
OG0000937	XP_029051803.1, XP_029051801.1	XP_008200071.1
OG0000938	XP_029052964.1, XP_029052965.1	XP_968610.1
OG0000939	XP_029035237.1	XP_001811241.1
OG0000939	XP_029035246.1	XP_008191643.1
OG0000941	XP_029044665.1	XP_008197366.1, XP_969423.1
OG0000943	XP_029036790.1, XP_029036789.1, XP_029036788.1	XP_970739.1
OG0000944	XP_029043546.1, XP_029043548.1	XP_966560.1
OG0000945	XP_029049018.1, XP_029049022.1	XP_967690.1
OG0000946	XP_029044490.1	XP_971878.2
OG0000947	XP_029052760.1	XP_015838046.1
OG0000948	XP_029041820.1, XP_029041821.1, XP_029041822.1	XP_967077.2
OG0000949	XP_029055599.1	NP_001164308.1, XP_008191735.1
OG0000950	XP_029036826.1	XP_015834523.1, XP_015834522.1
OG0000951	XP_029051552.1	XP_970664.1
OG0000952	XP_029036632.1, XP_029036641.1	XP_015834328.1, XP_975405.2
OG0000955	XP_029032113.1	XP_008194042.1, XP_015833870.1
OG0000957	XP_029051833.1	XP_969616.2
OG0000958	XP_029046727.1, XP_029046784.1	XP_008199736.1, XP_973738.2
OG0000959	XP_029050523.1, XP_029050521.1, XP_029050520.1, XP_029050518.1	XP_015835943.1
OG0000960	XP_029055708.1	XP_972385.1
OG0000961	XP_029054171.1, XP_029054160.1	XP_015833743.1
OG0000962	XP_029039417.1, XP_029039428.1	XP_008194653.1
OG0000963	XP_029041343.1	XP_976188.1
OG0000964	XP_029054698.1, XP_029054693.1	XP_975467.2, XP_015834681.1
OG0000965	XP_029052896.1, XP_029052892.1	XP_015835969.1, XP_015835957.1
OG0000966	XP_029047977.1, XP_029047978.1, XP_029047979.1, XP_029047976.1	XP_969046.1
OG0000967	XP_029035894.1	XP_008195382.1
OG0000968	XP_029051950.1	XP_008195614.1, XP_971104.2, XP_008195611.1
OG0000969	XP_029032326.1	XP_015840918.1, XP_008201276.1
OG0000970	XP_029042747.1, XP_029042744.1, XP_029042745.1, XP_029042746.1	XP_968305.1
OG0000971	XP_029036711.1	XP_972282.2, XP_015837020.1
OG0000972	XP_029049715.1, XP_029049714.1	XP_967420.1
OG0000974	XP_029037631.1	XP_971298.2
OG0000975	XP_029033838.1, XP_029033818.1	XP_015837167.1, XP_015837165.1, XP_015837173.1
OG0000976	XP_029056457.1	XP_008198905.1
OG0000977	XP_029055763.1	XP_015837319.1, XP_970802.1
OG0000978	XP_029053840.1, XP_029049203.1	XP_008199102.1
OG0000979	XP_029053633.1, XP_029049951.1, XP_029049957.1, XP_029053646.1	XP_969078.1
OG0000980	XP_029041308.1	XP_015840382.1, XP_015838797.1, XP_015840939.1
OG0000981	XP_029034547.1, XP_029034546.1, XP_029034558.1, XP_029034556.1, XP_029034557.1, XP_029034549.1, XP_029034548.1	XP_008199943.1
OG0000982	XP_029050533.1	XP_015835195.1, NP_001280502.1
OG0000983	XP_029036486.1	XP_967514.2, XP_008193998.2
OG0000984	XP_029048597.1	XP_008197146.1
OG0000985	XP_029039973.1	XP_008195583.1
OG0000986	XP_029045505.1	XP_015837599.1
OG0000987	XP_029049566.1, XP_029056671.1	XP_015836128.1
OG0000988	XP_029051114.1, XP_029051104.1, XP_029051096.1	XP_015838738.1
OG0000989	XP_029051298.1, XP_029051296.1, XP_029051299.1	XP_008194375.1
OG0000992	XP_029044482.1, XP_029044481.1, XP_029044483.1	XP_974606.1
OG0000993	XP_029041608.1, XP_029041607.1	NP_001164130.1, NP_001164132.1
OG0000994	XP_029055943.1, XP_029055944.1	XP_968930.1
OG0000995	XP_029047694.1, XP_029047693.1, XP_029047695.1, XP_029042712.1	XP_008198979.1
OG0000996	XP_029049361.1, XP_029049360.1, XP_029049359.1	XP_972738.1, XP_008200903.1
OG0000997	XP_029042197.1	XP_001812951.1
OG0000999	XP_029044288.1	NP_001038092.1, NP_001038091.1, XP_015835197.1
OG0001000	XP_029054033.1	XP_971954.1
OG0001001	XP_029035591.1	XP_015837955.1, XP_008196172.1
OG0001002	XP_029040949.1, XP_029040852.1	XP_969124.4, XP_971550.1
OG0001003	XP_029050557.1, XP_029050556.1, XP_029050555.1	XP_008193884.1
OG0001004	XP_029039774.1	XP_972250.1
OG0001005	XP_029032814.1, XP_029032816.1, XP_029032811.1, XP_029032812.1, XP_029032810.1, XP_029032815.1	NP_001164000.1
OG0001006	XP_029037605.1, XP_029037606.1	XP_015835270.1, XP_015835267.1
OG0001007	XP_029045334.1	XP_008198971.1
OG0001008	XP_029042780.1	NP_001306193.1, NP_001034521.1
OG0001009	XP_029050185.1	XP_015837854.1
OG0001010	XP_029032466.1, XP_029032465.1, XP_029032464.1	XP_008192053.1
OG0001011	XP_029047075.1, XP_029047074.1, XP_029047073.1	XP_974410.1
OG0001012	XP_029042079.1, XP_029042080.1, XP_029042081.1, XP_029042082.1, XP_029042083.1, XP_029042088.1, XP_029042087.1, XP_029042086.1, XP_029042084.1	XP_008195285.1
OG0001013	XP_029039346.1	XP_015836976.1
OG0001014	XP_029032139.1, XP_029032135.1, XP_029032137.1, XP_029032138.1	XP_974871.1
OG0001015	XP_029033343.1	XP_008201597.1
OG0001016	XP_029042494.1	XP_969349.1
OG0001016	XP_029051366.1	XP_967560.1
OG0001017	XP_029039773.1, XP_029039782.1	XP_969629.1, XP_008194028.1
OG0001018	XP_029048137.1	NP_001107779.1
OG0001019	XP_029032638.1, XP_029032640.1, XP_029032637.1, XP_029032636.1	XP_015839056.1, XP_974292.2, XP_008198287.1
OG0001020	XP_029049878.1, XP_029049879.1	XP_970433.1
OG0001021	XP_029042622.1	XP_969653.1
OG0001022	XP_029052346.1	XP_015835414.1, XP_015835415.1
OG0001023	XP_029049146.1, XP_029049147.1, XP_029049148.1, XP_029049145.1, XP_029049152.1, XP_029049151.1, XP_029049154.1, XP_029049153.1, XP_029049156.1, XP_029049155.1, XP_029049150.1	XP_001811805.1
OG0001025	XP_029034473.1	XP_008193091.1
OG0001026	XP_029044736.1	XP_970449.1
OG0001027	XP_029036458.1	XP_015838508.1
OG0001028	XP_029034147.1, XP_029034146.1	XP_015839464.1, XP_970163.1
OG0001029	XP_029040354.1	XP_015840479.1
OG0001030	XP_029046873.1	XP_015838296.1, XP_976275.1
OG0001031	XP_029038026.1, XP_029038025.1, XP_029038027.1	XP_975003.1, XP_975012.1
OG0001033	XP_029055477.1	XP_968121.1
OG0001034	XP_029045481.1	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1
OG0001035	XP_029051067.1, XP_029051065.1, XP_029051066.1	XP_001816488.1
OG0001036	XP_029032506.1	XP_015838416.1
OG0001037	XP_029047320.1, XP_029047321.1	XP_008201337.1
OG0001038	XP_029048724.1	XP_975102.1
OG0001039	XP_029039205.1, XP_029039203.1, XP_029039207.1, XP_029039206.1, XP_029039204.1	XP_008197122.1, XP_972852.1
OG0001040	XP_029050908.1	XP_008200571.1
OG0001041	XP_029044226.1, XP_029044131.1, XP_029044233.1, XP_029044142.1	XP_971368.1, XP_008199393.1, XP_008199391.1
OG0001042	XP_029054737.1	XP_008191863.1
OG0001043	XP_029055645.1, XP_029055643.1	XP_008199231.1, XP_008199232.1
OG0001044	XP_029039551.1, XP_029039554.1, XP_029039553.1, XP_029039552.1	XP_015839545.1
OG0001045	XP_029038178.1	XP_974068.1
OG0001046	XP_029033215.1	XP_015835974.1
OG0001048	XP_029042596.1, XP_029042592.1	XP_015836699.1, XP_008195153.1
OG0001049	XP_029038759.1	XP_008198519.1
OG0001050	XP_029035499.1, XP_029035505.1, XP_029035503.1	XP_008197845.1, XP_008197843.1
OG0001052	XP_029042816.1	XP_015836414.1
OG0001053	XP_029038592.1, XP_029038594.1	XP_008201416.1
OG0001054	XP_029042261.1	XP_970597.2
OG0001055	XP_029036135.1, XP_029036136.1	XP_971906.1
OG0001056	XP_029031887.1, XP_029031888.1	XP_008199786.1
OG0001057	XP_029036446.1	XP_015838535.1
OG0001058	XP_029044548.1, XP_029044550.1, XP_029044549.1	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1
OG0001059	XP_029037144.1	XP_001812701.1
OG0001060	XP_029035952.1	XP_975678.1
OG0001061	XP_029033485.1	XP_008194269.1, XP_015835880.1
OG0001063	XP_029055541.1	XP_008198790.1
OG0001064	XP_029050285.1, XP_029050284.1	XP_015839254.1, XP_973869.1
OG0001065	XP_029039757.1, XP_029039761.1	NP_001076808.1, XP_008195066.1
OG0001066	XP_029049769.1, XP_029049767.1, XP_029049765.1	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2
OG0001067	XP_029051320.1	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1
OG0001068	XP_029032491.1, XP_029032489.1, XP_029032492.1	XP_015833006.1, XP_015833002.1
OG0001069	XP_029039110.1	XP_008195047.1, XP_008195052.1, XP_970713.1
OG0001070	XP_029038094.1	XP_967757.1
OG0001071	XP_029038754.1, XP_029038757.1	XP_015835573.1, XP_971088.1
OG0001072	XP_029036139.1	XP_968287.2
OG0001073	XP_029038348.1, XP_029037670.1	XP_015840906.1
OG0001074	XP_029041228.1, XP_029041199.1	XP_968014.1
OG0001075	XP_029044094.1	XP_976192.1
OG0001076	XP_029041198.1	XP_015836852.1
OG0001077	XP_029056236.1, XP_029056237.1, XP_029056165.1, XP_029056233.1, XP_029056234.1	XP_969551.1
OG0001078	XP_029039858.1, XP_029039857.1	XP_008197026.2
OG0001079	XP_029048169.1, XP_029048171.1, XP_029048170.1, XP_029048172.1	XP_970516.1
OG0001081	XP_029039370.1	XP_972805.1, XP_008196164.1
OG0001082	XP_029033916.1	XP_974821.1
OG0001084	XP_029043343.1, XP_029043344.1	XP_008193669.1
OG0001085	XP_029036412.1	XP_015836984.1, XP_966581.1
OG0001086	XP_029035873.1	XP_008196611.1
OG0001090	XP_029035828.1, XP_029035829.1	XP_008193026.1, XP_969238.1
OG0001091	XP_029042367.1	XP_008191347.1
OG0001092	XP_029041411.1, XP_029041417.1	XP_008192984.1, NP_001107766.2
OG0001093	XP_029052430.1	XP_967758.1
OG0001094	XP_029040747.1	XP_972722.1
OG0001095	XP_029053522.1, XP_029053521.1	XP_974524.1
OG0001096	XP_029049861.1, XP_029049860.1	XP_971402.1
OG0001097	XP_029033463.1, XP_029033461.1, XP_029033617.1, XP_029033618.1, XP_029033619.1, XP_029033462.1	XP_973281.1
OG0001098	XP_029040270.1, XP_029040272.1, XP_029040271.1, XP_029040273.1	XP_001808476.1
OG0001099	XP_029043263.1	XP_015838137.1
OG0001100	XP_029052987.1, XP_029052770.1	XP_015833017.1, XP_974324.1
OG0001101	XP_029049684.1, XP_029049686.1	XP_015835316.1, XP_008192958.1
OG0001102	XP_029048236.1	XP_008198777.1, XP_970498.1
OG0001103	XP_029052972.1	NP_001164136.1
OG0001104	XP_029052508.1, XP_029052510.1, XP_029052509.1	XP_966537.1
OG0001105	XP_029054827.1	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1
OG0001106	XP_029041177.1	XP_975213.1
OG0001107	XP_029052344.1	XP_015835955.1, XP_967711.1
OG0001108	XP_029044267.1	XP_969212.1, XP_969136.1, XP_969065.1
OG0001109	XP_029046831.1, XP_029046830.1	XP_015840812.1
OG0001110	XP_029046508.1, XP_029046507.1, XP_029046506.1	XP_008197884.1
OG0001111	XP_029037927.1, XP_029037928.1, XP_029037929.1, XP_029037931.1, XP_029037930.1, XP_029037932.1	XP_975084.1
OG0001112	XP_029040677.1, XP_029040673.1, XP_029040674.1, XP_029040676.1	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1
OG0001113	XP_029043899.1, XP_029043897.1, XP_029043898.1, XP_029043896.1	XP_966673.1
OG0001114	XP_029044551.1	XP_966885.1, XP_008191103.1
OG0001115	XP_029044316.1	XP_968555.2
OG0001116	XP_029044697.1, XP_029044695.1	XP_008199210.1
OG0001117	XP_029034435.1, XP_029034437.1, XP_029034441.1, XP_029034440.1, XP_029034442.1, XP_029034439.1, XP_029034438.1	XP_008199836.1
OG0001118	XP_029056583.1, XP_029056584.1	XP_972023.1
OG0001119	XP_029052870.1, XP_029052869.1	XP_015833676.1
OG0001120	XP_029038374.1	XP_008195678.2, XP_975429.1
OG0001121	XP_029037837.1	NP_001107840.1, XP_008201496.1
OG0001122	XP_029034278.1, XP_029034279.1	XP_968775.1
OG0001123	XP_029034817.1, XP_029034816.1, XP_029034815.1, XP_029034813.1	XP_008198553.1
OG0001124	XP_029039585.1, XP_029039586.1	XP_975636.1
OG0001125	XP_029051981.1, XP_029051962.1, XP_029051973.1	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1
OG0001126	XP_029053674.1	XP_971282.1, XP_015836202.1
OG0001127	XP_029032528.1, XP_029032523.1	XP_008198191.1
OG0001128	XP_029055536.1	XP_008190655.1
OG0001129	XP_029051308.1	XP_008195074.1
OG0001130	XP_029052405.1	XP_968477.1
OG0001131	XP_029032784.1, XP_029032780.1	XP_015840650.1, XP_008199422.1
OG0001132	XP_029042983.1, XP_029042982.1, XP_029042981.1, XP_029042980.1, XP_029042984.1, XP_029042985.1	XP_967011.1
OG0001133	XP_029047314.1	XP_967241.1, XP_015832935.1
OG0001134	XP_029044504.1, XP_029044501.1	XP_008194083.1
OG0001135	XP_029047386.1, XP_029047385.1, XP_029047387.1, XP_029047388.1	XP_968753.2
OG0001137	XP_029050110.1	XP_008198456.2
OG0001138	XP_029042629.1, XP_029042628.1	XP_974752.2
OG0001139	XP_029047728.1	XP_973786.1, XP_015835878.1
OG0001140	XP_029042965.1, XP_029042966.1, XP_029042964.1, XP_029042967.1	XP_971142.1
OG0001141	XP_029035195.1	NP_001103250.1, NP_001103249.1, NP_001103248.1
OG0001142	XP_029050954.1	XP_008193039.1
OG0001143	XP_029033572.1, XP_029033573.1, XP_029033528.1, XP_029033530.1, XP_029033529.1, XP_029033576.1, XP_029033575.1	XP_969623.1
OG0001144	XP_029040835.1, XP_029040831.1	NP_001280546.1
OG0001145	XP_029038713.1	XP_973829.1
OG0001146	XP_029042796.1	XP_967210.1
