Orthogroup	Osmia_bicornis	Bombyx_mori
OG0001463	XP_029053110.1	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1
OG0001464	XP_029040572.1	XP_021207479.1
OG0001465	XP_029056629.1, XP_029056628.1	XP_004927891.1, XP_004927887.1
OG0001466	XP_029041250.1, XP_029040137.1	XP_004934358.1
OG0001467	XP_029032514.1, XP_029032515.1, XP_029032518.1, XP_029032516.1, XP_029032519.1	XP_037869859.1, XP_037869858.1
OG0001468	XP_029043109.1, XP_029043110.1	NP_001036939.1
OG0001469	XP_029037613.1	XP_004923021.1, XP_004923022.1
OG0001470	XP_029038904.1, XP_029038905.1, XP_029038903.1	XP_021207359.1, XP_021207329.1
OG0001471	XP_029033027.1	XP_004931777.2
OG0001472	XP_029037086.1, XP_029038615.1	XP_004928523.1, NP_001266343.1
OG0001473	XP_029034238.1, XP_029034236.1, XP_029034237.1, XP_029034234.1, XP_029034235.1	XP_004921751.1
OG0001474	XP_029039988.1	XP_004928242.1
OG0001475	XP_029037911.1, XP_029037910.1	XP_004930737.1
OG0001476	XP_029049330.1	XP_012545928.1, XP_004926324.2
OG0001477	XP_029040039.1	XP_037877391.1, XP_037877482.1, XP_004929266.2
OG0001478	XP_029055557.1	NP_001170882.1, XP_012551408.1
OG0001479	XP_029044070.1	NP_001036956.1, XP_012549120.1
OG0001480	XP_029047289.1	XP_004930565.1
OG0001481	XP_029033413.1, XP_029033411.1	XP_012547389.2, XP_004927794.2
OG0001482	XP_029051009.1, XP_029051010.1	XP_021206661.1
OG0001484	XP_029037396.1	XP_012547006.1
OG0001485	XP_029056153.1	XP_004929453.1
OG0001486	XP_029048935.1, XP_029048933.1	XP_012553363.1
OG0001487	XP_029040531.1	XP_012550436.1
OG0001488	XP_029050400.1, XP_029050396.1, XP_029050399.1	XP_037869760.1
OG0001489	XP_029034683.1	XP_037868752.1
OG0001490	XP_029042050.1	XP_004924569.1
OG0001491	XP_029037402.1	XP_004925005.1
OG0001492	XP_029051008.1	XP_004927896.1, XP_004927895.1, XP_004927894.1
OG0001494	XP_029042364.1	XP_037877591.1, XP_037867606.1
OG0001495	XP_029035135.1, XP_029035153.1, XP_029035126.1, XP_029035143.1	XP_021207491.2
OG0001496	XP_029054351.1	XP_004927986.1
OG0001497	XP_029048447.1, XP_029048445.1, XP_029048444.1	XP_004928336.2
OG0001498	XP_029036977.1, XP_029036979.1	XP_037869992.1, XP_037870010.1
OG0001499	XP_029040363.1	XP_004928205.1
OG0001500	XP_029038777.1	XP_037871997.1, XP_012552773.2
OG0001501	XP_029055526.1, XP_029055527.1	XP_037866800.1
OG0001502	XP_029055525.1	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1
OG0001503	XP_029049700.1, XP_029049697.1	XP_021206043.2
OG0001504	XP_029052689.1	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1
OG0001505	XP_029048731.1	XP_037867872.1
OG0001506	XP_029041958.1, XP_029041960.1, XP_029041959.1	XP_021202503.2
OG0001507	XP_029040825.1, XP_029040824.1	XP_004933054.1, XP_021208141.1
OG0001508	XP_029033156.1, XP_029033136.1	NP_001091838.1, XP_012548520.2
OG0001509	XP_029035096.1, XP_029035094.1	XP_037874937.1
OG0001510	XP_029048819.1	XP_037868375.1
OG0001511	XP_029055474.1	XP_037870240.1, NP_001106220.1
OG0001512	XP_029042235.1	XP_012547158.3
OG0001513	XP_029048889.1	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1
OG0001514	XP_029037337.1	NP_001243989.1, XP_012551916.2
OG0001515	XP_029055431.1	XP_037869339.1, XP_012552167.1, XP_004933624.1
OG0001517	XP_029046635.1	XP_004930586.1
OG0001518	XP_029032938.1, XP_029032939.1	XP_012547971.1
OG0001519	XP_029048918.1	XP_037877043.1
OG0001520	XP_029056592.1	XP_004926900.1
OG0001522	XP_029046200.1	NP_001189459.1, XP_012547725.2
OG0001523	XP_029036752.1	XP_037867735.1
OG0001524	XP_029033727.1	XP_004928551.2
OG0001525	XP_029045785.1	XP_004928511.1
OG0001526	XP_029039080.1, XP_029039033.1	XP_037869703.1
OG0001527	XP_029039352.1	XP_012547691.1, XP_012547692.1, XP_004928271.1
OG0001529	XP_029046278.1, XP_029046280.1, XP_029046281.1, XP_029046282.1	NP_001103396.1, XP_021202150.1
OG0001530	XP_029033999.1, XP_029033997.1, XP_029034001.1, XP_029034000.1, XP_029034003.1, XP_029034002.1	XP_004928962.1
OG0001531	XP_029045528.1, XP_029045527.1, XP_029045531.1, XP_029045530.1	XP_004927972.1
OG0001533	XP_029039196.1	XP_037872089.1
OG0001534	XP_029042396.1, XP_029042393.1, XP_029042392.1, XP_029042395.1, XP_029042394.1	XP_012548708.1
OG0001536	XP_029043973.1, XP_029043998.1	XP_021207987.1
OG0001537	XP_029041748.1	XP_004930078.1
OG0001538	XP_029043474.1, XP_029043706.1	NP_001037049.1, XP_037873389.1
OG0001539	XP_029052353.1	NP_001182396.1
OG0001540	XP_029038083.1	XP_037866721.1, NP_001108344.1, XP_037866889.1
OG0001541	XP_029032292.1, XP_029032291.1	XP_037869460.1
OG0001542	XP_029032403.1, XP_029032393.1	XP_004925578.2
OG0001543	XP_029054496.1	XP_021208076.1
OG0001545	XP_029037038.1, XP_029037156.1	XP_021205692.2
OG0001546	XP_029042168.1	XP_021202997.2
OG0001547	XP_029040329.1, XP_029040326.1	XP_037875077.1
OG0001548	XP_029047586.1, XP_029047583.1, XP_029047584.1	XP_037871858.1
OG0001549	XP_029036007.1, XP_029036008.1, XP_029036009.1	XP_004926505.1, XP_037875796.1, XP_004926490.1, XP_004926488.1, XP_004926489.1
OG0001551	XP_029055449.1	NP_001040440.1, XP_021205145.1
OG0001552	XP_029032099.1, XP_029032096.1	XP_037875658.1, XP_037875663.1
OG0001553	XP_029055962.1, XP_029055964.1	XP_004922085.1
OG0001554	XP_029050063.1, XP_029050028.1	XP_021202702.2
OG0001555	XP_029036488.1	XP_004926499.2
OG0001556	XP_029044980.1	XP_037869191.1
OG0001557	XP_029035431.1	NP_001127732.1, XP_037868153.1
OG0001558	XP_029050297.1	XP_004922281.1
OG0001559	XP_029041271.1, XP_029041274.1, XP_029041275.1, XP_029041272.1, XP_029041273.1	XP_012550319.2
OG0001560	XP_029041351.1	XP_012553162.1, XP_012553161.2
OG0001561	XP_029045928.1, XP_029045929.1	XP_004928449.2
OG0001562	XP_029035187.1	XP_037867104.1, XP_037867118.1
OG0001563	XP_029036922.1, XP_029036925.1	XP_021204882.1
OG0001564	XP_029054776.1, XP_029054676.1	XP_037867971.1, XP_037872070.1, XP_037872069.1, XP_021208340.2, XP_037872071.1, XP_012546980.2
OG0001565	XP_029052456.1	XP_037874788.1
OG0001567	XP_029036870.1, XP_029036871.1, XP_029036873.1	NP_001036935.1, XP_037873779.1
OG0001568	XP_029036603.1	XP_037876104.1, NP_001243990.1
OG0001569	XP_029039068.1	XP_037873304.1
OG0001570	XP_029042704.1	XP_012551718.2
OG0001571	XP_029049963.1	XP_037875923.1
OG0001572	XP_029056363.1	XP_004927967.1, XP_004927965.1
OG0001574	XP_029052089.1, XP_029052093.1	XP_012553425.1, XP_021201980.1
OG0001575	XP_029047969.1	NP_001037325.1, NP_001037333.1
OG0001576	XP_029040570.1	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1
OG0001577	XP_029046400.1	XP_037868606.1, NP_001106746.1
OG0001578	XP_029048033.1, XP_029048044.1, XP_029048023.1	NP_001127709.1, NP_001127751.1, XP_037874604.1
OG0001579	XP_029040562.1, XP_029040558.1	XP_037874676.1
OG0001580	XP_029047159.1	XP_004930748.1
OG0001581	XP_029040501.1	XP_012551182.2
OG0001582	XP_029047173.1, XP_029047172.1, XP_029047171.1	XP_012550801.1
OG0001583	XP_029036943.1	XP_004928527.1
OG0001584	XP_029034029.1, XP_029034034.1	XP_012546518.1, XP_012546512.1
OG0001586	XP_029034228.1	XP_012545422.2, NP_001138795.1
OG0001587	XP_029032253.1	XP_004931594.2
OG0001588	XP_029048881.1	XP_037873144.1
OG0001589	XP_029036502.1, XP_029036500.1	XP_021209162.1, XP_004925726.1, XP_004925727.1
OG0001591	XP_029038358.1, XP_029038356.1	XP_004930937.1
OG0001592	XP_029037953.1	XP_004927023.1
OG0001593	XP_029052765.1	NP_001036870.1, XP_037867807.1
OG0001594	XP_029055518.1, XP_029055519.1	XP_004927503.2
OG0001595	XP_029047246.1	XP_004922227.1, XP_021205276.1
OG0001596	XP_029051870.1, XP_029051869.1	XP_004926385.1
OG0001597	XP_029041598.1	XP_004927855.1
OG0001598	XP_029035514.1	XP_037876897.1, NP_001037309.1
OG0001599	XP_029032089.1, XP_029032088.1, XP_029032090.1	XP_037872272.1
OG0001600	XP_029041422.1	XP_021208437.1
OG0001601	XP_029051974.1, XP_029051976.1, XP_029051958.1	XP_012553340.2
OG0001602	XP_029036644.1	XP_012553401.1, XP_004931415.1, XP_021201945.1
OG0001604	XP_029044763.1	XP_012549189.1, XP_012549190.1
OG0001605	XP_029039316.1	NP_001040217.1, XP_012543931.1
OG0001606	XP_029048641.1	NP_001296482.1, XP_004927952.1
OG0001608	XP_029035490.1	XP_004931746.1
OG0001612	XP_029051728.1, XP_029051727.1, XP_029051726.1, XP_029051729.1	XP_021207912.2
OG0001614	XP_029035009.1, XP_029034998.1	NP_001036780.1
OG0001615	XP_029041015.1, XP_029041014.1	NP_001037213.1, XP_037872124.1
OG0001616	XP_029048974.1	NP_001040407.1
OG0001617	XP_029052247.1	NP_001040232.1
OG0001619	XP_029048423.1	XP_021205425.1, XP_004928959.1
OG0001620	XP_029049615.1, XP_029049616.1	XP_004933138.1
OG0001621	XP_029053378.1	XP_004925826.2, XP_037877870.1
OG0001623	XP_029045853.1	XP_037867510.1
OG0001624	XP_029033140.1	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1
OG0001625	XP_029046814.1	XP_037874467.1
OG0001626	XP_029039632.1, XP_029039631.1	XP_004928349.1
OG0001627	XP_029052083.1	XP_004924826.1
OG0001628	XP_029035837.1	NP_001239350.1, XP_012553261.1
OG0001629	XP_029038883.1	XP_037873828.1, NP_001037261.1
OG0001630	XP_029045678.1	XP_012546057.1, XP_012546059.1, XP_004926433.1
OG0001631	XP_029042683.1, XP_029042681.1	XP_004924824.1
OG0001632	XP_029045335.1	XP_037869971.1, XP_037869970.1, XP_037869973.1, XP_037869972.1
OG0001633	XP_029050350.1	XP_004930100.1
OG0001635	XP_029049661.1	XP_004933692.1
OG0001636	XP_029041561.1, XP_029041550.1, XP_029041560.1	NP_001037295.1
OG0001637	XP_029049035.1, XP_029049034.1, XP_029049033.1, XP_029049032.1, XP_029049031.1	XP_004932373.2
OG0001638	XP_029046644.1, XP_029033173.1	XP_037877824.1
OG0001639	XP_029041904.1	XP_004924180.1
OG0001640	XP_029043527.1, XP_029044243.1	XP_004925552.1
OG0001641	XP_029043918.1	XP_037870957.1
OG0001642	XP_029041523.1, XP_029041521.1, XP_029041520.1, XP_029041522.1	XP_004927839.1
OG0001643	XP_029043348.1, XP_029043347.1, XP_029043346.1	XP_012546247.1
OG0001644	XP_029044240.1	XP_004931403.2, XP_012550302.2, XP_004931298.1
OG0001645	XP_029044315.1, XP_029044314.1	XP_012550830.1, XP_012550828.1
OG0001646	XP_029033719.1	XP_037873850.1
OG0001647	XP_029045431.1	XP_004923960.1
OG0001648	XP_029050942.1, XP_029050943.1, XP_029050944.1	XP_004921645.2
OG0001649	XP_029041370.1, XP_029041369.1, XP_029041368.1	NP_001040322.1
OG0001650	XP_029037514.1, XP_029037512.1, XP_029037513.1	XP_037870812.1
OG0001651	XP_029048948.1	XP_012550939.1
OG0001652	XP_029041293.1	XP_037874387.1
OG0001653	XP_029044672.1, XP_029044670.1, XP_029044669.1, XP_029044671.1	XP_004932298.1
OG0001654	XP_029041762.1, XP_029041760.1, XP_029041761.1, XP_029041758.1, XP_029041759.1, XP_029041763.1	XP_037874808.1, XP_037874810.1
OG0001655	XP_029055475.1	XP_037870353.1, XP_004929896.1
OG0001656	XP_029031948.1, XP_029031949.1	XP_037874784.1
OG0001657	XP_029035294.1, XP_029035293.1	XP_004923460.1
OG0001658	XP_029033443.1	XP_004929407.1
OG0001659	XP_029036804.1	XP_037867834.1, XP_037867832.1
OG0001660	XP_029050401.1	XP_012547355.1, XP_004927973.1, XP_021204730.1, XP_021204729.1, XP_021204727.1, XP_012547354.1, XP_012547353.1
OG0001661	XP_029047707.1	XP_012550425.1, XP_012550426.1
OG0001662	XP_029045835.1, XP_029045838.1	XP_037875847.1, XP_037875850.1
OG0001663	XP_029039881.1, XP_029039882.1, XP_029039883.1	XP_004924463.1
OG0001664	XP_029045726.1, XP_029045718.1	XP_037876251.1
OG0001665	XP_029038507.1	NP_001037676.1, XP_012550254.1
OG0001666	XP_029035783.1	XP_004932903.1
OG0001668	XP_029036775.1	XP_021207357.2
OG0001669	XP_029035840.1	XP_037872626.1
OG0001670	XP_029032431.1, XP_029032438.1	XP_012547337.1
OG0001671	XP_029051433.1, XP_029051434.1	XP_037869789.1
OG0001672	XP_029038878.1	XP_004927542.1
OG0001673	XP_029038017.1, XP_029038016.1, XP_029038015.1, XP_029038018.1	XP_037875318.1
OG0001674	XP_029050257.1	XP_037868399.1
OG0001675	XP_029043446.1	XP_004932175.2
OG0001677	XP_029041707.1, XP_029041799.1	XP_004926878.2
OG0001678	XP_029047469.1, XP_029047470.1	XP_004933182.1, XP_021208293.1
OG0001679	XP_029048832.1, XP_029048831.1, XP_029048833.1	XP_012550552.1, NP_001040193.1
OG0001680	XP_029033268.1, XP_029033269.1	XP_004931709.1
OG0001681	XP_029036098.1	XP_004925168.1
OG0001682	XP_029052026.1	XP_037871731.1
OG0001684	XP_029049999.1	XP_004926136.1
OG0001686	XP_029049380.1	XP_012545103.1
OG0001687	XP_029044510.1	XP_021205581.2, XP_021205580.2, XP_004929203.2, XP_037877755.1
OG0001688	XP_029039157.1	XP_037873491.1, XP_037873494.1, XP_004925011.1, XP_012544838.1
OG0001689	XP_029043772.1, XP_029043780.1	XP_004931070.1
OG0001690	XP_029043541.1	XP_004933420.1, XP_004925492.1
OG0001693	XP_029041290.1	XP_037866559.1
OG0001694	XP_029047193.1, XP_029047192.1	XP_012550686.1
OG0001695	XP_029036779.1	NP_001157388.1, XP_037869526.1
OG0001696	XP_029040418.1, XP_029040409.1	XP_037867835.1
OG0001697	XP_029045797.1	XP_037870401.1
OG0001699	XP_029041247.1	XP_037868480.1
OG0001700	XP_029056367.1	XP_012545416.1, XP_012545413.1, XP_012545415.1, XP_021203348.1, XP_037867332.1, XP_037867330.1, XP_037867329.1
OG0001701	XP_029047529.1, XP_029047525.1	NP_001103813.1, XP_012545114.1
OG0001702	XP_029048394.1, XP_029048396.1, XP_029048395.1, XP_029048397.1	XP_037872870.1, XP_037872869.1
OG0001703	XP_029053026.1, XP_029053028.1	XP_037872461.1
OG0001704	XP_029056076.1, XP_029056079.1, XP_029056077.1	XP_004922938.1
OG0001706	XP_029043578.1, XP_029043574.1, XP_029043575.1, XP_029043573.1, XP_029043577.1	XP_021203120.2
OG0001707	XP_029040459.1	XP_004929683.1, XP_004929682.1
OG0001708	XP_029041028.1	XP_004933031.1, XP_012551704.1, XP_021208160.1
OG0001709	XP_029050200.1, XP_029050209.1	XP_012546115.2
OG0001710	XP_029041574.1, XP_029041580.1, XP_029041582.1	XP_012551180.1
OG0001711	XP_029042921.1	XP_004929510.2, XP_037870316.1
OG0001712	XP_029035719.1, XP_029035720.1	XP_037868206.1, XP_037868211.1
OG0001713	XP_029048048.1, XP_029048047.1, XP_029048046.1	XP_021204783.2
OG0001714	XP_029050791.1	XP_004925113.1
OG0001715	XP_029033877.1	XP_004925167.2
OG0001716	XP_029040492.1	NP_001119720.1, XP_021208178.2
OG0001717	XP_029033708.1, XP_029033699.1, XP_029033691.1	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2
OG0001718	XP_029051687.1	XP_021202370.2
OG0001719	XP_029037938.1, XP_029037939.1	XP_004930706.1
OG0001720	XP_029046381.1, XP_029046380.1, XP_029046379.1	XP_037874122.1
OG0001721	XP_029039289.1, XP_029039323.1	XP_037876359.1, XP_037876352.1, XP_004923372.1, XP_004923368.3
OG0001722	XP_029048706.1, XP_029048702.1, XP_029048703.1, XP_029048704.1, XP_029048705.1, XP_029048707.1	NP_001124379.1
OG0001724	XP_029036442.1, XP_029036443.1	XP_004930392.1
OG0001725	XP_029045224.1	XP_037874888.1
OG0001726	XP_029041968.1	XP_037868722.1
OG0001727	XP_029044570.1	XP_004931661.1, XP_037869753.1
OG0001728	XP_029046665.1, XP_029046657.1	XP_037877837.1
OG0001729	XP_029050566.1	XP_021207174.2, XP_021207178.2
OG0001730	XP_029035550.1	NP_001037025.1
OG0001731	XP_029048092.1	NP_001165929.1
OG0001732	XP_029043901.1	NP_001171333.1
OG0001733	XP_029040692.1	XP_004927018.1
OG0001734	XP_029041078.1, XP_029041085.1, XP_029041093.1, XP_029041102.1	XP_037866680.1
OG0001735	XP_029034196.1, XP_029034197.1	XP_012546484.1, NP_001091806.1
OG0001736	XP_029049568.1	XP_021201870.2
OG0001737	XP_029047424.1, XP_029047422.1, XP_029047423.1	XP_037869249.1, XP_037870331.1
OG0001738	XP_029034270.1	XP_012549316.1, XP_021206205.1
OG0001739	XP_029047535.1	XP_037869643.1, XP_004931603.3, XP_037869644.1
OG0001740	XP_029045700.1, XP_029045692.1	NP_001243985.1, XP_012549111.2
OG0001741	XP_029034269.1, XP_029034268.1	XP_037867100.1, XP_004930147.2, XP_012549296.2
OG0001742	XP_029056342.1	NP_001155190.1, XP_037867298.1
OG0001743	XP_029049959.1, XP_029049960.1, XP_029049958.1	XP_012544721.1
OG0001744	XP_029034818.1, XP_029034819.1	XP_037876498.1
OG0001745	XP_029049388.1, XP_029049386.1	XP_037867651.1, XP_037867652.1
OG0001746	XP_029045290.1	XP_004928647.1
OG0001748	XP_029032073.1, XP_029032064.1	XP_037872366.1, XP_021205486.1
OG0001749	XP_029040788.1, XP_029040793.1	XP_037868039.1
OG0001750	XP_029044823.1, XP_029044825.1	XP_004923007.1
OG0001751	XP_029056586.1, XP_029056587.1	XP_004924269.1
OG0001752	XP_029039201.1	XP_004925235.2
OG0001753	XP_029050541.1	XP_037875699.1
OG0001754	XP_029040725.1, XP_029045989.1	NP_001296479.1
OG0001755	XP_029052414.1, XP_029052415.1	XP_012547839.1
OG0001756	XP_029035240.1	XP_012552706.1, XP_004922860.1
OG0001758	XP_029042180.1, XP_029042177.1, XP_029042178.1, XP_029042179.1	XP_004923350.1
OG0001759	XP_029032105.1	XP_004922730.1
OG0001760	XP_029048484.1	XP_021203209.1, XP_037875161.1
OG0001762	XP_029040564.1	XP_004931903.1
OG0001763	XP_029053396.1	XP_037870842.1, XP_004926374.1
OG0001764	XP_029046456.1	XP_004924410.1, XP_004924409.1
OG0001765	XP_029039005.1, XP_029039004.1, XP_029039003.1	XP_004931914.1, XP_012550765.1
OG0001767	XP_029048720.1	XP_004929359.3
OG0001768	XP_029039800.1	XP_012545642.3
OG0001769	XP_029034136.1	XP_004927805.1
OG0001774	XP_029045460.1	NP_001091826.1
OG0001775	XP_029042334.1, XP_029042333.1	NP_001037464.2, XP_012549720.1
OG0001776	XP_029052622.1	XP_021203566.1
OG0001777	XP_029033694.1, XP_029033498.1	NP_001037524.1, XP_021204674.1
OG0001778	XP_029036678.1	NP_001037048.1
OG0001779	XP_029040462.1	NP_001040379.1
OG0001780	XP_029050706.1	XP_004924435.2
OG0001781	XP_029053291.1	NP_001166823.1
OG0001782	XP_029048493.1	XP_004927858.1
OG0001783	XP_029047303.1	XP_004931936.2
OG0001784	XP_029050306.1	XP_004922147.1, XP_012548350.1, XP_021204677.1
OG0001785	XP_029045993.1, XP_029046001.1	XP_004925259.1
OG0001786	XP_029037857.1, XP_029037856.1	NP_001037223.1, XP_037870668.1
OG0001787	XP_029050564.1, XP_029050565.1, XP_029050563.1	XP_004932937.1
OG0001788	XP_029048755.1	XP_004926494.1
OG0001789	XP_029036577.1, XP_029036575.1	XP_004924543.1
OG0001790	XP_029050003.1, XP_029050002.1	XP_004927254.1
OG0001791	XP_029041575.1, XP_029041576.1	NP_001040447.1
OG0001792	XP_029033135.1, XP_029033137.1	XP_037867676.1
OG0001793	XP_029050447.1	NP_001040374.1
OG0001794	XP_029041647.1, XP_029041595.1	XP_004927813.2
OG0001795	XP_029036342.1	XP_012544831.3
OG0001796	XP_029045166.1	XP_004931911.2
OG0001797	XP_029042045.1	NP_001093087.1
OG0001799	XP_029046350.1	NP_001166191.1
OG0001800	XP_029047399.1	XP_037867731.1
OG0001801	XP_029042699.1	XP_004927251.1
OG0001802	XP_029043170.1	XP_037870920.1, XP_012547121.1, NP_001040267.1
OG0001803	XP_029042974.1, XP_029042973.1, XP_029042972.1, XP_029042971.1	XP_004925344.1
OG0001804	XP_029036643.1	XP_012551475.1
OG0001805	XP_029043315.1	XP_021206263.1, XP_037866965.1
OG0001806	XP_029054142.1, XP_029054141.1	XP_004930470.2
OG0001807	XP_029040769.1	XP_037873557.1
OG0001809	XP_029055565.1	XP_004929394.2
OG0001810	XP_029041184.1, XP_029041181.1	XP_012550807.1
OG0001811	XP_029046125.1	XP_037871981.1
OG0001812	XP_029039791.1	NP_001037207.1
OG0001813	XP_029044198.1	XP_004929628.1
OG0001814	XP_029042421.1, XP_029045552.1	NP_001040328.1
OG0001815	XP_029040479.1	NP_001091823.1, XP_037876930.1
OG0001816	XP_029044832.1, XP_029044831.1, XP_029044829.1	XP_012545172.2
OG0001817	XP_029033248.1, XP_029033247.1	XP_004931715.1, XP_021207399.2
OG0001818	XP_029038479.1, XP_029038480.1, XP_029038477.1	XP_004928925.2
OG0001819	XP_029033511.1	XP_012545306.2
OG0001820	XP_029051864.1	XP_004921850.1
OG0001821	XP_029040388.1	XP_037867951.1, XP_037877404.1
OG0001823	XP_029036949.1	XP_037875756.1
OG0001824	XP_029031980.1, XP_029031977.1	XP_037868084.1, XP_037868075.1
OG0001825	XP_029032081.1	XP_037873173.1
OG0001826	XP_029053086.1	XP_012549145.2, NP_001243729.1
OG0001827	XP_029036559.1	XP_037876392.1, XP_037876387.1
OG0001828	XP_029048531.1	XP_012547992.1
OG0001829	XP_029047842.1, XP_029047841.1	NP_001040363.1
OG0001830	XP_029042153.1	XP_012544507.1
OG0001831	XP_029045342.1	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1
OG0001832	XP_029052768.1, XP_029052767.1, XP_029052766.1, XP_029052769.1	XP_012550340.1
OG0001833	XP_029045272.1	XP_021202831.1
OG0001834	XP_029042694.1, XP_029042695.1	XP_021205575.2
OG0001835	XP_029047233.1	XP_004933227.2
OG0001836	XP_029037552.1, XP_029037559.1	XP_037869491.1, XP_037869486.1
OG0001838	XP_029051146.1, XP_029051147.1	NP_001040461.1
OG0001839	XP_029050310.1	XP_037867245.1, XP_004930061.1
OG0001840	XP_029042173.1	XP_004924490.1
OG0001841	XP_029036470.1	XP_037875131.1
OG0001842	XP_029031995.1, XP_029031994.1	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1
OG0001843	XP_029047793.1	XP_004923065.1
OG0001844	XP_029043545.1	XP_037868430.1
OG0001845	XP_029046828.1	NP_001165388.1, XP_037869302.1, XP_004929656.1
OG0001846	XP_029055818.1, XP_029055810.1	NP_001296512.1
OG0001847	XP_029040367.1	XP_004924718.1
OG0001848	XP_029055489.1, XP_029055490.1	XP_037868356.1, XP_037868357.1
OG0001850	XP_029037643.1	XP_012546560.2, XP_004927043.1
OG0001851	XP_029045173.1, XP_029045174.1, XP_029045172.1	XP_021204066.2
OG0001852	XP_029049682.1	XP_004925133.2
OG0001853	XP_029043094.1	XP_037877103.1
OG0001854	XP_029045247.1	XP_037876316.1, XP_037876317.1, XP_004921880.1
OG0001855	XP_029041716.1	NP_001165386.1
OG0001856	XP_029039272.1	XP_037875737.1, XP_021202011.1
OG0001857	XP_029041402.1, XP_029041407.1	XP_004922477.1
OG0001858	XP_029044979.1, XP_029044977.1	XP_004928683.1
OG0001859	XP_029043804.1, XP_029043803.1	XP_012552420.3
OG0001861	XP_029048687.1	NP_001036938.1
OG0001862	XP_029048904.1, XP_029048903.1	XP_012546765.1
OG0001863	XP_029035027.1, XP_029035029.1, XP_029035026.1	XP_004931917.1
OG0001864	XP_029048578.1	XP_037876894.1
OG0001865	XP_029053119.1, XP_029053120.1, XP_029053121.1	XP_012545585.1, NP_001037554.1
OG0001866	XP_029043436.1, XP_029043437.1	XP_004923469.1
OG0001867	XP_029048154.1	XP_037876257.1
OG0001868	XP_029048430.1	XP_037873044.1
OG0001869	XP_029045809.1	NP_001040327.1
OG0001870	XP_029055542.1	XP_004929677.1
OG0001871	XP_029048416.1	XP_012547234.2, XP_037871093.1
OG0001872	XP_029041112.1, XP_029041932.1	XP_004922404.2
OG0001873	XP_029038144.1	XP_004931774.2
OG0001874	XP_029050759.1, XP_029050674.1, XP_029048285.1, XP_029048199.1	XP_037871173.1
OG0001875	XP_029036827.1	XP_012553311.1
OG0001876	XP_029037790.1, XP_029037792.1, XP_029037791.1	XP_012549181.1
OG0001878	XP_029042381.1, XP_029042382.1	XP_004922231.2
OG0001879	XP_029040642.1, XP_029040643.1	XP_004929391.1
OG0001880	XP_029047497.1	XP_012551963.1
OG0001881	XP_029048014.1, XP_029048013.1, XP_029048015.1	XP_037870422.1
OG0001882	XP_029043070.1	XP_037871054.1, XP_037871051.1
OG0001883	XP_029041441.1, XP_029041478.1, XP_029041459.1, XP_029041468.1, XP_029041450.1	XP_004931525.1
OG0001884	XP_029048604.1, XP_029048600.1	XP_037877616.1, XP_037877615.1, XP_037877613.1, XP_037877625.1
OG0001885	XP_029050007.1	XP_037876616.1, XP_037876617.1
OG0001886	XP_029035856.1, XP_029035853.1	XP_012545706.2
OG0001887	XP_029034869.1	XP_037870239.1
OG0001888	XP_029052172.1	XP_021202882.2, XP_012544871.2
OG0001889	XP_029032338.1	XP_037869833.1
OG0001890	XP_029041889.1	XP_004932898.1, XP_004928637.1
OG0001891	XP_029048182.1, XP_029048179.1	XP_004923196.2
OG0001892	XP_029054568.1, XP_029054569.1	XP_004932246.1
OG0001893	XP_029051123.1	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1
OG0001894	XP_029035313.1	XP_037867673.1, XP_004926898.1
OG0001895	XP_029050588.1	XP_037873123.1
OG0001896	XP_029048990.1, XP_029048991.1, XP_029048993.1, XP_029048994.1, XP_029048992.1	XP_021203417.2
OG0001897	XP_029040323.1	XP_004930778.1, XP_004930779.1
OG0001898	XP_029039449.1	XP_004933569.2, XP_012553329.2
OG0001899	XP_029049778.1	NP_001243914.1
OG0001900	XP_029043142.1, XP_029043141.1	XP_004922569.1
OG0001901	XP_029049689.1, XP_029049690.1, XP_029049688.1	XP_037876242.1
OG0001902	XP_029056464.1	XP_012544997.2
OG0001903	XP_029040083.1, XP_029040086.1, XP_029040084.1, XP_029040082.1	XP_004928575.2
OG0001905	XP_029052559.1, XP_029052558.1, XP_029052557.1, XP_029052555.1	XP_012544944.2
OG0001906	XP_029051442.1	XP_037873835.1
OG0001907	XP_029044692.1, XP_029044691.1	XP_037871977.1
OG0001908	XP_029040274.1, XP_029040149.1	NP_001166831.1
OG0001909	XP_029036476.1, XP_029036483.1	XP_021209035.1
OG0001910	XP_029034352.1	XP_004931433.1
