Orthogroup	Osmia_bicornis	Aedes_aegypti
OG0001097	XP_029033463.1, XP_029033461.1, XP_029033617.1, XP_029033618.1, XP_029033619.1, XP_029033462.1	XP_001648346.1
OG0001098	XP_029040270.1, XP_029040272.1, XP_029040271.1, XP_029040273.1	XP_001663379.2
OG0001099	XP_029043263.1	XP_021706284.1, XP_021712729.1
OG0001100	XP_029052987.1, XP_029052770.1	XP_001657489.1
OG0001101	XP_029049684.1, XP_029049686.1	XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	XP_029048236.1	XP_001650617.1, XP_001650616.1
OG0001103	XP_029052972.1	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	XP_029052508.1, XP_029052510.1, XP_029052509.1	XP_001659382.1
OG0001105	XP_029054827.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_029041177.1	XP_001652532.1
OG0001107	XP_029052344.1	XP_001651390.1
OG0001108	XP_029044267.1	XP_001655181.1
OG0001109	XP_029046831.1, XP_029046830.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_029046508.1, XP_029046507.1, XP_029046506.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_029037927.1, XP_029037928.1, XP_029037929.1, XP_029037931.1, XP_029037930.1, XP_029037932.1	XP_001649510.2
OG0001112	XP_029040677.1, XP_029040673.1, XP_029040674.1, XP_029040676.1	XP_001651512.1
OG0001113	XP_029043899.1, XP_029043897.1, XP_029043898.1, XP_029043896.1	XP_001651817.1
OG0001114	XP_029044551.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_029044316.1	XP_021713246.1
OG0001116	XP_029044697.1, XP_029044695.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_029034435.1, XP_029034437.1, XP_029034441.1, XP_029034440.1, XP_029034442.1, XP_029034439.1, XP_029034438.1	XP_021705905.1
OG0001118	XP_029056583.1, XP_029056584.1	XP_021707148.1
OG0001119	XP_029052870.1, XP_029052869.1	XP_001648381.1
OG0001120	XP_029038374.1	XP_001661053.1, XP_001650112.2
OG0001121	XP_029037837.1	XP_001652212.1, XP_021705915.1
OG0001122	XP_029034278.1, XP_029034279.1	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001123	XP_029034817.1, XP_029034816.1, XP_029034815.1, XP_029034813.1	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1
OG0001124	XP_029039585.1, XP_029039586.1	XP_021710981.1
OG0001125	XP_029051981.1, XP_029051962.1, XP_029051973.1	XP_001648386.2
OG0001126	XP_029053674.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	XP_029032523.1	XP_021702833.1
OG0001128	XP_029055536.1	XP_001656417.2, XP_001654307.2
OG0001129	XP_029051308.1	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	XP_029052405.1	XP_021693810.1
OG0001131	XP_029032784.1, XP_029032780.1	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1
OG0001132	XP_029042983.1, XP_029042982.1, XP_029042981.1, XP_029042980.1, XP_029042984.1, XP_029042985.1	XP_001653441.1
OG0001133	XP_029047314.1	XP_021705031.1
OG0001134	XP_029044504.1, XP_029044501.1	XP_021700926.1, XP_021700923.1
OG0001135	XP_029047386.1, XP_029047385.1, XP_029047387.1, XP_029047388.1	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	XP_029050110.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1
OG0001138	XP_029042629.1, XP_029042628.1	XP_001655529.2
OG0001139	XP_029047728.1	XP_021708606.1
OG0001140	XP_029042965.1, XP_029042966.1, XP_029042964.1, XP_029042967.1	XP_001654986.2
OG0001141	XP_029035195.1	XP_001649333.2
OG0001142	XP_029050954.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	XP_029033572.1, XP_029033573.1, XP_029033528.1, XP_029033530.1, XP_029033529.1, XP_029033576.1, XP_029033575.1	XP_001662313.1
OG0001144	XP_029040835.1, XP_029040831.1	XP_021713323.1
OG0001145	XP_029038713.1	XP_001656860.2, XP_021695639.1
OG0001146	XP_029042796.1	XP_001660509.1
OG0001147	XP_029047014.1, XP_029047015.1, XP_029047016.1, XP_029047017.1, XP_029047018.1, XP_029047019.1	XP_021694950.1
OG0001148	XP_029048848.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	XP_029049802.1, XP_029049812.1	XP_021696025.1
OG0001150	XP_029047767.1, XP_029047758.1, XP_029047768.1	XP_021697593.1
OG0001151	XP_029035402.1	XP_021701521.1
OG0001152	XP_029053553.1	XP_001650532.2
OG0001153	XP_029035877.1, XP_029035905.1	XP_021702556.1
OG0001154	XP_029045919.1	XP_021711748.1
OG0001155	XP_029032053.1, XP_029032052.1, XP_029032051.1	XP_021707527.1
OG0001156	XP_029051453.1	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	XP_029035770.1	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	XP_029055511.1, XP_029055510.1	XP_021699270.1
OG0001159	XP_029042722.1, XP_029042723.1, XP_029042724.1, XP_029042725.1	XP_021710638.1
OG0001160	XP_029033349.1	XP_001654460.1
OG0001161	XP_029037662.1	XP_001652572.1
OG0001162	XP_029046438.1, XP_029046430.1, XP_029046437.1	XP_021707175.1
OG0001164	XP_029053566.1	XP_021707691.1, XP_021707690.1, XP_021707689.1
OG0001165	XP_029034472.1, XP_029034470.1	XP_021710995.1
OG0001166	XP_029053494.1, XP_029053493.1	XP_021700484.1
OG0001167	XP_029053014.1, XP_029053013.1, XP_029053011.1	XP_001661518.1
OG0001168	XP_029054095.1, XP_029054096.1	XP_001655162.2
OG0001169	XP_029041844.1	XP_021700392.1, XP_001663720.1
OG0001171	XP_029047001.1, XP_029047000.1	XP_021694953.1
OG0001172	XP_029043903.1	XP_021705744.1, XP_021705736.1
OG0001173	XP_029044928.1	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	XP_029043193.1, XP_029043192.1, XP_029034609.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	XP_029047430.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	XP_029055939.1, XP_029055940.1	XP_021693845.1
OG0001178	XP_029054667.1	XP_001656777.2
OG0001179	XP_029051416.1, XP_029051417.1, XP_029051415.1, XP_029051413.1, XP_029051418.1	XP_021708724.1
OG0001180	XP_029047573.1, XP_029047580.1	XP_021706223.1, XP_001654740.2
OG0001181	XP_029049183.1, XP_029051531.1	XP_001647577.1
OG0001182	XP_029044906.1, XP_029044903.1	XP_021711115.1, XP_021711128.1
OG0001183	XP_029033810.1, XP_029033802.1	XP_021696657.1
OG0001184	XP_029050580.1, XP_029050579.1	XP_001655214.2
OG0001185	XP_029046656.1, XP_029040340.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	XP_029044269.1, XP_029044268.1, XP_029044270.1	XP_001654432.1
OG0001187	XP_029049604.1	XP_021711494.1
OG0001188	XP_029052229.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	XP_029032794.1	XP_021711031.1
OG0001190	XP_029040704.1, XP_029040702.1	XP_001649672.1, XP_021702492.1
OG0001191	XP_029039512.1	XP_021704021.1, XP_001657314.2
OG0001193	XP_029046377.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001195	XP_029036893.1, XP_029036892.1, XP_029036891.1	XP_001649330.2, XP_021701388.1
OG0001197	XP_029035791.1	XP_001653258.1
OG0001198	XP_029046027.1, XP_029046028.1, XP_029046025.1, XP_029046026.1, XP_029046022.1, XP_029046023.1	XP_001654561.1
OG0001202	XP_029038518.1	XP_001660281.2
OG0001203	XP_029051994.1	XP_021695231.1, XP_021698954.1, XP_021698952.1
OG0001204	XP_029045639.1	XP_021698471.1
OG0001205	XP_029045937.1, XP_029047797.1	XP_021703744.1
OG0001206	XP_029039739.1, XP_029039724.1	XP_021704907.1
OG0001207	XP_029038861.1	XP_021705398.1, XP_021705681.1
OG0001208	XP_029046716.1	XP_021706768.1
OG0001209	XP_029050453.1, XP_029050454.1, XP_029046132.1	XP_021712755.1
OG0001214	XP_029054862.1	XP_001655451.2
OG0001215	XP_029045433.1	XP_021697293.1, XP_021697294.1, XP_021697295.1
OG0001216	XP_029055442.1	XP_001653393.1
OG0001217	XP_029042268.1, XP_029042267.1, XP_029042269.1	XP_001659205.1
OG0001218	XP_029056113.1	XP_001648941.1, XP_021705472.1
OG0001219	XP_029045176.1	XP_011493503.2
OG0001220	XP_029042303.1, XP_029042298.1, XP_029042297.1, XP_029042302.1, XP_029042301.1, XP_029042300.1, XP_029042299.1, XP_029042304.1	XP_001663266.1
OG0001221	XP_029045089.1	XP_001649949.1
OG0001222	XP_029045829.1, XP_029045830.1	XP_021713412.1, XP_001655604.1, XP_001655603.1
OG0001223	XP_029052640.1	XP_001648095.1
OG0001224	XP_029042408.1, XP_029042403.1	XP_001660440.2, XP_001658084.2
OG0001225	XP_029035023.1, XP_029035022.1	XP_001648371.1
OG0001226	XP_029041431.1	XP_001653501.2
OG0001228	XP_029040917.1, XP_029040916.1	XP_021703910.1, XP_021703909.1
OG0001229	XP_029037330.1, XP_029037329.1	XP_021704947.1
OG0001230	XP_029048697.1	XP_001656889.1
OG0001231	XP_029043785.1	XP_021694672.1
OG0001231	XP_029043778.1	XP_001660051.2
OG0001232	XP_029032285.1, XP_029032284.1	XP_021700838.1
OG0001233	XP_029038609.1	XP_001654247.1, XP_021704697.1, XP_021704696.1
OG0001234	XP_029052110.1	XP_021706307.1
OG0001236	XP_029042136.1	XP_021698646.1, XP_021698645.1
OG0001237	XP_029042680.1	XP_021696524.1
OG0001238	XP_029034896.1	XP_021711392.1, XP_021711407.1
OG0001239	XP_029048880.1, XP_029048879.1	XP_021710256.1
OG0001240	XP_029048972.1	XP_021700543.1
OG0001241	XP_029054682.1, XP_029054684.1	XP_021709960.1
OG0001242	XP_029035172.1	XP_021695985.1
OG0001244	XP_029049729.1, XP_029049728.1, XP_029049726.1, XP_029049725.1	XP_001653051.1
OG0001245	XP_029040097.1, XP_029040096.1, XP_029040099.1, XP_029040098.1	XP_001649754.1, XP_021706031.1
OG0001246	XP_029051610.1	XP_021703701.1
OG0001247	XP_029045546.1, XP_029045545.1	XP_001658992.1
OG0001248	XP_029037526.1	XP_021703673.1
OG0001249	XP_029040827.1	XP_001660617.1
OG0001250	XP_029034862.1	XP_001661045.2
OG0001251	XP_029032473.1	XP_021695142.1, XP_021695149.1
OG0001252	XP_029045781.1	XP_001656430.1
OG0001253	XP_029035396.1	XP_001651542.2, XP_021696789.1, XP_021696788.1, XP_021696787.1
OG0001254	XP_029037110.1, XP_029037103.1	XP_021705862.1
OG0001255	XP_029053483.1, XP_029051376.1	XP_001647960.3
OG0001256	XP_029044274.1, XP_029044168.1	XP_021694943.1, XP_021694941.1
OG0001257	XP_029035352.1, XP_029035342.1, XP_029035333.1	XP_021693634.1, XP_011493676.1, XP_011493675.1
OG0001258	XP_029047866.1, XP_029047816.1	XP_001652339.1, XP_021704024.1, XP_021704027.1
OG0001259	XP_029050142.1	XP_001653425.2
OG0001260	XP_029047658.1, XP_029047659.1	XP_001652317.1
OG0001261	XP_029047959.1, XP_029047956.1, XP_029047957.1, XP_029047955.1, XP_029047960.1, XP_029047958.1	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1
OG0001262	XP_029042726.1, XP_029042727.1, XP_029042729.1	XP_021711449.1
OG0001263	XP_029047815.1	XP_001658296.1
OG0001264	XP_029038702.1	XP_001657447.2
OG0001265	XP_029031886.1	XP_021703729.1, XP_021703731.1, XP_021703732.1, XP_021703727.1, XP_021703728.1, XP_021703725.1, XP_021703726.1, XP_021703723.1, XP_021703724.1, XP_021703721.1, XP_021703722.1, XP_021703720.1
OG0001267	XP_029052974.1	XP_021705969.1, XP_021705968.1
OG0001268	XP_029051876.1, XP_029034629.1	XP_021703813.1
OG0001269	XP_029043954.1, XP_029043956.1, XP_029043958.1	XP_021710035.1
OG0001270	XP_029045617.1	XP_021705766.1, XP_021705767.1
OG0001271	XP_029037440.1	XP_021705424.1, XP_021705422.1, XP_021705423.1
OG0001272	XP_029038215.1	XP_001655854.1
OG0001273	XP_029048682.1, XP_029048679.1	XP_021700130.1
OG0001274	XP_029055752.1, XP_029055753.1, XP_029055749.1, XP_029055751.1, XP_029055754.1	XP_001663402.2
OG0001277	XP_029046168.1	XP_021707020.1, XP_021707021.1
OG0001278	XP_029045825.1, XP_029045826.1, XP_029045828.1	XP_001651785.2
OG0001279	XP_029046065.1	XP_021694589.1
OG0001280	XP_029048608.1	XP_001652945.1
OG0001281	XP_029044752.1, XP_029044751.1, XP_029044755.1	XP_021698661.1
OG0001282	XP_029050569.1, XP_029050570.1, XP_029050571.1, XP_029050573.1, XP_029050568.1	XP_021698670.1
OG0001283	XP_029052096.1	XP_021697649.1
OG0001284	XP_029037069.1	XP_021701396.1, XP_021701391.1
OG0001286	XP_029038422.1	XP_021703120.1
OG0001287	XP_029048784.1	XP_021707370.1, XP_021707349.1, XP_021707348.1
OG0001288	XP_029045434.1	XP_021706525.1, XP_001659242.1
OG0001289	XP_029046337.1	XP_021694157.1
OG0001290	XP_029049968.1, XP_029049973.1	XP_001660794.2, XP_021695080.1
OG0001291	XP_029056056.1	XP_001655206.2, XP_021712045.1
OG0001293	XP_029040029.1, XP_029040028.1, XP_029040030.1	XP_001658202.2
OG0001294	XP_029039533.1	XP_001662562.1, XP_021712306.1
OG0001295	XP_029041356.1	XP_001655925.2, XP_021699425.1
OG0001298	XP_029038752.1	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1
OG0001300	XP_029041664.1	XP_001650130.2
OG0001301	XP_029051368.1	XP_021696109.1
OG0001302	XP_029053379.1	XP_021704073.1
OG0001303	XP_029032106.1	XP_021709459.1, XP_021709460.1
OG0001304	XP_029036818.1, XP_029036817.1	XP_001649076.2
OG0001305	XP_029047272.1	XP_021712565.1, XP_021696722.1
OG0001306	XP_029045544.1, XP_029045539.1	XP_021705682.1
OG0001307	XP_029042062.1	XP_021695213.1
OG0001308	XP_029038996.1	XP_021706251.1
OG0001310	XP_029036677.1, XP_029036676.1, XP_029036675.1	XP_001647946.2
OG0001312	XP_029034879.1	XP_001654151.1
OG0001314	XP_029042388.1, XP_029042387.1	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1
OG0001315	XP_029032809.1, XP_029032806.1	XP_001663877.1, XP_021699529.1
OG0001316	XP_029054671.1, XP_029054670.1	XP_021698705.1
OG0001317	XP_029048401.1	XP_021699168.1
OG0001318	XP_029054022.1, XP_029054015.1, XP_029054074.1, XP_029054078.1	XP_021702414.1
OG0001319	XP_029040165.1, XP_029040164.1, XP_029040163.1	XP_021704855.1
OG0001320	XP_029048617.1	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1
OG0001321	XP_029047115.1, XP_029047112.1, XP_029047113.1, XP_029047111.1, XP_029047116.1, XP_029047114.1	XP_021710244.1
OG0001322	XP_029043835.1, XP_029043833.1, XP_029043832.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001329	XP_029032327.1	XP_001657589.2
OG0001330	XP_029042912.1, XP_029042913.1, XP_029042914.1, XP_029042915.1	XP_001652750.1
OG0001331	XP_029051541.1, XP_029051540.1, XP_029051867.1, XP_029051868.1	XP_001654299.1
OG0001332	XP_029033214.1	XP_001652269.1
OG0001333	XP_029044746.1, XP_029044745.1	XP_001651256.1
OG0001334	XP_029032222.1	XP_001650222.1, XP_001654443.1
OG0001335	XP_029040504.1	XP_001649624.2, XP_001649625.2
OG0001337	XP_029038364.1	XP_021707110.1
OG0001338	XP_029037588.1	XP_001660476.2
OG0001339	XP_029032885.1	XP_001654036.2
OG0001340	XP_029050499.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	XP_029034457.1	XP_021695378.1
OG0001342	XP_029036316.1, XP_029036318.1, XP_029036317.1	XP_021707182.1
OG0001343	XP_029039156.1, XP_029043379.1	XP_001662179.2
OG0001344	XP_029047967.1, XP_029047966.1	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1
OG0001345	XP_029036453.1, XP_029036454.1, XP_029036456.1, XP_029036455.1	XP_001661090.1
OG0001346	XP_029034209.1, XP_029034208.1, XP_029034207.1, XP_029034206.1, XP_029034210.1	XP_001648900.1, XP_021707707.1
OG0001347	XP_029040682.1, XP_029040683.1	XP_001659204.1
OG0001348	XP_029046770.1	XP_001661832.1
OG0001349	XP_029036960.1, XP_029036961.1	XP_001654544.1
OG0001350	XP_029056373.1	XP_001655317.2
OG0001351	XP_029039548.1, XP_029039547.1, XP_029039546.1, XP_029039544.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_029039001.1, XP_029039002.1	XP_021705226.1
OG0001353	XP_029037693.1	XP_001656906.2
OG0001354	XP_029048678.1	XP_001663103.2
OG0001355	XP_029048591.1	XP_021710337.1
OG0001356	XP_029050251.1	XP_021696915.1
OG0001357	XP_029035295.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_029050983.1	XP_001655316.1
OG0001361	XP_029033187.1, XP_029033186.1, XP_029033188.1	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	XP_029043889.1, XP_029043891.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	XP_029052706.1, XP_029044244.1, XP_029043395.1	XP_001659788.1
OG0001364	XP_029042894.1	XP_021704232.1
OG0001365	XP_029037460.1, XP_029037461.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001368	XP_029054149.1, XP_029054153.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_029047264.1, XP_029047262.1, XP_029047263.1	XP_001661015.2
OG0001370	XP_029032157.1, XP_029032156.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_029039828.1, XP_029039862.1, XP_029039838.1, XP_029039848.1, XP_029039856.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	XP_029036670.1, XP_029036648.1, XP_029036647.1	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	XP_029038583.1	XP_021694453.1
OG0001374	XP_029037603.1, XP_029037604.1, XP_029037601.1, XP_029037602.1	XP_001657485.1
OG0001375	XP_029035918.1, XP_029035922.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_029039213.1	XP_021704527.1
OG0001377	XP_029053475.1	XP_001664237.1
OG0001378	XP_029055326.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_029041466.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_029032982.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_029040972.1	XP_001648807.1
OG0001382	XP_029044693.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_029053750.1	XP_001662373.2
OG0001384	XP_029052476.1	XP_001660023.2
OG0001385	XP_029036528.1	XP_021698595.1
OG0001386	XP_029046067.1	XP_021698247.1
OG0001387	XP_029036625.1	XP_001656936.1
OG0001388	XP_029046509.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_029037728.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_029044964.1	XP_021700843.1
OG0001391	XP_029040450.1, XP_029040449.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_029044914.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	XP_029044648.1, XP_029044647.1, XP_029044646.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_029051159.1	XP_001650424.1
OG0001395	XP_029036082.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_029034090.1, XP_029034089.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_029054221.1, XP_029054097.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_029049881.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_029037974.1, XP_029037973.1	XP_001651707.1
OG0001400	XP_029049393.1, XP_029051918.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_029036921.1, XP_029036920.1	XP_001660577.1
OG0001402	XP_029033711.1, XP_029033712.1, XP_029033714.1, XP_029033715.1, XP_029033490.1, XP_029033716.1, XP_029033491.1, XP_029033713.1, XP_029033494.1, XP_029033495.1, XP_029033492.1, XP_029033493.1	XP_001664062.1
OG0001403	XP_029036549.1, XP_029036610.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_029053391.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_029049321.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_029046680.1, XP_029046677.1, XP_029046679.1	XP_021712670.1
OG0001407	XP_029032536.1, XP_029032530.1	XP_021704231.1, XP_021704230.1
OG0001408	XP_029048312.1	XP_021713401.1
OG0001409	XP_029052634.1, XP_029052630.1, XP_029052635.1, XP_029052636.1	XP_021711099.1
OG0001410	XP_029049351.1	XP_021708563.1
OG0001413	XP_029053632.1	XP_021694446.1
OG0001414	XP_029050126.1	XP_021702146.1
OG0001415	XP_029052257.1, XP_029052234.1	XP_021699093.1
OG0001416	XP_029050379.1, XP_029055801.1, XP_029050539.1	XP_021712252.1, XP_021700673.1
OG0001417	XP_029035459.1	XP_021695666.1
OG0001418	XP_029053413.1	XP_021702027.1
OG0001419	XP_029046883.1, XP_029046876.1	XP_021703807.1
OG0001420	XP_029043708.1	XP_001655783.1, XP_001652599.2
OG0001421	XP_029044390.1	XP_001657115.1
OG0001422	XP_029035369.1, XP_029035370.1, XP_029035367.1, XP_029035366.1, XP_029035365.1, XP_029035364.1, XP_029035368.1	XP_001650075.2
OG0001423	XP_029048768.1, XP_029048772.1, XP_029048771.1, XP_029048770.1, XP_029048764.1, XP_029048765.1, XP_029048767.1, XP_029048769.1, XP_029048773.1	XP_001659271.2
OG0001424	XP_029050173.1, XP_029050174.1	XP_001648513.1
OG0001425	XP_029042495.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_029044523.1	XP_021701495.1
OG0001427	XP_029034274.1, XP_029032743.1	XP_001660203.1
OG0001428	XP_029048751.1	XP_001647790.2
OG0001429	XP_029053294.1	XP_001650121.1
OG0001430	XP_029045969.1	XP_001654175.2, XP_021708114.1
OG0001432	XP_029040225.1	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2
OG0001433	XP_029046760.1, XP_029046759.1, XP_029046762.1, XP_029046761.1	XP_001662331.2
OG0001434	XP_029055958.1	XP_001663415.1
OG0001435	XP_029054868.1, XP_029052265.1, XP_029054491.1, XP_029053727.1	XP_021711791.1, XP_021694248.1, XP_021711091.1, XP_021694242.1
OG0001436	XP_029039039.1	XP_021697897.1
OG0001437	XP_029049522.1	XP_021700178.1
OG0001438	XP_029033232.1, XP_029033234.1, XP_029033233.1	XP_021708714.1, XP_021704285.1
OG0001439	XP_029050191.1, XP_029050175.1, XP_029050182.1, XP_029050199.1	XP_021705419.1, XP_021711772.1
OG0001440	XP_029052701.1, XP_029052700.1	XP_021706240.1
OG0001441	XP_029047093.1, XP_029047091.1, XP_029047094.1	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1
OG0001442	XP_029046510.1, XP_029046513.1, XP_029046511.1	XP_021706881.1
OG0001443	XP_029034117.1, XP_029034119.1, XP_029036181.1	XP_021706948.1, XP_021711425.1
OG0001444	XP_029055786.1	XP_021708725.1
OG0001445	XP_029048244.1, XP_029048243.1	XP_021712815.1
OG0001446	XP_029033512.1, XP_029033509.1, XP_029033507.1, XP_029033552.1	XP_021713062.1, XP_021713058.1
OG0001453	XP_029032174.1	XP_001652827.1, XP_001652828.1, XP_001652829.1
OG0001455	XP_029035016.1	XP_001659135.1, XP_001649843.1
OG0001456	XP_029056476.1	XP_021706989.1
OG0001457	XP_029054206.1, XP_029054215.1, XP_029054130.1, XP_029054137.1, XP_029054125.1, XP_029054200.1	XP_001656531.1
OG0001458	XP_029037398.1	XP_021709031.1
OG0001459	XP_029055509.1	XP_001649804.1, XP_001658793.2
OG0001460	XP_029036249.1	XP_001663584.2
OG0001461	XP_029036407.1, XP_029036408.1, XP_029036406.1	XP_001649395.2
OG0001462	XP_029038649.1, XP_029038652.1	XP_021710250.1, XP_021710252.1
OG0001463	XP_029053110.1	XP_021706165.1, XP_021706164.1
OG0001464	XP_029040572.1	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1
OG0001465	XP_029056629.1, XP_029056628.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	XP_029041250.1, XP_029040137.1	XP_001652327.1
OG0001467	XP_029032514.1, XP_029032515.1, XP_029032518.1, XP_029032516.1, XP_029032519.1	XP_001649724.2
OG0001468	XP_029043109.1, XP_029043110.1	XP_001648269.1
OG0001469	XP_029037613.1	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	XP_029038904.1, XP_029038905.1, XP_029038903.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	XP_029033027.1	XP_001657926.1
OG0001472	XP_029037086.1, XP_029038615.1	XP_001656628.1
OG0001473	XP_029034238.1, XP_029034236.1, XP_029034237.1, XP_029034234.1, XP_029034235.1	XP_021699212.1
OG0001474	XP_029039988.1	XP_001662447.1
OG0001475	XP_029037911.1, XP_029037910.1	XP_001664045.2
OG0001476	XP_029049330.1	XP_021705887.1
OG0001477	XP_029040039.1	XP_001654194.2
OG0001478	XP_029055557.1	XP_021711922.1, XP_021699182.1
OG0001479	XP_029044070.1	XP_001655863.1
