Orthogroup	Osmia_bicornis	Bombus_terrestris
OG0000525	XP_029050725.1, XP_029050724.1	XP_003399921.1, XP_020721587.1, XP_012170578.1
OG0000526	XP_029046376.1	XP_020719895.1
OG0000526	XP_029047305.1, XP_029047304.1	XP_012166214.1, XP_020719345.1, XP_020719343.1, XP_020719344.1
OG0000527	XP_029045030.1, XP_029045028.1	XP_012170958.1
OG0000528	XP_029034626.1	XP_003399681.1
OG0000529	XP_029053482.1	XP_012170810.1
OG0000530	XP_029050661.1	XP_012171945.1
OG0000530	XP_029050663.1	XP_012171955.1, XP_003400955.1
OG0000531	XP_029055499.1	XP_012174277.1
OG0000533	XP_029055535.1, XP_029055534.1	XP_012165417.1, XP_012165416.1, XP_003396390.1, XP_012165418.1
OG0000538	XP_029048579.1	XP_003400361.1
OG0000540	XP_029036686.1	XP_003402706.1
OG0000540	XP_029045790.1	XP_003401502.1
OG0000541	XP_029051706.1, XP_029051705.1	XP_012175620.1
OG0000542	XP_029033199.1	XP_020721554.1, XP_003399686.1
OG0000543	XP_029032187.1, XP_029032186.1, XP_029032185.1, XP_029032188.1	XP_012166182.1, XP_012166180.1, XP_012166181.1, XP_020719265.1
OG0000544	XP_029045802.1	XP_003401501.1, XP_012172755.1, XP_012172754.1
OG0000545	XP_029046002.1	XP_003401049.1
OG0000545	XP_029044150.1	XP_003397705.1
OG0000546	XP_029038335.1	XP_003397567.2
OG0000546	XP_029037841.1	XP_012166797.2
OG0000547	XP_029032557.1	XP_003396374.1, XP_012165378.1, XP_012165373.1, XP_012165376.1, XP_012165379.1
OG0000548	XP_029039475.1	XP_003401182.1
OG0000548	XP_029039468.1	XP_012172095.1
OG0000549	XP_029041385.1	XP_003397918.2
OG0000550	XP_029035228.1	XP_020719232.1, XP_003396534.1
OG0000551	XP_029047255.1	XP_020719542.1, XP_020719541.1
OG0000552	XP_029034239.1	XP_003393718.1
OG0000553	XP_029046340.1, XP_029046341.1	XP_012166431.1, XP_003397118.1, XP_012166430.1, XP_012166429.1
OG0000554	XP_029051069.1	XP_003397208.1
OG0000554	XP_029036958.1	XP_003401464.1
OG0000555	XP_029040006.1	XP_003398076.2
OG0000555	XP_029040010.1	XP_003398135.1
OG0000556	XP_029036612.1, XP_029036611.1, XP_029036613.1	XP_003402529.2, XP_012164341.1, XP_020718867.1, XP_020718868.1
OG0000557	XP_029039195.1	XP_012167468.1, XP_012167466.1, XP_012167467.1, XP_012167465.1, XP_003397930.1
OG0000558	XP_029045537.1	XP_020718929.1, XP_020718926.1
OG0000558	XP_029051476.1	XP_003403188.1
OG0000559	XP_029050738.1	XP_003399614.1, XP_012169854.1, XP_020721725.1
OG0000560	XP_029039489.1, XP_029039488.1	XP_003401132.1, XP_003401131.1
OG0000561	XP_029045119.1	XP_020719792.1
OG0000561	XP_029045120.1	XP_020719796.1
OG0000562	XP_029040662.1, XP_029040661.1	XP_003402359.1
OG0000563	XP_029048255.1	XP_020718680.1
OG0000564	XP_029046541.1	XP_012168588.1, XP_003398786.1, XP_012168589.1, XP_020721254.1
OG0000565	XP_029032820.1	XP_020722258.1
OG0000565	XP_029034297.1	XP_003402652.1
OG0000567	XP_029037465.1	XP_003399018.1
OG0000567	XP_029033971.1	XP_012166092.1
OG0000568	XP_029046837.1, XP_029046836.1, XP_029046838.1	XP_012175157.1, XP_003403153.1
OG0000569	XP_029033915.1	XP_020721094.1
OG0000569	XP_029038511.1	XP_012168806.1
OG0000570	XP_029047443.1	XP_012165154.1, XP_012165461.2
OG0000571	XP_029032703.1, XP_029032698.1, XP_029032697.1	XP_012171130.1, XP_012171135.1
OG0000572	XP_029042579.1, XP_029042581.1, XP_029042578.1	XP_020721824.1, XP_003400080.1
OG0000573	XP_029049567.1	XP_012176534.1
OG0000574	XP_029044181.1	XP_020723759.1
OG0000575	XP_029037637.1	XP_020720050.1
OG0000575	XP_029038506.1	XP_020720086.1
OG0000576	XP_029049029.1	XP_012169985.1, XP_012169988.1, XP_012169987.1, XP_012169984.1, XP_012169983.1, XP_012169982.1, XP_020721393.1, XP_020721394.1, XP_012169986.1
OG0000577	XP_029041526.1	XP_012173941.1
OG0000578	XP_029045846.1, XP_029045847.1, XP_029045850.1, XP_029045851.1, XP_029045848.1, XP_029045849.1, XP_029045855.1, XP_029045854.1, XP_029045856.1, XP_029045852.1	XP_012172081.1
OG0000579	XP_029048496.1, XP_029048497.1, XP_029048495.1, XP_029048498.1, XP_029048494.1	XP_003396944.1, XP_020719364.1, XP_020719363.1, XP_020719362.1, XP_020719368.1, XP_020719366.1, XP_020719367.1, XP_020719365.1
OG0000582	XP_029042817.1	XP_012164450.1, XP_012164446.1
OG0000583	XP_029041877.1	XP_020722144.1, XP_020722143.1, XP_003400384.1, XP_020722142.1, XP_020722141.1
OG0000584	XP_029049369.1	XP_003403257.1
OG0000584	XP_029034125.1	XP_012173081.1
OG0000585	XP_029034668.1	XP_003394914.3
OG0000585	XP_029047509.1	XP_003395233.1
OG0000586	XP_029033786.1, XP_029033787.1	XP_003394586.1
OG0000586	XP_029033885.1	XP_003394183.3
OG0000587	XP_029042599.1, XP_029042600.1, XP_029042598.1	XP_012170823.1, XP_012170822.1
OG0000588	XP_029056195.1, XP_029056190.1, XP_029056189.1, XP_029056194.1	XP_012170446.1, XP_012170447.1, XP_012170445.1, XP_003399827.1
OG0000589	XP_029051595.1	XP_012166088.1
OG0000591	XP_029046641.1	XP_003402263.1
OG0000592	XP_029049346.1	XP_003401003.1
OG0000593	XP_029039789.1	XP_012175377.2
OG0000594	XP_029045111.1	XP_012166222.1, XP_012166223.1, XP_012166219.1, XP_012166220.1, XP_012166221.1, XP_020719791.1
OG0000595	XP_029049332.1	XP_012172379.1
OG0000595	XP_029049333.1	XP_012172378.1
OG0000596	XP_029031955.1, XP_029031954.1	XP_012175793.1
OG0000596	XP_029055928.1	XP_012175798.1, XP_012175799.1, XP_012175800.1
OG0000598	XP_029044196.1	XP_012173052.1
OG0000599	XP_029042528.1	XP_012171073.1, XP_012171260.1
OG0000600	XP_029040421.1	XP_003398374.1, XP_012168092.1
OG0000601	XP_029049997.1	XP_003401586.1
OG0000601	XP_029049996.1	XP_012172544.1
OG0000602	XP_029045254.1	XP_003399782.1
OG0000602	XP_029055486.1	XP_020719651.1
OG0000603	XP_029044408.1, XP_029044409.1	XP_003401312.1
OG0000604	XP_029053352.1	XP_003402748.1
OG0000604	XP_029053353.1	XP_012174449.1
OG0000605	XP_029039696.1	XP_012168307.1
OG0000606	XP_029047428.1, XP_029047419.1	XP_020718282.1, XP_012163545.1
OG0000607	XP_029051859.1, XP_029038442.1, XP_029038441.1	XP_012171548.1, XP_012171547.1
OG0000609	XP_029043920.1, XP_029043923.1, XP_029043921.1, XP_029043924.1	XP_003395437.1
OG0000611	XP_029053264.1, XP_029053269.1, XP_029053265.1, XP_029053266.1, XP_029053267.1, XP_029053263.1, XP_029053270.1	XP_020722663.1
OG0000612	XP_029043116.1, XP_029043117.1, XP_029043115.1	XP_012166740.1, XP_012166739.1, XP_003397412.1, XP_020719994.1
OG0000613	XP_029050917.1	XP_012163556.1
OG0000613	XP_029047206.1	XP_020724166.1
OG0000614	XP_029037786.1	XP_020723124.1
OG0000614	XP_029047735.1	XP_003401258.2
OG0000615	XP_029053196.1, XP_029053197.1, XP_029053198.1, XP_029053200.1	XP_003403386.2, XP_020719530.1, XP_020719535.1, XP_020719522.1, XP_020719517.1, XP_020719518.1, XP_020719520.1, XP_020719528.1, XP_020719524.1, XP_012164942.1, XP_020719516.1, XP_020719532.1
OG0000616	XP_029055032.1	XP_020723489.1
OG0000616	XP_029055027.1, XP_029055011.1, XP_029055029.1	XP_020723488.1, XP_012174317.1
OG0000617	XP_029034189.1, XP_029034187.1, XP_029034188.1, XP_029034190.1	XP_012172405.1, XP_012172396.1, XP_012172399.1, XP_012172410.1
OG0000617	XP_029034182.1, XP_029034183.1	XP_003393665.1, XP_012172416.1, XP_012172423.1
OG0000619	XP_029033210.1, XP_029033220.1	XP_012163419.1
OG0000620	XP_029037150.1, XP_029037152.1, XP_029037151.1	XP_003394706.1, XP_003394705.1
OG0000621	XP_029049820.1	XP_003399063.1, XP_012169265.1, XP_012169266.1
OG0000622	XP_029052783.1, XP_029052784.1	XP_020722676.1, XP_003401208.1
OG0000623	XP_029045217.1, XP_029045218.1	XP_003399765.2
OG0000624	XP_029051455.1, XP_029051464.1	XP_003402928.1, XP_012174804.1
OG0000625	XP_029040101.1	XP_012174796.1, XP_012174795.1, XP_012174794.1, XP_003402908.1
OG0000626	XP_029041703.1, XP_029041706.1, XP_029041704.1, XP_029041705.1	XP_012169948.1, XP_012169951.1, XP_012169950.1, XP_012169949.1, XP_003399507.1, XP_020721555.1
OG0000627	XP_029042614.1	XP_012169193.1, XP_012169194.1, XP_012169195.1
OG0000628	XP_029044099.1	XP_020721271.1
OG0000628	XP_029044110.1	XP_020721278.1
OG0000629	XP_029039623.1, XP_029039622.1, XP_029039624.1	XP_020720524.1, XP_020720523.1, XP_012168332.1, XP_003398563.1, XP_012168331.1, XP_020720526.1
OG0000630	XP_029041390.1	XP_020720222.1
OG0000631	XP_029038434.1, XP_029038437.1, XP_029038436.1, XP_029038433.1, XP_029038435.1	XP_012171546.1
OG0000632	XP_029052102.1, XP_029052100.1, XP_029052101.1	XP_012170947.1, XP_003400196.1
OG0000633	XP_029037687.1, XP_029037686.1	XP_003400531.1
OG0000633	XP_029041518.1	XP_003393832.2
OG0000634	XP_029048142.1	XP_003402330.1
OG0000634	XP_029048149.1	XP_003402329.1
OG0000635	XP_029051070.1	XP_012166436.1
OG0000635	XP_029040166.1	XP_003402918.1
OG0000636	XP_029039620.1	XP_012168337.1, XP_012168338.1, XP_012168335.1, XP_012168336.1
OG0000637	XP_029046120.1, XP_029045035.1, XP_029044601.1, XP_029044865.1, XP_029044950.1, XP_029046032.1, XP_029044781.1, XP_029046300.1, XP_029046384.1, XP_029046212.1, XP_029044690.1, XP_029045949.1	XP_020719016.1
OG0000639	XP_029043677.1, XP_029043676.1	XP_003393881.1
OG0000640	XP_029047429.1, XP_029047426.1, XP_029047427.1	XP_003396245.1, XP_020719607.1, XP_003396246.1, XP_003396247.1
OG0000641	XP_029043125.1	XP_012166954.1, XP_012166953.1, XP_012166951.1, XP_012166952.1, XP_012166950.1, XP_012166949.1, XP_003397465.1
OG0000642	XP_029036196.1, XP_029036197.1, XP_029036195.1	XP_012174219.1, XP_003394019.1, XP_020724049.1
OG0000643	XP_029055528.1	XP_003396021.1
OG0000643	XP_029055540.1	XP_003396020.1
OG0000644	XP_029055915.1, XP_029055916.1	XP_020722877.1, XP_020722876.1, XP_020722869.1, XP_003393959.1
OG0000645	XP_029043495.1	XP_012173365.1, XP_012173367.1
OG0000646	XP_029048499.1	XP_003396957.1
OG0000647	XP_029051042.1, XP_029051041.1, XP_029051040.1, XP_029051043.1	XP_012166548.1, XP_012166549.1
OG0000648	XP_029041739.1	XP_012170298.1
OG0000649	XP_029040527.1, XP_029040529.1	XP_020720863.1
OG0000650	XP_029053486.1, XP_029053488.1, XP_029053489.1	XP_012167695.1, XP_020720049.1
OG0000651	XP_029053860.1, XP_029053855.1	XP_012164915.1
OG0000651	XP_029032121.1	XP_003394047.1
OG0000653	XP_029048729.1	XP_020718880.1
OG0000654	XP_029037711.1	XP_012168767.1
OG0000654	XP_029038872.1	XP_012176459.1
OG0000655	XP_029034955.1, XP_029034945.1, XP_029034943.1	XP_020723808.1, XP_020723801.1
OG0000656	XP_029053185.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0000657	XP_029034127.1	XP_003393704.1
OG0000657	XP_029034126.1	XP_012173096.1
OG0000659	XP_029044779.1	XP_012167136.1
OG0000660	XP_029033887.1	XP_003394244.1
OG0000661	XP_029043275.1	XP_012170187.1
OG0000662	XP_029043566.1, XP_029043334.1	XP_003402903.1
OG0000663	XP_029049220.1	XP_020721894.1, XP_020721895.1, XP_020721897.1
OG0000664	XP_029038727.1	XP_012167122.1
OG0000665	XP_029039398.1	XP_012171985.1, XP_020722362.1, XP_020722363.1, XP_020722361.1, XP_020722359.1, XP_020722358.1, XP_020722365.1, XP_020722357.1, XP_020722360.1, XP_020722364.1
OG0000666	XP_029041373.1, XP_029041386.1	XP_003397879.2
OG0000667	XP_029055180.1, XP_029055185.1	XP_003396571.1, XP_020719393.1, XP_012165583.1
OG0000668	XP_029035925.1, XP_029035926.1, XP_029035927.1, XP_029035924.1, XP_029035923.1	XP_020721259.1, XP_020721258.1, XP_020721257.1, XP_012169432.1, XP_012169434.1, XP_012169429.1, XP_012169431.1, XP_003399159.1, XP_020721256.1
OG0000669	XP_029051913.1, XP_029051914.1, XP_029051915.1, XP_029051911.1, XP_029051912.1	XP_012174960.1, XP_012174961.1, XP_012174962.1, XP_020723779.1
OG0000670	XP_029043830.1	XP_003395447.1
OG0000671	XP_029035653.1, XP_029035652.1, XP_029035654.1	XP_003395137.1, XP_012163587.1, XP_012163588.1
OG0000672	XP_029045302.1, XP_029045304.1, XP_029045301.1	XP_003397054.1
OG0000672	XP_029045300.1	XP_003397055.1
OG0000673	XP_029043090.1, XP_029043089.1, XP_029043088.1, XP_029043087.1, XP_029043085.1, XP_029043086.1, XP_029043084.1	XP_012172632.1
OG0000674	XP_029051938.1, XP_029051940.1, XP_029051939.1, XP_029051941.1	XP_003393159.2
OG0000675	XP_029038425.1, XP_029038406.1, XP_029038424.1, XP_029038426.1, XP_029046868.1, XP_029046867.1, XP_029046865.1, XP_029046866.1, XP_029038429.1, XP_029038428.1	XP_003400880.1, XP_020722203.1, XP_020722255.1
OG0000676	XP_029052144.1, XP_029052143.1, XP_029052142.1	XP_012166337.1, XP_020719815.1, XP_012166336.1, XP_020719814.1, XP_003397051.1
OG0000677	XP_029042201.1	XP_012168862.1
OG0000680	XP_029044191.1, XP_029044190.1	XP_020722815.1, XP_012172941.1
OG0000681	XP_029055084.1	XP_003393962.3
OG0000681	XP_029039721.1	XP_012168318.1, XP_003398555.1
OG0000682	XP_029045555.1	XP_003398288.1
OG0000683	XP_029054032.1, XP_029054085.1, XP_029054092.1, XP_029054025.1	XP_012167357.1
OG0000684	XP_029050261.1	XP_003395928.1, XP_012164712.1, XP_012164713.1, XP_012164714.1
OG0000685	XP_029053450.1	XP_012164924.1
OG0000685	XP_029038113.1	XP_003393461.1
OG0000686	XP_029049915.1, XP_029049914.1	XP_012175845.1
OG0000687	XP_029047941.1	XP_020720255.1, XP_003397750.1
OG0000688	XP_029041789.1	XP_020722005.1, XP_003400394.1
OG0000689	XP_029048662.1	XP_012174006.1
OG0000690	XP_029055524.1, XP_029055523.1	XP_020719698.1, XP_020719697.1
OG0000691	XP_029046007.1, XP_029046006.1	XP_003402708.1
OG0000692	XP_029044567.1, XP_029044564.1, XP_029044565.1, XP_029044566.1	XP_012168058.1
OG0000693	XP_029040353.1	XP_003393251.1
OG0000694	XP_029046097.1	XP_003395478.1, XP_012163747.1
OG0000695	XP_029033770.1, XP_029033771.1	XP_020724309.1, XP_003394580.3
OG0000696	XP_029040967.1	XP_012166361.1, XP_003397073.1
OG0000697	XP_029034392.1	XP_012174877.1, XP_003393808.1
OG0000697	XP_029036219.1	XP_020723208.1
OG0000698	XP_029036555.1, XP_029036556.1, XP_029036557.1	XP_020718741.1, XP_003395283.1
OG0000699	XP_029037106.1	XP_012167389.1
OG0000700	XP_029035766.1	XP_003393470.1
OG0000700	XP_029035732.1	XP_020720939.1, XP_003393503.1
OG0000701	XP_029047332.1	XP_012166345.1
OG0000703	XP_029038646.1, XP_029038645.1	XP_012176529.1, XP_012176528.1, XP_020724350.1
OG0000704	XP_029043519.1, XP_029043518.1	XP_012171733.1, XP_012171732.1, XP_003400887.1
OG0000704	XP_029039136.1	XP_003400575.1
OG0000705	XP_029044579.1, XP_029044422.1	XP_003395984.1
OG0000706	XP_029051674.1	XP_020719677.1
OG0000707	XP_029036053.1	XP_003402441.1
OG0000708	XP_029039483.1, XP_029039487.1, XP_029039484.1, XP_029039485.1, XP_029039486.1	XP_012172272.1
OG0000709	XP_029050804.1, XP_029050801.1	XP_012174951.1, XP_003403133.1
OG0000710	XP_029041179.1, XP_029041180.1	XP_003402531.3, XP_020723291.1
OG0000710	XP_029040038.1	XP_012167869.1, XP_003398214.1
OG0000711	XP_029041955.1	XP_012176476.1, XP_012176475.1, XP_003394640.1
OG0000712	XP_029051338.1	XP_012164541.1, XP_012164544.1
OG0000713	XP_029041909.1	XP_012171163.2
OG0000715	XP_029034744.1	XP_012172658.1
OG0000715	XP_029034742.1	XP_012172655.1
OG0000716	XP_029055641.1, XP_029055642.1	XP_012165552.1, XP_003396953.1, XP_012165555.1, XP_012165553.1, XP_012165554.1
OG0000717	XP_029048774.1	XP_003393230.2
OG0000718	XP_029051378.1, XP_029051382.1	XP_003400451.2
OG0000719	XP_029039665.1	XP_012175363.1, XP_003403338.1
OG0000720	XP_029050239.1	XP_012164711.2
OG0000720	XP_029039566.1	XP_020722483.1
OG0000721	XP_029037138.1	XP_003394193.1, XP_012175974.1, XP_012175975.1
OG0000722	XP_029052341.1	XP_003401744.1
OG0000724	XP_029041204.1, XP_029041210.1	XP_012173918.1
OG0000726	XP_029044541.1	XP_012170771.1
OG0000727	XP_029033709.1, XP_029033710.1, XP_029033481.1, XP_029033482.1, XP_029033480.1, XP_029033483.1, XP_029033707.1	XP_003398317.1
OG0000728	XP_029051358.1	XP_003399392.1, XP_012169771.1, XP_020720980.1
OG0000729	XP_029050818.1	XP_012173211.1, XP_012173212.1, XP_012173213.1
OG0000730	XP_029043981.1, XP_029044013.1	XP_012165134.1, XP_012165135.1, XP_020719226.1
OG0000731	XP_029044485.1	XP_020721744.1
OG0000732	XP_029040696.1, XP_029040698.1, XP_029040697.1	XP_020723611.1, XP_012174547.1, XP_020723610.1, XP_020723609.1, XP_020723608.1, XP_020723607.1
OG0000733	XP_029046901.1, XP_029046900.1, XP_029046899.1, XP_029046898.1	XP_012165811.1, XP_012165810.1
OG0000734	XP_029056100.1, XP_029056111.1, XP_029056110.1, XP_029056109.1	XP_003399877.1
OG0000736	XP_029050709.1	XP_012171958.1, XP_012171960.1, XP_012171957.1, XP_012171959.1
OG0000737	XP_029044849.1, XP_029044850.1	XP_020720393.1, XP_012167130.1, XP_012167131.1, XP_003397590.1
OG0000738	XP_029042186.1	XP_020718623.1
OG0000739	XP_029054971.1, XP_029054972.1	XP_020722159.1
OG0000740	XP_029048761.1	XP_020720925.1
OG0000741	XP_029036898.1	XP_012169519.1
OG0000742	XP_029045647.1	XP_012168275.1, XP_003398531.1, XP_020720818.1, XP_020720817.1, XP_012168272.1
OG0000743	XP_029051933.1	XP_020719414.1
OG0000744	XP_029040310.1	XP_003399518.1, XP_012169964.1
OG0000745	XP_029043259.1, XP_029043260.1	XP_020720302.1, XP_003397645.1
OG0000746	XP_029035212.1, XP_029035213.1	XP_003396315.2, XP_012165290.1
OG0000747	XP_029037484.1	XP_020720902.1, XP_020720903.1, XP_012169371.1, XP_003399124.1
OG0000748	XP_029046091.1	XP_012163559.2
OG0000749	XP_029034745.1	XP_003401442.1
OG0000750	XP_029049058.1, XP_029049055.1, XP_029049056.1, XP_029049057.1	XP_012169218.1
OG0000751	XP_029033906.1	XP_003393136.1
OG0000752	XP_029039135.1	XP_012171521.1
OG0000753	XP_029044382.1	XP_012172333.2
OG0000754	XP_029039515.1	XP_012172260.1
OG0000755	XP_029051860.1, XP_029051861.1, XP_029051863.1	XP_012171348.1
OG0000756	XP_029055378.1	XP_012166187.2
OG0000756	XP_029055377.1	XP_003396503.1
OG0000757	XP_029054481.1	XP_012163117.1, XP_012163115.1
OG0000758	XP_029040597.1	XP_020723598.1
OG0000758	XP_029041032.1	XP_020723872.1, XP_012175288.1
OG0000759	XP_029052225.1, XP_029052224.1, XP_029052223.1, XP_029052221.1	XP_012170366.1, XP_012170365.1
OG0000760	XP_029044834.1, XP_029044835.1, XP_029044833.1	XP_003397895.1
OG0000761	XP_029051596.1	XP_003396214.1, XP_012165005.1, XP_012165007.1, XP_012165006.1
OG0000762	XP_029047045.1	XP_012166505.1, XP_020719779.1, XP_003397286.1, XP_020719780.1
OG0000764	XP_029041333.1	XP_012164488.1
OG0000764	XP_029041332.1	XP_012164487.2
OG0000765	XP_029037335.1, XP_029037336.1	XP_003394840.1
OG0000766	XP_029046086.1, XP_029046087.1, XP_029046088.1, XP_029046085.1	XP_012174256.2
OG0000767	XP_029039436.1, XP_029039454.1, XP_029039446.1	XP_003396887.1, XP_003396886.1
OG0000768	XP_029049673.1, XP_029049672.1, XP_029049675.1, XP_029049674.1	XP_020721017.1, XP_012169271.1
OG0000769	XP_029032426.1, XP_029032425.1, XP_029032424.1	XP_012165009.1
OG0000770	XP_029039259.1, XP_029039261.1, XP_029039257.1, XP_029039262.1, XP_029039260.1	XP_012171528.1, XP_012171527.1, XP_012171526.1, XP_020722158.1, XP_003400581.1, XP_003400580.1
OG0000771	XP_029054309.1, XP_029054310.1	XP_020718374.1, XP_020718373.1
OG0000772	XP_029040816.1, XP_029040815.1, XP_029040818.1, XP_029040817.1	XP_012166941.1
OG0000773	XP_029042442.1, XP_029042441.1, XP_029042440.1	XP_003398938.1, XP_003398939.1, XP_012169055.1, XP_012169054.1
OG0000774	XP_029039669.1	XP_012175365.1, XP_012175366.1, XP_012175368.1, XP_012175367.1
OG0000775	XP_029037416.1	XP_012169075.1
OG0000775	XP_029037413.1	XP_012169071.1
OG0000776	XP_029034048.1, XP_029034050.1, XP_029034049.1	XP_020720859.1, XP_012164662.1
OG0000777	XP_029045416.1	XP_003400768.1
OG0000778	XP_029055404.1, XP_029055405.1, XP_029055406.1, XP_029055407.1	XP_012165516.1, XP_012165515.1, XP_003396680.1, XP_020719577.1
OG0000779	XP_029037745.1	XP_012174505.1
OG0000780	XP_029048996.1, XP_029048995.1	XP_003398230.1
OG0000781	XP_029032935.1, XP_029032936.1	XP_020724147.1, XP_012176228.1, XP_012176227.1, XP_012176226.1, XP_003394353.1
OG0000782	XP_029052926.1	XP_020719984.1, XP_020719985.1, XP_020719989.1, XP_020719988.1, XP_020719990.1, XP_003397405.1, XP_012166825.1, XP_012166824.1, XP_020719987.1, XP_020719986.1
OG0000783	XP_029052180.1	XP_003400201.1
OG0000784	XP_029042530.1	XP_012170933.1
OG0000785	XP_029038453.1	XP_003400602.1, XP_012171560.1, XP_012171559.1
OG0000786	XP_029042324.1	XP_003402108.1, XP_012173665.1
OG0000787	XP_029038869.1, XP_029038866.1, XP_029038868.1, XP_029038867.1	XP_012176460.1, XP_003394519.1, XP_003394520.1
OG0000789	XP_029043730.1, XP_029043728.1, XP_029043726.1, XP_029043727.1, XP_029043731.1	XP_003397238.1, XP_003397239.1
OG0000790	XP_029034750.1, XP_029034749.1	XP_003401444.1
OG0000791	XP_029051030.1, XP_029051031.1, XP_029051032.1, XP_029051029.1	XP_003399862.1
OG0000795	XP_029032577.1, XP_029032576.1	XP_003396709.1
OG0000796	XP_029044370.1	XP_012163333.1
OG0000796	XP_029035996.1	XP_012174179.1
OG0000797	XP_029050797.1	XP_012174944.1, XP_012174943.1, XP_012174942.1, XP_012174941.1
OG0000798	XP_029043504.1, XP_029043503.1	XP_020723080.1
OG0000799	XP_029041378.1	XP_012167594.1
OG0000799	XP_029041376.1	XP_012167591.1
OG0000800	XP_029032790.1, XP_029032789.1	XP_012167818.1
OG0000801	XP_029053165.1	XP_020723107.1
OG0000801	XP_029035910.1	XP_020720868.1
OG0000802	XP_029039753.1, XP_029039754.1, XP_029039755.1, XP_029039756.1	XP_012168354.1
OG0000803	XP_029054275.1	XP_020720273.1, XP_020720272.1, XP_003397466.1
OG0000804	XP_029041174.1	XP_003394698.1
OG0000805	XP_029040208.1	XP_003396039.1
OG0000805	XP_029046982.1, XP_029046983.1	XP_012174200.1
OG0000806	XP_029047953.1	XP_003397751.1, XP_012167092.1, XP_012167093.1
OG0000807	XP_029043270.1, XP_029043271.1	XP_003399650.1, XP_012170173.1, XP_012170172.1
OG0000808	XP_029040465.1	XP_020720805.1
OG0000808	XP_029040464.1	XP_012167781.1
OG0000809	XP_029042846.1, XP_029042841.1	XP_020718937.1, XP_003395415.2, XP_003402523.3
OG0000810	XP_029034570.1	XP_020721358.1, XP_003399739.1
OG0000811	XP_029053160.1, XP_029053159.1, XP_029053158.1	XP_012166695.1
OG0000812	XP_029055439.1	XP_003396592.1
OG0000812	XP_029032874.1	XP_003394553.1
OG0000813	XP_029049847.1, XP_029049846.1	XP_003399910.1
OG0000814	XP_029038499.1	XP_003402088.1
OG0000815	XP_029034070.1, XP_029034071.1	XP_012165603.1, XP_012165623.1, XP_012165628.1
OG0000816	XP_029040002.1	XP_003398314.1
OG0000817	XP_029038601.1	XP_003394391.1
OG0000818	XP_029050066.1, XP_029050068.1, XP_029050069.1, XP_029050067.1	XP_003394690.1
OG0000819	XP_029034836.1	XP_020722584.1
OG0000819	XP_029034833.1	XP_012172650.1
OG0000820	XP_029053604.1, XP_029053594.1, XP_029053725.1	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1
OG0000821	XP_029039781.1, XP_029039783.1, XP_029039780.1	XP_003398511.1
OG0000822	XP_029048472.1, XP_029048469.1	XP_003393415.1, XP_012168194.1
OG0000823	XP_029040963.1, XP_029040964.1, XP_029040962.1	XP_003399445.1
OG0000824	XP_029051500.1	XP_012173206.2
OG0000824	XP_029039917.1	XP_012175405.1
OG0000825	XP_029041485.1	XP_012167590.1
OG0000826	XP_029045535.1, XP_029045534.1	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1
OG0000827	XP_029051427.1, XP_029051428.1	XP_020720559.1, XP_020720562.1
OG0000828	XP_029050419.1	XP_012164794.1, XP_003396173.1, XP_012164795.1
OG0000829	XP_029041730.1, XP_029041731.1, XP_029041733.1, XP_029041729.1, XP_029041735.1, XP_029041737.1, XP_029041738.1, XP_029041736.1, XP_029041732.1	XP_003399769.1
OG0000830	XP_029046159.1, XP_029046160.1	XP_003394299.1
OG0000831	XP_029053525.1	XP_012170449.1, XP_012170452.1
OG0000832	XP_029052022.1	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1
OG0000833	XP_029033171.1	XP_020721531.1
OG0000833	XP_029033162.1	XP_020721525.1, XP_020721530.1
OG0000834	XP_029044948.1, XP_029044947.1, XP_029044949.1	XP_012168056.1, XP_003393407.1
OG0000835	XP_029033243.1	XP_003399682.1
OG0000836	XP_029050026.1	XP_020722762.1
OG0000837	XP_029052942.1, XP_029052939.1, XP_029052940.1	XP_003397404.1, XP_012166829.1, XP_012166828.1
OG0000838	XP_029052152.1, XP_029052159.1	XP_012171244.1, XP_012171252.1
OG0000839	XP_029041269.1	XP_003397300.2
OG0000840	XP_029032295.1	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1
OG0000841	XP_029038245.1	XP_003397175.1
OG0000842	XP_029036335.1	XP_003395726.1
OG0000843	XP_029040309.1	XP_020721707.1, XP_020721708.1, XP_003399517.1, XP_012169962.1, XP_012169961.1
OG0000844	XP_029047367.1, XP_029047368.1	XP_012176282.1, XP_003392928.1
OG0000845	XP_029038807.1	XP_012166912.1, XP_020720248.1
OG0000846	XP_029046106.1, XP_029054871.1, XP_029046768.1, XP_029050764.1, XP_029050765.1, XP_029046220.1, XP_029046219.1, XP_029046121.1	XP_012175295.2, XP_020724151.1, XP_020724153.1, XP_012176310.1, XP_003394317.1, XP_020723870.1
OG0000847	XP_029051956.1, XP_029055272.1	XP_012174699.1, XP_020719407.1
