Orthogroup	Megachile_rotundata	Dufourea_novaeangliae
OG0002048	XP_003704028.2, XP_012142199.1	XP_015434267.1
OG0002049	XP_012146711.1, XP_012146712.1, XP_012146713.1, XP_012146714.1	XP_015431962.1
OG0002050	XP_012145652.1	XP_015440163.1
OG0002051	XP_012145208.1	XP_015433311.1
OG0002052	XP_003704800.1, XP_012144068.1	XP_015434467.1
OG0002053	XP_003702455.1	XP_015435504.1
OG0002054	XP_012149111.1, XP_012149112.1, XP_012149110.1	XP_015428885.1
OG0002055	XP_012150482.1, XP_012150484.1, XP_003707511.1, XP_012150483.1	XP_015430933.1
OG0002057	XP_012135961.1	XP_015433515.1, XP_015433514.1
OG0002058	XP_012135997.1	XP_015430425.1
OG0002059	XP_003701212.1	XP_015430479.1
OG0002060	XP_003705210.1	XP_015440062.1
OG0002061	XP_012139390.1	XP_015439093.1
OG0002062	XP_003702834.1	XP_015439036.1
OG0002063	XP_012143033.1	XP_015435161.1
OG0002064	XP_003704989.1, XP_012144450.1	XP_015432091.1
OG0002065	XP_012146691.1	XP_015432017.1
OG0002066	XP_003705873.1	XP_015432025.1
OG0002067	XP_012145704.1	XP_015431973.1
OG0002068	XP_003702400.1	XP_015429842.1
OG0002069	XP_012149050.1	XP_015439563.1
OG0002070	XP_012144714.1	XP_015436493.1
OG0002071	XP_012139878.1, XP_012139579.1	XP_015439249.1
OG0002072	XP_003707083.1, XP_012149366.1, XP_012149365.1	XP_015438483.1
OG0002073	XP_012135433.1, XP_003701057.2	XP_015432629.1
OG0002075	XP_003705738.2	XP_015440514.1
OG0002076	XP_003699365.1	XP_015437712.1
OG0002077	XP_003706178.1	XP_015430662.1
OG0002078	XP_012137784.1	XP_015430715.1, XP_015430716.1, XP_015430714.1
OG0002079	XP_003707564.1	XP_015436231.1
OG0002080	XP_012150811.1, XP_012150812.1, XP_003707609.1, XP_012150810.1	XP_015436412.1
OG0002081	XP_003699537.1	XP_015436808.1
OG0002082	XP_012153959.1	XP_015440043.1
OG0002083	XP_003702679.1	XP_015439821.1
OG0002084	XP_003707347.1	XP_015433399.1
OG0002085	XP_003702283.2	XP_015429047.1, XP_015429046.1
OG0002087	XP_012137740.1	XP_015433739.1
OG0002087	XP_003702052.1	XP_015433861.1
OG0002088	XP_003703077.1	XP_015429438.1
OG0002089	XP_012145872.1, XP_012145862.1, XP_012145873.1	XP_015428682.1
OG0002090	XP_003703116.1	XP_015436791.1
OG0002091	XP_012140232.1	XP_015437528.1
OG0002092	XP_012140222.1	XP_015438078.1
OG0002093	XP_003708512.2	XP_015437845.1
OG0002094	XP_012136661.1, XP_012136660.1	XP_015434957.1
OG0002095	XP_003702306.1	XP_015432466.1
OG0002096	XP_012138372.1	XP_015431267.1
OG0002097	XP_003702320.2	XP_015431471.1
OG0002098	XP_003701281.1	XP_015431921.1
OG0002099	XP_003708393.1	XP_015436938.1
OG0002100	XP_012152948.1	XP_015430757.1
OG0002101	XP_003706157.1	XP_015430836.1
OG0002102	XP_003704106.2, XP_012142484.1	XP_015432686.1
OG0002103	XP_003706589.1	XP_015438294.1, XP_015438293.1
OG0002104	XP_012145883.1	XP_015428744.1
OG0002105	XP_003702033.1, XP_012137945.1	XP_015436909.1
OG0002106	XP_012151270.1, XP_012151275.1	XP_015440456.1
OG0002107	XP_003699304.1, XP_012145485.1	XP_015438131.1
OG0002108	XP_012147327.1	XP_015437280.1
OG0002109	XP_012151435.1	XP_015432916.1
OG0002110	XP_003708003.1	XP_015435391.1
OG0002111	XP_012140025.1	XP_015429724.1
OG0002112	XP_012148399.1, XP_003706648.1, XP_012148398.1	XP_015438980.1
OG0002113	XP_012140674.1, XP_012140675.1, XP_012140676.1	XP_015436792.1
OG0002114	XP_003706423.2	XP_015429465.1
OG0002115	XP_012147156.1	XP_015429706.1, XP_015429698.1
OG0002116	XP_012142307.1	XP_015428765.1
OG0002117	XP_012148065.1, XP_012148063.1, XP_012148064.1, XP_012148068.1, XP_012148067.1	XP_015431150.1
OG0002118	XP_003701857.2	XP_015439630.1
OG0002119	XP_003701839.2	XP_015433734.1
OG0002120	XP_003707196.1	XP_015438752.1, XP_015438753.1
OG0002122	XP_012142382.1	XP_015432569.1
OG0002124	XP_012136913.1	XP_015434216.1
OG0002126	XP_012145927.1	XP_015429333.1, XP_015429330.1, XP_015429332.1
OG0002127	XP_012148573.1	XP_015431701.1
OG0002128	XP_003706213.1	XP_015430739.1
OG0002129	XP_012151361.1	XP_015437128.1
OG0002130	XP_012152783.1	XP_015430781.1
OG0002130	XP_012152786.1	XP_015430644.1
OG0002131	XP_012149555.1	XP_015428746.1
OG0002132	XP_012134955.1	XP_015431736.1
OG0002133	XP_012144584.1	XP_015439520.1
OG0002134	XP_012150066.1, XP_012150065.1	XP_015440217.1
OG0002135	XP_012144948.1	XP_015440042.1
OG0002136	XP_003705430.1, XP_012145657.1	XP_015439971.1, XP_015439970.1
OG0002137	XP_012140669.1	XP_015437165.1
OG0002138	XP_012137116.1, XP_012137117.1, XP_012137118.1	XP_015438610.1
OG0002139	XP_012141251.1	XP_015429212.1
OG0002140	XP_003702098.1	XP_015437284.1
OG0002141	XP_012148154.1, XP_003706560.2	XP_015429619.1
OG0002142	XP_003702512.1, XP_012138897.1	XP_015430447.1
OG0002143	XP_012146231.1	XP_015436505.1
OG0002144	XP_012141186.1, XP_003703468.1	XP_015434419.1, XP_015437434.1
OG0002145	XP_012135914.1, XP_003701245.1	XP_015430483.1
OG0002146	XP_012144100.1, XP_003704811.1	XP_015429581.1
OG0002147	XP_012149721.1	XP_015436077.1
OG0002148	XP_012151772.1	XP_015436050.1
OG0002150	XP_012148505.1, XP_003706692.1	XP_015438385.1
OG0002151	XP_003707696.1	XP_015438502.1
OG0002152	XP_012146234.1	XP_015436573.1
OG0002153	XP_012154300.1	XP_015440526.1
OG0002154	XP_012149612.1, XP_012149464.1, XP_012149540.1	XP_015440528.1
OG0002156	XP_012140373.1	XP_015434779.1
OG0002157	XP_012139709.1	XP_015439123.1
OG0002158	XP_003708282.2	XP_015439132.1
OG0002159	XP_012149597.1, XP_012149598.1, XP_003707123.1	XP_015434196.1, XP_015434197.1
OG0002160	XP_012139832.1	XP_015438930.1
OG0002162	XP_012147817.1	XP_015429331.1
OG0002163	XP_012153545.1	XP_015434888.1
OG0002164	XP_003705916.2, XP_012146944.1	XP_015432455.1
OG0002165	XP_003699655.1	XP_015434861.1
OG0002166	XP_012136038.1	XP_015434751.1
OG0002167	XP_012134766.1, XP_012134769.1, XP_012134767.1, XP_003700655.1	XP_015431479.1
OG0002168	XP_012153915.1, XP_012153916.1	XP_015431819.1
OG0002169	XP_012151825.1	XP_015435279.1
OG0002170	XP_012153075.1	XP_015436168.1
OG0002171	XP_003708521.1	XP_015437724.1
OG0002172	XP_012153811.1	XP_015429738.1
OG0002173	XP_003703115.1	XP_015436120.1
OG0002174	XP_003701529.1	XP_015434994.1
OG0002175	XP_012149862.1, XP_012149863.1	XP_015436023.1
OG0002176	XP_012136594.1, XP_012136597.1	XP_015433988.1
OG0002178	XP_003701480.1	XP_015434949.1
OG0002179	XP_003701658.2	XP_015432564.1
OG0002180	XP_012151095.1	XP_015434327.1
OG0002182	XP_003704024.1	XP_015434358.1
OG0002183	XP_012147694.1, XP_012147692.1	XP_015431592.1
OG0002184	XP_012147481.1, XP_012143763.1	XP_015432591.1
OG0002185	XP_012152824.1	XP_015430649.1
OG0002186	XP_003707820.1	XP_015439803.1
OG0002187	XP_012147161.1	XP_015436648.1
OG0002188	XP_012152921.1	XP_015436880.1
OG0002189	XP_012143171.1, XP_003704446.1	XP_015434190.1
OG0002190	XP_012135540.1	XP_015433312.1
OG0002191	XP_003705259.2, XP_012145230.1	XP_015439678.1
OG0002192	XP_012145200.1	XP_015433376.1
OG0002193	XP_012140188.1, XP_012140189.1, XP_012140190.1	XP_015436065.1
OG0002194	XP_003705275.1	XP_015433391.1, XP_015433390.1
OG0002195	XP_012150224.1	XP_015440024.1
OG0002196	XP_003705229.1	XP_015433357.1
OG0002197	XP_012144986.1	XP_015440136.1
OG0002198	XP_012150116.1	XP_015439669.1
OG0002199	XP_003705263.2	XP_015440006.1
OG0002200	XP_012153988.1	XP_015439745.1
OG0002201	XP_012139084.1	XP_015440039.1
OG0002202	XP_012149973.1	XP_015439694.1
OG0002203	XP_012149966.1	XP_015439900.1
OG0002204	XP_012137017.1, XP_012137014.1	XP_015428483.1
OG0002205	XP_003703334.2, XP_012140527.1, XP_012140528.1	XP_015439120.1
OG0002206	XP_003703361.1	XP_015437227.1
OG0002208	XP_003706401.1	XP_015430170.1
OG0002209	XP_003706462.2	XP_015433465.1
OG0002210	XP_012140864.1	XP_015440368.1
OG0002211	XP_012141231.1	XP_015429216.1
OG0002212	XP_012146199.1, XP_012146203.1	XP_015436472.1
OG0002213	XP_012144080.1	XP_015434392.1
OG0002214	XP_012141369.1, XP_012141368.1, XP_003703514.1	XP_015435990.1
OG0002215	XP_012141380.1	XP_015435994.1, XP_015435993.1
OG0002216	XP_012140355.1	XP_015437072.1
OG0002217	XP_012147579.1	XP_015435039.1
OG0002218	XP_012148006.1	XP_015428691.1
OG0002219	XP_012139253.1	XP_015429408.1
OG0002220	XP_012140929.1	XP_015435133.1
OG0002221	XP_012135328.1, XP_003701008.1	XP_015433827.1
OG0002222	XP_012146530.1	XP_015436788.1
OG0002223	XP_012135717.1	XP_015433643.1
OG0002224	XP_012144139.1	XP_015431052.1
OG0002225	XP_012152667.1	XP_015439518.1
OG0002226	XP_012150625.1	XP_015436272.1
OG0002227	XP_003699598.1	XP_015436040.1
OG0002228	XP_012140332.1	XP_015431145.1
OG0002229	XP_012143358.1	XP_015431202.1
OG0002230	XP_003707043.1	XP_015431259.1
OG0002231	XP_012148827.1	XP_015431282.1
OG0002232	XP_003706952.1	XP_015431422.1
OG0002233	XP_012146437.1, XP_012146438.1	XP_015437018.1
OG0002234	XP_003699985.1	XP_015435503.1
OG0002235	XP_003708518.1	XP_015438194.1
OG0002236	XP_012140182.1	XP_015431806.1
OG0002237	XP_012138955.1, XP_003702578.2	XP_015436683.1
OG0002238	XP_003700623.1	XP_015437732.1
OG0002239	XP_003699254.1	XP_015435501.1
OG0002240	XP_012151506.1	XP_015435271.1
OG0002241	XP_003700779.1, XP_012134654.1, XP_012134653.1	XP_015432271.1
OG0002242	XP_012153146.1	XP_015438673.1
OG0002242	XP_012152980.1	XP_015438674.1
OG0002243	XP_012142670.1, XP_012142666.1, XP_012142668.1	XP_015432333.1
OG0002244	XP_003704325.1, XP_012142795.1	XP_015428625.1
OG0002245	XP_012143031.1, XP_003704266.2	XP_015437615.1
OG0002246	XP_012140370.1, XP_012140369.1, XP_003703233.1	XP_015434768.1, XP_015434769.1
OG0002249	XP_003708316.2	XP_015434024.1
OG0002250	XP_012149632.1, XP_003707132.1	XP_015439114.1
OG0002251	XP_003703741.1	XP_015432986.1
OG0002252	XP_012152543.1, XP_003708309.1	XP_015434103.1
OG0002253	XP_003704730.1	XP_015434854.1
OG0002254	XP_003706729.1, XP_012148555.1	XP_015434857.1
OG0002255	XP_012147002.1	XP_015434847.1
OG0002256	XP_003700330.1	XP_015428581.1
OG0002257	XP_012153396.1, XP_012153422.1	XP_015434906.1
OG0002258	XP_012145824.1, XP_012145826.1	XP_015435756.1
OG0002259	XP_012136347.1, XP_012136341.1	XP_015435587.1
OG0002260	XP_003700762.1	XP_015433740.1
OG0002261	XP_003702036.1	XP_015436998.1
OG0002262	XP_012139891.1	XP_015429699.1
OG0002262	XP_012139890.1	XP_015429700.1
OG0002263	XP_003705675.1	XP_015433575.1
OG0002264	XP_003706628.2, XP_012148272.1	XP_015438196.1
OG0002265	XP_012138410.1	XP_015432910.1
OG0002266	XP_003701825.1	XP_015431862.1
OG0002267	XP_012135045.1	XP_015428619.1
OG0002268	XP_012136067.1	XP_015430704.1
OG0002269	XP_012139478.1	XP_015434070.1
OG0002270	XP_012145396.1, XP_012145394.1	XP_015434859.1
OG0002271	XP_003700432.2	XP_015428442.1
OG0002272	XP_012151701.1	XP_015435372.1, XP_015435371.1
OG0002273	XP_003703421.1	XP_015440363.1
OG0002274	XP_012140725.1	XP_015440381.1
OG0002275	XP_003703294.1	XP_015432008.1, XP_015432006.1
OG0002276	XP_003703620.1	XP_015438061.1
OG0002278	XP_012135157.1	XP_015429049.1
OG0002279	XP_003700184.1	XP_015432154.1
OG0002280	XP_012148688.1, XP_012148686.1	XP_015429068.1, XP_015429069.1, XP_015429067.1
OG0002281	XP_012143279.1	XP_015431193.1
OG0002282	XP_003700421.1	XP_015430331.1
OG0002283	XP_003706516.1	XP_015435872.1
OG0002284	XP_012147444.1	XP_015430835.1
OG0002285	XP_003703816.1	XP_015435408.1
OG0002286	XP_003706453.1	XP_015428717.1
OG0002287	XP_012135457.1, XP_003701033.1, XP_012135461.1, XP_012135460.1, XP_012135458.1	XP_015431101.1
OG0002288	XP_003707743.1	XP_015435536.1
OG0002289	XP_003702479.1, XP_012138788.1	XP_015430956.1
OG0002290	XP_003699738.1	XP_015428925.1, XP_015428924.1
OG0002291	XP_003706905.1	XP_015439588.1
OG0002292	XP_003706958.1	XP_015437662.1
OG0002293	XP_012152616.1	XP_015439231.1
OG0002294	XP_003704761.1, XP_012143900.1	XP_015437964.1
OG0002295	XP_003701710.1	XP_015431824.1, XP_015431825.1
OG0002296	XP_003699867.1	XP_015435832.1
OG0002297	XP_003708447.1	XP_015430850.1
OG0002298	XP_003707316.2	XP_015439942.1
OG0002299	XP_012139186.1, XP_012139187.1, XP_012139188.1, XP_012139185.1	XP_015439983.1
OG0002300	XP_003703471.2	XP_015429607.1
OG0002301	XP_003701260.1	XP_015437453.1
OG0002302	XP_003699248.1	XP_015437308.1
OG0002303	XP_003705687.2, XP_012149383.1, XP_003707086.1	XP_015438406.1
OG0002304	XP_003699732.1	XP_015438361.1
OG0002305	XP_003700046.1	XP_015433807.1, XP_015433806.1, XP_015433808.1, XP_015433809.1
OG0002306	XP_003704866.2	XP_015436360.1
OG0002307	XP_012147201.1	XP_015435913.1
OG0002308	XP_012136806.1	XP_015430735.1
OG0002309	XP_003706580.1, XP_003706497.2	XP_015436737.1
OG0002310	XP_003706487.1, XP_012148000.1, XP_012148001.1	XP_015428694.1
OG0002311	XP_003707923.1, XP_012151761.1, XP_012151760.1	XP_015435302.1
OG0002312	XP_003700354.1	XP_015439825.1, XP_015439827.1, XP_015439826.1
OG0002313	XP_012150003.1	XP_015440005.1
OG0002314	XP_012141594.1	XP_015432875.1
OG0002315	XP_012150178.1	XP_015440077.1
OG0002316	XP_003701909.1, XP_012137473.1	XP_015434032.1
OG0002317	XP_012146513.1, XP_012146514.1	XP_015432538.1
OG0002319	XP_003700728.1, XP_012134727.1	XP_015433821.1
OG0002320	XP_003699627.1, XP_012141433.1	XP_015439347.1
OG0002321	XP_003705196.1	XP_015433381.1
OG0002322	XP_003707542.2	XP_015440110.1
OG0002323	XP_003707512.1	XP_015430949.1
OG0002324	XP_003699954.1, XP_012148003.1	XP_015438851.1
OG0002325	XP_003706904.1	XP_015437636.1
OG0002326	XP_003706348.1	XP_015435237.1
OG0002327	XP_003701625.1	XP_015433977.1
OG0002328	XP_012148834.1	XP_015431325.1
OG0002329	XP_012145886.1, XP_003705530.1	XP_015428725.1
OG0002330	XP_012147920.1	XP_015429661.1, XP_015429668.1
OG0002331	XP_012142100.1	XP_015430618.1
OG0002332	XP_012144484.1, XP_012144481.1, XP_012144482.1, XP_012144483.1	XP_015434750.1
OG0002333	XP_012137259.1, XP_003701841.1	XP_015433872.1
OG0002334	XP_003702175.1	XP_015437500.1
OG0002335	XP_012144403.1	XP_015438640.1
OG0002336	XP_012152242.1	XP_015435839.1
OG0002337	XP_003703504.1	XP_015439362.1
OG0002338	XP_012135067.1	XP_015429112.1
OG0002339	XP_003707016.1	XP_015437647.1
OG0002340	XP_012136363.1	XP_015436662.1
OG0002341	XP_012149572.1, XP_012149574.1, XP_012149573.1, XP_003707147.1	XP_015428426.1
OG0002342	XP_003708325.1	XP_015438988.1
OG0002343	XP_003702994.1	XP_015432593.1
OG0002344	XP_012149950.1	XP_015436434.1
OG0002345	XP_003701009.1	XP_015433830.1, XP_015433831.1, XP_015433832.1
OG0002346	XP_003705109.1, XP_012144729.1	XP_015430572.1
OG0002347	XP_012150883.1, XP_012150884.1, XP_012150885.1	XP_015436878.1, XP_015436886.1
OG0002348	XP_003708395.2	XP_015430771.1
OG0002349	XP_012151812.1	XP_015435384.1
OG0002350	XP_003701761.1	XP_015431976.1
OG0002351	XP_003708357.1	XP_015434194.1
OG0002352	XP_012152720.1, XP_003708373.1	XP_015440339.1
OG0002353	XP_003705822.1, XP_012146724.1	XP_015432002.1
OG0002354	XP_012154561.1	XP_015437380.1
OG0002355	XP_003699315.1	XP_015437310.1
OG0002356	XP_003705804.1	XP_015437826.1
OG0002357	XP_012136964.1	XP_015428530.1, XP_015428529.1
OG0002358	XP_003702788.2	XP_015439060.1
OG0002359	XP_003702968.2	XP_015439015.1, XP_015439016.1
OG0002360	XP_012141709.1	XP_015432845.1
OG0002361	XP_012147030.1, XP_003706018.1	XP_015430496.1
OG0002362	XP_003700812.2	XP_015431638.1
OG0002363	XP_012137032.1, XP_012150981.1	XP_015438484.1
OG0002364	XP_012143889.1, XP_012143903.1, XP_012143895.1	XP_015431269.1
OG0002365	XP_012140850.1	XP_015431002.1
OG0002367	XP_012138701.1	XP_015436556.1
OG0002368	XP_012148495.1	XP_015440530.1
OG0002369	XP_012140437.1	XP_015428509.1
OG0002369	XP_012140436.1	XP_015428508.1
OG0002370	XP_012139645.1, XP_012139651.1	XP_015439024.1, XP_015439022.1
OG0002371	XP_012136381.1	XP_015435002.1
OG0002372	XP_003702536.2	XP_015430966.1, XP_015430965.1
OG0002373	XP_012145791.1	XP_015433698.1, XP_015433700.1
OG0002374	XP_012144345.1, XP_003704905.1	XP_015431037.1
OG0002379	XP_012139976.1	XP_015429410.1
OG0002379	XP_012154410.1, XP_012154409.1	XP_015429685.1
OG0002380	XP_012147725.1, XP_012151867.1	XP_015431641.1
OG0002381	XP_012144543.1, XP_012135022.1	XP_015436678.1, XP_015433579.1, XP_015437588.1
OG0002381	XP_012138856.1	XP_015432649.1, XP_015436017.1
OG0002383	XP_012147213.1	XP_015434259.1
OG0002384	XP_003708646.1	XP_015438001.1
OG0002385	XP_012145228.1	XP_015439677.1
OG0002386	XP_003702457.1	XP_015436537.1
OG0002387	XP_003703618.2	XP_015429233.1
OG0002388	XP_003705403.1, XP_012145465.1	XP_015428488.1
OG0002389	XP_012146246.1	XP_015438333.1
OG0002390	XP_003707114.2	XP_015436739.1
OG0002391	XP_012146968.1	XP_015434920.1
OG0002392	XP_012142707.1	XP_015438894.1, XP_015438895.1, XP_015438896.1
OG0002394	XP_012145681.1	XP_015429456.1
OG0002395	XP_012152561.1	XP_015434182.1
OG0002396	XP_012146112.1	XP_015429760.1
OG0002397	XP_012142351.1, XP_012142346.1	XP_015433228.1
OG0002398	XP_003702706.2	XP_015431228.1
OG0002399	XP_003700795.2	XP_015431613.1
OG0002400	XP_003702523.1	XP_015433839.1
OG0002401	XP_003705270.1	XP_015433319.1
OG0002402	XP_012138809.1	XP_015430477.1
OG0002403	XP_003699204.1	XP_015439571.1
OG0002404	XP_003702860.1	XP_015439164.1
OG0002405	XP_012151675.1	XP_015433014.1
OG0002406	XP_012141430.1, XP_003703539.2	XP_015429646.1
OG0002407	XP_012146401.1	XP_015437012.1
OG0002409	XP_012138027.1, XP_003702174.1	XP_015438038.1
OG0002410	XP_012154305.1, XP_012154306.1, XP_012154307.1, XP_003700513.1	XP_015430339.1, XP_015430338.1
OG0002411	XP_003708574.1	XP_015432464.1, XP_015432462.1
OG0002412	XP_012140844.1	XP_015432043.1
OG0002413	XP_012149103.1	XP_015428856.1
OG0002414	XP_012151685.1	XP_015433075.1
OG0002415	XP_003702266.1	XP_015429091.1, XP_015429092.1, XP_015429093.1, XP_015429090.1
OG0002416	XP_012148359.1, XP_012148358.1	XP_015437587.1
OG0002417	XP_003703232.1	XP_015434770.1
OG0002418	XP_003704200.1	XP_015438025.1
OG0002420	XP_003708311.2	XP_015438129.1, XP_015434111.1
OG0002421	XP_012149748.1, XP_012149751.1, XP_012149755.1	XP_015432069.1
OG0002422	XP_003700171.1	XP_015436355.1
OG0002423	XP_012151920.1, XP_003700050.1, XP_012151912.1	XP_015436387.1, XP_015436386.1
OG0002424	XP_003704044.1	XP_015434370.1
OG0002425	XP_003699750.1	XP_015428944.1
OG0002426	XP_003708055.1	XP_015432754.1
OG0002427	XP_003702474.1	XP_015436618.1, XP_015438157.1
OG0002428	XP_003707633.1	XP_015436293.1
OG0002429	XP_003704871.1, XP_012144284.1	XP_015436100.1
OG0002430	XP_012141868.1	XP_015429901.1
OG0002431	XP_003707670.1	XP_015436967.1
OG0002432	XP_012141866.1, XP_012141865.1, XP_012141867.1	XP_015429156.1
OG0002433	XP_012145154.1, XP_003705278.1, XP_012145152.1	XP_015433360.1
OG0002434	XP_012142770.1	XP_015428663.1
OG0002435	XP_003703064.1	XP_015430823.1
OG0002436	XP_003702630.1, XP_012139177.1	XP_015433395.1, XP_015433396.1
OG0002437	XP_012145797.1, XP_012145796.1	XP_015433202.1
OG0002438	XP_003699576.1	XP_015436337.1
OG0002439	XP_012153002.1, XP_012153001.1	XP_015437954.1
OG0002440	XP_012141567.1	XP_015439570.1, XP_015435090.1
OG0002441	XP_003702225.1, XP_012138187.1	XP_015429089.1
OG0002442	XP_003702280.1	XP_015429140.1
OG0002443	XP_003706439.1	XP_015430895.1
OG0002444	XP_012151686.1, XP_003707900.1	XP_015433000.1
OG0002445	XP_003701429.1	XP_015433114.1
OG0002446	XP_012136064.1, XP_003701303.1	XP_015428692.1
OG0002447	XP_012153506.1, XP_012153508.1, XP_012153507.1	XP_015437982.1
OG0002448	XP_003703979.1	XP_015432574.1
OG0002450	XP_012140433.1, XP_012140432.1	XP_015433607.1
OG0002451	XP_003701741.1	XP_015432020.1
OG0002452	XP_012153388.1	XP_015434790.1
OG0002453	XP_003702376.1	XP_015429748.1
OG0002454	XP_012138423.1	XP_015431909.1
OG0002455	XP_012140012.1	XP_015430041.1
OG0002456	XP_012143647.1, XP_012143646.1	XP_015434514.1
OG0002457	XP_003707812.1	XP_015435524.1
OG0002458	XP_003708337.1	XP_015434035.1
OG0002459	XP_012145346.1, XP_003705314.1	XP_015428847.1
OG0002460	XP_003702556.1, XP_012138914.1	XP_015433717.1
OG0002461	XP_003708131.1, XP_012152111.1, XP_012152110.1	XP_015434506.1
OG0002462	XP_003705665.1	XP_015429940.1
OG0002464	XP_012147729.1, XP_003706349.2	XP_015435236.1
OG0002465	XP_003704500.1	XP_015431208.1
OG0002466	XP_003704299.2, XP_012142663.1	XP_015432312.1
OG0002467	XP_003703546.1, XP_012141452.1	XP_015429513.1
OG0002468	XP_003701353.1	XP_015431886.1
OG0002469	XP_003701377.1	XP_015431896.1
OG0002470	XP_003699893.1, XP_012146304.1	XP_015433639.1
OG0002471	XP_012142790.1, XP_012142791.1	XP_015428652.1
OG0002473	XP_012146861.1, XP_012146862.1	XP_015432523.1
OG0002474	XP_003699717.1	XP_015431366.1
OG0002475	XP_012144079.1	XP_015431410.1
OG0002476	XP_003702840.1	XP_015439062.1
OG0002478	XP_003700967.2	XP_015440461.1
OG0002479	XP_012144140.1, XP_003704843.2	XP_015431163.1
OG0002480	XP_012152021.1	XP_015436141.1
OG0002481	XP_012148482.1	XP_015438546.1
OG0002482	XP_012141166.1, XP_003703464.1	XP_015429570.1
OG0002483	XP_003699223.1	XP_015437866.1
OG0002484	XP_012148776.1, XP_012148778.1	XP_015437666.1
OG0002486	XP_003703709.1	XP_015429224.1
OG0002487	XP_003700587.2	XP_015435575.1
OG0002488	XP_003707010.1	XP_015428884.1
OG0002489	XP_003707284.1, XP_003707285.1	XP_015439894.1
OG0002490	XP_003705712.1	XP_015431033.1
OG0002491	XP_012153608.1, XP_003708681.1	XP_015432226.1
OG0002492	XP_003702259.2, XP_012138422.1, XP_012138421.1	XP_015432335.1
OG0002494	XP_003707280.1, XP_012150075.1	XP_015440069.1
OG0002495	XP_012150267.1	XP_015439674.1
OG0002496	XP_003702632.1	XP_015433363.1
OG0002497	XP_003701990.1, XP_012137680.1	XP_015436582.1
OG0002498	XP_003706330.1	XP_015431560.1
OG0002500	XP_012146221.1	XP_015438202.1
OG0002501	XP_012142491.1, XP_012142489.1	XP_015432703.1
OG0002502	XP_003699260.1	XP_015437776.1
OG0002503	XP_012152204.1	XP_015429356.1
OG0002505	XP_012150350.1	XP_015434418.1
OG0002506	XP_012138148.1	XP_015429831.1
OG0002507	XP_012143732.1	XP_015435190.1
OG0002508	XP_003705573.2	XP_015435813.1
OG0002509	XP_003706569.1	XP_015434427.1
OG0002510	XP_003704355.1	XP_015432342.1
OG0002511	XP_003699603.1	XP_015437965.1
OG0002512	XP_012152352.1	XP_015433709.1, XP_015433707.1
OG0002513	XP_012146011.1	XP_015437125.1
OG0002514	XP_003708553.1	XP_015434852.1
OG0002515	XP_003704848.1	XP_015431053.1
OG0002516	XP_012146498.1	XP_015433681.1
OG0002517	XP_012142817.1	XP_015428587.1
OG0002518	XP_012143116.1	XP_015432305.1
OG0002520	XP_003703490.1	XP_015435987.1
OG0002521	XP_012136736.1	XP_015430843.1
OG0002522	XP_012142011.1	XP_015430617.1
OG0002523	XP_012141422.1, XP_012141418.1	XP_015429632.1
OG0002524	XP_003705114.1	XP_015430499.1
OG0002525	XP_012140983.1	XP_015438057.1
OG0002526	XP_012146163.1, XP_012146162.1	XP_015429809.1
OG0002527	XP_012147662.1	XP_015429693.1
OG0002528	XP_012143651.1	XP_015431276.1
OG0002529	XP_012145454.1, XP_003705401.1	XP_015428479.1
OG0002530	XP_012145577.1	XP_015428501.1, XP_015428502.1, XP_015428503.1
OG0002531	XP_012138832.1	XP_015430472.1
OG0002532	XP_012138817.1	XP_015430549.1
OG0002533	XP_012144889.1, XP_012144891.1	XP_015430465.1
OG0002534	XP_012137616.1, XP_012137615.1, XP_012137617.1, XP_012137614.1	XP_015429207.1
OG0002535	XP_003706119.1	XP_015435881.1, XP_015435882.1, XP_015435880.1
OG0002536	XP_012147233.1, XP_003706091.1, XP_012147232.1	XP_015434264.1
OG0002537	XP_012142172.1	XP_015434257.1
OG0002538	XP_003703451.1	XP_015435086.1
OG0002539	XP_012145716.1	XP_015431201.1
OG0002540	XP_012144188.1	XP_015431227.1
OG0002542	XP_012145732.1, XP_003705459.1	XP_015431012.1
OG0002543	XP_003704244.1, XP_012142981.1	XP_015432408.1
OG0002544	XP_012151974.1	XP_015434044.1
OG0002545	XP_003704287.1	XP_015437427.1
OG0002547	XP_003704118.1	XP_015432179.1
OG0002548	XP_012141342.1	XP_015435948.1
OG0002549	XP_003703497.2	XP_015435106.1
OG0002550	XP_003699871.1	XP_015431576.1
OG0002551	XP_012152367.1, XP_012152368.1	XP_015435804.1, XP_015435803.1, XP_015435802.1
OG0002552	XP_012147446.1	XP_015435905.1
OG0002553	XP_012146787.1, XP_012146786.1, XP_012146780.1	XP_015433115.1
OG0002554	XP_003701904.1	XP_015433252.1
OG0002555	XP_003700893.1	XP_015428460.1
OG0002556	XP_012135051.1	XP_015428472.1
OG0002557	XP_003701644.2, XP_012136912.1	XP_015440388.1
OG0002559	XP_003702344.1	XP_015429033.1, XP_015429034.1
OG0002560	XP_012149780.1, XP_012149782.1, XP_012149784.1, XP_012149783.1	XP_015438733.1
OG0002561	XP_012151343.1	XP_015436688.1
OG0002562	XP_012145545.1	XP_015434639.1
OG0002563	XP_012150689.1	XP_015436340.1
OG0002564	XP_012151319.1	XP_015439505.1
