Orthogroup	Megachile_rotundata	Ceratina_calcarata
OG0000908	XP_003706184.1	XP_017893606.1
OG0000909	XP_003707404.1	XP_026669048.1, XP_026669047.1, XP_017879542.2
OG0000910	XP_003707323.1	XP_017876234.1
OG0000911	XP_003702127.1	XP_017887562.1
OG0000912	XP_003703137.1	XP_017892422.1
OG0000913	XP_003703150.1	XP_017892397.1
OG0000914	XP_012134899.1	XP_017882765.1
OG0000914	XP_012134888.1, XP_012134891.1	XP_026670187.1
OG0000915	XP_012136821.1	XP_017886030.1
OG0000916	XP_012151539.1, XP_012151538.1	XP_026669156.1
OG0000917	XP_012141857.1, XP_003703843.1	XP_017881018.1
OG0000918	XP_012147926.1	XP_017887809.1
OG0000918	XP_012147924.1	XP_026673220.1
OG0000919	XP_003707040.2	XP_017875736.1, XP_017875735.1
OG0000920	XP_012145030.1, XP_003705173.1	XP_026672814.1, XP_026672812.1
OG0000922	XP_012151735.1	XP_017888184.1
OG0000923	XP_012147400.1, XP_003706171.1	XP_026666863.1
OG0000924	XP_003702708.1	XP_017879700.1
OG0000925	XP_012140483.1	XP_017884094.1, XP_026671362.1
OG0000926	XP_012149760.1	XP_017890874.1
OG0000927	XP_003705547.2	XP_017888894.1
OG0000928	XP_003707485.1	XP_017877351.1, XP_026668016.1, XP_017877352.1
OG0000929	XP_012148230.1	XP_017875797.1
OG0000930	XP_012150828.1	XP_026672554.1
OG0000931	XP_012150685.1, XP_012150682.1	XP_017885488.1, XP_017885482.1, XP_026672348.1
OG0000932	XP_012149258.1	XP_026667210.1
OG0000933	XP_012134519.1, XP_012134520.1	XP_017881662.1
OG0000934	XP_012152018.1, XP_003699253.1	XP_026673460.1, XP_017888302.1, XP_017888301.1
OG0000935	XP_012138735.1	XP_026666474.1, XP_017892912.1, XP_026666475.1
OG0000936	XP_003706023.1	XP_017875901.1
OG0000937	XP_012140078.1, XP_003703094.1	XP_017885882.1
OG0000938	XP_012142232.1	XP_026673955.1
OG0000938	XP_012142206.1	XP_026673959.1
OG0000939	XP_012153511.1, XP_003708578.1	XP_017892582.1, XP_017892587.1
OG0000940	XP_003705050.1, XP_012144661.1	XP_017890732.1, XP_026674620.1
OG0000941	XP_012146128.1, XP_012146131.1, XP_012146130.1, XP_012146133.1, XP_012146132.1, XP_012146127.1, XP_003705635.1, XP_012146134.1, XP_012146129.1	XP_017885951.1
OG0000942	XP_012141619.1, XP_012141625.1, XP_012141627.1, XP_012141622.1, XP_012141623.1, XP_012141624.1, XP_012141621.1, XP_012141620.1	XP_017890636.2
OG0000943	XP_003708069.1	XP_017887877.1, XP_026673247.1, XP_026673248.1
OG0000945	XP_012151665.1	XP_017880151.1
OG0000946	XP_012136391.1	XP_017878210.1, XP_026668448.1, XP_026668449.1, XP_026668450.1
OG0000948	XP_003701445.2	XP_017879270.1
OG0000949	XP_012135179.1	XP_026671415.1, XP_017884178.1
OG0000950	XP_012149292.1	XP_017875674.1
OG0000951	XP_012143162.1, XP_012143164.1, XP_012143163.1	XP_017882029.1
OG0000952	XP_012142561.1	XP_017879808.1
OG0000953	XP_012137352.1, XP_003701875.1	XP_017883134.1, XP_026670853.1
OG0000954	XP_012139144.1	XP_017888998.1
OG0000955	XP_012148472.1, XP_012148474.1	XP_017885399.2, XP_017876441.1
OG0000956	XP_012145107.1, XP_003705269.1, XP_012145106.1, XP_003700357.1	XP_026671068.1
OG0000957	XP_012146638.1, XP_012146636.1	XP_017889208.1
OG0000958	XP_012137974.1	XP_017885202.1
OG0000958	XP_012137973.1	XP_026671998.1
OG0000959	XP_012135580.1	XP_017877251.1, XP_017877253.1
OG0000960	XP_003701165.1	XP_017876032.1
OG0000960	XP_003701166.1	XP_017892939.1, XP_017892942.1, XP_017892941.1
OG0000961	XP_012139261.1	XP_017875753.2
OG0000961	XP_012139260.1	XP_026669715.1
OG0000962	XP_012135690.1, XP_012135691.1, XP_012135692.1, XP_012135695.1, XP_012135696.1, XP_012135693.1, XP_012135694.1, XP_012135697.1	XP_017881155.1
OG0000963	XP_012135993.1	XP_017881550.1
OG0000964	XP_003703496.2	XP_017892408.1
OG0000965	XP_012141088.1	XP_017893217.1, XP_017893218.1
OG0000966	XP_012135714.1	XP_017893061.1, XP_017893051.1
OG0000967	XP_003707567.1, XP_012150857.1, XP_012150858.1	XP_017886627.1, XP_026672574.1, XP_017886658.1, XP_017886643.1, XP_017886650.1, XP_026672571.1
OG0000968	XP_012150786.1	XP_026672955.1
OG0000969	XP_003704502.1	XP_017892142.2, XP_017889243.1
OG0000970	XP_012149202.1, XP_003707042.1	XP_017882001.1
OG0000971	XP_012151217.1	XP_026672461.1
OG0000972	XP_003700592.1	XP_017876939.1, XP_017876938.1, XP_026667842.1
OG0000973	XP_012134615.1	XP_017881151.1
OG0000974	XP_012136211.1	XP_026675013.1
OG0000975	XP_012142731.1, XP_012142730.1, XP_003704424.1	XP_017890279.1
OG0000976	XP_003708310.1	XP_017884640.1, XP_017884639.1
OG0000977	XP_012145749.1	XP_017882215.1
OG0000978	XP_012141032.1	XP_026670440.1, XP_026670439.1, XP_026670441.1, XP_017882221.1
OG0000979	XP_003699649.1	XP_026670777.1, XP_017882917.1
OG0000980	XP_012153460.1	XP_026666956.1
OG0000981	XP_012147876.1	XP_026674661.1
OG0000982	XP_003702358.2	XP_017892866.1
OG0000983	XP_012153844.1, XP_012153840.1	XP_017875408.1, XP_026673201.1
OG0000984	XP_003706910.1, XP_012149297.1	XP_026667240.1
OG0000985	XP_003707795.1, XP_012151119.1, XP_012151120.1	XP_017878954.1, XP_017878943.1
OG0000986	XP_003704471.1	XP_017875899.1
OG0000987	XP_012142431.1, XP_012142432.1	XP_017880171.1, XP_017880169.1
OG0000988	XP_003705877.1	XP_017893041.1
OG0000989	XP_012137160.1	XP_017881316.1, XP_017881317.1, XP_017881314.1, XP_017881315.1
OG0000990	XP_012135847.1	XP_017888873.1, XP_026673739.1
OG0000991	XP_012140498.1	XP_017890910.1
OG0000992	XP_012140947.1, XP_012140940.1, XP_012140952.1	XP_017886511.2
OG0000993	XP_003699193.1, XP_012135904.1	XP_017875660.1, XP_017875659.1
OG0000994	XP_003701943.2	XP_026675119.1
OG0000995	XP_003705839.1	XP_017888643.1
OG0000996	XP_012147671.1, XP_012147672.1, XP_012147673.1, XP_012147675.1, XP_012147674.1, XP_012147676.1	XP_017892888.1
OG0000997	XP_012141288.1, XP_012141290.1, XP_012141291.1, XP_012141292.1, XP_012141293.1	XP_017893182.1
OG0000998	XP_012137804.1, XP_012137805.1	XP_017892522.1
OG0000999	XP_003699719.1	XP_017886560.1
OG0001000	XP_003702681.1	XP_017890150.1
OG0001001	XP_012137826.1, XP_012137825.1	XP_017887717.1, XP_026673045.1
OG0001002	XP_012135319.1, XP_012135318.1	XP_017887748.1, XP_017887747.1
OG0001003	XP_003707613.1	XP_017875624.1
OG0001004	XP_003700745.1	XP_017886825.1
OG0001005	XP_012154400.1, XP_012154404.1, XP_012154401.1, XP_012154402.1, XP_012154405.1	XP_017878403.1
OG0001006	XP_003701275.1	XP_017880034.1
OG0001007	XP_003703606.1	XP_017885489.2, XP_026672126.1, XP_017878082.2, XP_017876336.1, XP_017893147.2, XP_026672146.1, XP_026671946.1, XP_026672145.1, XP_017888250.2
OG0001008	XP_003700256.1	XP_017884417.1
OG0001009	XP_003704896.1	XP_017891497.1
OG0001010	XP_003708511.1	XP_017887555.1, XP_026673052.1
OG0001011	XP_003703246.1, XP_012140510.1, XP_012140509.1	XP_026671202.1
OG0001012	XP_012140943.1	XP_017891083.1
OG0001013	XP_003700375.1	XP_017890164.1, XP_017890162.1, XP_017890163.1, XP_026674321.1
OG0001014	XP_003700508.1, XP_012154282.1, XP_012154281.1	XP_017890676.1
OG0001015	XP_003700889.2	XP_017876752.1, XP_026667755.1, XP_026667754.1, XP_026667753.1, XP_017876341.1
OG0001016	XP_003702020.1	XP_026675468.1, XP_026675469.1
OG0001017	XP_003706491.1, XP_012148028.1, XP_012148027.1, XP_012148029.1	XP_017875801.1
OG0001018	XP_003706792.1	XP_017876594.1
OG0001019	XP_003703431.1	XP_017886719.1
OG0001020	XP_003704979.1	XP_017879902.1
OG0001021	XP_012136742.1	XP_017892800.1
OG0001025	XP_012148650.1	XP_017885313.1
OG0001025	XP_012152118.1, XP_012143826.1	XP_026669809.1, XP_026673294.1
OG0001026	XP_003702188.1, XP_012138102.1	XP_017887715.1, XP_026673144.1, XP_026673143.1
OG0001027	XP_012145430.1	XP_026667264.1
OG0001028	XP_003708472.1	XP_017887718.1
OG0001029	XP_003702300.1	XP_026674940.1, XP_017891258.1
OG0001030	XP_012149487.1	XP_017891965.1, XP_017891962.1, XP_017891963.1
OG0001031	XP_003707185.1, XP_012149722.1	XP_026669092.1, XP_026669091.1
OG0001032	XP_003703932.2	XP_017883617.2, XP_026671280.1
OG0001033	XP_003704248.2	XP_017884931.1, XP_017884941.1
OG0001034	XP_012150649.1	XP_017877433.1, XP_017885659.1, XP_017877434.1, XP_017877431.1, XP_017877430.1
OG0001036	XP_003703190.1	XP_026670773.1, XP_017882988.1, XP_026670781.1, XP_017882986.1
OG0001037	XP_012139430.1, XP_012139431.1, XP_012139432.1, XP_003702747.1	XP_026671763.1, XP_017884604.1
OG0001038	XP_003699435.1	XP_017881699.1
OG0001039	XP_012148261.1, XP_012148260.1, XP_003706559.1	XP_017890947.1, XP_017890949.1
OG0001040	XP_012134503.1, XP_012134505.1	XP_026672454.1, XP_026672451.1
OG0001041	XP_012137294.1, XP_012137291.1, XP_012137292.1, XP_012137293.1, XP_003701848.1	XP_026666465.1, XP_026666463.1, XP_026666462.1, XP_017892894.1
OG0001042	XP_003700555.1	XP_026673450.1
OG0001043	XP_003706474.1, XP_012148062.1	XP_017879640.1
OG0001044	XP_012138724.1	XP_017879066.1
OG0001045	XP_012145939.1, XP_012145938.1, XP_012145937.1, XP_003705560.1, XP_012145940.1	XP_017879047.1
OG0001046	XP_003701680.2, XP_012136890.1, XP_012136891.1	XP_017891820.1, XP_026675191.1
OG0001047	XP_003699509.1	XP_017878705.1, XP_017878704.1
OG0001048	XP_012137827.1	XP_026666876.1
OG0001049	XP_003699327.1	XP_017880011.1
OG0001050	XP_012148971.1	XP_017891911.1
OG0001051	XP_012148220.1, XP_003706552.1	XP_026667306.1
OG0001052	XP_003699586.1	XP_017892823.1, XP_017892824.1
OG0001053	XP_012142698.1, XP_012142697.1, XP_003704286.2	XP_017891851.1, XP_026675172.1
OG0001054	XP_003704645.1	XP_017885186.1, XP_017885187.1
OG0001055	XP_003705653.1	XP_017892301.1, XP_017879157.1, XP_017888730.2, XP_017885269.1
OG0001056	XP_003703560.1, XP_012141549.1, XP_012141550.1	XP_017893360.1
OG0001057	XP_003702432.1	XP_017888633.1
OG0001058	XP_012145756.1, XP_012145755.1, XP_012145753.1, XP_012145752.1	XP_017882141.1, XP_017882142.1
OG0001059	XP_003705840.1	XP_017890411.1
OG0001060	XP_012144355.1	XP_017880108.2
OG0001061	XP_003699542.1	XP_017885787.1, XP_017885788.1, XP_026672226.1, XP_017885790.1, XP_026672225.1, XP_017885786.1
OG0001062	XP_012139095.1, XP_012139096.1	XP_017890226.1
OG0001063	XP_003707855.1	XP_017883973.1
OG0001064	XP_003707983.2	XP_026667351.1, XP_026667352.1, XP_017875945.1, XP_026667350.1, XP_017875946.1
OG0001065	XP_003707987.1, XP_012151607.1	XP_026673198.1, XP_026673199.1, XP_026673200.1, XP_017887788.1
OG0001066	XP_012153687.1, XP_012153688.1, XP_012153689.1	XP_017879502.1, XP_017879503.1
OG0001067	XP_012154119.1	XP_017877182.1
OG0001068	XP_012154310.1	XP_026671161.1
OG0001069	XP_012142679.1	XP_017891834.1
OG0001070	XP_003702709.1	XP_026669127.1, XP_017879703.1
OG0001072	XP_012144178.1	XP_026670300.1
OG0001072	XP_012144175.1	XP_026670299.1
OG0001073	XP_012144001.1, XP_012144002.1, XP_003704805.2	XP_017879404.2, XP_026675514.1, XP_017888046.2, XP_026673303.1
OG0001074	XP_012153775.1, XP_003700247.1	XP_017883349.1, XP_017883348.1
OG0001075	XP_003703938.1, XP_012142021.1, XP_012142022.1	XP_017885525.1
OG0001076	XP_012137266.1	XP_017892911.1
OG0001076	XP_012137265.1	XP_026666455.1
OG0001077	XP_003704855.1	XP_017881299.1
OG0001078	XP_012136908.1, XP_012136906.1	XP_017886614.1
OG0001079	XP_012145579.1	XP_017875360.1, XP_026671953.1
OG0001080	XP_012150386.1	XP_017877358.1
OG0001081	XP_003703986.1	XP_017880740.1
OG0001083	XP_012141240.1	XP_026675374.1, XP_017892220.1
OG0001084	XP_012149589.1	XP_017888072.1
OG0001085	XP_012140431.1	XP_017891930.1
OG0001086	XP_012139938.1, XP_003703036.2	XP_017880350.1
OG0001087	XP_003703461.1	XP_017891039.1
OG0001088	XP_012149815.1	XP_017877090.1, XP_017877089.1
OG0001089	XP_012137698.1, XP_012137699.1	XP_026669042.1, XP_026669012.1
OG0001090	XP_012144304.1, XP_012144303.1, XP_012144299.1, XP_012144300.1, XP_012144301.1, XP_012144302.1, XP_003704835.2	XP_017881591.1
OG0001091	XP_003707309.1	XP_017891803.1, XP_026675136.1
OG0001092	XP_012145773.1	XP_017887163.1
OG0001093	XP_012152472.1, XP_012152470.1	XP_026672911.1, XP_017887152.1
OG0001094	XP_012134772.1	XP_017888492.1, XP_017888491.1
OG0001095	XP_012152090.1	XP_026669849.1
OG0001096	XP_012141994.1	XP_026669917.1, XP_017881348.1
OG0001097	XP_003705766.1	XP_026670981.1, XP_017883340.1
OG0001098	XP_012143744.1	XP_017877082.1
OG0001099	XP_012144602.1	XP_017880606.1
OG0001100	XP_012142277.1	XP_017882444.1
OG0001101	XP_003701005.1	XP_017886223.1, XP_017883955.1, XP_017883953.1, XP_017883954.1
OG0001102	XP_012146706.1, XP_012146705.1	XP_026669273.1, XP_026669275.1, XP_026669277.1
OG0001103	XP_012148730.1	XP_026667634.1, XP_026667626.1, XP_026667629.1
OG0001104	XP_003701202.2	XP_017876029.1
OG0001105	XP_012150123.1	XP_017883121.1
OG0001106	XP_003702016.1, XP_012137841.1	XP_017887918.1
OG0001107	XP_003706475.2	XP_026675544.1
OG0001108	XP_012139469.1	XP_026671747.1
OG0001109	XP_012148664.1, XP_003699964.1	XP_017878408.1, XP_017878409.1, XP_017878407.1, XP_017878406.1
OG0001110	XP_003707683.1	XP_017881106.1, XP_017881107.1, XP_017881105.1
OG0001111	XP_003699969.1	XP_017878432.1
OG0001112	XP_003707788.1, XP_012151293.1	XP_026668656.1
OG0001113	XP_012144469.1, XP_003704957.1	XP_026670613.1
OG0001115	XP_012150304.1	XP_026671175.1
OG0001116	XP_003707715.1	XP_017875282.1
OG0001117	XP_003705651.2, XP_012146140.1	XP_017887979.1
OG0001118	XP_012136387.1	XP_017878216.1
OG0001119	XP_003701474.1, XP_012136614.1, XP_012136613.1	XP_017879362.1
OG0001120	XP_003702256.1	XP_017884005.1
OG0001121	XP_003699500.1	XP_017876719.1, XP_017876718.1
OG0001122	XP_003706203.1, XP_012147468.1	XP_017878842.1
OG0001124	XP_003703319.1, XP_012140843.1	XP_017880270.1
OG0001126	XP_003703135.2, XP_012140106.1	XP_026672346.1, XP_017885838.1
OG0001127	XP_003702644.2	XP_017879604.1
OG0001128	XP_003704099.2	XP_017886867.1
OG0001129	XP_012151218.1	XP_017886238.1
OG0001130	XP_012151415.1	XP_017889163.1
OG0001131	XP_012147112.1, XP_012147113.1	XP_026673904.1, XP_026670639.1, XP_026673902.1
OG0001132	XP_012147136.1, XP_012147137.1, XP_012147135.1	XP_026675278.1, XP_017892087.1
OG0001133	XP_003706260.1	XP_026668840.1, XP_017878934.1, XP_017878936.1, XP_017878935.1
OG0001134	XP_003700362.1	XP_017883513.1, XP_026671069.1, XP_026671070.1, XP_026671071.1
OG0001135	XP_012149880.1	XP_026670829.1
OG0001136	XP_003702361.1	XP_017886624.1
OG0001137	XP_012147462.1	XP_026675072.1, XP_026675076.1
OG0001138	XP_012150017.1, XP_003707392.2, XP_012150018.1	XP_026670874.1, XP_017883156.1
OG0001140	XP_012140652.1, XP_012140648.1	XP_017880274.1
OG0001141	XP_012138608.1, XP_012138606.1, XP_003702421.1	XP_017888519.1
OG0001142	XP_012137795.1	XP_017892464.1
OG0001142	XP_003702211.2	XP_017892467.1
OG0001143	XP_003701148.1	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_026673687.1, XP_017888895.1
OG0001144	XP_012151124.1, XP_012151118.1	XP_017881313.1
OG0001145	XP_012142853.1, XP_012142840.1, XP_003699702.1, XP_012142848.1	XP_017883857.1, XP_017883856.1
OG0001146	XP_012137022.1, XP_012137021.1, XP_003701735.1	XP_017886568.1
OG0001147	XP_003707769.1	XP_017876290.1
OG0001148	XP_012145369.1	XP_017888068.1
OG0001149	XP_012146820.1, XP_012146826.1	XP_017886333.1, XP_017886334.1, XP_026672516.1
OG0001150	XP_012154140.1	XP_017890670.1, XP_017890668.1, XP_017890669.1
OG0001151	XP_003707881.1	XP_026673420.1
OG0001152	XP_003705673.2	XP_017891829.1
OG0001153	XP_003701533.1	XP_026668983.1, XP_017879315.1
OG0001154	XP_003701846.1, XP_012137208.1	XP_017884127.1, XP_017884118.1
OG0001155	XP_012138457.1, XP_012138459.1	XP_017892370.1
OG0001156	XP_012135000.1, XP_012135001.1	XP_026668532.1
OG0001157	XP_003708000.1, XP_012151722.1	XP_017888208.1
OG0001158	XP_012143175.1	XP_026672188.1, XP_017885718.1
OG0001159	XP_003699538.1, XP_012139459.1	XP_017892031.1
OG0001160	XP_012154021.1, XP_012154024.1	XP_017883520.1, XP_017883519.1
OG0001161	XP_003703424.1	XP_017881615.1, XP_017881614.1, XP_017881613.1
OG0001163	XP_003705625.2	XP_017885855.1
OG0001164	XP_012143632.1, XP_012143633.1	XP_017887707.1, XP_026673057.1, XP_026673056.1, XP_026673055.1
OG0001165	XP_012143859.1, XP_012143857.1, XP_012143858.1, XP_012143856.1, XP_003704700.1	XP_017887871.1
OG0001166	XP_012141360.1, XP_012141358.1, XP_003703511.1, XP_012141357.1, XP_012141359.1, XP_012141356.1	XP_017889444.1
OG0001167	XP_012137858.1, XP_012137860.1	XP_017885155.1, XP_026671985.1
OG0001169	XP_012135994.1	XP_026675580.1
OG0001169	XP_012135767.1	XP_026675574.1
OG0001170	XP_003704534.2	XP_026666630.1
OG0001171	XP_012140962.1, XP_012140961.1, XP_012140960.1	XP_017878550.1
OG0001172	XP_012135720.1	XP_026670220.1
OG0001173	XP_012150457.1, XP_012150459.1, XP_003707520.1, XP_012150458.1	XP_017882367.1, XP_017882368.1
OG0001174	XP_012150816.1, XP_012150818.1	XP_026674413.1
OG0001175	XP_012153593.1	XP_017885371.1
OG0001176	XP_012144316.1	XP_026670241.1, XP_017891434.1
OG0001178	XP_012147057.1, XP_003706026.1, XP_012147058.1, XP_012147056.1	XP_026673531.1, XP_026673533.1, XP_026673532.1, XP_017888510.1
OG0001179	XP_003704519.2	XP_026675245.1
OG0001180	XP_003700152.2	XP_017878360.1
OG0001181	XP_012143226.1	XP_017882130.1
OG0001182	XP_012146443.1, XP_012146445.1, XP_003705729.1	XP_017880391.1
OG0001184	XP_012153072.1	XP_017881391.1
OG0001185	XP_003703430.1	XP_026671514.1
OG0001186	XP_012146463.1, XP_012146468.1	XP_026675650.1, XP_026675649.1
OG0001187	XP_012151254.1	XP_017877619.1
OG0001188	XP_012154565.1, XP_012154564.1, XP_003700626.1	XP_017879030.1
OG0001189	XP_003704699.1, XP_012143830.1, XP_012143829.1	XP_026669485.1, XP_026669486.1, XP_026669487.1, XP_017880443.1
OG0001190	XP_012153772.1	XP_026669253.1, XP_017879996.1, XP_026669256.1, XP_026669254.1, XP_026669255.1
OG0001191	XP_012142842.1, XP_012142844.1	XP_026666804.1
OG0001191	XP_012142841.1	XP_026666810.1
OG0001192	XP_012139566.1, XP_012139561.1	XP_026671655.1, XP_026671650.1
OG0001193	XP_012152621.1, XP_012152622.1, XP_012152619.1, XP_012152620.1, XP_003708279.1, XP_012152623.1	XP_017888127.1
OG0001194	XP_003708349.1	XP_026671861.1, XP_026671863.1, XP_026671862.1, XP_017884638.1
OG0001195	XP_012146860.1	XP_017889504.1
OG0001196	XP_003704174.1, XP_012142609.1, XP_012142610.1, XP_012142608.1	XP_017882882.1
OG0001197	XP_003700197.1, XP_012153263.1	XP_017882789.1, XP_017882787.1
OG0001199	XP_003706643.1	XP_017890964.1, XP_017890962.1, XP_017890966.1, XP_017890965.1, XP_017890967.1, XP_017890969.1, XP_026674685.1, XP_017890961.1
OG0001201	XP_003703664.2	XP_017890647.1, XP_017883228.1, XP_017883229.1, XP_026670908.1, XP_017883230.1
OG0001202	XP_003701743.1	XP_017891267.2
OG0001203	XP_012148872.1, XP_012148874.1	XP_017876530.2
OG0001204	XP_012146389.1, XP_003705736.2, XP_012146390.1	XP_017878619.1
OG0001205	XP_003702754.1, XP_012139479.1	XP_017884815.1
OG0001206	XP_012148292.1	XP_017885842.1
OG0001207	XP_003700849.1	XP_017879182.1
OG0001208	XP_012151947.1, XP_012151952.1	XP_017886567.1, XP_017886558.1
OG0001209	XP_003705016.1, XP_012144609.1, XP_012144611.1	XP_017882487.1
OG0001210	XP_012139089.1, XP_003702672.1, XP_012139092.1, XP_012139091.1	XP_017890089.1
OG0001211	XP_012136967.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0001212	XP_003703742.2	XP_017888226.1, XP_026673403.1
OG0001213	XP_003700686.1, XP_012134904.1	XP_017889286.1
OG0001214	XP_003702464.1	XP_017879068.1
OG0001215	XP_003705366.1	XP_017880146.1
OG0001216	XP_003705899.1	XP_017889583.1
OG0001217	XP_003705734.1	XP_026675653.1, XP_017892921.1, XP_017892924.1, XP_026675652.1, XP_026675654.1, XP_017892925.1, XP_026675655.1
OG0001218	XP_003706861.1	XP_017882124.1
OG0001220	XP_003706128.1	XP_017880975.1
OG0001221	XP_012154233.1, XP_003700416.1	XP_017889996.1
OG0001222	XP_003705089.1, XP_012144822.1, XP_012144821.1	XP_017881412.1, XP_026669973.1
OG0001223	XP_003707478.1	XP_026673331.1
OG0001223	XP_003706539.1	XP_026673282.1
OG0001224	XP_012144876.1, XP_012144883.1, XP_003699801.1, XP_012144890.1	XP_017882283.1
OG0001225	XP_012149409.1, XP_003706936.1	XP_017890803.1, XP_017890802.1, XP_017890801.1, XP_026674660.1
OG0001226	XP_012148713.1, XP_012148708.1, XP_012148700.1	XP_017878487.1, XP_017878486.1
OG0001227	XP_003708582.1	XP_026674120.1, XP_017889532.1
OG0001228	XP_012136253.1, XP_012136252.1, XP_003701434.1	XP_017889956.1, XP_026674122.1, XP_017889955.1
OG0001229	XP_012151678.1, XP_012151680.1, XP_003707905.2	XP_017889131.1
OG0001230	XP_012139840.1, XP_003699567.1	XP_026674450.1
OG0001231	XP_012150146.1, XP_012150144.1	XP_026674508.1, XP_017890510.1
OG0001232	XP_012135376.1	XP_017887663.1, XP_017887655.1, XP_026674840.1, XP_026667909.1, XP_026673848.1
OG0001235	XP_003702734.1	XP_017882805.2
OG0001236	XP_003706605.2, XP_003706606.1	XP_026673231.1
OG0001238	XP_012151359.1, XP_012152408.1, XP_012145919.1	XP_017885361.1
OG0001240	XP_003704983.1	XP_017885185.1
OG0001241	XP_012141294.1	XP_017893259.1
OG0001242	XP_003703726.1, XP_003703814.1	XP_017881024.1
OG0001243	XP_012150716.1, XP_012150720.1	XP_026672942.1
OG0001244	XP_012135822.1, XP_003701133.1	XP_017888862.1, XP_017888861.1
OG0001245	XP_012138596.1	XP_017875158.1
OG0001246	XP_012142934.1, XP_012142944.1	XP_017887047.1
OG0001247	XP_003704004.1, XP_012142144.1	XP_017886094.1
OG0001248	XP_012151826.1	XP_026673419.1
OG0001249	XP_012145780.1, XP_012145782.1, XP_012145781.1	XP_026670258.1, XP_026670259.1, XP_017882210.1
OG0001250	XP_003705540.1, XP_012145915.1	XP_026667268.1
OG0001251	XP_003705538.1	XP_017877146.1
OG0001252	XP_003703219.2	XP_017886197.1
OG0001252	XP_012140463.1	XP_017886139.2
OG0001253	XP_003707397.1	XP_017883091.1
OG0001254	XP_003708412.1	XP_017877914.1
OG0001254	XP_012152807.1	XP_017877911.1
OG0001255	XP_012139865.1, XP_012139866.1, XP_012139868.1	XP_017884891.2
OG0001256	XP_003704721.1	XP_017878918.1
OG0001257	XP_003706382.1, XP_012147976.1	XP_026674924.1, XP_017891390.1
OG0001258	XP_012148125.1	XP_026667819.1, XP_017876389.1, XP_026667810.1, XP_026667813.1
OG0001259	XP_012134731.1	XP_017878459.1
OG0001260	XP_003705943.2	XP_017889933.1
OG0001261	XP_003705479.1	XP_017882310.1
OG0001262	XP_003703531.1	XP_017892764.1
OG0001263	XP_003700119.1	XP_017883786.2
OG0001264	XP_012145932.1, XP_012145929.1, XP_012145930.1, XP_012145933.1, XP_012145931.1	XP_017882274.1
OG0001266	XP_012151472.1	XP_017876093.1
OG0001267	XP_003702570.1	XP_017887580.1
OG0001268	XP_003703099.1	XP_017885950.1, XP_026672347.1
OG0001269	XP_012140845.1, XP_003703409.1	XP_026670810.1
OG0001270	XP_003702766.1, XP_012139517.1, XP_012139516.1	XP_017884797.1
OG0001271	XP_003699473.1	XP_026668701.1, XP_017878786.1
OG0001272	XP_012153814.1, XP_003700308.1	XP_017884423.1, XP_017884422.1
OG0001273	XP_003708303.1, XP_012152485.1	XP_017884705.1
OG0001274	XP_003702647.1	XP_017879513.1, XP_026669075.1
OG0001275	XP_003702389.1	XP_017884428.1
OG0001276	XP_012139802.1	XP_017884457.1
OG0001277	XP_003706281.1	XP_017878709.1, XP_017878710.1
OG0001278	XP_003701748.2	XP_017884488.1, XP_017884486.1, XP_026671579.1, XP_026671580.1
OG0001279	XP_003700414.1	XP_017886726.1
OG0001280	XP_012137538.1, XP_012137537.1, XP_012137536.1, XP_003701953.1	XP_017893237.1
OG0001281	XP_012154366.1	XP_026674261.1
OG0001282	XP_003701699.1	XP_017892670.1
OG0001283	XP_012148167.1, XP_003706537.1	XP_017879538.1
OG0001284	XP_003699999.1	XP_017882726.1
OG0001285	XP_012140641.1	XP_017885291.1, XP_017885292.1, XP_026672009.1
OG0001286	XP_003706949.2	XP_017876633.1
OG0001287	XP_012143939.1	XP_017889724.1
OG0001288	XP_003705937.1	XP_017889378.1, XP_017889377.1
OG0001289	XP_012140849.1, XP_003703321.1	XP_026670949.1
OG0001291	XP_003699247.1	XP_017890613.1
OG0001292	XP_012154508.1	XP_017879970.1
OG0001292	XP_012154512.1	XP_017879971.1
OG0001293	XP_003708216.2	XP_017880681.1
OG0001294	XP_012149996.1	XP_017879595.1
OG0001295	XP_003701048.2	XP_026668753.1
OG0001296	XP_012152297.1, XP_012152296.1, XP_003708169.1, XP_012152295.1	XP_017885920.1
OG0001297	XP_003700454.1	XP_017882614.1
OG0001298	XP_012150356.1	XP_026672593.1, XP_017875559.1
OG0001299	XP_012138152.1	XP_026669494.1
OG0001300	XP_012154220.1	XP_017889991.1, XP_017889986.1
OG0001301	XP_012142901.1	XP_017890298.1
OG0001302	XP_003705579.2	XP_017887627.1, XP_017887629.1, XP_017887626.1
OG0001303	XP_003708529.1	XP_017881542.1, XP_017881540.1, XP_017881543.1
OG0001304	XP_003703529.2, XP_012141410.1	XP_017883216.1, XP_017883220.1
OG0001305	XP_003703517.1, XP_012141375.1, XP_012141374.1	XP_017875666.1
OG0001306	XP_003706007.1	XP_017889806.1, XP_017889808.1
OG0001307	XP_012142579.1	XP_017886465.1
OG0001308	XP_012135790.1	XP_017882687.1
OG0001309	XP_012147328.1	XP_026672398.1
OG0001310	XP_003703501.1	XP_017887230.1
