Orthogroup	Acyrthosiphon_pisum	Megachile_rotundata
OG0000487	XP_001946657.4	XP_003707438.1, XP_012150188.1
OG0000488	XP_016661074.1, XP_016657699.1, XP_001947034.1, XP_016657697.1, XP_029345349.1, XP_016656731.1	XP_012137688.1, XP_012137687.1, XP_012137686.1, XP_003701993.1
OG0000489	XP_001948090.1	XP_003700279.1
OG0000490	XP_001948446.1	XP_012150943.1, XP_012150944.1, XP_003707675.1
OG0000491	XP_029345020.1, XP_001948797.2	XP_012151089.1
OG0000492	XP_001949862.1, XP_003243665.1, XP_029346769.1	XP_003706126.1
OG0000493	XP_001950924.1	XP_012149368.1, XP_012149369.1
OG0000494	XP_001951241.2, XP_029344062.1	XP_012142412.1, XP_012152463.1, XP_012147161.1
OG0000495	XP_001951377.2, XP_016661330.1, XP_029348624.1	XP_012138548.1, XP_012138549.1, XP_012138545.1, XP_012138551.1, XP_012138547.1, XP_012138556.1, XP_012138555.1, XP_012138554.1, XP_012138553.1, XP_012138552.1, XP_012138550.1, XP_012138559.1, XP_012138558.1, XP_003702393.1
OG0000496	XP_001952719.2	XP_012138008.1, XP_012138007.1
OG0000497	XP_003242591.1	XP_003707005.1
OG0000497	XP_003244296.1	XP_012145168.1
OG0000498	XP_016659293.1, XP_003247153.1	XP_003705105.1
OG0000499	XP_003247303.1	XP_003703402.1
OG0000500	XP_016656435.1	XP_012140751.1
OG0000501	XP_029341662.1, XP_029341370.1, XP_016657046.1	XP_012136031.1
OG0000501	XP_008183546.1	XP_012136028.1
OG0000502	XP_008183726.1	XP_003699867.1, XP_012147320.1
OG0000503	XP_008186252.1	XP_012147312.1, XP_012147313.1, XP_012147314.1, XP_003706121.1
OG0000504	XP_008187060.2	XP_012147375.1, XP_003699906.1
OG0000505	XP_016660620.1	XP_003702821.1, XP_003702822.1, XP_012139883.1
OG0000506	XP_029342869.1, XP_029342870.1	XP_012135153.1, XP_003701012.1, XP_012135330.1, XP_012135331.1, XP_012135332.1, XP_012135333.1
OG0000516	NP_001155401.1	XP_012136668.1, XP_012136667.1, XP_012136669.1, XP_012136665.1
OG0000517	XP_008181724.1, NP_001156105.1, NP_001155509.1, XP_008189433.2, XP_001943189.2, XP_003241190.1	XP_012146111.1, XP_012146110.1
OG0000518	XP_008184004.1, NP_001155635.1	XP_012139695.1, XP_012139694.1, XP_012139696.1, XP_003702944.1
OG0000519	NP_001156110.1	XP_012143635.1, XP_012143636.1, XP_012143634.1, XP_012143637.1
OG0000520	NP_001156168.1	XP_012143877.1
OG0000520	XP_001944755.4	XP_012143878.1
OG0000521	NP_001156836.1, XP_003248597.4, XP_016664153.1, XP_016664155.1, XP_003248120.2, XP_016664154.1, XP_003248118.2, XP_003248109.2, XP_008188350.1, XP_016664818.2, XP_029341139.1, XP_003243936.2, XP_003248556.2	XP_012146106.1
OG0000522	XP_001942648.2, XP_016656931.1, XP_029343768.1, XP_029343766.1, XP_029343765.1, XP_001942700.2	XP_012153145.1, XP_003706731.2
OG0000523	XP_001943221.2, XP_029348269.1, XP_029346547.1	XP_012144728.1
OG0000524	XP_016659141.2, XP_001952716.1, XP_029346814.1, XP_001943408.2, XP_029346187.1, XP_001944168.2	XP_012149449.1
OG0000525	XP_001944463.1	XP_003700424.1, XP_012154253.1
OG0000526	XP_001946463.2, XP_001949359.2	XP_003703603.2, XP_003704647.1
OG0000527	XP_001947193.2, XP_008182669.1	XP_012142949.1, XP_012142950.1
OG0000528	XP_001952133.1, XP_001948549.1, XP_008183196.1, XP_029345833.1, XP_029346543.1, XP_001947370.2	XP_003707178.1
OG0000529	XP_001948161.1, XP_016655758.1	XP_012145252.1, XP_003704796.1
OG0000530	XP_016660077.1, XP_029341308.1	XP_012145160.1
OG0000530	XP_029341162.1, XP_001948635.1	XP_012145199.1
OG0000531	XP_001951628.2	XP_012140216.1
OG0000533	XP_003246614.1	XP_012148330.1
OG0000534	XP_008184173.1, XP_008180655.1, XP_008190163.1	XP_012147486.1
OG0000536	XP_016662970.1	XP_012151826.1
OG0000536	XP_029343473.1, XP_008178628.1, XP_029341398.1	XP_012150447.1
OG0000537	XP_016664622.1	XP_012134731.1
OG0000538	XP_008181269.1	XP_003703203.1
OG0000540	XP_008185527.1	XP_012143752.1, XP_012146859.1
OG0000541	XP_008186894.1, XP_008188891.1	XP_012141741.1, XP_012141742.1, XP_012141739.1, XP_003703819.1
OG0000542	XP_029344049.1, XP_029344050.1, XP_008190054.1	XP_003701338.1
OG0000543	XP_029342046.1, XP_016656843.1	XP_012153054.1, XP_012153053.1, XP_012153052.1, XP_012153055.1, XP_012153050.1, XP_012153051.1, XP_012153056.1
OG0000551	XP_001951455.1, NP_001119648.1	XP_012144041.1, XP_003704785.1
OG0000552	NP_001156200.1	XP_003701496.1
OG0000552	XP_029342990.1, XP_016661164.1, XP_029342991.1, XP_029342989.1, XP_016661165.1	XP_003705057.1
OG0000553	NP_001191883.1	XP_003703532.1, XP_012141409.1
OG0000554	XP_008187575.1, NP_001280349.1	XP_003703581.1, XP_003699656.1
OG0000555	XP_001943052.1, XP_029348327.1, XP_008178644.1, NP_001280403.1	XP_003701051.1, XP_003701079.1
OG0000556	XP_001944253.1	XP_003707345.2
OG0000557	XP_029347272.1, XP_001944299.2, XP_003245550.1, XP_008184580.1	XP_012149683.1, XP_012149672.1, XP_003700130.1
OG0000558	XP_001949231.1, XP_001945992.1	XP_003705272.1
OG0000558	XP_008185702.1, XP_001944475.1	XP_012144740.1
OG0000559	XP_001947194.1, XP_001947237.1	XP_003705404.1
OG0000560	XP_001948149.1	XP_003704777.1
OG0000561	XP_008178984.1	XP_012148186.1
OG0000562	XP_001950339.2	XP_012145024.1, XP_012145014.1
OG0000563	XP_001952016.2, XP_008190012.1, XP_008190013.1	XP_003707364.1
OG0000564	XP_003240399.1	XP_012147756.1
OG0000565	XP_003242459.1, XP_016662147.1, XP_016662144.1	XP_012145461.1, XP_012136786.1
OG0000567	XP_003244447.1, XP_016659775.2	XP_003699254.1, XP_012151432.1
OG0000568	XP_003246264.1	XP_012138846.1, XP_012138845.1
OG0000569	XP_003247517.1, XP_016663472.1, XP_029346544.1	XP_012141900.1, XP_012138656.1
OG0000570	XP_008183161.1	XP_003708533.1
OG0000571	XP_029344041.1, XP_029344046.1	XP_012139520.1, XP_012139518.1, XP_012139519.1
OG0000572	XP_029346603.1	XP_012142896.1
OG0000582	XP_016660284.1, XP_016660285.1, XP_008183584.1, XP_001950854.1, XP_029343251.1, XP_029343252.1, XP_029343253.1, XP_029343255.1, XP_029343254.1, XP_008183585.1, NP_001280323.1, XP_029342001.1, XP_008179951.1, NP_001155374.1, XP_003246890.1, XP_008186557.1	XP_012154015.1
OG0000584	XP_029341217.1, XP_029344802.1, NP_001233020.1, XP_008184503.1, XP_029344785.1, NP_001155674.1	XP_003701095.1
OG0000584	XP_001946745.1	XP_012136483.1
OG0000585	NP_001155736.1	XP_003699449.1, XP_012137588.1
OG0000586	NP_001155908.1	XP_003708104.1, XP_003701659.2
OG0000587	XP_001948433.1, XP_001944178.3, NP_001156229.1	XP_012143050.1, XP_003704410.1
OG0000588	NP_001156462.1, XP_008185322.1	XP_003700698.1, XP_012134591.1, XP_012134590.1
OG0000589	XP_008183583.1, XP_001949827.1, XP_001947598.1, XP_029347133.1, XP_001946532.1, NP_001313590.1, XP_029347135.1, XP_029347136.1, XP_029345006.1, XP_016663019.1, XP_029346473.1	XP_003702019.1
OG0000590	XP_001942520.2	XP_012144754.1, XP_012144753.1, XP_003705113.1
OG0000591	XP_001943166.1, XP_001949496.4	XP_003700763.1
OG0000591	XP_001948414.2	XP_003700356.1
OG0000592	XP_003247762.1, XP_001946696.2, XP_001943565.2	XP_003707108.1, XP_012145658.1, XP_012136196.1
OG0000593	XP_001944454.2, XP_016656599.1	XP_003707045.1, XP_012149206.1
OG0000594	XP_001944510.1, XP_016659956.1	XP_003706573.2, XP_012148185.1, XP_012148183.1, XP_012148184.1, XP_012148181.1, XP_012148182.1
OG0000595	XP_001945171.1	XP_012153305.1
OG0000595	XP_008187736.1, XP_029343107.1, XP_008186391.1	XP_012153307.1
OG0000596	XP_001945526.2	XP_012135068.1, XP_012135074.1
OG0000597	XP_029346194.1, XP_001950872.3, XP_016662072.1, XP_016662073.1, XP_001947992.2, XP_008183663.1, XP_001946757.2, XP_016660310.1, XP_008183665.1	XP_003702054.1
OG0000598	XP_001947666.2, XP_008183737.1	XP_012135992.1
OG0000598	XP_001950892.1	XP_012135634.1
OG0000599	XP_001949191.1	XP_012141674.1, XP_012141685.1
OG0000600	XP_001949669.2	XP_012149221.1, XP_003706892.1
OG0000601	XP_001951658.1, XP_003246181.1	XP_003705493.1
OG0000601	XP_001950538.1	XP_012145798.1
OG0000602	XP_001950931.1, XP_029345659.1	XP_003704138.1, XP_012140187.1
OG0000603	XP_001952527.1	XP_003699623.1, XP_012141367.1
OG0000604	XP_003240405.1, XP_016659400.1	XP_003706232.1, XP_012147475.1
OG0000606	XP_003243713.1, XP_008179811.1, XP_016657625.1, XP_016664132.1	XP_012152883.1, XP_012152882.1, XP_012152881.1
OG0000607	XP_003244133.1, XP_029345829.1	XP_012139773.1, XP_003702826.1
OG0000609	XP_003247040.1	XP_012150149.1, XP_012150148.1, XP_012150150.1, XP_003707308.1
OG0000611	XP_008182169.1	XP_012146946.1
OG0000612	XP_016663112.1	XP_012139018.1
OG0000613	XP_016665058.2, XP_029341905.1	XP_012151435.1
OG0000613	XP_029346846.1	XP_003705023.1
OG0000614	XP_029347847.1, XP_029345755.1	XP_012135347.1
OG0000614	XP_029345094.1	XP_003708658.2
OG0000619	NP_001119620.1	XP_003699212.1
OG0000620	NP_001119693.1	XP_003704014.1, XP_012142164.1, XP_012142163.1
OG0000621	NP_001155449.1, XP_008178126.1	XP_012134974.1, XP_012134981.1, XP_012134958.1, XP_012134967.1, XP_003699281.1
OG0000622	NP_001155451.1	XP_012146926.1
OG0000623	XP_008181802.1, NP_001155779.1	XP_003704122.1, XP_012142456.1
OG0000624	XP_029346569.1, XP_008186582.1, NP_001155814.1	XP_003702431.1
OG0000625	NP_001156612.1	XP_012137108.1, XP_012137107.1, XP_012137110.1, XP_012137109.1, XP_003701751.1
OG0000626	NP_001157405.1, NP_001156700.1	XP_012134602.1, XP_003700700.2
OG0000627	NP_001313551.1, XP_016663665.1	XP_012152695.1
OG0000628	XP_001943157.3	XP_012135649.1
OG0000628	XP_029344381.1	XP_012154146.1
OG0000629	XP_003245664.2, XP_001943353.2	XP_012149303.1
OG0000630	XP_029341235.1, XP_003248256.2, XP_001943356.2, XP_029341593.1, XP_008183510.2, XP_003248907.2, XP_003249052.1, XP_001950210.2, XP_016665115.2	XP_012150681.1, XP_012152551.1
OG0000631	XP_008188517.1, XP_029342232.1, XP_029348412.1, XP_001943770.2, XP_001944782.1, XP_003243146.1	XP_012139766.1
OG0000632	XP_001943796.1, XP_029342184.1	XP_003704217.1
OG0000633	XP_029343122.1, XP_001945563.1	XP_003702788.2, XP_003702337.1
OG0000634	XP_001946193.5, XP_001948513.1	XP_003700649.2, XP_003700648.1
OG0000635	XP_001946319.1	XP_012141488.1, XP_003705447.1, XP_012141583.1
OG0000636	XP_029342986.1, XP_001946474.2, XP_008184598.1	XP_012149325.1, XP_003706913.1
OG0000637	XP_001946886.2	XP_012140807.1, XP_012140808.1, XP_003703313.1
OG0000638	XP_001947138.1, XP_008184222.1, XP_008184223.1, XP_016660866.1, XP_008184221.1, XP_008184220.1	XP_012136617.1, XP_012136630.1
OG0000639	XP_001947904.1	XP_003702233.1, XP_012138309.1
OG0000640	XP_001948379.1	XP_003708059.1, XP_012151918.1, XP_012151917.1, XP_012151919.1
OG0000641	XP_001948633.1	XP_003699394.1
OG0000642	XP_001949229.1, XP_008179851.1	XP_012138364.1, XP_012138363.1, XP_003702243.1
OG0000643	XP_003245435.1, XP_001949448.1	XP_003703311.1, XP_003703310.1
OG0000644	XP_001950271.1	XP_003700862.1, XP_012135174.1, XP_012135173.1, XP_012135172.1
OG0000645	XP_001950725.2	XP_012143317.1
OG0000645	XP_029344525.1	XP_003704517.1
OG0000646	XP_016657958.1, XP_001951007.1, XP_029346742.1, XP_029346743.1	XP_012143713.1, XP_003704625.1
OG0000647	XP_001951116.2	XP_003703636.1
OG0000649	XP_003242338.1, XP_016660033.2, XP_029341182.1, XP_029346979.1, XP_003244481.1, XP_029341181.1	XP_012148844.1
OG0000650	XP_003246432.1	XP_012138910.1, XP_012138911.1
OG0000651	XP_003247009.1	XP_012146709.1, XP_003706774.2
OG0000653	XP_008181156.1	XP_012150339.1
OG0000654	XP_008181167.2	XP_012146273.1, XP_012153940.1
OG0000655	XP_008181620.1	XP_012144791.1
OG0000656	XP_008183337.1, XP_008183338.1	XP_012147137.1, XP_012147136.1, XP_012147135.1
OG0000659	XP_016660491.1	XP_003704846.1
OG0000660	XP_016660539.2	XP_003708232.1
OG0000661	XP_016664461.2	XP_003707830.1
OG0000661	XP_029348293.1	XP_012151862.1, XP_012151328.1
OG0000662	XP_029341705.1, XP_029346479.1	XP_003703421.1
OG0000663	XP_029342326.1	XP_012140389.1
OG0000664	XP_029343053.1	XP_003704889.2
OG0000665	XP_029343937.1	XP_012145766.1, XP_012145767.1, XP_012145769.1, XP_012145768.1
OG0000666	XP_029343991.1	XP_012150626.1, XP_003700113.1
OG0000667	XP_029344002.1	XP_012138048.1, XP_012138046.1, XP_012138047.1, XP_012138043.1, XP_012138044.1, XP_003702066.1
OG0000668	XP_029345637.1	XP_003704444.2
OG0000669	XP_029347009.1	XP_012138808.1, XP_012138807.1, XP_012138804.1, XP_012138806.1, XP_012138805.1, XP_003702483.1
OG0000680	NP_001119660.1, XP_008189851.1	XP_003706446.1
OG0000681	XP_016659328.1, NP_001153525.1	XP_012136536.1, XP_012149307.1
OG0000682	NP_001155393.1, XP_008182210.1, NP_001267493.1, XP_008186960.1, XP_029343618.1, NP_001313605.1, NP_001155479.1	XP_012142792.1
OG0000683	NP_001155481.1	XP_012152066.1, XP_012152058.1, XP_012152073.1
OG0000684	NP_001155644.1, XP_016662860.1	XP_012151849.1
OG0000685	NP_001313600.1, NP_001156726.1	XP_012146708.1, XP_003707968.1
OG0000686	XP_001942741.1	XP_012152216.1, XP_012152217.1
OG0000687	XP_001942765.1	XP_012144281.1
OG0000688	XP_001942926.1	XP_012139430.1, XP_012139432.1, XP_003702747.1, XP_012139431.1
OG0000689	XP_001943336.2	XP_012150337.1
OG0000689	XP_008186328.3	XP_012150338.1
OG0000690	XP_008184851.1, XP_001946054.2, XP_029344519.1	XP_003702047.1
OG0000691	XP_001946073.1, XP_003241430.1, XP_008178465.1, XP_001952703.2	XP_003705766.1, XP_012146482.1
OG0000692	XP_001946699.1, XP_029347455.1	XP_012143565.1, XP_012143556.1, XP_012143549.1, XP_012143542.1, XP_003699790.1
OG0000693	XP_001947047.2, XP_016656947.1	XP_012147058.1, XP_012147057.1, XP_003706026.1, XP_012147056.1
OG0000694	XP_029345691.1, XP_008187750.1, XP_001950665.2, XP_001948147.2, XP_016655865.1, XP_008186608.1, XP_003241679.1, XP_003241678.1, XP_016656515.1, XP_016657356.2, XP_016662803.2	XP_003706512.1, XP_012148092.1
OG0000695	XP_001949079.2, XP_029347773.1, XP_029341226.1	XP_012152035.1, XP_003708102.1
OG0000696	XP_001950288.1, XP_003247074.1	XP_003704809.1
OG0000697	XP_003247861.2, XP_001951353.2	XP_003702250.2, XP_012138353.1
OG0000698	XP_001951677.1	XP_003700375.1
OG0000699	XP_001952780.2, XP_003240569.1	XP_012149977.1
OG0000700	XP_003241277.1	XP_003705049.1, XP_012144655.1, XP_012144654.1, XP_012144653.1
OG0000701	XP_003248730.1, XP_029341434.1, XP_029341372.1, XP_016664010.2, XP_029348216.1, XP_008184909.1, XP_029341470.1, XP_029341404.1, XP_008179573.1, XP_029342398.1, XP_029342386.1, XP_029342387.1, XP_029340947.1, XP_029340948.1, XP_016657105.1, XP_029341003.1, XP_008188186.2, XP_008180110.2, XP_008184910.1, XP_029341002.1, XP_003241493.3, XP_029342383.1, XP_008184911.1, XP_029341367.1, XP_029348684.1	XP_012141527.1
OG0000703	XP_003244064.1	XP_012142303.1
OG0000704	XP_003244598.1	XP_003702810.1
OG0000705	XP_003246626.1	XP_012140775.1
OG0000706	XP_003246815.1, XP_008186469.1, XP_008186470.1, XP_003248641.2, XP_008182767.2	XP_012146214.1, XP_012146217.1
OG0000707	XP_003247162.1	XP_003700816.1, XP_003700801.1
OG0000708	XP_008178377.1	XP_012143972.1
OG0000709	XP_008179400.1, XP_029347123.1	XP_012138799.1, XP_012138798.1
OG0000710	XP_008181290.1	XP_012137658.1, XP_012148756.1, XP_003706944.2, XP_012148757.1
OG0000711	XP_008181778.1, XP_029347417.1, XP_016658910.1	XP_012136016.1, XP_012136015.1, XP_012136019.1, XP_012136018.1, XP_012136020.1, XP_003701339.1, XP_012136017.1
OG0000712	XP_029343403.1, XP_008181834.1	XP_012137053.1, XP_012137054.1, XP_012137052.1
OG0000713	XP_016659225.1, XP_008182238.1, XP_029344328.1	XP_012139469.1
OG0000714	XP_008182728.1	XP_012146423.1, XP_012146409.1, XP_012146417.1, XP_012146424.1
OG0000715	XP_008183424.1	XP_012148516.1, XP_012148517.1
OG0000716	XP_008185071.1	XP_012137994.1, XP_012137996.1, XP_012137992.1, XP_012137993.1, XP_012137986.1, XP_012137990.1, XP_012137991.1, XP_012137988.1, XP_012137989.1, XP_012137995.1
OG0000717	XP_029343285.1, XP_008186737.1, XP_008186736.1	XP_003703795.1, XP_012141602.1, XP_012141601.1
OG0000718	XP_016663726.1	XP_012139877.1
OG0000719	XP_029341070.1, XP_029341073.1	XP_012135438.1
OG0000720	XP_029344440.1	XP_012138613.1
OG0000720	XP_029343675.1	XP_012153548.1
OG0000721	XP_029344487.1, XP_029344486.1	XP_003705802.1
OG0000722	XP_029346583.1	XP_012135907.1, XP_012135906.1, XP_003701156.1
OG0000723	XP_029346730.1, XP_029346734.1	XP_012142057.1, XP_012142043.1
OG0000736	NP_001155375.1, XP_016658086.1	XP_012145248.1, XP_003699811.1
OG0000737	XP_016663358.1, NP_001155484.1	XP_003704876.1
OG0000738	XP_008182822.1	XP_012145179.1
OG0000738	NP_001155539.1, XP_029346550.1	XP_012145181.1
OG0000739	NP_001155649.1	XP_003702317.1, XP_012138407.1, XP_012138408.1, XP_012138406.1, XP_012138405.1
OG0000740	XP_008183991.1, NP_001156301.1	XP_012144661.1, XP_003705050.1
OG0000741	XP_008179667.1, NP_001156595.1, NP_001280465.1, XP_008183839.1	XP_003701373.1, XP_012136150.1, XP_012136151.1, XP_012136152.1
OG0000742	XP_001946012.1, NP_001164573.1	XP_003707085.1
OG0000743	NP_001192101.1, XP_029344784.1	XP_012143829.1, XP_012143830.1, XP_003704699.1
OG0000744	XP_016663430.1, XP_001943030.2, XP_029347118.1, XP_029347117.1, XP_008179977.1, XP_008179976.1, XP_008179975.1	XP_003701323.1
OG0000745	XP_003244954.1, XP_001943033.1	XP_012138984.1
OG0000746	XP_029344776.1, XP_029344777.1	XP_003703135.2, XP_012140106.1
OG0000747	XP_001943161.2	XP_003700582.1
OG0000748	XP_029345925.1, XP_001943539.2	XP_012134972.1, XP_012134969.1
OG0000749	XP_001943996.1	XP_012148514.1
OG0000750	XP_001944397.3	XP_012148930.1
OG0000751	XP_001944597.2	XP_012135356.1, XP_012137302.1
OG0000751	XP_008185151.1	XP_003707895.1
OG0000752	XP_001944830.2, XP_008183252.1	XP_012139704.1, XP_012139706.1, XP_012139708.1, XP_012139707.1
OG0000753	XP_001944864.1	XP_012136333.1
OG0000754	XP_001945603.2	XP_012143945.1
OG0000755	XP_001946913.2	XP_012149515.1, XP_012149513.1, XP_012149516.1, XP_003707105.1, XP_012149517.1, XP_012149514.1
OG0000756	XP_001947745.1	XP_012138024.1, XP_012138028.1
OG0000757	XP_001948207.2	XP_012136968.1, XP_012136979.1, XP_012136969.1
OG0000758	XP_001949398.1	XP_012142371.1, XP_003703662.1
OG0000759	XP_008180676.1, XP_008180677.1, XP_029347554.1, XP_016661927.1, XP_001952255.2, XP_008185514.1, XP_001950119.1	XP_012144496.1
OG0000760	XP_001952274.1, XP_001950880.1	XP_003707581.1, XP_012150646.1, XP_012150647.1
OG0000761	XP_001951069.1	XP_012148047.1, XP_012148046.1, XP_012148045.1, XP_012148048.1, XP_003706495.1
OG0000762	XP_003240034.2, XP_008181472.1	XP_012141137.1, XP_012141134.1, XP_012141136.1, XP_012141135.1, XP_003703462.1
OG0000763	XP_016662262.1, XP_003240784.1, XP_003241862.1, XP_016661913.1, XP_003241938.1, XP_029342022.1, XP_003248490.1, XP_029342243.1, XP_008187168.1, XP_003249030.1, XP_008188453.1, XP_003243309.1	XP_012153867.1
OG0000764	XP_003243312.1, XP_003247758.1, XP_003240879.1	XP_012137420.1, XP_012142561.1
OG0000765	XP_016662867.1, XP_008179296.1, XP_003241937.1	XP_012153731.1, XP_003700299.1
OG0000766	XP_003242410.1	XP_012139196.1, XP_012139197.1, XP_012139198.1, XP_012139199.1, XP_003702635.1, XP_012139195.1
OG0000767	XP_003242497.1	XP_003702016.1, XP_012137841.1
OG0000768	XP_003242754.2	XP_012135083.1, XP_012135087.1, XP_003699283.1
OG0000769	XP_003243699.1, XP_016658959.1, XP_016658960.1, XP_016658961.1, XP_016658962.1, XP_016658963.1	XP_003706462.2
OG0000770	XP_003243896.2	XP_003702817.1, XP_012139725.1, XP_012139726.1
OG0000771	XP_003246709.1, XP_008180166.1, XP_008180167.1	XP_012136986.1
OG0000772	XP_003246953.1	XP_012141908.1, XP_012141909.1, XP_012141907.1, XP_012141914.1, XP_012141911.1, XP_012141910.1, XP_012141913.1, XP_012141912.1, XP_003703865.1
OG0000773	XP_003247559.1	XP_012143303.1
OG0000774	XP_008183902.3	XP_003701026.1
OG0000775	XP_008187985.1	XP_012135269.1, XP_003701000.1
OG0000776	XP_016655940.1	XP_012151646.1, XP_003707993.1
OG0000777	XP_016657137.1	XP_003708279.1, XP_012152623.1, XP_012152620.1, XP_012152619.1, XP_012152622.1, XP_012152621.1
OG0000778	XP_016662047.1	XP_003702097.1
OG0000779	XP_029342860.1, XP_029342859.1, XP_029342861.1, XP_029342858.1	XP_003705698.1
OG0000780	XP_029343263.1	XP_003707696.1
OG0000781	XP_029344213.1	XP_003708223.1
OG0000782	XP_029344948.1	XP_003707618.1
OG0000783	XP_029346817.1	XP_003708252.2
OG0000784	XP_029347518.1	XP_012141668.1, XP_012141667.1, XP_003703808.1, XP_012141669.1
OG0000795	NP_001156238.1, XP_008186286.1, XP_001951765.1, NP_001119696.2, XP_016660020.1, XP_016660021.1, XP_001946038.2, XP_029344502.1, XP_029344503.1, NP_001119641.1	XP_012153149.1
OG0000796	XP_008186449.1, XP_016664985.1, XP_001943747.1, NP_001119670.1, NP_001119669.1	XP_012134999.1
OG0000797	NP_001155536.1, XP_008179738.1	XP_003702476.1
OG0000798	XP_008181596.1, NP_001155751.1	XP_012143298.1, XP_012143299.1, XP_012143297.1, XP_012143295.1, XP_012143296.1, XP_003704508.2
OG0000799	NP_001191909.1	XP_012150637.1, XP_012150635.1, XP_012150636.1
OG0000800	XP_029344345.1, NP_001280254.1	XP_003708325.1
OG0000801	XP_001942708.2	XP_003699548.1
OG0000801	XP_029347083.1	XP_012153863.1
OG0000802	XP_001944066.2, XP_016657154.1, XP_016657155.1, XP_003242174.1, XP_008179622.1	XP_012149292.1
OG0000803	XP_001944109.4, XP_008185697.1, XP_001944311.1, XP_001949303.2	XP_003705540.1, XP_012145915.1
OG0000804	XP_001944120.1, XP_008187383.1	XP_012147771.1, XP_012147772.1, XP_012147773.1, XP_003706340.1, XP_012147769.1, XP_012147770.1
OG0000805	XP_001944246.2	XP_012145708.1, XP_012148240.1
OG0000806	XP_008179699.1, XP_001944941.1	XP_003704830.1, XP_012144283.1, XP_012144282.1
OG0000807	XP_003247579.1, XP_001945486.2, XP_003248704.2	XP_012143794.1, XP_003704685.1
OG0000809	XP_008186770.1, XP_001946703.2	XP_012154054.1, XP_012154050.1
OG0000810	XP_001947304.2, XP_029344161.1, XP_016657984.1, XP_016657989.1, XP_029344163.1, XP_008180697.1, XP_016663292.2	XP_003704957.1, XP_012144469.1
OG0000811	XP_001947939.1	XP_012148169.1, XP_012148168.1
OG0000812	XP_001947963.1	XP_012140217.1, XP_012140219.1, XP_003703081.1, XP_003706123.1
OG0000813	XP_029346295.1, XP_001948027.2	XP_003700541.1
OG0000814	XP_001948078.2	XP_012143511.1, XP_003704490.1
OG0000815	XP_029345346.1, XP_001949153.2	XP_012151633.1
OG0000816	XP_001949694.2	XP_003701080.1
OG0000817	XP_029342612.1, XP_029342611.1, XP_029342610.1, XP_029342609.1, XP_029342613.1, XP_029342607.1, XP_029342608.1, XP_001950448.2	XP_003706519.1
OG0000818	XP_001950955.1	XP_012142258.1, XP_012142260.1, XP_012142257.1, XP_003703969.1, XP_012142256.1
OG0000819	XP_001951678.2, XP_016659276.1	XP_012148535.1, XP_012148532.1
OG0000820	XP_008185881.1, XP_008185880.1, XP_001952482.1	XP_003701764.1
OG0000821	XP_029344238.1, XP_003240215.1	XP_003707016.1
OG0000822	XP_003240675.3	XP_012147912.1, XP_012147908.1
OG0000823	XP_003240707.1, XP_003240706.1	XP_003706526.1
OG0000824	XP_029342026.1, XP_003248928.3, XP_003241462.2, XP_008182289.1	XP_012135554.1, XP_012149199.1
OG0000825	XP_003241553.2	XP_003707634.1
OG0000826	XP_003244511.1	XP_012145066.1, XP_012145067.1
OG0000827	XP_016656812.1, XP_008179252.2	XP_003706957.1, XP_012148808.1
OG0000828	XP_003245187.1, XP_008184040.1	XP_012140704.1, XP_012140702.1, XP_012140701.1, XP_012140700.1, XP_012140703.1, XP_003703286.1
OG0000829	XP_003245191.1	XP_003704986.1
OG0000830	XP_008178146.1	XP_003699932.1
OG0000831	XP_008189605.1, XP_008180570.1, XP_016657902.1	XP_012135046.1, XP_012135047.1
OG0000832	XP_008182919.1	XP_003702358.2
OG0000833	XP_008183110.1	XP_012149713.1, XP_012149693.1
OG0000834	XP_008183381.1	XP_003706673.1, XP_012148462.1
OG0000835	XP_008189794.1	XP_012147573.1, XP_003701307.1
OG0000836	XP_016663271.1	XP_012153460.1
OG0000837	XP_016663450.1	XP_012150835.1, XP_012150836.1
OG0000838	XP_016663923.1, XP_016663922.1, XP_016663921.1	XP_012139561.1, XP_012139566.1
OG0000839	XP_029342210.1	XP_003703664.2
OG0000840	XP_029344086.1	XP_012137930.1, XP_012137929.1, XP_012137927.1, XP_012137928.1, XP_003702038.1
OG0000849	NP_001155432.1	XP_003699767.1, XP_003701041.1
OG0000850	NP_001155554.1, XP_008179389.1	XP_003707116.1
OG0000851	XP_003246520.1, NP_001155696.1, XP_029347342.1	XP_012137152.1, XP_012137151.1, XP_012137153.1
OG0000852	XP_016661807.1, NP_001156121.1	XP_003701517.2
OG0000853	NP_001156172.1	XP_012154140.1
OG0000854	XP_008178183.1, XP_029340894.1, XP_008183153.1, XP_008181121.1, XP_008178737.1, XP_008180857.1, XP_008180959.1, NP_001229571.1, NP_001229572.1	XP_012136594.1, XP_012136597.1
OG0000855	NP_001280372.1, XP_016660360.1, XP_016660358.1, XP_016660357.1, XP_001951501.1	XP_003707664.1
OG0000856	XP_001944203.2	XP_012136055.1
OG0000856	NP_001313579.1	XP_012136062.1
OG0000857	XP_001942608.1, XP_003247461.2, XP_029344421.1, XP_029344420.1	XP_003703016.1
OG0000858	XP_001948394.1	XP_003701952.1, XP_003706116.1
OG0000858	XP_001943018.1	XP_012142916.1
OG0000859	XP_001943333.1	XP_012151735.1
