Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti
OG0000917	NP_001155773.1	XP_021712600.1, XP_001651262.1
OG0000918	NP_001155912.1, NP_001155913.1, XP_029344818.1, NP_001280315.1, XP_008179505.1	XP_021696791.1, XP_001651544.1, XP_001651406.2, XP_001652677.1
OG0000919	NP_001156227.1	XP_001650507.1
OG0000920	NP_001156240.1	XP_001659681.1
OG0000921	NP_001156300.1, XP_008187141.1	XP_001661823.1
OG0000922	XP_001946443.2, XP_008183734.1, XP_003248866.1, NP_001156609.1, XP_001944676.2	XP_001657891.1
OG0000923	NP_001164574.1, XP_008187055.1	XP_021697826.1
OG0000924	NP_001229388.1	XP_001660574.2, XP_021697628.1, XP_021697623.1, XP_021697622.1, XP_021697627.1, XP_021697626.1, XP_021697625.1, XP_021697624.1
OG0000925	XP_008187537.1, NP_001233045.1	XP_021710049.1, XP_021710050.1
OG0000927	NP_001280399.1	XP_001657339.1, XP_021706325.1, XP_021712812.1, XP_011493775.1, XP_021706322.1, XP_021706327.1
OG0000928	XP_029341942.1, NP_001280428.1, XP_029341681.1	XP_021707077.1, XP_021707078.1, XP_021707081.1, XP_021707082.1, XP_021707079.1, XP_021707080.1, XP_021707089.1, XP_021707085.1, XP_021707086.1, XP_021707087.1, XP_021707088.1, XP_021707084.1, XP_021707083.1
OG0000929	NP_001280437.1	XP_001663815.1, XP_021698871.1
OG0000930	NP_001313604.1, XP_008189583.1	XP_021699375.1
OG0000931	XP_029345416.1, XP_029345417.1, XP_016663327.1, XP_001952363.2, XP_016662613.2, XP_001942858.2	XP_021695975.1, XP_001657117.1
OG0000932	XP_001943099.2	XP_001656538.2, XP_021712586.1, XP_021711315.1, XP_021712583.1, XP_021712584.1
OG0000933	XP_001943172.1, XP_008179604.1	XP_001655641.2, XP_001649752.1
OG0000934	XP_001944196.2	XP_021698591.1, XP_021698590.1, XP_001653285.1
OG0000935	XP_001944948.1	XP_021694721.1, XP_021694722.1, XP_021694961.1, XP_001657072.2, XP_001656050.2, XP_021702748.1
OG0000936	XP_001945205.2	XP_021699967.1
OG0000937	XP_008178642.1, XP_001945217.2	XP_001660913.1, XP_001661565.1
OG0000938	XP_001945652.1	XP_021706045.1
OG0000940	XP_029345689.1, XP_001945911.1	XP_021704005.1
OG0000941	XP_001945966.2	XP_021710750.1
OG0000942	XP_001946481.2	XP_001661801.1, XP_021705490.1, XP_021705489.1, XP_021705488.1, XP_021705491.1, XP_021705493.1, XP_021705492.1
OG0000943	XP_001946503.2	XP_001649963.1
OG0000944	XP_001947363.2	XP_021708364.1, XP_001656408.1
OG0000945	XP_001948033.2	XP_001656804.2, XP_021710330.1, XP_021710331.1, XP_021710333.1, XP_021710332.1
OG0000946	XP_003244186.1, XP_016659445.1, XP_003244189.1, XP_001948517.2	XP_001649593.2
OG0000947	XP_001948722.2, XP_008187405.1	XP_021693086.1, XP_021693089.1
OG0000948	XP_001949122.1	XP_001661146.1
OG0000949	XP_001950177.2, XP_029346868.1	XP_001652261.2
OG0000950	XP_001951330.2	XP_001659287.1, XP_021702711.1
OG0000951	XP_001952160.1, XP_001952152.1	XP_011493172.2, XP_021699239.1
OG0000952	XP_001952250.1	XP_001650545.1, XP_021710285.1, XP_021710288.1, XP_021710289.1, XP_021710286.1
OG0000953	XP_003240168.1	XP_001657436.1, XP_001652560.2, XP_001661851.1, XP_021705875.1, XP_021705874.1
OG0000954	XP_003243748.1	XP_021706305.1, XP_021706595.1
OG0000955	XP_029348703.1, XP_029341424.1, XP_016659608.2, XP_029341791.1, XP_003244295.1	XP_021708583.1, XP_021705459.1, XP_021706039.1, XP_001648122.2
OG0000957	XP_003244828.1	XP_021704110.1
OG0000958	XP_029345967.1	XP_021705705.1, XP_021705704.1
OG0000959	XP_003245859.1	XP_021701483.1
OG0000960	XP_008188173.1	XP_001660868.1
OG0000960	XP_003246536.1, XP_008186054.1, XP_016662375.1, XP_029344665.1	XP_021697034.1
OG0000961	XP_029346196.1, XP_003248547.1	XP_021709272.1
OG0000962	XP_008178430.1, XP_008178426.1	XP_021695937.1, XP_021695945.1
OG0000963	XP_008179407.1, XP_008179408.1	XP_021709029.1
OG0000964	XP_008180409.1	XP_021710052.1, XP_021710051.1
OG0000965	XP_008182226.1, XP_029344326.1	XP_021697790.1, XP_021697783.1
OG0000966	XP_008182879.1	XP_021697003.1, XP_021712420.1
OG0000967	XP_016660332.1, XP_016660333.1, XP_008183656.2, XP_008183647.2	XP_001658537.1, XP_021696660.1
OG0000968	XP_008184679.1, XP_008184681.1	XP_021698741.1
OG0000969	XP_016658579.1, XP_016659899.1, XP_016662258.2	XP_021707919.1
OG0000970	XP_016661949.1, XP_008187412.1	XP_021711849.1, XP_001651929.1
OG0000971	XP_008187914.1	XP_001653661.2, XP_001653662.2, XP_001653663.2
OG0000972	XP_008189931.1, XP_029343272.1, XP_016657202.1	XP_021702148.1
OG0000974	XP_016657883.1	XP_021702688.1, XP_021702695.1, XP_021702707.1
OG0000975	XP_016660728.1, XP_029346858.1	XP_021709197.1, XP_021709223.1, XP_021709213.1, XP_021709188.1
OG0000976	XP_016661759.1, XP_016661760.1	XP_001648945.2
OG0000977	XP_016662161.1	XP_001662477.2, XP_021694110.1
OG0000978	XP_016663179.1	XP_021694981.1, XP_021712432.1, XP_021698446.1
OG0000979	XP_029341765.1, XP_029341057.1, XP_029341501.1	XP_001662352.2
OG0000980	XP_029342234.1	XP_021706413.1
OG0000980	XP_029345153.1	XP_021698901.1
OG0000981	XP_029343351.1, XP_029342235.1	XP_021704766.1
OG0000982	XP_029343197.1	XP_021711586.1, XP_021711584.1, XP_021711589.1, XP_021711590.1, XP_021711587.1, XP_021711588.1, XP_021711591.1, XP_021711592.1, XP_021711595.1, XP_021711593.1, XP_021711582.1, XP_021711581.1, XP_021711585.1, XP_021711594.1
OG0000983	XP_029344536.1	XP_021710716.1
OG0000984	XP_029346848.1	XP_021700789.1
OG0000984	XP_029345642.1	XP_021700790.1
OG0000985	XP_029345675.1	XP_021699811.1, XP_021699812.1, XP_021699813.1, XP_021699814.1, XP_001658285.1
OG0000987	XP_029347197.1	XP_001652618.1
OG0000988	XP_029347512.1	XP_021692998.1, XP_021692997.1
OG0000992	NP_001119688.1, XP_008186477.1	XP_001653792.1
OG0000993	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1	XP_001657349.1, XP_021712573.1
OG0000994	NP_001155677.1	XP_021712595.1, XP_001656483.2
OG0000995	NP_001156043.1, NP_001155760.1	XP_001662013.1
OG0000996	XP_029347277.1, NP_001155868.1	XP_001651556.2, XP_001651557.2, XP_021712254.1, XP_021712255.1
OG0000997	XP_001949764.1	XP_001652880.1
OG0000997	XP_008184138.1, NP_001156089.1	XP_001653426.2
OG0000998	NP_001156289.1, XP_016656740.1	XP_001648735.1, XP_001659667.2, XP_021694971.1, XP_021694972.1
OG0000999	NP_001162142.1	XP_001660745.2, XP_001660748.2
OG0001000	NP_001233031.1, XP_008178887.1	XP_001659936.2, XP_001659938.2
OG0001001	XP_008185400.1, NP_001233092.1	XP_021696850.1, XP_001650605.1
OG0001002	NP_001233101.1	XP_021695974.1, XP_001652318.1, XP_001656815.1, XP_001648854.1
OG0001003	NP_001268887.1, XP_016656764.1	XP_021698403.1, XP_001652606.1
OG0001004	XP_001946521.1	XP_021697696.1
OG0001004	XP_008186856.1	XP_001656833.1
OG0001005	XP_001942942.1	XP_001654066.1
OG0001006	XP_001943026.2	XP_021713406.1
OG0001007	XP_029344489.1, XP_001943043.1	XP_021710083.1
OG0001008	XP_003246086.1	XP_011493242.2
OG0001008	XP_001943103.2	XP_021700400.1
OG0001009	XP_001943449.2	XP_001660190.2, XP_021702837.1
OG0001010	XP_001943636.2, XP_001943523.1	XP_021703789.1, XP_021703788.1, XP_021703790.1, XP_021703785.1, XP_021703784.1, XP_021703787.1, XP_021703786.1
OG0001011	XP_001943714.1	XP_001661560.2
OG0001013	XP_008180675.1, XP_003248807.2, XP_001944587.3	XP_021699192.1
OG0001014	XP_001944614.1	XP_021705253.1
OG0001015	XP_001951086.1, XP_003248708.1	XP_021713139.1
OG0001015	XP_001944801.1	XP_001660517.1
OG0001016	XP_001945112.2	XP_001651894.1
OG0001017	XP_001945330.2, XP_016655808.2	XP_021695035.1, XP_021695037.1, XP_021695038.1
OG0001018	XP_001946341.1	XP_021705853.1
OG0001018	XP_008179450.1	XP_001663910.1
OG0001019	XP_001946692.2	XP_021697833.1
OG0001020	XP_001946841.2	XP_021700258.1
OG0001021	XP_001947318.2, XP_003242586.1, XP_003242585.1	XP_001661389.1
OG0001022	XP_001947414.2	XP_021712919.1, XP_021709106.1
OG0001023	XP_001947762.1, XP_008180348.1	XP_021705791.1
OG0001025	XP_029343659.1, XP_001948094.2	XP_021710356.1, XP_021710355.1, XP_021710346.1, XP_021710347.1, XP_021710344.1, XP_021710345.1, XP_021710350.1, XP_021710351.1, XP_021710348.1, XP_021710354.1, XP_021710353.1, XP_021710352.1, XP_021710349.1, XP_021710343.1
OG0001026	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1	XP_001651472.2
OG0001027	XP_001948533.1	XP_001659550.1
OG0001028	XP_001948556.2	XP_001648922.2
OG0001029	XP_001948578.2	XP_021694498.1
OG0001030	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2	XP_021705111.1
OG0001031	XP_001949042.1	XP_001647991.1
OG0001033	XP_001949643.1	XP_021697350.1, XP_001656170.2
OG0001034	XP_001949856.2, XP_016659465.1	XP_001652910.1
OG0001035	XP_001949960.1	XP_001649392.1
OG0001036	XP_001950214.2	XP_001658441.1
OG0001037	XP_029343413.1, XP_001950704.2	XP_021709959.1, XP_021709949.1, XP_021709968.1, XP_001654907.2
OG0001038	XP_003245753.1, XP_001951213.2	XP_001657802.1
OG0001039	XP_001952170.1	XP_021704117.1, XP_001659756.2
OG0001040	XP_001952444.1	XP_001657084.1
OG0001041	XP_003240137.1	XP_021704065.1, XP_021704062.1, XP_021704064.1, XP_021704063.1, XP_001649235.1
OG0001042	XP_003242156.1, XP_016657148.2	XP_021695487.1, XP_021712349.1
OG0001043	XP_003242212.1, XP_016657192.1	XP_021695359.1, XP_021695362.1
OG0001044	XP_029345616.1, XP_003246254.2	XP_021695598.1
OG0001045	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1	XP_021700792.1
OG0001046	XP_003247064.1, XP_008186797.1	XP_021707939.1
OG0001048	XP_029341307.1, XP_008178442.1	XP_021696480.1
OG0001049	XP_008180098.1	XP_021695688.1, XP_021695674.1, XP_021695699.1
OG0001050	XP_016657682.1, XP_008180288.1	XP_021704146.1
OG0001052	XP_008182858.1, XP_008182857.1	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1
OG0001053	XP_008184495.1	XP_021695848.1
OG0001054	XP_008185488.1, XP_008185487.1, XP_029347617.1	XP_001653734.1
OG0001055	XP_008187614.1	XP_021708066.1
OG0001056	XP_008187892.1	XP_001648788.1
OG0001057	XP_008187989.1	XP_021712770.1, XP_021708993.1
OG0001058	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1	XP_001658030.3
OG0001059	XP_008188476.1	XP_001653804.1
OG0001060	XP_008188543.1	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1
OG0001061	XP_016655779.1	XP_021698780.1
OG0001062	XP_016664545.1	XP_021707750.1, XP_021701069.1
OG0001063	XP_029341043.1, XP_016656351.2, XP_029341494.1	XP_021705756.1
OG0001064	XP_016662408.1	XP_021707107.1, XP_021712915.1, XP_001652913.1
OG0001065	XP_016662735.1	XP_021698754.1, XP_021698753.1
OG0001066	XP_029341094.1	XP_021703827.1
OG0001067	XP_029347427.1, XP_029342601.1	XP_001664063.1, XP_021699345.1, XP_021699344.1
OG0001068	XP_029342993.1, XP_029342992.1	XP_021696931.1, XP_021696940.1
OG0001069	XP_029343159.1	XP_001654715.2
OG0001070	XP_029343506.1, XP_029343509.1	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2
OG0001071	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1	XP_021708458.1
OG0001072	XP_029346976.1, XP_029346977.1	XP_001659014.2
OG0001090	NP_001129420.1	XP_021695122.1, XP_001656254.2
OG0001091	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2	XP_021713022.1, XP_001654186.1, XP_001654185.1
OG0001092	NP_001155140.1, XP_008187000.1	XP_001656078.2
OG0001093	XP_008179870.1, NP_001155505.1	XP_021712436.1, XP_021700841.1
OG0001094	NP_001155508.1, XP_001949834.1	XP_021707147.1, XP_001657391.1
OG0001095	NP_001156278.1, NP_001155646.1	XP_001653701.1, XP_001653700.1
OG0001096	NP_001155662.1	XP_001658255.2
OG0001097	NP_001155680.1	XP_001648346.1
OG0001098	XP_016661622.1, NP_001155733.1	XP_001663379.2
OG0001099	XP_016661136.1	XP_021694262.1, XP_021712727.1
OG0001099	XP_029348134.1, NP_001155764.1	XP_021706284.1, XP_021712729.1
OG0001100	NP_001155768.1	XP_001657489.1
OG0001101	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1	XP_001661884.1, XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	NP_001156053.1	XP_001650617.1, XP_001650616.1
OG0001103	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	NP_001156133.1, XP_008181357.1	XP_001659382.1
OG0001105	NP_001156173.1, NP_001233027.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_029341550.1, NP_001156267.1	XP_001652532.1
OG0001107	NP_001233091.1, XP_001946336.2	XP_001651390.1
OG0001108	XP_008181413.1, XP_008181414.1, NP_001280378.1	XP_001655181.1
OG0001109	XP_008188103.1, NP_001280404.1, XP_029343710.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_001942870.1, XP_029341142.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_001943176.2	XP_001649510.2
OG0001112	XP_001943561.1	XP_001651512.1
OG0001113	XP_001943767.1	XP_001651817.1
OG0001114	XP_001943824.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_001944095.2	XP_021713246.1
OG0001116	XP_001944235.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_001944518.2	XP_021705905.1
OG0001118	XP_001944745.2, XP_003242948.1	XP_021707148.1
OG0001119	XP_001945455.1	XP_001648381.1
OG0001120	XP_001945509.2	XP_001661053.1
OG0001120	XP_003245192.1	XP_001650112.2
OG0001121	XP_003240109.1, XP_001945890.2	XP_001652212.1, XP_021705915.1
OG0001122	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001123	XP_001946462.2	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1
OG0001124	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1	XP_021710981.1
OG0001125	XP_003242835.1, XP_001947132.2	XP_001648386.2
OG0001126	XP_016657415.1, XP_001947403.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	XP_001947574.2	XP_021694779.1, XP_021694780.1, XP_021702833.1
OG0001128	XP_001947778.1	XP_001656417.2
OG0001128	XP_008186751.2	XP_001654307.2
OG0001129	XP_003243491.1, XP_001947806.2	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1	XP_021693810.1
OG0001131	XP_008187678.1, XP_001947895.2	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1
OG0001132	XP_001948183.1	XP_001653441.1
OG0001134	XP_001948516.2	XP_021700926.1, XP_021700923.1
OG0001135	XP_029341736.1, XP_001949162.2, XP_016662877.1	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	XP_001949566.1, XP_001949558.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1
OG0001138	XP_016659058.1, XP_001949598.1	XP_001655529.2
OG0001139	XP_001949754.1	XP_021708606.1
OG0001140	XP_001950299.1	XP_001654986.2
OG0001141	XP_016663836.1, XP_001950325.2	XP_001649333.2
OG0001141	XP_001951742.2, XP_008185997.1	XP_021694454.1
OG0001142	XP_001950807.2, XP_029346999.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	XP_001950810.1	XP_001662313.1
OG0001144	XP_001950825.2	XP_021713323.1
OG0001145	XP_001950913.1	XP_001656860.2, XP_021695639.1
OG0001146	XP_001950937.1	XP_001660509.1
OG0001147	XP_001950988.1	XP_021694950.1
OG0001148	XP_001951126.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	XP_001951630.1	XP_021696025.1
OG0001150	XP_001951748.2, XP_008183754.1, XP_029346633.1	XP_021697593.1
OG0001151	XP_016658645.1, XP_001952434.2	XP_021701521.1
OG0001152	XP_001952516.2	XP_001650532.2
OG0001153	XP_029345485.1, XP_001952587.2	XP_021702556.1
OG0001154	XP_016662028.1, XP_001952667.2	XP_021711748.1
OG0001155	XP_001952747.1	XP_021707527.1
OG0001156	XP_016664861.1, XP_003241429.1	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	XP_003243823.1	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	XP_016659863.1, XP_003244542.1, XP_016659864.1	XP_021699270.1
OG0001159	XP_003245082.1	XP_021710638.1
OG0001160	XP_003245361.2	XP_001654460.1
OG0001161	XP_008183803.1	XP_001652572.1
OG0001162	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1	XP_021707175.1
OG0001164	XP_003247679.1	XP_021707691.1, XP_021707690.1, XP_021707689.1
OG0001165	XP_008179184.1, XP_008179192.1	XP_021710995.1
OG0001166	XP_008179444.1	XP_021700484.1
OG0001167	XP_008181511.1, XP_008181512.1	XP_001661518.1
OG0001168	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1	XP_001655162.2
OG0001169	XP_008183336.1, XP_029345140.1	XP_021700392.1, XP_001663720.1
OG0001171	XP_008183856.1	XP_021694953.1
OG0001172	XP_008184424.1	XP_021705744.1, XP_021705736.1
OG0001173	XP_008184447.1	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	XP_029345281.1, XP_008185305.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	XP_008185682.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	XP_008188774.1	XP_021693845.1
OG0001178	XP_008189853.1	XP_001656777.2
OG0001179	XP_008190154.1	XP_021708724.1
OG0001180	XP_016657120.1	XP_021706223.1, XP_001654740.2
OG0001181	XP_016657278.1	XP_021707798.1, XP_001647577.1, XP_001658563.1
OG0001182	XP_016657683.1	XP_021711115.1, XP_021711128.1
OG0001183	XP_029343309.1, XP_016658013.1	XP_021696657.1
OG0001184	XP_016659463.1	XP_001655214.2
OG0001185	XP_016660106.1, XP_016660104.1, XP_016660111.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	XP_016660542.1, XP_016660541.1	XP_001654432.1
OG0001187	XP_016661530.1, XP_029346066.1	XP_021711494.1
OG0001188	XP_016664405.1, XP_016662933.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	XP_029343923.1	XP_021711031.1
OG0001190	XP_029344471.1	XP_001649672.1, XP_021702492.1
OG0001191	XP_029346223.1	XP_021704021.1, XP_001657314.2
OG0001193	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001214	NP_001153813.1, NP_001153811.1, NP_001153812.1	XP_001655451.2
OG0001215	NP_001153873.1, XP_029347957.1	XP_021697293.1, XP_021697294.1, XP_021697295.1
OG0001216	NP_001153944.1, XP_003249047.1	XP_001653393.1
OG0001217	NP_001155454.1	XP_001659205.1
OG0001218	NP_001155457.1, XP_008179466.1	XP_001648941.1, XP_021705472.1
OG0001219	NP_001155464.1, XP_001949090.1, XP_003248969.1	XP_011493503.2
OG0001220	NP_001155533.1	XP_001663266.1
OG0001221	NP_001155577.1	XP_021707345.1, XP_021707352.1, XP_021707151.1
OG0001221	XP_001951050.1	XP_001649949.1
OG0001222	NP_001155665.2, NP_001156815.1	XP_021713412.1, XP_001655604.1, XP_001655603.1
OG0001223	XP_008182091.1, NP_001155667.1	XP_001648095.1
OG0001224	NP_001156103.1	XP_001660440.2, XP_001658084.2
OG0001225	NP_001156193.1	XP_001648371.1
OG0001226	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1	XP_001653501.2
OG0001227	XP_029345469.1, XP_001951546.1, NP_001280401.1, NP_001233110.1, XP_001948920.1	XP_021695961.1, XP_001663677.1, XP_021695960.1, XP_001663676.1
OG0001228	XP_001947886.1, NP_001280309.1	XP_021703910.1, XP_021703909.1
OG0001229	NP_001280441.1	XP_021704947.1
OG0001230	XP_008184848.1, NP_001280446.1	XP_001656889.1
OG0001231	XP_001943183.2, XP_008186393.1	XP_021694672.1
OG0001231	NP_001313598.1	XP_001660051.2
OG0001232	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3	XP_021700838.1
OG0001233	XP_001944566.2, XP_016662541.1	XP_001654247.1
OG0001233	XP_016657430.1, XP_001943267.2	XP_021704697.1, XP_021704696.1
OG0001234	XP_001943476.2	XP_021706307.1
OG0001235	XP_001943482.2, XP_001943535.1, XP_001944129.2	XP_021704690.1, XP_001663534.2, XP_021704689.1, XP_001663535.2, XP_021693225.1, XP_021693224.1, XP_021693223.1, XP_021693226.1, XP_001648006.2, XP_021695477.1
OG0001236	XP_001944534.1	XP_021698646.1, XP_021698645.1
OG0001237	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1	XP_021696524.1
OG0001238	XP_008188368.1, XP_001945158.2, XP_001950494.2	XP_021711392.1, XP_021711407.1
OG0001239	XP_001945277.2, XP_008183013.1, XP_016656349.1	XP_021710256.1
OG0001240	XP_001945375.1	XP_021700543.1
OG0001241	XP_029343094.1, XP_029343095.1, XP_001946090.2	XP_021709960.1
OG0001242	XP_001946147.2	XP_021695985.1
OG0001244	XP_001946280.2	XP_001653051.1
OG0001245	XP_001946431.1	XP_001649754.1, XP_021706031.1
OG0001246	XP_001947027.2	XP_021703701.1
OG0001247	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1	XP_001658992.1
OG0001248	XP_008180352.1, XP_001947336.2	XP_021703673.1
OG0001249	XP_008179609.1, XP_001947420.1	XP_001660617.1
OG0001250	XP_001947917.2	XP_001661045.2
OG0001251	XP_029344523.1, XP_029344522.1	XP_021695142.1, XP_021695149.1
OG0001252	XP_001948261.1	XP_001656430.1, XP_021702746.1, XP_021701651.1, XP_001657687.1
OG0001253	XP_001948411.2, XP_008187442.1	XP_001651542.2, XP_021696789.1, XP_021696788.1, XP_021696787.1
OG0001254	XP_001948594.2	XP_021705862.1
OG0001255	XP_001948774.2	XP_001647960.3
OG0001256	XP_001949446.1	XP_021694943.1, XP_021694941.1
OG0001257	XP_001949480.1	XP_021693634.1, XP_011493676.1, XP_011493675.1
OG0001258	XP_001949498.2	XP_001652339.1, XP_021704024.1, XP_021704027.1
OG0001259	XP_001949584.1, XP_008184333.1, XP_003242568.1	XP_001656002.1, XP_001653425.2
OG0001260	XP_001950152.1	XP_001652317.1
OG0001261	XP_001950183.1	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1
OG0001262	XP_001950417.1	XP_021711449.1
OG0001263	XP_001950431.1	XP_001658296.1
OG0001264	XP_001950522.1, XP_016657964.1	XP_001657447.2
OG0001265	XP_029347050.1, XP_001950878.2	XP_021703729.1, XP_021703731.1, XP_021703732.1, XP_021703727.1, XP_021703728.1, XP_021703725.1, XP_021703726.1, XP_021703723.1, XP_021703724.1, XP_021703721.1, XP_021703722.1, XP_021703720.1
OG0001267	XP_001951732.1	XP_021705969.1, XP_021705968.1, XP_001656717.2
OG0001268	XP_001952629.1, XP_008187935.1	XP_021703813.1
OG0001269	XP_003240957.1	XP_021710035.1
OG0001270	XP_003241121.1	XP_021705766.1, XP_021705767.1
OG0001271	XP_029348701.1, XP_003241405.1, XP_029344880.1	XP_021703651.1, XP_001654617.2
OG0001271	XP_029342269.1, XP_029342268.1	XP_021705424.1, XP_021705422.1, XP_021705423.1
OG0001272	XP_029342109.1	XP_001661762.2
OG0001272	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1	XP_001655854.1
OG0001273	XP_029341105.1, XP_003243017.1	XP_021700130.1
OG0001274	XP_029347052.1	XP_001663402.2
OG0001277	XP_003243733.1	XP_021707020.1, XP_021707021.1
OG0001278	XP_003244422.1	XP_001651785.2
OG0001279	XP_008183368.1, XP_003244722.1	XP_021694589.1
OG0001280	XP_003245599.2	XP_001652945.1
OG0001281	XP_003246179.1	XP_021698661.1
OG0001282	XP_003248149.1	XP_021698670.1
OG0001283	XP_003248478.1	XP_021697649.1
OG0001284	XP_008182531.1, XP_003248714.1	XP_021701396.1, XP_021701391.1
OG0001285	XP_029343544.1, XP_029342364.1, XP_029342371.1, XP_029342373.1, XP_029342374.1, XP_029342363.1, XP_029343515.1, XP_029343532.1, XP_029343545.1, XP_016664607.1, XP_029342372.1, XP_029342370.1, XP_029343566.1, XP_003248732.1, XP_029343546.1, XP_029343554.1	XP_021695377.1
OG0001286	XP_008178165.1	XP_021703120.1
OG0001287	XP_008178607.1	XP_021707370.1, XP_021707349.1, XP_021707348.1
OG0001288	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1	XP_021706525.1, XP_001659242.1
OG0001289	XP_008181498.1	XP_021694157.1
OG0001290	XP_016657448.1, XP_008181527.1	XP_001660794.2, XP_021695080.1
