Orthogroup	Acyrthosiphon_pisum	Tribolium_castaneum
OG0001168	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1	XP_008194043.1, NP_001129235.1
OG0001169	XP_008183336.1, XP_029345140.1	XP_971976.1, XP_008195314.1
OG0001170	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1	XP_008195103.1
OG0001171	XP_008183856.1	XP_008201706.1, XP_008201707.1
OG0001172	XP_008184424.1	XP_015835716.1, XP_015835718.1
OG0001173	XP_008184447.1	XP_008191324.1
OG0001174	XP_029345281.1, XP_008185305.1	XP_971424.1
OG0001175	XP_008185682.1	XP_008200383.1
OG0001176	XP_008188774.1	XP_972928.1
OG0001177	XP_008189302.1	XP_015839409.1, XP_015837748.1, XP_015837697.1
OG0001178	XP_008189853.1	XP_975464.2
OG0001179	XP_008190154.1	XP_008198975.1, XP_971602.1
OG0001180	XP_016657120.1	XP_008198633.1
OG0001181	XP_016657278.1	XP_008191878.1, XP_008192221.1
OG0001182	XP_016657683.1	XP_015840100.1, XP_015840102.1
OG0001183	XP_029343309.1, XP_016658013.1	XP_008193529.1
OG0001184	XP_016659463.1	XP_008201701.1, XP_015840686.1
OG0001186	XP_016660542.1, XP_016660541.1	XP_969063.1
OG0001187	XP_016661530.1, XP_029346066.1	XP_968896.1, XP_015835887.1
OG0001188	XP_016664405.1, XP_016662933.1	XP_001816493.1, XP_015837546.1, XP_015837545.1
OG0001189	XP_029343923.1	XP_008194526.1
OG0001190	XP_029344471.1	XP_008199702.1, XP_008199701.1
OG0001191	XP_029346223.1	XP_008201559.2, NP_001165842.1
OG0001193	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1	XP_967266.2
OG0001214	NP_001153813.1, NP_001153811.1, NP_001153812.1	XP_008200001.1, XP_975934.1
OG0001215	NP_001153873.1, XP_029347957.1	XP_968957.1
OG0001216	NP_001153944.1, XP_003249047.1	XP_015839295.1
OG0001217	NP_001155454.1	XP_008192863.1
OG0001218	NP_001155457.1, XP_008179466.1	XP_008201334.1
OG0001219	NP_001155464.1, XP_001949090.1, XP_003248969.1	XP_001816128.1
OG0001220	NP_001155533.1	XP_972076.1
OG0001221	NP_001155577.1	XP_975539.1
OG0001221	XP_001951050.1	XP_008190388.1, XP_008190385.1, XP_008190387.2, XP_971157.1
OG0001222	NP_001155665.2, NP_001156815.1	XP_968714.2
OG0001223	XP_008182091.1, NP_001155667.1	XP_967177.1
OG0001224	NP_001156103.1	XP_008191038.1, XP_975446.1
OG0001225	NP_001156193.1	XP_972067.1
OG0001226	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1	XP_974453.1
OG0001227	XP_029345469.1, XP_001951546.1, NP_001280401.1, NP_001233110.1, XP_001948920.1	XP_008199442.1
OG0001228	XP_001947886.1, NP_001280309.1	XP_008197675.1
OG0001229	NP_001280441.1	XP_973115.2
OG0001230	XP_008184848.1, NP_001280446.1	XP_967571.1
OG0001231	XP_001943183.2, XP_008186393.1	XP_008197759.1, XP_008197754.1
OG0001231	NP_001313598.1	XP_969776.1
OG0001232	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3	XP_008190354.1
OG0001233	XP_016657430.1, XP_001943267.2	XP_008190817.1
OG0001234	XP_001943476.2	XP_972865.2
OG0001235	XP_001943482.2, XP_001943535.1, XP_001944129.2	XP_008197318.2, XP_971418.1, XP_971482.1
OG0001236	XP_001944534.1	XP_970017.1, XP_008194730.1
OG0001237	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1	XP_970990.1, XP_970935.1, XP_008198405.1, XP_008201442.1, XP_008201445.1
OG0001238	XP_008188368.1, XP_001945158.2, XP_001950494.2	XP_015840481.1, XP_008199848.1
OG0001239	XP_001945277.2, XP_008183013.1, XP_016656349.1	XP_969339.3
OG0001240	XP_001945375.1	XP_008196847.1
OG0001241	XP_029343094.1, XP_029343095.1, XP_001946090.2	XP_008196700.1, NP_001280495.1
OG0001242	XP_001946147.2	XP_015837308.1, XP_015837309.1
OG0001243	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1	XP_968084.1
OG0001244	XP_001946280.2	XP_974073.3
OG0001245	XP_001946431.1	XP_968503.1
OG0001246	XP_001947027.2	XP_008191948.1, XP_008191947.1
OG0001247	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1	XP_969111.2
OG0001248	XP_008180352.1, XP_001947336.2	XP_975017.2
OG0001249	XP_008179609.1, XP_001947420.1	XP_975542.1
OG0001250	XP_001947917.2	XP_015835066.1, XP_015835069.1, XP_015835068.1, XP_015835067.1, XP_008191723.1, XP_015835064.1, XP_015835065.1
OG0001251	XP_029344523.1, XP_029344522.1, XP_001948243.2	XP_008198694.1, XP_015839507.1, XP_015839508.1
OG0001252	XP_001948261.1	XP_008201627.1, XP_974656.1, XP_972664.1
OG0001253	XP_001948411.2, XP_008187442.1	XP_008198623.1, XP_008198621.1
OG0001254	XP_001948594.2	XP_008200349.1, XP_015839691.1
OG0001255	XP_001948774.2	XP_015839682.1, NP_001280536.1
OG0001256	XP_001949446.1	XP_015840550.1
OG0001257	XP_001949480.1	XP_972977.1, XP_973010.2
OG0001258	XP_001949498.2	NP_001034507.1, XP_008192136.1
OG0001259	XP_001949584.1, XP_008184333.1, XP_003242568.1	XP_008195303.1, XP_968406.2
OG0001260	XP_001950152.1	XP_974043.1, XP_015835245.1
OG0001261	XP_001950183.1	XP_969615.1
OG0001262	XP_001950417.1	XP_015836277.1
OG0001263	XP_001950431.1	XP_008194044.1, XP_966465.1
OG0001264	XP_001950522.1, XP_016657964.1	XP_008199359.1
OG0001265	XP_029347050.1, XP_001950878.2	XP_008198824.1, XP_015839576.1, XP_008198826.1
OG0001267	XP_001951732.1	XP_008193924.1, XP_015835758.1, XP_008193926.1
OG0001268	XP_001952629.1, XP_008187935.1	XP_001812645.1
OG0001269	XP_003240957.1	XP_008199240.1
OG0001270	XP_003241121.1	XP_008195264.1
OG0001271	XP_029342269.1, XP_029342268.1	XP_015837418.1
OG0001273	XP_029341105.1, XP_003243017.1	XP_008196928.2, XP_008194333.1, XP_015835670.1
OG0001274	XP_029347052.1	XP_971741.1
OG0001275	XP_003243501.1	XP_015838616.1, XP_008200892.1, XP_015838623.1, XP_008200889.1
OG0001278	XP_003244422.1	XP_968260.1
OG0001279	XP_008183368.1, XP_003244722.1	XP_015833552.1
OG0001280	XP_003245599.2	XP_968053.2, XP_008192425.1
OG0001281	XP_003246179.1	XP_008200663.1
OG0001282	XP_003248149.1	XP_968795.1
OG0001283	XP_003248478.1	XP_008195901.1
OG0001284	XP_008182531.1, XP_003248714.1	XP_008193610.1, XP_015835521.1, XP_008200427.2
OG0001286	XP_008178165.1	XP_973603.2
OG0001288	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1	XP_008195503.1
OG0001289	XP_008181498.1	XP_972155.1
OG0001291	XP_029343815.1, XP_008184750.1, XP_008184749.1	XP_973702.2
OG0001293	XP_008185156.1	XP_967850.1
OG0001294	XP_008186956.1	XP_008190438.1
OG0001295	XP_008187592.1	XP_015837736.1, XP_008199992.1, XP_015837734.1, XP_015837735.1, XP_008197104.1, XP_015838076.1, XP_966433.1
OG0001296	XP_016660995.1, XP_016660987.1	XP_008196583.2, XP_015839811.1
OG0001297	XP_029347780.1	XP_015840262.1
OG0001298	XP_016657557.1	XP_001814199.1
OG0001299	XP_016659670.1, XP_016659669.1	XP_008190539.1
OG0001300	XP_016660087.1	XP_971886.1
OG0001301	XP_016660634.1, XP_016660633.1	XP_971367.2
OG0001302	XP_029347290.1, XP_016662733.1	XP_015839006.1
OG0001303	XP_029341792.1	XP_015833856.1
OG0001304	XP_029342867.1	XP_008201630.1
OG0001305	XP_029348564.1, XP_029342894.1	XP_015834192.1
OG0001306	XP_029344330.1	XP_015835234.1, XP_015835237.1
OG0001307	XP_029345291.1	XP_015833206.1
OG0001307	XP_029345473.1	XP_015835558.1
OG0001308	XP_029346361.1, XP_029346360.1	XP_008200820.1
OG0001328	NP_001127773.1, XP_029341919.1	XP_969305.1
OG0001329	NP_001155492.1, XP_029344755.1	XP_008190670.1
OG0001330	NP_001155497.1, XP_008186537.1	XP_008195392.1
OG0001331	NP_001155755.1	XP_975415.1
OG0001332	XP_001952298.1, NP_001155769.1	XP_008197848.1
OG0001333	NP_001155777.1	XP_008195720.1, XP_969089.1
OG0001334	NP_001191927.1, NP_001156237.1	XP_015838448.1
OG0001335	XP_016663531.1, NP_001156244.1	XP_008193497.1
OG0001336	XP_003244203.1	XP_008193739.1
OG0001336	NP_001156313.1	XP_001815618.1
OG0001337	NP_001191891.1	XP_970871.1
OG0001338	NP_001191907.1, XP_008181953.1	NP_001139390.1
OG0001339	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1	XP_970397.1
OG0001340	NP_001280445.1	XP_008193660.1, XP_970247.1
OG0001341	NP_001313591.2	XP_008199365.1
OG0001342	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1	XP_008199415.1
OG0001343	XP_001942773.2	XP_015835564.1, XP_008194046.1
OG0001344	XP_016660225.1, XP_001943014.1	XP_967651.3
OG0001345	XP_001943716.2	XP_974634.1
OG0001346	XP_001943720.2, XP_029345723.1, XP_029345724.1	XP_008200257.1
OG0001347	XP_001944211.2, XP_016658906.1	XP_973080.2
OG0001348	XP_001944238.2	XP_008194100.1
OG0001349	XP_001944356.1	XP_008197983.1
OG0001350	XP_001944460.2	XP_015837465.1, XP_015837464.1
OG0001351	XP_001945250.1	XP_015832916.1, XP_971672.1
OG0001352	XP_001945276.1	XP_008199131.1
OG0001353	XP_001945743.2, XP_008186641.1	XP_015833130.1, XP_015833131.1, XP_970090.1
OG0001355	XP_008189594.1, XP_001946293.2	NP_001127921.1, XP_008197034.1
OG0001356	XP_003244441.1, XP_001946367.2, XP_016659772.1	XP_968380.1, NP_001280528.1
OG0001357	XP_001947400.1	XP_008195370.1
OG0001358	XP_003246991.1, XP_001947503.2	XP_008196120.1, XP_008196123.1
OG0001359	XP_001947632.1	XP_972884.1, XP_972109.3
OG0001360	XP_001947656.2	XP_968834.1
OG0001362	XP_001947761.1	XP_015835360.1, XP_008200476.1
OG0001363	XP_001947957.1	NP_001107813.1, XP_008193052.1
OG0001364	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1	XP_008201239.1, NP_001034514.1
OG0001365	XP_001948118.2	XP_971819.1
OG0001366	XP_001948171.2	XP_008195516.1
OG0001366	XP_001950714.1	XP_969992.1
OG0001367	XP_001948202.2, XP_003247502.1, XP_001951248.1	XP_974803.1, XP_008196057.2
OG0001368	XP_001948360.1	XP_968199.1
OG0001369	XP_001948582.1	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1
OG0001370	XP_001948788.2, XP_008187828.1	XP_008199205.1
OG0001371	XP_001948959.2	XP_974014.1, XP_015835087.1, XP_015835088.1
OG0001372	XP_001949037.2	XP_008194525.1
OG0001373	XP_001949375.2, XP_029342280.1	XP_968404.1, XP_015839616.1
OG0001374	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1	XP_001814181.1
OG0001375	XP_001949712.2	XP_008190523.1
OG0001376	XP_001949866.1, XP_029343706.1	XP_972494.1
OG0001377	XP_016657316.1, XP_001951160.1	XP_008192006.1
OG0001378	XP_001951169.1	XP_974170.1
OG0001379	XP_001951442.2, XP_003248624.2	XP_008200289.1
OG0001380	XP_001951739.1	XP_008198237.1
OG0001381	XP_001952158.1, XP_003244080.1	XP_970624.1, XP_015837364.1, XP_015837357.1
OG0001382	XP_001952349.1, XP_029347207.1	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1
OG0001383	XP_001952705.1	XP_008196388.1, XP_015837150.1
OG0001384	XP_003241026.1	XP_974696.2
OG0001385	XP_003242732.1	NP_001280529.1, XP_008200155.1, NP_001280662.1
OG0001386	XP_003242991.1, XP_029342070.1	XP_015836790.1
OG0001387	XP_003243016.1	XP_973997.3
OG0001388	XP_003243736.1	XP_008198472.1, XP_015839126.1
OG0001389	XP_003243952.1	XP_008191705.2, XP_015835153.1, XP_015835175.1
OG0001390	XP_003245614.1	XP_008196746.1
OG0001391	XP_003246597.1	XP_015835294.1
OG0001392	XP_003246638.2	XP_972774.2
OG0001393	XP_003246906.1	NP_001092812.1, XP_008191439.1
OG0001394	XP_003247560.1	XP_974474.1
OG0001395	XP_003248979.1, XP_029343280.1, XP_029343286.1	XP_015840232.1, XP_008197875.1
OG0001396	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2	XP_001807060.1
OG0001397	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1	XP_015840901.1, XP_015840903.1
OG0001398	XP_008179523.1	XP_008199101.1, XP_974850.1
OG0001399	XP_008180076.2, XP_008180968.1, XP_008181458.1	XP_015833723.1
OG0001400	XP_008180537.1	XP_008192848.1
OG0001401	XP_008182079.1	XP_966394.2
OG0001402	XP_008183444.1, XP_008183443.1	XP_973256.1
OG0001403	XP_008183955.3	XP_015834718.1
OG0001404	XP_008184962.1	XP_975540.1, XP_015837367.1
OG0001405	XP_008185959.1	XP_970709.2
OG0001406	XP_008186629.1	XP_001808764.1
OG0001408	XP_008186789.1	XP_973448.1
OG0001409	XP_008187143.1	XP_008201593.1
OG0001410	XP_008187332.1	XP_015837864.1, NP_001280533.1
OG0001411	XP_016656044.1, XP_029342489.1, XP_029348280.1, XP_029341270.1, XP_029342568.1, XP_029342569.1, XP_029347718.1, XP_029341249.1	XP_015837467.1
OG0001412	XP_016658040.1, XP_016658039.1, XP_029346343.1	XP_015833580.1
OG0001414	XP_016659986.1	XP_008192642.1, XP_008192641.1, XP_974537.1
OG0001415	XP_029344125.1, XP_029342285.1, XP_016662874.1	XP_015834284.1, XP_008197482.1, XP_008193316.1
OG0001416	XP_029341813.1	XP_008194088.1
OG0001417	XP_029342475.1	XP_973125.1
OG0001418	XP_029342978.1	XP_008191844.1
OG0001419	XP_029343365.1	XP_015838768.1, XP_015838769.1
OG0001420	XP_029343491.1	XP_015836480.1, XP_968142.1
OG0001421	XP_029344222.1, XP_029348214.1	XP_974319.1
OG0001422	XP_029344365.1	XP_971902.1
OG0001423	XP_029345673.1	XP_976493.2
OG0001424	XP_029346038.1, XP_029346037.1	XP_973684.1
OG0001425	XP_029346380.1	XP_015838773.1
OG0001426	XP_029346658.1	XP_015836693.1
OG0001427	XP_029347149.1	XP_008200281.1
OG0001453	NP_001155561.1, XP_008185637.1	XP_008192135.1, XP_974780.1
OG0001455	NP_001155669.1	XP_008195504.1, XP_008195463.1
OG0001456	XP_008180851.1, NP_001155699.1	XP_967649.1
OG0001457	NP_001155732.1	XP_972313.1
OG0001458	NP_001155827.1	XP_969998.1
OG0001459	NP_001156046.1	XP_008197038.1, XP_971056.1
OG0001460	NP_001156079.1	XP_968481.1
OG0001461	NP_001156162.1	XP_008195927.1
OG0001462	NP_001156167.1	XP_969537.1
OG0001463	XP_029341941.1, NP_001156195.1	XP_975612.1
OG0001464	NP_001156433.1, XP_008186733.1	XP_008192049.1, XP_008192050.1
OG0001465	NP_001156833.1	XP_970371.1
OG0001466	XP_008180032.1, NP_001161683.1	XP_971808.1
OG0001467	NP_001191928.1	XP_008190991.1
OG0001468	NP_001191993.1, XP_008189445.3	XP_969120.1, NP_001164201.1
OG0001469	XP_008181788.1, NP_001233056.1	XP_015835402.1
OG0001470	XP_008187948.1, NP_001280297.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1	XP_966863.1
OG0001472	NP_001280353.1	XP_974027.1
OG0001473	NP_001280376.1, XP_008185857.1	XP_969761.2
OG0001474	XP_029342002.1, NP_001280448.1	XP_008197149.1
OG0001475	XP_001942854.1	XP_008194014.1
OG0001476	XP_001942905.3	XP_008196197.1, XP_008196196.1, XP_015837812.1
OG0001477	XP_001942920.4	XP_008193717.1
OG0001478	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1	XP_971848.1
OG0001479	XP_001942962.2	XP_015835497.1
OG0001480	XP_001943003.1	XP_968112.1, XP_015840540.1
OG0001481	XP_001943151.1	XP_008192172.1, XP_008192171.1
OG0001482	XP_001943496.2	XP_008191953.1, XP_008191952.1
OG0001483	XP_001943861.2	XP_015832869.1
OG0001484	XP_001944106.1	XP_008197131.1
OG0001485	XP_001944507.2	XP_975329.1
OG0001486	XP_029341194.1, XP_001944825.2	XP_008197650.1, NP_001280513.1
OG0001487	XP_016661816.1, XP_001945106.1	XP_015833845.1
OG0001488	XP_001945549.2	XP_015834903.1
OG0001490	XP_003247638.1	XP_008196389.1, XP_974383.1, XP_008196042.1, XP_008195752.1
OG0001491	XP_001946011.2, XP_029342551.1	XP_970708.2
OG0001492	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1	XP_973907.1
OG0001493	XP_029343846.1, XP_001946376.2, XP_008183135.1	XP_001812538.1, XP_008194282.1
OG0001494	XP_001946881.2	XP_975427.2
OG0001495	XP_029344154.1	XP_975469.1
OG0001496	XP_008185249.2, XP_001946961.1	XP_008191879.1, XP_008191880.1
OG0001497	XP_001947222.2	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1
OG0001498	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2	XP_008200217.1, XP_969950.2
OG0001499	XP_001947444.2	XP_974456.3
OG0001500	XP_001947553.2	XP_015835209.1, NP_001280507.1
OG0001501	XP_001947628.2	XP_015833023.1
OG0001502	XP_001947678.4	XP_015833027.1
OG0001503	XP_001947953.1	XP_971310.1, XP_008195559.1
OG0001505	XP_001948092.2	XP_015839664.1, XP_970228.2, XP_015838048.1
OG0001506	XP_001949016.2	XP_973081.1
OG0001507	XP_001949195.2, XP_003243935.1	XP_008197549.1, XP_970874.1
OG0001508	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1	XP_008201537.1
OG0001509	XP_001949731.2	XP_008196908.1
OG0001510	XP_003246129.1, XP_001950257.2	XP_015838190.1
OG0001511	XP_001950295.2	XP_970235.1
OG0001512	XP_001950347.2, XP_003249003.2	XP_015838487.1
OG0001513	XP_029343494.1, XP_001950605.2	XP_008195017.1
OG0001514	XP_001950614.2, XP_008179295.1, XP_016656840.1	XP_968217.2
OG0001515	XP_001951016.1, XP_008188305.1, XP_008188306.1	XP_967539.1
OG0001516	XP_001951239.1, XP_008186532.1	XP_015836356.1
OG0001517	XP_001951328.2, XP_029346096.1	XP_970104.3
OG0001518	XP_001951365.1	XP_967543.1
OG0001519	XP_008183986.1, XP_001951874.2	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1
OG0001520	XP_001951964.1	XP_008194955.2
OG0001521	XP_001952287.2, XP_029347145.1	XP_008196004.1
OG0001521	XP_008181173.1	XP_015837067.1
OG0001522	XP_001952293.1	XP_008198803.1
OG0001523	XP_001952833.2	XP_008198896.1, XP_008198895.1
OG0001524	XP_003240924.1, XP_016664234.1	XP_008200329.1
OG0001525	XP_003241160.1	XP_969909.1
OG0001526	XP_003241167.1, XP_029345134.1, XP_008190230.1	XP_008190710.1
OG0001527	XP_003241208.1	XP_975382.1
OG0001529	XP_003242875.1	XP_008197492.1
OG0001530	XP_003243307.1	XP_972321.1
OG0001531	XP_003243327.1	XP_974940.1
OG0001532	XP_003243596.1	XP_008201526.1, XP_966735.2
OG0001533	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1	XP_015839661.1
OG0001534	XP_003244802.1	XP_969604.2
OG0001535	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1	XP_969480.1, XP_971061.2
OG0001536	XP_003245170.1	XP_015833087.1
OG0001537	XP_003245502.1, XP_008181113.1, XP_016661056.2	XP_972795.1
OG0001538	XP_003245941.1	NP_001280549.1, XP_015839552.1, NP_001076809.1, XP_008195552.1
OG0001539	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1
OG0001540	XP_003247868.1	XP_973817.2, XP_008200667.1
OG0001541	XP_003248759.2, XP_008188096.1	XP_968546.2
OG0001542	XP_029345676.1, XP_029345670.1, XP_003248868.3	XP_008192060.1
OG0001543	XP_008178488.1	XP_008199669.1
OG0001545	XP_008180179.1	XP_975212.1
OG0001546	XP_008180322.1	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1
OG0001547	XP_008181007.1	XP_008196118.1
OG0001549	XP_008181350.1, XP_008181345.1	XP_967893.2
OG0001551	XP_029344459.1, XP_008182508.1	XP_015832989.1
OG0001552	XP_029341108.1, XP_008182735.1	XP_008190770.1, XP_008190772.1
OG0001553	XP_008183385.1	XP_008200044.1
OG0001554	XP_008183450.2	XP_008193024.1
OG0001555	XP_029341218.1, XP_008184180.1, XP_029341220.1	XP_015835901.1
OG0001556	XP_008184251.1	XP_970686.2
OG0001557	XP_008184836.1	XP_015836089.1
OG0001557	XP_016661057.2	XP_008190378.1
OG0001559	XP_008185039.1	XP_015836282.1
OG0001560	XP_008186404.1, XP_016662679.1	XP_015837120.1, XP_015837119.1, XP_015837117.1
OG0001561	XP_029341351.1, XP_008186937.1, XP_029341646.1	XP_008201574.1
OG0001562	XP_016660440.1	XP_015833433.1, XP_008192389.1
OG0001563	XP_008187964.3	XP_008192558.1, XP_008192559.1
OG0001565	XP_008189936.1	XP_975257.1
OG0001566	XP_016655818.1	XP_015839880.1, XP_015839881.1, XP_015839388.1, XP_015834323.1, XP_008201287.1, XP_015835215.1, XP_015836111.1, XP_015833200.1, XP_015837869.1, XP_015837488.1, XP_015833749.1, XP_015837861.1, XP_015834539.1, XP_008201297.1, XP_015839374.1, XP_015835289.1, XP_015839894.1, XP_015833844.1, XP_015837108.1, XP_008194852.1, XP_008194496.1, XP_015840357.1, XP_015835534.1
OG0001567	XP_016658137.2	XP_974106.1
OG0001568	XP_016658644.1	XP_974421.1, XP_008195811.1
OG0001569	XP_016659072.1	XP_970921.1
OG0001570	XP_016659399.1	XP_974899.2
OG0001571	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1	XP_973610.2
OG0001572	XP_016661226.1, XP_029342072.1	XP_971371.1
OG0001573	XP_016661281.1	XP_015833275.1
OG0001574	XP_016661800.1, XP_029343877.1, XP_029343880.1, XP_029343879.1, XP_029343878.1, XP_016661798.1, XP_029343876.1	XP_008199698.1
OG0001575	XP_016665048.1	XP_970330.2, XP_968079.1, XP_001813340.1, XP_008197647.1
OG0001576	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1	XP_008193716.1
OG0001577	XP_029341940.1	XP_967646.1
OG0001579	XP_029343105.1, XP_029343104.1	XP_015836149.1
OG0001580	XP_029343957.1	XP_008201637.1, XP_967750.1
OG0001581	XP_029347791.1, XP_029344497.1	XP_968816.1
OG0001582	XP_029345144.1	XP_015840194.1
OG0001583	XP_029345306.1	XP_008194225.1, XP_015835660.1
OG0001584	XP_029346124.1	XP_008195851.1
OG0001586	XP_029346801.1	XP_967561.1, XP_972037.1
OG0001587	XP_029347036.1	XP_968197.1
OG0001588	XP_029347321.1, XP_029348055.1	XP_015834889.1
OG0001589	XP_029348255.1	XP_008197702.1, XP_008192720.1, XP_015836948.1
OG0001614	NP_001119609.1	XP_008194443.1, NP_001139415.1
OG0001615	NP_001165434.1, NP_001119664.1	XP_967910.1
OG0001616	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1	XP_967918.1, XP_015837909.1
OG0001617	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1	XP_973076.1
OG0001618	NP_001155471.1, XP_029343741.1, XP_029343739.1, XP_016661488.1, XP_001948300.3, XP_029343740.1	XP_015834806.1
OG0001619	XP_008189793.1, XP_008180212.1, NP_001155629.1	XP_968073.1
OG0001620	NP_001155671.1	XP_967558.1
OG0001621	XP_029344967.1, NP_001155770.1, XP_008187262.1	XP_008194243.1
OG0001622	XP_008180830.1, NP_001155791.1	XP_008194474.1, XP_001811901.2
OG0001623	NP_001155857.1	XP_974776.1, XP_974759.1
OG0001624	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1	NP_001153783.1
OG0001625	NP_001156134.1	XP_973818.1
OG0001626	NP_001156141.1	XP_967659.3
OG0001627	NP_001156148.1, XP_008185366.1	XP_008198503.1
OG0001628	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2	XP_015840508.1
OG0001629	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1	XP_968147.1, XP_008195384.1
OG0001630	NP_001156347.1, XP_016659252.1	XP_967133.1, XP_008193096.2
OG0001631	NP_001156438.1, XP_001948292.4, XP_016660627.1	XP_008198296.1, XP_008198297.1
OG0001632	XP_008183084.1, NP_001156712.1	XP_008198970.1
OG0001633	NP_001232954.1	XP_008195201.1
OG0001634	NP_001233050.1	XP_008190427.1
OG0001635	NP_001280462.1	XP_972058.1
OG0001636	NP_001313576.1	XP_001808212.1
OG0001637	NP_001313606.1	XP_968378.1
OG0001638	XP_001942629.2	XP_974870.1
OG0001639	XP_001942635.2	XP_008190658.1, XP_969463.1
OG0001640	XP_001944671.1, XP_001942710.1, XP_008187704.1	XP_968671.1, XP_968743.1
OG0001641	XP_001942933.2	NP_001161257.1
OG0001642	XP_001943211.1, XP_001943270.1, XP_008181942.1	XP_975475.2
OG0001643	XP_029343701.1, XP_029343702.1, XP_001944079.1, XP_008187007.1, XP_001943383.1, XP_016656484.1, XP_016665011.1	XP_015838711.1, XP_008197729.1, XP_015838712.1
OG0001645	XP_001944045.2	XP_968472.1
OG0001646	XP_001944173.2	XP_015836692.1
OG0001647	XP_029343557.1, XP_001944181.1, XP_003248804.3, XP_029341067.1	XP_008196907.1
OG0001648	XP_001944186.1	XP_970811.3
OG0001649	XP_001944730.2	XP_968588.1
OG0001650	XP_001945180.1	XP_008196718.1
OG0001651	XP_001945607.2	XP_008201666.1
OG0001652	XP_001945713.2	XP_008201098.1
OG0001653	XP_029345245.1	XP_972146.1
OG0001653	XP_001945941.2	XP_969495.1
OG0001655	XP_001946635.1	XP_968200.2
OG0001656	XP_001946836.2	XP_966649.1
OG0001657	XP_029341082.1, XP_001946895.2	XP_972931.1
OG0001658	XP_016663561.1, XP_001948609.1, XP_001947103.1	XP_008194959.1
OG0001659	XP_001947555.1, XP_016661886.1	XP_008200384.1
OG0001660	XP_016659421.1, XP_001947974.1, XP_029342385.1, XP_008182235.1, XP_008182228.1	XP_975550.1
OG0001661	XP_001948336.2, XP_008187588.1	XP_008198980.1
OG0001662	XP_001948434.2	XP_015838476.1
OG0001663	XP_001948502.1	XP_008195710.1
OG0001664	XP_001948999.2	NP_001135406.1, XP_015836766.1
OG0001665	XP_001949124.1	XP_008200528.1
OG0001666	XP_001949417.2	XP_966660.1
OG0001667	XP_016660819.2, XP_001949587.4, XP_016660818.2, XP_008182459.1, XP_008187915.2	XP_970532.1
