Orthogroup	Acyrthosiphon_pisum	Osmia_bicornis
OG0000971	XP_008187914.1	XP_029036711.1
OG0000972	XP_008189931.1, XP_029343272.1, XP_016657202.1	XP_029049715.1, XP_029049714.1
OG0000973	XP_016656963.1	XP_029043587.1
OG0000974	XP_016657883.1	XP_029037631.1
OG0000975	XP_016660728.1, XP_029346858.1	XP_029033838.1, XP_029033818.1
OG0000976	XP_016661759.1, XP_016661760.1	XP_029056457.1
OG0000977	XP_016662161.1	XP_029055763.1
OG0000978	XP_016663179.1	XP_029053840.1, XP_029049203.1
OG0000979	XP_029341765.1, XP_029341057.1, XP_029341501.1	XP_029053633.1, XP_029049951.1, XP_029049957.1, XP_029053646.1
OG0000980	XP_029342234.1, XP_029345153.1, XP_029346342.1	XP_029041308.1
OG0000981	XP_029343351.1, XP_029342235.1	XP_029034547.1, XP_029034546.1, XP_029034558.1, XP_029034556.1, XP_029034557.1, XP_029034549.1, XP_029034548.1
OG0000982	XP_029343197.1	XP_029050533.1
OG0000983	XP_029344536.1	XP_029036486.1
OG0000984	XP_029345642.1	XP_029048597.1
OG0000985	XP_029345675.1	XP_029039973.1
OG0000986	XP_029345917.1	XP_029045505.1
OG0000987	XP_029347197.1	XP_029049566.1, XP_029056671.1
OG0000988	XP_029347512.1	XP_029051114.1, XP_029051104.1, XP_029051096.1
OG0000992	NP_001119688.1, XP_008186477.1	XP_029044482.1, XP_029044481.1, XP_029044483.1
OG0000993	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1	XP_029041608.1, XP_029041607.1
OG0000994	NP_001155677.1	XP_029055943.1, XP_029055944.1
OG0000995	NP_001156043.1, NP_001155760.1	XP_029047694.1, XP_029047693.1, XP_029047695.1, XP_029042712.1
OG0000996	XP_029347277.1, NP_001155868.1	XP_029049361.1, XP_029049360.1, XP_029049359.1
OG0000997	XP_001949764.1	XP_029042197.1
OG0000999	NP_001162142.1	XP_029044288.1
OG0001000	NP_001233031.1, XP_008178887.1	XP_029054033.1
OG0001001	XP_008185400.1, NP_001233092.1	XP_029035591.1
OG0001002	NP_001233101.1	XP_029040949.1, XP_029040852.1
OG0001003	NP_001268887.1, XP_016656764.1	XP_029050557.1, XP_029050556.1, XP_029050555.1
OG0001004	XP_001946521.1	XP_029039774.1
OG0001005	XP_001942942.1	XP_029032814.1, XP_029032816.1, XP_029032811.1, XP_029032812.1, XP_029032810.1, XP_029032815.1
OG0001006	XP_001943026.2	XP_029037605.1, XP_029037606.1
OG0001007	XP_029344489.1, XP_001943043.1	XP_029045334.1
OG0001008	XP_003246086.1, XP_001943103.2	XP_029042780.1
OG0001009	XP_001943449.2	XP_029052897.1, XP_029050185.1
OG0001010	XP_001943636.2, XP_001943523.1	XP_029032466.1, XP_029032465.1, XP_029032464.1
OG0001011	XP_001943714.1	XP_029047075.1, XP_029047074.1, XP_029047073.1
OG0001012	XP_001944015.1	XP_029042079.1, XP_029042080.1, XP_029042081.1, XP_029042082.1, XP_029042083.1, XP_029042088.1, XP_029042087.1, XP_029042086.1, XP_029042084.1
OG0001013	XP_008180675.1, XP_003248807.2, XP_001944587.3	XP_029039346.1
OG0001014	XP_001944614.1	XP_029032139.1, XP_029032135.1, XP_029032137.1, XP_029032138.1
OG0001015	XP_001944801.1	XP_029033343.1
OG0001016	XP_001945112.2	XP_029042494.1, XP_029051366.1
OG0001017	XP_001945330.2, XP_016655808.2	XP_029039773.1, XP_029039782.1
OG0001018	XP_001946341.1	XP_029048137.1
OG0001019	XP_001946692.2	XP_029032638.1, XP_029032640.1, XP_029032637.1, XP_029032636.1
OG0001020	XP_001946841.2	XP_029049878.1, XP_029049879.1
OG0001021	XP_001947318.2, XP_003242586.1, XP_003242585.1	XP_029042622.1
OG0001022	XP_001947414.2	XP_029052346.1
OG0001023	XP_001947762.1, XP_008180348.1	XP_029049146.1, XP_029049147.1, XP_029049148.1, XP_029049145.1, XP_029049152.1, XP_029049151.1, XP_029049154.1, XP_029049153.1, XP_029049156.1, XP_029049155.1, XP_029049150.1
OG0001025	XP_029343659.1, XP_001948094.2	XP_029034473.1
OG0001026	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1	XP_029044736.1
OG0001027	XP_001948533.1	XP_029036458.1
OG0001028	XP_001948556.2	XP_029034147.1, XP_029034146.1, XP_029048377.1
OG0001029	XP_008190084.1, XP_029342788.1	XP_029040354.1
OG0001030	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2	XP_029046873.1
OG0001031	XP_001949042.1	XP_029038026.1, XP_029038025.1, XP_029038027.1
OG0001032	XP_001949161.2	XP_029048829.1
OG0001033	XP_001949643.1	XP_029055477.1
OG0001034	XP_001949856.2, XP_016659465.1	XP_029045481.1
OG0001035	XP_001949960.1	XP_029051067.1, XP_029051065.1, XP_029051066.1
OG0001036	XP_001950214.2	XP_029032506.1
OG0001037	XP_029343413.1, XP_001950704.2	XP_029047320.1, XP_029047321.1
OG0001038	XP_003245753.1, XP_001951213.2	XP_029048724.1
OG0001039	XP_001952170.1	XP_029039205.1, XP_029039203.1, XP_029039207.1, XP_029039206.1, XP_029039204.1
OG0001040	XP_001952444.1	XP_029050908.1
OG0001041	XP_003240137.1	XP_029044226.1, XP_029044131.1, XP_029044233.1, XP_029044142.1
OG0001042	XP_003242156.1, XP_016657148.2	XP_029054737.1
OG0001043	XP_003242212.1, XP_016657192.1	XP_029055645.1, XP_029055643.1
OG0001044	XP_029345616.1, XP_003246254.2	XP_029039551.1, XP_029039554.1, XP_029039553.1, XP_029039552.1
OG0001045	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1	XP_029038178.1
OG0001046	XP_003247064.1, XP_008186797.1	XP_029033215.1
OG0001048	XP_029341307.1, XP_008178442.1	XP_029042596.1, XP_029042592.1
OG0001049	XP_008180098.1	XP_029038759.1
OG0001050	XP_016657682.1, XP_008180288.1	XP_029035499.1, XP_029035505.1, XP_029035503.1
OG0001051	XP_008189529.1, XP_008180713.1, XP_016656400.1	XP_029048869.1, XP_029048868.1, XP_029048867.1, XP_029048866.1, XP_029048864.1, XP_029048863.1
OG0001052	XP_008182858.1, XP_008182857.1	XP_029042816.1
OG0001053	XP_008184495.1	XP_029038592.1, XP_029038594.1
OG0001054	XP_008185488.1, XP_008185487.1, XP_029347617.1	XP_029042261.1
OG0001055	XP_008187614.1	XP_029036135.1, XP_029036136.1
OG0001056	XP_008187892.1	XP_029031887.1, XP_029031888.1
OG0001057	XP_008187989.1	XP_029036446.1
OG0001058	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1	XP_029044548.1, XP_029044550.1, XP_029044549.1
OG0001059	XP_008188476.1	XP_029037144.1
OG0001060	XP_008188543.1	XP_029035952.1
OG0001061	XP_016655779.1	XP_029033485.1
OG0001062	XP_029341858.1, XP_016661068.1, XP_016665035.1	XP_029054718.1
OG0001062	XP_016664545.1	XP_029042401.1
OG0001063	XP_029341043.1, XP_016656351.2, XP_029341494.1	XP_029055541.1
OG0001064	XP_016662408.1	XP_029050285.1, XP_029050284.1
OG0001065	XP_016662735.1	XP_029039757.1, XP_029039761.1
OG0001066	XP_029341094.1	XP_029049769.1, XP_029049767.1, XP_029049765.1
OG0001067	XP_029347427.1, XP_029342601.1	XP_029051320.1
OG0001068	XP_029342993.1, XP_029342992.1	XP_029032491.1, XP_029032489.1, XP_029032492.1
OG0001069	XP_029343159.1	XP_029039110.1
OG0001070	XP_029343506.1, XP_029343509.1	XP_029038094.1
OG0001071	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1	XP_029038754.1, XP_029038757.1
OG0001072	XP_029346976.1, XP_029346977.1	XP_029036139.1
OG0001090	NP_001129420.1	XP_029035828.1, XP_029035829.1
OG0001091	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2	XP_029042367.1
OG0001092	NP_001155140.1, XP_008187000.1	XP_029041411.1, XP_029041417.1
OG0001093	XP_008179870.1, NP_001155505.1	XP_029052430.1
OG0001094	NP_001155508.1, XP_001949834.1	XP_029040747.1
OG0001095	NP_001156278.1, NP_001155646.1	XP_029053522.1, XP_029053521.1
OG0001096	NP_001155662.1	XP_029049861.1, XP_029049860.1
OG0001097	NP_001155680.1	XP_029033463.1, XP_029033461.1, XP_029033617.1, XP_029033618.1, XP_029033619.1, XP_029033462.1
OG0001098	XP_016661622.1, NP_001155733.1	XP_029040270.1, XP_029040272.1, XP_029040271.1, XP_029040273.1
OG0001099	XP_029348134.1, NP_001155764.1	XP_029043263.1
OG0001100	NP_001155768.1	XP_029052252.1, XP_029052254.1, XP_029052253.1, XP_029052987.1, XP_029052770.1
OG0001101	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1	XP_029049684.1, XP_029049686.1
OG0001102	NP_001156053.1	XP_029048236.1
OG0001103	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1	XP_029052972.1
OG0001104	NP_001156133.1, XP_008181357.1	XP_029052508.1, XP_029052510.1, XP_029052509.1
OG0001105	NP_001156173.1, NP_001233027.1	XP_029054827.1
OG0001106	XP_029341550.1, NP_001156267.1	XP_029041177.1
OG0001107	NP_001233091.1, XP_001946336.2	XP_029052344.1
OG0001108	XP_008181413.1, XP_008181414.1, NP_001280378.1	XP_029044267.1
OG0001109	XP_008188103.1, NP_001280404.1, XP_029343710.1	XP_029046831.1, XP_029046830.1
OG0001110	XP_001942870.1, XP_029341142.1	XP_029046508.1, XP_029046507.1, XP_029046506.1
OG0001111	XP_001943176.2	XP_029037927.1, XP_029037928.1, XP_029037929.1, XP_029037931.1, XP_029037930.1, XP_029037932.1
OG0001112	XP_001943561.1	XP_029040677.1, XP_029040673.1, XP_029040674.1, XP_029040676.1
OG0001113	XP_001943767.1	XP_029043899.1, XP_029043897.1, XP_029043898.1, XP_029043896.1
OG0001114	XP_001943824.1	XP_029044551.1
OG0001115	XP_001944095.2	XP_029044316.1
OG0001116	XP_001944235.1	XP_029044697.1, XP_029044695.1
OG0001117	XP_001944518.2	XP_029034435.1, XP_029034437.1, XP_029034441.1, XP_029034440.1, XP_029034442.1, XP_029034439.1, XP_029034438.1
OG0001118	XP_001944745.2, XP_003242948.1	XP_029056583.1, XP_029056584.1
OG0001119	XP_001945455.1	XP_029052870.1, XP_029052869.1
OG0001120	XP_001945509.2, XP_003245192.1	XP_029038374.1
OG0001121	XP_003240109.1, XP_001945890.2	XP_029037837.1
OG0001122	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1	XP_029034278.1, XP_029034279.1
OG0001123	XP_001946462.2	XP_029034817.1, XP_029034816.1, XP_029034815.1, XP_029034813.1
OG0001124	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1	XP_029039585.1, XP_029039586.1
OG0001125	XP_003242835.1, XP_001947132.2	XP_029051981.1, XP_029051962.1, XP_029051973.1
OG0001126	XP_016657415.1, XP_001947403.1	XP_029053674.1
OG0001127	XP_001947574.2	XP_029032528.1, XP_029032523.1
OG0001128	XP_001947778.1, XP_008186751.2	XP_029055536.1
OG0001129	XP_003243491.1, XP_001947806.2	XP_029051308.1
OG0001130	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1	XP_029052405.1
OG0001131	XP_008187678.1, XP_001947895.2	XP_029032784.1, XP_029032780.1
OG0001132	XP_001948183.1	XP_029042983.1, XP_029042982.1, XP_029042981.1, XP_029042980.1, XP_029042984.1, XP_029042985.1
OG0001133	XP_008181566.1, XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2	XP_029047314.1
OG0001134	XP_001948516.2	XP_029044504.1, XP_029044501.1
OG0001135	XP_029341736.1, XP_001949162.2, XP_016662877.1	XP_029047386.1, XP_029047385.1, XP_029047387.1, XP_029047388.1
OG0001136	XP_001949200.2	XP_029038494.1, XP_029038493.1, XP_029038492.1
OG0001137	XP_001949566.1	XP_029050110.1
OG0001138	XP_016659058.1, XP_001949598.1	XP_029042629.1, XP_029042628.1
OG0001139	XP_001949754.1	XP_029047728.1
OG0001140	XP_001950299.1	XP_029042965.1, XP_029042966.1, XP_029042964.1, XP_029042967.1
OG0001141	XP_016663836.1, XP_001950325.2	XP_029035195.1
OG0001142	XP_001950807.2, XP_029346999.1	XP_029050954.1
OG0001143	XP_001950810.1	XP_029033572.1, XP_029033573.1, XP_029033528.1, XP_029033530.1, XP_029033529.1, XP_029033576.1, XP_029033575.1
OG0001144	XP_001950825.2	XP_029040835.1, XP_029040831.1
OG0001145	XP_001950913.1	XP_029038713.1
OG0001146	XP_001950937.1	XP_029042796.1
OG0001147	XP_001950988.1	XP_029047014.1, XP_029047015.1, XP_029047016.1, XP_029047017.1, XP_029047018.1, XP_029047019.1
OG0001148	XP_001951126.1	XP_029048848.1
OG0001149	XP_001951630.1	XP_029049802.1, XP_029049812.1
OG0001150	XP_001951748.2, XP_008183754.1, XP_029346633.1	XP_029047767.1, XP_029047758.1, XP_029047768.1
OG0001151	XP_016658645.1, XP_001952434.2	XP_029035402.1
OG0001152	XP_001952516.2	XP_029053553.1
OG0001153	XP_029345485.1, XP_001952587.2	XP_029035877.1, XP_029035905.1
OG0001154	XP_016662028.1, XP_001952667.2	XP_029045919.1
OG0001155	XP_001952747.1	XP_029032053.1, XP_029032052.1, XP_029032051.1
OG0001156	XP_016664861.1, XP_003241429.1	XP_029051453.1
OG0001157	XP_003243823.1	XP_029035770.1
OG0001158	XP_016659863.1, XP_003244542.1, XP_016659864.1	XP_029055511.1, XP_029055510.1
OG0001159	XP_003245082.1	XP_029042722.1, XP_029042723.1, XP_029042724.1, XP_029042725.1
OG0001160	XP_003245361.2	XP_029033349.1
OG0001161	XP_008183803.1, XP_003246305.2	XP_029037662.1
OG0001162	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1	XP_029046438.1, XP_029046430.1, XP_029046437.1
OG0001163	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1	XP_029037773.1, XP_029037772.1
OG0001164	XP_003247679.1	XP_029053566.1
OG0001165	XP_008179184.1, XP_008179192.1	XP_029034472.1, XP_029034470.1
OG0001166	XP_008179444.1	XP_029053494.1, XP_029053493.1
OG0001167	XP_008181511.1, XP_008181512.1	XP_029053014.1, XP_029053013.1, XP_029053011.1
OG0001168	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1	XP_029054095.1, XP_029054096.1
OG0001169	XP_008183336.1, XP_029345140.1	XP_029041844.1
OG0001170	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1	XP_029055748.1
OG0001171	XP_008183856.1	XP_029047001.1, XP_029047000.1
OG0001172	XP_008184424.1	XP_029043903.1
OG0001173	XP_008184447.1	XP_029044928.1
OG0001174	XP_029345281.1, XP_008185305.1	XP_029043193.1, XP_029043192.1, XP_029034609.1
OG0001175	XP_008185682.1	XP_029047430.1
OG0001176	XP_008188774.1	XP_029055939.1, XP_029055940.1
OG0001177	XP_008189302.1	XP_029055126.1, XP_029054965.1, XP_029053768.1, XP_029055039.1, XP_029054978.1, XP_029055235.1, XP_029054563.1, XP_029048391.1
OG0001178	XP_008189853.1	XP_029054667.1
OG0001179	XP_008190154.1	XP_029051416.1, XP_029051417.1, XP_029051415.1, XP_029051413.1, XP_029051418.1
OG0001180	XP_016657120.1	XP_029047573.1, XP_029047580.1
OG0001181	XP_016657278.1	XP_029049183.1, XP_029051531.1
OG0001182	XP_016657683.1	XP_029044906.1, XP_029044903.1
OG0001183	XP_029343309.1, XP_016658013.1	XP_029033810.1, XP_029033802.1
OG0001184	XP_016659463.1	XP_029050580.1, XP_029050579.1
OG0001185	XP_016660106.1, XP_016660104.1, XP_016660111.1	XP_029046656.1, XP_029040340.1
OG0001186	XP_016660542.1, XP_016660541.1	XP_029044269.1, XP_029044268.1, XP_029044270.1
OG0001187	XP_016661530.1, XP_029346066.1	XP_029049604.1
OG0001188	XP_016664405.1, XP_016662933.1	XP_029052229.1
OG0001189	XP_029343923.1	XP_029032794.1
OG0001190	XP_029344471.1	XP_029040704.1, XP_029040702.1
OG0001191	XP_029346223.1	XP_029039512.1
OG0001192	XP_029346448.1	XP_029042874.1
OG0001193	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1	XP_029046377.1
OG0001214	NP_001153813.1, NP_001153811.1, NP_001153812.1	XP_029054862.1
OG0001215	NP_001153873.1, XP_029347957.1	XP_029045433.1
OG0001216	NP_001153944.1, XP_003249047.1	XP_029055442.1
OG0001217	NP_001155454.1	XP_029042268.1, XP_029042267.1, XP_029042269.1
OG0001218	NP_001155457.1, XP_008179466.1	XP_029056113.1
OG0001219	NP_001155464.1, XP_001949090.1, XP_003248969.1	XP_029045176.1
OG0001220	NP_001155533.1	XP_029042303.1, XP_029042298.1, XP_029042297.1, XP_029042302.1, XP_029042301.1, XP_029042300.1, XP_029042299.1, XP_029042304.1
OG0001221	XP_001951050.1	XP_029045089.1
OG0001222	NP_001155665.2, NP_001156815.1	XP_029045829.1, XP_029045830.1
OG0001223	XP_008182091.1, NP_001155667.1	XP_029052640.1
OG0001224	NP_001156103.1	XP_029042408.1, XP_029042403.1
OG0001225	NP_001156193.1	XP_029035023.1, XP_029035022.1
OG0001226	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1	XP_029041431.1
OG0001228	XP_001947886.1, NP_001280309.1	XP_029040917.1, XP_029040916.1
OG0001229	NP_001280441.1	XP_029037330.1, XP_029037329.1
OG0001230	XP_008184848.1, NP_001280446.1	XP_029048697.1
OG0001231	XP_001943183.2, XP_008186393.1	XP_029043785.1
OG0001231	NP_001313598.1	XP_029043778.1
OG0001232	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3	XP_029032285.1, XP_029032284.1
OG0001233	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2	XP_029038609.1
OG0001234	XP_001943476.2	XP_029052110.1
OG0001236	XP_001944534.1	XP_029042136.1
OG0001237	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1	XP_029042680.1
OG0001238	XP_008188368.1, XP_001945158.2, XP_001950494.2	XP_029034896.1
OG0001239	XP_001945277.2, XP_008183013.1, XP_016656349.1	XP_029048880.1, XP_029048879.1
OG0001240	XP_001945375.1	XP_029048972.1
OG0001241	XP_029343094.1, XP_029343095.1, XP_001946090.2	XP_029054682.1, XP_029054684.1
OG0001242	XP_001946147.2	XP_029035172.1
OG0001243	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1	XP_029049046.1
OG0001244	XP_001946280.2	XP_029049729.1, XP_029049728.1, XP_029049726.1, XP_029049725.1
OG0001245	XP_001946431.1	XP_029040097.1, XP_029040096.1, XP_029040099.1, XP_029040098.1
OG0001246	XP_001947027.2	XP_029051610.1
OG0001247	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1	XP_029045546.1, XP_029045545.1
OG0001248	XP_008180352.1, XP_001947336.2	XP_029037526.1
OG0001249	XP_008179609.1, XP_001947420.1	XP_029040827.1
OG0001250	XP_001947917.2	XP_029034862.1
OG0001251	XP_029344523.1, XP_029344522.1, XP_001948243.2	XP_029032473.1
OG0001252	XP_001948261.1	XP_029045781.1
OG0001253	XP_001948411.2, XP_008187442.1	XP_029035396.1
OG0001254	XP_001948594.2	XP_029037110.1, XP_029037103.1
OG0001255	XP_001948774.2	XP_029053483.1, XP_029051376.1
OG0001256	XP_001949446.1	XP_029044274.1, XP_029044168.1
OG0001257	XP_001949480.1	XP_029035352.1, XP_029035342.1, XP_029035333.1
OG0001258	XP_001949498.2	XP_029047866.1, XP_029047816.1
OG0001259	XP_001949584.1, XP_008184333.1, XP_003242568.1	XP_029050142.1
OG0001260	XP_001950152.1	XP_029047658.1, XP_029047659.1
OG0001261	XP_001950183.1	XP_029047959.1, XP_029047956.1, XP_029047957.1, XP_029047955.1, XP_029047960.1, XP_029047958.1
OG0001262	XP_001950417.1	XP_029042726.1, XP_029042727.1, XP_029042729.1
OG0001263	XP_001950431.1	XP_029047815.1
OG0001264	XP_001950522.1, XP_016657964.1	XP_029038702.1
OG0001265	XP_029347050.1, XP_001950878.2	XP_029031886.1
OG0001266	XP_001950947.2	XP_029036652.1, XP_029036654.1, XP_029036649.1, XP_029036651.1, XP_029036650.1, XP_029036657.1, XP_029036656.1, XP_029036658.1, XP_029036659.1, XP_029036653.1
OG0001267	XP_001951732.1	XP_029052974.1
OG0001268	XP_001952629.1, XP_008187935.1	XP_029051876.1, XP_029034629.1
OG0001269	XP_003240957.1	XP_029043954.1, XP_029043956.1, XP_029043958.1
OG0001270	XP_003241121.1	XP_029045617.1
OG0001271	XP_029342269.1, XP_029342268.1	XP_029037440.1
OG0001272	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1	XP_029038215.1
OG0001273	XP_029341105.1, XP_003243017.1	XP_029048682.1, XP_029048679.1
OG0001274	XP_003243163.1, XP_029347052.1	XP_029055752.1, XP_029055753.1, XP_029055749.1, XP_029055751.1, XP_029055754.1
OG0001275	XP_003243501.1	XP_029036953.1, XP_029036954.1
OG0001277	XP_003243733.1	XP_029046168.1
OG0001278	XP_003244422.1	XP_029045825.1, XP_029045826.1, XP_029045828.1
OG0001279	XP_008183368.1, XP_003244722.1	XP_029046065.1
OG0001280	XP_003245599.2	XP_029048608.1
OG0001281	XP_003246179.1	XP_029044752.1, XP_029044751.1, XP_029044755.1
OG0001282	XP_003248149.1	XP_029050569.1, XP_029050570.1, XP_029050571.1, XP_029050573.1, XP_029050568.1
OG0001283	XP_003248478.1	XP_029052096.1
OG0001284	XP_008182531.1, XP_003248714.1	XP_029037069.1
OG0001286	XP_008178165.1	XP_029038422.1
OG0001287	XP_008178607.1	XP_029048784.1
OG0001288	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1	XP_029045434.1
OG0001289	XP_008181498.1	XP_029046337.1
OG0001290	XP_016657448.1, XP_008181527.1	XP_029049968.1, XP_029049973.1
OG0001291	XP_029343815.1, XP_008184750.1, XP_008184749.1	XP_029056056.1
OG0001292	XP_029343143.1, XP_008185152.1	XP_029032746.1, XP_029032747.1
OG0001293	XP_008185156.1	XP_029040029.1, XP_029040028.1, XP_029040030.1
OG0001294	XP_008186956.1	XP_029039533.1
OG0001295	XP_008187592.1	XP_029041356.1
OG0001296	XP_008189116.1	XP_029043030.1
OG0001297	XP_016660608.1, XP_029344634.1, XP_029341127.1	XP_029048335.1
OG0001298	XP_016657557.1	XP_029038752.1
OG0001299	XP_016659670.1, XP_016659669.1	XP_029047245.1, XP_029047244.1
OG0001300	XP_016660087.1	XP_029041664.1
OG0001301	XP_016660634.1, XP_016660633.1	XP_029051368.1
OG0001302	XP_029347289.1	XP_029053379.1
OG0001303	XP_029341792.1	XP_029032106.1
OG0001304	XP_029342867.1	XP_029036818.1, XP_029036817.1
OG0001305	XP_029348564.1, XP_029342894.1	XP_029047272.1
OG0001306	XP_029344330.1	XP_029045544.1, XP_029045539.1
OG0001307	XP_029345473.1	XP_029042062.1
OG0001308	XP_029346361.1, XP_029346360.1	XP_029038996.1
OG0001329	NP_001155492.1, XP_029344755.1	XP_029032327.1
OG0001330	NP_001155497.1, XP_008186537.1	XP_029042912.1, XP_029042913.1, XP_029042914.1, XP_029042915.1
OG0001331	NP_001155755.1	XP_029051541.1, XP_029051540.1, XP_029051867.1, XP_029051868.1
OG0001332	XP_001952298.1, NP_001155769.1	XP_029033214.1
OG0001333	NP_001155777.1	XP_029044746.1, XP_029044745.1
OG0001334	NP_001191927.1, NP_001156237.1	XP_029032222.1
OG0001335	XP_016663531.1, NP_001156244.1	XP_029040504.1
OG0001337	NP_001191891.1	XP_029038364.1
OG0001338	NP_001191907.1, XP_008181953.1	XP_029037588.1
OG0001339	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1	XP_029032885.1
OG0001340	NP_001280445.1	XP_029050499.1
OG0001341	NP_001313591.2	XP_029034457.1
OG0001342	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1	XP_029036316.1, XP_029036318.1, XP_029036317.1
OG0001343	XP_001942773.2	XP_029039156.1, XP_029043379.1
OG0001344	XP_016660225.1, XP_001943014.1	XP_029047967.1, XP_029047966.1
OG0001345	XP_001943716.2	XP_029036453.1, XP_029036454.1, XP_029036456.1, XP_029036455.1
OG0001346	XP_001943720.2, XP_029345723.1, XP_029345724.1	XP_029034209.1, XP_029034208.1, XP_029034207.1, XP_029034206.1, XP_029034210.1
OG0001347	XP_001944211.2, XP_016658906.1	XP_029040682.1, XP_029040683.1
OG0001348	XP_001944238.2	XP_029046770.1
OG0001349	XP_001944356.1	XP_029036960.1, XP_029036961.1
OG0001350	XP_001944460.2	XP_029056373.1
OG0001351	XP_001945250.1	XP_029039548.1, XP_029039547.1, XP_029039546.1, XP_029039544.1
OG0001352	XP_001945276.1	XP_029039001.1, XP_029039002.1
OG0001353	XP_001945743.2, XP_008186641.1	XP_029037693.1
OG0001354	XP_001945744.2	XP_029048678.1
OG0001355	XP_008189594.1, XP_001946293.2	XP_029048591.1
OG0001356	XP_003244441.1, XP_001946367.2, XP_016659772.1	XP_029050251.1
OG0001357	XP_001947400.1	XP_029035295.1
OG0001358	XP_003246991.1, XP_001947503.2	XP_029045950.1, XP_029045943.1
OG0001359	XP_001947632.1	XP_029050983.1
OG0001360	XP_001947656.2	XP_029052556.1
OG0001361	XP_001947660.2	XP_029033187.1, XP_029033186.1, XP_029033188.1
OG0001362	XP_001947761.1	XP_029043889.1, XP_029043891.1
OG0001363	XP_001947957.1	XP_029052706.1, XP_029044244.1, XP_029043395.1
OG0001364	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1	XP_029042894.1
OG0001365	XP_001948118.2	XP_029037460.1, XP_029037461.1
OG0001366	XP_001948171.2	XP_029046084.1
OG0001368	XP_001948360.1	XP_029054149.1, XP_029054153.1
OG0001369	XP_001948582.1	XP_029047264.1, XP_029047262.1, XP_029047263.1
OG0001370	XP_001948788.2, XP_008187828.1	XP_029032157.1, XP_029032156.1
OG0001371	XP_001948959.2	XP_029039828.1, XP_029039862.1, XP_029039838.1, XP_029039848.1, XP_029039856.1
OG0001372	XP_001949037.2	XP_029036670.1, XP_029036648.1, XP_029036647.1
OG0001373	XP_001949375.2, XP_029342280.1	XP_029038583.1
OG0001374	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1	XP_029037603.1, XP_029037604.1, XP_029037601.1, XP_029037602.1
OG0001375	XP_001949712.2	XP_029035918.1, XP_029035922.1
OG0001376	XP_001949866.1, XP_029343706.1	XP_029039213.1
OG0001377	XP_016657316.1, XP_001951160.1	XP_029053475.1
OG0001378	XP_001951169.1	XP_029055326.1
OG0001379	XP_001951442.2, XP_003248624.2	XP_029041466.1
OG0001380	XP_001951739.1	XP_029032982.1
OG0001381	XP_001952158.1, XP_003244080.1	XP_029040972.1
OG0001382	XP_001952349.1, XP_029347207.1	XP_029044693.1
OG0001383	XP_001952705.1	XP_029053750.1
OG0001384	XP_003241026.1	XP_029052476.1
OG0001385	XP_003242732.1	XP_029036528.1
OG0001386	XP_003242991.1, XP_029342070.1	XP_029046067.1
OG0001387	XP_003243016.1	XP_029036625.1
OG0001388	XP_003243736.1	XP_029046509.1
OG0001389	XP_003243952.1	XP_029037728.1
