Orthogroup	Acyrthosiphon_pisum	Apis_mellifera
OG0001029	XP_008190084.1, XP_029342788.1	XP_026300196.1, XP_026300199.1
OG0001030	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2	XP_026300920.1
OG0001031	XP_001949042.1	XP_006571173.2, XP_006571172.2
OG0001032	XP_001949161.2	NP_001011654.1, XP_026300344.1, NP_001011653.2, XP_026299327.1
OG0001033	XP_001949643.1	XP_006568643.1
OG0001034	XP_001949856.2, XP_016659465.1	XP_006562221.1, XP_026296555.1
OG0001035	XP_001949960.1	XP_026297968.1
OG0001036	XP_001950214.2	XP_001122961.3, XP_001121190.3
OG0001037	XP_029343413.1, XP_001950704.2	XP_393500.1, XP_003249222.1
OG0001038	XP_003245753.1, XP_001951213.2	XP_003251510.1, XP_006570286.1, XP_016767749.1
OG0001039	XP_001952170.1	XP_006562044.3
OG0001040	XP_001952444.1	XP_016766860.1
OG0001041	XP_003240137.1	XP_394621.2
OG0001042	XP_003242156.1, XP_016657148.2	XP_016766332.1, XP_006569002.1, XP_006569001.1
OG0001043	XP_003242212.1, XP_016657192.1	XP_026297480.1, XP_026297477.1
OG0001044	XP_029345616.1, XP_003246254.2	XP_006563732.1
OG0001045	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1	XP_006559862.1, XP_006559864.1, XP_016768657.1
OG0001046	XP_003247064.1, XP_008186797.1	XP_016770996.2, XP_016770997.2
OG0001048	XP_029341307.1, XP_008178442.1	XP_026300610.1, XP_026300611.1
OG0001049	XP_008180098.1	XP_624798.3, XP_016769663.1, XP_026298576.1
OG0001050	XP_016657682.1, XP_008180288.1	NP_001073579.1, XP_006564382.1
OG0001051	XP_008189529.1, XP_008180713.1, XP_016656400.1	XP_006566409.1, XP_006566408.1, XP_625132.2
OG0001052	XP_008182858.1, XP_008182857.1	XP_006572082.1
OG0001053	XP_008184495.1	XP_026298412.1, NP_001014994.1, XP_006558427.2
OG0001054	XP_008185488.1, XP_008185487.1, XP_029347617.1	XP_006557792.2, XP_016772603.2, XP_026301494.1
OG0001055	XP_008187614.1	XP_016771409.1, XP_006560471.1, XP_393921.4
OG0001056	XP_008187892.1	XP_392256.2
OG0001057	XP_008187989.1	XP_003251106.1
OG0001058	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1	XP_006559288.1
OG0001059	XP_008188476.1	XP_026302246.1, XP_026298512.1, XP_026298511.1
OG0001060	XP_008188543.1	XP_016767094.2
OG0001061	XP_016655779.1	XP_006566068.1
OG0001063	XP_029341043.1, XP_016656351.2, XP_029341494.1	XP_026301341.1, XP_026297188.1, XP_026297187.1
OG0001064	XP_016662408.1	XP_006567342.1, XP_006567343.1
OG0001065	XP_016662735.1	XP_016772709.1, XP_006571870.1
OG0001066	XP_029341094.1	XP_006566719.1
OG0001067	XP_029347427.1, XP_029342601.1	XP_006570391.1, XP_016770284.1
OG0001068	XP_029342993.1, XP_029342992.1	XP_026295232.1
OG0001069	XP_029343159.1	XP_003249139.1
OG0001070	XP_029343506.1, XP_029343509.1	NP_001314876.1
OG0001071	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1	NP_001139209.1, XP_006561618.1
OG0001072	XP_029346976.1, XP_029346977.1	XP_006560468.1, XP_006560463.2
OG0001090	NP_001129420.1	XP_396588.2
OG0001091	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2	NP_001164445.1, XP_016767976.1
OG0001092	NP_001155140.1, XP_008187000.1	XP_006561609.1, NP_001011634.1
OG0001093	XP_008179870.1, NP_001155505.1	XP_394840.2
OG0001094	NP_001155508.1, XP_001949834.1	XP_006571453.2
OG0001095	NP_001156278.1, NP_001155646.1	XP_392758.2
OG0001096	NP_001155662.1	XP_006557822.1, XP_006557823.1, XP_016772640.1
OG0001097	NP_001155680.1	XP_393678.2, XP_006566141.1, XP_006566142.1
OG0001098	XP_016661622.1, NP_001155733.1	XP_026300052.1, XP_026300053.1
OG0001099	XP_029348134.1, NP_001155764.1	XP_006571049.1
OG0001100	NP_001155768.1	XP_001122230.1
OG0001101	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1	XP_395328.3
OG0001102	NP_001156053.1	NP_001229398.1, XP_026295758.1
OG0001103	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1	NP_001091636.1, NP_001011626.2
OG0001104	NP_001156133.1, XP_008181357.1	XP_006570306.1, XP_026296437.1, XP_016767854.1
OG0001105	NP_001156173.1, NP_001233027.1	XP_394313.1
OG0001106	XP_029341550.1, NP_001156267.1	XP_003251085.1
OG0001107	NP_001233091.1, XP_001946336.2	XP_006564735.1
OG0001108	XP_008181413.1, XP_008181414.1, NP_001280378.1	XP_392498.1
OG0001109	XP_008188103.1, NP_001280404.1, XP_029343710.1	XP_006559508.1
OG0001110	XP_001942870.1, XP_029341142.1	XP_026299374.1
OG0001111	XP_001943176.2	XP_006571180.1
OG0001112	XP_001943561.1	XP_006568443.2, NP_001106142.2
OG0001113	XP_001943767.1	XP_625126.3
OG0001114	XP_001943824.1	XP_006559286.2
OG0001115	XP_001944095.2	XP_006564576.1, XP_001122245.1
OG0001116	XP_001944235.1	XP_016769189.1, XP_006569851.1, XP_006569852.1
OG0001117	XP_001944518.2	XP_026298997.1
OG0001118	XP_001944745.2, XP_003242948.1	XP_393072.2
OG0001119	XP_001945455.1	XP_396585.2
OG0001120	XP_001945509.2	XP_016770688.2
OG0001120	XP_003245192.1	XP_006557512.1
OG0001121	XP_003240109.1, XP_001945890.2	XP_026302064.1, XP_016773223.2
OG0001122	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1	XP_026294846.1
OG0001123	XP_001946462.2	XP_026301258.1
OG0001124	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1	XP_006562958.1
OG0001125	XP_003242835.1, XP_001947132.2	XP_016766166.1
OG0001126	XP_016657415.1, XP_001947403.1	XP_006559675.1
OG0001127	XP_001947574.2	XP_006570099.2, XP_006570095.2
OG0001128	XP_001947778.1	XP_006569466.2
OG0001129	XP_003243491.1, XP_001947806.2	XP_396640.4
OG0001130	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1	XP_006557887.1
OG0001132	XP_001948183.1	XP_006569397.1, XP_624593.1
OG0001133	XP_008181566.1, XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2	XP_016768434.2
OG0001134	XP_001948516.2	XP_016771230.1, XP_026300477.1, XP_006559375.2
OG0001135	XP_029341736.1, XP_001949162.2, XP_016662877.1	XP_006571652.2
OG0001136	XP_001949200.2	XP_006559354.2, XP_003249471.2, XP_006559350.2, XP_006559353.2, XP_006559352.2, XP_006559351.2
OG0001137	XP_001949566.1	XP_026295441.1
OG0001138	XP_016659058.1, XP_001949598.1	XP_006566401.1
OG0001139	XP_001949754.1	XP_026301211.1
OG0001140	XP_001950299.1	XP_393160.1, XP_006567190.1, XP_006567191.1
OG0001141	XP_016663836.1, XP_001950325.2	XP_006563759.1
OG0001142	XP_001950807.2, XP_029346999.1	XP_016772413.1, XP_026301646.1
OG0001143	XP_001950810.1	XP_395253.2
OG0001144	XP_001950825.2	XP_394084.6
OG0001145	XP_001950913.1	XP_396237.5
OG0001146	XP_001950937.1	XP_006571967.1
OG0001147	XP_001950988.1	XP_006562602.1, XP_006562601.1
OG0001148	XP_001951126.1	XP_026299849.1
OG0001149	XP_001951630.1	XP_006566733.2
OG0001150	XP_001951748.2, XP_008183754.1, XP_029346633.1	XP_393050.2
OG0001151	XP_016658645.1, XP_001952434.2	XP_026299394.1, XP_016770657.1
OG0001152	XP_001952516.2	XP_026299206.1
OG0001153	XP_029345485.1, XP_001952587.2	XP_026296179.1, XP_016767064.1
OG0001154	XP_016662028.1, XP_001952667.2	XP_006558313.1
OG0001155	XP_001952747.1	XP_394362.2, XP_026302250.1
OG0001156	XP_016664861.1, XP_003241429.1	XP_016770011.2
OG0001157	XP_003243823.1	XP_006571672.1, XP_006571671.1, XP_394261.3
OG0001158	XP_016659863.1, XP_003244542.1, XP_016659864.1	XP_006568640.1
OG0001159	XP_003245082.1	XP_393754.2, XP_016770687.1
OG0001160	XP_003245361.2	XP_016767529.2
OG0001161	XP_008183803.1	XP_006560282.1, XP_623371.1
OG0001161	XP_003246305.2	XP_006560283.2
OG0001162	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1	XP_006562183.2, XP_026296456.1
OG0001163	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1	XP_394764.3
OG0001164	XP_003247679.1	XP_392630.2
OG0001165	XP_008179184.1, XP_008179192.1	XP_006564520.1, XP_016769827.2
OG0001166	XP_008179444.1	NP_001171496.1
OG0001167	XP_008181511.1, XP_008181512.1	XP_006570996.1, XP_006570997.1
OG0001168	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1	NP_001229399.1, NP_001011566.1
OG0001169	XP_008183336.1, XP_029345140.1	XP_394044.2, XP_006565704.1
OG0001170	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1	XP_026296689.1
OG0001171	XP_008183856.1	XP_016769313.1, XP_016769308.1
OG0001173	XP_008184447.1	XP_393202.4
OG0001174	XP_029345281.1, XP_008185305.1	XP_006566977.1
OG0001175	XP_008185682.1	XP_006559056.1
OG0001176	XP_008188774.1	XP_006564297.1
OG0001178	XP_008189853.1	XP_006569017.1, XP_006569018.1, XP_003251296.1
OG0001179	XP_008190154.1	XP_006562919.1, XP_006562920.1, XP_006562921.1, XP_393004.3
OG0001180	XP_016657120.1	XP_016766672.2, XP_016766674.2
OG0001181	XP_016657278.1	XP_001121169.2
OG0001182	XP_016657683.1	XP_016770554.2, XP_026299860.1, XP_016770549.2
OG0001183	XP_029343309.1, XP_016658013.1	XP_006560979.1, XP_016766593.1
OG0001184	XP_016659463.1	XP_016769415.2, XP_006558414.2
OG0001185	XP_016660106.1, XP_016660104.1, XP_016660111.1	XP_026300118.1
OG0001186	XP_016660542.1, XP_016660541.1	XP_003250487.1, XP_006564675.1, XP_006564676.1
OG0001187	XP_016661530.1, XP_029346066.1	XP_006559596.1, XP_006559595.1, XP_395581.4, XP_016769158.1, XP_016769162.1, XP_016769161.1, XP_016769160.1, XP_016769159.1
OG0001188	XP_016664405.1, XP_016662933.1	XP_006567818.1
OG0001189	XP_029343923.1	XP_006563026.1, XP_026300936.1
OG0001190	XP_029344471.1	XP_026295013.1
OG0001191	XP_029346223.1	XP_006563495.1, XP_006563494.1
OG0001192	XP_029346448.1	XP_001120449.2
OG0001193	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1	XP_394484.1
OG0001214	NP_001153813.1, NP_001153811.1, NP_001153812.1	XP_006562468.1
OG0001215	NP_001153873.1, XP_029347957.1	XP_393437.3
OG0001216	NP_001153944.1, XP_003249047.1	XP_006568665.1
OG0001217	NP_001155454.1	XP_016772439.2
OG0001218	NP_001155457.1, XP_008179466.1	XP_006569578.2, XP_394630.3
OG0001219	NP_001155464.1, XP_001949090.1, XP_003248969.1	XP_397127.5
OG0001220	NP_001155533.1	XP_026301533.1
OG0001221	XP_001951050.1	XP_624977.1
OG0001222	NP_001155665.2, NP_001156815.1	XP_625228.3
OG0001223	XP_008182091.1, NP_001155667.1	XP_026300888.1, XP_394882.2
OG0001224	NP_001156103.1	XP_392390.1
OG0001225	NP_001156193.1	XP_006563839.1
OG0001226	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1	XP_026298822.1, XP_001120016.1
OG0001227	XP_029345469.1, XP_001951546.1, NP_001280401.1, NP_001233110.1, XP_001948920.1	XP_625137.3
OG0001228	XP_001947886.1, NP_001280309.1	XP_016772279.1
OG0001229	NP_001280441.1	XP_006558672.1
OG0001230	XP_008184848.1, NP_001280446.1	XP_006570299.1, XP_006570300.1
OG0001231	XP_001943183.2, XP_008186393.1	XP_016771299.2
OG0001232	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3	XP_026299027.1, XP_016772926.2
OG0001233	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2	XP_394419.2
OG0001234	XP_001943476.2	XP_016771367.2
OG0001236	XP_001944534.1	XP_026296373.1
OG0001237	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1	XP_391881.4
OG0001238	XP_008188368.1, XP_001945158.2, XP_001950494.2	XP_026297900.1, XP_026297892.1
OG0001239	XP_001945277.2, XP_008183013.1, XP_016656349.1	XP_395451.4
OG0001240	XP_001945375.1	XP_006566518.1, XP_016770274.1, XP_006566519.1
OG0001241	XP_029343094.1, XP_029343095.1, XP_001946090.2	XP_006564444.2, XP_006564443.2
OG0001242	XP_001946147.2	XP_394201.3
OG0001243	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1	XP_001120576.2, XP_006566695.1
OG0001244	XP_001946280.2	XP_392845.4
OG0001245	XP_001946431.1	XP_001121323.1
OG0001246	XP_001947027.2	XP_396918.4, XP_006570952.1
OG0001247	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1	XP_016769849.1
OG0001248	XP_008180352.1, XP_001947336.2	XP_003249075.1
OG0001249	XP_008179609.1, XP_001947420.1	XP_006568191.1
OG0001250	XP_001947917.2	XP_006558929.1, XP_006558930.1
OG0001251	XP_029344523.1, XP_029344522.1, XP_001948243.2	XP_026295937.1, XP_006562717.2
OG0001252	XP_001948261.1	XP_016772258.2
OG0001253	XP_001948411.2, XP_008187442.1	XP_016770711.2
OG0001254	XP_001948594.2	XP_006558444.1, XP_006558445.1, XP_006558446.1, XP_006558447.1, XP_623442.2
OG0001255	XP_001948774.2	XP_026297873.1
OG0001256	XP_001949446.1	XP_392405.3, XP_003251576.1
OG0001257	XP_001949480.1	XP_026301321.1
OG0001258	XP_001949498.2	XP_016768607.2, NP_001164477.1
OG0001259	XP_001949584.1, XP_008184333.1, XP_003242568.1	XP_006561326.1
OG0001260	XP_001950152.1	XP_006559095.2, XP_016772351.2
OG0001261	XP_001950183.1	XP_026298661.1, XP_006567398.1
OG0001262	XP_001950417.1	XP_006572321.1, XP_006572322.1
OG0001263	XP_001950431.1	XP_395392.3
OG0001264	XP_001950522.1, XP_016657964.1	XP_392534.3
OG0001266	XP_001950947.2	XP_006572356.1
OG0001267	XP_001951732.1	XP_394714.3
OG0001268	XP_001952629.1, XP_008187935.1	XP_003249388.1
OG0001269	XP_003240957.1	XP_006559065.1, XP_006559062.1
OG0001270	XP_003241121.1	XP_001121503.2
OG0001271	XP_029342269.1, XP_029342268.1	XP_026300954.1
OG0001272	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1	NP_001035321.1, XP_026297805.1
OG0001273	XP_029341105.1, XP_003243017.1	XP_026296398.1, XP_006570301.2
OG0001274	XP_003243163.1, XP_029347052.1	XP_001122827.2
OG0001277	XP_003243733.1	XP_026295295.1, XP_026295296.1, XP_016773012.1
OG0001278	XP_003244422.1	XP_392893.3
OG0001279	XP_008183368.1, XP_003244722.1	XP_026295958.1, XP_026295957.1, XP_026295951.1, XP_026295950.1, XP_026295956.1
OG0001280	XP_003245599.2	XP_026300549.1
OG0001281	XP_003246179.1	XP_016769581.1, XP_016769580.1, XP_016769585.1
OG0001282	XP_003248149.1	XP_006564543.1
OG0001283	XP_003248478.1	XP_006568427.1, XP_016768751.1
OG0001284	XP_008182531.1, XP_003248714.1	XP_394429.4
OG0001286	XP_008178165.1	XP_026300876.1, XP_026300874.1, XP_026300875.1, XP_026300873.1
OG0001287	XP_008178607.1	XP_026302119.1
OG0001288	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1	NP_001035353.1
OG0001289	XP_008181498.1	XP_001120054.2
OG0001290	XP_016657448.1, XP_008181527.1	XP_026301145.1
OG0001291	XP_029343815.1, XP_008184750.1, XP_008184749.1	XP_006565323.1, XP_623775.3
OG0001292	XP_029343143.1, XP_008185152.1	XP_625028.1
OG0001293	XP_008185156.1	XP_001119898.1
OG0001294	XP_008186956.1	XP_394095.3
OG0001295	XP_008187592.1	XP_026298643.1
OG0001296	XP_016660995.1, XP_016660987.1	XP_016772462.1
OG0001298	XP_016657557.1	XP_392800.3
OG0001300	XP_016660087.1	XP_026300271.1, XP_026300270.1
OG0001301	XP_016660634.1, XP_016660633.1	XP_026298240.1, XP_026298239.1
OG0001302	XP_029347290.1, XP_016662733.1	XP_026301923.1
OG0001302	XP_029347289.1	XP_026301920.1
OG0001303	XP_029341792.1	XP_016766222.1, XP_016766225.1
OG0001304	XP_029342867.1	XP_006563576.1, XP_026301131.1
OG0001305	XP_029348564.1, XP_029342894.1	XP_026297620.1
OG0001306	XP_029344330.1	XP_006566054.1
OG0001307	XP_029345473.1	XP_026296701.1
OG0001308	XP_029346361.1, XP_029346360.1	XP_026301522.1
OG0001328	NP_001127773.1, XP_029341919.1	XP_026298928.1, XP_006566140.1
OG0001329	NP_001155492.1, XP_029344755.1	XP_026297740.1, XP_392793.4, XP_006568388.1, XP_006568387.1
OG0001330	NP_001155497.1, XP_008186537.1	XP_006569373.1
OG0001331	NP_001155755.1	XP_392843.1
OG0001332	XP_001952298.1, NP_001155769.1	XP_391934.3
OG0001333	NP_001155777.1	XP_006561728.1, XP_006561729.1
OG0001334	NP_001191927.1, NP_001156237.1	XP_026298647.1, NP_001071291.1
OG0001335	XP_016663531.1, NP_001156244.1	XP_003250006.1
OG0001336	XP_003244203.1	XP_016770213.1
OG0001337	NP_001191891.1	XP_006557510.1
OG0001338	NP_001191907.1, XP_008181953.1	XP_026299446.1
OG0001339	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1	XP_006560547.1, XP_006560548.1
OG0001340	NP_001280445.1	XP_396914.2
OG0001341	NP_001313591.2	XP_026299161.1
OG0001342	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1	NP_001233596.1, XP_006568757.1
OG0001343	XP_001942773.2	XP_001120622.3
OG0001344	XP_016660225.1, XP_001943014.1	XP_006567413.1, XP_026298569.1
OG0001345	XP_001943716.2	XP_625158.1
OG0001346	XP_001943720.2, XP_029345723.1, XP_029345724.1	XP_006568830.2
OG0001347	XP_001944211.2, XP_016658906.1	XP_016766564.1
OG0001348	XP_001944238.2	XP_393071.3, XP_006558911.1
OG0001349	XP_001944356.1	XP_001122465.1
OG0001350	XP_001944460.2	XP_026301333.1, XP_026301331.1, XP_026301332.1
OG0001351	XP_001945250.1	XP_625226.1
OG0001352	XP_001945276.1	XP_624128.3, XP_006562315.2
OG0001353	XP_001945743.2, XP_008186641.1	XP_003249908.1
OG0001354	XP_001945744.2	XP_016767597.1
OG0001355	XP_008189594.1, XP_001946293.2	XP_006565066.1
OG0001356	XP_003244441.1, XP_001946367.2, XP_016659772.1	XP_016768312.1, XP_016768311.1, XP_396491.1, XP_016768313.1, XP_016768310.1
OG0001357	XP_001947400.1	XP_624751.3
OG0001358	XP_003246991.1, XP_001947503.2	XP_026301373.1, XP_026301380.1, XP_026301399.1
OG0001359	XP_001947632.1	XP_016772586.1
OG0001360	XP_001947656.2	XP_006568424.1, XP_016768724.1, XP_006568423.1, XP_392631.2
OG0001361	XP_001947660.2	XP_003251907.2
OG0001362	XP_001947761.1	XP_016767937.1, XP_392575.3
OG0001363	XP_001947957.1	XP_394252.2
OG0001364	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1	XP_026295929.1
OG0001365	XP_001948118.2	XP_006566705.2
OG0001366	XP_001948171.2	XP_006561135.1
OG0001368	XP_001948360.1	XP_006558888.1, XP_006558887.1, XP_396702.1
OG0001369	XP_001948582.1	XP_016772826.1
OG0001370	XP_001948788.2, XP_008187828.1	XP_006557536.1
OG0001371	XP_001948959.2	XP_397170.4
OG0001372	XP_001949037.2	XP_026296526.1
OG0001373	XP_001949375.2, XP_029342280.1	XP_006564089.1
OG0001374	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1	NP_001171374.1, XP_026300673.1
OG0001375	XP_001949712.2	XP_001121365.2, XP_006562011.1
OG0001376	XP_001949866.1, XP_029343706.1	XP_396175.2, XP_006569779.1, XP_016769123.1
OG0001377	XP_016657316.1, XP_001951160.1	XP_003249169.1
OG0001378	XP_001951169.1	XP_026297486.1
OG0001379	XP_001951442.2, XP_003248624.2	XP_006567468.1
OG0001380	XP_001951739.1	XP_394382.2
OG0001381	XP_001952158.1, XP_003244080.1	XP_395682.4
OG0001382	XP_001952349.1, XP_029347207.1	XP_026297953.1
OG0001383	XP_001952705.1	XP_006572237.1
OG0001384	XP_003241026.1	XP_396789.2
OG0001385	XP_003242732.1	XP_016767540.2, NP_001276370.1
OG0001386	XP_003242991.1, XP_029342070.1	XP_016767856.1, XP_016767858.1, XP_006561126.1, XP_006561128.1
OG0001387	XP_003243016.1	XP_006557949.1
OG0001388	XP_003243736.1	XP_016770706.1
OG0001389	XP_003243952.1	XP_026301857.1
OG0001390	XP_003245614.1	XP_393336.2
OG0001391	XP_003246597.1	XP_006557325.2
OG0001392	XP_003246638.2	XP_016770421.1, XP_026301887.1, XP_006571083.1
OG0001394	XP_029345028.1	XP_026301283.1
OG0001394	XP_003247560.1	XP_006563923.1
OG0001395	XP_003248979.1, XP_029343280.1, XP_029343286.1	XP_026300619.1
OG0001396	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2	XP_003251700.2
OG0001397	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1	XP_006558421.1
OG0001398	XP_008179523.1	XP_026295323.1, XP_396074.2
OG0001399	XP_008180076.2, XP_008180968.1, XP_008181458.1	XP_026295822.1, XP_006570847.3, XP_026295821.1
OG0001400	XP_008180537.1	XP_026298271.1
OG0001401	XP_008182079.1	XP_395366.2
OG0001402	XP_008183444.1, XP_008183443.1	XP_624525.3
OG0001403	XP_008183955.3	XP_026298793.1, XP_006567426.1
OG0001404	XP_008184962.1	XP_003250893.1, XP_016770402.1
OG0001405	XP_008185959.1	XP_006558378.1
OG0001406	XP_008186629.1	XP_003249994.1, XP_006562035.1
OG0001407	XP_008186697.1	XP_016770141.1, XP_006570083.1, XP_016770134.1
OG0001408	XP_008186789.1	NP_001229369.1
OG0001409	XP_008187143.1	XP_006563335.1
OG0001410	XP_008187332.1	XP_395760.4
OG0001412	XP_016658040.1, XP_016658039.1, XP_029346343.1	XP_026296136.1
OG0001413	XP_016659809.1, XP_016659807.1, XP_016659808.1	XP_623536.3
OG0001414	XP_016659986.1	XP_006560334.1, XP_026299267.1
OG0001415	XP_029344125.1, XP_029342285.1, XP_016662874.1	XP_016769111.2, XP_026301172.1
OG0001416	XP_029341813.1	XP_026298066.1, XP_026298062.1
OG0001417	XP_029342475.1	XP_006564416.1, XP_006564415.1
OG0001418	XP_029342978.1	XP_026297714.1
OG0001419	XP_029343365.1	XP_026294885.1, XP_026294944.1
OG0001420	XP_029343491.1	XP_394326.4
OG0001421	XP_029344222.1, XP_029348214.1	XP_006564186.1, XP_026297333.1
OG0001422	XP_029344365.1	XP_006568172.2
OG0001423	XP_029345673.1	XP_026302100.1
OG0001424	XP_029346038.1, XP_029346037.1	XP_006561339.1
OG0001425	XP_029346380.1	XP_006571360.1
OG0001426	XP_029346658.1	XP_026300478.1
OG0001427	XP_029347149.1	XP_001121333.2
OG0001453	NP_001155561.1, XP_008185637.1	XP_623506.1
OG0001455	NP_001155669.1	XP_395548.2
OG0001456	XP_008180851.1, NP_001155699.1	XP_003250782.1
OG0001457	NP_001155732.1	XP_395405.1
OG0001458	NP_001155827.1	XP_016771740.1, XP_006560290.1
OG0001459	NP_001156046.1	XP_624206.2
OG0001460	NP_001156079.1	XP_395475.2
OG0001461	NP_001156162.1	XP_625038.2
OG0001462	NP_001156167.1	XP_392422.2, XP_003250633.1
OG0001463	XP_029341941.1, NP_001156195.1	XP_006568200.1, XP_026299050.1
OG0001464	NP_001156433.1, XP_008186733.1	XP_026297059.1
OG0001465	NP_001156833.1	XP_001122467.1
OG0001466	XP_008180032.1, NP_001161683.1	XP_623574.2, XP_003250648.1
OG0001467	NP_001191928.1	XP_624385.4
OG0001468	NP_001191993.1, XP_008189445.3	XP_001121269.2, XP_026301134.1
OG0001469	XP_008181788.1, NP_001233056.1	XP_016770754.2, XP_006566407.2
OG0001470	XP_008187948.1, NP_001280297.1	XP_392667.2
OG0001471	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1	XP_026295194.1, XP_006563973.1
OG0001472	NP_001280353.1	XP_026295425.1, XP_001121817.2
OG0001473	NP_001280376.1, XP_008185857.1	XP_016773638.2
OG0001474	XP_029342002.1, NP_001280448.1	XP_623681.1
OG0001475	XP_001942854.1	XP_624415.1, XP_026295254.1, XP_006570845.1, XP_016773034.1, XP_003251612.1
OG0001476	XP_001942905.3	XP_016770904.2, XP_026299931.1, XP_026299930.1, XP_006565307.2, XP_026299929.1, XP_006565305.2, XP_006565306.2
OG0001477	XP_001942920.4	XP_006562867.1
OG0001478	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1	XP_006568688.1
OG0001479	XP_001942962.2	XP_006570473.1
OG0001480	XP_001943003.1	XP_624520.1
OG0001481	XP_001943151.1	XP_006572049.1
OG0001482	XP_001943496.2	XP_006557348.1, XP_006557349.1
OG0001483	XP_001943861.2	XP_006562729.1
OG0001484	XP_001944106.1	XP_393966.1
OG0001485	XP_001944507.2	XP_026300236.1
OG0001486	XP_029341194.1, XP_001944825.2	NP_001252514.1, XP_006564386.1
OG0001487	XP_016661816.1, XP_001945106.1	XP_006562891.1
OG0001488	XP_001945549.2	XP_026297193.1, XP_026297149.1
OG0001489	XP_001945732.1	XP_003249463.1
OG0001490	XP_001945791.2	XP_026296438.1
OG0001491	XP_001946011.2, XP_029342551.1	XP_006560273.1
OG0001492	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1	XP_624946.1
OG0001493	XP_029343846.1, XP_001946376.2, XP_008183135.1	XP_001120943.2, XP_006566059.1
OG0001494	XP_001946881.2	XP_006569570.1
OG0001495	XP_001946939.2, XP_029344154.1	XP_026296208.1
OG0001496	XP_008185249.2, XP_001946961.1	XP_006562571.1
OG0001497	XP_001947222.2	XP_026299752.1
OG0001498	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2	XP_006563298.1
OG0001499	XP_001947444.2	XP_623985.3, XP_623658.1
OG0001500	XP_001947553.2	NP_001189389.1
OG0001501	XP_001947628.2	XP_006569496.1, XP_006569498.1
OG0001502	XP_001947678.4	XP_026297625.1
OG0001503	XP_001947953.1	XP_397549.2, XP_003250890.1
OG0001504	XP_001948087.2, XP_016662592.1	XP_393495.3
OG0001505	XP_001948092.2	XP_016767602.2, XP_026296385.1, XP_026296386.1, XP_026296387.1, XP_026296389.1
OG0001506	XP_001949016.2	XP_006569200.1
OG0001507	XP_001949195.2, XP_003243935.1	XP_006563542.1
OG0001508	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1	XP_016767457.1, XP_026295906.1
OG0001509	XP_001949731.2	XP_006569759.1, XP_006569756.1, XP_006569758.1
OG0001510	XP_003246129.1, XP_001950257.2	NP_001264228.1, XP_016770661.2
OG0001511	XP_001950295.2	XP_623621.1
