Orthogroup	Acyrthosiphon_pisum	Drosophila_melanogaster
OG0001363	XP_001947957.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1	NP_001188754.1
OG0001365	XP_001948118.2	NP_001260427.1
OG0001366	XP_001950714.1	NP_648508.1
OG0001367	XP_001948202.2, XP_003247502.1, XP_001951248.1	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2
OG0001368	XP_001948360.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_001948582.1	NP_001303363.1
OG0001370	XP_001948788.2, XP_008187828.1	NP_001162973.2
OG0001371	XP_001948959.2	NP_610796.1
OG0001372	XP_001949037.2	NP_610444.2
OG0001373	XP_001949375.2, XP_029342280.1	NP_731872.1
OG0001374	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_001949712.2	NP_001261379.1
OG0001376	XP_001949866.1, XP_029343706.1	NP_001162697.1
OG0001377	XP_016657316.1, XP_001951160.1	NP_572840.1
OG0001378	XP_001951169.1	NP_572402.1
OG0001379	XP_001951442.2, XP_003248624.2	NP_723501.2
OG0001380	XP_001951739.1	NP_001036421.1
OG0001381	XP_001952158.1, XP_003244080.1	NP_650889.1
OG0001382	XP_001952349.1, XP_029347207.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_001952705.1	NP_001036470.1
OG0001384	XP_003241026.1	NP_001285453.1
OG0001385	XP_003242732.1	NP_001260880.1
OG0001386	XP_003242991.1, XP_029342070.1	NP_001286474.1
OG0001387	XP_003243016.1	NP_609412.1
OG0001388	XP_003243736.1	NP_572320.2, NP_732840.1
OG0001389	XP_003243952.1	NP_788300.3
OG0001390	XP_003245614.1	NP_001286120.1
OG0001391	XP_003246597.1	NP_001163354.1
OG0001392	XP_003246638.2	NP_001246912.1
OG0001393	XP_003246906.1	NP_001285132.1, NP_001188593.1
OG0001394	XP_029345028.1	NP_573197.2
OG0001394	XP_003247560.1	NP_729025.1
OG0001395	XP_003248979.1, XP_029343280.1, XP_029343286.1	NP_001137624.1
OG0001396	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2	NP_001245761.1, NP_523412.1
OG0001397	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1	NP_649764.1
OG0001398	XP_008179523.1	NP_001246972.1, NP_523949.2
OG0001399	XP_008180076.2, XP_008180968.1, XP_008181458.1	NP_569982.1
OG0001400	XP_008180537.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_008182079.1	NP_524675.1
OG0001402	XP_008183444.1, XP_008183443.1	NP_612065.1
OG0001403	XP_008183955.3	NP_001259193.1, NP_733426.1
OG0001404	XP_008184962.1	NP_609110.1
OG0001405	XP_008185959.1	NP_731223.1
OG0001406	XP_008186629.1	NP_001015132.1
OG0001407	XP_008186697.1	NP_001262226.1
OG0001408	XP_008186789.1	NP_001163646.1
OG0001409	XP_008187143.1	NP_001162657.1
OG0001410	XP_008187332.1	NP_523844.2
OG0001412	XP_016658040.1, XP_016658039.1, XP_029346343.1	NP_001036250.1
OG0001412	XP_016662318.1	NP_651941.2
OG0001413	XP_016659809.1, XP_016659807.1, XP_016659808.1	NP_001261618.1, NP_001303415.1
OG0001414	XP_016659986.1	NP_608864.1
OG0001415	XP_029344125.1, XP_029342285.1, XP_016662874.1	NP_996016.2
OG0001416	XP_029341813.1	NP_723870.1
OG0001417	XP_029342475.1	NP_611932.2
OG0001418	XP_029342978.1	NP_001162911.1
OG0001419	XP_029343365.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_029343491.1	NP_650569.1, NP_651139.1
OG0001421	XP_029348214.1	NP_649899.1
OG0001422	XP_029344365.1	NP_001189074.1
OG0001423	XP_029345673.1	NP_729234.2
OG0001424	XP_029346038.1, XP_029346037.1	NP_001262495.1
OG0001425	XP_029346380.1	NP_788574.3
OG0001426	XP_029346658.1	NP_001163056.1
OG0001427	XP_029347149.1	NP_648499.1
OG0001453	NP_001155561.1, XP_008185637.1	NP_001285826.1
OG0001455	NP_001155669.1	NP_610092.2
OG0001456	XP_008180851.1, NP_001155699.1	NP_001286295.1
OG0001457	NP_001155732.1	NP_001163688.1
OG0001458	NP_001155827.1	NP_476858.1
OG0001459	NP_001156046.1	NP_001097610.1, NP_001263148.1
OG0001460	NP_001156079.1	NP_476848.1
OG0001461	NP_001156162.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	NP_001156167.1	NP_001262421.1
OG0001463	XP_029341941.1, NP_001156195.1	NP_649574.1
OG0001464	NP_001156433.1, XP_008186733.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	NP_001156833.1	NP_001189124.1
OG0001466	XP_008180032.1, NP_001161683.1	NP_569951.1, NP_611911.1
OG0001467	NP_001191928.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	NP_001191993.1, XP_008189445.3	NP_001260652.1
OG0001469	XP_008181788.1, NP_001233056.1	NP_523568.2
OG0001470	XP_008187948.1, NP_001280297.1	NP_648768.1
OG0001471	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	NP_001280353.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	NP_001280376.1, XP_008185857.1	NP_001287361.1
OG0001474	XP_029342002.1, NP_001280448.1	NP_609560.2, NP_569850.1
OG0001475	XP_001942854.1	NP_001368987.1
OG0001477	XP_001942920.4	NP_001014453.1
OG0001478	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1	NP_001285042.1
OG0001479	XP_001942962.2	NP_001036624.1
OG0001480	XP_001943003.1	NP_524533.1
OG0001481	XP_001943151.1	NP_001286181.1
OG0001482	XP_001943496.2	NP_651924.2
OG0001483	XP_001943861.2	NP_001262996.1
OG0001484	XP_001944106.1	NP_001188579.1
OG0001485	XP_001944507.2	NP_569913.1, NP_523596.2
OG0001486	XP_029341194.1, XP_001944825.2	NP_476764.1
OG0001487	XP_016661816.1, XP_001945106.1	NP_001188904.1
OG0001488	XP_001945549.2	NP_001189108.1
OG0001489	XP_001945732.1	NP_648555.1
OG0001490	XP_003247638.1	NP_001246899.1
OG0001491	XP_001946011.2, XP_029342551.1	NP_609228.2
OG0001492	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1	NP_001263168.1
OG0001493	XP_029343846.1, XP_001946376.2, XP_008183135.1	NP_001262195.1
OG0001494	XP_001946881.2	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_029344154.1	NP_612063.2
OG0001496	XP_008185249.2, XP_001946961.1	NP_609203.1
OG0001497	XP_001947222.2	NP_001260853.1
OG0001498	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2	NP_729823.2
OG0001499	XP_001947444.2	NP_572167.3
OG0001500	XP_001947553.2	NP_730859.1
OG0001501	XP_001947628.2	NP_001303373.1
OG0001502	XP_001947678.4	NP_001261464.1
OG0001503	XP_001947953.1	NP_665880.2
OG0001504	XP_001948087.2, XP_016662592.1	NP_001261440.1
OG0001505	XP_001948092.2	NP_001097527.1
OG0001507	XP_001949195.2, XP_003243935.1	NP_001287269.1
OG0001508	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1	NP_001138130.2
OG0001509	XP_001949731.2	NP_001261116.1
OG0001510	XP_003246129.1, XP_001950257.2	NP_001284936.1
OG0001511	XP_001950295.2	NP_649151.1
OG0001514	XP_001950614.2, XP_008179295.1, XP_016656840.1	NP_001188550.1
OG0001515	XP_001951016.1, XP_008188305.1, XP_008188306.1	NP_001259809.1
OG0001516	XP_001951239.1, XP_008186532.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_001951328.2, XP_029346096.1	NP_731242.1
OG0001518	XP_001951365.1	NP_001036462.1
OG0001519	XP_008183986.1, XP_001951874.2	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_001951964.1	NP_572480.1, NP_001368953.1
OG0001521	XP_001952287.2, XP_029347145.1	NP_523422.4
OG0001522	XP_001952293.1	NP_001096867.3
OG0001524	XP_003240924.1, XP_016664234.1	NP_001261067.1
OG0001525	XP_003241160.1	NP_477026.1
OG0001526	XP_003241167.1, XP_029345134.1, XP_008190230.1	NP_001369078.1
OG0001527	XP_003241208.1	NP_001259089.1
OG0001529	XP_003242875.1	NP_001162930.1
OG0001530	XP_003243307.1	NP_611501.1
OG0001531	XP_003243327.1	NP_651595.1
OG0001532	XP_003243596.1	NP_001162665.1
OG0001533	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1	NP_728534.2
OG0001534	XP_003244802.1	NP_731923.2
OG0001535	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1	NP_001261999.1
OG0001536	XP_003245170.1	NP_648357.1
OG0001537	XP_003245502.1, XP_008181113.1, XP_016661056.2	NP_001245892.1, NP_001260974.1
OG0001538	XP_003245941.1	NP_995639.1
OG0001539	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1	NP_524017.1
OG0001540	XP_003247868.1	NP_610693.1, NP_610694.1
OG0001541	XP_003248759.2, XP_008188096.1	NP_001261940.1
OG0001542	XP_029345676.1, XP_029345670.1, XP_003248868.3	NP_609207.1
OG0001543	XP_008178488.1	NP_650901.2
OG0001545	XP_008180179.1	NP_523451.2
OG0001546	XP_008180322.1	NP_001247104.1
OG0001548	XP_008181324.1	NP_001285388.1
OG0001550	XP_008181349.1, XP_016660125.1	NP_647968.3
OG0001551	XP_029344459.1, XP_008182508.1	NP_001246815.1
OG0001552	XP_029341108.1, XP_008182735.1	NP_477317.1
OG0001553	XP_008183385.1	NP_651623.1
OG0001554	XP_008183450.2	NP_001261344.1
OG0001555	XP_029341218.1, XP_008184180.1, XP_029341220.1	NP_001246451.1
OG0001556	XP_008184251.1	NP_726771.1
OG0001557	XP_008184836.1	NP_001285174.1
OG0001557	XP_016661057.2	NP_001260951.1
OG0001558	XP_008184940.1	NP_001245722.1
OG0001559	XP_008185039.1	NP_650472.2
OG0001560	XP_008186404.1, XP_016662679.1	NP_001246228.1
OG0001561	XP_029341351.1, XP_008186937.1, XP_029341646.1	NP_001260963.1
OG0001562	XP_016663542.1, XP_008187530.2, XP_016660440.1	NP_001137943.2
OG0001563	XP_008187964.3	NP_001246300.1
OG0001564	XP_008189660.1, XP_016659665.1, XP_029341277.1, XP_029341276.1	NP_650698.1
OG0001565	XP_008189936.1	NP_001286976.1
OG0001567	XP_016658137.2	NP_001137746.1
OG0001568	XP_016658644.1	NP_001263152.1
OG0001569	XP_016659072.1	NP_477320.1
OG0001570	XP_016659399.1	NP_648176.1
OG0001571	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1	NP_610075.2
OG0001575	XP_016665048.1	NP_524337.1
OG0001576	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_029341940.1	NP_001285493.1
OG0001579	XP_029343105.1, XP_029343104.1	NP_001097592.1
OG0001580	XP_029343957.1	NP_001285528.1
OG0001581	XP_029347791.1, XP_029344497.1	NP_608983.2
OG0001582	XP_029345144.1	NP_001287593.1
OG0001583	XP_029345306.1	NP_001189157.1
OG0001584	XP_029346124.1	NP_648993.1
OG0001585	XP_029346669.1, XP_029348133.1	NP_001262143.1
OG0001586	XP_029346801.1	NP_647865.2
OG0001587	XP_029347036.1	NP_648090.1
OG0001588	XP_029347321.1, XP_029348055.1	NP_001188558.1
OG0001589	XP_029348255.1	NP_726318.1
OG0001614	NP_001119609.1	NP_001259303.1, NP_569908.1, NP_608731.1
OG0001615	NP_001165434.1, NP_001119664.1	NP_523764.1
OG0001616	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1	NP_001259833.1
OG0001617	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1	NP_524011.1, NP_648631.1
OG0001619	XP_008189793.1, XP_008180212.1, NP_001155629.1	NP_652526.1
OG0001620	NP_001155671.1	NP_609496.1
OG0001621	XP_029344967.1, NP_001155770.1, XP_008187262.1	NP_573362.1, NP_729837.1
OG0001622	XP_008180830.1, NP_001155791.1	NP_572536.1
OG0001623	NP_001155857.1	NP_524400.2
OG0001624	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1	NP_788056.1
OG0001625	NP_001156134.1	NP_001262669.1
OG0001626	NP_001156141.1	NP_001259186.1
OG0001627	NP_001156148.1, XP_008185366.1	NP_001303417.1
OG0001628	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2	NP_651052.1
OG0001629	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1	NP_651782.1
OG0001630	NP_001156347.1, XP_016659252.1	NP_729395.2
OG0001631	NP_001156438.1	NP_001261267.1
OG0001632	XP_008183084.1, NP_001156712.1	NP_001245408.1
OG0001633	NP_001232954.1	NP_001246351.1
OG0001634	NP_001233050.1	NP_651054.1
OG0001635	NP_001280462.1	NP_001303479.1
OG0001636	NP_001313576.1	NP_728142.1
OG0001637	NP_001313606.1	NP_612046.1
OG0001638	XP_001942629.2	NP_648826.2
OG0001639	XP_001942635.2	NP_572360.1
OG0001640	XP_001944671.1, XP_001942710.1, XP_008187704.1	NP_477027.1
OG0001641	XP_001942933.2	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_001943211.1, XP_001943270.1, XP_008181942.1	NP_725207.1
OG0001644	XP_001945235.1	NP_001262395.1
OG0001645	XP_001944045.2	NP_733058.1
OG0001646	XP_001944173.2	NP_001285211.1
OG0001647	XP_029343557.1, XP_001944181.1, XP_003248804.3, XP_029341067.1	NP_570025.1
OG0001648	XP_001944186.1	NP_001287187.1
OG0001649	XP_001944730.2	NP_609720.1, NP_524152.2
OG0001650	XP_001945180.1	NP_648222.3
OG0001651	XP_001945607.2	NP_001259585.1
OG0001652	XP_001945713.2	NP_788858.1
OG0001653	XP_001945941.2	NP_995788.1
OG0001654	XP_001946378.2	NP_001246814.1
OG0001655	XP_001946635.1	NP_001245567.1
OG0001656	XP_001946836.2	NP_569872.1
OG0001657	XP_029341082.1, XP_001946895.2	NP_001286489.1
OG0001658	XP_016663561.1, XP_001948609.1, XP_001947103.1	NP_001259992.1
OG0001659	XP_001947555.1, XP_016661886.1	NP_730944.2
OG0001660	XP_016659421.1, XP_001947974.1, XP_029342385.1, XP_008182235.1, XP_008182228.1	NP_648750.1
OG0001661	XP_001948336.2, XP_008187588.1	NP_001261775.1
OG0001662	XP_001948434.2	NP_001097377.2
OG0001663	XP_001948502.1	NP_649918.1
OG0001664	XP_001948999.2	NP_648183.3
OG0001665	XP_001949124.1	NP_001014619.2
OG0001666	XP_001949417.2	NP_001163472.1, NP_649145.1
OG0001667	XP_016660819.2, XP_001949587.4, XP_016660818.2, XP_008182459.1, XP_008187915.2	NP_001261574.1
OG0001669	XP_001950332.1, XP_008179737.1	NP_001287417.1
OG0001670	XP_001950746.1	NP_001138149.1
OG0001671	XP_001950779.1, XP_016659456.1, XP_008182266.1, XP_008182272.1, XP_029346598.1, XP_016658189.1, XP_029344288.1, XP_008189734.1	NP_732316.2
OG0001672	XP_016664060.1, XP_001950792.1	NP_001246400.1
OG0001673	XP_001951789.2, XP_001951110.1	NP_649883.1
OG0001674	XP_001951117.2	NP_001260539.1
OG0001675	XP_001951163.2, XP_008187982.1	NP_001261382.1
OG0001676	XP_001951600.1	NP_001163073.2
OG0001677	XP_001951757.1	NP_001260561.1
OG0001679	XP_001952174.1	NP_611460.1
OG0001680	XP_001952275.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_001952488.1, XP_003244801.1, XP_008183491.1, XP_008183492.1	NP_001163282.1
OG0001682	XP_003241201.1	NP_001285158.1
OG0001684	XP_003244008.1	NP_001368993.1, NP_001368940.1
OG0001685	XP_029345345.1, XP_003244045.1	NP_001097520.2
OG0001686	XP_003244114.1	NP_731649.2
OG0001687	XP_003244150.1, XP_029343745.1, XP_003248022.1	NP_609069.1
OG0001688	XP_003244236.1	NP_001104382.3
OG0001690	XP_003247236.1, XP_008181864.2	NP_652015.1
OG0001693	XP_003247797.1	NP_001245400.1
OG0001694	XP_003247833.1	NP_610256.1
OG0001695	XP_003247962.1, XP_008184535.1, XP_029342167.1	NP_001262760.1
OG0001696	XP_029346128.1, XP_003248837.3	NP_001247156.1
OG0001697	XP_008178829.1	NP_001245797.1
OG0001698	XP_008179534.1, XP_008179541.1, XP_029348111.1, XP_016658893.2, XP_016658341.1, XP_016658802.1	NP_611941.1
OG0001699	XP_029345236.1, XP_008179743.1	NP_733303.2
OG0001700	XP_008180611.1	NP_001189311.1
OG0001701	XP_008181703.1	NP_995862.1
OG0001702	XP_008182063.3	NP_651170.1
OG0001703	XP_008183132.2	NP_001262871.1, NP_651242.1
OG0001704	XP_008183183.1	NP_001356971.1
OG0001706	XP_029342018.1, XP_008183985.1, XP_029342017.1, XP_016660636.1	NP_001247116.1
OG0001707	XP_008184047.1	NP_001262589.2
OG0001708	XP_008184069.1	NP_001287390.1
OG0001709	XP_008184777.1	NP_001303494.1
OG0001710	XP_008185276.2	NP_651745.1, NP_573217.1, NP_730784.1
OG0001711	XP_008185641.1, XP_016661368.1	NP_608741.1
OG0001712	XP_008185711.1	NP_001188885.2
OG0001713	XP_008185732.1, XP_008185731.1, XP_008185730.1, XP_008185729.1	NP_001033943.2
OG0001714	XP_008185781.1	NP_649156.1
OG0001715	XP_008186070.1	NP_001285698.1
OG0001716	XP_008186221.1	NP_001163671.1
OG0001717	XP_008186368.1	NP_611675.2
OG0001718	XP_008186471.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_029346950.1, XP_008187666.1	NP_001245568.1
OG0001720	XP_008187727.1	NP_610938.1
OG0001722	XP_008189818.1	NP_723401.1
OG0001723	XP_016656015.1	NP_001188979.1, NP_524242.2, NP_001287190.1
OG0001724	XP_016657416.1	NP_001261391.1
OG0001725	XP_016657929.1	NP_524401.2
OG0001726	XP_016658867.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_016659837.1	NP_001036351.2, NP_608475.1, NP_609417.1
OG0001728	XP_016659994.1	NP_001286002.1
OG0001729	XP_016660123.1	NP_001286919.1
OG0001730	XP_016662596.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_016662755.1, XP_029347626.1	NP_572995.1, NP_001163445.1
OG0001732	XP_016663406.1	NP_651725.1
OG0001733	XP_016663444.1, XP_029348714.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_029341592.1	NP_608563.1
OG0001735	XP_029341951.1	NP_609387.1
OG0001736	XP_029347042.1	NP_001014495.1
OG0001736	XP_029342237.1	NP_001097944.1
OG0001737	XP_029342873.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_029342948.1	NP_001014543.1
OG0001739	XP_029343150.1	NP_001246653.1
OG0001740	XP_029343949.1	NP_001036555.1
OG0001742	XP_029344583.1	NP_733224.2
OG0001743	XP_029344991.1	NP_001285126.1
OG0001744	XP_029345593.1	NP_651315.2
OG0001745	XP_029345636.1	NP_650743.1
OG0001746	XP_029345814.1	NP_524852.2, NP_611854.1
OG0001747	XP_029346653.1	NP_001261633.1
OG0001748	XP_029347349.1	NP_001189227.1
OG0001749	XP_029347633.1, XP_029347629.1	NP_001036722.1
OG0001774	XP_008188214.1, NP_001155610.1, NP_001119694.1	NP_476778.1
OG0001775	XP_008188848.1, NP_001129410.1, NP_001156569.1	NP_523735.2
OG0001776	XP_001951172.2, NP_001129411.1	NP_620470.1
OG0001777	NP_001129414.1	NP_001245758.1
OG0001778	NP_001129594.1	NP_001262233.1
OG0001779	XP_001945775.2, NP_001155452.1, NP_001155825.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_016659892.1, NP_001155461.1	NP_610617.1
OG0001781	NP_001155485.1, NP_001156710.1, NP_001156709.1, NP_001156708.1	NP_650423.1
OG0001782	NP_001155515.1	NP_649000.1
OG0001783	NP_001155530.1, XP_016660437.1	NP_647892.1
OG0001784	NP_001155547.1	NP_001163585.1
OG0001785	XP_029341505.1, NP_001155654.1, XP_008182090.1	NP_524416.1
OG0001786	XP_008178954.1, NP_001155672.1	NP_001260689.1
OG0001787	NP_001155724.1	NP_648786.1
OG0001788	XP_016663392.1, NP_001155801.1, XP_003241568.1	NP_001036396.2, NP_724103.1
OG0001789	NP_001156108.1, XP_016656321.1	NP_651728.1
OG0001790	XP_008185976.1, NP_001156182.1	NP_649460.3
OG0001791	NP_001156204.1, XP_008184616.1	NP_572504.1
OG0001792	NP_001156247.1, XP_008187622.1	NP_611734.1
OG0001793	NP_001156305.1	NP_608828.2
OG0001794	NP_001156307.1	NP_001259442.1
OG0001795	NP_001156453.1	NP_730901.1
OG0001796	NP_001156565.1, XP_016655961.1	NP_477212.1
OG0001797	XP_029347227.1, XP_029342124.1, NP_001156579.1	NP_001286694.1, NP_001163244.1, NP_523830.2
OG0001798	XP_029348234.1, XP_016655913.2, XP_029345191.1, XP_016658087.1, XP_003243647.1, XP_016657737.1, NP_001156599.1	NP_001260982.1
OG0001799	NP_001156668.1, XP_008179071.1	NP_001260496.1
OG0001800	NP_001156706.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_001944696.1, NP_001157399.1, XP_001945331.2, XP_001951652.2	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001802	XP_029345658.1, NP_001162144.1	NP_001162765.1
OG0001803	NP_001191873.1, NP_001191872.1, NP_001191871.1, XP_008183099.1, XP_029341515.1	NP_001015387.1
OG0001804	NP_001232953.1, XP_016657413.1	NP_728575.2, NP_612081.1
OG0001805	NP_001232979.1	NP_649038.1, NP_730334.2
OG0001806	NP_001233043.1	NP_610087.2
OG0001807	XP_001942509.2	NP_001286460.1
OG0001808	XP_008187931.1, XP_001952480.2	NP_650163.2, NP_650840.1
OG0001809	XP_001942715.1	NP_609837.1
OG0001810	XP_001942856.1, XP_008179964.1	NP_001246271.1
OG0001811	XP_001943135.2, XP_016659076.1, XP_003241140.2, XP_016655900.1	NP_001262677.1
OG0001812	XP_001943187.1, XP_001948026.1	NP_001259970.1
OG0001813	XP_016663414.1, XP_001943319.2, XP_008187381.1	NP_611350.1
OG0001814	XP_001943377.1	NP_524758.1
OG0001815	XP_029348024.1, XP_001943392.1, XP_029341214.1, XP_001947071.2	NP_476667.1, NP_001246493.1
OG0001816	XP_008187096.1, XP_001943493.2, XP_016656595.1	NP_648106.1
OG0001818	XP_001943774.1, XP_008180057.1	NP_001285489.1
OG0001820	XP_001943903.1	NP_649757.1
OG0001821	XP_003248297.1, XP_001943957.2	NP_001287100.1
OG0001822	XP_001944669.2	NP_995873.2
OG0001823	XP_001944675.1, XP_008189752.1, XP_029347493.1, XP_029348629.1	NP_609767.2, NP_001260489.1
OG0001824	XP_001944700.1	NP_001356918.1
OG0001825	XP_001944739.1	NP_001285277.1
OG0001826	XP_001944820.1	NP_610191.2
OG0001827	XP_001944905.2	NP_001261341.1
OG0001828	XP_003246708.1, XP_008186331.1, XP_001945001.1, XP_016660475.1	NP_477184.1
OG0001829	XP_001945038.1	NP_511153.1
OG0001830	XP_001945197.2	NP_001189170.1
OG0001831	XP_001945437.1	NP_648895.1
OG0001832	XP_001945557.2	NP_611293.3
OG0001833	XP_001945830.2	NP_001262071.1
OG0001834	XP_001946240.1	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_001946328.2	NP_648567.2
OG0001835	XP_016661442.1, XP_016661441.1	NP_729801.1
OG0001836	XP_001946879.2	NP_001097041.2
OG0001838	XP_001947118.2	NP_649809.1
OG0001839	XP_003246231.1	NP_524496.1
OG0001840	XP_001947300.1	NP_001287291.1
OG0001841	XP_001947958.2	NP_649554.1
OG0001843	XP_029348519.1, XP_008186988.1, XP_001948155.2	NP_001163392.1
OG0001844	XP_003246366.1, XP_029343168.1, XP_001948222.1, XP_008186214.1	NP_733332.1
OG0001845	XP_001948310.1, XP_003248687.2	NP_649732.1
OG0001846	XP_001948529.2	NP_788721.1
OG0001847	XP_001948531.1	NP_001163705.1
OG0001848	XP_016661036.1, XP_001948639.1	NP_610735.1
OG0001849	XP_001948795.2, XP_003245783.1	NP_001303451.1, NP_524581.1
OG0001850	XP_001948861.1	NP_001097569.1
OG0001851	XP_001949188.2	NP_524795.2
OG0001852	XP_001949433.2	NP_611258.2
OG0001853	XP_016664162.1, XP_016664159.1, XP_016664156.1, XP_001949667.2, XP_029342086.1	NP_001285407.1
OG0001854	XP_029343283.1	NP_610231.2, NP_525107.1, NP_536747.2
OG0001855	XP_008188230.1, XP_001949717.1	NP_001097922.1
OG0001856	XP_001949793.2, XP_008182796.1	NP_650446.2
OG0001858	XP_001950544.1	NP_651605.1
OG0001859	XP_016660503.1, XP_001950684.2, XP_029345572.1	NP_001261279.1, NP_608679.1
OG0001860	XP_001950915.3	NP_001286627.1
OG0001861	XP_001951063.1	NP_524274.1
OG0001862	XP_001951151.1, XP_008187987.1, XP_008187986.1	NP_001096954.1
OG0001863	XP_001951176.1	NP_001303452.1
OG0001864	XP_001951225.1	NP_001259978.1
OG0001865	XP_001951536.1, XP_001951914.1	NP_001036440.1
OG0001866	XP_029341527.1, XP_016657739.1, XP_001951538.1	NP_610462.3
OG0001867	XP_001951701.1	NP_651658.1
OG0001868	XP_001951736.1, XP_008183468.1, XP_008183466.1	NP_732113.3
OG0001869	XP_001952010.1, XP_016664220.1	NP_477402.1
OG0001870	XP_001952173.2	NP_001285457.1
OG0001871	XP_001952722.1	NP_572522.2
OG0001872	XP_001952755.1	NP_536773.1
OG0001873	XP_001952829.1	NP_730982.1
OG0001874	XP_008185190.1, XP_001952839.1	NP_477024.1
OG0001875	XP_029346961.1, XP_001952853.2	NP_511130.2
OG0001876	XP_001952862.2	NP_001368952.1
OG0001877	XP_003240052.1	NP_001014498.1
OG0001878	XP_003242518.2, XP_003240785.1, XP_003247189.1	NP_001260348.1
OG0001879	XP_003240974.1	NP_608749.2, NP_652101.2
OG0001880	XP_003241869.2	NP_001033948.1
OG0001881	XP_003242009.1	NP_722959.1
OG0001882	XP_003242232.1	NP_001188575.1
OG0001883	XP_003242255.1	NP_650805.1
OG0001884	XP_016656757.1, XP_003242429.1	NP_001188772.1
OG0001885	XP_003242954.1, XP_008180737.1	NP_001262303.1
OG0001886	XP_003242961.1	NP_001261166.1
OG0001887	XP_008180938.2, XP_029342240.1, XP_003243122.1	NP_723772.2
OG0001888	XP_003243530.1	NP_001286416.1
OG0001889	XP_029341382.1, XP_003246404.1, XP_003245803.1, XP_029348673.1, XP_003243691.1	NP_651593.1
OG0001890	XP_003247580.1, XP_003243804.1	NP_609530.1
OG0001891	XP_003243994.1	NP_476733.1
OG0001892	XP_003244214.1	NP_001245925.1, NP_611294.1
OG0001893	XP_003245723.1	NP_477049.2
