Orthogroup	Acyrthosiphon_pisum	Solenopsis_invicta
OG0000465	XP_016661611.1	XP_039303431.1, XP_039303437.1, XP_039306332.1, XP_039310329.1, XP_039311954.1
OG0000466	XP_016664343.1	XP_039311751.1, XP_039311750.1, XP_039311752.1, XP_011164748.3
OG0000467	XP_029341946.1	XP_011171825.1, XP_011171844.1, XP_039302512.1, XP_039302510.1, XP_025989598.1, XP_039302509.1
OG0000468	XP_029343179.1	XP_039304139.1
OG0000475	NP_001155500.1, XP_008186946.1, XP_008185283.1, XP_001947882.2, NP_001161422.1, XP_001949401.4	XP_011160619.1
OG0000476	XP_001943729.1, XP_016663095.1, NP_001156251.1, XP_003244299.1, XP_016658235.2	XP_039307257.1, XP_039306344.1, XP_025986350.2, XP_039309974.1, XP_039309976.1, XP_011172993.2, XP_039309975.1, XP_011164250.1, XP_025988917.1, XP_025986338.2, XP_011165951.1, XP_025993811.1
OG0000477	NP_001280361.1, XP_008187021.1	XP_025996089.1, XP_011168899.2
OG0000478	NP_001280419.1	XP_011173143.1
OG0000479	XP_001942569.2, XP_003248982.3	XP_039301991.1
OG0000480	XP_001942787.2, XP_016662919.1, XP_008186707.1, XP_029344591.1	XP_025992857.1
OG0000482	XP_001943945.2	XP_011156601.1
OG0000483	XP_001946449.1, XP_001944207.1	XP_025993672.1, XP_039307370.1
OG0000484	XP_001944913.2, XP_001949051.2, XP_029345896.1	XP_011163920.2, XP_025992083.2, XP_039311033.1, XP_039311035.1, XP_039311034.1
OG0000485	XP_016659832.1, XP_001946395.2	XP_011174858.1, XP_039309923.1, XP_039309926.1, XP_039309933.1, XP_025988305.2, XP_011174835.2, XP_011174840.2
OG0000486	XP_001946484.1	XP_039310943.1
OG0000487	XP_001946657.4	XP_011165857.1, XP_039303806.1, XP_039303805.1, XP_011165860.1, XP_011165859.1
OG0000488	XP_016661074.1, XP_016657699.1, XP_001947034.1, XP_016657697.1, XP_029345349.1, XP_016656731.1	XP_039314622.1
OG0000489	XP_001948090.1	XP_011157401.1, XP_011157406.1, XP_011157405.1, XP_011157404.1, XP_011157402.1
OG0000490	XP_001948446.1	XP_011164822.1
OG0000492	XP_001949862.1, XP_003243665.1, XP_029346769.1	XP_011156001.1, XP_011156002.1, XP_039308490.1, XP_039308501.1
OG0000493	XP_001950924.1	XP_011171302.2, XP_011171304.2, XP_011171303.2
OG0000494	XP_001951241.2, XP_029344062.1	XP_011159254.1, XP_025994069.1
OG0000495	XP_001951377.2, XP_016661330.1, XP_029348624.1	XP_039310887.1, XP_039310888.1, XP_039310889.1, XP_039310890.1, XP_039310891.1, XP_039310892.1, XP_039310893.1, XP_039310894.1, XP_039310895.1, XP_039310896.1
OG0000496	XP_001952719.2	XP_011166398.1, XP_011166382.1, XP_011166390.1, XP_025988359.1
OG0000497	XP_003242591.1	XP_039309094.1
OG0000497	XP_003244296.1	XP_025994815.1
OG0000498	XP_016659293.1, XP_003247153.1	XP_039313807.1, XP_011163998.1
OG0000499	XP_003247303.1	XP_011160730.1
OG0000500	XP_008178689.1	XP_011157702.1
OG0000500	XP_016656435.1	XP_039312958.1
OG0000501	XP_029341662.1, XP_029341370.1, XP_016657046.1	XP_011166207.2
OG0000501	XP_008183546.1	XP_011166208.1
OG0000502	XP_008183726.1	XP_011159324.1, XP_011159323.1
OG0000503	XP_008186252.1	XP_011155986.1
OG0000504	XP_008187060.2	XP_011159264.1
OG0000505	XP_016660620.1	XP_011161151.2, XP_011161158.1
OG0000506	XP_029342869.1, XP_029342870.1	XP_011172101.2
OG0000516	NP_001155401.1	XP_011172056.1
OG0000517	XP_008181724.1, NP_001156105.1, NP_001155509.1, XP_008189433.2, XP_001943189.2, XP_003241190.1	XP_011163700.2, XP_039309232.1
OG0000518	XP_008184004.1, NP_001155635.1	XP_011175188.2, XP_011175189.2, XP_011175191.2
OG0000519	NP_001156110.1	XP_025991738.1, XP_011159219.1, XP_011159221.1, XP_039308221.1, XP_039308220.1
OG0000520	NP_001156168.1	XP_011166082.1, XP_011166083.1
OG0000520	XP_001944755.4	XP_025994954.1, XP_025994953.1
OG0000521	NP_001156836.1, XP_003248597.4, XP_016664153.1, XP_016664155.1, XP_003248120.2, XP_016664154.1, XP_003248118.2, XP_003248109.2, XP_008188350.1, XP_016664818.2, XP_029341139.1, XP_003243936.2, XP_003248556.2	XP_011166943.1
OG0000522	XP_001942648.2, XP_016656931.1, XP_029343768.1, XP_029343766.1, XP_029343765.1, XP_001942700.2	XP_011167766.2
OG0000523	XP_001943221.2, XP_029348269.1, XP_029346547.1	XP_025986325.2
OG0000524	XP_016659141.2, XP_001952716.1, XP_029346814.1, XP_001943408.2, XP_029346187.1, XP_001944168.2	XP_025986063.1
OG0000525	XP_001944463.1	XP_025993000.2
OG0000526	XP_001946463.2, XP_001949359.2	XP_011163487.3, XP_011173281.1
OG0000527	XP_001947193.2, XP_008182669.1	XP_025994056.1, XP_011171909.1
OG0000528	XP_001952133.1, XP_001948549.1, XP_008183196.1, XP_029345833.1, XP_029346543.1, XP_001947370.2	XP_011164853.1
OG0000529	XP_001948161.1, XP_016655758.1	XP_039309772.1, XP_011161552.1, XP_011165420.2
OG0000530	XP_016660077.1, XP_029341308.1	XP_011157307.1
OG0000530	XP_029341162.1, XP_001948635.1	XP_011157306.1
OG0000531	XP_029347411.1	XP_039314365.1
OG0000533	XP_003246614.1	XP_039310971.1, XP_039310972.1, XP_011165801.2, XP_025994422.2
OG0000534	XP_008178195.1, XP_008187556.1	XP_011160887.1
OG0000536	XP_016662970.1	XP_011161602.1, XP_039310223.1, XP_039310224.1
OG0000536	XP_029343473.1, XP_008178628.1, XP_029341398.1	XP_025987440.1, XP_025987439.1
OG0000537	XP_016664622.1	XP_039304417.1
OG0000538	XP_008181269.1	XP_011168662.1
OG0000539	XP_008181447.1	XP_039313015.1
OG0000540	XP_008185527.1	XP_039309898.1, NP_001291538.1
OG0000541	XP_008186894.1, XP_008188891.1	XP_039308180.1
OG0000542	XP_029344049.1, XP_029344050.1, XP_008190054.1	XP_039307562.1, XP_011162049.1
OG0000543	XP_029342046.1, XP_016656843.1	XP_039314361.1
OG0000544	XP_016660589.1	XP_011159201.2, XP_039309904.1
OG0000551	XP_001951455.1, NP_001119648.1	XP_011160212.1
OG0000552	NP_001156200.1	XP_011169733.1
OG0000553	NP_001191883.1	XP_011162424.1
OG0000554	XP_008187575.1, NP_001280349.1	XP_025989623.1, XP_039315055.1
OG0000555	XP_001943052.1, XP_029348327.1, XP_008178644.1, NP_001280403.1	XP_011160546.3, XP_011160545.1
OG0000556	XP_001944253.1	XP_011155655.1
OG0000557	XP_029347272.1, XP_001944299.2, XP_003245550.1, XP_008184580.1	XP_011159193.1
OG0000558	XP_001949231.1, XP_001945992.1	XP_011165104.2
OG0000558	XP_008185702.1, XP_001944475.1	XP_011155663.1
OG0000559	XP_001947194.1, XP_001947237.1	XP_011170518.1
OG0000560	XP_001948149.1	XP_011165828.1, XP_025993242.1, XP_011165827.1, XP_039303889.1, XP_039303890.1
OG0000561	XP_001948592.1, XP_008188807.2, XP_029347783.1	XP_011169324.1
OG0000561	XP_008178984.1	XP_025992227.2
OG0000562	XP_001950339.2	XP_025989184.1, XP_011159988.1
OG0000563	XP_001952016.2, XP_008190012.1, XP_008190013.1	XP_025989096.1, XP_025989094.1, XP_025989095.1
OG0000564	XP_003240399.1	XP_025989595.2, XP_011171715.1
OG0000565	XP_003242459.1, XP_016662147.1, XP_016662144.1	XP_011157246.1, XP_039303576.1, XP_039312791.1
OG0000566	XP_029342033.1, XP_003242652.1	XP_011156845.2
OG0000567	XP_003244447.1, XP_016659775.2	XP_011168976.1, XP_011172612.2
OG0000568	XP_003246264.1	XP_025986039.1
OG0000569	XP_003247517.1, XP_016663472.1, XP_029346544.1	XP_039312304.1, XP_011157244.1
OG0000570	XP_008183161.1	XP_039314374.1, XP_025987778.1, XP_025987776.1, XP_025987777.1
OG0000571	XP_029344041.1, XP_029344046.1	XP_011157319.2, XP_039306862.1, XP_039306865.1
OG0000572	XP_029346603.1	XP_039311184.1
OG0000582	XP_016660284.1, XP_016660285.1, XP_008183584.1, XP_001950854.1, XP_029343251.1, XP_029343252.1, XP_029343253.1, XP_029343255.1, XP_029343254.1, XP_008183585.1, NP_001280323.1, XP_029342001.1, XP_008179951.1, NP_001155374.1, XP_003246890.1, XP_008186557.1	XP_011160599.1
OG0000583	XP_029343725.1, XP_008181439.1	XP_011167028.2, XP_039306141.1
OG0000584	XP_029341217.1, XP_029344802.1, NP_001233020.1, XP_008184503.1, XP_029344785.1, NP_001155674.1	XP_039302271.1
OG0000585	NP_001155736.1	XP_011170883.1, XP_011169115.1
OG0000586	NP_001155908.1	XP_011165979.1, XP_011165978.1, XP_039312051.1, XP_039312225.1, XP_039311914.1
OG0000587	XP_001948433.1, XP_001944178.3, NP_001156229.1	XP_039303764.1
OG0000588	NP_001156462.1, XP_008185322.1	XP_039307024.1
OG0000589	XP_008183583.1, XP_001949827.1, XP_001947598.1, XP_029347133.1, XP_001946532.1, NP_001313590.1, XP_029347135.1, XP_029347136.1, XP_029345006.1, XP_016663019.1, XP_029346473.1	XP_025989087.1, XP_039309540.1, XP_039309539.1
OG0000590	XP_001942520.2	XP_011164365.1, XP_025988896.1
OG0000591	XP_001943166.1, XP_001949496.4	XP_011172770.1, XP_011172760.1, XP_011172764.1
OG0000591	XP_001948414.2	XP_011172322.1
OG0000592	XP_003247762.1, XP_001946696.2, XP_001943565.2	XP_011164060.2, XP_039304350.1
OG0000593	XP_001944454.2, XP_016656599.1	XP_025990297.2, XP_039306195.1
OG0000594	XP_001944510.1, XP_016659956.1	XP_011169319.1, XP_039310004.1
OG0000595	XP_001945171.1	XP_011157974.1
OG0000595	XP_008187736.1, XP_029343107.1, XP_008186391.1	XP_011157972.1
OG0000596	XP_001945526.2	XP_011172107.2, XP_011172105.3
OG0000597	XP_029346194.1, XP_001950872.3, XP_016662072.1, XP_016662073.1, XP_001947992.2, XP_008183663.1, XP_001946757.2, XP_016660310.1, XP_008183665.1	XP_011165992.1, XP_039310829.1
OG0000598	XP_001947666.2, XP_008183737.1	XP_011155600.1
OG0000598	XP_001950892.1	XP_039302656.1
OG0000599	XP_001949191.1	XP_039309902.1, XP_011161560.1, XP_039309903.1
OG0000600	XP_001949669.2	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1
OG0000601	XP_001951658.1, XP_003246181.1	XP_011163933.1
OG0000601	XP_001950538.1	XP_039311063.1, XP_011163934.1
OG0000602	XP_001950931.1, XP_029345659.1	XP_039314332.1, XP_011173207.2
OG0000603	XP_001952527.1	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1
OG0000604	XP_003240405.1, XP_016659400.1	XP_011163407.2, XP_011163369.1
OG0000605	XP_008180944.1, XP_008185977.1, XP_029342027.1, XP_003243160.1	XP_039303191.1
OG0000606	XP_003243713.1, XP_008179811.1, XP_016657625.1, XP_016664132.1	XP_011162133.1
OG0000608	XP_016659762.1, XP_008178371.1, XP_008183700.1, XP_008179512.1, XP_016664163.1	XP_039301967.1, XP_039315508.1, XP_039311859.1, XP_039308738.1
OG0000608	XP_008181858.1	XP_039314639.1
OG0000608	XP_029348598.1, XP_008181585.1, XP_008190183.1	XP_039310691.1
OG0000609	XP_003247040.1	XP_039302838.1, XP_011167460.2
OG0000610	XP_008182300.2, XP_008178897.1	XP_039312421.1, XP_011163133.1, XP_011167083.1, XP_011162211.1, XP_011172676.3
OG0000611	XP_008182169.1	XP_039304710.1, XP_011166113.1, XP_011166114.1
OG0000612	XP_016663112.1	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1
OG0000613	XP_016665058.2, XP_029341905.1	XP_011156407.1, XP_011156404.1
OG0000614	XP_029347847.1, XP_029345755.1	XP_039308727.1
OG0000614	XP_029345094.1	XP_039311099.1
OG0000619	NP_001119620.1	XP_011173657.1, XP_011173658.1, XP_025987595.1
OG0000620	NP_001119693.1	XP_011169601.1
OG0000621	NP_001155449.1, XP_008178126.1	XP_039312703.1
OG0000622	NP_001155451.1	XP_011169602.1
OG0000623	XP_008181802.1, NP_001155779.1	XP_039313782.1, XP_011164272.1
OG0000624	XP_029346569.1, XP_008186582.1, NP_001155814.1	XP_011157512.1, XP_039302508.1
OG0000625	NP_001156612.1	XP_011163576.1
OG0000626	NP_001157405.1, NP_001156700.1	XP_011155744.2
OG0000627	NP_001313551.1, XP_016663665.1	XP_025987673.1
OG0000628	XP_001943157.3	XP_039309559.1
OG0000628	XP_029344381.1	XP_025996176.1
OG0000629	XP_003245664.2, XP_001943353.2	XP_011170977.2
OG0000630	XP_029341235.1, XP_003248256.2, XP_001943356.2, XP_029341593.1, XP_008183510.2, XP_003248907.2, XP_003249052.1, XP_001950210.2, XP_016665115.2	XP_025991600.2, XP_039306780.1
OG0000631	XP_008188517.1, XP_029342232.1, XP_029348412.1, XP_001943770.2, XP_001944782.1, XP_003243146.1	XP_039306909.1
OG0000632	XP_001943796.1, XP_029342184.1	XP_039309842.1, XP_011155541.1
OG0000633	XP_029343122.1, XP_001945563.1	XP_011172797.1, XP_011158982.1
OG0000634	XP_001946193.5, XP_001948513.1	XP_011159579.2, XP_011159577.1
OG0000635	XP_001946319.1	XP_011161776.2, XP_025986615.1, XP_039301712.1
OG0000636	XP_029342986.1, XP_001946474.2, XP_008184598.1	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1
OG0000637	XP_001946886.2	XP_011160711.2
OG0000638	XP_001947138.1, XP_008184222.1, XP_008184223.1, XP_016660866.1, XP_008184221.1, XP_008184220.1	XP_011169107.1, XP_011169109.1
OG0000639	XP_001947904.1	XP_039305053.1, XP_011158830.1
OG0000640	XP_001948379.1	XP_011160127.1
OG0000641	XP_001948633.1	XP_011162857.1
OG0000642	XP_001949229.1, XP_008179851.1	XP_011167158.1
OG0000643	XP_003245435.1, XP_001949448.1	XP_011160706.1, XP_011160705.2
OG0000644	XP_001950271.1	XP_011155802.1, XP_011155801.1
OG0000645	XP_001950725.2	XP_011165880.1
OG0000645	XP_029344525.1	XP_011165878.1, XP_011165879.1
OG0000646	XP_016657958.1, XP_001951007.1, XP_029346742.1, XP_029346743.1	XP_011156050.1
OG0000647	XP_001951116.2	XP_025990863.1, XP_025990862.1
OG0000648	XP_003245184.1, XP_016660032.1	XP_011157207.1, XP_011157206.1
OG0000649	XP_003242338.1, XP_016660033.2, XP_029341182.1, XP_029346979.1, XP_003244481.1, XP_029341181.1	XP_011160804.1
OG0000650	XP_003246432.1	XP_039308781.1, XP_011168549.1, XP_011168547.1
OG0000651	XP_003247009.1	XP_039301926.1, XP_039303055.1
OG0000653	XP_008181156.1	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1
OG0000654	XP_008181167.2	XP_011157432.3, XP_039306560.1
OG0000655	XP_008181620.1	XP_025992461.2
OG0000656	XP_008183337.1, XP_008183338.1	XP_011175984.1
OG0000657	XP_008186354.1	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1
OG0000658	XP_008189424.1, XP_016656894.2, XP_008188106.1, XP_008188534.1	XP_039303452.1, XP_039303301.1, XP_025990503.2, XP_039308940.1, XP_039306736.1, XP_039306738.1, XP_039303392.1, XP_039303393.1, XP_039302296.1, XP_039303578.1, XP_039304118.1, XP_039315375.1, XP_039315374.1, XP_039312869.1, XP_039303489.1, XP_039315478.1, XP_039313576.1, XP_039303666.1, XP_039303487.1, XP_039302366.1, XP_039308695.1
OG0000659	XP_016660491.1	XP_011173530.2
OG0000660	XP_016660539.2	XP_025989970.1
OG0000661	XP_016664461.2	XP_025988975.1
OG0000661	XP_029348293.1	XP_039303215.1
OG0000662	XP_029341705.1, XP_029346479.1	XP_011175457.1
OG0000663	XP_029342326.1	XP_025986599.1
OG0000664	XP_029343053.1	XP_025992680.2
OG0000665	XP_029343937.1	XP_011170315.1
OG0000666	XP_029343991.1	XP_011171071.1, XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1
OG0000667	XP_029344002.1	XP_039310656.1, XP_011164614.1
OG0000668	XP_029345637.1	XP_039306186.1
OG0000669	XP_029347009.1	XP_025988961.1, XP_039302920.1, XP_011175851.1
OG0000680	NP_001119660.1, XP_008189851.1	XP_011167693.1, XP_011167708.1, XP_011167701.1
OG0000681	XP_016659328.1, NP_001153525.1	NP_001291522.1, XP_011171271.1
OG0000682	NP_001155393.1, XP_008182210.1, NP_001267493.1, XP_008186960.1, XP_029343618.1, NP_001313605.1, NP_001155479.1	XP_011163525.2
OG0000683	NP_001155481.1	XP_039306229.1, XP_039306230.1
OG0000684	NP_001155644.1, XP_016662860.1	XP_039302424.1, XP_011157520.1, XP_011157521.1, XP_039302421.1
OG0000685	NP_001313600.1, NP_001156726.1	XP_011166723.1, XP_011165386.2
OG0000686	XP_001942741.1	XP_011167376.2, XP_011167375.2
OG0000687	XP_001942765.1	XP_011165090.1, XP_011165092.1
OG0000688	XP_001942926.1	XP_025991175.2, XP_011167177.2
OG0000689	XP_001943336.2	XP_025987790.1
OG0000689	XP_008186328.3	XP_011169515.2
OG0000690	XP_008184851.1, XP_001946054.2, XP_029344519.1	XP_011163918.1
OG0000691	XP_001946073.1, XP_003241430.1, XP_008178465.1, XP_001952703.2	XP_039314432.1, XP_011164381.1
OG0000692	XP_001946699.1, XP_029347455.1	XP_011161649.1
OG0000693	XP_001947047.2, XP_016656947.1	XP_025993002.1
OG0000694	XP_029345691.1, XP_008187750.1, XP_001950665.2, XP_001948147.2, XP_016655865.1, XP_008186608.1, XP_003241679.1, XP_003241678.1, XP_016656515.1, XP_016657356.2, XP_016662803.2	XP_011170811.1, XP_011170813.1
OG0000695	XP_001949079.2, XP_029347773.1, XP_029341226.1	XP_025987444.1, XP_025987443.1, XP_039310172.1, XP_039310173.1
OG0000696	XP_001950288.1, XP_003247074.1	XP_011158557.1, XP_039308200.1, XP_039308201.1, XP_011158556.1
OG0000697	XP_003247861.2, XP_001951353.2	XP_011167159.1
OG0000698	XP_001951677.1	XP_011159907.1, XP_011159915.1, XP_011159925.1
OG0000699	XP_001952780.2, XP_003240569.1	XP_011161891.2
OG0000700	XP_003241277.1	XP_011157480.1, XP_025987956.1
OG0000701	XP_003248730.1, XP_029341434.1, XP_029341372.1, XP_016664010.2, XP_029348216.1, XP_008184909.1, XP_029341470.1, XP_029341404.1, XP_008179573.1, XP_029342398.1, XP_029342386.1, XP_029342387.1, XP_029340947.1, XP_029340948.1, XP_016657105.1, XP_029341003.1, XP_008188186.2, XP_008180110.2, XP_008184910.1, XP_029341002.1, XP_003241493.3, XP_029342383.1, XP_008184911.1, XP_029341367.1, XP_029348684.1	XP_011161794.1
OG0000702	XP_029342057.1, XP_029345715.1, XP_029344616.1	XP_039301963.1, XP_039303072.1, XP_039309387.1, XP_039310295.1, XP_039310294.1, XP_039304907.1, XP_039305421.1, XP_039306547.1, XP_039314765.1, XP_039309575.1, XP_039310681.1, XP_039306696.1, XP_039315324.1
OG0000702	XP_016662629.1, XP_029347404.1	XP_011167623.1, XP_039311788.1, XP_039306915.1, XP_039304080.1, XP_011171418.1
OG0000702	XP_003242149.1, XP_016664281.1, XP_008178372.1	XP_025996481.1
OG0000703	XP_003244064.1	XP_025993224.2, XP_039310299.1, XP_025993223.2
OG0000704	XP_003244598.1	XP_025994168.1, XP_011161187.1
OG0000705	XP_003246626.1	XP_025988088.2
OG0000706	XP_003246815.1, XP_008186469.1, XP_008186470.1, XP_003248641.2, XP_008182767.2	XP_011168454.1
OG0000707	XP_003247162.1	XP_011166276.1, XP_039305379.1
OG0000708	XP_008178377.1	XP_039314227.1, XP_039314228.1
OG0000709	XP_008179400.1, XP_029347123.1	XP_011175840.1, XP_011175841.1
OG0000710	XP_008181290.1	XP_025996916.1
OG0000711	XP_008181778.1, XP_029347417.1, XP_016658910.1	XP_011158311.2
OG0000712	XP_029343403.1, XP_008181834.1	XP_025991504.1, XP_025991503.1
OG0000713	XP_016659225.1, XP_008182238.1, XP_029344328.1	XP_011156494.2
OG0000714	XP_008182728.1	XP_025994772.1
OG0000715	XP_008183424.1	XP_011159153.2, XP_011159154.2
OG0000716	XP_008185071.1	XP_011163912.2
OG0000717	XP_029343285.1, XP_008186737.1, XP_008186736.1	XP_011164323.1, XP_011164322.1, XP_011164321.1
OG0000718	XP_016663726.1	XP_025992101.1
OG0000719	XP_029341070.1, XP_029341073.1	XP_039304225.1, XP_039304226.1
OG0000720	XP_029344440.1	XP_039302434.1
OG0000720	XP_029343675.1	XP_039314720.1
OG0000721	XP_029344487.1, XP_029344486.1	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2
OG0000722	XP_029346583.1	XP_039314078.1, XP_011167944.1, XP_011167941.1
OG0000723	XP_029346730.1, XP_029346734.1	XP_039305662.1, XP_039305658.1
OG0000736	NP_001155375.1, XP_016658086.1	XP_011157298.1
OG0000737	XP_016663358.1, NP_001155484.1	XP_011162103.1
OG0000738	XP_008182822.1	XP_011173300.1
OG0000738	NP_001155539.1, XP_029346550.1	XP_025995486.1, XP_039304747.1, XP_025995485.2, XP_025995484.2
OG0000739	NP_001155649.1	XP_025986669.1, XP_011158895.1
OG0000740	XP_008183991.1, NP_001156301.1	XP_011165468.1, XP_011165469.1, XP_011165467.1, XP_011165466.1
OG0000741	XP_008179667.1, NP_001156595.1, NP_001280465.1, XP_008183839.1	XP_011176093.2
OG0000742	XP_001946012.1, NP_001164573.1	XP_039306568.1, XP_039306567.1
OG0000743	NP_001192101.1, XP_029344784.1	XP_011176100.1, XP_011176099.1, XP_011176096.1, XP_011176097.1, XP_011176098.1
OG0000744	XP_016663430.1, XP_001943030.2, XP_029347118.1, XP_029347117.1, XP_008179977.1, XP_008179976.1, XP_008179975.1	XP_011163408.1
OG0000745	XP_003244954.1, XP_001943033.1	XP_039312216.1, XP_039312218.1, XP_039312219.1, XP_025993584.1, XP_011159126.1, XP_011159127.1, XP_039312050.1, XP_039312217.1
OG0000746	XP_029344776.1, XP_029344777.1	XP_039301874.1
OG0000746	XP_008186951.1, XP_001943086.2	XP_025993870.1
OG0000747	XP_001943161.2	XP_025994764.1, XP_025994766.1, XP_025994765.1
OG0000748	XP_029345925.1, XP_001943539.2	XP_025992939.2, XP_039311919.1
OG0000749	XP_001944267.1	XP_011156808.3
OG0000750	XP_001944397.3	XP_039308189.1, XP_011168047.1
OG0000751	XP_008185151.1	XP_011163217.2
OG0000752	XP_001944830.2, XP_008183252.1	XP_011161185.1, XP_011161184.1
OG0000753	XP_001944864.1	XP_011164714.1, XP_011164712.1, XP_011164713.1, XP_039314207.1
OG0000754	XP_001945603.2	XP_025994006.1, XP_039314803.1
OG0000755	XP_001946913.2	XP_011160539.1
OG0000756	XP_001947745.1	XP_039310988.1, XP_011167689.2
OG0000757	XP_001948207.2	XP_011173082.1, XP_011173081.1
OG0000758	XP_001949398.1	XP_011163862.2, XP_011164604.1
OG0000759	XP_008180676.1, XP_008180677.1, XP_029347554.1, XP_016661927.1, XP_001952255.2, XP_008185514.1, XP_001950119.1	XP_025988751.1
OG0000760	XP_001952274.1, XP_001950880.1	XP_011162144.1, XP_011162146.1, XP_011162145.1
OG0000761	XP_001951069.1	XP_025996446.1
OG0000762	XP_003240034.2, XP_008181472.1	XP_025987473.1
OG0000763	XP_029340915.1, XP_008178303.1, XP_029346033.1, XP_003248881.2, XP_016665157.1, XP_003246517.1, XP_003242177.1	XP_039301895.1
OG0000763	XP_016662262.1, XP_003240784.1, XP_003241862.1, XP_016661913.1, XP_003241938.1, XP_029342022.1, XP_003248490.1, XP_029342243.1, XP_008187168.1, XP_003249030.1, XP_008188453.1, XP_003243309.1	XP_039307898.1, XP_039315255.1, XP_039315261.1, XP_039304243.1, XP_025993399.2, XP_039310908.1, XP_039305558.1, XP_039303717.1
OG0000764	XP_003243312.1, XP_003247758.1, XP_003240879.1	XP_039304581.1, XP_011159740.1, XP_011159741.1
OG0000765	XP_016662867.1, XP_008179296.1, XP_003241937.1	XP_011176280.1, XP_011176281.1
OG0000766	XP_003242410.1	XP_025988764.1, XP_039314286.1
OG0000767	XP_003242497.1	XP_011171183.1, XP_011171178.1
OG0000768	XP_003242754.2	XP_011168953.1, XP_011168954.1
OG0000769	XP_003243699.1, XP_016658959.1, XP_016658960.1, XP_016658961.1, XP_016658962.1, XP_016658963.1	XP_039302316.1
OG0000770	XP_003243896.2	XP_025991245.1, XP_039314063.1
OG0000771	XP_003246709.1, XP_008180166.1, XP_008180167.1	XP_025987164.1, XP_011158232.1, XP_025987165.1
OG0000772	XP_003246953.1	XP_039313911.1, XP_039313913.1
OG0000773	XP_003247559.1	XP_025987110.1
OG0000774	XP_008183902.3	XP_011165924.1
OG0000775	XP_008187985.1	XP_011155960.1, XP_025987204.1
OG0000776	XP_016655940.1	XP_011163200.1
OG0000777	XP_016657137.1	XP_025997179.1, XP_025997180.1, XP_011165269.1
OG0000778	XP_016662047.1	XP_011164824.1
OG0000779	XP_029342860.1, XP_029342859.1, XP_029342861.1, XP_029342858.1	XP_039308346.1, XP_039308351.1, XP_039308349.1, XP_039308355.1
OG0000780	XP_029343263.1	XP_011160559.1, XP_011160558.1, XP_025988495.1, XP_011160560.1, XP_025988494.1
OG0000781	XP_029344213.1	XP_011159966.1
OG0000782	XP_029344948.1	XP_025991730.1, NP_001291540.1
OG0000783	XP_029346817.1	XP_011176408.1
OG0000784	XP_029347518.1	XP_011161570.1
OG0000795	NP_001156238.1, XP_008186286.1, XP_001951765.1, NP_001119696.2, XP_016660020.1, XP_016660021.1, XP_001946038.2, XP_029344502.1, XP_029344503.1, NP_001119641.1	XP_011168338.1
OG0000796	XP_008186449.1, XP_016664985.1, XP_001943747.1, NP_001119670.1, NP_001119669.1	XP_011161408.1, XP_011161421.1
OG0000797	NP_001155536.1, XP_008179738.1	XP_011162370.1, XP_011162428.1
OG0000798	XP_008181596.1, NP_001155751.1	XP_011165295.1
OG0000799	NP_001191909.1	XP_025989311.1, XP_039305768.1
OG0000800	XP_029344345.1, NP_001280254.1	XP_011160666.1, XP_011160664.1
OG0000801	XP_001942708.2	XP_025992851.1
OG0000801	XP_029347083.1	XP_011164184.2
OG0000802	XP_001944066.2, XP_016657154.1, XP_016657155.1, XP_003242174.1, XP_008179622.1	XP_025988488.1
OG0000803	XP_001944109.4, XP_008185697.1, XP_001944311.1, XP_001949303.2	XP_011155983.1
OG0000804	XP_001944120.1, XP_008187383.1	XP_039306726.1, XP_039306725.1, XP_011171429.1
OG0000805	XP_001944246.2	XP_025994786.1
OG0000806	XP_008179699.1, XP_001944941.1	XP_011169594.1, XP_011169595.1, XP_011169597.1
OG0000807	XP_003247579.1, XP_001945486.2, XP_003248704.2	XP_011161813.1, XP_011161815.1, XP_011161814.1
OG0000808	XP_029343847.1, XP_029343848.1, XP_001946418.2, XP_016659879.1	XP_025993559.1, XP_011160772.1
OG0000809	XP_008186770.1, XP_001946703.2	XP_025990549.1, XP_039304796.1
OG0000810	XP_001947304.2, XP_029344161.1, XP_016657984.1, XP_016657989.1, XP_029344163.1, XP_008180697.1, XP_016663292.2	XP_039302094.1, XP_011162024.2, XP_011162023.2
OG0000811	XP_001947939.1	XP_011168281.1, XP_011168282.1
OG0000812	XP_001947963.1	XP_011172218.1
OG0000813	XP_029346295.1, XP_001948027.2	XP_025994548.1, XP_039313899.1
OG0000814	XP_001948078.2	XP_011170174.1, XP_039315469.1
OG0000815	XP_029345346.1, XP_001949153.2	XP_011159180.2, XP_011159181.1
