Orthogroup	Acyrthosiphon_pisum	Dufourea_novaeangliae
OG0001521	XP_008181173.1	XP_015440055.1
OG0001522	XP_001952293.1	XP_015433647.1
OG0001523	XP_001952833.2	XP_015437892.1
OG0001524	XP_003240924.1, XP_016664234.1	XP_015434310.1
OG0001525	XP_003241160.1	XP_015432476.1
OG0001526	XP_003241167.1, XP_029345134.1, XP_008190230.1	XP_015436158.1
OG0001527	XP_003241208.1	XP_015439538.1
OG0001529	XP_003242875.1	XP_015437119.1
OG0001530	XP_003243307.1	XP_015432979.1
OG0001531	XP_003243327.1	XP_015440062.1
OG0001532	XP_003243596.1	XP_015435975.1
OG0001533	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1	XP_015431090.1
OG0001534	XP_003244802.1	XP_015432662.1
OG0001535	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1	XP_015432244.1
OG0001536	XP_003245170.1	XP_015430011.1
OG0001537	XP_003245502.1, XP_008181113.1, XP_016661056.2	XP_015432136.1
OG0001538	XP_003245941.1	XP_015436827.1
OG0001539	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1	XP_015432370.1
OG0001540	XP_003247868.1	XP_015435420.1
OG0001541	XP_003248759.2, XP_008188096.1	XP_015436998.1
OG0001542	XP_029345676.1, XP_029345670.1, XP_003248868.3	XP_015431722.1
OG0001543	XP_008178488.1	XP_015435669.1
OG0001545	XP_008180179.1	XP_015435875.1
OG0001546	XP_008180322.1	XP_015433354.1, XP_015433353.1
OG0001547	XP_008181007.1	XP_015432142.1
OG0001548	XP_008181324.1	XP_015434231.1
OG0001549	XP_008181350.1, XP_008181345.1	XP_015437075.1
OG0001550	XP_008181349.1, XP_016660125.1	XP_015432092.1
OG0001551	XP_029344459.1, XP_008182508.1	XP_015438298.1
OG0001552	XP_029341108.1, XP_008182735.1	XP_015431877.1
OG0001553	XP_008183385.1	XP_015429044.1
OG0001554	XP_008183450.2	XP_015428484.1, XP_015428486.1
OG0001555	XP_029341218.1, XP_008184180.1, XP_029341220.1	XP_015439812.1, XP_015439813.1
OG0001556	XP_008184251.1	XP_015438024.1
OG0001557	XP_016661057.2	XP_015435555.1
OG0001558	XP_008184940.1	XP_015428717.1
OG0001559	XP_008185039.1	XP_015428702.1
OG0001560	XP_008186404.1, XP_016662679.1	XP_015436376.1
OG0001561	XP_029341351.1, XP_008186937.1, XP_029341646.1	XP_015439299.1
OG0001562	XP_016663542.1, XP_008187530.2, XP_016660440.1	XP_015429885.1
OG0001563	XP_008187964.3	XP_015435621.1
OG0001564	XP_008189660.1, XP_016659665.1, XP_029341277.1, XP_029341276.1	XP_015439623.1
OG0001565	XP_008189936.1	XP_015433425.1
OG0001567	XP_016658137.2	XP_015439631.1
OG0001568	XP_016658644.1	XP_015433316.1
OG0001569	XP_016659072.1	XP_015439071.1
OG0001570	XP_016659399.1	XP_015437815.1
OG0001571	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1	XP_015437700.1, XP_015437699.1
OG0001572	XP_016661226.1, XP_029342072.1	XP_015430130.1
OG0001573	XP_016661281.1	XP_015432834.1
OG0001574	XP_016661800.1, XP_029343877.1, XP_029343880.1, XP_029343879.1, XP_029343878.1, XP_016661798.1, XP_029343876.1	XP_015432394.1
OG0001575	XP_016665048.1	XP_015439503.1
OG0001576	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1	XP_015434372.1
OG0001577	XP_029341940.1	XP_015429607.1
OG0001578	XP_029342030.1	XP_015436944.1
OG0001579	XP_029343105.1, XP_029343104.1	XP_015431412.1
OG0001580	XP_029343957.1	XP_015437527.1
OG0001581	XP_029347791.1, XP_029344497.1	XP_015438371.1
OG0001582	XP_029345144.1	XP_015431451.1
OG0001583	XP_029345306.1	XP_015433149.1
OG0001584	XP_029346124.1	XP_015432894.1, XP_015432899.1
OG0001585	XP_029346669.1, XP_029348133.1	XP_015436728.1, XP_015436709.1
OG0001586	XP_029346801.1	XP_015433972.1
OG0001587	XP_029347036.1	XP_015433739.1, XP_015433861.1
OG0001588	XP_029347321.1, XP_029348055.1	XP_015435512.1, XP_015435511.1
OG0001589	XP_029348255.1	XP_015440096.1
OG0001614	NP_001119609.1	XP_015433528.1
OG0001615	NP_001165434.1, NP_001119664.1	XP_015435223.1
OG0001616	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1	XP_015438839.1
OG0001617	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1	XP_015431838.1
OG0001619	XP_008189793.1, XP_008180212.1, NP_001155629.1	XP_015431862.1
OG0001620	NP_001155671.1	XP_015430444.1, XP_015430445.1, XP_015430443.1
OG0001621	XP_029344967.1, NP_001155770.1, XP_008187262.1	XP_015439286.1
OG0001622	XP_008180830.1, NP_001155791.1	XP_015431206.1
OG0001623	NP_001155857.1	XP_015431734.1
OG0001624	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1	XP_015438647.1, XP_015438646.1, XP_015438648.1
OG0001625	NP_001156134.1	XP_015433451.1
OG0001626	NP_001156141.1	XP_015438493.1
OG0001627	NP_001156148.1, XP_008185366.1	XP_015431522.1
OG0001628	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2	XP_015430846.1
OG0001629	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1	XP_015434445.1, XP_015434446.1
OG0001630	NP_001156347.1, XP_016659252.1	XP_015438562.1
OG0001631	NP_001156438.1, XP_001948292.4, XP_016660627.1	XP_015438863.1
OG0001632	XP_008183084.1, NP_001156712.1	XP_015439042.1
OG0001633	NP_001232954.1	XP_015428659.1
OG0001634	NP_001233050.1	XP_015428428.1
OG0001635	NP_001280462.1	XP_015428476.1
OG0001636	NP_001313576.1	XP_015432545.1
OG0001637	NP_001313606.1	XP_015438471.1
OG0001638	XP_001942629.2	XP_015430142.1, XP_015436694.1
OG0001639	XP_001942635.2	XP_015439029.1
OG0001640	XP_001944671.1, XP_001942710.1, XP_008187704.1	XP_015431082.1
OG0001641	XP_001942933.2	XP_015439784.1
OG0001642	XP_001943211.1, XP_001943270.1, XP_008181942.1	XP_015431984.1
OG0001643	XP_029343701.1, XP_029343702.1, XP_001944079.1, XP_008187007.1, XP_001943383.1, XP_016656484.1, XP_016665011.1	XP_015439008.1
OG0001644	XP_001945235.1, XP_029343508.1, XP_008186588.1, XP_008180278.2, XP_001943832.1	XP_015430397.1
OG0001645	XP_001944045.2	XP_015430949.1
OG0001646	XP_001944173.2	XP_015431656.1
OG0001647	XP_029343557.1, XP_001944181.1, XP_003248804.3, XP_029341067.1	XP_015430219.1
OG0001648	XP_001944186.1	XP_015432949.1
OG0001649	XP_001944730.2	XP_015436244.1, XP_015436245.1
OG0001650	XP_001945180.1	XP_015431083.1
OG0001651	XP_001945607.2	XP_015438881.1
OG0001652	XP_001945713.2	XP_015429221.1
OG0001653	XP_001945941.2	XP_015435705.1
OG0001654	XP_001946378.2	XP_015434641.1
OG0001655	XP_001946635.1	XP_015437882.1
OG0001656	XP_001946836.2	XP_015435340.1
OG0001657	XP_029341082.1, XP_001946895.2	XP_015437247.1
OG0001658	XP_016663561.1, XP_001948609.1, XP_001947103.1	XP_015430715.1, XP_015430714.1, XP_015430716.1
OG0001659	XP_001947555.1, XP_016661886.1	XP_015432457.1
OG0001660	XP_016659421.1, XP_001947974.1, XP_029342385.1, XP_008182235.1, XP_008182228.1	XP_015438405.1
OG0001661	XP_001948336.2, XP_008187588.1	XP_015431340.1
OG0001662	XP_001948434.2	XP_015439420.1
OG0001663	XP_001948502.1	XP_015438569.1
OG0001664	XP_001948999.2	XP_015439931.1, XP_015439932.1
OG0001665	XP_001949124.1	XP_015438873.1
OG0001666	XP_001949417.2	XP_015431000.1, XP_015430992.1, XP_015430984.1
OG0001667	XP_016660819.2, XP_001949587.4, XP_016660818.2, XP_008182459.1, XP_008187915.2	XP_015440075.1
OG0001668	XP_001949692.1	XP_015439637.1
OG0001669	XP_001950332.1, XP_008179737.1	XP_015428749.1
OG0001670	XP_001950746.1	XP_015432625.1
OG0001671	XP_001950779.1, XP_016659456.1, XP_008182266.1, XP_008182272.1, XP_029346598.1, XP_016658189.1, XP_029344288.1, XP_008189734.1	XP_015437645.1
OG0001672	XP_016664060.1, XP_001950792.1	XP_015433859.1, XP_015433860.1, XP_015433858.1, XP_015433857.1
OG0001673	XP_001951789.2, XP_001951110.1	XP_015435389.1
OG0001674	XP_001951117.2	XP_015435396.1
OG0001675	XP_001951163.2, XP_008187982.1	XP_015434148.1
OG0001676	XP_001951600.1	XP_015436065.1
OG0001677	XP_001951757.1	XP_015437146.1
OG0001678	XP_001952151.3, XP_016656299.1	XP_015429968.1
OG0001679	XP_001952174.1	XP_015428407.1
OG0001680	XP_001952275.1	XP_015438640.1
OG0001681	XP_001952488.1, XP_003244801.1, XP_008183491.1, XP_008183492.1	XP_015432354.1, XP_015432355.1
OG0001682	XP_003241201.1	XP_015433709.1, XP_015433707.1
OG0001683	XP_003242711.1	XP_015436001.1
OG0001684	XP_003244008.1	XP_015433128.1, XP_015433129.1
OG0001685	XP_029345345.1, XP_003244045.1	XP_015434220.1
OG0001686	XP_003244114.1	XP_015434580.1
OG0001687	XP_003244150.1, XP_029343745.1, XP_003248022.1	XP_015428605.1, XP_015428513.1
OG0001688	XP_003244236.1	XP_015438970.1
OG0001689	XP_003246307.1, XP_016662081.1, XP_008185722.1, XP_029341680.1	XP_015428620.1
OG0001690	XP_003247236.1, XP_008181864.2	XP_015434158.1
OG0001691	XP_003247465.1	XP_015434721.1, XP_015434720.1
OG0001692	XP_003247659.1	XP_015430360.1
OG0001693	XP_003247797.1	XP_015435976.1
OG0001694	XP_003247833.1	XP_015429361.1
OG0001695	XP_003247962.1, XP_008184535.1, XP_029342167.1	XP_015432515.1
OG0001696	XP_029346128.1, XP_003248837.3	XP_015430092.1
OG0001697	XP_008178829.1	XP_015432434.1
OG0001699	XP_029345236.1, XP_008179743.1	XP_015435957.1
OG0001700	XP_008180611.1	XP_015434826.1
OG0001701	XP_008181703.1	XP_015433455.1
OG0001702	XP_008182063.3	XP_015437088.1
OG0001703	XP_008183132.2	XP_015432536.1
OG0001704	XP_008183183.1	XP_015438712.1
OG0001705	XP_008183746.1	XP_015433443.1, XP_015429654.1
OG0001706	XP_029342018.1, XP_008183985.1, XP_029342017.1, XP_016660636.1	XP_015440142.1
OG0001707	XP_008184047.1	XP_015429567.1
OG0001708	XP_008184069.1	XP_015429635.1
OG0001709	XP_008184777.1	XP_015429365.1
OG0001710	XP_008185276.2	XP_015429177.1
OG0001711	XP_008185641.1, XP_016661368.1	XP_015436935.1
OG0001712	XP_008185711.1	XP_015437609.1
OG0001713	XP_008185732.1, XP_008185731.1, XP_008185730.1, XP_008185729.1	XP_015439138.1
OG0001714	XP_008185781.1	XP_015435175.1, XP_015435172.1
OG0001715	XP_008186070.1	XP_015432563.1
OG0001716	XP_008186221.1	XP_015432047.1
OG0001717	XP_008186368.1	XP_015431723.1
OG0001718	XP_008186471.1	XP_015436538.1
OG0001719	XP_029346950.1, XP_008187666.1	XP_015432932.1
OG0001720	XP_008187727.1	XP_015429615.1
OG0001721	XP_008188269.1, XP_008188938.1	XP_015437587.1
OG0001722	XP_008189818.1	XP_015440203.1
OG0001723	XP_016656015.1	XP_015434811.1
OG0001724	XP_016657416.1	XP_015440037.1
OG0001725	XP_016657929.1	XP_015430311.1
OG0001726	XP_016658867.1	XP_015433761.1
OG0001727	XP_016659837.1	XP_015431273.1
OG0001728	XP_016659994.1	XP_015432270.1, XP_015432269.1
OG0001729	XP_016660123.1	XP_015428887.1
OG0001730	XP_016662596.1	XP_015439766.1, XP_015439728.1
OG0001731	XP_016662755.1, XP_029347626.1	XP_015431999.1
OG0001732	XP_016663406.1	XP_015439971.1, XP_015439970.1
OG0001733	XP_016663444.1, XP_029348714.1	XP_015430373.1
OG0001734	XP_029341592.1	XP_015430313.1
OG0001735	XP_029341951.1	XP_015434941.1
OG0001737	XP_029342873.1	XP_015429823.1
OG0001738	XP_029342948.1	XP_015431867.1
OG0001739	XP_029343150.1	XP_015438547.1
OG0001740	XP_029343949.1	XP_015428911.1
OG0001741	XP_029344099.1	XP_015431831.1
OG0001742	XP_029344583.1	XP_015430129.1
OG0001743	XP_029344991.1	XP_015432401.1
OG0001744	XP_029345593.1	XP_015434874.1
OG0001745	XP_029345636.1	XP_015440300.1
OG0001746	XP_029345814.1	XP_015434739.1
OG0001748	XP_029347349.1	XP_015434989.1
OG0001749	XP_029347633.1, XP_029347629.1	XP_015432797.1, XP_015432799.1
OG0001774	XP_008188214.1, NP_001155610.1, NP_001119694.1	XP_015436743.1, XP_015436744.1
OG0001775	XP_008188848.1, NP_001129410.1, NP_001156569.1	XP_015430270.1, XP_015430269.1
OG0001776	XP_001951172.2, NP_001129411.1	XP_015434581.1
OG0001777	NP_001129414.1	XP_015437651.1
OG0001778	NP_001129594.1	XP_015439889.1
OG0001779	XP_001945775.2, NP_001155452.1, NP_001155825.1	XP_015438578.1, XP_015438577.1
OG0001780	XP_016659892.1, NP_001155461.1	XP_015439263.1
OG0001781	NP_001155485.1, NP_001156710.1, NP_001156709.1, NP_001156708.1	XP_015436361.1
OG0001782	NP_001155515.1	XP_015429980.1
OG0001783	NP_001155530.1, XP_016660437.1	XP_015429903.1
OG0001784	NP_001155547.1	XP_015428693.1
OG0001785	XP_029341505.1, NP_001155654.1, XP_008182090.1	XP_015438089.1
OG0001786	XP_008178954.1, NP_001155672.1	XP_015430050.1, XP_015430059.1
OG0001787	NP_001155724.1	XP_015439588.1
OG0001788	XP_016663392.1, NP_001155801.1, XP_003241568.1	XP_015432875.1
OG0001789	NP_001156108.1, XP_016656321.1	XP_015439821.1
OG0001790	XP_008185976.1, NP_001156182.1	XP_015433136.1
OG0001791	NP_001156204.1, XP_008184616.1	XP_015429175.1, XP_015429176.1
OG0001792	NP_001156247.1, XP_008187622.1	XP_015434645.1
OG0001793	NP_001156305.1	XP_015436780.1
OG0001794	NP_001156307.1	XP_015428968.1
OG0001795	NP_001156453.1	XP_015439788.1
OG0001796	NP_001156565.1, XP_016655961.1	XP_015432675.1
OG0001797	XP_029347227.1, XP_029342124.1, NP_001156579.1	XP_015433387.1
OG0001799	NP_001156668.1, XP_008179071.1	XP_015430852.1
OG0001800	NP_001156706.1	XP_015430278.1
OG0001801	XP_001944696.1, NP_001157399.1, XP_001945331.2, XP_001951652.2	XP_015437812.1
OG0001802	XP_029345658.1, NP_001162144.1	XP_015433996.1
OG0001803	NP_001191873.1, NP_001191872.1, NP_001191871.1, XP_008183099.1, XP_029341515.1	XP_015430776.1
OG0001804	NP_001232953.1, XP_016657413.1	XP_015440056.1
OG0001805	NP_001232979.1	XP_015434025.1
OG0001806	NP_001233043.1	XP_015434909.1
OG0001807	XP_001942509.2	XP_015429156.1
OG0001808	XP_008187931.1, XP_001952480.2	XP_015435021.1
OG0001810	XP_001942856.1, XP_008179964.1	XP_015429544.1
OG0001811	XP_001943135.2, XP_016659076.1, XP_003241140.2, XP_016655900.1	XP_015433639.1
OG0001812	XP_001943187.1, XP_001948026.1	XP_015435802.1, XP_015435803.1, XP_015435804.1
OG0001813	XP_016663414.1, XP_001943319.2, XP_008187381.1	XP_015430989.1
OG0001814	XP_001943377.1	XP_015429721.1
OG0001815	XP_029348024.1, XP_001943392.1, XP_029341214.1, XP_001947071.2	XP_015438604.1
OG0001816	XP_008187096.1, XP_001943493.2, XP_016656595.1	XP_015436134.1
OG0001817	XP_029346498.1, XP_008179583.1, XP_001943498.1	XP_015438622.1
OG0001818	XP_001943774.1, XP_008180057.1	XP_015433781.1
OG0001819	XP_001943872.1, XP_008187524.1, XP_008179059.1, XP_001946078.2, XP_029344720.1, XP_003247569.1, XP_003248903.2, XP_029348132.1	XP_015430621.1
OG0001820	XP_001943903.1	XP_015431087.1
OG0001821	XP_003248297.1, XP_001943957.2	XP_015430084.1
OG0001822	XP_001944669.2	XP_015439384.1
OG0001823	XP_001944675.1, XP_008189752.1, XP_029347493.1, XP_029348629.1	XP_015434884.1
OG0001824	XP_001944700.1	XP_015437276.1
OG0001825	XP_001944739.1	XP_015434949.1
OG0001826	XP_001944820.1	XP_015429915.1
OG0001827	XP_001944905.2	XP_015439870.1
OG0001828	XP_003246708.1, XP_008186331.1, XP_001945001.1, XP_016660475.1	XP_015429898.1
OG0001829	XP_001945038.1	XP_015436324.1
OG0001830	XP_001945197.2	XP_015433385.1
OG0001831	XP_001945437.1	XP_015439064.1
OG0001832	XP_001945557.2	XP_015433224.1
OG0001833	XP_001945830.2	XP_015440389.1
OG0001834	XP_001946240.1	XP_015440453.1
OG0001835	XP_001946328.2, XP_016661442.1, XP_016661441.1	XP_015435898.1
OG0001836	XP_001946879.2	XP_015434061.1
OG0001837	XP_001946894.1	XP_015437382.1
OG0001838	XP_001947118.2	XP_015432627.1
OG0001839	XP_003246231.1, XP_001947141.1	XP_015428796.1
OG0001840	XP_001947300.1	XP_015433376.1
OG0001841	XP_001947958.2	XP_015440226.1
OG0001842	XP_001948010.1, XP_003245356.1, XP_016660916.1	XP_015431899.1
OG0001843	XP_029348519.1, XP_008186988.1, XP_001948155.2	XP_015436196.1
OG0001844	XP_003246366.1, XP_029343168.1, XP_001948222.1, XP_008186214.1	XP_015434159.1
OG0001845	XP_001948310.1, XP_003248687.2	XP_015430548.1, XP_015430547.1
OG0001846	XP_001948529.2	XP_015439994.1
OG0001847	XP_001948531.1	XP_015438674.1, XP_015438673.1
OG0001848	XP_016661036.1, XP_001948639.1	XP_015438236.1
OG0001849	XP_001948795.2, XP_003245783.1	XP_015435117.1, XP_015435116.1
OG0001850	XP_001948861.1	XP_015434105.1
OG0001851	XP_001949188.2	XP_015432666.1
OG0001852	XP_001949433.2	XP_015437348.1
OG0001853	XP_016664162.1, XP_016664159.1, XP_016664156.1, XP_001949667.2, XP_029342086.1	XP_015434447.1
OG0001854	XP_029343283.1	XP_015432691.1
OG0001855	XP_008188230.1, XP_001949717.1	XP_015437570.1
OG0001856	XP_001949793.2, XP_008182796.1	XP_015439519.1
OG0001857	XP_001949994.2	XP_015436238.1
OG0001858	XP_001950544.1	XP_015432338.1
OG0001859	XP_016660503.1, XP_001950684.2, XP_029345572.1	XP_015433623.1
OG0001860	XP_001950915.3	XP_015435415.1
OG0001861	XP_001951063.1	XP_015433347.1
OG0001862	XP_001951151.1, XP_008187987.1, XP_008187986.1	XP_015437814.1
OG0001863	XP_001951176.1	XP_015437511.1
OG0001864	XP_001951225.1	XP_015434760.1
OG0001865	XP_001951536.1, XP_001951914.1	XP_015429962.1
OG0001866	XP_029341527.1, XP_016657739.1, XP_001951538.1	XP_015434128.1
OG0001867	XP_001951701.1	XP_015433252.1
OG0001868	XP_001951736.1, XP_008183468.1, XP_008183466.1	XP_015440460.1, XP_015440462.1
OG0001869	XP_001952010.1, XP_016664220.1	XP_015432523.1
OG0001870	XP_001952173.2	XP_015436774.1
OG0001871	XP_001952722.1	XP_015432021.1
OG0001872	XP_001952755.1	XP_015428698.1
OG0001873	XP_001952829.1	XP_015429243.1
OG0001874	XP_008185190.1, XP_001952839.1	XP_015431168.1
OG0001875	XP_029346961.1, XP_001952853.2	XP_015434901.1
OG0001876	XP_001952862.2	XP_015431834.1
OG0001877	XP_003240052.1	XP_015434850.1
OG0001878	XP_029341366.1, XP_016656176.1, XP_003242518.2, XP_003240785.1, XP_003247189.1	XP_015432672.1
OG0001879	XP_003240974.1	XP_015432569.1
OG0001880	XP_003241869.2	XP_015429293.1
OG0001881	XP_003242009.1	XP_015432054.1
OG0001882	XP_003242232.1	XP_015434015.1
OG0001883	XP_003242255.1	XP_015438160.1
OG0001884	XP_016656757.1, XP_003242429.1	XP_015435161.1
OG0001885	XP_003242954.1, XP_008180737.1	XP_015433202.1
OG0001886	XP_003242961.1	XP_015430845.1
OG0001887	XP_008180938.2, XP_029342240.1, XP_003243122.1	XP_015430843.1
OG0001888	XP_003243530.1	XP_015430204.1
OG0001889	XP_029341382.1, XP_003246404.1, XP_003245803.1, XP_029348673.1, XP_003243691.1	XP_015438148.1, XP_015438141.1
OG0001890	XP_003247580.1, XP_003243804.1	XP_015434060.1
OG0001891	XP_003243994.1	XP_015440036.1
OG0001892	XP_003244214.1	XP_015440072.1, XP_015440073.1
OG0001893	XP_003245723.1	XP_015430593.1
OG0001894	XP_003246006.1, XP_029341180.1	XP_015430055.1, XP_015430053.1, XP_015430052.1, XP_015430054.1, XP_015430056.1, XP_015430051.1
OG0001895	XP_003246351.1, XP_029342851.1, XP_029342101.1	XP_015439234.1
OG0001896	XP_003246488.1	XP_015438399.1
OG0001897	XP_016662331.1, XP_016662330.1, XP_016662332.1, XP_003246500.3	XP_015432138.1
OG0001898	XP_029343282.1, XP_016662941.1, XP_003247013.1, XP_003246976.1	XP_015434801.1
OG0001899	XP_003247539.2, XP_008178962.1, XP_003247488.1	XP_015437370.1
OG0001900	XP_029344450.1, XP_016663722.1, XP_003247737.1, XP_016663723.1, XP_016663721.1, XP_008187787.1	XP_015435107.1
OG0001901	XP_008178515.1, XP_016656489.1	XP_015437320.1
OG0001902	XP_008178645.1	XP_015435627.1
OG0001903	XP_008178715.1	XP_015429925.1
OG0001904	XP_008179049.1, XP_008179053.1	XP_015439701.1
OG0001905	XP_008179792.1	XP_015433269.1
OG0001906	XP_029342055.1, XP_008179815.2, XP_029344463.1, XP_029341364.1, XP_016658914.1, XP_029342300.1, XP_029341631.1, XP_029341273.1, XP_029345733.1, XP_029348404.1, XP_016661773.1	XP_015438434.1
OG0001907	XP_029342208.1, XP_029340990.1, XP_008190086.2	XP_015433560.1
OG0001908	XP_008181779.1	XP_015437153.1
OG0001909	XP_008182340.1	XP_015440209.1
OG0001910	XP_008182560.1, XP_029346097.1	XP_015433997.1
OG0001912	XP_008182696.1	XP_015433690.1
OG0001913	XP_016659699.1, XP_008182892.1, XP_029344147.1	XP_015431486.1
OG0001914	XP_008183203.1, XP_008183199.1	XP_015431801.1
OG0001915	XP_008183547.2	XP_015433363.1
OG0001916	XP_008183576.1	XP_015428552.1
OG0001917	XP_008183695.1	XP_015431859.1
OG0001919	XP_008185199.1	XP_015435780.1
OG0001920	XP_008185245.2	XP_015438499.1
OG0001921	XP_008185452.1	XP_015433952.1, XP_015430139.1
OG0001922	XP_029346200.1, XP_008185784.1	XP_015433698.1, XP_015433700.1
OG0001923	XP_008185966.1	XP_015434670.1
OG0001924	XP_008186124.1	XP_015431830.1
OG0001925	XP_008186171.1	XP_015440515.1
OG0001926	XP_008186521.1	XP_015437501.1
OG0001927	XP_008186724.1, XP_008186723.1, XP_029342722.1	XP_015432693.1
OG0001928	XP_016663362.1, XP_016663361.1, XP_016663364.1, XP_029345615.1, XP_016663360.1, XP_008187295.1	XP_015431266.1
OG0001929	XP_008188001.1	XP_015438534.1
OG0001930	XP_008189285.1	XP_015437649.1
OG0001931	XP_008189349.1	XP_015429157.1
OG0001933	XP_016656755.1	XP_015429918.1
OG0001934	XP_016659094.2	XP_015434258.1
OG0001935	XP_029345347.1, XP_016659373.1	XP_015429168.1
OG0001936	XP_016659625.1, XP_029343633.1	XP_015437464.1
OG0001937	XP_016660066.1	XP_015436344.1
OG0001938	XP_016661178.2	XP_015433114.1
OG0001939	XP_016662921.1	XP_015431077.1, XP_015431078.1
OG0001940	XP_016664224.1	XP_015429924.1
OG0001941	XP_029342563.1	XP_015435926.1
OG0001942	XP_029342943.1	XP_015438645.1
OG0001943	XP_029348042.1, XP_029343108.1	XP_015436752.1, XP_015436751.1, XP_015436753.1
OG0001944	XP_029343229.1, XP_029343228.1	XP_015435375.1
OG0001945	XP_029343268.1, XP_029343266.1	XP_015428388.1
OG0001946	XP_029343313.1	XP_015437315.1
OG0001947	XP_029343893.1	XP_015438019.1
OG0001948	XP_029343945.1	XP_015429103.1
OG0001949	XP_029344221.1	XP_015433773.1
OG0001950	XP_029344449.1	XP_015435899.1
OG0001951	XP_029345038.1	XP_015429402.1, XP_015429403.1
OG0001952	XP_029345699.1	XP_015430425.1
OG0001953	XP_029346601.1	XP_015428771.1, XP_015428678.1
OG0001987	NP_001153863.1	XP_015432385.1
OG0001988	NP_001155380.1, XP_008184303.1	XP_015436771.1
OG0001989	NP_001155391.1, XP_008180716.1	XP_015435807.1
OG0001990	NP_001155397.1	XP_015436585.1, XP_015437377.1
OG0001991	NP_001155422.1, XP_029344736.1	XP_015440304.1
OG0001992	NP_001155668.1, XP_008180669.1	XP_015429340.1
OG0001993	NP_001155708.1	XP_015428785.1
OG0001994	NP_001155742.1, XP_008187651.1	XP_015429597.1
OG0001995	NP_001155756.1	XP_015429226.1
OG0001996	XP_008185909.1, NP_001155858.1	XP_015428730.1
OG0001997	NP_001156096.1, XP_008181077.1, XP_008182672.2	XP_015433227.1
OG0001998	XP_008183251.1, NP_001156221.1	XP_015431729.1
OG0001999	NP_001156231.1	XP_015429728.1
OG0002000	NP_001156269.1, XP_029344804.1	XP_015428703.1
OG0002001	NP_001156703.1	XP_015438325.1
OG0002002	NP_001157180.1, XP_001948608.2, XP_008183055.1, XP_001948649.2	XP_015438333.1
OG0002003	NP_001162147.1	XP_015434769.1, XP_015434768.1
OG0002004	NP_001191855.1	XP_015431663.1
OG0002005	NP_001191949.1, XP_008190009.1	XP_015429376.1
OG0002006	XP_008181499.1, XP_008179670.1, NP_001232987.1, XP_008190079.1, XP_008189278.1, NP_001280479.1	XP_015435248.1
OG0002007	NP_001233075.1	XP_015440384.1
OG0002008	XP_029340936.1, XP_029348085.1, XP_029344237.1	XP_015435184.1, XP_015436819.1, XP_015437904.1, XP_015434973.1, XP_015437067.1
OG0002008	XP_008178915.1, NP_001280300.1	XP_015429692.1
OG0002009	NP_001280317.1	XP_015439786.1
OG0002010	XP_001950007.1, NP_001280444.1	XP_015429577.1, XP_015429576.1
OG0002011	XP_029347613.1, XP_001942528.1	XP_015428658.1
OG0002012	XP_001942532.2	XP_015432233.1
OG0002013	XP_001943028.2	XP_015429604.1
OG0002014	XP_001943263.2	XP_015428636.1
OG0002015	XP_001943314.1	XP_015439998.1
OG0002016	XP_001944071.1, XP_001943461.1, XP_029341274.1	XP_015431553.1
OG0002017	XP_001943519.1	XP_015439321.1
OG0002018	XP_003244523.1, XP_001948706.2, XP_001943559.2	XP_015430276.1
OG0002019	XP_001946553.1	XP_015437340.1
OG0002020	XP_001943702.1	XP_015440318.1
OG0002021	XP_001943795.2	XP_015429432.1
OG0002022	XP_029348587.1, XP_029342337.1, XP_029345860.1, XP_029341001.1, XP_001943817.2, XP_029342340.1, XP_003248711.2, XP_029342345.1	XP_015429006.1
OG0002023	XP_001943859.1, XP_003248674.1	XP_015432377.1
OG0002024	XP_001943867.2	XP_015440343.1
OG0002025	XP_001943896.1	XP_015430739.1
OG0002026	XP_003247615.2, XP_029341238.1, XP_029346359.1, XP_016661078.1, XP_029341363.1, XP_016661593.1, XP_001943915.2, XP_029345760.1, XP_016658533.1, XP_001948096.2	XP_015429711.1
OG0002027	XP_001944016.1	XP_015432685.1
OG0002028	XP_001944028.1	XP_015437763.1
OG0002029	XP_001944072.1, XP_029344159.1	XP_015430331.1
OG0002030	XP_001944077.2	XP_015434920.1
OG0002032	XP_003246696.1, XP_001944309.2	XP_015439664.1
OG0002035	XP_001944639.2	XP_015433446.1
