Orthogroup	Acyrthosiphon_pisum	Bombus_terrestris
OG0000583	XP_029343725.1, XP_008181439.1	XP_020722144.1, XP_020722143.1, XP_003400384.1, XP_020722142.1, XP_020722141.1
OG0000584	XP_029341217.1, XP_029344802.1, NP_001233020.1, XP_008184503.1, XP_029344785.1, NP_001155674.1	XP_003403257.1
OG0000584	XP_001946745.1	XP_012173081.1
OG0000585	NP_001155736.1	XP_003394914.3, XP_003395233.1
OG0000586	NP_001155908.1	XP_003394586.1, XP_003394183.3
OG0000587	XP_001948433.1, XP_001944178.3, NP_001156229.1	XP_012170823.1, XP_012170822.1
OG0000588	NP_001156462.1, XP_008185322.1	XP_012170446.1, XP_012170447.1, XP_012170445.1, XP_003399827.1
OG0000589	XP_008183583.1, XP_001949827.1, XP_001947598.1, XP_029347133.1, XP_001946532.1, NP_001313590.1, XP_029347135.1, XP_029347136.1, XP_029345006.1, XP_016663019.1, XP_029346473.1	XP_012166088.1
OG0000591	XP_001943166.1, XP_001949496.4	XP_003402263.1
OG0000591	XP_001948414.2	XP_003395522.1
OG0000592	XP_003247762.1, XP_001946696.2, XP_001943565.2	XP_012165858.1, XP_003401003.1
OG0000593	XP_001944454.2, XP_016656599.1	XP_020720777.1, XP_012175377.2
OG0000594	XP_001944510.1, XP_016659956.1	XP_012166222.1, XP_012166223.1, XP_012166219.1, XP_012166220.1, XP_012166221.1, XP_020719791.1
OG0000595	XP_001945171.1	XP_012172379.1
OG0000595	XP_008187736.1, XP_029343107.1, XP_008186391.1	XP_012172378.1
OG0000596	XP_001945526.2	XP_012175793.1, XP_012175798.1, XP_012175799.1, XP_012175800.1
OG0000597	XP_029346194.1, XP_001950872.3, XP_016662072.1, XP_016662073.1, XP_001947992.2, XP_008183663.1, XP_001946757.2, XP_016660310.1, XP_008183665.1	XP_020719620.1, XP_020719621.1, XP_003396841.1, XP_012165530.1
OG0000598	XP_001947666.2, XP_008183737.1	XP_012173053.1
OG0000598	XP_001950892.1	XP_012173052.1
OG0000599	XP_001949191.1	XP_012171073.1, XP_012171260.1, XP_020719234.1
OG0000600	XP_001949669.2	XP_003398374.1, XP_012168092.1
OG0000601	XP_001951658.1, XP_003246181.1	XP_003401586.1
OG0000601	XP_001950538.1	XP_012172544.1
OG0000602	XP_001950931.1, XP_029345659.1	XP_003399782.1, XP_020719651.1
OG0000603	XP_001952527.1	XP_003401312.1
OG0000604	XP_003240405.1, XP_016659400.1	XP_003402748.1, XP_012174449.1
OG0000606	XP_003243713.1, XP_008179811.1, XP_016657625.1, XP_016664132.1	XP_020718282.1, XP_012163545.1
OG0000607	XP_003244133.1, XP_029345829.1	XP_012171548.1, XP_012171547.1
OG0000609	XP_003247040.1	XP_003395437.1
OG0000611	XP_008182169.1	XP_020722663.1
OG0000612	XP_016663112.1	XP_012166740.1, XP_012166739.1, XP_003397412.1, XP_020719994.1
OG0000613	XP_016665058.2, XP_029341905.1	XP_012163556.1
OG0000613	XP_029346846.1	XP_020724166.1
OG0000614	XP_029347847.1, XP_029345755.1	XP_020723124.1
OG0000614	XP_029345094.1	XP_003401258.2
OG0000619	NP_001119620.1	XP_012163419.1
OG0000620	NP_001119693.1	XP_003394706.1, XP_003394705.1
OG0000621	NP_001155449.1, XP_008178126.1	XP_003399063.1, XP_012169265.1, XP_012169266.1
OG0000622	NP_001155451.1	XP_020722676.1, XP_003401208.1
OG0000623	XP_008181802.1, NP_001155779.1	XP_003399765.2
OG0000624	XP_029346569.1, XP_008186582.1, NP_001155814.1	XP_003402928.1, XP_012174804.1
OG0000625	NP_001156612.1	XP_012174796.1, XP_012174795.1, XP_012174794.1, XP_003402908.1
OG0000626	NP_001157405.1, NP_001156700.1	XP_012169948.1, XP_012169951.1, XP_012169950.1, XP_012169949.1, XP_003399507.1, XP_020721555.1
OG0000627	NP_001313551.1, XP_016663665.1	XP_012169193.1, XP_012169194.1, XP_012169195.1
OG0000628	XP_001943157.3	XP_020721271.1
OG0000628	XP_029344381.1	XP_020721278.1
OG0000629	XP_003245664.2, XP_001943353.2	XP_020720524.1, XP_020720523.1, XP_012168332.1, XP_003398563.1, XP_012168331.1, XP_020720526.1
OG0000630	XP_029341235.1, XP_003248256.2, XP_001943356.2, XP_029341593.1, XP_008183510.2, XP_003248907.2, XP_003249052.1, XP_001950210.2, XP_016665115.2	XP_003397815.1, XP_020720222.1
OG0000631	XP_008188517.1, XP_029342232.1, XP_029348412.1, XP_001943770.2, XP_001944782.1, XP_003243146.1	XP_012171546.1
OG0000632	XP_001943796.1, XP_029342184.1	XP_012170947.1, XP_003400196.1
OG0000633	XP_029343122.1, XP_001945563.1	XP_003400531.1, XP_003393832.2
OG0000634	XP_001946193.5, XP_001948513.1	XP_003402330.1, XP_003402329.1
OG0000635	XP_001946319.1	XP_012174835.1, XP_012166436.1, XP_003402918.1
OG0000636	XP_029342986.1, XP_001946474.2, XP_008184598.1	XP_012168337.1, XP_012168338.1, XP_012168335.1, XP_012168336.1
OG0000637	XP_001946886.2	XP_020719016.1
OG0000639	XP_001947904.1	XP_003393881.1
OG0000640	XP_001948379.1	XP_003396245.1, XP_020719607.1, XP_003396246.1, XP_003396247.1
OG0000641	XP_001948633.1	XP_012166954.1, XP_012166953.1, XP_012166951.1, XP_012166952.1, XP_012166950.1, XP_012166949.1, XP_003397465.1
OG0000642	XP_001949229.1, XP_008179851.1	XP_012174219.1, XP_003394019.1, XP_020724049.1
OG0000643	XP_003245435.1, XP_001949448.1	XP_003396021.1, XP_003396020.1
OG0000644	XP_001950271.1	XP_020722877.1, XP_020722876.1, XP_020722869.1, XP_003393959.1
OG0000645	XP_001950725.2	XP_012173365.1
OG0000645	XP_029344525.1	XP_012173367.1
OG0000646	XP_016657958.1, XP_001951007.1, XP_029346742.1, XP_029346743.1	XP_003396957.1
OG0000647	XP_001951116.2	XP_012166548.1, XP_012166549.1
OG0000649	XP_003242338.1, XP_016660033.2, XP_029341182.1, XP_029346979.1, XP_003244481.1, XP_029341181.1	XP_020720863.1
OG0000650	XP_003246432.1	XP_012167695.1, XP_020720049.1
OG0000651	XP_003247009.1	XP_012164915.1, XP_003394047.1
OG0000653	XP_008181156.1	XP_020718880.1
OG0000654	XP_008181167.2	XP_012168767.1, XP_012176459.1
OG0000655	XP_008181620.1	XP_020723808.1, XP_020723801.1
OG0000656	XP_008183337.1, XP_008183338.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0000657	XP_008186354.1	XP_003393704.1, XP_012173096.1
OG0000659	XP_016660491.1	XP_012167136.1
OG0000660	XP_016660539.2	XP_003394244.1
OG0000661	XP_016664461.2	XP_012170187.1
OG0000662	XP_029341705.1, XP_029346479.1	XP_003402903.1
OG0000663	XP_029342326.1	XP_020721894.1, XP_020721895.1, XP_020721897.1
OG0000664	XP_029343053.1	XP_012167122.1
OG0000665	XP_029343937.1	XP_012171985.1, XP_020722362.1, XP_020722363.1, XP_020722361.1, XP_020722359.1, XP_020722358.1, XP_020722365.1, XP_020722357.1, XP_020722360.1, XP_020722364.1
OG0000666	XP_029343991.1	XP_003397879.2
OG0000667	XP_029344002.1	XP_003396571.1, XP_020719393.1, XP_012165583.1
OG0000668	XP_029345637.1	XP_020721259.1, XP_020721258.1, XP_020721257.1, XP_012169432.1, XP_012169434.1, XP_012169429.1, XP_012169431.1, XP_003399159.1, XP_020721256.1
OG0000669	XP_029347009.1	XP_012174960.1, XP_012174961.1, XP_012174962.1, XP_020723779.1
OG0000680	NP_001119660.1, XP_008189851.1	XP_020722815.1, XP_012172941.1
OG0000681	XP_016659328.1, NP_001153525.1	XP_003393962.3, XP_012168318.1, XP_003398555.1
OG0000682	NP_001155393.1, XP_008182210.1, NP_001267493.1, XP_008186960.1, XP_029343618.1, NP_001313605.1, NP_001155479.1	XP_003398288.1
OG0000683	NP_001155481.1	XP_012167357.1
OG0000684	NP_001155644.1, XP_016662860.1	XP_003395928.1, XP_012164712.1, XP_012164713.1, XP_012164714.1
OG0000685	NP_001313600.1, NP_001156726.1	XP_012164924.1, XP_003393461.1
OG0000686	XP_001942741.1	XP_012175845.1
OG0000687	XP_001942765.1	XP_020720255.1, XP_003397750.1
OG0000688	XP_001942926.1	XP_020722005.1, XP_003400394.1
OG0000689	XP_001943336.2	XP_020718795.1, XP_012174006.1
OG0000689	XP_008186328.3	XP_012164124.2, XP_012164123.1
OG0000690	XP_008184851.1, XP_001946054.2, XP_029344519.1	XP_020719698.1, XP_020719697.1
OG0000691	XP_001946073.1, XP_003241430.1, XP_008178465.1, XP_001952703.2	XP_003402708.1
OG0000692	XP_001946699.1, XP_029347455.1	XP_012168058.1
OG0000693	XP_001947047.2, XP_016656947.1	XP_003393251.1
OG0000694	XP_029345691.1, XP_008187750.1, XP_001950665.2, XP_001948147.2, XP_016655865.1, XP_008186608.1, XP_003241679.1, XP_003241678.1, XP_016656515.1, XP_016657356.2, XP_016662803.2	XP_003395478.1, XP_012163747.1
OG0000695	XP_001949079.2, XP_029347773.1, XP_029341226.1	XP_020724309.1, XP_003394580.3
OG0000696	XP_001950288.1, XP_003247074.1	XP_012166361.1, XP_003397073.1
OG0000697	XP_003247861.2, XP_001951353.2	XP_012174877.1, XP_003393808.1, XP_020723208.1
OG0000698	XP_001951677.1	XP_020718741.1, XP_003395283.1
OG0000699	XP_001952780.2, XP_003240569.1	XP_012167389.1
OG0000700	XP_003241277.1	XP_003393470.1, XP_020720939.1, XP_003393503.1
OG0000701	XP_003248730.1, XP_029341434.1, XP_029341372.1, XP_016664010.2, XP_029348216.1, XP_008184909.1, XP_029341470.1, XP_029341404.1, XP_008179573.1, XP_029342398.1, XP_029342386.1, XP_029342387.1, XP_029340947.1, XP_029340948.1, XP_016657105.1, XP_029341003.1, XP_008188186.2, XP_008180110.2, XP_008184910.1, XP_029341002.1, XP_003241493.3, XP_029342383.1, XP_008184911.1, XP_029341367.1, XP_029348684.1	XP_012166345.1
OG0000703	XP_003244064.1	XP_012176529.1, XP_012176528.1, XP_020724350.1
OG0000704	XP_003244598.1	XP_012171733.1, XP_012171732.1, XP_003400887.1, XP_003400575.1
OG0000705	XP_003246626.1	XP_003395984.1
OG0000706	XP_003246815.1, XP_008186469.1, XP_008186470.1, XP_003248641.2, XP_008182767.2	XP_020719204.1, XP_012165913.1, XP_012165915.1, XP_020719206.1, XP_012165912.1, XP_020719677.1
OG0000707	XP_003247162.1	XP_003402441.1
OG0000708	XP_008178377.1	XP_012172272.1
OG0000709	XP_008179400.1, XP_029347123.1	XP_012174951.1, XP_003403133.1
OG0000710	XP_008181290.1	XP_003402531.3, XP_020723291.1, XP_012167869.1, XP_003398214.1
OG0000711	XP_008181778.1, XP_029347417.1, XP_016658910.1	XP_012176476.1, XP_012176475.1, XP_003394640.1
OG0000712	XP_029343403.1, XP_008181834.1	XP_012164541.1, XP_012164544.1
OG0000713	XP_016659225.1, XP_008182238.1, XP_029344328.1	XP_012171163.2
OG0000714	XP_008182728.1	XP_012169796.1, XP_012169790.1
OG0000715	XP_008183424.1	XP_012172658.1, XP_012172655.1
OG0000716	XP_008185071.1	XP_012165552.1, XP_003396953.1, XP_012165555.1, XP_012165553.1, XP_012165554.1
OG0000717	XP_029343285.1, XP_008186737.1, XP_008186736.1	XP_003393230.2
OG0000718	XP_016663726.1	XP_020722241.1, XP_003400451.2
OG0000719	XP_029341070.1, XP_029341073.1	XP_012175363.1, XP_003403338.1
OG0000720	XP_029344440.1	XP_012164711.2
OG0000720	XP_029343675.1	XP_020722483.1
OG0000721	XP_029344487.1, XP_029344486.1	XP_003394193.1, XP_012175974.1, XP_012175975.1
OG0000722	XP_029346583.1	XP_003401744.1, XP_003401743.1
OG0000723	XP_029346730.1, XP_029346734.1	XP_012163474.1, XP_020718422.1
OG0000736	NP_001155375.1, XP_016658086.1	XP_012171958.1, XP_012171960.1, XP_012171957.1, XP_012171959.1
OG0000737	XP_016663358.1, NP_001155484.1	XP_020720393.1, XP_012167130.1, XP_012167131.1, XP_003397590.1
OG0000738	NP_001155539.1, XP_029346550.1	XP_020718623.1
OG0000739	NP_001155649.1	XP_020722159.1
OG0000740	XP_008183991.1, NP_001156301.1	XP_020720925.1
OG0000741	XP_008179667.1, NP_001156595.1, NP_001280465.1, XP_008183839.1	XP_012169519.1
OG0000742	XP_001946012.1, NP_001164573.1	XP_012168275.1, XP_003398531.1, XP_020720818.1, XP_020720817.1, XP_012168272.1
OG0000743	NP_001192101.1, XP_029344784.1	XP_020719414.1
OG0000744	XP_016663430.1, XP_001943030.2, XP_029347118.1, XP_029347117.1, XP_008179977.1, XP_008179976.1, XP_008179975.1	XP_003399518.1, XP_012169964.1
OG0000745	XP_003244954.1, XP_001943033.1	XP_020720302.1, XP_003397645.1
OG0000746	XP_029344776.1, XP_029344777.1	XP_003396315.2, XP_012165290.1
OG0000747	XP_001943161.2	XP_020720902.1, XP_020720903.1, XP_012169371.1, XP_003399124.1
OG0000748	XP_029345925.1, XP_001943539.2	XP_020718352.1, XP_012163559.2
OG0000749	XP_001943996.1	XP_003401442.1
OG0000750	XP_001944397.3	XP_012169218.1
OG0000751	XP_008185151.1	XP_003393136.1
OG0000752	XP_001944830.2, XP_008183252.1	XP_012171522.1, XP_012171521.1
OG0000753	XP_001944864.1	XP_012172333.2
OG0000754	XP_001945603.2	XP_003397354.1, XP_012172260.1
OG0000755	XP_001946913.2	XP_012171348.1
OG0000756	XP_001947745.1	XP_012166187.2, XP_003396503.1
OG0000757	XP_001948207.2	XP_012163120.1, XP_012163117.1, XP_012163115.1
OG0000758	XP_001949398.1	XP_020723598.1, XP_020723872.1, XP_012175288.1
OG0000759	XP_008180676.1, XP_008180677.1, XP_029347554.1, XP_016661927.1, XP_001952255.2, XP_008185514.1, XP_001950119.1	XP_012170366.1, XP_012170365.1
OG0000760	XP_001952274.1, XP_001950880.1	XP_003397895.1
OG0000761	XP_001951069.1	XP_003396214.1, XP_012165005.1, XP_012165007.1, XP_012165006.1
OG0000762	XP_003240034.2, XP_008181472.1	XP_012166505.1, XP_020719779.1, XP_003397286.1, XP_020719780.1
OG0000764	XP_003243312.1, XP_003247758.1, XP_003240879.1	XP_012164488.1, XP_012164487.2
OG0000765	XP_016662867.1, XP_008179296.1, XP_003241937.1	XP_003394840.1
OG0000766	XP_003242410.1	XP_012174256.2
OG0000767	XP_003242497.1	XP_003396887.1, XP_003396886.1
OG0000768	XP_003242754.2	XP_020721017.1, XP_012169271.1
OG0000769	XP_003243699.1, XP_016658959.1, XP_016658960.1, XP_016658961.1, XP_016658962.1, XP_016658963.1	XP_012165009.1
OG0000770	XP_003243896.2	XP_012171528.1, XP_012171527.1, XP_012171526.1, XP_020722158.1, XP_003400581.1, XP_003400580.1
OG0000771	XP_003246709.1, XP_008180166.1, XP_008180167.1	XP_020718374.1, XP_020718373.1
OG0000772	XP_003246953.1	XP_012166941.1
OG0000773	XP_003247559.1	XP_003398938.1, XP_003398939.1, XP_012169055.1, XP_012169054.1
OG0000774	XP_008183902.3	XP_012175365.1, XP_012175366.1, XP_012175368.1, XP_012175367.1
OG0000775	XP_008187985.1	XP_012169075.1, XP_012169071.1
OG0000776	XP_016655940.1	XP_020720859.1, XP_012164662.1
OG0000777	XP_016657137.1	XP_003400768.1
OG0000778	XP_016662047.1	XP_012165516.1, XP_012165515.1, XP_003396680.1, XP_020719577.1
OG0000779	XP_029342860.1, XP_029342859.1, XP_029342861.1, XP_029342858.1	XP_003402761.1, XP_012174505.1
OG0000780	XP_029343263.1	XP_003398230.1
OG0000781	XP_029344213.1	XP_020724147.1, XP_012176228.1, XP_012176227.1, XP_012176226.1, XP_003394353.1
OG0000782	XP_029344948.1	XP_020719984.1, XP_020719985.1, XP_020719989.1, XP_020719988.1, XP_020719990.1, XP_003397405.1, XP_012166825.1, XP_012166824.1, XP_020719987.1, XP_020719986.1
OG0000783	XP_029346817.1	XP_003400201.1
OG0000784	XP_029347518.1	XP_012170933.1
OG0000795	NP_001156238.1, XP_008186286.1, XP_001951765.1, NP_001119696.2, XP_016660020.1, XP_016660021.1, XP_001946038.2, XP_029344502.1, XP_029344503.1, NP_001119641.1	XP_003396709.1
OG0000796	XP_008186449.1, XP_016664985.1, XP_001943747.1, NP_001119670.1, NP_001119669.1	XP_012163333.1, XP_012174179.1
OG0000797	NP_001155536.1, XP_008179738.1	XP_012174944.1, XP_012174943.1, XP_012174942.1, XP_012174941.1
OG0000798	XP_008181596.1, NP_001155751.1	XP_020723080.1
OG0000799	NP_001191909.1	XP_012167594.1, XP_012167591.1
OG0000800	XP_029344345.1, NP_001280254.1	XP_012167818.1
OG0000801	XP_001942708.2	XP_020723107.1
OG0000801	XP_029347083.1	XP_020720868.1
OG0000802	XP_001944066.2, XP_016657154.1, XP_016657155.1, XP_003242174.1, XP_008179622.1	XP_012168354.1
OG0000803	XP_001944109.4, XP_008185697.1, XP_001944311.1, XP_001949303.2	XP_020720273.1, XP_020720272.1, XP_003397466.1
OG0000804	XP_001944120.1, XP_008187383.1	XP_003394698.1
OG0000805	XP_001944246.2	XP_003396039.1, XP_012174200.1
OG0000806	XP_008179699.1, XP_001944941.1	XP_003397751.1, XP_012167092.1, XP_012167093.1
OG0000807	XP_003247579.1, XP_001945486.2, XP_003248704.2	XP_003399650.1, XP_012170173.1, XP_012170172.1
OG0000808	XP_029343847.1, XP_029343848.1, XP_001946418.2, XP_016659879.1	XP_020720805.1, XP_012167781.1
OG0000809	XP_008186770.1, XP_001946703.2	XP_020718937.1, XP_003395415.2, XP_003402523.3
OG0000810	XP_001947304.2, XP_029344161.1, XP_016657984.1, XP_016657989.1, XP_029344163.1, XP_008180697.1, XP_016663292.2	XP_020721358.1, XP_003399739.1
OG0000811	XP_001947939.1	XP_012166695.1
OG0000812	XP_001947963.1	XP_003396592.1, XP_003394553.1
OG0000813	XP_029346295.1, XP_001948027.2	XP_003399910.1
OG0000814	XP_001948078.2	XP_003402088.1, XP_003401929.1
OG0000815	XP_029345346.1, XP_001949153.2	XP_012165603.1, XP_012165623.1, XP_012165628.1
OG0000816	XP_001949694.2	XP_003398314.1
OG0000817	XP_029342612.1, XP_029342611.1, XP_029342610.1, XP_029342609.1, XP_029342613.1, XP_029342607.1, XP_029342608.1, XP_001950448.2	XP_003394391.1
OG0000818	XP_001950955.1	XP_003394690.1
OG0000819	XP_001951678.2, XP_016659276.1	XP_020722584.1, XP_012172650.1
OG0000820	XP_008185881.1, XP_008185880.1, XP_001952482.1	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1
OG0000821	XP_029344238.1, XP_003240215.1	XP_003398511.1
OG0000822	XP_003240675.3	XP_003393415.1, XP_012168194.1
OG0000823	XP_003240707.1, XP_003240706.1	XP_003399445.1
OG0000824	XP_029342026.1, XP_003248928.3, XP_003241462.2, XP_008182289.1	XP_012173206.2, XP_012175405.1
OG0000825	XP_003241553.2	XP_012167590.1
OG0000826	XP_003244511.1	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1
OG0000827	XP_016656812.1, XP_008179252.2	XP_020720559.1, XP_020720562.1
OG0000828	XP_003245187.1, XP_008184040.1	XP_012164794.1, XP_003396173.1, XP_012164795.1
OG0000829	XP_003245191.1	XP_003399769.1
OG0000830	XP_008178146.1	XP_003394299.1
OG0000831	XP_008189605.1, XP_008180570.1, XP_016657902.1	XP_012170449.1, XP_012170452.1
OG0000832	XP_008182919.1	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1
OG0000833	XP_008183110.1	XP_020721531.1, XP_020721525.1, XP_020721530.1
OG0000834	XP_008183381.1	XP_012168056.1, XP_003393407.1
OG0000835	XP_008189794.1	XP_003397475.2, XP_003399682.1
OG0000836	XP_016663271.1	XP_020722762.1
OG0000837	XP_016663450.1	XP_003397404.1, XP_012166829.1, XP_012166828.1
OG0000838	XP_016663923.1, XP_016663922.1, XP_016663921.1	XP_012171244.1, XP_012171252.1
OG0000839	XP_029342210.1	XP_003397297.1, XP_003397300.2
OG0000840	XP_029344086.1	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1
OG0000849	NP_001155432.1	XP_012168166.1
OG0000850	NP_001155554.1, XP_008179389.1	XP_020722106.1
OG0000851	XP_003246520.1, NP_001155696.1, XP_029347342.1	XP_020722809.1
OG0000852	XP_016661807.1, NP_001156121.1	XP_003393795.1
OG0000853	NP_001156172.1	XP_012170145.1
OG0000854	XP_008178183.1, XP_029340894.1, XP_008183153.1, XP_008181121.1, XP_008178737.1, XP_008180857.1, XP_008180959.1, NP_001229571.1, NP_001229572.1	XP_003402671.1
OG0000855	NP_001280372.1, XP_016660360.1, XP_016660358.1, XP_016660357.1, XP_001951501.1	XP_012165430.1, XP_012165429.1, XP_020719312.1
OG0000856	XP_001944203.2	XP_012170655.1
OG0000856	NP_001313579.1	XP_012170595.1
OG0000857	XP_001942608.1, XP_003247461.2, XP_029344421.1, XP_029344420.1	XP_003395095.1
OG0000858	XP_001948394.1	XP_012171446.2
OG0000858	XP_001943018.1	XP_012170951.1
OG0000859	XP_001943333.1	XP_012164139.1, XP_012164154.1, XP_012164160.1, XP_012164147.1
OG0000860	XP_029348649.1, XP_029348648.1, XP_029345221.1, XP_001943371.2	XP_003394311.1
OG0000861	XP_001943495.2, XP_001947434.2	XP_020723751.1
OG0000862	XP_001943841.2	XP_003395982.1
OG0000863	XP_001944634.1	XP_003403039.1, XP_012175002.1, XP_012175001.1
OG0000864	XP_029345798.1, XP_029342614.1, XP_001945030.2, XP_008185465.2, XP_029346668.1	XP_012163958.1
OG0000865	XP_001951167.1, XP_029345436.1, XP_001945062.1	XP_012164079.1, XP_020718611.1
OG0000866	XP_008183938.1, XP_001945084.3	XP_003399480.1
OG0000867	XP_001945535.1, XP_008181986.1	XP_012166142.1, XP_003396980.1, XP_020719315.1, XP_020719313.1, XP_020719314.1
OG0000868	XP_008183386.1, XP_001945634.2	XP_020723310.1
OG0000869	XP_001945684.1, XP_008185644.1	XP_012167588.1, XP_003397889.1
OG0000870	XP_001945801.1	XP_003401670.1, XP_012172959.1, XP_012172958.1
OG0000871	XP_001946071.2, XP_016659112.1	XP_003400941.1
OG0000872	XP_001946312.1	XP_012176769.1
OG0000873	XP_001946748.1, XP_008187164.1	XP_012176736.1
OG0000874	XP_003245660.1, XP_008184747.1, XP_003245661.1, XP_001946753.1	XP_003396333.1, XP_012165312.1, XP_012165311.1
OG0000875	XP_001947094.1, XP_001950328.1	XP_003400299.1, XP_012171080.1
OG0000876	XP_001947490.1	XP_003403104.1, XP_012175097.1, XP_012175096.1
OG0000877	XP_016659610.1, XP_001947810.2, XP_008182746.1	XP_012171004.1, XP_012171005.1, XP_012171009.1, XP_012171010.1, XP_012171003.1, XP_020721912.1, XP_020721911.1, XP_020721910.1, XP_012171011.1
OG0000878	XP_001948817.3	XP_012166400.1, XP_012166398.1
OG0000879	XP_008186646.1, XP_001949000.1	XP_003400151.1
OG0000880	XP_001949920.1	XP_012171495.1, XP_020722002.1, XP_003400662.1
OG0000881	XP_001950664.1	XP_020720593.1, XP_003398360.1, XP_012168067.1, XP_012168068.1, XP_012168069.1, XP_012168071.1
OG0000882	XP_001951125.1	XP_003398034.1
OG0000883	XP_001951272.1, XP_029346319.1	XP_012172830.1
OG0000884	XP_001952050.1	XP_012172789.1, XP_020722724.1, XP_012172793.1
OG0000885	XP_029346362.1, XP_001952390.3	XP_012166636.1
OG0000886	XP_003240757.1	XP_003400850.1
OG0000887	XP_008180113.2, XP_003241963.1	XP_003402796.1, XP_003402795.1
OG0000888	XP_003241970.1	XP_012172930.1, XP_003401651.1
OG0000890	XP_003243340.1	XP_003395103.1
OG0000891	XP_003247112.1, XP_008186872.1	XP_020720870.1, XP_003398739.1, XP_020720871.1
OG0000892	XP_003248220.1	XP_003402957.1, XP_020719259.1, XP_020719258.1
OG0000893	XP_008178439.1	XP_012165090.1, XP_012165087.1
OG0000894	XP_008183275.1, XP_016660008.1, XP_008183276.1	XP_012168877.1, XP_003398880.1, XP_012168876.1, XP_012168875.1, XP_012168874.1, XP_012168873.1
OG0000895	XP_008184057.1, XP_008184060.1	XP_012176521.1
OG0000896	XP_008185295.1	XP_020722610.1, XP_012172386.1
OG0000897	XP_008187836.1, XP_029348219.1	XP_012165977.1, XP_012165978.1, XP_012165980.1
OG0000898	XP_008188166.1, XP_016662338.1, XP_008188167.1	XP_003395307.1, XP_003393516.1
OG0000899	XP_008190224.1	XP_012167012.1, XP_003397491.1
OG0000900	XP_029348646.1, XP_029348252.1, XP_029348249.1, XP_016656087.1	XP_020721653.1
OG0000901	XP_016657701.1	XP_003403269.2
OG0000902	XP_029344113.1, XP_029342492.1	XP_012170198.1, XP_003399677.2, XP_012170197.2, XP_003403002.3, XP_020721954.1
OG0000903	XP_029344196.1	XP_003393783.1
OG0000904	XP_029344572.1	XP_012168259.1
OG0000914	NP_001119658.1	XP_012175153.1
OG0000915	XP_029345454.1, XP_029345457.1, XP_029345460.1, XP_016664187.1, XP_016664185.1, XP_008188393.1, XP_029345458.1, XP_029345459.1, XP_029345455.1, XP_029345456.1, XP_008186744.1, NP_001129384.1	XP_003394487.1
OG0000916	NP_001139376.1, XP_008186625.1	XP_003394165.1
OG0000917	NP_001155773.1	XP_003403224.1
OG0000918	NP_001155912.1, NP_001155913.1, XP_029344818.1, NP_001280315.1, XP_008179505.1	XP_003398959.1
OG0000919	NP_001156227.1	XP_003395200.1, XP_012163649.1
OG0000920	NP_001156240.1	XP_003392877.1, XP_003392876.1
OG0000921	NP_001156300.1, XP_008187141.1	XP_003398323.1
OG0000922	XP_001946443.2, XP_008183734.1, XP_003248866.1, NP_001156609.1, XP_001944676.2	XP_012174981.1, XP_020723817.1, XP_020723818.1, XP_020723816.1, XP_020723815.1, XP_003403218.1, XP_012174982.1
OG0000923	NP_001164574.1, XP_008187055.1	XP_012165484.1, XP_020719661.1
OG0000924	NP_001229388.1	XP_012176362.2
OG0000925	XP_008187537.1, NP_001233045.1	XP_020724045.1
OG0000927	NP_001280399.1	XP_012174351.1, XP_003402684.1
OG0000928	XP_029341942.1, NP_001280428.1, XP_029341681.1	XP_020720576.1, XP_003402550.2
OG0000929	NP_001280437.1	XP_003401209.1
OG0000930	NP_001313604.1, XP_008189583.1	XP_003401932.1, XP_012173409.1
OG0000931	XP_029345416.1, XP_029345417.1, XP_016663327.1, XP_001952363.2, XP_016662613.2, XP_001942858.2	XP_012172739.1, XP_012172732.1
OG0000932	XP_001943099.2	XP_003400982.1
OG0000933	XP_001943172.1, XP_008179604.1	XP_003396897.1, XP_003393129.2
OG0000934	XP_001944196.2	XP_003395692.1
OG0000935	XP_001944948.1	XP_020721705.1
OG0000936	XP_001945205.2	XP_020719426.1, XP_012166123.1
OG0000937	XP_008178642.1, XP_001945217.2	XP_020719824.1
OG0000938	XP_001945652.1	XP_012173298.1, XP_012173299.1, XP_012173296.1, XP_003401876.1, XP_003401877.1, XP_012173297.1
OG0000939	XP_001945785.1	XP_003396796.1, XP_020719355.1, XP_020719492.1
OG0000940	XP_029345689.1, XP_001945911.1	XP_012175539.1
OG0000941	XP_001945966.2	XP_012167700.1, XP_012167701.1, XP_012167699.1, XP_003397976.1
OG0000942	XP_001946481.2	XP_012172696.1
OG0000943	XP_001946503.2	XP_020722511.1, XP_020722513.1, XP_020722514.1, XP_012172295.2
OG0000944	XP_001947363.2	XP_003400723.1, XP_012171735.1
OG0000945	XP_001948033.2	XP_003398247.1, XP_012167748.1
OG0000946	XP_003244186.1, XP_016659445.1, XP_003244189.1, XP_001948517.2	XP_012171053.1
