Orthogroup	Acyrthosiphon_pisum	Nasonia_vitripennis
OG0001308	XP_029346361.1, XP_029346360.1	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1
OG0001328	NP_001127773.1, XP_029341919.1	NP_001127781.1, XP_008201861.1
OG0001329	NP_001155492.1, XP_029344755.1	XP_001602942.2
OG0001330	NP_001155497.1, XP_008186537.1	XP_031784594.1, XP_016840913.1
OG0001331	NP_001155755.1	XP_001604681.1, XP_032453951.1
OG0001332	XP_001952298.1, NP_001155769.1	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2
OG0001333	NP_001155777.1	XP_031786693.1
OG0001334	NP_001191927.1, NP_001156237.1	XP_031788371.2
OG0001335	XP_016663531.1, NP_001156244.1	XP_032455686.1
OG0001336	XP_003244203.1	XP_003427230.3
OG0001336	NP_001156313.1	XP_003427227.1, XP_003427226.1, XP_032454792.1
OG0001337	NP_001191891.1	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1
OG0001338	NP_001191907.1, XP_008181953.1	XP_031781497.1
OG0001339	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1	XP_016838241.1
OG0001340	NP_001280445.1	XP_008217856.1, XP_008217855.1
OG0001341	NP_001313591.2	NP_001153453.1, XP_031779954.1, XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1
OG0001342	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1
OG0001343	XP_001942773.2	XP_001601945.2
OG0001344	XP_016660225.1, XP_001943014.1	XP_001607984.1, XP_008207578.1, XP_016841395.1, XP_008207579.1, XP_008207583.1, XP_032456891.1
OG0001345	XP_001943716.2	XP_031779614.1, XP_031779613.1, XP_031779615.1
OG0001346	XP_001943720.2, XP_029345723.1, XP_029345724.1	XP_031784481.1, XP_008210966.1, XP_016845924.1
OG0001347	XP_001944211.2, XP_016658906.1	XP_001604698.1, XP_008216502.1, XP_008216503.1
OG0001348	XP_001944238.2	XP_001606863.2
OG0001349	XP_001944356.1	XP_001602614.1, XP_032455495.1
OG0001350	XP_001944460.2	XP_001605715.1
OG0001352	XP_001945276.1	XP_032451869.1
OG0001353	XP_001945743.2, XP_008186641.1	XP_016844059.1
OG0001355	XP_008189594.1, XP_001946293.2	XP_008216928.1, XP_016844928.1, XP_032455994.1, XP_032455995.1
OG0001356	XP_003244441.1, XP_001946367.2, XP_016659772.1	XP_031778484.1
OG0001358	XP_003246991.1, XP_001947503.2	XP_008214674.1, XP_031786190.1
OG0001359	XP_001947632.1	XP_008202436.1, NP_001161242.1, XP_008213830.1
OG0001360	XP_001947656.2	XP_008201802.1
OG0001361	XP_001947660.2	XP_008207741.1, XP_031781504.1
OG0001362	XP_001947761.1	XP_008212411.1, XP_031778926.1
OG0001363	XP_001947957.1	XP_001603876.1
OG0001364	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1	XP_031784670.1, XP_031782456.1, XP_016838632.1, XP_008204291.1
OG0001365	XP_001948118.2	XP_031783221.1, XP_008205206.1, XP_031783220.1
OG0001366	XP_001948171.2, XP_001950714.1	XP_031785741.1
OG0001367	XP_001948202.2, XP_003247502.1, XP_001951248.1	XP_001607620.2, XP_032452776.1, XP_032452777.1, XP_032452775.1
OG0001368	XP_001948360.1	XP_016843234.1, XP_032456342.1
OG0001369	XP_001948582.1	XP_001603580.1, XP_001604815.1
OG0001370	XP_001948788.2, XP_008187828.1	XP_031782058.1, XP_016839949.2, XP_016839948.2, XP_031782054.1, XP_031782055.1, XP_031782056.1, XP_031782057.1
OG0001371	XP_001948959.2	XP_008206388.1, XP_008206386.1, XP_008206387.1, XP_032454229.1
OG0001372	XP_001949037.2	XP_008215222.1
OG0001373	XP_001949375.2, XP_029342280.1	XP_032455323.1, XP_008211543.1
OG0001374	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1	XP_016839749.1, XP_001601730.2
OG0001375	XP_001949712.2	XP_031781862.1
OG0001376	XP_001949866.1, XP_029343706.1	XP_001604095.1
OG0001377	XP_016657316.1, XP_001951160.1	XP_001602249.2
OG0001378	XP_001951169.1	XP_031779623.1
OG0001379	XP_001951442.2, XP_003248624.2	XP_008215244.1
OG0001380	XP_001951739.1	XP_001600076.1
OG0001381	XP_001952158.1, XP_003244080.1	XP_016840301.1, NP_001123273.1, XP_031777621.1
OG0001382	XP_001952349.1, XP_029347207.1	XP_031778337.1, NP_001136324.1, XP_001607300.1
OG0001383	XP_001952705.1	XP_031778494.1
OG0001384	XP_003241026.1	XP_008203379.1, XP_031783653.1
OG0001385	XP_003242732.1	XP_016843471.1
OG0001386	XP_003242991.1, XP_029342070.1	XP_031785711.1
OG0001387	XP_003243016.1	XP_001600628.1
OG0001388	XP_003243736.1	XP_016839954.1
OG0001389	XP_003243952.1	XP_016838503.1, XP_016838497.1
OG0001390	XP_003245614.1	XP_008216297.1, XP_032453396.1, XP_008216298.1, XP_031780589.1
OG0001391	XP_003246597.1	XP_031780571.1, XP_001603996.1
OG0001393	XP_003246906.1	XP_008215399.2, XP_008215395.1
OG0001394	XP_029345028.1	XP_008202886.1
OG0001394	XP_003247560.1	XP_001605729.1
OG0001395	XP_003248979.1, XP_029343280.1, XP_029343286.1	XP_016839204.1
OG0001396	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2	XP_008202634.1
OG0001397	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1	XP_016844742.2
OG0001398	XP_008179523.1	XP_008209743.1
OG0001399	XP_008180076.2, XP_008180968.1, XP_008181458.1	XP_031789445.1
OG0001401	XP_008182079.1	XP_001608147.1, XP_031788358.1
OG0001402	XP_008183444.1, XP_008183443.1	XP_001601941.1
OG0001403	XP_008183955.3	XP_016843505.1
OG0001404	XP_008184962.1	XP_003428151.1
OG0001405	XP_008185959.1	XP_001602174.1
OG0001406	XP_008186629.1	XP_001602260.2
OG0001407	XP_008186697.1	XP_031780689.1
OG0001408	XP_008186789.1	NP_001229367.1
OG0001409	XP_008187143.1	XP_008216652.1
OG0001410	XP_008187332.1	XP_016845424.1
OG0001411	XP_016656044.1, XP_029342489.1, XP_029348280.1, XP_029341270.1, XP_029342568.1, XP_029342569.1, XP_029347718.1, XP_029341249.1	XP_032453814.1, XP_032453813.1, XP_032453815.1, XP_032453816.1, XP_032453811.1, XP_032453812.1, XP_008203345.2, XP_031783159.1, XP_031784832.1, XP_031785074.1, XP_031777210.1
OG0001412	XP_016662318.1	XP_031780326.1
OG0001413	XP_016659809.1, XP_016659807.1, XP_016659808.1	XP_003425582.1
OG0001414	XP_016659986.1	XP_001603315.1
OG0001415	XP_029344125.1, XP_029342285.1, XP_016662874.1	XP_016845728.1
OG0001416	XP_029341813.1	XP_032453422.1, XP_031780074.1
OG0001417	XP_029342475.1	XP_001603474.2
OG0001418	XP_029342978.1	XP_008205143.1
OG0001419	XP_029343365.1	XP_031780519.1
OG0001420	XP_029343491.1	XP_016844953.1, XP_008217077.1, XP_008217075.1, XP_008217076.1, XP_008217074.1, XP_001605946.3
OG0001421	XP_029344222.1, XP_029348214.1	XP_031781761.1
OG0001422	XP_029344365.1	XP_031782188.1
OG0001423	XP_029345673.1	XP_001604317.2, XP_032454830.1
OG0001424	XP_029346038.1, XP_029346037.1	XP_001600263.1, XP_032452738.1, XP_031779228.1
OG0001425	XP_029346380.1	XP_008207268.1, XP_008207272.1, XP_001607404.2, XP_032456387.1, XP_003426697.1, XP_003426696.1
OG0001426	XP_029346658.1	XP_008211483.1, XP_008211480.1
OG0001427	XP_029347149.1	XP_031777486.1, XP_032457329.1, XP_031777482.1, XP_031777485.1, XP_031777484.1, XP_032457328.1, XP_032457331.1, XP_032457330.1, XP_032457333.1, XP_032457332.1, XP_032457335.1, XP_031777487.1, XP_032457334.1
OG0001453	NP_001155561.1, XP_008185637.1	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1
OG0001455	NP_001155669.1	XP_001603088.1
OG0001456	XP_008180851.1, NP_001155699.1	XP_001605559.2
OG0001457	NP_001155732.1	XP_001608297.1
OG0001458	NP_001155827.1	XP_008202697.1
OG0001459	NP_001156046.1	XP_001605881.1
OG0001460	NP_001156079.1	XP_031782639.1, XP_031782638.1
OG0001461	NP_001156162.1	XP_001602569.1, XP_031780556.1, XP_008204854.1
OG0001462	NP_001156167.1	NP_001164526.1
OG0001463	XP_029341941.1, NP_001156195.1	XP_001602379.1
OG0001464	NP_001156433.1, XP_008186733.1	NP_001153364.1
OG0001465	NP_001156833.1	XP_032453603.1, NP_001161454.1
OG0001466	XP_008180032.1, NP_001161683.1	NP_001161682.1
OG0001467	NP_001191928.1	XP_031782500.1
OG0001468	NP_001191993.1, XP_008189445.3	NP_001164370.1, XP_031789284.1
OG0001469	XP_008181788.1, NP_001233056.1	XP_001602514.1
OG0001470	XP_008187948.1, NP_001280297.1	XP_032453882.1, XP_008203498.1
OG0001471	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1	XP_008208004.1, XP_001601824.1
OG0001472	NP_001280353.1	XP_003427090.1, NP_001165814.1
OG0001473	NP_001280376.1, XP_008185857.1	XP_031782512.1, XP_016839548.1, XP_016839547.1
OG0001474	XP_029342002.1, NP_001280448.1	XP_001600273.1
OG0001475	XP_001942854.1	XP_001602567.1
OG0001476	XP_001942905.3	XP_031778521.1
OG0001477	XP_001942920.4	XP_008209844.2, XP_031778493.1, XP_032452915.1
OG0001478	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1	XP_001599569.1
OG0001479	XP_001942962.2	NP_001153430.1, NP_001153431.1, XP_031788484.1
OG0001480	XP_001943003.1	XP_001600183.2, XP_008203356.1, XP_016838825.1
OG0001481	XP_001943151.1	XP_016839111.1
OG0001482	XP_001943496.2	XP_008202441.1
OG0001483	XP_001943861.2	XP_016837959.1, XP_031780377.1
OG0001484	XP_001944106.1	XP_031778072.1
OG0001485	XP_001944507.2	XP_016841727.1, XP_032455540.1, XP_008215611.1
OG0001486	XP_029341194.1, XP_001944825.2	XP_016839609.1
OG0001487	XP_016661816.1, XP_001945106.1	XP_032452572.1, XP_031779199.1
OG0001488	XP_001945549.2	XP_008217170.1
OG0001489	XP_001945732.1	XP_001607382.1, XP_001605381.1
OG0001490	XP_001945791.2	XP_031785541.1
OG0001490	XP_003247638.1	XP_008205449.1
OG0001491	XP_001946011.2, XP_029342551.1	XP_032456877.1
OG0001492	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1
OG0001493	XP_029343846.1, XP_001946376.2, XP_008183135.1	XP_008216211.1
OG0001494	XP_001946881.2	XP_001602075.1
OG0001495	XP_001946939.2, XP_029344154.1	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1
OG0001496	XP_008185249.2, XP_001946961.1	XP_001603226.2
OG0001497	XP_001947222.2	XP_031784591.1, XP_031784593.1
OG0001498	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2	XP_031777080.1
OG0001499	XP_001947444.2	XP_001604715.2
OG0001501	XP_001947628.2	XP_031776687.1, XP_016844938.1
OG0001502	XP_001947678.4	XP_001600729.2
OG0001503	XP_001947953.1	XP_016841337.1, XP_001605673.1
OG0001504	XP_001948087.2, XP_016662592.1	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2
OG0001505	XP_001948092.2	XP_031785573.1, XP_031785570.1
OG0001506	XP_001949016.2	XP_008202078.1, NP_001154952.1
OG0001507	XP_001949195.2, XP_003243935.1	XP_008207502.1, XP_001607887.1
OG0001508	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1	XP_016840258.1, XP_016840259.1
OG0001509	XP_001949731.2	XP_008209597.1
OG0001510	XP_003246129.1, XP_001950257.2	XP_003424351.1, XP_031783578.1
OG0001512	XP_001950347.2, XP_003249003.2	XP_031787727.1
OG0001513	XP_029343494.1, XP_001950605.2	XP_003426035.2
OG0001514	XP_001950614.2, XP_008179295.1, XP_016656840.1	XP_001602311.1
OG0001515	XP_001951016.1, XP_008188305.1, XP_008188306.1	XP_008212670.2
OG0001516	XP_001951239.1, XP_008186532.1	XP_008212093.2
OG0001517	XP_001951328.2, XP_029346096.1	XP_008202933.1
OG0001518	XP_001951365.1	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1
OG0001519	XP_008183986.1, XP_001951874.2	XP_001602334.1
OG0001520	XP_001951964.1	XP_008213297.1, NP_001123264.1, XP_008213377.2
OG0001521	XP_001952287.2, XP_029347145.1	XP_031780024.1
OG0001522	XP_001952293.1	XP_001605107.1
OG0001523	XP_001952833.2	XP_031788417.1
OG0001524	XP_003240924.1, XP_016664234.1	XP_031780585.1, XP_031780587.1
OG0001525	XP_003241160.1	XP_016843586.1, XP_001601499.1
OG0001526	XP_003241167.1, XP_029345134.1, XP_008190230.1	XP_031787170.1
OG0001527	XP_003241208.1	XP_031781489.1
OG0001529	XP_003242875.1	XP_016837523.1
OG0001531	XP_003243327.1	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1
OG0001532	XP_003243596.1	XP_008213314.1, XP_003424261.1
OG0001533	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1	XP_016843265.1, XP_003426298.1
OG0001534	XP_003244802.1	XP_003424346.1
OG0001535	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1	XP_031783319.1
OG0001536	XP_003245170.1	XP_032454772.1, XP_008212180.1
OG0001537	XP_003245502.1, XP_008181113.1, XP_016661056.2	XP_032454472.1, XP_001605883.1
OG0001538	XP_003245941.1	XP_031779949.1, NP_001164571.1, XP_031784266.1, NP_001161243.1
OG0001539	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1	XP_032454016.1
OG0001540	XP_003247868.1	XP_001600172.1, XP_031781667.1
OG0001541	XP_003248759.2, XP_008188096.1	XP_016842669.1, XP_001603217.2
OG0001543	XP_008178488.1	XP_031781815.1, NP_001177856.1
OG0001544	XP_008183867.1	XP_008202338.1
OG0001545	XP_008180179.1	XP_003425709.1, XP_031783661.1
OG0001546	XP_008180322.1	XP_003426901.1
OG0001547	XP_008181007.1	XP_031776662.1, XP_031776668.1
OG0001548	XP_008181324.1	XP_031780231.1
OG0001549	XP_008181350.1, XP_008181345.1	XP_001602105.1
OG0001551	XP_029344459.1, XP_008182508.1	XP_016842120.1, XP_008217464.1
OG0001552	XP_029341108.1, XP_008182735.1	XP_031788326.1
OG0001553	XP_008183385.1	XP_003424529.1
OG0001554	XP_008183450.2	XP_001599461.2
OG0001555	XP_029341218.1, XP_008184180.1, XP_029341220.1	XP_008215528.1
OG0001556	XP_008184251.1	XP_008217201.2, XP_001606971.2
OG0001557	XP_016661057.2	XP_031783542.1
OG0001558	XP_008184940.1	XP_008206364.1
OG0001559	XP_008185039.1	XP_001605046.2
OG0001560	XP_008186404.1, XP_016662679.1	XP_016838086.1
OG0001561	XP_029341351.1, XP_008186937.1, XP_029341646.1	XP_008207143.1
OG0001562	XP_016663542.1, XP_008187530.2, XP_016660440.1	XP_008216662.1, XP_003425088.2, XP_008216635.1
OG0001563	XP_008187964.3	XP_016843697.1, XP_016843694.1
OG0001564	XP_008189660.1, XP_016659665.1, XP_029341277.1, XP_029341276.1	XP_031788964.1
OG0001565	XP_008189936.1	XP_001600537.2
OG0001566	XP_016655818.1	XP_008217133.1
OG0001567	XP_016658137.2	XP_008209610.1, XP_008209603.1
OG0001568	XP_016658644.1	XP_008208431.1
OG0001569	XP_016659072.1	XP_001600474.2, XP_031778476.1
OG0001570	XP_016659399.1	XP_001606837.1
OG0001571	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1	XP_003427777.1
OG0001572	XP_016661226.1, XP_029342072.1	XP_031777942.1
OG0001573	XP_016661281.1	XP_003424638.1
OG0001574	XP_016661800.1, XP_029343877.1, XP_029343880.1, XP_029343879.1, XP_029343878.1, XP_016661798.1, XP_029343876.1	XP_016840016.1, XP_016840018.1
OG0001575	XP_016665048.1	XP_008211589.1, XP_032455767.1, XP_032455766.1
OG0001576	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1	XP_031779387.1
OG0001577	XP_029341940.1	XP_001605704.1
OG0001578	XP_029342030.1	XP_016838610.1
OG0001579	XP_029343105.1, XP_029343104.1	NP_001166052.1
OG0001580	XP_029343957.1	XP_031777421.1
OG0001581	XP_029347791.1, XP_029344497.1	XP_016845304.1, XP_016845302.1, XP_016845303.1
OG0001582	XP_029345144.1	XP_031777144.1
OG0001583	XP_029345306.1	XP_001604253.3
OG0001584	XP_029346124.1	NP_001153330.1, XP_031781907.1
OG0001585	XP_029346669.1, XP_029348133.1	XP_031779984.1
OG0001586	XP_029346801.1	XP_001606047.3
OG0001587	XP_029347036.1	XP_008213632.1, XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1
OG0001588	XP_029347321.1, XP_029348055.1	XP_031785514.1, XP_031785507.1
OG0001589	XP_029348255.1	XP_016840703.1, XP_032455619.1, XP_008205515.1
OG0001614	NP_001119609.1	XP_003423886.1
OG0001615	NP_001165434.1, NP_001119664.1	XP_001601398.1, XP_032456260.1, XP_032456259.1
OG0001616	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1	XP_001606115.2
OG0001617	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1	NP_001161324.1
OG0001618	NP_001155471.1, XP_029343741.1, XP_029343739.1, XP_016661488.1, XP_001948300.3, XP_029343740.1	XP_031785486.1
OG0001619	XP_008189793.1, XP_008180212.1, NP_001155629.1	XP_001608124.2
OG0001620	NP_001155671.1	XP_001600828.1
OG0001621	XP_029344967.1, NP_001155770.1, XP_008187262.1	XP_032457372.1
OG0001622	XP_008180830.1, NP_001155791.1	XP_001601070.1
OG0001623	NP_001155857.1	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1
OG0001624	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1	XP_032452179.1, NP_001123226.1
OG0001625	NP_001156134.1	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2
OG0001626	NP_001156141.1	XP_001608243.1, XP_003426730.1
OG0001627	NP_001156148.1, XP_008185366.1	XP_008209881.1
OG0001628	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2	XP_008211373.1
OG0001629	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1	XP_032451650.1
OG0001630	NP_001156347.1, XP_016659252.1	XP_032454709.1
OG0001631	NP_001156438.1, XP_001948292.4, XP_016660627.1	XP_031788348.2
OG0001632	XP_008183084.1, NP_001156712.1	XP_008215717.1, XP_031788442.1
OG0001633	NP_001232954.1	XP_001605824.2
OG0001634	NP_001233050.1	XP_001603395.1
OG0001635	NP_001280462.1	XP_001603971.1
OG0001636	NP_001313576.1	XP_008213391.1
OG0001637	NP_001313606.1	XP_031787579.1, XP_008217813.1
OG0001638	XP_001942629.2	XP_008212555.1
OG0001639	XP_001942635.2	XP_001599645.2
OG0001640	XP_001944671.1, XP_001942710.1, XP_008187704.1	XP_008218010.1, XP_031776898.1
OG0001641	XP_001942933.2	NP_001161259.1
OG0001642	XP_001943211.1, XP_001943270.1, XP_008181942.1	XP_001606946.2
OG0001643	XP_029343701.1, XP_029343702.1, XP_001944079.1, XP_008187007.1, XP_001943383.1, XP_016656484.1, XP_016665011.1	XP_031781597.1
OG0001644	XP_001945235.1, XP_029343508.1, XP_008186588.1, XP_008180278.2, XP_001943832.1	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1
OG0001645	XP_001944045.2	XP_001606113.1, XP_031789467.1
OG0001646	XP_001944173.2	XP_016837914.1, XP_008204868.2
OG0001647	XP_029343557.1, XP_001944181.1, XP_003248804.3, XP_029341067.1	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1
OG0001648	XP_001944186.1	XP_016842668.1
OG0001649	XP_001944730.2	XP_016839355.1
OG0001650	XP_001945180.1	XP_008215816.1
OG0001651	XP_001945607.2	XP_008216328.1, XP_008216334.1
OG0001652	XP_001945713.2	XP_031776836.1
OG0001653	XP_001945941.2	XP_031779587.1, XP_008212815.1
OG0001654	XP_001946378.2	XP_001607435.2, XP_031779458.1
OG0001655	XP_001946635.1	XP_001603980.2
OG0001656	XP_001946836.2	XP_001606701.1
OG0001657	XP_029341082.1, XP_001946895.2	XP_001606493.1
OG0001658	XP_016663561.1, XP_001948609.1, XP_001947103.1	XP_031787185.1
OG0001659	XP_001947555.1, XP_016661886.1	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1
OG0001660	XP_016659421.1, XP_001947974.1, XP_029342385.1, XP_008182235.1, XP_008182228.1	XP_008217155.1
OG0001661	XP_001948336.2, XP_008187588.1	XP_016841698.1, XP_016841700.1
OG0001662	XP_001948434.2	XP_032453548.1, XP_032453537.1
OG0001663	XP_001948502.1	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1
OG0001664	XP_001948999.2	XP_032455099.1
OG0001665	XP_001949124.1	XP_031786788.1
OG0001666	XP_001949417.2	XP_001606145.2
OG0001668	XP_001949692.1	NP_001154951.1, XP_031784260.1
OG0001669	XP_001950332.1, XP_008179737.1	XP_031788032.1, XP_032456034.1
OG0001670	XP_001950746.1	XP_031781642.1
OG0001671	XP_001950779.1, XP_016659456.1, XP_008182266.1, XP_008182272.1, XP_029346598.1, XP_016658189.1, XP_029344288.1, XP_008189734.1	XP_008202575.1, XP_032451770.1
OG0001672	XP_016664060.1, XP_001950792.1	XP_001606256.1
OG0001674	XP_001951117.2	XP_008213000.1
OG0001675	XP_001951163.2, XP_008187982.1	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1
OG0001676	XP_001951600.1	XP_001604719.1, XP_008210900.1, XP_008210901.1
OG0001677	XP_001951757.1	XP_031780122.1, XP_008217767.1, XP_008217768.1
OG0001678	XP_001952151.3, XP_016656299.1	XP_001608054.1
OG0001679	XP_001952174.1	XP_001606876.1
OG0001680	XP_001952275.1	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1
OG0001681	XP_001952488.1, XP_003244801.1, XP_008183491.1, XP_008183492.1	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1
OG0001682	XP_003241201.1	XP_031778882.1, XP_031778892.1
OG0001683	XP_003242711.1	XP_031782629.1, XP_031782628.1, XP_001603826.1
OG0001684	XP_003244008.1	XP_008214622.1
OG0001685	XP_029345345.1, XP_003244045.1	XP_001601619.1, XP_008209389.1
OG0001686	XP_003244114.1	XP_031786365.1
OG0001687	XP_003244150.1, XP_029343745.1, XP_003248022.1	XP_008205605.1
OG0001688	XP_003244236.1	XP_016838655.1, XP_016838654.1
OG0001689	XP_003246307.1, XP_016662081.1, XP_008185722.1, XP_029341680.1	XP_001601304.1
OG0001690	XP_003247236.1, XP_008181864.2	XP_016838526.1, XP_031780708.1
OG0001692	XP_003247659.1	XP_031776647.1
OG0001693	XP_003247797.1	XP_016844904.1, XP_016844903.1
OG0001694	XP_003247833.1	XP_001601595.2, XP_008214379.1
OG0001695	XP_003247962.1, XP_008184535.1, XP_029342167.1	XP_001605495.2
OG0001696	XP_029346128.1, XP_003248837.3	XP_016839940.1, XP_016839935.1
OG0001697	XP_008178829.1	XP_008214784.1, XP_031786212.1
OG0001699	XP_029345236.1, XP_008179743.1	XP_001605545.2
OG0001700	XP_008180611.1	XP_003425515.2
OG0001701	XP_008181703.1	XP_001603038.2
OG0001702	XP_008182063.3	XP_001602772.2
OG0001703	XP_008183132.2	XP_031783612.1
OG0001704	XP_008183183.1	XP_031784623.1
OG0001706	XP_029342018.1, XP_008183985.1, XP_029342017.1, XP_016660636.1	XP_001607299.1
OG0001707	XP_008184047.1	XP_031784085.1, XP_031784087.1
OG0001708	XP_008184069.1	XP_032456367.1
OG0001709	XP_008184777.1	XP_031778401.1, XP_016838351.2
OG0001710	XP_008185276.2	XP_001607529.1
OG0001711	XP_008185641.1, XP_016661368.1	XP_001604450.1
OG0001712	XP_008185711.1	XP_016840038.1, XP_003426087.1
OG0001713	XP_008185732.1, XP_008185731.1, XP_008185730.1, XP_008185729.1	XP_031781853.1, XP_008205133.1
OG0001714	XP_008185781.1	XP_001603310.1, XP_031784875.1
OG0001715	XP_008186070.1	XP_001602678.2
OG0001716	XP_008186221.1	XP_031788831.1
OG0001717	XP_008186368.1	XP_031780580.1, XP_031780579.1, XP_031780581.1
OG0001718	XP_008186471.1	NP_001123321.1
OG0001719	XP_029346950.1, XP_008187666.1	XP_016839634.1, XP_031782819.1
OG0001720	XP_008187727.1	XP_001603454.1
OG0001721	XP_008188269.1, XP_008188938.1	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1
OG0001722	XP_008189818.1	XP_001599948.2
OG0001724	XP_016657416.1	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1
OG0001725	XP_016657929.1	XP_008206905.1
OG0001726	XP_016658867.1	XP_016839031.1
OG0001727	XP_016659837.1	XP_031779917.1
OG0001728	XP_016659994.1	XP_031778302.1, XP_031778296.1
OG0001730	XP_016662596.1	XP_016845767.1
OG0001731	XP_016662755.1, XP_029347626.1	XP_001602845.2
OG0001732	XP_016663406.1	XP_032454981.1, XP_001600976.1
OG0001733	XP_016663444.1, XP_029348714.1	XP_031779561.1
OG0001734	XP_029341592.1	XP_031784313.1, NP_001123274.2
OG0001735	XP_029341951.1	XP_031777893.1
OG0001737	XP_029342873.1	XP_001608059.1
OG0001738	XP_029342948.1	XP_031778432.1
OG0001740	XP_029343949.1	XP_031785471.1
OG0001741	XP_029344099.1	XP_001604752.1, XP_016842588.1
OG0001742	XP_029344583.1	XP_031777878.1
OG0001743	XP_029344991.1	XP_003424504.1
OG0001744	XP_029345593.1	XP_032456693.1, XP_008207057.1
OG0001745	XP_029345636.1	NP_001123290.1, XP_016843823.1
OG0001746	XP_029345814.1	XP_008215090.1, XP_001601463.1, XP_008215089.1
OG0001748	XP_029347349.1	XP_031782214.1, XP_031782223.1
OG0001749	XP_029347633.1, XP_029347629.1	XP_031782462.1, XP_031782476.1
OG0001774	XP_008188214.1, NP_001155610.1, NP_001119694.1	XP_032453470.1, XP_032453469.1, XP_016837512.1
OG0001775	XP_008188848.1, NP_001129410.1, NP_001156569.1	XP_031785563.1
OG0001776	XP_001951172.2, NP_001129411.1	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1
OG0001777	NP_001129414.1	XP_001599602.1
OG0001778	NP_001129594.1	XP_001606733.1
