Orthogroup	Nomia_melanderi	Megachile_rotundata
OG0000761	XP_031847737.1	XP_012146424.1
OG0000762	XP_031835635.1	XP_012154524.1, XP_012154525.1, XP_012154526.1, XP_003700576.1
OG0000763	XP_031835624.1, XP_031835623.1	XP_012135176.1, XP_012135193.1, XP_012135706.1, XP_012135185.1
OG0000765	XP_031842652.1, XP_031842747.1	XP_012140045.1, XP_012140031.1, XP_012140018.1
OG0000766	XP_031836897.1	XP_012145041.1, XP_012145042.1, XP_012145040.1
OG0000767	XP_031840448.1, XP_031840449.1, XP_031840451.1, XP_031840447.1, XP_031840450.1	XP_003708065.1
OG0000768	XP_031840386.1, XP_031840384.1, XP_031840385.1, XP_031840382.1, XP_031840383.1	XP_012140208.1, XP_003703152.1, XP_012140207.1
OG0000769	XP_031828028.1, XP_031828029.1, XP_031828030.1	XP_012140229.1, XP_012140228.1, XP_012140227.1, XP_012140230.1, XP_003703119.1
OG0000770	XP_031839798.1	XP_003702248.1
OG0000771	XP_031841565.1, XP_031841566.1	XP_012151396.1
OG0000772	XP_031835423.1, XP_031835426.1, XP_031835427.1, XP_031835420.1, XP_031835421.1, XP_031835418.1, XP_031835419.1, XP_031835424.1, XP_031835425.1, XP_031835422.1	XP_003699231.1
OG0000773	XP_031837400.1, XP_031837401.1	XP_012147908.1, XP_012147912.1
OG0000774	XP_031839058.1	XP_012137041.1
OG0000775	XP_031847583.1, XP_031847584.1	XP_012151643.1, XP_003707893.1
OG0000776	XP_031837609.1	XP_003703789.1
OG0000778	XP_031843757.1	XP_003707068.2, XP_012149279.1
OG0000780	XP_031845607.1, XP_031845606.1, XP_031845609.1, XP_031845608.1	XP_003699699.1
OG0000781	XP_031836705.1, XP_031836706.1, XP_031836704.1, XP_031836707.1	XP_003701842.1
OG0000782	XP_031846342.1	XP_003702329.1
OG0000783	XP_031840960.1, XP_031840959.1, XP_031840957.1	XP_003699911.1, XP_012145892.1
OG0000784	XP_031846023.1	XP_012148580.1
OG0000785	XP_031838894.1	XP_003705868.1
OG0000786	XP_031829174.1	XP_003702391.1
OG0000787	XP_031848318.1, XP_031848292.1, XP_031848300.1, XP_031848309.1	XP_003703372.1
OG0000788	XP_031838162.1	XP_012150556.1
OG0000789	XP_031841691.1, XP_031841692.1, XP_031841690.1	XP_012136085.1
OG0000790	XP_031827834.1	XP_003703163.1, XP_012140472.1
OG0000791	XP_031832616.1	XP_012139487.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139483.1, XP_012139482.1, XP_003702907.1, XP_012139488.1
OG0000792	XP_031837291.1	XP_012139877.1
OG0000793	XP_031826724.1	XP_012154261.1, XP_012154260.1, XP_003700430.1, XP_012154262.1
OG0000794	XP_031839115.1	XP_003707973.1
OG0000795	XP_031848697.1, XP_031848696.1, XP_031848699.1, XP_031848698.1, XP_031848701.1, XP_031848700.1, XP_031848695.1, XP_031848692.1, XP_031848693.1, XP_031848691.1, XP_031848694.1	XP_012135093.1, XP_012135094.1
OG0000796	XP_031834870.1	XP_012135046.1, XP_012135047.1
OG0000797	XP_031834554.1	XP_003707230.2, XP_012149844.1
OG0000798	XP_031842334.1	XP_003703955.1
OG0000801	XP_031825382.1	XP_012150328.1, XP_003707360.1, XP_012150327.1, XP_012150331.1, XP_012150329.1
OG0000802	XP_031831438.1	XP_012145172.1, XP_012145161.1
OG0000803	XP_031825414.1	XP_012150036.1
OG0000804	XP_031828958.1	XP_012140007.1
OG0000805	XP_031826321.1, XP_031826322.1	XP_012140062.1, XP_003703149.1, XP_012140063.1
OG0000806	XP_031826293.1	XP_012143875.1
OG0000807	XP_031826090.1	XP_003702050.1
OG0000808	XP_031830010.1, XP_031830012.1, XP_031830004.1	XP_012135639.1
OG0000809	XP_031826562.1, XP_031826561.1, XP_031826560.1, XP_031826559.1, XP_031826558.1	XP_012135322.1
OG0000810	XP_031848174.1	XP_012140296.1
OG0000812	XP_031847111.1, XP_031847110.1	XP_003708031.2
OG0000813	XP_031842469.1	XP_003708585.2, XP_012153244.1, XP_012153239.1, XP_012153243.1, XP_012153237.1, XP_012153241.1, XP_012153240.1, XP_012153238.1, XP_012153242.1
OG0000814	XP_031842887.1	XP_012146828.1, XP_003705999.2
OG0000815	XP_031844784.1, XP_031844785.1	XP_012146962.1
OG0000816	XP_031825839.1	XP_012153543.1
OG0000817	XP_031843010.1, XP_031843014.1	XP_012136234.1, XP_012136230.1
OG0000818	XP_031846959.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1, XP_031846958.1	XP_012134930.1, XP_003700764.1
OG0000819	XP_031825515.1, XP_031825495.1, XP_031825486.1, XP_031825506.1	XP_012134933.1, XP_012134932.1
OG0000820	XP_031828279.1, XP_031828278.1	XP_003703120.2
OG0000821	XP_031834567.1, XP_031834568.1	XP_003701945.1, XP_012137511.1
OG0000822	XP_031841304.1	XP_003700189.1, XP_012152954.1
OG0000823	XP_031827729.1, XP_031827730.1, XP_031827731.1	XP_003704237.1
OG0000824	XP_031830315.1, XP_031830314.1	XP_003707103.1, XP_012144744.1, XP_003705065.1
OG0000825	XP_031842218.1	XP_012139922.1
OG0000826	XP_031836793.1	XP_012146654.1
OG0000827	XP_031826291.1	XP_003703718.1
OG0000828	XP_031835118.1	XP_012150646.1, XP_012150647.1, XP_003707581.1
OG0000829	XP_031846218.1	XP_012146337.1
OG0000830	XP_031843951.1, XP_031843957.1	XP_003706045.2
OG0000831	XP_031837283.1	XP_003708347.1
OG0000832	XP_031842215.1	XP_012135511.1, XP_003701097.1
OG0000833	XP_031828391.1, XP_031828390.1	XP_003707664.1
OG0000834	XP_031845250.1, XP_031845252.1, XP_031845251.1	XP_003706183.1, XP_012147385.1
OG0000835	XP_031826998.1, XP_031827001.1, XP_031827000.1, XP_031827003.1, XP_031827002.1, XP_031827004.1, XP_031827005.1	XP_012154309.1, XP_012154308.1
OG0000836	XP_031832110.1	XP_003703530.1
OG0000837	XP_031839576.1, XP_031839574.1, XP_031839577.1, XP_031839575.1	XP_012136681.1, XP_003701498.1, XP_012136684.1, XP_012136685.1, XP_012136683.1, XP_012136682.1
OG0000838	XP_031840152.1, XP_031840149.1, XP_031840150.1, XP_031840147.1, XP_031840148.1, XP_031840146.1, XP_031840151.1	XP_012146745.1, XP_003705832.1, XP_012146744.1
OG0000839	XP_031838798.1, XP_031838799.1	XP_012138601.1
OG0000840	XP_031832421.1, XP_031832422.1, XP_031832426.1, XP_031832425.1, XP_031832424.1, XP_031832427.1	XP_003705033.1
OG0000841	XP_031826999.1	XP_003707170.1
OG0000841	XP_031825589.1	XP_012149662.1
OG0000842	XP_031837833.1, XP_031837830.1, XP_031837832.1, XP_031837831.1, XP_031837837.1, XP_031837836.1, XP_031837835.1, XP_031837828.1, XP_031837834.1	XP_003701338.1
OG0000843	XP_031825307.1	XP_003702736.1
OG0000845	XP_031840945.1, XP_031840932.1, XP_031840879.1, XP_031840896.1, XP_031840906.1, XP_031840917.1	XP_012149655.1
OG0000847	XP_031848256.1	XP_003707085.1
OG0000848	XP_031850475.1	XP_003704075.1
OG0000849	XP_031831826.1	XP_012152143.1
OG0000850	XP_031841810.1, XP_031841809.1	XP_003706549.1, XP_012148148.1
OG0000851	XP_031835795.1, XP_031835793.1	XP_012154373.1
OG0000852	XP_031837457.1, XP_031837454.1, XP_031837456.1, XP_031837455.1, XP_031837458.1	XP_012143796.1, XP_012147953.1, XP_003706373.1
OG0000853	XP_031836558.1	XP_003705464.1
OG0000853	XP_031836559.1	XP_003705465.1
OG0000854	XP_031836307.1	XP_003701705.1
OG0000854	XP_031836020.1	XP_012136839.1, XP_003701702.1
OG0000855	XP_031839669.1	XP_012138231.1, XP_012138229.1, XP_012138230.1, XP_012138232.1
OG0000856	XP_031843536.1	XP_012139047.1
OG0000857	XP_031827273.1	XP_012145537.1, XP_003705365.1
OG0000858	XP_031825279.1	XP_012145599.1, XP_003705413.1
OG0000859	XP_031838000.1, XP_031838001.1, XP_031837999.1	XP_012151891.1, XP_012151896.1, XP_012151898.1
OG0000860	XP_031840278.1, XP_031840279.1, XP_031840277.1	XP_003703279.1
OG0000861	XP_031835032.1	XP_003699387.1
OG0000861	XP_031843462.1	XP_003699386.1
OG0000862	XP_031827355.1	XP_012147933.1, XP_012147932.1, XP_003706372.1, XP_012147931.1, XP_012147930.1, XP_012147929.1, XP_012147928.1
OG0000863	XP_031843461.1, XP_031843460.1	XP_003699406.1
OG0000864	XP_031828743.1, XP_031828742.1, XP_031828741.1	XP_003700318.1
OG0000865	XP_031850249.1, XP_031850250.1, XP_031850251.1, XP_031850248.1, XP_031850253.1, XP_031850252.1	XP_003707738.1, XP_012151248.1, XP_012151247.1
OG0000866	XP_031843257.1	XP_012136277.1, XP_012136278.1, XP_003701437.1
OG0000867	XP_031829695.1	XP_012145310.1
OG0000869	XP_031834168.1, XP_031834169.1	XP_003703553.1, XP_012141539.1
OG0000870	XP_031845279.1	XP_003703016.1
OG0000871	XP_031833048.1, XP_031833050.1, XP_031833049.1	XP_012149611.1, XP_012149614.1, XP_003707124.1
OG0000872	XP_031828842.1	XP_003705594.1
OG0000873	XP_031848156.1, XP_031848166.1	XP_012140698.1, XP_003703284.1
OG0000874	XP_031840793.1, XP_031840800.1	XP_012142281.1
OG0000875	XP_031836617.1	XP_012146665.1
OG0000875	XP_031836615.1	XP_003705852.1
OG0000877	XP_031847017.1	XP_003703256.1
OG0000878	XP_031841067.1	XP_003707508.1, XP_012150479.1
OG0000879	XP_031841637.1, XP_031841638.1	XP_012144516.1, XP_012144515.1, XP_012144517.1, XP_003704923.2
OG0000880	XP_031847990.1	XP_012141193.1
OG0000881	XP_031842837.1, XP_031842832.1	XP_012153385.1, XP_012153384.1, XP_003708546.1
OG0000882	XP_031838280.1, XP_031838278.1, XP_031838279.1	XP_012136194.1
OG0000884	XP_031831044.1, XP_031831045.1, XP_031831046.1	XP_012143661.1, XP_003699751.1
OG0000885	XP_031847064.1	XP_012153817.1, XP_003700257.1
OG0000886	XP_031844658.1	XP_003706126.1
OG0000887	XP_031832270.1	XP_012136835.1
OG0000888	XP_031847704.1, XP_031847706.1	XP_012137493.1, XP_012137496.1
OG0000889	XP_031841360.1	XP_012142516.1, XP_012142523.1
OG0000890	XP_031843504.1	XP_003702622.1
OG0000891	XP_031835057.1	XP_012143253.1, XP_003704469.1, XP_012143251.1, XP_012143252.1
OG0000892	XP_031841391.1, XP_031841390.1	XP_012136113.1
OG0000893	XP_031848594.1	XP_003704992.1
OG0000894	XP_031842109.1	XP_012136151.1, XP_012136150.1, XP_003701373.1, XP_012136152.1
OG0000895	XP_031849002.1, XP_031849004.1, XP_031849005.1, XP_031849003.1	XP_012141018.1, XP_012141017.1, XP_012141016.1, XP_012141019.1
OG0000896	XP_031836724.1, XP_031836720.1, XP_031836722.1, XP_031836721.1, XP_031836723.1	XP_012140775.1
OG0000897	XP_031825298.1	XP_012145601.1, XP_003705417.1
OG0000898	XP_031849925.1, XP_031849924.1, XP_031849922.1	XP_012135855.1, XP_003699379.1
OG0000899	XP_031843834.1	XP_003707094.2
OG0000900	XP_031833680.1	XP_003707415.2
OG0000901	XP_031832840.1	XP_012139688.1, XP_003702800.1
OG0000902	XP_031833075.1, XP_031833076.1, XP_031833074.1	XP_003702988.1
OG0000903	XP_031834474.1, XP_031834475.1	XP_012139026.1, XP_012139090.1
OG0000904	XP_031835905.1	XP_003699708.1
OG0000904	XP_031835907.1	XP_012142827.1
OG0000905	XP_031849250.1, XP_031849249.1	XP_012135087.1, XP_003699283.1, XP_012135083.1
OG0000907	XP_031842276.1	XP_012135020.1
OG0000908	XP_031845352.1	XP_003706184.1
OG0000909	XP_031848747.1	XP_003707404.1
OG0000910	XP_031825331.1, XP_031825328.1, XP_031825330.1	XP_003707323.1
OG0000911	XP_031826578.1, XP_031826577.1, XP_031826573.1, XP_031826572.1, XP_031826576.1, XP_031826574.1	XP_003702127.1
OG0000912	XP_031826039.1, XP_031826033.1	XP_003703137.1
OG0000913	XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840398.1, XP_031840401.1, XP_031840400.1, XP_031840396.1, XP_031840397.1, XP_031840395.1	XP_003703150.1
OG0000914	XP_031828541.1	XP_012134899.1
OG0000915	XP_031834274.1, XP_031834272.1, XP_031834271.1, XP_031834275.1, XP_031834276.1, XP_031834273.1	XP_012136821.1
OG0000916	XP_031839471.1	XP_012151539.1, XP_012151538.1
OG0000917	XP_031846809.1, XP_031846808.1, XP_031846806.1	XP_012141857.1, XP_003703843.1
OG0000918	XP_031827303.1	XP_012147926.1
OG0000918	XP_031827306.1	XP_012147924.1
OG0000919	XP_031831021.1, XP_031831018.1, XP_031831020.1, XP_031831019.1, XP_031831017.1	XP_003707040.2
OG0000920	XP_031836832.1	XP_012145030.1, XP_003705173.1
OG0000921	XP_031839452.1	XP_012151798.1
OG0000922	XP_031839183.1	XP_012151735.1
OG0000923	XP_031845248.1, XP_031845246.1, XP_031845247.1	XP_012147400.1, XP_003706171.1
OG0000924	XP_031836568.1	XP_003702708.1
OG0000925	XP_031840154.1	XP_012140483.1
OG0000926	XP_031849077.1, XP_031849076.1, XP_031849079.1, XP_031849078.1, XP_031849081.1, XP_031849080.1, XP_031849082.1, XP_031849075.1	XP_012149760.1
OG0000927	XP_031829797.1	XP_003705547.2
OG0000928	XP_031841824.1, XP_031841825.1	XP_003707485.1
OG0000929	XP_031828829.1	XP_012148231.1, XP_012148237.1
OG0000929	XP_031828826.1	XP_012148230.1
OG0000930	XP_031835256.1	XP_012150828.1
OG0000931	XP_031842223.1, XP_031842231.1	XP_012150685.1, XP_012150682.1
OG0000933	XP_031829015.1, XP_031829012.1, XP_031829014.1	XP_012134519.1, XP_012134520.1
OG0000934	XP_031838528.1, XP_031838529.1	XP_012152018.1, XP_003699253.1
OG0000935	XP_031849889.1, XP_031849887.1, XP_031849891.1, XP_031849890.1, XP_031849893.1, XP_031849888.1	XP_012138735.1
OG0000936	XP_031843977.1	XP_003706023.1
OG0000937	XP_031826528.1, XP_031826527.1, XP_031826526.1	XP_012140078.1, XP_003703094.1
OG0000938	XP_031825799.1, XP_031825794.1	XP_012142232.1, XP_012142206.1
OG0000939	XP_031842589.1, XP_031842580.1	XP_012153511.1, XP_003708578.1
OG0000940	XP_031839278.1, XP_031839281.1, XP_031839279.1, XP_031839280.1, XP_031839277.1	XP_003705050.1, XP_012144661.1
OG0000941	XP_031828237.1	XP_012146128.1, XP_012146131.1, XP_012146130.1, XP_012146133.1, XP_012146132.1, XP_012146127.1, XP_003705635.1, XP_012146134.1, XP_012146129.1
OG0000942	XP_031839433.1	XP_012141619.1, XP_012141625.1, XP_012141627.1, XP_012141622.1, XP_012141623.1, XP_012141624.1, XP_012141621.1, XP_012141620.1
OG0000943	XP_031840452.1	XP_003708069.1
OG0000945	XP_031846910.1	XP_012151665.1
OG0000946	XP_031839837.1	XP_012136391.1
OG0000948	XP_031839580.1	XP_003701445.2
OG0000950	XP_031843741.1	XP_012149292.1
OG0000951	XP_031833247.1	XP_012143162.1, XP_012143164.1, XP_012143163.1
OG0000952	XP_031833933.1	XP_012142561.1
OG0000953	XP_031833612.1, XP_031833613.1	XP_012137352.1, XP_003701875.1
OG0000954	XP_031833478.1, XP_031833476.1, XP_031833473.1, XP_031833471.1, XP_031833472.1, XP_031833475.1, XP_031833477.1	XP_012139144.1
OG0000955	XP_031847685.1, XP_031842054.1	XP_012148472.1, XP_012148474.1
OG0000956	XP_031831321.1	XP_012145107.1, XP_003705269.1, XP_012145106.1, XP_003700357.1
OG0000957	XP_031838760.1	XP_012146638.1, XP_012146636.1
OG0000958	XP_031826540.1	XP_012137974.1
OG0000958	XP_031826539.1	XP_012137973.1
OG0000959	XP_031829922.1	XP_012135580.1
OG0000960	XP_031830193.1	XP_003701165.1, XP_003701166.1
OG0000961	XP_031830390.1	XP_012139261.1
OG0000961	XP_031830394.1	XP_012139260.1
OG0000962	XP_031830325.1	XP_012135690.1, XP_012135691.1, XP_012135692.1, XP_012135695.1, XP_012135696.1, XP_012135693.1, XP_012135694.1, XP_012135697.1
OG0000963	XP_031830327.1	XP_012135993.1
OG0000964	XP_031831929.1	XP_003703496.2
OG0000965	XP_031834127.1	XP_012141088.1
OG0000966	XP_031830344.1	XP_012135714.1
OG0000967	XP_031838053.1	XP_003707567.1, XP_012150857.1, XP_012150858.1
OG0000969	XP_031837635.1, XP_031837634.1, XP_031837633.1, XP_031837632.1, XP_031837640.1, XP_031837637.1, XP_031837636.1, XP_031837641.1, XP_031837639.1	XP_003704502.1
OG0000970	XP_031830789.1, XP_031830790.1	XP_012149202.1, XP_003707042.1
OG0000971	XP_031835539.1, XP_031835538.1	XP_012151217.1
OG0000972	XP_031848863.1, XP_031849784.1, XP_031849785.1, XP_031849782.1, XP_031849787.1, XP_031849786.1, XP_031849783.1	XP_003700592.1
OG0000973	XP_031841319.1	XP_012134615.1
OG0000974	XP_031838273.1	XP_012136211.1
OG0000976	XP_031829632.1, XP_031829633.1, XP_031829634.1, XP_031829635.1, XP_031829631.1	XP_003708310.1
OG0000977	XP_031837571.1	XP_012145749.1
OG0000979	XP_031844750.1	XP_003699649.1
OG0000980	XP_031847536.1, XP_031847534.1, XP_031847537.1, XP_031847538.1, XP_031842187.1	XP_012153460.1
OG0000981	XP_031832556.1	XP_012147876.1
OG0000982	XP_031848968.1, XP_031844990.1	XP_003702358.2
OG0000983	XP_031834840.1, XP_031834843.1	XP_012153844.1, XP_012153840.1
OG0000984	XP_031843772.1, XP_031843771.1, XP_031843770.1	XP_003706910.1, XP_012149297.1
OG0000985	XP_031849797.1, XP_031849798.1	XP_003707795.1, XP_012151119.1, XP_012151120.1
OG0000986	XP_031850485.1, XP_031850484.1	XP_003704471.1
OG0000987	XP_031827291.1	XP_012142431.1, XP_012142432.1
OG0000988	XP_031839017.1	XP_003705877.1
OG0000989	XP_031845736.1, XP_031845646.1	XP_012137160.1
OG0000990	XP_031830021.1	XP_012135847.1
OG0000991	XP_031840243.1	XP_012140498.1
OG0000992	XP_031842630.1, XP_031842631.1	XP_012140947.1, XP_012140940.1, XP_012140952.1
OG0000993	XP_031835952.1	XP_003699193.1, XP_012135904.1
OG0000995	XP_031838671.1	XP_003705839.1
OG0000996	XP_031836354.1, XP_031836352.1, XP_031836355.1	XP_012147671.1, XP_012147672.1, XP_012147673.1, XP_012147675.1, XP_012147674.1, XP_012147676.1
OG0000997	XP_031832296.1	XP_012141288.1, XP_012141290.1, XP_012141291.1, XP_012141292.1, XP_012141293.1
OG0000998	XP_031846275.1	XP_012137804.1, XP_012137805.1
OG0000999	XP_031830745.1	XP_003699719.1
OG0001000	XP_031843333.1	XP_003702681.1
OG0001001	XP_031826248.1, XP_031826251.1, XP_031826249.1	XP_012137826.1, XP_012137825.1
OG0001002	XP_031848227.1, XP_031848226.1	XP_012135319.1, XP_012135318.1
OG0001003	XP_031838069.1, XP_031838064.1, XP_031838063.1, XP_031838062.1, XP_031838067.1, XP_031838066.1, XP_031838065.1, XP_031838061.1	XP_003707613.1
OG0001004	XP_031826078.1, XP_031826114.1, XP_031826063.1, XP_031826104.1, XP_031826096.1, XP_031826087.1, XP_031826069.1	XP_003700745.1
OG0001005	XP_031849435.1, XP_031849437.1, XP_031849433.1, XP_031849436.1, XP_031849438.1	XP_012154400.1, XP_012154404.1, XP_012154401.1, XP_012154402.1, XP_012154405.1
OG0001006	XP_031837818.1	XP_003701275.1
OG0001007	XP_031831897.1	XP_003703606.1
OG0001008	XP_031847044.1, XP_031847043.1, XP_031847045.1	XP_003700256.1
OG0001009	XP_031839930.1	XP_003704896.1
OG0001010	XP_031827924.1	XP_003708511.1
OG0001011	XP_031840261.1	XP_003703246.1, XP_012140510.1, XP_012140509.1
OG0001012	XP_031832072.1, XP_031832077.1, XP_031832076.1, XP_031832079.1, XP_031832073.1, XP_031832078.1, XP_031832074.1, XP_031832075.1	XP_012140943.1
OG0001013	XP_031831265.1, XP_031831266.1, XP_031831264.1	XP_003700375.1
OG0001014	XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1, XP_031826904.1	XP_003700508.1, XP_012154282.1, XP_012154281.1
OG0001015	XP_031835375.1, XP_031835385.1	XP_003700889.2
OG0001016	XP_031826432.1	XP_003702020.1
OG0001017	XP_031839004.1	XP_003706491.1, XP_012148028.1, XP_012148027.1, XP_012148029.1
OG0001018	XP_031841266.1, XP_031841265.1	XP_003706792.1
OG0001019	XP_031834154.1, XP_031834152.1, XP_031834151.1, XP_031834153.1	XP_003703431.1
OG0001020	XP_031827614.1, XP_031827616.1, XP_031827617.1, XP_031827615.1	XP_003704979.1
OG0001021	XP_031840004.1, XP_031840003.1, XP_031840001.1, XP_031840002.1	XP_012136742.1
OG0001023	XP_031848860.1	XP_012150422.1
OG0001023	XP_031848977.1	XP_012152077.1
OG0001026	XP_031840564.1, XP_031840566.1, XP_031840570.1, XP_031840569.1, XP_031840565.1	XP_003702188.1, XP_012138102.1
OG0001027	XP_031836771.1	XP_012145430.1
OG0001029	XP_031839721.1	XP_003702300.1
OG0001029	XP_031839722.1	XP_012138207.1
OG0001030	XP_031837678.1	XP_012149487.1
OG0001032	XP_031842330.1	XP_003703932.2
OG0001033	XP_031835972.1	XP_003704248.2
OG0001034	XP_031835036.1	XP_012150649.1
OG0001035	XP_031843554.1	XP_012138908.1, XP_012138909.1
OG0001036	XP_031845843.1	XP_003703190.1
OG0001037	XP_031833070.1	XP_012139430.1, XP_012139431.1, XP_012139432.1, XP_003702747.1
OG0001038	XP_031845478.1	XP_003699435.1
OG0001039	XP_031835220.1	XP_012148261.1, XP_012148260.1, XP_003706559.1
OG0001040	XP_031829031.1	XP_012134503.1, XP_012134505.1
OG0001041	XP_031839527.1	XP_012137294.1, XP_012137291.1, XP_012137292.1, XP_012137293.1, XP_003701848.1
OG0001042	XP_031849451.1	XP_003700555.1
OG0001043	XP_031838052.1	XP_003706474.1, XP_012148062.1
OG0001044	XP_031838451.1	XP_012138724.1
OG0001045	XP_031829672.1	XP_012145939.1, XP_012145938.1, XP_012145937.1, XP_003705560.1, XP_012145940.1
OG0001046	XP_031850366.1	XP_003701680.2, XP_012136890.1, XP_012136891.1
OG0001047	XP_031838491.1	XP_003699509.1
OG0001048	XP_031846681.1	XP_012137828.1
OG0001048	XP_031837450.1, XP_031826064.1	XP_012137827.1
OG0001049	XP_031835667.1, XP_031835668.1	XP_003699327.1
OG0001050	XP_031847871.1, XP_031847870.1, XP_031847869.1	XP_012148971.1
OG0001051	XP_031837028.1	XP_012148220.1, XP_003706552.1
OG0001052	XP_031838674.1	XP_003699586.1
OG0001053	XP_031835989.1, XP_031835988.1, XP_031835987.1	XP_012142698.1, XP_012142697.1, XP_003704286.2
OG0001054	XP_031826495.1, XP_031826493.1, XP_031826494.1	XP_003704645.1
OG0001056	XP_031834187.1, XP_031834186.1	XP_003703560.1, XP_012141549.1, XP_012141550.1
OG0001057	XP_031838987.1	XP_003702432.1
OG0001058	XP_031837659.1, XP_031837652.1	XP_012145756.1, XP_012145755.1, XP_012145753.1, XP_012145752.1
OG0001059	XP_031838706.1, XP_031838707.1	XP_003705840.1
OG0001060	XP_031837823.1	XP_012144355.1
OG0001061	XP_031834010.1	XP_003699542.1
OG0001062	XP_031833408.1, XP_031833406.1	XP_012139095.1, XP_012139096.1
OG0001063	XP_031839323.1	XP_003707855.1
OG0001064	XP_031844700.1, XP_031844701.1	XP_003707983.2
OG0001065	XP_031844734.1	XP_003707987.1, XP_012151607.1
OG0001066	XP_031831567.1	XP_012153687.1, XP_012153688.1, XP_012153689.1
OG0001067	XP_031826763.1, XP_031826766.1, XP_031826765.1, XP_031826762.1, XP_031826767.1, XP_031826764.1	XP_012154119.1
OG0001068	XP_031827272.1, XP_031827271.1, XP_031827270.1, XP_031827276.1, XP_031827275.1, XP_031827274.1, XP_031827277.1, XP_031827278.1	XP_012154310.1
OG0001069	XP_031835977.1	XP_012142679.1
OG0001070	XP_031836523.1	XP_003702709.1
OG0001071	XP_031839525.1, XP_031839524.1	XP_012137285.1, XP_012137282.1, XP_012137281.1, XP_012137283.1, XP_003701844.2
OG0001072	XP_031838856.1	XP_012144178.1
OG0001072	XP_031838836.1	XP_012144175.1
OG0001073	XP_031846227.1	XP_012144001.1, XP_012144002.1, XP_003704805.2
OG0001074	XP_031828489.1, XP_031828490.1	XP_012153775.1, XP_003700247.1
OG0001075	XP_031845275.1	XP_003703938.1, XP_012142021.1, XP_012142022.1
OG0001076	XP_031839534.1	XP_012137266.1, XP_012137265.1
OG0001077	XP_031837902.1	XP_003704855.1
OG0001078	XP_031836304.1, XP_031836303.1	XP_012136908.1, XP_012136906.1
OG0001079	XP_031826989.1, XP_031826944.1	XP_012145579.1
OG0001080	XP_031841874.1	XP_012150386.1
OG0001081	XP_031848448.1, XP_031848447.1	XP_003703986.1
OG0001082	XP_031833663.1	XP_003702655.2
OG0001083	XP_031845777.1, XP_031845776.1	XP_012141240.1
OG0001084	XP_031832966.1, XP_031832965.1	XP_012149589.1
OG0001085	XP_031827829.1	XP_012140431.1
OG0001086	XP_031845107.1	XP_012139938.1, XP_003703036.2
OG0001087	XP_031832317.1, XP_031832316.1	XP_003703461.1
OG0001088	XP_031838244.1	XP_012149815.1
OG0001089	XP_031834188.1	XP_012137698.1
OG0001089	XP_031834203.1	XP_012137699.1
OG0001090	XP_031837731.1	XP_012144304.1, XP_012144303.1, XP_012144299.1, XP_012144300.1, XP_012144301.1, XP_012144302.1, XP_003704835.2
OG0001091	XP_031825621.1	XP_003707309.1
OG0001092	XP_031837183.1	XP_012145773.1
OG0001093	XP_031837279.1, XP_031837280.1	XP_012152472.1, XP_012152470.1
OG0001094	XP_031828535.1	XP_012134772.1
OG0001095	XP_031846984.1, XP_031846981.1, XP_031846982.1, XP_031846983.1	XP_012152090.1
OG0001096	XP_031834352.1, XP_031834355.1, XP_031834354.1, XP_031834356.1, XP_031834353.1	XP_012141994.1
OG0001097	XP_031846169.1	XP_003705766.1
OG0001098	XP_031843576.1	XP_012143744.1
OG0001099	XP_031844308.1	XP_012144602.1
OG0001100	XP_031840738.1	XP_012142277.1
OG0001101	XP_031829064.1	XP_003701005.1
OG0001102	XP_031838695.1	XP_012146706.1, XP_012146705.1
OG0001103	XP_031831004.1	XP_012148730.1
OG0001104	XP_031829957.1, XP_031829959.1, XP_031829958.1, XP_031829960.1	XP_003701202.2
OG0001105	XP_031833532.1, XP_031833534.1, XP_031833531.1, XP_031833535.1, XP_031833533.1	XP_012150123.1
OG0001106	XP_031846672.1	XP_003702016.1, XP_012137841.1
OG0001107	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_003706475.2
OG0001108	XP_031833123.1, XP_031833115.1, XP_031833116.1, XP_031833120.1, XP_031833121.1, XP_031833122.1, XP_031833119.1, XP_031833118.1	XP_012139469.1
OG0001109	XP_031838555.1	XP_012148664.1, XP_003699964.1
OG0001110	XP_031849876.1, XP_031849877.1	XP_003707683.1
OG0001111	XP_031835563.1	XP_003699969.1
OG0001112	XP_031849270.1	XP_003707788.1, XP_012151293.1
OG0001113	XP_031841727.1, XP_031841726.1	XP_012144469.1, XP_003704957.1
OG0001115	XP_031833732.1, XP_031833729.1, XP_031833733.1, XP_031833730.1	XP_012150304.1
OG0001116	XP_031836830.1, XP_031836828.1, XP_031836831.1, XP_031836829.1	XP_003707715.1
OG0001117	XP_031828275.1, XP_031828274.1, XP_031828271.1, XP_031828272.1, XP_031828276.1	XP_003705651.2, XP_012146140.1
OG0001118	XP_031839733.1	XP_012136387.1
OG0001119	XP_031839836.1	XP_003701474.1, XP_012136614.1, XP_012136613.1
OG0001120	XP_031839918.1	XP_003702256.1
