Orthogroup	Nomia_melanderi	Eufriesea_mexicana
OG0001266	XP_031846890.1	XP_017754176.1, XP_017754177.1, XP_017754178.1
OG0001267	XP_031831737.1	XP_017763377.1
OG0001268	XP_031826181.1, XP_031826182.1, XP_031826184.1	XP_017753136.1
OG0001269	XP_031836645.1, XP_031836646.1	XP_017764001.1
OG0001270	XP_031832945.1	XP_017761542.1
OG0001271	XP_031842282.1, XP_031842281.1	XP_017755216.1
OG0001272	XP_031847070.1, XP_031847071.1, XP_031847072.1	XP_017755574.1, XP_017755573.1
OG0001273	XP_031848548.1, XP_031848549.1, XP_031848550.1	XP_017759337.1
OG0001274	XP_031825275.1, XP_031825276.1, XP_031825277.1, XP_031825278.1	XP_017755242.1
OG0001275	XP_031829197.1, XP_031829198.1	XP_017767613.1
OG0001276	XP_031836708.1, XP_031836736.1, XP_031836726.1, XP_031836700.1, XP_031836717.1	XP_017763229.1
OG0001277	XP_031842227.1, XP_031842228.1, XP_031842226.1, XP_031842229.1	XP_017763679.1
OG0001278	XP_031836729.1, XP_031836728.1	XP_017763988.1
OG0001279	XP_031827158.1	XP_017754629.1, XP_017754628.1
OG0001280	XP_031835163.1	XP_017755483.1
OG0001282	XP_031832271.1	XP_017762682.1, XP_017762686.1
OG0001283	XP_031841858.1, XP_031841856.1	XP_017760318.1
OG0001284	XP_031843241.1, XP_031843230.1, XP_031843260.1, XP_031843250.1, XP_031843269.1, XP_031843222.1, XP_031843212.1	XP_017759250.1
OG0001285	XP_031848834.1	XP_017760173.1
OG0001286	XP_031825856.1, XP_031825855.1	XP_017758936.1
OG0001287	XP_031843042.1	XP_017758059.1
OG0001288	XP_031847404.1, XP_031847406.1, XP_031847402.1, XP_031847401.1, XP_031847403.1	XP_017758100.1
OG0001289	XP_031836633.1, XP_031836631.1	XP_017763997.1
OG0001290	XP_031843289.1	XP_017762965.1
OG0001291	XP_031835600.1, XP_031835601.1	XP_017760695.1
OG0001292	XP_031849347.1	XP_017760736.1
OG0001293	XP_031844335.1	XP_017757328.1
OG0001294	XP_031825336.1, XP_031825337.1, XP_031825338.1	XP_017755256.1, XP_017755255.1
OG0001295	XP_031849282.1	XP_017756513.1
OG0001296	XP_031844241.1	XP_017757312.1
OG0001297	XP_031827220.1, XP_031827221.1	XP_017764422.1
OG0001298	XP_031834093.1	XP_017763150.1
OG0001299	XP_031846689.1	XP_017762831.1, XP_017762830.1, XP_017762829.1
OG0001300	XP_031827247.1, XP_031827246.1, XP_031827245.1	XP_017754640.1
OG0001301	XP_031832381.1	XP_017766719.1, XP_017766720.1, XP_017766718.1
OG0001302	XP_031831625.1, XP_031831627.1, XP_031831626.1, XP_031831628.1	XP_017759088.1
OG0001303	XP_031827991.1	XP_017755178.1, XP_017755179.1
OG0001304	XP_031832090.1	XP_017754310.1
OG0001305	XP_031832264.1	XP_017754267.1
OG0001306	XP_031842872.1	XP_017753796.1
OG0001307	XP_031829417.1, XP_031829415.1	XP_017762066.1
OG0001308	XP_031841176.1	XP_017759000.1, XP_017759004.1
OG0001309	XP_031844632.1, XP_031844633.1	XP_017752392.1
OG0001310	XP_031832069.1, XP_031832070.1	XP_017752266.1
OG0001311	XP_031850375.1, XP_031850377.1, XP_031850374.1	XP_017767001.1
OG0001312	XP_031834754.1, XP_031834756.1	XP_017754709.1, XP_017754710.1, XP_017754708.1
OG0001313	XP_031838252.1	XP_017761320.1
OG0001314	XP_031845652.1, XP_031845641.1	XP_017755789.1, XP_017755790.1
OG0001315	XP_031843340.1	XP_017753671.1
OG0001316	XP_031848116.1, XP_031848101.1, XP_031848110.1	XP_017766132.1
OG0001317	XP_031848413.1, XP_031848405.1	XP_017760183.1
OG0001318	XP_031834524.1	XP_017764109.1
OG0001319	XP_031846019.1	XP_017754546.1
OG0001320	XP_031844412.1	XP_017752996.1
OG0001321	XP_031838281.1	XP_017762420.1
OG0001322	XP_031845962.1, XP_031845963.1	XP_017759401.1
OG0001323	XP_031843728.1, XP_031843731.1	XP_017763829.1, XP_017763832.1
OG0001324	XP_031843634.1	XP_017763814.1, XP_017763819.1
OG0001325	XP_031844730.1, XP_031844737.1	XP_017757716.1
OG0001326	XP_031844816.1	XP_017761198.1
OG0001328	XP_031829438.1, XP_031829436.1	XP_017752712.1
OG0001329	XP_031844591.1, XP_031844584.1	XP_017755439.1, XP_017755440.1
OG0001330	XP_031836420.1	XP_017758328.1, XP_017758330.1
OG0001331	XP_031833588.1, XP_031833589.1, XP_031833582.1, XP_031833584.1, XP_031833585.1, XP_031833586.1, XP_031833587.1	XP_017767728.1
OG0001332	XP_031828791.1	XP_017758892.1
OG0001333	XP_031828788.1	XP_017758796.1
OG0001334	XP_031838495.1	XP_017754806.1, XP_017754808.1, XP_017754807.1
OG0001335	XP_031830156.1	XP_017754924.1, XP_017754925.1
OG0001336	XP_031833159.1	XP_017759862.1
OG0001337	XP_031834383.1, XP_031834381.1, XP_031834380.1	XP_017752666.1
OG0001338	XP_031827519.1	XP_017757655.1
OG0001339	XP_031841535.1, XP_031841537.1, XP_031841536.1	XP_017761414.1
OG0001340	XP_031828566.1	XP_017762912.1, XP_017762911.1
OG0001341	XP_031834507.1	XP_017761426.1
OG0001342	XP_031842897.1, XP_031843071.1, XP_031842987.1, XP_031843161.1, XP_031843256.1	XP_017765181.1
OG0001343	XP_031835867.1	XP_017767400.1, XP_017767402.1
OG0001344	XP_031849884.1	XP_017761440.1
OG0001345	XP_031849162.1, XP_031849161.1, XP_031849159.1, XP_031849163.1, XP_031849158.1	XP_017760678.1
OG0001346	XP_031835773.1	XP_017760931.1, XP_017760930.1, XP_017760929.1
OG0001347	XP_031829845.1, XP_031829855.1	XP_017755879.1
OG0001348	XP_031827572.1	XP_017763990.1
OG0001349	XP_031838055.1	XP_017756938.1
OG0001350	XP_031825351.1, XP_031825350.1, XP_031825356.1	XP_017758759.1
OG0001351	XP_031840636.1, XP_031840635.1	XP_017756989.1
OG0001352	XP_031835765.1	XP_017752502.1
OG0001353	XP_031846344.1, XP_031846341.1	XP_017765692.1
OG0001354	XP_031826433.1	XP_017765141.1
OG0001355	XP_031850396.1	XP_017753093.1, XP_017753092.1
OG0001356	XP_031829862.1	XP_017759533.1
OG0001357	XP_031840444.1, XP_031840445.1, XP_031840443.1	XP_017753219.1
OG0001358	XP_031840472.1, XP_031840470.1, XP_031840471.1	XP_017753128.1
OG0001359	XP_031840463.1	XP_017753189.1
OG0001360	XP_031839855.1	XP_017756372.1
OG0001361	XP_031839754.1, XP_031839753.1, XP_031839752.1, XP_031839755.1, XP_031839750.1, XP_031839749.1	XP_017766449.1
OG0001362	XP_031829333.1, XP_031829334.1	XP_017756404.1
OG0001363	XP_031829304.1	XP_017756686.1
OG0001364	XP_031845154.1	XP_017757247.1
OG0001365	XP_031848129.1	XP_017757934.1
OG0001366	XP_031834301.1	XP_017756219.1
OG0001367	XP_031841551.1	XP_017762204.1, XP_017762203.1, XP_017762202.1
OG0001368	XP_031826185.1	XP_017761209.1
OG0001369	XP_031828105.1	XP_017764926.1, XP_017764927.1
OG0001370	XP_031828094.1	XP_017764916.1
OG0001371	XP_031825300.1	XP_017763892.1
OG0001372	XP_031839307.1, XP_031839306.1	XP_017764664.1
OG0001373	XP_031839009.1, XP_031839008.1	XP_017756589.1
OG0001374	XP_031839412.1	XP_017754171.1, XP_017754172.1
OG0001375	XP_031838789.1, XP_031838788.1	XP_017760528.1
OG0001376	XP_031828616.1	XP_017767606.1
OG0001377	XP_031837569.1, XP_031837580.1	XP_017755693.1
OG0001379	XP_031837433.1	XP_017753512.1
OG0001380	XP_031838216.1	XP_017757903.1
OG0001382	XP_031834733.1	XP_017753397.1, XP_017753396.1, XP_017753398.1
OG0001383	XP_031831455.1	XP_017755629.1, XP_017755632.1
OG0001384	XP_031850371.1	XP_017756778.1
OG0001385	XP_031844686.1	XP_017754336.1, XP_017754335.1, XP_017754334.1
OG0001386	XP_031839502.1, XP_031839503.1, XP_031839504.1	XP_017754062.1, XP_017754064.1, XP_017754063.1
OG0001387	XP_031850360.1, XP_031850362.1	XP_017755955.1
OG0001389	XP_031843655.1, XP_031843658.1, XP_031843656.1, XP_031843657.1	XP_017763820.1
OG0001390	XP_031848284.1	XP_017758929.1
OG0001391	XP_031828019.1, XP_031828018.1	XP_017753313.1
OG0001392	XP_031849723.1	XP_017765570.1
OG0001393	XP_031850156.1, XP_031849881.1	XP_017756625.1
OG0001394	XP_031837587.1, XP_031837585.1	XP_017755691.1
OG0001395	XP_031841332.1, XP_031841325.1	XP_017764059.1, XP_017764058.1
OG0001396	XP_031841293.1	XP_017758901.1
OG0001397	XP_031829094.1	XP_017754843.1
OG0001398	XP_031841599.1	XP_017758701.1
OG0001399	XP_031841738.1	XP_017763607.1
OG0001400	XP_031841330.1, XP_031841333.1	XP_017756157.1
OG0001401	XP_031848135.1	XP_017761513.1
OG0001401	XP_031848113.1	XP_017761511.1
OG0001402	XP_031842885.1, XP_031842495.1	XP_017762988.1
OG0001403	XP_031828208.1, XP_031828206.1, XP_031828207.1	XP_017764880.1
OG0001404	XP_031843068.1, XP_031843070.1	XP_017764962.1
OG0001405	XP_031826878.1	XP_017764402.1
OG0001406	XP_031844192.1, XP_031844195.1	XP_017757351.1
OG0001407	XP_031839815.1, XP_031839816.1	XP_017756288.1
OG0001408	XP_031840011.1	XP_017766343.1
OG0001409	XP_031829129.1	XP_017763375.1
OG0001410	XP_031828065.1	XP_017754412.1
OG0001411	XP_031844316.1	XP_017767107.1
OG0001412	XP_031844140.1	XP_017757283.1, XP_017757284.1
OG0001413	XP_031841019.1	XP_017765016.1
OG0001414	XP_031840842.1, XP_031840844.1, XP_031840843.1, XP_031840840.1	XP_017752401.1
OG0001415	XP_031844117.1, XP_031844116.1, XP_031844114.1, XP_031844115.1	XP_017757315.1
OG0001416	XP_031844207.1, XP_031844204.1, XP_031844206.1	XP_017757303.1
OG0001417	XP_031839419.1	XP_017765985.1
OG0001418	XP_031844620.1, XP_031844619.1, XP_031844621.1	XP_017767022.1
OG0001419	XP_031850334.1	XP_017756776.1
OG0001420	XP_031845334.1	XP_017757202.1, XP_017757204.1
OG0001421	XP_031834407.1	XP_017758565.1
OG0001421	XP_031834405.1	XP_017758561.1
OG0001422	XP_031834334.1	XP_017758592.1
OG0001423	XP_031842301.1, XP_031842300.1	XP_017757034.1, XP_017757035.1
OG0001424	XP_031846087.1, XP_031846089.1	XP_017758605.1
OG0001425	XP_031834417.1	XP_017756722.1
OG0001426	XP_031833363.1	XP_017758766.1
OG0001427	XP_031831458.1, XP_031831459.1	XP_017755673.1
OG0001428	XP_031825304.1, XP_031825411.1	XP_017763877.1
OG0001429	XP_031831314.1	XP_017762950.1
OG0001430	XP_031833444.1	XP_017762945.1
OG0001431	XP_031838093.1	XP_017753539.1
OG0001432	XP_031840375.1	XP_017753173.1
OG0001433	XP_031828611.1	XP_017760457.1
OG0001434	XP_031840139.1, XP_031840138.1, XP_031840141.1, XP_031840140.1, XP_031840142.1	XP_017756854.1
OG0001435	XP_031838726.1	XP_017753561.1
OG0001436	XP_031838277.1	XP_017761962.1
OG0001437	XP_031837051.1	XP_017762904.1, XP_017762903.1
OG0001438	XP_031849131.1	XP_017761970.1, XP_017758595.1
OG0001439	XP_031840215.1	XP_017767760.1
OG0001440	XP_031846734.1, XP_031846733.1, XP_031846731.1, XP_031846732.1	XP_017754995.1
OG0001441	XP_031837631.1	XP_017757893.1
OG0001442	XP_031848179.1	XP_017757910.1
OG0001443	XP_031830355.1	XP_017756247.1
OG0001444	XP_031839447.1	XP_017764553.1
OG0001446	XP_031835110.1	XP_017758841.1
OG0001447	XP_031828286.1	XP_017754393.1
OG0001448	XP_031846582.1, XP_031846593.1	XP_017755737.1, XP_017755736.1
OG0001449	XP_031837964.1, XP_031837962.1, XP_031837963.1, XP_031837960.1, XP_031837961.1	XP_017757959.1
OG0001450	XP_031847749.1	XP_017767345.1, XP_017767349.1
OG0001451	XP_031846419.1, XP_031846418.1, XP_031846413.1, XP_031846417.1, XP_031846416.1, XP_031846415.1	XP_017755108.1
OG0001452	XP_031841914.1, XP_031841917.1, XP_031841916.1, XP_031841919.1, XP_031841920.1, XP_031841921.1, XP_031841915.1	XP_017765433.1
OG0001453	XP_031829643.1	XP_017755103.1
OG0001454	XP_031840633.1, XP_031840634.1	XP_017757026.1
OG0001455	XP_031841708.1	XP_017756145.1, XP_017756143.1
OG0001456	XP_031826479.1	XP_017753420.1
OG0001457	XP_031826700.1, XP_031826701.1, XP_031826698.1, XP_031826697.1	XP_017761048.1
OG0001458	XP_031847609.1	XP_017753363.1
OG0001459	XP_031836339.1, XP_031836468.1	XP_017763227.1
OG0001460	XP_031832830.1, XP_031832832.1	XP_017762887.1
OG0001462	XP_031835170.1, XP_031835150.1, XP_031835160.1, XP_031835140.1, XP_031835130.1	XP_017764248.1
OG0001464	XP_031844824.1, XP_031844823.1, XP_031844822.1	XP_017762063.1, XP_017762062.1
OG0001465	XP_031842152.1	XP_017762491.1, XP_017762490.1, XP_017762492.1
OG0001466	XP_031828168.1	XP_017764898.1
OG0001467	XP_031827115.1	XP_017764431.1
OG0001469	XP_031839545.1, XP_031839546.1	XP_017760779.1
OG0001470	XP_031832552.1, XP_031832543.1	XP_017753068.1
OG0001471	XP_031836143.1	XP_017761276.1, XP_017761275.1
OG0001472	XP_031849895.1	XP_017759026.1
OG0001473	XP_031826626.1, XP_031826627.1, XP_031826625.1, XP_031826628.1	XP_017764384.1, XP_017764385.1
OG0001474	XP_031825985.1, XP_031825983.1	XP_017759657.1
OG0001475	XP_031848112.1, XP_031848111.1, XP_031848109.1, XP_031848108.1, XP_031848107.1, XP_031848106.1, XP_031848105.1	XP_017759102.1
OG0001476	XP_031832221.1, XP_031832220.1	XP_017754274.1
OG0001477	XP_031843672.1	XP_017756668.1
OG0001479	XP_031832928.1	XP_017759881.1
OG0001480	XP_031840990.1, XP_031840989.1	XP_017764816.1
OG0001481	XP_031841784.1, XP_031841785.1, XP_031841783.1	XP_017764323.1, XP_017764331.1
OG0001482	XP_031844372.1, XP_031844373.1, XP_031844374.1	XP_017766504.1, XP_017766852.1, XP_017766853.1
OG0001483	XP_031832816.1	XP_017759912.1
OG0001484	XP_031847523.1	XP_017765238.1
OG0001485	XP_031839633.1	XP_017757050.1
OG0001486	XP_031840925.1, XP_031840926.1, XP_031840924.1, XP_031840927.1, XP_031840928.1	XP_017767082.1
OG0001487	XP_031850381.1, XP_031850380.1	XP_017767029.1
OG0001488	XP_031825267.1	XP_017757493.1
OG0001489	XP_031843988.1, XP_031843987.1	XP_017759072.1, XP_017759071.1, XP_017763598.1
OG0001490	XP_031828621.1, XP_031828620.1	XP_017764262.1, XP_017764263.1
OG0001491	XP_031833066.1	XP_017762871.1
OG0001492	XP_031848424.1, XP_031848425.1, XP_031848429.1, XP_031848428.1, XP_031848431.1, XP_031848430.1	XP_017766191.1
OG0001493	XP_031834432.1, XP_031834433.1	XP_017761094.1
OG0001494	XP_031831414.1	XP_017752746.1, XP_017752760.1, XP_017752755.1, XP_017752737.1, XP_017752729.1
OG0001495	XP_031827635.1	XP_017756160.1
OG0001496	XP_031831728.1	XP_017755605.1
OG0001497	XP_031832777.1, XP_031832788.1	XP_017764217.1, XP_017764218.1
OG0001498	XP_031838477.1	XP_017758854.1, XP_017758865.1
OG0001499	XP_031838472.1	XP_017758958.1
OG0001500	XP_031849697.1	XP_017766972.1
OG0001501	XP_031846829.1	XP_017766099.1, XP_017766100.1
OG0001502	XP_031848315.1, XP_031848332.1	XP_017752417.1, XP_017752418.1, XP_017752415.1, XP_017752416.1, XP_017752419.1
OG0001503	XP_031831241.1, XP_031831240.1, XP_031831239.1	XP_017755655.1
OG0001504	XP_031841477.1, XP_031841476.1, XP_031841479.1, XP_031841478.1	XP_017761405.1
OG0001505	XP_031846147.1, XP_031846146.1	XP_017758618.1
OG0001506	XP_031835641.1	XP_017760383.1, XP_017760386.1
OG0001507	XP_031830471.1, XP_031830470.1	XP_017758417.1, XP_017757880.1
OG0001508	XP_031835227.1, XP_031835226.1, XP_031835225.1	XP_017762208.1
OG0001509	XP_031833156.1, XP_031833154.1	XP_017759891.1, XP_017759892.1
OG0001510	XP_031846065.1, XP_031846064.1, XP_031846063.1	XP_017761101.1
OG0001511	XP_031833447.1	XP_017757457.1
OG0001512	XP_031849416.1	XP_017760813.1
OG0001513	XP_031845590.1, XP_031845591.1, XP_031845595.1, XP_031845596.1, XP_031845597.1, XP_031845593.1, XP_031845594.1	XP_017755957.1
OG0001514	XP_031835210.1, XP_031835211.1, XP_031835212.1	XP_017756942.1
OG0001516	XP_031832465.1, XP_031832466.1	XP_017761133.1, XP_017761131.1, XP_017761132.1
OG0001517	XP_031846807.1, XP_031846815.1	XP_017767762.1, XP_017767761.1
OG0001518	XP_031839814.1	XP_017766373.1
OG0001520	XP_031842248.1	XP_017755225.1
OG0001525	XP_031839645.1	XP_017765706.1, XP_017765707.1
OG0001526	XP_031846495.1, XP_031846514.1, XP_031846503.1, XP_031846485.1	XP_017758853.1
OG0001527	XP_031828652.1	XP_017755476.1, XP_017761178.1
OG0001528	XP_031843453.1, XP_031843338.1	XP_017759231.1
OG0001529	XP_031847307.1	XP_017758058.1
OG0001530	XP_031843781.1, XP_031843729.1	XP_017759248.1
OG0001531	XP_031845827.1	XP_017766636.1
OG0001533	XP_031838996.1	XP_017766283.1
OG0001534	XP_031830048.1, XP_031830047.1, XP_031830046.1	XP_017758996.1
OG0001535	XP_031846630.1, XP_031846633.1	XP_017761351.1
OG0001537	XP_031848199.1	XP_017759098.1
OG0001538	XP_031847464.1, XP_031847463.1	XP_017765221.1
OG0001539	XP_031837549.1	XP_017755686.1
OG0001540	XP_031848229.1	XP_017759414.1
OG0001541	XP_031829615.1, XP_031829614.1, XP_031829616.1	XP_017759351.1
OG0001542	XP_031843489.1, XP_031843515.1, XP_031843498.1, XP_031843506.1, XP_031843479.1	XP_017759225.1
OG0001543	XP_031834587.1, XP_031834586.1	XP_017766368.1
OG0001544	XP_031844245.1	XP_017757326.1
OG0001545	XP_031833107.1	XP_017762870.1
OG0001546	XP_031840069.1	XP_017755702.1
OG0001547	XP_031839653.1, XP_031839655.1	XP_017757051.1
OG0001548	XP_031826335.1	XP_017759470.1
OG0001549	XP_031826921.1, XP_031826920.1, XP_031826922.1	XP_017763319.1
OG0001550	XP_031828341.1, XP_031828340.1, XP_031828339.1, XP_031828338.1	XP_017752606.1
OG0001551	XP_031847554.1, XP_031847552.1	XP_017760070.1
OG0001552	XP_031828628.1, XP_031828629.1, XP_031828627.1	XP_017764267.1
OG0001553	XP_031831985.1, XP_031831982.1, XP_031831983.1, XP_031831984.1	XP_017763073.1
OG0001555	XP_031828844.1	XP_017763925.1
OG0001556	XP_031840132.1, XP_031840135.1, XP_031840131.1, XP_031840133.1, XP_031840136.1	XP_017753713.1
OG0001557	XP_031833503.1, XP_031833504.1	XP_017758745.1
OG0001558	XP_031831598.1	XP_017762970.1
OG0001559	XP_031835242.1, XP_031835240.1, XP_031835241.1	XP_017766293.1
OG0001560	XP_031830316.1, XP_031830319.1, XP_031830321.1, XP_031830320.1, XP_031830317.1	XP_017761630.1
OG0001561	XP_031847983.1	XP_017758923.1
OG0001562	XP_031846264.1, XP_031846262.1, XP_031846263.1	XP_017756680.1
OG0001563	XP_031825898.1	XP_017761143.1
OG0001564	XP_031848082.1, XP_031848066.1, XP_031848087.1	XP_017766131.1
OG0001565	XP_031830788.1	XP_017762937.1
OG0001566	XP_031840617.1	XP_017762803.1
OG0001567	XP_031826363.1, XP_031826364.1, XP_031826365.1	XP_017757098.1, XP_017757099.1
OG0001568	XP_031826476.1	XP_017763781.1
OG0001570	XP_031829201.1	XP_017767563.1
OG0001571	XP_031843395.1, XP_031843394.1	XP_017754444.1
OG0001572	XP_031829873.1	XP_017761643.1, XP_017761642.1
OG0001573	XP_031828324.1	XP_017752639.1
OG0001574	XP_031840586.1, XP_031840585.1, XP_031840584.1	XP_017756971.1
OG0001575	XP_031836281.1, XP_031836283.1	XP_017761273.1
OG0001576	XP_031841275.1	XP_017756213.1
OG0001577	XP_031829520.1, XP_031829502.1, XP_031829530.1, XP_031829513.1	XP_017764600.1
OG0001578	XP_031830198.1	XP_017752540.1
OG0001579	XP_031849366.1, XP_031849367.1, XP_031849365.1, XP_031849363.1, XP_031849364.1	XP_017760903.1
OG0001580	XP_031849248.1	XP_017760735.1
OG0001582	XP_031833625.1	XP_017757413.1
OG0001583	XP_031840017.1, XP_031840016.1	XP_017765728.1
OG0001584	XP_031836941.1	XP_017765149.1
OG0001585	XP_031828069.1	XP_017753227.1
OG0001586	XP_031843452.1	XP_017762755.1, XP_017762746.1, XP_017762743.1
OG0001587	XP_031832486.1	XP_017763570.1
OG0001588	XP_031843905.1	XP_017762560.1
OG0001589	XP_031827181.1, XP_031827183.1	XP_017764469.1
OG0001590	XP_031846150.1, XP_031846149.1, XP_031846151.1	XP_017757085.1
OG0001591	XP_031846701.1	XP_017763779.1
OG0001592	XP_031838749.1, XP_031838748.1, XP_031838751.1, XP_031838750.1, XP_031838747.1	XP_017752447.1
OG0001593	XP_031843094.1	XP_017753773.1
OG0001594	XP_031836490.1	XP_017753971.1
OG0001595	XP_031846203.1, XP_031846202.1, XP_031846201.1	XP_017759609.1
OG0001596	XP_031849482.1	XP_017764860.1
OG0001597	XP_031844375.1	XP_017766854.1
OG0001598	XP_031828553.1	XP_017762854.1
OG0001599	XP_031832015.1	XP_017763041.1
OG0001600	XP_031833255.1, XP_031833254.1	XP_017765962.1
OG0001601	XP_031828128.1	XP_017753158.1
OG0001602	XP_031840313.1	XP_017760989.1, XP_017760991.1
OG0001603	XP_031834207.1	XP_017753120.1
OG0001604	XP_031848342.1	XP_017752341.1
OG0001605	XP_031845746.1	XP_017763075.1
OG0001606	XP_031845759.1, XP_031845760.1	XP_017763062.1
OG0001607	XP_031839001.1	XP_017762246.1
OG0001608	XP_031832027.1, XP_031832024.1, XP_031832026.1	XP_017752280.1
OG0001609	XP_031837513.1, XP_031837493.1, XP_031837503.1	XP_017763207.1
OG0001610	XP_031832972.1	XP_017760600.1, XP_017760599.1
OG0001611	XP_031844660.1	XP_017752430.1, XP_017752429.1, XP_017752428.1
OG0001612	XP_031848569.1, XP_031848571.1, XP_031848570.1, XP_031848572.1	XP_017767233.1
OG0001613	XP_031842629.1, XP_031842628.1	XP_017752856.1, XP_017752855.1
OG0001614	XP_031849726.1	XP_017766933.1
OG0001615	XP_031829208.1, XP_031829209.1	XP_017761058.1
OG0001616	XP_031834769.1	XP_017754743.1
OG0001617	XP_031844603.1, XP_031844613.1, XP_031844594.1	XP_017755810.1
OG0001618	XP_031844626.1	XP_017755812.1
OG0001619	XP_031841232.1	XP_017758837.1, XP_017758836.1, XP_017758834.1, XP_017758835.1
OG0001620	XP_031846528.1, XP_031846538.1	XP_017758855.1
OG0001621	XP_031837656.1	XP_017763245.1
OG0001622	XP_031843457.1, XP_031843455.1, XP_031843456.1, XP_031843458.1, XP_031843459.1	XP_017764231.1
OG0001623	XP_031846127.1	XP_017754560.1
OG0001624	XP_031830566.1	XP_017757345.1
OG0001625	XP_031831964.1	XP_017760145.1, XP_017760144.1
OG0001626	XP_031846104.1	XP_017754548.1
OG0001627	XP_031843831.1, XP_031843832.1	XP_017766235.1
OG0001628	XP_031831063.1	XP_017757565.1, XP_017758363.1
OG0001629	XP_031835155.1, XP_031835154.1	XP_017760266.1
OG0001630	XP_031843100.1	XP_017758099.1
OG0001631	XP_031842975.1	XP_017765231.1
OG0001632	XP_031844344.1	XP_017755391.1
OG0001633	XP_031834937.1	XP_017754757.1
OG0001634	XP_031846368.1	XP_017764334.1, XP_017764333.1
OG0001635	XP_031831277.1	XP_017757506.1
OG0001636	XP_031831285.1, XP_031831284.1, XP_031831283.1	XP_017757544.1
OG0001637	XP_031837253.1	XP_017753812.1
OG0001638	XP_031848044.1	XP_017762450.1
OG0001639	XP_031827830.1	XP_017762230.1
OG0001640	XP_031827450.1, XP_031827454.1, XP_031827455.1, XP_031827453.1, XP_031827451.1	XP_017752932.1
OG0001641	XP_031849045.1, XP_031836800.1, XP_031848735.1, XP_031848846.1	XP_017752471.1
OG0001642	XP_031845680.1	XP_017757408.1, XP_017757407.1
OG0001643	XP_031834805.1, XP_031834808.1	XP_017759760.1
OG0001644	XP_031847894.1	XP_017764717.1
OG0001645	XP_031830879.1, XP_031830878.1	XP_017758395.1, XP_017758394.1
OG0001646	XP_031838554.1	XP_017761902.1
OG0001647	XP_031849450.1	XP_017766974.1, XP_017766973.1
OG0001648	XP_031839276.1, XP_031839324.1	XP_017765587.1, XP_017765589.1, XP_017765584.1
OG0001649	XP_031841494.1, XP_031841485.1	XP_017764095.1
OG0001650	XP_031833293.1	XP_017752745.1
OG0001651	XP_031833379.1	XP_017761366.1, XP_017761367.1
OG0001652	XP_031838418.1, XP_031838419.1, XP_031838417.1	XP_017754512.1, XP_017754511.1
OG0001653	XP_031833771.1	XP_017761237.1
OG0001654	XP_031833789.1	XP_017761224.1
OG0001655	XP_031831341.1, XP_031830476.1	XP_017763126.1
OG0001656	XP_031826261.1, XP_031826347.1	XP_017756647.1
OG0001657	XP_031840474.1, XP_031840473.1	XP_017753360.1, XP_017753361.1, XP_017753358.1, XP_017753356.1, XP_017753357.1
OG0001658	XP_031834719.1, XP_031834720.1, XP_031834717.1, XP_031834718.1	XP_017755176.1
OG0001659	XP_031834693.1	XP_017755240.1, XP_017755233.1
OG0001660	XP_031831357.1	XP_017756311.1
OG0001661	XP_031839955.1	XP_017756409.1, XP_017756410.1
OG0001662	XP_031839602.1	XP_017766394.1
OG0001663	XP_031844980.1	XP_017762542.1, XP_017762541.1, XP_017762540.1
OG0001664	XP_031840974.1	XP_017765012.1
OG0001665	XP_031826638.1, XP_031826635.1, XP_031826637.1, XP_031826636.1	XP_017764366.1
OG0001666	XP_031838127.1	XP_017757954.1
OG0001667	XP_031841663.1	XP_017762114.1, XP_017762112.1, XP_017762113.1
OG0001668	XP_031828931.1	XP_017760455.1
OG0001669	XP_031825442.1, XP_031825441.1, XP_031825443.1	XP_017755306.1
OG0001670	XP_031850277.1	XP_017763431.1
OG0001671	XP_031835448.1, XP_031835451.1, XP_031835446.1, XP_031835449.1, XP_031835445.1, XP_031835450.1	XP_017764774.1
OG0001673	XP_031840280.1, XP_031840285.1, XP_031840283.1	XP_017752129.1, XP_017752127.1
OG0001674	XP_031828889.1	XP_017752700.1
OG0001675	XP_031847666.1	XP_017757645.1
OG0001676	XP_031837473.1	XP_017753498.1
OG0001677	XP_031843964.1	XP_017763592.1
OG0001678	XP_031848373.1	XP_017757369.1
OG0001679	XP_031837973.1, XP_031837972.1, XP_031837971.1, XP_031837974.1	XP_017757878.1
OG0001680	XP_031834002.1, XP_031834003.1, XP_031834005.1	XP_017757922.1, XP_017757921.1, XP_017757923.1
OG0001681	XP_031839088.1	XP_017763059.1
OG0001682	XP_031846345.1	XP_017765727.1
OG0001683	XP_031836036.1, XP_031836031.1	XP_017761306.1, XP_017761305.1
OG0001685	XP_031846328.1	XP_017765725.1
OG0001686	XP_031845082.1	XP_017757171.1
OG0001687	XP_031829366.1, XP_031829365.1	XP_017760089.1
OG0001688	XP_031846136.1	XP_017758571.1
OG0001689	XP_031842280.1	XP_017766332.1
OG0001690	XP_031833703.1, XP_031833700.1, XP_031833701.1, XP_031833702.1	XP_017757593.1
OG0001691	XP_031825616.1, XP_031825612.1	XP_017753681.1
OG0001692	XP_031845697.1, XP_031845696.1	XP_017752246.1
OG0001693	XP_031834009.1	XP_017763140.1
OG0001695	XP_031836945.1, XP_031836943.1, XP_031836946.1, XP_031836942.1	XP_017765148.1
